-0.002279-0.00057677i,-0.0026448-0.00037734i,-0.0039182+0.00061492i,-0.0032559+0.0014464i,-0.0013706+0.0027562i,-0.0011603+0.00244i,-0.0013613+0.0018987i,-0.00043117+0.0010975i,0.00071395-0.00017421i,0.00054821-0.00085794i,0.00043161-0.00076525i,0.00067465-0.00058574i,0.00069575-0.00084256i,0.00097297-0.00048637i,0.00035801+7.5489e-05i,0.00036504+2.3217e-05i,1.472e-05-0.00035867i,-0.00043827+8.5503e-05i,-0.00027397-0.00011521i,-5.3243e-05-0.00053928i,0.00017474-0.00021659i,0.00023044-0.000349i,0.00051331-0.00082972i
-0.0015088-0.000779i,-0.0030397+0.00068282i,-0.0039176+0.00057721i,-0.0018466+0.0011566i,-0.00042911+0.0020537i,-0.00061004+0.0014645i,-0.00047643+0.00023868i,0.00028164-0.00059172i,0.00068092-0.0011126i,1.7964e-06-0.0013388i,-0.00079142-0.0013101i,-0.00068759-0.0012609i,-7.159e-05-0.001163i,0.00070354-0.00056739i,0.00056124+0.00014746i,-0.00021669+0.00022935i,-0.00052886+0.00042077i,-0.00049652+0.00057735i,-0.00033873+0.00058667i,-0.00010334+0.00046287i,-0.00034227-8.3747e-05i,-0.00045074+0.00027379i,-0.00063599+0.00069384i
-0.0013557+0.00016676i,0.00019054-0.00030289i,0.00027346+0.0006539i,-0.0004424+0.0012071i,-0.00033351+0.0010632i,-0.00019262+0.0002936i,0.00029197-0.00087413i,0.0005965-0.0014357i,0.00038316-0.0012819i,0.00042544-0.0007786i,-0.00048073-3.9182e-06i,-0.0012071+0.00023237i,-0.0010422+4.7767e-07i,-0.0011449+0.00032558i,-0.00096347+0.0011137i,-0.00039127+0.0008635i,-0.00023656+5.3176e-05i,-0.0009055-0.00014701i,-0.00034353+0.0001972i,0.00028183+0.00047455i,-0.00041019+0.00081422i,-0.00074884+0.00076602i,-0.00030447+0.00034761i
0.0004422-0.00093248i,0.0010343-0.00035929i,0.000773-3.9482e-05i,0.00073314+0.00030162i,0.00058475+0.00017172i,0.00064698+0.0010248i,0.00053576+0.0011368i,0.00042851+0.00056537i,0.00042479-0.00059513i,0.00059558-0.0011085i,0.00031484-0.00089779i,-0.00066242+0.00039754i,-0.0010881+0.0012063i,-0.00013341+0.00046879i,0.0010628-8.8067e-05i,0.00098021+0.00010869i,0.0006557+0.00066961i,0.00059829+0.00075871i,0.0004378-0.00020132i,-6.5075e-06-0.0011494i,-0.00054666-0.0010225i,-0.0013312-0.00043425i,-0.0012521-0.00010292i
-0.00054401+0.00063667i,-0.0003749+0.00016188i,-0.0013124-0.00032803i,-0.0015245+0.00029388i,-0.0010116+0.0011543i,-0.00069287+0.0015471i,8.801e-05+0.0012892i,0.0012195+0.00030149i,0.001372-0.00080021i,0.0011975-0.0014215i,0.00058345-0.0011773i,0.00021368-0.00065108i,0.00035277-0.00055268i,0.00015307-0.0010442i,-4.494e-05-0.00082232i,-0.00039889-0.0001312i,-0.00012757+4.6218e-05i,0.00047318+0.00028197i,0.00033667+8.0262e-05i,-0.00030136+0.00012165i,0.00010536-0.00029227i,0.00042743-3.6502e-05i,3.0907e-05+0.00036433i
-0.0017966-0.00041007i,-0.0017747+0.00043237i,-0.0012242+0.00068984i,-1.9285e-05+0.00067081i,0.00087283+0.00053891i,0.00061035+0.00086599i,0.00045983+0.00075091i,0.00072479+0.00025217i,0.001299-0.00029795i,0.0010344-0.0013375i,2.8858e-05-0.00077629i,-6.0271e-05+0.00037132i,0.0001773+0.00038295i,0.00026654-0.00011754i,-0.00017674-0.0008933i,-0.00024071-0.0014609i,0.00019887-0.0010899i,0.00016017+9.7947e-05i,0.00021006+0.00093508i,0.00015092+0.0003478i,-0.00043908+0.00025434i,-0.00040593+0.00037178i,-0.00034617+0.00018142i
-0.0017684+0.0031282i,-0.0014587+0.0032515i,-0.00080153+0.0043905i,-0.0009814+0.0047323i,-0.00033715+0.0033972i,0.0003722+0.0016457i,0.0014143-6.7553e-05i,0.0020925-0.0001742i,0.0010783-0.00036209i,-8.3717e-05-0.0010388i,-0.00074134-0.0008152i,-0.00037513+3.6424e-05i,0.00027171-0.00023079i,0.00074177-0.00042756i,0.00083765+0.00030102i,0.00026313+0.00086762i,-0.00019585+0.0010235i,2.39e-05+0.00056567i,-0.00011466+0.00021259i,-0.00079711+0.00026443i,-0.0012199+0.00082682i,-0.0012227+0.0017164i,-0.001431+0.00145i
0.002787-0.00085347i,0.0036965-0.00094025i,0.0038257+0.00016232i,0.0028813-8.3943e-05i,0.00098401-0.0010004i,0.000113-0.0007022i,0.00067974+0.0001185i,0.0015435-0.00016146i,0.0023423-0.00088759i,0.00082977-0.0014516i,-0.00092013-0.0017343i,-0.0010168-0.0016857i,-0.00043298-0.00099345i,-0.000594+0.00051831i,-0.0018367+0.0010976i,-0.0010953+0.00065629i,0.00051306+0.00053792i,0.00073603-0.00021664i,0.00074694-0.00048332i,0.0009883+0.00032193i,0.000745+0.00043915i,0.00050091+0.00042929i,0.00046592+0.00098503i
-0.00066854-0.00035188i,-0.00089763-0.00065274i,-0.00089051-0.0011279i,-0.00025353-0.00085281i,-0.00026388-9.8293e-05i,-0.0011279+0.00020976i,-0.00058569+0.00038115i,-0.00032052-0.00042293i,-0.00012417-0.0012587i,0.00039947-0.0012239i,0.00027796-0.0012871i,-0.00076173-0.00087446i,-0.0007886-0.00098688i,8.389e-05-0.00044636i,0.00063348+0.00077591i,0.00086479+0.00082181i,0.0003351+3.4094e-05i,0.00036931-3.0892e-06i,0.00068728+0.00028163i,5.9057e-05+0.00035382i,-2.5056e-05+0.0004198i,0.00013776+0.00092608i,5.4211e-05+0.001057i
-0.00088654-0.0022061i,-0.0014705-0.0013156i,-0.0026926+0.00044523i,-0.0025485+0.0027323i,-0.001165+0.003362i,0.0016078+0.0028529i,0.0027452+0.0013487i,0.0012701+8.4241e-05i,0.0010315-0.00066437i,0.0012259-0.00089835i,0.00019288-0.00078506i,-4.8752e-05-0.0001741i,3.4978e-05+0.0010032i,0.00020709+0.0017795i,0.00018414+0.00098445i,0.00022763+0.00017733i,0.00049481+0.00046836i,0.00026337+0.0001627i,-0.00061912-0.00019558i,-0.00087258-0.00022833i,-0.00087676+6.0939e-06i,-0.00063759+0.00085448i,-0.00035379+0.00067827i
0.0014139-0.00027591i,0.0023776-0.00087584i,0.0021555-0.00050285i,0.0011436+6.5514e-05i,2.2119e-05-0.00013393i,3.3002e-05-0.00086481i,0.0008443-0.0011294i,0.0010563-0.0015051i,0.0013891-0.0019793i,0.001319-0.0022985i,0.0004627-0.001348i,-0.00016412+0.00042847i,-7.4828e-05-0.00036557i,-0.00028943-0.0014026i,-1.0865e-05-0.0005613i,0.00095353-0.00051357i,0.0013135-0.00058359i,0.00079735+9.1833e-05i,-9.6568e-05+0.00061792i,-0.00088117+0.00028443i,-0.0011274-0.00073324i,-0.0003573-0.00069035i,-4.9167e-06-0.00042032i
-0.00074041+1.5776e-05i,-0.0018727+0.00069851i,-0.0026676+0.0012567i,-0.0018873+0.00074897i,-0.00067525-0.00014516i,-0.00076838+6.7344e-05i,-0.00049361+0.0013088i,0.00066355+0.0015067i,0.0010409+0.00032756i,0.0012663-0.00088713i,0.0013791-0.0011788i,0.00075555-0.00063434i,0.00022803-0.00037589i,-0.00052207-0.00037042i,-0.00074123-0.00015092i,-0.0004442-0.00015411i,-0.00033183-0.00010794i,-7.1455e-05+0.00039192i,-0.00018291+0.00085381i,-0.00051757+4.5171e-05i,-0.00019455-0.00029798i,-0.00014058+0.00057685i,-0.00041703+0.00084713i
0.00065144-4.1147e-05i,0.00097256-0.00035313i,0.00098303-0.00055016i,0.0014788+0.00035458i,0.0014008+0.0007582i,0.00070028+0.0014578i,-0.00035224+0.0016141i,1.4085e-05+0.00096587i,0.0012686-0.00023784i,0.0014352-0.0014844i,0.00047419-0.0020677i,-0.00046587-0.0017002i,-0.0011863-0.00069545i,-0.0019755+0.00036438i,-0.0019783+0.0013948i,-0.0015192+0.0020269i,-0.0012647+0.0010901i,-0.0007624+0.00052376i,0.00014474+0.00030712i,-0.00030262-0.00029667i,-0.00074265-0.00026462i,0.00011044-3.9254e-05i,0.00051257+0.00025311i
0.0013577+0.0013484i,0.001778+0.00068812i,0.0010423+0.00098127i,0.00046517+0.0014817i,0.00042719+0.0010705i,0.00060046+0.00066887i,0.00038748+0.0010052i,0.00058482-0.00035349i,0.0017502-0.0019165i,0.0019876-0.0016831i,0.0005222-0.00097742i,-0.0011159-0.0005449i,-0.0016543-0.00024358i,-0.0013325+0.00063993i,-0.00040957+0.0011319i,0.00049345+0.00097191i,0.00054406+0.00046816i,0.00036224+5.417e-05i,0.00057399+0.00023183i,0.00051099-8.3884e-05i,-0.00059865+0.00022401i,-0.0013355+0.0005501i,-0.00063635+0.00019938i
0.0027519+0.0016231i,0.0020189+0.00076321i,0.00081152-0.00046829i,-0.00011078-0.0012014i,-0.00075843-0.0015422i,-0.0013904-0.001526i,-0.00065741-0.0016111i,0.00050964-0.0021805i,0.0012486-0.0023829i,0.001481-0.0027979i,0.00036543-0.0026964i,-0.00073712-0.0014937i,-0.00092821-0.00026284i,-0.00042279+0.00034138i,-0.00010339+2.4835e-05i,-9.3889e-05+0.00026538i,-5.9983e-05+0.00087089i,9.5455e-05+0.00030105i,4.6564e-05+7.6323e-05i,-0.00028961+0.00021759i,-0.00070633+0.00025154i,-0.00046871+0.00011705i,0.00055459+0.00010598i
-0.0013614-0.0003438i,-0.0017748-0.0006323i,-0.0019298-0.00055152i,-0.0010238+0.00048276i,-0.00056042+0.0014421i,-6.1191e-05+0.0020094i,0.0003733+0.00087487i,0.00058506-0.00058566i,0.0006608-0.00099994i,2.8621e-05-0.0007967i,-0.00014385-0.0010837i,0.00035409-0.0009257i,0.00055993-0.00057988i,0.00092305-0.00080609i,0.0010734-0.00075062i,0.00066611-0.00022001i,0.00032973+4.2316e-05i,0.00028623+0.00015873i,-7.3373e-06+0.00054749i,-0.0010372+0.00059075i,-0.00076178+0.00018548i,-0.00014597-0.00060681i,-0.00010261-0.0010234i
-3.7199e-05+0.0022792i,-0.0003209+0.0027612i,-0.00051755+0.0035503i,-6.5317e-05+0.0034406i,0.00050681+0.0023039i,0.00027335+0.0010114i,-0.0004053+0.00016106i,-0.00026818-0.00059018i,0.0003899-0.00046889i,0.00047549-0.00045433i,5.1877e-05-0.00037301i,0.00017517-0.00023993i,0.0004552-0.00076062i,-0.00026488-0.00045815i,-0.00086934-0.00069268i,-0.00044384-0.00084228i,-0.00022412-0.00034885i,-0.00012319-4.918e-05i,0.0001196+7.5491e-05i,-2.642e-05+0.00034649i,0.00011115+0.00028962i,0.00035864+0.00071164i,0.00010945+0.00082203i
-0.0023044-0.0023927i,-0.0017079-0.0033352i,-0.0027049-0.0019398i,-0.0030184+0.00035974i,-0.0015913+0.0014372i,0.00040583+0.0018792i,0.0011308+0.0010207i,0.0010689+0.00029189i,0.0010992-9.1179e-05i,0.00065003-0.001012i,7.4569e-05-0.0011568i,-0.00034153-0.00070949i,-0.00085532-0.0001606i,-0.00099825+0.00013304i,-0.00076473+8.2665e-05i,-0.0010112-0.00050891i,-0.00095782-0.00048867i,-0.00059254+0.00022676i,0.00030581+3.7837e-06i,0.00056065+0.00025833i,3.6919e-05+0.0010089i,-0.00032896+0.0010333i,-0.00055727+0.00034645i
0.0008815-0.00024573i,0.0016103+0.00022485i,0.0026408-0.00091559i,0.0022218-0.0016033i,0.0014291+2.6066e-05i,0.001488+0.001681i,0.0015455+0.00111i,0.0014679+0.0011891i,0.0016703+0.00059082i,0.0010842-0.00067163i,0.00029722-0.0011074i,0.00036653-0.00078674i,0.0003088-4.0628e-05i,-0.0002796+0.0004618i,-0.0011957+0.00095918i,-0.0019521+0.0011359i,-0.0018473+0.0012006i,-0.0012823+0.00063987i,-0.0014501-0.00045667i,-0.0013348-0.0008243i,-0.00065574-0.00073142i,-0.00016899+9.5479e-05i,0.00059211+0.00076204i
0.0012779+0.00014064i,0.00098011+0.00080872i,0.00066999+0.0011465i,0.00017729+0.00062712i,0.00024913+0.00073513i,0.00017705+0.00060179i,0.00019807-0.00032161i,0.00096646-0.00087319i,0.0016377-0.0011102i,0.0015674-0.0012514i,0.00058419-0.0014605i,-0.00036474-0.0009565i,-0.00078143+0.0004754i,-0.00075698+0.00064948i,-0.00060358+7.243e-05i,-0.00014218+9.6403e-05i,0.00036972+0.0002578i,-0.00039101+0.00017763i,-0.0011715+1.4558e-05i,-0.00091652-0.00014086i,-0.00073913-0.00074474i,-0.00023639-0.00054927i,0.00051622+0.00025376i
-0.0021698-0.0012309i,-0.003414-0.00042032i,-0.0040677+0.000857i,-0.0032707+0.0024326i,-0.00088516+0.0030687i,0.00098156+0.0021575i,0.0012585+0.00060039i,0.00082957-0.00067736i,-0.00019795-0.00080565i,-0.0013101-0.00067649i,-0.0016273-0.00063924i,-0.00066252+0.00054027i,-0.0002664+0.0010149i,-0.00071752+0.00063386i,-0.0011191+0.00054799i,-0.00041981+0.0004511i,0.00014578+0.00033163i,-0.00040393+0.00031479i,-0.00097824+0.00049795i,-0.0007562+0.00064143i,0.00013181+0.00094159i,-0.00039626+0.0012408i,-0.00067308+0.001491i
-0.001102-0.0003227i,-0.00047088-0.00041335i,-0.00022213+0.00058806i,-0.00053664+0.0011238i,0.00033029+0.0017306i,0.0005548+0.0017515i,0.00067558+0.0011302i,0.0014691-0.00050471i,0.0015238-0.0019747i,0.00095082-0.0015631i,-0.00051742-0.00094112i,-0.0010321-0.00080717i,-0.00042748-0.00082098i,-0.00037503-0.0014752i,-0.00072318-0.0010661i,-0.00084069+0.00034091i,-0.00020027+0.0012901i,0.00069785+0.0016023i,0.0010181+0.0017166i,0.001045+0.00090265i,0.000345+0.00027968i,-0.00097625+0.00037492i,-0.0014674+0.00024464i
0.0040185-7.2929e-05i,0.00351-0.00020089i,0.0035539-0.0024036i,0.0017114-0.0036948i,-0.00085818-0.0034387i,-0.0018615-0.0024623i,-0.00117-0.0017294i,-0.00057592-0.002258i,0.00050341-0.0022307i,0.0010359-0.00086695i,2.8302e-05-0.00056738i,-0.00027324-0.00036678i,7.9823e-05-0.00027959i,-0.00028509-0.00098006i,-0.00053086-0.00092014i,-0.00043643-0.0011476i,-8.898e-05-0.0011237i,0.00024798-0.00065017i,7.3583e-06-0.00081328i,-0.0007244-0.00025468i,-0.00082656+0.0003442i,-0.00023454+0.00046136i,0.00062148-0.00034127i
0.0002648+0.0011728i,0.0007364+0.001166i,0.0013831+0.0014565i,0.0011984+0.001814i,0.0012655+0.0019741i,0.00046272+0.0022071i,1.3078e-05+0.0010517i,-0.00010285-0.0004753i,-0.00043643-0.00027208i,-0.00010754-0.00035965i,0.00074265-0.0010465i,0.00090105-0.00098465i,0.00015337-0.00084337i,-0.0003912-0.00032953i,-6.2676e-05+0.00020378i,-7.3845e-05+5.3037e-05i,-0.00039123+0.00026955i,-0.00055183+0.00048972i,-0.00080693+0.00026418i,-0.00049135+4.106e-05i,0.00037416-0.00061846i,0.00071704-0.00038246i,-0.00034978+0.00011341i
-0.0020781+0.00042358i,-0.0033073+0.00038821i,-0.002707+0.00061697i,-0.0021519+0.0013789i,-0.0018463+0.0016057i,-0.0010177+0.0011226i,-0.00014949+0.00098373i,0.00042439+0.00053912i,0.00043482-0.00027448i,0.00032547-0.0018417i,0.00019669-0.0024457i,-4.01e-05-0.0015874i,8.6025e-05-0.0014877i,-1.8154e-05-0.001334i,4.1185e-05-0.00033863i,-4.3184e-05+0.00011962i,-0.00011024+0.00067358i,0.00017524+0.0017035i,0.00032022+0.0014261i,-0.00029707+0.00047533i,-0.00050018+0.00020095i,-0.0002473+9.2729e-05i,0.00038927+3.0036e-05i
0.00020693-0.00040694i,0.0014604-0.0018125i,0.0020819-0.0016828i,0.0026257+1.9947e-05i,0.0020342+0.0010895i,0.0012911+0.00094276i,0.0010856+0.00069209i,0.00090965+0.00042151i,0.0015232-6.2104e-05i,0.0017373-0.0013623i,9.0876e-05-0.0018154i,-0.0012-0.0012214i,-0.000479-0.0017386i,-3.7933e-05-0.0019069i,-0.00013713-0.0011308i,0.00016913-0.00053649i,9.9296e-05-0.0010111i,-0.00045549-0.0012124i,-0.00061868+0.00018032i,-0.00025591+0.00052189i,0.00036649-0.00010898i,0.0002566+0.0001893i,-0.00050528+0.00051215i
0.0024839-0.00033282i,0.0025991-0.00032396i,0.0016131-0.00059552i,0.00045766-4.9121e-05i,-0.0021478+0.00060249i,-0.0028782+0.00010232i,-0.00061632-0.00084917i,0.0012744-0.0013863i,0.0022403-0.00076688i,0.0015515-0.00037517i,0.00015221-0.00092297i,-0.00045496-0.0005638i,-0.00060287-0.00055718i,-0.00048938-0.0010025i,-0.00044554-0.00028874i,-0.00057022-0.00076193i,-0.00065635-0.0015314i,0.00029083-0.00042229i,0.00085877+0.00075606i,0.00094569+0.00042833i,6.3148e-05-0.00052889i,-0.00065472-0.0006341i,0.00019516+2.446e-05i
0.00018041+0.00064464i,-0.00098145-7.2714e-05i,-0.0031974-0.00065143i,-0.003834+0.00054393i,-0.0021471+0.002173i,-7.3121e-05+0.0013293i,0.0011309-0.00015051i,0.0016754-0.00053663i,0.0011345-0.0011712i,0.00028966-0.0022564i,-0.00043755-0.0021333i,-0.0011473-0.0010386i,-0.0012891+1.172e-05i,-0.0006253+0.00096158i,0.00034244+0.00050764i,0.0003215-0.00021839i,5.8874e-05-2.4184e-05i,-2.4722e-05+4.3054e-05i,0.00059912+0.00011748i,0.0011547+0.0004967i,0.00052427+0.00053547i,0.00017162+0.00065945i,0.00028515+0.00083369i
-0.00020945+0.00099695i,-0.00040235-0.00012048i,0.00082688+0.00013779i,0.00097387+0.00026714i,0.0010472-0.00012509i,0.0012108-0.0008098i,0.00082815-0.0014009i,0.00084098-0.0023004i,0.0012403-0.0029774i,0.0013749-0.0033917i,0.0016441-0.0026617i,0.0013039-0.001511i,0.00028376-0.0010359i,-0.00049171-0.00015038i,-0.0010733+0.00029521i,-0.00086525+0.00025482i,-0.00046268+0.00083457i,-0.00061356+0.00098663i,-0.0005684+0.00073326i,-0.00051836+0.00089286i,-0.00038365+0.00090535i,-0.00023075+0.00071151i,-6.1997e-05-4.6359e-05i
0.00068728-0.0016218i,0.00077127-0.001475i,0.0013122-0.0014119i,0.00084243-0.00080762i,-0.00041885+0.00039755i,-0.00095934+0.001048i,-0.0007192+0.0013163i,-0.0010607+0.00025155i,-0.00026536-0.00074993i,0.0014482-0.00088021i,0.0013465-0.0013247i,0.00091619-0.0015518i,0.00022126-0.001078i,-0.00056628-0.0015306i,-0.00053566-0.002208i,-0.00046495-0.0018419i,-0.00053136-0.0010852i,-1.1858e-05-0.00021376i,7.7823e-05+0.00032468i,-0.00018093+9.7698e-05i,-0.00045742-0.00028795i,-0.00069105-0.00053613i,-0.00032086-0.00045751i
0.0050622+0.0032032i,0.004345+0.0032351i,0.0037225+0.002302i,0.0024548+0.001235i,-0.00036004+0.0003681i,-0.0021264-8.375e-05i,-0.0012931+0.00023677i,0.00013981+0.00040242i,0.00080357+0.00056575i,0.00045698+0.00040236i,-0.00074607-0.00043134i,-0.0010904-0.00058596i,-0.0001697-0.0008334i,0.00063028-0.0013484i,0.0014109-0.0011712i,0.0005777-0.00097348i,-0.00063346-0.0006537i,-0.00038799+0.00016935i,0.00066513+0.00026871i,0.0012377-0.00012653i,0.00064791-0.00033886i,2.9842e-05-0.00016927i,0.00060149+6.6306e-05i
-0.0024991+0.002071i,-0.0017268+0.0020049i,-0.0017082+0.0010758i,-0.0020382+0.00039468i,-0.0014412-0.00053777i,0.00045887-0.0007366i,0.001763-0.00012304i,0.0015137-3.8654e-05i,0.0015265-0.0010329i,0.0010817-0.0018021i,-0.00045494-0.0012933i,-0.0012498-0.00055678i,-0.0011555-0.00021431i,-0.00096514-3.2043e-05i,-2.7606e-05+0.00024542i,0.0010715+0.00014193i,0.00082689-0.0001751i,-0.00018801+0.00037793i,-0.00085624+0.00095855i,-0.00058094+0.00068929i,7.388e-05+0.00046544i,7.0087e-05+0.00029934i,-2.1858e-05+0.00028954i
-0.00077268+0.0022198i,-0.00058439+0.0014348i,-0.00094012+0.0010314i,4.7848e-05+0.0011258i,0.0012685+0.0018182i,0.0017675+0.0014853i,0.0018132+0.00036758i,0.0016063-0.0010102i,0.0024912-0.0020006i,0.003367-0.001699i,0.0027228-0.0010055i,0.0018026-0.00083374i,0.00087937-0.00085598i,-0.00036519-0.00045717i,-0.00081293-0.00064878i,-0.00063468-0.0006602i,-0.00059291-0.00026087i,-0.00025864+0.00015569i,0.00011894+1.4179e-06i,9.3655e-05-6.6736e-05i,-0.00018895-0.00038603i,-0.00033538-0.00080506i,5.7619e-06-0.00094871i
-0.00041487+0.0020329i,-8.5556e-05+0.0018476i,0.0007676+0.0017105i,0.00084731+0.0011428i,0.00079326-0.00036354i,0.00040684-0.00076432i,0.000423-0.00093186i,0.0010698-0.0011048i,0.0014401-0.0014339i,0.0014285-0.0017661i,0.0010899-0.00086299i,0.0013174+0.00044907i,0.0013528+0.00068362i,0.00058812+0.00023088i,0.00034735-0.00018575i,0.00065082-0.00058313i,0.00072207+6.3244e-05i,0.00044301+0.00055918i,9.9493e-06-0.00026213i,-0.00032613-0.00032086i,0.00017776+0.00048615i,0.00052499+0.00032444i,0.00061695+0.00032613i
-0.00093141+0.0030464i,-0.0011214+0.0021591i,-0.00076981+0.0022264i,-7.3007e-05+0.0019632i,8.8849e-06+0.00094506i,6.4867e-05-0.00040944i,-0.00041858-0.0013383i,-0.0011741-0.00073145i,-0.0009774-0.00042751i,-0.0016706-0.00095778i,-0.0016029-0.0017236i,-0.00032252-0.0010797i,0.00063193+0.00058288i,3.3257e-05+0.00071744i,-0.0004585+0.0012135i,-4.6682e-06+0.0019936i,0.00017392+0.001149i,0.00023529+9.7163e-05i,-0.00057557-0.0007176i,-0.00069625-0.00087011i,-3.9559e-05+5.1213e-05i,0.0001997+0.00043503i,-0.00017508+4.6062e-05i
-0.0028584+0.00094418i,-0.0027656-0.00051371i,-0.0032187-0.00032929i,-0.002783-0.00044609i,-0.0014283-0.00041594i,-0.00051079+0.0010499i,-0.00081768+0.00078703i,-0.00086881-7.5063e-06i,-0.00075959-0.00057309i,-0.0007007-0.0020393i,-0.00082059-0.0026647i,-0.0014076-0.0020015i,-0.0018268-0.00070967i,-0.0023254+0.00012005i,-0.0017597+0.00052283i,-0.00057193+0.00079618i,-9.0501e-05+0.00067191i,-0.00026846+5.1236e-05i,-9.9598e-05-0.00049502i,0.0003177-0.00046519i,-1.2474e-05-8.1728e-05i,-0.00025133-0.00068461i,-0.00020423-0.00073543i
-0.00175+0.0019905i,-0.0022997+0.0033356i,-0.0019744+0.0043651i,3.6404e-05+0.0041492i,0.0016613+0.0033575i,0.0020075+0.0019722i,0.0014035+0.00063238i,0.00083133+0.00036187i,0.0015265+0.00084348i,0.0023171+0.00055083i,0.0016765+0.00035666i,0.00088976+0.0014788i,0.0007459+0.0010012i,-0.00017146-0.00024729i,-0.00083619+0.00025677i,-0.00051172+0.00012878i,0.00064397-0.0015068i,0.0016361-0.0018449i,0.0019204-0.00074169i,0.00093845+0.00028246i,-0.00023474+0.00016465i,-0.00012403-2.7652e-05i,-0.00036329-0.00019746i
5.9607e-05+0.00092858i,0.001196+0.0024223i,0.0011308+0.0031381i,0.0010143+0.002881i,0.001089+0.0021107i,0.0015832+0.00075872i,0.0024031-0.00020107i,0.0030295+1.9361e-05i,0.0032711+0.00037116i,0.0026013-1.3901e-05i,0.00070773-0.00023009i,0.00021104+0.00068772i,0.00057412+0.0010884i,0.00014005+0.00045832i,0.00019854-0.00010897i,0.00041572-0.00037548i,0.00027366-0.00074615i,0.00035516-0.00074865i,0.00024198+1.6777e-05i,-0.00052726+0.00040355i,-5.2511e-05-9.5367e-05i,0.0010561+0.00051424i,0.0013676+0.0022847i
0.0033808-0.0005003i,0.0035295-0.00072319i,0.0027423-0.0018155i,0.00013745-0.002069i,-0.0014636-0.0010806i,-0.0017857-0.00022305i,-0.0012983-0.00012453i,-7.036e-05-0.00094045i,0.0020274-0.0026024i,0.0023068-0.0037165i,0.00086891-0.0028824i,0.00050144-0.0018341i,-4.8919e-05-0.0015989i,-0.0014705-0.00051807i,-0.0018181+0.00018343i,-0.0005549+9.8869e-05i,9.7635e-05+0.00029905i,-0.00028138+0.00010664i,-0.00043211-8.1966e-05i,-0.00025886-0.00027035i,-0.00074756-0.00022834i,-0.0011431+0.00035734i,-0.00060628+0.00050733i
-0.0018475+0.001438i,-0.0027883+0.0026748i,-0.0022964+0.0025338i,-0.00063191+0.001686i,0.00099086+0.0027472i,0.00090325+0.0021586i,0.00049555-4.116e-05i,0.00020289-0.0014939i,0.00034082-0.0030646i,0.00046664-0.0037781i,0.00015755-0.0031067i,0.00058502-0.001783i,0.00073332-0.00065688i,0.00024744-0.00062138i,-0.0001845-0.00084759i,-0.00070489-0.00029201i,-0.00089487+2.2758e-05i,-0.00042526+0.00018837i,-0.00012757-0.0001417i,-0.00039135-6.758e-05i,-0.00034261-3.6636e-05i,-7.2193e-06-0.00022236i,0.00030365-0.00039936i
0.0003433-0.0021136i,0.0020852-0.0023199i,0.0023321-0.0015907i,0.0013417-0.00017617i,1.9549e-05-0.00028377i,-6.6743e-05-0.00052221i,0.00051969-0.00065233i,0.00022814-0.00080728i,-0.00013329-0.0010517i,-0.00086494-0.0014826i,-0.0020107-0.00037421i,-0.0018712-0.00071067i,-0.00072086-0.0013233i,0.00016237-0.00056092i,0.00072282+0.00015618i,0.00037452+0.00059814i,0.00036689+0.00041141i,0.001363+0.00038582i,0.00037052+0.0010631i,-0.00026682+0.00075508i,6.2459e-05+0.00019982i,0.00011417+8.205e-05i,9.6619e-05-0.00011455i
-0.0015173-0.00060151i,-0.0017715-0.00043363i,-0.0025231+0.0014636i,-0.0026209+0.0035447i,-0.0016271+0.0038959i,0.00040291+0.0022563i,0.001244+0.00098959i,0.00069403+0.0010036i,7.0246e-05+0.00093759i,-0.0009036+0.00021382i,-0.0016282-0.00056365i,-0.0013072-0.00024143i,-0.0012269+0.00046663i,-0.0011859+0.00032419i,-0.00066138+6.1644e-05i,0.00047419-0.00028092i,0.0015386-0.00070362i,0.0013405-0.00046709i,5.7846e-05+0.00036423i,-0.00054554+0.00053201i,0.00011723+0.00042163i,0.00050419+0.00074633i,0.00046436+0.00086505i
0.00048939-0.003339i,-0.0014868-0.0031629i,-0.0037508-0.0025347i,-0.0040445-0.0016764i,-0.0031394-2.4302e-05i,-0.0022981+0.0011575i,-0.0011428+0.00047778i,0.00013713-0.00014195i,0.00069698-0.00065676i,0.00024927-0.00093472i,-0.00025423-0.00017036i,-0.00069117+0.00043382i,-0.00081281+0.00018914i,-0.00064435+0.00014096i,-0.00087627-0.0006057i,-0.0010824-0.00065093i,-0.0011735+0.0003125i,-0.0013339+0.0012087i,-0.001287+0.0013526i,-0.00091135+0.00064639i,-0.00047728+0.00038488i,-0.00068367+0.00039745i,-0.0014258+0.00025711i
-0.00149-0.00061925i,0.00062017-0.0011455i,0.0015687-0.0002836i,0.0018283+0.0002616i,0.0018975+0.00091149i,0.0010388+0.00033753i,0.00040283-0.00077673i,0.00052954-0.0016802i,0.0015573-0.0025631i,0.0028275-0.0028899i,0.0027705-0.0016592i,0.00178-0.00039349i,0.0008112-0.00031094i,0.00021717-0.00012075i,-0.00045773-0.0002467i,-0.0011495-0.00036733i,-0.0015207-0.00044105i,-0.00089306-1.4571e-05i,-0.00050666+0.00017187i,-5.1148e-05+0.0001335i,0.00064133+0.00022635i,0.00048273-0.00061906i,0.0004312-0.0011069i
