-0.0021294+0.00014801i,-0.00074494-0.00055173i,-0.0015842-0.00022669i,-0.0024837+0.0015376i,-0.0016665+0.0034316i,-0.00060159+0.0032099i,-0.00028889+0.0014219i,-0.00028531+0.00047687i,-0.00017401+0.00060188i,0.00050796+0.0016876i,-6.573e-05+0.0010682i,-0.0003316+0.00011248i,-0.00042771+0.00023711i,-0.00073778+0.0003242i,-0.00031871+0.00062567i,-0.00024789+0.0010322i,1.5943e-05+0.00062638i,9.6446e-05+0.0005653i,-0.00025992+0.00030512i,0.00057062-0.00047703i,0.0011414-0.00027429i,0.00081093+4.7658e-05i,0.00014047+8.5861e-05i
-0.0020201+0.0027264i,-0.0020371+0.0022219i,-0.0020483+0.0014866i,-0.0019453+0.0010097i,-0.00095481+0.00092545i,5.8587e-05+0.0010297i,0.0006217+0.00028988i,0.00048596-0.00055961i,0.00036631-0.0010679i,0.00025339-0.0013911i,-0.00012049-0.00045396i,-0.00058232+0.00041193i,-0.00084892-0.00024177i,-0.00042703-0.0011638i,-0.00086344-9.2274e-06i,-0.00072479+0.0013186i,-0.00039849+0.0013617i,-0.00065254+0.00057011i,-0.0002146+7.1058e-05i,0.00028638+0.00072832i,0.0008251+0.001123i,0.001445+0.00046543i,0.0009575+0.00027347i
0.0010141-0.0023455i,0.00064766-0.002122i,0.00077098-0.0016484i,4.19e-05-0.0012151i,-0.00073902+0.00058583i,-0.00024222+0.0019181i,0.00017579+0.0015388i,-0.00017953+2.7781e-05i,-0.00054374-0.0010429i,-0.0014129-0.00076582i,-0.0014902-4.4421e-05i,-0.00094975-4.1845e-05i,-0.0006206-0.00048062i,-0.00084803-1.6194e-05i,-0.00084567+0.00056038i,-0.00066712+0.00038701i,-0.0013103+0.0011225i,-0.0011383+0.002042i,-0.00022282+0.0015497i,0.00036769+0.00022315i,0.00061964-0.000691i,0.00032996-0.00094525i,9.5691e-05-0.0012435i
0.0021191-0.0030225i,0.002155-0.0033154i,0.00098577-0.003823i,-0.0019375-0.0028578i,-0.0029784-0.0004576i,-0.0015459+0.0010898i,-0.0002871+0.00060031i,0.00027328-0.0014198i,-2.6314e-05-0.0024072i,-0.00091431-0.0019631i,-0.00034007-0.00058458i,0.00084375+0.00073331i,0.0010085+0.00051704i,0.00040552+0.00026766i,-0.00015907-0.00010646i,-0.00052276+4.7685e-05i,-0.00064659+0.00060468i,-0.0004399+0.00075151i,-0.0002693+0.00062167i,-1.0781e-05-0.0003024i,0.00031092-0.00038152i,0.00012592+0.00017501i,-0.00014343+0.00034874i
-0.0016393+0.001993i,-0.001939+0.0020009i,-0.0020363+0.0010887i,-0.0013069+0.0005866i,-0.00024907+0.00085314i,0.00024301+0.0012686i,0.00083176+0.00074302i,0.00075446+0.00038954i,-9.0838e-05-0.00039241i,0.00052724-0.0014236i,0.0009054-0.00069052i,0.00014322+0.00031307i,-0.00051082+0.00034802i,-0.00070454+9.0006e-05i,-0.00089489-0.00019678i,-0.0016915-0.00019828i,-0.0012182+0.00079501i,-0.00037416+0.0012552i,-7.3689e-05-0.00056179i,-0.00049542-0.00095349i,-0.00093526-0.00025026i,-0.00076-1.8523e-05i,-0.00020912-0.00043779i
0.00020681-0.00041184i,0.0010034-0.00027106i,0.00062554-4.3391e-05i,8.3158e-05+0.00039932i,0.00017331+0.00064683i,0.0005823+0.00045094i,0.00048372-5.8162e-05i,6.7909e-05-0.00076129i,-0.00046266-0.0010457i,-0.00063971+0.00028779i,-0.00023682+0.00078914i,0.00021621+0.00078324i,-0.00062297+0.00078696i,-0.00075308-0.00021847i,0.00021978-0.00069974i,0.00044053+0.00026653i,0.00022754+0.001051i,0.00024937+0.00092374i,0.00090212+0.00037454i,0.00075032+3.0471e-05i,-0.00020772-0.00022324i,-0.0004368-0.00010141i,-0.00056917-2.0388e-05i
-0.0011663-9.5213e-05i,4.8571e-05+0.00059561i,-0.00067272+0.00050542i,-0.0015168+0.00036458i,-0.0010716+0.0020638i,7.5881e-05+0.0031972i,0.00073506+0.00097253i,0.00018239-0.0010761i,-0.00054235-0.0014825i,-0.00076408-0.00095465i,-0.00016188-0.00022933i,-0.00012612+6.8787e-05i,-0.001023+0.00044325i,-0.00056446+0.00051613i,-0.00022404-5.3289e-05i,-0.00081201+0.00027928i,-0.00075582+0.00074612i,-0.00052333+0.00070529i,-0.00046753-1.4339e-05i,0.0004973-0.00087934i,0.00057758-0.00091736i,0.00026995-0.00080899i,0.00049707-0.00021517i
0.00094315-0.00015797i,0.0009153-0.00042003i,-0.00039006-0.0014233i,-0.0011162-0.0013294i,-0.00048168-0.00027877i,0.00067719+0.00069878i,0.0012435+0.00043622i,0.00054562-0.00054638i,-0.00019965-0.0010422i,-0.0004392-0.0018454i,-0.0011819-0.0014198i,-0.0019274+0.00028133i,-0.0012703+0.00066242i,9.1149e-06+0.00060131i,-0.00015247+0.00039169i,-0.00090082-0.00018072i,-0.000849-0.00025649i,-0.00014579-0.00027815i,-7.6893e-05-0.00013698i,0.00047174+0.00010235i,0.0009057+0.00043315i,0.00022667+0.00085557i,-0.00049972+0.0011004i
9.1561e-05-0.00096415i,-0.00042856-0.00071485i,-0.0027408-0.0011332i,-0.0031544-0.00043296i,-0.0021824+0.00087173i,-0.00035317+0.002393i,0.00090654+0.00199i,0.00069466-0.00016067i,4.623e-05-0.001464i,-0.00066723-0.00040151i,-0.0011053+0.0005472i,-0.00045541+0.0011704i,-0.0002495+0.001815i,-0.00068516+0.0010657i,-0.00090479-2.0572e-05i,-0.00078095-0.00091838i,-0.00042507-0.00066056i,-0.00023077-0.00041653i,0.00020079-0.00039773i,0.00064769+0.00018444i,0.00087132+2.4304e-05i,0.00031717-0.00022778i,-0.00033502-6.7405e-05i
0.00074831-5.0694e-05i,0.0003443+0.00033879i,-0.00051552-0.00061775i,-0.0014635-0.00085567i,-0.0019934+0.00081299i,-0.0010129+0.0016164i,0.00030925+0.0006204i,0.00072452+0.00029275i,-8.1924e-05-0.00090936i,-0.001059-0.0014278i,-0.0014666-0.00071877i,-0.0011851-0.00042786i,-0.00069945-0.00015011i,-0.00075581+0.00033667i,-0.001185+0.00088638i,-0.0014026+0.001061i,-0.00072981+0.0011996i,-0.00017456+0.0013989i,0.00044094+0.00091099i,0.00089946+3.8641e-05i,0.00077617-0.00060861i,0.00042239-0.00081291i,-0.00014202-0.00053922i
0.0010899-6.5885e-05i,0.0021305-0.00080501i,0.0027777-0.0018243i,0.00179-0.00075441i,0.00011233+0.00050374i,-0.00083519+0.00031677i,-0.00038486-0.00013683i,0.00033387-2.9978e-05i,0.00063607+0.00039815i,0.000597+0.0002848i,0.00053727-0.00034387i,0.00012898-0.00030038i,-0.00080421+0.00040744i,-0.00075004+0.0014086i,-0.00056513+0.0016603i,-0.00094175+0.00080558i,-0.001254+0.00047614i,-0.00080446+0.0011232i,0.00020502+0.001446i,0.00056108+0.00069292i,0.00050316-0.000147i,0.00014604-0.00029665i,-0.00034713+0.00019828i
0.0018046+0.00020872i,0.00070871-0.00058278i,0.00052678-0.0026739i,-0.00037076-0.0024138i,-0.0020541-0.00036371i,-0.0011996+0.001458i,0.00071992+0.0015158i,0.00098098+7.6936e-05i,0.00042058-0.00077187i,-0.00061759-0.00041516i,-0.0014607-7.9796e-05i,-0.0014027-0.00026391i,-0.0013424-0.00020374i,-0.0011992-0.00033269i,-0.00067475-0.0010715i,-0.00041648-0.0011617i,-0.00098608-0.00054467i,-0.00095105-0.00052815i,-0.00063557-0.00067308i,-0.00073219+0.00011171i,-0.00042317+0.00076183i,-9.0173e-05+0.00037068i,7.0991e-05-0.00021036i
0.0013686+0.0015782i,0.0013765-0.00013722i,0.00046883-0.00035189i,0.00046862+0.00098754i,0.0010871+0.0014028i,0.00088788+0.00052447i,0.00018302-0.00093429i,-0.00023867-0.0015062i,-0.00073706-0.0008264i,-0.0011235-0.0013688i,-0.0012718-0.0013877i,-0.0017102-0.0013198i,-0.0020056-0.00085101i,-0.0014602-5.4598e-05i,-0.00083927-0.0003824i,-0.00092186-0.00013524i,-0.00073241+0.00051032i,-0.00043779+0.00011321i,-0.00041535+1.5916e-05i,-0.00024444-0.00058662i,-0.00055152-0.00093853i,-0.00062398-0.00054872i,-0.00074683-0.00025123i
-0.00072923+0.00015482i,-0.0011847+0.0009011i,-0.0010943+0.0018151i,-0.0002348+0.0011322i,0.00036098+0.00044011i,-0.00049467+0.00074059i,-0.0010971+0.00041655i,-0.00087591-8.8396e-05i,-0.0010139+0.00016475i,-0.00089676+0.00067064i,-7.1226e-05+0.00057441i,0.00053953+0.00026448i,0.00036913+0.00047716i,-0.00034278+0.00061953i,-0.00069231+0.00037734i,-0.00061729+0.00047556i,-0.00043257+0.00095486i,-0.00064965+0.00083433i,-0.00029628+3.5222e-05i,0.0010059-0.0004938i,0.0014685-0.00045043i,0.00089194-0.00047353i,0.00045271-0.00025256i
-0.00031205+0.00056583i,-0.00025438+0.00022214i,0.0006145+0.00033896i,0.0010689+0.00055474i,0.00043992+0.00069821i,0.00040697+0.00046833i,0.00068509+0.00028838i,0.00029494+8.7049e-05i,-0.00027016+4.3228e-05i,-0.00050381+0.00011942i,-0.00078909+0.00023124i,-0.0015062+0.00026036i,-0.0010044-0.00047968i,-0.00015144-0.00082476i,-0.00093747-0.00036053i,-0.0012201-1.6005e-05i,-0.00084046+0.00010879i,-0.00081995+6.6551e-05i,-0.0012084+0.00020973i,-0.0013159-0.00040835i,-0.00088279-0.00073363i,-0.00028737-0.00037966i,-6.9574e-05-0.00025407i
0.0015554-0.0015147i,0.00025092-0.002685i,-0.00096746-0.0034668i,-0.0023557-0.0021836i,-0.0027881+0.0005602i,-0.0017926+0.0026039i,-0.00049905+0.0013973i,0.00038539-0.0001372i,0.00034199-0.00059688i,-0.00069097-0.00076885i,-0.0015585-0.0004063i,-0.0014212+0.0003169i,-0.00069622+0.001214i,0.00023813+0.0013784i,0.00066825-0.00045522i,5.9553e-05-0.0016601i,5.7143e-05-0.0014981i,0.00042097-0.00029114i,0.00016162+0.00088024i,0.00018873+0.00066259i,0.00017475+0.00069476i,-0.00055501+0.0002118i,-0.00094783-0.00021099i
0.0012743-0.0034991i,-0.00078873-0.0027765i,-0.0025766-0.0038968i,-0.0037834-0.0023787i,-0.0041617+0.0016219i,-0.0026769+0.0025702i,0.00012976+0.00099592i,0.0012217-0.00052551i,0.00041075-0.0016211i,-0.00043925-0.0018927i,-0.00068798-0.00047563i,-0.0010521+0.0010665i,-0.00067881+0.00044389i,0.00056896-0.00051467i,0.0005997-0.00040465i,-0.00010699+0.00010907i,-0.00058171+0.0010451i,-0.00052055+0.00096848i,0.00033873+0.00042015i,0.00039752+0.00014283i,-0.00016633-0.0006526i,-0.00019005-0.00073071i,-8.9719e-05-0.00037691i
-0.0024993-0.00027184i,-0.0013887+0.00050458i,-0.00053085+0.0023746i,-0.00052619+0.00247i,-0.0017604+0.0015192i,-0.0018959+0.0009831i,-0.00043962+0.00055814i,0.00015633+0.00022275i,-0.00016722-0.000326i,7.5153e-05-0.00076024i,0.00052044+3.6228e-05i,-0.00058505+0.0010684i,-0.0015157+0.00055075i,-0.00090181+0.00040918i,-4.1268e-05+0.0010075i,-0.00040499+0.0010785i,-0.00079443+0.0010085i,-0.00052181+0.00062495i,-0.00048931+2.5771e-05i,0.00058244-0.0005706i,0.0010908-0.0011104i,0.00049397-0.0011062i,-4.1735e-05-0.00020997i
0.0035116+0.0008621i,0.0028292+0.0010186i,0.0024659+0.00051316i,0.002346-0.00017263i,0.0013968-0.0005128i,0.00016237+8.0297e-05i,-0.00067015+0.00022595i,-0.00019862-0.00036742i,0.00041854-0.0013231i,-0.00010208-0.0016312i,-0.00084783-0.00047343i,-0.00075727+0.00034605i,-0.00077037+0.0014687i,-0.00085117+0.0015932i,-0.00048028+0.00092711i,-1.5241e-05+0.00069773i,0.00037312+0.0006262i,0.00028741+0.001056i,0.00031493+0.00099507i,0.0005611+0.00063946i,0.00052754+0.00038742i,-0.00013579+0.00018787i,-0.00066103+0.00018221i
0.00042741+0.00020459i,0.001275+0.0003381i,0.001154+0.00058945i,7.8881e-05+0.00044005i,-0.00013017+0.00057226i,0.00038628+0.00089384i,0.00018285+0.00078213i,-0.00052707-0.00071262i,-0.00063874-0.001607i,-0.00045733-0.0017012i,-0.00086728-0.0014916i,-0.0013688-0.0001947i,-0.0012151+0.00017472i,-0.00035839-0.00041148i,0.00026332-0.00066865i,-0.00010749-9.841e-05i,-0.00015705+6.4393e-05i,0.00057899+0.00027547i,0.00099849+0.00073374i,0.00024501+0.00013985i,0.00012688-0.00017172i,0.00055934+0.00063747i,-0.00018864+0.00045601i
-0.0015059-0.00086714i,-0.0009137-0.00025758i,-0.00063246+0.00012744i,-0.00030513+7.4244e-05i,-7.0252e-05+0.00090879i,0.00023433+0.001262i,0.00046113+0.00078298i,0.00011036-0.00032281i,-0.00017525-0.00051944i,-0.00031343-0.00065298i,-0.00066718-0.0011571i,-0.00066116-0.0015084i,-0.00012026-0.001356i,-9.6072e-05-0.00050176i,-0.00083906-0.00039678i,-0.0012641-0.00052533i,-0.00070497+0.00020064i,-0.00044735+0.00085474i,-0.00041582+0.00027973i,-0.00036732-0.00046779i,-0.00052851-0.00053325i,-7.4048e-05+0.00034554i,5.5401e-06+0.00073708i
-0.00075787+0.0011867i,0.00075371+0.0015282i,0.00029847+0.0023144i,0.00012773+0.0022569i,0.0009686+0.0026004i,0.0020148+0.0020197i,0.0013883+0.00040844i,-0.00022832-6.3556e-05i,-0.0015111+0.00012281i,-0.0015269+0.00014928i,-0.0011479+0.00015876i,-0.0010868+5.6412e-05i,-0.00038099+1.1827e-05i,-0.00033999+0.00062017i,-0.0011453+0.00046777i,-0.00054426-0.00068021i,-0.00020712-0.00021262i,-0.00065097+0.00026725i,-0.00011839+0.00022853i,0.00080202+0.00019172i,0.00085402+0.00049159i,-0.00055279+0.00090537i,-0.00090948+0.00099105i
-0.0010702+0.0002006i,-0.0011502+0.00012044i,-0.00032043+0.0014089i,0.00069861+0.002111i,0.00039242+0.0012078i,0.00072057+0.00061616i,0.0010297-0.00070751i,0.00034501-0.0019724i,-0.00026501-0.001058i,-0.00049498-0.00030412i,-0.00043892+4.1569e-05i,-0.001082+0.00064176i,-0.0013471+0.00062625i,-0.00016184-0.00027291i,0.00035742-0.00046147i,0.00013586+0.00042088i,-0.00024111+0.00028491i,6.3013e-05+0.0001723i,0.00087261+0.00026908i,0.0012293-0.00065867i,0.00058255-0.00063122i,-0.00014214-0.00097183i,-0.00072481-0.00090105i
0.00066809-0.00098345i,0.00037213-0.00088867i,0.00026976-0.00047714i,-0.00041722-0.00012075i,-0.0011977+0.00046689i,-0.00074473+0.00084918i,1.986e-05+0.00056022i,4.9375e-05-0.0007581i,-0.00021817-0.0013013i,-0.00066623-0.00028934i,-0.00055188+0.00068361i,-0.00029274+0.00068934i,-0.00033951+0.00049786i,-0.00012051+0.0005391i,-0.00043607+0.0002262i,-0.00099886+0.00039155i,-0.00088059+0.00057743i,5.9643e-06+0.00041794i,0.00058389+6.4751e-05i,0.0010483-0.0007359i,0.00096061-0.00072639i,0.00021805-6.1818e-05i,0.00013932+0.00025355i
-6.4389e-06-0.00050432i,-1.7101e-05-0.00097295i,-0.00038745-0.00069858i,-9.6726e-05-0.00059169i,0.00065384+0.0008133i,0.0003155+0.0014063i,0.00043409-3.8193e-06i,0.00063819-0.00097819i,3.9225e-05+0.00011051i,-0.00061807+0.00026087i,-0.00039526+2.9342e-05i,7.5217e-05+0.00022694i,-0.00084807+0.0003672i,-0.0010744+0.00055782i,6.9353e-05+0.00042048i,7.2383e-06+0.0003585i,-0.00044445+0.00048577i,-0.00016707+0.00068957i,-0.00011089+0.00036492i,-0.00037167+0.00019887i,-0.00061593+0.00043954i,-0.0001343-0.00023218i,-0.00013026-0.00048034i
0.00076888-0.0014184i,4.6206e-05-0.002362i,-0.00095127-0.0026188i,-0.0021621-0.0011117i,-0.002122+0.00070192i,-0.0012812+0.0015903i,-0.00080633+0.00036477i,-0.00034358-0.0012084i,1.3527e-05-0.0010293i,-0.00027327-0.00047116i,-0.00086221-0.00036685i,-0.0011092+0.00023158i,-0.0014151+0.00070711i,-0.0013268+4.2973e-05i,-0.00036435-0.001076i,-5.7706e-05-0.00065918i,-0.00015128+0.0004685i,0.00055355+0.0012379i,0.00053062+0.0011945i,0.00050441+0.00043475i,0.00031329+0.0001789i,-0.00051657-0.00023737i,-0.00057982-0.00056913i
-0.00062799+0.00081783i,-0.0013863+0.0011613i,-0.0020881+0.0011396i,-0.0019557-0.00039493i,-0.0013399-0.00016583i,-0.00067241+0.00086793i,0.00020065-0.00013088i,7.8765e-05-0.0007939i,-0.00037286-0.00048056i,-0.00017542-2.1651e-05i,-0.00090176+0.00019571i,-0.0012561+3.6977e-05i,-0.0005757+0.0005295i,-0.00045945+0.00059283i,-0.00020456+0.00016805i,-0.00029493+0.0010969i,-0.0010579+0.0017286i,-0.00056857+0.0008358i,-0.00012422+8.9177e-05i,-0.00010236-0.00021732i,5.138e-05+0.00014181i,0.00087748+0.00041315i,0.0011393+0.00040746i
0.00070071+0.0023974i,0.00037064+0.0016104i,0.0019621+0.0017144i,0.0024581+0.0020049i,0.0018081+0.00088014i,0.00068839-5.8898e-05i,-0.00053102-0.0007986i,-0.00049411-0.0009234i,0.00043612+0.00032353i,0.00022985+0.0010977i,-0.00034209+0.00035229i,-0.0012872-7.3224e-05i,-0.0020279-0.0003276i,-0.0013135-0.00084145i,-0.00053431-0.0010082i,-0.00041526-0.00017299i,-0.00051835+0.00077485i,0.00012394+0.00075589i,0.00057456+6.6591e-05i,3.4409e-05-0.00067096i,-0.00024523-0.0011176i,0.0001902-0.0009502i,0.00036068-0.00038768i
-0.0014832-0.00066288i,-0.0011657+0.00025186i,-0.00028699+0.0012848i,6.492e-05+0.0012475i,0.00015429+0.0011801i,0.00095414+0.0012628i,0.0011664+0.00013351i,0.0005457-0.0010627i,-4.2868e-05-0.0012774i,-0.00051089+0.00017314i,-7.2469e-05+0.0013601i,0.00014699+0.0013417i,-0.00044069+0.00072498i,-0.00051751+0.00029506i,-0.00061288+0.00021736i,7.3357e-05-0.00032453i,0.0002476-0.00045747i,-0.00038877+9.0052e-05i,-0.0007876-0.0002296i,-0.0003856-0.00032191i,4.1107e-06+0.00021008i,9.7053e-05+0.00063455i,-0.00010763+0.00048076i
-0.0014116-0.0020139i,-0.0028495-0.0012647i,-0.0036796-0.00036155i,-0.003099+0.00037056i,-0.0016879+0.0017089i,-5.5223e-05+0.002806i,0.00083523+0.0016534i,0.00024351-0.00023843i,-0.00077314-0.0013531i,-0.0014552-0.0018898i,-0.0012442-0.0013043i,-0.00053526-0.00052019i,-8.0032e-05-0.00031099i,6.8362e-05-0.00016137i,-0.00013077-0.0003434i,-0.00021213-2.3497e-05i,-0.00010729+0.00046495i,-0.0003881+0.00046541i,2.7877e-05+0.00044624i,0.0012036+6.2019e-05i,0.0013042-5.3783e-05i,0.00071676+0.00035153i,0.00061656+0.00027977i
-0.0021933-0.0011348i,-0.0020543-0.00010174i,-0.0025996-0.0003162i,-0.0021048-3.2181e-06i,-0.0010743+0.0015903i,-0.00059325+0.0015091i,-0.00038957+0.00042289i,-3.6415e-05+3.4642e-05i,0.00011604-0.00016744i,-0.00010102+0.00022867i,-0.00030723+0.00061767i,-0.00037585-0.00014285i,-0.00044448-0.00054548i,0.00028607-0.00010953i,0.00033226-0.00022898i,-0.00070782-0.00028356i,-0.00086781+5.0409e-05i,-0.00014046+0.00049645i,0.00050889+0.00044633i,0.00044205+0.00029815i,0.00013254-0.00021139i,8.0237e-05-0.00029355i,-0.00089713+0.0003028i
0.00082804-0.0014555i,0.00034635-0.0014441i,-0.0008672-0.00014479i,-0.0016278+0.00086235i,-0.0013354+0.0020751i,0.00020284+0.0021895i,0.0014138+0.00069324i,0.00034759-0.00068624i,-0.00052812-0.0004312i,-0.0010791+0.00080812i,-0.0017861+0.0015802i,-0.0017615+0.0011286i,-0.0012748+0.00064122i,-0.00047821+0.00057878i,0.00010881-0.00036325i,-0.00047994-0.00088399i,-0.00081616-0.00073317i,-0.00058791+0.00046556i,-0.00011969+0.00061544i,0.001172+1.7008e-05i,0.00089013+0.00013329i,2.2862e-05-0.00031984i,-7.5268e-05-0.00071286i
-0.00072096-0.0016342i,-9.8414e-05-0.0017134i,-0.00067303-0.0013761i,-0.0021159+1.4739e-05i,-0.0027266+0.0013145i,-0.0012706+0.0020228i,0.00012483+0.00098449i,0.00013445-0.00095502i,0.00026922-0.0023901i,-8.9692e-05-0.0023277i,-0.00032113-0.0012121i,-0.00076915-0.00035455i,-0.00066881+0.00025514i,0.00051129+0.00036548i,0.00048832+1.0135e-05i,-0.00048034-8.2964e-05i,-0.0004015+0.00052133i,0.00041474+0.00044919i,0.0010263-0.000111i,0.0011328-0.00079254i,0.0010818-0.00059488i,0.00084195+5.1829e-06i,0.00031142-4.205e-05i
1.6522e-05-0.0012634i,-0.00087951-0.0022314i,-0.0018957-0.0025821i,-0.0015953-0.0012011i,-0.001125+0.00052988i,-0.00031413+0.00092094i,0.00018356+0.00030589i,0.00024317-0.00033488i,-8.4e-05-0.00010832i,-0.00028473+0.00023836i,-0.00082811-0.00017356i,-0.00067644+2.5507e-05i,8.6313e-06+0.00014036i,-0.00013512-0.00039512i,-0.00073696-5.2302e-05i,-0.00042673-5.6505e-05i,0.00010308-0.00052987i,0.00028956-0.00010818i,0.00012947+0.00069478i,7.6515e-05+0.0010148i,0.00045315+0.0010728i,0.0002932+0.00085087i,0.00024604+0.00012443i
0.00047755+0.0011241i,0.00011683+0.0004652i,0.00017079-0.00063901i,-0.00057721-0.00081557i,-0.0015434+0.00040218i,-0.0010682+0.0012068i,-0.00011329+0.00021796i,-2.808e-06-0.00052954i,0.000167-0.00038752i,0.00035929-0.00063048i,-0.00012929-0.00032166i,-0.00053135-0.00020736i,-0.00083264-1.0194e-05i,-0.00045547+0.00040567i,-0.00024854-0.00010069i,-0.00082142-0.00074069i,-0.0010199-0.0003838i,0.00018443+0.00031121i,0.0010599+0.00037017i,0.00095578-9.039e-05i,0.0001969-0.00078477i,-0.00022549-0.00085816i,-0.00082089+0.00011782i
-0.00088738-0.001347i,-0.0015046-0.001283i,-0.001569-0.00042091i,-0.0011191+0.00037303i,-0.00030858+0.0014237i,0.00029646+0.0011236i,0.00016118+0.00016909i,0.0001766-0.00058084i,0.00018975-0.0017216i,-0.00035908-0.0015055i,-0.001336-0.00060279i,-0.0017042+0.00028587i,-0.00071637+0.00063331i,4.5225e-05+0.00050165i,-8.791e-05+0.00037243i,0.00026916+0.00044998i,0.00065959+0.00041017i,0.00048657-3.8771e-05i,0.00066934+0.00031445i,0.00022554+0.0008668i,-0.00018452+8.826e-05i,-0.00026361-0.00054359i,-0.00074536-0.00039237i
5.0601e-05+2.6684e-05i,7.7032e-05+0.0005893i,-2.4833e-06+0.0010905i,-0.00069324+0.0017975i,-0.001162+0.0025644i,0.00044864+0.00308i,0.0011999+0.0010161i,0.0010935-0.00082477i,0.00016136-0.00081584i,-0.00042262-0.00088919i,-3.5068e-05-0.00085406i,1.2578e-05-0.00034033i,-0.0003501-5.759e-05i,-0.00032348-0.00044974i,-1.9683e-05-0.00069515i,-0.00021559-0.00038806i,-0.0006869+0.00028644i,-0.00029+0.00015165i,0.00041637-0.00028611i,0.001022-0.00019306i,0.00029878-0.0006427i,-0.00030264-0.00050427i,-0.00076283-0.00013814i
-0.0024382-0.00023147i,-0.0018567-0.00079086i,-0.0015879-0.00070349i,-0.0017443-0.00094255i,-0.0010133-0.0004103i,3.7551e-05+0.00096739i,0.0010044+0.00079296i,0.00060428+0.00050428i,-0.0005151+0.00054897i,-0.00017232+0.00017073i,0.000127+0.00011906i,-0.00080807+0.00073813i,-0.0017463+0.00065181i,-0.0016681+0.00012747i,-0.00073218+0.00062876i,-8.8137e-05+0.00051937i,0.00022679+0.00097508i,-0.00016479+0.0010334i,-0.00070554+0.00077798i,-0.00057399+0.00060414i,0.00033906-8.2124e-05i,0.00079905-0.00039999i,-0.00021596-5.682e-05i
-0.0031384-0.001837i,-0.0037109+0.00025264i,-0.0028949+0.0018881i,-0.0014341+0.0021637i,-0.00087781+0.0017022i,-0.00043087+0.0018026i,-0.00036862+0.0010697i,-0.00012332-0.00039328i,-0.00034772-0.00097901i,-0.0013629-0.000621i,-0.0017584+4.9714e-05i,-0.0016329+0.00058881i,-0.001315+0.00073583i,-0.00047138+0.00097065i,-0.00049982+0.0010472i,-0.0014666+0.00032565i,-0.0011757-4.158e-05i,-0.00030753-0.00024654i,0.00014459-0.00051041i,0.00044228+7.9152e-06i,0.00063134+0.00049621i,0.00051391+3.1226e-05i,0.00051947-0.00018592i
0.00057701+0.0018426i,0.0015012+4.0047e-05i,0.0010139-0.00063047i,-0.00047235+0.00026014i,-0.00077999+0.0015021i,1.7906e-05+0.002802i,0.0009206+0.0023022i,0.00094414+0.00059821i,0.00020415-0.00056486i,0.0005305-0.00074589i,0.00025489-0.000687i,-0.00047405-0.00067069i,-0.00043588-0.00029291i,0.00019388-0.00023012i,0.00086288-5.0892e-05i,0.00040841-0.00044615i,-0.00041596-7.0759e-05i,-0.00056517+0.00056865i,-0.00019014+0.00029874i,0.00080324-0.00045389i,0.0012768-0.00050437i,0.0013367-0.00029271i,0.0013089-0.00030747i
0.0011371+0.00084028i,0.00081159-0.0010326i,0.00065484-0.0023174i,-0.0003086-0.0023449i,-0.00069302-0.001409i,-0.00016872-1.7455e-05i,0.00046537-3.5951e-05i,0.00099693-0.00091364i,0.00075165-0.0012398i,0.00031053-0.0006113i,0.00053768+0.00060086i,0.00027021+0.0017497i,-0.00058109+0.0018708i,-0.00047269+0.0011086i,0.00067404+0.00019382i,0.00070739-0.00029855i,0.0002492+0.00020436i,0.00013245+0.0001525i,0.00026181+0.00011811i,0.0005472+0.00084306i,0.00021132+0.00064041i,0.00019523+0.00031379i,0.00029726+0.00048687i
0.0008525-0.0012056i,2.8817e-05-0.0018963i,-0.00064573-0.0026666i,-0.001612-0.0020673i,-0.0022439-0.0002415i,-0.0012872+0.0016993i,-0.00018772+0.0013498i,-0.00042676+4.5364e-05i,-0.001016-0.00026254i,-0.00099707+3.0478e-05i,-0.00078398+0.000414i,-0.0011714+0.00027709i,-0.0016776-0.00034192i,-0.0014466-0.00037715i,-0.0003928+2.6209e-05i,-0.00011133+0.00031171i,-0.0006469+0.00038539i,-0.00057072-0.00019754i,8.404e-05-8.1248e-05i,0.00017839+0.00030794i,-0.00016451+0.00041177i,-0.00017726+0.00029634i,-0.00020605-0.00025898i
-0.0022839+0.0012442i,5.8038e-05+0.0022439i,0.00024413+0.0030696i,-0.00030066+0.0033182i,0.00021769+0.0031803i,0.0003806+0.0031746i,-1.3487e-05+0.0023483i,-0.00051005+0.00058262i,-0.00015104-0.00038823i,3.1872e-05-0.0012714i,-0.00051634-0.0015463i,-0.00078785-0.00094135i,-0.0010769-0.00046743i,-0.00099542-0.00042998i,-0.00038265-0.00067789i,-0.00096232+0.00011921i,-0.00077735+0.00099939i,4.9976e-05+0.0012919i,-0.00014902+0.0010519i,5.6834e-05+0.00079214i,-8.6575e-05-0.00048088i,-0.00033165-0.0011044i,-0.00065219+0.00036562i
