0.0017604+0.00092419i,0.0020723-0.00051563i,0.000733-0.0018677i,-0.0015199-0.0020374i,-0.0024734-0.00051957i,-0.0017658+0.0018262i,0.00037133+0.0028577i,0.0023025+0.0015747i,0.0028454+2.9921e-05i,0.002233-0.00075552i,0.00089731-0.0015787i,-0.00036747-0.0015889i,-0.00060505-0.00082693i,-0.0008655+0.00038893i,-0.0017787+0.00034186i,-0.0017967-0.00042319i,-0.0013709-0.00098377i,-0.0011258-0.00053926i,-0.00025079+0.0008857i,0.0007813+0.00061941i,0.00078902-0.00079267i,-0.00044614-0.001614i,-0.00078504-0.0010543i
-0.00095571-0.00029168i,-0.00084836+0.00074047i,-0.0018143+0.00095486i,-0.0016284+0.0012947i,-0.00046324+0.0019091i,-0.00011885+0.0028419i,-2.181e-05+0.0021982i,0.00043631+0.00028516i,0.0010575-0.00022277i,0.0007658+0.00036378i,0.00044311+0.00041319i,0.00040976-0.00012469i,0.00024776+5.2076e-05i,-0.0002745+0.00023674i,0.0006473-0.00012705i,0.0014559-9.0646e-06i,0.0011048+0.00051813i,0.0010463+0.00049264i,0.0013413-5.2031e-05i,0.0011128-0.00023477i,9.3831e-05-0.00044578i,0.00014371-0.0010114i,0.00054223-0.00043228i
-0.00019777+0.001936i,0.00053702+0.0016447i,0.0014555+0.00080753i,0.0012329-5.2232e-05i,3.7036e-05+0.00031391i,-0.0010224+0.0016837i,-0.00024391+0.0028327i,0.0009513+0.0027943i,0.00047305+0.0020279i,8.3202e-06+0.00071526i,-0.00012436-0.00030318i,-0.00032916-0.00035843i,-0.00053669-0.00045042i,-0.0010638-0.00077281i,-0.00062826-0.00075931i,-0.00029724-0.00037368i,-0.00035806+0.00063469i,-0.00028627+0.0013801i,-0.00012471+0.00057537i,6.3204e-05-3.7251e-06i,0.00039234-0.00022716i,0.00043465-0.00023281i,0.00057001-7.7897e-05i
-0.0022709+0.00014848i,-0.0008002+0.00097138i,0.00022973+0.001686i,0.00091989+0.0018318i,0.00066413+0.0014868i,0.00012967+0.0010407i,0.00047757+0.00083453i,0.00089832+0.00041139i,0.00052233+0.00014425i,-0.00010328+0.00028174i,-2.0575e-05-1.5337e-05i,0.00081522-2.9679e-05i,0.00098985-0.0002278i,0.0006109-0.00082911i,0.00041848-0.00075716i,-0.00062088-0.00043983i,-0.00094886+0.0002316i,-0.00018144+0.00066228i,-0.00019944+0.00076833i,-8.9928e-05+0.0011339i,-0.00018024+0.0010041i,-0.00022205+2.4164e-06i,0.00013486-0.00049158i
-0.0011334+0.0011422i,-0.00054509+0.0011844i,-0.00032843+0.0012061i,0.00023647+0.0013059i,0.00065572+0.0018613i,0.00030177+0.0027175i,-0.00030412+0.002682i,0.00027449+0.00094121i,0.00094089-3.6631e-05i,0.00057135+0.00015046i,0.00018761-0.00051621i,0.00050255-0.0012043i,0.0011283-0.00088435i,0.00097475-0.00032296i,0.00015661+0.00014782i,7.8165e-05-0.00020117i,0.00031746-0.0002392i,0.00027184+0.00035387i,-0.00032239+0.00035565i,-0.00042955-0.00028405i,-0.00014562-0.00024809i,0.0004156+0.00054535i,0.00098148+0.00032632i
0.00051973-6.612e-05i,0.00021842-9.7281e-05i,-5.259e-06-0.00038069i,-0.00026668-0.00050556i,-0.0015723-0.00066526i,-0.0021147+0.00028084i,-0.00036909+0.0023675i,0.0013928+0.0019824i,0.0015132+0.00069568i,0.00068237+0.00052216i,0.00087405-0.00023465i,0.0010266-0.00094163i,-0.00030417-0.00033512i,-0.0015973-6.1392e-05i,-0.0011845-0.00058066i,-0.00050549-0.00054499i,-0.00037005-0.00048522i,0.00017328-0.00047236i,0.00091311+0.00066748i,0.00072083+0.00082315i,0.00081668+0.00049186i,0.0011859+0.00077235i,0.00098274+0.00025016i
0.0042162-0.00094611i,0.0033682-3.9996e-05i,0.0026178-0.00026244i,0.0015501-0.00076537i,0.00072803+0.00047254i,0.0010608+0.002736i,0.001776+0.0041675i,0.0012644+0.0036089i,0.00029308+0.0022998i,-0.00041879+0.00049894i,-0.0004218-0.00067488i,-0.0010891-0.00017807i,-0.001346+0.00016516i,-0.00041451-8.7933e-05i,-0.00051731-0.0001048i,-0.00048446+0.00034293i,0.00015084+0.00075663i,0.00023951+0.00081292i,-0.00019545+0.0009496i,-0.0006017+0.0011965i,-0.00072482+0.0011644i,-0.00034368+0.00039547i,-0.00051275-0.0007826i
0.00031173-5.3471e-05i,0.00016792+0.00027532i,8.0572e-05+0.00041079i,-0.0010975+0.00084727i,-0.0016179+0.0013459i,-0.0010039+0.0019906i,-2.8557e-05+0.001914i,0.0010406+0.00073593i,0.0014805-0.00032423i,0.0014761-0.00042672i,0.0012141-0.00015091i,0.0010389-0.00025444i,0.00062366-0.0001821i,0.00042735+3.25e-05i,0.00046781-0.00036315i,8.3012e-05-0.00027243i,-0.0007426-0.00048937i,-0.00070496-0.00076451i,0.00010143+4.4037e-05i,0.00034159+0.000268i,-0.00050508-4.428e-06i,-0.00073916+9.8684e-05i,-0.00034745+0.00037339i
-0.00023981-0.00073381i,-0.00042369-0.0010675i,-0.00083843-0.00069117i,-0.00091882-0.00014786i,-0.00095026+0.00046964i,-0.00065109+0.0020386i,-7.3503e-05+0.0021724i,4.4921e-05+0.0012393i,-0.00036714+0.00048955i,-0.00063399-1.6332e-05i,-0.00035217-0.0002597i,9.5184e-05-0.00042691i,0.00051499-0.00012817i,0.00058843-0.00066669i,0.00030386-0.00088527i,0.00021664-0.0005976i,0.00048606+0.00023488i,0.00020647+0.00017132i,-0.00040062-0.00054218i,-0.00071076-0.00032765i,-0.00024054+0.00033089i,0.00034345+0.00057234i,3.3427e-05+0.0001864i
0.00010314+0.0025348i,-0.00028517+0.0021992i,-0.00029874+0.0015402i,0.00042809+0.0008957i,0.00080077+0.001449i,0.00027942+0.0018324i,0.00049254+0.0012626i,0.00019198+0.00078219i,0.00023402+6.2754e-05i,0.00074159-0.00016394i,0.00029917+0.00011102i,-3.844e-05+0.00055842i,-0.00011275-0.00014053i,-3.8444e-07-0.00057988i,0.00028356-0.00041055i,0.00019309+4.796e-05i,0.00030001+0.00019051i,0.00069845-7.1597e-05i,0.0002898-0.00016006i,7.7859e-06+0.00059866i,0.000233+0.00097375i,-8.648e-06+9.6319e-05i,-8.7459e-05-0.00021128i
-0.00059001+0.0019188i,0.0019195+0.0019194i,0.0031105+0.0020219i,0.0014991+0.0015918i,-0.00035597+0.0010028i,-0.00086794+0.0014125i,-0.00058683+0.0022973i,0.00037102+0.0017284i,0.00081344+0.00042671i,0.00030998+3.5548e-05i,0.00045152+1.5659e-05i,-0.00011385-0.0009369i,-0.00021215-0.0018595i,0.00027532-0.0020208i,0.00063475-0.0018786i,0.00049773-0.0010671i,-0.00059897-5.2995e-05i,-0.0011543-0.00019587i,-0.00069473-0.0006237i,-0.00012358-0.00024168i,-0.00012186+6.9052e-05i,3.3365e-05-0.00071673i,0.00047515-0.0012114i
-2.6624e-05-0.0009547i,-0.00077603-0.00077047i,-0.00038081-8.4381e-05i,-0.00036339+0.0011158i,-0.00090549+0.0016016i,-0.00055164+0.0023098i,-0.0008239+0.0022467i,-0.00037087+0.00076774i,0.00037921+1.7799e-05i,0.0004422-0.00036411i,0.0010122-0.00063707i,0.0011323-0.00014906i,0.00096212+0.00044699i,0.000439+0.00058843i,-1.6854e-05+0.00038327i,-9.7019e-05+0.00050241i,-0.00037035-0.00010926i,-0.00032868-0.0008673i,-0.00047818-0.00083556i,-0.00047197-0.0010058i,-8.3223e-05-0.0010003i,5.7999e-05-0.00042161i,0.0003282+0.00012868i
1.7684e-05+0.0011443i,0.00038939+0.0020247i,0.0009218+0.002036i,0.00088565+0.0016909i,-4.9455e-05+0.0020556i,0.00010808+0.0022469i,0.00059741+0.0019003i,-0.00028842+0.0014964i,-0.00075506+0.00088835i,-7.8297e-05+0.0002499i,-0.00017755-4.7797e-05i,-2.3041e-05+0.00078493i,0.00071765+0.00098418i,7.989e-05-3.5035e-06i,-0.00076957-0.00057128i,-0.00041259-0.00036686i,0.00046993+0.0004959i,0.0008045+0.0014121i,0.00056987+0.0014853i,-2.7465e-06+0.0014286i,0.00021284+0.00087837i,0.00077878+3.1022e-05i,0.0011514-0.00046247i
5.3564e-05+0.0021384i,0.00028679+0.0014922i,0.00085575+0.0010113i,0.00093637+0.0004048i,0.00055056+0.00038445i,-6.6993e-05+0.0011517i,0.00035475+0.0025809i,0.00075835+0.0030354i,0.00081317+0.0017896i,0.00052181-4.979e-05i,0.00034788-0.00064473i,-0.00018335-2.5501e-05i,-0.00049461-0.00021415i,-0.00048756-0.00058114i,-0.00055658-0.00081676i,-0.000104-0.00073737i,3.6116e-05+8.838e-05i,-0.00039571+0.00049243i,-0.0001788-0.00012819i,-0.00017557-0.00049311i,-3.6013e-05-3.4462e-05i,0.0002451+0.00010274i,0.00014814-0.00011084i
-0.00043168-0.0012324i,0.00034954-0.0014365i,0.00045459-0.0010262i,-0.00077896+0.00030884i,-0.0016156+0.00091726i,-0.00094286+0.0018316i,0.00054141+0.0024175i,0.0013457+0.0016129i,0.0002159+0.00041739i,-0.00032475+0.00063302i,0.00057081+0.00047759i,0.0010605-0.00040148i,0.00070879-0.00018041i,-2.1765e-05+0.00028196i,0.00013561+0.00077508i,0.00072233+0.00069981i,0.00068396+0.00051513i,0.0002285+8.482e-05i,0.000252-0.00019157i,0.00019974-0.00016441i,-2.298e-05-0.00043766i,0.00020684-0.00056004i,0.00061955+9.7571e-05i
-0.00050507+0.00023963i,-0.0019321+0.00064827i,-0.0011753+0.00011638i,-0.00017049+0.00025886i,-0.00051862+0.0015538i,0.00020986+0.0029281i,0.00089832+0.0035334i,0.00039602+0.0024937i,0.00048454+0.00066998i,0.00094999+8.0876e-05i,0.00046633+0.00041088i,-0.00038832+0.00011352i,-0.00024896-0.00030176i,-4.3874e-06+0.0006733i,2.2599e-05+0.00047165i,0.0002968-0.00049178i,0.00056046-0.00078647i,0.00098938-0.00067844i,0.00085709-0.00036125i,-0.00016166-0.00069667i,-0.00070447-0.0012862i,-0.00044621-0.0010226i,-0.00053142-0.0004627i
0.0013492+0.0032539i,0.0019878+0.0027829i,0.0022375+0.0019803i,0.0014972+0.00085071i,-0.00032327+9.8906e-05i,-0.0014846+0.00050333i,-0.0012737+0.0014607i,-0.00046394+0.0014797i,0.00016885+0.00057922i,0.00020506+0.00015373i,-0.00011867+5.6712e-05i,-0.00027368-0.0001417i,-0.00074365-0.00055179i,-0.0011672-0.00042737i,-0.0010648-0.00033943i,-0.00063715-0.00039309i,0.00015715+0.00048706i,0.00074426+0.00071676i,3.1906e-05+0.00040906i,-0.00092389+0.00037232i,-0.0002868+0.00072625i,0.00041544+0.0003461i,0.00014598-0.00025735i
0.0013054+3.0809e-05i,0.00072667-0.0010228i,-0.00025787-0.00092611i,-0.0014022+0.00032431i,-0.0016429+0.00047809i,-0.001273+0.00091711i,-0.00037101+0.0011548i,0.00097603-3.6979e-05i,0.00080133-0.00022152i,0.00039345+0.00070133i,0.00048464+0.00056181i,-0.00021199-0.00042522i,-0.00068118-0.0010055i,-0.00017986-0.00054698i,8.3742e-05-0.0003078i,0.00021329-0.00045252i,0.00010202-0.0001536i,-0.00055261-0.00018619i,-0.00073005-0.00045269i,-0.00065573-0.0004851i,-0.00021541-0.00030052i,-0.00025757+0.00018641i,-0.00024318+3.1702e-05i
0.0011026-0.00065919i,-0.00087999+0.00028876i,-0.0011622+0.00066023i,-0.0011438+0.00065264i,-0.0010188+0.000786i,-0.00019824+0.0016139i,-7.7653e-05+0.0022342i,0.00034761+0.0016263i,0.00020631+0.00052026i,-0.00044472+9.9961e-05i,0.00023342+0.00023379i,0.00051452+0.00071529i,0.00041396+3.1524e-05i,0.00059732+3.5582e-05i,-8.2877e-05+0.00021953i,4.2747e-05-0.00051076i,-6.9703e-05-0.00068158i,-6.5082e-05-0.00079491i,0.00023667-0.00079194i,-0.00011665-0.00013426i,-0.00027101+0.00056921i,-0.00057607+0.00070916i,-0.0012121+0.00062525i
-0.00016106+0.0027299i,0.00079074+0.0024163i,0.0015705+0.001872i,0.002032+0.0013155i,0.001234+0.00093619i,-7.9134e-05+0.0010848i,-0.00033107+0.0015778i,0.00014649+0.001625i,0.00026594+0.0011624i,0.00024199+1.6394e-05i,0.00011809-0.00044974i,-0.00031195+0.00019857i,-0.0012376-0.00033831i,-0.00099448-0.0018704i,-0.00039632-0.0016331i,-0.00049111-0.00057394i,0.00019276-9.3749e-05i,0.0010729+0.00032948i,0.00068365+0.00077292i,-2.6959e-05+0.0012309i,-1.4193e-05+0.0016023i,0.00054614+0.00030534i,0.0005188-0.00087944i
-0.0020825-0.0012727i,-0.0014936-0.00097509i,-0.00087796-1.6062e-05i,-0.0012347+0.00076482i,-0.00155+0.00082586i,-0.0010474+0.0011803i,-7.7759e-05+0.00080873i,7.0375e-05-0.00073543i,-3.8892e-05-0.00086776i,0.0005896+0.00026999i,0.00088164+0.00015777i,0.00016463-0.00045217i,-0.0001981-0.0014328i,0.00087065-0.0015379i,0.0019603-0.0012718i,0.0019971-0.00071013i,0.0005859+0.00059781i,-0.0008261+0.00036511i,-0.00080634+0.0001139i,-0.00047163+0.00053304i,-0.000969+0.00094065i,-0.00094049+0.00077816i,-0.00055176+0.00035431i
-0.00046744-0.0018138i,-0.0015011-0.0015368i,-0.0026406-0.00086112i,-0.0017369-0.00010673i,-0.0007489+0.001471i,-0.00061385+0.0028045i,-0.00054289+0.0027971i,-0.00017018+0.0018675i,0.00010632+0.00061173i,0.00016102+0.00049511i,0.00030057+0.00033i,0.00060806+0.00032349i,0.00083704+0.00079457i,0.00074161+0.00094274i,0.0012251+0.00086162i,0.0015334+0.00062848i,0.00061022+7.4988e-05i,-0.00014539-0.00016608i,9.5917e-05-0.0011259i,-2.8322e-05-0.0014375i,-0.00072305-0.00055728i,-0.00041187-0.00033795i,0.00084931-0.00050122i
-0.0012137+0.001024i,0.00010781+0.0018002i,0.0012041+0.001424i,0.00077915+0.0014212i,-0.00023578+0.0025649i,-0.00010395+0.0025036i,-3.2083e-05+0.0022066i,0.00012964+0.0017388i,-0.00015188+0.00067026i,-0.00024528+2.1509e-05i,-0.0002282-0.00048748i,3.2587e-05-0.00069581i,0.00040214-0.00053183i,0.00071241-0.00054499i,0.00091651-0.00077334i,0.00073187-0.00061575i,0.0010913-0.00047832i,0.0015758-2.4269e-05i,0.0010572+2.4573e-05i,0.00062979+0.00017934i,0.00047836+0.00084489i,0.00037781+0.0011187i,0.00023043+0.00040124i
0.00044424-0.00075462i,0.00083961-0.0012482i,-0.00016236-0.00059668i,-0.00037145+0.00081029i,-0.00011637+0.0010736i,0.00032963+0.0013923i,0.0017873+0.0016694i,0.001661+0.00098548i,0.00036421-0.00063325i,-0.00024789-0.00114i,-0.00024338-0.00054295i,0.00014584-0.00012134i,0.00015823+0.00015579i,2.2445e-05-0.00028996i,2.4734e-05-9.6052e-05i,0.00016484+0.00040755i,0.0003792+0.00086004i,0.00034554+0.00028728i,0.00023022-5.6179e-05i,0.00023199+0.00032712i,1.4797e-05+0.00011713i,-0.00030478+0.00014433i,-0.0007329+0.00018768i
0.0007399-0.00027827i,0.0003339-0.0013523i,-7.3172e-06-0.0022363i,-0.00095433-0.0024215i,-0.0021512-0.0013023i,-0.0021205+0.00071337i,-0.0012211+0.0019604i,-0.00048956+0.0019959i,-0.00049349+0.0017541i,-0.00043956+0.0010831i,0.00051744+0.00046153i,0.00010232+0.00066511i,-0.0005714+0.00043615i,-0.00072529+0.00015851i,-0.00062652+0.00016679i,-0.00078688+0.00020175i,-0.00099956-0.00017785i,-0.00099587-0.00047731i,-0.00063403+0.00033627i,0.00033685+0.00038869i,0.0007309-0.00013677i,0.0002633+0.00021135i,3.8908e-05+0.00034606i
-0.0016462+0.0012816i,-0.00084406+0.0026977i,-0.00082399+0.0032687i,-0.00035263+0.0020968i,0.00026286+0.0014912i,-0.0001752+0.0018754i,0.00054831+0.0022708i,0.0013496+0.0020189i,0.0011312+0.0012605i,0.00042042+0.00043766i,8.1676e-05+0.00045426i,0.00093076+0.00041347i,0.0011232-8.9091e-05i,0.00055485-0.00049295i,-8.7972e-05-5.2501e-05i,-0.00020477+0.0001957i,0.00011484-0.00043693i,5.5945e-05-0.0012169i,0.00022789-0.0017187i,0.00045062-0.00098745i,-9.9764e-05+0.00015631i,-0.00021185+0.000157i,0.00048149+4.2188e-05i
0.00087264+0.0015935i,0.0021546+0.00095569i,0.0027037+0.00034106i,0.0020868+0.00049177i,8.316e-05+0.0012989i,-0.00059947+0.0015761i,0.00083265+0.0017184i,0.0018314+0.0018885i,0.0013086+0.0006956i,0.00052153-0.00021861i,0.00071805-4.7596e-05i,-0.00016338-0.00038898i,-0.0014081-8.382e-05i,-0.0010672+0.00043775i,-0.00077202+0.00085446i,-0.0012291+0.0010202i,-0.0014861+0.00095873i,-0.0012326+0.0011175i,-0.00058951+0.0011677i,-3.6929e-05+0.0012551i,9.5489e-05+0.0010384i,-5.029e-05+7.601e-05i,-8.4096e-05-0.00051626i
-0.0021435-0.00098735i,-0.0026428-0.00037983i,-0.0021581+0.00014823i,-0.00080543+0.0009697i,-0.00091903+0.0018863i,-0.0017713+0.0015593i,-0.0012736+0.0009253i,-0.0010712+0.00044845i,-0.00074136+0.00045259i,-0.00064655+0.00035407i,-0.00025455-0.00015018i,0.00046355-0.00071541i,0.00084422-0.00091606i,0.0006044-0.00091111i,0.00043225-0.00081465i,0.00029179-0.00040263i,0.0001246-0.00034951i,-0.00045104-0.00079753i,-0.0011823-0.001035i,-0.0011754-0.00032111i,-0.00084816+0.00058099i,-0.00098665+0.00027611i,-0.00023993-0.00029655i
0.00047508-0.00062182i,0.00016626-0.00080009i,-0.00068521-0.0010711i,-0.00064748-0.00062631i,-0.00011109+0.00081455i,0.00059044+0.0017705i,0.0013103+0.0022808i,0.0013607+0.0017665i,0.00086638+0.001048i,0.00051129+0.0015685i,0.00030423+0.0015059i,0.00011281+0.00047562i,-1.4018e-05-0.00047029i,0.00029474-0.0010676i,-0.00025831-0.00082807i,-0.00054156-0.0001924i,0.00036576+5.1763e-05i,0.00018684-8.2317e-05i,-0.00014529-0.0006964i,0.00050659-0.00035631i,0.00071856-4.9947e-05i,0.00080619-0.00027801i,0.00054717-0.00044196i
0.00014889+0.0010543i,0.00021222+0.0017495i,0.0003908+0.0022007i,-1.7063e-05+0.0020489i,-0.00078211+0.0020412i,-0.0012708+0.0023326i,-0.00057968+0.0032414i,0.00021983+0.0030689i,0.00047467+0.0015438i,-3.0621e-05+0.00015656i,-8.4672e-05-0.0006469i,0.00025081-0.00037621i,-8.8308e-05+0.00026143i,-0.00050937+0.00014422i,6.0575e-05+0.00027666i,0.00055106+0.00031662i,0.00047476-0.00028361i,1.8186e-05-0.00020208i,-0.00054385+0.0005713i,-2.9353e-05+0.0010947i,0.0005254+0.00036972i,-0.00015049-0.00052022i,-0.00098027-0.00049377i
0.0015446-0.0016775i,0.0018045-0.0018262i,0.00067612-0.0016378i,1.6914e-05-0.00072494i,-0.00070548+0.00039492i,-0.00059489+0.0012901i,0.00066726+0.0020424i,0.0015905+0.0016933i,0.0017672+0.0010919i,0.0016307+0.0008395i,0.0016687+0.00065291i,0.00068342-7.1867e-05i,-0.0010512-5.3227e-06i,-0.00088098+0.00067309i,-7.0672e-05+0.0007001i,-0.00070254+0.00093638i,-0.00077354+0.00026859i,-0.00069302-0.00014252i,-0.00033695-0.00045257i,0.00022317-0.00038019i,0.00011173-0.00025544i,0.00031085-0.0002164i,5.0469e-05-0.00026289i
-0.00082083+0.00055821i,-0.00077394+0.00081625i,0.0010218+0.00017666i,0.0017275+0.00072975i,0.000172+0.0011765i,-0.00035676+0.00099826i,0.00043226+0.001412i,0.00081073+0.0012911i,0.00018172-0.00012658i,-0.00011214-0.00024688i,0.00020934+0.0011074i,0.00055856+0.00022619i,0.00061191-0.00092082i,0.00058041-0.00084155i,0.00039853+4.3812e-05i,-0.00035931+2.6362e-05i,-0.00045788-0.00073846i,0.00028261-0.0007744i,0.00054397-0.00012592i,-4.0738e-05+0.00048944i,-9.4736e-05+0.0001631i,0.00035994-0.00028923i,0.00050437-0.00053416i
-0.00064762+0.00053596i,-0.00030772+0.00054475i,0.00041275+0.0014449i,0.0006166+0.0013088i,-0.00029964+0.0010337i,-0.0015615+0.0015227i,-0.00092437+0.0017726i,0.00031993+0.001401i,0.00028778+0.00065787i,0.00037959-1.5194e-05i,0.00047802-0.00017858i,0.00026512+0.00012473i,0.00030532-9.4935e-06i,0.00098532-0.00096614i,0.00082359-0.001335i,-0.00017576-0.00083427i,-0.00057053-0.00031963i,2.9209e-05-0.00036125i,0.00030717-8.6784e-05i,-0.00018842+0.00053765i,-0.00014378-0.0001424i,-0.00022475-0.00011089i,-0.00063761+0.00077334i
-1.5306e-05+0.00074898i,0.00017476+0.00088867i,0.00035665+0.00078483i,0.00058052+0.00086625i,-5.839e-05+0.00090437i,-8.6367e-05+0.0013285i,0.00072332+0.0019992i,0.00074144+0.0015908i,0.00045604+0.00067603i,0.0010233+0.00010537i,0.0018319-0.00041128i,0.0017369-0.00088828i,0.0010418-9.0472e-05i,0.00064923+0.0003796i,0.0006197-0.00041965i,0.00049296-4.2063e-05i,0.00025054+0.0005365i,-0.00046098+0.00095367i,-0.00079204+0.00050299i,-0.0011791-0.00044239i,-0.0010791-0.00052094i,-0.00048422-0.00046883i,0.00028938-0.0002052i
0.0011025-0.0015042i,0.00057557-0.0013053i,-2.6641e-05-0.0017958i,-0.00046041-0.0011595i,-0.00077175+0.00070332i,-0.00077678+0.0019689i,0.00010368+0.0028323i,0.0013168+0.0025798i,0.0015491+0.0019307i,0.00098652+0.0011996i,0.00026052+0.0001145i,-0.000334-0.00085893i,-0.00097268-0.0014237i,-0.0012041-0.0013468i,-0.00078111-0.00067262i,-0.00053567-0.00031032i,-0.00098456+0.00021809i,-0.0013487+0.00032272i,-0.00077503-0.00063413i,-0.00040587-0.00099007i,-3.8187e-06-0.00061115i,0.00019073-0.00044454i,0.00037054-0.00072661i
0.00097878+0.0018477i,0.0016468+0.0016499i,0.0016673+0.0015858i,0.00043306+0.0004671i,-0.00083572+0.00098196i,-0.0012645+0.0029125i,-0.0013513+0.0033921i,-0.0005521+0.0023411i,0.00029234+0.00083708i,0.00085728-0.00043472i,0.00042644-0.0009296i,-3.5133e-05-0.000524i,-8.1603e-05+2.9793e-05i,-0.00031078+0.00066408i,0.00027318+0.0002367i,0.0002002-0.00092121i,-0.00018094-0.00095085i,-0.00034518-0.00073074i,-0.00088986-0.00085178i,-0.00065361+6.8721e-05i,-4.7579e-06+0.00089944i,0.00026684+0.00064502i,-9.859e-05-0.00020567i
0.00134+0.00075719i,0.0019509+0.00013469i,0.0020904-0.00058645i,0.001907-0.00066529i,0.00099701-0.0009117i,0.00020276+0.00034762i,0.00038644+0.0027645i,0.00061949+0.0029891i,0.00068554+0.0015478i,0.00037909+0.00011795i,0.00030069-0.00037439i,0.0001304-0.00011212i,-0.00018201+0.00084362i,0.00027412+0.0011227i,0.00071206+0.00018295i,0.00088018-0.00066429i,0.00087419-0.00059955i,0.00062368-0.00029975i,0.00030785+0.0004821i,-0.00014721+0.0003007i,9.4419e-05-0.00031653i,0.00073261-0.00030743i,8.1378e-05+0.00014763i
0.0010739-0.00043534i,-0.00014803-0.0009996i,-0.00029965-0.0010136i,-0.00091333+0.00017531i,-0.0013674+0.0013503i,-0.00082185+0.002261i,0.00050624+0.002775i,0.0012346+0.0021316i,0.0011341+0.00039046i,0.00068126-0.00017548i,0.00059778+0.0004321i,0.00066431+0.00058027i,7.8921e-06+0.00047038i,-0.00022175+0.0001995i,-0.00017305-0.00055683i,-0.00033513+0.00010153i,-0.00057404+0.0013368i,5.7032e-05+0.0014494i,0.00021754+0.00093049i,-6.1113e-05-3.238e-05i,-3.7537e-05-0.00018878i,-0.00067308-0.00014605i,-0.0007266+8.155e-05i
-0.0024516+0.0011901i,-0.0012037+0.0022538i,-0.00015199+0.0027107i,0.0001594+0.00098036i,0.00020062+0.0001769i,-0.00010378+0.00046498i,-0.00084085+0.0011452i,-0.00088489+0.0015536i,-0.00071545+0.00090235i,-0.0012713+7.4431e-05i,-0.00099151-0.00064838i,-6.2864e-05-0.0016383i,0.00062564-0.0025337i,0.00042529-0.0025645i,-0.00024818-0.0018424i,-0.00021196-0.0010542i,0.00041169-0.0004426i,0.00028719-0.00031435i,-0.00016658-0.00029781i,2.8362e-05-0.00048074i,4.1422e-05-7.4659e-05i,-0.00033797+0.00046614i,0.00078525-0.00039372i
0.00091857-0.0016295i,0.0002636-0.0010006i,-0.00065843+0.00017076i,-0.0015924+0.00092745i,-0.0012025+0.0013814i,0.00044061+0.001617i,0.0017371+0.0010847i,0.0013701+0.00044982i,0.00039631-0.00037093i,0.00073927-0.00044335i,0.0017577-0.00011241i,0.0018813+9.1688e-05i,0.0018243+0.00033415i,0.0016572+0.0001881i,0.0017596-0.00016328i,0.0016653-0.00053076i,0.0010918-0.0014878i,0.00072853-0.0014394i,0.00021975-0.00068234i,0.00017134-0.00026418i,-0.00014346+0.00012734i,-0.00048944+1.9765e-05i,-0.00023338-0.00019209i
0.00049076+0.0019852i,-0.0010702+0.0026549i,-0.00087633+0.0010498i,0.00028342+0.00045186i,-9.7957e-05+0.00082252i,-0.00085662+0.0017254i,-0.00040067+0.0026764i,0.00034725+0.0022464i,-3.4398e-07+0.0012977i,0.00034535+0.0012306i,0.0012792+0.00091188i,0.00056415+0.00070275i,-0.00079677+0.00081008i,-0.00093815+0.0012851i,-0.00014981+0.0011845i,0.00050149+0.00022488i,0.00084089+0.0012065i,0.00058596+0.0023366i,0.00046361+0.0018077i,0.00054093+0.00064087i,0.00020956-0.00036917i,0.00029386-0.00081482i,0.00035968-0.00020424i
-0.00069758-0.0036206i,-0.001214-0.0024434i,-0.0010762-0.0018034i,-0.00071862-0.00011565i,-0.0010082+0.0023128i,-0.001054+0.003285i,-1.7708e-05+0.0028665i,0.00075026+0.0016511i,0.00046261+0.00082466i,-0.00051566+0.00087895i,-0.00076587+0.00060338i,-0.00062789-0.00018621i,-0.00079405-0.00035739i,0.00029688-0.00015189i,0.00096181+0.0001698i,0.00022956-3.023e-05i,-0.00040193-0.00023775i,-0.00089037+0.00016496i,-0.0012494-1.653e-05i,-0.0009542-0.0010446i,-0.00037783-0.0012255i,0.00052124-0.00014581i,0.00054461+0.00034918i
0.0010268-9.3276e-05i,0.0014996-0.00025178i,0.00015138+0.00010545i,-0.00096147+0.00076108i,-0.00059958+0.0016186i,-0.00017341+0.0029156i,6.1318e-05+0.0029858i,0.00027193+0.0011538i,0.00011627-0.0002026i,0.00016489-0.00065172i,0.00087402-0.0012172i,0.0013448-0.0015801i,0.0017789-0.0010738i,0.0021943-0.0013127i,0.0013436-0.0013785i,0.00070193-0.00068834i,0.0012063-0.00034515i,0.0014557-0.00046238i,0.00086669-0.00056643i,0.0004976-3.0215e-05i,0.00051653+0.00016275i,0.00027804+0.00028341i,-0.00026974+0.00041441i
-0.00074964+0.004465i,0.0001963+0.0043147i,0.002194+0.0032794i,0.0029899+0.001135i,0.0019915-0.00028534i,0.00013273-0.00010358i,-0.0014957+0.0010326i,-0.0010887+0.0019314i,0.00042963+0.0013131i,0.0017517+0.00062565i,0.0019723+0.00072288i,0.0013318+0.00093676i,9.0583e-06+0.0019016i,-0.0007052+0.0013284i,-0.0006292-2.8446e-05i,-0.00083108+7.537e-05i,-0.00016341+0.00021403i,0.00056623+0.00029026i,0.00058398+0.00031764i,-0.00011942+0.00024402i,-0.00028462-0.00022621i,0.00036089-0.00039887i,0.0005181-0.00060718i
