-0.0045294-0.00070519i,-0.0051468-0.00069731i,-0.0058067+0.0006856i,-0.0053892+0.0026609i,-0.0038424+0.0026095i,-0.001796+0.0033662i,-0.00061503+0.003438i,-0.00054211+0.0017991i,-0.00064192+0.0013539i,4.4147e-05+0.0016365i,0.0013961+0.00052256i,0.0018201-0.00067874i,0.0010499-0.0011313i,0.00020903-0.00086977i,-0.00038128-0.0012114i,-0.0003955-0.0010341i,-0.00050997+0.00038535i,-0.00020974+0.001195i,8.6381e-05+0.0010722i,-0.00071233+0.00041429i,-0.0014361-0.00052515i,-0.0006251-0.00045941i,0.00031801+0.00037794i
0.00099192+0.00032572i,0.0013615-0.00035033i,0.0012449-0.0015703i,0.00025723-0.0011187i,-0.00085562-0.00049499i,-0.0013077-0.0011657i,-0.00063132-0.0018139i,0.00012809-0.001956i,6.9363e-05-0.001512i,8.3247e-05-0.00048739i,0.00027349+0.00021724i,-3.0438e-05+0.0008586i,0.00030463+0.00074105i,0.00089356-0.00013331i,0.0003236-0.00030396i,0.00023828-0.00017738i,0.00067428-2.1771e-05i,0.00071535+5.1695e-05i,0.00090158-8.0843e-06i,0.0011901-0.00031352i,0.0012232-0.00011594i,0.0012672+2.7174e-05i,0.0011094+0.00034632i
0.0015735+0.0018077i,0.0028204+0.0027368i,0.0021003+0.0020729i,0.00012577-0.0001782i,-0.0020891-0.0010319i,-0.0020554-0.00031744i,0.0002301-0.00031542i,0.00094728-0.00091249i,-0.00017711-0.0012692i,0.00042865-0.0007122i,0.0017524+2.9788e-05i,0.0017585+0.00051595i,0.0011216+0.00064208i,0.0005778-0.00054272i,0.00027227-0.00057656i,-0.00010345+0.00035669i,-3.0935e-05+0.00035828i,6.2927e-05+9.5545e-06i,7.1124e-05-0.00028495i,0.00018763-0.00057903i,0.00017457-0.00087657i,-0.00019815-0.00057722i,-0.00010136+8.3344e-05i
-0.00011868-0.0026432i,-0.0012434-0.0018709i,-0.0033773-0.0015554i,-0.0033675-0.0011432i,-0.0029854-0.001031i,-0.0020238-0.00045793i,-0.00022721+0.00031527i,0.00042364+0.00021398i,-0.00012539+0.00016404i,0.00022082+0.0011659i,0.0010957+0.0019299i,0.0014216+0.0022836i,0.0012578+0.002016i,0.00089441+0.00070393i,0.00014905-0.00059092i,-0.00067069-0.0007685i,-0.00037491-0.00063937i,0.00018745+5.0342e-05i,-0.00021086+0.00061322i,-0.00012269+0.00018358i,0.00016364-2.1233e-05i,-0.00020591-4.9677e-05i,-0.00061556-0.00013453i
-0.00071515+0.00059061i,-0.0008416+0.0003172i,-0.00029372-0.00038817i,-0.0010186-0.0010138i,-0.0018639-0.0011987i,-0.001345-0.0015302i,0.00010648-0.0017595i,-1.4474e-05-0.001314i,-0.00033279-0.0010746i,1.6093e-05-0.00098246i,0.0004845-0.00069566i,0.00071728-0.00056401i,2.4447e-05-0.00064523i,-8.0557e-05+0.00020053i,0.00010429+0.0013879i,0.00043557+0.00084899i,0.0012639+0.00016461i,0.0016891+0.0002324i,0.00077962+0.00029171i,0.00032539-0.00019102i,9.5107e-05-0.0010953i,-0.00083923-0.0011518i,-0.00079328-0.00033717i
0.00031637-0.00059345i,0.0012859+0.00072888i,0.0021502+8.1881e-05i,0.0018739-0.001554i,-0.0001726-0.0010166i,-0.0015174+2.132e-05i,-0.00077955-0.00042855i,0.00018869-0.00092962i,-0.00017637-0.0010793i,-0.0010307-0.0010063i,-0.00043875-4.5197e-05i,0.00041502+0.0010563i,-4.0716e-06+0.0014563i,0.00010325+0.00086968i,0.0007983+0.00033558i,0.0011479-0.0002251i,0.0011137-0.00020851i,0.0011011+0.00053747i,0.0013752+0.00048703i,0.0014399+0.00069025i,0.00053195+0.00092711i,-0.00088293+0.0005645i,-0.00093811+0.00018054i
0.00043257-0.00021462i,-0.0001375+3.8034e-05i,0.00014064-0.00045949i,-0.00069451-0.0010014i,-0.0015561-0.0010121i,-0.001021-0.00045484i,0.00027092-0.00019433i,0.00070591-0.0004658i,0.00055622+0.00018912i,0.0011546+0.00073196i,0.001744+0.00070333i,0.00099808+0.00067416i,0.00012704+0.00099976i,-0.00025595+0.00090184i,-0.00055444+3.784e-05i,-0.00024163-0.00033327i,0.00018509-0.00018013i,-0.00030002+1.8423e-05i,-0.00079177-4.7677e-05i,7.4552e-05+0.00021096i,0.00096472+0.00056893i,0.000781+0.00052749i,-0.00041298+0.00087805i
0.00043018+0.00075309i,0.0011781-7.4113e-06i,0.00074715-0.0016874i,-0.0014045-0.002745i,-0.0026301-0.0030006i,-0.0016707-0.0017864i,-0.00068799-0.0010551i,-0.00019806-0.000845i,-0.00040888+0.00049803i,-0.001063+0.0015449i,-9.7903e-05+0.0015722i,0.00075108+0.00057908i,0.00054615-0.00033649i,6.7626e-05+0.00037224i,-0.00061203+0.00017477i,-0.0002844-0.00050221i,0.00029004-0.00035668i,0.0011458-0.00055468i,0.0016836-0.00039044i,0.00058306-1.1051e-05i,3.0679e-05+0.00011851i,-5.9715e-05+0.00028752i,-0.00083395+0.00036296i
0.0012718+0.001185i,0.0005408+0.00080098i,-0.0010304+0.00091831i,-0.0014212+0.0012099i,-0.00079802+0.00060603i,-0.00033567-0.00044735i,-0.00026011-0.00037489i,-0.00036017-0.00081566i,-0.00047828-0.0010729i,-0.00044961+0.00025586i,-0.00099368+0.0012064i,-0.00089534+0.00097743i,-0.0004388+0.001126i,-7.7087e-05+0.0012139i,-5.6113e-05+0.0012611i,-0.00011996+0.00099546i,0.00044558+0.00025935i,0.00051814-0.00016232i,0.00041784-0.00035552i,0.00060891+0.00046285i,0.0002133+0.00096463i,-0.00068125+0.00053295i,-0.00087055+0.00028209i
0.00023401+0.002869i,0.0023644+0.0030241i,0.0026876+0.0027664i,0.0017979+0.0016938i,0.00082413+0.00071889i,4.4674e-05+0.00024048i,0.00016755+0.00023308i,0.00062395-0.00071808i,0.00053497-0.0016431i,0.00021829-0.00086032i,0.00063847-0.00031094i,0.0012907+0.00017383i,0.0011181+0.00075754i,0.00068708+0.00072198i,0.00032106+0.00098948i,-0.00033802+0.0010749i,0.00013924+0.0010936i,0.00089645+0.0011519i,0.00062203-3.492e-05i,0.00051614-0.0003919i,0.00050658-9.3484e-05i,7.3295e-05+4.4591e-05i,-0.00068451+1.4387e-06i
-0.0005791+0.0021748i,3.5168e-05+0.0022286i,-0.00018652+0.0017063i,-0.0010234-5.4543e-05i,-0.00085034-0.0004139i,-0.00056878+0.0004979i,-0.00032868+0.00086139i,-0.00028257-0.00015959i,0.00020417-0.0009055i,0.0013691-0.0005686i,0.0013466+0.00013934i,0.00054516+0.00060051i,0.00039068+0.00098689i,0.0005731+0.00024964i,9.0631e-05-0.00066151i,-0.00088478+0.00029438i,-0.00049621+0.00078132i,0.00044646-0.00029992i,0.0001432+0.00010646i,-0.0003703+0.00081015i,-0.00017938+0.00091153i,-0.00021954+0.00063798i,-0.00014591+0.0002979i
0.00023775+0.0016764i,0.00053083+8.5149e-05i,0.0011175-2.5359e-05i,0.0001807-0.00087585i,-0.0017952-0.0018661i,-0.00234-0.0023226i,-0.001151-0.0018039i,0.00049489-0.0012671i,0.00063669-0.00077235i,-0.00039363+0.00090244i,-0.0002926+0.0018168i,-0.00061915+0.0015277i,-0.00049925+0.00069997i,-3.8536e-05+0.00018756i,-0.00028587+0.00021309i,-0.00014747+0.00057728i,0.00032714+0.000352i,0.00064293+4.8765e-05i,0.00055897-0.000182i,0.00060852-0.00086308i,0.0011111-0.00052833i,0.0015202+0.00042402i,0.0016469+0.0011187i
0.0036182+0.0004837i,0.0025971+0.0010779i,0.0017933+0.0005356i,0.00039416+0.00018911i,-0.00063765-0.00042459i,-0.001005-0.00096471i,-0.0012968-0.0012352i,-0.00064826-0.0018643i,-0.00073173-0.0021761i,-0.0011017-0.0013096i,-0.00077271+0.00015221i,0.00038176+0.0015641i,0.00034765+0.0013433i,0.00018035+2.6507e-05i,0.0012712-0.00044466i,0.0014803-0.00054741i,0.00043781-0.00034419i,7.3564e-05-0.0004295i,0.00028735-0.00049365i,0.00032832-0.00028345i,0.0003421-0.0002829i,-0.0003896+3.8913e-05i,-0.00038709+0.00053104i
0.0014266+0.0022903i,0.00073756+0.0021001i,0.00088018+0.00040261i,-0.00049534-0.0012497i,-0.0019829-0.0018259i,-0.0021493-0.00073621i,-0.0012413+0.0001247i,-1.0146e-05-7.7493e-05i,0.00031427-0.00075727i,0.00021143-0.0010172i,-0.00010184-0.00016106i,-0.00032102+0.00058227i,-0.0005425+0.00064931i,-0.00067314+0.00048487i,-0.00036677-0.00010779i,0.0004483-0.00045366i,0.0011735+0.00028558i,0.001022+0.00046272i,0.00055328+0.00040204i,0.0006535+0.00022709i,0.0010113-0.00068278i,0.00092679-0.00013104i,0.00044031+0.00074317i
0.00067166-0.0025978i,-0.00018989-0.0030054i,-0.00080844-0.0031858i,-0.0011785-0.0023296i,-0.00078908-0.001016i,0.00016446+0.00029206i,0.00080479+0.00044691i,0.0005058+0.00054212i,-0.00010742+0.00087238i,-0.00035881+0.0010593i,-0.00016258+0.0017897i,0.00015435+0.0017773i,0.00023454+0.0010986i,-0.00013345+0.00091582i,1.5804e-05+0.00087892i,0.00076982+0.0010087i,0.00023071+0.00067799i,5.3664e-05+0.00010247i,0.0004584+0.00024296i,7.5646e-05-3.6913e-05i,3.822e-05-0.00040114i,0.0007354-0.0005422i,0.0011003-0.00043183i
-5.2673e-05+0.00086456i,-0.00036376+0.00023419i,0.00053213-0.00049921i,0.00040243-0.0012632i,-0.0015224-0.00077765i,-0.0024315-0.00022774i,-0.0014129-0.00072636i,-0.00045489-0.0012785i,-0.00097469-0.00095273i,-0.0015909+0.00011231i,-0.0009101+0.00079725i,-0.0005594+0.0017876i,-0.00026932+0.0021185i,0.0004997+0.0010273i,7.351e-05+0.00085886i,-0.00081502+0.00068181i,-0.00069143-0.00044549i,9.8528e-05-0.0016703i,0.00012016-0.0010793i,-0.00044373+0.00062272i,-0.00043238+0.0007758i,-0.00050366+0.00040324i,-0.00054134-0.0002087i
0.0014732+0.0014432i,0.0018258+0.00054684i,0.0021007+0.00028773i,0.0014332-0.00026727i,0.00048517-0.0011906i,6.9592e-06-0.001469i,0.00015342-0.0011126i,0.00031196-0.0018353i,-2.5614e-05-0.0022557i,-0.00063489-0.0014468i,-0.00098109-0.00049897i,-0.00087586+0.0003785i,-0.00018382-9.1483e-05i,-7.8563e-05-0.00062316i,-0.00027975-0.00058793i,0.00013257-0.00043216i,0.0011004-0.00018808i,0.0018518-0.0001143i,0.001269-0.000159i,0.00031789+6.9676e-05i,0.00016956+0.00077887i,0.00051236+0.0019285i,-0.00051466+0.0018328i
0.00041428+0.0021096i,0.00081457+0.0027151i,0.0012085+0.0017335i,0.00055587+0.00066372i,-0.0010176+5.0142e-05i,-0.0016354+0.00045963i,-0.00041575+0.0010513i,0.00043701+0.00095052i,0.00057313+0.00078321i,0.0009012+0.00022682i,0.00086455-0.00041727i,8.5795e-05+0.00023215i,-7.1437e-05+0.0007247i,0.00061539+0.00078681i,0.00090336+0.0010258i,0.00050261+0.0011231i,0.0003397+0.00021906i,0.00047555+0.0002021i,0.00041247+0.00059284i,0.00080724-0.00056883i,0.00075116-0.00049231i,-0.00037355+0.00020229i,-0.000314-5.326e-05i
-0.0030214+0.00083424i,-0.0029334+1.1295e-05i,-0.0028274+0.00042883i,-0.0014735+4.9806e-05i,-0.00044059+8.0649e-05i,-0.00057583+0.00043709i,-4.5367e-05+0.00063737i,0.00038819+0.0003194i,0.00059983+0.00073747i,0.0010118+0.0012672i,0.0011924+0.0010019i,0.0011077+0.00041048i,0.00119+0.00018353i,0.0016509+5.5346e-05i,0.00092106+0.00048394i,-0.00025252+0.0011437i,-0.00028861+0.00062998i,-0.00043251+0.00036457i,-0.00075287+0.00078317i,-0.00043212+0.00077807i,-0.0003989+0.00036787i,-0.00055681+7.4477e-05i,0.00025868+0.00055544i
0.0021799-0.00076579i,0.0019792-0.0014596i,0.0018947-0.0022584i,0.0014641-0.002118i,-5.3247e-05-0.001827i,-0.0012204-0.00085573i,-0.0012387-0.0001545i,-0.00037592-0.00079272i,8.2045e-05-0.0014064i,-0.0010892-0.00097203i,-0.0013799+0.00042275i,-0.00034084+0.0011424i,6.9313e-05+0.001204i,3.2966e-05+0.0012192i,-0.00038111+0.00098444i,-0.00062525+0.00098145i,-0.00053624+0.00074639i,-0.00021058+0.00093415i,9.4046e-05-0.00018331i,0.00025162-0.0014083i,0.0004666-0.00051624i,0.00078154-0.00040207i,0.00085303-0.00059148i
-0.00074594-0.00043799i,0.0004071+0.00035626i,-0.0014229+5.6235e-05i,-0.0027935-0.00037234i,-0.0024814-0.00021759i,-0.0014527-5.1654e-05i,-0.00053886-0.00065574i,0.0011896-0.00096284i,0.00047351-0.0006188i,-0.0012667-0.00026848i,-0.00013898+0.00026648i,0.0005289+0.00082791i,0.00030646+2.7889e-05i,9.1683e-05-0.00039824i,-0.00010384-0.00015476i,0.00030453-0.00056242i,0.00032851+0.00018862i,8.4568e-05+4.9388e-05i,0.00087696-0.00064649i,0.0010183-9.5924e-05i,0.00032617-0.00037396i,-0.00011867-0.00072897i,-0.00041704-0.0001267i
-0.0022176+0.00085126i,-0.0019969+0.0013351i,-0.0017213+0.0015462i,-0.0016584+0.00068543i,-0.0018282+0.00026263i,-0.00095621+0.0012087i,-0.00048408+0.00088488i,0.00055749-0.00024525i,0.001932-6.5852e-05i,0.0014532-0.00028482i,0.00086902-0.0006338i,0.00076874-0.00010665i,0.00051598+4.2216e-05i,0.00060914-0.00013599i,0.000403-0.00056037i,0.00055168-0.00094476i,0.00083175-0.00069446i,0.00085091+0.0002425i,0.00035892+0.0012026i,0.00046957+0.00068068i,0.00089927-0.00057891i,0.00087175-0.0012292i,0.00083458-0.0013717i
-0.0044679-0.00074784i,-0.0043728-0.00093017i,-0.0041993+0.00059078i,-0.0034999+0.0016132i,-0.0016883+0.00082023i,-0.00071097-0.00025287i,-0.0012278-0.00050986i,-0.00087007-0.00012284i,-0.00024061+0.00015353i,0.0010167+0.00045552i,0.0020407+0.00092713i,0.0013539+0.00061312i,0.00043231+0.00014104i,0.000872-0.00039128i,0.0012091-0.00027318i,0.00051301-3.938e-05i,-0.00040401-0.001067i,-0.0010351-0.00099602i,-0.0011509+0.00011011i,-0.00079625+0.0004445i,-0.00014748-0.00014082i,-8.1119e-05-0.00021858i,-0.00038578-0.00029022i
0.0040196-0.0018273i,0.0028312-0.0030498i,0.0018494-0.0044984i,0.00068328-0.0042287i,-0.00027256-0.0027934i,-0.00095227-0.0011037i,-0.00074741-0.00061522i,-0.00024015-0.0011758i,-0.00084815-0.0015382i,-0.0019884-0.00052612i,-0.0016557+0.0013702i,-0.000611+0.0025807i,0.00031053+0.0029618i,0.00046332+0.0024086i,-0.00019484+0.0009762i,-0.00051436+0.00051747i,-3.7622e-05+5.2452e-05i,0.00020255-0.00064825i,-0.00024831-0.0003233i,7.0969e-05-6.7097e-05i,0.00058104-0.00062664i,0.0006986-0.00051043i,0.0007328+4.9777e-05i
-0.00017067+0.0038694i,0.00089326+0.003482i,0.0014721+0.0033482i,0.0010572+0.002464i,0.00060733+0.00085793i,9.0041e-05+7.4848e-05i,0.00019246-0.00046588i,0.00074793-0.00087681i,0.00075624-0.0006645i,0.00085583-0.00066172i,0.0011647-0.00080226i,-0.00018431-0.00038277i,-0.0016042+0.0010832i,-0.0021807+0.00067465i,-0.0018756-0.00046942i,-0.0010536+0.00012613i,-0.00074907+0.00052405i,-0.0006696+0.0005966i,-0.00031721+0.00078894i,0.0003712-0.00015429i,0.0012861-0.00098789i,0.0006673-0.001124i,-0.00014623-0.00080799i
-0.0013856-0.00075414i,-0.0035652+0.00011652i,-0.0041818-0.00023023i,-0.0037533-0.00082944i,-0.0038745-0.00063629i,-0.0032637+0.0002657i,-0.0010427+0.00094026i,0.0010319-2.4245e-05i,0.00091295-0.00036989i,0.00013591+0.00065988i,-0.00010055+0.0011092i,0.0001222+0.0011087i,0.00031675+0.00042415i,0.00067246-0.00021184i,0.0010652-7.7214e-05i,8.4287e-05-0.00015061i,7.4502e-05-0.00018906i,0.00035916+0.00019397i,0.00014346+3.1065e-05i,0.00056726-8.8398e-05i,0.00016899-0.0002778i,0.00012206-0.00064255i,0.00031342-0.00031604i
0.001563+0.00050352i,0.0011128-0.00011941i,0.0019404-0.00076046i,0.0010309-0.0017635i,-0.00030736-0.002855i,-0.00039682-0.0019929i,-0.00025209-0.00062746i,-0.00041951-0.00070009i,-0.00072886-0.00078443i,-0.001425-0.00031764i,-0.0016367+0.00048293i,-0.00035573+0.0015796i,0.00074855+0.00211i,0.00041421+0.0014504i,-0.00032806+0.00075559i,0.00059363+0.00083671i,0.0011518+0.00090681i,0.00081558+0.00059987i,0.00099345+0.00044987i,0.00073598+0.00012782i,6.3082e-05+0.00060116i,-1.1966e-05+0.0010256i,0.00014853+0.00049363i
0.0011791-0.00010895i,0.0018138+0.0008235i,-0.00030103+0.00085223i,-0.0020304-0.00050837i,-0.0031836-0.0015285i,-0.0028151-0.00071548i,-0.0013441-0.00048629i,0.00013973-0.0010058i,0.0004866-0.0023076i,-0.00033204-0.0020836i,-0.0003438-3.274e-05i,0.00036448+0.0010486i,0.00011527+0.0005286i,-0.00074188-6.8571e-05i,-0.00046096+0.00046044i,0.00035622+0.00092235i,0.00012442+0.00036823i,-0.00051786-0.00041397i,-0.00018375-0.00060655i,0.00013924-0.00098309i,-0.00041443-0.0010169i,-0.00063461+0.00013361i,0.00035916+0.00028231i
-0.0014347+0.00098291i,-0.00091182+0.00090225i,-0.0014672-0.00034458i,-0.0016776-0.00093531i,-0.0021055+0.00012088i,-0.0016113+0.0010836i,1.3679e-05+0.000302i,0.00078759-0.0006297i,0.00096931-0.00085903i,0.00065112-0.00017892i,0.00027302+0.00033018i,4.8736e-05+0.000318i,3.3703e-05+0.00057883i,0.00053678-0.00024291i,0.00040726-0.00059745i,-0.0004019+0.00015155i,-0.00058965+0.00059846i,-0.00081751+0.00091569i,-0.00074452+0.0002519i,0.00028782-0.0011167i,0.00043134-0.0014944i,-0.00056002-0.0016251i,-0.00097055-0.0010213i
-0.00073878-0.00092276i,-0.0016557-0.0014418i,-0.00097915-0.00087158i,-0.0012825-0.00054637i,-0.0029631-0.0011335i,-0.0030211-0.0013033i,-0.0010947-0.0012091i,0.00011738-0.00029685i,-0.00071773+0.00049835i,-0.0016293+7.7919e-05i,-0.00075346+0.0002931i,0.00018694+0.00039944i,0.0005182+0.00093307i,0.00046866+0.0012827i,0.00027606-0.00028598i,0.00043794-0.0013794i,0.00012835-0.0002055i,-0.00079649+0.00053718i,-0.0011795+0.00041595i,-0.00012879+0.00067221i,0.00039705+0.00092454i,-0.00036824+0.00018352i,0.00021999-0.00019451i
0.0041388+0.00014973i,0.0034106-0.0010809i,0.0018267-0.0024994i,-0.00012386-0.003372i,-0.0019465-0.0030945i,-0.0024376-0.0014901i,-0.00069263-0.00042948i,0.00023891-0.00058621i,-0.0003139-0.00074406i,-0.001738-0.00026382i,-0.0016115+0.0010034i,-0.00083436+0.001456i,-0.00012161+0.001406i,0.00062261+0.0017077i,0.00058423+0.0012738i,0.00039579+0.00018042i,0.00059834-0.00011853i,0.00066357-0.00024485i,0.00013019-0.00010922i,-4.3934e-05+0.00025685i,-0.00037596+0.00012125i,-0.0003847-0.00045266i,0.00030301-0.00034995i
0.00029854+0.0021924i,0.00072756+0.001258i,0.00099805-0.00058022i,-0.00034229-0.00036996i,-0.0012373-3.164e-06i,-0.00073062-0.0001933i,-0.00022367-0.00041557i,0.00015155-0.00095924i,0.00055295-0.00073631i,0.00054597-0.00020357i,-0.0003222+0.00056448i,-0.0017329+0.00099914i,-0.0017752+0.00076061i,-0.00052389+0.00055034i,0.00022863+0.00019276i,1.2446e-05-0.00012658i,-1.2223e-05+1.1234e-05i,0.0010638+0.00043683i,0.0012956+0.00067768i,0.00069202+0.00066553i,0.00019661+0.00038185i,-0.00016555-0.00059354i,0.0003862-0.00068151i
-0.0017328-0.0036147i,-0.0016761-0.0032087i,-0.0027355-0.0026236i,-0.0039392-0.00043773i,-0.0030106+0.001416i,-0.0012396+0.0011856i,-0.00056013+0.00018481i,0.00019548-0.00073342i,0.00084948-0.00076209i,0.00060965-0.0003595i,0.0005356-0.00033711i,0.00069757-0.000153i,0.0006768-0.00043069i,0.00039738-0.00089609i,-0.00042711-0.00041712i,-0.00068161+0.00017249i,-0.00139-0.00019092i,-0.0010793-0.00027106i,-0.00035463-0.00053457i,0.00013423-0.0012155i,0.0010243-0.0012902i,0.00071952-0.001469i,-0.00042251-0.0009233i
-0.00032252+0.00071005i,-0.00075886+0.0018567i,-0.001002+0.0016477i,-0.0010757+0.00048581i,-0.0011052-0.00057138i,-0.00036377-0.00058099i,0.00035864+8.844e-07i,0.00026852+0.00012755i,-0.00052715+0.00047812i,-0.0012655+0.0013534i,-0.00069464+0.0013978i,0.00048586+0.00013498i,0.00083212-0.00054894i,0.00065693-0.00057972i,0.00033425-6.4689e-05i,0.00017616+0.00023245i,0.00033328+0.00032221i,0.00057119+0.00030065i,0.00066036+3.4012e-05i,0.00067483+0.00031811i,0.0015732+6.9232e-05i,0.0014694+0.00018741i,-0.00021256+0.00070804i
0.0014802-0.00036716i,0.001842-0.0016206i,0.00092555-0.0017246i,-0.0012229-0.00068269i,-0.0016585-0.00024613i,-0.001818+0.00014277i,-0.0019242+0.001091i,-0.0013597+0.00060324i,-0.0012309-0.00094811i,-0.0017261-0.00094406i,-0.0014766+1.2291e-05i,2.5802e-05+0.0017116i,0.0010829+0.0023906i,0.00093869+0.0020156i,0.0010923+0.0014252i,0.0018881+0.0010002i,0.0025809+0.00057518i,0.0023318+0.00033128i,0.00062456+0.00075413i,-2.5542e-05+0.0013246i,0.00067168+0.0012953i,0.00040516+0.00082089i,0.0005118+0.00034727i
-0.0018694-0.0012795i,-0.0020824-0.00041317i,-0.0025592+0.0014186i,-0.0024818+0.0021513i,-0.0018116+0.0025782i,-0.0011704+0.0016823i,-0.00075477-6.1175e-05i,0.00073102-0.0010767i,0.0011654-0.00063776i,0.00038756+0.0010618i,-0.00015502+0.002043i,-0.00044338+0.0016061i,-0.00095471+0.0004452i,-0.0010775-0.0002634i,-0.00074075-0.00013864i,0.00018505+0.00075267i,0.00080899+0.00037367i,0.00073109+0.00013873i,-5.8966e-05-0.00041232i,-0.00099261-0.0014472i,-0.0011883-0.0010702i,-0.0013279-0.00084883i,-0.0016582-0.0010432i
-0.00095751+0.0015545i,-0.0012988+0.0022149i,-0.00084021+0.0031087i,-0.00010042+0.0016318i,-0.00049219-0.00094006i,-0.0011098-0.0015922i,-0.0010358-0.00018538i,-0.00037211+0.0006405i,4.3668e-05+0.00059711i,-0.00025684+0.00041893i,0.00025244-0.00047626i,0.00059488-0.00088584i,-0.00017749-0.00088493i,-0.00034613-0.0012258i,0.00031867-0.00052971i,0.00021094-0.0001592i,-0.00062256+0.00036864i,-0.0006544+0.00099047i,0.00043303+8.3645e-05i,0.0012858-0.0010242i,0.00096589-0.0014708i,0.00037604-0.0021154i,-5.8183e-05-0.0017131i
-0.0016085-0.0031356i,-0.0023577-0.0033009i,-0.0044298-0.003826i,-0.0050991-0.0025939i,-0.0039842-0.00049932i,-0.0021475+0.00019636i,-0.00066144+0.00064517i,-3.3507e-05-0.00013093i,-0.00095169-0.00072418i,-0.001709+0.00040766i,-0.00035544+0.0015238i,0.0013945+0.0020404i,0.0024424+0.0016319i,0.0021605+0.00088038i,0.0014498-8.5005e-05i,0.001126-0.00029042i,0.00061006+0.00031777i,0.00053609-6.8492e-05i,0.0011783-0.00021154i,0.0014503+0.00016492i,0.0014129-0.00022293i,0.001598-0.00060255i,0.0013289-0.00073498i
-0.0011983-0.0012532i,2.6482e-05-0.0015241i,0.00065202-0.0012929i,-0.00066756-0.0013431i,-0.0019215-0.00094264i,-0.0014437-0.00031015i,-0.00063038-0.00015137i,-0.00053236-0.00061394i,-0.00028619-0.0010801i,-0.00031675-0.00052674i,-0.00048694+0.0007187i,-0.00029175+0.0016208i,-9.9863e-05+0.0020612i,0.00013238+0.0020064i,7.1877e-05+0.0015622i,-0.00046199+0.00075591i,-0.00079594+2.6929e-05i,-0.00014408-0.00044598i,0.000819-0.00096726i,0.0009956+9.7304e-05i,0.00049273+0.0010372i,-5.8909e-05+0.00062735i,-3.4919e-05+0.00036018i
-0.00072392+0.0017517i,-0.000784+0.0018389i,-0.00044928+0.0023943i,-0.00063234+0.0018394i,-0.0017149+0.00075881i,-0.001546+0.00073234i,-0.00054927+0.00038522i,-0.00014259-0.0004277i,-0.00016973-0.00043564i,1.0253e-05+0.00052453i,0.0002632+0.00087404i,-0.00038276+0.00043149i,-0.0013306+2.0152e-05i,-0.0014082-0.00015586i,-0.00047218-0.00065163i,5.9326e-06-0.00096717i,-0.00013284+7.7428e-05i,0.00012083+0.0010524i,-0.00015433+0.0009183i,-0.0014097-0.00038877i,-0.0019069-0.0012036i,-0.0013692-0.00087806i,-0.00055336+0.00061162i
0.001857-0.0028277i,0.0014673-0.0027024i,-0.00080859-0.0035406i,-0.0031051-0.0035292i,-0.0036296-0.002589i,-0.0031406-0.00080254i,-0.0010154-0.00014994i,0.0012555-0.00061414i,0.00082242-0.00039062i,6.3468e-05-0.00022954i,0.0002626+6.2643e-05i,0.00047096+0.00031502i,0.0017985-0.00047902i,0.0027392-0.0008203i,0.0018932-0.0004273i,0.0014477-0.00037273i,0.0010154-5.7138e-05i,9.5968e-05+5.0823e-05i,1.3897e-05-0.00046255i,0.00037648-0.0016519i,0.00022903-0.0022578i,-0.00013921-0.002011i,-0.00076108-0.0013589i
-0.00038275+0.00019187i,-0.0016636+0.00078369i,-0.0011303-0.00053988i,-0.0014564-0.00066069i,-0.0025751+0.00016834i,-0.0019338+0.0001567i,-0.0005788+0.00035778i,-0.000106+7.7162e-05i,0.00021928-0.00075754i,-3.7042e-05-0.00057428i,9.7382e-05+0.00018659i,0.0014014+0.00052501i,0.0014354+0.0012173i,0.00082627+0.0017898i,0.00081201+0.0016174i,0.00056396+0.0012692i,0.00059073+0.00094535i,0.00087805+0.0012709i,0.0015377+0.00072106i,0.0027928+0.00098061i,0.0030571+0.0013898i,0.0022071+0.00048542i,0.0015461-0.00044799i
0.0024+0.00019901i,0.00217-0.0010573i,0.00060455-0.0020231i,-0.002714-0.0030094i,-0.003949-0.0028374i,-0.0030703-0.0016693i,-0.0011719-0.00093439i,-0.00013141-0.00080076i,-0.00042148-0.00067179i,-0.00026014-0.00089948i,-0.00053322+0.0002561i,-0.0014763+0.001535i,-0.0016166+0.0021115i,-0.0012513+0.0025566i,-0.00020101+0.0020559i,9.2216e-05+0.0013659i,-0.00030752+0.00088i,0.00014108+0.00047288i,8.55e-05+0.00068643i,-0.00032225+0.00081054i,-0.00045271+0.001067i,0.0001713+0.0022583i,0.0014822+0.0024214i
0.0011227-0.00031736i,0.00060942-4.8951e-05i,5.0118e-05-0.00022696i,-0.00057154-0.00040096i,-0.00092801-0.00049649i,-0.0011944-0.00050394i,-0.00044752-0.00090288i,0.0012538-0.0012084i,0.0018485-0.00098677i,0.00099169-0.00031965i,7.6293e-08-0.00034786i,-0.00029507-0.00046307i,-0.00064534+0.00020616i,-0.0014798-4.3366e-05i,-0.0014784-0.00053068i,-0.00053604-0.00026691i,-0.0001014+7.0899e-05i,0.00031124-0.00013621i,0.000534-0.0011147i,-0.0010236-0.0013911i,-0.0024397-0.00077093i,-0.0025185+0.00011884i,-0.0013311+0.00075081i
