-0.0025054-0.00028677i,-0.0024711-6.8736e-06i,-0.0019814+0.0011473i,-0.00057287+0.0003218i,-7.1995e-05-0.00051615i,-0.00027594-7.61e-05i,-0.00033415+0.0008017i,0.00031785+0.0010304i,0.00099017+0.0004726i,0.0015599-0.0011128i,0.0021317-0.00086904i,0.0013676+0.00032502i,0.00062632+0.00061845i,0.00080113+0.00090009i,0.0010693+0.00031845i,0.00031513-8.9625e-05i,-0.00010708+0.00015054i,0.00053514+0.00032604i,0.00078112+0.00028744i,-0.00024623+4.9201e-05i,-0.00042459-0.00018481i,-0.00019475-0.00028563i,-0.00047347-0.00050319i
-0.0010962+0.00063046i,-0.00080354+0.0011517i,-0.00023633+0.00086483i,0.0013862-5.0168e-05i,0.0027764-0.00062132i,0.002704-0.00047686i,0.0014654-0.00025144i,0.00092939+0.00040564i,0.00081028+0.001038i,0.00040902+0.0012057i,0.00013228+0.00099333i,-0.0005164+3.462e-05i,-0.00072769-0.0006849i,-0.00037848-0.00075359i,-0.00034385-8.599e-05i,-0.00043037+0.0008713i,5.7138e-07+0.00092134i,0.0002866+0.00023432i,0.00050922-0.00022915i,0.00038816+0.00024253i,-0.00029213+0.00027116i,-0.00069246+0.00029959i,-0.00072513+0.00031379i
0.00092787-0.0016527i,0.0010642-0.0015177i,0.00044487-0.001309i,0.00024563-0.00018348i,0.00036965+0.00078406i,0.00065141-5.6503e-05i,0.00066524-0.0005594i,-1.1131e-05-0.00051188i,-0.00027239-0.00093457i,0.00053208-0.00031995i,0.00056516+0.00075009i,2.5073e-06-0.00030983i,-0.00027439-0.00098303i,-0.00079385-1.4174e-05i,-0.0012374-0.00010686i,-0.0017083-0.00033163i,-0.0022627-0.0008655i,-0.0018118-0.0010826i,-0.0010786-0.0010757i,-3.2456e-05-0.0013087i,0.00038282-0.0014997i,0.00074278-0.00076409i,0.00067135-0.00017945i
3.5204e-05+0.0012586i,4.1596e-05+0.0017032i,-0.00022162+0.0012394i,0.00041551+9.8931e-05i,0.0013371-0.00097003i,0.00090165-0.00076014i,0.00031867+0.00036501i,0.00037651+0.0011051i,9.4609e-05+0.00069896i,-4.5654e-05+0.00016264i,2.7006e-05-0.00017817i,-0.00058872-0.0001748i,-0.00098473-0.00018308i,-0.00062355-0.00031936i,4.9237e-05-0.00011292i,0.00076651-0.00051529i,0.0010675-0.00082019i,-7.4918e-05-0.000822i,-0.00089215-0.0001064i,-0.00052909+0.00053482i,0.00020774-9.3441e-06i,0.0008392-0.00038526i,0.00058077-9.8118e-05i
-0.001168-0.0023793i,-0.00080234-0.0023803i,-0.00072539-0.0015893i,-0.00078094-0.0011079i,3.7273e-05-0.00093722i,0.00093114+0.00018855i,0.00044492+0.0010173i,-0.00027224+0.00075567i,5.7527e-05+0.00044758i,0.00013618+0.00038908i,-0.00022895+0.00013519i,-0.00049982+0.00050345i,-0.00038447+0.00091686i,0.00022971+0.00087396i,9.0386e-05+0.0010368i,8.6224e-05+0.0016735i,0.00050429+0.002057i,0.00070903+0.002075i,0.00013933+0.0016268i,-0.00070136+0.0010606i,-6.1043e-06+0.00019079i,0.00042862-0.00085423i,-0.00012276-0.00056462i
-0.00088127+0.0006766i,-0.00091493+0.0015788i,-0.00073636+0.0023688i,0.00011101+0.0017705i,0.0014037+0.00064151i,0.0020969-0.00010187i,0.0010891+9.6494e-05i,0.00064607+0.00025935i,0.00064929-0.0003322i,0.00021815-0.00051026i,0.00031112-0.00022586i,-0.0001075-0.00071131i,-0.00047759-0.00094265i,-8.6824e-05+0.0001638i,-0.00024419-6.0387e-05i,-0.00050936-0.0012038i,0.000111-0.0012777i,-0.00036071-0.00053906i,-0.00094801+2.3801e-05i,-0.00036223-7.0014e-05i,0.00026828+0.0002065i,-0.00026317+0.00051731i,-0.00082288+0.00013732i
-0.0003457-0.001748i,6.622e-07-0.0024773i,0.0003818-0.0021248i,0.00030255-0.00093778i,0.00080408-0.00085061i,0.0017439-0.00075874i,0.0011865-0.00022678i,0.00024287+0.00026195i,-4.1105e-05+0.00036868i,-0.00021481-0.00056908i,-0.00011382-0.00025276i,0.00073938+0.00064271i,0.00097333+0.0006926i,0.00039759+0.00067837i,0.00041973+0.00099762i,0.00098161+0.00048655i,0.00098991-0.00031893i,0.00055135-0.00079654i,0.00030628-0.00075321i,0.00035277-0.00012567i,0.0010076+0.00026298i,0.00072754+0.00018632i,-0.00035417+0.0001515i
-0.0033291-0.00037528i,-0.002772-0.00061014i,-0.0024857+0.00080657i,-3.3564e-05+0.0018795i,0.002738+0.0016221i,0.00327+0.00063153i,0.0019244+7.6288e-05i,0.00078406+9.8704e-05i,0.00018192+0.00054469i,-0.00045327+0.00042802i,-0.00017505-5.0587e-05i,0.00016395+6.4883e-05i,7.9523e-05+2.4595e-05i,5.41e-05+0.00028512i,0.00032457+0.00025959i,0.0010572-0.00011441i,0.00059242+8.7344e-05i,0.00014515+0.00063295i,-0.00028987+0.00046986i,-0.00080553-0.00058446i,-0.00062907-0.0010709i,-0.00082713-0.0013i,-0.0011489-0.001403i
5.1683e-06-0.00061195i,-0.0012245-0.00022864i,-0.0019196+0.00057644i,-0.00092153+0.00099699i,0.00025734+0.0002144i,0.00095479-0.0008053i,0.00096636-0.0010428i,0.00039025-0.00081577i,0.00017471-3.8171e-05i,-0.00027332+0.00081178i,-0.0004104+0.00052555i,0.00072233-0.00030924i,0.00046635-0.00034727i,-0.00013138+0.00072878i,7.7122e-05+0.0010163i,-0.00033036+0.00032119i,-0.00071732+6.2528e-05i,-0.00043555-0.00028144i,-0.00050997-0.00029958i,-0.00015385+6.9163e-05i,2.771e-05-1.7969e-05i,0.00013333-0.0002999i,0.00041551-0.00033792i
-0.0013059+1.8764e-05i,-0.0010682-0.00078784i,-0.0005712+0.00065592i,-4.8813e-05+0.0012391i,0.0012012+8.3092e-06i,0.0013497-0.00090446i,0.0011634-0.00063757i,0.00087798+0.0002776i,0.00063225+0.00033511i,0.00027707-0.00021692i,0.00034222-6.8721e-05i,0.00058055+0.00015863i,0.00034939+3.3191e-05i,0.00023911-0.0001012i,0.00023843-0.0006405i,0.00018594-0.001247i,0.00077549-0.0012098i,0.00078813-0.0013261i,0.00020179-0.0015339i,0.00057887-0.0001738i,0.00059167-8.2306e-05i,2.4126e-05-0.00069965i,0.00043878+0.00015582i
0.00032102+0.0010526i,0.00055619+0.0023023i,0.001402+0.0021453i,0.0018275+0.0010161i,0.0018069+0.0002561i,0.0016284-0.00011905i,0.0014511+2.9855e-05i,0.0013464-0.00058796i,0.00087796-0.00029145i,0.00039325-0.00021573i,0.00072046-0.0012728i,0.00055478-0.0009618i,-0.00030785-0.00042649i,-0.00045895+0.00031705i,-0.00013609+0.0017275i,-0.00020211+0.002157i,-3.0296e-05+0.0017997i,0.00083543+0.0015172i,0.00073777+0.0011451i,-7.2598e-06+0.0010095i,4.4276e-05+0.0010239i,0.00024775+0.00055574i,0.00053093-6.5168e-05i
-0.00055743-0.0018364i,-0.0015688-0.0024766i,-0.0027359-0.0012814i,-0.0018767+0.00047694i,0.00069543+0.00047028i,0.0022024-0.0003523i,0.0017829-0.00048065i,0.0010289-0.00031436i,0.0004488-0.00037036i,9.8034e-05-0.00023358i,0.00023372-0.00022074i,0.00047723-0.0013604i,0.00050197-0.0018626i,-0.0001185-0.00051779i,-0.0014197+9.4772e-06i,-0.0024911+0.00016197i,-0.0022945+0.00062957i,-0.0017651+0.0011195i,-0.00095085+0.00092606i,0.00014424+0.00047594i,0.00058209+0.00025866i,0.00058822+0.0001785i,0.00054126+0.00023353i
0.0012407-0.0011072i,0.0018717-0.0012858i,0.0023103-0.00093153i,0.0017391-0.0012201i,0.001036-0.0012765i,0.0010811-0.0010098i,0.0017384-0.00061612i,0.0018632-0.00024183i,0.0012371-0.00089018i,0.00085248-0.0013575i,0.00070123-0.00061844i,0.00017635+0.00027616i,-0.00038286+0.00015619i,-9.0151e-05-9.3521e-05i,-9.6634e-05-0.00014898i,0.00020178-0.00057512i,0.00052996-0.0015729i,0.00051843-0.0021883i,0.00067684-0.0013029i,0.00093759-0.00080009i,0.00079802-0.00074603i,0.00033191-0.00068897i,0.00010479-0.00071812i
0.0016489+0.0013874i,0.0019136+0.001187i,0.0018932-0.00054585i,0.001114-0.0012807i,0.0011231-0.0014116i,0.0013125-0.0013293i,0.0008298-0.00085931i,0.0011267-0.0011251i,0.0011514-0.0012165i,0.00018775-0.00032145i,0.0001414+0.0011819i,0.00017542+0.0014022i,-0.00028474+0.00013858i,-0.00057088-0.00024418i,-0.00037529+4.8895e-05i,0.00068734+0.00037121i,0.0012199-0.00036285i,0.00098777-0.0010963i,0.0004068-0.00061476i,8.3815e-05+0.00012867i,8.5497e-05+0.00091765i,-7.8778e-05+0.00086726i,0.00021733-0.00050073i
0.0011335-0.00010491i,0.0023248-0.00013167i,0.0021238-0.00031671i,0.0012563-0.0013102i,0.0014338-0.0023648i,0.00073657-0.0014887i,-5.9944e-05-0.00058367i,-0.00021342-0.00073668i,-0.00015838-0.0012018i,0.0010643-0.00065308i,0.001435+0.00037145i,0.00078287+0.00019568i,0.00031177+0.00056671i,-0.00030534+0.00090747i,-0.00095429+0.00062208i,-0.0014207+0.00016869i,-0.0012987-0.00020144i,-0.0014804+0.00012417i,-0.0011495+0.00014281i,-0.00024781-0.00015014i,5.9971e-05-0.0001589i,0.00032176+8.2484e-05i,0.00040912+0.00012513i
0.0011628+0.0020501i,0.00050401+0.002055i,0.00036063+0.00046421i,0.00076369-0.00063179i,0.0016545-0.00077901i,0.0022225-0.00047738i,0.00192+4.713e-05i,0.00096927+0.0002286i,0.00076227+0.00021151i,0.00077378+9.8007e-05i,0.0007452-0.00016552i,0.0002872-0.0002306i,-0.00056726-0.00015822i,-0.00097824+0.00043946i,-0.00085023+0.00042545i,0.00028869-0.00065778i,0.00062249-0.0012765i,5.8595e-05-0.00090317i,-0.00017668-0.00055902i,0.00034944-5.5173e-06i,0.00062107+0.00020691i,1.3907e-05-0.00042049i,-0.00011532-0.00051062i
-0.00023453-3.0095e-05i,-0.00030938+0.00026632i,-0.00059785+0.0010902i,-8.0319e-05+0.00066141i,0.0014382+0.00010595i,0.001839-0.00029945i,0.001298-0.00058134i,0.0014548+8.7352e-05i,0.0016082+0.00038167i,0.0013201+0.00046177i,0.0008681+0.00024297i,0.00080375-0.00082419i,0.00052387-0.0011363i,-5.9477e-05+8.1991e-05i,-0.00019847+0.00060903i,7.4706e-05+0.00074277i,0.00096011+0.00078925i,0.0012262+0.00072346i,-4.7851e-05+0.00076105i,-0.00045952+0.00042073i,0.00040296+0.00042629i,0.00054129+0.00041527i,-0.00041226+0.00061882i
0.0016663+4.0871e-05i,0.0023587-5.9389e-05i,0.001429-0.00078683i,-0.0002238-0.0005937i,-0.00043763-2.9326e-07i,0.00025415-4.6959e-05i,0.0001061-0.00046511i,-2.5839e-06-0.00067989i,0.0005345-0.00083674i,-4.0413e-05-0.00080434i,-0.0011419-0.00019674i,-0.0011092+0.00016617i,-0.00067996+0.00084985i,-0.00038534+0.00074897i,-0.00069004+0.00017434i,-0.0011695+0.00055777i,-0.00081258+0.00097316i,-0.00056669+0.0013665i,-0.00023821+0.0009018i,0.00026992+0.00039802i,0.00019551+0.00033579i,0.00053903+0.0002534i,0.00049779+0.00017634i
-0.0017397-0.00045682i,-0.0023084-0.00065291i,-0.0018069-0.00010727i,-0.00014155+0.0013963i,0.0012308+0.0012531i,0.00206+0.00030664i,0.0022122+0.00037215i,0.001021+0.00090711i,0.00045187+0.00045807i,1.7282e-05-0.0011392i,-0.00050644-0.0011031i,-0.00020561+0.00050254i,0.0004818+0.00030912i,0.00042287-0.0007138i,-0.00037236-0.00087431i,-0.00090695-0.0010734i,-0.0004724-0.0017397i,9.7863e-05-0.0012425i,-0.00052005-0.00032798i,-0.00093386+9.0043e-05i,-7.1357e-05-0.00011858i,0.00044976-0.00021461i,-0.00044951+0.00013236i
-0.0038304+0.0014823i,-0.0026373+0.0017076i,-0.0014582+0.0024284i,4.9748e-05+0.0030916i,0.0019236+0.0020899i,0.003172+0.00022498i,0.0023109-0.00085657i,0.0017617-0.0014307i,0.0014447-0.00068252i,0.00014998+0.00057397i,-2.9996e-05+0.00030289i,0.00092172-0.00069582i,0.0012817-0.00059334i,0.0011628-0.00021577i,0.00084741+0.00021041i,0.00098932+0.00071747i,0.0014647+0.0013874i,0.00067207+0.0016208i,-0.00033653+0.00014965i,-0.00012656-0.00032223i,0.00013042+0.00054725i,0.00066732+0.0009634i,0.00083931+4.7297e-05i
0.00076939-0.0023143i,-0.00025562-0.0033632i,-0.0013516-0.0037586i,-0.0014401-0.0020595i,-0.00041775-0.0013436i,0.00075704-0.0015519i,0.0012517-0.00095089i,0.00080556-0.00029562i,0.0001907-0.00038517i,-0.00080036+0.00014232i,-0.00061372+0.00046406i,0.00076935+0.00034895i,0.0013015+0.00063634i,0.0005232+0.00089752i,-9.453e-05+0.0005511i,-0.0011855-6.8193e-05i,-0.0021552-3.7675e-05i,-0.00040703+0.00034383i,0.00093489+0.00024429i,0.00048048+0.00034963i,-0.00020182+0.00069833i,-0.00012312+0.00085023i,9.3069e-05+0.0016844i
-0.00021753+0.00064842i,0.00031506+0.0001361i,0.0001397-0.00010952i,0.00034397+0.00026983i,0.0004989+0.00024671i,0.00072692+9.6928e-06i,0.0010064+0.00054466i,0.00090375+0.00053802i,0.00079546+0.00041313i,0.00085832+0.00028484i,0.00068363+0.00034381i,0.0004317+0.00034366i,-0.0011941-0.00038391i,-0.0020221-0.00079554i,-0.00059862-0.00054283i,0.00017095-0.00083996i,-0.00023478-0.00093488i,-0.0006118-0.00054917i,-0.00084944-5.8616e-06i,-0.00058005+0.000294i,-2.867e-05-0.00046676i,-9.5703e-05-0.00079487i,-0.00014788-0.00085236i
-0.0014032+0.0019205i,-0.0012515+0.0016182i,-0.00036557+0.0010197i,0.0014846+0.00070737i,0.0026934-0.00029891i,0.0019923-0.001313i,0.00096551-0.00066789i,0.00042793-0.00030455i,-9.9576e-05-0.00079102i,-0.00045274-0.0010873i,0.00022993-0.0015813i,0.00094648-0.001938i,0.0012367-0.0014073i,0.00055716-0.00083095i,-0.00055253-0.00049742i,-0.00025743-0.00028975i,0.0014557+0.00033029i,0.0018734+0.00059035i,0.0010476-0.00035617i,0.00060138-0.0005846i,0.00054474-0.00028582i,-5.1067e-05+0.00020428i,-0.00082231+0.00071565i
-0.0039886+0.00076168i,-0.0042052+0.00061469i,-0.0035222+0.0017051i,-0.0013844+0.0033846i,0.0012095+0.0029826i,0.0029465+0.0012518i,0.0024689+0.00095414i,0.001348+0.0017091i,0.00086389+0.0018679i,0.0011205+0.001163i,0.0016109+0.00016386i,0.0016111+8.7795e-05i,0.0015598+0.0010127i,0.00081909+0.00024459i,-0.0002492-0.0014526i,-0.0010207-0.0011974i,-0.00069036-0.00024225i,-0.00012554+0.00055609i,0.00021769+0.00045211i,-0.00018028+4.4417e-05i,-0.0002908+0.00028738i,0.00061065+0.00038814i,0.00082666+0.00014725i
0.00057773-0.0016791i,0.00067276-0.0017277i,-0.00051633-0.0022128i,-0.00036594-0.0016741i,0.0018903-0.00084033i,0.004027-0.00080874i,0.0039381-0.00021995i,0.0025548-1.4708e-05i,0.0012518-0.00059274i,0.00018826-0.00077756i,-0.00059102-0.00011216i,-0.00054885-0.00041409i,-3.0247e-05-0.00091322i,0.00072688-0.00037994i,0.000904+0.00015848i,-3.8707e-06-0.00062778i,-0.00058735-0.001285i,0.00019107-0.00059466i,0.00049924+0.00055134i,-3.905e-05+0.00035264i,-0.00026619-0.00024336i,-0.00047873-0.00041333i,-5.1015e-05-0.00071523i
0.00086937+0.00063903i,0.00024322+0.00080818i,7.8653e-05+0.0014847i,5.494e-05+0.0012955i,0.00057861-0.00029809i,0.0008294-0.0012197i,0.00074087-0.0010629i,0.0011076-0.00075174i,0.0014807-0.00060207i,0.00074601-0.0010988i,0.00028998-0.001333i,0.0012256-0.00033008i,0.0018851+0.0007316i,0.0012577+0.00093966i,-0.00023417+0.0011146i,-0.00044522+7.1588e-05i,0.00029446-0.00051078i,5.6016e-05-0.00052638i,-0.0007084-0.00055347i,-0.00055174-0.00035936i,0.00021233-0.00021152i,0.00021262-5.6415e-05i,0.00016163-2.198e-05i
-0.0017274+0.00069955i,-0.00042091+0.0014759i,-0.0001027+0.0013568i,0.00011571+0.0015868i,0.0013761+0.00053409i,0.0023879-0.00062337i,0.0023953+0.00017491i,0.001582+0.00066692i,0.00023774+0.00051449i,-0.00076839+0.00058758i,-0.00078588+0.00080595i,-0.000798+0.00092987i,-0.00042251+0.00035158i,-0.00021514+0.00056743i,-0.00035408+0.0014752i,-0.00011561+0.0014883i,-0.00017231+0.0015257i,0.00053146+0.00050232i,0.0010014-0.00052403i,0.00080166-1.7319e-05i,0.00052621+0.00066941i,0.00024491+0.00027895i,1.4305e-05-0.00027232i
-0.0014826+0.00069861i,-0.00084066+9.5923e-05i,-0.00038563+0.000433i,-2.1633e-05+0.001678i,0.00020356+0.00094266i,0.0012272+0.00011473i,0.0014959-0.00017351i,0.0004645+5.1838e-05i,-0.00026086+0.000743i,-0.00043427+0.00065491i,-0.00052747-1.9589e-05i,-0.00064052-0.00093546i,-0.00030545-0.0012145i,0.00024471-0.00091729i,0.00011719-0.00099038i,-5.1773e-05-0.00059255i,-0.00038697+8.2628e-05i,-0.00084656+0.0004505i,-0.00054852+0.00088764i,-0.00016426+0.0011161i,-7.6133e-06+6.4791e-05i,-1.818e-05-0.00036552i,2.8614e-05-5.0889e-06i
-0.00064995+0.00065554i,-0.00067838+0.0017549i,0.0011427+0.0024647i,0.0024849+0.0020513i,0.002413+0.0005642i,0.0020677-0.00041562i,0.0013849-0.00012976i,0.00059003+0.00033333i,9.1756e-05+0.00069961i,4.459e-05+3.9674e-05i,0.00068523-0.00014811i,0.0012468+0.00036285i,0.00023941+0.00035404i,-0.00029272-5.7495e-06i,0.00016098-9.7942e-05i,0.00043599+0.0001414i,0.00094173-0.00069876i,0.0012002-0.0010515i,0.00044858-0.00097447i,0.00036246-0.0011536i,0.00045342-0.00046601i,0.00013869-6.0532e-05i,-5.5433e-05+3.3973e-05i
-0.00016486-0.0011935i,-0.00068355-0.002201i,-0.0017994-0.0028225i,-0.0016872-0.0022073i,0.00022735-0.00088972i,0.0012485-0.00105i,0.0013251-0.0012081i,0.0017083-0.00086871i,0.0012666-0.00070436i,0.00051646-3.8886e-05i,-0.00025091+0.00049711i,-0.00066502+0.00049267i,-0.0010887+0.00042506i,-0.0012263-0.00020212i,-0.00097133-0.00065031i,-0.00030042-0.00020022i,0.00064242+0.00019748i,0.0012637+0.00062316i,0.0014343+0.0012306i,0.00078036+0.0010236i,-0.00015907+0.00085664i,-0.00059224+0.00054468i,-0.0006791-0.00021667i
-0.00098029+0.0018578i,-3.6528e-05+0.0026185i,0.0010468+0.0022404i,0.001321+0.0018765i,0.0021899+0.0013131i,0.0027582+0.00018451i,0.0020363-3.6069e-05i,0.0017475+0.0008558i,0.0013167+0.00036415i,0.00057562-0.00014913i,-2.2223e-05+8.6394e-06i,-0.00010758-0.00041564i,0.00017039-0.0010256i,0.00023609-0.0010964i,-0.00059543-0.0010147i,-0.0013318-0.0013136i,-0.0010838-0.00085675i,-0.0011519+0.00073855i,-0.0010634+0.0017298i,-0.00069413+0.0015164i,-0.00049068+0.00071388i,-0.00010984+0.00050309i,-0.00053036+0.0011444i
0.00088685+0.0014379i,-0.00056983+0.00060965i,-0.00055692-0.00048861i,0.00052471-0.00083582i,0.0012693-0.0016963i,0.0010996-0.0015687i,0.00047119-0.00059327i,0.00019161-0.00057503i,-0.00011283-0.0014598i,-6.9561e-05-0.0015092i,-0.00022847-0.00097262i,-0.00028328-4.5493e-05i,-0.00059814+0.00072194i,-0.00064578+0.00088844i,-0.00036345+0.00034403i,0.00033684-5.7615e-05i,0.00087804-0.00033243i,0.00083029-0.00066698i,0.00033981-0.00018382i,-0.00021938+0.00093402i,0.00036936+0.0009571i,0.00084321+0.00069272i,0.00024719+0.0011522i
-0.00092491-0.00074524i,-0.0016409-0.0010736i,-0.0023316-0.0013582i,-0.0007024-0.00076127i,0.001336-0.00037468i,0.0022439-0.00074134i,0.0023922-0.00068819i,0.0014711+0.00014005i,-0.00023522+0.00064877i,-0.001608+0.0010406i,-0.00096377+0.00032976i,-0.00030835-0.00023602i,-0.00069663-0.00072109i,-0.00034436-0.0007556i,0.00015052+0.001022i,0.00018973+0.0025216i,-0.00029699+0.0029187i,-7.5191e-05+0.0023056i,0.0010858+0.0011665i,0.0012968+0.00064892i,0.0007268+0.00011986i,0.00038568-0.00020331i,0.00027894+0.00024911i
0.0019455+0.00018317i,0.0016842+0.00066318i,0.0017088+0.00092822i,0.0015268+0.0001743i,0.0016802-0.0010592i,0.0020206-0.0016164i,0.0010162-0.00060695i,0.00060904+0.00053469i,0.00035092+1.3519e-05i,-0.00019199-0.00035519i,-6.3667e-05-0.00045767i,0.00086058-0.0011282i,0.0015506-0.00033203i,0.00071475+0.000401i,-0.00029712+0.00054111i,0.00010582+0.00055155i,0.00031647+0.0010182i,4.2575e-05+0.0013361i,-0.00039094+0.00049705i,-0.00084872+0.00019602i,-0.00041847+0.00053569i,-0.00011734-3.2608e-05i,-0.00045483-0.00055537i
0.0026053+0.0005388i,0.00077185+6.4666e-05i,-0.00039593-0.0016345i,0.00052711-0.001636i,0.00081966-0.00076697i,0.00064594+1.6053e-05i,0.0011502+0.00023523i,0.0011512+3.5207e-05i,0.00066974+0.00025518i,-5.6551e-05+0.00027756i,4.7571e-05+0.001234i,-8.0069e-08+0.0023422i,-0.0019278+0.0020573i,-0.002739+0.00048861i,-0.00057478-0.00032976i,0.0013262-0.00046692i,0.0017505-0.00081177i,0.0018408-0.0012219i,0.0013377-0.0014102i,0.00016119-0.0011373i,-0.00047589-0.00065106i,-0.00067353-0.0001678i,-0.00082997+9.9842e-05i
9.7711e-05-0.00028756i,0.00010909+0.00026449i,0.00025362+0.00034381i,0.0010319+8.1274e-05i,0.0020542-0.00033588i,0.0019709-0.0012634i,0.0016972-0.0017137i,0.0011913-0.00059719i,0.00067967-0.00050398i,-1.8158e-05-0.0005014i,-0.00069947+0.00049504i,-0.00037203+0.00068017i,0.00014605-0.0004853i,0.00025652-0.0011987i,-0.00035381-0.00084876i,-0.0011592-0.00027068i,-0.00013604+0.00065038i,0.0010122+0.0015482i,0.0011851+0.00074234i,0.0012033-2.6839e-05i,0.001468+0.000677i,0.00076457+0.00036893i,0.00067749-0.00054998i
-0.00096534+0.00092155i,-0.00083313+0.0018554i,-0.0001972+0.0021557i,0.001355+0.0016143i,0.0025517+0.00074029i,0.002359-0.00046231i,0.0013113-0.00068887i,0.0010322-0.00040236i,0.001604-0.00081627i,0.0014266-0.00049098i,0.0014326+5.1369e-05i,0.0017433-0.0004584i,0.0012195-0.00060059i,0.00060422+0.00020702i,-9.5548e-05+0.00090711i,-0.0011441+6.6841e-05i,-0.0020258-0.00045345i,-0.0023104+0.00010661i,-0.0011541+0.00070795i,1.1662e-05+0.0012409i,-9.7137e-05+0.00086985i,-0.00097462+0.0007454i,-0.00099182+0.0011321i
0.0018417-0.00055995i,0.00028467-0.00132i,-0.00027474-0.0012307i,0.00015616-0.00080833i,0.00030227-0.00087375i,0.0014681-0.00096i,0.0018859-0.00099204i,0.00094495-0.00081252i,0.00068085-0.00053302i,9.2939e-05-0.0010329i,-0.00014888-0.0005775i,-0.00050356+0.00052585i,-0.0013411+0.0010508i,-0.0014736+0.00109i,-0.00080539+0.00082466i,0.00011534+0.0003766i,0.00075154-0.00039111i,0.0013197-0.00026514i,0.00071441+0.00042286i,5.7729e-05+3.0103e-05i,0.00020731-5.9527e-05i,-0.00019156-0.0002902i,-0.00025379-0.00081241i
-0.00073086+0.0018032i,-0.00052285+0.0016937i,0.0010079+0.0020318i,0.0019907+0.0011435i,0.002493-0.0010227i,0.0020403-0.0014867i,0.00052363-0.00039401i,-0.00091347-0.00010081i,-0.0013485-0.00019636i,-0.0011671-0.00019499i,-0.00090748-0.0011158i,-8.078e-05-0.0022632i,0.00033914-0.0020676i,0.00028415-0.0006322i,-0.00078737+0.00033768i,-0.00048778+0.0014831i,0.0005597+0.0025506i,0.00065303+0.0020757i,0.0010336+0.00073472i,0.00070381-0.00051537i,-0.00012514-0.0010654i,0.00029254-0.00053908i,0.00088558+0.00030381i
-0.0015227+0.00018213i,-0.0011416+0.0010991i,-0.0010377+0.0017098i,-0.00027003+0.0016599i,0.0012321+0.00052173i,0.0023284-0.00037602i,0.002613-0.00016217i,0.0024024+0.0004375i,0.001158+0.00073172i,-0.00025338+0.00080398i,0.00031726+0.00058635i,0.00076687+0.00045322i,-0.00013976+0.00026299i,-0.00063231-0.00010039i,-0.00091051+4.8464e-05i,-0.00096175+0.00015533i,-0.0003992+0.00022844i,0.000272+0.00029465i,-0.00012873-0.00043928i,-0.00057152-0.00057293i,-0.00037194-0.00030276i,0.00014228+0.00028561i,-3.9684e-05+0.00089156i
-0.00077893+0.00073297i,-0.00035656+0.0001571i,0.00063664+0.00075861i,0.0013232-6.7017e-05i,0.0027473-0.0020742i,0.0029916-0.0022799i,0.0017116-0.0012229i,0.0013596-0.00053276i,0.001156+0.00021928i,0.00067523+0.00025207i,-0.00058531+0.00055862i,-0.001801+0.00011653i,-0.001443-0.0012428i,-0.00026408-0.0016746i,0.00082086-0.0007939i,0.0018394-0.00022439i,0.0022313-0.0005194i,0.001718-0.00033461i,0.00060048-0.00010489i,-0.00010799-0.00013016i,-0.00085982+0.00014064i,-0.00091784+9.0869e-05i,-0.00047112-0.00049086i
-0.00010138-0.00094612i,0.00015406-0.00021197i,-0.00026776+0.0010109i,-0.0010761+0.00095239i,-0.00055825+0.00020302i,0.00050601-7.487e-06i,0.0011638-0.00065763i,0.0023925-0.00083089i,0.0021053+0.00059007i,0.00090176+0.001368i,0.0007381+0.00019299i,0.00068553-0.0009452i,0.00071626-0.00036677i,0.0010158+0.00024717i,0.00083559+0.00035584i,0.00044602+0.0006355i,0.00066634+0.00086868i,0.00068241+0.00048601i,0.00012293+0.00073185i,0.00043046+0.0017094i,0.00065042+0.0014609i,0.0002204+0.00090934i,0.00017299+0.00061328i
-0.00078284-0.0033928i,-0.0011553-0.0029824i,-0.0023334-0.0014132i,-0.0019323-8.7836e-05i,0.00081846+0.0017062i,0.0025331+0.0017917i,0.0029445+9.9105e-05i,0.0026045-0.00064795i,0.00065524-0.0010355i,-0.00016135-0.00046095i,0.00059875+0.0013153i,0.00047412+0.0020993i,-0.0006056+0.0021907i,-0.00061156+0.0010031i,-0.00059246-0.00080776i,-0.00085408-0.0014477i,-0.0013231-0.0013189i,-0.00013547-0.0010744i,0.0013408-0.00025295i,0.00041907-0.00035169i,-0.00084831-0.00056169i,-0.0015767-0.00019976i,-0.0015818-0.00021137i
-2.4166e-05-0.00028799i,0.00068194+0.00028277i,0.0010445+0.0010307i,0.0015157+0.00033253i,0.0019267-0.00092333i,0.0018871-0.0013698i,0.0010317-0.00090886i,0.00092336-0.0013595i,0.00067737-0.0018255i,-5.7071e-05-0.00085479i,-0.00018901-0.0011345i,-0.000241-0.0024091i,-0.00033336-0.0017941i,-0.00053453-0.00087124i,-0.0004177-0.00064618i,-1.9957e-06-0.00014164i,0.00058787+0.00047203i,0.00085068+0.00084908i,0.00051839+0.00024931i,0.00054029+0.0001056i,0.00053636+0.00057004i,-0.00024059+0.00030977i,-0.00050985-0.00011261i
