0.002016+0.0010606i,0.0019291-0.000309i,0.00040911-0.0025576i,-0.00067445-0.0030092i,-0.00093279-0.0014678i,-0.0018559+0.00061503i,-0.0019252+0.0019209i,-0.00060177+0.0023784i,0.00032716+0.0017943i,0.00080296+0.00091168i,0.0011095-4.6036e-05i,0.0011888-0.0012717i,0.00098631-0.0014768i,0.00071459-0.00062107i,0.00010598+8.7138e-05i,-0.00090368+0.00060441i,-0.00056307+0.00081334i,0.00054546+0.0013115i,0.00048661+0.0010164i,0.00072714-0.00044948i,0.00071827-0.0012979i,0.00022388-0.0014653i,-0.00016348-0.00080661i
-0.00090926-0.0021691i,-0.0022428-0.001267i,-0.0022331-0.00038985i,-0.00063523+0.00029769i,0.00066164+0.00047596i,0.0013597-1.2352e-05i,0.0012954-0.00098537i,0.001157-0.00087428i,0.00078273+0.00044934i,0.00041636+0.0010617i,0.0006993+0.00078367i,0.00061325+0.00058049i,8.3566e-05+0.00048935i,-0.00014707-0.00018124i,-0.00030372-0.00040515i,-0.0002759-0.00034497i,-0.00026877-0.00077174i,-0.00084966-0.0008784i,-0.00057808-0.00078452i,-0.00023838-0.00024666i,1.4865e-05+0.00049093i,0.00092724+0.00067382i,0.00087035+0.0008757i
-0.0017273-0.0018106i,-0.0008733-0.0010576i,-0.00080826-0.00084086i,-0.00045845-0.0002837i,0.00019978-9.9116e-05i,0.00058467+0.00037554i,-0.00016008+2.5232e-05i,-0.0012428-0.00046413i,-0.00061523+0.00035395i,0.00025211+0.00050644i,0.00014957+0.00025652i,-2.838e-05+5.9838e-05i,0.00043607-0.00055981i,0.00091117-0.00085326i,0.00067536-0.00042899i,0.00042852-0.00059073i,0.0010273-0.00089626i,0.00052078-2.4768e-05i,-0.00037302+0.00036589i,-0.0010494-0.00017517i,-0.00069157-0.00013659i,-2.4621e-05+4.3628e-05i,0.00016876-6.5446e-05i
0.00012922-0.00099503i,-0.00031572-0.0003344i,-0.00073821-0.00038779i,-0.0012012-0.00050696i,-0.0014322-0.00033086i,-0.0008408+0.00025534i,-0.00039859+0.00034698i,7.5703e-05+0.00038396i,-7.1391e-05+0.0002912i,0.00015783-4.9743e-05i,0.0008085-0.00037308i,-0.00012633-0.00097751i,-0.0008582-0.00086691i,-0.0004857-0.0001548i,-0.00017602+0.00035682i,-0.00059966+0.0007903i,-0.0012244+0.00079163i,-0.00061715+0.0008098i,0.00038786+0.0012116i,0.00017694+0.00090954i,-0.00029945+0.00081048i,-6.0986e-05+0.00046618i,7.3797e-05-1.5964e-07i
0.0004512+0.0018107i,0.00090696+0.0020062i,0.0018501+0.0021772i,0.0028742+0.0012957i,0.0036279+6.0695e-05i,0.0036265-0.00054257i,0.0016922-0.00043651i,-0.00030964-0.00021648i,-0.00075703-7.8486e-05i,-8.3964e-05-5.239e-06i,0.00035213+0.00031472i,-3.7608e-05+0.0007844i,-0.00054254+0.001483i,-0.0009357+0.0012133i,-0.00063771-0.00018427i,-0.00016459-0.00045363i,0.00017701-0.0010807i,0.00033251-0.0016031i,0.00024381-0.00074076i,0.0008289-0.00067701i,0.0013995-0.0010498i,0.00095906+1.0081e-05i,0.00015085+0.00077808i
-0.0015877-0.002114i,-4.1258e-05-0.0015533i,-0.00032161-0.0016142i,-0.001398-0.0014194i,-0.00098485-0.0013141i,-1.4234e-05-0.00065671i,0.00036049-0.00013242i,-0.00049417-0.00042635i,-0.0020952-0.00011977i,-0.0022325+0.00059772i,-0.0010125+0.0009253i,0.00019417+0.0009699i,0.00021642+0.0010633i,-0.00022509+0.0011662i,-8.6425e-05+0.00099166i,0.00074289+0.00045262i,0.00085741+0.00022681i,0.00022933+0.00052352i,3.7374e-05+0.00066405i,0.00050613-0.00044895i,0.00035171-0.00041782i,-0.00049019+0.00053619i,-0.0001859-7.2871e-05i
0.0033861-0.0012164i,0.0021756-0.0012103i,0.0022384-0.0019771i,0.0023125-0.0016238i,0.0014411-0.00065862i,-4.3242e-05-0.00026389i,-0.00045597-0.00024841i,-0.00020126+0.00014934i,-0.00050069+0.0017432i,-0.00040165+0.0022042i,0.00039344+0.0014391i,0.00067549+0.00043763i,0.00043073-0.00017259i,0.00086318+7.165e-05i,0.0017374+0.00033499i,0.0018038-5.5857e-05i,0.00078015-0.0011866i,-4.3169e-05-0.0012973i,-0.00033957-0.00078708i,-0.00022774-0.0011155i,0.00020675-0.0012213i,0.00056877-0.00079842i,-0.00031868+0.00011307i
-3.5359e-05-0.0017124i,-0.00052606-0.0015754i,-0.00095074-0.00040678i,-0.00026671+0.00079329i,0.00076153+0.00082479i,0.0012525+0.0010494i,0.0009321+0.00027886i,0.00033204-0.00038601i,0.00031292+0.00096487i,0.00059283+0.0016183i,0.00051656+0.0011497i,-0.00031093+0.00054663i,-0.00037596+0.00014021i,0.00036892+0.00022016i,0.00051836+0.00043372i,-0.0001776+0.00033886i,-0.00078854+5.4961e-05i,-0.00021892+0.00012467i,0.00071232+0.00054809i,0.00066264+0.00069508i,-8.8791e-05+0.00016384i,-0.00012632-8.7058e-05i,0.0001992+1.327e-05i
0.0026273-0.0021747i,0.0022459-0.001241i,0.003707-0.0021976i,0.0035478-0.0015486i,0.0020866-0.00067815i,0.0014068-0.0010489i,0.00031244-0.0016515i,4.4213e-05-0.0021373i,0.00092283-0.001126i,0.0010241-0.00029746i,0.0012299-0.00058853i,-0.00021275-0.0010975i,-0.0017782-0.0018352i,-0.0011027-0.0019725i,-0.00026633-0.0011841i,4.259e-06-0.00077926i,0.0001853-0.0013912i,0.00082436-0.0014485i,0.00043422-0.0010377i,-0.00019203-0.00075947i,0.00027052-0.00032411i,0.00062612+0.00033338i,-0.0001204+0.00062277i
-0.0010581-0.0031019i,-0.0010193-0.0032112i,-0.0010971-0.0030628i,-0.0011375-0.0018983i,-0.00043134-0.0014923i,-0.00017398-0.0020023i,-6.0713e-05-0.0017441i,0.00029887-0.00027843i,7.8886e-05-0.00014147i,0.00022338-0.00080489i,-0.00029264-0.00056426i,-0.00049212-0.00042379i,-0.00024663+0.00032182i,-0.0005201+0.0002624i,-0.00076089-0.0002156i,-0.00088005+0.00017634i,-0.0002897+6.7883e-05i,-0.00011411-0.00014367i,-0.0007357-0.00021235i,-0.00072551-0.00057343i,-0.00061118-0.00056658i,-0.00057175-0.00030516i,-0.00021618+0.00022157i
-0.00038737-0.00025879i,0.00034406+0.00024658i,0.0008766+0.00074561i,0.00066578+0.00071603i,0.00031347-3.4688e-05i,0.00044569-0.00026373i,-0.000296-0.00016734i,-0.0014297-0.00077222i,-0.0015635-0.0011512i,-0.0011368-0.00018234i,-0.00035018+0.001105i,-0.00021152+0.00084522i,-0.00048317+0.00088607i,-1.427e-05+0.000886i,0.00034475+0.0001144i,-0.00019161-0.00032552i,-0.00077645+3.1637e-06i,-0.0011566+0.00055657i,-0.0005539-0.00013937i,-0.00011556-0.00069176i,-0.0010137-0.00047168i,-0.0012051-0.00025259i,-0.00031391+8.6443e-05i
0.00034802-0.00068989i,-9.2038e-05-0.0013579i,-0.00052742-0.00042754i,-0.00071117-0.00013779i,-0.00041921+0.00021502i,0.00032683+0.00037845i,0.00077463+0.0004427i,0.00011664+0.0012033i,-0.0012435+0.0016199i,-0.0018778+0.0014806i,-0.00090702+0.00056763i,0.00013881-0.00041906i,0.00024277-0.00028308i,0.00060735+0.0003851i,0.00014257+0.00045393i,-0.00084781+0.0003724i,-0.00093734+0.00049769i,-0.00036274+0.00083899i,0.00062358+0.0011526i,0.0009141+0.00055421i,0.00036577+0.00036932i,-7.0633e-06+0.00024314i,-0.00020138-1.8717e-05i
0.0016086+0.0015199i,0.0017779+0.00033461i,0.0024064+0.00088262i,0.0021463+0.00046382i,0.00065987-0.00028561i,-0.00055258+0.00012519i,-0.00021954+0.00029011i,0.00050622+0.00018725i,0.00026568+0.0012411i,0.00013337+0.001864i,0.00032209+0.00077513i,0.00047046+6.2705e-05i,0.00031409-0.00029167i,-4.2794e-05-0.00062637i,0.0005819-0.00054071i,0.00022658+0.00011405i,-0.00010866-0.00010927i,0.00025596-0.00061996i,-0.00038874-0.00051519i,-0.0011348-1.4183e-06i,-0.001326+0.00048513i,-0.00072572+0.00082225i,-0.00020976+0.00063364i
-0.0011296-0.00090376i,-0.00059751-0.00014563i,1.3041e-05+0.00051488i,-7.0755e-05+0.00029804i,0.00054316-0.00028395i,0.00099493-0.00050047i,0.00038189-0.0005533i,0.00042832+0.00033474i,0.00061684+0.0015377i,0.00092795+0.0018325i,0.001157+0.0010228i,0.00045308-0.00013676i,0.00014954-0.00062502i,0.00024492-0.00019823i,6.0948e-06+0.00056779i,-6.5035e-05+5.642e-05i,-9.876e-05-0.0002444i,9.0412e-05+0.00015172i,0.00084204+0.00031553i,0.0010105+0.00012838i,0.00042089-0.00041928i,-0.00010559-7.0162e-05i,-0.0002132-0.00069678i
0.00023603+6.3419e-05i,0.00087294-0.00025129i,0.0014804-0.00010241i,0.0012423+0.001145i,0.0014482+0.00083025i,0.0014692-0.00018684i,0.0002412-0.00038204i,0.00012914-0.00027152i,0.00062502+0.00023866i,0.0014142+9.7561e-05i,0.0016735+9.9063e-05i,0.00088405+0.00038576i,0.00038642+0.00049004i,-0.00021257+0.00070414i,-0.00021916-0.00023534i,5.1852e-05-0.0013091i,-0.00028545-0.00095688i,-0.00063037-0.00050524i,5.6925e-05-0.00041074i,0.00062285-0.00064382i,0.00070078-0.00062946i,0.00031731-0.00063249i,0.00016323-0.00011752i
0.00081165+0.0019618i,0.00058004+0.0022004i,0.0020436+0.0017618i,0.0019944+0.00059317i,0.0016447-0.00062824i,0.00053357-0.00090379i,-0.00084207-0.00068924i,-0.0006788-0.00081492i,0.00016186-0.001083i,0.00010602-0.00049592i,-0.00026573-0.00015686i,-0.00029205-0.00018216i,-0.00036326-0.00051283i,-0.00062471-0.0010115i,-0.00049155-0.0014603i,-0.00041294-0.0016647i,-0.00012159-0.00070304i,0.00038971-0.00024243i,-0.00024056-0.00048228i,-0.0006829-0.00029863i,-0.00043315-0.00016284i,-1.7866e-05-0.00076325i,4.7917e-05-0.00074393i
0.0025029+0.00029588i,0.0014721+0.0005619i,0.0017734+0.0006143i,0.0018947-0.00040506i,0.0014687-0.00053254i,-8.6292e-05-0.00011208i,-0.0013297-0.00023794i,-0.00095808+0.0001222i,-0.00035918+0.0001602i,-0.00050879-0.0008231i,-0.00067555-0.0011292i,-0.00018591-0.000806i,0.00013978-0.00094918i,-0.00040145-0.0012698i,-6.7984e-05-0.0008234i,-2.8779e-05+4.7609e-05i,-0.00015193-0.0002564i,0.00033976-0.0008409i,0.00033634-0.00054639i,0.00069998-4.5348e-05i,0.0011387-0.00022887i,0.0011455-0.00015501i,0.001036+0.00058946i
2.3162e-05-0.00048087i,1.3268e-05-0.00047559i,0.00031651+0.00024689i,-0.00033106+0.0010402i,-0.00071601+0.00062017i,-4.3966e-05+0.00064754i,-0.00040146+0.00059371i,-0.0014904+7.8383e-06i,-0.001693-0.00012104i,-0.0015521-0.00028343i,-0.0014587-0.00018754i,-0.00085492-0.00057006i,-0.00075409-0.00051518i,-0.00096039+0.00011549i,-0.00029631+0.00046229i,0.00030415+0.00025306i,0.00029101-0.00024574i,0.00079945-0.00012091i,0.0012455-1.7017e-05i,0.00055649-0.0001782i,-7.9817e-06-0.00043001i,0.00017361-0.00025243i,0.00086876-0.00018423i
0.0026569+0.00038635i,0.0031094+0.0019334i,0.0043791+0.0013094i,0.0046263-0.0004113i,0.0030451-0.00088633i,0.0008452-0.0015445i,-0.00058615-0.0014368i,-0.00064484+6.3103e-06i,-0.00042215+0.0017384i,-0.00028678+0.0029079i,0.00024291+0.0022386i,0.00074112+0.00069876i,0.00011582+0.00029653i,-0.00023828+0.00042871i,-0.00053962+0.0003111i,-0.00042326-0.00010888i,-1.3873e-05-0.00026627i,7.3191e-05-4.2136e-05i,0.00046132+0.0005127i,0.00027787+0.00024672i,7.4115e-05-0.00043072i,0.00034671-0.00024495i,0.00019281-0.00024432i
-0.0004292+0.00058945i,-0.0007035+0.00072737i,-0.00068472+0.00082735i,-0.00061465+0.0007322i,-0.00025653-0.00018567i,0.00079733-0.00075285i,0.00039318-0.00024329i,-0.00064498+0.00032539i,-0.0002446+0.00077935i,0.00067254+0.0020199i,0.0016212+0.0023586i,0.0014324+0.0010834i,0.00066415-9.9719e-05i,0.00048391-0.00074172i,0.00038857-0.00071038i,0.00069761-0.00061647i,0.00021308-0.00098618i,-0.00033592-0.0010755i,0.00035285-0.00081303i,0.00054452-0.00081356i,5.0078e-05-0.00044339i,-0.00024265-3.1823e-05i,-0.00056927+0.00050652i
0.00061803-0.0019186i,0.0010709-0.0021236i,0.00078731-0.0017456i,-2.422e-05-0.00067071i,-0.00093312+0.00011875i,-0.0010403-0.00036325i,-1.5578e-05-0.001255i,0.00035324-0.0001532i,-9.3749e-05+0.00018513i,0.00013703-0.00076294i,0.00054973-0.00055813i,0.00073055-3.8323e-05i,0.00053763-0.00022835i,-0.00011031-0.00082782i,0.00050264-0.0010195i,0.0004945-0.00055415i,0.00014289-0.00012257i,4.1716e-05+0.00076444i,-0.00033461+0.0013005i,-0.00035732+0.00082224i,-0.00031696+0.00054579i,-0.00053494+0.00038842i,-0.00094815-8.6567e-05i
0.0015747-0.00096655i,0.0015234-0.00019031i,0.0014744-0.00071546i,0.0011738-0.0018873i,0.0013353-0.0012447i,0.00075349+0.0002269i,0.0002701+0.000803i,-5.1377e-05+2.3385e-05i,0.00023575-0.0018732i,7.979e-05-0.0031161i,9.701e-05-0.0028163i,0.00075053-0.0016374i,0.00084338-0.00092265i,-5.4278e-05-0.00082745i,-0.00044135-0.00063707i,-6.8853e-05-0.00041732i,-0.00043646-0.00019335i,-0.00044204-0.00028332i,-0.00010143-0.00020266i,0.00025995+5.4881e-05i,0.00047912-7.0281e-05i,2.2046e-06-0.00079334i,7.7608e-05-0.00070339i
0.00033931+0.0019193i,-0.00010729+0.0018358i,0.00094682+0.0021987i,0.00074131+0.0020482i,0.00015078+0.00075809i,0.00028167-0.00096995i,-0.00055024-0.00064209i,-0.001205+0.00025554i,-0.00055737-6.0147e-05i,-0.00049032-0.00021083i,-0.00073766-0.00037347i,-0.00062469-0.00052229i,-0.00033628-0.00015458i,-0.0001114+0.00026292i,-8.9506e-05+0.00028664i,-0.00034316+9.2495e-05i,0.00029491-0.00020832i,0.00060558-0.00014534i,0.00068092+8.285e-06i,0.00078857-0.00084438i,4.6449e-05-0.0010155i,-5.9091e-06+4.6266e-06i,0.00045791+0.00037784i
0.00044828-0.0030103i,0.00060978-0.0029045i,0.00018451-0.0028076i,0.00073168-0.0014972i,0.0016213-0.00046283i,0.0011095+9.7407e-06i,0.00038545+0.00010147i,-0.00034338-0.00030238i,-0.0014557+0.00016148i,-0.0030803+0.0014288i,-0.0027097+0.0015673i,-0.0010098+0.00015512i,-0.0010141-0.0005674i,-0.0011708-0.00053074i,-0.00085087+0.00011165i,-0.00072875+0.0012876i,-0.00021984+0.00086794i,0.00018841+0.00027022i,-0.00019244+0.00031417i,-0.0003557-0.00039813i,-5.6201e-05-0.00066498i,-0.00030467-0.00061252i,-0.00025431-0.00056392i
-0.0010303+0.0036757i,7.5944e-05+0.0043721i,2.2687e-05+0.0033473i,0.00046922+0.0016589i,0.001402+0.00060458i,0.00099027-0.00059329i,-0.00028394-0.00084108i,-0.0010604-8.9774e-05i,-0.0011068+0.0015644i,-0.0010865+0.0031002i,-0.00059264+0.0027933i,-0.00041115+0.0010684i,-0.00025596+0.00027137i,-0.00041044+0.0014871i,-0.00036228+0.0016863i,0.00021842+0.00045484i,0.00051256-0.00030554i,0.00025925-0.00049975i,-0.00013189-0.00051248i,-0.00019072-2.6405e-05i,0.00049545+0.00041463i,0.0010646+0.00098385i,0.00023685+0.0012561i
-0.00094618-0.00043972i,-0.0017197+0.00083647i,-0.0012738+0.0014782i,-0.00050168+0.0010519i,-0.00037187-0.00016486i,-0.00036711-0.00099015i,-0.00084285-0.00059845i,-0.00041701+0.00010632i,0.00056175+0.00078556i,0.0017719+0.0020958i,0.0019252+0.0022844i,0.00051429+0.00099007i,0.00015197+0.0010126i,0.0010647+0.0015504i,0.001448+0.00083633i,0.00092325-0.00024051i,0.0005056-0.00065386i,0.00072925-0.00079973i,0.00034107-0.00051042i,-0.00021438-0.00030634i,-0.00039141-0.00073011i,-0.00069304-0.001216i,0.00021099-0.00082626i
0.0001627+0.0023i,0.00063841+0.0012182i,0.0007509+0.0015421i,0.0012047+0.0018655i,0.0017099+0.0011005i,0.0018207-0.00057949i,0.0010443-0.00092341i,0.00079974-0.00044004i,0.0011121+5.3316e-05i,0.0019667+0.0003125i,0.0022936-6.3799e-05i,0.0014854-0.0003834i,0.0013721-0.00034733i,0.0015229+0.00015518i,0.00075878+0.00022953i,-0.00040884-1.5199e-05i,-0.00066592-0.00037557i,-0.00027713-0.00054385i,3.0796e-05-0.00072889i,0.00054636+0.00011446i,0.00056086+0.00092791i,0.00037989+0.0001075i,-5.0888e-05-0.00036646i
-0.001407+0.00082957i,-0.00093844+0.00099838i,-0.00063685+0.0014458i,2.0389e-05+0.00032921i,0.0013752-6.698e-05i,0.0013152+0.00048514i,0.00070526+0.00035136i,0.0002843-4.2112e-05i,-0.00045392-0.00029926i,-0.00021924-0.00036941i,0.0010038-1.6364e-05i,0.0016298-0.00041255i,0.0014419-0.0014322i,0.00079024-0.0014437i,-0.00018647-0.00078969i,-0.00018079-0.00039579i,-0.00034708-0.00011919i,-0.00091444+0.00082748i,-0.00030816+0.0015226i,0.00052003+0.00099138i,0.00035223+0.0007107i,0.00017269+0.00065083i,0.00044712+0.00028422i
-0.0015136-0.00050791i,-0.0010619+6.1747e-05i,-0.0012163-0.00027364i,-0.0010076+0.00013669i,-0.00054744+0.00057849i,-0.00041796+0.00039751i,-0.00040408+0.0009746i,-0.00099692+0.0012887i,-0.0011752+0.00041413i,-0.0012874-0.00065125i,-0.0013252-0.00072488i,-0.0011175-0.00095127i,-0.0013741-0.0016848i,-0.00090574-0.0016012i,2.3787e-05-0.00062021i,-0.00023911+0.00033123i,-0.00046954+0.00028976i,0.00039371-0.00031227i,0.0010265-0.00066193i,0.00051212-0.00080802i,-0.00012152-0.00045112i,0.00014905+0.00035178i,0.00037521+0.0003672i
-0.00086461+0.0018127i,-0.00022256+0.00086843i,0.00097023+0.0013912i,0.0014919+0.0014932i,0.0013732+0.00073299i,0.00071231-0.00060244i,0.00016159-0.00066594i,0.00016456+0.00055101i,-0.00040823+0.00057322i,-0.0014586+0.00092501i,-0.0018461+0.0016779i,-0.0014404+0.0010955i,-0.001221-3.087e-05i,-0.0011492-0.00026579i,-0.00085438-0.00033237i,-0.00071232-0.00048733i,-0.0001231-0.00044851i,0.00025936-0.00043319i,0.00044329-0.0004907i,0.00048389-0.00026992i,4.8818e-05-3.5901e-05i,1.4105e-05-0.00028352i,0.00038243+0.00011464i
0.0016505-0.0029336i,0.001386-0.0013676i,0.0020041-0.0012632i,0.0013081-1.6354e-05i,0.00070521+0.0011154i,0.00055356+0.00071152i,-9.8255e-05-2.346e-05i,-0.00076061+0.0005179i,-0.00023697+0.0010404i,-9.5703e-05+0.0015498i,-0.00046024+0.002519i,-0.00029884+0.0022709i,-0.00041161+0.0013237i,-0.0010729+0.00091035i,-0.00077359+0.00084432i,-0.00045486+0.00070851i,-0.0013481-0.00033844i,-0.0016276-0.00086891i,-0.00098958-0.00011553i,-0.000227+0.00079297i,0.00059819+0.00089519i,0.00038614+0.00095175i,-0.00013542+0.00094762i
-0.00092769+0.00040085i,-0.001034+0.00040691i,-0.0006592-0.00037258i,0.00025103-6.599e-05i,0.00082877-0.00058061i,0.00088553-0.0011153i,-0.00023555-0.00091021i,-0.00096639-7.6565e-05i,-3.2197e-05+0.00099417i,0.0015944+0.001945i,0.0019681+0.0022261i,0.0011771+0.0017923i,0.00050798+0.0010251i,0.0001946+0.00031009i,0.00047854+0.000109i,0.00084417+7.0164e-05i,0.00084236-0.00038451i,0.00051286-0.0006637i,0.00032124-0.00040907i,0.00019196-0.00011851i,6.3987e-05+0.00030858i,0.00031112+0.00089309i,-2.2416e-05+0.00086637i
-0.00061046-0.001881i,-0.00018297-0.0023963i,-0.00070112-0.0011411i,-0.0001803+9.658e-05i,0.00065345+9.343e-05i,0.00063111-0.00071588i,0.00017035-0.0011806i,0.0006544-0.00053848i,0.0011882-0.00024459i,0.0019841-0.00032067i,0.0023565-0.0008823i,0.0020887-0.0012222i,0.0018321-0.00077011i,0.0011051-0.00012088i,0.00063506-0.00032135i,0.0004751-0.00027485i,0.00021799+0.00013374i,-0.00026542+0.00024048i,-8.359e-05+0.00019496i,0.00025694-0.00010219i,0.00054804-0.00059986i,0.00063982-0.00074012i,-0.0001224+0.00020795i
-1.8703e-05+0.00082637i,-9.117e-05+0.0019082i,9.1357e-05+0.00037738i,-4.2947e-05-0.00077077i,0.0002755-0.00017559i,0.0011808+0.00048457i,0.00044648+0.0011959i,-0.00022742+0.0014753i,0.00039646+0.00042442i,0.00047268-0.00074919i,0.00041639-0.0010574i,0.00051461-0.00099307i,7.4464e-05+8.0512e-06i,-0.00041639+0.000527i,-0.00037863+0.00055536i,-0.00039024+0.00066154i,-0.00039564+0.00022351i,-0.00011066+0.00050636i,9.2057e-06+0.00095122i,6.8038e-05+0.00017961i,8.5956e-06-0.00080839i,0.00019605-0.00038218i,0.00090661+0.001149i
-0.0011731+0.0014846i,-0.0012507+0.0021461i,-5.4679e-05+0.0023126i,0.00036828+0.0022504i,0.00043363+0.0013504i,0.0012286-4.5393e-05i,0.00054883-0.00054621i,7.3904e-05-0.00047611i,-0.00018717+2.1849e-05i,-0.0014841+0.00037829i,-0.002266-0.00013843i,-0.0016827-0.00048032i,-0.001204-0.00048444i,-0.0012856-0.00075665i,-0.00084217-0.00051667i,-0.00041876-3.4896e-05i,-0.00031048-0.00032825i,-0.0005864-0.0011619i,-0.00050256-0.0010682i,0.00050884-0.0002919i,0.00062948-0.00038345i,0.00030588-0.00061103i,0.00025594-0.00021011i
-0.00049117-0.00091683i,0.00056006-0.0012887i,0.0010824-0.00037018i,0.0015662+0.00057865i,0.0015477+0.00095531i,0.000243-0.00037281i,-0.00034855-0.00084268i,-0.00032819+0.00044404i,-0.00076638+0.0016098i,-0.0013055+0.0023114i,-0.0011372+0.0026004i,-0.0013706+0.0024675i,-0.0017997+0.0016266i,-0.0015551+0.00072593i,-0.00012304-0.0004979i,0.00081561-0.00080215i,0.00047182-0.00047105i,0.00047657-0.00084892i,0.00074979-0.00068723i,0.00080475-0.00023588i,0.00023179+0.0003916i,-0.0001974+0.00041516i,0.00037999-0.00033333i
-0.0012333-0.00022148i,-0.0007638+7.0224e-06i,-0.00052982+0.00023266i,-0.00049613-0.0003013i,-6.7693e-05-0.0010762i,-0.00017502-0.00036009i,-0.00081786+8.3769e-05i,-0.0003465+0.00029913i,0.0004341+0.0016731i,0.0010176+0.0027057i,0.00093716+0.0024795i,0.00042794+0.0026354i,-0.00013886+0.0022747i,-5.2825e-05+0.0012525i,0.00067439+0.00099555i,0.0011062+0.00080151i,0.00064896+0.00036211i,0.0003038-0.00016922i,0.0002272-0.00053869i,-0.0007677-0.0001667i,-0.0013447-0.0001531i,-0.00089877-0.00047782i,-0.00022751-0.00028541i
0.00052387+0.00022253i,1.9401e-05+0.00070349i,0.0006376+0.0016346i,0.00086398+0.0016523i,-6.4752e-05+0.00037503i,4.3101e-05-0.0007384i,-0.00024581-0.00042764i,-0.00031623+0.00010589i,0.00067366+0.00050492i,0.0018352+0.000654i,0.0021282-9.9717e-05i,0.0013661-0.0010619i,0.00012649-0.00050106i,-0.00072112+0.00078764i,-0.00067839+0.0013032i,-0.0002849+0.00028898i,-0.00042079-0.00058911i,-0.00029484-0.00051793i,5.8325e-05-0.00042318i,4.6052e-05-0.00059884i,0.00038606-0.00059793i,-4.6058e-05-0.0007118i,-0.0009456-0.00063169i
0.0022422+0.00056109i,0.0020386+0.0014068i,0.0022685+3.6367e-05i,0.0016035-0.00045881i,0.00043105-0.00044448i,0.00035044-0.00023428i,9.7292e-05-4.2011e-05i,-7.5721e-05-0.00050255i,0.0011948-0.00044526i,0.0018596-0.00070477i,0.0015637-0.0014627i,0.00013553-0.0019683i,-0.00083687-0.0017383i,-4.2002e-05-0.0011963i,0.00022343-0.00049754i,0.00030333+4.7976e-05i,0.0001987-0.00036343i,5.708e-05-0.0012136i,0.00055018-0.00015107i,0.0010715+0.00034854i,0.001243-0.00035275i,0.00092651-0.00082354i,-0.00014246-0.00069055i
-0.00028856+0.00015838i,9.3721e-05+0.0016008i,0.0001387+0.0017913i,0.00064011+0.0019183i,0.0014924+0.0018703i,0.001824+0.0011067i,0.00042584-0.0004597i,-0.00082428-0.00061979i,-0.0011246+6.0617e-05i,-0.0012429-0.00039732i,-0.0012303-0.00095993i,-0.0011607-0.0012937i,-0.00075672-0.00073325i,-0.00043633-0.00062624i,-1.828e-05-0.00095145i,0.00031282-0.00021925i,0.00054658-9.5129e-05i,0.00074503-0.00043163i,0.00071604-0.00025289i,0.00010065-0.00038894i,-0.00066878-0.00097972i,-2.8138e-05-0.00064151i,0.00020761+0.00060433i
-0.0013713-0.0011403i,-0.0016009-0.0012856i,-0.0019859-0.00049674i,-0.0010836+0.00037591i,0.0002887+0.00026665i,0.00012418-0.00099137i,-0.0003831-0.0011851i,-0.0009736-0.00022141i,-0.0016007+0.00020359i,-0.0021537+0.0006566i,-0.0024131+0.0012722i,-0.0023686+0.0013546i,-0.0014867+0.001042i,-0.00054064+0.00067638i,-0.0004203+0.00011105i,-0.00053087+0.00015233i,-0.00062881-6.5686e-05i,-7.3277e-05-0.00078205i,0.00048579-0.00036249i,0.0008885-0.00031518i,0.00022382-0.00053509i,-0.00081101-0.00048447i,-0.00047308-0.00021427i
-0.002044-0.0012074i,-0.00063281-0.00016732i,-3.6096e-05+0.0003423i,4.9159e-05-7.8012e-05i,0.00028828-0.00032668i,0.0005308-0.0004525i,9.7047e-05-0.00056883i,-0.00041521+4.138e-05i,-0.0012591+0.0013408i,-0.0013311+0.0018462i,-0.00034613+0.0016737i,-0.00031635+0.0020594i,-0.00018149+0.0019078i,-0.00014999+0.0012961i,-0.00044034+0.0012097i,-0.00045487+0.00054658i,-0.0007125-0.00025241i,-0.00060169-0.00021789i,-0.00024852-0.00014936i,-2.223e-05-0.00055289i,0.00034724-0.00073944i,0.00071202-0.0001088i,0.00052168+0.00051289i
-0.0019856+0.0018908i,-0.001454+0.0019436i,0.00023635+0.0014758i,0.0015037+0.0015895i,0.0022926+0.0010636i,0.0023639+0.0001108i,0.0012289-0.00025616i,0.00065057-0.00028651i,0.00028341+0.00077565i,0.00011902+0.0021i,0.00083631+0.0021919i,0.002016+0.0015148i,0.0020586+0.00062402i,0.0010797+0.00027971i,8.7957e-05-2.1989e-05i,-0.00040491-0.0011429i,-0.00029431-0.0014925i,-0.00028984-0.0007978i,-0.00035904+1.4115e-05i,0.00010562-0.00012897i,0.00055479+0.00025279i,0.00035269+0.00024226i,0.00035579-0.00029628i
-0.0027743-0.0019403i,-0.0027336-0.0024558i,-0.0039001-0.0023133i,-0.002484-0.00096767i,-0.00088837+0.00042937i,-8.111e-05+0.00046155i,-0.00053006+0.00020039i,-0.0011034-2.1287e-05i,-0.00080818+0.00011506i,-0.00010629+0.0011705i,0.0013831+0.00050325i,0.0016686-0.0013184i,0.0010063-0.0020795i,0.0011529-0.001506i,0.0011461-0.00074364i,0.00058984-0.00034502i,3.1757e-05+0.00022063i,0.0003145+0.00033264i,0.00059443+0.00014811i,-9.2856e-05+0.00052587i,-0.00027744+0.00067994i,-0.00035674+0.0011945i,-1.2377e-05+0.0011625i
