-0.0018255+0.00028196i,0.00034008-0.00023854i,0.00042375+0.00035158i,-0.00053715+0.00095349i,-0.00085792+0.0018792i,-0.00029692+0.0021022i,-0.00028941+0.001121i,0.00045654+0.00087352i,0.0010366+0.0013329i,0.0013047+0.0010983i,0.0018231+0.00090807i,0.0010121+0.00044965i,0.00011981-0.00048901i,0.00018916-0.0008002i,-0.00021398-0.00036114i,-0.00080062+0.00010163i,-0.00060183+0.0004765i,-0.00045534+0.00074669i,0.00013637+0.00036459i,-0.00014083+0.00030107i,0.00029451+0.00016473i,0.00082292-0.00066623i,6.1434e-05-0.00052337i
0.0010442-0.00074055i,0.0001691-0.00044581i,-0.00033409-0.00078372i,-0.00073438-0.0012451i,-0.0016251-0.0002165i,-0.0021279+0.00089665i,-0.00097431+0.00087288i,-7.2401e-05+0.00050916i,0.00056409+0.00020623i,0.00032853+2.4862e-05i,-0.00055396-9.7239e-05i,0.00020907-0.0011917i,0.00026951-0.00081979i,-0.00035438+0.00050174i,-0.00021636+2.8898e-05i,-0.00011406-0.00015978i,7.4495e-05+2.1506e-05i,1.6517e-05-8.7318e-05i,-0.00014885+0.00015594i,-0.00034335-0.00023894i,-0.0004316-0.00071863i,-0.00011343-0.00074641i,0.00011457+5.5658e-06i
-0.00066453-0.00036142i,0.0003699+0.00057908i,0.00085188+0.0012523i,0.0010255+0.001431i,0.0011333+0.0020109i,0.0011716+0.0014265i,0.0011229-0.00035874i,0.00097809-0.00091786i,8.0242e-06-0.00049921i,-0.00013995-1.3417e-05i,0.00070647+0.00026321i,0.00099162+0.00054585i,0.00068967-0.00030884i,0.0009769-0.0017981i,0.0010876-0.0022152i,0.00037846-0.0014581i,0.00029162-0.0004398i,0.00054648+2.9692e-05i,0.00027669-0.00026445i,-8.0471e-05-0.00045831i,-0.00037474-0.00019624i,-0.00040218+0.00014081i,0.00010537-0.0001462i
-0.00048194+0.00069143i,0.00057903-0.00015234i,0.001038+7.3315e-06i,0.00053438+0.00015786i,7.0345e-05+0.00043306i,-5.064e-05+0.00050341i,-0.00039559+0.0001935i,-0.00055978+0.00011603i,-4.8708e-05+0.0008995i,0.00021141+0.0017045i,0.00026495+0.0012403i,0.00013547-9.0715e-05i,-0.00032035-0.0010018i,-0.00076976-0.0016169i,-0.00066936-0.0015955i,-0.00066843-0.0011664i,-0.00013033-0.0004859i,0.00074089-0.00058662i,0.00052452-0.00069344i,-0.00028287-0.00065875i,-0.00082507-0.00042804i,-0.00043417+0.00026171i,0.00057009+0.00021125i
-0.00051049-5.8635e-07i,-0.00078415+0.00027151i,-0.00013658+0.00056135i,-0.0010754+0.00051061i,-0.001695+0.00031561i,-0.0012818+0.00012629i,-0.00060987-7.2337e-05i,0.00022876+1.2351e-05i,0.00078331+0.00023245i,0.0001806+0.00074548i,-0.00072958+0.00084813i,-0.00049496-5.1501e-05i,0.00011345-0.00070644i,0.0002309+2.7495e-05i,0.0001719+0.00045359i,0.0003938+0.00077028i,0.00024139+0.0011443i,0.00053955+0.00076429i,0.00038778+0.00070894i,-0.00040809+0.00096674i,-0.00032547+0.00027721i,0.00012611-9.2913e-05i,-0.00042878+0.00021911i
-0.00074137+0.00055038i,0.00055672-0.00024281i,0.0017314-5.6214e-05i,0.00049059+0.00019089i,-0.00091651+0.00010997i,-0.0011302+0.00015331i,-0.00080866+0.00019635i,4.2874e-05-0.00024434i,-6.0976e-05+0.00023998i,-0.0002853+0.00015494i,-0.00026259-0.00045226i,-0.00016849-0.00051637i,0.00024698-0.00087533i,0.00013446-0.00073392i,0.00036287+0.00013165i,0.00034156+0.00015676i,-0.00045834-0.0001227i,-0.00042607-0.00013516i,1.3066e-06-0.00081467i,-0.0004239-0.0015679i,-0.00015235-0.0017932i,0.00012991-0.0009806i,0.00012855-0.00043236i
0.0011586+0.0012204i,0.0014369+0.00024372i,0.00075557-0.00050255i,0.00045821-0.00035718i,0.00036443+0.00030823i,0.0012158+0.00051361i,0.0014504-0.00048254i,0.00074804-0.00060421i,0.0005544+0.00041553i,0.0011575+0.0007085i,0.0019379+0.00048402i,0.0017087+0.00042139i,0.00095178+0.00047379i,0.0009061+0.0006047i,0.00046708+9.1223e-05i,-0.00024223+6.3947e-06i,-0.00065911+0.00024932i,-0.00045382-0.0003687i,-0.00020627-0.00039252i,-0.00090705-0.00063597i,-0.0013265-0.00052248i,-0.00064479-0.00017349i,-0.0006007-0.00025489i
0.00059887-0.00014914i,0.0011375-0.00053958i,0.00086725-0.00030767i,0.00061841+0.00062123i,1.2611e-06+0.0019685i,-2.8283e-05+0.001479i,-0.00036889+0.00060962i,-0.0010906+0.0010284i,-0.00037455+0.0012591i,0.00030347+0.0014439i,0.00051563+0.00096396i,2.1801e-05+6.0086e-06i,-0.00020195-8.3723e-05i,0.00036876+0.00055675i,-6.0169e-05+0.00086988i,-0.00050021+0.00037596i,-0.00025413+4.0809e-05i,5.2847e-05-8.287e-05i,0.00044376+0.00035249i,0.0008394+0.00058516i,0.00073776+0.00022465i,-0.00019659+0.00041988i,-0.00082127+0.00045099i
0.0015637+0.0013735i,0.00085919+0.0017415i,0.00052905+0.00073237i,-0.00030168+3.4467e-06i,-0.0011636-0.0001719i,-0.00078957-0.00048446i,-0.00061909-0.00013794i,-0.0011002+0.00058998i,-0.0013922+0.001122i,-0.00057205+0.0017317i,0.00053554+0.0013564i,6.3808e-05+0.00092302i,-0.00038784+0.0011176i,-0.00055217+0.00074096i,-0.00056947+1.2572e-05i,0.00055466-0.00083774i,0.00069072-0.001225i,0.00010991-0.00065708i,0.00022662-0.00046428i,0.0001156+9.924e-05i,-0.00048721+0.00073301i,-0.00052044+0.00075114i,-0.00024405+0.00074251i
0.0018848+0.00067695i,0.0014872-0.00041311i,0.0017646-0.0012554i,0.0015236-0.0017184i,-0.0003068-0.0011782i,-0.0019168-0.0008996i,-0.0012324-0.00063338i,-1.9895e-06+7.0428e-05i,0.0011312+0.00054272i,0.0010507+0.00034127i,-2.3136e-05+0.00036506i,-0.00058965+0.0010217i,-0.00019909+0.00080507i,0.00015363+0.00032468i,0.00074966+0.00059664i,1.6382e-05+0.000762i,-0.00059689+0.0005236i,0.00012272+0.00059431i,7.5345e-05-5.083e-05i,-0.00020563-0.00086154i,-0.00078476-0.00075583i,-0.00066477+8.2902e-05i,-0.00030318+0.00059434i
0.00032217-0.00070816i,0.00066899+0.00026016i,-0.00020355+0.00088396i,-0.00037043+0.00030463i,-0.00024581+0.00017478i,0.00032993+0.00076203i,0.00019849+0.00071171i,0.00011557+0.0005889i,0.00074345+0.00076056i,0.0012721+0.0012955i,0.0015076+0.00085071i,0.0011003+0.00027176i,-4.7145e-05+0.00048306i,-0.00075131-2.3375e-05i,-0.00027603-0.00012216i,-0.00019893-7.2861e-05i,-0.0003931-0.00080577i,-0.00030891-0.00028595i,-0.00011723-0.00027999i,-0.00050478-0.00083844i,-0.00054619-0.00070628i,0.00062966-0.00081458i,0.00079726+0.00020532i
0.00044248+0.00041093i,-0.00048081+0.00033496i,0.000243+0.00020927i,0.00075516+0.00092003i,0.00072036+0.0017563i,0.00075958+0.0012398i,-3.6301e-05-9.9424e-05i,-0.00069228-0.00039588i,-2.3401e-07-0.00012684i,0.00078152+0.00021835i,0.0010407+0.00038689i,6.9732e-05+0.00034061i,-0.00075324+1.2439e-05i,-0.00033414-4.7574e-05i,-0.00013758-0.00033678i,0.00022241-0.00050585i,9.4777e-05-4.9892e-06i,0.00024245+0.00054304i,0.00017187+0.00016897i,-1.5287e-05-0.00038464i,0.00041584-0.00047274i,0.00043749-0.00039237i,0.0003557+0.0002685i
-6.9979e-05+0.00025013i,0.00046109+0.00031688i,0.00021013+0.00049046i,-0.00031333+0.00073374i,-0.00049374+0.00058005i,0.001005-0.00045521i,0.0014729-0.0009945i,8.4585e-06+0.00025647i,-0.00011433+0.0011599i,0.0012035+0.00090195i,0.00053925+0.00046842i,-0.00057953-0.00025353i,-0.00021401-0.00014562i,0.00019043-0.00014097i,0.00053893-0.00045949i,0.00030936+0.00028908i,0.00026766+0.00065596i,0.00072299+0.00034841i,0.00052798+0.00012613i,0.00012336+0.00054909i,0.00024244+0.0007389i,0.00021078+0.00024982i,6.3221e-05+3.59e-05i
-0.00014799+0.00061145i,0.00033292+0.00049373i,0.00025549-9.9488e-07i,-0.00034772-4.6313e-05i,0.00019562+0.00016863i,0.00025173+0.0008104i,-0.00027961+0.0010182i,-0.0006059+0.00033208i,-0.0002599+2.1652e-05i,-0.000296+7.1782e-05i,-0.00032576+6.3158e-05i,-0.00023456+9.7499e-05i,-0.00051789-0.0003596i,-0.00092745-0.00067767i,-0.00076151-0.00059102i,-0.00094652-0.00027215i,-0.00073325+0.00026492i,-0.00059661+0.00086545i,-0.00080115+0.00066971i,-0.00089114+0.00018142i,-0.0009972+9.8431e-05i,-0.00083988+0.00034224i,-0.00015331+0.00010775i
0.0018125-2.2492e-05i,0.0014782+0.0010681i,0.00066734+0.0011104i,-0.00015662+0.00047314i,-0.00056074+0.00078489i,-0.00090201+0.00077366i,-0.00062408-0.00016245i,-9.7775e-05-8.6507e-05i,-0.00052175+0.00040621i,-0.00072176-0.00057807i,-0.001224-0.00068618i,-0.0007422+9.6242e-05i,0.00051959-2.1553e-05i,0.00067565-0.00069545i,0.00071041-0.00093191i,0.00068871-0.00014788i,0.00015773+0.00064863i,-6.6594e-05+0.0010263i,-0.0010167+0.00070305i,-0.0014736-0.00014174i,-0.00092095-0.00035918i,-0.00081995-0.00040515i,-0.0012376-0.0013119i
0.00076207+0.00063366i,0.0012123+0.0011221i,0.0015405+0.00090622i,0.00053839+0.00010175i,-0.00091737-0.00032981i,-0.0012608-0.00010526i,-0.00050818+0.0003121i,-0.00030623+0.00093367i,-0.00069499+0.0016864i,-0.00044885+0.00085687i,-0.00013698-5.9165e-05i,8.8496e-05+0.00048641i,0.00058013+0.00035402i,0.000735-0.00012849i,0.00082807-8.7657e-05i,0.00079084+0.0001592i,0.0013548+2.3022e-05i,0.0014809-6.0662e-05i,0.00056651-0.00058758i,-0.00026589-0.0008846i,-0.00055091-3.4417e-05i,-0.00029524+0.00048501i,0.00027436+0.00084764i
0.00026265+0.001597i,-0.00021638+0.00083831i,0.00020631+0.00034596i,0.00053734+0.00045336i,0.00048602+9.9904e-05i,0.00021195-0.00039356i,-0.00020486-0.00030118i,-0.0004332+0.00019305i,0.00023704+0.0011021i,0.0011215+0.0015196i,0.0011162+0.0012044i,0.00023262+0.00036242i,-0.00013752-0.00015802i,0.00019623-4.9324e-05i,-0.00029893-0.00040867i,-0.00092854-0.00047311i,-9.0922e-05+4.5884e-05i,0.0001628+0.00022728i,-0.00035769+0.00016071i,-0.00015687-0.00031635i,4.5421e-06-0.00019618i,-0.00025361+0.00044945i,0.0001661+0.00065924i
-0.00031313-0.0027328i,0.001289-0.0020814i,0.0011791+0.00012115i,-0.00023255+0.0014542i,-0.00015881+0.0016988i,0.0013238+0.0016997i,0.0016748+0.00050639i,0.00053824-2.5099e-05i,-0.00028882+0.00019593i,-0.00057212-0.00020112i,-0.00040335-8.0569e-05i,-0.00051797+0.00026209i,-0.00045188+0.00015644i,-0.00013799-0.00031689i,-2.2906e-06-0.00070345i,9.3193e-05-0.0006289i,-0.00036879-0.00011375i,-0.00052387-0.00025779i,-0.00019268-0.00087725i,2.3262e-05-0.00031564i,-0.00041909+0.00055223i,-0.00069015-5.6276e-05i,-0.00026777-0.00036722i
0.0018438+0.00012009i,0.00181+0.00087562i,0.00097153+0.00041196i,0.00010346+0.00075085i,-0.00081276+0.00099092i,-0.0006526+0.00070035i,-0.00065404+0.00033632i,-0.00082178+0.00055455i,-0.00039573+0.0010358i,0.00031229+0.00042584i,0.00046845+6.2596e-05i,-3.8608e-05+0.0008609i,-0.0005833+0.0016093i,7.0331e-05+0.00082502i,0.00067111+0.00022387i,0.00025424-3.6758e-06i,0.0004498-0.00011887i,0.00039191+0.00055337i,-0.00036702+0.00050867i,-0.00027408-0.00031861i,0.00014687-0.00042054i,-0.00047179+0.00014797i,-0.00086356-0.00012721i
0.0016329-0.0014772i,0.0004264-0.00059601i,-0.00043211-0.00042761i,-0.00022675-4.5179e-05i,-0.00010101+0.00072832i,-0.00011624-5.151e-07i,0.00010654-0.0010657i,-0.00024964-0.00048033i,-0.00053672+0.00068432i,0.00011668+0.00097077i,0.00058372+0.00059445i,0.000854+0.00030048i,0.0007287+0.00047246i,0.00034886-0.0002388i,0.00038678+8.9865e-05i,0.00085346+0.00068123i,0.00111+0.00040793i,0.00019986+0.00036449i,-0.00043578+0.00016724i,-0.00062519+0.0003393i,-0.00094222+0.00067562i,-0.00019098-7.4751e-05i,0.00024167-0.0011905i
0.00079675-0.00035783i,0.0012766+2.7627e-05i,0.0014579+6.9142e-05i,0.00031818+0.00029987i,-0.00025572-0.0001147i,0.0003006-0.0011283i,0.00015391-0.00096604i,5.1086e-05-0.0006021i,0.00023501+6.5047e-05i,0.0003102+0.00055548i,0.00052926+0.0002989i,0.00054827+0.00025194i,0.00029481+0.00030476i,-9.4391e-05+5.4384e-05i,-0.00019303-0.00071452i,-6.164e-05-0.00071036i,0.00043045+0.0003119i,-0.00020823+0.00065643i,-0.00033829+0.00014153i,-4.7207e-05+0.000333i,0.00017001+0.00059662i,0.00064288+0.00028739i,0.00044113-0.0002217i
0.0023216+9.2027e-05i,0.0014225+0.00041439i,0.00076033-0.00022514i,-0.00019657-0.00089593i,-0.00071625-0.00098247i,-0.0010603-0.00059639i,-0.00062488-0.00039729i,9.5673e-05+4.8627e-05i,0.00064068+0.00065389i,0.00072259+0.0003337i,0.00028086-7.0046e-05i,0.00022631+0.00035514i,-0.00029264+0.00087887i,2.0504e-05+0.001196i,0.00052543+0.00096484i,0.00027948+0.00052469i,-0.00010553+0.00053813i,-0.0007354+0.0010648i,-0.0013418+0.0011296i,-0.0013587+0.0005119i,-0.00056444+0.0002315i,-0.00041115-0.00022756i,-0.00029692+0.00017068i
0.00078585-0.0010102i,0.00062761-0.00052549i,0.0011558-0.00052128i,0.0010821-0.00032122i,-0.00017792+5.8493e-05i,-0.00038594+0.0003122i,0.00062578-0.00044298i,0.00034389+0.00016142i,0.0005673+0.0011356i,0.00066315+0.00014282i,-5.4243e-05+0.0001158i,-0.00030923+0.0010553i,-0.00030031+0.001378i,-0.00020334+0.00021613i,0.0003149-0.0015896i,0.0001797-0.0015209i,-0.00058627-0.00065963i,-0.00041878-0.00022601i,-0.00020093-2.4066e-05i,-3.0014e-06-0.00012576i,2.4816e-05-0.0003275i,0.00063086-0.00034682i,0.00051889-0.00027378i
0.00070822+0.00026358i,0.0014088+0.00022761i,0.0013666+0.00048717i,0.00077739+0.0010941i,0.00049817+0.0011617i,0.00010264-0.00018219i,-1.2074e-05-0.0015583i,-0.00064736-0.001188i,-0.0013904+0.00010414i,-0.00076302+0.0008383i,-0.00012761+0.000616i,-0.00024869-0.00041947i,-0.00012579-0.0004383i,0.00083707+0.00013161i,0.00068946-0.00017019i,-0.00024431+0.00011471i,-0.0008447+0.00057284i,-0.00053288-2.7514e-05i,-9.4385e-05+0.00013117i,0.00020122-1.9953e-05i,0.00027938-0.00011305i,0.00042163+0.00061638i,0.00022705+0.00035881i
-0.00025769+0.00022044i,0.00014727-0.00074137i,0.00033597-0.00036152i,-8.1508e-05+0.00015247i,-0.00018382+0.00068265i,-0.00024739+0.00057365i,-0.00089008+0.00029034i,-0.0015955+0.0001612i,-0.0010995+0.00038657i,-0.00012532+0.00052566i,0.00054888-0.00021141i,0.001676-0.00032246i,0.0018804+0.00042518i,0.0010673+0.00044003i,0.00015999+0.00072858i,-0.00055969+0.00085783i,-0.00022321+0.00040759i,0.00039854+0.00024504i,0.00040236+0.00017497i,-0.00039913-0.00048861i,-0.00064196-0.00052979i,0.00029038+3.9517e-05i,-0.00015128-0.00048809i
0.0011723-0.00034387i,0.0017632-0.00057199i,0.0014991-0.00071909i,0.0006166+5.6171e-05i,-0.00011848+0.00098105i,0.00020042+0.0014256i,0.0012152+0.0010175i,0.0013435+0.00082706i,0.0012238+0.00085037i,0.00079107+0.00083288i,-0.00011115+5.7941e-05i,0.00014697-2.4457e-06i,0.00068071+0.00059148i,0.00024758+5.2435e-05i,2.644e-05-0.00056473i,0.000242+0.00042247i,-0.00011275+0.00077454i,4.2711e-07-0.00057958i,9.6083e-05-0.00062208i,-0.00021609+0.00038688i,-4.4617e-05+0.00081375i,-7.591e-05+0.00058476i,-0.00063395-0.00048768i
0.00056824+0.0017543i,0.0013225+0.0019319i,0.00078322+0.0013065i,-0.00040793+0.0015131i,-0.00070511+0.0020427i,0.00012556+0.0015254i,0.00015823+0.0003719i,4.4339e-05+0.00043744i,0.00021617+0.00022608i,-0.00060941-0.00020655i,-0.0013839-7.6877e-05i,-0.0008172+0.00024145i,0.00021043+0.00017069i,0.00057177+0.00031309i,0.0003847+0.00044226i,0.00023944-0.00019776i,-0.00012791+0.00018389i,-4.751e-05+0.001233i,0.0002157+0.0009539i,-3.316e-05+0.00015582i,0.0002019+0.00019918i,0.00045212-0.0003532i,0.00016112-0.00074226i
0.00015288-0.000533i,0.00021126-0.0001081i,-0.00027511+0.0010364i,-0.00080517+0.0023341i,-0.0013543+0.0018395i,-0.00021882+0.00053003i,0.00066634-0.0005797i,-0.00044123-0.00038856i,-0.00042476+0.00041517i,0.00020497+0.00088678i,-2.4729e-05+0.00096601i,-0.00052866+0.00025025i,-0.00056983-0.00032515i,-0.00034113-0.00043412i,-0.0003022-0.00033644i,-0.00025199-0.00034885i,8.0655e-06+0.00020964i,0.00045322+0.00036844i,0.00038369-0.00029408i,-5.6107e-06-0.0011512i,-0.00034478-0.0011826i,-0.00069448-5.3918e-05i,-0.00025595+0.00026195i
0.00093871-0.00014679i,0.0016851-0.00064891i,0.0017418-0.00094056i,9.5422e-05-0.00064183i,-0.00083476-0.00041689i,-0.0007311-0.00073591i,-0.00088914-0.0014726i,-0.00098804-0.0012111i,-0.00098614+7.9555e-05i,-0.00074156+0.0010944i,-0.00010853+0.0016213i,0.00043344+0.00054407i,0.00075211-0.00079136i,0.0002794-0.0012391i,-0.00021435-0.0011169i,-0.00027346-8.1221e-05i,4.7441e-05+0.00052975i,0.00040366+0.00076878i,0.00022852+0.0006335i,0.0001045-0.00039175i,-0.00015739-0.00095755i,-6.785e-05-0.00050025i,0.00040376+0.0002735i
0.0010212+0.0015138i,0.0010403+0.00084023i,0.0013265-0.00056213i,0.00056896-0.00041845i,-0.00075366-0.00015115i,-0.00065744-0.00010303i,0.00044172+0.00016554i,0.00068998+0.00074563i,0.00023857+0.00094474i,0.00031513+0.0009154i,0.00045525+0.0011247i,0.0010514+0.00056849i,0.0015251+0.00036114i,0.0011904+0.00013385i,0.0007594-0.00030422i,0.00044271-0.00020169i,-0.00057362+0.0005342i,-0.0016568+0.00027358i,-0.0011844-5.2182e-05i,-0.00048324-2.7868e-05i,-6.6871e-05+1.7976e-05i,-0.00017382+5.8089e-05i,-0.00072496-0.00012174i
0.00071143+0.00060272i,0.00059733+0.0016084i,0.00061389+0.0012599i,8.8255e-05+4.091e-05i,-0.00065351-0.0010202i,-0.0010811-0.00083405i,-0.00088089-1.5248e-05i,-0.00071253+0.0010879i,-0.00032702+0.0017174i,6.8987e-06+0.0010632i,0.00029874-0.00049596i,0.00038713-0.0010947i,0.00031411-0.00097214i,0.00014786-0.0011584i,-0.00020427-0.00090653i,-0.00024658+0.00014258i,0.00020564+0.00098384i,0.00095401+0.00045178i,0.0014491+0.00033961i,0.0010583+0.00035588i,0.00085741-0.0004309i,0.00048462-0.00055538i,0.00088209-0.00049967i
0.0012864+0.00057571i,0.001162+0.00044826i,0.0011032+0.00031748i,0.00094843+0.00024104i,0.00036526+0.00056886i,-0.00091162+0.00025273i,-0.0011406-0.00074034i,-0.00019732-0.00072211i,0.0012947+0.000517i,0.0013665+0.00062937i,0.00048147-0.0009178i,0.00018007-0.0013701i,-0.00060052-0.00019507i,-0.00067669+0.0010453i,0.00012697+0.00065022i,-0.0006125+0.00040066i,-0.001051+9.2112e-05i,-0.00033585-0.00016154i,-0.00048622-0.00059209i,-0.00053902-0.00067007i,0.00015992-0.00052961i,0.00015165-0.00010648i,0.00011082-4.5797e-05i
0.0010772+0.0012313i,0.00061956-0.00031621i,0.0010431-0.00080746i,0.00058132-0.0006438i,-0.00025596-0.00054091i,-0.00032572-0.00078477i,-0.00013315-0.0018401i,-0.00016761-0.0018689i,-0.00011944-0.0002558i,0.00036165+0.00055302i,0.00081168+3.5583e-05i,2.2063e-05+8.6667e-05i,-0.00065873+0.00029496i,-0.00034674-0.00035027i,-0.00094428-0.00054768i,-0.0017353+0.0002234i,-0.00090389+0.0010434i,-0.00013363+0.0014306i,-0.00025023+0.00067731i,-0.00069115-0.00033998i,-0.00084466-0.00027362i,-0.0010691+0.00041166i,-0.00087299+0.00029856i
0.00096563-0.0010887i,0.0010309-0.00046035i,-1.4574e-06-0.0003869i,-0.0011432-0.00050751i,-0.0018903-7.2311e-05i,-0.0014345+0.0002044i,-0.00049452+0.00048835i,-0.0004856+0.0012985i,-0.00040683+0.0017168i,-0.00044363+0.001204i,-0.000437+0.0013108i,-3.0505e-05+0.0017115i,0.00051143+0.0014689i,0.00098105+0.0013279i,0.0011056+0.00034039i,0.00071503-0.00039129i,0.00011797-9.2737e-05i,-0.00013167+0.00017873i,-0.00043025-0.0004577i,-0.00020777-0.0010964i,-6.8989e-05-0.00067636i,-0.00020377-0.00019728i,-0.00014698-0.00037865i
0.0018965+0.0018242i,0.0018798+0.0011411i,0.002034+0.00056046i,0.0015271+0.00054172i,0.00047343+0.0001517i,-1.242e-05-0.0002302i,-0.00058172+5.0619e-05i,-0.0016914+0.00042322i,-0.001809+0.0012809i,-0.0007429+0.0010982i,0.0003796-0.000257i,0.00057223-0.00035407i,0.00067891+1.8325e-06i,0.00043732+7.7642e-05i,-4.5174e-05-0.00023612i,-2.1831e-05-0.00050491i,9.3631e-07-0.0008301i,6.2227e-05-0.00042923i,0.00027206+0.00027809i,0.00019175+0.00034477i,-0.00024031+0.00053587i,-8.8271e-05+0.00046466i,0.00019645+0.00016238i
-0.0009747+0.00022314i,-0.00038808+0.00051227i,5.5349e-05+0.00030769i,-4.5001e-05-0.00025643i,-0.0010424+0.00025502i,-0.00095043+0.001085i,-0.00014699+0.00034304i,0.00014702-0.00049677i,0.00057414+0.00010158i,0.00078741+0.00016341i,0.00050159-0.00052493i,0.00029607-0.0012551i,-0.00026197-0.0021997i,-0.00034286-0.0019947i,0.00043044-0.0012814i,0.0008589-0.00066706i,0.00058225+0.00013708i,0.0005645+0.00052591i,0.0002113+0.00076686i,6.683e-06+0.00059555i,0.00086198+0.00067129i,0.00016001+0.0003134i,-0.00069237-0.00059164i
0.00010713-0.00098225i,0.00059591-0.0017111i,0.00085501-0.0010939i,0.0010317-0.00088204i,-0.00013811-0.00077i,-0.00040382-0.00063069i,0.000665-0.00065163i,0.0014914+0.00043827i,0.0020084+0.0010088i,0.0019118+0.00036233i,0.00031194-0.00055547i,-0.0011055-0.0011182i,-0.00043087-0.0009078i,0.00060396-0.00023259i,0.00029003-0.00013331i,-0.00033374-0.0003731i,-0.00030695+0.00035379i,0.00054952+0.00077723i,0.00035316+0.00044325i,-0.00020939+8.6597e-05i,-0.00038579+0.00010989i,9.096e-06+0.00038125i,0.0007273+0.00016886i
0.00043546+0.00017794i,0.0014398+0.0013181i,0.0017735+0.0010645i,0.001313+0.0010422i,0.00074714+0.0010999i,0.00062014+0.00062647i,0.00075984+0.0013038i,6.3545e-05+0.0023431i,-0.00074903+0.0016933i,-0.00012143+0.00086682i,4.7007e-05+0.0010476i,5.3479e-05+0.001038i,0.00094647+0.00026788i,0.00036615+7.69e-05i,-0.0013013-1.721e-05i,-0.0013591+9.7377e-05i,-0.00051482+0.00048033i,-3.6839e-07+0.00034288i,-0.00024578-0.00036397i,-0.0003009-0.0011343i,0.00011021-0.0011398i,0.00012887-0.00080727i,0.00047273-0.00063206i
0.00051321-0.00068668i,0.00084394+0.00021673i,0.0015627+0.00083445i,0.00080451+0.00024476i,-0.00050331-0.0003857i,-0.00062058-0.0003111i,-0.00086159-0.00060004i,-0.0016947-0.00028111i,-0.002088+0.00045183i,-0.0013681+0.00068404i,-0.000527+0.00082527i,-0.00012675+0.0013994i,0.00072485+0.0011725i,0.00063061+0.00043293i,-0.00062528-0.00043861i,-0.00097362-0.00038253i,-0.00025473+0.00097312i,0.0012166+0.0009369i,0.0017147-0.00045831i,0.00075395-0.0017581i,1.322e-05-0.0016867i,-8.0287e-05-0.001099i,-0.00055599-0.00080472i
0.00066282-0.00071125i,0.0014617-0.00090631i,0.0012133-0.00086052i,0.00023488-0.00023495i,1.7556e-05+0.00073409i,5.6672e-05+0.00089495i,-0.0010807+0.00037711i,-0.0017767+0.00059185i,-0.0012268+0.0013051i,-0.00055687+0.00052529i,9.3519e-05-0.00096183i,0.00077447-0.00076826i,0.00097182-0.00039479i,0.00087838-0.00012799i,0.00096607-0.00024467i,0.00051451-0.00067125i,-0.00017577-0.00023667i,-1.554e-05+0.00014785i,0.00066274+0.00028325i,0.00053044+0.00056364i,-0.0004646+0.00047901i,-0.00031638+0.00032514i,0.00031079+0.00066189i
-0.00069798+0.0026916i,0.000311+0.002965i,0.0010287+0.0018388i,0.001229+0.00062018i,0.00064297-0.00023713i,0.00021511-0.00099117i,0.00028748-0.00073859i,0.00040476-8.672e-06i,0.0011913+0.00084163i,0.0024482+0.0014159i,0.0018442+0.00074844i,0.00075471-0.00048493i,-0.00054067-0.00060425i,-0.00071327+0.00015611i,0.00026585+0.0010203i,0.00027663+0.0009334i,-0.00014748-0.00040134i,-0.00018312-0.00014857i,-3.0208e-05+0.00016635i,-0.00055507+2.6697e-05i,-0.0017418+0.00039981i,-0.0016314+0.0005062i,-8.1691e-05+0.00081066i
-0.00083042-0.00060617i,0.00019288+0.00026933i,0.001362+0.0014064i,0.00077415+0.0012837i,8.2494e-05+0.00077809i,-0.0004156+0.00053436i,-0.00097193+0.0009531i,-0.00058498+0.0021909i,0.00039199+0.0029509i,0.0013607+0.0024729i,0.0014796+0.0009165i,0.0012882+0.00050754i,0.00022224-0.00020198i,-0.00048547-0.00051303i,7.4419e-05+0.0002585i,0.00054388-3.7597e-05i,7.1336e-05+0.00023896i,-0.00043194+0.00074972i,-0.00023468+3.764e-05i,2.4219e-05-0.00026763i,-0.00047581-0.00024904i,-0.0004469-0.00046758i,0.00035752-0.00027617i
0.0025473+0.00043109i,0.0028258+0.00049407i,0.0021962+0.0003959i,0.00060611+0.0002966i,6.8769e-05+0.0007233i,8.7937e-05+0.00012028i,-0.00094691-0.00064138i,-0.0010863-0.00037393i,-0.00054402-0.00059159i,-0.00040343-0.00085875i,-0.0010068-0.00053663i,-0.0013027+7.8966e-05i,-0.00073879+0.0006743i,-0.00041017-0.00010454i,-0.00012785-0.0005475i,-0.00042284+0.00075674i,-0.0009317+0.0012623i,-0.00032411+0.00030906i,0.00019688-0.0011649i,8.4754e-05-0.0014569i,-0.000116-0.0012673i,-0.00012809-0.001432i,-4.3783e-05-0.00088757i
