0.0019771-0.00042526i,0.0016655-0.0012416i,0.00052373-0.0022045i,-0.0014878-0.0020955i,-0.0025049-0.00093808i,-0.0019533+0.00070556i,-0.0012065+0.0019496i,-0.00055881+0.0012413i,0.00033148-0.00023736i,0.00086546-0.00087098i,0.00099999-0.0013051i,0.00061018-0.00077501i,-0.00029302+0.00016075i,-0.0013658+0.00071707i,-0.0016115+0.00015143i,-0.00054868-0.00048127i,0.00031248-0.00032355i,-6.1806e-05-0.00045834i,-0.00018088-0.00065629i,0.00016525+0.00011747i,-0.00042596+5.3402e-05i,-0.00046368-0.00058034i,-0.00014819-0.00029277i
-0.0004426+0.0010186i,-0.0011239-0.00090532i,-2.7619e-05-0.0022196i,0.0010028-0.0025367i,0.0014213-0.0023861i,0.00080888-0.001156i,-0.00036456-0.00041832i,-0.00057978-9.0577e-06i,9.9995e-05-7.5794e-05i,-0.00010928-0.0006476i,-0.00059582-0.00046582i,-0.0008774-0.00083817i,-0.00097121-0.0022095i,-0.0010762-0.00135i,-0.001054+0.00029431i,-0.00051445+0.00064383i,-4.7921e-05+0.00010271i,0.00056488+0.00041569i,0.0005197+0.0013527i,-0.00025698+0.0010569i,-0.00017115+0.00054655i,4.7224e-06+0.0004522i,4.0077e-05+0.0002557i
-0.00044246-0.00056799i,-0.001488-0.00010424i,-0.0013717-0.00018418i,-0.0011924+0.00023317i,-0.0010185+0.00099795i,-0.00017039+0.0010634i,-0.0002554+0.0009189i,-0.00099837-0.00011243i,-0.00072483-0.000563i,0.00027203-0.00047217i,0.00023365-0.00030595i,-0.0002531+7.0028e-05i,0.0003299+0.00025381i,0.00050075+0.00020115i,-0.00012151+0.00026751i,8.5904e-05+0.00042097i,0.00025367+0.00048921i,-0.00023211-1.5446e-05i,-0.00054002+3.7493e-05i,-0.00017094-0.00018407i,-1.0496e-05-0.00049845i,0.00015923+0.00025587i,0.00085062+0.00022328i
-0.0020273+0.00087222i,-0.0018653+0.00142i,-0.0013961+0.0016678i,-0.00056451+0.0013196i,0.0013631+0.00073333i,0.0014887+0.00049042i,0.00017139+7.5428e-05i,-0.00058519-0.00073888i,-0.00051894-0.00021061i,9.2421e-05+0.00072822i,0.00031055+0.00069236i,0.00016632+0.0004763i,0.00049561+0.00049502i,0.00063374+0.00021052i,0.00076151-0.00046338i,0.00028431-0.00099616i,0.00032738-0.00034939i,0.0010426+0.0011614i,0.0012167+0.0015095i,0.00050256+0.0010339i,-0.00020284+0.00086784i,0.00026467+0.00030556i,0.00066924+7.6245e-05i
-2.4384e-05+0.0015854i,0.00084178+0.00059013i,0.0013379-0.00045266i,0.001014-0.0010103i,5.5107e-05-0.0012523i,-0.0013839-0.0016659i,-0.0022086-0.00093338i,-0.0018243+5.7539e-05i,-0.00051312+0.00043832i,0.00045141-2.18e-05i,0.00092029-0.00012153i,0.00092519+0.00044964i,-0.00011758+0.00038838i,-0.00052583+0.00011583i,-4.3083e-05-0.000107i,-0.00026915-0.00052223i,-0.00061865-0.00044856i,-0.00033605-0.00019976i,0.00050758+0.00051982i,0.0014131+0.00083581i,0.00116+0.00044293i,0.00061264+0.00039952i,0.00091419+0.00041035i
0.00030618-0.0011428i,0.00059569-0.0011175i,-0.00045539-0.00081352i,-0.0014968-0.00041871i,-0.0012499-0.00059262i,-0.00089798-0.00075483i,-0.00087722-0.00030579i,-0.00078499+0.00025628i,-0.00032127+9.9841e-05i,3.6868e-05+0.00025044i,0.00014692+0.00016943i,-8.5372e-05-0.00026821i,-0.00039521+8.1048e-06i,8.9599e-05+0.00059693i,0.00036608+0.00116i,-0.00015848+0.0006907i,-0.00048052+5.7054e-05i,0.00047064+0.00035642i,0.00081024-0.00010342i,0.00021644-0.00041587i,-0.0001146-0.00049196i,-0.00015386-0.00029423i,-0.0010425+0.00033716i
-0.0002971+0.00070562i,-0.00083935+0.0013255i,0.00055672+0.00094935i,0.0013104-0.00015529i,0.0008746+0.00010897i,0.00024703+0.0011201i,-0.00060434+0.00090683i,-0.00077393-1.4268e-05i,-1.2428e-05-0.00029883i,0.00016129+0.0002417i,-0.00045773+0.00018717i,-0.00029682-2.5548e-05i,-0.00064682-0.00019378i,-0.0019964-0.00021009i,-0.0018288-6.8231e-05i,-0.00038185-0.00020801i,0.00032749-0.00036375i,-0.00014035-0.0003028i,-0.00065516-0.00028349i,-0.00056231+0.00044313i,-0.00040532+0.00047114i,-0.0003176-1.6564e-05i,0.00013226+0.00016336i
-0.0014456-0.0017366i,-0.00141-0.0011384i,-0.0017692+0.00019474i,-0.002009+0.00065552i,-0.0015054+0.00050492i,0.00011069+0.00038843i,0.00089041-0.00018883i,0.00025219-0.00019546i,-0.00022037+2.686e-05i,-0.0006684+0.00038007i,-0.00096837+0.00021569i,-0.00044595-0.00018477i,0.00065261+0.00021974i,0.00088396+0.00080858i,0.00089625+0.00043923i,0.00055285-8.6208e-05i,-0.0003782-0.00063942i,-0.00084565-0.0007265i,-0.00040126-0.0001022i,-4.8582e-05+0.00038897i,-0.00036227+0.00039683i,-0.00015239-0.00019848i,0.00011847-0.00019949i
0.00045113-0.000338i,0.00049139-0.0002873i,-0.00011371-0.00012007i,-0.00038023-0.00043832i,-0.00051898-0.00093431i,-0.00084286-0.0014245i,-0.00064175-0.0011451i,-0.0011471+0.00019692i,-0.0016511+0.00030021i,-0.0007635-0.00019753i,0.00026119+0.00014146i,0.00054486+0.00074523i,0.00018614+0.00058454i,-0.00017114-0.00027302i,-0.00022686-0.00053506i,-0.00022171-0.00015959i,-0.00018314+0.00048594i,-0.00055147+0.00076114i,-0.00079522-0.00011406i,-0.00047914-0.00028062i,-0.00049554-5.5129e-05i,0.00025962+0.00046773i,0.00048555+0.00058314i
0.00014572+0.0016507i,0.00026796+0.0015028i,-0.0001175+0.001334i,0.00022873+0.00091081i,0.0012067+0.0010734i,0.0010131+0.00043038i,0.00018876-0.00037844i,-0.00031891-0.00058655i,-4.369e-06+0.00036183i,0.00036418+0.00058899i,0.00034979-0.00038498i,0.00082221-0.0003088i,0.00093902+3.0537e-05i,-0.0001923-0.00020127i,-0.00080303-0.00013463i,-0.00048904+0.00016694i,0.00040944+8.4883e-05i,1.5482e-05-0.00059256i,-0.00068704-0.00051394i,0.00022045-0.00035292i,0.00070553-0.00025611i,0.00026074-0.00017765i,-1.5174e-05+0.00018874i
0.00054005-0.0014964i,-0.00059634-0.0020816i,-0.00084318-0.0022391i,-0.001172-0.0015001i,-0.00081668-0.0012618i,-0.0001019-0.00028424i,8.9208e-05+0.00088065i,5.0548e-05+0.00054706i,0.00039791-9.8721e-05i,0.00069518-0.00064197i,0.00045646-0.00054043i,-0.00017518+0.00019339i,-0.00034803-1.5562e-05i,-0.00039841+0.00021641i,0.000115+0.00085331i,0.00024623+0.0010549i,-0.00040628+0.00069345i,0.00028839+0.00025963i,0.00093067+0.00022903i,0.00055871+4.4202e-05i,0.00065667-0.00046875i,0.00029785-0.00058396i,0.0004686-0.00060572i
0.0025655+0.00040611i,0.002817+0.00018908i,0.0024318-0.00045221i,0.0011747-0.00050872i,0.00050831-0.0012452i,-0.00026986-0.00091195i,-0.0012192+0.00039504i,-0.00092505+0.00061705i,0.00015173+4.9621e-06i,0.0003908-0.00073707i,-0.00020751-0.00068411i,-0.00047919-0.00035631i,-0.00052545+0.0005414i,-0.0012997+0.0010113i,-0.0013837+0.000935i,-0.00014923+0.0007135i,0.00043998+0.00014429i,0.00032659+0.00020894i,0.00019577+0.00017561i,-5.4364e-05+0.00032963i,5.7856e-05+0.00080943i,-0.00012314+0.00060756i,-0.00049324-0.00044277i
-0.00013994+0.0005781i,-9.6035e-05+0.00056156i,-0.00052199+0.00015635i,-0.0011484-0.0004134i,-0.00067348-0.00057477i,0.00031677+0.00046566i,0.00011435+0.00059521i,-0.00052098+0.00010021i,-0.00067919+0.00019791i,-0.0010261+0.00077505i,-0.00094284+0.00095289i,-3.7244e-05+0.0010165i,-0.00032127+0.00093861i,-0.0010147+0.00083111i,-0.00097328+0.00070648i,-0.00087218-0.00011692i,-0.00044287-5.8027e-05i,4.1723e-05+0.00019173i,0.00010476-0.00039571i,0.00021283-0.00039761i,0.00060608-0.00013782i,0.00091421-0.00017283i,0.00058594-0.00077468i
-8.1708e-05-0.00058814i,-0.00093981-0.00027543i,-0.00071984+0.00019424i,0.00031972-0.00018615i,0.0010597+0.0001414i,0.0011628-0.00016316i,0.0010715-0.0010239i,0.0013369-0.0010189i,0.00143-0.00030085i,0.0010314+0.00027305i,0.0010182+0.00015714i,0.00075679+0.00063023i,0.00053136+0.0010884i,0.0005225+0.00054612i,-0.00034869-0.00017019i,-0.00053453-0.00099667i,-0.00019113-0.0011549i,-0.00020362-0.00011048i,-4.3641e-05+0.00027671i,0.00034005+6.7905e-05i,0.00040794-0.00029926i,-0.00025246+0.00033667i,-0.00073096+0.0013954i
0.0012435-0.00063221i,0.00077029-0.00011166i,-0.00051965-0.00023894i,-0.0017114-0.00044941i,-0.0011936-0.00061488i,-0.000512-0.0003348i,-0.000344-0.00070843i,0.00039631-0.00068292i,0.00096261-0.0007672i,0.0012946-0.0012367i,0.0013467-0.00025644i,0.00068916+0.00083324i,0.00062707+0.00068683i,0.00083291+0.0005316i,0.0002178+0.00078132i,0.00023768+0.00031715i,0.0010525+2.7799e-05i,0.00054906+0.00026052i,-0.0002046-0.00023821i,7.3353e-05-0.00014327i,0.00050442-5.0769e-05i,0.00061837+0.00045847i,0.00048217+0.00036478i
1.3321e-05+0.0023215i,8.8193e-05+0.0018068i,0.0011299+0.0007637i,0.0017694+0.00047034i,0.0019026+0.00046187i,0.0014201+0.00025687i,-6.7625e-05+2.3704e-05i,-0.00033035+2.3008e-05i,4.1119e-05-0.00036875i,0.00019899-0.00086887i,0.00057457-0.0014511i,0.00013598-0.0014856i,-0.00093401-0.00065004i,-0.00071525-9.8172e-05i,-0.00011806+9.3244e-05i,0.00017462-0.00040171i,0.00044394-0.00088882i,0.00076928-0.00010114i,0.0010816+0.00059609i,0.00086327+0.00058101i,2.6691e-05+6.5485e-05i,1.3439e-07-0.00079453i,0.00019595-0.00074753i
-0.0015231+0.0012016i,-0.00099627+0.00189i,-9.8562e-05+0.0020615i,-2.729e-05+0.0016917i,-1.6732e-05+0.0009195i,-6.3918e-06+2.5467e-05i,-0.0003713-1.9323e-05i,-0.00073966+0.0005995i,-0.00039197+0.00094051i,-0.00061273+0.00067022i,-0.0012828-0.0005535i,-0.0016038-0.00085457i,-0.0014622-0.00058781i,-0.0014276-0.0010201i,-0.0011241-0.00078256i,-0.00049597-0.00041087i,0.00060618-0.0004183i,0.00077057-0.00047477i,0.000117+0.00013036i,0.00025479+0.00073994i,0.00066298+0.00046048i,0.00092791+0.0001529i,0.00060449+0.00017136i
-0.0029167+0.0016806i,-0.0017593+0.001592i,-0.00080641+0.00084851i,0.00041829+0.00030176i,0.0013778+0.00058972i,0.0010003+0.00021016i,0.00070359-0.00043653i,0.00057181-0.00061603i,0.00020037-0.00012589i,7.5675e-05+8.2364e-05i,-0.00040253+0.00010381i,-0.00054438+0.00014245i,-0.00024212-0.00033054i,-3.1553e-05-0.00067943i,0.00040965-0.0006909i,0.0013633-0.00019011i,0.00075348-0.00029503i,-0.0002694-0.0003848i,-0.00040243-1.1654e-05i,-0.00052196-0.00034727i,-0.00050239-0.00079236i,0.00016854-0.00075791i,0.0005766-0.00062023i
0.0012618+0.001333i,0.0014977+0.0011857i,0.0011056+0.00042017i,0.00087303-0.0001715i,0.0006507+0.00015971i,0.00017226+0.00067949i,-0.00032576+0.00056302i,-0.00058608+0.00057989i,-0.00034327+0.00086784i,-0.00052287+0.00065092i,5.5334e-05+0.00066294i,0.00027029+0.00080956i,-0.00036265+0.00096763i,-0.00094983+0.0010744i,-0.0013745+0.0010552i,-0.0010978+0.0005201i,-0.00042198-0.00048739i,0.00066759-0.0007172i,0.00084221+0.00019137i,3.8534e-05+2.5395e-05i,1.8262e-05+2.56e-05i,0.00036313-0.00055236i,0.0001939-0.0015797i
0.00022585+0.0021042i,-0.00022345+0.0014383i,0.00010169+0.0005763i,0.00029888-0.00038558i,9.1937e-05-0.0012703i,-0.00044266-0.00050737i,-0.00055985+0.0003898i,-0.00030035-0.00015411i,-0.00051303-0.00012119i,0.00045908+0.00044319i,0.0016794+0.00013233i,0.00090516-0.00017845i,-0.00048492+0.00063489i,-0.0013272+0.0011452i,-0.0015089+0.00021705i,-0.0010206-0.00077754i,-0.00033029-0.00052181i,-0.00084502+0.00033426i,-0.0018348+0.00042473i,-0.0011507+0.00016022i,-4.399e-07+0.00014589i,0.00064226-7.3878e-05i,0.00060723-0.00030309i
-0.0010272-0.0012814i,-0.0017283+0.00024937i,-0.0023475+0.0011631i,-0.0020077+0.0016317i,-0.00071089+0.0012757i,-9.934e-05+0.0013715i,0.0001126+0.001386i,0.00031376-9.6889e-06i,0.00049967-0.00088069i,0.00034818-0.00092435i,0.00043759-0.0011842i,0.0016011-0.00077742i,0.0021174+0.00063257i,0.00065608+0.00064529i,0.00039907+5.9298e-05i,0.00014877+2.6645e-05i,-0.00077274-0.00020279i,-0.00047556-0.00058182i,0.0005705-0.00038693i,0.00079087-0.0005581i,-0.00032088-0.00066288i,-0.00086157+0.00011072i,0.00055356-8.2844e-05i
-0.0020872-0.0016873i,-0.0024957+0.00012735i,-0.0027022+0.00036547i,-0.0025578+0.00059662i,-0.0010959+0.00064502i,-3.404e-05-0.00012636i,-0.00060795-0.00058976i,-0.00083214-0.00061343i,-0.00053435-0.0010019i,-0.00090741-0.0010568i,-0.00071555-0.00056733i,-0.00036752+0.00030359i,0.00014008+7.2345e-05i,0.001279-0.00035248i,0.0016539+0.00010592i,0.0012925-5.6516e-05i,0.00079203-0.00071542i,0.00052201-0.00076397i,0.00017849+6.8583e-05i,-0.000142+0.00072206i,-0.00065473+0.00044092i,-0.00114+0.00017645i,-0.00041823-0.00013618i
0.0017699-2.6123e-05i,0.0012189-0.00033289i,0.00032934-0.00043486i,0.00085042+0.00062617i,0.00089926+0.0021571i,6.7127e-05+0.0023452i,-0.00019665+0.0017679i,0.00045632+0.00083413i,-0.0001216+0.00056494i,-0.0013008+0.00050952i,-0.0010789+0.00046798i,-0.00054745-5.0434e-05i,-0.00043286+0.00045169i,-0.0008553+0.00074108i,-0.00093724+0.00063736i,-0.0004675+0.001131i,-0.00053989-9.1544e-05i,-0.0011727-0.00076625i,-0.00084511+0.00040621i,-0.00050895+0.0007894i,2.424e-05+0.0003569i,0.00051755-7.1572e-05i,0.00032454+0.00033609i
-0.0012563-0.00087713i,-0.00038259-0.0004397i,-0.00057326-9.3416e-05i,-0.0014174+0.00027603i,-0.0011251+0.00030463i,-3.2508e-05-0.00015009i,-0.0001+9.1505e-06i,-0.00062749+0.00058085i,-0.0006967+0.00040997i,-9.0008e-05+0.00055279i,0.00030293+0.00099556i,0.00074047+0.0013603i,0.0014241+0.00087427i,0.0015439+0.00016781i,0.00051085+0.00045556i,-0.00035175+0.0011073i,-0.00031942+0.00039756i,0.00040463-0.00046361i,0.0010047-0.00041926i,0.00045289-0.00028283i,-7.6944e-05-0.00044634i,-0.00046928-0.00044904i,-0.00045133-0.00075209i
0.00076053-0.00036859i,-0.00014533-0.0006363i,-0.00028814-0.001048i,-0.00028788-0.001065i,-0.0009984-0.00044133i,-0.0019077+0.00031412i,-0.00090976+0.00070494i,0.00010473+0.00097476i,0.00045239+0.00064513i,0.0011993+0.00095546i,0.0011522+0.0012618i,0.00091432+0.00059868i,0.00073851-0.0002544i,0.00045484-0.00026454i,0.00042117+9.2445e-05i,-0.00024423-0.00037633i,-0.00036902-0.00083026i,6.1956e-05-0.00061651i,0.00081743-0.00031668i,0.0010996+0.00016004i,0.0005787+0.00047365i,-0.0004817+0.00061159i,-0.0003206+0.00086081i
-0.0011809-0.0021104i,-0.0013859-0.00174i,-0.0017918-0.00058837i,-0.00073306+0.00071619i,0.00044301+0.00080693i,0.00062862+4.5265e-05i,-0.00034812-0.0015454i,-0.00049361-0.0020892i,0.00048299-0.0012898i,0.00019364-0.00042901i,-0.00039026-0.00027001i,0.0004574-0.00030759i,0.0007868-3.1113e-05i,0.0014569-0.00028319i,0.0025417+0.00011817i,0.0018887+0.00084821i,0.0007242+0.00065893i,9.6323e-05+0.0004845i,-0.00019395+0.00022149i,0.00014103+0.00023087i,-0.00010983+0.00056679i,0.00028537+0.00058552i,0.00053318+0.00050201i
-0.00016366+0.00028112i,-0.00030539+0.00045136i,8.6478e-06-0.00025869i,0.00033717-0.0002018i,7.7994e-05-0.00038885i,0.00024493-0.0011037i,0.00069149-0.0016966i,0.00081982-0.0012069i,3.6213e-05-0.00088632i,-0.00045255-0.001242i,-0.00047505-0.0012927i,-0.00052304-0.00053171i,-0.0002628+0.00062671i,-0.00011088+0.00094752i,-0.00060281+0.00034909i,-0.0014221-7.2078e-05i,-0.0013195+0.00048445i,-0.00076465+0.00025316i,0.00032159-6.1282e-06i,0.00071831+0.00016103i,-9.3585e-05+0.00026622i,-0.00010496+0.00052109i,8.3956e-06+8.9287e-05i
-0.0020707+0.001108i,-0.0025127+0.00083969i,-0.0029138+0.0012893i,-0.0020685+0.0010781i,-0.00096673+0.00043106i,-0.0010934-9.4712e-05i,-0.0011191-0.00072214i,-0.001063-0.00058555i,-0.00042889-8.2059e-05i,0.00030773-0.00010767i,-0.0004679-0.00036457i,-0.0010759-0.00020804i,-0.0012338-0.00019636i,-0.0012084-0.00084889i,-0.00099713+1.5221e-05i,-0.00081304+0.00069592i,-0.00059918+4.6801e-05i,-0.00014505+0.00018552i,-0.00012051+0.00030215i,-0.0007626-3.4138e-05i,-0.00075131-0.00080878i,-0.00025648-0.00081214i,-0.00011835-0.00020037i
0.00013612+0.00012507i,-0.0012359-0.0012986i,-0.0014246-0.0014133i,-0.0006804-0.0012164i,-0.00044254-0.00091157i,-0.001414-0.00054158i,-0.0021542-0.00064564i,-0.0018032-0.00044677i,-0.00058245-1.7575e-05i,-3.9089e-05+3.6488e-05i,-0.00022139+0.00047352i,0.00011515+0.0010496i,-0.00014528+0.00084994i,-9.9101e-06+0.00023133i,0.00034615-0.0003575i,0.00013551-0.00075842i,-0.00041091-0.00069932i,-0.00054239-0.00053582i,0.00051299-0.0002978i,0.0010097+0.00012092i,0.00052349+0.00044868i,0.00010581-0.00013674i,-8.4341e-05-0.0002254i
0.0032436+0.0010889i,0.0021959+0.00074148i,0.0015314-0.00068003i,0.00042271-0.0018428i,-0.00040012-0.0017848i,0.00030576-0.00077738i,0.00095361-0.00015643i,0.00037772+0.00010444i,0.00050003-9.9417e-05i,0.00060738-0.00028079i,0.0001483-0.00011642i,3.4471e-05+0.00034277i,-0.00039719+0.00092053i,-0.0020769+0.001349i,-0.0024447+0.0010804i,-0.001021+0.00046196i,-0.00054449+0.0003505i,-1.4578e-05+0.00048756i,0.00056401+0.00056877i,0.00026338-0.0001071i,-0.00027856-0.00062919i,2.9163e-05-0.00077026i,0.00024938-0.00038485i
-0.0027579-0.00080077i,-0.0024762-0.0014042i,-0.0019264-0.00023876i,-0.0017545+0.0017759i,-0.0013812+0.0019505i,-0.0016084+0.0010491i,-0.001428-0.00037136i,-0.00011071-0.0009193i,0.0005786-0.00045057i,0.00072673-0.00021808i,0.00060229-0.00031798i,0.00081002-0.00074293i,0.00060144-0.00056966i,-0.00033032-0.0002302i,3.3287e-05+8.1229e-05i,0.00070818+0.00032532i,8.4118e-05+0.00068435i,-1.6812e-05+0.00041667i,0.00010855+0.0005717i,0.00025864+0.0012961i,-5.1642e-05+0.00054456i,-0.00018404-0.00037781i,0.00031477-0.00030841i
0.0012374-0.0010198i,0.00051577-0.0012624i,0.00073388-0.0017073i,0.0010654-0.0012184i,0.0003165-0.00076454i,-0.00038828-0.0004711i,0.00020157-0.00069041i,0.00042174-0.001882i,0.00058408-0.0018803i,0.00096702-0.00074746i,0.00075268-0.00023504i,-9.2801e-05-0.00018177i,-0.00046021+3.2237e-07i,-1.4432e-05+0.00046232i,-0.0001284+5.0768e-05i,-0.00036675-0.00026544i,-0.00072043+0.00059712i,-0.00066485+0.0013871i,-0.00065321+0.0010734i,-0.00069706+0.00027038i,-0.00018117-0.00011485i,0.00050131+0.00012237i,3.216e-05+0.00051066i
-0.00087551+0.00065636i,-0.00097574+0.001154i,-0.0003607+0.0016664i,0.00029887+0.00067479i,0.00056225-0.00034816i,-8.5345e-05-0.00074154i,-0.00060683-0.00036712i,-0.00041028-0.00015718i,-0.0010467-0.00026018i,-0.0017073-0.000131i,-0.0012179+7.6763e-05i,-0.00040042+0.00041065i,-0.0003976+0.00012172i,-0.00087286-0.0010857i,-0.0004858-0.00089426i,0.00025906-0.00016646i,0.00076669+0.00012418i,0.0007777-0.00010184i,-0.00020192-0.0010834i,-0.00067446-0.00085701i,-0.00040141-0.00052149i,-0.00018964-0.00018854i,-1.8814e-05-7.5336e-05i
-0.0022253+0.00058604i,-0.0013312-0.00019409i,-0.0015639-0.00064364i,-0.00040398-0.00086468i,0.0018639-0.0008016i,0.002177-0.00050568i,0.00097921+0.00023841i,-0.00043559+0.00018131i,-0.00058416-0.00016449i,0.00014253+0.00014619i,0.0011902+0.00086341i,0.0018653+0.0011328i,0.0011969+0.00058579i,0.00047018-0.00012167i,0.00029863+6.2129e-05i,-0.00018332+0.00028313i,-0.00034553-0.00035258i,-0.00063288-0.00046117i,-0.00063788-0.00035869i,-9.5039e-05-0.00022058i,-0.00036895-0.00028946i,-0.00034309-0.0011414i,0.00010696-0.00060469i
-0.00093804-6.931e-05i,-0.0011639+0.0014184i,-0.0010938+0.0027567i,-0.00068732+0.0030218i,-0.00036723+0.0017404i,5.1561e-05+0.00024106i,-0.0006697-0.00028194i,-0.0016246-0.00044645i,-0.00094642-0.0003264i,0.00066579-0.0001278i,0.0014273-0.00037061i,0.0014602-0.00040491i,0.0012533+0.00048654i,0.00074372+0.00081702i,0.00021225+0.00026558i,8.6956e-05+5.8172e-05i,0.00017917-4.2019e-05i,0.00066909+0.00038049i,0.00037955+0.00036348i,-0.00028359+0.00015949i,0.00025728+0.00034749i,0.0010809-3.98e-05i,0.0014653-8.2396e-05i
-0.0014886+0.00098436i,-0.0015773+0.0012967i,-0.00051093+0.0012297i,0.00040422+0.00085733i,0.00038888+0.00038386i,0.00077584-4.3575e-05i,0.00087917-0.00057776i,-0.00051824-7.4181e-05i,-0.0011898+0.00017747i,0.00023909-0.00047197i,0.001462-0.0011343i,0.001132-0.0014058i,0.00030764-0.0016595i,-0.00031388-0.0010105i,-0.00016215-0.0003877i,-7.6308e-06-0.00044716i,-6.4677e-05-0.0001038i,-0.00085626+0.00027787i,-0.0014908-0.00047096i,-0.0008429-0.00079326i,-0.00018941-0.0002356i,-0.00013296-3.3276e-05i,1.0409e-05-0.00019859i
-0.00089752-0.0016733i,-0.0013034-0.0016465i,-0.001495-0.0013584i,-0.0012098+0.00033064i,0.00026481+0.001344i,0.0012219+0.001803i,0.00074704+0.00081433i,-6.5501e-05-6.6449e-05i,-0.00034949-0.00022246i,-5.5467e-05-0.0006851i,-0.00019487-0.00035659i,-0.00028957-0.00042985i,7.4863e-05-0.00059288i,0.0011301+7.6519e-05i,0.0014605+0.00014561i,0.00050126-0.00026268i,-0.00064354+8.1584e-05i,-0.0013942+0.00057642i,-0.0013255+0.0002621i,-7.4269e-05-0.00038945i,0.00082591-0.00043274i,5.3447e-05+0.00059817i,6.6489e-05+0.00066413i
0.00020629+0.00036853i,-0.00015801+0.00031185i,-0.000817+0.00053951i,-0.0011149+0.0007902i,-0.0010944+0.00055042i,-0.0015048-0.00020613i,-0.0018305-0.00035607i,-0.0015688+0.00012205i,-0.00042902-0.00018044i,-7.0066e-05-0.00032515i,-0.0011208+0.00034831i,-0.00038062+0.0014058i,0.00012388+0.0016926i,-0.00063394+0.0013736i,-0.0012401+0.00064222i,-0.0012031-0.00037152i,-0.00096768-0.00081883i,-0.00044552-0.00082474i,0.00051243-4.0946e-05i,0.0010386+4.8607e-05i,0.00051034-0.00050141i,-5.5976e-05-0.00088539i,0.00026014-0.00035495i
0.00098429-0.0011259i,-0.00071716-0.00041787i,-0.0019968-0.00063965i,-0.0014572+2.7467e-05i,-0.00027003+0.00083303i,0.00084422+0.00086186i,0.000723+0.00058513i,-5.1009e-05+0.00070338i,-0.0002926+0.00043558i,-0.00015803-0.00020637i,-0.00045245-6.3338e-05i,0.00047425+0.00054698i,0.0014928+0.00073528i,0.00093518+0.00062764i,0.000123+0.0005604i,-0.00019037+0.00049588i,-0.00029836+0.00031898i,0.00023105+0.00020507i,0.00087542+0.00030294i,0.00079666+0.00054796i,0.00075088+0.00017261i,0.00061418+0.00062169i,0.00022632+0.0009029i
0.00039827+0.00095628i,0.001424+0.0011581i,0.0020389+0.0013828i,0.0019056-0.00063022i,0.0012083-0.001667i,5.0308e-05-0.001522i,-0.00011263-0.0010684i,-0.0001323+0.00021864i,-0.00044114+0.00041694i,0.00083822+0.00043804i,0.0016095+0.00093037i,0.0013518+0.00051289i,0.00096282-0.00024361i,-0.00040036-0.00048777i,-0.00093782-0.00020129i,-0.00040078+0.00073206i,-7.4055e-06+0.0010367i,0.00020481+0.00044035i,0.00021642+0.0002282i,-0.00021774+0.00054501i,-0.00021212+0.00015105i,-1.1982e-05-0.00021577i,-0.00054105-0.00011893i
0.00051801-0.0018502i,-0.00041618-0.0025962i,-0.0010645-0.0025089i,-0.00062615-0.0018723i,5.9939e-05-0.00080643i,-0.00049952-9.1754e-05i,-0.00088277+0.00040917i,-0.00057139-2.2008e-06i,0.0010826-0.00077435i,0.0018829-0.0010067i,0.0011416-0.0014228i,0.0003785-0.0017763i,-0.00024362-0.00063696i,-0.00063193+9.084e-05i,-0.00037536-0.00013149i,-1.155e-05-9.365e-05i,-1.2273e-05-0.00024133i,-4.2537e-05+1.7518e-05i,0.00019287+0.00027109i,0.0008991+0.00030511i,0.0012535+0.00077825i,0.00032726+0.00089747i,-0.00061833-0.00011868i
-0.00055941-0.00039508i,-0.00082941+0.0005607i,-0.0012035+0.00068292i,-0.002026+3.3016e-05i,-0.0015603-2.8429e-05i,-6.8944e-05+1.2514e-05i,6.4385e-05-0.00073992i,-0.00053079-0.00079427i,-0.00078321-0.00042235i,-0.00034928-0.00061368i,-0.00044227-0.0012231i,-0.00020429-0.00098573i,-0.00012623-0.00033683i,-0.0002402+0.00010868i,8.1772e-05+0.00031893i,0.0004962+0.00035455i,0.00017193+0.00057328i,-0.00042735+0.00065977i,-0.00026299-5.2998e-05i,-0.00078721-0.00053609i,-0.0006495-0.00071192i,0.00040339-0.00078956i,0.00015007-0.00060457i
-0.0028962+0.00019926i,-0.0015899+0.00090355i,-0.00015711+0.0019449i,0.0014164+0.0021898i,0.0016612+0.00086112i,0.00049198-0.00036073i,-0.00027956-0.00072249i,-0.00036284-0.00042246i,-0.00064946-0.00014428i,-0.0017882+8.6862e-05i,-0.001542+0.00054417i,-0.00032097+0.00014838i,0.00033296-0.0004868i,0.00052625-0.00035309i,0.00093662-0.00018624i,0.00049228+0.00026307i,0.00015474+0.00059341i,-0.00018157+0.00023422i,-0.00028291-0.00024384i,0.0004469+2.0733e-05i,0.00033439+0.00027153i,-0.00021644-0.00041992i,1.1719e-05-0.00014619i
