-0.00064576+0.00025138i,0.00061693-0.00094369i,0.00034377-0.0003163i,0.00011115-0.00081926i,-0.00043361-0.0011824i,-0.00023028-0.00062421i,0.00021812+0.00026036i,0.00077827+0.00041737i,0.0014256+0.0007481i,0.0015107+0.00030339i,0.00075564-0.00094539i,-3.4308e-05-0.00068018i,-3.4745e-05+0.00021768i,0.00037886+0.00035116i,0.0001336+0.00057127i,0.00042655+0.00041348i,0.0011589-0.00061663i,0.00068567-0.00096618i,-0.00039459-0.00031264i,-0.00067109-0.00056479i,0.00032863-0.0010737i,0.00048816-0.00034567i,-0.00034454-0.00046057i
0.0014718-0.00087948i,0.00030543-6.1426e-05i,-0.0011559-0.00024611i,-0.0014583-0.0010799i,-0.0011934-0.00061428i,-0.0002961+0.0002025i,-0.00022738-0.00019438i,-0.00052308+1.6873e-05i,-0.00035357+0.00067132i,-0.00046211+0.00060046i,-0.00010642-0.00016302i,0.00072797-0.00054143i,0.00036378-0.00055376i,-0.00018949-0.0006404i,0.00057011-0.00035154i,0.0010268+0.00011051i,0.00039821-0.00031654i,0.00020382-0.00088586i,0.00029331-0.00019222i,1.8385e-05+7.6042e-05i,-0.00086076-0.0003788i,-0.00092139-0.00021399i,-0.00031274+0.00036357i
0.00063476-0.00068499i,0.0015822-0.00061955i,0.0013816-0.00077267i,0.0010437-0.0011921i,0.001374-0.0015031i,0.0013813-0.001896i,0.00037343-0.0015196i,9.796e-05-0.00045827i,0.0011963-9.2287e-05i,0.0011797+2.5991e-05i,0.00083049-0.00042831i,0.0012383-0.00049307i,0.0011366+0.00017793i,0.001255+0.00050545i,0.0011103-0.00027955i,0.0010261-0.00069317i,0.00071759-0.00041347i,8.6266e-05-0.00052028i,-0.00042132-0.00032979i,-0.00095039+5.4863e-05i,-0.00074776+0.00045755i,-0.00022476+0.0004593i,2.6454e-05+0.00051078i
0.0024418-0.0016639i,0.0015147-0.001684i,-0.00053955-0.0023737i,-0.001202-0.0017591i,-0.00046878-0.0010764i,-0.00040911-0.00014794i,0.0001045+0.00081963i,0.0014027+8.744e-05i,0.00093187-0.00058626i,-0.00034559-0.0003586i,0.00022702-4.2872e-05i,0.001192+0.00050304i,0.0014628+0.00069977i,0.00085457+0.000669i,0.00053744+0.00046997i,0.00056818-0.00018855i,0.00043323-0.00091653i,0.00044243-0.00097267i,-4.1102e-05-0.00044362i,-0.00039083-0.00012066i,-0.00085723+0.00031007i,-0.00085976+0.000214i,-0.00010163+0.00046272i
-0.002071-0.0020221i,-0.0013397-0.0026665i,0.0007042-0.0012811i,0.0016904-0.00032681i,0.0007546-0.00061879i,0.00061995-0.0010047i,0.00020682-0.0012242i,-0.00040511-0.0012057i,-0.00018427-0.0013087i,0.00026699-0.0011806i,0.000525-0.00038844i,0.00072437+7.1879e-05i,0.00023636-0.0004157i,0.0003719-0.00094697i,0.00079736-0.00042371i,0.0004131+0.00017546i,0.00047047+0.00076124i,0.0002504+0.0009371i,-0.00059281+0.000829i,-0.00068867+0.00074028i,-9.1131e-05+0.00065875i,0.00012622+0.00064349i,-0.00011016+0.00044186i
-0.00094438+9.6423e-05i,-0.00056364+0.00070759i,-0.0004449+0.00047225i,-0.00032571-0.00026149i,4.4724e-05-0.00080638i,0.00028965-0.0011264i,-0.00025252-0.00098064i,-0.0010599+0.00015829i,-0.0015171+0.0011389i,-0.0011594+0.00043869i,-0.00065782-0.00093105i,-0.00048148-0.0012595i,-0.00028607-0.0010087i,-0.00096471-0.00017879i,-0.001159-0.00015034i,-0.00041953-0.00050252i,8.7918e-05-0.00019386i,0.00037293-0.00038737i,0.00070401-0.00072218i,0.00044113-0.00080701i,-0.00013074-0.00092939i,-1.5478e-05-0.00051676i,0.00021343-0.00015013i
8.9631e-05+0.0016118i,-0.00056767+0.0023149i,-0.00082235+0.001212i,-0.00014376-0.00080838i,0.00063002-0.0019584i,2.9696e-05-0.0015893i,-0.00033339-0.0012531i,0.00010603-0.00018201i,0.00022785+0.0011509i,-0.00045162+0.0010171i,-0.0012804+0.00037451i,-0.0010692+0.00014679i,-0.000236-0.00014161i,-0.00017601-0.00050442i,0.00034593+0.00017179i,0.00070856+0.00070332i,9.6743e-05+0.00021957i,0.00030603-0.00051667i,0.00068668-0.0011039i,-5.6433e-05-0.0014537i,-0.00068713-0.00099959i,-0.0006647-0.00060137i,-0.00020739-0.00034936i
0.00097646-0.00078092i,0.001602-0.00059755i,0.00079705+0.00064016i,-0.00026753+0.00026853i,-0.00043774-0.00037855i,-0.00079027-0.00051254i,-0.0014111-0.0001417i,-0.0014852+0.00073999i,-0.00041233+0.00096872i,0.0012099+0.00038362i,0.0011248-9.4352e-05i,0.00050651+0.00019321i,0.0013442+0.00073442i,0.0016192+9.5699e-05i,0.00064031-0.0003703i,-3.7777e-05+1.7989e-05i,0.00070162+0.0008193i,0.001253+0.00036898i,0.00080568-0.00027344i,-0.00027134+5.1351e-05i,-0.00063468-7.3657e-05i,-0.00031853-0.00015364i,-0.00040533-0.00012995i
-4.6556e-05-0.0017969i,0.00082493-0.0011183i,0.00045161-0.00071264i,0.00064531-0.0012955i,0.0012279-0.0020356i,0.0012817-0.0013593i,0.0002143-0.0011229i,-0.00027077-0.0012425i,0.00052374-0.00064922i,0.00089891-0.0003019i,0.0013657-0.00041024i,0.0012872+1.307e-05i,0.00051311+0.00011382i,4.5113e-05-0.00019105i,0.00033922-0.00068053i,0.00055338-0.0009862i,0.0012008-0.00066865i,0.0006356-2.5844e-06i,0.00025698+0.00055206i,0.00029272-0.00012024i,-0.0005581-0.0011478i,-0.00042505-4.7443e-05i,7.7791e-05+0.00094588i
-0.0003246-0.0027345i,0.00014813-0.0045552i,0.0013219-0.0028224i,0.0013308-0.00096319i,0.00022453-0.00061446i,-0.00089996-0.00123i,-9.885e-05-0.0012432i,0.0016627-0.00076453i,0.0017166-0.00070019i,0.0010199-0.0016029i,0.001126-0.0025631i,0.001421-0.0021285i,0.0011924-0.0016256i,0.0011133-0.00097959i,-0.0004184-0.00032483i,-0.0011734-9.0045e-05i,-0.0006785-0.00031611i,-0.0003184-0.00079604i,-8.3132e-05+8.8618e-05i,-0.00037681+0.00066997i,-0.00021933+0.00036755i,0.00040619+0.00089332i,0.00054308+0.0009764i
-0.00045152+0.0031228i,0.001472+0.00079394i,0.0037631-0.00014314i,0.0039811-0.000383i,0.0031595-0.0026583i,0.0011408-0.0034537i,-0.00018827-0.0017126i,7.145e-06-0.00019519i,0.00020137-0.00013152i,0.00061214-0.0006732i,0.00096467-0.0010312i,0.0005168-0.0013144i,-0.00059355-0.00075252i,-0.00092341-0.00041438i,-0.00049072+0.00011413i,0.00034632-8.6403e-05i,0.00092197-0.00046132i,0.00034377+0.00015947i,-0.00044504+0.00033532i,0.00018015+0.00022134i,0.0012173+2.469e-05i,0.00091874-0.00081168i,0.00069721-0.00069343i
-0.0022215+0.0023561i,-0.0023037+0.0032881i,-0.0013558+0.001807i,0.00066169+0.00091542i,0.0013063+0.00097096i,0.00083921-0.00013445i,-2.7587e-05-0.00094611i,-0.00093131-0.00020452i,-0.0017944+0.00092872i,-0.001973+0.00087384i,-0.0012259+8.3021e-06i,-0.00071653-0.00082695i,-0.00019962-0.00066666i,-0.00032333-0.00049434i,-0.00039788-0.00027034i,-3.6059e-05+3.6203e-05i,-1.4871e-05+0.00037072i,-0.00081629+0.0010839i,-0.0010393-3.1326e-05i,-0.00093921-0.00090908i,-0.0006421-0.00075329i,-0.00065833-0.0010533i,-0.00020141-0.00049765i
0.00079907-0.0020563i,0.00075379-0.00015053i,0.00053687+9.0367e-05i,-0.00027477-0.00025063i,-0.00089108-0.0006264i,-0.00069523-0.000891i,-0.00018585-0.0010941i,0.00011339-0.00028081i,0.0001646+0.00075059i,0.00020031+0.00062442i,0.00070899+0.00018953i,0.00037109+0.00072054i,0.00093943+0.00063099i,0.0014772-0.00042361i,0.0008523-0.0010984i,0.0013381-0.0011308i,0.0017188-0.001179i,0.00081749-0.00083335i,-2.9833e-05-0.00065403i,2.5632e-05-0.00067444i,-0.00075879-0.00050213i,-0.0013694-0.00061095i,-0.0011701-0.00048882i
0.0020641-0.00058165i,0.0026966+0.0015802i,0.0020082+0.0014976i,0.00064295+0.00069224i,-0.00041468-0.00013908i,-0.00039962-0.00076677i,-0.00071419-0.00037977i,-0.00037113-0.00010055i,0.0010677-0.00016118i,0.0017623-0.00012551i,0.0013721+0.00061305i,0.0013609+0.00079488i,0.00094655-0.00012127i,0.00046063-0.00076775i,-0.0005056-0.00062687i,-0.0008566-0.00088447i,-0.00060213-0.0007722i,-0.00030978-0.00062023i,-0.00039703-0.00033061i,-0.0015472+0.00074587i,-0.0018195+0.00094557i,-0.00078217+0.00020946i,-0.00028091-0.00021076i
0.0008995-0.0015098i,0.0024259-0.003043i,0.003164-0.0026533i,0.0026768-0.0022016i,0.0013232-0.0024426i,0.00024135-0.0026702i,-0.00011709-0.0016074i,-0.00024748-0.00046766i,-0.0002998-0.00044428i,0.00026493-0.0008735i,0.00070203-0.00063926i,0.00099669-0.00049166i,0.0008328-0.00051496i,0.00036263-0.00027006i,0.00056922+0.00061701i,0.00026333+0.00052923i,-0.00033618-5.3348e-05i,-3.9566e-05+0.0001896i,0.00060734+0.00016901i,-0.00058856+0.00015398i,-0.00154+0.00023922i,-0.0012039+0.00034866i,-0.00034316+0.00061903i
-0.0016088+0.0008767i,-0.0011653-0.0003297i,0.00019667-0.00039273i,0.00058785-0.00016263i,0.00096057-0.0011306i,0.0011943-0.0018056i,0.00050581-0.0019012i,-0.00034833-0.0017553i,-0.00043268-0.0015135i,1.5049e-05-0.0012288i,0.00012804-0.0010801i,-0.0002982-0.0010082i,-0.00034279-0.00029487i,-0.00056029+0.00038278i,-0.00050708+0.0012227i,-0.00042778+0.0015707i,-0.00069326+0.0005438i,-0.00012543-0.00049166i,2.846e-05-0.00065522i,-0.00038962-0.00021464i,5.7236e-05-0.00022972i,0.00041565-0.00071513i,-9.3226e-05-0.00034189i
-0.0002293+0.0020089i,-0.001124+0.00060445i,-4.468e-05-0.00036994i,0.00067929-0.0014763i,0.00097076-0.002501i,0.00059269-0.00262i,5.6297e-05-0.0014852i,-0.00011063+0.00018585i,-0.00027671+0.0015303i,0.00019303+0.001645i,-0.00012191+0.0012737i,-0.0010622+0.00054095i,-0.00094984+0.0003349i,-0.00062312+0.0010435i,0.00017921+0.00089049i,0.0014045+0.00013748i,0.001419-0.00021179i,0.00011863-0.00047276i,-0.00036216-0.00034555i,-0.00035168-0.00026169i,1.5392e-05-0.00071859i,0.00029154-0.00027087i,-0.00023501+0.00060675i
0.0022362+0.0051973i,0.0026391+0.0059146i,0.001901+0.003189i,0.00208+0.00088246i,0.0016251+1.7342e-05i,0.00080384-0.0013524i,0.00020052-0.0017853i,-0.00035652-0.00053562i,-0.00013363+0.0013156i,0.00086495+0.0023657i,0.00095782+0.002314i,0.00036954+0.0016207i,0.0015411+0.00053972i,0.0010895-0.00054551i,-0.00067047-0.00055457i,-0.00052264+0.00057383i,0.00032638+0.0016629i,0.00054901+0.0012527i,0.0006792+0.00035007i,0.00050833+0.00026897i,-0.0003935+4.0519e-06i,-0.0012079+5.797e-05i,-0.00096258+3.642e-05i
-8.5304e-05-0.0028957i,-0.00057628-0.0007803i,-0.0019191+0.00074077i,-0.0017536+0.0016695i,-7.0249e-05+0.0016367i,0.0010018+0.00021151i,0.00064028-0.0006299i,-0.00022503-3.8273e-05i,0.00071638+0.0011948i,0.0021862+0.0014186i,0.0027065+8.0723e-05i,0.0026066-0.0006484i,0.0018152-0.00096194i,0.0011417-0.00098182i,0.00088282-0.00072371i,0.0003057-0.00083774i,0.00016162-0.00057395i,0.00032356-9.2791e-05i,-0.00035754-2.9874e-05i,-0.00077669-0.00023321i,-0.00023741-0.00039108i,-7.3052e-05-0.0003515i,-0.00027055+2.8123e-05i
0.00033402-0.00088244i,0.0021615-0.00067205i,0.0024476+0.00045203i,0.0016039+0.00061075i,0.00069867-0.00023853i,0.00020318-0.0011726i,0.00068174-0.0014233i,0.00077309-0.0010578i,0.00094409-0.00063358i,0.002088-0.0010302i,0.0024282-0.0013117i,0.0017719-0.00067857i,0.0011318-0.00088075i,-7.163e-05-0.0013204i,-0.00098762-0.00010255i,-0.00099464+0.00084833i,-0.0002417+0.00021926i,0.00041967-0.0003743i,-5.0871e-05-0.00058277i,-0.00093694-0.00015662i,-0.0007272+0.0004816i,-0.00059862+0.00084219i,-0.00079822+0.00096462i
-0.0022468-0.00056941i,-0.00097305-0.0021134i,0.0018418-0.0016343i,0.0021466-0.00075624i,0.0010182-0.00049102i,0.00097187-0.00099013i,2.696e-05-0.0012788i,-0.00043974-0.0010384i,-0.00010663-0.00096606i,-0.00053935-0.0021618i,-0.00010744-0.0018624i,0.00021923-0.0005374i,4.2353e-05-0.00041164i,-0.00055028+1.8321e-05i,-0.00054175+0.001272i,4.47e-05+0.0012004i,0.00069772+0.00017374i,0.0011335+0.00017489i,0.00060966+0.00080982i,-0.00029686+0.0011051i,-0.00038631+0.0011285i,5.8431e-05+0.00069835i,0.0010026-0.00039618i
-0.0024343+0.0021333i,-0.003388+0.00094722i,-0.0018076-0.00043712i,0.00090952-0.00078148i,0.0017356-0.0012301i,0.00091395-0.0012589i,-2.4325e-06-0.00076656i,-0.00095844-0.00037868i,-0.0014188+1.2625e-05i,-0.0013554+7.1862e-05i,-0.001472+0.00019379i,-0.00025912+0.00032118i,0.0011527+0.00033724i,0.0010735+0.00048771i,0.0009697+0.00050313i,0.0004994+0.0002595i,-0.00022048+0.00040288i,6.2329e-05+0.00073546i,0.00062932-0.00034163i,0.0013394-0.0014266i,0.0013351-0.0010515i,0.00062648-0.00097437i,0.00052366-0.0018413i
0.00070339+0.0020679i,-0.0018953+0.0031902i,-0.0027526+0.0017281i,-0.002278+0.00016492i,-0.0017148-0.0010553i,-0.0013218-0.0010141i,-0.0011548-0.00056472i,-0.00062353-0.00038823i,-0.0004358+0.00010925i,-0.00032143+0.00078223i,-0.00028849+0.00069563i,0.0002925+0.00044437i,0.001226+0.00092417i,0.0014503+0.00087675i,0.0014857+0.00024727i,0.0016336-3.1742e-05i,0.00066693-0.00056128i,-0.00029962-0.00071171i,-0.00060366-0.00013223i,-0.00032817-0.00053703i,-0.00053023-0.0010129i,-0.00065918-0.00050475i,-0.00024163-0.00031477i
0.0030887-0.00032429i,0.0030557+0.0016812i,0.00098646+0.0027151i,0.0010808+0.0022972i,0.0020526+0.00099677i,0.0011427+0.00029928i,0.00020661-0.00024632i,0.00068521+0.00013565i,0.0017867+0.00095257i,0.0022947+0.00054015i,0.0018641+0.00028253i,0.0011014+0.00038501i,0.00096273-0.00027892i,0.00095049-0.0016035i,0.00077729-0.0021262i,0.0010258-0.0011884i,0.00099131-0.00017217i,0.00068771-0.00026389i,0.00068855-0.00082995i,0.00074328-0.0010324i,-0.00059772-0.0010228i,-0.0011702-0.00066116i,-0.00071863+0.00016985i
0.0013593-0.0011159i,0.004006-0.00030156i,0.0042526+0.0014422i,0.002515+0.0010757i,0.00073495-7.5312e-05i,0.000605-0.0012201i,0.00061823-0.0017942i,0.0010898-0.0012468i,0.0023504-0.0010759i,0.0030968-0.0017197i,0.0027396-0.0013911i,0.0020188-0.00014734i,0.0013235-1.7444e-05i,8.9109e-05-0.00078865i,-0.00068049-0.00041992i,-0.0011405+0.0001851i,-0.001468-0.00042741i,-0.0012493-0.00097174i,-0.0006617-0.0001734i,-0.00090774+0.00016764i,-0.00073487-0.0003998i,0.00023585-0.00029519i,0.00060612+0.00030053i
-0.0033281-0.0033552i,-0.0019706-0.003911i,0.00027124-0.001767i,0.0019792-0.00091315i,0.0028256-0.001473i,0.0019794-0.0012789i,5.4248e-05-0.0014482i,-0.0007896-0.0019523i,-0.0013005-0.0012903i,-0.001224-0.0013685i,-0.00030777-0.0020457i,0.0003527-0.0017976i,-0.00021717-0.00090135i,-0.00086557+7.9547e-05i,-0.00064333+0.00094682i,1.2656e-05+0.0007393i,0.00018234+0.00051007i,-2.9313e-05+0.0002421i,-0.00022427-0.00019821i,0.00017305-0.00041594i,0.00035273-5.3332e-05i,0.00018942+0.00030679i,0.00055655-0.00020795i
-0.0050687+0.00020025i,-0.0056129-0.00038482i,-0.0038111-0.00068054i,-0.0014108-0.0003585i,0.00047803+4.0546e-05i,0.00091209+0.00076599i,7.8828e-06+0.00031283i,-0.0007961-0.00081283i,-0.0016587-0.00080543i,-0.0019021-0.00020525i,-0.0020584-6.4958e-05i,-0.001477-0.00071131i,-0.0010137-0.00080556i,-6.463e-05-9.5812e-05i,0.00054576+0.00046275i,0.00089366+0.00050931i,0.0011829+0.00046861i,0.00055983+0.00021169i,-4.982e-05+0.00013094i,-0.00026042+5.4245e-05i,0.00063063-8.1693e-06i,0.0006258+0.00025926i,0.00012525+0.0002577i
0.00025835+0.0032193i,-0.001326+0.0025624i,-0.0017611-2.7653e-05i,-0.0013397-0.0015614i,-0.00096239-0.0015069i,-0.00068831-0.0020535i,-0.0010342-0.0010457i,-0.0014334+0.00081708i,-0.0012055+0.0020632i,-0.00060771+0.0019612i,-0.00033953+0.0013925i,-0.00030011+0.0010379i,-0.00010061+0.00067947i,0.00044631+0.00074597i,0.00019066+0.00047313i,0.00068724+0.00032687i,0.0010175-0.00045299i,0.00051874-0.00084802i,0.00057545-0.00011551i,0.00028079-0.000112i,-0.00029725-0.00055116i,-0.00024512-0.0007475i,-5.3073e-05-0.00037143i
0.0054361+0.00012335i,0.0053008+0.0025763i,0.0015327+0.0022811i,-0.00042591+0.0012642i,-0.00082759+0.00032278i,-0.0011374-0.00056461i,-0.00029622-0.0006312i,0.00093557+3.2757e-05i,0.0015531+0.00088522i,0.001479+0.0011494i,0.0015093+0.0014175i,0.0012521+0.0014698i,0.0004942+0.00068357i,0.00058869+0.00066937i,0.0009692+0.00065117i,0.00091626-4.4033e-05i,0.0013774-0.00055188i,0.00070657-0.00085623i,-0.00014129-0.00081896i,2.0011e-05-0.00091597i,-0.00028101-0.00071546i,-0.00091576+4.9396e-05i,-0.0007745+0.00067263i
0.0030973-0.0032204i,0.0044036-0.0021558i,0.0033466-0.00023926i,0.0020038+0.00021807i,0.0015285-0.00049441i,0.00095476-0.00055797i,0.00011629-0.00042979i,0.00083711-1.592e-05i,0.0020133+0.00021301i,0.0024104-0.0013669i,0.0019427-0.0020502i,0.00080263-0.0012231i,0.00017358-0.0011271i,0.00017753-0.001385i,0.0008059-0.0017563i,0.00038249-0.0015167i,-0.00068912-0.0010185i,-0.00068767-0.0016481i,6.4232e-05-0.0011411i,-0.00047049+0.0001408i,-0.0010132+0.00032074i,-0.00060584+0.00055457i,-0.00052458+0.0010009i
-0.0029454-0.0019903i,0.00054082-0.0034648i,0.0036484-0.0028196i,0.0040582-0.00097456i,0.0022757-0.00062037i,0.00070512-0.0014754i,6.6722e-05-0.0020457i,0.0001076-0.0019975i,0.00075301-0.0014258i,0.00092075-0.0013459i,0.0011856-0.0018926i,0.00074936-0.0017644i,-0.00013348-0.0010254i,-0.0011606-0.00032382i,-0.0018768-0.00053607i,-0.0010327-0.0003528i,-0.00027189+4.2659e-06i,0.00014816-0.00059779i,-1.2572e-05-0.00034895i,-0.00074797+2.761e-09i,-0.0010732-0.00017568i,-0.0005189+0.00034416i,0.00051514+0.00042583i
-0.0042663+0.00054274i,-0.0051582-0.0030116i,-0.0017408-0.0041614i,0.0013973-0.0031539i,0.0012008-0.0032087i,-6.4895e-05-0.0028388i,-0.00065787-0.0013355i,-0.00054824-0.00027936i,-0.00071213-0.0005726i,-0.00050686-0.0013115i,-0.00028268-0.0013457i,3.5339e-05-0.00059586i,0.00011103+8.0989e-05i,-0.0003631-0.0001837i,-0.00042423+1.9056e-05i,0.00047376+0.00063062i,0.00097433+0.0010032i,0.00030977+0.0014632i,-0.0005083+0.001068i,-0.00064468+6.823e-05i,-9.1238e-05+0.00015218i,0.00048673+3.6852e-05i,0.00087838-0.00076377i
-0.0018923+0.0052257i,-0.0044915+0.0041667i,-0.0045145+0.0020363i,-0.0019595+0.00044656i,0.00016525-0.00068355i,5.4355e-05-0.0011167i,-0.0012698-0.00049109i,-0.0019559+0.00056342i,-0.0014138+0.0014575i,-0.00050266+0.0016724i,0.00043899+0.00044105i,0.00056772-0.00095944i,0.00058635-0.0011105i,0.00051662-0.00055043i,0.00036992+0.00015386i,0.00070351+0.00082544i,0.00049875+0.00094093i,0.00035252+0.00081557i,0.00043388+0.00036009i,0.00038695-0.0001657i,0.00048656-0.00026393i,0.00051415-0.0010397i,0.00048129-0.00077971i
0.0045471+0.0035543i,0.0038693+0.0067213i,0.002143+0.0056168i,0.0012016+0.0024863i,0.00065159+0.0003396i,0.00016484-0.00087578i,0.00023744-0.0014177i,0.00068909-0.00041222i,0.0016543+0.0017016i,0.0024235+0.0020262i,0.0014635+0.0011345i,0.00052517+0.0013132i,0.00053215+0.0015233i,0.00022586+0.0012497i,-0.00031741+0.00081249i,7.2375e-05+0.00035516i,0.00065778+0.00079311i,0.00074338+0.00031655i,-7.9532e-05-3.4529e-05i,-0.00068045-6.6813e-05i,-0.00020224-0.00063273i,-0.00028511-0.00035024i,-0.00081896+0.00038117i
0.0062456-0.0028502i,0.0071146-0.0015508i,0.0039757+0.00044428i,0.0010453-0.00032292i,-0.00055393-0.0017613i,-0.0011604-0.0010875i,-0.00026068-0.00011345i,0.00098066-7.0936e-05i,0.002202+0.00013775i,0.0024579-0.00010055i,0.0021169-0.00091065i,0.0017098-0.00055595i,0.00064833-0.00034229i,-0.00010361-0.0010118i,0.00026197-0.0009685i,0.0006328-0.00051302i,-4.1348e-05-0.0008537i,-0.00027476-0.0013181i,-1.1843e-05-0.001292i,-0.00064809-0.0013147i,-0.00072447-0.00098172i,-0.00048766-0.00039206i,-0.00047768+2.9643e-05i
-0.0010326-0.0070861i,0.0018955-0.00894i,0.0037659-0.0048052i,0.0042234-0.00095165i,0.0034607-0.00021536i,0.0018576+0.00022782i,0.0010002+0.00024374i,0.0011679-0.00038273i,0.0010663-0.0011343i,0.0011468-0.0018692i,0.0013545-0.0012709i,0.0011931-0.00065234i,0.00074194-0.00072326i,-0.00028603-0.00048837i,-0.0013429-8.2929e-05i,-0.0012907+0.00034423i,-0.00055841+0.00011025i,-0.00025937-0.00011391i,-0.0012279-0.00062174i,-0.001202-0.00021619i,-0.00035792+0.00048935i,-0.00056703-0.00015836i,-0.00029685+2.7048e-05i
-0.0073652-0.0033724i,-0.0073403-0.0060623i,-0.0047725-0.0064889i,-0.0030391-0.0034435i,-0.0010298-0.00045667i,0.0010136+0.00054234i,0.0005612-0.00029007i,-0.000935-0.0014032i,-0.0013511-0.0017729i,-0.0015482-0.001618i,-0.0012958-0.001204i,-0.00035281-0.00063128i,-0.00018229-5.2604e-05i,-0.00062505-0.00022509i,-0.00079416-0.00026617i,-0.00061956-0.00017082i,-0.0004168-0.00026782i,0.00016235-4.4352e-05i,0.00020332+0.00070902i,-0.00025857+0.00077634i,-0.00043277+0.00059598i,0.00057125+0.00054752i,0.0013832+0.00062412i
-0.0043473+0.0035561i,-0.0089021+0.0032506i,-0.0092823+0.00021983i,-0.0045453-0.00095829i,-0.00090914-0.00018241i,-0.00053279+0.00056106i,-0.00052577+0.00058973i,-0.00075521+0.00040792i,-0.001163+0.0006989i,-0.00076351+0.0009614i,-0.00063571+0.00027261i,-0.0006139+0.0003331i,-0.00045125+0.00071925i,0.00011403+0.00032487i,0.0004455+0.00018087i,0.00041886+0.00014572i,0.0010351-0.00039286i,0.0010099-0.00058629i,6.0382e-05-0.00028686i,0.0005449-0.00027481i,0.0016963+5.4878e-05i,0.0014784+6.4132e-05i,0.0015556-0.00032542i
0.0030642+0.0035594i,0.00065163+0.0064081i,-0.0024201+0.0057832i,-0.0025+0.0023219i,-0.0013626+0.0005869i,-0.00039977-9.4545e-06i,-0.00056148+0.00067998i,-0.00054987+0.0019956i,0.00044675+0.0025012i,0.00091637+0.0023869i,0.00047342+0.0019173i,9.5956e-05+0.0017455i,0.00043342+0.00073754i,0.0011492-0.00025448i,0.0010478-0.00011833i,0.00074993-0.0002447i,0.00081151-0.00030468i,0.00051902-6.4521e-05i,0.00019979-0.00022059i,-0.0001539-0.0009913i,-0.00097266-0.00073517i,-0.00099877-6.1361e-05i,-0.00027907+0.00020957i
0.0056788-0.00022917i,0.0077574+0.0037585i,0.0060324+0.0074895i,0.0035268+0.0058141i,0.0026071+0.00073068i,0.0028364-0.0013701i,0.0018092-0.00056159i,0.00067053+0.00048032i,0.0011928+0.00096944i,0.0021996+0.00044718i,0.0015192-0.00018554i,0.00035991-0.00033107i,-8.644e-05-0.00034262i,-0.00038028-0.00022338i,-0.00076151-0.0004605i,-0.001134-0.00075048i,-0.00050861-0.00064531i,0.00044069-0.00032959i,0.00066419-0.00072128i,0.00046404-0.00072811i,0.00061881+0.00020615i,-0.00065348+0.00096562i,-0.0015375+0.0005567i
-0.00030441-0.0073319i,0.0040148-0.0084021i,0.0055917-0.0043378i,0.0034748-0.00099963i,0.0017569-8.9661e-05i,0.0014501-0.00069815i,0.0014251-0.00108i,0.0018238-0.00066066i,0.0023395-0.00065386i,0.0018811-0.0008167i,0.0017328-0.0010155i,0.0020962-0.0005435i,0.0014869-0.00023595i,0.00069589-0.00025529i,0.00061349-4.859e-05i,0.0002476-0.00038791i,0.00011346-0.0011518i,-0.00010012-0.0015742i,-0.00041767-0.00095242i,-0.00037063-0.00017739i,-0.00052436+0.00038666i,-0.00060619+0.00093035i,-3.9565e-05+0.0017969i
-0.006599-0.0022109i,-0.0040754-0.0058392i,0.00099147-0.0057955i,0.0030168-0.002835i,0.0016181-0.0014123i,0.00054014-0.0020216i,0.00053991-0.0029335i,0.00058012-0.0031629i,0.0010436-0.0024765i,0.0010684-0.0014989i,0.00069948-0.00097295i,0.0011641-0.0011164i,0.0015948-0.00061593i,0.00072485-0.00019188i,0.0005461+0.0002975i,0.00070604+0.0010408i,0.00047471+0.00060732i,0.00034016+0.00025007i,8.7507e-06+2.948e-05i,-3.165e-06-0.00055573i,0.00011366+8.9436e-05i,0.00026341+0.00039298i,0.00095256-0.00044117i
-0.0069272+0.0030701i,-0.010024+0.0014833i,-0.0075001-0.00098896i,-0.0022064-0.0015399i,0.00058693-0.00086437i,0.00017657-0.0010703i,-0.00089028-0.0018538i,-0.0020604-0.0014943i,-0.0024986-0.00040384i,-0.0015021+0.00041313i,-0.0010366-4.6733e-05i,-0.00091219-0.00065461i,-0.00065318-0.00086239i,-0.00063128-0.0004332i,-0.0009786+0.00042005i,-0.00090005+0.00037224i,-0.00047862-0.00021716i,-0.00045054-0.00042679i,-0.00096936-0.00061047i,-0.00086093-0.00064046i,-0.00036545-0.00061333i,3.473e-06-0.00090605i,-8.8107e-05-0.0012903i
0.0040434+0.006905i,0.00061289+0.009637i,-0.0023327+0.0060897i,-0.0022981+0.0013617i,-0.001051-0.00059873i,-0.0011663-0.0010608i,-0.0023731-0.000438i,-0.0016434+0.0010463i,-0.00059941+0.001952i,5.5637e-05+0.00066829i,0.00051887-0.00044331i,0.00011961-0.00010333i,-0.00059138+0.00047845i,-0.00051792+0.00054175i,0.00041361+0.00082641i,0.00088869+0.00081242i,0.00063575+0.00052348i,8.3749e-05+0.0008851i,-0.00018645+0.00060359i,-0.00047432-0.00033048i,-0.00072708-0.00083297i,-0.00017743-0.0012669i,0.0003007-0.00064114i
