-1.3771e-05+0.0015015i,3.7375e-06-0.00044131i,0.00044397-0.00034649i,-0.00010396-0.00017759i,-0.00018599+0.00030157i,6.0027e-05+0.0016698i,0.00022469+0.0011989i,0.0005196+0.00080102i,0.00070701+0.0012202i,0.00076376+0.0001399i,0.00012747-0.00080157i,-0.00013686-0.00010865i,0.00049159+0.00074938i,0.00099677+0.00072815i,0.00046116+0.00021731i,0.00079664-0.00011993i,0.00077918+0.00026813i,-7.666e-05+0.00048239i,0.00014163+0.00024058i,0.0003546-0.00019005i,0.0001753-0.00039942i,-0.00014986-0.00067648i,-0.00033345-0.00070927i
-0.00074695-0.00054667i,-0.0006104-0.0013254i,0.00038719-0.0014i,0.00044644+0.00036056i,6.457e-05+0.0012912i,-0.00012295+0.00098997i,-0.00061094+0.00044236i,-0.00070022+0.00018941i,-0.00045691+0.00036441i,-0.00050398+0.00021856i,-0.00079441-0.00013009i,-0.0008999-0.00031749i,-0.00034966-0.00030192i,0.00055778-3.3066e-05i,0.000717-0.00011791i,3.8061e-05-0.0003582i,-0.00047243-0.00016642i,-0.00065622+0.0001742i,-0.00041971-1.095e-05i,-0.00023558-0.00012644i,0.00015031+0.00011591i,0.00057452+0.00029111i,0.00055199-0.00034024i
0.00094528+0.0010885i,0.00072297+0.00015927i,0.0020655-0.00027529i,0.0023602-0.00019531i,0.00069499-0.00050641i,0.00040896+8.9322e-05i,0.00077739+0.0010113i,0.00020196+0.0014235i,0.00024105+0.0017315i,0.0002657+0.001323i,-8.4933e-05-0.00032389i,0.00027137-0.00055733i,0.00099221-0.00012384i,0.00069505+0.0010651i,-1.4399e-05+0.0010727i,0.0001394+0.00026316i,0.00047085+0.00028679i,0.000239+0.00053511i,-4.1778e-05+0.00058112i,2.17e-05+0.00042059i,-0.00013627+0.00016646i,-0.00069342-0.00015207i,-0.00105-0.00022477i
-0.0017741+0.0010818i,-0.001503+0.0017406i,-0.00077671+0.0026824i,0.0011094+0.00279i,0.0021841+0.0017416i,0.0018366+0.00071578i,0.0011387-0.00036508i,-0.00010129-0.00081502i,-0.00085381-9.8847e-05i,-0.00069884+0.00053578i,-0.00039201+0.00057669i,1.0321e-05+0.0005754i,-0.00041887+0.00051623i,-0.00073777-0.00011673i,-0.00041684+0.00011741i,0.00036594+0.00061183i,0.0010126-0.00073866i,0.00060974-0.0017626i,-0.00060482-0.00097809i,-0.0011738-5.7719e-05i,-0.00034179-0.00039371i,0.00036972-0.00017954i,0.00044106-1.881e-05i
-0.0017636-0.00023222i,-0.0022374+0.00049439i,-0.0033695+0.0013165i,-0.0023364+0.0021388i,0.00061524+0.0014652i,0.0013829+0.00053457i,0.00092563-0.00016927i,0.00091499-5.1889e-05i,0.00062137+8.2598e-06i,0.0005746-0.00016915i,0.00035271+0.00053755i,6.4917e-05+0.00060414i,0.00082138+2.7221e-06i,0.0019669+1.4628e-05i,0.0016667+1.1909e-05i,0.00017207-1.297e-05i,-0.00066676+2.7879e-05i,-0.00093315+0.00012318i,-0.00092532-0.00049257i,-0.00065875-0.0014347i,-0.00058884-0.0013861i,-0.00076136-0.00069221i,-0.0002984-7.4969e-05i
0.0010526-2.785e-05i,0.00083332-0.001288i,0.0015632-0.0020458i,0.001658-0.0013796i,0.00099102-0.0008027i,0.00018709-0.00074611i,-7.6346e-05+0.00024749i,-0.00015481+0.0014164i,-0.00058477+0.0015806i,-0.000519+0.00067809i,-0.00010324-0.00026389i,-1.2693e-05-0.00025192i,0.00046191-2.7592e-05i,7.2553e-05+0.00011974i,-0.00060304-0.00037888i,-0.00043383-0.00090526i,-0.00010579-0.00075255i,4.7887e-05-0.00069629i,2.7773e-06-0.00025069i,-0.00032901+0.00035858i,-0.00023755+0.00056086i,0.00011002+0.00088165i,0.00074133+0.00063637i
0.0019793+0.00047561i,0.0018356+0.00064736i,0.0013232+0.0010758i,0.00065205+0.00034891i,0.0014869+0.00029909i,0.001698+0.00080376i,0.00048538+7.7589e-05i,-0.00025865-0.00071319i,-0.00065089-0.00068148i,-0.00013361-0.00059712i,-3.3376e-05-0.00017348i,-0.00019874-0.00036593i,-0.00015235-0.00093106i,0.00026463+8.4183e-05i,0.00047749+0.0010219i,0.00078119+0.00079813i,0.00097398+7.6059e-05i,0.00054486-0.00016342i,0.00024429-0.00025337i,-0.00028924-0.00072579i,-0.00058707-0.00083358i,-0.00014697-0.00047771i,4.6163e-05-2.8254e-05i
0.0013253+0.000324i,0.0019561+0.00035864i,0.0025566-0.00043691i,0.00233-0.0011476i,0.0019171-0.0010426i,0.0015713-0.00018451i,0.0013019-0.00016517i,0.0011556-0.0001671i,0.00066065+0.00026163i,0.00060715+0.00022969i,0.00095459+0.0003657i,0.00084153+0.00039265i,0.00038582+0.00025187i,-0.00037756+0.00076584i,-0.00068703+0.0011431i,0.00024967+0.00048777i,0.00090844+5.07e-05i,0.00089198-0.00073129i,0.00047661-0.0014452i,-0.00013058-0.00054441i,-0.0009308+0.00045477i,-0.00079049+0.00075711i,7.6663e-06+0.00059405i
0.00032135+0.0023765i,0.00013972+0.0032274i,0.00059713+0.0031845i,0.0003793+0.0017724i,0.00037867+0.00010523i,0.00064819+0.00065739i,0.00014235+0.0011749i,-0.00088128+0.0010578i,-0.00064374+0.00016001i,-8.2611e-05-0.00014527i,-0.0002658+0.00084659i,0.00021712+0.0006645i,0.00053774-0.00047829i,-0.00030657-0.00090666i,-0.00090269-0.0003737i,-0.0003198-0.00030829i,-0.00072363-0.00087171i,-0.0010769-0.00087839i,-0.00052697-0.00015433i,-0.0010492+8.1049e-05i,-0.00092021-0.00017194i,2.0686e-05+0.00019484i,-0.00016329-4.7957e-05i
-0.0014904+0.002056i,-0.0014584+0.0014489i,-0.0017195-3.7927e-05i,-0.00088154+0.00054498i,0.00047577+0.00070434i,0.00079242+0.00010967i,0.00018402-0.0002231i,-0.00030844-0.0011406i,-0.00012346-0.0014699i,0.00047128-0.00063956i,0.00032645+0.00031106i,0.00059244+0.00071735i,0.00053947+0.00052487i,7.6815e-05+0.00060184i,7.6386e-05+0.00083217i,1.9707e-05+0.00075043i,-0.00024199+0.0010963i,-0.00027593+0.00078388i,4.1208e-06+0.00036681i,-0.00049988+0.0010232i,-0.00072129+0.0011664i,-0.00049152+0.00065697i,0.00045649+0.00069517i
3.4959e-05+0.00082629i,-0.00042642+0.00030614i,0.0005403-0.0014973i,0.00081242-0.0026912i,-5.8342e-05-0.0019365i,-0.00064251-0.00043203i,-0.00057651+0.0011783i,-2.9484e-05+0.0014431i,3.4186e-05+0.00025947i,3.1799e-05-0.00066691i,-0.00010142+7.5166e-05i,-0.00044681+0.00091848i,-0.00080159+0.00055807i,-0.0014153+0.0007858i,-0.0013379+0.0013691i,-0.00085836+0.00082595i,0.00012702+0.00033942i,0.0011537+0.00072261i,0.0015673+0.00091862i,0.0016334+0.00090821i,0.001003+0.00038776i,7.3382e-05-0.0004564i,-0.00021526+6.4112e-06i
-0.0010319-0.00022653i,7.304e-05+0.00065022i,0.0019355-0.00033261i,0.0028009-0.00086052i,0.0019323+0.00029776i,0.0017783+0.0015223i,0.001776+0.0015401i,0.00083145-7.9912e-05i,0.0005463-0.00043857i,0.00067631-5.0883e-05i,0.00037795-0.00041232i,2.5049e-05-0.00062092i,-6.83e-05-0.00026073i,-0.00080465+0.00037562i,-0.0013104+0.00089261i,-0.00052426+0.0011774i,6.7405e-05+0.00097972i,-0.00019305+0.00042344i,-0.00036115-4.158e-05i,-0.0003284-0.00035902i,0.0002866-0.0003462i,0.00044501+0.00011316i,-0.00016851+0.00039372i
-0.00040509+0.0022903i,0.00089414+0.0026339i,0.0017611+0.0033806i,0.0024715+0.0025891i,0.00196+0.0006083i,0.00091897-0.00060074i,0.00053508-0.00037911i,-0.00045076+2.9493e-05i,-0.00069025+0.00066282i,0.00030635+0.0013134i,0.0013588+0.00075057i,0.00088218+0.00029783i,-0.00012705+0.0008611i,-0.00044722+0.00020121i,-0.00011805-0.0005779i,0.00012794-0.00051893i,5.484e-05-0.00011562i,-0.0003574+0.00053784i,-0.00041936+0.0012782i,7.5924e-05+0.001345i,0.00048936+0.00047711i,0.0010647+0.00070922i,0.0013382+0.00097614i
-0.0013276-0.00063083i,-0.00084007-0.0002911i,-0.00089636+0.00091509i,-0.00050095+0.0027118i,8.5428e-05+0.0022071i,0.00055375+0.0012169i,0.0011638+0.00065216i,0.00057941-6.2308e-05i,-0.0001592+1.3335e-05i,0.00073915+0.00036378i,0.0016225+0.00055407i,0.00086229+0.00097601i,0.00013263+0.0016086i,4.0358e-05+0.00092516i,0.00054683+0.00058226i,0.00044983+0.0012115i,-0.00060508+0.0012233i,-0.0008352+0.00061011i,-0.00049221+0.00019601i,-0.00029757+4.9566e-05i,-0.00024902+0.00033518i,-6.3188e-05+0.0004979i,0.0002054+0.00025058i
0.0010329+0.0014992i,0.00095951+0.0010531i,0.0009476+0.00055205i,-0.00061085-8.6435e-05i,-0.00022895-0.0012545i,0.0010855-0.0016428i,0.0012791-0.0012372i,0.00061461-0.00040523i,0.00020813+0.00029193i,0.00025678+0.00018374i,-0.00034704-0.00053921i,-0.00079698-0.0010421i,-0.00071562-0.00074961i,-0.0011217-0.00057023i,-0.0016014-0.00083744i,-0.0006674-0.00066093i,5.807e-05+0.00019859i,-0.000425+0.00015649i,-0.00038473-0.00016479i,5.4502e-05+0.00011356i,0.0002482+0.00039472i,0.00067579+0.00047777i,0.0011347+0.0008592i
-0.0018742+6.39e-05i,-0.00096503+0.0012254i,4.4704e-05+0.0010684i,0.0017383+0.00040206i,0.0030123+0.0010806i,0.0026129+0.0019602i,0.0011948+0.00078703i,4.3569e-05-0.0010061i,-0.00064276-0.0004695i,-0.00042659+0.00098117i,-0.00022572+0.0011102i,-0.00049308+0.00033001i,-0.00075338-0.00010094i,0.00014203-0.00085756i,0.0012239-0.00085013i,0.0017386-6.0114e-05i,0.0012425+0.00055202i,-0.00030061+0.0011029i,-0.0012216+0.00055361i,-0.0006967-0.0002355i,0.00032003-0.00052323i,0.00092536-0.00010032i,0.0010447+0.00020447i
0.001746-0.00026385i,0.0016968-0.0007729i,0.0018949-0.00052128i,0.0013717+0.00033859i,0.00094012+0.00066617i,0.0015529+0.00054841i,0.0015985+0.00053431i,0.00052163-0.00011578i,2.4962e-05-0.00088962i,0.00013422-0.0007239i,0.00034764-2.2839e-05i,-0.00023547+0.00058477i,-0.00048444+0.00063947i,-0.00017642-3.7784e-05i,0.00033095-0.00022503i,0.00041925+8.0555e-05i,-1.7815e-05+0.00025779i,-0.00062182-5.9924e-05i,-0.0011385+0.00016173i,-0.001034+0.00021709i,-3.6308e-05-0.00078373i,0.00037451-0.0015672i,0.00037265-0.001158i
0.00012064+0.00039923i,0.0004367+0.0015575i,0.0010277+0.0015708i,0.00077993+0.001983i,0.0006578+0.0024453i,0.00048676+0.0022663i,0.0001413+0.00067803i,0.00054633-0.00040376i,0.0012611+1.7622e-07i,0.0011806+0.00027672i,0.00038571+0.00024762i,0.00038374+0.00048697i,0.00077242+0.00022421i,0.0011904-0.00028179i,0.0014438-0.00062537i,0.0013451-0.00085067i,0.00041593-0.00088703i,-0.00096257-0.00050487i,-0.0010649-0.00067539i,-0.00034021-0.00039848i,7.4467e-05+0.00027554i,-1.6509e-05+0.00080842i,9.3503e-05+0.00010042i
0.0005902+7.6423e-06i,0.00037844+0.00010215i,0.0005407-3.57e-06i,0.00038567+0.00048294i,0.0011055+0.0011372i,0.0025784+0.0014894i,0.0027219+0.0011024i,0.0020895+0.00066777i,0.0010734+0.00035118i,0.00065352+0.00074605i,0.00033292+0.00092617i,-0.00019534+0.0010423i,0.00047614+0.0002961i,0.0012279+1.6105e-05i,0.00085886+0.00064579i,0.00060061+0.00064834i,0.00090252+0.00020165i,0.00091328-0.00090397i,9.7414e-05-0.0014884i,-0.0002699-0.0013066i,-0.00010759-0.00083932i,-1.2822e-05-0.00051862i,0.00033144+0.00045606i
-0.00021823+0.0021193i,0.00077081+0.0024331i,0.00087664+0.0017227i,0.0013288+0.0011245i,0.0019553+0.0015932i,0.0015477+0.0007338i,0.00041008-0.00026397i,-0.0001684-6.9254e-05i,-0.00043806+0.00084066i,-0.00071564+0.0010502i,-0.00046973-0.00026789i,-0.00062415-0.0021032i,-0.00040519-0.0025159i,0.00081979-0.00073055i,0.0010997+0.00082922i,0.00048224+0.00064709i,0.00066-4.1199e-05i,0.00083971-3.0519e-05i,-6.0824e-05+0.00017219i,-0.00024385+0.00024708i,-0.00026765+0.00065436i,-0.0012103+0.00046201i,-0.0011514-0.00037994i
0.00044925+0.00083397i,0.0017993+0.0013863i,0.0024329+0.00093157i,0.0012983-0.00017984i,0.00048871-0.00011768i,0.00044129+0.00051727i,6.3009e-05+0.00037031i,-0.00026047-0.00029996i,-0.00013689+0.0001712i,0.0005385+0.00018073i,0.0011987-0.00047405i,0.00061126-0.00028767i,0.00018415+0.00021399i,0.00045539+0.0001505i,0.00082606-0.00027017i,0.00014055-0.0005618i,-0.00066988-0.00079292i,-0.00056082-0.00034421i,-0.00065401-0.00013343i,-0.0004018-2.8653e-06i,0.00020081-0.00034112i,0.0008922-0.00042083i,0.00063894-0.00043487i
-0.002384+0.0019565i,-0.00045257+0.0028283i,0.0018987+0.0036386i,0.0026221+0.0015419i,0.0031128-0.00051058i,0.0022457-1.3404e-05i,2.3759e-05+0.00022768i,-0.0012166-0.000308i,-0.0010493-0.0002368i,-0.0010838-9.3259e-05i,-0.00047342-0.00037974i,-0.00051093-0.00048706i,-0.0010848-0.00062911i,7.1226e-05-0.00043473i,0.0008685-0.00048901i,0.00093071-0.00049954i,0.001073-0.00019184i,0.00092137-0.00041998i,-6.7923e-05-0.0011865i,-0.00067654-0.0010973i,0.00020245-8.8334e-06i,0.00027145+0.00058843i,-0.00024798+0.00031718i
-0.0017132+0.0013861i,-0.0015508+0.0025086i,-0.0010499+0.0029069i,0.00013301+0.0025811i,0.0010333+0.0013822i,0.0015264-0.00029871i,0.0010645-0.00075271i,0.00046491+0.0004286i,-0.00035916+0.0011627i,-0.00029351+0.0010473i,-0.00025959+0.00043249i,-0.00051999+0.00028875i,0.0005566+0.00036507i,0.0017689+0.00053375i,0.0011587+0.00041803i,0.00027817+0.00023691i,0.00019187+0.00019029i,0.00078484-0.00034007i,0.00090073-6.9385e-05i,0.00023051+0.0001864i,0.00020236-8.8054e-05i,0.0002341-0.00011804i,0.00075453+0.00013887i
0.00077065-0.0022137i,-2.3682e-05-0.002679i,-0.0012837-0.0015446i,-0.0017286-0.0012095i,-0.00086497-0.0013632i,0.0004033-0.0011836i,0.00065416-0.00023504i,0.00054774-0.00046334i,-5.5722e-05-0.00046676i,-0.00015595+0.00014618i,2.306e-05+0.00019051i,0.00012956+0.00014231i,0.00055532+0.00042547i,0.0012338+0.0012324i,0.0012102+0.0018629i,0.00061827+0.0012374i,0.00028621+8.7887e-06i,0.00019758-0.00028612i,0.00030357+0.00028263i,0.00065096+6.2069e-05i,0.00021057-0.00023704i,-0.00011231-0.00012197i,-0.00032564-0.00020701i
0.00062745+0.0014552i,0.00096607+0.0016311i,0.0012933+0.0015682i,0.0021623+0.0020522i,0.0030097+0.0017012i,0.0028372+0.00024215i,0.001525-0.0007465i,-0.00023782-0.0008373i,-0.0014814-0.00028519i,-0.00093033+0.00088762i,-0.00026345+0.0010802i,-0.0011482-1.5797e-05i,-0.0010985-0.00038705i,0.0004594+0.00028918i,0.00098703+0.00047042i,0.0010538+0.00085919i,0.0010255+0.0015102i,0.0008223+0.001296i,0.00057221+0.00010046i,-0.00065153-0.00017215i,-0.00070241+0.00053398i,1.1808e-05+0.00052207i,-5.9373e-05+0.00075769i
0.0019879+0.00098941i,0.0021871+6.76e-05i,0.0018347-0.0003315i,0.0020211+0.00047611i,0.0015743+0.0010168i,0.00084+0.00090703i,0.00060575+0.00034407i,0.00047783+1.8242e-07i,0.00039358-9.277e-05i,0.00025953-0.00015261i,0.00040174-0.0001601i,0.00017401-0.00011242i,-0.00020098+0.00050224i,0.00033128+0.0011676i,0.00040161+0.0013892i,0.00016737+0.0010407i,0.00065784+0.00053958i,0.0013272+0.0010657i,0.0016605+0.0016888i,0.0015599+0.00095819i,0.00097452+0.00017222i,0.00060479+6.6186e-05i,0.00012114-0.00020747i
0.0026141+0.0012615i,0.0019701+0.0019736i,0.0014404+0.00043204i,0.0004543-0.00078587i,0.00055593-0.00088576i,0.00054332-0.00027918i,1.1913e-05+0.0006269i,-0.00076988+0.00097478i,-0.0011705-0.00017768i,-0.00021107-0.00049481i,0.00088029+0.00033462i,0.0009802+0.0006698i,0.0002116+0.0011936i,-0.00062614+0.0016086i,-0.00087403+0.00099203i,-0.0006921+0.00051119i,-0.00020079+4.1053e-05i,0.00048995-0.00015209i,0.0011807-7.9558e-05i,0.00088801-0.0003327i,0.00055233-0.00061571i,0.00081949-0.00036726i,0.00088761-0.00025666i
0.00088393+0.0017086i,0.0015047+0.0020143i,0.0030292-3.141e-05i,0.0032691-0.00057697i,0.0025665-0.00027298i,0.0016138-0.00039491i,0.00068141+0.00080249i,0.00022936+0.00074737i,-0.00017809+6.7235e-05i,-0.0005295-0.00020728i,-0.00036084-0.00013644i,0.00011858+0.00010009i,-0.00022163+0.00073446i,-0.001443+0.0005886i,-0.0018675-0.00024348i,-0.0013482-2.4779e-05i,-0.00026944+0.00049086i,0.00031869+0.00087532i,0.00036166+0.0008313i,0.00030646+0.00048645i,7.4766e-05+0.00032601i,1.9987e-05+0.00079344i,-0.00038647+0.00088746i
-0.0013704+0.00092334i,-0.0010149+0.0012778i,-0.00058056+0.0012306i,0.00018079+0.0012263i,0.00077165+0.0021826i,0.0011379+0.0021102i,0.0008846+0.0011256i,0.00027326+0.00018562i,4.6062e-07+0.00018715i,0.00022611+0.00084491i,0.00049885+0.0010638i,0.00044035+0.00051953i,-0.00015595+0.00046984i,-0.00043225+0.00073604i,-0.00076621+0.0012686i,-0.00096008+0.0012979i,-0.00082478+0.00074023i,-0.00054993+0.0013121i,0.00042547+0.001628i,0.00121+0.00075435i,0.00051836+0.00021703i,0.00034089-4.3291e-05i,-0.00012835+0.00034209i
-0.00045325+0.00050199i,-0.00048506+0.00074535i,-0.0004439+0.00082311i,-0.00012864+0.00010716i,0.00055986+0.00034928i,0.0010213+0.00079147i,0.00063409+0.00054454i,-0.00018412+0.00051717i,-0.00020922+0.00043213i,0.0001446+0.00053048i,-0.00027219+0.00076749i,-0.0010999+0.00071551i,-0.00074886+0.0005857i,-0.0010558+0.00088782i,-0.0014301+0.0010481i,-0.0011095+0.00081878i,-0.00095357+0.00054059i,-0.0010418+0.00060606i,-0.00085712+4.8518e-05i,-0.00046039-0.00039755i,6.9305e-06-0.00067761i,0.0001088-0.00043818i,0.00036579-0.00020863i
0.0012622+0.00038428i,0.0025339-0.00038801i,0.0024099-0.00076784i,0.0012579-0.00086935i,0.00044183-0.00050727i,0.00062014+0.00063134i,0.00029457+0.00086585i,8.596e-05-0.00036077i,0.00029452-0.00023055i,-0.00027875+0.00062498i,-0.00062456+0.00068485i,-0.00050723+4.0502e-05i,-0.00079898+8.7271e-05i,-0.0013356-0.00021126i,-0.0010771-0.00072503i,-0.0016633+9.2765e-06i,-0.002491+0.00070076i,-0.0019419+0.00089542i,-0.00089166+0.0014149i,0.00028603+0.0018341i,0.00046075+0.0013458i,9.9311e-05+0.00069203i,-0.00010137-0.00011167i
-0.0013559+0.00072623i,-0.00056764+0.0017257i,-4.0668e-06+0.0027819i,0.0007598+0.0028013i,0.0018484+0.0020149i,0.0023073+0.00076059i,0.0018549+0.0004155i,0.0015159+2.1006e-05i,0.00062377-0.00059423i,-0.00019098-0.00035922i,-0.00019985+0.00050216i,-0.00030364+0.00028976i,-0.00056312-0.00026949i,-0.00073903-0.0003914i,0.00028494-0.00062969i,0.00061056-0.00065458i,9.5522e-05-0.00045857i,-2.2904e-05+2.8819e-05i,-0.00095747+0.00018369i,-0.0017863+0.00056476i,-0.0014037+0.00074723i,-5.8883e-05+0.00097502i,0.00085979+0.00053305i
0.0021468+0.00013552i,0.0016308-1.1153e-05i,0.0018396+0.00056489i,0.0016918+0.0009358i,0.00070082+2.2014e-05i,6.8879e-05-0.00041196i,-0.00024717+0.00014153i,-0.00036078+0.0011373i,-0.00023104+0.0013637i,0.00050049+0.00049615i,0.00018731+0.0003037i,-0.00092831+0.00034716i,-0.00044565-0.00079611i,0.00066476-0.0012838i,0.00022261-0.00092293i,-4.3189e-05-0.00017244i,0.00015404+0.00044461i,-4.3188e-05+0.00031874i,-0.00032931-8.9652e-05i,-0.00043739+0.00011694i,-0.00025976+3.5976e-05i,-0.00050875+0.00024323i,-0.00094895-0.00026701i
-0.00032379+0.00075043i,0.00012375+0.001587i,-0.00035345+0.0026429i,0.00040421+0.0024892i,0.0026253+0.0010325i,0.0035102+0.0011011i,0.0023344+0.00082819i,0.0011861+7.5434e-05i,0.00066018+0.00073723i,0.00053275+0.0017561i,0.00026937+0.0009878i,-0.00019177-0.00087639i,-0.00041203-0.0026653i,0.00012111-0.0030862i,0.0012256-0.0024888i,0.0012542-0.0014641i,4.2171e-05-0.00094132i,-0.0012101-0.0010797i,-0.0015008-0.00064475i,-0.0008824+3.3655e-06i,4.2405e-05-9.6194e-05i,3.3964e-05-8.032e-06i,-0.0004198+4.4083e-05i
0.00060869+0.001875i,0.0016304+0.0032175i,0.0014544+0.0026364i,0.00070928+0.0004308i,0.00059209-0.00014551i,0.0010397+0.0010285i,0.001567+0.0018501i,0.0014265+0.0013428i,0.00068499+0.00055506i,0.00041131+0.00016413i,-6.3164e-05-0.00014973i,-0.00053667-0.00089116i,0.00028838-0.001402i,0.0012291-0.0012577i,0.0016757-0.00088978i,0.0015112-0.00064717i,0.00073393-0.00058638i,-0.00028458-0.00034038i,-0.0015562-0.00023178i,-0.0013168-0.00043948i,-0.00033465-0.0008069i,-0.00024629-0.00065555i,0.00013556-0.00019379i
0.00053632+0.0018548i,-0.00010992+0.0016847i,-0.00046086+0.0018999i,0.00046781+0.0012199i,0.0016497+1.7865e-06i,0.0016396+0.00039935i,0.00089872+0.0015686i,0.00025362+0.0013065i,0.00042504+0.00074383i,0.00075413+0.00045298i,0.00086001-0.00040887i,0.00067722-0.00097233i,0.0011611-0.00076468i,0.0016346-0.001072i,0.0013031-0.0012127i,0.00062237-0.00077992i,0.00014937-0.001146i,-0.00015082-0.0016004i,-0.00035921-0.00092489i,-0.00042359+0.00027477i,-6.3618e-05+0.00094694i,-2.9648e-05+0.0004464i,0.00039579-6.9759e-05i
-0.0019086+0.00075433i,-0.0012742+0.0011973i,-0.00064392+0.0021539i,0.00013626+0.001934i,0.0012181+0.0011206i,0.001093+0.00052889i,0.00020702+0.00078511i,0.00020489+0.00040333i,0.00072871+0.00017963i,0.00093471+0.00076942i,0.00045109-6.5068e-05i,1.698e-06-0.0013935i,0.0001721-0.00095318i,0.00083109-0.00098636i,0.0016268-0.00068155i,0.0012718-0.00013376i,6.2381e-05-0.00091211i,-0.001271-0.00091531i,-0.0015884-0.00051841i,-0.0011275-0.00045365i,-0.0008609-0.00064861i,-0.00056604-0.0012269i,0.00041905-0.00079142i
-0.00012277-0.00016116i,-0.00013398+0.00052976i,-0.00053893+0.00069264i,-0.00036596+0.00090845i,0.00026427+0.00098179i,0.0010207+0.00087473i,0.0011903+0.001059i,0.0011526+0.00079594i,0.0010118+0.00058777i,0.00082591+0.0004861i,0.00068465-0.0004027i,0.0008508-0.0005576i,0.0015663+0.00037294i,0.0027704+0.0012215i,0.0027035+0.0014903i,0.0022749+0.0004986i,0.0015989-0.00071913i,0.00071884-0.0010649i,3.4584e-05-0.00096146i,-0.00031143-0.00042445i,-0.000434-0.00046938i,0.00052479-0.00053854i,0.00065028-0.00012554i
0.0024686+0.0012036i,0.0015199+0.001187i,0.00099083+0.00023083i,0.00057517-0.00012284i,0.0002369+4.3983e-05i,0.00034853+0.00017854i,0.00086995+7.6024e-05i,0.0011046+4.022e-05i,0.00074914-0.00026269i,0.0004302-0.000811i,0.00071694-0.0012098i,0.0010631-0.00023224i,0.0019068+0.0008637i,0.0024833+0.0017263i,0.0021712+0.0015725i,0.0012677+0.00055933i,0.00096262-0.00085046i,0.0013602-0.001654i,0.00043403-0.00097777i,-0.00090245-0.00016115i,-0.0013004-0.00053001i,-0.0013727-0.00024194i,-0.00091793+0.00054406i
0.00014394+0.0016952i,-0.00024912+0.0017607i,0.00055837+0.0025026i,0.0011395+0.0020158i,0.0009305+0.00066077i,0.0002888+0.00048259i,-0.00073404+0.0010734i,-0.00097509+0.00097475i,-0.00013731+0.00059354i,0.0004347+0.00014315i,0.00090032+0.0001652i,0.0014763+0.0010894i,0.0018395+0.0016642i,0.0016456+0.0015778i,0.0012928+0.0011599i,0.0011969+0.00011806i,0.00083694-0.00087749i,0.00024764-0.00083544i,-0.00051671-0.00018996i,-0.00079915-7.0434e-05i,-0.00010523-0.00069257i,0.00032709-0.00096568i,0.00042796-0.00059712i
0.0002681+0.00079357i,0.00023394+0.001431i,-0.00055441+0.0012922i,-5.0486e-05+0.0014547i,0.00098609+0.0020998i,0.0018397+0.0012124i,0.0013955-6.9391e-05i,0.00029651+0.00017463i,0.00019936+0.00053843i,0.00055047+0.00033884i,0.00046715+0.00042682i,0.00036846+0.00066351i,6.8975e-05+0.0011746i,0.0002508+0.002729i,0.00076698+0.0031489i,0.0012081+0.0018171i,0.0017261+0.00069209i,0.0013726-2.3427e-05i,-0.00072682-0.00018365i,-0.0018689+0.00014728i,-0.0010842+0.00022382i,-0.00025956-0.00025523i,-1.9674e-05-0.00051291i
0.00069453+0.00067296i,-0.00067122-0.00036875i,-0.00063319-0.0012853i,7.3017e-05-0.0010926i,0.00016346-0.00061766i,1.5166e-05-0.0004904i,-0.00017551+0.00014052i,-0.00031999+0.00021193i,-5.8929e-05+3.9995e-06i,0.00032392+0.0007197i,0.0001702+0.0007796i,-1.4135e-05+0.00067464i,0.0009689+0.0019333i,0.0017568+0.0024272i,0.0016951+0.0015296i,0.0013293+0.00093358i,0.0010269+0.00064016i,0.0015626+0.00085416i,0.0013612+0.00092641i,2.2688e-05-3.6194e-05i,-0.00046402-0.00047986i,0.0004682-0.00021045i,0.0011163+3.9398e-05i
-0.00021974+0.00020155i,0.00072247-0.0010811i,0.0017066-0.0015883i,0.0022092-0.0011582i,0.0019258-0.0011791i,0.0016527-0.00064056i,0.00063783+5.248e-05i,-0.00077167-0.00061662i,-0.0002785-0.0013114i,0.0010496-0.00088616i,0.0010579+0.00017616i,0.0006601+0.0012106i,-0.00015983+0.0023238i,-0.00029658+0.0031523i,0.00017878+0.0028762i,0.00025044+0.0018165i,0.00067407+0.00091615i,0.0014558+0.00035753i,0.0015902+6.4694e-05i,0.00055736-4.6219e-05i,-0.00087442-2.5352e-05i,-0.0008318-0.00027014i,-0.00030487+0.00016498i
0.0011536+3.9768e-05i,0.0020033-0.00079242i,0.0020056+0.00027758i,0.0017184+0.00088408i,0.001422+0.000378i,0.0013577-0.00028412i,0.001109-0.00015693i,0.0010908+0.00011899i,0.0010591+0.00063543i,0.00042067+0.00050533i,0.00012428+0.00099306i,-0.00062248+0.0020687i,-0.0017207+0.0022117i,-0.0019418+0.0023239i,-0.0011968+0.0026204i,-0.00063422+0.0019491i,-1.753e-05+0.00090244i,0.00090204+4.4499e-05i,0.0011174+0.00023973i,0.00013777+0.00045385i,-0.00066601+0.00027915i,-0.00013439-0.00031114i,0.00026415-0.00043653i
