0.0014996-0.0011609i,0.0020154-0.0014397i,0.0014704-0.0026626i,-0.00030591-0.0014021i,-0.001399+0.0011438i,-0.0014859+0.0017377i,-0.00064784+0.0010409i,0.00061322+0.0012903i,0.0012613+0.00081513i,0.0010866-0.00049645i,0.0006099-0.0010454i,-9.84e-06-0.00032568i,-0.00045085-5.7697e-05i,-0.00051898-0.00040981i,-0.00028688-0.00040013i,-0.00013449-0.00070284i,0.00029645-0.00049297i,0.00053002-0.00036472i,-0.00056973-0.00059255i,-0.0013302-0.00070327i,-0.00036734-0.00049367i,0.00025064-0.00035394i,6.7365e-05-0.00020088i
-0.00093193+0.0011446i,-0.00070092+0.0013097i,-0.0014898+0.0020086i,-0.0007742+0.0024721i,0.00082706+0.0023597i,0.0010767+0.0012933i,0.00041234+0.00037858i,0.00024091-0.00020823i,0.00024416-0.00053646i,6.9403e-05-3.675e-05i,-0.00031768+0.00076059i,-0.00017689+0.00081449i,0.00013032+0.00033941i,0.00031879+0.00029896i,0.00032587+6.7665e-05i,0.00038991-0.0001345i,0.0010072+3.612e-05i,0.00063831+0.00013154i,0.00020495-5.1596e-05i,0.000642-0.0006819i,0.001019-0.00086402i,0.0012676-0.00068114i,0.0008243-0.00049145i
0.00019016-0.0016514i,-0.00032763-0.0018566i,-0.001588-0.0011408i,-0.001766+0.00018428i,-0.0012151+0.00098616i,-0.00040012+0.0008678i,-0.00046869+0.00073427i,-0.0012798+0.001048i,-0.0010038+0.00081995i,5.7379e-05-3.1598e-05i,0.00076046+0.00026148i,0.00062392+0.00059708i,0.00040286+9.3728e-05i,-7.111e-05-0.00032384i,-7.0293e-05+6.8192e-07i,0.00036959+0.00023421i,0.00073158+0.00020617i,0.00036715+0.00038679i,-0.00048336+0.0006584i,-0.0010958+0.00089244i,-0.0014731+0.0002437i,-0.00060132-0.00048601i,0.00023146-0.00021965i
0.002601-0.0018084i,0.0027643-0.0016382i,0.0013623-0.0009158i,-0.0001523-0.00040274i,-0.00073402+0.001186i,-0.00070739+0.0016675i,-6.663e-05+0.00080673i,0.00048707-0.00024459i,0.00044133-0.00073307i,0.00031646-0.00050278i,-0.00010843-0.00038982i,-0.00058724-0.00085058i,-0.00079486-0.00052037i,-0.0001226+4.3122e-05i,0.00068919-0.00012822i,0.000294-0.00036151i,0.0001487-0.00074752i,0.00013481-0.0012336i,-9.4204e-05-0.0010098i,0.00019597-0.00035674i,0.00016375+0.00015552i,-0.00075753+0.00032879i,-0.0011096+0.00040768i
0.0005716+0.0014768i,-0.00052225+0.00082731i,0.00037102+0.0002221i,0.00076899+0.00024896i,-4.7622e-05+8.1891e-05i,-0.00047171-0.00012099i,-0.0006437+0.0006532i,-0.0009661+0.00086509i,-0.00091453+0.00011697i,-0.00069907-0.00027807i,-0.00056022-0.0011071i,-0.00048692-0.0013831i,-0.00087029-0.0013386i,-0.00089932-0.0017925i,-0.0010505-0.0013723i,-0.00090864-0.0005309i,-0.00068581-0.00063673i,-0.00074032-0.00086948i,-0.00062733-0.00065567i,0.00013869-0.00047686i,0.00022382+3.9109e-05i,-0.00040728-8.0056e-05i,-0.0010005-0.00055176i
-0.0011442-0.00047446i,-0.0003874-0.00031346i,0.00066183+9.8196e-05i,-2.8353e-05+0.00024911i,-0.00016235+0.0010123i,0.00065328+0.0006373i,0.0011323-0.00035093i,0.000217-0.00044755i,-0.00096012-8.5008e-05i,-0.00090438-5.6847e-06i,-0.00055195-2.998e-05i,-0.00039586+0.00030672i,-0.00046846+0.00053472i,1.009e-05+0.00044025i,0.00030296-0.00025958i,0.00073368-0.00054649i,0.0010222-0.00043802i,0.00022414-0.00050133i,8.1518e-05-0.00041123i,9.7867e-05-0.00017691i,-4.3535e-05+0.00026729i,-2.8358e-05+0.00033524i,7.3511e-05+3.0876e-05i
0.00078215-0.00083383i,0.00013948-0.0010323i,-0.00034139-0.0020279i,-0.00097201-0.0017702i,-0.00036678-8.7944e-05i,-0.00031863+0.0005731i,-0.0010122+0.00019619i,-0.00046574-0.00068361i,0.00088252-0.00050868i,0.0010951+0.00017956i,0.0003106-0.00040078i,8.3586e-05-0.00074809i,7.9965e-05-0.00034381i,-0.00017014-6.6125e-05i,-0.00079454-3.4901e-05i,-0.0013485-0.00012406i,-0.00085244-7.8054e-06i,0.00034148+0.00015399i,0.00091013+3.8918e-05i,0.0010378-0.00016198i,0.00082589+0.00020671i,0.00010844+0.00073106i,-0.00039243+0.0010998i
0.0014782+0.00050456i,0.0013021-0.0011115i,0.00081177-0.0011293i,0.00076537-0.00014708i,6.7155e-05+0.0011582i,-0.00027873+0.00097182i,-0.00061844+0.0003626i,-0.00053497+0.00070322i,-1.9568e-05+0.00012572i,-0.00038008-0.00083626i,-0.00028653-0.001156i,-0.0003573-0.0011044i,-0.00092434-0.00019847i,-0.00057825+0.00064133i,0.00017825+0.00020574i,0.00053979-0.00022767i,0.00018142-0.00038591i,-0.00012547-0.00036532i,3.0646e-05-0.00018071i,1.4513e-05-0.00045575i,-2.5563e-05+0.00035708i,9.3381e-05+0.0010214i,-0.00044239+0.00085224i
-0.00035538-0.00019595i,8.3528e-06+0.00099627i,-0.00029772+0.0021358i,-0.00021865+0.0020909i,0.00083934+0.0011434i,0.00083801+0.00059038i,3.9607e-05-0.00021056i,-0.00018793-0.00039507i,-0.00012987+0.00014825i,0.00042032+7.0522e-05i,0.00049684+0.00022182i,5.9767e-05+0.0002067i,-0.00023377+0.00012659i,1.7218e-06+0.00013601i,0.00040741+0.00044606i,0.00060793+0.00047902i,0.00039535+5.8552e-05i,-0.0001945-2.8617e-05i,-0.00019036-0.00010353i,-0.00030659+0.00013935i,0.00075705-9.0979e-06i,0.0019925-3.826e-05i,0.0019704-0.00016729i
0.00066582+0.0011707i,0.0013136-4.9504e-05i,0.0014669-0.0013583i,0.00082377-0.0013425i,0.0006603-0.00040155i,0.00015113+0.0001188i,-0.00042448-0.00010182i,-0.00063812-0.00033032i,-0.00063592-4.6539e-06i,-0.00020078-0.00026409i,3.0428e-05-0.00066992i,0.00019668-0.00048059i,0.00025482+9.8222e-05i,0.00045332+0.00061587i,0.00036999+0.00038002i,0.00019001+0.00049132i,-0.00021438+0.00034419i,-0.00033531+0.00036825i,-0.00010868+0.00097764i,5.5954e-05+0.0011069i,0.00011484+0.00085778i,0.0002218+0.00011709i,-5.9369e-05-0.00036493i
-0.0011641-0.0014932i,-0.0016298-0.0019562i,-0.0022314-0.0017948i,-0.001882-0.0005023i,-0.00047436+0.0015791i,-8.5089e-05+0.0016822i,-5.8163e-05+0.0011556i,0.00025564+0.0013319i,0.00018711+0.00069233i,0.00029626+0.0002458i,-1.4249e-05+0.00043499i,-3.0099e-06+0.00042893i,2.8381e-05+0.0007967i,-1.4314e-05+0.00041317i,0.00032111-9.4897e-05i,-7.3134e-05+3.2354e-05i,-8.878e-05+4.518e-05i,0.00057529-8.4745e-05i,1.7288e-05+5.1609e-05i,-0.0003228+0.00035098i,-4.3043e-05+0.00023645i,5.9737e-06-0.00032661i,0.00026014-0.00056793i
-0.00019557-0.0008847i,-0.00053645-0.0010704i,-0.001755-0.00094962i,-0.002592-3.6609e-05i,-0.0017143+0.00059283i,-2.1409e-05+0.0011672i,0.00054605+0.0010881i,0.00030172+0.00077539i,-6.3872e-05+0.00052197i,-0.00044909-0.00048399i,-0.00041077-0.00079643i,-0.00030076-0.00010325i,-0.00025015-0.00077632i,0.00053548-0.0010297i,0.00038709-0.00035534i,-0.00028573+0.0005674i,-0.00040586+0.0014774i,-0.00014668+0.0012779i,-0.00025078+3.2396e-05i,6.7028e-05-0.00041611i,0.00010926+0.00026936i,0.00023289+0.00012791i,0.0005896-0.00044679i
-0.00084108+0.00044804i,-0.00078065+0.00027166i,-0.0011522+0.00019505i,-0.00078896+0.0011739i,0.00029875+0.0027394i,0.00052094+0.0023603i,-0.0004959+0.00077629i,-0.00095291+5.5581e-06i,-0.00041659+0.00033993i,-7.5144e-06+0.00056919i,5.0281e-05+0.00058239i,-0.00017435+0.000446i,-0.00068604+0.00037584i,-0.00074774+0.00035523i,-5.8475e-05-0.00010766i,0.00012902+0.00052389i,-0.00012412+0.00088172i,0.00040373+0.00043533i,7.5287e-05+0.00019283i,-0.00055353+0.00034116i,-0.00050498+0.0003752i,-0.00060398-0.0003304i,-9.0998e-05-0.00063972i
-0.00093614-0.002173i,-0.0019209-0.001048i,-0.0015275+0.0012264i,-0.001395+0.0019421i,-0.0013504+0.0016598i,-0.00025109+0.0017864i,-0.00017996+0.0013975i,0.00017277+0.00065927i,0.00061693+0.00041838i,0.00067584-2.3535e-05i,0.00049806-0.00061654i,-0.00089687-0.00042549i,-0.0010855-0.00030059i,0.0001044-0.00045007i,-3.8032e-05-0.00060697i,-8.0969e-05-0.00051668i,0.00042206-0.00076731i,0.0009919-0.00062758i,0.0010237+2.9307e-05i,-3.1526e-05-0.00026801i,-0.00063183-0.00026274i,-0.00058693-0.00010968i,-0.00043148+0.00022619i
0.0010871-0.0015348i,0.00028498-0.0030018i,-0.00088337-0.0032865i,-0.00068763-0.0010409i,-0.00064909+0.0015282i,-0.0011743+0.0020394i,-0.00082762+0.00077236i,-0.00026971+1.9739e-05i,-0.00039276-0.00036607i,-0.00048299-0.0011557i,-0.00063496-0.0014457i,-0.00045198-0.0011975i,0.00016031-0.00090762i,0.00052605-0.00030199i,0.00031596+0.00032656i,-7.7129e-06+0.00051276i,-0.00077719+0.00020468i,-0.00058974-0.00014128i,0.00039802-0.00021041i,0.00059058+0.00056306i,-9.9553e-05+0.001435i,-0.00057011+0.0008108i,-0.00082448-0.00026365i
-0.0023176+0.0007784i,-0.0020362+0.00065083i,-0.0023204+0.00054594i,-0.0019991+0.0021381i,-0.00063743+0.0031154i,0.00062828+0.0012312i,0.00036741-0.00021545i,1.4712e-05+7.0626e-06i,3.7171e-05-0.00027193i,-0.00013722-1.3807e-05i,-1.8797e-05+0.00023367i,0.00026704+0.00020361i,0.00022882+0.00041718i,0.00027661-0.00014964i,0.00019456-0.0011779i,0.00060269-0.0014893i,0.00050088-0.00066791i,0.00017228+0.00068476i,-0.00032091+0.00058328i,-0.00065261-0.00050558i,0.00016895-0.00012696i,0.00079139+0.00042595i,0.00068107+0.00014259i
-0.00060968-0.0010406i,-0.00070777-0.001046i,-0.00026986+0.00093441i,-0.00058167+0.0021421i,-0.0008223+0.0013132i,-0.00041885+0.00013391i,0.00028042-0.00030186i,-9.7165e-05-0.00038826i,-0.00051376+0.00046278i,-0.0011124+0.00081621i,-0.0011401+0.00034061i,-0.00063309+0.00043898i,-0.00059912+2.9028e-05i,-0.00098774-0.00019536i,-0.00087802+0.00034463i,-0.00012572-0.00020774i,6.0858e-05-0.0006521i,7.0673e-05-0.00044364i,0.00057645+9.6489e-05i,0.00046184+0.00016129i,0.00063353-6.726e-05i,0.0012223-0.0003249i,0.0008884-1.5711e-05i
0.00023428-0.0012815i,0.0003696-0.00089246i,0.00075483-0.0013349i,0.00018786-0.0010195i,-0.00013469+0.00062649i,-0.00045289+0.0019773i,-0.00047213+0.0014748i,0.00026231+1.4417e-06i,-0.00019544-0.00046494i,-0.00066609+0.00036225i,-0.00016349+0.00031966i,-0.00041029-0.00020509i,-0.0012273-0.00010571i,-0.00092137-7.1287e-05i,-0.00066506+0.0001238i,-0.00062989+0.0006813i,-0.00015271+0.0004402i,0.00040045-0.00075132i,0.00050859-0.00065149i,0.00038819-8.9857e-05i,8.9451e-05-0.00014863i,-0.00017377-0.00086711i,7.9135e-05-0.00081802i
-0.0009689+0.00030848i,-0.0011742+0.00089766i,-0.00086411+0.0009901i,-0.00071567+0.0015995i,-2.4122e-05+0.0022003i,-0.00015715+0.0016072i,-0.00026248+0.00070026i,-0.00023172+0.00026489i,-5.4757e-05+0.00047093i,0.00027402+0.00091997i,-6.4056e-05+0.0010236i,-9.8413e-06+0.00087079i,-0.00053479+0.00063018i,-0.00084202+0.00021733i,0.00023191-0.0004622i,0.00079138-0.00050501i,0.00089123-0.00031026i,0.00067115-0.00031921i,-0.00011644-0.00021259i,-0.00052191-0.0001476i,-0.00019396+0.00017327i,-0.00027942+0.00038168i,-0.0004195-0.00012563i
0.00024369-0.0009759i,0.00018368-0.00061455i,0.00025712+4.7685e-05i,7.0708e-05+0.00075116i,-0.00030911+0.0011712i,0.00016964+0.00014523i,-0.00023519-0.0010654i,-0.00054819-0.00078272i,-0.0003194-0.00045304i,-0.00056339-0.00020885i,-0.00083704+0.00016024i,-0.00014922-1.3743e-05i,-5.8407e-05+1.8169e-05i,-5.9888e-05-0.0002449i,-0.00025063-0.00040711i,-0.00031353+0.00019284i,-0.00030132+0.00065709i,-0.0006753+0.00032621i,-0.00061451-3.857e-05i,-0.00049137+0.00021211i,-0.00031859+0.0010555i,-0.00030138+0.0013392i,-0.00041331+0.00083616i
-0.001161+0.0010931i,-0.0011526+0.0012142i,-0.0014169+0.00089045i,-0.00088248+0.00074261i,-0.00019407+0.0019168i,-0.00013852+0.0017159i,-0.00075584+0.00069343i,-0.0011524+0.00013691i,-0.00088173-0.00018421i,-0.00020284+4.4269e-05i,0.00097736+0.0010611i,0.00091648+0.00090673i,0.00022151+0.00045714i,-9.2438e-05+9.5527e-05i,-4.9401e-05-7.794e-05i,-0.00021526+0.0001908i,-0.00023328-3.9576e-05i,0.00023657+6.9012e-05i,0.00043927+0.00035168i,0.00011114+0.00042654i,-0.0006809+0.00041692i,-0.00030562+0.0001548i,0.00060632+0.00058531i
-0.00011469-0.0015076i,0.0004178-0.0018788i,-0.00028618-0.00090946i,-0.000995+9.8551e-05i,-0.00025508+0.0012029i,0.0013832+0.0018167i,0.0013602+0.00083937i,5.6099e-05+3.3029e-06i,-0.0005017-0.00022501i,-0.00080693-0.0001898i,-0.0013241+0.00031866i,-0.00089106+0.00045579i,-0.00051495+0.00054209i,-0.0001801+0.00036969i,-0.00013372+0.00065272i,-3.3174e-05+0.001098i,0.00050307+0.00071751i,0.00085728+0.00035334i,0.001238+0.00051885i,0.0010099-1.3035e-05i,5.285e-06-0.00136i,-1.3421e-05-0.0017279i,0.00064769-0.00049208i
-0.0018037-0.0010583i,-0.0029855-0.00070621i,-0.0031143+0.00031441i,-0.0020378+0.001575i,0.00022207+0.002003i,0.00081956+0.0016889i,0.0002662+0.00089764i,-5.8009e-05+8.6564e-05i,-0.00025702+0.00015672i,-0.00079414+0.00032981i,-0.00036106-0.00011474i,0.00030279-0.0004283i,-0.00022339-0.0006777i,-0.00047503-0.00073052i,-0.0008233-0.0007314i,-0.00097338-0.00081732i,-0.00036037-6.9954e-05i,0.00015947+0.00064059i,0.00069126+0.00013654i,0.00095987+2.5936e-05i,0.00055089+0.00025348i,-0.00032502-0.00026848i,-0.00093751-0.00035827i
-0.0010156-0.0025593i,-0.0015893-0.0028077i,-0.0022763-0.0011881i,-0.0021833+0.0010793i,-0.00080177+0.0016757i,0.00058514+0.0010798i,0.00026341+0.00081009i,-9.6148e-05+0.00088815i,0.00026668+3.05e-05i,0.00014147+4.2152e-06i,-0.00047328+0.00014262i,-0.00055007-7.9348e-06i,-0.00035935-7.0394e-05i,-4.5421e-05-0.0003914i,-0.00036598-0.00035633i,-0.00082798-0.0006327i,-0.0011086-0.00068139i,-0.0011837-8.3691e-05i,-0.00091503-0.00018604i,-0.00012847+0.00033719i,0.00051773+0.00058375i,0.00073925+0.0003132i,0.00098346+0.00049453i
0.0014006+0.00016451i,0.0012864+0.00056i,-5.5328e-05+0.00040964i,-0.0016918+0.0005128i,-0.0019734+0.0016309i,-0.00078659+0.0022781i,0.00067567+0.0017043i,0.00043281+0.00070341i,-0.00074181+9.6525e-05i,-0.00069918-0.00038232i,0.00010359+3.8882e-05i,0.00026299+0.0010572i,-0.00043611+0.00059684i,-0.00050702-0.0001564i,8.5561e-05-5.4032e-05i,0.00068851-0.00035804i,0.00084152-0.00060834i,-6.3172e-05-0.00075386i,-0.00038187-0.00073387i,-2.5399e-05+5.0184e-05i,-0.00024141+8.6794e-05i,-0.00015293-0.00052545i,0.0001435-0.00088275i
8.8281e-05-0.0014049i,-0.0011897-0.002003i,-0.0012483-0.0019174i,-0.00063021-0.00093488i,-0.0007809+0.00034845i,-0.00067173+0.0011688i,-0.00051948+0.00053912i,-0.000643+0.00010992i,-0.00055189+0.000463i,-0.0005636+0.00079945i,-0.00072607+0.00088938i,-0.00093433+0.00065985i,-0.00088566+0.00030412i,1.0276e-05-0.00014593i,0.00023449+0.00028165i,-0.00035959+0.00049346i,0.00010536-0.00013094i,0.00014527-0.00032859i,-9.0273e-05+0.00018918i,0.00021109+0.00074104i,-5.6132e-06+0.00035665i,-0.0004318-0.00017054i,-0.00049055-0.00035501i
0.00064932-0.00092254i,0.0011094-0.0013409i,0.0012266-0.0012757i,0.0010137-0.00084849i,0.00092985+0.00016164i,0.00056+0.00065976i,0.00018076+0.0007772i,-5.4318e-05+0.0010772i,-0.00012257+0.00077944i,7.9878e-05+0.00013364i,0.00043046+0.00034909i,-2.6587e-05+0.00014432i,-0.00028908-0.0010764i,-0.00055332-0.0012397i,-0.00067959-0.001005i,-0.0001526-0.0012762i,-0.00033879-0.0012677i,-0.00070583-0.0011698i,-0.00057486-0.0012026i,-0.0004356-4.2661e-05i,-0.00090928+0.00048145i,-0.00056459+0.00079032i,0.00012884+0.00083419i
0.0016306+0.00066446i,0.0018577+0.00062217i,0.0017652-0.00054497i,0.00052673-0.00027887i,-0.0010372+0.00088149i,-0.0014892+0.00013059i,-0.00065716-0.00059627i,-0.00047915-0.00021495i,-0.00034457-9.4955e-05i,0.00048793-0.00040867i,0.00034229+2.1436e-05i,-0.00015938+0.00011638i,-0.00079681-0.00038485i,-0.00083055-4.6612e-05i,3.1094e-05+0.00010188i,0.00069213-0.00043045i,0.00013616-0.00090791i,0.0001614-0.00082293i,0.0010956-0.00075488i,0.00072301-0.00098726i,0.0001691-0.00039412i,0.00037297-2.1486e-05i,9.7922e-05-0.00034434i
-0.00020027-0.0012495i,-0.0015654-0.0014563i,-0.002326-0.0003266i,-0.0023899+0.0010588i,-0.001822+0.0016843i,-0.00042708+0.0020881i,8.7025e-05+0.00173i,-0.00056484+0.0010179i,-0.00066279+0.00033841i,-0.00021852-0.00026978i,-5.5261e-05-0.00060911i,0.0002088-0.00014297i,0.00061852+9.0384e-05i,0.00065813-1.0794e-05i,0.00081951-0.00015444i,0.00058301-0.00051801i,0.00059642-0.00027535i,0.00068654-0.00020744i,8.1042e-05-0.00040212i,-0.00011532-0.00046434i,2.822e-06-9.2073e-05i,-0.00030977+0.00018576i,-0.00054494-0.00042134i
5.7838e-05-0.0026054i,-0.0015174-0.002135i,-0.0016971-0.0017898i,-0.0017345-0.0004383i,-0.001994+0.0013998i,-0.00098033+0.0019664i,6.4973e-05+0.00086453i,0.00099135+0.00037461i,0.0013987+0.00022603i,0.00055741-0.0002952i,-0.00039011-0.00023329i,-0.00034203-6.5869e-06i,-2.9382e-05+0.00042525i,0.0006439+0.00091633i,0.00074944+0.0010391i,0.00029007+0.00034583i,0.00078753+0.00022056i,0.001029+0.00078354i,0.00025013+0.00064768i,-0.00024471+0.00020613i,0.00062442+7.6081e-05i,0.00040239-0.00026392i,-0.00040763-0.00045895i
0.00082143-0.00051405i,0.0015712-0.0014697i,0.0018068-0.0013502i,0.0019965-0.00013768i,0.001269+0.0011686i,0.00057441+0.0019445i,0.00042039+0.0015214i,0.00011825+0.0013065i,-0.00037541+0.00059183i,-0.00014139-0.00037195i,0.0002266-0.0010592i,8.744e-05-0.00047699i,0.00027916+0.00037147i,7.0887e-05+0.00048393i,-0.00036299+0.00016496i,-0.00070834-0.00016524i,-0.001377+0.00051724i,-0.0006563+0.00076722i,0.00046732+0.00030921i,0.00054334-0.00029295i,-5.1753e-05-0.00043313i,-0.0005452+2.6698e-05i,-0.00060306+0.00022073i
-0.00063269+0.00051992i,-0.00052432-0.00012913i,-0.00082136-3.6545e-05i,-0.00092657+0.00099792i,-0.00093988+0.0013602i,-0.00090765+0.0010279i,-0.00074649+8.2467e-05i,-0.0002544-0.00043194i,9.9905e-05-7.9752e-05i,0.00032739+0.00031823i,0.00015323+0.00048892i,0.00051154+0.00011899i,0.0012484+0.00041585i,0.00077299-0.00018658i,2.6023e-05-0.00078547i,-0.00036805+6.4341e-05i,0.00040843-0.0001005i,0.00065297-6.5868e-05i,0.00016319-0.00017827i,0.00076955-0.00013465i,0.00080186+0.00021015i,-0.00013763-9.9787e-05i,0.00020916-0.00085324i
-0.00022597+0.00036752i,0.00046087-0.00021594i,0.00010191+0.0002454i,-0.0011459+0.001001i,-0.0013945+0.0019375i,-0.00073349+0.0022633i,-0.00059883+0.0015245i,-0.0003035+0.001221i,0.00025114+0.0008575i,-0.00054499+0.00019032i,-0.00086545-0.00028881i,-0.00019087-0.00072567i,-0.00036157-0.00093353i,-0.00088959-0.00045814i,-0.00080036-0.00024873i,-0.00024428-6.0442e-05i,-0.00050639-0.0003393i,-0.00059964-0.00057641i,-0.00023857-1.0688e-05i,0.00012034+0.00083131i,0.00060888+0.00090949i,0.00046315+0.00097594i,-0.00018903+0.00075721i
0.00048912-0.001579i,-0.00033979-0.0024275i,-0.0012669-0.001328i,-0.0015593+0.00067904i,-0.0021921+0.0021135i,-0.0017855+0.0018554i,-0.00071517+0.00029259i,1.2132e-05-0.00043453i,0.0005122-0.00010093i,0.00015261+0.00047075i,-0.00030639+0.00087606i,5.5638e-05+0.0013615i,0.00071907+0.0017004i,0.00061803+0.0011771i,9.6481e-05+9.3778e-05i,-0.00021429-0.00053164i,-0.00012021-0.0010798i,0.00032584-0.00036353i,0.00073874-0.00016284i,0.00099016-0.00058168i,0.0015361-0.00014478i,0.0010854-0.00011259i,3.9906e-05-0.000394i
0.0016153-2.0412e-05i,0.0024023-0.00064123i,0.0025134-0.00021013i,0.0020936+0.00024898i,0.001214+0.0005418i,-0.00062015+0.00096491i,-0.0013752+0.00064081i,-0.0011791-1.0524e-05i,-0.00039091-0.00017879i,9.4947e-05-0.00032989i,-0.00037621-0.0011702i,-0.00088231-0.0013522i,-0.00058671-0.0012614i,-0.00034033-0.00086134i,-0.00078693+0.00020057i,-0.00038196+0.0013389i,-0.0002613+0.0013275i,-0.00082113+0.00073996i,-0.00032133+0.00039111i,0.00024443-3.1197e-05i,0.00032052+0.00045673i,0.00043668+0.00086776i,0.0001153+0.00040297i
0.0011074+0.001099i,0.0010134+0.00088891i,0.0012021-0.00043299i,-0.00010971-0.00041441i,-0.00086705-5.3318e-05i,-0.00029887+0.00031398i,0.00015442+0.00031294i,0.00058069+9.765e-07i,-9.0394e-05+0.00042153i,-0.00058908+0.00023736i,-0.00052139+0.00029506i,-0.0005099+0.0004266i,0.00010889-4.8356e-05i,-0.0004277-6.7346e-05i,-0.00049626-0.00068103i,7.6445e-05-0.00070675i,0.00031543-0.00059593i,0.0004353-0.00044629i,6.9072e-05-7.4216e-05i,-0.00011747+0.0004409i,0.00021513+0.00079647i,0.00036863-0.00025976i,0.00040115-0.00061036i
0.00044891-0.0019826i,-0.0004261-0.0024888i,-0.001153-0.0021082i,-0.0021784-0.0010267i,-0.0022774-0.00025959i,-0.0010049+0.00043141i,-3.7266e-05+0.00067781i,-0.00034493+0.00032202i,-0.00059326-9.5048e-05i,-0.00041164-0.000182i,-9.0177e-05+5.1498e-05i,-0.00025817+0.00097878i,-0.0004888+0.0010823i,-8.9338e-05+0.00026903i,0.00035324+0.00043599i,0.00015292+0.00038416i,-0.00024904-0.00040485i,0.00028313-0.00066453i,0.00042011-0.00026973i,0.00015344-0.00014511i,0.00040415-0.00048043i,0.00015146+0.0004907i,-0.00070953+0.0013312i
0.0012063-0.00092439i,0.00069085-0.00094162i,0.00086491+0.00054378i,0.00020831+0.0014132i,0.00052244+0.0015267i,7.3376e-05+0.001323i,-0.001074+0.00043238i,-0.00063323-0.00058699i,0.00020713-0.00053388i,0.00061044-4.684e-05i,0.00025657-0.00010562i,-0.00031359-0.00062141i,4.5018e-05-0.0007459i,0.00047596+3.386e-05i,4.1154e-05+0.00063756i,-0.00015936+0.00052687i,6.0557e-05+7.6715e-05i,0.00025512-0.00026561i,0.00017576-9.0148e-07i,0.00044195+0.00017388i,0.00064318-3.4797e-05i,0.00021805-0.00037614i,-0.00019517+9.9224e-05i
-0.0014657+3.5155e-05i,-0.0021456-5.8238e-05i,-0.0022231+9.9501e-05i,-0.0013715+0.0024283i,-0.00024155+0.0038168i,0.0004021+0.0025408i,0.00053224+0.0010397i,0.00052485+0.00062768i,0.00041488+0.0013172i,-0.00037568+0.0015623i,-0.00071717+0.00078355i,1.4762e-05+0.00051907i,-8.2114e-05+0.00051522i,4.6871e-05+0.00035381i,0.00071106-0.00047235i,0.000645-0.00073724i,-0.00019662-9.3399e-05i,-0.00037564+9.5361e-05i,-8.9024e-05+0.00023884i,0.00034166+0.00053184i,0.0009045+0.00017201i,0.00046308-5.5969e-05i,-0.00071927+0.00045101i
-0.0016312+0.00031608i,-0.0016435+0.00039059i,-0.0006991+0.00022813i,-3.2328e-05-2.5448e-05i,0.00058707-6.1299e-05i,0.0010282+9.1445e-05i,0.00035408+0.00052625i,-2.9087e-05+0.00062086i,0.00059635+0.00042552i,0.00048744+0.00051909i,0.00022139-0.00027008i,0.0001493-0.00072981i,-3.1129e-05+0.00031324i,-0.0006578+0.00071205i,-0.00071441+0.00011402i,8.6254e-05-8.5889e-05i,0.00031727+0.00015741i,-7.0275e-05+0.00030336i,-0.00034379+0.00051549i,-0.00020277+0.00032545i,-0.0004621+0.00038521i,-0.00037174+0.00047076i,5.4372e-05+1.9755e-05i
0.0025775-0.00080978i,0.0028174-0.00060727i,0.0009755-0.0012476i,-0.0014724-0.0011488i,-0.002089-0.00034699i,-0.0015548+0.0010667i,-0.0012684+0.0020756i,-0.0018415+0.0016267i,-0.0008475+4.7264e-05i,0.00025793-0.00084745i,0.0005513-0.00080875i,0.00059171-0.00027901i,0.0008441-0.00032337i,0.00066674+1.0859e-05i,-0.00017366+0.00050308i,-1.0869e-06+8.162e-05i,0.00064833-0.0001114i,0.00063379-0.00016034i,0.00073638-0.00015863i,0.0010257-0.00013742i,0.0007142+6.9229e-05i,0.00030154+0.00055138i,0.00014016+0.00044898i
0.0019448+0.00018046i,0.0019949-0.00093222i,0.0013372-0.00060924i,0.00064617+0.00032144i,0.00019958+0.0010314i,0.00061609+0.0011774i,0.00027874+0.0011704i,-0.00027398+0.00029823i,7.6789e-05-1.0504e-05i,-0.00022454-6.3203e-05i,-0.00084647-0.00033082i,-1.1124e-05-0.00059362i,0.0007985+3.6027e-05i,0.00012422+0.00074275i,-0.00058009-7.9595e-05i,-0.00035429-0.00047721i,-0.00015434-0.00030381i,-0.00099049-2.9152e-05i,-0.0014906+2.5086e-05i,-0.00058885+0.00049738i,0.00013172+0.00068667i,-0.00035454+0.00037872i,-0.00067639+0.00039323i
-0.0013157+0.0023458i,-0.0009631+0.0021732i,-0.0011592+0.0020214i,-0.00033666+0.002192i,0.00067534+0.0026848i,0.00063631+0.0021057i,0.0002338+0.00037809i,-0.00051157-6.6064e-05i,-0.00079954-0.00016136i,-0.00058137-0.0012007i,-0.0009304-0.00097127i,-0.00093772+9.594e-05i,-0.00051117+0.00030116i,-0.00023068+0.00037582i,0.00027475-0.00033031i,0.00078557-0.00087203i,0.00031596+0.00034212i,2.9966e-05+0.0012577i,0.00018633+0.00078583i,0.00017107+0.00029836i,6.8378e-05+0.0003471i,-0.00014055-0.00015879i,-0.00028592-0.00046296i
