-0.00041271-0.00042983i,-0.00056341+9.4662e-06i,-0.00096221+0.00094989i,-0.0015454+0.00086077i,-0.0011942+0.0011892i,0.00022082+0.0016955i,0.00073817+0.0021441i,1.4959e-05+0.0021341i,0.00036729+0.0017615i,0.00092559+0.0014289i,0.0011637+0.00048225i,0.00055191-0.00054146i,0.00024136-0.00075781i,0.00062155-6.057e-05i,0.00029333+0.00053952i,-5.0344e-05+0.00051055i,0.00064426-0.00054943i,0.00096208-0.00021514i,6.061e-05+0.00061657i,-0.00077556+0.00080917i,-0.00066011+0.00021663i,-0.00071982-0.00021364i,-0.00086103+0.00028238i
0.00060072+0.0017993i,0.00056181+0.0014484i,0.0011959+0.0016734i,0.0025917+0.0016258i,0.0031281+0.000619i,0.0019054-0.00042583i,0.00078991-0.00017012i,0.00050075-0.00034118i,0.00087521-0.00069158i,0.0012496-0.00094169i,0.00029871-0.00073477i,-0.00065874-0.00078219i,-0.0013138-0.00054251i,-0.0018099+0.00029065i,-0.0011936+0.00071783i,-0.00047538+0.00048428i,-0.00016824-2.856e-05i,0.00011326-9.9667e-05i,0.00019858-0.00033297i,-4.9376e-05-0.00057483i,-0.00043183-0.00048415i,-0.00048335-0.000306i,-0.0001717-1.5439e-05i
0.0018258-0.0002039i,0.0018065-0.00077234i,0.0025092-0.0016938i,0.0035567-0.00089978i,0.0023381-0.00030617i,0.0011876-0.00040139i,0.00094818-0.0001804i,0.00048441+0.00040336i,0.00062593+0.00086883i,0.00010992+0.00045644i,-0.00049198-0.00013406i,-0.00038513-0.00022059i,-0.00070124-0.00072602i,-0.0011585-0.00023524i,-0.0014417+0.0011951i,-0.0016697+0.0012452i,-0.0011768+0.0010016i,-2.1178e-05+0.0015331i,0.00042634+0.0011215i,0.00039065+0.00051784i,5.9754e-05+0.00023512i,-8.925e-05+0.0003548i,-0.00043229+0.00036975i
0.0010777+0.0011968i,0.00096396+0.0010385i,0.0009991+0.0011333i,0.0013816+0.00098268i,0.0015829+0.00066028i,0.001395+0.00035758i,0.0015003-0.0010218i,0.0014575-0.0012621i,0.00040149-0.00090741i,-0.00029084-0.0010911i,-0.0001526-0.0010945i,9.0246e-05-0.00091514i,0.00017454-0.00092771i,-0.00031625-0.00046318i,-0.00040208+0.00036581i,7.0302e-05+6.3728e-05i,0.00055712-1.8756e-06i,0.0010052+0.00028967i,0.00043041+0.00016595i,0.00012099+8.8585e-05i,0.00083467+0.00020295i,0.0005029+8.3307e-05i,2.1985e-06-0.00035362i
-7.972e-05-0.00061237i,8.1718e-06-0.00079173i,-0.00036306-0.00076062i,-0.00052139-0.00053368i,0.00047824+0.00063324i,0.001925+0.0011611i,0.0021017-0.00019983i,0.0013933-0.0012877i,0.0010194-0.0014545i,0.0013349-0.00034927i,0.00092246-0.0002431i,6.5291e-06-0.00058824i,-0.00044825+3.1567e-05i,-7.5335e-05-0.0001709i,0.00036208-0.00017194i,0.00015777+0.00097208i,-1.4026e-05+0.0019578i,0.00056217+0.0017538i,0.00069811+0.00076943i,-0.00021252+5.7891e-05i,-0.00071886+7.8912e-05i,-0.00050942-0.00049296i,-0.00016424-0.00017084i
-0.00077919+0.00048694i,-0.00085878-0.00047318i,-0.00050522+0.00089092i,0.001408+0.0021915i,0.0029383+0.0015601i,0.0026756-0.0003048i,0.0015987-0.0012794i,0.00050944-0.0002815i,0.00036665+0.00082902i,0.0003568+0.00036622i,-0.00063663-7.3205e-05i,-0.0010712+0.00013561i,-0.0011419+0.00048851i,-0.00084008+0.00032411i,0.00037294+0.00041133i,0.00074315+0.00091093i,0.00049599+0.0011941i,0.00018731+0.0016482i,0.00013921+0.00093004i,0.00025117+0.00044246i,-0.00047833+0.0013286i,-0.00083434+0.0011651i,-0.00064257+0.00054976i
-0.0022777+0.0023268i,-0.0012985+0.0024512i,-0.00090963+0.0019614i,0.00041585+0.0023015i,0.0018291+0.0022516i,0.0024278+0.0010936i,0.0022452+0.00025326i,0.0017371+0.00011766i,0.00070503+0.00034969i,-0.00069369-0.00033011i,-0.0013706-0.00082703i,-0.0010431-0.0010768i,-0.0012656-0.00069152i,-0.0011848+0.00027194i,-0.00065848+0.0005545i,-0.00061494+0.00044322i,-0.00075615+0.00054i,-0.00017308+0.00031438i,0.00021301+0.00030915i,-0.00016698+0.00053896i,-0.00018875+0.00071115i,-0.00056692-6.9498e-05i,-0.00049634-0.0010009i
0.001434-0.0017508i,0.0018905-0.0010467i,0.0025252-0.00025083i,0.0027097-0.00024061i,0.002593-0.00079535i,0.0019003-0.00056765i,0.00098493-0.00043171i,0.00055775-0.0011095i,-0.00037415-0.0019244i,0.00021386-0.0018768i,0.001201-0.0012793i,-4.8615e-05-0.0012634i,-0.00092878-0.0010301i,-0.00043028-0.00043765i,-6.7162e-05-0.00015325i,0.00031909-0.00050383i,0.00061225-0.00077769i,0.0009415-0.00055797i,0.001115-0.00095642i,0.00048984-0.0010124i,-8.1288e-06-0.00039371i,-7.6722e-05+0.00041994i,0.00012226+0.00069465i
0.00088317-2.3192e-05i,0.0014446+0.00012496i,0.00081522-0.00024695i,0.00074663-0.00031597i,0.0017173-0.00048207i,0.0017992-0.00030137i,0.0011426+7.6474e-05i,0.0013055-0.00026654i,0.0016147-0.00074336i,0.0015618-0.0002188i,0.0014084+0.00052586i,0.001109+0.00093656i,0.00025553+0.00024952i,0.00021038-0.00046486i,0.00054214+2.4546e-05i,0.00022385+0.00061925i,0.00085534+0.0011819i,0.0013432+0.0015376i,0.00092152+0.0011953i,0.00016538+0.00071943i,6.3563e-05+0.00064194i,0.00013671+0.00063308i,-0.00037544+0.00036202i
-0.0014222+0.00080979i,-0.00088949+0.00048035i,-0.00090086-0.00033529i,-5.8654e-05-0.00031074i,0.0013493+0.00061161i,0.0013008+0.0005735i,5.7561e-05-0.00053878i,-5.8326e-05-0.00055732i,5.3126e-05+0.00013429i,0.00033507+0.0003053i,0.00011194-0.00026752i,-0.00047851-0.00053862i,-0.00074907-0.00034479i,-1.2974e-05+5.6906e-05i,0.00024487+0.00053264i,-0.00021236+0.00053441i,-0.00021816+0.00048404i,-0.00029609+0.00073274i,-0.00028415+0.00022761i,-0.00055677-0.00015894i,-0.00082783+8.2258e-05i,-0.00035785-1.8412e-05i,0.0003076-0.00041058i
-0.0012424+0.0012932i,-0.0013509+0.00027756i,8.9458e-05+0.00069003i,0.0011013+0.0019378i,0.0019325+0.0021453i,0.0015635+0.00064597i,0.00085529-0.00054269i,9.8009e-05+0.00012105i,-0.00077393+0.00083863i,-0.00049881+0.00010482i,-0.00024132-0.001334i,-0.0005852-0.0012812i,-0.0013806-0.00032203i,-0.0013861+0.00010194i,-0.00078217+0.00025059i,-0.00038836+0.00035835i,1.0239e-05+0.00051863i,0.000274-0.00057321i,0.00058541-0.00089921i,0.00025855+0.00032302i,0.00019247+0.00094274i,0.00037855+0.0011104i,2.2516e-05+0.00054164i
0.00012102+0.0035301i,-1.9297e-05+0.002877i,0.0024242+0.0016535i,0.0041186+0.00078897i,0.0033557+0.00026109i,0.0020726-0.00062577i,0.0019736-0.0011164i,0.0012133-0.0014313i,0.00074722-0.002067i,0.0017001-0.0030752i,0.0015489-0.0025549i,-0.00040585-0.0012318i,-0.001326-0.00053203i,-0.0013692-0.00030434i,-0.00083811+0.00063324i,0.00013748+0.00095281i,0.00041084+0.00049307i,0.00076808+0.00057417i,0.0007936-0.0003564i,0.00053157-0.0011473i,0.00056236-0.00054342i,0.00026547+0.00093954i,-0.00057923+0.00086847i
-0.0015928-0.0022109i,-0.0017466-0.0009061i,-0.0018368-3.5265e-05i,-0.00037685+0.00044798i,0.0014162+0.0013461i,0.0019454+0.0010618i,0.0011044-0.00013888i,0.00082048-0.00015854i,0.0016516+0.00038357i,0.0013239+0.00030096i,0.00086961+0.0003266i,0.00082679-8.6402e-05i,0.00068809-0.00034479i,8.3758e-05+0.0004083i,1.6555e-05+0.00067702i,0.00080969+0.00038805i,0.0011147+0.00062601i,0.0013421+0.0015371i,0.001184+0.0013735i,0.00037903+8.6236e-05i,0.00010839-0.00044861i,0.00016885+0.00099592i,-0.00053709+0.0014357i
1.0274e-05-0.00082921i,-0.00067309-0.00052093i,-0.00094184-0.00019277i,-0.00080338+0.0010214i,0.00015853+0.0012533i,0.0013892+0.00066471i,0.00094073+0.00026613i,0.00037962-1.5744e-05i,-0.00012627-7.8105e-05i,-0.0011543+0.00085913i,-0.0017842+0.0011624i,-0.001063+0.00057264i,-0.00024252+0.00027237i,-0.00049259+0.00019687i,-0.00041563+0.00019402i,0.00015564+0.00060991i,0.0001963+0.0009306i,-0.00084648+0.00094606i,-0.00099585+0.0005128i,0.00018569+0.00065132i,0.00020201+0.00085116i,-0.00015371+0.00033804i,0.00017237+0.00035164i
0.00086333-0.00019673i,0.0012227-0.0017728i,-4.6047e-05-0.0014832i,-0.00021335-0.00050477i,-2.354e-05+0.00049237i,0.00093229+0.00088216i,0.0013145-1.5174e-06i,4.6204e-05-0.00023648i,-0.00094134-0.00064797i,-0.0012285-0.001898i,-0.0018228-0.0018422i,-0.0016819-0.0011561i,-0.00068535-8.8345e-05i,-0.00024381+0.00080648i,0.00035148+0.00036226i,0.00036664-0.00027828i,8.8321e-05-0.00048104i,0.00095318+9.8162e-05i,0.0010615+0.00043223i,0.00060131-0.00028848i,0.00050324-0.00044091i,5.0962e-05-0.00070507i,0.00010237-0.0014673i
0.0023341+0.00055421i,0.0025862-0.00016145i,0.0025043-0.00049251i,0.0021863-0.0012618i,0.002571-0.0014759i,0.002287-0.0011504i,0.0012395-0.0012677i,0.00079319-0.0017053i,0.0019674-0.0024244i,0.0024921-0.0027243i,0.0011697-0.00228i,-0.00065011-0.001312i,-0.0015285-0.00046442i,-0.0014803-0.00029014i,-0.00081185+0.00034631i,-0.00011466+0.00047087i,0.00014824+0.00014802i,0.00053752-0.00029777i,0.00072462+0.00012529i,0.00060885-1.0161e-05i,0.00076584-0.00063682i,0.0010512-0.0002075i,0.000538+0.00014573i
0.0021225+0.00072883i,0.0016831+6.3348e-05i,0.0031931-0.00097003i,0.0035523-0.0010645i,0.0026704-0.00011732i,0.0018947+0.00013046i,0.001531-2.8095e-05i,0.0013759-0.00019297i,0.0012316-0.00058624i,0.00083659+0.00019299i,0.00035033+0.00092364i,-0.00034404+0.00053737i,-0.00069964+0.00029826i,0.00031556+0.00095883i,0.00039026+0.0014875i,0.00034853+0.0009781i,0.00028631+0.0011928i,0.00050075+0.0018172i,0.00054522+0.00099545i,-0.00019077+0.00017328i,-0.00044005-8.4175e-05i,-0.00037191-0.00017352i,-0.00033459-0.00042732i
-0.0002847+0.00028778i,0.00035891+0.00037148i,0.0014464-7.07e-05i,0.001853-0.0007314i,0.0011489-0.00050368i,0.00117+0.00021122i,0.0016989-0.00013846i,-0.00014316-0.0008145i,-0.0013969-0.00077109i,-0.001113-0.00078953i,-0.00069875-0.00055848i,-0.001439-8.7676e-05i,-0.0018401+0.00073771i,-0.0012196+0.0012499i,-0.00072234+0.0011133i,-0.00049258+0.00088711i,2.677e-05+0.00066345i,0.00023304-4.51e-05i,0.00027862-0.00056969i,0.00063147-0.00017858i,0.00032112+0.00015541i,0.00028138-0.00012502i,0.00085614-0.0005817i
-0.0016906-0.00057056i,-0.0014474-0.0012126i,-0.00056055-0.00011475i,2.2581e-05+0.0013693i,0.0020634+0.0014791i,0.0023771+0.0010503i,0.00056885+0.00025468i,0.00032883-0.00032631i,0.00026494-0.0003703i,9.2148e-05-0.00097864i,0.00044171-0.0015725i,-0.00027856-0.0011932i,-0.00073348-0.00098507i,-0.00037922+0.00018467i,-0.00018357+0.00075155i,-0.00052442-9.6789e-05i,-0.00076194-0.00060236i,-7.834e-05-0.00071967i,0.00039579-0.00098167i,0.00021531-0.00092647i,-8.3907e-05+0.00020426i,0.00016409+4.0868e-05i,0.00045075-0.00058627i
-2.7035e-05+0.0013871i,0.00096843+0.0026482i,0.0019271+0.004225i,0.0022848+0.0027516i,0.0024978+0.0013095i,0.0025269+3.234e-05i,0.0018863-0.0013218i,0.0014065-0.00099242i,0.0016776-0.0004981i,0.0023574-0.00080438i,0.0016721-0.00056319i,0.00022916-0.00062889i,-0.00091011-0.00087989i,-0.0017829-1.6376e-05i,-0.0012564+0.00068698i,-0.00044432+0.0001983i,0.00054923-0.00030707i,0.0012006-0.00037735i,0.0011642+4.4638e-05i,0.00035032+0.00023527i,-0.00013455+0.00028388i,0.00049147+0.00082681i,0.00076382+0.00053589i
0.0022786+0.0014136i,0.0028074+0.00073955i,0.0019796+0.0010921i,0.0016965+0.0013934i,0.0023443+0.0010682i,0.0019892+0.00021285i,0.0007629-0.00024556i,0.0005902+0.00063607i,0.00076612+0.0010987i,0.00047876+0.00085074i,-0.00017451+0.0010632i,-0.00047333+0.00072751i,-0.00017026+0.00050154i,-0.00057345+0.00048615i,-0.00069593+0.00047965i,-0.00013589+0.00063588i,0.00026828+0.00069753i,0.00031452+0.00059646i,6.4209e-05+0.00014496i,-0.00035435-0.00051137i,-0.00082936-0.00023431i,-0.00065134+0.00061339i,0.00039997+0.00096621i
-0.0018849-0.0014992i,-0.0020959-0.00072282i,-0.001716-0.00041164i,-0.00050188+0.00062589i,0.00072677+0.0012374i,0.0017044+0.0005406i,0.0011386-0.00036854i,-0.00071833-0.0013976i,-0.0013607-0.0021129i,-0.0013321-0.0020691i,-0.0012607-0.0013652i,-0.0011015-0.00054341i,-0.0010072+0.00018716i,4.5086e-05+0.0003958i,0.0011828+0.00047081i,0.00028383+0.00067632i,-0.00013512+0.00034866i,0.0008002-1.5262e-06i,0.0016147+0.00018132i,0.0014137+1.0343e-05i,0.00083941+0.000124i,0.00042382+0.00037832i,0.0007461-0.00025645i
-0.00045351-0.0020818i,-0.0009867-0.0021903i,-0.0011194-0.0013116i,0.00016742-0.00049534i,0.00094142+0.0001929i,0.00088298+0.00045282i,0.00090468+0.00010789i,0.0014151-0.00025153i,0.0014978-0.00077827i,0.00090198-0.001741i,1.4575e-05-0.002261i,-0.0007734-0.0014731i,-0.00022439-0.0003766i,0.00088642-0.00031286i,0.00071224+5.8845e-05i,0.00012058+0.00073121i,0.00069175+0.00078933i,0.00076302+0.00059739i,0.00053517+0.0006266i,0.00040037+0.00098146i,5.1975e-06+0.00041692i,0.00014978-0.00019778i,0.0005012+0.00030829i
1.4642e-05-0.0004386i,0.00094044+0.00012756i,0.0010114-0.00037728i,0.0004054+3.5029e-07i,0.00077179+0.00097688i,0.0018186+0.0010424i,0.0021751+0.00081594i,0.0016678+0.00056478i,0.0015698+0.00019657i,0.0014305-4.1891e-05i,0.00043203-5.9274e-05i,-0.00036563+6.8806e-05i,-0.00066363+0.0004087i,-0.0002057+0.00046816i,0.0002191+0.0004765i,-0.00012468+0.00046533i,0.0002966+0.00050381i,-0.00025186+0.00034525i,-0.00042568+0.00076191i,-0.00019028+0.0010537i,-0.00026014+0.00049399i,4.6419e-05+5.099e-05i,-0.00053818+0.00017315i
-6.0279e-05+8.2562e-05i,0.0001116+0.00086839i,-0.00045692+0.00051018i,-0.00027444-0.00016369i,2.7609e-05+9.0502e-06i,0.00043835+0.0006649i,0.00079504+0.00025226i,0.00078164-0.00037621i,-0.00049449+0.00011628i,-0.0017831+0.00054976i,-0.0019203+0.00045739i,-0.0011936+0.00035782i,-0.0013896+0.00032288i,-0.0011734+0.00086312i,-0.00015482+0.00099915i,0.00036148+0.00054166i,0.00067299+0.00074015i,0.0019935+0.00031322i,0.0027085-0.00019113i,0.0018362-0.00010039i,0.00098173+0.00012241i,0.00058233-0.00015985i,-0.00035391-0.00019134i
0.0019573+0.00030095i,0.00014129+0.00064253i,-0.00045092+0.00088772i,0.0013651+0.0011856i,0.0024158+0.00074776i,0.0019994-6.7491e-05i,0.00078267-0.0006146i,-0.00015612-0.0017079i,-0.00049406-0.0028672i,-0.00042621-0.0025067i,-0.0012204-0.001718i,-0.0024933-0.0012906i,-0.0015948-0.00063673i,-0.00019049-0.00026198i,-0.00034746+0.00021122i,-0.00015643+0.00070569i,0.00035146+0.0010878i,0.00045123+0.0012242i,0.00024429+0.00060272i,0.00020101+0.00044355i,0.0005129+0.0010083i,2.6983e-05+0.0009463i,-0.00010352+0.00024564i
0.00085351+0.00027255i,0.000637-0.0003239i,0.00066103-0.00045595i,0.0008903-0.00047707i,0.00078572-0.00035147i,0.00072359+0.00049769i,0.0008775+0.00029001i,0.0016803-0.00035981i,0.0024776-0.00055587i,0.0024298-0.0010709i,0.00091978-0.0012481i,-0.00090193-0.00084694i,-0.0020014-0.00059883i,-0.0013448+0.00012689i,-0.00027476+0.00052368i,-0.0005246-9.8664e-05i,-0.00063538-0.0001195i,0.00029819-0.0006145i,0.00015578-0.00034967i,-0.00053361+0.00063874i,-0.0004563+0.00068398i,-0.00044826+0.00013364i,-0.00010639+0.00073652i
-4.4345e-05+0.0020668i,0.00062167+0.0019736i,0.0016695+0.002538i,0.0032088+0.0023724i,0.0033279+0.00097965i,0.0026184-8.1735e-05i,0.0010781+0.00026855i,-0.00018209+0.0017605i,0.00012626+0.0021316i,0.00082832+0.001583i,-3.1241e-05+0.00041578i,-0.00089948-0.00081874i,-0.00090709-0.00076268i,-0.00060379-9.9969e-05i,-0.00087469-6.9747e-05i,-0.00084641+0.00010763i,-0.0009583+0.00039542i,-0.000214+0.00027736i,-0.00012297+0.0010528i,-0.00063926+0.0013879i,-0.00059144+0.0004559i,-0.0010367-0.00014629i,-0.0011266-0.00019379i
0.0017617-0.0010879i,0.0013086+0.00029666i,0.00097083+0.00064442i,0.0016414+0.00033209i,0.0019303+0.00063666i,0.001147+0.00071883i,0.00038969-2.1723e-05i,-0.00046991-0.00083516i,-0.00092641-0.0015858i,-0.0014256-0.0016432i,-0.0019674-0.0013415i,-0.0022698-0.00062008i,-0.00177+0.00023434i,-0.00075928+0.0006221i,-0.00019683+0.00080897i,0.00054536+0.00046324i,0.00062672+3.8044e-06i,0.00066642-0.00045162i,0.00063661-4.0302e-05i,6.8317e-05+0.0004151i,2.6112e-05-0.00043092i,-0.00015139-0.00024918i,-0.00045397-7.3356e-05i
-0.00042561-0.0023507i,-0.00089327-0.002348i,-0.00073827-0.0020087i,0.00031481-0.00067023i,0.0013823+0.00044651i,0.0013875-7.9897e-05i,0.0008332-0.00078685i,0.00057225-0.0015056i,0.00058008-0.0023139i,0.00039026-0.0029081i,-0.00035829-0.0022361i,-0.0010085-0.0012507i,-0.00079254-0.0010476i,-0.00086841-1.8297e-05i,-0.001099+0.00069396i,-0.00067995+4.6994e-05i,0.00058991-0.00040043i,0.0012966-0.00026003i,0.0011459+0.00047313i,0.00040345+0.001382i,-0.00044215+0.00086878i,-0.00086788-4.2137e-05i,-0.00088585+0.00026014i
-0.002004-0.0022777i,-0.0013261-0.0013067i,-0.0012507-7.6689e-06i,-0.00081081+0.001184i,-9.8848e-06+0.0022779i,0.0016664+0.0018341i,0.0024445+0.00065805i,0.0015976+0.00042783i,0.0015449+0.00079253i,0.0020424+0.00087674i,0.0017234+0.00059834i,0.00063641-0.00048179i,-0.00026232-0.0014207i,-0.00014157-0.00099634i,0.00063763-0.00024526i,0.0013649+0.0004399i,0.0010667+0.00082721i,0.00042558+0.00062876i,0.00044259+0.00036326i,0.00021451+0.000276i,-0.00070922+0.00018151i,-0.00080312+0.0005032i,-0.00027195+0.00031882i
0.0023619+0.0010601i,0.0024962+0.0027292i,0.002801+0.0017095i,0.0021056+0.0013379i,0.0018501+0.0011716i,0.0012603+0.00043468i,-0.00018701+0.0005164i,-0.0010501+0.00043631i,-0.00092097-1.6774e-05i,-0.00067799+4.7185e-05i,-0.0005143+0.00011111i,-0.00097413-5.6553e-05i,-0.0016438+0.00032199i,-0.00040671+0.00093555i,0.00049129+0.0015548i,0.00074818+0.00084437i,0.00053969+8.6055e-05i,-9.863e-05-8.8575e-05i,-0.00048912+0.00023497i,-0.00072857+0.00016069i,-0.00065974-0.0003025i,-0.00069434-0.00030649i,-0.00043189-1.049e-05i
0.0021029-0.00050456i,0.00079345-0.001112i,-0.00022852-0.0017698i,0.00025343-0.00071851i,0.00035327+0.0007253i,0.00049401+0.00022411i,0.00024629-0.001012i,0.00016865-0.0017673i,-0.00027445-0.0021198i,-0.0016373-0.0020516i,-0.0022604-0.0012506i,-0.0022997-0.00092264i,-0.0017395-0.00071004i,-0.0011821+0.00017654i,-0.00055985+0.00065602i,0.00017893+0.00060796i,8.546e-05+0.00079358i,0.000504+0.00071362i,0.0011295+0.00014434i,0.0008507+0.00015585i,0.00029182+0.00085556i,0.00036855+0.00092397i,0.000344+0.00041888i
5.2111e-05-0.0019516i,0.00023344-0.0025111i,0.00025572-0.0027258i,0.00040067-0.0013625i,0.00075424-6.4794e-05i,0.00049589+0.00023718i,0.0010369-0.00017564i,0.0022286-0.00071439i,0.0030297-0.0011479i,0.0020391-0.0018326i,0.00013738-0.0024762i,-0.00089915-0.0018314i,-0.00088896-0.00046223i,-0.00042096+1.8121e-05i,0.00035098-0.00026549i,0.00034565-0.00040806i,0.0004166-0.00048803i,0.00078322-0.00092829i,0.00084518-0.0010157i,0.00058105-0.00054263i,-6.4987e-05-0.00031004i,-0.00042244-0.00039761i,0.0001234-6.2971e-05i
0.0016788-0.0026741i,0.00073376-0.0015905i,-0.00018238-0.0020093i,0.00045888-0.0018299i,0.00070232+0.00042024i,0.0013358+0.0015836i,0.0011658+0.0022763i,0.00078068+0.0031036i,0.00025444+0.002914i,-0.00018291+0.0016094i,0.0010621+0.00055983i,0.00079024-0.00029059i,-0.00011134-0.00039541i,0.00040793+0.00042094i,0.0014976+0.00035462i,0.0025295+0.0001745i,0.0015357+0.00096724i,0.00032899+0.0010307i,0.00047727+0.00064171i,0.00026236+0.00056632i,-3.0738e-05+0.00019999i,-0.00018358-6.9453e-05i,-0.0010783-7.0268e-05i
0.00076883+0.00052671i,0.0011713+0.00068649i,0.00053447+0.0016513i,0.0002051+0.0018725i,0.0014188+0.0013199i,0.0017204+0.00086388i,0.00051852+0.00010407i,-0.00059292-0.000934i,-0.0011445-0.0018189i,-0.0016977-0.0015018i,-0.0021083-0.00021669i,-0.0017192+0.0002949i,-0.0018667+0.00058446i,-0.0016736+0.0015134i,-0.00033878+0.0016185i,-0.00014596+0.0010707i,-0.0006244+0.0010615i,-0.00060579+0.0014459i,-0.00024158+0.0012419i,-0.00047341+0.00049203i,-0.00074054+8.4243e-05i,-0.00016922+0.00010977i,0.0002498+0.00017735i
0.0012667-0.00048172i,0.00042229-0.00085394i,0.00033348-0.0017186i,0.001837-0.00086043i,0.0027727+0.00020117i,0.0020987-0.00010982i,0.0015721-0.000629i,0.0010567-0.0013412i,0.00089359-0.0026257i,8.6654e-05-0.0030446i,-0.0015283-0.0020042i,-0.0018001-0.0017359i,-0.0013852-0.0014658i,-0.0013479-0.00029041i,-0.00085488+0.00049639i,0.00037565+0.00060057i,-5.9087e-05+0.0004693i,-5.048e-05+0.000818i,0.00099423+0.00086516i,0.00046403+0.00069472i,-0.00021448+0.00030125i,0.00052855+0.00025008i,0.00056527+0.00042703i
0.0017091-0.00079314i,0.0029043-0.00098486i,0.0029648-0.0019743i,0.0030134-0.0018804i,0.0025983-0.0012486i,0.0019741-0.00035534i,0.0015859+0.00031546i,0.0019485+0.00046932i,0.002176-0.00059666i,0.0014334-0.00093072i,0.00014083-0.0002784i,-0.0004656-0.0002082i,-0.0010951-0.00082737i,-0.00079674-0.00071219i,0.0010136-0.00024212i,0.0012272-0.00030825i,0.0010832-0.00033642i,0.0013334-0.00012188i,0.00032125+0.00068697i,-0.00046411+0.00030157i,-0.00060493-0.00097904i,0.00013827-0.00088001i,0.00038876+3.5573e-05i
0.00022915-0.0010543i,-0.00012676-0.0011757i,-0.0008665-0.0014905i,-0.00077225-0.000405i,0.00073928+0.00074771i,0.0017515+0.00023305i,0.0009315-0.00090556i,-0.00072973-0.00028455i,-0.0015891+0.00066026i,-0.0012753+0.0013705i,-0.0010539+0.0012715i,-0.00098082+0.0001194i,-0.0010615-0.00038875i,-0.00074355-0.00018054i,6.6702e-05-7.3761e-05i,0.00085961-0.00015467i,0.0012667+0.00030372i,0.0012233+0.00075995i,0.001779+0.00063886i,0.0011547+0.00061448i,-0.00032858+0.00081107i,-0.00087245+0.0003526i,-0.00072101-0.0004921i
-0.0022826+0.00036246i,-0.0021825+0.00087555i,-0.0022502+0.0014064i,-0.0010815+0.001518i,0.00033126+0.0013209i,0.0010485+0.0010286i,0.00039515-0.00014883i,-0.00097187-0.001905i,-0.00091529-0.0023421i,-0.00081092-0.00091437i,-0.0012784-0.00041702i,-0.00106-0.00079799i,-0.001373-0.00083317i,-0.0019631-6.2165e-05i,-0.0012389+0.00094336i,-0.00035859+0.00065876i,0.00014348+0.00066529i,0.00030555+0.00068599i,0.00077612+0.00017419i,0.00083511+0.00055414i,2.2629e-05+0.00039697i,-0.00020756-0.00046699i,0.00022591-0.00031177i
0.00091467-0.0008965i,0.00084965-0.001648i,0.00058427-0.001992i,0.00049342-0.00078154i,0.0011131+0.00040953i,0.0015203-5.1873e-05i,0.0016761-9.5166e-05i,0.0019411-1.7587e-05i,0.0024867-0.001062i,0.0015992-0.0021599i,0.00047916-0.0021373i,-0.00040431-0.0011874i,-0.0015497-0.0013175i,-0.0015688-0.001113i,-0.00084197-0.00046979i,-0.00031916-0.00017079i,-0.00051731+0.00036794i,-0.00035198-0.00040967i,5.0259e-05-0.00084665i,-0.00015556-0.00046192i,4.845e-05-2.4609e-05i,0.00057945+0.0011534i,0.00049053+0.0010464i
0.0026814-0.00045924i,0.0027566-0.00076484i,0.0027174-0.0015819i,0.0021298-0.0019787i,0.0011823-0.0015277i,0.00057179-0.0013474i,0.00037457-0.001103i,0.00049429-0.00066293i,0.0010064-1.2049e-05i,0.001292+0.00019446i,0.0012526-0.00021406i,0.00052025-0.00043487i,-0.00046118+4.5335e-07i,-0.00063742+0.0001675i,-0.00053933+0.00035976i,-0.00017254+0.00038927i,-0.00019458+9.4254e-05i,0.00011037+0.00041695i,-9.9413e-05+0.0002076i,-0.00065379-0.00013864i,-0.00034568-0.00019473i,0.00014799-0.00026443i,6.8655e-05-0.00039821i
-0.00094206+0.0013129i,-0.00026584+0.001953i,0.00073115+0.0024851i,0.0011447+0.0032255i,0.0012032+0.0022892i,0.00061987+0.0011885i,-0.00046965+0.00056686i,-0.0016876-0.00012247i,-0.0023022-1.6484e-05i,-0.0017225+0.00088746i,-0.0016807+0.0008097i,-0.0016961+0.00037477i,-0.00105+0.00048388i,0.00028313+0.0011284i,0.00075663+0.000357i,0.00039093-0.0006208i,9.3514e-05+5.9834e-05i,0.00023971+0.0006757i,0.00069918+0.00056983i,0.00071567+0.00018522i,0.00098477+0.00014136i,0.00059929-8.5748e-05i,-0.00015732-0.00095106i
0.00015607+0.00080304i,0.00010658+0.0011342i,0.00061147+0.00017925i,0.00084171-0.00047319i,0.0011285-0.00036565i,0.0016446+8.6645e-05i,0.0011547-0.00076346i,0.00065126-0.0023306i,0.0013847-0.0028467i,0.0014921-0.0026504i,-0.00018083-0.0017719i,-0.001792-0.00045206i,-0.0017129+3.0367e-05i,-0.0011563+0.00016718i,-9.8379e-05+0.00056095i,0.00029731+0.00070193i,0.00055642+0.00074254i,0.00055382+0.00093827i,0.00024772+0.00065243i,7.7182e-05-6.8049e-05i,0.000182-0.00026834i,0.0009964+0.00014962i,0.0011771+0.00048249i
