-0.002567-0.00023634i,-0.0023964-0.00049275i,-0.0020384+0.00046376i,-0.00066792+0.0014501i,0.00012889+0.001836i,0.00039327+0.0017363i,0.0002323+0.0017649i,9.9464e-05+0.0016301i,0.00067887+0.0011029i,0.0010266+0.00027526i,0.00094438-0.0002979i,0.00080299-1.8552e-05i,0.00072523+0.0003865i,0.00030124+0.00059439i,0.00016308-0.00043149i,0.00056501-0.0014756i,0.00044705-0.00060324i,0.00064788+0.00061257i,0.00021787+0.00088219i,2.4321e-05+0.00049731i,0.00021252-0.00022056i,-0.00015216-0.00028515i,0.00029877+0.00051142i
0.0014647-0.00074353i,0.00077798-0.00015452i,-0.0019827-0.00031224i,-0.0030743-0.001277i,-0.0015915-0.00053153i,-0.00068169+0.0010158i,-0.0004867+0.00072428i,-3.5679e-05+9.5786e-05i,-9.7786e-05-3.1364e-05i,-0.00043014-0.00031707i,-0.00022948-2.6566e-05i,0.00097838+0.00047617i,0.0016852+0.00084344i,0.00070102+0.00098445i,-1.9757e-05+0.00023962i,0.00038109-0.00032186i,0.00051803-3.8265e-05i,0.0008541+0.00022835i,0.0013363+0.00044497i,0.0013521+0.00076063i,0.00059432+0.00052081i,-0.00015469-0.00018912i,-0.00050068-0.00047149i
-0.0022905-0.0014451i,-0.0024064-0.00067354i,-0.0032637+0.0010997i,-0.0027781+0.0019228i,-0.0019374+0.0020419i,-0.001094+0.0017356i,-0.00056436+0.00097792i,-0.00068742+0.00030155i,-0.00045116-0.00024578i,-0.00017194-0.00026931i,0.00031549+0.00053951i,0.0012211+0.00081451i,0.0005253+0.00044636i,-6.8636e-05-0.00072232i,0.00097487-0.0014391i,0.00091368-0.00060107i,-9.4446e-05-8.4307e-05i,-0.00024388+5.9816e-05i,2.1166e-05+0.00060177i,3.4789e-06+0.0004485i,-0.00049053-4.0563e-06i,-0.00026373-0.00036902i,0.00028485-0.00030722i
0.00029593-7.6897e-05i,0.00026714+0.00029752i,0.0014486+0.0012709i,0.0021901+0.00064339i,0.0016428-0.00041584i,0.00076832-0.00076898i,0.00081022-0.0009338i,0.0010817-0.0011619i,0.00047666-0.0012162i,-0.00059924-0.00097796i,-0.0008541-0.00049355i,-0.00090384-6.0877e-05i,-0.00063819+0.00036495i,6.6113e-06+0.0001667i,0.00016071-0.00068602i,0.00029663-0.00049949i,0.0007116+0.00036534i,0.00088298+0.00058921i,0.0001749+0.00054036i,-0.0002616+0.00058358i,0.00023357+0.00023334i,0.00018989-0.00077341i,0.00027387-0.0010559i
-0.00036367+0.0014688i,-0.0016034+0.0014677i,-0.0024919+0.0022163i,-0.0013004+0.0012318i,0.00069169+7.3061e-05i,0.00034637-0.00035591i,-0.00054916-0.0007145i,-0.0010722-0.00035406i,-0.0013556+0.00018777i,-0.00082561+0.00013356i,-0.00065283-0.00034847i,-0.0008593-0.00023332i,-0.001142+9.4982e-06i,-0.00115-5.2057e-05i,-0.00058204-0.00066277i,-1.5852e-05-0.0008302i,0.00025135-0.00017362i,0.00015179-0.00016659i,6.0046e-05-0.00031787i,5.9216e-05-0.00014687i,-0.00056255-0.00012266i,-0.0007084-0.00020793i,-0.00047645-0.0002122i
-0.001393-0.0018165i,-0.0027327-0.00012229i,-0.0025245+0.00082989i,-0.001629+0.0010396i,-0.00083484+0.00010003i,-8.0785e-05-0.00026875i,0.00018923-0.00029502i,-0.00035468-0.000739i,-0.0012288-0.00090015i,-0.0014981-0.00043112i,-0.00094346+0.00037892i,0.0001187+0.00055765i,0.00076572+0.00080499i,0.0010049+0.00053059i,0.00067037-0.00018508i,0.00045676-0.0010268i,0.00045435-0.0012031i,2.8334e-05-0.00074343i,-0.00012622-0.00065865i,-9.7169e-05-0.00069035i,9.4085e-05-0.0001233i,-6.0893e-05-0.00021016i,-0.00031496-0.00022878i
-0.0022709+0.001767i,-0.0013412+0.0028286i,0.00034532+0.0036828i,0.00088904+0.0032217i,-2.1146e-05+0.0015343i,-0.00036912-0.00027025i,-0.00020225-0.001368i,-0.00050996-0.0010726i,-0.00036235-0.00056179i,0.0003126-0.00011309i,-9.4573e-05-7.4915e-05i,-0.00022748-0.00056263i,0.00087442-0.0011109i,0.0010339-0.0014103i,0.00091808-0.0012608i,0.00041943-0.0010064i,-0.00033729-0.00066055i,8.1368e-07-0.00039423i,0.0003137-0.00016025i,-2.8179e-05+0.0001155i,-0.00060012-3.2388e-05i,-0.0004533+9.342e-05i,0.00029079-7.1013e-05i
0.0026363+0.00093712i,0.0018812-0.00082563i,0.00053043-0.001451i,0.00036607-0.0018576i,0.00025642-0.0014455i,-0.00086889-0.0011835i,-0.001067-0.00064142i,-0.00071937-0.00016623i,0.00020139-0.00027551i,0.0015716-0.00034501i,0.00088966-0.00082537i,-0.00064766-0.0010555i,-0.00047067-0.00065886i,0.00059001-0.00021143i,0.00047022+0.00018166i,-0.00020754-0.00028637i,-0.00063084-0.0007062i,-0.0004804-0.00062175i,-0.00011176-2.5843e-05i,0.00010569+0.00050988i,0.00014819-0.00030374i,4.6991e-05-0.00058946i,0.00020525+0.00045834i
-0.00012646-0.0011244i,-0.00015468-0.0015637i,-0.0014572-0.00079591i,-0.0015075-0.00022017i,-0.00030334-0.0001774i,0.0005463+0.00059853i,-0.00014479+0.00068704i,-0.00076715-0.00037859i,-0.0013036-0.00077158i,-0.0013386-0.00015956i,-2.7161e-05+0.00066121i,0.00074473+0.00064687i,0.00031398-0.00049257i,0.00025183-0.00087927i,0.00014058-0.00028785i,3.8809e-05-0.00034837i,-0.00033119-0.00038841i,-0.00046259-0.0005027i,-0.00052713-0.00046801i,-0.00085789-0.00055508i,-0.00075045-0.00059049i,-0.00042689+0.00078099i,-0.00097748+0.0014371i
0.0015234+0.00017637i,0.00075196-0.00029116i,-0.00019894-0.00075244i,-0.0011272-0.00064142i,-0.0011977-0.00026452i,-0.0014457+0.00038514i,-0.0012566+0.00034954i,-0.0013816+0.00015025i,-0.0015658-0.0001571i,-0.0017369-0.0004904i,-0.0014546-0.0003126i,-0.0011928+0.00017798i,-0.00040628+0.00053536i,-8.2767e-05+0.00095793i,-0.0005503+0.0012723i,-0.00012077+0.0010087i,0.00052918+0.00017511i,0.00066084-0.00024283i,0.00038149-0.00057689i,0.00027292-0.0010382i,9.999e-06-0.00061979i,0.00032689-0.00051866i,0.00059907-0.00066835i
-0.00012205+0.0014502i,0.0006093+0.0013427i,0.00091388+0.0015273i,0.0011077+0.0013537i,0.0016297+0.0010534i,0.00053032+0.0001348i,-7.2489e-05-0.00031389i,0.00012685+0.00019014i,-0.0004628+0.00014364i,-0.00073038-4.2586e-05i,-0.00057401+0.00048649i,-0.00046856+0.00026217i,0.00022136-0.0005134i,0.00096177-0.00049085i,0.00071258-0.00033821i,0.00023854-0.0006298i,0.00022981-0.00049564i,0.00053661+0.00026626i,0.00069988+0.00068266i,0.00022136+0.00032558i,-5.66e-05+0.00042468i,0.00016821-5.6991e-05i,0.00016128-0.0010778i
-0.0012342+0.00026217i,-0.0011308-0.00054208i,-0.00084876-0.00098086i,0.00028773-0.00047574i,0.0011239-0.00048731i,0.00033851-0.00071796i,-0.0010344-0.00048038i,-0.0013583-0.0001724i,-0.0011108+9.3642e-05i,-0.00079013-0.00043049i,-0.0003112-0.00046809i,0.00041856+0.00012476i,0.00060206+0.00014844i,-3.8126e-05-0.00052653i,4.2064e-05-0.00090047i,0.00066704-0.00091555i,0.00032963-0.00082059i,-0.00073724-0.00037602i,-0.00085019-0.00046076i,-0.00020349-0.00046385i,-0.00024092+0.0008774i,-0.00014805+0.00099037i,-0.00011747-0.00069213i
0.0028399+7.757e-05i,0.0026951-0.00092313i,0.0017965-0.0022902i,0.00020994-0.0024801i,-0.0015059-0.0020209i,-0.0020295-0.0014877i,-0.00077913-0.0010019i,3.6114e-05-0.00056705i,-0.00017108-0.00050831i,-0.00048256-0.00020013i,-0.00052055+0.00042471i,-0.00092297+0.00046236i,-0.0012249-0.00015526i,-0.00045128-0.00044971i,-0.00059415+7.3346e-05i,-0.00010699+8.4008e-05i,0.00053963+1.7448e-05i,0.00052695+8.441e-05i,0.00037337+0.00034073i,0.00013998+0.00042464i,-0.00013585+0.00017153i,-0.00035167-0.00031254i,-8.1786e-05-0.00061101i
-0.00069459-0.00055163i,-0.00089994+0.00065794i,-0.0017382+0.0010532i,-0.0016547+0.0012758i,-0.00089946+0.0019654i,-0.00097595+0.0017758i,-0.0006665+1.2612e-05i,0.00084299-0.00055599i,0.0012085+0.00063954i,0.00037448+0.000592i,0.00017623+0.00016444i,0.00061068+0.00040084i,0.00060355-0.00014759i,0.0007765+2.6036e-06i,0.00088233+0.00038431i,-0.00032937-4.7907e-06i,-0.00043698-0.00028629i,-4.1085e-05+0.00019981i,-0.00033578+0.00055284i,-0.00042979+0.00042106i,-3.9565e-05-0.0001102i,4.1175e-05-0.00072079i,-0.00051754-0.0013316i
0.00069418+0.00037579i,0.00028283-0.00070927i,9.9482e-05-0.0015404i,0.00095326-0.0013538i,0.0012251-0.00087975i,0.00010104-0.00081274i,-0.00067235-0.00034734i,-0.00049816-0.00025927i,-0.0001921-0.001286i,-0.00031281-0.0015226i,-0.00042331-0.00020053i,-0.00062506+0.00037308i,-0.0011949-0.00012793i,-0.0011715-0.0005141i,-0.00037167-0.00068362i,0.00021448-0.00055896i,0.0002863-0.00020756i,0.00016929+0.00034778i,0.00035109+0.00043857i,0.00017019+0.00016442i,0.00038543-0.00030909i,0.00088365-0.00083605i,0.00070022-0.00045396i
-0.00060847-0.001557i,-0.00084685-0.0011825i,-0.0010046-0.00058147i,-0.00044329+0.00063201i,-0.0006249+0.0013733i,-0.0006203+5.997e-05i,-0.00053898-0.000109i,-0.00019608+0.0001378i,-0.00019538+5.3667e-05i,-0.00081813-1.7491e-05i,-0.00096381-0.00077922i,-0.00083997-0.00087724i,-2.1013e-05-0.00057654i,0.00059213-0.00018446i,0.00047536+0.0001047i,0.00016347+0.00015053i,0.00025953+0.0003347i,9.4465e-05+0.00014137i,-0.00032613-0.00029418i,-0.00022913-0.00031852i,0.00033423+0.00017612i,0.00040459-0.00011812i,-0.00040355-0.00053265i
0.0011123-0.00084524i,0.00061862-0.0016171i,-0.00037033-0.0022728i,-0.00070592-0.0015301i,-0.0012629-0.00025398i,-0.0017451+0.0010126i,-0.00075941+0.0008864i,-8.7422e-05-0.0008434i,-0.00028603-0.0007061i,-0.00049216+5.0326e-05i,-0.0006936+3.2097e-05i,-0.00081643+0.00010762i,5.6711e-05+4.0983e-05i,0.00045377-0.0001814i,0.00017825-4.9688e-05i,-0.0006174+0.00038637i,-0.0010376+0.00038219i,-0.00014843+0.00072051i,-0.00024628+0.0010946i,-0.00098312+0.00042665i,-0.0010845+1.6673e-05i,-0.0013134-0.00010674i,-0.0012971-0.00045361i
-0.0012143+0.00051121i,-0.0015121+0.00051542i,-0.0019483+0.00080748i,-0.0022203+0.00095553i,-0.00073679+0.00033064i,-0.00026501-0.00076875i,-0.0007672-0.00085984i,-0.00059254-0.00042078i,6.4038e-05-0.00063219i,0.00021523-0.00039908i,-0.00013883-0.00017297i,0.00053642-0.00063685i,0.00044051-0.00056118i,0.00040126+2.3486e-05i,0.00050593-0.00016123i,5.613e-05-0.00065429i,-0.00016232-0.0012524i,-0.00075758-0.0010289i,-0.00065771-0.00036658i,-0.00017924+0.00013534i,-9.0745e-06+0.00053248i,-3.7993e-05+0.0005776i,-3.6308e-05-0.00040886i
-0.0005371+0.00034822i,-0.0011202-3.3341e-05i,-0.0010701+0.00064796i,-0.00091655+0.0010874i,-0.0015561-0.00015967i,-0.0016421-0.00035128i,-0.001137-0.00029322i,-0.00042438-0.00032045i,-0.00023291+9.5365e-05i,-0.00011018+0.00019202i,0.00053396+0.00038147i,0.00048367+0.00068018i,0.00059528+0.00087104i,0.00080671-0.00026188i,0.00018021-0.00079364i,4.8906e-05+0.00014907i,-9.367e-05+0.00025676i,-0.00011492-0.00079665i,0.00017159-0.00097023i,-0.0001082-0.00030876i,-0.00050194+0.00042006i,-0.00012509+0.00019395i,0.00017413-0.00068476i
0.0012333-0.00062884i,0.00093895-0.00081084i,0.0014914-0.0013543i,0.0016667-0.0014095i,0.00099894-0.00030488i,-7.9067e-05+0.0001528i,-0.00069985+5.0907e-05i,-1.4836e-05-0.00046618i,0.00028085-0.00072118i,-8.063e-05-0.00017269i,0.00018462+0.00023126i,0.00014987+0.00049061i,3.9645e-05+0.00081859i,-0.0004732+0.00039551i,-0.0012949-0.00019717i,-0.00081379-0.00036743i,0.00030021-0.00032524i,0.00073624-0.00040234i,0.00061854-0.00020245i,0.00022501-3.4268e-05i,6.8398e-06-0.00045574i,0.00012497-0.0003266i,0.00018396-9.6586e-05i
-0.00025563+0.00051126i,-8.325e-05+0.0010214i,-0.00020681+0.0012265i,-0.00070086+0.0013693i,-0.0010747+0.00055929i,-0.0012486-0.00062178i,-0.0011386-0.00070475i,-0.00059772+0.00023077i,-0.00022178-2.562e-05i,0.00013358-0.00066338i,0.00026796-0.0008381i,2.4893e-05-0.00076572i,-0.00037907-0.00027255i,-0.00077866+0.00021113i,-0.00057679-0.00018116i,-0.00030022-0.00059416i,-0.00051586-0.00022458i,0.00016134+0.00070235i,9.0292e-05+0.00057635i,-0.00048798-0.00022962i,0.00051395-8.1993e-05i,0.00085549-9.7519e-05i,0.00016132-0.00040217i
-0.00033405-0.0017218i,0.0005264-0.0012474i,-0.00064338-0.001136i,-0.0023077-0.00026861i,-0.0018758+0.0013876i,-0.00073228+0.0020766i,0.0008507+0.0011059i,0.0017132-0.00054589i,0.00081581-0.00092645i,0.00036366-0.00041777i,0.001134-0.00014754i,0.0014336+9.0172e-05i,0.00096602+0.00077803i,0.00027623+0.00054538i,0.00056133+8.9705e-06i,0.0011984+0.00054914i,0.00056885+0.0005496i,-0.0006075-1.8155e-07i,-0.00038234-0.00012685i,9.7146e-05+0.00025412i,-0.0002783+0.00023449i,-0.00031671+0.00035225i,-0.00060359+7.8605e-05i
0.0049655+0.0090345i,0.0070771+0.0086775i,0.010669+0.0037108i,0.0088653-0.002494i,0.0046072-0.0057557i,-0.00019006-0.0050124i,-0.0016913-0.0016068i,-0.00037465+0.00045694i,0.0012046+0.00090726i,0.0014698-0.00096192i,-8.7535e-05-0.0024175i,-0.0014495-0.0020294i,-0.0026805-0.0014043i,-0.0041599-0.00087483i,-0.0045558-0.00071864i,-0.0032932-0.00067025i,-0.0012381-0.00020866i,-0.00031353+0.00050119i,-0.00028687+0.0011351i,0.00072049+0.00092973i,0.0013379+0.00032614i,0.0010977-0.00038916i,0.0010366-0.0011095i
-0.00073006+0.00086085i,-0.00108+3.9399e-05i,-0.00055581-0.00051633i,-0.0008353-0.0010287i,-0.0017103-0.0014862i,-0.0026263-0.00056043i,-0.002704-0.00011369i,-0.0014862-0.00042468i,-0.0005731-0.00049479i,0.00021141-0.00066812i,0.0004597-0.0009002i,0.0001646-0.00013272i,-8.6087e-05+0.00026328i,-0.00047514+0.00025802i,-0.00031037+1.6563e-05i,7.858e-06-0.00070623i,-0.00041512-0.00065075i,-0.00069257+0.00063444i,-0.00050206+0.00091917i,4.6e-05+0.00077575i,0.00094143+0.00033344i,0.00064922-0.00021514i,-0.00040146-0.00041062i
-0.00084852-0.001384i,-0.00010169-0.001166i,0.00037345-0.00049932i,0.00052702+0.0010281i,0.0009894+0.0026276i,0.001259+0.002011i,0.00077741+0.00026575i,0.00039123-0.00030057i,-5.8709e-06-0.00018445i,5.1863e-05-0.00043984i,0.00054864-0.00068584i,1.0596e-05-0.00026095i,-0.00028954+0.00015932i,-0.00014754+0.00035615i,0.00011458+0.0013179i,0.00078009+0.0014192i,0.0013295+0.00039326i,0.0014805-6.9877e-06i,0.00051446-3.1513e-05i,-0.00010039+1.9823e-07i,0.00015819+0.00025731i,0.00058376+0.0007264i,0.00039916+0.00057209i
-0.00070912+0.00074501i,-0.00081227+0.0011682i,-0.0010054+0.0017007i,-0.0013773+0.00050707i,-0.0007559-0.00099655i,-0.00047737-0.0011634i,0.0003167-0.00098709i,0.00035849-0.00054169i,-0.0003316+0.00038685i,-0.00034695+0.0011759i,-0.00040578+0.00073327i,0.00015186-0.00010703i,0.00042955+0.00012862i,-6.2996e-05+0.00063715i,-0.0005376+0.00067781i,-0.00040106+0.00066488i,0.00020687-0.00015612i,0.00012431-0.00077179i,-0.0004196+0.00050065i,-0.00054313+0.0017865i,-0.00055824+0.001451i,-0.00014853+0.0010519i,0.00045556+0.00067658i
-0.0015207+0.0010001i,-0.0018696+0.00018506i,-0.0018282-0.00025468i,-0.00085163+0.00049811i,-0.00031615+0.0012215i,-0.0006663+0.0010107i,-0.00043962+0.00083269i,4.6129e-05+0.00042671i,0.00046975-8.0011e-05i,0.00143+7.6831e-06i,0.0016322+0.00022699i,0.0014831+0.00017105i,0.0010102-0.00023247i,0.00048262-0.00026568i,0.00069163-0.00039127i,0.00055878-0.00062777i,0.00039138-8.0254e-05i,0.00043272-0.00016658i,0.00021954-0.00023325i,0.00076872+0.00055397i,0.0011138+0.00075935i,0.00095446-5.268e-05i,0.001029-0.00077436i
-0.00066341-0.00062135i,-0.00016019+0.00022677i,-0.00071595+0.00063863i,-0.0010459-0.00017481i,-0.0012018-0.0012933i,-0.0014725-0.0016043i,-0.001134-0.0011476i,-0.00053712-0.00070024i,-0.00069935-0.00065505i,-0.0014222-0.00039827i,-0.0013375-0.00011295i,-0.00075146+0.00012158i,-0.00044464-0.0003896i,1.3748e-05-0.00078005i,0.00079602-1.5696e-05i,0.0007917-3.9709e-05i,-1.653e-05-0.00048337i,6.3834e-05-0.00017173i,0.00084162+0.00014434i,0.0008437+0.00016827i,0.00038718-0.00023797i,1.5677e-05-0.00021345i,-0.00053709-0.00011069i
0.00024634-0.0015834i,-3.6464e-05-0.00079465i,-0.0002388-0.00038169i,-0.00035628+0.00023357i,5.225e-05+0.00021176i,0.00011858+0.00038512i,0.0001161+0.00027196i,0.00028539-0.00026169i,-0.00018914-0.00011957i,-0.00059-0.00022907i,5.0779e-05-0.00047519i,0.00018414-0.00020021i,0.00094852-0.000676i,0.0018481-0.0005717i,0.0014361+0.00023814i,0.0011587-0.00031517i,0.0009328-0.00039131i,0.00051416+0.00018671i,0.00037847+0.00020731i,0.00034946-0.00011355i,-2.1602e-05-0.00038515i,0.00045901-2.6304e-05i,0.00023793+0.00036293i
0.00046097+0.00064014i,0.00046602+8.1704e-05i,-0.00077595-0.0011257i,-0.0018254-0.0010988i,-0.0019199-0.00076461i,-0.0018347+0.00047707i,-0.0018255+0.0017421i,-0.0010329+0.00079898i,-8.0543e-06-7.2461e-05i,-0.00027178-0.00043918i,-0.00059414-0.00049737i,-0.00052768+0.00075501i,2.6084e-05+0.0012328i,4.5528e-05+0.00071359i,-0.00052649+0.00064251i,-0.00087002+0.00025007i,-0.00036635-0.00015158i,4.3785e-05-0.0003525i,-0.00022115-0.00023564i,-0.00017603-0.00054064i,0.00038659-0.001253i,0.00057392+0.00056271i,0.00040905+0.0020581i
0.0013234+0.001086i,0.00097566+0.00022704i,0.00093661+6.5674e-05i,0.00076428-0.0011347i,0.00088925-0.001621i,0.00027624-0.0013832i,-0.00015815-0.0012008i,0.00051981-0.00089467i,0.00058366-0.00066649i,0.0001883-0.00068338i,1.1241e-05-0.0003732i,0.00012065+0.00017346i,0.00020126-0.00021028i,-0.00040191-0.00087116i,-0.00039068-0.00076442i,0.00020263-0.00014425i,0.00028573-7.0098e-05i,0.00037237+0.00013626i,-3.5021e-05+0.00054947i,0.00014073+0.00067064i,0.00054893+0.00047709i,0.0003468-0.00021847i,-0.00040054-0.00044096i
-0.0030401-9.5024e-05i,-0.0025725+0.0014938i,-0.0022322+0.0033675i,-0.001253+0.0025038i,-0.00043708+0.0014461i,0.00029159+0.00096889i,0.00038129-6.1874e-05i,0.00030052-0.00042696i,0.00030126+0.00019026i,0.00030647-5.3824e-05i,0.00054849-0.0010822i,0.00092901-0.0011306i,0.0011392-0.0010677i,0.0008396-0.0013206i,0.00055686-0.0014555i,0.00052763-0.0011671i,-0.00014824-0.00024607i,-0.00018773+0.0004058i,0.00048161-5.2644e-05i,2.4248e-05+0.00011149i,-0.00028687+0.00016674i,0.00020376-0.00019555i,0.00064313-8.2927e-05i
-0.0016554+0.00094478i,-0.0020681+0.00012319i,-0.0015095-0.00020387i,-0.00037222-0.00027687i,0.00029218-0.00059927i,0.00094255-0.0004125i,0.00067964-5.9227e-05i,-0.00024755-0.00053717i,-0.00025725-0.0008568i,-0.00019618-0.00080492i,-0.00012132-0.00029316i,0.00012552-3.282e-05i,3.6518e-05-0.00094312i,0.00025616-0.00085045i,-0.00012661-0.00027704i,-0.00071408-0.00079506i,-0.00031557+7.58e-05i,-0.00029246+0.0008835i,-0.00013996+0.00038275i,9.7366e-05+0.00022263i,0.00018622+0.00016333i,0.00017862-0.00058967i,-0.00039968-0.00056175i
-0.0018668+0.0014649i,-0.0017574+0.0014945i,-0.001436+0.0014758i,-0.0011989+0.0013097i,-0.0011444+0.00059452i,-0.0014426-0.00065883i,-0.0015167-0.0016217i,-0.00074627-0.0013558i,-5.8577e-05-8.443e-05i,0.00043486+0.0010314i,0.00051225+0.00043816i,-0.0001957-0.00059636i,-0.0010978-0.00091891i,-0.00050735-0.00067849i,0.000182-0.00020429i,-0.0012778+7.5611e-05i,-0.0019105-0.00042329i,-0.00087651-0.00060369i,-0.00018315-0.00043626i,-0.00046065-0.00033759i,-0.00060295+0.00040693i,3.9644e-05+0.00054365i,0.0006864-0.00051258i
0.0024047-0.0010078i,0.0016315-0.00027947i,0.00050821+0.00080438i,2.9929e-05+0.00046157i,-0.0005743-0.00030124i,-8.5907e-05+2.8803e-05i,0.00028679-2.0682e-05i,-5.3077e-05-0.00059185i,-0.00044188-0.0008262i,-0.00072349-0.00036145i,-0.00058183+0.00036133i,-0.0005957+0.00086691i,-0.00090128+0.00060631i,-0.00078653+0.00010148i,0.00032406+0.00025372i,0.00024768+0.00075701i,-0.00081795+0.00042681i,-0.00063105-0.00030149i,-0.00013829-0.00094338i,0.0002639-0.0010702i,0.00051364-0.00067371i,-5.5214e-05-2.2822e-05i,-0.00061536+0.00019276i
0.0010939-0.000335i,0.00023878+7.8602e-05i,0.00024074+0.00025917i,-1.4777e-05+0.00032302i,-0.0011736-0.00022859i,-0.0019268-0.00059751i,-0.0011264-0.00027061i,5.7665e-05-0.00094433i,0.00056861-0.00066173i,0.00057405+0.00035105i,0.00035605+0.00028146i,0.0006042-0.00041614i,0.001066-0.0007888i,0.00068779-0.00066775i,-7.2192e-05-0.0010408i,0.00022884-0.0012076i,0.00069345-0.0007326i,0.0007568-0.00026146i,0.0010364+0.0006387i,0.00087729+0.00098328i,0.00018502+0.00045901i,0.00010556-0.00042764i,2.3714e-06-0.00077887i
0.00035508-0.002369i,-0.00042295-0.0028852i,-0.00030218-0.0022667i,0.00014065-0.001833i,-0.00014089-0.0011819i,-0.00088868-0.00067434i,-0.0012783-0.00084069i,-0.0010025-0.0005256i,-0.00062148-0.0003204i,-0.00037136-5.8318e-05i,-0.00077781+0.00038031i,-0.0010829+0.00037697i,-6.8556e-05-0.00019312i,0.00056818-0.00038744i,0.00012927+0.0001156i,-1.6134e-05+0.00051608i,-0.0001359+0.00039707i,0.00012051-0.0003161i,0.00089914-0.00014834i,0.0011315+9.8695e-05i,0.0011204-0.00087691i,0.00049034-0.0010849i,-7.6151e-05-0.00059673i
0.00027399-0.00054216i,-0.00015191-0.00018827i,-0.0008886-3.5056e-05i,-0.0013581+0.00018033i,-0.00090845+0.00012786i,-0.001023+0.00034589i,-0.0014673+0.00045515i,-0.0014328-0.00020607i,-0.00069478-0.00036575i,0.00020985-0.00030666i,0.00020148-0.00027631i,-0.00066869+0.00014966i,-0.00098863+0.00068265i,-9.2727e-05+0.00059658i,0.0013242-2.1493e-05i,0.0012896-0.00055039i,-0.00023853-0.00070523i,-0.0006468-0.0002495i,-5.0649e-05+0.00016429i,0.0002871+0.00025754i,0.00036292+0.00028946i,0.00028433+0.0003113i,6.504e-05+0.00026283i
0.00054929+0.0015462i,-0.00038233+0.0013472i,-0.00051843+0.0010659i,-0.00012393+0.00016i,0.00022871-0.00060322i,0.00072866-0.00059709i,0.0008962-0.00019567i,-6.1721e-05-0.00041054i,-0.00077485-0.0006858i,-0.00052171-0.00063147i,-9.7544e-05-0.0012043i,-0.0003236-0.0010108i,-0.00069032-0.0012159i,-0.00079559-0.0006299i,-0.00065769-2.9114e-05i,-0.00037393-0.00028305i,-0.00022588-0.00035427i,9.096e-05-0.00050244i,0.00027012-0.00021878i,6.7661e-05-9.9242e-05i,-0.00012737-0.00029519i,-0.00018055-0.00016317i,-0.00010632-0.00046185i
-3.8133e-05+0.0023576i,9.9021e-05+0.00048094i,0.0002114-0.00094912i,9.4859e-05-0.00083023i,-0.00067626-0.00062528i,-0.001096-0.00058512i,-0.0014099-0.00025123i,-0.00077311-0.00038258i,-9.8731e-05-0.00027906i,0.00013568+0.0004442i,0.00079687+0.00091207i,0.00068514+0.00012701i,0.00045798+8.1239e-05i,-0.00035083+0.00015592i,-0.00048275+2.9487e-05i,0.00025553+0.00029264i,0.0001457+0.00011686i,0.00030818+0.00045268i,0.00016262+0.00037258i,-5.5279e-05+0.00079451i,-0.00013919+0.0012515i,-0.00089324+0.0002006i,-0.00080282-9.9672e-05i
0.00015748+0.0019227i,0.00086699+0.0010625i,0.0015759+0.0018739i,0.0014369+0.00088789i,0.001014-0.00046797i,-6.5313e-05-0.00078898i,-0.000918-0.0006243i,-0.00071394-0.00078875i,-5.2971e-05-0.00045132i,6.1317e-05+0.00032991i,-9.6422e-05+6.5426e-05i,0.00026547-0.0008117i,0.00021699-0.0013997i,-0.00073821-0.0013201i,-0.00080621-0.0015705i,0.00011547-0.0014975i,0.00038914-0.00068018i,-0.00033317-6.5683e-05i,-0.00032763+0.00033092i,-0.00026861+0.00080385i,-0.00029675+0.00070618i,0.0001196+9.1161e-05i,-0.00013865-0.00044023i
-0.0011021-0.00042989i,-0.0014726+0.00070209i,-0.0015899+0.0017177i,-0.0012252+0.0018921i,-0.0012308+0.0013929i,-0.0005738+0.00075234i,5.513e-05+0.00027255i,-4.1809e-05-0.0004443i,-2.4982e-05-0.0003388i,2.0575e-05+0.00043475i,0.00069427+0.00079863i,0.0013861+0.00090702i,0.00073779+0.00086501i,0.00088693+0.0010182i,0.001202+0.00082877i,0.00092067+0.00013072i,0.00032933-0.00028892i,-0.00074504-0.00069127i,-0.00077385-0.0016171i,-3.4922e-05-0.0015091i,0.00027355-0.0011451i,-0.00012294-0.0010583i,-4.7393e-05-0.00056801i
-0.00061268-0.0015018i,-0.00053236-0.0014437i,-0.00082437-0.0012765i,-0.00051199+0.00058839i,0.00019416+0.0014863i,-0.00011049+0.00052655i,-0.00093405+4.7661e-05i,-0.0003543+6.3389e-05i,-9.4722e-05-0.00043284i,-0.0004571-0.0011096i,-0.00024588-0.00047883i,-1.8705e-05+0.00018343i,0.00027399-0.00053958i,0.00052955-0.00064283i,0.00062297+0.00054675i,0.00020177+0.00059803i,-0.00034657+3.4857e-05i,-0.00042512+0.00016262i,-0.00054592+0.00017133i,-0.0010399+1.4415e-05i,-0.00089229+4.9811e-05i,-0.0011025+7.1649e-05i,-0.0011499+2.1102e-05i
