0.0029134+0.00041887i,0.002181-0.0002311i,0.00023087-0.0014254i,-0.00036451-0.0026315i,-0.00075731-0.0012137i,-0.001063+0.0013033i,-0.0013353+0.002623i,-0.00098701+0.0028939i,0.00038795+0.0018643i,0.0014265+0.00094771i,0.0013642-0.00031801i,0.00046157-0.0017399i,-0.00030898-0.0012077i,-0.00073488-0.000355i,-0.0012059-0.00023691i,-0.0008077-0.00046262i,0.00021365-0.00031161i,0.00078549+0.00068081i,0.00079536+0.0010008i,7.8202e-05+0.00034402i,0.0002708+0.0001933i,0.00031742+8.1327e-05i,-0.00020345-0.00081222i
-0.0012415+0.00021588i,-0.0018921+0.0001949i,-0.0012498-0.00041032i,-5.4973e-05-0.0011063i,0.0010566-0.00099033i,0.00082613-0.00021335i,-0.00041323-0.00057363i,-0.00059628-0.00061933i,0.00046042+0.0003339i,0.0017117-4.6415e-05i,0.0019599-0.0003926i,0.001124+0.00027927i,8.1716e-05+0.00039395i,0.00015709-2.2872e-05i,0.00075425-0.00011339i,0.00073664+0.00010282i,0.00035655+3.1359e-05i,0.00024262+3.9353e-05i,9.877e-05-9.565e-05i,3.3741e-05+3.8816e-05i,0.00027578+0.00028941i,0.00055548+0.00025468i,0.0008397+6.8105e-05i
-0.00016066-0.0015856i,-0.00048857-0.00082069i,-3.6931e-05-0.00096532i,-1.5039e-05-0.0011842i,0.00029199-0.00034041i,0.00022338+0.00042592i,-0.00022323-2.0118e-05i,0.00041036-0.00033599i,0.0012034+0.00029395i,0.0014766+0.00023638i,0.0017876+0.0002711i,0.00097388+0.00084462i,0.00026238+0.001051i,0.00011815+0.00066533i,-0.00014301+0.00023081i,9.9225e-05-0.00046164i,0.00061285-0.001029i,0.00084114-0.0011254i,0.00061534-0.00060161i,0.00058561+7.0601e-05i,0.00053209+0.00020371i,0.00030212-3.2426e-05i,6.9356e-05-0.00088292i
0.0018141+0.0011379i,0.0025956+0.00090738i,0.0033741+0.00062881i,0.0027949-0.00080116i,0.0011956-0.0014459i,0.00015166-0.00085919i,-0.00038526-0.00067324i,-0.00063339-0.00035645i,-0.00018257+0.00057096i,0.00028817+0.00041756i,0.00028894-0.00058989i,0.0006446-0.00055096i,0.0011226+0.0001395i,0.00047903-8.2917e-05i,-0.00062956-0.00065112i,-0.0010765-0.00054387i,-0.00085365+0.00021378i,-0.0007844+0.00051278i,-0.00029983+0.00028156i,0.00016735+0.00025888i,-0.00031609+2.1003e-05i,-0.00019239+0.00020438i,0.00031048+0.00041526i
-0.0011285-9.8804e-05i,-0.002111+0.00037989i,-0.0019562+0.00029062i,-0.00051523+0.00034529i,4.32e-05+0.00044233i,-6.4702e-05+0.00016859i,0.0002265-2.5385e-05i,0.00023635+0.00032813i,-1.517e-05-7.7104e-05i,-0.00053418+0.0002719i,-0.00064033+0.00055824i,-5.667e-05-6.67e-05i,0.00016993+0.0008095i,0.00011738+0.0010071i,0.00033998+0.00060182i,0.00066052+0.00079391i,0.0010446+0.00077018i,0.00094868+0.00040725i,0.00033647-0.00027566i,-0.00029386-0.00068674i,-0.00012159-0.00060039i,0.00018121-0.00054166i,0.00053496-0.00046247i
-0.00099118-0.0014998i,-0.00077841-0.0012237i,0.00093105-0.0023397i,0.0018348-0.0018216i,0.000876+0.0001051i,4.2507e-05+0.00083877i,-0.00060639+0.00032801i,-0.0012188+0.00020707i,-0.00080002+0.00053311i,0.00016606+0.00059602i,0.00049334+0.00033628i,6.255e-05+0.00063503i,-4.4695e-05+0.00082608i,-7.4529e-05+0.00062944i,2.1214e-05-0.00015965i,0.00063551-0.00045198i,0.00016339-0.00031937i,-0.00014145-0.00012976i,0.00025564+0.00018627i,0.0002951+0.00013643i,-7.2895e-05-0.00017349i,-0.00028884-0.00019806i,-9.5454e-05-0.00022375i
-7.9292e-05+0.00019661i,0.00034458-0.00053159i,0.0011791-0.00042858i,0.00093745-5.1597e-06i,-0.00046789-0.00039536i,-0.001189-0.00050599i,-0.00079946-0.00037955i,-0.00042505+6.7781e-05i,-0.00076354+0.00031988i,-0.00077304+0.00047994i,-0.00043613+0.00046102i,-3.7642e-06-4.7665e-05i,0.00067176-0.00043801i,0.00046218-0.0002879i,0.00030007-0.00074582i,0.00047267-0.00099639i,0.000694-0.00061071i,0.00098048-0.00045443i,0.00048441-0.00052374i,-0.00047032-0.00010272i,-0.00074342+0.00015147i,-0.00022456-0.00010145i,0.0002224+2.8619e-05i
-0.002033+0.00077445i,-0.0027434+0.0001472i,-0.0027161-0.00024988i,-0.0005665+0.00052899i,0.0012085+0.0014709i,0.0011573+0.0011679i,-0.00010963+0.00053569i,-0.00077687+0.00057546i,-0.00025883+0.00072889i,0.00065107+0.0013243i,0.00093602+0.001722i,4.3276e-05+0.00047132i,-0.00014245-0.00080469i,0.0010269-0.00035702i,0.00092563-8.4512e-05i,0.00036108+0.00035763i,2.8239e-05+0.0012112i,0.00019972-1.53e-05i,-0.00027001-0.00056175i,-0.00053336-5.9132e-05i,0.00028388+0.00012844i,0.0009015+0.00018609i,0.00075805+0.00020448i
-0.00053867+0.00065354i,-0.00061312+0.00076094i,-0.00011801-5.9332e-05i,0.0011088-0.0002308i,0.00066638-0.00010378i,-5.3563e-05+0.0003666i,-4.4898e-05+0.00083552i,-0.00050503+0.00051173i,-0.00062311+0.00039873i,-0.00018412+0.00038226i,0.00062873+0.00014673i,0.00043748-0.00039112i,-0.000505-0.00054823i,-0.00046688-0.00017678i,-0.00036028+8.0501e-05i,-0.0003886+0.00028709i,-0.00040462+7.7173e-05i,-7.0574e-06-4.2993e-05i,7.9819e-06+0.0001165i,-0.00051436+0.00065031i,-0.00059785+0.00015732i,-0.00013947-0.00088164i,0.00091892-0.0011684i
-0.0027214-4.154e-05i,-0.0024238-0.00053804i,-0.0010518-0.00078451i,0.00061793-0.0004248i,0.00087309+0.00027123i,0.00030803+0.00090082i,-5.8148e-05+0.00040843i,-0.00039743+4.3913e-05i,-0.00031887+7.4649e-05i,0.00059353+0.00025578i,0.0011652+0.00042471i,0.00069236+0.00036143i,0.00016534+0.00032989i,0.00056849+0.00015503i,0.00032147+0.00043899i,-0.00010841+0.00056732i,0.00019644+0.00022243i,0.00042479-0.0002136i,-0.00031172-6.5387e-05i,-0.00045551-0.00021698i,-7.8484e-06-0.00023351i,0.00037411-0.00015577i,0.000366-0.00022062i
9.4416e-05-0.00059195i,0.00053804-0.00068059i,0.00089041-0.00071924i,0.00064-0.00055291i,5.305e-05+0.00034133i,0.00029557+0.00068568i,0.00026778+0.00028109i,0.00013119+0.00045365i,0.00017554+0.0010206i,0.00048341+0.00086072i,0.00055341+0.00015705i,-4.4573e-05+1.7282e-05i,4.8379e-05+0.00020368i,0.00070984+0.00050119i,0.0009776+0.0005017i,0.00074057-0.00022055i,0.00046697-0.00068941i,0.00048205-0.00079648i,-8.2636e-05-0.00088344i,0.00020383-0.0011198i,0.0010586-0.0010191i,0.0012874-0.00044646i,0.0016208-6.4924e-05i
-0.00088902-0.0021171i,-0.00084301-0.0027886i,-0.00093212-0.0037697i,-0.0011775-0.0031937i,-0.0015491-0.0010485i,-0.0014834+0.00070791i,-0.00071512+0.0011569i,-0.00012045+0.00083512i,-0.0003362+0.00073979i,-0.00022832+0.00052071i,0.00023913+0.00031496i,-4.8637e-05+0.00017888i,-0.00025641-0.0007175i,0.00010526-0.0004931i,-0.00012369+0.00040423i,-8.7661e-05+0.00072094i,8.1055e-05+0.00059677i,-0.00013837+0.00058751i,-0.00031707+0.00018229i,-0.00060554-0.0002558i,-0.00078478-0.00051327i,-0.00054718-0.00036243i,-0.00069269-0.00036842i
0.0024709+0.0021175i,0.0029249+0.0028792i,0.0041973+0.0018971i,0.0030797-6.0784e-07i,0.0022231-0.0011941i,0.00081158-0.0015451i,-0.00043232-0.00091368i,6.8624e-05+0.00025596i,0.0003762+0.0010901i,0.00020407+0.001085i,0.0004796+0.00037191i,0.00086483+0.00024544i,0.0010581-0.0001265i,0.0007362-0.00072543i,0.00054523-0.0010412i,0.00089098-0.00088523i,0.00047279-0.0008733i,-2.8632e-05-0.00092284i,-7.5907e-05-0.00042612i,-0.00048984+0.00016292i,-0.00023594+0.00057073i,0.00040746+0.00094185i,0.00055646+0.0010766i
0.0015726+0.00031661i,0.0022736+0.00079029i,0.0030944+0.00091721i,0.0027495+5.0944e-05i,0.0014578-0.00056173i,0.00068197-0.00031435i,-0.00013639+0.00047112i,-0.00065624+0.00080883i,-0.00084571+0.0010813i,-0.00010266+0.00093505i,0.00081325+0.000149i,0.0012912+0.00042019i,0.00071091+0.00039355i,0.00028972-0.00022347i,0.00062787-0.00064016i,0.00058239-0.00047944i,0.00021377-0.00065882i,0.00088118-0.00091487i,0.0016029+3.2711e-05i,0.0011988+0.00035053i,7.774e-05+0.000292i,-0.00015321+0.00032807i,0.00036609-3.0283e-05i
0.00050439+0.00042706i,0.0014129+0.00060353i,0.0019472-0.0006365i,0.0016598-0.00076628i,0.0011209-7.8937e-06i,0.00015079+0.00029241i,-0.00075757+0.00024416i,-0.00047934+0.00026833i,5.8392e-05+0.0002157i,0.00059763-0.0003996i,0.0010556-0.00011974i,0.0011401+0.0003357i,0.0011699-0.00018579i,0.00048656-0.00073467i,-5.0628e-05-0.00065283i,-0.00012904-0.0004922i,-0.00038095-0.00011327i,-0.00018734-0.00010045i,0.00033655+0.00046583i,0.00021454+0.00026033i,-0.00011501-0.00059635i,-0.00031873-0.0004461i,-0.00031716-0.00038644i
0.00082446-0.0015689i,0.0017868-0.0018047i,0.0026946-0.0020704i,0.0025756-0.001915i,0.00066901-0.0015569i,-0.00061351-0.00051511i,-0.00060797+0.00051649i,-0.00076546+0.00087184i,-0.00096313+0.00040034i,-0.00072532+0.0002951i,5.3054e-05+3.637e-05i,0.00016401-0.00037503i,-0.00037792-0.00031006i,-0.00044325+2.5189e-05i,-9.7413e-05-5.404e-05i,-0.00039169-0.00023023i,-0.00067661-4.0005e-05i,-0.00082681+0.0003217i,-0.00043701-0.00015026i,-0.00019442-0.00015215i,0.00018251+0.00028782i,-0.00014707-0.00022422i,-0.00086967-0.00014738i
-0.00062311+0.00045164i,-7.2148e-05-0.0010112i,0.00031247-0.0017298i,0.00044717-0.00184i,0.00057009-0.0012678i,0.00085673+2.36e-05i,0.000436-6.9195e-05i,-2.9205e-05+0.00017161i,-2.6649e-05+0.00091483i,0.00016764+0.00031758i,0.00019804-0.00061523i,3.0931e-05-0.000822i,0.00085496-0.00039448i,0.0012683-0.00054225i,0.0002232-0.00064423i,2.6011e-06-0.00038913i,0.00020025-0.00024675i,0.00013093-0.00031305i,0.00023374-0.00058019i,-0.00021308-0.00037562i,0.00049444-0.00047635i,0.00077196-0.00097382i,-3.8377e-05-8.1559e-05i
-0.0013725+0.0016506i,-0.0013969+0.001919i,-0.00080013+0.0015491i,-0.00055279+0.00089264i,-0.00030086+0.00075708i,3.8825e-05+0.00044738i,-0.00041145+0.0003168i,-0.00088968+0.00022587i,0.00010515+0.00083394i,0.00081546+0.0010372i,0.00083202+0.00041493i,0.00090067+0.00085333i,0.00013643+0.0011866i,-7.0865e-05+0.00075196i,0.00023403+0.00058866i,-0.00043264+0.00040537i,-0.00045697+1.8086e-05i,0.00051635-6.981e-05i,0.00021084+6.667e-05i,-0.00033707+0.0003046i,-0.00013986+0.0012146i,-0.00016921+0.0016974i,-0.00024624+0.00099524i
0.0015734+0.0013952i,0.0008+0.00099611i,0.0019519+0.00023475i,0.0023996-0.0010969i,0.0011197-0.0014268i,-0.0008063-0.00059225i,-0.0014615+9.4711e-06i,-0.0014812-9.7618e-05i,-0.00088889+8.0024e-05i,0.00033197+0.00026088i,0.00078984+0.00046546i,0.00026437+0.0013791i,-0.00027242+0.0012059i,0.0003479-0.0002111i,0.00096774-0.00089572i,0.00063648-0.00021602i,0.00035945+0.00038444i,0.00057108+0.00018118i,0.0010185-0.00011395i,0.0007154+3.2411e-05i,0.00053439+1.8257e-05i,0.00056242+0.00028404i,-7.6341e-05+0.00056462i
0.0025486-0.00065231i,0.0028346+0.00055819i,0.0023688+0.0003567i,0.001415+3.5127e-05i,0.0013249-0.0002042i,0.00040503+0.00011463i,-0.0013986+0.00043544i,-0.0019155+0.00012376i,-0.0012391+0.00036948i,-0.001132+0.00024287i,-0.0005454-0.0006396i,0.00078875-0.0010092i,0.00045432-5.2902e-05i,5.808e-06+0.00091828i,0.00056311+0.00012896i,0.00092485-0.0003172i,0.00067841-0.0010024i,0.00099525-0.0010156i,0.00080476-0.00083799i,0.00045794-0.00059335i,0.00012571-0.00046827i,-0.00033924-0.0014928i,-0.00031567-0.0016559i
-0.0014378-0.00035319i,-0.00063666-0.0012714i,0.00026149-0.0018931i,0.00034165-0.0021325i,0.00029921-0.0012585i,0.00033993-9.2691e-05i,-0.00046205-0.00079034i,-0.0011685-0.0011104i,-0.00084873-0.000222i,0.00036137+0.00060094i,0.00068938+0.00088433i,0.00011242+0.00062535i,-0.00065044-6.1429e-05i,-0.00038992-0.0010824i,0.00026246-0.0012338i,0.00053427-0.0010351i,0.00025302-0.00041548i,-0.00014488+0.00084132i,-3.3572e-05+0.0010162i,0.00039395+0.00051244i,1.0772e-05+0.00066357i,7.1503e-05+0.00081661i,0.0004556+0.0007719i
-0.00091539+0.00078705i,-0.0013355+0.00034406i,-0.0012016+0.00016902i,-0.00024528+0.00043598i,0.00037984+0.0010835i,0.00067392+0.00013249i,0.00019235-0.00064974i,0.00011834-4.4777e-05i,-0.00017208+0.00075862i,-9.2947e-05+0.0015191i,0.0007017+0.0017434i,0.00084918+0.0012585i,-3.7116e-05+0.00044336i,-0.00025437+0.00047772i,-0.00024981+0.0010165i,-0.00078468+0.00081579i,-0.00032456+0.0003568i,-2.4725e-05+0.00012524i,-0.00042657+0.00017977i,-1.0595e-05+0.00051526i,-0.0002017+0.00053117i,-0.00081847-0.0003001i,-1.9636e-05-0.00074312i
-0.00044507-0.00026981i,0.00024261+0.00042387i,0.00044064-0.0010145i,-0.0002873-0.0017097i,-2.2952e-05-0.00079466i,-0.00018085+0.00047438i,-0.0012149+0.00039085i,-0.0013051-1.5561e-05i,-0.00038254+0.000686i,-0.00016229+0.0013014i,-0.0004835+0.0011199i,-0.00047208+0.0013786i,-0.00018772+0.0011417i,-0.00046876+0.00012645i,-0.00099079+0.00014899i,-0.0010442+0.00049803i,-0.00055082+0.00013094i,-0.00049103+0.00050242i,-0.00075945+0.00078591i,-0.00023966+0.00034517i,0.00059547+0.00068938i,0.00082906+0.0011925i,0.00018057+0.0010047i
0.0021163-0.00012565i,0.0019276+0.00059674i,0.0033142+0.00087423i,0.0026439+0.0010397i,0.000291+0.00042908i,-0.00019602-9.8069e-05i,0.00044409+0.00034094i,0.00040145+0.00072683i,-9.5983e-05+0.00071637i,0.0003516+0.00038268i,0.00047343-0.0003056i,3.7365e-05-0.00066216i,0.00044247-0.00066041i,0.00021918+2.2238e-05i,-0.00015711+0.00042365i,0.00058307+0.00017045i,0.00090833-0.00051284i,0.0011155-0.00041404i,0.00050511+0.0001972i,-0.00074894+0.00022784i,-0.00073161+0.00056228i,0.00027648+0.00034955i,0.00090992+4.7648e-06i
0.0015238-0.0013321i,0.0016427-0.0013063i,0.0022928-0.0022822i,0.0019322-0.0029684i,-9.4993e-06-0.0020151i,-0.00066246-0.0011468i,-0.00074346-0.0003434i,-0.0006955+0.00014672i,8.2634e-05+0.00020718i,-0.0002436-7.6286e-05i,-0.00032353+0.00014676i,-0.00029482+0.001129i,-0.00074899+0.00075857i,-0.00047102+2.516e-05i,0.00072296-0.00069004i,0.0016749-0.00092172i,0.00099357+6.5201e-05i,0.00057718+0.001459i,0.00048244+0.001604i,-0.00024835+0.00047826i,-0.00077756-0.00043912i,-0.00083922-1.8743e-05i,-0.00072738+0.00078448i
0.0010266+0.00025185i,0.0019267+0.00020567i,0.0025247-0.001436i,0.0021849-0.0015618i,0.0015253-0.0005269i,0.00076591+0.00045857i,0.00026412+0.00046638i,-0.00028636-0.00011161i,-0.0006462-0.0003932i,-0.0004177+2.5922e-05i,-0.00029247-0.00014192i,0.00025439-0.00051493i,0.00062037+0.00095902i,6.3831e-05+0.00047317i,0.00034394-0.00036895i,0.00052165+0.0008638i,-0.00043337+0.0010291i,-0.00068347+0.00045108i,-0.00041682-9.7994e-05i,-0.00026439-8.6444e-05i,-0.00025562+0.00032125i,-0.00019515+0.00022603i,4.4837e-05-0.00042915i
-0.00044897-0.0029493i,-0.00045855-0.0030672i,-0.00082578-0.0029572i,-0.0011845-0.0024447i,-0.00070433-0.00052771i,-0.00062391+0.0019622i,-0.00089796+0.001777i,-0.0008576-0.00018443i,-0.00057682-9.1801e-05i,-0.00082396+0.00094716i,-0.0013644+0.00020026i,-0.0018429-3.6913e-05i,-0.0012997+0.00030596i,-0.00018104-0.00031569i,0.0010197-0.00089327i,0.00068523-0.00052695i,-0.00020551+0.00059807i,-0.00030358+0.0013903i,-0.00019335+2.0956e-05i,0.00024211-0.0010858i,0.00020752-0.0003151i,1.7501e-05+7.5671e-05i,2.343e-05-0.00030948i
0.00086797-0.0012617i,0.00057259-0.0020364i,-3.8707e-05-0.0014729i,-0.0007764-0.00041332i,-0.0011686+0.00027883i,-0.00054597+0.00041512i,-0.00028719-0.00034665i,-0.000832-0.00070281i,-0.0011635-0.00067647i,-0.0008217+8.7373e-05i,-0.00053618+0.00074968i,-0.00033311+0.00056419i,-0.00018587+6.9029e-05i,-0.00020333-0.00029215i,-0.00010836-2.8828e-05i,-5.555e-05-0.00041687i,-2.6848e-05-0.00060488i,-0.00030424+0.00010823i,-0.00062747+0.00067786i,-0.0004245+0.0013765i,-3.2724e-05+0.0010389i,-0.00010693-0.00025797i,-0.00056406-0.0008647i
0.00047491-0.00020154i,0.0009954+0.00038323i,0.0018253-0.00071886i,0.0014068-0.0009327i,0.00012311+0.000183i,-0.00071428+0.00040933i,-0.0011602+0.00017326i,-0.0018909-0.00015304i,-0.0013034-0.00025239i,-0.00057292-0.00021405i,-0.0009036-0.00023318i,-0.00051447-0.00039499i,6.394e-05+0.00029014i,9.4844e-05+0.00049421i,0.00055577-0.00037119i,0.00027517-0.00019215i,-0.00024443-0.00015441i,0.00025143-0.00053169i,0.00056814+8.3214e-05i,-1.8777e-05+0.00092777i,-0.00077356+0.00034784i,-0.00028693-0.00044481i,0.00012288-0.0010197i
-0.0012071-0.0016068i,-0.00045393-0.0018483i,0.00074332-0.001885i,0.00084499-0.0011572i,0.00021498+0.00022146i,-0.00026916+0.001016i,-0.00056563+0.00056986i,-0.00095231-0.00022576i,-0.00023328+0.00054829i,0.00069119+0.0015426i,0.00031443+0.0011408i,-0.00046254+0.00039526i,-0.0001481-0.00015998i,0.00045976-0.00037727i,0.00034102-0.00097846i,-0.00018319-0.0016857i,-0.00012201-0.0012576i,0.00011551-0.0012436i,0.00013817-0.0012006i,-0.00028066-0.00093643i,-0.00067594-0.00088927i,-0.00041902-0.00046942i,4.9021e-05-0.00040044i
-0.00024877+0.00084605i,-0.00036682-0.00055661i,-0.0007088-0.0010825i,2.9919e-05-0.0013463i,0.00068317-0.0011201i,0.001448-0.00087137i,0.0011407-0.0005788i,-0.00044215+0.00031499i,-0.00063229+0.00081604i,0.00093094+0.0011676i,0.0010566+0.0012059i,0.00016917+0.00021241i,-1.8648e-05-7.9862e-05i,0.00044944+0.00035049i,0.00053044+5.0121e-05i,8.9488e-05-0.00061714i,0.00057906-0.0009408i,0.0012539-0.00095103i,0.00052835-0.00076769i,-0.00047617+0.00014989i,-0.00061871+0.00070048i,0.00013031+0.00063242i,0.00035595+0.00086493i
-0.00052248-0.00034696i,-0.0012702-0.0010239i,-0.00056395-0.0023981i,2.2316e-06-0.0021957i,-4.8103e-05-0.00013816i,0.00073835+0.00094441i,0.00068979+0.00020244i,-0.00032211-0.0001707i,-0.00023852-0.00012723i,0.00025025-0.00031726i,-0.00023864-0.00026472i,-0.00033923+0.00051927i,0.00014669+0.00014046i,0.00054926-0.00024653i,0.00080622+0.00031502i,0.00034107+0.00084943i,0.00020108+0.00047816i,0.00038857-0.00056871i,0.00079667-0.00059884i,0.00079859-0.00061228i,0.00046458-0.00037713i,0.00066461-5.1526e-05i,0.00045168-0.00018184i
7.9441e-05+0.001679i,-0.00071048+0.0018372i,0.00051451+0.0014676i,0.0022146+0.00090096i,0.0012629+0.00099196i,-0.00021237+0.0006378i,-0.00065184+0.00014311i,-0.0008591-0.00010853i,-0.00020548-0.00018712i,0.00045148-9.129e-05i,-0.00027032-0.00028873i,-0.00019766+9.0568e-05i,0.00045818+0.00093553i,0.00081713+9.0709e-05i,0.00023154-2.2237e-05i,-0.00055263-0.00014135i,-0.00028053-0.00081651i,0.00075061-0.00058858i,0.00074159-0.00015979i,-0.00036187-0.00029392i,-0.00028567-0.00075322i,0.00053929-0.0003605i,0.00050536+0.00030073i
0.0002154+0.00031744i,0.0013202+0.00053392i,0.0021936-0.00016642i,0.0021611-0.00092394i,0.0012172-0.00067168i,-0.00038891+4.2885e-05i,-0.0010116+0.00016105i,-0.00058652+0.00041024i,-0.00029535+0.00052186i,-0.00051004-0.00038422i,-0.0001669-0.00083567i,8.0366e-05-0.00032082i,0.00026148+0.00013648i,0.00043935-0.00027646i,0.00029667-0.00041252i,-7.0219e-06-9.5182e-05i,0.00032748-0.00041858i,0.00060426-0.0010413i,0.00015014-0.0011759i,-4.3979e-05-0.00099329i,-0.00042778-0.00019462i,-0.0010547+0.00058067i,-0.0012821+0.00070411i
0.00035012-0.0017182i,0.0014174-0.0013487i,0.0017789-0.0021738i,0.001384-0.0019i,0.00061674-0.00051374i,-0.00017669+0.00058013i,-0.0010018+0.0003337i,-0.0015604-0.00032425i,-0.0016045-0.00055983i,-0.0006531-0.00083301i,0.00027457-0.00098091i,-0.00019429-0.00032579i,-0.00050001+5.1339e-05i,-0.00027187+0.00037639i,0.00027552+0.00038177i,5.419e-05+4.4488e-05i,-0.00014437+0.00012003i,0.00039713+5.5834e-06i,0.0013447-0.00015387i,0.0016462+7.8611e-05i,0.00028211+0.00043465i,-0.00040321-0.00014121i,-0.00028028-0.00030974i
-0.00041908-0.0021791i,0.00012739-0.0014619i,0.0007312-0.0019247i,0.0010826-0.0020758i,0.001029-0.00026886i,0.00078115+0.00095929i,0.00099041+0.00068764i,0.00026392+0.00061242i,-0.0011445+0.00027075i,-0.0011376+0.00048714i,-0.00025243+0.00087269i,-4.7327e-05+0.0008374i,0.00015405+0.00045966i,0.00014162+0.00057286i,-3.3059e-05+0.00024231i,0.00058044-8.5162e-05i,0.00080632+0.00020165i,3.6046e-05-2.0546e-05i,-0.00019522+0.00010124i,-0.00014234-3.6548e-05i,-0.00070094-6.3567e-05i,-0.0013447-5.3043e-05i,-0.00040071-0.00081815i
0.0013416+0.0028452i,0.0016932+0.0020929i,0.0023582+0.0011226i,0.0028404+9.1586e-05i,0.002676+0.000188i,0.00063358+0.00023797i,-0.00086027-0.00018024i,-0.0011967-0.00028433i,-0.00099842+0.00072202i,-0.00024949+0.0016178i,0.00097545+0.00049572i,0.0010189+0.00032507i,0.00029902+0.00045701i,0.00030734-0.00096558i,0.0003051-0.00071473i,0.00035727-0.0001804i,0.00034355-0.00044402i,0.00068645+1.891e-05i,0.00053469+1.389e-05i,-0.00045358+9.6606e-05i,0.00015331+0.00075775i,0.00062969+0.0010249i,0.00017978+0.00067265i
-0.00017582+0.0016041i,-7.2423e-05+0.0012163i,0.0002664+0.00059747i,0.0010399+0.00011326i,0.0013593+0.00043912i,0.0010444+0.00018119i,0.00018208+0.00011582i,-0.0001428+0.00044298i,-0.0005348+0.00094933i,-0.00018957+0.0012997i,0.00086375+0.00073582i,0.00036287+2.7473e-05i,-0.00084754+0.00018989i,-0.0009055-3.9439e-05i,-0.0004369-0.00049656i,-0.00030279+0.00017929i,-0.00060263+0.00023305i,-0.00038643-0.0009209i,0.00041003-0.0011844i,0.00027458-0.00046232i,-0.00013049+0.00041753i,-7.8939e-05+0.00096548i,-0.00019887+0.00048543i
0.00095736-0.0006176i,0.00066998+0.00023437i,0.001349+0.0002598i,0.00087776-0.0011984i,-0.00036563-0.0014133i,-0.0012495-0.00037705i,-0.0015941+0.00046156i,-0.00059582+7.3693e-06i,1.0636e-05-0.00010107i,-8.0124e-05+0.00039384i,-0.0002593+0.00028627i,-0.00016267+0.00013018i,0.00021068+0.0005505i,0.00024951+0.0010052i,-0.00047792+0.00072626i,-0.0012955+0.00068597i,-0.00097826+0.00097435i,-9.7701e-05+0.00066923i,0.00062586-2.1089e-05i,0.00040549-6.9409e-05i,-0.00048721+0.00079757i,-0.0007534+0.00097558i,-0.00067127+0.00014788i
0.00208-0.00018887i,0.0017472-0.00025016i,0.0019244-0.002011i,0.0017976-0.0020815i,0.00063066-0.00049926i,-0.0010367+0.00023739i,-0.00098017-0.00047915i,-0.00011343-0.00057612i,0.00027748+0.00093659i,0.00052484+0.00051506i,0.0007229-0.00056028i,-2.524e-06-8.3932e-05i,-0.00059223+0.00050853i,-0.0002511+0.00034741i,-0.0002374+0.00048368i,8.182e-05-5.6977e-05i,0.00058683-8.4015e-05i,0.0001263+0.00028385i,-5.8847e-05-8.7816e-05i,-0.00018649-0.00041047i,-0.00074269-0.00059964i,-0.00036593-0.00038514i,0.00022141-0.0003257i
0.003321+0.0003734i,0.0044881-0.00056434i,0.005477-0.0016849i,0.0044963-0.001902i,0.0017747-0.0013881i,-0.00088655-0.00015386i,-0.0013023+0.00016626i,-0.00019506-0.00062921i,0.00029657-0.00057175i,0.00050545-1.4002e-06i,-0.00010387-0.00016363i,-0.00103-0.0006064i,-0.00057082-0.0016163i,0.00062382-0.0017504i,0.001086-0.0011989i,0.00049701-0.00094981i,0.00040589-0.0006045i,0.0001133+0.00016349i,-0.00053078+0.00022664i,0.00014003-0.0007008i,0.00088695-0.00069603i,0.001018-0.00067947i,0.0014332-0.00048187i
-0.0015361-0.0011458i,-0.001238-0.0013967i,-0.0010223-0.0013276i,2.1952e-05-0.00091652i,-0.00013331-0.00053454i,-0.00090756+7.6907e-06i,-0.00058804+0.00028522i,0.00012791-0.00013928i,0.00011005-0.0009172i,-0.00067275-0.00088067i,-0.00062818-0.0011239i,0.00012029-0.0010848i,0.00054425-0.0002064i,0.00068814+0.00067944i,0.00050147+0.001096i,0.00011553+0.00088536i,0.00031754+0.00070909i,0.00071729+0.00091006i,-6.7416e-05+0.0008831i,-0.00080338+0.00045223i,-0.00096773-8.223e-05i,-0.00041025-5.8967e-06i,0.00053485+5.9088e-05i
0.0002402+0.0030096i,0.00050517+0.0020101i,-0.00017218+0.0021524i,0.00045001+0.001797i,0.0014854+0.0012977i,0.00051702+0.00072308i,-0.0015732-0.00027884i,-0.0021513-0.00011799i,-0.0013453+0.00088626i,-0.00023287+0.0010956i,0.00016661+0.00057597i,-0.00015586+0.00015038i,-0.00013874+0.00032765i,0.00030162+9.4295e-05i,0.00080988-0.00027275i,0.00021271-0.00024621i,-7.5127e-05-0.00037239i,0.00063043-0.0003788i,0.00064121+5.8295e-05i,0.00017375+3.8346e-05i,-0.00043474+0.00014875i,-0.00030898+0.00054768i,-4.7437e-05-0.00016347i
-0.00024413-1.6126e-05i,0.00023396+0.00042561i,0.00026964+0.0011246i,-0.00026349+7.9244e-05i,-0.00034717-0.00070573i,-1.1671e-05-0.00045216i,-0.00062945+0.00021765i,-0.0015027+0.00069097i,-0.0013694+0.001403i,-0.00078686+0.0015325i,-0.00097233+0.00055574i,-0.00076334-0.00017179i,0.00039472-0.00017896i,0.00079985-0.00013315i,0.0011273+0.00014999i,0.0013309+0.00082053i,0.00067357+0.00029869i,0.00028322-0.00039608i,0.00066929-0.00072699i,0.00091384-0.0006099i,0.0009086+0.00010654i,0.00041403+1.5204e-05i,-5.7063e-05-0.00014044i
