-0.0043028+0.00050501i,-0.0039782+0.00019543i,-0.0045585+0.0019251i,-0.0028908+0.0027963i,-0.00065156+0.0026038i,0.00047283+0.002143i,0.00052174+0.0022009i,0.0012602+0.0018641i,0.0024711+0.0014275i,0.0023418+0.0011143i,0.0012974+0.00071647i,0.00096184+0.00058584i,0.0003741+6.6261e-05i,-0.00071117-0.00032979i,-0.00049653-0.00026574i,0.00037638-0.00069487i,0.00092666-0.0007241i,0.00094166-0.00051813i,0.00025051-0.00056241i,-0.00022285-0.00029883i,-0.00014618-0.00013587i,0.00023518-0.00026571i,0.00060571+1.3829e-05i
0.0018508-0.0025401i,0.0015809-0.0033187i,0.00086684-0.0034445i,-0.00094359-0.0023752i,-0.0018487-0.00095827i,-0.0014376-0.00082398i,-0.00089694-0.00086342i,-0.00051315-0.00074743i,0.00020024-0.00017205i,-8.8387e-05+0.00063009i,-0.00055772+0.00043882i,-0.00069193+0.00043411i,-0.00094024+0.00059869i,-0.00066829+0.00076606i,-6.243e-05+0.00032934i,0.00064494-4.8944e-05i,0.00016012+0.00032624i,2.39e-05+0.00021909i,-7.2426e-06+0.0002753i,-0.00059705+0.00092031i,-0.00058965+0.0009024i,-2.6275e-05+0.00046353i,0.00069021+0.00023i
0.0016945+0.0020631i,0.0019235+0.00014294i,0.002574-0.00069757i,0.002068-0.0021596i,0.00052514-0.002852i,-0.00097036-0.0014488i,-0.0014937+0.00055756i,-0.00046202+0.0019101i,0.00087589+0.0013967i,0.00096255-0.00019032i,-5.7583e-05-0.0010947i,-0.00052919-0.00015273i,-0.0015832+0.0013146i,-0.0022572+0.0011757i,-0.00098387+0.00091394i,-0.00049779+0.00043906i,-0.00038843-0.00048249i,0.00020658-0.0011233i,0.00080261-0.00049508i,0.0003591+0.00042104i,0.00036327-0.00037673i,0.00090772-0.00037979i,0.0010232+0.00031464i
0.00046394-0.00098237i,0.00010549-0.0013867i,-5.8822e-05-0.0020409i,-0.00031799-0.0012546i,-0.0010571+0.00036223i,-0.0013176+0.00124i,-0.00074261+0.0013947i,-0.00011392+0.0013619i,-0.00012884+0.0014118i,-0.00011423+0.00072747i,-0.00059362+4.1323e-06i,-0.0011018-0.00016384i,-0.0011154+7.7642e-05i,-0.00083423+0.0007705i,7.1407e-05+0.00099458i,0.00083299-0.00015302i,0.00067633-0.0010023i,-0.0003536-8.0306e-05i,-0.00021192+0.00054515i,0.00014067+0.00023626i,0.00035246-0.00040848i,0.00054598-0.00065234i,0.00033956-0.00038237i
5.2674e-05-0.00073529i,0.00048725-0.0013547i,0.00046246-0.0012477i,-0.00042842-0.00056748i,-0.00097734+0.00013537i,-0.0010382+0.00063695i,-0.00044026+0.00042957i,0.0004433+0.00052352i,0.00049023+0.00069671i,-0.00034601+0.00019692i,-0.00036348-0.00034823i,0.00040433-0.0005646i,0.0004879+3.6648e-05i,0.00051379+0.00072848i,0.0005837+0.00059007i,0.00030364-9.7775e-05i,-0.00010538-0.00031842i,-0.00030897-0.00029124i,-3.5592e-06+0.00019158i,0.00011061+0.00037169i,0.00058477+0.00036832i,0.00069528+0.001212i,8.5302e-05+0.0011229i
-0.00071232-0.00027159i,-0.0017843+0.00013064i,-0.0023264+0.0012114i,-0.00082643+0.0016245i,-0.00039764+0.0017134i,0.000136+0.00092149i,0.00050952+0.00045767i,0.00013858+0.00075709i,-0.0001998+0.00072458i,0.000214+0.00052207i,0.00079114+0.0007354i,-0.00011813+0.00023333i,-0.0012599+0.00033513i,-0.00093774+0.00041433i,-0.0006399-0.00021848i,-0.00068531+9.8422e-05i,-0.00050011+0.00029316i,0.0002466+0.00017263i,0.0011651-0.00022553i,0.00098761-0.00045403i,-1.2862e-05+0.00016081i,-0.00038615+0.00071641i,0.00053396+0.0010282i
0.00011032+0.0020939i,0.0005693+0.0015626i,0.0012602+0.00067238i,0.00036004-0.00076825i,-3.9243e-05-0.0016151i,0.00013381-0.0017107i,-6.6275e-05-0.00076725i,-0.00070847+0.00048914i,-0.0010306+0.0002256i,-0.00072102-0.00032047i,-0.0010534+0.00029511i,-0.0010615+0.00035213i,-0.0010285+0.00048666i,-0.0010071+0.00082829i,-0.00039584+0.00024558i,-0.00052187-0.0001103i,-0.00059957+0.00013433i,-0.00041161+0.00048798i,0.00013981+0.0003006i,0.00045629-4.8e-05i,-0.00013416-0.00064803i,-0.00042428-0.0005573i,-0.00027025+6.4526e-05i
-0.0011322+0.0026402i,-0.001354+0.0018964i,-0.00044856+0.0021801i,0.00053962+0.001243i,0.0008768-0.00023734i,0.00045819-0.00098007i,-0.00041525-0.00074528i,-0.00029403+0.00015626i,0.00032784+0.00048695i,0.00068156+0.00066088i,0.00064132+0.00087333i,-0.00052843+0.00080024i,-0.0014693+0.0003534i,-0.00072025+0.00022906i,-2.7405e-05+0.00036331i,-0.0003998+0.00044805i,-0.00068801-0.00039019i,-0.00034012-0.00074301i,0.00019491-0.00051078i,-0.00011081+5.8573e-05i,-0.00020479+0.00086304i,-4.3367e-05+0.00094359i,-0.0001267-0.00021127i
-0.00052778+0.0016523i,0.00074124+0.0010297i,0.0012982+0.00055743i,0.0017505+0.00057693i,0.0014112+0.00021999i,0.00019689-0.00014221i,-0.00034133-0.00062541i,-0.00028218+9.3019e-05i,0.00053868+0.0011249i,0.0014226+0.00082477i,0.00091477-0.0004224i,0.00016924-0.0014672i,0.00041989-0.0014029i,0.00079973-0.000223i,0.00023966-0.00033005i,-0.00035179-0.0010112i,-9.035e-05-0.00036225i,0.00013131+0.00010411i,0.00040027+0.00016201i,0.00062217+0.00055366i,0.00067109+0.00016144i,-0.00022178-0.00046908i,-0.00066882-0.00053157i
-0.00058854+0.00087848i,-0.00025551+0.0014753i,-0.00070368+0.0016585i,-0.00039853+0.0020031i,0.00021086+0.0023532i,0.00042288+0.0010839i,-0.00021806+0.00079644i,-0.00033291+0.00096207i,7.7284e-05+0.0012491i,2.6107e-05+0.0012712i,0.0002444+0.00037639i,8.3869e-05-0.00029588i,-0.00057434-0.00035606i,-0.0011704-4.2649e-05i,-0.00078165-0.00014165i,-1.7191e-05-0.00011131i,-4.9519e-05-0.00019401i,-0.00025558-0.00088291i,-0.00035823-0.00069516i,2.5324e-05+5.4133e-05i,-2.0385e-05+0.00021703i,-0.00078094-0.00022398i,-0.00025706-0.00061813i
0.00041542-0.0015051i,-0.0010472-0.0025378i,-0.0022696-0.0038138i,-0.002007-0.0032313i,-0.0024074-0.0014137i,-0.0024737+0.00048131i,-0.00082885+0.0013341i,0.00015402+0.0012044i,0.00044687+0.0011714i,-5.662e-05+0.00076277i,-0.00046015+4.5125e-05i,-0.00084185-0.00034665i,-0.00072476-0.00045836i,3.3783e-05+6.3267e-05i,0.00029395-0.0002527i,-7.2229e-05-0.00011403i,-0.00034865+0.0010584i,0.000503+0.00020322i,0.00054958-0.00085356i,-0.00027271-3.5905e-05i,-0.00023411+0.00037188i,-0.00010365+0.00038382i,1.2745e-05+0.00037673i
0.0021663+0.0015204i,0.0032446-0.00028136i,0.0039461-0.0014088i,0.0026783-0.0025179i,0.00093117-0.0027497i,-0.00049106-0.00234i,-0.00011853-0.0010981i,0.001275+0.0001667i,0.0011778-0.00040486i,0.00058384-0.00067628i,0.00037644-0.00022651i,-0.00086975-0.00022678i,-0.0016999+0.00062244i,-0.0012584+0.0015393i,-0.00037084+0.0011976i,-0.00071669+0.0012793i,-0.00091294+0.00069307i,-0.00024672-0.00045044i,-0.00019162-0.00023009i,0.00014964+0.00074182i,0.00081413+0.0011369i,0.0010144+0.0006026i,0.00041267+0.00014674i
-0.0013473+0.0016068i,-0.00090011+0.0019402i,-0.00039025+0.0016527i,-9.1029e-05+0.00052357i,-2.7539e-05-0.0003321i,-8.9351e-05-0.00056211i,-0.00041501-0.00087393i,-0.00028617-0.0012714i,0.00058+0.00022485i,0.00041086+0.00098373i,0.00031695+8.7275e-05i,0.00070821-8.8895e-05i,0.00018752-0.00012874i,-0.00072936-0.00052669i,-0.00080948-0.00027094i,-0.0009159-0.00037685i,-0.0013154-0.00058245i,-0.0010835-0.00026897i,3.8453e-05-0.00033936i,7.1905e-05-3.6929e-05i,-0.00022478+0.00019464i,0.00016731-0.00013349i,3.4634e-05-0.00054411i
-0.0012126+0.00012115i,-0.00072322-0.00018795i,0.00022705+0.00014807i,0.00024872+0.0011461i,-0.0010103+0.0011815i,-0.0013086+0.00077033i,-0.00059105+0.00084967i,0.00030446+0.00023122i,0.00082609-0.00031413i,0.0004526+6.3838e-05i,0.00067693+0.00042783i,0.0010683-0.00011039i,0.00050604-0.00052204i,0.00071277-0.00073662i,0.00015662-0.00079086i,-0.0011918-0.00050205i,-0.00089375-0.00051571i,0.00010882-0.00050349i,0.00024241-0.00017844i,-6.2057e-05+0.00046181i,-0.00059206+0.00035306i,-0.00072745-0.0002239i,3.6047e-05+0.00054319i
-0.00037175-0.0010646i,-0.00074028-0.0007061i,-0.0010423+0.00014307i,-0.00045339+0.00021938i,-0.00066674-3.9517e-05i,-0.0012012-0.00042297i,-0.00038441+4.7979e-05i,0.00066084+0.0010645i,0.00053848+0.00066116i,-0.0003876-0.00027375i,-0.0010926+0.00017133i,-0.0017459+0.0009976i,-0.0011467+0.00098874i,-0.00028793+0.00048629i,0.00026268+0.00026691i,0.00077578+0.00096544i,0.00030477+0.0012396i,-0.00034135+0.0011578i,-0.00035543+8.0661e-05i,-0.00057752-0.00059661i,-0.00086217-0.00061726i,-0.00086117-0.00034292i,-0.0010205+0.00023757i
-2.9187e-06-0.00054559i,-0.000567-0.0011404i,-0.0015765-0.00020726i,-0.0014755+9.8765e-05i,-0.0011337+0.00020491i,-0.00092548+0.00016295i,-0.00040912+0.00023943i,-0.0005265+0.0011523i,-0.00065516+0.00067593i,0.00031087-0.00049972i,0.00027799-0.00056701i,-0.00079871-0.00042546i,-0.0015141-0.00063871i,-0.0015353-0.00080992i,-0.00088878-0.00070229i,-0.00042111-0.00054948i,-0.00019641-0.00041683i,0.000333-0.00038247i,0.00080479-0.00014095i,0.00031368+0.00072344i,-0.00011812+0.00055864i,-0.00051321-7.9209e-05i,-0.0010083+4.4802e-05i
-0.0017102+0.0013823i,-0.0016365+0.0021608i,-0.00098698+0.0017389i,-5.5076e-05+0.0015254i,0.00054052+0.0014579i,0.00021841+0.00056396i,-0.00013977-0.00046134i,0.00060111-0.00059009i,0.0011011+0.00067627i,0.00070857+0.0014316i,-0.00017443+0.00044141i,-0.00049536-0.00064043i,-0.00045702-0.0016007i,-0.0002203-0.0019363i,-0.00013782-0.0012651i,-0.00079424-0.00064478i,-0.0012018+0.00035922i,-0.0016413+0.0009562i,-0.0014959+0.00037947i,-2.8228e-05+0.00086679i,0.0004016+0.0010611i,0.00018596+0.00054339i,-8.2807e-05+0.00038475i
-0.0010934-0.00039702i,-0.0013194-0.0001666i,-0.0024255+0.00012263i,-0.0026807-0.00040101i,-0.0021713+0.00067726i,-0.0016205+0.0012392i,-0.0015788+0.0012617i,-0.0016577+0.0014684i,-0.0010148+0.00078082i,-0.00060001+0.00023607i,-0.00067494+0.00046685i,-0.00015088+0.00016845i,0.00093915+1.7059e-05i,0.0012124+0.000229i,0.00070532+0.00054333i,0.0002062+0.00042979i,0.00056245+1.3868e-05i,0.0012606+0.00014558i,0.00061693+0.00036102i,-0.00044027+0.00019917i,-0.00075609-0.00062328i,-1.0691e-05-0.00085809i,0.00089278-0.00011502i
0.0012263-0.0016382i,0.00040749-0.0015215i,-0.00049492-0.00071925i,-0.00083784-0.00088666i,-0.001421-0.00057435i,-0.0011104+0.00072971i,2.5769e-05+0.00117i,0.00012222+0.0010431i,-0.00045865+0.00046381i,-0.0011333-0.00027542i,-0.0014572-0.00022526i,-0.0011245+0.00066371i,-0.00044367+0.0012049i,-0.00020289+0.00025979i,-0.00044942-0.00075256i,-0.0005155-0.00047064i,-4.9759e-05+1.3686e-05i,-0.00019774-0.00078972i,-0.00084903-0.0011768i,-0.00045365-0.00011962i,0.00025373-0.00024963i,-2.4174e-05-0.0011415i,-6.6029e-05-8.0117e-05i
0.00084969+0.0020762i,0.00027197+0.0010677i,0.00050553+0.00023438i,0.00037171-0.00086274i,-0.00017946-0.0015075i,-0.00065731-0.0015364i,-0.00037313-0.00092538i,-0.00021552+8.0887e-05i,0.00032309+0.00092949i,0.00077594-0.00021485i,0.00012281-0.0012535i,-0.00099437-0.00058184i,-0.0012312-0.00018197i,-0.00081142-4.113e-05i,-9.8846e-06+0.00052182i,0.00025463+0.00097916i,5.8227e-05+0.00067388i,-0.00026437-0.00015021i,-0.0002679-3.4058e-06i,-0.00040321+0.00036795i,-0.00016031+0.00023475i,-6.0769e-05+1.3289e-05i,-0.00014182-0.00025018i
0.0010214-0.0015147i,-0.00034839-0.0020965i,-0.00091763-0.0019662i,-0.0011565-0.001994i,-0.0016361-0.0010876i,-0.0012349+0.00025685i,7.1114e-05+0.00090199i,0.00093355+0.0011331i,0.00077538+0.00090424i,9.6288e-05+0.00070917i,-0.00092337+0.00036254i,-0.0010952+0.00033454i,-0.0009007+0.00032714i,-0.00019089+0.00031782i,4.7671e-05+0.00019467i,-0.00042593-0.00048277i,-0.00045011-0.00043422i,-0.00049705+0.0001323i,-0.0010698+0.00059565i,-0.0012836+0.00035177i,-0.001149+0.00017512i,-0.0012225+0.00045023i,-0.0006775-0.00027471i
0.0016831+0.00075963i,0.002427+0.00037121i,0.0016851+0.001083i,0.00076603+0.00075075i,0.00068738-0.00081463i,0.00015047-0.0013693i,-0.00049417-0.001049i,-0.00036992+5.4356e-05i,-5.4763e-05+0.0012076i,-5.7733e-05+0.00044507i,-0.00035814-0.00088855i,-0.00026799-0.0014219i,0.00042314-0.0010402i,0.00030057+0.00012832i,-0.00025499+0.00069107i,-0.00050011-5.6118e-05i,-0.00052396-0.0003104i,-0.00054711-0.00044211i,8.2579e-05-0.00063032i,0.00053097-2.8953e-05i,0.00015282+8.1475e-05i,-0.00052259-4.8044e-05i,-0.00085583-4.613e-05i
0.0020999+0.0023318i,0.0010212+0.00071198i,0.00022869-0.0015628i,0.00030938-0.0028975i,0.00015737-0.0018858i,-0.00021075-0.00087557i,1.7293e-05-0.00077594i,0.00016473+0.00013365i,0.00053737+0.0008367i,0.00078677+0.00043661i,-0.00018477+0.000159i,-0.0011511+0.00031062i,-0.0016646+0.0007105i,-0.0010933+0.0010456i,-9.1173e-05+0.0011397i,6.0749e-05+0.00063864i,-0.00031249-5.0447e-05i,5.5058e-05-0.00028324i,-6.7868e-06-0.00013594i,-0.00053412+0.00030883i,-0.00081189+0.00048409i,-0.00028741+8.8623e-05i,0.0002905+0.00058831i
-0.0018112-0.00061197i,-0.0018091-0.0015613i,-0.0025392-0.0011256i,-0.00098721+0.00059176i,0.00048706+0.0010998i,7.986e-05+0.00098647i,-6.5463e-05+0.0017302i,0.00075158+0.0016424i,0.0013042+0.00091067i,0.00062904+0.00054781i,-0.00069584+0.00065191i,-0.0019269+2.242e-05i,-0.0015248-0.0008316i,-0.00062117-0.0012096i,-0.0005287-0.0009297i,-0.00053603-8.9109e-05i,-0.00072869-0.00020895i,-0.00033622-0.00034093i,0.0005336+6.891e-05i,0.00056719-0.0002239i,0.00059192-0.00017599i,0.0010467+0.00061403i,0.00025528+0.00066649i
0.00013893+0.0011807i,6.2185e-05+0.00073904i,0.0011013+0.00055962i,0.0013197+0.00042838i,0.001344-8.5534e-05i,0.00095869+1.7803e-05i,-9.5768e-05+0.00048145i,-0.00056587+0.00042516i,-0.00064393+0.0010225i,-0.0002741+0.0015751i,0.00023183+0.001653i,-3.8808e-05+0.0009649i,-0.0012108+4.0226e-05i,-0.0011841+7.4625e-05i,0.00030657-0.00027729i,0.0005253-0.00010474i,1.3489e-05+0.0005729i,-0.00075845+0.00013266i,-0.00098211-1.315e-05i,-0.00068843+0.0001804i,-0.00048074-0.0002379i,-1.5109e-05-0.00025831i,0.00016225+0.00015616i
-0.00035423+0.00010054i,-0.0011986+0.00025472i,-0.00084518-0.00049223i,-0.00095834-0.00026693i,-0.0016028+0.00040538i,-0.0012413+9.2305e-05i,-0.00032585+4.307e-05i,-0.00036692+0.00026825i,-0.00074942+0.00046209i,-0.0012481-7.4396e-05i,-0.0010357-0.00044425i,-0.00013253-0.00024747i,0.00039463+0.00044501i,0.00081147+0.0010753i,0.00089993+0.00071028i,-0.00055303+0.00049522i,-0.001192+0.00033979i,-0.00044423-3.4298e-05i,0.00079115-0.00037194i,0.00066229-0.0011722i,-7.1664e-05-0.00080304i,-0.00021202+0.00038971i,-0.00037535+0.00048427i
-0.0026389-4.8055e-05i,-0.0017532-0.00058569i,-0.0015191+0.00012934i,-0.0012313+0.00072372i,0.00036023+0.00060449i,0.00040163+0.00070547i,-0.0002171+0.00071382i,0.00017015+0.00081118i,0.00099985+0.0015141i,0.0007993+0.0018768i,1.7798e-05+0.00061962i,-0.00034064+0.0003947i,-0.0011401+0.00082363i,-0.0015249+1.3234e-06i,-0.00045331-0.00036044i,-0.00028899-0.00012555i,-0.00032981-5.7297e-05i,-0.00040915+0.00026201i,-1.4725e-05+0.00056658i,0.00052878+0.00087806i,-0.00052379+0.00024525i,-0.0013238-0.00068939i,-0.00091127-0.00038126i
0.0015842-0.00061689i,0.0011726+0.00034737i,0.00035326-0.000927i,-0.00030616-0.0019659i,-0.00084828-0.0017792i,-0.00098734-0.0017346i,-0.00053956-0.00013083i,-0.00062076+0.0013222i,-0.00035323+0.0013676i,-0.00082797+0.0013103i,-0.0014756+0.0011599i,-0.0014848+0.00028367i,-0.00096262-0.00039698i,0.00017113-0.00014498i,0.00018535-1.3094e-05i,-0.00016816-7.9229e-05i,0.00012297+0.00078299i,0.00058135+0.0012532i,1.595e-05+0.00070603i,-0.0010998-0.0002692i,-0.00037588-0.00019533i,0.00029115+0.00027889i,0.0003348-7.8566e-05i
-0.0018575-0.00088292i,-0.0031102-0.00070297i,-0.0028944-0.0001536i,-0.0026291+0.0010062i,-0.0019057+0.0015322i,-0.00076657+0.0025082i,-0.0011205+0.0023607i,-0.0014642+0.0013406i,-0.001275+3.2919e-05i,-0.0014549-0.0010619i,-0.0011286-0.00062678i,-0.00029985+0.00043054i,0.00040383+0.00067318i,0.00065097+7.7606e-05i,0.00067601-0.00046994i,0.0011507+0.00011964i,0.0010186+0.00032434i,0.00044969-0.00010242i,0.00027449-0.00025257i,-0.00027157+0.00023419i,-0.00062952+0.00039506i,-0.00034225+4.4551e-05i,-0.00049806+6.2754e-05i
-0.00049023+0.00043909i,0.00020875-4.748e-05i,-1.7438e-05-0.00057085i,6.5349e-05-0.00084059i,4.9919e-05-0.00040571i,-9.4448e-05-0.00043281i,-0.00020364-0.0011055i,0.00047499-0.00055102i,0.0010826+0.00024833i,0.00088292+0.00039074i,-8.3523e-05+0.00040474i,-0.00098794+0.00045089i,-0.0013567+0.0003489i,-0.00073626+0.00015926i,-0.00026358+0.00039469i,-0.00034319+0.00027319i,-0.00036656+0.00041884i,-0.00051576+0.0002673i,-2.0738e-05-0.0001565i,0.00067982+4.9097e-05i,0.00057813+4.3431e-05i,0.00026499-0.00015057i,-0.00035235-0.00039492i
0.0027711+0.0018037i,0.0026241+0.0021933i,0.0022489+0.0013417i,0.001241-0.0002331i,0.00011945-0.0010048i,-0.00082898-0.00058559i,-0.00091536+0.0004525i,-0.00061627+0.00094403i,0.00021938+0.0010663i,0.00043724+0.0011912i,-0.00014877+0.00054381i,-0.00085868-0.00027695i,-0.0013294-0.00030119i,-0.0013216+0.00011275i,-0.0010691+0.00045885i,-0.00060032+0.00090921i,-0.00078817+9.6117e-05i,-0.00027309-0.00056945i,0.00068379+0.00030748i,0.00039491+0.0010298i,0.0002269+0.0010294i,0.00054953+0.00089357i,0.00010408+0.0006116i
0.00089235+0.0011086i,0.00049521-0.0012018i,0.00079945-0.0024898i,0.0013458-0.0030162i,0.00023627-0.002975i,-0.0013104-0.001183i,-0.0014772-9.5839e-05i,-0.00089793+0.00056402i,-0.00086485+0.00094383i,-0.00072066+0.00015223i,-0.00043469-0.00072205i,-0.00089872-0.00097098i,-0.001072-8.5781e-05i,-0.0009694+0.00074308i,-0.0007467+0.00028949i,-0.00028913-0.00019407i,0.00022793-0.00029318i,0.00045329-4.507e-05i,-2.9547e-05+0.00041311i,-0.00053038-0.00012813i,-0.00060836-0.00037226i,-0.00036103+1.7374e-05i,-0.00027704-4.2606e-05i
0.00093982-0.00060413i,0.0010148+0.00059594i,0.0006884+0.0013457i,-0.0002505-7.5746e-05i,-0.00024394-0.0011854i,0.0001049-0.00038348i,0.00026885+0.00031097i,-3.8881e-05+0.00067115i,-0.00066999+0.00063513i,-0.00053883-0.00041719i,-0.00035173-0.00077914i,-0.00055146-0.00072588i,-0.00034797-0.00080234i,-0.00034612-0.00016084i,-0.0005046+0.00052222i,-0.00028003+0.0006282i,-0.00019884+0.00097308i,0.00045597+0.0010749i,0.00055302+0.00047608i,-0.0004382+0.00030017i,-0.0013282-3.4152e-05i,-0.00099248+4.4813e-05i,-0.00011941+8.9733e-05i
-0.0011756-0.0004152i,-0.0013907+0.00062281i,-0.0017451+0.0014686i,-0.0023247+0.00097554i,-0.0017325+0.00041604i,-0.00055503+0.00040463i,0.00031712+0.0010368i,0.00038762+0.00144i,0.00068004+0.0010348i,0.00044948+0.0004466i,-0.00018231+5.9825e-06i,-0.0005035+0.00022888i,-0.00019436+0.00028597i,-0.00084965-6.0569e-05i,-0.0015073-0.00041128i,-0.00045501-0.00030695i,0.00023627+3.1843e-05i,3.7943e-05+0.00017609i,6.9102e-05+0.00031293i,0.00019244+0.00059159i,0.00056791+0.00081644i,0.0008327+0.00084077i,0.00014873+0.00017825i
-0.00042004+0.0025816i,-9.9435e-06+0.0019311i,7.3605e-05+0.0010675i,-3.1816e-05+0.00015157i,0.00017316-0.00019689i,0.00012461+0.0001513i,0.00032049+0.0004878i,0.00049648+0.00097195i,0.00057613+0.0012667i,0.00019031+0.001165i,-0.00023226+0.0009518i,-0.0008881+0.00052065i,-0.0018143+0.00010472i,-0.0018006+7.7977e-05i,-0.0014869+0.00014825i,-0.0012539+0.00017214i,-0.0010844+9.5979e-05i,-0.00036896-0.00037152i,0.00024982-0.00087667i,-2.7416e-05-0.00042172i,4.7098e-05-0.00018937i,0.00047379-0.00069733i,0.00062731-0.0003249i
0.00053642-5.1552e-05i,0.00077516+0.00021742i,0.00059618-0.00030593i,-0.00044659-0.00096054i,-0.0007496-0.0009147i,-9.1232e-05-0.00045422i,-0.00030894+0.00026218i,-0.00066332+0.00038562i,-0.00055907-0.00023949i,-0.00047253-0.00044183i,-0.00046119-0.00056681i,-0.00019916-0.00079865i,-0.00026787-0.00094894i,-0.00045591-0.00029431i,-0.00015474+9.9977e-05i,0.00023635-0.00041147i,-0.00018051-0.0002932i,-5.025e-05+0.00025297i,0.00019466-0.00016033i,0.00011296-0.00029797i,0.00021979+0.0002168i,-0.00011687+0.00019501i,-0.00034446+0.00026852i
0.0023231+0.00023923i,0.001722-0.001529i,0.0018189-0.0019924i,0.0011058-0.0014649i,-0.00070581-0.0014186i,-0.0012488-0.00076804i,-0.0011506+0.00044736i,-0.00045523+0.00085626i,0.00072875+0.00082363i,0.0013864+0.00077621i,0.0011859+0.00043088i,0.00094226+0.00057387i,0.00035262+0.001102i,0.00037154+0.001532i,0.000323+0.0011521i,-0.00017264+0.00014947i,-0.00013175+0.00010098i,-0.00052876+0.00066287i,-0.00039915-0.00011873i,0.00024562-0.00073017i,0.00038248+0.0003775i,0.00019742+0.00054032i,0.00013077+0.00036522i
-0.0012244+0.00072917i,-0.001935+0.0015886i,-0.0020344+0.0014032i,-0.0013038+0.0012191i,-0.00056438+0.0011644i,-0.00024738+0.0013077i,0.00017524+0.0017271i,7.3873e-05+0.0020214i,0.00046428+0.0019111i,0.00047435+0.0021006i,0.00049599+0.001525i,0.0006383+0.00047276i,-0.00056164+2.4126e-05i,-0.00066187+0.00042335i,-0.00018801+0.00028543i,-0.00081742-0.00029187i,-0.00062352-2.7421e-05i,-3.6822e-05+0.00029039i,-0.00010008-2.5715e-05i,0.00026761-8.1135e-05i,0.00048698-0.00040685i,-0.00022095-0.00098985i,-0.00080392-0.00074525i
-0.0020706-0.0018114i,-0.0010624-0.0010661i,-0.00077148+0.00033576i,-0.00024773+0.0011763i,-0.00019773+0.001366i,-0.00016645+0.00071497i,4.6013e-05-0.00025197i,-0.00083817-0.00069598i,-0.0010072-0.0001881i,-0.00043615+0.00042172i,-6.7726e-05+0.00054011i,-8.0097e-05-8.3864e-05i,-0.00070744-0.00030264i,-0.00087603-1.5506e-05i,-0.00045692+0.00040774i,-0.00020868+0.00053597i,-0.00038756+0.00034631i,-0.00028061-0.00030677i,0.00014455-0.00035162i,-0.0001121-2.1174e-05i,0.00013015+0.00034919i,0.00032685+0.00045241i,0.00065027+6.7378e-05i
-0.0011981-0.00027802i,-0.0011124+0.00024881i,-0.00052405+0.0011206i,-0.00011576+0.0013553i,0.00052023+0.0015565i,0.000875+0.0010694i,0.00084676-1.2819e-05i,0.00046072+0.00033103i,0.00018315+0.00085161i,0.00086277+0.00042335i,0.00053189-0.00064485i,0.00024784-0.001483i,0.00033802-0.0015337i,0.00011508-0.0012469i,0.00033938-0.00075645i,6.3647e-05+5.4985e-05i,-0.00041591+0.0004174i,-0.00035527-0.0001273i,1.5561e-05-0.00024773i,0.00011844+0.0005665i,-0.00012772+0.00053752i,-0.00044405-0.00015616i,8.2089e-05-0.00031314i
-0.0015447+0.00031127i,-0.0018829+0.0012117i,-0.0016316+0.00070597i,-0.0013496+0.001032i,-0.00055925+0.0013206i,0.00050374+0.0014201i,0.00040353+0.00096093i,-0.00019349+0.0005851i,-3.3519e-05+0.0013164i,0.00054775+0.0023704i,7.0503e-05+0.0021021i,-0.00071008+0.00060241i,-8.5296e-05+0.00047759i,0.0010359+0.00099797i,0.0013038+0.00098058i,0.00085588+0.00073631i,0.00019987+0.00091989i,-0.00076225+0.0012416i,-0.00090111+0.00087173i,-0.0005383+0.00053047i,-0.00092039+0.00051022i,-0.00041905+0.00020328i,0.00043373-3.8939e-05i
0.0002806-2.7319e-05i,0.00071228-0.00074582i,0.00081298-0.00035001i,-7.5509e-05-0.00058346i,-0.00085931-0.00063006i,-0.0010826+0.00061815i,-0.00019433+0.0012277i,-3.161e-05+0.001382i,-0.00038682+0.00092155i,-0.00062424+0.00049949i,-0.0014676+0.00070063i,-0.0016797+0.00044313i,-0.00049778+0.00036867i,-9.6444e-05+0.00050438i,-0.00056935+0.00019323i,-4.1239e-05+6.6043e-06i,0.00031201-0.00017305i,-0.00019179+0.0002027i,-0.00010795+0.00015415i,-0.00022415-4.6288e-05i,-0.00019908+0.0010923i,0.00058508+0.0010273i,0.0013714+8.7082e-05i
3.4713e-05-0.0014488i,-0.00030733-0.00018097i,-0.001252+0.00022916i,-0.0013206+0.00036399i,-0.00034498-0.00051216i,0.00099478-0.00073031i,0.0010844+0.00012119i,0.00023756-0.00051043i,-0.00018839-0.0014424i,-0.00049591-0.0010663i,-0.0005183+0.00035401i,-0.00054711+0.00073815i,-0.0016412-0.00036676i,-0.0016759-0.00073774i,-0.0010138-0.0010057i,-0.00058529-0.0015331i,-0.00054022-0.0011005i,-0.00077124-0.00074808i,-0.00072168-0.00016607i,-0.0012323+6.8302e-05i,-0.0012334-0.00020926i,-0.00063464-0.00053081i,-0.00021411-0.00074685i
