-0.00037003+0.0012501i,4.4866e-05+0.00031409i,-0.00071358-0.00045732i,-0.00036645-0.00018589i,-0.00010142+0.00064i,-0.00022701+0.0011444i,0.0002962+0.001364i,0.0015369+0.0011321i,0.0020697+0.0007026i,0.0024205-6.7432e-05i,0.0022842-0.00031805i,0.0014269-0.00028417i,0.00072426-0.00063965i,0.00064786-0.00094126i,-0.00012468-0.0010611i,-0.0011113-0.000692i,-0.00084822+4.6207e-05i,-0.00042185+0.00069349i,-0.00025439+0.0005887i,-0.00023974-0.00088123i,-0.00031012-0.0014761i,-0.00039371-0.0010203i,-0.0004181-0.00054601i
0.0014848+0.0002284i,-0.00011729-0.00016565i,-0.00093181-0.0011964i,-0.0012069-0.00094435i,-0.001162-0.00092092i,-0.00065972-0.00055536i,0.00032999-0.00034991i,0.00095037-0.00012956i,0.001078-5.2383e-05i,0.00059397+7.8455e-05i,0.00036426+0.00010477i,0.00036791-0.0004231i,2.349e-05-0.00071639i,-0.00037949-0.00010147i,0.00021128+0.00037261i,0.00069238+0.0004581i,-2.1831e-05+0.00060845i,-0.0007503+0.0010187i,0.00017051+0.0010326i,0.0011174+0.00017747i,0.00085231-0.0009453i,0.00060951-0.0007678i,0.0010813-0.00013148i
-0.0001445+0.00011329i,-0.00033511+0.00011864i,-0.0003706+0.00054047i,-8.9298e-05+0.00094973i,0.00020902+0.00054734i,-0.00020285-9.5775e-05i,-0.00012749-0.00036376i,0.00056594-0.00031994i,0.00086393-0.00042598i,0.00088563-0.00040084i,0.00062392-9.2747e-05i,0.00027131-7.8558e-05i,0.00030408-0.00026584i,-0.00025181-0.00033493i,-0.00042025-0.00083362i,0.00036827-0.00090854i,-0.00032319+7.6825e-06i,-0.00060217+0.00061937i,9.1339e-05+0.00059062i,-4.772e-05+0.0005843i,-0.00040613-2.9963e-05i,-0.00022974-0.00065922i,0.00010503-0.00089209i
0.00010464+0.0012024i,0.00013762+0.0011705i,0.00053125+0.0010081i,0.0014038+0.00039447i,0.0016376-4.7286e-05i,0.0014683-0.00029919i,0.0013477-0.00019682i,0.0012103-0.00030264i,0.0013131-0.00020485i,0.001072-6.5345e-05i,0.00063606-0.00084092i,0.00068478-0.00094744i,0.00048282+0.00015399i,-0.00020203+0.00074926i,-0.00064151+0.00087035i,-0.0002893+0.0011343i,-0.00039185+0.0011475i,-0.00050679+0.00047528i,-0.00031576-4.9412e-05i,-0.00032982-2.4772e-05i,-0.00017903+1.9003e-05i,4.323e-05+0.00033457i,-0.00022277+0.0006164i
-0.0011523-0.0017118i,-0.00027161-0.00032555i,0.00027511+0.00026415i,-4.4138e-05+0.00076898i,-0.0006261+0.0013819i,7.7606e-05+6.2182e-05i,0.00051584-0.00079758i,0.00019231-0.00045021i,0.0001815-0.00040909i,0.00028778-0.00014179i,-9.0565e-05-0.00014304i,-6.3914e-05-0.00065982i,0.00061667-0.0010546i,0.0007351-0.001306i,0.00042444-0.0010004i,-0.00023713-0.00033529i,-0.0011635+6.0416e-05i,-0.0011745+2.513e-05i,-0.00099252+0.00011391i,-0.0012721+0.0006098i,-0.00081544+0.00074021i,8.9039e-05+0.00034338i,0.00034296-0.00037986i
4.9509e-05-0.00023342i,0.00072248-0.00079415i,0.0020248-0.0008424i,0.0015809-0.0009879i,-0.00029202-0.001104i,-0.00056655-0.00075853i,-0.00031045+0.00024467i,0.00013352+0.00014969i,0.00044657+9.6123e-05i,0.00060094+0.000345i,0.00078454+0.0003413i,0.0004627+0.00020143i,0.001163-0.00013505i,0.0012754+7.0728e-05i,-6.6924e-05-0.0001438i,-0.00057299+0.00013911i,-0.00072316-0.00016942i,-0.0010047-0.00014755i,-0.001108+0.00033869i,-0.00064374+0.00025808i,-7.2343e-06+0.00021657i,0.00016543-0.00028132i,0.00061637-0.00054244i
-0.00077858-0.00031112i,-0.00046715+0.0011881i,-0.00017285+0.0026024i,0.001038+0.0018918i,0.0019647+0.0006191i,0.0019433-0.00032845i,0.00086551-0.001159i,-1.4453e-05-0.0011664i,0.00010772-0.000431i,0.00048599+0.00017455i,0.00038661+0.00030521i,3.4837e-05-0.00037368i,0.00035816-0.00056833i,0.00032822+0.00015704i,0.00011968+0.00020202i,0.00043753+0.00025102i,-0.0002993+0.0011955i,-0.00042481+0.0012303i,-0.00010416+0.00035286i,-0.00012062-8.3993e-05i,0.00018169+0.00056796i,-0.00020311+0.00090025i,-0.00058607+0.00075802i
4.815e-05-0.0011432i,-0.00087023-0.0014921i,-0.00046878-0.0019745i,0.00037069-0.0026017i,0.00053558-0.0024906i,0.00063643-0.0012742i,0.00078455-0.00014213i,0.00080822+3.4813e-05i,0.0012447+0.00033675i,0.00074274+0.0004659i,0.00010733+0.00025179i,0.00021041+0.00026465i,0.0013709+0.00062218i,0.0020032+0.00077688i,0.0013428-6.6107e-06i,0.00068198-0.00018544i,0.0003412+0.00020618i,-0.0002367+0.00063292i,-0.00051603+0.0003198i,-0.00012811+0.00026213i,-0.00073321+0.00033886i,-0.0010324+0.00015434i,-0.00058208-0.00056933i
0.00045919+0.00053587i,0.0023025+0.00061503i,0.0024175+0.0013895i,0.0019149+0.00057087i,0.0018847-0.00088123i,0.00057409-0.0011528i,-0.00070802-0.00053968i,-0.00051449+2.4507e-05i,0.00077338+0.0001837i,0.00089915-0.00018775i,0.00058977-0.00074942i,-7.2463e-05-0.00064655i,-0.00024186-9.6941e-05i,0.00015081+0.00058281i,-0.00046113+0.00072643i,0.0001151+0.00065821i,0.00047355+0.00058944i,3.2643e-05+0.0011348i,0.00049619+0.0014179i,0.0003657+0.0011731i,0.00042984+0.00047151i,0.00082386-8.7709e-05i,0.0002684-0.00049549i
-0.00082875-0.0018642i,-0.0012298-0.0011479i,-0.0011096-0.00053364i,-0.0017064-0.00034833i,-0.0021739-0.00032568i,-0.00097271-0.00074594i,-7.8297e-05-0.0010112i,0.00011625-0.00045244i,0.0003612-0.00010176i,0.0004617-3.282e-07i,0.00071524+0.000532i,0.00095821+0.00077089i,0.0013107+0.00060598i,0.00055627+0.00020539i,-0.00033551-0.00033423i,-0.00050392-0.00051124i,-0.00053657-0.00015695i,-7.7487e-05+0.00075557i,0.00076465+0.0013375i,0.0012036+0.00095217i,0.0011758+0.0002348i,0.00071997-0.00066507i,0.00013842-0.0010965i
0.001389-0.00017837i,-0.0003858-0.0006253i,0.0001889-0.00055497i,0.0019563-0.00087566i,0.0015088-0.0014535i,0.00062865-0.0011212i,0.00090303-0.00044471i,0.00028514-0.00011099i,-0.00042968-0.00013738i,0.00026767-0.00041036i,5.0891e-05-0.00062729i,-0.00088318-0.00033343i,-4.6854e-05+2.6506e-05i,0.00086274-7.1019e-06i,0.0012578+0.00031479i,0.001097+0.00049875i,0.00055455+0.0002341i,3.2721e-05+0.00047806i,-0.00048914+0.00039843i,-0.00023131-0.00035367i,1.2708e-05-0.00076887i,1.1774e-05+8.2725e-05i,-0.00035142+0.00080398i
-0.00018369+0.0018945i,0.00099387+0.0024882i,0.00047935+0.0018698i,0.00079196+0.00061914i,0.0022933-0.00035516i,0.0017096-0.0010025i,0.00029527-0.0010978i,0.00014458-0.00037662i,0.00037143+0.00074331i,0.00085676+0.0011015i,0.00082822+0.00072677i,-2.2167e-07+0.00053899i,-0.00059475+0.0003953i,-0.0005653-6.8795e-05i,0.0003573-0.0004927i,0.00065543-0.00053249i,0.00033379-0.00013402i,0.00036574-4.6903e-05i,0.00028274-0.00075648i,-0.00033539-0.0008048i,-0.0005487+4.6689e-05i,-0.00022126-0.00027057i,-0.00040134-0.00042869i
-0.00045261-0.0011473i,-0.00030205-0.0010091i,0.00025684-0.0012452i,0.00036909-0.0012198i,0.00030532-0.0013897i,0.00088532-0.00087752i,0.00094515-0.00026494i,0.0010735-0.00018187i,0.0014298-0.00049662i,0.00088359-0.00064403i,0.00017474-0.0005036i,0.0004525+0.00027419i,0.00018346+0.00025096i,-8.1019e-05-2.7004e-06i,0.00019173+0.00017851i,-0.00034637-0.00039892i,-0.0012686-0.0012113i,-0.0018574-0.00086302i,-0.0012562-0.00029412i,-0.00041174-0.00021072i,-0.0002372-0.00016517i,0.00021435+0.00020646i,0.0005125+0.0002293i
0.0012351+0.0019028i,0.0042683+0.00081016i,0.0036111+0.00023741i,0.0017142-0.00053168i,0.0014251-0.0014761i,0.0012121-0.0015488i,5.8743e-05-0.0007475i,-9.1354e-05+0.00018448i,0.0012437+2.8031e-05i,0.001677-0.00018669i,0.0011746-0.00026501i,0.00063391-0.00037798i,0.00019285-0.00035707i,-0.0010357+0.00015971i,-0.0015981+0.00012796i,-0.00082939-0.00077506i,-0.00044318-0.00033679i,-0.00015627+0.00076867i,0.00022087+0.0010155i,0.00075174+0.00069386i,0.00089135+0.00067015i,0.00056153+0.00023649i,0.00065778-0.00059969i
-0.00059325+0.001421i,-0.00031287+0.00055282i,0.00065859+0.00080287i,0.0012898+0.00034662i,0.00068772-0.00064634i,-0.00071363-0.00087738i,-0.00028271+6.2941e-05i,0.00088485+0.00033226i,0.00072354-0.00022051i,0.00049301-0.00041203i,0.00015882-0.00042278i,-4.0425e-05-1.8291e-05i,-0.00025297+0.00062845i,-0.0005341+0.00083414i,-0.00047266+0.00083556i,0.00043563+0.00063041i,0.0016543+9.9654e-05i,0.0013889+0.0002323i,0.000644+0.00050243i,0.0011796+0.001i,0.0010688+0.0013139i,0.00046966+0.00042053i,0.00070325-1.9259e-05i
0.0028689-0.00059796i,0.0035019-0.0018204i,0.0030043-0.0020893i,0.0022684-0.0017866i,0.0020055-0.0018342i,0.0020462-0.0018231i,0.0018182-0.00082729i,0.0013736-0.00019012i,0.001219-0.00018304i,0.0011445-0.00037048i,0.00014321-0.00060976i,-0.00048187-0.00098376i,-0.00021566-0.00044341i,-0.00030897+0.00044784i,-0.00010678+0.00073777i,0.00054453+0.0003599i,0.0009309-0.00016893i,0.001007-0.00036158i,0.00094497-0.00015233i,0.00083887+0.00039116i,0.00023553-2.7188e-05i,-0.00063572+0.00021754i,-0.00051276+0.00044174i
-0.0021576-0.00050837i,-0.0022372+0.00089598i,-0.001781+0.00075034i,-0.0011288+0.00074062i,-0.00074645+0.0013403i,0.00015412+0.00083708i,0.00085301+0.00028316i,0.00028265+0.00012697i,0.00017699+5.9839e-05i,0.00069878+2.0519e-05i,0.0011473+0.00010263i,0.0012147+9.644e-05i,0.0005797-0.00024622i,0.00016163-0.00069576i,0.00039121-0.00071091i,0.00034914-0.00054898i,-5.3411e-05-0.00074703i,9.4062e-05-0.00072529i,-8.55e-05-4.8389e-05i,-0.00042883+0.00068836i,-0.00071428+0.00038009i,-0.00092188-0.0002061i,-0.00052534-0.00028518i
-0.00075985-0.001098i,-0.0001211-0.0018532i,-0.00059236-0.00082274i,3.8491e-05+0.00030644i,0.00089491+0.00038445i,0.00057662+3.3446e-05i,0.00035669+1.9551e-05i,0.00058014+0.00076908i,0.00078411+0.00080888i,0.00037214-7.8499e-06i,-3.9805e-05+1.0176e-05i,-0.00038656+3.2247e-05i,0.0001922-0.00010367i,0.00059199-0.00037832i,3.9298e-06-0.00078253i,3.2298e-05-0.0006903i,0.00061786+1.9922e-05i,0.00094086-0.00029069i,0.00064596-0.00052626i,0.0012634+0.00033965i,0.0013177+0.00022885i,3.4332e-05-0.00040221i,-0.00049452-7.6272e-05i
7.1654e-05-0.00087286i,-0.001064+0.00016778i,-0.0008185-0.00019452i,-0.0005738-1.1971e-05i,-0.00017675+0.00052082i,0.00049425+0.00046824i,0.00033888-0.00039121i,0.00048087-0.00047764i,0.00034709+2.8166e-05i,-0.00030461+0.00020003i,-0.0004298+0.00054676i,-0.000223+0.00081246i,0.00047462+0.00022351i,0.00074181+0.00025726i,3.4585e-05+0.00035052i,-0.00065962-0.00010006i,-0.0010325-0.00022312i,-0.00066026-0.00090108i,0.00085014-0.0011906i,0.001625-0.00032802i,0.00087066+0.0003971i,1.3012e-05+0.00037496i,0.0002546+0.00023815i
-0.0021853-0.00045296i,-0.00094903-0.00068704i,5.0664e-05-0.00038642i,0.00025473+0.00016639i,0.0003324+0.0001324i,0.0010634-0.00038947i,0.0017361-0.00017074i,0.0018866+0.00044799i,0.00055661+0.00044767i,0.00012183+0.00037164i,0.00052667+0.00064117i,3.3559e-05-3.1651e-05i,0.00020454-0.00080059i,0.0010706-0.00084638i,0.00071081-4.1026e-05i,-0.00010445+0.00057813i,-0.00041848+0.00051997i,-0.00037279-4.9098e-06i,-6.6564e-05-0.00012751i,0.00031586-0.00056741i,0.00042229-0.00075542i,0.00025985-0.0012286i,0.00015907-0.00061012i
0.00060409+0.00093523i,0.00094031+0.001391i,0.00076527+0.0010289i,0.00047963+0.00012151i,0.00041287-0.00024207i,0.00093012-5.5139e-05i,0.0007282-3.7525e-05i,0.00039106+0.00030153i,0.00063221+0.00075178i,0.00068574+0.00034676i,0.0012121+2.1818e-05i,0.00080673-0.00033871i,0.00040637+2.92e-05i,0.00034299+6.6294e-05i,-0.00010574+5.7012e-05i,0.00026548+0.00059531i,0.00032694+0.00064354i,-0.00069606+0.00097303i,-0.0010929+0.00064101i,-0.00073169+0.00058782i,0.00037269+0.00052518i,0.0017476+0.00035143i,0.00080905+0.00027364i
-0.0016166-0.00033384i,-0.0004303+0.00097769i,2.9267e-05+0.0015292i,5.2087e-05+0.00061347i,0.00020876-0.00032282i,0.00058688-0.00035479i,0.00079088-9.8989e-05i,0.00070778-0.00035333i,0.00069848-0.00029314i,0.0010103-0.00027347i,0.0005929-0.00017323i,0.00024122+0.00020573i,0.00039358+7.3196e-05i,0.00010176-0.00026271i,0.00015304-0.0001437i,0.00031346+0.00015394i,-0.00026806+0.00025271i,-0.00010648+0.00018241i,0.00044091-0.00030095i,0.00079303-0.0007128i,0.00066167-0.00040263i,0.00035719+8.6274e-05i,0.00054382-2.8551e-05i
0.00084329+0.0019298i,0.0018127+0.0018888i,0.0023407+0.00072752i,0.002109-0.00055406i,0.0019381-0.0013718i,0.0019977-0.00088237i,0.0013855-0.00021607i,0.00047812-0.00041657i,0.00083835-0.00026023i,0.0012764-0.00033152i,0.0010743-0.00069314i,0.00078899+7.8396e-06i,-0.00012132+0.0011064i,-0.00024534+0.00041877i,0.00019835-0.00046756i,5.8248e-05-0.00014246i,0.00027453-0.00019358i,0.00044665-0.00049411i,9.4947e-07-0.00025826i,9.4963e-05+0.00024027i,-0.00010436+0.00017734i,-0.00028776+0.00063117i,0.00017289+0.00094529i
-0.00057119-8.3859e-05i,-0.00063201+0.0010416i,0.00038864+0.0011918i,0.0012269+0.00032597i,0.0011869+2.8614e-05i,0.00065148+0.00043116i,0.00051169+9.197e-05i,0.00044118-0.00018062i,0.0010673+0.0001402i,0.0016935-0.00016101i,0.0013434-0.0008235i,0.0011878-0.00068829i,0.00090036+5.6375e-05i,0.0001122+0.0005942i,-0.00045586-0.00028335i,-0.00084393-0.00097781i,-0.0013789+9.564e-05i,-0.00078972+0.00040018i,-1.8609e-05-9.5622e-05i,-0.00086218+0.00014828i,-0.00096754+5.6802e-05i,-0.00061529-6.8247e-05i,-0.00063465-0.00029591i
0.0019024+0.001027i,0.0029854+0.00031868i,0.0028365+0.00021664i,0.0015355-0.0010461i,0.00085227-0.0026265i,0.0010701-0.0019459i,0.00094112-0.00025058i,0.00061233+0.00068044i,0.0011484+0.00036925i,0.0013215-8.3058e-05i,0.00097531-0.00030326i,8.3389e-05-0.00015424i,-0.00034329+0.00061544i,-0.0006935+0.00089207i,-0.0014911+0.0006742i,-0.001087+0.000655i,0.00019044+0.00059525i,4.8015e-05+0.00057831i,-0.00031549+0.00037826i,-0.00026066+0.00035749i,-7.4356e-05+0.00057581i,9.1275e-08+0.00067803i,0.00037381+0.00035679i
-0.00014268-0.00017308i,-0.00041187+0.00037156i,-0.00040149+2.102e-05i,-0.00068282-0.00035802i,-0.00018709-0.00028258i,0.00059144-0.00017194i,0.00053329+1.6381e-05i,0.00053945+4.6488e-05i,0.000732-0.00012501i,0.00096094+0.00054276i,0.00096538+0.00056279i,0.00048122-0.00029103i,0.00059124-0.00050758i,0.00017859-0.00018491i,5.0029e-05-9.5399e-05i,-0.00031405-0.00026069i,-0.00021372-0.00077709i,0.00017434+1.3189e-05i,-0.00029316+0.00071282i,-0.00024211-0.00074224i,0.00056173-0.0012064i,0.0010978-0.00029834i,0.00035706+0.00014607i
-0.001262-0.00062376i,-0.0012672+0.00060326i,-0.0023236+0.0012354i,-0.0014484+0.0013978i,0.00025624+0.0010055i,0.0009924+0.00076091i,0.00097403+0.0002886i,0.00058169+0.00011541i,0.0001631+0.00081155i,0.00079532+0.00053663i,0.0014191-0.00012317i,0.00059189+0.00010575i,0.00024025-0.00015076i,0.00085746-0.00081491i,0.00064875-0.00099429i,9.2565e-05-0.00068966i,0.00053065-7.6695e-05i,0.00076585+9.9639e-05i,0.00068138+2.7343e-05i,0.00024638-0.00055385i,0.00014922-0.00051659i,9.1087e-05-0.00045404i,0.00035213-0.00065614i
-0.00036251-0.00068175i,1.5401e-05-0.0011505i,0.00093453-0.0010629i,0.0014827-5.4068e-05i,0.001057+0.00016621i,0.00077604-0.00024191i,0.00054691-0.00059496i,0.00013746-5.4471e-06i,-0.00012709+0.00046795i,0.00047427+0.00058897i,0.00042467+0.00014142i,0.00021655-0.00043474i,0.0010402+0.0005128i,0.0007214+0.00077891i,0.00014938-7.6828e-05i,0.00030723-0.00033578i,-6.9836e-06-0.00044286i,-0.00021497-0.00034493i,-0.00062352-0.00049651i,-0.00028469-0.00056616i,0.00030627-0.00072904i,-4.4201e-05-0.00086991i,-0.00058799+2.026e-05i
-0.00018065-0.002026i,-0.00033861-0.00066783i,-0.00090062+0.000339i,-0.00080532+2.8533e-05i,-0.00017349+0.00052917i,-5.8951e-05+0.0014736i,-0.00013854+0.0011746i,0.00013245+0.00033995i,0.00060104+4.2445e-05i,0.0010992-0.0001691i,0.00040654+0.00041046i,-0.00020041+0.00084388i,0.0001628+0.00060376i,0.00067791-0.00015677i,0.00074126-0.00048538i,0.0005516-9.8958e-05i,-0.00023976+2.0151e-05i,-0.00081605-0.00042182i,-0.00029516-0.00078993i,0.00033483-0.0007361i,0.00011101-0.00064695i,-0.0001842-0.00062115i,-0.0005651-0.00013999i
0.0018907-0.00035741i,0.001524-0.00080024i,0.0018448-0.002791i,0.0023488-0.002166i,0.0019283-0.0013022i,0.0015223-0.0008928i,0.00087266-6.8116e-05i,0.00034448+0.00012266i,0.00082625-0.00024021i,0.0014584-0.00091075i,0.00103-0.0011001i,0.00039025-0.00074653i,0.00020811-0.0001672i,0.0004421-2.5723e-05i,0.001269-0.00043422i,0.0012596-0.00063935i,0.00042689-5.6172e-05i,-0.00021649+0.00033876i,-0.00022913-8.7574e-05i,0.00043795-0.00028044i,0.00045386+0.0004934i,-8.4909e-05+0.000895i,0.0003371+0.00048341i
0.0013057-2.8472e-05i,0.00027759+0.00012829i,-0.000766+7.6887e-05i,-0.0010696+0.00026089i,-0.00087886-7.0309e-06i,-0.00022766-9.0228e-05i,-0.00029123-0.00017801i,-0.0003475-0.000112i,0.0002408+0.00027606i,0.00082059-9.545e-05i,0.000766-0.0003775i,0.0011395+0.000152i,0.0014997+0.00023511i,0.0010508-0.00050625i,-6.7922e-05-0.00050781i,-0.00022214+0.00021858i,-0.00022967+0.00013357i,0.0001285-0.00023849i,0.00066258-0.00037981i,0.00032922-0.00039121i,-0.00024506-9.4124e-05i,-4.0976e-05-0.00037399i,0.0001934-5.6739e-05i
-0.0042146+0.0027572i,-0.0032068+0.0036402i,-0.0011274+0.004137i,0.0013248+0.0036511i,0.0022382+0.0026326i,0.0021536+0.0012683i,0.0024414+0.0013471i,0.0016475+0.0022946i,0.0013818+0.0028721i,0.0031563+0.0024767i,0.0035844+0.001269i,0.0027134-3.5272e-05i,0.0014175-0.00095754i,0.00047117-0.0018468i,4.7306e-05-0.0017305i,-0.00060596-0.00077071i,-0.00031359+0.00033921i,0.00018929+0.00016401i,0.00015124-0.00040672i,-0.00012429-0.00055792i,0.00019132-0.0001975i,0.00012069-0.00022852i,-0.0003289-0.0004123i
0.0015074+0.00056952i,0.0020506-0.00072323i,0.0018383-0.0011779i,0.0014206-0.00044888i,0.0015606-0.0010378i,0.00077168-0.0023708i,0.00044241-0.0045765i,-0.00041519-0.0049209i,-0.0019103-0.0036588i,-0.0027186-0.0024225i,-0.0024779-0.00091665i,-0.0019962+0.00053683i,-0.0013085+0.00161i,-7.6504e-06+0.0015197i,0.001001+0.00078712i,0.0015034+0.00042991i,0.0016614+0.00058878i,0.00072384+0.00025123i,-0.00064206-0.00033961i,-0.00059981-0.00032901i,-6.3017e-05-3.6363e-05i,0.00031452+5.1528e-05i,0.00040994-0.000198i
0.00066113-3.0818e-05i,0.0012194+0.00024606i,0.0023876+0.00014038i,0.0026908-0.00072537i,0.0012839-0.0016302i,0.00048605-0.0018601i,-6.9263e-05-0.0016933i,-0.00084203-0.0017568i,-0.0010917-0.0020406i,-0.0013734-0.0019175i,-0.0016275-0.00091925i,-0.0014619+0.00021131i,-0.00072504+0.00074894i,6.7169e-05+0.00075697i,0.00039848+0.0005727i,0.00016656-7.5457e-05i,-0.00065247-0.00046746i,-0.00032569-0.00032727i,-0.0004634-5.3291e-05i,-0.0011355-0.00013001i,-0.00086353+8.9193e-05i,-0.00054517+0.00016664i,-0.00015667+0.00015818i
-0.0008698-0.00086709i,-0.00066689-0.0018447i,-0.0012824-0.0024402i,-0.00098701-0.0015411i,3.2088e-05-0.00062869i,0.0005343-0.00080921i,0.00023497-0.001106i,-0.00010693-0.0013212i,-0.00019474-0.0005717i,-0.00050491+0.00014273i,-0.00046112+0.00062153i,0.00017086+0.0014268i,0.00080974+0.0011271i,0.0009261+3.9203e-06i,0.00064462-0.0011227i,0.0003297-0.00062359i,0.00025727+1.069e-05i,-0.00013389+0.0002539i,-0.0004553+8.4111e-05i,0.00013036-0.00010034i,2.6598e-05+0.00032477i,-0.00048869-0.00022758i,0.00010553-0.00097344i
-0.0020746+0.0013716i,-0.0015705+0.0030669i,-0.00066969+0.0033505i,0.00031185+0.0022573i,0.00066232+0.0011757i,0.00055932+0.00014327i,0.00022139-0.0010355i,-0.00032014-0.00038419i,5.627e-05+0.00086376i,0.00047661+0.0007293i,-0.00029048+4.9e-05i,-0.00066164-0.00057725i,-0.00083831-0.0011348i,-0.0013465-0.0012196i,-0.0010694-0.0011211i,-0.00045704-0.00030993i,-0.0004557-0.00032798i,-0.00037006-0.00045945i,2.9799e-05+6.1647e-05i,0.00015923-1.1302e-05i,1.1331e-05+0.00020375i,0.00037417+0.00055263i,2.3708e-05+0.00088096i
-0.00070098-6.9975e-05i,-0.0014116-0.0014637i,0.00018945-0.00090906i,0.0010909+0.00010711i,0.00053035-0.00071512i,0.0001348-0.0008316i,-0.00022641-0.00029695i,2.6271e-05-0.00046112i,7.288e-05-0.00067597i,0.00037644-0.00055261i,0.0007781+0.00027881i,0.00015256+0.00031506i,-0.00029623+5.8094e-05i,-6.1026e-05+0.00060706i,0.00029596+0.00045362i,0.00020708+0.00049987i,0.00027393+0.00037595i,1.9647e-05-5.2174e-05i,-0.00012123+0.00056772i,0.00021496+0.00069411i,0.00025621+0.00031522i,-0.0004998-0.00013307i,-0.00087127-0.00065755i
0.0017865+0.0013603i,0.0015447+0.00031222i,0.00098897+0.00010129i,0.00018344+0.00010266i,-0.00099572-0.00096362i,-0.0011773-0.0015317i,0.0002355-0.0014071i,0.0010034-0.001081i,0.00084965-0.00053819i,0.00049602-0.00062189i,0.00021129-0.00061599i,-0.00033807+0.00073773i,1.8029e-06+0.001353i,0.00094546+0.0015346i,0.00042887+0.0016933i,-0.0003478+0.00061844i,-0.00035563-6.1916e-05i,-0.00032066-0.00040608i,0.00031543-0.00070248i,0.00039204-0.0004484i,-0.00014768+0.00022483i,-0.00030947+0.00082992i,-0.00022998+0.001084i
-0.0016723+0.00086142i,-0.0009422+0.0023981i,0.00045581+0.0032262i,0.0015721+0.0024193i,0.0027485+0.0007566i,0.002177-0.0014909i,1.6775e-05-0.0023885i,-0.00082564-0.0013198i,-0.00041764+0.00030794i,0.00031859+0.00064922i,0.00073624-0.00010188i,-0.00028652-0.00058811i,-0.00061432-0.00097735i,-0.00020667-0.0011315i,-0.00041359-0.0005872i,-0.00093497+0.00034824i,-0.0010366+0.00021185i,-0.00074509-0.00039229i,-0.00084919-0.00018397i,-0.0010138-3.6525e-05i,-0.0003317+0.00012943i,0.00057344+0.00050182i,0.00055076+0.00042413i
0.00054529+0.00061406i,0.0011298-0.00046292i,0.0023486-0.0011106i,0.0024649-0.00058701i,0.0017007-0.00044724i,0.0018886-0.00038279i,0.00098489-0.00052519i,0.00016709-0.00027553i,0.00065921+0.00017859i,0.00045665+0.00045687i,-0.00022946+0.00064396i,0.00041603+0.00040622i,0.00078129+0.00039291i,0.00050571+0.00034494i,0.00065012+0.00062115i,-0.00011317+0.00096635i,-0.00062243+8.0449e-05i,-9.9022e-05-6.4038e-05i,-0.00034622+0.00044275i,-0.00053486+0.00044452i,-0.00024259+0.00035707i,-0.00015025+0.00034543i,-0.00029877+3.2194e-05i
-2.0312e-05-0.0017347i,-0.0019186-0.0024029i,-0.0026192-0.0029243i,-0.0016529-0.0026335i,-0.0004067-0.0010307i,-0.00034818-0.00044667i,-0.00026631-0.00051277i,-0.00024121-0.00041956i,6.9406e-05-0.00050592i,0.00072168-0.00018077i,0.00051374-5.3189e-06i,0.00018163+0.00080193i,0.00041796+0.00087761i,0.00027726+0.00011159i,0.00018006+0.00033317i,-0.00032321+0.0003026i,-0.00047608-0.00037333i,-0.00050551+0.00016665i,-0.00068771+0.00057629i,-0.00065042+0.00040802i,-0.00032555+0.00036537i,-0.0005991-0.00016429i,-0.00021776-0.00056166i
-9.6376e-05-0.0010338i,-0.0012507+0.00034048i,-0.0022607+0.00053799i,-0.0011051+0.00048869i,-0.00069424+0.0013685i,1.7138e-05+0.0011781i,0.0006942+0.001071i,0.00058739+0.00023201i,0.00068648-0.00064077i,0.00051673-0.00034514i,0.00015069-0.00048927i,0.0004736+2.8759e-05i,0.0011596+0.00040592i,0.00096152+0.00016382i,0.00065184-0.00011765i,0.00036079-0.00027141i,-0.00061863-0.00025064i,-0.00089924-0.00050142i,-0.00031218-0.00072833i,0.0002851-0.00091561i,0.00104-0.00099784i,0.00086615-0.00040005i,9.1047e-05-5.1571e-05i
0.00028027+0.00031397i,0.0013357-0.00060795i,0.0016595-0.0009733i,0.0010637-0.0011464i,0.00078764-0.00095609i,0.00082928-0.0002859i,0.00095308-0.0001466i,0.00058999-0.00031495i,0.00054762-0.00034141i,0.0010417-0.0002022i,0.00081371+6.6584e-05i,-0.00083426+4.677e-05i,-0.0012302+0.00018785i,3.4504e-05+0.00035297i,0.00052096-0.00027469i,-0.00014867-0.0004686i,-0.00020455-2.0985e-05i,6.0959e-05+0.00028124i,-0.00022074+0.00040138i,-0.0009236+0.001135i,-0.00078078+0.0013596i,0.00026537+0.00024083i,0.00018712-0.00043303i
0.0019484+0.00022604i,0.0020214-7.8388e-06i,0.0021167-0.0002197i,0.0023035-0.00062507i,0.00124-0.000888i,-0.00021774-0.00042619i,-0.00050787-6.7467e-05i,8.652e-05+6.5674e-05i,0.00095975-0.00037977i,0.001171-0.00096429i,0.00042837-0.00085785i,0.00014656-0.00015264i,-0.00023089+0.0013472i,-0.00058245+0.0016863i,-0.0010743+0.00097151i,-0.0018691+0.0005886i,-0.0013489+0.00023116i,-0.00088508+0.00035948i,-0.00054713+0.00073943i,-4.1413e-05+0.00017591i,-8.6605e-05+0.00012007i,-0.00037726+0.00026421i,-0.00092625-0.00051455i
