-0.006136-0.00071659i,-0.0045385+0.00045757i,-0.00368+0.0034139i,-0.0029934+0.0048644i,-0.0016672+0.0040211i,-0.00015687+0.0024645i,0.00074524+0.0019843i,0.0014941+0.0019942i,0.0010399+0.0017077i,0.00020509+0.0011779i,0.0020083+0.0007465i,0.0029486-0.00027918i,0.0021679-0.00067821i,0.0011521-0.00074911i,-0.00034532-0.00072548i,-0.00079493-6.791e-05i,0.00044766-0.00013643i,0.00097973-0.00038047i,-0.0001651+0.00017195i,-0.0011181+0.00065312i,-0.00071545+8.3322e-05i,0.00013146-0.00020563i,0.00017066+0.00048056i
0.00044777-0.0022813i,-0.00061054-0.0030293i,-0.00091077-0.0028392i,-0.00011248-0.0019517i,-1.5033e-05-0.0010361i,-0.00021047-0.00050798i,-0.00051555-0.0008531i,-0.00011404-0.0010644i,-5.1135e-05-0.0011342i,-0.00015189-0.00024118i,0.00029667+0.00015218i,0.00085407-0.00023027i,0.00071517-0.00051067i,0.00021583-0.00049783i,7.0697e-05-2.2061e-05i,-0.00022286+0.000489i,-0.0005065+0.00057095i,-0.00066257+0.0001486i,-0.00081587-0.00043606i,-0.00038133-4.8275e-05i,-0.00035192+0.00015786i,-4.9268e-05-0.00026091i,0.00050378+4.3087e-05i
-0.00097312+0.00031493i,-0.0015135+0.0018167i,-0.0010357+0.0023786i,5.8892e-05+0.0019785i,0.00042079+0.00081042i,0.0007989-3.8892e-05i,0.00072569+0.00039974i,0.0012225+0.00072202i,0.0012497+0.00074593i,0.00059164+0.00086608i,0.00019419+0.00070827i,8.3372e-05+0.00080892i,0.00010478+0.001112i,-0.00011425+0.00093815i,0.00025984+0.0006074i,0.00049535+0.00044233i,-0.00035514-5.9089e-05i,-0.00064427-0.00050506i,-0.00071532-0.00027911i,-0.0013658-0.00012581i,-0.0014263-6.9566e-05i,-0.00048524+0.00027349i,0.0003892+0.00028903i
7.7409e-06+0.00099029i,-0.00052691+0.00021592i,-8.2464e-05-0.00011327i,7.0992e-05+0.00031661i,0.00035301+0.00014255i,0.00089814-0.00013062i,0.00073983+0.00028082i,0.0012828+0.00070161i,0.0018957+0.00010223i,0.0010301-0.00028357i,-0.00021884+0.00034152i,-0.00057493+0.00085574i,0.00013746+0.00067492i,0.00048114+0.00021189i,-0.00038174-0.00014261i,-0.00034896+0.00035695i,0.0002677+0.00052526i,0.00031068-0.00019308i,0.00059902-0.00070767i,0.00046356-0.00049489i,0.00051443+0.00044083i,0.00069954+0.00035822i,0.0001486-8.5778e-05i
0.00134-0.0011386i,4.5205e-05-0.0013597i,-0.00031828-0.00080426i,0.00016058-0.00028405i,8.5737e-05+0.00026466i,0.00016845+0.00039103i,0.00050404-0.00031489i,0.0011465-0.00045448i,0.0011374+0.00048354i,0.00032767+0.00083241i,0.00024886+0.0013098i,-5.123e-05+0.0015626i,0.00052305+0.00087961i,0.00089817+0.0012426i,3.6389e-05+0.0015894i,-0.00036667+0.00099278i,-0.00011061+0.00043163i,0.00064637-1.7486e-05i,0.00088855-8.2284e-05i,0.00091708+0.00013124i,0.00099779+0.00051732i,-5.829e-05+0.00052841i,-0.00034718-6.6701e-05i
0.0013309-0.00013956i,0.0025208-0.00029541i,0.0028271-0.00094806i,0.0014622-0.00049416i,0.0012488-0.00022376i,0.001381-0.00086382i,0.00044089-0.001722i,0.00047794-0.001631i,0.00024927-0.00097693i,0.00029374-0.00048861i,0.0013022+0.00022939i,0.0016515+0.00095947i,0.00068852+0.00016074i,0.00041248-0.00040887i,-0.00020549+0.00036995i,-0.00080272+0.00046163i,-0.00086346+0.00061412i,-0.00020202+0.0010135i,0.0012352+0.00059005i,0.00069598+0.00015208i,-0.00063962+3.5745e-05i,-0.00086806+0.00013579i,-0.00045192+0.00031005i
0.00034214+0.0027304i,0.0012652+0.0023445i,0.0023545+0.0010629i,0.002939-0.00029234i,0.0031719-0.0011897i,0.0024266-0.0013861i,0.001902-0.0011187i,0.0023887-0.00074789i,0.0026502-0.00043276i,0.0017914-0.00049826i,0.0007984+4.969e-06i,0.0010171+0.00033498i,0.0012386-1.6755e-06i,0.00065836+0.00055552i,-0.00061801+0.00071743i,-0.0014671+0.00011411i,-0.0011895-0.00055711i,-0.00093278-0.00082519i,-0.00032315-0.00014939i,0.00022322-0.00063611i,0.00018986-0.00090283i,2.8057e-06-1.506e-05i,0.00060656+0.00069915i
-0.0017142-0.00031099i,-0.0024665-0.00019597i,-0.002482+0.00049455i,-0.0013644+0.0018869i,-0.00014635+0.0020327i,0.0014727+0.0012002i,0.001467+0.0008419i,0.00082597+0.0015434i,0.00088221+0.0019841i,0.0013005+0.0012706i,0.0012935+0.0012867i,0.00055466+0.0016881i,0.00013347+0.00074227i,-0.00053909-0.00064362i,-0.00058488-0.00067825i,0.00036683+0.00041498i,0.0007753+0.00038176i,0.00071092-7.5447e-05i,0.00081621+0.0005437i,0.00024907+0.00079034i,-0.00011342+0.00048144i,8.6131e-05+0.0001048i,-0.00022319+0.00049293i
0.00045782-0.0014903i,0.00041159-0.0017341i,-0.00080199-0.0024238i,-0.0013497-0.0019206i,-0.00069956-0.00022101i,-0.00030024+0.00047376i,0.00020699+0.00031267i,0.00038688-4.5867e-05i,-0.0002414-0.0010366i,-0.00050259-0.0011671i,-0.00030917+6.1304e-06i,-0.00015955+0.0008289i,-0.00035028+0.00059452i,6.202e-05+0.00019878i,0.00053613+0.00058066i,0.00020286+0.00076526i,0.00028254+0.00056261i,0.00064507+0.00025072i,0.00076076+0.00037076i,0.00022266+0.00059165i,-0.00079827+0.00016947i,-0.0010174-6.6713e-05i,-0.00082457-0.00029984i
0.00020388+0.00058142i,0.00035291-0.00022145i,0.0026814-0.00012382i,0.0020766+0.00062624i,0.0013904-0.00051183i,0.001876-0.0014272i,0.0016868-0.0010012i,0.0015205-0.0010361i,0.0016552-0.0014288i,0.0016378-0.0010576i,0.001961+0.00015697i,0.0021635+0.00022156i,0.0010585+5.6363e-05i,0.00029744-3.7269e-05i,0.00068679-0.00083758i,0.00036588-0.0006659i,0.00018408+0.00013022i,0.00067073+0.00056584i,0.00099042-0.00014775i,2.0787e-05-0.00064268i,-0.00041721+0.00023157i,0.00028916+0.00053472i,0.00017721+0.00023505i
-0.00014808-0.0028312i,-2.6098e-05-0.0030255i,-0.0014279-0.0015768i,-0.0026076-0.00036912i,-0.0022902+0.00012439i,-0.00046762+0.00051347i,0.00074397+0.00082929i,0.0020393+1.6684e-05i,0.0028078-9.1376e-05i,0.002162+0.0012263i,0.0023149+0.002416i,0.0028502+0.0018847i,0.0026821+0.00069894i,0.0014186+0.00037897i,0.00038301-2.5342e-05i,2.9519e-05-0.00044489i,-0.00021237-0.00041763i,9.8644e-05-0.00027208i,-0.00013526-0.00010505i,-0.00062295-0.00010659i,-0.00025757-0.00025896i,-0.00026109-0.00046225i,-0.0002647+0.00027992i
-0.001094-7.3191e-05i,-0.002084-0.00052324i,-0.0006386-4.6909e-07i,6.4496e-05+0.001009i,0.00079993+0.0013259i,0.00082881+0.0015502i,9.6085e-05+0.0010098i,0.00063867-0.00017341i,0.00065295-0.00049698i,0.00040448-3.3267e-05i,0.00018972+0.00083786i,0.00022607+0.0018266i,0.001037+0.0016708i,0.0012249+0.00086545i,0.00076294-0.00033187i,0.00050336-0.00056431i,5.7268e-05-0.00042132i,-0.00033351-0.00011628i,0.0010106-0.00024486i,0.0018038-0.0002208i,0.00066981-0.00010962i,-0.00036098+0.00010108i,-0.00034+0.0005535i
0.0011598+0.0012843i,0.0003097+0.00018294i,0.0014966+0.00014403i,0.0023686+0.00057306i,0.0022192-0.00055402i,0.0013556-0.00097875i,0.00085659-0.00056836i,0.0010953-0.00045762i,0.00075315-0.0011067i,-1.929e-05-0.0015634i,-0.00095635-0.00020353i,-0.001478+0.00070586i,-0.001025+0.00061869i,-0.00074782+0.00039476i,-0.00050719+0.00065893i,-0.00053452+0.0011099i,-0.00069464+0.0012131i,-0.00022498+0.00048506i,0.0011033+6.4434e-05i,0.001162+0.00065592i,0.00080692+0.0010434i,0.00083482+0.00094908i,0.00056547+0.00046191i
-0.0022615-0.0014244i,-0.0023289-0.0014984i,-0.0031895-0.00082019i,-0.0022279+0.00037703i,-0.00051634+0.0012913i,0.00044934+0.00098328i,0.0012291+0.00020814i,0.0013886+9.2732e-06i,0.00083335-9.3294e-06i,1.9521e-05+0.0001331i,0.00036525+0.00022242i,0.00072913+0.00035988i,0.00029219+0.00032183i,-3.9913e-06-0.00032307i,-4.3058e-05-0.00040202i,0.00068047-0.00046722i,0.00083935-0.00072571i,0.00025091-0.00069374i,7.9755e-05-0.00080406i,0.00022462-0.00094289i,0.00060288-0.0006461i,0.00011136-1.8205e-05i,-0.001023+0.00050019i
8.6383e-05-0.0004681i,0.00039688+1.8695e-05i,-9.776e-05-0.00047283i,-8.3791e-06+0.00017834i,0.0012361+0.00083685i,0.0025495+0.00056057i,0.0023784+0.00059953i,0.0018226+0.00042941i,0.0017109+0.00066167i,0.0012979+0.00090714i,0.00090864+0.0010816i,0.0016019+0.001091i,0.0012979+0.00096283i,7.4793e-05+0.00042276i,-4.3419e-05+0.00037409i,0.00013622-0.00045039i,7.6238e-05-0.0010977i,0.00057577-0.00080514i,0.00032918-0.00051666i,-3.5077e-05-0.00028264i,0.00022926-0.00019083i,0.00019056+0.00037964i,-0.00031761+0.00098358i
0.00051632+0.0022987i,0.00032952+0.0015585i,0.0007863+0.00091429i,0.00096616+0.00029198i,0.00045557-0.00028274i,9.2782e-05-0.00085034i,-7.5042e-05-0.001052i,0.00054051-0.00098593i,0.00094111-0.00028332i,-0.00028527+0.00087961i,-0.00051443+0.0011986i,0.00059092+0.0010028i,0.00056976+0.0012631i,5.856e-05+0.0010513i,-0.00044854+0.00024965i,-0.00069814+2.3024e-05i,-0.000533+0.00019366i,-0.00034788-0.00044717i,-0.00022405-0.00035003i,-0.00052275+0.00038917i,9.2329e-05+0.00019165i,0.00010222+0.00014631i,-0.00051946+0.00017484i
-0.0007138-0.0011477i,0.00086883-0.00048824i,0.00091486-0.00080403i,0.00077445-0.00085909i,0.00064803+0.00011501i,0.00042579+0.00052216i,0.0010168-0.00078413i,0.00085162-0.001172i,0.00046651+6.9738e-05i,6.4264e-05+0.00096987i,-0.00038434+0.00087516i,-0.00070073+0.00077696i,1.4796e-06+0.00078925i,0.00091327+0.00037839i,0.00017823+0.00016346i,-0.00011292+7.1072e-05i,0.00026052-0.00029456i,6.9372e-05-4.1236e-05i,-0.00020144+0.00037851i,-0.00043478+0.00027462i,0.00012789-0.0002521i,0.00057904-0.00060814i,-3.2435e-06-0.00030627i
0.00048305+0.0017688i,0.00036188+0.0017162i,0.00073183+0.0020335i,0.0012911+0.0016764i,0.00093423+0.00081286i,0.00015888-0.0001726i,0.00042819-0.00073149i,0.0012061+0.00030961i,0.0019067+0.00039909i,0.0022087-0.00060358i,0.0014851-0.00089944i,0.0010674-0.0010591i,0.00092041-0.00092932i,-0.00029388-0.00099129i,-0.00055214-0.00087497i,-0.00027714-9.4116e-05i,-0.00018383+0.0003922i,-9.0604e-05+0.00053505i,5.0856e-05+0.00024746i,-0.00019691-0.00030804i,-0.00042509+0.00010722i,-0.0003086+0.00066867i,-0.00084313+0.00016247i
0.0002908+0.00023172i,0.00072046+0.00018246i,-0.00051375-0.00048898i,-0.00054285-0.00019542i,0.0013451+0.00048411i,0.0022515-0.00014138i,0.0021062-1.9955e-05i,0.0013216+0.001047i,0.00051441+0.0014544i,0.00037517+0.00038416i,0.0011211+2.9427e-05i,0.0019421+0.0003029i,0.0016524+6.2478e-05i,0.000411-0.00062454i,5.2588e-06-0.00017774i,0.00012082+0.0010062i,-7.1284e-05+0.00080073i,-9.8917e-05-9.7722e-05i,-0.00038302-0.00030806i,6.5375e-05-0.00049217i,0.00045161-0.00023266i,-0.00030729+0.00042242i,-0.00055341+0.00052788i
-0.001528-0.00015248i,-0.00086423+0.00082577i,0.00015316+0.0015843i,0.00047464+0.0016589i,0.00045917+0.0014626i,0.00058387+0.0013132i,0.00034524+0.0013058i,-0.00039974+0.00071197i,-0.00044297+0.00080475i,0.0003006+0.00097091i,0.00030084+0.0010222i,0.00030781+0.00065388i,0.00091836-5.6665e-05i,0.00048376-0.0005114i,-0.00020517-0.00032775i,-0.00036005-0.00021808i,0.00010499-0.00032155i,0.00099673+0.00024949i,0.00065497+0.00023586i,-6.6221e-05-0.00023416i,-0.00036993-9.2645e-07i,-0.0011115+0.00033259i,-0.0019872+0.00029209i
0.0011083-0.0016581i,0.00095104-0.0018551i,8.6462e-05-0.0017217i,2.5793e-05-0.0007992i,0.00067677-0.00017122i,0.0014171-0.0006241i,0.0015234-0.00062901i,0.0017501-0.00050701i,0.0020129-0.0013758i,0.00067828-0.001898i,-0.00053551+2.5093e-06i,2.0973e-06+0.0012261i,0.0011392+0.00072454i,3.5854e-05+0.00066323i,-0.0011448+0.00058133i,-0.00025476+0.00066549i,-0.00027535+0.0011101i,3.023e-05+0.00081017i,0.00088461-0.00011761i,0.00038691-0.00093424i,-7.255e-05-0.00044921i,0.00013246+0.00028511i,0.00048463-0.00013878i
-0.00016397+0.0001781i,0.00031005+5.9172e-05i,0.00029499-0.0004166i,-0.00031535-0.00027444i,-0.00078547+0.00063134i,-0.00085627+7.2265e-05i,0.00040443-0.00082494i,0.0017369-0.00058888i,0.001899-0.0009334i,0.0015758-0.0010236i,0.0010566-0.00072034i,0.00039462-0.00041918i,0.00021978+6.0442e-06i,0.00046993+0.00063892i,0.00081872+0.00068861i,0.0011488+0.00022617i,0.00072965+0.00043693i,-0.00032632-0.0002991i,-0.00029848-0.00029473i,2.7006e-05+0.00115i,-0.00099754+0.0010585i,-0.0011735+0.00041602i,-0.00010238+0.0006i
-0.0013617-0.00010408i,-0.0018958+0.00044365i,-0.0032298+0.001234i,-0.0024182+0.001764i,-0.00094995+0.0020216i,-5.3275e-05+0.0012828i,0.0007011+0.0011756i,0.00013238+0.0017647i,-0.00058185+0.0015549i,0.00050267+0.0010745i,0.0012761+0.0010562i,0.0011683+0.00081767i,0.0010684+0.00026164i,0.00057495-0.00064632i,-0.00047171-0.00092791i,-0.00092413-0.00043478i,-0.00020061-0.00017628i,0.00031325-8.8654e-05i,-0.00043912+5.7288e-05i,-0.0007176+8.4091e-05i,-0.00012892-0.00039883i,0.0001292-0.000399i,0.00017238-3.0685e-05i
-8.573e-05-0.0010064i,-0.0006297-0.0017684i,-2.7134e-05-0.0010863i,0.00074197-0.00079678i,0.00058473-0.00093696i,0.00034909-0.00097835i,0.00022653-0.0010573i,-0.00039415-0.00052277i,-0.00038155+0.00038382i,0.00023947+0.00095412i,7.8449e-05+0.0011705i,-0.00017275+0.0016508i,-0.00012061+0.001318i,2.8926e-05+0.00077726i,-0.00025027+0.0011007i,-0.00044963+0.0011718i,-5.4148e-05+0.00021192i,-1.8849e-05-0.00021108i,0.00014852+0.00042672i,0.00053361+0.00062461i,8.4251e-05-7.1902e-05i,-0.00055768-0.00089711i,-0.00063106-0.00070639i
0.0026438+0.0011171i,0.0023965+0.00050724i,0.0023865+0.00086836i,0.0019582-0.00010674i,0.00079288-0.00089229i,8.0182e-05-0.00127i,0.00075399-0.0014511i,0.001854-0.0010303i,0.0015576-0.0006112i,0.00026517-0.00055383i,-0.00067821-0.00027505i,-0.00070801+0.0004193i,3.6797e-05+0.0015942i,0.00015581+0.0016534i,0.00028119+0.00075539i,0.00054947+0.00075382i,0.00097296+0.00060847i,0.0010808+0.00023521i,0.0013086+0.00028246i,0.0015285-7.4755e-05i,0.00090727-0.0008137i,5.5719e-06-0.00047146i,0.00013208+9.4218e-05i
0.00090893+0.00071929i,0.00016278+0.00074456i,0.00042548+0.00039011i,0.00099297+4.0301e-05i,0.0020119+0.00011768i,0.0024547+0.00075268i,0.0020236+0.00055099i,0.0019793+0.00054472i,0.0017248+0.00081285i,0.00070018-2.8515e-05i,0.00023374-0.00060949i,0.00042719+8.0594e-05i,0.0005272+0.0011999i,8.1777e-05+0.0010442i,-0.00029712-4.9253e-05i,-4.3019e-05-0.00064253i,0.00017729-0.00092542i,0.00027507-0.0007146i,0.0002613-0.00038942i,-0.00068729-0.00019602i,-0.00024371-9.7947e-05i,0.00072792+0.00052337i,0.00065478+0.00039818i
0.0026385-0.0003673i,0.0026052-0.001523i,0.0016612-0.0020049i,0.00013745-0.0022527i,-0.0009445-0.0016856i,-0.00041163-0.00011603i,0.00035833+0.0010297i,0.001022+0.0013304i,0.00076758+0.0016777i,0.00019442+0.0014763i,0.00074107+0.0009423i,0.00048356+0.0010951i,0.00030764+0.00093165i,0.00030309+0.00077396i,-0.00014143+0.00023116i,-0.00021054-0.00082888i,-0.00020978-0.00051147i,2.5435e-05+0.00012224i,0.00028277+8.8255e-05i,-0.00025415-0.0001721i,-0.00019772-0.00017647i,-0.00039705-1.329e-05i,-0.0006676+6.7518e-05i
-0.0019576-0.0014962i,-0.0024766-0.00076947i,-0.0029564+0.0023525i,-0.0017947+0.0030833i,-0.00071317+0.0023623i,0.00037617+0.0015852i,0.000698-0.00029725i,-0.00045522-0.0012704i,-0.0013802-0.00051475i,-0.00056717+0.0005154i,0.0009136+0.0013754i,0.0010994+0.0013978i,0.00025904+0.0012959i,-0.00025387+0.00026828i,-0.00081627-0.00040826i,-0.00096186+0.00010731i,0.00018023+0.00016991i,0.00034609-0.00016139i,0.00011472+0.0001183i,0.00045659+0.00084607i,0.00049278+0.0012947i,0.00019596+0.0011593i,5.9483e-05+0.00091735i
0.00038285+0.00029196i,-0.00074498-0.00011046i,-0.0017675+0.00019268i,-0.00097641+0.00059861i,0.00034179+0.00050086i,0.0018921+0.00067031i,0.0026492-0.0008335i,0.0028355-0.001937i,0.0019107-0.0020572i,0.00017893-0.0010922i,-0.0013665+0.0010529i,-0.0018472+0.001993i,-0.0010307+0.0015939i,-0.00013116+0.00034699i,0.00018896-0.0010839i,0.00015284-0.00072713i,0.0006202+0.0003521i,0.00099435+0.0003044i,0.00048015-2.5068e-05i,0.00017389+0.00025922i,0.00085346+0.00027162i,0.0010122-0.00045805i,0.00045454-0.00089925i
0.00034981+0.0025557i,0.00057908+0.0033912i,0.0020981+0.0024017i,0.0022232+0.0012035i,0.0016898+0.00085322i,0.0012196+0.00049612i,0.0010036+0.0010242i,0.001306+0.0017209i,0.0012548+0.0012466i,0.0011776-0.00016909i,0.0012245-0.00058058i,0.00088457+0.00012074i,0.00061404+0.00031883i,0.00031768+0.00029298i,-0.00018851+0.00050989i,-0.00048074+0.00068744i,-0.00042181+0.00027422i,0.00012014-0.00020738i,0.0005852+6.793e-05i,7.688e-05+0.00037889i,0.00011625-0.00026216i,0.0010053-0.00055224i,0.00086348-0.00033398i
0.00045279+0.00046065i,4.6573e-05+0.00054549i,-0.00045416+0.00027938i,-6.6046e-05-0.00016709i,0.00046204+6.1022e-05i,-7.4204e-05+0.00029922i,-0.00039808+0.00056449i,-0.00063003+0.00023259i,-3.041e-05+9.8199e-05i,0.0006486+0.00024007i,0.000727+0.00014353i,0.00056311+0.00073104i,0.00015395+0.00072508i,-0.00028267+0.00048744i,-0.0011416+0.00034458i,-0.0010754+0.00022506i,-0.00025279-0.00036349i,-6.898e-05-0.00062255i,-0.00017293-0.00025812i,-0.00057908-0.00026985i,-9.3387e-05-0.00025184i,0.00038439-9.8933e-05i,-0.00019272-0.00068497i
0.0036895+0.00078939i,0.0032907+0.00070207i,0.0029346-0.0001847i,0.0017477-0.0015281i,0.00099713-0.0020172i,0.00077418-0.0020129i,0.00022266-0.0019806i,-4.3942e-05-0.0012178i,0.00032896-0.00026439i,0.00027767-4.3382e-05i,-0.00062841+0.00012145i,-0.00085281+0.0001497i,-0.00051631+0.00019578i,0.00012115+0.00051936i,0.00069123+0.00042552i,0.0005933+0.00034977i,0.00060164+0.00049837i,0.00070725+0.00053888i,0.00054738+7.2798e-05i,0.00081894-0.00038036i,0.00045922+0.00031019i,-4.5392e-05+0.0008916i,-0.00043433+0.0009152i
-0.0013234+0.0024264i,-0.0004573+0.0035367i,0.0010766+0.005113i,0.0021939+0.003476i,0.0025494+0.0014521i,0.002562+0.00057344i,0.0025262-0.0001717i,0.0026934-0.00021628i,0.0018135-5.7156e-05i,0.00067605+0.00048847i,-0.00020253+0.0011652i,-0.00027415+0.00098891i,0.00021556+0.00045037i,0.00028118+0.00013596i,-0.00042878+0.000356i,-0.00072362+0.0011284i,-0.00072182+0.0010967i,-0.00057301-0.00031966i,-0.00016774-0.0012382i,0.00045013-0.00090079i,0.0010737-0.00035262i,0.00078977-0.00046988i,0.00061017-0.00057575i
-0.0016159+0.0003431i,-0.0020796+8.9377e-06i,-0.0016245+0.00082395i,-0.00080928+0.00112i,0.00082057+0.00042479i,0.0018025+0.00019028i,0.0015272+0.00015182i,0.0012042+0.00050331i,0.0012068+0.00093082i,0.00087448+0.00068589i,0.00045586-3.2827e-05i,0.00052213+0.00043812i,0.0003741+0.0013133i,0.0001717+0.0010284i,-2.2553e-05-0.00033129i,-9.4369e-05-0.00059106i,-0.00034126-0.00020262i,-0.00036925+6.737e-05i,-0.0006718+0.00050864i,-0.00069463+0.00075807i,1.5324e-05+0.0002891i,0.00040678+4.7002e-05i,0.0010651-0.00021409i
-0.0018066-0.00087083i,-0.0017234-0.00084538i,-0.00093188-0.0002398i,-0.00099689+0.00065156i,-0.00051048+0.0011025i,-0.00022432+0.0013523i,-0.00082295+0.0007391i,-0.0015378+0.00028432i,-0.00072419+0.00067826i,0.00067774+0.0011173i,0.0014954+0.0011372i,0.00176+0.0010392i,0.00083437+0.0007005i,-0.00018336-0.00018695i,-0.0012062-0.00098236i,-0.0014727-0.00055323i,-0.00090785-0.00030177i,-0.00046641-0.0004856i,-0.00013275-0.0012692i,-0.00025718-0.00081492i,-0.00046631+0.00074243i,0.00011238+0.0010967i,0.00033284+0.0008349i
-0.00046314-0.0011517i,-0.0011029-0.0012745i,-0.0015595-0.0020595i,-0.0011401-0.0013293i,-0.0007064+0.00022746i,-0.00025309-7.0846e-05i,0.0009901-0.0015844i,0.0014072-0.0024254i,0.00036822-0.0016458i,5.1143e-05+0.00063195i,0.00033801+0.0023215i,0.0011626+0.0018009i,0.0014461-0.00025168i,0.00043951-0.00087101i,-0.00055833-0.00029042i,-0.00029632-0.00056534i,0.00047485-0.0003395i,0.00081027+0.00066922i,0.0010178+0.0012068i,1.1688e-05+0.00059238i,-0.001008-0.00013182i,-0.00078224-0.00056991i,-0.00046286+0.00022868i
-0.00082305+0.0012518i,-0.00098137-0.00034107i,0.00074611-0.0004622i,0.001373+1.557e-06i,0.0018879-0.00022619i,0.002333-0.00083128i,0.0023668-0.00034726i,0.0024697+0.0009221i,0.002465+0.0008922i,0.0010444+0.00057876i,-0.00077355+0.0011778i,-0.00035027+0.0010915i,0.00028426+0.00068303i,0.000199+0.0010613i,-0.00035766+0.0012638i,-0.00051621+0.00051124i,0.00014222+0.00028686i,0.00062736+0.0012672i,3.6746e-05+0.0010458i,-0.00056818+0.00021429i,-0.00058005+0.00014392i,0.00013825-0.00017495i,0.00082152-0.00075444i
-8.1915e-05+0.0020631i,-0.00045718+0.0015915i,-0.00024902+0.0016853i,-0.00028297+0.0017369i,0.00026818+0.001896i,0.00039851+0.0016174i,0.00095262+0.0020364i,0.00089249+0.0024051i,7.9044e-05+0.0013385i,-0.00028237+0.00033064i,-0.00076683+0.00047959i,-0.00066848+0.00086531i,-0.00030042+0.00067716i,-0.00026831+0.00049426i,-0.00035881+0.00049511i,-0.00058894-0.00010539i,-0.00046658+9.6528e-05i,-0.00057266+0.00031072i,-0.0005559-0.00010804i,-0.00017487-0.00058931i,-0.00054796-0.00054622i,-0.00011801+0.00020019i,0.00058585+0.00087888i
0.00038318-0.00040258i,0.0012465-0.00092816i,0.00178-0.00086413i,0.0019901-0.00031335i,0.0013507+0.00018825i,0.0010242-5.1427e-05i,0.00019432-0.000825i,-0.00074674-0.00091724i,-0.00088043-0.00034189i,-0.00017667-0.00068823i,0.00083348-0.00069562i,0.00061852+0.00020362i,0.00069536+0.0010622i,0.0014962+0.0013786i,0.00099839+0.0011641i,9.4399e-06+0.0002724i,-0.00026928+9.67e-07i,-0.00070595-0.00034283i,5.0105e-05-0.0010495i,0.00064455-0.00037353i,-0.00014277+0.00021749i,-0.0005018+0.00025494i,-0.00054779+6.752e-05i
0.0022485-0.00047884i,0.0019767-0.00047012i,0.0016377-0.00021582i,0.00094553+0.0006281i,0.0015609+0.00015546i,0.0018936-0.0011947i,0.0014174-0.0018075i,0.0019775-0.0018212i,0.0020007-0.00072282i,0.00029001+0.00027748i,-0.00082162+0.0016379i,-0.00022214+0.0021444i,0.00013282+0.0013359i,0.00032488+0.0011178i,0.00047834+0.001084i,0.00049258+0.00089158i,0.00033487+0.00019592i,3.8855e-05-0.00014478i,0.00023656+7.392e-05i,0.00033753+3.5106e-05i,0.00049267-5.7673e-05i,0.00071523+0.00067358i,0.00048523+0.00039136i
-0.00098436+0.0013625i,-0.00081474+0.0015007i,-0.00085968+0.002206i,-8.7605e-05+0.0015336i,0.0014006+0.00068337i,0.0023836-0.00029105i,0.0027659-0.00054197i,0.0029961-0.00019961i,0.0024099-0.00030194i,0.0011587+0.00031924i,-0.00021126+0.0011732i,-0.00036551+0.00057278i,0.00021344-0.00031375i,-0.00096209-0.00041748i,-0.0018905-0.0005067i,-0.00037919-0.00061339i,0.00050383-0.00055393i,0.00050502-0.0001138i,0.00023688+7.001e-05i,-0.00038448+0.00037136i,-0.00032949+0.0010967i,-0.00029345+0.0017501i,-0.00020677+0.0012099i
0.00022052+0.00012513i,-0.00087733-0.00028838i,-0.0017306-0.00062824i,-0.0011397+0.00019846i,-0.00021789+0.00096578i,-2.2848e-05+0.00076937i,6.8134e-05+0.00067222i,-0.00013563+0.0016337i,-0.00020397+0.001873i,-8.0941e-05+0.0012932i,0.00021957+0.0010001i,0.001039+0.00088764i,0.0016727+0.00083518i,0.00023294+0.0002563i,-0.0013269+0.0004159i,-0.0016264+0.00071378i,-0.00094328-0.00018781i,8.1234e-05-0.00022812i,0.00010189+0.00044343i,-0.0001117+4.4813e-06i,0.0007191-0.00019236i,0.00092831+0.00030849i,0.00029188+0.0011293i
0.0014995+0.0023042i,0.00077795+0.0017706i,0.0023072+0.002147i,0.002942+0.0017661i,0.0024116+0.00073051i,0.0016924+0.00061265i,0.000896+8.8951e-05i,-0.00017925-0.00042687i,-0.00029628-0.00030569i,0.00033787-1.1711e-05i,0.00086182+0.00014456i,0.00047175+0.00019705i,-0.00069238+5.1022e-05i,-0.0012174-0.00023662i,-0.00042985-0.00080248i,0.00070052-0.000878i,0.00015971-0.00039899i,-0.00039474-0.00090221i,0.00081514-0.0011952i,0.00076259-0.00061374i,-0.00015001+5.5525e-05i,8.1108e-05+0.00037837i,0.00013174+0.00049958i
-0.0027169-0.0011219i,-0.0019729-0.00061566i,-0.002928-0.00084248i,-0.0020181-0.00052051i,0.00033318+0.00038938i,0.0011162-7.892e-05i,0.0013662-0.0004636i,0.0019867-0.00065108i,0.0015667-0.0011351i,0.00042287-0.00024332i,0.00017086+0.0014747i,0.00058081+0.0018136i,0.0010683+0.0010036i,0.00087194-0.00015432i,0.00080048-0.00091134i,0.0011735-0.0004986i,0.00026251+0.00053422i,0.00042711+0.00072845i,0.0010401+0.0008571i,0.00061801+0.00067339i,8.3563e-05+0.00012604i,-0.00034279-5.3746e-05i,-0.00024394-7.2003e-05i
