0.0015696-0.00080173i,0.00097343-0.0012242i,-0.00012916-0.002321i,-0.0020679-0.0021937i,-0.0032766-0.00077987i,-0.0035263+0.00076641i,-0.0023345+0.0026768i,-0.00073705+0.0022915i,0.00070068+0.00056001i,0.0018116-0.00045847i,0.0013579-0.0014295i,2.1929e-05-0.0012045i,-0.00098467+9.6701e-05i,-0.0013678-0.00024256i,-0.0013902-0.001171i,-0.0012222-0.0013536i,-0.00041261-0.001424i,0.0004653-0.00091117i,0.00024857+0.00017801i,-0.00063203+0.00044472i,-0.00063445-4.1235e-05i,7.404e-05+1.0984e-05i,0.00044476+0.0005393i
-0.00059511+6.7664e-05i,-0.002205-0.00014773i,-0.0012554+0.00064721i,0.00013974+0.00040177i,3.761e-05-0.00074626i,-0.00072047-0.0013163i,-0.0011995-0.0010493i,-0.00058297-3.9454e-05i,0.00049085+0.0010161i,0.00045439+0.0016696i,0.00011101+0.0013968i,0.00024133+0.00037612i,9.7306e-05-0.00053713i,-0.00043775-0.0005388i,-0.00035646+0.00019488i,-7.6035e-05+0.00071979i,4.3443e-05+0.00096828i,0.00085451+0.00060627i,0.000559+5.8933e-05i,-0.00029609-3.7827e-05i,-0.00094161+0.00013365i,-0.00127+7.8748e-05i,-0.00058945+0.00079088i
0.00018388-0.00035604i,-1.9198e-05-0.0013963i,-0.00074973-0.0010157i,-0.0012931-0.0019541i,-0.0011258-0.0029956i,-0.00068642-0.0024029i,-0.00073923-0.0016801i,-0.00059825-0.00044514i,-0.00043967+0.00045312i,-0.00048968+0.00040831i,6.1765e-05-0.00031304i,0.0011479-0.0011066i,0.0013464-0.00098387i,0.00073572-0.00025098i,-0.00020993-0.00012893i,-0.0013376-0.00036101i,-0.0016424-0.00086733i,-0.00098092-0.00097962i,-0.00032392-0.00034568i,-0.00016154+0.00040139i,-0.00033133+0.0009348i,-0.0001652+0.00010501i,-0.00038729-0.00049584i
-0.00052125+0.0013892i,-0.0012241+0.00072681i,-0.0010014+0.00081019i,-0.00075521+0.00058122i,-0.00034296+0.00017621i,-0.00096135-0.00039195i,-0.0012517-0.00031369i,-0.00090298+0.00024609i,-0.00069067-0.00019837i,-0.00010073-7.372e-05i,0.00049077+0.00016452i,0.00097485-0.00060491i,0.0012436-0.0005535i,0.0012217-0.00028144i,0.00073773-0.00087613i,0.00099121-0.0010246i,0.00071578-0.001032i,-0.00042884-0.0012168i,-0.0010738-0.00088416i,-0.0011116-0.00036731i,-0.00024236-0.00043732i,-4.8292e-05-0.00017407i,-0.00018237+0.0003888i
0.00048625-4.2589e-05i,-0.00030263-0.0010977i,-0.00012485-0.0012284i,-0.00068719-0.00059604i,-0.00086621-0.00086692i,-0.00078813-0.0010146i,-0.00067272-0.00062383i,-0.00010659-0.00010931i,0.0003966+0.00013821i,0.00025662-8.4326e-05i,0.00026438-4.3809e-05i,0.00035695-0.00051425i,0.00062142-0.0014285i,0.00088024-0.001367i,0.00041626-0.0012885i,0.00042774-0.00079442i,0.0011122+9.5426e-05i,0.0016017+0.00033936i,0.00086961-3.9067e-05i,0.0001304+0.00013849i,0.0003307+0.00044692i,0.00031978+0.00038335i,-0.0001529+0.00017303i
-0.00087928-0.0012842i,-0.0007271-0.00079692i,-0.001106-0.0006024i,-0.0012981+4.965e-05i,-0.0012673+2.7146e-05i,-0.0014817-0.00066119i,-0.0008313-0.00041808i,0.00059091-0.00021852i,0.00067341-2.9872e-05i,-0.00018182+0.00060356i,-0.00016072+0.0011881i,0.0007539+0.0008828i,0.0011306+2.5484e-05i,0.00039068-1.4861e-05i,-9.5854e-05+0.0002309i,-2.3583e-06+0.00078629i,-0.00026626+0.0010753i,0.0003659+0.0011365i,0.0011879+0.000653i,0.0011459-0.00038539i,0.00056833-0.00049184i,0.00029063-0.00068549i,0.00078265-0.00072755i
-0.00020866-0.00096589i,-0.0012705-0.0015986i,-0.0015857-0.0025356i,-0.0018285-0.0019599i,-0.0022822-0.0011275i,-0.00323-0.00068835i,-0.0026567+0.00063152i,-0.0010595+0.0007507i,-0.00054972-7.1102e-05i,-0.00029649-0.00017543i,-0.00010818-0.00013537i,-0.00062525-0.0005352i,-0.00076554-0.00051742i,-0.00065819+0.00010843i,-0.00093377+0.00041965i,-0.00079756+0.00013926i,-0.00048077-0.0001028i,-0.00019609-0.00034522i,-0.0001678-0.00028868i,-0.00038215+7.6767e-05i,-0.00041532-0.00081911i,-2.2847e-05-0.00086512i,0.00038592+6.0647e-05i
0.0021226-0.0012529i,0.0018635-0.0017316i,0.00063118-0.0016693i,0.00017287-0.00099869i,-6.0885e-05-0.000814i,-0.00084062-0.00079597i,-0.00063659-0.0007346i,0.00020431-0.00029788i,0.00014801-0.0004834i,-7.8801e-05-0.00044992i,0.00060749+0.00016866i,0.0010079+0.00085735i,0.00051391+0.00062526i,2.8937e-05+0.00039457i,-6.5884e-05+0.00044416i,-3.2638e-05-0.00014171i,-0.00048121-0.00095813i,-0.00024624-0.0013297i,0.00023207-0.00073627i,1.1213e-05+0.00049576i,0.00030873+0.00051823i,0.00048749+0.00014756i,-0.00021299+0.00033866i
0.00081098+0.00074608i,5.5737e-05+0.00067011i,0.00036995+0.0003062i,0.0006597-0.00075701i,5.9299e-05-0.0020229i,-0.0018698-0.0012507i,-0.0027736+0.00077117i,-0.0018116+0.0012006i,-0.00017574+0.00080721i,0.00030845-0.00046799i,2.7561e-05-0.0013415i,-5.9246e-05-0.00014752i,-6.2778e-06+0.00028075i,0.00017664-0.00082886i,0.0009625-0.00080892i,0.0015336-7.8703e-05i,0.0011389-0.00019262i,0.0004004-0.00045348i,-0.0001041-0.00021989i,-0.00050239+5.8499e-05i,-0.00083348-0.00014866i,-0.0011787-0.00075723i,-0.0012218-0.00069788i
0.0033673-0.0038508i,0.0014026-0.0039782i,-0.00087668-0.0033133i,-0.0016924-0.0022622i,-0.0012296-0.00046789i,-0.0013597+0.00062768i,-0.00098737+0.00063639i,3.3754e-05+0.00058634i,0.00043487-0.00042727i,-0.00033496-0.00047198i,-0.001087-0.00013322i,-0.00027033-0.00032703i,1.3352e-05-0.00070448i,-0.00044304-0.00060478i,0.00037264+0.00043247i,0.0004924+0.0010245i,-0.00019216+0.00088142i,-0.00066388+0.00084852i,-0.0010165+0.00091336i,-0.0011979+0.00024758i,-0.001409-0.00035181i,-0.0010614-0.00047203i,-0.00012163-0.00027299i
-0.00030551-0.00090203i,0.00010401-0.00069485i,-0.00050933-0.0010203i,-0.00011605-0.001898i,-0.00052192-0.0018085i,-0.0015564-0.00069642i,-0.0018055+0.0001207i,-0.0017463+9.1796e-05i,-0.0013219-0.00067389i,5.6479e-05-0.001026i,0.0012302-0.0011205i,0.0011258-0.0012688i,0.00035676-0.00058826i,0.0001036+0.00027413i,-0.00033292+1.8967e-05i,-0.0012268-0.00020161i,-0.00087212-0.00037787i,-0.00027333-9.8065e-05i,-0.00022043+0.00036102i,-0.00020157+0.00066497i,-0.00032496+0.00057528i,-0.0003514+0.00028075i,-0.00010474-0.00019114i
0.00063376+0.00026941i,-0.00058406-0.00087989i,-0.0010864-0.0011026i,0.00012303-0.0012473i,0.00015555-0.0018508i,-0.001353-0.0017076i,-0.0019162+0.00055203i,-0.00035733+0.0020002i,0.0013305+0.0012368i,0.0018575+0.00016122i,0.0014718-1.3746e-05i,0.00091539-0.00033357i,-3.2811e-06-0.0007122i,-0.0010545-0.00084955i,-0.00085534-0.0010778i,0.00051141-0.00034683i,0.00082848+0.00011974i,0.00039497-0.00030824i,0.00042669-0.00042772i,0.00031635-0.0003415i,0.0003911-0.00076092i,0.00013638-0.00084189i,0.00030039-0.00020074i
0.0015921+0.00073066i,0.0013383-0.00035724i,0.00093747-0.0010672i,0.00088199-0.0018091i,0.00032553-0.0017354i,-0.0011884-0.00081248i,-0.0016726-0.00044116i,-0.00051003-8.9907e-06i,-4.7443e-05-1.6237e-07i,-0.00037417-0.00032198i,-0.00077304-0.00047667i,-0.00056324-0.00090738i,-6.5441e-05-0.0012592i,0.00050599-0.0010941i,0.00096619-0.00093358i,0.0011122-0.00049352i,0.0009345-0.00052599i,0.00024641-0.0009698i,-3.8074e-06-0.0011894i,0.0002481-0.0015213i,0.00052077-0.00050961i,0.00032661+0.00065591i,-0.00045226+0.00061979i
-0.00078957+0.00099853i,-0.0015462+0.00061015i,-0.001612-0.00018131i,-0.00064011-0.00046873i,-0.00049381-0.0011488i,-0.0010445-0.0019835i,-0.0012047-0.0012836i,-0.0006049+0.00052775i,0.0001411+0.0015264i,0.00015425+0.00092284i,6.6412e-05+0.00073078i,0.00018552+0.00013968i,0.00063307-5.3851e-05i,0.00087756+0.00061362i,0.00051525+0.00083188i,1.7482e-05+0.00064658i,-0.00025196+0.00016624i,-0.00041187+0.00011653i,-0.00074994+2.2148e-05i,-0.00065295-3.0179e-05i,-0.00026474-0.00047998i,0.000149-0.0013286i,-8.4978e-06-0.0014829i
0.00032902-0.0013122i,0.00042561-0.0019748i,-0.00039872-0.0019776i,-0.0010973-0.0015329i,-0.00106-0.00073369i,-0.0011577-0.00010926i,-0.0002383+0.00012456i,0.00051736-1.1678e-05i,-1.7068e-05-0.0008311i,-0.00041407-0.00011403i,0.000254+0.00073906i,0.00016812+0.00065137i,-0.00040419+0.0003215i,-0.00036545-0.0001321i,-0.00070553-0.00027213i,-0.0012809+0.00016719i,-0.0010472+0.00022764i,-0.00046494-0.00019275i,-0.00033086-0.00014667i,-0.00027461+0.00033141i,-0.00037319-0.0003723i,0.00042315-0.00080451i,0.00094258-1.37e-05i
0.0003656-0.0019977i,-0.00019995-0.0014392i,-0.00096308-0.001163i,-0.0014322-0.0013892i,-0.0020478-0.0017442i,-0.0023705-0.0020658i,-0.0017213-0.0014221i,-0.00056552-0.0012315i,0.00052447-0.00076403i,0.00083524-0.00018611i,0.00097832-0.0004233i,0.0010335-0.00040845i,0.00015171-0.0006305i,-0.00052556-0.0005376i,-0.00049341-0.00081962i,-0.00027492-0.00090139i,2.4322e-06-0.0013188i,0.00038645-0.0012875i,8.6249e-05-0.00027002i,-0.00089702+0.00041293i,-0.00077396+8.0973e-05i,0.0001712+9.4289e-05i,0.00099014-6.1845e-05i
0.0011152-0.0011059i,-0.00046967-0.002345i,-0.0017348-0.0023176i,-0.0020414-0.0023318i,-0.0010173-0.0028669i,-0.00064083-0.001731i,-0.00073276-3.0398e-05i,-0.00041003+0.00024657i,-0.00039588+7.1679e-05i,-0.00070628-0.00029672i,-0.00047699-0.00031203i,-0.00074165+1.0961e-05i,-0.0003977+0.00014579i,0.00070611+0.00033236i,0.0013223+0.0005132i,0.0008959+0.00086248i,0.00030607+0.00070748i,0.00040869-8.2261e-05i,0.00068657-0.00037475i,0.0006019+0.00032583i,0.00031262+0.00096235i,0.00050251+0.00090008i,0.00027437+8.6846e-05i
0.0011144-0.0018035i,0.00030351-0.0015954i,-0.00034704-0.0023965i,-0.0014337-0.0025679i,-0.002043-0.0022595i,-0.0016796-0.0012367i,-0.0013083-0.00012244i,-0.00050938+0.0001987i,-0.0002878+3.8881e-05i,-0.00047073-0.00031814i,-0.00052431-0.00027227i,-0.00020602-0.00031593i,-6.255e-05-0.00063443i,0.00072146-0.00054489i,0.0012913+0.00083628i,0.0005185+0.0015625i,-0.00029229+0.00013437i,-0.00037117-0.00040451i,-3.0991e-05+0.00019471i,0.00029534+0.00032928i,4.2133e-05+3.9689e-05i,-0.0001717-0.00046736i,-5.6e-06-0.0013876i
0.00023308+1.8632e-06i,1.2591e-05+7.1266e-05i,0.00050961+0.00049897i,0.00032254+0.00028482i,-0.00070693-0.00040665i,-0.0015375+3.2146e-05i,-0.0015324+0.00094187i,-0.0011236+0.0021407i,-0.00047596+0.0023137i,6.2452e-05+0.0017416i,0.00037237+0.0015234i,7.2373e-05+0.00099632i,-0.00028082+0.00046419i,-0.00022023-0.00017838i,0.00059111-0.00069704i,0.00040495-0.00046203i,-0.00064607-0.00068477i,-0.00040491-0.001111i,-0.00032439-0.00089356i,-0.0010032-0.00071677i,-0.0007981-0.00079851i,0.00021407-0.00072488i,0.0002448-0.00011248i
-0.00084872-0.00052384i,-0.0019122-0.0008462i,-0.0019927-0.0012389i,-0.00061478-0.0011594i,0.00033236-0.00072668i,-0.00030052-0.00057805i,-0.00044602+0.00016478i,0.00085263+0.0013547i,0.0012605+0.0013346i,0.001133+0.00096255i,0.0010646+0.00064472i,0.00090561+0.00055282i,0.00088665+0.00032047i,0.0011562+0.00017215i,0.00089268+0.0003805i,-0.00024205-0.00024858i,-0.00078827-0.000859i,-0.00072064-0.00083472i,-0.00047519-0.00075918i,-1.9189e-05-0.00024223i,0.00030873+0.00012498i,0.00058474+0.00011239i,0.00052779+0.00020463i
-0.00054859-0.00081388i,0.0002205-0.0014966i,0.00033647-0.0011636i,-0.00044331-0.00087618i,-0.0017464-0.0011145i,-0.001924-0.0018749i,-0.001346-0.0014166i,-0.0011551-0.00026627i,-0.00081622-0.00083201i,1.6705e-05-0.0013803i,0.00027093-0.00088485i,0.00050056-0.00075244i,0.00031162-0.0011372i,8.8091e-06-0.00055748i,0.00035563+0.00024453i,0.00066708-1.954e-05i,0.00050707-0.00044906i,-0.00022439-0.00088431i,-0.00070015-0.00068278i,-0.00072135+0.00013427i,-0.00020652+0.00061681i,-0.00082883+0.00036787i,-0.0014467+0.00034327i
0.00043053-0.0006046i,0.00020401-0.0006526i,0.00021336-0.00055861i,0.00062621-0.00060587i,0.00045654-0.00071984i,-0.00098247-6.4805e-05i,-0.0012623+0.0018056i,-0.00074082+0.0022272i,-0.00071127+0.00057324i,-0.00072333-0.00079053i,-0.00023289-0.0012382i,0.00052143-0.001243i,0.0010756-0.00069816i,0.00066938-0.00032681i,0.00030814-0.00022077i,0.00056453-5.2523e-05i,0.00059624-0.00031105i,0.00016715+0.00028539i,-7.6837e-05+0.00047565i,0.00041259+0.000387i,0.00071072+0.00083307i,4.2589e-06+0.00067006i,-0.00039466-0.00014127i
-0.0010133-0.0014493i,-0.00098971-0.0013872i,-0.0012652-0.0016208i,-0.00038298-0.0017835i,-0.00068584-0.0019943i,-0.0012899-0.0018047i,-0.0013405-0.00099737i,-0.0019008-0.00053478i,-0.0025784-0.00081389i,-0.0019537-0.00048963i,-0.00039245+0.00047404i,0.00067519+0.00033662i,0.00036636-0.00036906i,-0.00028799-0.00047303i,-0.00022732-0.00051759i,-0.00028578-0.00093899i,-0.00038897-0.0014174i,-0.00029059-0.0011933i,-0.0003244-0.00082248i,-0.0001953-0.00057859i,-0.00030683-0.00086278i,-0.00021426-0.00043966i,0.00061883+9.1924e-05i
0.0010668-0.0015616i,-0.00073436-0.00097766i,-0.00090676-0.00073106i,-0.00096371-0.001313i,-0.0014431-0.0013803i,-0.0019979-0.00020671i,-0.0018206+0.00079701i,-0.0018724+0.0010527i,-0.0014797+0.00095199i,-0.00065994+0.0012568i,-9.5548e-05+0.00075556i,-0.0002939+3.5219e-05i,-0.00036775+4.1245e-05i,0.00013152-0.00017389i,-0.00040464-0.00018658i,-0.00085395-0.00042639i,-1.6078e-05-0.0013592i,0.0010801-0.0012222i,0.00063146-0.00043639i,0.00023064-0.00037449i,0.00081407-0.00062358i,0.00074207-0.00056157i,-0.00017988+9.6053e-05i
0.0010481-0.0003592i,0.00080294-0.0019178i,0.00075889-0.0022121i,0.0009794-0.00090681i,0.00091146-0.001383i,0.00010468-0.001827i,-0.00073671-0.00090058i,-0.00040862+4.0845e-05i,0.00013103+0.00051653i,0.00084535+0.00028235i,0.0012982+0.00035904i,0.00085466+0.00059548i,-7.6638e-05+0.00032767i,-0.00048709+0.00041813i,0.00026616+0.00060964i,0.0011389+0.0004996i,0.0011006+8.3004e-05i,0.00069094+1.714e-05i,0.00046306+2.81e-05i,0.00032702-0.00062643i,0.00010446-0.00078991i,-0.00058663-0.00043529i,-0.00016764-7.6976e-05i
-0.0010845+0.00050162i,-0.0011228-0.00021201i,-0.0016285-0.000735i,-0.0012306-0.00052403i,-0.00061905+5.1018e-05i,-0.0012399-0.0006174i,-0.0020133-0.00023307i,-0.0011406+0.00069581i,0.00020869+9.7193e-05i,0.00066798-0.00018401i,0.0014127+1.7314e-05i,0.0014761-0.00063995i,0.00048881-0.0013629i,-0.00047647-0.00075217i,-0.00088088-0.00013342i,-0.00059928+0.00031544i,0.00027904+0.00063538i,0.0010525+0.00027109i,0.00069813+0.00013531i,-0.00020881+0.00040267i,-0.00078175+0.00054811i,-0.00042043+0.00070391i,-0.00030306+0.0003359i
3.0948e-05-0.0016265i,-0.00060447-0.002105i,-5.8767e-05-0.0024801i,0.0004403-0.0021165i,4.8134e-05-0.0025008i,-0.0012614-0.0023166i,-0.0012729-0.0010982i,-8.366e-05-0.00095748i,0.00061877-0.0018093i,0.00044977-0.0026259i,0.00025719-0.0026327i,0.00046495-0.0022456i,0.0010674-0.0017793i,0.00057803-0.00058356i,-0.0005313+0.00015617i,-0.0002494+0.00014235i,7.2247e-05+0.00027111i,-0.00052701+0.000519i,-0.00043182+0.00029402i,-0.00047312-0.00011774i,-0.00041335-0.00012056i,0.00027982+0.00011705i,5.7464e-05+0.00038512i
-0.0030882-0.0015073i,-0.0021199-0.00033196i,-0.0020818+0.00078682i,-0.0019341+0.00056997i,-0.00063914-0.00083991i,-0.00052956-0.0015397i,-0.0016688-0.0012647i,-0.0020569-0.00067719i,-0.0019593-0.00026424i,-0.001974+0.00042196i,-0.0014478+0.001066i,-0.00029026+0.00075269i,0.00036095-3.6914e-06i,0.00069525+4.1608e-05i,0.00088586+0.00049734i,3.4004e-05-0.00023574i,-0.00026445-0.0014874i,0.00041435-0.0016232i,0.0009659-0.00060003i,0.00097887-0.00010523i,0.0009095-0.00038199i,0.00059563-0.00044392i,-8.4815e-05-0.0003023i
-0.00045971-0.0002364i,0.00054228-0.00081325i,0.00071545-0.00016098i,4.7759e-05+0.00015005i,8.5266e-05-0.00067758i,-0.00011446-0.00099483i,-0.0003197-0.00019142i,-0.00026817+0.0012086i,-0.00042363+0.001674i,1.4529e-05+0.0014158i,0.00065719+0.00080884i,0.0011283+0.00011804i,6.8627e-05-0.00020239i,-0.0011024-0.000345i,-0.0005703+0.00025255i,0.00025004+0.00095245i,0.00027242+0.00032402i,0.00016228-0.00027526i,0.00036683-0.00011503i,0.00075547-0.00018866i,0.00076406-0.00037699i,-0.00015915-0.0003495i,-0.0007514-0.00035742i
-0.00080665-0.0020354i,-0.0011971-0.0021904i,-0.0019332-0.0016666i,-0.0019561-0.00081609i,-0.0012843-0.0010628i,-0.0020293-0.0011032i,-0.0021164+0.00018059i,-0.00096618+0.0008628i,-0.00045094+0.0012001i,0.00041009+0.00090604i,0.001165+0.00056124i,0.00095537+0.00024923i,0.00052852+0.00028895i,0.00046316+0.00090851i,0.00029791+0.0013371i,-0.00022601+0.0015278i,-0.0005276+0.00045643i,8.535e-05-0.00051644i,0.00074403-0.00064062i,0.00093031-0.00030665i,0.00047882-0.00023659i,0.00024227-0.00078428i,0.00051693-0.00051767i
-0.00067584+0.0001987i,-8.0781e-05-0.00072575i,-0.00091635-0.00013516i,-0.00099106-0.00054351i,-0.00028977-0.0015575i,-0.0011715-0.0012099i,-0.0023052+0.00028751i,-0.0013565+0.00062628i,0.00045589+0.0010529i,0.0013375+0.0012123i,0.0013621+0.00048257i,0.00080791-0.00046387i,0.00072938-0.0010931i,0.0010129-0.0009107i,0.00074579-0.00049377i,-1.9674e-05-0.00097603i,-0.00021395-0.00052702i,2.2277e-06+0.00028822i,5.6608e-05+7.093e-05i,-0.00011182-0.00048078i,9.31e-05-0.00030242i,0.00062484+0.00040602i,0.00064948+0.00031326i
0.00037182+0.00053512i,0.0011864-0.00081495i,0.00069543-0.0011465i,0.00055751-0.0010012i,-0.00021618-0.0011638i,-0.0021719-0.0010905i,-0.0014807+0.00029093i,0.0011267+0.00059141i,0.0022499-0.00041681i,0.0014784-0.0016322i,0.00054839-0.002217i,-0.00036141-0.0016736i,-0.00069088-0.00093503i,-0.0001029+6.7849e-05i,0.00012346+0.00032966i,0.00032224-0.00051327i,0.00026073-0.00062371i,0.00011298-0.00068444i,-0.0001115-0.0010628i,0.00033453-0.0011897i,0.00039375-0.00040085i,-4.9614e-05+0.00040774i,-0.00035841+0.00044682i
-0.0013971+0.0001696i,-0.0014599-0.00037609i,-0.00081328+0.00023485i,-0.00089818-8.1244e-06i,-0.0011632-0.0015339i,-0.0014103-0.001745i,-0.0021484-0.00045403i,-0.0022172+0.00048112i,-0.0021606+0.00038286i,-0.0022822-0.00012388i,-0.0012378-0.00056384i,-0.00089451-0.00012135i,-0.00037027+0.00025833i,0.00092971+3.0419e-05i,0.00090121+0.00037453i,8.8115e-06+0.00083314i,0.00035162+0.00047682i,0.0005079-0.00075575i,0.00014785-0.0011587i,0.00057245-0.00043311i,0.00077456+0.00034334i,0.0006294-5.8837e-05i,-0.00012964-0.00040102i
0.00099471-0.00029069i,0.0006608+0.00015127i,1.6934e-05-0.00015354i,-0.00091485-0.00027818i,-0.0012273-0.00012256i,-0.0010149-0.0003515i,-0.00086679-0.00028141i,0.00019883-0.00015293i,0.00017766-9.8321e-05i,-0.00097866-1.4462e-05i,-0.00030908+0.00036639i,-0.00041287+0.00061521i,-0.001312+0.00045325i,-0.00041447+0.00047601i,0.00013359+0.00047058i,-0.00033049+0.00050962i,-2.7291e-05+0.00057959i,0.00021803+0.00044368i,-6.2614e-05+0.00042423i,-0.00034911+0.00028734i,-0.00054701-0.00022468i,-0.0003317-0.00021712i,6.1018e-05-0.0002056i
-0.0016552-0.0024504i,-0.00087326-0.0027503i,-0.001515-0.002097i,-0.0023601-0.00098602i,-0.0015846-0.00061436i,-0.0010921-0.0011358i,-0.0016861-0.001137i,-0.0020265+4.563e-05i,-0.001642+0.00074368i,-0.00016609+0.0011888i,0.0010826+0.0014987i,0.00068409+0.00056876i,-0.00015357-0.00047846i,0.00041105-0.0010601i,0.00068049-0.00066961i,0.00038739+0.00049748i,0.00010071+0.00076429i,-7.5786e-05+0.0005439i,0.00031825+0.00019502i,0.00028277+0.00014334i,-0.00078388-0.00082082i,-0.00062457-0.0014046i,0.001022-0.00091753i
0.0015238-0.0012181i,0.00090325-0.0019315i,-0.0005824-0.0020935i,-0.0017712-0.00226i,-0.0025384-0.0022099i,-0.0028279-0.00091387i,-0.0015208+0.001117i,-0.00056838+0.002039i,0.00055882+0.0017832i,0.0015089+0.0011847i,0.0015915-0.00044309i,0.0015786-0.00051638i,0.0011888+0.0001872i,0.00087476-0.00013075i,0.00042766+0.0005999i,0.00022288+0.0010151i,5.5906e-05+0.00035519i,-0.0003541-7.8023e-05i,-0.00019366-0.00091228i,0.00029845-0.0010769i,0.00035323+0.00011263i,3.3363e-05+0.001091i,-0.00084344+0.00091303i
-0.001214-0.003156i,-0.0024444-0.0019843i,-0.003089-0.0011531i,-0.002104-0.00072896i,-0.00051377-0.0010001i,-0.00033803-0.0017682i,-0.0011569-0.0012684i,-2.9188e-05-0.00043083i,0.0014228-0.00084565i,0.0010785-0.0006701i,0.00067414-0.00051694i,0.00063777-7.4578e-05i,0.00095071+0.0004791i,0.00063053+0.00056381i,-0.00012852-9.3272e-05i,-0.00071631-0.00043711i,0.00021791-0.00061865i,0.00026872-0.00064562i,-0.00066876-0.00027229i,-0.00056249+0.00038339i,-0.0007772+0.0012718i,-0.00064581+0.00072997i,3.271e-06+0.00031373i
-0.00040721-0.00065894i,-0.001479-0.0013384i,-0.0020884-0.0023375i,-0.001083-0.0023938i,-0.0003799-0.0012603i,-0.00097073-0.00030689i,-0.0011296-7.1978e-05i,-0.00084886-0.0002267i,-0.00036484-0.00063393i,-0.00013315-0.0012117i,-0.00039597-0.00081866i,0.00021291-0.00066812i,0.00070955-0.00063022i,0.00048415-0.00087645i,0.00027693-0.00078222i,8.0562e-05+4.5339e-05i,0.00023799+3.2397e-05i,0.0004852-2.3934e-05i,0.000591-0.00023456i,0.0004278-0.00070915i,-0.00024515-0.0010525i,-0.0010274-0.00085862i,-0.0011248-0.00019202i
0.00078753+0.00034647i,0.00069999-0.0013316i,0.0014336-0.0012815i,0.0013532-0.0014558i,0.0008142-0.0032453i,-0.00094049-0.003275i,-0.0021022-0.00077023i,-0.0011333+0.00029709i,-0.00061681-0.00033385i,-0.0012845-0.00088996i,-0.00054668-0.00082086i,0.00078662-0.00053868i,0.00094186-0.00074395i,0.00060039-0.00085203i,-0.00054527-0.00088718i,-0.0010654-0.00090168i,-0.00072601-0.00074704i,-0.00035583-0.00021975i,0.00015963+0.00044654i,0.00056985-0.00026794i,0.00052056-0.00088295i,0.0014086-0.00043775i,0.0012861+0.00021507i
0.00098652+0.0001798i,1.9828e-05-0.00082278i,-0.00037804-0.0012936i,-0.00048602-0.00107i,-0.00088628-0.0011348i,-0.0015117-0.00078933i,-0.0023519+0.00054054i,-0.0014971+0.00071577i,-0.0014357+0.00014699i,-0.00089604+0.00011168i,0.00056296+0.0002825i,0.0012261-8.3344e-05i,0.000953-9.6647e-05i,0.00029689-0.00029731i,-0.00028369-0.00046173i,-3.6913e-05-0.00054085i,0.00048351+8.4807e-05i,0.0008942+0.00028991i,0.0011177+3.3758e-05i,0.00060332+0.00045901i,4.5214e-05+0.00020445i,-8.3267e-06-3.8546e-05i,-0.00054504+0.00057858i
0.0017481+0.0027897i,0.0021103+0.0016923i,0.0029832-0.00024812i,0.0031389-0.0021104i,0.0022169-0.0034035i,-0.00070497-0.0030389i,-0.0016429-8.4866e-05i,8.7876e-05+0.0025236i,0.0020434+0.0027378i,0.0019885+0.0013005i,0.0009814-3.6513e-05i,0.00031764-5.4296e-06i,0.00025786+1.4734e-05i,0.00053131-0.00030346i,0.00027706-0.0002688i,-1.5722e-06+0.00010806i,0.00067652-0.00015102i,0.0014037-0.00058083i,0.0013715-0.00040328i,0.000405+0.00035168i,-0.00044561+0.00051574i,-0.00028261+0.0001705i,0.00025385+0.00030222i
-0.00013186-0.00090248i,-0.0019164-0.0014529i,-0.0026523-0.0011127i,-0.0022987-0.0012144i,-0.0026225-0.0019265i,-0.0026976-0.001939i,-0.0016429-0.00083888i,-0.00036636-0.00021784i,0.00065487+8.9213e-05i,0.0017116-0.00025082i,0.0018486-0.00062918i,0.0015518-0.00076441i,0.00096971-0.0016033i,2.3603e-05-0.0017539i,-0.0002541-0.00066534i,-0.00015272+0.00049924i,-0.00015404+0.0011536i,-0.00055809+0.00098768i,-0.0013437+0.00017336i,-0.0011978+0.0003103i,-0.00049302+0.00050718i,-0.00022096+0.00038628i,-0.00052345+0.0006802i
-7.9763e-05+0.0020447i,-3.2566e-05+0.001465i,-0.00020751+0.0012104i,0.00037507+0.00065542i,0.00060112-3.2389e-06i,-0.00073836-8.0082e-05i,-0.0016096-4.7195e-05i,-0.00086327-0.000465i,0.00062013-0.00079081i,0.00083829-0.0010359i,0.00043246-0.001118i,0.00069981-0.00070575i,0.00069611-0.0011374i,0.00011594-0.0011302i,-0.00010287-0.00061041i,-0.00039372-0.00037179i,-0.00045246-0.00012682i,-0.0013801+0.00023614i,-0.001539+0.00084753i,-0.00032743+0.00041474i,0.00019806-0.00069241i,0.00053265-0.0010833i,0.00068807-0.0002792i
