0.00059831+4.0684e-05i,0.0010591-0.00061485i,0.0007882-0.00060599i,-0.00032288-0.00094628i,-0.0023697-0.00035891i,-0.0030349+0.0010465i,-0.0018868+0.0015534i,-0.00061825+0.0013885i,0.0005661+0.0012989i,0.0015273+0.00029633i,0.0019011-0.0012989i,0.0011656-0.0015822i,-0.00024016-0.00077642i,-0.00048726-4.819e-05i,-0.00031866-0.00054265i,-0.0003052-0.00047661i,-0.0005964+0.00062618i,0.00010899+0.00095787i,0.00068222+0.0012172i,-0.00030841+0.0013176i,-0.0002796+0.00027889i,-0.00054563-0.0010598i,-0.00017715-0.0015303i
1.0314e-05+0.0004822i,0.0017444-9.9407e-05i,0.0029323-0.00040589i,0.0015624-0.001484i,0.00014125-0.0028696i,-0.00066433-0.0023564i,-0.001002-0.0012381i,-0.00039912+0.00046763i,0.00042001+0.001519i,0.00089466+0.0008795i,0.00079686-0.00019431i,0.00027631-0.00033425i,0.00034658-0.00033368i,0.00049051-0.00034131i,0.00018538-0.00019843i,-0.00015592+7.9852e-05i,-0.00049188+0.00026943i,-0.00070682+0.00076203i,-5.905e-05+0.00085023i,0.00075775+0.00039736i,0.00073043-0.00012671i,0.00059328-0.00094212i,0.00028695-0.0010699i
0.001309-0.0027402i,0.00012374-0.002526i,-0.00079452-0.0013282i,-0.0012676-0.00073833i,-0.0017514-0.0009635i,-0.0022864-0.001375i,-0.0015986-0.0009539i,-0.00091214-0.00044835i,-0.00037279-0.0003583i,0.00032689+2.1621e-06i,0.00053116-0.00019113i,-7.0334e-05-0.00015219i,-0.00057789-0.00044772i,0.00012068-0.00068666i,0.00081683-0.00078374i,0.00013845-0.0009895i,-0.00035647-0.00025151i,0.00048071+0.00092092i,0.00069016+0.0013225i,0.00035441+0.00097996i,0.0004847+0.00083986i,0.00094169-0.0001302i,0.00090674-0.00081441i
0.00012111+0.0013049i,0.0006605+0.0014825i,0.0012247+0.00096268i,0.00083217+0.00060855i,9.5725e-05-0.00041278i,-0.00045665-0.00087847i,-0.0013653-5.0725e-05i,-0.001941+6.2822e-05i,-0.0018852+0.00033003i,-0.0012132+0.00062748i,0.0005079-0.00016251i,0.0015776-0.0012669i,0.001087-0.00122i,0.00050736-0.00084458i,0.0007252-0.00066241i,0.0010602+3.0774e-05i,0.00049461+0.00057017i,-0.000219+0.00073913i,-0.00086395+0.00023082i,-0.00064725+0.00021511i,0.00042588+0.00038222i,0.00019307+3.8465e-05i,-0.00073454-1.9326e-05i
0.0011726-0.00067218i,0.001272-0.0019543i,0.00097149-0.0043782i,-0.0002491-0.0048732i,-0.0012006-0.0037638i,-0.0015377-0.0024069i,-0.0011059-0.00035314i,-0.00021027+0.0014066i,0.00068574+0.0012204i,0.00057283+0.00042065i,-0.00031174-0.00016783i,-0.00036451-3.8349e-05i,-0.00082855+0.00044059i,-0.00059873+0.00029494i,0.00012639+0.00021107i,0.00026705+0.0005821i,-0.00030955+0.00078835i,-0.0010146-1.0845e-05i,-0.00095179-0.00087322i,-0.0002102-0.00017092i,6.6915e-05+0.00028232i,-3.8027e-05-0.00028525i,-0.00041235-0.00093945i
0.00058756-0.0019109i,0.00093459-0.00086507i,-0.00095945-0.0015799i,-0.0023169-0.0024651i,-0.0026399-0.0018007i,-0.0018848-0.0010777i,-0.00092926-0.00014978i,-0.00066497+0.00073655i,-0.00036502+0.00094914i,0.00020283+9.4687e-05i,3.2191e-05-0.00068792i,-0.00013541-0.0007438i,0.00051217-0.00043069i,0.00043794-0.00041021i,-7.7315e-05-0.00042459i,-0.00036461-0.00016648i,-0.00080926-0.00041858i,-0.00085373-0.00053989i,-0.00015822+0.00020459i,0.00025913+0.00041196i,0.00054693-0.00048813i,0.00067535-0.0010592i,0.00027686-0.00079365i
0.00051966-0.001543i,0.0012185-0.0016513i,0.0019225-0.00267i,0.00073299-0.0030764i,-0.0010837-0.0029962i,-0.0018721-0.0019488i,-0.0010272-0.00022311i,4.3874e-05-8.7508e-05i,0.00084022-0.00017224i,0.0007841+0.00025954i,7.1269e-05-0.00018408i,-0.00044148-0.00086499i,-0.00053986-0.00082867i,0.00013691-0.00037295i,0.0011482+2.2308e-05i,0.00087671+0.0006001i,0.00011605+0.00064816i,0.00020624+0.00017536i,-0.00041005-5.3191e-06i,-0.00092273-2.2303e-05i,-0.00036118+2.4233e-06i,0.00027573+0.00012372i,-2.0307e-05+0.00023839i
0.0020756-0.0012983i,0.0014115-0.0016225i,0.00058118-0.00233i,-0.00052049-0.0023864i,-0.0012885-0.0023404i,-0.0020817-0.0013245i,-0.0020576-0.00035772i,-0.0013546-0.00034206i,0.00013839-0.00025904i,0.00088126-0.00042473i,0.00068456-0.0006098i,-0.00012201+0.00083287i,-0.00059751+0.0016947i,-0.0001884+0.00041347i,-0.00060802-0.00034724i,-0.00098423-0.00025555i,-0.00040436-0.00055253i,-0.00015265-0.00016201i,0.00024075+0.00044688i,0.00041294+0.00026128i,0.00042537-0.00024545i,0.00083195-1.02e-05i,0.00068725-0.00015897i
-3.5525e-05+0.001131i,0.0015981+0.0018612i,0.0019423+0.00087152i,0.00047421+6.3097e-05i,-0.0009644-0.0004159i,-0.0013405-0.00045057i,-0.002381-7.6908e-06i,-0.0027257+0.00041454i,-0.0018597+0.00063308i,-0.00093079+0.00064126i,0.00018164+0.00015831i,0.0011028-0.00032307i,0.0006392-0.00033402i,0.00052331-0.00032475i,0.00085294-0.00037249i,0.0011042+5.9167e-05i,0.00077122+0.0006529i,0.00034616+0.00086711i,0.00062502+0.00020168i,0.00016564-0.00039583i,-0.00090612-0.00012761i,-0.0010199+0.0002343i,-0.00038593-6.3115e-05i
0.00047017-0.002883i,0.00069177-0.0032579i,0.0003623-0.0031549i,0.00044925-0.0030086i,0.00047087-0.0027009i,-0.00017559-0.0013674i,-0.00023758-0.00053476i,0.00011926+4.3773e-05i,0.00025466+0.00069717i,0.00029812+0.00024378i,0.00072225-0.00018018i,0.00074072-6.0121e-05i,0.00045257-0.00017516i,0.00011871-0.00056784i,-5.937e-05-0.00022334i,0.0001796+0.00017351i,0.00044371-0.00044399i,-0.0005576-3.2019e-05i,-0.001618+0.0009824i,-0.0014783+0.0006872i,-0.00093358+0.00013152i,-0.00069341-0.00082368i,-0.00048979-0.0007449i
0.0023902-0.00034058i,0.0020746-0.00031343i,0.0013587-0.001434i,0.00071564-0.0021724i,-0.00037189-0.0030911i,-0.00084196-0.0026895i,-0.0016955-0.0012365i,-0.0025954-0.00011718i,-0.0016299+0.0012968i,-5.8703e-05+0.0010182i,0.00074593+9.0989e-05i,0.00064679-0.00022693i,0.00034589-0.00015666i,0.00010777-0.00034345i,9.7698e-05-0.00085883i,0.00066155-0.00051348i,0.00090877-0.00032889i,0.00032789-5.2579e-05i,-0.00047023+0.00048337i,-0.00034272+0.00027698i,7.8107e-05-2.5997e-05i,0.00051434-8.5453e-05i,0.00039819-0.00036983i
0.00066948+0.0010227i,0.00076761-0.0011271i,0.0019249-0.0023107i,0.00067161-0.0022762i,-0.001016-0.0019963i,-0.001699-0.0011067i,-0.0022779+0.00028927i,-0.0023778+0.0016488i,-0.00091202+0.0017532i,0.00080269+0.00015172i,0.001232-0.00082232i,0.0010894-0.00040847i,0.00017964-0.00010828i,-0.0001818-0.00010799i,0.00024109-6.3363e-05i,-0.00019294-0.00035615i,-0.00067403-0.00093883i,-0.00085991-0.0006918i,-0.00061357-0.00032788i,-2.9113e-05-0.00050837i,-0.00029315-0.0006359i,-0.00089165-2.0914e-05i,-0.00092865+7.7395e-05i
-0.0011748-0.0018637i,-0.00022923-0.0016164i,0.00059661-0.00098828i,0.00071572-0.00061295i,-0.00012092-0.00061664i,-0.0017834-0.00069136i,-0.0024532-0.00026729i,-0.001877+0.0011237i,-0.001225+0.0018746i,-1.5573e-05+0.001173i,0.0010461-0.00019241i,-1.8698e-06-0.0012482i,-0.00080565-0.001125i,-0.00067245-0.00047508i,-0.00082913+0.00016404i,-0.00015663+0.00049665i,0.00079754+0.0001468i,0.0011428-0.00026272i,0.00060851-9.1083e-05i,0.00030878-2.2107e-05i,0.00051783+0.00011053i,7.1633e-05-0.00025281i,-2.5699e-05-0.00034383i
0.0040689+0.001709i,0.0050846+0.00063509i,0.0053394-0.00046747i,0.0047578-0.0020333i,0.0033104-0.0026346i,0.001146-0.0028748i,-0.0007316-0.0018223i,-0.0013806+0.00015349i,-0.00055035+0.0014006i,0.00039743+0.00088163i,0.00061008-0.00035505i,0.00045956-0.00075941i,0.00023631-0.00097185i,0.00055831-0.00061871i,0.0014501-0.00039965i,0.0011275-0.00060898i,-0.00015391-0.00047637i,-0.00025202-4.0912e-05i,-0.00071136+8.7043e-05i,-0.00093865+0.00017153i,-0.00043382+0.00018489i,0.00018866-0.00063518i,-8.9912e-06-0.00081797i
0.00046378+0.00092564i,0.00083306-0.00057515i,0.0009258-0.0021277i,0.00042092-0.0029737i,-0.00077212-0.0027823i,-0.0012629-0.0021767i,-0.0012818-0.0020492i,-0.00079118-0.0011644i,-0.00013627-0.00043175i,0.00055139+5.6706e-05i,0.00053687+0.00033796i,0.00030071-0.00026101i,7.7282e-05-0.0006776i,9.443e-05-0.0006276i,0.0007428-0.0003608i,0.00063845+0.00015559i,0.00049366+0.00075556i,0.00062398+0.00083838i,0.00083347-0.00024348i,0.00049963-0.00052443i,-0.00019864+0.00013886i,-0.00076775+0.00020454i,-0.00040619-0.00015673i
6.1985e-05+0.00049969i,0.0015771+0.00074806i,0.0019101+0.00057831i,0.00085336-0.00062168i,5.4515e-05-0.0017783i,-0.0011195-0.0022997i,-0.0023845-0.001787i,-0.0017595+0.00013337i,-0.00076468+0.0011888i,4.063e-05+0.0012792i,0.00049291+8.8268e-05i,0.00070983-0.0011411i,-8.3968e-05-0.0010348i,-0.00073817-0.00097246i,-0.00082314-0.001165i,-0.0007394-0.001163i,-0.00057481-0.00082592i,-0.00073186-0.00051311i,-0.00045185+0.00012461i,0.0001172+0.00053328i,0.00027748-5.913e-05i,-9.7308e-05-0.00022724i,0.00011652+0.00011984i
0.0016063-0.00066951i,0.0020372-0.00026257i,0.0013325+0.0011494i,0.0011821+0.00079842i,0.00091136+0.00022559i,-0.0003102+0.00029639i,-0.0015146+0.00039636i,-0.0021948+0.00066877i,-0.0010605+0.00093164i,0.00052946+0.00077274i,0.00086556+0.00032395i,0.00067786-3.7907e-06i,0.00017172-0.00041499i,0.00082863-0.00067342i,0.0019189+0.00013014i,0.001387+0.00075968i,0.00013448+0.00062323i,-0.000799+0.00042633i,-0.00070765+0.00087284i,0.00011025+0.0012232i,0.00047538+0.00072204i,0.00010269+0.00038633i,-0.00033755+0.00021492i
0.0010119+0.00064708i,0.001813-0.00036539i,0.0015199-0.0010522i,0.00047734-0.0018817i,-4.8935e-05-0.002203i,-4.2015e-05-0.0015762i,0.00036776-0.00077079i,-2.5633e-05-0.0004605i,-0.00038535+0.00013603i,0.00081136-0.00021492i,0.0019382-0.0010809i,0.0017526-0.00094235i,0.00086952-0.00043597i,0.00083781-0.00036371i,0.0015-0.00067398i,0.0009927-0.0010712i,0.00012663-7.3694e-05i,-0.00066291+0.00081814i,-0.0013402+0.00015884i,-0.00063634+0.00013832i,8.5023e-05+9.0847e-05i,0.00036109-6.5532e-05i,0.00055119+9.1724e-05i
7.277e-05-0.0011344i,0.00072316-0.00066452i,0.0018519-0.0025229i,0.0015081-0.0045692i,0.00048475-0.0046438i,-0.00041732-0.0029406i,0.00020571-0.00039782i,0.0010745+0.00049815i,0.00086903+0.00039564i,5.534e-05-0.00012181i,-0.00048897-0.00049928i,-0.00063601-0.0003193i,-0.0006346-0.00059447i,-0.0010402-8.0121e-05i,-0.001056+0.00043532i,-0.00058427+0.00050037i,-0.00080545+0.00048648i,-0.00095272+0.00017247i,-0.00037508+0.0001464i,-0.00022729+0.00051668i,0.00013028-0.00013197i,0.00074358-0.0010634i,0.00018898-0.0011248i
0.00044576-0.0015697i,0.0011703-0.00098218i,0.00026834-0.0012152i,-0.0016007-0.0011419i,-0.002768-0.001446i,-0.0025256-0.0015734i,-0.0015336-0.001406i,-0.0016576-0.00082907i,-0.0013809-9.9733e-06i,-0.00050861+0.00058991i,0.00034872+0.00087856i,0.0006606+0.00097052i,0.00016776+0.00060179i,-2.7195e-05-0.00050883i,0.00051143-0.00070791i,0.00091058+0.00032166i,0.00055284+0.00046423i,0.00052579+9.3753e-05i,0.00017443+0.00028008i,-8.3067e-05+7.0832e-05i,-0.0002579+0.00039985i,-0.00026458+0.00037345i,6.5684e-05-0.00077581i
0.0016725+0.0035028i,0.0026607+0.002885i,0.003577+0.0014218i,0.0029237-0.00077796i,0.0018594-0.0025851i,-0.00049735-0.0027928i,-0.0024193-0.001432i,-0.0018494+0.00035214i,-0.00032813+0.00043958i,0.0010243-0.00031309i,0.00091939-0.00075171i,3.8675e-06-0.0010243i,0.00020272-0.0013575i,0.00043057-0.00056731i,0.00043696+0.00014279i,0.00061709-7.0083e-05i,0.00046622+8.5429e-05i,-0.00015076+0.0002249i,-0.00099751+0.00013798i,-0.0014081-0.00036233i,-0.0008965-0.00056256i,6.2646e-05+4.3801e-06i,0.00080034+0.00022123i
-0.0015102+0.00022831i,-0.00052435-0.00054711i,0.0010746+0.00024989i,0.0016235+0.00041573i,0.001496-0.0005851i,0.00067435-0.0010469i,-0.00027582-0.00052784i,-0.00055912+0.00087516i,-0.00020608+0.0010693i,0.00082837+0.00044405i,0.0016029-0.0003457i,0.00083767-0.0011126i,0.00013413-0.00080504i,0.00025966-0.00028201i,0.00043422-0.00024785i,0.00029745+0.00015093i,0.00016433+0.00040543i,0.00031702+0.00052671i,0.00010677+0.00038226i,8.4582e-05-0.00015339i,1.6422e-05-0.00023933i,-0.00013449+0.00057062i,-1.602e-05+0.00066548i
-0.00074051-0.00095027i,-0.00072612-0.00043955i,-0.00071419+6.4197e-05i,-0.00079425+0.00024305i,-0.00053441-1.3299e-05i,-7.0336e-06-0.00087675i,0.00014076-0.0014439i,-0.00017312-0.00087195i,-0.00051813-1.2264e-05i,-4.9822e-05+0.0001458i,0.0012484-0.0005353i,0.0016306-0.0012846i,0.00072032-0.0018161i,0.0002528-0.0009798i,-0.00033416+0.00016324i,-0.00065411+0.00041938i,-0.00050736+0.00055569i,-0.00012352+0.00039792i,0.00018684+5.8151e-05i,9.2717e-05-1.7219e-05i,0.00015518-0.00027255i,0.00018654-0.00088916i,0.00057244-0.001024i
-0.001152+0.002868i,0.00018565+0.0030805i,0.0020647+0.00068595i,0.0019755-0.0011201i,0.00083527-0.0019284i,-0.00094511-0.0020248i,-0.0024593-0.001026i,-0.0020289+0.00018111i,-0.00082349+0.0010968i,-0.00034186+0.0005407i,8.1887e-05-0.00058367i,0.00022934-0.00029362i,-0.00011352-0.00013006i,-0.00025577-0.00032269i,0.00062253-0.00057078i,0.001678-0.00077924i,0.0011405-0.00016853i,-0.00013306+0.00076263i,-0.0005411+0.00090688i,-0.00045172+0.00018823i,-0.00012908-0.00034542i,6.7231e-05-0.00027309i,-0.00042012-0.00031184i
0.0023246-0.00051748i,0.0024069-0.0019899i,0.0014546-0.0015344i,-0.00050554-0.0022017i,-0.0009012-0.0033492i,-0.0017309-0.0024142i,-0.0031487+0.00018576i,-0.0024309+0.0016318i,-0.00029773+0.0012627i,0.00096209+0.00050516i,0.0012805-0.00050136i,0.001726+0.00015268i,0.00097465+0.00028054i,-0.00010212-0.00047175i,8.4092e-05-0.00028812i,-0.00015254-0.00040199i,-0.00024545-4.3909e-05i,-4.8855e-05+0.0010875i,0.00015021+0.0013144i,0.00032571+0.00044803i,-8.2339e-05-0.00022126i,-0.0008019-0.00042917i,-0.00085005-0.00042348i
0.0002726+0.0017215i,0.0017949+0.0016865i,0.0034822+0.0025241i,0.0025421+0.0014773i,0.0013166+9.7403e-05i,0.00049417-1.616e-05i,-0.0010427+0.00074461i,-0.0017566+0.0010893i,-0.001573+0.0016258i,-0.00046712+0.0014125i,0.00059205+9.716e-05i,0.0005585-0.0007389i,-2.7812e-05-0.00087438i,-0.00011406-0.00079551i,0.00029475-0.00032868i,0.00061606-0.00015519i,0.00042636-0.00051233i,7.2203e-05-0.00036802i,-0.00020938+1.1661e-05i,0.00012062+0.00028636i,7.0822e-05+2.3502e-05i,-0.00012069+7.1982e-05i,-0.00034786+0.0002841i
0.00069688-0.00031673i,0.0013057-0.0008295i,0.0011845-0.0011323i,-2.5815e-05-0.0021049i,-0.00051965-0.0028186i,-0.00034938-0.0018332i,-0.00024334-8.5955e-05i,0.00039483+0.0011374i,0.00084806+0.0013092i,0.0015057-0.00049663i,0.0021051-0.0012954i,0.0011684-0.001158i,0.00028273-0.0014519i,0.00080042-0.0010004i,0.00020164-0.00013647i,-0.00019082-0.00023219i,0.00023979-0.00074992i,-0.00032334-0.00079848i,-0.00015699-0.00031133i,0.00048402-7.3708e-05i,0.00023555-0.00058447i,0.00021474-0.00031852i,0.00015428+0.00071376i
0.0015076-0.0018106i,0.0012602-0.00093156i,-0.00013261-0.0012179i,-0.00081331-0.0016829i,-0.0010604-0.0014038i,-0.0014044-0.001361i,-0.0015956-0.00088746i,-0.0015781-0.00021579i,-0.001096-0.00018195i,0.00022601-0.00035717i,0.0006342-0.00017512i,0.0010724+0.00027333i,0.0013332+0.00011456i,0.00043682-0.00040647i,-0.00036824-0.00051749i,5.817e-05-0.00080428i,0.00065779-0.0004985i,0.00016387+0.00066283i,-0.00052786+0.00078486i,-0.00081061-0.000323i,0.00010329-0.001132i,0.0007128-0.00068458i,0.00033128-0.00063455i
0.0017208-0.00047138i,0.002213-0.001781i,0.002106-0.0019279i,0.0010306-0.0018116i,-0.00075795-0.0024383i,-0.002653-0.0031748i,-0.0027846-0.0014714i,-0.0024161+0.0016889i,-0.0012165+0.0017368i,0.00031574-0.00030229i,0.0008301-0.00077412i,0.00079028-0.00016098i,0.00044225-0.00024794i,0.00012487-0.00061858i,0.00038716-0.00049631i,0.00043844-0.00068928i,-0.00015747-0.00041858i,-0.00084605+0.0010972i,-0.0003718+0.0010919i,0.0002776+0.00059165i,0.0004559+0.0001091i,0.00036395-0.00056053i,0.00022269-0.00044542i
7.1139e-05-0.00074323i,0.00010168-0.00040522i,-0.00073394-0.00011689i,-0.0014015-0.00034273i,-0.001889-0.00032929i,-0.0018828-0.0002796i,-0.0016375+0.0003328i,-0.0014016+0.0010496i,-0.00097629+0.0011823i,-1.1671e-05+0.00086246i,0.0009551+0.0012762i,0.00033416+0.0013995i,-0.00035537+0.00071544i,-0.00046098+0.0006571i,-4.0435e-05+0.00064254i,0.00023631+8.7373e-08i,0.00032935-0.0001244i,-2.4753e-06-0.00010727i,-7.3543e-05-5.439e-05i,-0.00044567+0.00011469i,-0.00098032+4.17e-05i,-0.00060649+0.00023064i,1.5588e-05+0.000665i
0.0017046-0.0013986i,0.0014861-0.0010917i,0.00011331-0.0014876i,-0.0015895-0.0016324i,-0.00091739-0.0020375i,0.00019927-0.001275i,-8.1082e-05-0.001182i,-0.0001617-0.0012i,0.00011989+0.00011484i,0.00046851+0.00066482i,0.00040854+0.00010041i,0.00039837-0.0010818i,0.00059926-0.00084706i,0.00084259-0.00057239i,0.00050195-0.00089082i,0.00031985-0.0006828i,-0.00017582-0.0007959i,-0.00018701-0.00082509i,0.00016353-0.00029324i,-0.00020013-3.8473e-05i,-0.00041564-0.00034434i,-0.0002336+0.00014207i,-0.00068762+0.00053149i
0.00097677-0.00048388i,0.0016308-0.00051595i,0.00064345-0.00090483i,-0.00015714-0.0014932i,-0.00031057-0.0012551i,-0.0010872-0.0010824i,-0.0020539-0.00072636i,-0.0017039+0.0001729i,-0.00082158+0.0001394i,-5.6424e-06-0.00056229i,0.00037696-0.0011201i,0.00079992-0.0013359i,0.0005239-0.0010031i,-0.0002492-0.0011463i,-0.00035001-0.00065207i,-0.00096779+0.0005098i,-0.0012405+0.0012601i,-0.00027918+0.0011766i,-0.00026612+0.00033903i,-0.0001899-0.00028805i,0.00074833-1.7244e-05i,0.00092194-0.00040806i,0.00071417-0.00077077i
0.00068675+0.00019948i,0.0012909+0.0015368i,0.00049583+0.001216i,-0.00050997-9.7931e-05i,-0.0010346-0.0014153i,-0.0019079-0.0017805i,-0.0024859-0.00036165i,-0.0018715+0.001515i,-0.00091363+0.0017203i,-0.00019004+0.0010494i,9.6661e-05+0.00054528i,-0.00021139+0.00064351i,-0.00078424+0.00075774i,-0.00039904+0.00037486i,4.8603e-05+2.4984e-05i,3.5587e-05-3.1387e-05i,-6.7243e-05-1.8223e-05i,0.00013651+8.231e-06i,0.00028172-0.00044359i,0.0003704-0.00050326i,0.00053458-6.7647e-06i,0.00019556+0.0003227i,-0.00029798-8.5481e-05i
-0.001126-0.0019023i,-0.0010283-0.0011131i,0.00042073-0.0002903i,-0.00061143-0.00087599i,-0.0016998-0.0017888i,-0.0011208-0.0011485i,-0.0010732+0.00084314i,-0.00074519+0.001117i,-0.00059907+0.00043433i,-0.00036852+0.00049197i,0.00092379+0.00026768i,0.0016208+0.00045062i,0.000965+0.0011197i,0.00021628+0.00065043i,0.00041063+0.00041134i,0.00069204-8.2769e-05i,0.00075144-0.00064832i,0.0010929-0.00052381i,0.00076646-0.00026085i,-0.00047206-0.00034679i,-0.0012344-0.0008164i,-0.00093591-0.00068029i,-0.00092467-0.00056063i
-0.00024405+0.00034158i,-0.00074897+1.5048e-05i,-0.00079048+0.00024697i,-0.0012248+0.00080807i,-0.0008398+2.2923e-05i,-0.00037499-0.0008143i,-0.0010362-0.00098802i,-0.0012275-8.2129e-05i,-0.00066022+0.00067865i,0.00034273+0.00036038i,0.0013133-0.00031365i,0.00097762-0.0010992i,0.00053422-0.0014258i,0.0007312-0.00056363i,0.00053493-0.0002482i,0.00066919-0.00097703i,0.00072324-0.00099488i,0.00012004-0.0011698i,0.00029324-0.0011199i,0.00031269-0.00027089i,0.00089339-0.00025822i,0.00071806-0.00053147i,-0.000333-0.00049349i
0.0019693+0.0014214i,0.0025546+0.00064521i,0.0031468-0.001641i,0.0023914-0.0025778i,0.0013511-0.0029487i,-0.00014765-0.0026528i,-0.001954-0.0011862i,-0.0022915+0.00036069i,-0.00080874+0.0011351i,0.00062256+0.00043701i,0.0010359-0.00019607i,0.0013555-0.00037332i,0.0015215-0.00081251i,0.0011658-0.00056534i,0.00095623+0.00029444i,0.0012652+0.00047678i,0.0012014+0.00021688i,0.00046407-9.1474e-05i,-3.8354e-05-2.9522e-05i,-5.2294e-05+0.00043437i,-0.00012058+0.00049322i,5.9119e-05+0.00060101i,0.00024857+0.00081041i
0.00090194-0.00068249i,0.0017344-0.0019153i,0.0018317-0.0025474i,0.00057374-0.0023192i,-0.00097735-0.0026705i,-0.0022273-0.0026457i,-0.0027938-0.0010673i,-0.002344+0.00027747i,-0.0011076+0.00027579i,-0.00035494+6.0937e-05i,-0.00047177-0.00054965i,-6.8235e-05-0.00058573i,0.00035894-5.3842e-05i,-0.00043624-0.00061592i,-0.00096475-0.0013987i,0.00020523-0.00072153i,0.00065092+0.00015585i,0.00017432+0.00045923i,0.00022745+0.00068986i,0.00065685+0.000242i,0.0007275-0.00041947i,0.00096959-0.00047143i,0.00056513-0.00069094i
0.00045572-0.00032922i,0.0026263+0.00092637i,0.0021935+0.0011542i,0.00073529-0.00020069i,-0.00060658-0.0018996i,-0.001413-0.0017208i,-0.0015482+0.00022089i,-0.0019446+0.0014106i,-0.0020388+0.0011578i,-0.0001494+0.00022864i,0.001361-0.00069018i,0.0016205-0.00070299i,0.0016759-0.00062075i,0.0019311-0.00055461i,0.0011387+0.00017092i,0.00015336+0.00017514i,0.00041664-0.00033508i,0.00039766-0.00093429i,0.00064429-0.0011269i,0.00031242-0.00026186i,-0.00029519-4.4603e-05i,-0.00043844-0.00046901i,-0.00035172+8.686e-05i
0.0020134+0.00024346i,0.0016089-0.00046304i,0.00065353-0.00051137i,0.00084076-0.00080172i,0.0012814-0.00079641i,0.0011265-0.0007061i,0.00023189-0.00048633i,-0.00065584-0.00014472i,-0.00043116+8.0742e-05i,1.4424e-05+0.00054076i,0.00056921-0.00034311i,0.00050672-0.0011978i,-0.00036714-0.0012236i,-0.00020656-0.00072252i,-6.3968e-05+0.0004933i,-0.00032568+0.00067078i,-0.00020556+0.00071634i,0.00022982+0.00085405i,-0.00031586+0.00085545i,-0.00093992+0.00010064i,-0.00057383-0.00072976i,0.00014044-0.00081663i,0.00045778-0.0010279i
-0.0016779+0.00027177i,-0.00082029+0.00049151i,0.00031311-0.00019741i,0.00078085-0.0011588i,0.00042459-0.0017629i,-0.00029812-0.0015404i,-0.0014386-0.0011979i,-0.0016389-0.00062089i,-0.00033916-0.00027638i,0.0011825+0.00024256i,0.0014008+0.0003586i,0.0010308+0.00037985i,0.00068663+0.00057065i,0.00074765+0.0008339i,0.00091804+0.0010237i,0.0006851+0.00078781i,0.00062677+0.00058467i,0.00054828+7.1909e-05i,4.2949e-05-0.00023751i,0.00012519-0.00025898i,-5.8448e-05+0.000109i,-0.00025755+0.00065154i,7.2332e-05+0.00096872i
0.0025308-0.0039358i,0.0015382-0.0044094i,-0.00015661-0.0051565i,-0.0018303-0.0044199i,-0.0032733-0.0038774i,-0.0032139-0.0031813i,-0.0019309-0.0018503i,-0.0011203-0.00042132i,0.00022182-1.712e-05i,0.00038955-0.00037784i,2.5973e-05-0.00027728i,0.00048718+8.3593e-05i,0.00049083+0.00012124i,6.5585e-05-0.00011521i,-7.9192e-05-0.00042843i,0.00055568-0.00025656i,0.00098337+0.00057672i,0.00023511+0.00028982i,-9.4504e-05-0.00086847i,-0.00012138-0.00057712i,0.00014331+0.00035562i,0.0002958+0.00054664i,0.0003767+8.757e-05i
0.0021338-0.00036894i,0.00097379-0.0010404i,7.4243e-06-0.0017768i,-0.0010088-0.00096397i,-0.001763-0.00021971i,-0.00175-0.000144i,-0.0019276+0.00012006i,-0.0014973+0.0011457i,-0.00046143+0.0010017i,-9.6035e-05+0.00027573i,0.00013336-0.00020544i,-4.5681e-05-0.00028498i,-0.00029334-0.00017981i,-0.00012186-0.00032346i,7.0931e-05+0.00021838i,-0.00035311+5.0514e-05i,-0.00071111-0.00079027i,-0.00051487-7.0352e-05i,0.00025816+0.0002699i,0.0005335+0.00076714i,6.1335e-05+0.00096903i,3.8778e-05+0.00057321i,2.2877e-05-0.00028577i
-0.00027692-5.7392e-05i,0.00037317+2.5776e-05i,0.00081343-0.00012066i,0.00056194-0.00050025i,-0.00033232-0.00060157i,-0.00078766-0.00052279i,-0.0013198-0.00024886i,-0.00079151+0.00080403i,1.4522e-05+0.00083593i,0.00010406+0.00038705i,-0.00013199-0.00075475i,3.8843e-05-0.0018512i,-6.1101e-05-0.0011912i,7.7392e-05+0.0001136i,0.00088936+5.3051e-05i,0.00070818-0.00017314i,0.00057668+0.00012307i,0.00091444+0.00016593i,5.0834e-05+0.00062481i,-0.00020782+0.00078612i,-0.00016374-8.0517e-05i,-0.00052847-0.00058811i,0.00024297-0.00025035i
0.00069477-0.0016375i,0.00039703-0.002091i,0.00082801-0.0028632i,-0.00015626-0.0028574i,-0.00073392-0.0033524i,-0.00044922-0.0031299i,-0.0003641-0.0020428i,0.00048792-0.00071286i,0.00093074+0.00012193i,0.00080752+0.00043872i,-0.00017368+0.00056589i,-0.00079081+0.00048346i,-0.00015717-3.9513e-05i,0.00016477+0.00030764i,0.00075778+0.00081586i,0.0010579+0.00019915i,0.00082107+0.00024755i,0.0012556+0.00076302i,0.00023162+0.0009667i,-0.00072253+0.00010939i,-0.00022039-0.00087001i,-0.00016301-0.00085281i,-0.00096129-0.00052738i
