-0.0012565+0.0008533i,-0.00043459+0.00040176i,-0.00075402+3.8287e-05i,-0.0010423+0.00010666i,-0.00089764+0.00090152i,-0.00063783+0.00074946i,-0.00069855+0.0010911i,0.00031426+0.0011258i,0.00078149+0.00048808i,0.00060203-5.8748e-05i,0.00072706-0.00078493i,1.4122e-05-0.001035i,0.00021536-0.00038569i,0.00024124+0.00029289i,7.3322e-05-0.00060834i,-5.7819e-05-0.0011072i,-8.1765e-05-7.6406e-05i,-0.00020529+0.00012417i,-0.00070866-0.00075149i,-0.00018811-0.00048859i,-0.00019576+0.0011713i,-0.00017894+0.0014852i,0.00031334+0.0004211i
0.00044051-0.00027181i,0.00061113-4.1078e-05i,0.00046042+0.00019642i,0.0007707+0.00034641i,0.0010161+0.00064583i,0.00061862+0.00081153i,0.00049235-0.00015803i,0.00089381-0.00098793i,0.00039532-0.0007394i,-0.00069847-3.0203e-05i,-0.00034904-4.5599e-05i,0.00054396-0.0001867i,0.00062291+7.9785e-05i,0.0004219-0.00013377i,0.00027615-0.00067918i,0.00035624-0.00043888i,0.00033636-0.0008484i,0.00012428-0.0018727i,-2.3733e-05-0.0013511i,-0.0004374-0.00049668i,-0.0010627-0.00067928i,-0.00081192+0.0001708i,-0.00058439+0.00081217i
-9.3426e-05-0.00017912i,-0.00023868+6.6043e-05i,0.00056244+0.00080124i,0.0013026+0.001221i,0.0014244+0.0006657i,0.0011074-0.0002239i,0.0007946-0.00037098i,0.00035342-0.0012729i,2.1331e-05-0.0021123i,-1.5532e-05-0.0014074i,0.00015907-0.00052749i,0.00035745-9.0699e-05i,0.00072493-0.00043013i,0.00053305-0.00057076i,0.00017473+0.00029629i,-0.00051818+0.0003517i,-0.00067352-0.00011771i,-0.00035623-8.7328e-05i,-0.00024306+0.00041638i,-0.00050569+0.00082358i,-0.00076287+0.0005208i,-0.00052775+7.4498e-05i,-0.00036163+0.00019276i
0.00064368+0.0010759i,0.0013052+0.0018236i,0.002547+0.0021306i,0.0038342+0.00075187i,0.002917-0.00056816i,0.001123-0.00079826i,0.00043389+0.00054692i,0.00051248+0.00074522i,0.0010738-0.00055214i,0.0006042-0.00053025i,-6.2505e-05-0.00047549i,0.00053752-0.00084088i,0.0014646-0.00082949i,0.0014379-0.0005821i,0.00081957-0.00054436i,0.00064624-0.00097875i,-1.8665e-05-0.0010275i,0.00047716-0.00038416i,0.0011655-0.00017542i,0.00064405-0.00078788i,0.00026519-0.00072688i,-0.00021552-0.00056676i,-8.6734e-05-0.00047519i
-0.0013456+0.0017868i,-0.0019853+0.0018231i,-0.00057413+0.0018889i,0.0017177+0.001651i,0.0022885+0.001357i,0.0021428+0.00072195i,0.0020159+1.1093e-05i,0.0011097-0.00060168i,0.00018994-0.00038413i,0.00066031-0.00018909i,0.00092554-0.00023048i,0.00049726-0.0003254i,0.00052774+2.9598e-05i,0.0007118+0.0006213i,0.00068563+0.00077606i,0.0005887+0.0005121i,0.00065651+0.00027928i,0.00054251-0.00022151i,0.00014649-0.00042563i,-0.00036765-0.0001975i,-0.00047315+0.00089784i,-0.00049594+0.0012951i,0.000163+0.00069368i
0.0021307+0.00054933i,0.0013278-0.00021775i,0.00091483-0.0005859i,0.00041193-0.00084848i,0.00058563-0.0010781i,0.00053947-0.00078286i,-0.00023384-0.00052896i,-0.00015498-0.00072042i,0.00020391-0.0015518i,0.00048983-0.0015794i,0.0005191-0.00060752i,-0.00037588-0.0002556i,-0.00071849-0.00053552i,-0.00017056-0.00044826i,5.1082e-05-8.5889e-05i,0.00020544-1.5375e-05i,6.147e-05-1.8627e-05i,-0.00026755-0.00029892i,0.00014469-0.00017874i,0.00065733-7.4473e-07i,0.0004618-0.00012888i,0.00013355+0.00025676i,-0.00022899-0.00016804i
0.00036982-7.027e-06i,0.00073752+0.0012002i,0.0014119+0.0021833i,0.0019614+0.0021264i,0.0012962+0.00033491i,0.00017972-0.00051397i,-0.00013328-0.00035092i,0.00050892-5.7382e-05i,0.00014624-0.00080724i,-0.00027848-0.0013033i,0.0001523-0.00096982i,0.00057015-0.00097692i,0.0009385-0.00068464i,0.0012362-6.4447e-05i,0.0014173-0.0002108i,0.0016277+3.5941e-05i,0.001193+0.0007397i,-8.1795e-05+0.00048466i,-0.00041065-0.00088902i,-0.00012675-0.0010941i,-0.00020177-0.0013489i,-0.00014092-0.0012418i,-0.00054367-0.00013156i
-0.0022142+0.00089482i,-0.0021138+0.0020208i,-0.0015422+0.002462i,-0.00093563+0.0024377i,-5.8329e-05+0.0021217i,0.0015005+0.00094445i,0.0017363-2.5879e-05i,0.0011346-0.00076495i,-9.3425e-05-0.001222i,-0.0011154-0.0007174i,-0.00034326-0.00018953i,0.00085426+0.00059616i,0.00037289+0.00084389i,-0.0003737-0.00022864i,-0.00063137-0.00077518i,-0.00059267-0.0003152i,-2.0393e-05-0.00018319i,-0.00039073+0.00029294i,-0.00070061+0.00088457i,-0.00085617-2.8661e-05i,-0.001075-0.00053635i,-0.00088082-0.00034924i,-0.0005716-0.00028531i
6.7414e-06+0.0030514i,0.00071246+0.002281i,0.0016967+0.003703i,0.0029164+0.0034375i,0.0026878+0.0010031i,0.0012609-0.00025821i,0.00064281-4.9076e-05i,0.00075831-0.00037006i,0.0006573-0.00038864i,0.00088685+0.00052321i,0.00027311+0.00014584i,-0.0010852-6.8091e-05i,-0.00087964+3.9701e-05i,-0.00023578+0.00032647i,-0.00059668+0.00064603i,-0.00033313+0.0003845i,0.00027462+0.00021772i,0.0009267+0.00032607i,0.0010181+0.00061935i,0.00021441-0.00012854i,8.6512e-05-0.00047488i,0.00018975+0.0002211i,-0.00023438+0.00055139i
-3.6145e-05+0.00099612i,-0.00011913+0.001223i,0.0018791+0.00070208i,0.0016838+0.00034377i,0.00034429-0.00021671i,-0.00044324-0.00027389i,6.8923e-05+0.00050001i,0.0010711+0.00028724i,0.00047897-0.00032845i,-0.00014089-0.00089981i,0.00069242-0.00078094i,0.0010526+2.7761e-06i,-0.00016436-0.00024865i,-0.00020027-0.00080961i,0.00040938-0.00076277i,0.00010319-0.00033166i,-5.7931e-05+0.00035932i,-0.0005998+0.00022267i,-5.3581e-05-0.00030795i,0.00059025+7.3787e-05i,6.785e-05+0.00036683i,0.00033435-0.00032943i,0.0013542-0.00079253i
0.0021489+0.0014254i,0.0025677+0.00078416i,0.0045561+0.0010299i,0.003821+0.0015132i,0.0018282+0.0008077i,0.00065447+0.00043169i,0.00067997-9.5757e-05i,0.00096551-0.00049551i,0.00028428-0.00057459i,-0.00021898-0.00079066i,0.00043858-0.00079835i,0.0010516-9.2022e-05i,0.00040706+0.00025375i,5.2298e-05-0.00035256i,0.00023712-0.00054112i,0.00041909-4.1456e-05i,0.00045192-2.5996e-05i,0.00011398+7.1359e-05i,0.00023618-0.0006136i,-0.00010257-0.0013758i,-0.00038282-0.0010141i,0.00018051-0.00099753i,0.0003551-0.00084386i
-0.00091523+0.00023381i,-0.00049957-5.9258e-05i,3.4296e-05+0.00088411i,0.00057521+0.0016513i,0.00088068+0.0013511i,0.0012557+0.001151i,0.0011522+0.00094261i,-0.00018342-5.0873e-05i,-0.0009173-0.0013895i,-0.00013806-0.0018426i,0.00022442-0.0010276i,0.00015686-3.1879e-05i,0.00021397+0.00066469i,0.00018639+0.00040232i,-0.00023595-0.0003936i,-0.00018758-0.00045099i,0.00093369+0.00021996i,0.0016916+0.00043166i,0.0010209-0.00033954i,0.00042703-0.00069446i,8.9138e-05-0.00019045i,3.6646e-05-0.00033655i,-0.00016928-0.00024624i
0.0016068+0.00058316i,0.00074955+0.00099035i,0.0014663+0.0014479i,0.0026758+0.00063235i,0.002962-0.00063389i,0.0020051-0.00047771i,0.00074233+0.00030553i,0.00070882-0.00039466i,0.00087934-0.0014456i,0.00041812-0.0013919i,-0.00058725-0.00085656i,-0.00069722-0.00024675i,0.00030488+4.2605e-05i,7.4675e-05-0.00035414i,-0.00059486-0.0011159i,-0.00075456-0.0011349i,-0.00053455-0.00098839i,-0.00015591-0.00098115i,0.00018558-0.00058328i,0.000336-0.00058264i,0.00073614-0.000402i,0.00040104+0.00051174i,-0.00054212+0.00012653i
-0.0010764-0.0006572i,-0.0021687-0.00090191i,-0.0011623-0.00027i,0.00041319+0.00070075i,0.0013789+0.00057639i,0.0010125+0.00068813i,0.00031671+0.00088014i,4.2296e-05+0.0001416i,0.00042245-0.00056367i,0.00051631-0.00083601i,0.00024764-0.0008917i,-0.0003447-0.00056213i,-0.00069783-0.00023085i,0.00026158-1.7207e-05i,-0.00026076+0.000289i,-0.00098312+0.00031864i,-6.3264e-05+0.00010418i,0.00066056+9.421e-05i,0.00065464+0.00014428i,0.00038028-0.0010041i,0.00017086-0.0016284i,-0.00012814-0.00091557i,-0.00090279-0.00029491i
-0.0013359+0.0011479i,-0.00088758+0.0011283i,-0.00021089+0.0014879i,0.0006431+0.0015675i,0.00039807+0.000723i,-9.3556e-05-0.0001984i,5.1503e-06-0.00012506i,0.00013223+0.00011651i,0.00010998-0.00015633i,-0.00025232+0.00012325i,-0.00075568+5.8359e-05i,-0.0010384+0.00022597i,-0.00080448+0.00059807i,-3.8111e-05+1.3032e-05i,0.00079773+0.00017839i,0.00073793+0.00086544i,-0.00030934+0.0012815i,-0.00070059+0.0007511i,-8.4286e-05+0.0004512i,0.00031535+0.00045505i,-0.00018181+0.00022804i,-0.00057246+0.00016421i,0.00051958+0.0003056i
-0.0013336-0.00065529i,0.00040743+0.00095857i,0.00046693+0.00078483i,0.00085124+0.00058264i,0.0012747+0.00065002i,0.00085591+0.00030479i,0.0010248+0.00013865i,0.0013378-0.00010072i,0.0010554-0.00077673i,0.00041993-0.00044499i,-4.1742e-05+0.00023893i,-0.00016829+0.00051777i,0.00032141+0.00081304i,0.0012028+0.0013044i,0.0014776+0.0013581i,0.0012515+0.00042522i,0.0010814-0.00056505i,0.0012149-0.0012557i,0.0012462-0.0014625i,0.0012505-0.00022666i,0.00048554+0.0010511i,-0.00010414+0.00087565i,-1.2584e-05+0.00017822i
-0.0002589+0.0006982i,-0.0013734+0.00028391i,-0.0011132+0.00081807i,-3.3938e-05+0.00081779i,-0.00023156-0.0005727i,-0.0012532-0.00046867i,-0.000724-0.00019952i,0.00087065-0.00068124i,0.00081895-0.0011171i,-0.00042271-0.0012563i,-0.00074017-0.00097013i,-0.00023266-0.00032305i,0.00060142-8.7618e-05i,0.00067107-0.00030658i,0.0002253-0.00028316i,0.00015934-0.00033238i,-0.00021454-0.00045123i,-0.00012338-0.00031901i,7.8738e-05-0.00055531i,5.8031e-05-0.0010589i,0.0010373-0.0011543i,0.00099357-0.00060392i,0.0002442-0.00014445i
-0.00013113-0.0016731i,-0.00017863-0.00085848i,0.00031939-0.00035698i,0.0012608+7.4545e-05i,0.001494-0.00016857i,0.0013489-0.00013186i,0.0014124+0.00029292i,0.00085787-0.00055975i,-0.00030217-0.00086049i,-0.00023812-0.00034865i,0.00043984-0.0008123i,0.00090735-0.0011557i,0.00094076-0.00023i,-0.00014571+0.00049627i,-7.6537e-05+0.00028237i,0.00050742+0.00023947i,0.00023011-0.00010736i,0.00050799-0.0008559i,0.00079093-0.00067837i,0.00019129-0.00090783i,-0.00053317-0.0010084i,-1.9056e-05+0.0001803i,0.0013058+0.00047181i
-3.7027e-05-0.00079591i,-0.00052556-0.00037272i,-0.00099429+0.0004123i,0.0004809+0.0018174i,0.00080509+0.00065568i,0.00023745-0.00081777i,0.00055105-0.00035258i,0.0011446-1.8511e-05i,0.0007932-8.7654e-05i,0.0005531-1.7676e-05i,0.00068121-0.00047554i,0.00074005-0.00051184i,0.00058489-6.9747e-05i,-0.00030301+1.9971e-05i,-0.00066819-8.2574e-05i,-0.00055112-0.00063131i,-0.00065209-0.00037051i,7.4831e-05+3.89e-05i,0.00075978+0.00031022i,0.00043531+0.00039558i,-0.00011896+0.00019284i,-0.00028293+0.00030461i,0.0003955-0.00023502i
0.00099274-0.0033844i,-0.00058084-0.0030036i,-0.0017597-0.0024997i,-0.00086275-0.0013448i,-4.6207e-05-0.00043359i,0.0011574+6.6439e-05i,0.001313+0.00059691i,0.00069858-2.3123e-05i,0.0011834-0.0009987i,0.00072132-3.2413e-05i,-0.00079652+0.0009699i,-0.0013927+0.00093083i,-0.00084399+0.0013942i,-0.00074208+0.001303i,-0.0010437+0.0011586i,-0.0003704+0.0013357i,0.0004722+0.0015575i,0.00065759+0.001073i,0.00024951-0.00042352i,-7.3379e-05-0.00087207i,-0.00032092-0.00010436i,-0.00073643+0.00043382i,-0.00090447-0.00015574i
0.00051855-0.0020835i,0.00054664-0.0010185i,0.00093528-0.00012421i,0.0022863-0.0004303i,0.0023526-0.00035016i,0.0011781+0.001225i,0.0018081+0.0011207i,0.0018753+0.00016979i,0.00022376-0.00072888i,-0.0010614-0.0018366i,-0.0013585-0.0017225i,-0.0014819-0.00077459i,-0.00073194-0.00018492i,-0.00022906-0.00028167i,-0.00030988-0.0005207i,-0.00064635-0.00055978i,0.00010162-0.00044831i,0.00082869-0.00056508i,0.00075771-0.00024357i,0.00070854-0.00013605i,0.00056052-0.00068688i,-0.00015688-0.0005202i,-0.00061935+0.00026384i
0.0021272+4.3202e-05i,0.00142+5.7566e-05i,0.0019682-0.00062978i,0.0021944-0.00061915i,0.001094-0.0011461i,-0.00032255-0.0013935i,-0.0010991-0.00057133i,-0.00053843-0.00028011i,-0.00056042-0.0007388i,-0.00076107-0.0010108i,0.00033227+0.00048687i,0.0006187+0.001266i,-0.00018782+0.00032487i,2.2739e-05-0.00037256i,0.00034537+5.9536e-05i,-4.7563e-05+0.00014184i,-0.00022981-0.00022533i,8.1435e-05-0.00041176i,0.00096112-0.00011614i,0.0010971-7.1827e-05i,0.00055576-7.7747e-05i,-0.0003719-1.4289e-05i,-0.00012494-0.00019582i
0.0010529+0.0013761i,0.0025823+0.0011493i,0.0033213+0.0017199i,0.0034724+0.001611i,0.0026834+0.00033584i,0.0017864-0.00064168i,0.0015025-0.00073055i,0.0016777-0.00053415i,0.0014659-0.00097784i,0.0011432-0.00087376i,0.0012159+0.00024897i,0.00079758+0.00039136i,0.00054161+0.00071541i,0.00050539+0.0007968i,0.00033186+0.00050623i,0.00070798+0.00028886i,0.00086842+0.00022636i,0.00027439-7.6914e-05i,-0.00021125-7.7383e-05i,-0.00015918-8.0954e-05i,0.00024124-0.001171i,0.00018617-0.001639i,0.0002145-0.0011794i
-0.0023687+0.00078164i,-0.0029242+0.00051483i,-0.0032602+0.001722i,-0.0013352+0.0014873i,0.00082212+0.001043i,0.00058683+0.00057692i,-0.00068599-0.00027051i,-2.6485e-05-0.00047059i,0.00054738-9.2011e-05i,0.00068945+0.00024935i,0.0005224+0.00044461i,-0.00025872+0.00063734i,-0.00019064+0.00052018i,0.00064553+0.00037532i,0.000685+0.00011555i,-0.00048195-0.00022484i,-0.00081625+0.00024086i,-0.00013839+0.00041884i,0.00031397-0.00021435i,0.00021708-0.00065989i,-0.00049462-0.00031568i,-0.00094093+0.00068361i,-0.00074906+0.00068353i
0.0012491-0.00080726i,0.00078651-0.0011936i,0.0018522-0.00016915i,0.0020567+0.0012569i,0.0012988+0.0013998i,0.00051468+0.0013685i,0.00043947+0.00070948i,0.0010945-0.00094091i,0.00090499-0.0011803i,0.0005269-0.0012107i,0.00071634-0.0010606i,0.00039423-0.00075578i,-1.0264e-05-0.00022638i,-5.0934e-05+0.00063881i,-9.5969e-05+0.00015437i,0.00010294-1.4269e-05i,0.00035808+0.00018819i,0.0003321+4.1885e-05i,0.00036281-0.00015116i,0.00059794-0.00027743i,0.00017289-0.00028483i,-0.00053823+0.00010923i,-0.00020411+0.00011248i
0.000194-0.00022372i,0.00048372+0.00051669i,0.0014596+0.0010036i,0.0010431+0.00084113i,0.00040591+0.00048863i,0.00029095+0.00082695i,0.00050046+0.00047462i,0.0016366-0.0010714i,0.0017652-0.0010661i,0.00034488-0.00015027i,-0.0005329-0.00025105i,-5.5917e-05-0.00058047i,0.00024887-0.00045095i,0.00083372+0.00023551i,0.00081691-0.00017967i,0.00065237-0.0010133i,0.00087638-0.00048058i,0.00081953+0.0006479i,0.00030845+0.0011698i,-3.5759e-05+0.00063198i,0.00035626+0.00029414i,4.6492e-05-0.00015728i,0.00040633-0.00025059i
0.0021327-0.00084721i,0.0026182-0.00072322i,0.0032385-0.00086371i,0.0043558-0.00016318i,0.0035903-0.00059293i,0.0016806-0.0014178i,0.0013858-0.00037328i,0.0011795+0.00024488i,0.00083845-0.0011617i,0.00067795-0.0016869i,-0.00014516-0.00076824i,-0.0010743-0.00024264i,-0.00080151+0.00037713i,-0.00037123+0.00027536i,0.00041621-0.00044665i,0.00065522+0.0001469i,0.00050637+0.0006257i,0.00035782+0.00041229i,-5.8371e-05+0.00016628i,-0.00049665-6.7479e-05i,-0.00046761-0.00046427i,0.00015867-0.00060495i,0.00036735-0.00064527i
0.0013564-0.00018947i,9.0683e-05+0.00052218i,0.001018+0.00015284i,0.0016407-0.00039654i,0.00089891-0.00079779i,0.00046187+0.00041229i,0.0011124+0.0014182i,0.0020954-6.8428e-05i,0.002284-0.0016813i,0.001439-0.0012748i,0.00036061-0.00025501i,0.00051669+0.00044858i,0.00015933+0.00045256i,-0.0010106-2.7626e-06i,-0.00060855-0.00013189i,0.00086401+0.00023691i,0.0015859+0.00015747i,0.0010787-0.00013178i,0.00026798-0.00024234i,-7.6614e-06-0.00021286i,-0.00016329-0.00026668i,-0.00060176-0.00025817i,-0.00014568-0.00022886i
-0.0030768+0.00091414i,-0.0021581+0.0010924i,-0.0018778+0.0012311i,0.00011024+0.0028584i,0.0012286+0.0031304i,0.001273+0.0015526i,0.00095351+0.00052276i,0.0010633-0.00083289i,0.0009899-0.0012045i,0.0009187+3.4229e-05i,0.0010392+0.00048923i,0.00085463+1.9869e-05i,0.00042274+0.00030175i,-0.00027431+0.00066071i,-9.3639e-05+0.00039007i,0.00044847-0.00013306i,0.00071606-0.00069145i,0.00018392-0.0011614i,-0.00058703-0.0012736i,-0.001088-0.00093266i,-0.0015673-0.00026679i,-0.0006084+0.00044721i,9.5746e-06+0.00071421i
-0.00025194-0.0020179i,0.00025528-0.0014013i,0.000366-0.0014224i,0.00079447-0.00074067i,-8.1944e-05+0.00030311i,-0.0013435+0.00032579i,-0.0011567-0.00034862i,0.0007023-0.00057298i,0.001148-0.00044614i,0.00064383-0.00061508i,0.00079439-0.0003026i,0.0012986+0.00016677i,0.0015191+0.00026082i,0.00080714+0.00012894i,0.00025891-5.8117e-05i,-1.8197e-06-4.2456e-05i,8.1221e-05-1.9775e-05i,0.00016757-0.00037337i,0.00019566-0.00088404i,0.00011886-0.00089501i,-2.374e-05-0.00026998i,7.4718e-05+0.00072367i,0.00034718+0.00065661i
-0.00067841+0.0014128i,-0.00074098+0.0021937i,0.0004691+0.0015627i,0.0016748+0.0015847i,0.0015354+0.0011841i,0.00068508+0.00059973i,0.0010282+0.00037201i,0.0014691+0.00035649i,0.0010635-0.00038064i,0.00032642-0.0014652i,-0.00080501-0.0011334i,-0.0011302-0.00053731i,-0.00023377+5.4709e-05i,0.00059207+0.00052016i,0.00015673-6.5336e-05i,-0.00095259-0.00031388i,-0.0011045+0.00028337i,0.00023162+0.00014755i,0.00051702+0.00048922i,-0.00031522+0.00087998i,-0.000464+0.00086588i,-0.00017604+0.00041239i,0.0005556-0.00038213i
0.0010436-0.00099874i,0.0014915+0.00083556i,0.0023853+0.0016804i,0.0024595+0.00059352i,0.0020651-0.00091911i,0.0011102-0.00031647i,0.00058571+0.00067685i,0.00092089+0.00076525i,0.001027-0.00036594i,0.00051363-0.00088649i,-0.00017431-0.00085022i,-0.00039333-0.0010243i,-9.7643e-05-0.0006604i,-0.00013937+0.00027604i,0.00017675+0.00051395i,0.00076749-5.2129e-05i,0.0011444-0.00045729i,0.0014266-0.00013642i,0.0011674+0.0005578i,0.00060654+0.00044994i,-0.00012435-0.00070362i,-0.00059782-0.0009476i,-0.00054796-6.4079e-05i
0.0017447-0.00026947i,0.0011903-0.00037791i,0.001515-5.2897e-05i,0.0018631-0.00032367i,0.0010829-0.0011622i,-0.00013938-0.0010004i,1.7997e-05+0.00033402i,0.00064792+0.00032694i,0.0004321-0.00056811i,-0.00024084-0.00054162i,-0.00066867-5.0447e-06i,-0.00054255+0.00081498i,-0.00049589+0.0010782i,-0.00066024+0.00043592i,-0.00058007+0.00010358i,0.00059183+0.00034371i,0.0011046+0.00029139i,0.00055579+0.00010589i,0.00059251-0.00012894i,0.00073148-0.00015773i,4.4858e-05-0.00014303i,-0.0004642-0.00026858i,-0.00094241-0.00070474i
0.0023246+0.00068222i,0.0011547+0.0012559i,0.0014588+0.00078737i,0.0019246+0.000366i,0.0011949+0.0004398i,0.00042773-0.00041013i,4.18e-05-0.00022285i,0.00053413-4.0445e-05i,0.0014553-0.0013133i,0.001607-0.0016255i,0.0012626-0.0004077i,0.0009378+0.00016311i,0.00074032-0.00020958i,0.00031404-0.00055203i,0.00066627-0.00034467i,0.00099162-0.00063713i,0.00051808-0.00096601i,0.00030727-0.00098155i,0.00022229-0.00066736i,0.00015879-0.00060701i,-0.00022165-0.00048969i,-0.00068795-7.6947e-05i,-0.00034188-3.9035e-05i
-0.0027066+0.0012801i,-0.0028186+0.0015773i,-0.0022016+0.0034012i,-0.00017586+0.0036641i,0.0013722+0.0023449i,0.0014333+0.0011756i,0.0011896+0.00056674i,0.0015138-0.00043926i,0.0012289-0.00060998i,0.00040433+8.337e-05i,0.00053972+0.00023994i,0.0010472+3.2813e-05i,0.0010439+0.00048365i,0.00019108+0.00024681i,-6.6578e-05-0.00033789i,0.00055945+0.00010725i,0.00075918+0.00040477i,0.0003672+6.6153e-05i,0.0001812-0.00011461i,0.0003112-0.00028436i,-0.00010491-0.00054964i,-0.00014959-0.00043595i,0.00073659+0.00010537i
0.0017317+0.00057098i,0.001905+0.0012667i,0.0025554+0.0014182i,0.0030837+6.0346e-05i,0.0029431-0.0013996i,0.0016233-0.00043858i,-0.00027785+0.00048899i,0.00031362+0.00036462i,0.00094553-0.00018174i,0.00060229-0.00056666i,0.00053028-6.7817e-05i,4.9725e-05+0.00028703i,0.00012341-0.00020472i,0.0011487-0.00081995i,0.0012449-0.00053513i,0.00064494+0.00056984i,0.00010181+0.00047597i,-0.00013764-9.2603e-05i,-0.00023129+0.00036479i,-0.00036572+0.0010355i,0.00013361+0.0013072i,0.00047049+0.00091726i,0.0002441+0.00032906i
0.001644+0.00020664i,0.0019171-0.00012486i,0.002252+0.00045486i,0.0024439+0.00041457i,0.0010713-0.00071112i,-0.00080442-0.0013749i,-0.00020192-0.0012315i,0.0013361-0.0011916i,0.0015017-0.0013731i,0.0014078-0.0010252i,0.00082926-0.0012601i,-0.00022274-0.0014264i,-0.00036513-0.00066513i,-0.00046866-0.00043053i,-0.00031695+0.00018798i,0.00043334+0.0007851i,0.00076257+0.00071153i,0.00046282+0.0011251i,0.00079466+0.0011713i,0.00075141+0.00043236i,0.00035701-0.0001812i,7.7067e-05-0.00020121i,0.00020135+0.00028514i
0.00038605+0.0011166i,-0.00039862+0.0011999i,0.00012506+0.0020706i,0.0010844+0.002072i,0.0018511+0.0012099i,0.0012129+0.00073953i,0.00063064+0.001026i,0.0018587+0.00020993i,0.0020641-0.00099852i,0.00095794-0.00083005i,7.4566e-05+0.00025267i,0.00027661+0.00050491i,0.00089526+0.00062346i,0.00082105-2.4014e-05i,4.9441e-05-0.00048317i,-3.7181e-05+0.00091244i,0.00027745+0.0014535i,0.00032022-0.00019437i,0.0011102-0.0010551i,0.00048555-0.00077785i,-0.00011084-0.00053752i,-0.0001369-6.3229e-05i,-0.000273-0.00035938i
0.0017454-0.0010836i,0.0018779-0.00048251i,0.0020691-0.00060246i,0.0016657-0.00029081i,0.0016256-0.00031556i,0.0015708-0.00069303i,0.0016643-0.00054539i,0.0018653-0.00077445i,0.001707-0.0013473i,0.0013637-0.00086194i,0.0002941+2.9423e-05i,-0.00060806+0.00034099i,-0.00019246+0.00059232i,0.00034471-0.00020841i,0.00049182-0.0010988i,0.00037331-0.00052158i,4.1199e-05-0.00036822i,0.00041384-0.00096451i,0.00071602-0.0009326i,0.00015903-0.00078854i,0.00023676-0.00023192i,0.00043596-7.3167e-05i,0.0003329-0.00025404i
0.001329+0.0014338i,0.0016572+0.0014194i,0.002467+0.0023136i,0.0028747+0.0019884i,0.0022308+0.00018552i,0.00053778-0.0016067i,0.0001949-0.0012648i,0.00085306-0.00070645i,0.00054278-0.00070257i,0.00039572-0.00051602i,0.00037732-0.00060293i,-0.00011855-0.00045554i,0.00057217-0.00042867i,0.0012739-0.00068611i,0.00069413-0.00036083i,0.00073683+4.0941e-05i,0.0008959-7.3994e-05i,0.00058414-0.00028441i,0.00026717-0.0007635i,-1.4181e-05-0.00043095i,-0.00012933+0.00062126i,0.00058397+0.00078236i,0.00086317+5.8319e-05i
0.0012368+0.00086615i,0.00098344+0.0017305i,0.0016108+0.0014937i,0.0023026-0.00044062i,0.0019799-0.0017122i,0.00059662-0.00096743i,0.00024232+0.00020384i,0.00050604+0.00037877i,0.00058936-0.00056091i,0.0010512-0.00057208i,0.0011123-0.00054466i,0.00063382-0.00081842i,2.4036e-05-0.00083392i,-0.00047918-0.0007309i,-0.00033382-0.00096043i,-0.00025145-0.0011918i,-0.00065348-0.00043943i,-0.00087754-0.00010082i,-5.7563e-05-0.00086538i,0.00041624-0.00043937i,0.0002201+0.00023006i,0.0003727-9.9681e-06i,0.00016595+2.926e-05i
-0.0005957+0.0012777i,-0.00052356+0.0023993i,-0.00014968+0.002235i,0.0012408+0.0010842i,0.0020283+0.00043313i,0.001103+0.00049336i,0.00017674+0.0006355i,0.0006961+0.00033525i,0.0007707-0.00048255i,9.3424e-05-0.0002233i,0.00046581-0.00066168i,0.00036072-0.0014287i,-0.00047843-0.00087316i,-0.00039423+0.00023013i,-0.00029356+0.00080559i,-0.00047146+0.00092985i,0.00023218+0.00078265i,0.00084288+0.00028564i,0.00065852+0.0002111i,0.00020965+7.2565e-05i,8.1115e-05-0.00035043i,-6.4008e-06-0.00038542i,0.00028505-0.00031875i
0.00083813+0.003355i,0.00044173+0.0039824i,0.0010773+0.0033925i,0.0024741+0.0018828i,0.0023254+0.00056978i,0.0023217-0.00010208i,0.0024488+0.00028129i,0.0028784-1.517e-05i,0.0029193-5.2002e-05i,0.001902-0.00012161i,0.0012517-0.00015167i,0.00063282+0.00017773i,0.0001688+6.2304e-05i,0.00046949+0.00010095i,0.0011093+0.00084769i,0.001201+0.00097584i,0.00040101+8.0181e-05i,0.00034503-0.00032388i,0.00073563+6.1746e-05i,0.00011091+0.00024785i,-0.00062333+0.00037826i,-0.00033386+0.00077858i,0.00059602+0.00057758i
-0.0015255+0.00031786i,-0.0018208+0.00073423i,-0.0013424+0.00087705i,0.00036523+0.0010891i,0.0014034+0.00085868i,0.00051388+0.00088535i,-0.00011429+0.00055148i,0.00084136-0.00040318i,0.0017735-0.00014657i,0.0016947-0.00036196i,0.0011559-0.00082171i,0.00019861+0.00016279i,-0.0005982+0.00095485i,-0.0003044+0.0001516i,6.2972e-05-0.00028624i,0.00014118+0.00028575i,-8.813e-06+0.00043079i,0.00040396+0.00049481i,0.00047322-1.734e-05i,-0.00021686-0.00055182i,-0.00018724-0.00057812i,-8.9247e-05-0.00044333i,1.3087e-05+0.00029514i
