-0.0012151-0.0010687i,-0.0011739-0.0021901i,-0.00055494-0.0019679i,-0.00073476-0.00094725i,-0.00088794+0.0011425i,-0.00071884+0.0033391i,0.00031952+0.0029796i,0.0014771+0.0017884i,0.00085582+0.00062869i,0.00023191-0.00051541i,0.00051044-0.00054795i,0.00060139-0.00059434i,4.5783e-05-0.0010119i,-0.00054236-0.0010957i,-0.00063508-0.00043799i,-0.0003587+3.8043e-05i,2.7299e-05+2.7819e-05i,0.00036948+0.00073765i,0.0007377+0.00092089i,0.00074884-0.00034569i,0.00085977-0.00095143i,0.00060458-0.0005872i,-0.00033463+0.00029116i
0.11026+0.043195i,0.09017+0.034115i,0.047423+0.017641i,0.011416+0.0034979i,-0.0057989-0.0010294i,-0.009181+0.0002441i,-0.0056743+0.0014057i,-0.0004741+0.00040686i,0.0030044-0.0014505i,0.0018562-0.0016158i,-0.0013703-7.3229e-05i,-0.0028673+0.0027011i,-0.0024967+0.0064573i,-0.0017127+0.0074869i,-0.0011026+0.0048084i,0.001256+0.0023158i,0.0030218+7.3391e-05i,0.0021023-0.0017277i,0.00054298-0.0019271i,-0.00016594-0.00059583i,-0.00050038+0.00037026i,-0.00094412+0.00019803i,-0.0016738+5.3193e-05i
0.083522-0.086182i,0.069512-0.071135i,0.039072-0.035667i,0.013233-0.0069182i,0.0019524+0.0056862i,-0.0008667+0.0091586i,-0.0013908+0.006585i,-0.0018375+0.0004461i,-0.0019654-0.0035392i,-0.001412-0.0034704i,-0.0011013-0.0023537i,-0.00042047-0.0032827i,0.0010228-0.0050326i,0.0017545-0.0044705i,0.0025894-0.0025419i,0.003699-0.0016038i,0.0020506-0.0014107i,-0.00024644-0.00048025i,-0.00081146+1.4674e-05i,-0.00049446-0.0005782i,-0.00023131-0.00096231i,7.3881e-05-0.00067662i,0.00013703+0.00042665i
-0.049418-0.11692i,-0.044744-0.096645i,-0.024055-0.056312i,-0.0060045-0.020929i,0.0025229-0.0021481i,0.006135+0.0040202i,0.0042511+0.0031594i,-0.00080446+0.00092853i,-0.0033596-0.00052058i,-0.0024149-0.00018945i,-0.00021214+0.0013494i,0.0026873+0.001479i,0.0047568+0.000385i,0.0044225-0.00052293i,0.0025173-0.0013134i,0.00043264-0.001951i,-0.0014889-0.0019365i,-0.0019782-0.0016869i,-0.00095605-0.0020035i,-0.00077505-0.0017421i,-0.00038547-0.00053585i,2.9775e-05+0.00045726i,-3.0437e-05+0.00073118i
-0.12545+0.0054924i,-0.10613+0.0086355i,-0.060188+0.001645i,-0.021467-0.0049562i,-0.0033197-0.0061464i,0.003253-0.0054747i,0.0036355-0.0026054i,0.00085491+0.0016802i,0.00019977+0.0043958i,0.00080092+0.0031253i,0.00045172+0.0013311i,-0.0029684+0.00088318i,-0.0070751+0.00030167i,-0.0072184+0.00031602i,-0.0050765-8.7275e-05i,-0.0036583-0.00055866i,-0.0019272+0.0006344i,9.9107e-05+0.0016006i,0.00046731+0.00086172i,-0.001036+0.00032138i,-0.0015814-2.8267e-05i,-0.00032295-0.0013285i,0.00065025-0.0017356i
-0.04086+0.11818i,-0.029194+0.10223i,-0.019019+0.058186i,-0.012358+0.020835i,-0.0087228+0.0028218i,-0.0058495-0.0041746i,-0.0026418-0.0036526i,0.00086852-5.7432e-05i,0.0039968+0.00088579i,0.0036268-0.00092653i,0.0014879-0.0030857i,0.00093128-0.0043789i,0.00094197-0.0041461i,0.0007324-0.0021384i,-0.0002416-7.6685e-05i,-0.0017251+0.0011671i,-0.001283+0.00092232i,8.9497e-07+0.0006572i,9.3077e-05+0.0016731i,-0.00039288+0.0011352i,-0.00089458-0.0001556i,-0.00029954-0.00075093i,0.00056959-0.0015266i
0.098096+0.086301i,0.089793+0.067197i,0.052986+0.042716i,0.019822+0.022401i,0.0036184+0.0097007i,-0.0037605+0.0029927i,-0.0047927+0.00090386i,-0.00063711-0.00039542i,0.0032626-0.0019342i,0.0021965-0.0016914i,9.6894e-05-0.00033894i,0.00046578+0.0027962i,0.0019455+0.0066108i,0.0032644+0.0063357i,0.0023929+0.0037703i,0.0013362+0.002108i,0.0021893+0.00043148i,0.0018018-0.00095369i,0.00085907-0.0010969i,0.0010376+0.00038295i,0.0006418+0.0011883i,-0.00054254+0.0020733i,-0.0014382+0.0026802i
0.11682-0.061725i,0.095328-0.065428i,0.058975-0.040036i,0.029593-0.013777i,0.012927-0.0018833i,0.0024654+0.0035109i,-0.0025824+0.0042797i,-0.002911+0.00031492i,-0.0025308-0.0025654i,-0.0032211-0.0015433i,-0.0039414+0.00017797i,-0.0049449-0.00052678i,-0.0050224-0.0021767i,-0.0032269-0.0025161i,-0.0012284-0.0016879i,0.00077557-0.00068905i,0.0017777-0.00039791i,0.00065605-0.00013956i,0.00058944-2.2583e-07i,0.0016491+0.00025532i,0.0015318+0.00028566i,0.00036421+2.8223e-05i,-0.00027581+0.00063125i
-0.014024-0.13089i,-0.025234-0.11142i,-0.014061-0.068058i,0.00074825-0.032638i,0.006433-0.014241i,0.0068777-0.0017751i,0.0046031+0.0040489i,0.00048273+0.0031854i,-0.0018031+0.0020597i,-0.00087484+0.001734i,0.0018079+0.0011685i,0.0041552-0.0012083i,0.0058943-0.0044525i,0.0056043-0.004377i,0.0031476-0.0024026i,0.0010165-0.0023915i,-0.00048171-0.003231i,-0.0010787-0.0021479i,-0.00046071-0.0013101i,0.00020582-0.0014304i,0.00049788-0.0016164i,0.0014973-0.0018323i,0.0017095-0.00053876i
-0.13207-0.038805i,-0.12289-0.017572i,-0.081184-0.010122i,-0.039853-0.0088521i,-0.017114-0.0064367i,-0.0044829-0.0036952i,0.0023837-0.001602i,0.0023083+0.0012287i,0.00064195+0.0035575i,0.0013533+0.0029827i,0.0017867+0.0026821i,-0.00017581+0.0036938i,-0.0027445+0.0051089i,-0.003266+0.0051881i,-0.0020537+0.0034253i,-0.00090532+0.0018683i,-0.00019918+0.0015268i,0.00088316+0.00093843i,0.0015339-0.00079489i,6.645e-05-0.0017812i,-0.001433-0.001562i,-0.0012097-0.0014244i,-0.00074688-0.0010417i
-0.079476+0.10798i,-0.052169+0.10905i,-0.030685+0.072708i,-0.020276+0.033694i,-0.013042+0.01391i,-0.0058561+0.003274i,-0.00029399-0.0014025i,0.0031641+0.00023456i,0.0045941+0.0015434i,0.0029339-0.00030489i,0.0011083-0.0028999i,-0.00045586-0.0042657i,-0.002662-0.0041039i,-0.0024663-0.0024034i,-0.0016098-0.0006644i,-0.0019304+0.00016893i,-0.0016898+0.00069248i,-0.00029184+0.00066163i,-7.9874e-05+0.00038994i,-0.0016962+0.0013564i,-0.0027844+0.0012851i,-0.0018295-0.00032019i,-0.0010755-0.00086697i
0.069905+0.11314i,0.082962+0.090157i,0.058517+0.059903i,0.02786+0.036307i,0.013172+0.019199i,0.0040966+0.0065854i,-0.0014236+0.00033239i,0.00049267-0.0018906i,0.0029471-0.0039965i,0.0017329-0.0044038i,0.00035304-0.0033297i,0.0020582-0.0014791i,0.0053897+0.0010063i,0.0061894+0.0017854i,0.0037552+0.00059423i,0.0021649-8.5784e-05i,0.0022334-0.00031504i,0.0013324-0.0016961i,-4.0957e-05-0.0015659i,-0.00047715+0.00033451i,-0.00086342+0.0012507i,-0.00072717+0.00030238i,0.00027278-0.00090271i
0.13395-0.022793i,0.11737-0.052721i,0.080312-0.042559i,0.046933-0.019144i,0.025928-0.0080385i,0.009075-0.0021258i,-0.0010662+0.0013546i,-0.0025373+0.00049676i,-0.0022754-0.0016949i,-0.0033151-0.0013412i,-0.0043216+0.00028429i,-0.0050672+0.0016731i,-0.0051047+0.0023611i,-0.0027757+0.0011346i,-0.0002416+0.00040436i,0.00076682+0.00095422i,0.00073244+0.0014788i,0.00039339+0.0009519i,0.00069331+0.00082888i,0.0010711+0.00031941i,0.001873+0.00079231i,0.0023343+0.0015703i,0.0010691+0.001064i
0.026205-0.13304i,-0.0093571-0.1289i,-0.014899-0.090823i,-0.0048806-0.051205i,-0.0012407-0.02819i,-0.0014554-0.010857i,-0.0010936+0.0018958i,-0.0020792+0.0037736i,-0.0033995+0.0019819i,-0.0024179+0.00093044i,-0.0010557-0.00026534i,-0.00035957-0.0022637i,-0.00047154-0.0059198i,-0.00068831-0.006948i,-0.0010094-0.0041481i,-0.0014312-0.0018451i,-0.001091-0.00097921i,-0.00028021+0.00081559i,0.00034531+0.0013497i,0.0012532-0.00052134i,0.0018824-0.00095018i,0.00098591-0.00042746i,3.9961e-05-0.0012105i
-0.11348-0.073582i,-0.12577-0.03504i,-0.094158-0.014903i,-0.052394-0.010764i,-0.027463-0.0060115i,-0.0095962-0.00026147i,0.0015544+0.0030271i,0.0025478+0.0040737i,0.00070893+0.0040193i,0.0012788+0.0029316i,0.0028781+0.0034173i,0.0037044+0.005911i,0.0036775+0.0068613i,0.0026262+0.005826i,0.0016252+0.0038365i,0.00063811+0.00094484i,0.00055202-0.0013123i,0.001694-0.0020922i,0.0019626-0.0024061i,0.0010903-0.0028378i,0.000111-0.0034204i,-5.9982e-05-0.0030187i,0.00066507-0.001916i
-0.11113+0.074834i,-0.078992+0.10518i,-0.050217+0.086874i,-0.032612+0.051506i,-0.017374+0.029436i,-0.0045639+0.013482i,0.0019736+0.0021936i,0.0034401-0.00077106i,0.0037961+0.0001384i,0.0029588-2.5868e-05i,0.00069049-0.00099091i,-0.0019208-0.0010191i,-0.004976+0.00017125i,-0.0055664+0.0013275i,-0.002329+0.00090634i,-0.00020147+0.00077704i,-1.2438e-05+0.0013109i,0.00052545+0.00099159i,0.00056488+0.00035305i,-0.00068717-0.00016602i,-0.0017962-0.00058064i,-0.0013004-0.00021305i,-5.4447e-05+8.1165e-07i
0.0335+0.12537i,0.078486+0.10587i,0.071676+0.070981i,0.040801+0.041408i,0.023631+0.023042i,0.012186+0.0084665i,0.0023061-0.0017306i,0.00016653-0.0048385i,0.00063812-0.0053908i,-0.00027264-0.0048742i,-0.00026512-0.0050766i,0.0019118-0.0058911i,0.0043728-0.0053661i,0.0049483-0.0039035i,0.0030281-0.0018098i,0.00028805-0.00046744i,-0.001633-0.00050555i,-0.0024015-0.00067359i,-0.0027777+0.00018296i,-0.0024623+0.00099763i,-0.0012323+0.0018233i,-0.0012791+0.0023123i,-0.00082882+0.001677i
0.12093+0.016251i,0.12039-0.035725i,0.088962-0.042235i,0.055311-0.022839i,0.031826-0.012729i,0.011705-0.0077735i,-0.0010722-0.0015819i,-0.0038076+0.00044004i,-0.0034603-0.0013818i,-0.0030062-0.0016893i,-0.002402+2.64e-05i,-0.0025942+0.003338i,-0.0022366+0.0057634i,-0.0012469+0.0042059i,0.0012077+0.001394i,0.0026516+0.00054915i,0.0015308+0.00055737i,0.00057178-3.1918e-05i,0.00074124+0.00027647i,0.0012211+0.00090869i,0.0018417+0.00095614i,0.002199+0.00096043i,0.001286+0.0010234i
0.06167-0.10803i,0.0083438-0.13238i,-0.012947-0.10775i,-0.0081589-0.06589i,-0.0056346-0.037672i,-0.0069636-0.016041i,-0.0050507+0.00026579i,-0.0029345+0.0047904i,-0.0027695+0.0038063i,-0.0025256+0.0021787i,-0.0034061+7.9185e-05i,-0.005634-0.0026799i,-0.0064262-0.0048806i,-0.0061272-0.0045682i,-0.0043695-0.0021395i,-0.0016671-0.00049518i,-0.0001825+0.001427i,-0.00010609+0.0029464i,0.00063645+0.0020396i,0.0018865-0.00025274i,0.0025381-0.0012178i,0.0025755-0.00048767i,0.0021449+0.00019648i
-0.076338-0.091096i,-0.12204-0.044426i,-0.10834-0.015461i,-0.066238-0.0081158i,-0.037436-0.0019577i,-0.016144+0.0053984i,-0.0006254+0.0077505i,0.0027738+0.0062235i,0.001359+0.0045899i,0.00057767+0.0034233i,0.0021803+0.0030799i,0.0051279+0.0035879i,0.0065459+0.0026148i,0.0057826+0.001144i,0.0026218-0.00032155i,3.8779e-06-0.0018165i,-0.00058485-0.0022009i,-0.00018706-0.0019005i,0.00036209-0.0013202i,0.00073023-0.0012724i,4.481e-05-0.0015401i,-0.00058478-0.0014677i,-0.00069088-0.00096476i
-0.10479+0.030168i,-0.080731+0.091865i,-0.049915+0.091942i,-0.029028+0.05729i,-0.014306+0.033542i,-0.0017492+0.017203i,0.0048644+0.0036008i,0.0054921-0.0015268i,0.0052159-0.0018544i,0.0039236-0.0011203i,0.0012707+0.00047248i,-0.0011208+0.0025557i,-0.0028264+0.0047201i,-0.0027471+0.0048048i,-0.001544+0.0021709i,-0.00056648-0.00045638i,0.0002646-0.0014425i,0.00072854-0.0013603i,0.0002264-0.001957i,-0.00093673-0.0024844i,-0.0020501-0.0016582i,-0.0015719-0.001205i,-0.0012872-0.0007331i
-0.0028467+0.10602i,0.069295+0.10534i,0.080942+0.076774i,0.051379+0.044035i,0.029738+0.020996i,0.016184+0.0051667i,0.0043547-0.0034592i,-0.0003222-0.0047482i,0.00055152-0.0037842i,0.0012927-0.0035975i,0.0021251-0.0051712i,0.002636-0.0080947i,0.0017068-0.0094561i,0.00061967-0.0074281i,-0.00058544-0.0025102i,-0.0016423+0.0010483i,-0.0019654+0.0011304i,-0.0018939+0.0003959i,-0.0012432+0.00048759i,-0.0014023+0.00096464i,-0.0017194+0.0011995i,-0.0011481+0.0016144i,-0.0010313+0.0012605i
0.090085+0.037713i,0.11485-0.033856i,0.095034-0.057092i,0.057033-0.039375i,0.028208-0.024086i,0.0075204-0.013916i,-0.0045489-0.0039906i,-0.0060722+0.00046621i,-0.0039531+0.0004851i,-0.0026223+0.00024694i,-0.0019571-0.00013868i,-0.0009796+0.0010799i,0.0013295+0.0028466i,0.0030653+0.0025542i,0.0023094+0.0012935i,0.0011054+0.0003653i,0.00062676-0.00029352i,-0.0015399-0.00028225i,-0.0025336+0.00045145i,-0.0008367+0.0016231i,0.00056129+0.0020114i,0.00061607+0.0017858i,-0.00022866+0.0018726i
0.070571-0.065731i,0.011132-0.11971i,-0.020214-0.112i,-0.018673-0.068462i,-0.016419-0.034978i,-0.014669-0.011974i,-0.0077562+0.0034196i,-0.0023408+0.0063583i,-0.00098635+0.0033768i,-0.0017411+0.00089413i,-0.0053892+0.00043543i,-0.009146+0.0010418i,-0.0097256+0.0019481i,-0.0072147+0.0016884i,-0.0022053+0.00030338i,0.0019108-0.00083492i,0.0030245-0.00071263i,0.0022639+0.0012667i,0.0020055+0.00096204i,0.0025966-0.00066886i,0.0027042-0.00062637i,0.0017269-0.00033832i,0.0010855-0.00011941i
-0.03462-0.078082i,-0.11099-0.039315i,-0.1165-0.0081671i,-0.072406+0.0017643i,-0.036789+0.0067442i,-0.014265+0.010655i,0.0011303+0.0099656i,0.0054805+0.0067509i,0.0042893+0.0035629i,0.0028791+0.0015997i,0.0020911+0.0014372i,0.003062+0.00069043i,0.0041917-0.0013956i,0.0040295-0.0027282i,0.0029421-0.002908i,0.001479-0.0017596i,0.0002269-0.00051866i,0.00025955+5.853e-05i,0.0010025+0.00054907i,0.0012434+0.00046897i,0.00071563+3.2542e-06i,0.00081124-0.00070083i,0.0015658-0.00038497i
-0.076208-0.00062124i,-0.06903+0.084874i,-0.042841+0.10424i,-0.019436+0.068835i,-0.0031143+0.03664i,0.0065997+0.01674i,0.0082477+0.0029584i,0.0057215-0.0033591i,0.0030415-0.004017i,0.0018197-0.00084961i,0.0016177+0.0032936i,0.0017788+0.0062052i,0.0014045+0.0070157i,0.0012614+0.0047557i,-0.00018926+0.0018924i,-0.0022684-0.00078738i,-0.001918-0.0022867i,-6.6243e-05-0.0023158i,2.119e-05-0.0020492i,-0.001425-0.0014694i,-0.0014635-0.00099832i,-0.00073049-0.0015816i,-0.0017322-0.0020541i
-0.026732+0.065894i,0.061641+0.090416i,0.091421+0.074684i,0.06476+0.041184i,0.037801+0.014854i,0.019488-0.00086055i,0.0044903-0.0064647i,-0.0025561-0.005307i,-0.0025034-0.0026395i,0.00027864-0.0015067i,0.0017511-0.0036466i,-0.0002252-0.0072858i,-0.0030808-0.0081873i,-0.0038715-0.0056613i,-0.0031571-0.0018684i,-0.0013996+0.00028872i,-0.0010549+0.00035604i,-0.0016947+0.00040029i,-0.0012087+0.0008474i,-0.0015161+0.00048079i,-0.0021309-0.00047144i,-0.0018711-0.00064537i,-0.0013652-0.00069059i
0.044471+0.043444i,0.099131-0.032485i,0.098097-0.068007i,0.059962-0.052208i,0.025828-0.031601i,0.0046195-0.01841i,-0.0058528-0.0062602i,-0.0062774+0.0018796i,-0.00326+0.0043755i,-0.00068187+0.0026602i,0.001231-0.0013096i,0.0033362-0.0031587i,0.0052888-0.0025154i,0.0042151-0.0010279i,0.001783+0.000364i,0.0012704+0.0015635i,0.00094043+0.0021978i,-0.00060383+0.0010643i,-0.0010668-0.00020654i,-0.00018987+0.00052093i,-0.00059922+0.0013675i,-0.0012272+0.00149i,-0.00059996+0.0016287i
0.046139-0.022837i,-0.0040512-0.10441i,-0.036395-0.11535i,-0.032489-0.071361i,-0.022735-0.031789i,-0.016733-0.0085524i,-0.0085878+0.0049719i,-0.0010005+0.0075672i,0.0019916+0.0048564i,0.0002392+0.0018255i,-0.0048198+0.0010445i,-0.0082634+0.0033015i,-0.0076481+0.0065045i,-0.0039846+0.0066859i,-0.00058572+0.0041226i,0.00061809+0.0019392i,0.00151+0.0019427i,0.0020564+0.0023465i,0.0021258+0.00096229i,0.0015298-0.00059001i,0.00070453+1.2608e-05i,0.00054349+0.0013555i,0.0012738+0.0018914i
0.0033144-0.041003i,-0.093719-0.021527i,-0.11972+0.0039873i,-0.07811+0.011819i,-0.03658+0.012721i,-0.012466+0.014293i,0.0017975+0.010494i,0.0065466+0.0036808i,0.006252-0.0009717i,0.0035933-0.0021408i,0.00040346-0.0015476i,-0.00084825-0.0027873i,-0.0012312-0.0045029i,-0.00039857-0.0044902i,0.0003797-0.0044397i,0.00043123-0.0037504i,0.00075742-0.0022119i,0.00042537-0.00093487i,0.00025095+0.00039692i,0.00045267+0.0011772i,0.00049185+0.00070411i,0.00044425+0.00018092i,0.00078938-0.00012432i
-0.029608-0.016622i,-0.046068+0.081i,-0.031297+0.11657i,-0.010943+0.079586i,0.002677+0.039885i,0.0093086+0.017706i,0.009791+0.0036215i,0.0058224-0.0020796i,0.00054974-0.0027908i,-0.00068021-0.00050996i,0.0026465+0.0042969i,0.0066471+0.0065898i,0.0089505+0.0051554i,0.0076785+0.0018378i,0.0035172-0.00032225i,0.00094389-0.0004602i,0.00059936-0.0017082i,0.00070142-0.0026468i,0.00074835-0.0021426i,2.2991e-05-0.00098264i,0.00021263-0.00053628i,0.0014932-0.0016071i,0.0010042-0.001367i
-0.019408+0.0095862i,0.068972+0.057943i,0.10718+0.060684i,0.07616+0.033439i,0.039425+0.0095507i,0.01963-0.0036229i,0.0052038-0.0079221i,-0.0037084-0.0051735i,-0.0055897-0.0016308i,-0.0031499-0.00045175i,-0.001558-0.0017012i,-0.0032905-0.0035818i,-0.0060749-0.0032743i,-0.0068778-0.00096275i,-0.0051828+0.0013047i,-0.0033194+0.001982i,-0.0025578+0.0024305i,-0.0012437+0.0023725i,0.00060953+0.0011053i,0.00085839+0.00011798i,-0.00052633-0.00046113i,-0.0011153-0.00070793i,-0.0019191-0.00025413i
-0.0079154+0.018467i,0.067938-0.045552i,0.085871-0.081729i,0.052838-0.062111i,0.019886-0.033519i,0.00075276-0.017877i,-0.0069984-0.0061482i,-0.0052402+0.0019721i,-0.0011831+0.0044182i,0.0021183+0.0011514i,0.0035758-0.0042248i,0.004245-0.0077671i,0.0030963-0.0089715i,0.0012512-0.0063502i,0.0015219-0.0021371i,0.0023357-9.7868e-05i,0.00054483+0.00018364i,-0.0016805+0.00075408i,-0.0014096+0.0013955i,-0.00015845+0.0007374i,-0.00090323-0.00031372i,-0.0021626+1.8272e-05i,-0.0014549+0.00085825i
0.0029654+0.0093345i,-0.033675-0.084944i,-0.061769-0.11287i,-0.049624-0.07128i,-0.028261-0.02852i,-0.018279-0.0059854i,-0.0089053+0.005083i,0.00035803+0.0070936i,0.0038008+0.0036013i,0.0015453+0.00093264i,-0.0031582+0.002768i,-0.0049883+0.0062377i,-0.0020461+0.0078002i,0.0019047+0.00674i,0.003067+0.0039216i,0.0027632+0.0018394i,0.0036192+0.0014659i,0.0041634+0.00017601i,0.0024383-0.0013975i,0.00076393-0.0010234i,0.00023168+0.00012782i,0.00035895+0.0011555i,0.0013455+0.0019131i
0.015815+0.016674i,-0.08033+0.020174i,-0.11778+0.034579i,-0.078605+0.030297i,-0.032775+0.019543i,-0.0092432+0.016213i,0.0024118+0.011783i,0.0053354+0.0029648i,0.003941-0.0036175i,0.00042998-0.0053067i,-0.003483-0.0032781i,-0.005156-0.0015268i,-0.0054504-0.00087628i,-0.0036973-0.00028237i,-0.0014241-0.00019562i,-0.00070978-0.0003363i,-0.00019996+0.00014139i,0.00040118+0.0011008i,0.00033922+0.0007635i,-0.00025308-0.00022457i,0.00060271-9.1094e-05i,0.0021056+0.00090727i,0.001541+0.00070702i
0.025353-0.011777i,-0.0065612+0.078802i,-0.0067672+0.12199i,0.0023604+0.085345i,0.0069294+0.037374i,0.0099033+0.014038i,0.0083812+0.0019824i,0.0029125-0.0049255i,-0.0014281-0.0063574i,-0.0015457-0.0033241i,0.0032336+0.0012637i,0.0077211+0.002737i,0.0082607-0.00050438i,0.0059946-0.0042009i,0.0027837-0.0047785i,0.00056629-0.0036479i,-0.00091183-0.0034455i,-0.0027871-0.0041953i,-0.0031196-0.0028063i,-0.00093563-0.0007221i,-5.6923e-05-0.00077973i,-0.0001363-0.0017598i,-0.00088909-0.002206i
0.011274-0.037783i,0.085422+0.018084i,0.12436+0.034466i,0.087136+0.018246i,0.039158+0.0036384i,0.016866-0.0039155i,0.0045173-0.0055461i,-0.0026903-0.0014195i,-0.005028+0.0026634i,-0.0041633+0.0038678i,-0.0014185+0.0022363i,-0.001065+0.0012303i,-0.0020089+0.0030299i,-0.0014321+0.0034783i,-0.00038423+0.0029142i,0.0010418+0.0021733i,0.0023184+0.0015053i,0.0029348+0.0010817i,0.0025022+0.00051881i,0.00075145-0.00032122i,2.8473e-05-0.001748i,-0.00053148-0.0018428i,-0.0017596-0.00037347i
-0.039361-0.030415i,0.033524-0.078101i,0.062555-0.10756i,0.040517-0.077693i,0.014945-0.035381i,0.00056157-0.014318i,-0.0054478-0.0036939i,-0.0034531+0.0027231i,0.0005282+0.0045626i,0.0031788+0.0021748i,0.0018599-0.003904i,-0.0012035-0.0089526i,-0.0039466-0.0087506i,-0.0058505-0.0041226i,-0.0047362+0.00024732i,-0.0028883+0.0019255i,-0.0020497+0.0033862i,-0.001375+0.0045359i,-2.9067e-05+0.00272i,0.00052601+0.00016918i,-0.00055428-9.8754e-05i,-0.00092737+0.0013472i,-6.875e-05+0.0024311i
-0.048104+0.027641i,-0.069282-0.056779i,-0.087889-0.094075i,-0.063073-0.06289i,-0.02644-0.024902i,-0.011721-0.0065282i,-0.0051587+0.0016791i,0.0031277+0.0029673i,0.0085482+0.0011508i,0.0078504-0.00067701i,0.0033435-6.0987e-05i,0.00076534+0.0024237i,0.0023877+0.0035202i,0.0046255+0.0020433i,0.0038063-0.0012668i,0.0019528-0.0032005i,0.00096745-0.0031836i,0.00039599-0.003052i,-0.00012794-0.0031217i,-0.0010508-0.0018709i,-0.0014478-0.00050921i,-0.0010111+0.00050849i,0.0011456+0.0005094i
0.0077664+0.065576i,-0.071987+0.059593i,-0.11327+0.062677i,-0.078873+0.04659i,-0.032653+0.020405i,-0.010243+0.0096989i,0.00049265+0.0065554i,0.0042234+0.0006532i,0.0025083-0.0039162i,-0.0016679-0.0047292i,-0.0061595-0.001235i,-0.0074195+0.0028397i,-0.0050845+0.0039382i,-0.001657+0.0029612i,0.0010267+0.001384i,0.00099633+0.00079837i,0.0023048+0.00043386i,0.0036991-0.00016458i,0.0017972-0.00062346i,-0.00014325+0.00015787i,-0.00022698+0.0018001i,0.0013747+0.0007139i,0.00238-0.0017689i
0.070858+0.016033i,0.041234+0.085435i,0.030288+0.1252i,0.023873+0.087877i,0.010711+0.035489i,0.0053586+0.012087i,0.0038738+0.0032502i,-0.00013883-0.001616i,-0.0037827-0.0042377i,-0.0047074-0.0036258i,3.0794e-05-0.0010405i,0.0061934-0.001749i,0.0070318-0.0043826i,0.0030143-0.0051821i,-0.0008119-0.0032412i,-0.0032227-0.00067646i,-0.0047737+0.00078851i,-0.0048031+0.0011856i,-0.0030684+0.0020216i,-0.0011523+0.002375i,0.00038402+0.0017735i,0.00052524+0.00066405i,-0.00089953-0.00089179i
0.046666-0.068832i,0.098506-0.023097i,0.13048+0.00077206i,0.091498-0.00059224i,0.035557-4.231e-05i,0.0098467+0.00076868i,0.00083807-0.0010438i,-0.0030504+0.00063703i,-0.003263+0.0040227i,-0.0015275+0.0058844i,0.00059358+0.005812i,0.0014511+0.0054376i,0.0018777+0.0040857i,0.0016185+0.001529i,0.00066573-8.4326e-05i,-2.5377e-05-0.0012231i,-0.00062736-0.00286i,-0.0014714-0.0030029i,-0.00011065-0.0015802i,0.002004-0.00062857i,0.0016694-0.0012247i,0.00015602-0.0013517i,-0.0018358+0.0001693i
-0.052411-0.074812i,0.0025861-0.10697i,0.035027-0.12645i,0.024962-0.087678i,0.012051-0.031221i,0.0050537-0.005691i,-0.00053942+0.0016033i,-0.00027059+0.006123i,0.0016708+0.0071311i,0.002257+0.0034056i,0.00070005-0.0031991i,-0.0031223-0.0068654i,-0.0051165-0.004485i,-0.0038947+0.00059949i,-0.00080902+0.0034727i,0.0021382+0.0033593i,0.0025459+0.0036834i,0.0012629+0.005166i,0.0014005+0.0041767i,0.0016969+0.00068461i,0.00065779-0.00068954i,0.00038959+0.00058025i,0.0012881+0.0018615i
-0.093984+0.022562i,-0.10805-0.033189i,-0.11655-0.066652i,-0.08124-0.045594i,-0.027896-0.01825i,-0.0045391-0.0051035i,8.6927e-05+0.0031206i,0.0037425+0.0031286i,0.0055729-0.00085702i,0.0059934-0.0037791i,0.0047715-0.0048376i,0.0039927-0.0029428i,0.0033991-0.0014817i,0.0021633-0.0010009i,0.00038887-0.00080411i,-0.0014862-0.00031003i,-0.0019638+0.0003533i,-0.0012073+9.3996e-05i,-0.00032491-0.00064881i,7.5307e-05-0.0012428i,-0.00067451-0.00078715i,-0.00044691+0.00057624i,0.0022282+0.0010303i
-0.0073068+0.10288i,-0.057502+0.10003i,-0.091209+0.094431i,-0.063158+0.064287i,-0.022328+0.020021i,-0.0056125-0.00035268i,0.00011152-0.0013631i,0.0018834-0.0024712i,0.0010298-0.0042174i,-0.0012461-0.0045747i,-0.0052044-0.0011772i,-0.0067367+0.0025245i,-0.0032198+0.0037004i,0.0011991+0.0013802i,0.0022433-0.0032609i,0.0019001-0.0046867i,0.0024728-0.0034823i,0.0033295-0.0037055i,0.0016419-0.0030709i,-0.0006658-0.00092509i,0.00014119+0.0010157i,0.0013276+0.00090122i,0.0011784-0.0013095i
0.097208+0.047589i,0.085045+0.090105i,0.071619+0.11745i,0.048626+0.079967i,0.013528+0.026536i,-0.0033717+0.0047475i,-0.0016793-0.0001771i,-0.0025373-0.0019071i,-0.0051491-0.0016029i,-0.006553-0.0011583i,-0.0046495-0.00062836i,-0.00019398-0.002459i,7.9027e-05-0.0048059i,-0.0015614-0.0032613i,-0.0016321-0.00028624i,-0.00099168+0.0012029i,-0.00030775+0.001243i,8.3049e-05+0.001077i,0.00016576+0.0010823i,0.00014535+0.0014853i,0.00038117+0.001755i,0.00011415+0.00049851i,-0.0013699-0.00051934i
