0.0024732-0.00053771i,0.0021317-0.0027004i,0.001597-0.0049492i,0.00012477-0.0047045i,-0.00089297-0.0017417i,-0.0007418+0.00013448i,0.00063039+0.00035267i,0.001554+0.00081564i,0.0019179+0.00056949i,0.0019614-0.0005274i,0.0010259-0.00072075i,0.00028425+0.00010089i,-0.00038904+0.00035281i,-0.0013402+0.00081699i,-0.0017976+0.0013086i,-0.00099272+0.00069851i,0.00051756+0.0001345i,0.00050283-0.00014958i,0.0003408+0.0003671i,0.00049145+0.00097225i,0.00014433+0.00020744i,0.00022648-0.00069389i,0.00080815-0.00017001i
0.00029661-0.00027759i,-0.00043785-0.00085741i,-0.0014483-0.00075683i,-0.00077775-0.00020354i,0.00072543+0.00045373i,0.002043+8.2367e-06i,0.0018208-0.0011681i,0.00070288-0.0010483i,-0.0003045-5.9912e-05i,-0.00093189+0.00069859i,-0.0012341+0.00037638i,-9.9123e-05-0.00042331i,0.00031537-7.5798e-05i,-0.00038286-9.4755e-05i,-0.00029681-0.00027198i,-0.00018341+9.1717e-06i,-0.00028135+0.00014684i,3.9987e-05+0.00040246i,0.00065942+0.00048546i,0.00050977-0.00012361i,0.0004593-0.00029131i,0.00030037+0.0008649i,-0.00062767+0.0015049i
-0.00039849-0.00032146i,-0.00010034+5.8209e-06i,-0.00024335+0.00076301i,-0.00018333+0.0010477i,0.00023816+0.00031286i,0.0015748-0.00041181i,0.0018876-0.00085163i,0.0010689-0.00036451i,0.0003302-0.0001671i,-0.00014366-0.00015799i,-1.8225e-05+0.00040187i,0.00016549+0.00037108i,-0.00042609-0.000195i,-0.0010286-0.00038005i,-0.00044715+0.00039482i,-5.1323e-06+0.00065834i,0.0002766-8.3678e-06i,0.00054524-0.00079498i,0.00062277-0.0010316i,0.00045599-0.00081854i,0.00032172-0.00050559i,-0.00036755-0.00068199i,-5.0653e-05-0.00086553i
-0.00132-0.0006827i,-0.0016242-0.00084162i,-0.0017168-0.00066845i,-0.0018847-7.494e-05i,-0.0012312+0.00021794i,0.00048792-0.00024716i,0.0017653-0.0012559i,0.0010884-0.0014284i,0.00019268-0.00079723i,0.00045065-0.00068815i,0.00073897-0.00046933i,0.00057918-8.294e-05i,-0.00046116-0.00028602i,-0.0015203+0.000281i,-0.0011389+0.0008538i,-0.00059785-1.2954e-05i,8.9976e-05-0.00063041i,0.00094852-0.00064996i,0.00066798-0.00029495i,2.1503e-05-0.00051016i,-0.0001003-0.00056566i,5.4489e-06-0.00058486i,0.00058334-0.00033076i
0.000183-0.0015958i,-0.00074268-0.00083417i,-0.0014467-0.0010408i,-0.0009263-0.0014014i,0.00078225-0.0014412i,0.0018237-0.0013779i,0.0015522-0.0011492i,0.00022788-0.00072788i,-0.00036082-0.00063406i,0.00020221-0.00086453i,0.0003232-0.00029161i,-2.4077e-05-0.00025196i,-0.0001456-0.00028217i,0.00054554+9.5175e-05i,0.0015874+6.9342e-05i,0.0017038+3.3435e-05i,0.0010942+1.3446e-06i,0.00056423-0.00016195i,0.00036857+0.00013624i,0.00012775+0.00046984i,-8.6345e-05+0.00010318i,2.2624e-05+0.00034814i,7.9499e-05+0.00096227i
-0.00069253+0.0010383i,0.00052576+0.00058357i,0.0018958+0.0018295i,0.0025695+0.001535i,0.002635+0.00061571i,0.0026802-0.00046618i,0.0024345-0.0017937i,0.0015786-0.0018606i,0.0006725-0.00047248i,0.00022043+0.00071533i,-0.00026657+0.0005766i,-0.00048223-4.7021e-05i,4.9971e-05-0.00033381i,0.00062081-0.0011192i,8.201e-05-0.0013942i,7.6575e-05-0.0009291i,0.0006215-0.00029656i,2.7294e-05+0.00031592i,-0.00094968-4.3179e-05i,-0.0010362-0.00018738i,-0.00097192+0.00074846i,-0.00049545+0.00085046i,-0.00077112-7.651e-05i
0.00043911-0.00029239i,-0.0015513-0.00011605i,-0.0016377-0.00092224i,-0.001118+8.0944e-05i,-0.00060741+0.0010031i,0.00041982+0.00068252i,0.00072827+0.0001128i,0.00038044+0.00036537i,0.00023124+0.00045892i,0.0007443-4.4379e-05i,0.00021368+0.00014208i,-0.00022515+0.00060227i,0.00036527-0.00030731i,-0.00037741-0.00063616i,-0.0003168+0.0003739i,-7.0517e-05+0.0009927i,-0.00055597+0.00062211i,-0.00016913+0.0002356i,-0.0003807+0.00094709i,-0.00031452+0.0011114i,0.00021928+0.00023733i,-0.00016002-0.00021472i,-0.00027099-0.00017665i
-0.00081966+0.0019624i,-6.9452e-05+0.0021504i,-3.6899e-05+0.0016894i,0.00057224+0.00039422i,0.0015229-0.00081711i,0.0024777-0.0013647i,0.0022183-0.0015193i,0.00082774-0.00123i,0.00032326-0.00042699i,-0.00021986+0.00018157i,-0.00018161-8.5108e-05i,-9.271e-05-0.00024214i,-0.00045726+0.00019837i,-0.00064548+0.00031202i,-0.00082818+0.00021304i,-0.0010172-8.8797e-05i,-0.00077475+0.00024654i,0.00047651+0.00091064i,0.00048353+0.00051207i,-0.00023427+0.00032565i,-0.00014956+0.00086843i,-6.4999e-05+0.0007211i,-0.00056512+0.00039072i
-3.0109e-05-0.0022743i,-0.00085533-0.0016058i,-0.0016472-0.0010231i,-0.0014084-0.00012586i,0.00026537+0.00064561i,0.0029662-6.3791e-05i,0.0031825-0.00055345i,0.0009-0.00065441i,-0.00025943-0.0004859i,-0.00024937+0.00013262i,-0.00059705+0.00051749i,-0.00062822-0.0003202i,0.00044555-0.00081078i,0.00086892+6.1943e-05i,0.00062918+0.00046467i,-0.00026215-8.2859e-06i,-0.00044356+0.00050121i,0.00062746+0.00086758i,8.3288e-05+0.00052726i,-0.0003042+0.00059669i,6.9143e-05+0.00072056i,0.00011903+0.00090558i,-0.00035533+0.00060819i
7.858e-05+0.00035203i,0.00073179+0.00061702i,0.001094+0.00045619i,0.00068822+0.00090469i,0.00096306-6.9549e-05i,0.0018885-0.0016295i,0.0018117-0.0022029i,0.0014058-0.0015121i,0.00020251-0.0012093i,-0.00091169-0.0013333i,-0.0011168-0.00094881i,-0.00043332-0.00058192i,8.4344e-05-0.00017287i,0.00038768-5.9565e-05i,0.00059851-0.00053671i,0.00045058-0.00092268i,0.00044023-0.00039153i,-9.8209e-06-8.7473e-05i,0.00018049-0.00061i,0.0007982-0.00072294i,4.9726e-05+4.6029e-05i,-0.00021962+0.00040445i,-0.00049324-4.8266e-05i
3.2582e-05+0.000208i,-0.00065232-0.00015613i,-0.0010529-1.6144e-05i,-0.00049878+0.00019124i,0.00092023-0.0010436i,0.0015428-0.0021865i,0.0014287-0.0018966i,0.0006155-0.0018235i,-0.00063612-0.0010383i,-0.00092745-0.00018374i,-0.00097706-6.2904e-05i,-0.0013906+0.00029333i,-0.00088278-3.53e-05i,-0.00026977-7.7122e-06i,-0.00047128-0.00032017i,-0.00014262-0.00063087i,0.00039985-4.5417e-05i,0.00075052-4.9665e-05i,0.00045707-0.00037259i,0.00060921-0.00068763i,0.00014137-0.00062206i,-0.00038092-0.00028561i,0.00047581-0.00073909i
