0.0027993+0.00062908i,0.0027719-0.0014155i,0.0017364-0.0037988i,-0.00015233-0.0048503i,-0.0023409-0.0033219i,-0.0038079-0.00069392i,-0.0023172+0.000825i,3.4641e-05+0.0012722i,0.0010477+0.00057415i,0.0013325-0.00024539i,0.00032496+0.00027051i,-0.00076005+0.0011288i,-0.0012807+0.00084426i,-0.001813+0.00053194i,-0.0018459+0.001278i,-0.0011306+0.0014555i,-0.00033774+0.00063417i,-0.0004127-0.00014771i,-0.00046421+3.5012e-05i,0.00062568+0.00078222i,0.0011036+0.0009412i,0.00089667+0.00028237i,0.0013467-6.7684e-05i
3.0435e-05+0.0002084i,0.0011112-0.00094857i,0.00096568-0.0015105i,0.00052496-0.00069967i,0.00019736-0.00025846i,0.00088328-0.00038481i,0.00084863-0.00077113i,-0.00053296-0.00065413i,-0.00089909-0.00051901i,-0.00081757-8.4638e-05i,-0.00069333+0.00068183i,-0.00035504+0.00022524i,0.00014759-0.00031159i,0.00057582+0.00061326i,0.00030193+0.00072781i,-0.0005876+0.00037709i,-0.00086316+8.3523e-05i,0.00030529-7.4134e-05i,0.0013312+8.7436e-05i,0.0013242+0.00021611i,0.00099906+0.00019539i,-0.00017615+0.00048209i,-0.001165+0.00041432i
5.1384e-05+0.00038713i,-0.0003475-0.0001409i,-0.00068965-0.00010367i,-0.00038869+0.00058867i,-0.00040063+0.00054379i,-0.00020094+0.00023401i,3.0679e-05-0.00058278i,0.00025213-0.0013421i,-0.00019613-0.0013915i,-0.00052656-0.00061907i,6.2944e-05+0.00014807i,0.00032295+0.0005467i,0.00015848+0.00012836i,0.00011506-0.00056626i,0.00014892-0.00063493i,-8.3333e-05-0.00056371i,-0.00039132-0.00020676i,-0.00045455-4.8012e-05i,7.6898e-05-0.00038966i,0.0003017-0.00041763i,-0.00045272-0.00024625i,-0.00075233-0.00037119i,-0.0007155-0.00095007i
0.00025593+0.0025045i,0.0012779+0.0033755i,0.0017319+0.0021771i,0.00037406+0.00051243i,-0.0004029-0.00026828i,0.0004079-0.00094481i,0.00094223-0.0011844i,0.00033488-0.00046093i,-0.00017651-0.00015318i,-0.00012845-6.4987e-05i,-1.287e-05+0.0001379i,0.00054946+0.00041034i,0.00084695+0.00042523i,0.00061174-0.00010787i,0.00012957+9.6288e-05i,-0.00050414+0.00036713i,-0.00073683+0.00032971i,-0.00094095+7.2114e-05i,-0.0011099+1.1618e-05i,-0.00054371-1.0149e-05i,0.00017279+0.00063547i,0.00034687+0.0013373i,0.00045307+0.00042984i
-0.0027285+0.00011247i,-0.0031482+0.0015402i,-0.002272+0.0017488i,-0.0012498+0.0017427i,-0.00031381+0.001354i,8.5502e-05+0.00013281i,0.00020993-0.0013106i,-0.00048019-0.0020662i,-0.0010473-0.0016458i,-0.00062213-0.00054747i,-0.00022892+0.00015531i,0.00010588+5.2527e-05i,0.0008076-0.00039468i,0.00070661-0.00031237i,-0.00020991-0.00059014i,-0.00070728-0.00090747i,9.9898e-05-0.00068697i,0.00085888-0.00059025i,0.00072083-0.00041817i,0.00084684-0.00026117i,0.00049573-0.00072932i,0.00026528-0.0012018i,0.00012856-0.0010722i
-0.0022318-0.00075878i,-0.0034669-0.00034951i,-0.0030475+0.00046297i,-0.0022712-0.00060058i,-0.0010822-0.0015267i,-0.00013778-0.00091095i,0.00048388-0.0013227i,0.00057652-0.0013579i,0.00016604-0.00023563i,-4.4087e-05+0.00019645i,0.00044946-0.00016501i,0.00024135-2.7448e-05i,-8.9613e-05+3.9196e-05i,0.00042078+4.1251e-05i,0.00071891-2.0291e-05i,0.00049981-0.00015732i,-0.00027911-0.00024881i,-0.00064792-4.9885e-05i,-0.00023234+0.00043068i,-0.00034359-0.00014199i,-0.00035241-0.00097898i,-0.00032233-0.0013725i,-6.4791e-05-0.00085912i
-0.0015376+0.00069308i,-0.00092148+0.00072035i,0.00047463-0.00037125i,0.00039955-2.9869e-05i,-0.00030935+0.00080591i,-0.00051956+0.00028168i,-0.00072002-0.00033727i,-0.00090272-0.0010952i,-0.00026634-0.001064i,0.00068572-0.00030113i,0.00088756+0.00016244i,0.00029267+0.00025569i,0.00018566-0.00025226i,3.8271e-05-0.00051151i,-0.00064341-0.0010774i,-0.00066821-0.0006938i,-0.00077834+0.00011873i,-0.00062471+2.7764e-05i,-0.00024939+0.00029144i,-0.00031019+0.00079595i,-0.0009222+0.00014872i,-0.00084514-0.00031036i,-0.0002017-4.306e-05i
-0.00054234+0.00063663i,-0.0016785+0.00066889i,-0.0014285+0.00031275i,-0.00053959-0.00018525i,-0.00025167-0.00015683i,0.00020763-0.00010794i,0.00053654-0.00030937i,0.0004734-0.00021883i,0.00089117+0.00055976i,0.00096882+0.00083417i,0.00036772+4.9115e-05i,7.4392e-05+0.00028643i,0.00044856+0.00045791i,0.00059954+0.00051966i,-2.7338e-05+0.00089636i,-0.00051711+0.00013014i,-0.00045622-0.00043283i,9.804e-06+0.00020481i,2.017e-05+0.00088419i,0.00012007+0.00036024i,0.00038123-0.00026757i,0.00027553+0.00010457i,0.00055693+0.00048536i
0.0014924+0.00032438i,0.0015055+0.00080443i,0.00049221+0.00043452i,-0.00057448-0.0010544i,-0.00024871-0.0018226i,0.0004619-0.0014212i,0.00032678-0.0012507i,3.7771e-05-0.0012306i,4.3843e-05-0.00094382i,-0.00013517-0.00041216i,-9.3391e-05+9.1243e-05i,-0.000163+0.00033785i,-0.00049276+0.00060582i,-0.0003465+0.0011082i,0.00032582+0.00071155i,0.00082983+0.0002933i,0.0005277-3.0525e-05i,-0.00032091-0.00026925i,0.00017265+0.00013334i,0.00045907-5.278e-05i,-0.00014061-3.4658e-05i,-0.00028573+0.00024511i,-0.00035284+0.00022383i
-0.0011802+0.00233i,-0.00076067+0.002368i,0.00084119+0.00092134i,0.0015141-0.00018129i,0.0010467-2.2289e-05i,0.00077127-0.00058035i,0.00050093-0.0017708i,-1.3795e-05-0.0015332i,-0.00077302+0.0002096i,-0.00037007+0.00089662i,6.1536e-06+8.951e-06i,-9.7158e-05-0.00016743i,-0.00021753+0.00051306i,-0.0002657+0.00025559i,-0.00051866-0.00062174i,-0.00087013-0.00043404i,-0.00016344-0.00015949i,0.00028185-0.00059905i,-0.00026474-0.0010764i,-0.00040062-0.00055538i,-3.5541e-05-0.00048853i,9.1534e-05-0.00046914i,0.00028526-0.00063944i
-4.8143e-05-0.00039465i,-0.00062823-0.00049932i,-0.00041495-0.0010405i,-0.00033185-0.0013758i,-0.0011254-0.0012465i,-0.001199-0.00071947i,0.00010136-0.00061315i,0.00029926+3.2995e-05i,-0.00027308+0.00013471i,-0.0001663-0.00013809i,-0.00010709+0.00056644i,0.00033883+0.0014036i,0.00069704+0.00099697i,0.00063264+0.00036636i,0.0001666+0.00094594i,-0.00047805+0.0010906i,-0.00025339+0.00034941i,-0.00047678-0.00035741i,-0.00053516+0.00021912i,-0.00058188+0.00039257i,-0.00035133+0.00016185i,-1.078e-06+0.00035023i,-9.1144e-05-0.00043755i
-0.00067912-0.0005252i,-0.00046601+0.00034876i,0.00028099+0.0015549i,0.00039742+0.0014142i,-1.841e-05-0.0001384i,-5.2556e-05-0.0014377i,8.3274e-06-0.0013819i,-0.00053879-0.0005369i,-0.00060104-0.00042749i,-3.0871e-07-0.0009796i,0.00071175-0.00070316i,0.00030657-4.7583e-05i,-0.00086441+1.3007e-05i,-0.0008963-0.00031463i,-0.0001496-0.00072017i,-4.2271e-05-0.00041916i,0.00087863+0.00028853i,0.0013076+0.00013006i,0.00085745-0.00077056i,0.00040552-0.0006752i,0.00025272-0.00041914i,0.0001106-0.00035235i,0.00049623-0.00044739i
0.00018505+0.00045133i,0.00038838+0.00062736i,0.0011293+0.00024747i,0.0006564-0.00056223i,-0.00020952-0.00076648i,9.3274e-05-0.00036816i,0.00060838-0.00088614i,0.00019792-0.0014242i,0.00048424-0.00082489i,0.0011228-0.00035717i,0.00021688+0.00026838i,-0.00027831+0.00052349i,1.5045e-05-0.00010941i,0.00044037-6.1739e-05i,0.00034937+0.00072818i,-0.00016004+0.00056774i,-5.8911e-05-6.4019e-05i,0.00019032-0.00027284i,0.00019951-0.00032424i,0.00029841-0.0003629i,0.00086787-0.00013435i,0.0005367+0.00048536i,-0.00044922+0.00027272i
-0.001262+9.3196e-05i,-0.0018661+0.00048471i,-0.0020989-0.00036503i,-0.0021007-0.00093949i,-0.0019483-0.00023335i,-0.0013566+0.0005492i,-0.00068653+0.00077691i,-0.00015725+2.685e-05i,-0.0010452-0.00087197i,-0.00099662-0.00082786i,0.000119-0.00097982i,0.00020316-0.00027595i,0.0002919+0.00067525i,0.00036332+0.00055132i,0.00039877+8.6207e-05i,0.00034611-0.00044358i,-0.00020955-0.000532i,4.6949e-05-0.00025299i,0.00025778-9.5724e-06i,-0.00027501-0.0001624i,0.00083312-0.0006139i,0.001701-0.00072528i,0.00083727-0.00016865i
-0.00030494+0.0016937i,-0.00091676+0.001027i,-0.00033747+0.00031515i,-0.00032807+4.23e-05i,0.00013063-0.00054197i,0.00050139-0.0016119i,-0.00057139-0.0025251i,-0.00040661-0.0020616i,0.00015718-0.00057631i,0.00010463-0.00054828i,0.00024809-0.00067006i,-0.00012366-0.00030115i,-0.00059161-0.00027181i,-1.4985e-05-0.00024635i,-0.00038723-0.00081377i,-0.00097449-0.0011465i,-0.0001623-0.00078187i,0.00045634+0.00010768i,0.00051346+0.00044751i,-0.00011909+0.00044164i,-0.001312+0.00050933i,-0.0012108-0.00036341i,-0.00072075-0.00070263i
-0.001051+0.00093568i,-0.0014834+0.00020463i,-0.0012788-0.00056437i,-0.00014517-0.0010036i,0.00014966-0.0013838i,0.00032981-0.0015718i,0.00014941-0.0010034i,-0.00043916-0.00025035i,-0.00039232-7.0411e-05i,0.00025749+0.00030943i,0.00070363+0.00061865i,0.0002904+9.4026e-05i,-0.00027449-0.00053485i,1.4862e-05-0.00056263i,0.00017791-0.0013878i,0.00031576-0.00084853i,0.00015345+0.00032781i,-0.00049938-8.2568e-05i,-0.00027878-0.00053834i,0.00017042-0.00066059i,0.00039105-0.00059722i,0.00035409-0.00019386i,-0.00030113-0.0011447i
-0.00079402+0.0013321i,-0.00084485+0.0006534i,-0.00053592+6.2182e-05i,-0.00011065-0.00044147i,0.00013245-0.00039021i,0.00099808-8.2533e-05i,0.0012721-0.0014815i,0.00067668-0.0019388i,0.00087512-0.00070957i,0.00042874+0.00041058i,-0.00020303+0.0010314i,-0.00062083+0.0011162i,-0.00062866+0.00053746i,0.0002566+8.2782e-05i,0.00028298+0.00078202i,-0.00016542+0.0014615i,-1.1332e-05+0.0010505i,0.00012715+0.00016095i,2.8596e-05-9.8392e-05i,-2.4117e-05-0.00053493i,0.00011388-0.0010495i,-0.00012734-0.00041259i,-0.0012205+0.00047331i
0.00034145-0.00030319i,0.00098544+0.00016004i,0.00064552-0.00037881i,0.000428-0.00093723i,-0.0002942-0.0012874i,-0.000166-0.0011202i,0.00073699-0.0011272i,0.00072155-0.00136i,-6.8923e-05-0.00018767i,-0.00042701+0.00066852i,-0.00025972+0.0010848i,-0.00053028+0.001007i,-0.00091617+0.00024424i,-0.00087425+7.8918e-05i,-0.00027863-3.964e-05i,0.00029838+0.00033524i,-1.7358e-05+0.00082166i,-0.00022582-0.00016673i,0.00010852-0.00049773i,0.00060976-0.00030828i,0.00055712-0.00039797i,0.00035336+0.00024281i,0.00016191+0.00048442i
0.00026492-0.00051959i,-0.00044761-0.00075813i,0.00017045-0.00098227i,0.00013651-0.00072254i,-0.0005804-0.00066074i,-0.00020001-0.00051038i,-1.9382e-05+0.00012248i,-0.0008516-6.3585e-05i,-0.0012559-0.00021557i,-0.00077552-2.2706e-05i,-0.0006835-0.00021701i,-0.00080098-0.00077468i,-0.00086202-0.00057586i,-0.00085497-0.0002051i,-0.00073778-5.5031e-05i,-0.00057851-0.00022675i,0.00022928-0.00037023i,0.00029696-0.00010963i,-0.00019274-0.00030538i,0.00025848-0.00013994i,0.00075481+0.0001684i,0.00032981+0.00044909i,-0.00075684+0.0010061i
-0.0019526-0.00045165i,-0.0024422+0.00094681i,-0.0017596+0.0010263i,-0.0021991+0.00070312i,-0.0018256+0.00013116i,0.00029901-0.00039806i,0.0011654-0.00095366i,0.00028519-0.00088815i,-0.00015024-0.00036129i,0.00041677+0.00023512i,0.00020855+0.0011796i,-0.00042296+0.0011427i,0.00023635+0.00017627i,0.00096796-0.00044606i,0.00091793-0.0001534i,-0.00020074+0.00032757i,-0.00050699-0.00038115i,0.00018814-0.00018026i,0.00055739+0.00024752i,0.0010129+0.00038472i,0.00071913+0.0012337i,-0.00038764+0.0013008i,-0.00054183+0.00072865i
-0.0016055+0.00033693i,-0.0015452+0.00049675i,-0.001135+0.00050764i,0.00026138+0.0002525i,0.0015419-0.00015249i,0.0014823-0.00076305i,0.00016415-0.0013976i,-0.00065072-0.0014834i,-0.00036437-0.00036513i,9.9402e-05+0.00019103i,-0.00039326-0.00057332i,-0.00071472-0.00073126i,-0.00014735+8.2477e-05i,0.00026092+3.668e-05i,-9.7754e-05-0.00039361i,-0.00040124-0.00046726i,-9.8763e-05-0.00090112i,0.00062682-0.00062023i,0.00057997+0.00039256i,-0.00027097+0.00018054i,-0.00067602-0.00080674i,-0.00054915-0.00058204i,0.00025949+0.0002214i
0.00045517+7.8654e-05i,0.00028226-0.00037163i,0.00082057-0.00024848i,-0.00011628-8.2674e-05i,-9.4165e-05-0.00094625i,0.0007554-0.0016713i,0.0003073-0.0016581i,0.0003768-0.0016079i,0.00049169-0.00085834i,-0.00014894-0.00052449i,-0.00025764-9.9136e-05i,-0.0006713+0.0005925i,-0.0011118+0.00033157i,-0.0013315-9.5168e-05i,-0.001164-0.0006438i,-0.00055192-0.0007505i,0.00015361-5.8526e-05i,0.00016933-0.00035432i,-0.00055409-0.00087036i,-0.00053607-0.00056936i,9.6215e-05-2.7303e-05i,0.00066464-0.00013795i,0.00040801-0.00043463i
0.0013528+0.00035539i,0.0013936+0.0011252i,0.00072836+0.00072422i,-0.00053405+0.00040129i,-0.00085236+0.00037757i,-0.0002451-0.00039214i,0.00064696-0.00053205i,0.00094451+4.1995e-05i,0.0006851+0.001126i,1.09e-05+0.0010878i,0.00057388+0.00023514i,0.00061965+0.00017559i,-0.00042646-0.00015218i,-0.00071108+0.0001543i,-0.00037358-0.00013859i,-0.00079265-0.00093269i,-0.0013846-0.00052724i,-0.00084368+0.00012265i,0.00016595+0.00017518i,0.00044259+0.00040407i,-4.8381e-05+0.00037709i,7.1139e-05-4.1655e-05i,0.00053967-1.447e-05i
-0.00036252+0.00017805i,-0.00071264+0.00089043i,0.00021269+0.00011265i,-0.00018255-0.00023437i,-0.00055406+0.00054008i,-0.00055798+0.00074357i,-0.00055981-0.00026918i,-0.00025899-0.00051545i,0.00023537-7.9273e-05i,0.00028523-0.00057643i,-0.00019654-0.00077565i,-0.00011455-0.00012924i,-0.00020995+0.00054086i,-0.00064288+0.00061938i,-0.00093609+0.00049967i,-0.00079276-2.249e-05i,-9.188e-05-0.00018197i,0.00044617-0.00013503i,0.0010124-0.00067614i,0.00025861-0.001009i,-0.00039451-0.00074006i,-8.5471e-05-6.176e-05i,-0.00015038-0.00036275i
-0.001429-0.0012679i,-0.0016058-0.0009663i,-0.00073242-0.0018982i,-0.00022319-0.002015i,-0.00063644-0.0018312i,-0.0005066-0.0009186i,-0.00087002+0.00014729i,-0.00088421+0.00021097i,-0.0010044+0.0001479i,-0.0010831+3.9521e-05i,-0.0003485+0.00044599i,-0.00029086+0.00032068i,-0.00053163-0.00051244i,-0.00025561-0.00010761i,-0.00074349+0.00086283i,-0.0015315+0.00023133i,-0.0010596-1.7193e-05i,-0.00030684+0.00042424i,4.0555e-05-0.0001538i,3.8455e-05-0.00031686i,-0.00030146-0.00034734i,-4.24e-05+0.00065143i,-0.00076181+0.0010051i
0.00070798+0.0013389i,0.0010393+0.0011629i,0.0011458+0.00081676i,0.0012475+4.948e-05i,0.0011116-0.00066406i,0.00087693-0.0012055i,0.00046053-0.0011456i,-3.462e-05-0.00026237i,-0.00012633+0.000449i,-0.00017969-0.0003354i,-0.00015434-0.00043133i,0.00020474+0.00059052i,0.00018699+0.0019229i,-0.00054885+0.0019522i,-0.00090208+0.00030394i,-0.00077135-0.00027282i,-0.00057792+0.00087207i,-0.00063763+0.00084896i,-0.00080522-0.00032188i,-0.00082456-0.00074253i,-0.00056979-2.8079e-05i,-0.00031269-0.00015796i,-0.00030528-0.00060125i
-0.00031064-0.0015736i,0.00024577-0.0014826i,4.3942e-05-0.0017788i,-0.00018533-0.001906i,0.00037613-0.0003562i,0.00096886+0.00063449i,0.00040218-0.00031047i,-0.00073461-0.00072861i,-0.00073388-0.00018978i,-0.00063045+0.00040786i,-0.0014717-0.00012595i,-0.0016521-0.00012316i,-0.00011897+0.00023693i,0.00071074+0.00058381i,0.0006544+0.0011125i,0.00065973+0.0002026i,0.00033617-0.00032254i,8.5334e-05+0.00021696i,0.0001661+0.00018448i,0.00094948+0.00037381i,0.00076082+0.00051804i,-1.7112e-05+0.00016394i,0.00020177+0.00022178i
-0.0013313+0.0001566i,-0.001382+0.00061285i,-0.00041797+0.00080629i,-0.00021705-3.7033e-05i,-0.00057106-0.0006318i,-0.00021936-0.0013265i,0.00035463-0.0013638i,-0.00011479-0.00044052i,-0.00028105+0.00051193i,-0.00010951+0.00025617i,-0.00020521+6.9727e-05i,-0.00051807+3.0751e-06i,-0.0010496-0.00053081i,-0.00077993-0.00089227i,-0.00053891-0.00063841i,-0.00050076-2.432e-05i,0.00017787+0.00012184i,-7.6463e-05-6.964e-05i,-0.0001008-0.00042734i,-2.4674e-05-0.0005175i,6.2673e-05-0.00014624i,0.00064909+0.00039203i,0.00057863+0.00034863i
-0.0002954+0.0021618i,0.00037142+0.0021865i,0.00030374+0.0026576i,-5.1557e-05+0.0019525i,-0.00019696+0.00025276i,0.00019164-0.0010824i,5.6754e-05-0.0013197i,-0.00017009-0.00066897i,3.3452e-07+7.0245e-05i,0.00019092+0.00053058i,0.00044956+0.0001345i,3.0185e-05-0.00016907i,-0.00031068+8.6362e-05i,-0.00010706-0.00027815i,0.00046225-0.00070764i,0.00039546-0.00042837i,0.00010342-2.3588e-05i,-0.00017352-0.00012266i,-0.00064609-0.00041289i,-0.00061831-0.00056209i,-0.00032528-0.00040557i,-0.0004472-0.0001868i,-0.00041508-0.00024703i
-0.0013835-0.00024261i,-0.0021008+0.000115i,-0.0014307+0.00033414i,-0.00031347+0.00012046i,-0.00021124+0.0008086i,-0.00031461+0.00015569i,0.00025111-0.0011394i,0.00083178-0.0012029i,0.00073207-0.0010583i,0.00035857-0.00013402i,-2.2468e-05+0.00055618i,-8.2912e-05+0.00051492i,-0.00070796+0.00013197i,-0.00086758+0.00014264i,-0.001031+0.00060215i,-0.0008791+0.00016598i,-0.00033662-2.5139e-05i,-0.00098988+0.00049319i,-0.0015503+0.0011421i,-0.0006383+0.0011415i,-0.00026501-0.00015564i,-0.0010601-0.0011582i,-0.0013952-0.00021554i
-0.00070549+0.0010257i,-0.00051437+0.0017363i,-0.00063632+0.0016182i,-0.0011518+0.00036544i,-0.00089535-9.506e-05i,-5.2229e-05+7.5286e-05i,0.00014559-0.0012043i,-0.00010625-0.0017295i,2.0566e-05-0.00053389i,-1.8159e-05+0.00040669i,7.7504e-05+0.0011385i,0.00063948+0.0014204i,0.00064442+0.0011822i,0.0003258+0.00061917i,0.00044057+0.00050591i,0.00048538+0.00099045i,0.00031904+0.00085397i,1.6347e-05-6.8676e-05i,9.6292e-05-0.00090205i,0.00032812-0.00076898i,0.00014983-0.00059229i,0.00045517-0.00069665i,0.000822-0.0010165i
-0.0011238+0.00016534i,-0.0016821+0.0013342i,-0.0010224+0.0017136i,-0.00052857+0.00092645i,-0.00039069+0.00045108i,4.8432e-05+0.0010679i,-0.00030219+0.00015582i,-0.00016032-0.00044145i,-0.000133-3.6989e-05i,-0.00033198-0.00024501i,-0.00047523-0.00035212i,-0.0003479-0.0002895i,-0.00041926+0.00025649i,0.00014443+0.00088164i,0.00018776+0.00087515i,-0.00024899+0.0010133i,-0.00013418+0.00045534i,-0.00045236-0.00017411i,-4.9863e-05+0.00027646i,0.00054451+0.00053861i,7.0747e-05-0.00010021i,6.483e-05-0.0012432i,-0.00014025-0.001047i
-0.00084906-0.0015551i,-0.0015664-0.001153i,-0.0022348-0.00098014i,-0.002448-0.001352i,-0.0015373-0.0011875i,1.8997e-05-0.00081208i,0.0012909-0.0010102i,0.00092629-0.0010136i,0.00045309-0.00093499i,0.00022911-0.00088056i,-4.9768e-05-0.00063513i,0.00055226-0.0001632i,0.0012262+0.00011971i,0.00056007-5.2725e-05i,5.5638e-05+7.743e-05i,-0.00024614+9.7371e-05i,0.00023523-7.8126e-05i,0.00053314-0.00019341i,0.00012682-0.0009527i,-0.00042294-0.0010751i,-0.00046404-7.4273e-05i,-3.8869e-05+0.0006622i,8.3271e-05+0.00078428i
-0.0039504+9.8193e-05i,-0.0048619-0.00017393i,-0.0023611-2.0101e-05i,-7.4868e-05+0.0002498i,0.00054189-0.00019181i,0.00027608-0.00037573i,-0.00011384-0.00042064i,-0.00041883-0.00021385i,-0.0004452+0.00025938i,0.00039538+0.00015968i,0.00077557+0.0001878i,0.000526+0.00012299i,0.00036791-0.00021303i,0.00022004-0.00055182i,-9.4127e-05-0.00054587i,-0.00051294-1.2016e-05i,-0.00032927+0.00040061i,-7.5537e-05+0.00021498i,-0.00055927-0.00052761i,-0.00037209-0.0011425i,5.077e-05-0.00073596i,0.00016544+0.00022703i,0.0004185+0.00041444i
0.0005105-9.8605e-05i,0.00085315+0.00064571i,0.0011306-0.00029944i,0.00080031-0.00051734i,-0.00010571-0.00058545i,-0.00030731-0.00096789i,0.00043034-0.0012024i,0.00096483-0.0011563i,0.0014888-0.00068829i,0.0010451+6.1848e-05i,-0.00027945+0.00040278i,-0.0006898+0.00031167i,-0.00027575-0.00036261i,-0.000453-0.00014233i,-0.00099168+0.0012675i,-0.00069002+0.00071246i,-0.00050627-0.00029115i,-0.00017035+0.00055055i,0.00071089+0.00074709i,0.00092455+0.00016406i,0.0003876-0.0004038i,0.00023896-0.00063182i,0.00064554-0.0003644i
0.00047416-0.0004445i,0.00012391+0.00051123i,1.8503e-05+0.00054458i,0.00029209-0.0004336i,0.00051087-0.00067187i,0.00048084-0.00045771i,-0.00018412-0.00097678i,-0.00070014-0.0015948i,2.9866e-05-0.00092738i,0.00062741-4.068e-05i,0.00046829+0.00043191i,0.000237+0.00040395i,0.00027372-0.00011698i,0.00043319-0.00061171i,0.00038069-0.00063365i,-0.00029067-0.00046425i,-0.0011897-0.00010375i,-0.00093208-5.4488e-05i,-0.00071325+2.1082e-05i,-0.00082512-4.318e-05i,-0.00012502-0.00013264i,0.00054002+9.2956e-05i,0.00027606-0.00051237i
-0.0012713+0.0025881i,-0.00085456+0.0030176i,0.00053734+0.0027286i,0.001275+0.0020222i,0.0012512+0.0010213i,0.0015469-0.00014346i,0.001065-0.00035936i,-9.5341e-05-0.00045095i,-0.00072712-0.00059168i,-0.00016375-0.00085804i,0.00045301-0.00088146i,0.00033158-0.00070734i,-6.3038e-05-0.00032681i,-0.00058244-0.00065305i,-0.00066959-0.0015254i,0.00018932-0.00071089i,-0.00051921+0.00027782i,-0.0012759+0.00017908i,-0.00064338-9.6097e-05i,-7.6016e-05-0.00041715i,0.00015066-0.00083467i,-0.0002706-0.00044579i,-0.00026593+0.00021827i
-0.00071024+0.00062798i,-0.00069673+0.0020359i,-0.00079344+0.0017197i,-0.0005691+0.00036518i,-0.00029948+6.8357e-05i,0.00043791-0.0002533i,0.00097343-0.0011126i,0.00053974-0.0013074i,-1.8542e-05-0.00058992i,0.00026674-0.00059542i,0.00073149-0.00030221i,0.00038902-5.739e-06i,-0.00053551+0.00010103i,-0.00047371-0.00017441i,-0.00070284-0.00048575i,-0.00099303-0.00036456i,-1.4828e-05+8.9915e-05i,-0.00028996+0.00024501i,-0.00086719-0.00014342i,-0.00035491-0.00044744i,2.6753e-05-0.00035276i,-6.4889e-05-0.00048854i,2.4334e-05-0.00042428i
0.00082649+0.0020087i,0.00063581+0.00033024i,0.0010223-0.00090872i,0.00073839-0.0010387i,0.00020773-0.00097526i,-0.00095702-0.00072734i,-0.0010638-0.00028393i,-0.00051743+0.00018746i,-0.00032641+0.00030892i,0.00025098+0.00035521i,0.00018345+0.00052085i,-0.0004371+0.00069216i,-0.00098166+0.0004137i,-0.001129-0.00058345i,-0.00031462-0.00088991i,0.00010684-0.00047323i,-3.6743e-05-0.00024708i,0.00053242-0.00010267i,0.00074624-0.00020027i,0.00040226-0.00030847i,0.00034078+0.00037147i,0.0003893+0.0012147i,-0.00021326+0.0011532i
-0.0034087+3.8886e-06i,-0.0027547+0.0011587i,-0.00096346+0.0016059i,-0.00054437+0.00056557i,-0.00087302-0.00026511i,-0.00010005-0.00034827i,7.4154e-05-0.00011425i,-0.0011439-0.00078392i,-0.0015053-0.00016767i,-0.00090972+0.0005042i,-0.0010548+0.00023827i,-0.00077369+0.00075373i,-0.00015402+0.0010269i,0.00016436+0.00059867i,-0.00052223+0.00047771i,-0.0012591+0.00082717i,-0.00052293+0.00055395i,0.00031482+7.1037e-06i,0.00080892-0.00064844i,0.0012524-0.00081542i,0.00064132-0.00032745i,-4.2858e-05-0.00057047i,-0.0004129-0.00088685i
-0.001436+0.00092773i,-0.0018725-0.00024681i,-0.0026325-0.00031889i,-0.002185+7.8962e-05i,-0.0012398+0.00018341i,-0.00057455-0.00043552i,-0.00021427-0.00046774i,-0.00051856+0.00017i,0.00048851+0.00084848i,0.0011479+0.00089658i,0.00082687+0.0012635i,0.00079916+0.00079011i,0.00064078-0.00077077i,0.00065513-0.0011136i,0.00054042-0.00092978i,-0.000368-0.00095362i,-0.0008737-0.00041398i,-0.0003886-0.00016628i,7.7125e-05-0.00015724i,0.00022677+0.00030453i,0.00013469+0.0005493i,0.00051552-1.0096e-05i,0.00047658-0.00042518i
-0.0034171+0.00016077i,-0.0044965+0.0013658i,-0.0045141+0.0021706i,-0.0025016+0.00091354i,-0.001018-0.00064263i,2.9025e-05-0.00076727i,0.0012621-0.00027871i,0.0011368-2.6869e-05i,0.00018494-0.00048635i,-0.00048261-0.0012688i,-0.00055936-0.00066753i,-0.00088456+0.00045014i,-0.00090072+0.00037325i,-0.00077948-0.00012222i,5.1004e-05+5.3632e-05i,0.00035102+0.0006172i,-0.00024517+0.00037467i,-0.00050193-5.1133e-05i,-0.00043328-0.00034366i,-0.00015271-0.00044657i,0.00019935-0.0002901i,0.00073518+0.00010339i,0.00044156+0.00024825i
-0.0012546-0.0021496i,-0.001584-0.0018305i,-0.0024244-0.0025812i,-0.0018054-0.0029782i,0.00013274-0.0021549i,0.0015026-0.00078239i,0.0012511-0.00050889i,0.0002812-0.00084559i,-9.195e-05-0.00085362i,0.00024239-0.00089036i,0.00022532-0.00053317i,3.8732e-05-8.1838e-05i,8.7023e-05+2.3844e-05i,0.00017506-0.00055192i,-0.00051263-0.0011564i,-0.00037179-0.0011461i,2.6139e-05-0.0005378i,-0.00019332-0.00043601i,-0.0004491-0.0005787i,-0.00084938-0.00052212i,-0.00052217-0.00028295i,0.00040332+0.00032907i,0.0007635+0.00014938i
