-0.0077186-0.00036062i,-0.0082694-0.00054374i,-0.0066182+0.0012907i,-0.0047228+0.0034481i,-0.0035062+0.0029197i,-0.0017834+0.0015193i,-0.00094554+0.0010745i,-0.00069643+0.0011483i,-7.5583e-05+0.00038415i,0.0010687+0.00060159i,0.0015744+0.0010728i,0.0012479-0.00025132i,0.00044178-0.0016969i,-0.00046487-0.0010608i,-0.0010281-0.00035874i,-0.0010984-0.00025883i,-0.00081302-0.0001217i,-0.00041722-0.00038957i,-0.00048663-0.00045574i,-0.00068077+0.0002729i,-0.0005816+0.00077193i,-0.00045126+0.00034859i,5.8815e-05+5.9307e-05i
0.00024613+0.00062339i,0.0018273+0.001086i,0.0018949-0.00012092i,0.001176-0.0011423i,0.00047803-0.00091628i,-1.4588e-05-0.000912i,-1.1321e-05-0.0011543i,-5.1142e-05-0.0010436i,-0.00032531-0.00091743i,-0.00070365-0.001282i,-0.0006491-0.00090869i,-0.00049967-0.00015416i,-0.00081573+0.00053316i,-0.00055746+0.0014297i,-0.00019889+0.00096758i,-0.00022048+7.1479e-05i,-0.00055213-0.00032347i,-0.0005769-7.5789e-05i,0.00018032+0.00025392i,0.00042388-0.00029067i,0.00044251-0.00051746i,0.00026197-0.00052148i,0.00030511-0.00039884i
0.00087614+0.0027266i,0.00036417+0.0033093i,0.0012692+0.0018784i,0.0011566-0.00044931i,0.0004049-0.0021451i,-0.00011204-0.0019927i,-0.00040472-0.0010408i,-0.00015438-0.0019902i,0.00026956-0.0027466i,-0.00052533-0.0014756i,-0.001269+0.00045877i,-0.0011729+0.0012947i,-0.0011366+0.0012659i,-0.00084079+0.00074415i,-0.00052341+0.00020704i,-6.6707e-05+0.00013672i,8.5976e-05-0.0003678i,0.00047946-0.00070111i,0.00059024-0.0011676i,0.00010318-0.0010807i,-0.00028055-0.00013432i,-0.00036322-0.0004048i,0.0003514-0.0008874i
0.0018768+0.0012827i,0.0007075+0.00042845i,0.0020867+0.00050615i,0.0026446-0.00072255i,0.00089387-0.0025816i,-0.00068988-0.0030568i,-0.00080596-0.002767i,-0.0011835-0.0017109i,-0.00054287-0.00077897i,1.765e-05-0.00053952i,-0.0004639-0.00098063i,-0.00095998-0.0008724i,-0.00089965+0.00028539i,-0.0010365+0.00078746i,-0.0010169+0.00044156i,-0.00050712-0.00015083i,0.00012806-0.00032817i,0.00029951-0.00027101i,0.0002632+0.00026699i,-0.00023862+0.00098734i,-1.765e-05+0.00041706i,0.00083435+0.00032018i,0.00037716+7.7136e-05i
0.00048201-0.0011457i,0.0010115-0.0010928i,0.0003168-0.000612i,-0.00066346+6.4591e-05i,-0.0010245+0.00044474i,-0.00078345+0.00058291i,-0.00069772+0.00027561i,-7.3985e-05-0.00023311i,2.8689e-05-0.00011838i,-0.00035463-0.00015713i,-0.00077222+3.2264e-05i,-0.0013595+1.3835e-05i,-0.00097088-5.6917e-05i,0.00043299-0.00027984i,0.0015354+0.00020327i,0.0011661+0.00079512i,0.00034414+0.00024247i,0.00024809-0.00031672i,-0.00037462-0.00016817i,-0.00060687+0.00045997i,-0.00015489+0.00054841i,0.00021382+0.0002788i,-5.3293e-05+0.00036004i
-0.001965+0.00099618i,-0.0020744+0.0012681i,-0.0013133+0.0013288i,-0.00084598+0.0013049i,-0.00049022+0.00052762i,5.1569e-05-0.00028531i,0.0006296-0.00087366i,0.00023426-0.0011495i,-0.00047381-0.0016078i,-0.00091248-0.0011767i,-0.00086273-0.00035735i,-9.826e-05-9.7719e-05i,-0.00022678-0.00021787i,-0.0013209-0.00037307i,-0.0011065-0.0004008i,-0.0010308-0.00032443i,-0.0011899-0.00014683i,-0.00023025-0.00026123i,0.00041888-0.00040345i,0.00011641-0.00084889i,0.00015822-0.00062936i,-5.8045e-05-0.00014584i,-0.00063602-0.00031901i
0.0024547-0.0022794i,0.0024283-0.0040788i,0.0019966-0.0028974i,0.00082249-0.0016219i,-0.00057815-0.0020082i,-0.00096067-0.0017279i,-0.00055256-0.00099347i,-0.00011218-0.00055134i,0.00026671-0.00031016i,5.0735e-05+1.2235e-05i,-0.00069346+0.00044545i,-0.00043366+0.00050955i,-0.00023333+0.00065222i,-0.001007+0.00088807i,-0.00094696+0.00036325i,-0.0011351-0.00072631i,-0.0011077-0.0010112i,-3.6419e-05-0.0012996i,0.00072963-0.00089489i,0.00087924-0.00047218i,0.00060358-0.001211i,0.00010465-0.0017818i,-0.00033471-0.0015046i
0.00010576-0.0016797i,-0.00042643-0.0017675i,-0.0017498-0.0024152i,-0.0016329-0.0016859i,-0.00086519-0.0012697i,-0.00052189-0.0019076i,-0.00058822-0.0018637i,9.3676e-05-0.0015196i,0.00088853-0.0014177i,0.0005407-0.00077795i,0.00010159+0.0009078i,-0.00014235+0.0010056i,0.00014359-9.0084e-05i,-0.00027452-0.00027548i,-0.00097391-0.00042035i,-0.00047633-0.00097216i,6.7019e-05-0.0013765i,0.00061772-0.00088232i,0.00044058-0.0002653i,7.7678e-06-0.00011087i,-8.0397e-08-0.00052042i,0.00025953-0.00076937i,0.0006987-0.00056334i
-0.00093309-0.0017751i,-0.0011503-0.0018123i,-0.0018344-0.0006936i,-0.0015633-0.0001734i,-0.00077069+0.00039346i,-4.5395e-05-0.00016908i,-0.00017506-0.00092582i,-0.00064298-0.00097075i,-0.00075132-0.0017561i,-0.00078483-0.0018372i,-0.0014194-0.00078819i,-0.0014188+0.00020995i,-0.00034434+0.00029117i,0.00017759-0.0001248i,0.00029679+0.00039212i,0.00047083+0.00031136i,0.00016214-0.00027341i,-0.00045071-1.2581e-05i,-0.00045454+5.3677e-05i,-0.00036264-0.0003224i,-2.261e-05-0.00035156i,0.00015655+6.4203e-05i,-9.062e-05+0.00048906i
0.00077342+0.0029515i,0.00046942+0.0028449i,0.0020105+0.0034702i,0.002492+0.0026226i,0.0017259-9.1248e-05i,0.00077084-0.0016028i,0.00017557-0.0015727i,0.00039481-0.0010313i,0.0010012-0.00095182i,0.0012977-0.0010678i,6.6603e-05-0.0010201i,-0.0010059-0.0010519i,-0.001054+0.00010028i,-0.0011669+0.0015338i,-0.0019688+0.00090797i,-0.0013571-0.00016493i,2.2103e-05+3.8283e-05i,0.00012537-0.00029638i,-0.0002252-0.00068011i,-0.000441-0.00036573i,-0.00030704+0.00016749i,0.00028471+0.00062988i,-6.6992e-05+0.0011729i
0.00051262+3.4554e-05i,-0.00023935-0.00024701i,0.0003234+0.00051537i,0.00061193+0.00081687i,0.00051966-0.00013497i,0.00013431-0.00064029i,-0.00022222-0.0014313i,-0.00069499-0.0012215i,-0.00092698-0.0010448i,-0.00039894-0.00095383i,0.00015737-7.6756e-05i,-0.00056983+4.6005e-05i,-0.001533-0.00019693i,-0.0010475-0.00029414i,-0.00062419+4.3515e-05i,-0.00036009+0.00067208i,0.0005588+0.00019228i,0.00044438-0.00042579i,-0.00052156-0.00077658i,-0.00017578-0.00082704i,0.00059297-0.00072391i,0.00045381-0.0010837i,-0.00015442-0.00096513i
0.0021728-7.7298e-05i,0.0017865-0.00062057i,0.0019248-0.0018774i,0.00040687-0.0024933i,-0.0014318-0.0021398i,-0.0011542-0.0016522i,-9.2095e-05-0.0012968i,0.00057682-0.0012135i,0.0007292-0.00171i,-3.259e-05-0.0019764i,-0.00059224-0.00086926i,-0.00090129+0.00046737i,-0.00084949+0.00063452i,-0.00025522+0.00036328i,0.00047833-0.00034483i,0.00063563-0.00081899i,0.00014793-0.00062593i,-8.458e-05+2.3079e-05i,7.2987e-05-0.00015575i,-0.00022688-0.0011895i,1.2189e-05-0.00050864i,-0.00024243+0.00028044i,-0.00046898-0.0001358i
-0.0012602-0.0010473i,-0.001884-0.00038722i,-0.0027188+0.00034388i,-0.001927+0.00045437i,-0.0011337-0.00033752i,-0.00043203-0.00044567i,-0.00033041-0.00074567i,-0.00042152-0.00081117i,-0.00025917-0.00043173i,-0.00091445-0.00030084i,-0.00046554-9.917e-05i,0.00091682-0.00073533i,0.00036273-0.00084495i,-0.00080301-0.00040921i,-0.0011176+6.082e-05i,-0.00089015+0.00035305i,-0.00063037-0.00017156i,-0.00068057-0.00034109i,-0.00033323-0.00034378i,-0.00028257-0.00069429i,-0.00027041-0.00056404i,0.0001431-0.00034761i,-0.0002698-0.00026326i
-0.0011571+0.0019411i,1.902e-06+0.0013742i,0.0015011+0.0012527i,0.001721+0.00052671i,0.00070954-6.635e-06i,-0.00057362-0.00078222i,-0.0009254-0.00072178i,0.00032522-0.000807i,0.00076745-0.00031816i,4.195e-05-0.00052237i,-0.00081489-0.0010332i,-0.0011197-0.00040047i,-0.00085175+0.00022226i,-0.00068099+0.0005671i,-0.0006102+0.00075936i,-0.00059045+0.001005i,-0.00097661+0.00054903i,-0.00065693-0.00016271i,0.00021472-0.00073209i,0.00023444-0.00073454i,8.4442e-05-0.00012529i,-0.00041664-0.00047495i,-0.00091949-0.0011554i
0.00034018+0.0019731i,2.8941e-06+0.00050236i,-7.2347e-05+0.0015658i,0.0004856+0.0014607i,0.0015106+0.00052841i,0.0019579-0.0007819i,0.00091577-0.0017166i,5.3872e-05-0.0010409i,0.00052445-0.0004442i,0.00079098-7.9473e-05i,0.00016023+0.00041394i,-3.1594e-05+0.00078024i,-0.00028765+0.0011773i,-0.0014384+0.0013533i,-0.0011105+0.00094009i,0.00029567+0.00039027i,-3.5244e-05+0.00028567i,-0.00027899+0.00018362i,0.00029678-3.6364e-05i,0.00066283+3.8771e-06i,0.00051701+0.00029391i,8.5078e-05+0.00024134i,0.00018987-6.3338e-05i
-0.0019257+0.0007295i,-0.0015653+0.0011695i,-0.0009387+0.00090336i,-0.00057219-2.5638e-05i,-0.00035789-4.845e-05i,-0.00035626-0.00026931i,-0.00088149-0.0014721i,-0.0014587-0.0017527i,-0.0017435-0.001551i,-0.0014102-0.00087286i,-0.00097199-0.00055971i,-0.00034296-0.00075791i,-0.00032598-0.00051623i,-0.00042831-0.00041471i,-0.0004398+0.00020596i,-0.00067954+0.00070259i,-0.0009018+0.00012776i,-0.00045651-0.00042852i,0.00058252-0.00015485i,0.00097657+0.00024518i,0.00038026+0.00028042i,-0.00030601-0.00059024i,-0.00010689-0.00037574i
-0.00042221-0.00010968i,-0.0012299+0.00028077i,-0.0010306-0.00064268i,-0.00098449-0.0013971i,-0.00071604-0.0012276i,-0.00051118-0.0015962i,6.1512e-05-0.0016504i,0.00082725-0.0010459i,0.00044191-0.0010889i,0.00018912-0.001163i,0.00018957-0.00036985i,-3.6764e-05-7.2158e-05i,-0.00075444-7.557e-05i,-0.0015718-0.00033973i,-0.0010571-0.0009553i,-0.00029491-0.00049599i,0.00027854+0.00018774i,0.00029382+0.0002197i,0.00053346-0.00015718i,0.00086516-1.9097e-05i,0.00033262+2.229e-05i,-0.00019395-7.3426e-05i,-0.00055811-0.00049594i
0.0010032-0.0024406i,0.0022061-0.0028652i,0.0018978-0.0020023i,-0.00023024-0.0011144i,-0.00086676-0.0013294i,-0.00042042-0.00023028i,-0.00074576+0.0010012i,-0.00093707+0.00019171i,0.00014962-0.00091015i,0.00082609-0.00137i,0.00040384-0.00082071i,-0.00017893-0.00014339i,-0.00086721+7.2069e-06i,-0.00068309+0.00025866i,-7.6332e-05+0.00059843i,-0.00015983+0.00037259i,-0.00036138-0.00013557i,-0.00054101-0.00099898i,-0.00033708-0.0016886i,-0.00018679-0.0013535i,-5.4142e-05-0.000445i,0.00058518+1.7213e-05i,0.00037129+0.0001514i
-0.0022974-8.0569e-05i,-0.0012811+0.00078522i,0.00044405+0.0013648i,0.00050989+0.0012188i,-0.00055333-0.00013257i,-0.00036168-0.001371i,0.00027913-0.0013863i,-0.00024265-0.0013754i,-7.3885e-05-0.00091621i,0.00077492-0.00049742i,0.0010034-0.00055622i,0.00068415-0.0005872i,0.00020363-0.00036403i,-0.00078914+0.00039941i,-0.0011139+0.0007707i,-0.00097931+1.9096e-05i,-0.00074354-9.2611e-05i,0.00022631+0.00017716i,0.00041185-0.00015656i,0.00030473-0.00051741i,0.00010489+0.00011532i,-0.00010328+0.00074826i,0.00033077+0.00076293i
0.0015388-0.00043629i,0.0011642-0.00074054i,0.00080745-0.00098884i,0.00056643-0.00073731i,0.00084684-0.0011727i,0.00046822-0.0010961i,-4.9062e-05-0.0010934i,-0.00010751-0.0012657i,-0.00037385-0.0014186i,-0.00070598-0.00074112i,-0.0012018-9.8554e-05i,-0.00077534+0.00072672i,-0.0003409+0.0018799i,-0.00012307+0.0015657i,4.945e-05+0.00062166i,2.9665e-05+2.1005e-05i,-5.158e-05+3.4376e-05i,0.00019241-0.00060235i,0.00076897-0.0011189i,0.00032152-0.0004066i,0.0006025+0.00010099i,0.00073067+8.7757e-07i,0.000169-5.2034e-05i
0.00055511+0.0031701i,0.00066606+0.0024916i,0.00053806+0.0022265i,0.0015201+0.0011293i,0.0020639-0.00083494i,0.0011603-0.0021085i,0.00069296-0.0021113i,9.7737e-05-0.0014862i,0.00018684-0.0012688i,1.4142e-06-0.0017105i,-0.0014001-0.001345i,-0.0016457-0.00070695i,-0.0015791-0.00084221i,-0.0015994-0.00096675i,-0.0010076+0.00011078i,-0.00018945+0.00038428i,0.0011336-0.00014518i,0.0014527-0.00025446i,0.0010338-0.00030164i,0.00027764+0.00010518i,-0.00027734+0.00014015i,-0.00022674+0.00020997i,-0.00025392+0.00057643i
-0.001674+0.0032688i,-0.0016016+0.0032274i,-0.00042935+0.0023081i,0.0007448+0.0019754i,0.0011721+0.0014121i,0.00065126-0.00036409i,0.00065098-0.0011401i,0.00056154-0.00097233i,0.000288-0.0011233i,0.00052595-0.0008278i,6.1212e-05-8.314e-05i,1.7712e-05+6.4613e-06i,-0.00030017+0.00019065i,-0.0011866-0.00012497i,-0.00092285+1.5399e-05i,-0.00064533+0.00073336i,-0.0011603+0.00038437i,-0.0010643-0.00026536i,-0.00050029-0.00057286i,-0.00026941-0.00029909i,-9.6171e-05+4.5113e-05i,0.00069371-0.00024027i,0.00081679-0.00025762i
0.0013442+0.00097973i,0.0018584+0.00033439i,0.0018554+0.00018631i,0.0019092-0.00029827i,0.0009644-0.0016556i,-0.00082332-0.0021254i,-0.001119-0.0018162i,-0.00041148-0.00091669i,0.00010238-0.00050484i,0.00016633-0.0004419i,-0.00034847-7.7486e-05i,-0.00050441+7.0844e-05i,-0.00073822+0.00062393i,-0.00063938+0.0010057i,-4.7415e-05+0.00038092i,-0.00016499-0.00050042i,-0.00066552-0.0002437i,-0.00024944+0.00025881i,0.00022906-0.00065636i,0.00050334-0.0011213i,0.00073316-0.00066321i,2.4676e-05+0.00016338i,-0.00044524+0.00021843i
0.00012046-5.9492e-05i,0.00027836-0.00027754i,-0.00053127-4.5303e-06i,-0.001095+0.00015749i,9.0486e-05-0.00017264i,0.0009501+9.5744e-06i,0.0005165-2.575e-05i,0.00027948-0.00041418i,0.00013563-0.0010674i,-0.00061237-0.0010584i,-0.0011668-0.00021975i,-0.0012688+0.00050978i,-0.001048+0.00056789i,-0.00071848+8.656e-05i,-0.00024989+0.00051226i,-2.4567e-05+0.0011073i,7.4372e-05+0.00044411i,0.00018716+2.0584e-05i,0.00041795+0.00021229i,-5.8812e-05+0.0002297i,-0.00061873-0.00019602i,-0.00036308-0.00021607i,-2.2053e-05-0.00023105i
-0.0015211-0.00057291i,-0.0016601-0.00098353i,-0.0022304+5.2134e-05i,-0.0025231+0.0008474i,-0.0018459+0.001541i,-0.00059741+0.0013574i,-0.00052137+0.00011094i,-0.0010289-0.00074282i,-0.00093358-0.00052445i,-0.00056075-0.00066996i,-0.0003642-0.00069617i,-0.00039415+0.00023797i,-0.00045332+0.00028123i,-0.001425-0.00020985i,-0.0020006-0.00027879i,-0.0011562-0.00031307i,-7.0048e-06-0.00040344i,-8.1132e-05+0.00029853i,-0.0010976+0.0010418i,-0.00094971+8.4959e-05i,-0.00044504-0.00052812i,5.8376e-07-0.00034131i,0.00030759-7.3833e-05i
0.00033978-0.00087188i,6.427e-05-0.00091736i,0.00064138-0.00033359i,0.0013613-0.0010149i,0.001426-0.0017709i,0.0010442-0.0020448i,0.0013737-0.001985i,0.0014061-0.0016502i,0.00047745-0.0014684i,0.00027887-0.0014926i,-0.00030527-0.00070557i,-0.00099351+0.00027073i,-0.00078375+0.00029737i,-0.001071-0.00050245i,-0.00088733-0.00061753i,1.6389e-05-0.00039054i,0.00057883-0.00011981i,0.00040177+6.8487e-05i,-0.00062054+0.00020362i,-0.00024756-0.00058459i,0.00081377-0.001421i,0.0014978-0.00095034i,0.0015524-0.00013908i
-0.0012621+0.00011124i,-0.00082943-0.00019718i,0.00019639+9.6303e-06i,0.00025955+0.00042844i,-0.00016592+6.4453e-05i,-0.00031055-0.00080765i,-4.9767e-05-0.00062678i,0.00048867+0.00024056i,0.00066767+1.5527e-05i,-5.5822e-05-0.00033302i,-0.00058861-0.00082554i,-0.00020623-0.00045525i,0.00020044+0.00015463i,0.00021251+0.00013708i,0.00016491+8.0145e-06i,-0.00017795+0.00020749i,9.2292e-06+0.00025415i,0.00025462+0.00016383i,0.00014926-0.00014302i,0.00018708-0.00031469i,0.00025598-0.00037631i,0.0011345-0.00029167i,0.0020627+4.6101e-05i
-0.00027988-0.0008438i,0.00080461-0.001411i,0.00071392-0.0010457i,4.0722e-05-0.00092836i,0.0006345-0.00076282i,0.0012387-0.00078851i,0.0002211-0.00044007i,4.5704e-05-0.00084268i,-4.9644e-05-0.00091391i,-0.00068637-0.00058587i,-0.00052448-0.00054186i,-0.00067842+0.0002261i,-0.00048223+0.00044025i,0.00023147-0.00019778i,0.00027594-0.00017842i,4.1367e-05+0.00052026i,0.00041704+3.6361e-05i,0.00011968-0.00068256i,-0.00084147-0.0013211i,-0.00096794-0.0014336i,-0.00053218-0.0003354i,-1.5315e-05+0.0004984i,0.00037549+0.00069297i
-0.0010203-0.00045823i,4.5315e-05+9.3432e-05i,0.00017974+0.00053027i,-0.00039542-0.00017317i,-0.00061771-0.00024796i,-0.00039386+7.1465e-05i,0.00022798-0.00018774i,0.00090533-0.00081615i,0.00136-0.0015007i,0.00061339-0.00095578i,-0.00034867-0.00034932i,-0.00093795-0.00039002i,-0.00098119-0.00019469i,-0.001378+0.00024545i,-0.0011529+0.00052775i,-0.00038267+0.00084021i,-0.0001284+1.6419e-05i,0.00034658-0.00069951i,0.00079982-0.00078351i,0.00072332-0.00076282i,0.00017902+1.4522e-05i,-0.00057151+0.00046761i,-0.00097057-5.732e-05i
-0.0023543+0.00035366i,-0.0011945+0.00089477i,-0.0020061+0.0015729i,-0.0011005+0.0014133i,-0.00044597+0.00043646i,-0.00020505-0.00098462i,0.00020011-0.0018805i,0.00049125-0.001308i,0.00020604-0.00077392i,-0.00045467-0.00026416i,6.9336e-06+0.00031362i,0.00080043+0.00077867i,-0.00042329+0.00030858i,-0.00132-0.00060571i,-0.0019468-0.00077271i,-0.0020223-0.0006824i,-0.00057684+0.00010766i,0.00025876+0.00055844i,0.00016548+0.00031793i,-6.6399e-05+0.00019605i,5.2326e-06-0.00018865i,0.00054798-0.0004312i,0.00027733+0.00034283i
-0.0014538-0.00063655i,-0.002206-0.0003046i,-0.00062486+7.8318e-05i,0.00059097+0.00075921i,-0.00073622+0.0012397i,-0.0013239+0.00088787i,-0.00077918+0.00052385i,-0.00064913+0.00037923i,-0.00062726-0.00017075i,-0.00050125-0.00052804i,-0.0003068-0.00016627i,-0.00077364+0.00038197i,-0.00084171+0.00017753i,-0.00052422-0.00023653i,-0.00046016+0.00026061i,-0.00050784+0.0012216i,-0.00089408+0.00083746i,-0.0003559-0.00046245i,0.00059262-0.00082709i,0.00092037-0.00053074i,0.00087853+0.00013246i,0.00066943+0.00033131i,0.00028721+0.00030334i
-0.0012586-0.0015018i,-0.0018561-0.00087412i,-0.002344-0.00044705i,-0.0021936+0.00082125i,-0.0014254+0.0014846i,2.3903e-05+0.0010018i,0.00048189-0.00051872i,8.7809e-05-0.0016777i,-0.00018648-0.0018153i,-0.00049191-0.00038546i,-0.00056849+0.00036065i,0.00020333-0.00026785i,0.00054294-0.00047639i,-0.00015856-0.00054846i,-0.00034299-0.0010233i,-0.00025984-0.00088587i,-0.00011339-0.00061141i,0.00072207-0.00065504i,0.00099845-0.00023023i,0.00055996-0.00044736i,0.00047412-0.00036027i,0.00059187-0.00035422i,0.00077271+2.5593e-05i
-0.00019251+0.00044482i,-0.00057519-0.00050206i,-0.00084316-0.0023691i,-4.8695e-05-0.0031333i,0.0003651-0.0022001i,0.0001498-0.001349i,-0.00064601-0.0012773i,-0.0013036-0.0012979i,-0.0010488-0.0012257i,-0.00095403-0.0012377i,-0.0010314-0.0011353i,-0.00099088-0.00060647i,-0.0006462-0.00017623i,-1.0105e-05+0.00020341i,0.00073166+0.00048469i,0.00082428-6.279e-05i,0.0007093-0.00066312i,0.0004434-0.00057942i,0.0004786-0.00074398i,0.00048006-0.00084853i,-8.9948e-05-0.00018552i,0.0003061+0.00050362i,0.00057186+0.00078917i
0.00044298+0.00099409i,0.00085949+0.0005268i,0.00083524+0.00057361i,3.203e-05-5.5416e-05i,0.0001205-0.00064608i,-6.3424e-05-0.0016566i,-0.00081599-0.0016368i,-0.00086063-0.00022778i,-0.00032638-0.00030207i,0.00047844-0.0010204i,8.5261e-05-0.0010662i,-0.00026182-0.0005481i,-0.00090902+0.00041144i,-0.0023105+0.00057775i,-0.0021733+0.0008887i,-0.00059087+0.0017082i,0.00070417+0.001084i,0.00090597+0.00010634i,-3.2442e-05+0.00017286i,-0.00070834-0.00026289i,-0.00046908-0.00022014i,2.7338e-05+8.7147e-05i,-6.5565e-05-0.00049006i
0.0010859-0.0013723i,-0.00044535-0.00052543i,-0.00073033-0.00072296i,-0.00086815-0.0011589i,-0.00042723-0.0011513i,0.00011183-0.00096809i,0.00012687-0.0010506i,0.0001697-0.0012955i,-0.00016398-0.0013324i,-0.000561-0.0004342i,-0.00079753+0.00029866i,-0.00043747+0.00054588i,-0.00048063-2.2861e-05i,-0.00057586-0.00016667i,-0.00074874+0.00074349i,-0.00083673+0.0010695i,-0.00054754+0.00043474i,-0.00035553-0.00045071i,-0.00044746-0.00065466i,-0.00010127-0.00073093i,-0.00016969-0.00073869i,0.00047873-0.00050358i,0.00080697-0.00085726i
-0.0009601-0.002203i,-0.0011478-0.0014674i,-0.0016601-0.000675i,-0.0013969-0.00079742i,-0.00097659-0.00074693i,-0.00069697+1.6383e-05i,-0.00057275+5.4199e-05i,-0.00086978-0.00074135i,-0.0011669-0.0010174i,-0.0011578-0.00063376i,-0.0015542-0.0005729i,-0.0010082-0.00076017i,-3.3011e-05-0.00054834i,0.00027387+0.00019987i,0.00030768+6.0283e-05i,0.00032795-0.00062165i,-0.00013139-0.00033986i,-2.8124e-05-0.00035704i,0.00061688-0.00043744i,0.0006591-0.00033114i,0.00071798-0.00071307i,0.00018691-0.0010377i,-0.00054803-0.00095556i
-0.00080362-0.0018645i,-0.00038944-0.0016706i,-0.0022334-0.0021931i,-0.0020792-0.0021215i,-0.0015451-0.0012988i,-0.0009885-0.00045413i,0.00021056-0.00040147i,0.00061393-0.00061912i,0.00087175-0.0012405i,0.0011254-0.0015677i,0.00040455-0.0011857i,-3.6252e-05-0.00039638i,-0.00061179+0.00021388i,-0.00119+0.00014699i,-0.00031262-0.00040856i,4.6845e-05-0.00050682i,-0.00037466-0.00045142i,0.0003455-0.00060032i,0.00090947-0.00023867i,0.00075736+0.00024014i,0.00038526+0.00037813i,9.7001e-05+0.00062879i,-0.00044194+0.00069189i
-0.00086789-0.0014657i,-0.0017658-0.00026601i,-0.0015477-0.00034323i,-0.0014152-0.00061611i,-0.0013009-0.00062069i,-0.00045677-0.00088884i,0.00073382-0.00099938i,0.00077651-0.0015145i,9.6376e-05-0.0019797i,0.00011257-0.001156i,-0.00011382-0.00022592i,-9.3012e-05-0.00016961i,-0.0001572-0.00042311i,-0.00066234-0.00030272i,-0.00079484+5.4638e-05i,1.4543e-05-0.00027615i,0.00086124-0.0006779i,0.0011867-0.00057318i,0.001351-0.00094305i,0.00046461-0.00075707i,-0.00034023-0.00052214i,-0.00012754-0.00063436i,0.00039506-0.00054015i
0.00067188+0.0013649i,0.0003758+0.00076536i,0.00040838+0.00076595i,0.0012433+0.00062899i,0.001834+0.00017512i,0.00093926-0.0003478i,-0.0003706-0.00065172i,-0.00032939-0.0012109i,0.0003194-0.0021366i,0.00033152-0.0029732i,-0.00010997-0.002078i,-0.00075492-0.0006299i,-0.0010344-0.0002841i,-0.00090768+0.00057566i,-0.0011288+0.001553i,-0.0009245+0.00095667i,-0.00021676-0.00013194i,-0.0003352-0.00057935i,-0.00027184-0.00069125i,-0.00017626-0.00033483i,-0.00038782+0.00025356i,0.00013724+0.00020829i,3.8788e-05-0.00028829i
0.0014531+0.00032536i,0.0012584-9.6072e-05i,0.0011419-0.0011545i,0.00058621-0.0017649i,-0.00079481-0.0011569i,-0.0026034-0.00077295i,-0.0018546-0.0010809i,0.00032567-0.0011981i,0.00093538-0.0012557i,0.00040615-0.00090252i,-0.0004933-1.4036e-06i,-0.0016345+0.00038576i,-0.0017706+0.00058335i,-0.00060082+0.00076869i,7.317e-05+0.00048274i,-0.00036418-0.0003667i,-0.00029279-0.0008299i,0.00047252-0.0011338i,0.0006854-0.0010517i,0.00055728-0.00030513i,0.0005482+6.4708e-05i,5.7077e-05-3.1602e-05i,-0.00013274+5.1713e-05i
0.0018733-0.0022063i,0.00053849-0.0018114i,-0.00088797-0.0009194i,-0.00177-0.00050613i,-0.0011319-0.001079i,-0.00074117-0.00075421i,-0.00094003-0.00020335i,-0.00060269-0.0003926i,-0.00043267-0.0013146i,1.0376e-05-0.00086506i,-0.00020014+0.00013093i,-0.0012732+0.00035145i,-0.0018697+0.00037409i,-0.0018293+9.1501e-05i,-0.00070719-0.00028413i,0.00038107-0.00036408i,0.00031737-0.00024991i,0.00027144+0.00018486i,0.0011088+0.00070954i,0.0015126+0.00012348i,0.00079749-0.00021389i,-0.00015819-2.3809e-06i,0.0001896-0.00022479i
-0.0011566-0.001165i,-0.0012544-0.0011883i,-0.0014926-0.0012036i,-0.00067903-0.00040286i,7.8978e-05+0.00038661i,7.1388e-05+7.2043e-05i,-0.00060717-0.00031961i,5.4458e-05-0.00036915i,0.00082727-0.00024017i,0.00011443-0.00019072i,-0.00033962+0.00032634i,-0.00093126+0.00067852i,-0.0011132-0.00033357i,-0.0010066-0.00018499i,-0.00095957-0.00031336i,-0.00044821-0.00079582i,-0.00032534-0.0004399i,0.00037714-0.0010936i,0.00066099-0.0012797i,-1.1666e-05-0.00058658i,0.00018449+5.6438e-05i,0.00055924+0.00050535i,-7.6841e-06+0.00026834i
-0.00044115+0.00089887i,-0.0010619+0.0010017i,-0.00071843+0.0019407i,0.00032015+0.0015177i,0.00019759+0.00030701i,0.00067309-0.00036697i,0.00051086-0.00073664i,0.00013742-0.001196i,-0.00042269-0.0018165i,-0.0010441-0.0016236i,-0.000619-0.0015296i,-0.00046348-0.0012924i,-0.0008577-0.00063811i,-0.0015263+0.00036071i,-0.0014268+0.0012473i,-0.00084229+0.0008526i,-7.7206e-05+4.648e-05i,0.00077929-0.00079773i,0.00020205-0.0013631i,-0.00039778-0.0011083i,-0.00020317-7.7491e-05i,-0.00034158+0.00073905i,-0.0014231+0.00042276i
