0.0012513-0.00068483i,0.0011182-0.00085248i,-0.00032455-0.0018026i,-0.001578-0.0024991i,-0.0018231-0.0020389i,-0.0011991+0.00038858i,0.00077688+0.0017297i,0.0016495+0.0013044i,0.0020466-0.00034688i,0.0020278-0.0015095i,0.0014064-0.0011081i,0.00025123-0.0006145i,-0.00067808-3.7086e-05i,-0.001064+0.0012027i,-0.0012026+0.00094411i,-0.00060971-1.488e-05i,-0.00029803-0.00036322i,2.9853e-05-0.00014327i,-0.00042709+0.00073087i,-0.0003981+0.00058773i,0.00012122+0.00036946i,0.0001545+0.00012918i,0.00012344+0.00017804i
0.0020266-0.0007366i,0.0019365-0.0018126i,0.0016419-0.0021884i,0.0014104-0.0003749i,0.0013553+0.001525i,0.00091915+0.0014138i,-0.00030321+0.00023596i,-0.0010209-0.00025506i,-0.00069799-0.00018409i,-0.00066498-0.00075112i,-0.0010938-0.00076493i,-0.00052967+0.00026239i,-6.3498e-05+0.00067776i,-4.451e-05+0.00023714i,0.00024429+0.00010852i,-0.00015904+0.00045218i,-0.0011004+0.00044555i,-0.00067703+4.8523e-05i,-0.00066599+1.2009e-05i,-0.00096092+0.00021491i,-0.00034375+0.00067007i,6.057e-05+0.00066496i,-0.00017076+0.00017155i
0.00062725-0.0010985i,-0.00062031-5.5576e-05i,-0.00066874-8.2906e-05i,-0.0013741-0.0015169i,-0.0013092-0.0019481i,-0.00087371-0.0003093i,-0.00044247+0.0011405i,0.00046398+0.00073412i,0.00050735-2.5357e-06i,-0.00062282+1.7263e-05i,-0.0014329+0.00052235i,-0.0013194+0.0005675i,-0.00057186+0.00038774i,4.2171e-05+0.00058935i,-3.2494e-05+0.00027857i,8.9756e-05-0.00020056i,0.0002601-3.5469e-05i,0.00042103+9.8932e-05i,0.00099309+3.724e-05i,0.0011199-0.00021687i,0.0002726-0.00087001i,-0.00048665-0.00010171i,-0.00014501+0.00034034i
-0.0025646+0.00055778i,-0.0018773+0.00027818i,-0.0015907+0.00051629i,-0.00064641+0.0006705i,0.0012245+0.00023068i,0.0013995-0.00083142i,-8.3936e-05-0.0010363i,-0.0005325-0.00056838i,-0.00037349+2.8876e-05i,-0.00029997+0.0010553i,5.4944e-05+0.0019507i,0.00045168+0.0014739i,0.00083806+0.00037673i,0.00076991+0.00021386i,0.00050614-0.00055701i,0.00019091-0.00055459i,0.00072395-0.00043186i,0.0010269-0.00058377i,9.8257e-06-0.00062182i,-0.00057427-0.00052137i,-0.00011803+0.00042075i,0.00043939+0.0010391i,0.00075985+0.00076731i
0.0017866+0.0026341i,0.0017833+0.0024602i,0.0025523+0.0011989i,0.0024635+4.0021e-05i,0.00050318-0.00087144i,-0.0011795-0.00082177i,-0.0010635+0.00032697i,-5.1132e-06+0.00027404i,0.0012782-1.866e-05i,0.0014929+0.00017964i,0.00082653+1.4017e-05i,0.00082619-0.00035442i,0.00090818+0.0002087i,0.00064174+0.00064856i,-0.00033654+2.0541e-05i,-0.0012551-0.00042243i,-0.00092697-0.00043042i,-0.00036426-0.00061987i,-0.00041779-0.00021187i,0.00026292+0.00042262i,0.0011325+0.00022941i,0.0011189+2.8208e-05i,0.00085962+0.00013165i
-0.00068616-0.001102i,-0.00059822-0.0017263i,-0.00010697-0.0007091i,0.0008827+0.00080415i,0.0011963+0.00094403i,0.00072591+0.00099409i,0.00047264+0.0010318i,0.00063262+0.00070544i,0.001364+0.00024976i,0.0020633-0.000538i,0.0015506-0.00040895i,0.0007216-0.0001985i,0.00054473-2.3475e-06i,2.7532e-06+0.00013809i,0.00025009+0.00010526i,0.00054239-0.00060554i,0.00047194-0.00067793i,5.3441e-05+9.2309e-05i,-0.00050982-0.00090712i,-0.00019129-0.0016121i,-0.00036532-0.0013953i,-0.00018415-0.00026335i,9.5087e-05+0.00079673i
-0.00058568-0.0017849i,-0.00042334-0.0007588i,-0.00067598-0.00061938i,-0.0015241-0.00081264i,-0.0013672-0.0012051i,0.0004267-0.00071061i,0.0010302-0.00026182i,0.0012886-0.00094503i,0.0015063-0.0010518i,0.00087051-0.00015106i,-1.9693e-05-7.6885e-05i,-0.00070924-0.00023087i,-0.00085052+6.0625e-05i,0.00039575+0.00057236i,0.0011778+0.0006646i,-0.00010809+0.00037462i,-0.00071497+0.00034394i,-0.00039855-0.00018892i,-0.00062364-0.00062001i,-0.0001003-0.00022414i,0.00021671-0.00014364i,-0.00017998-0.00022671i,-0.00018744-7.5067e-05i
0.00076723-4.7964e-05i,-0.00030014-0.00045655i,-3.4311e-05-0.0010295i,0.00089698-0.00095669i,0.00090399-0.0002004i,0.00024332-1.743e-05i,-0.00025416+0.0003482i,-0.00025367-0.00042582i,-0.00010818-0.0016974i,-9.5134e-05-0.0019703i,6.016e-05-0.0019457i,0.00012459-0.0013335i,-0.00028659-0.00018998i,-0.0012075+0.00070712i,-0.0010171+0.00058561i,-0.00024994-0.00012702i,0.00016818-0.0001462i,0.00022655+0.00048778i,-7.5757e-05+0.00047359i,-0.00016027+0.00010157i,0.00015998-2.1729e-06i,0.00040949-0.00013527i,0.0002332-0.00038246i
0.00035134-0.001065i,-0.00078098-0.0017863i,4.7777e-05-0.0018513i,0.00084994-0.0011844i,0.00058605-0.00045376i,0.00011956-0.00031966i,-0.00042961+4.1813e-06i,-0.00072558+0.00022476i,-0.0013298-0.001267i,-0.0018499-0.00111i,-0.0014418+0.00012048i,-0.00052433+0.00088509i,0.0001889+0.00066439i,0.00027604+0.00040583i,-0.00018813+0.00063897i,-0.00083461+0.00010729i,-0.00092825-3.0298e-05i,-9.4232e-05+0.00043785i,5.5351e-05+0.00069925i,-2.5193e-05+0.00031135i,-0.00053787-0.00014245i,-0.0012226-0.00070628i,-0.00091503-0.00030811i
0.0014509+0.0030131i,0.0019968+0.0017405i,0.0020175+4.3534e-06i,0.0014391-0.0016575i,0.00099001-0.0022574i,-0.00018449-0.0016269i,-0.00032883-0.00040615i,0.00040442+0.00062077i,0.00046923+0.0013745i,-0.00035109+0.0017244i,-0.00093835+0.00089838i,-0.00080946-0.00045827i,-0.0010784-0.00057443i,-0.0016197+0.00032659i,-0.0016761+0.00040945i,-0.00106+0.0006624i,-6.9065e-05+0.00072917i,0.00048837+0.00062196i,0.00021128+0.0007435i,9.2351e-05+0.0011047i,0.00010548+0.00098616i,-0.00017548+0.0004849i,-0.00049102+0.00018847i
-0.00096679-0.0017369i,-0.00022173-0.002117i,0.00068371-0.00213i,-0.00069086-0.0017381i,-0.0017455-0.001051i,-0.00059407-6.5074e-05i,0.00032636+0.00070228i,0.0011815+0.00067137i,0.0014001+0.00074028i,0.00063572+0.0012126i,0.0012047+0.0012509i,0.0015292+0.00043613i,0.0015669-0.0003117i,0.0012027+1.9317e-05i,0.00050304+0.00055638i,2.814e-05+0.00019536i,-0.00035088-1.1066e-05i,-0.00012643+6.2626e-05i,0.0002983+6.5342e-05i,0.00034911+0.00011676i,0.00042033+2.8534e-05i,0.00064305+0.00052666i,0.0012082+0.00069963i
0.0012082+0.0026587i,0.00069287+0.0023551i,0.00035882+0.00087766i,0.0010357+0.00035463i,0.0012137+0.001196i,0.00027888+0.001005i,-0.00074517-0.00020932i,-0.00014287-0.00058762i,0.00071766+0.00029211i,0.00020526+0.00083315i,0.00023324+0.00011042i,0.00056468-0.00062539i,0.00035375-0.00042876i,-0.00053127+2.5844e-05i,-0.00047684-9.7093e-05i,2.5668e-05-0.00022603i,-0.00030671-0.00039829i,-5.9598e-05-0.0003729i,0.00020056+0.00014483i,-1.5276e-05-0.00019565i,0.00044907-0.00064234i,0.00059919-3.3554e-05i,0.00045931+0.00061908i
-0.0028032+0.00019769i,-0.0020559+0.0018105i,-0.00048864+0.0017787i,0.0011018-1.2167e-06i,0.0016532-0.00082285i,0.001391-0.0004864i,0.00077356+9.8923e-05i,0.00051874-0.00052719i,0.0012353-0.00069979i,0.0015381-0.00058015i,0.00091747-0.0013867i,0.00026416-0.0014577i,0.00027662-0.00064785i,0.00010946-0.00076646i,-0.0002561-0.0011437i,-0.00079786-0.00064651i,-0.0010597-0.00045117i,-0.0010771-0.00035615i,-0.00050478-0.0004965i,-0.000316-0.00014681i,-0.00022508+0.00045086i,1.9955e-05-8.5716e-05i,7.1476e-05-0.00091286i
0.0018636-0.0013362i,0.0011071-0.0010701i,-8.0164e-05-0.00067109i,3.6756e-05+3.2618e-06i,0.00015093+0.00049154i,-1.9178e-05+0.00058291i,-0.00020703+0.0003403i,-0.00065591+9.2235e-05i,-0.00034501-0.00079898i,0.00037753-0.00085743i,0.00050933-0.00018263i,0.00027935+0.00028836i,0.00026086+0.00046287i,-0.00029849+0.00085909i,-0.00047998+0.0012327i,-1.9205e-05+0.00094715i,0.00015923-0.00016501i,0.00036188-0.00012519i,0.0007332-0.00011666i,0.00086603-0.0011367i,0.00059564-0.00099201i,0.0009283-0.00038031i,0.0013337-0.00028495i
0.00017347+0.00026706i,0.00082597-0.00044954i,0.00090572-0.00085729i,0.00011807-0.00031479i,-0.00061866+3.6022e-06i,-0.00027009-2.0988e-05i,0.00011887+0.0002667i,-0.00089753+0.00042034i,-0.00086558-0.00013339i,-0.0011545-0.0011771i,-0.0019098-0.0005945i,-0.00085158+0.0002812i,0.00064118+1.2778e-05i,0.0010696-0.00017747i,0.00062097-9.7781e-05i,7.4601e-05-0.00071317i,-9.2754e-05-0.0013242i,-2.7517e-05-0.00057052i,0.00031018+0.00052131i,0.00049026+0.0005886i,0.0003638+0.00016095i,0.00025888+0.00027751i,0.0004618+0.00024074i
0.0017619-0.0024714i,0.00093555-0.0023691i,-0.00051917-0.0016435i,-0.0010478-0.00048769i,-0.0013017+0.00041527i,-0.0013562+0.00099126i,-0.0010935+0.00071954i,-0.00043262+0.00016222i,-0.00011266+0.00034811i,-0.0010153+0.0005034i,-0.0020242+0.00054803i,-0.0019349+0.0011969i,-0.0010654+0.001435i,6.7473e-05+0.0003098i,6.8709e-05-0.00063948i,-0.00036827-0.00019801i,0.00027703+0.00025033i,0.0010517+0.00027666i,0.0015131+0.00033828i,0.0014753+0.00031691i,0.00068219+0.00011225i,-0.00019631+0.00010117i,-0.00082707+5.434e-07i
0.00047665+0.0010428i,0.00096961+0.0010734i,0.00051222-0.00018782i,0.0006447-0.00096697i,0.0013801-0.00069178i,0.00089395-0.00061393i,-0.00054526+9.1707e-05i,-0.00086015+0.00052198i,-0.00070214+0.0013005i,-0.00037112+0.0021478i,0.00060636+0.0020283i,0.0012915+0.0012543i,0.00074733-0.0005723i,-5.3016e-05-0.0012492i,-0.00014227-0.00063685i,-0.00052508-0.00054505i,-0.00073674-0.0005693i,-0.00027089-0.00067143i,-0.00015813-0.00094375i,-0.00040955-0.00056371i,-0.00088604+9.1866e-05i,-0.00051045+1.5069e-05i,-6.9832e-05+6.9605e-05i
0.00042811-0.0016828i,-0.00019644-0.0014544i,-0.00030512-0.0007579i,-0.000918+0.00035263i,-0.0011289+0.0010616i,0.00023433+0.0010494i,0.00099529+0.00064002i,0.0012213+0.00091377i,0.00079372+0.0009323i,0.00048577+0.0011958i,0.00034265+0.0010427i,0.00020014+0.00045714i,0.00027352+0.00088795i,-0.00031992+0.00094965i,-0.00033588+0.00034629i,0.00041282+0.00036297i,0.00035079-8.6143e-05i,-0.00013996-0.00063785i,-1.9519e-05-0.00048132i,-0.0006213+0.00016383i,-0.00034789+0.00036313i,0.00072404+0.00040874i,0.00064381+0.00075719i
-0.000144+0.00068588i,-0.00021068-0.00070419i,-0.00026555-0.00073847i,-0.00086725-0.00062409i,-0.00071207-0.00075877i,0.0005168-0.00036289i,0.00042266-0.00022883i,0.00018488-0.000337i,0.00084219-0.0002587i,0.0015418-0.00011265i,0.0011033-0.00043636i,0.00079459+1.5729e-05i,0.00076286+0.00064724i,9.7002e-05+0.00019076i,-0.00011334+0.00011757i,0.00033245+0.00034711i,0.00061762-0.00049157i,-0.00018784-0.00077363i,-0.00025249-1.8652e-05i,0.0010547+0.00026984i,0.0011165+0.0003694i,0.0001313+0.00060845i,-0.00059145+5.1203e-05i
0.0011396+0.00017213i,0.0013064+8.0952e-05i,0.0017147-0.00019518i,0.0013717+0.00031581i,0.00067686+0.0014136i,-0.00052831+0.0020269i,-0.0016317+0.0019465i,-0.0013745+0.0011063i,-0.00011207-0.00023348i,0.00066469-0.000896i,0.00086706-0.00078693i,0.00046867-0.00012955i,0.00063399+0.00095756i,0.00013731+0.00056499i,-0.0011871-0.00041737i,-0.0010517+0.00039644i,-0.00029388+0.00063938i,-7.2444e-05-9.4042e-05i,-0.00040935+0.00056361i,-0.00068866+0.0014815i,-0.0011558+0.0010839i,-0.0014566+0.00033438i,-7.9283e-06-7.2895e-05i
0.0013423+0.00011193i,0.00098355+0.00011542i,0.00052813-0.00030202i,3.1382e-05-0.00053558i,-0.0004072+0.00068993i,-0.00034508+0.0014946i,0.00091529+0.00098214i,0.0015722+0.00030806i,0.00036507-0.00029123i,-0.00084335-0.00025175i,-0.001058+0.00022122i,-0.00042652+0.00086847i,-5.2468e-05+0.00018581i,0.00053021-0.00023483i,0.00074415+0.00070562i,-0.00058626+0.0009587i,-0.0011999+0.0004067i,-0.0010979+3.1864e-05i,-5.0239e-05+0.00043024i,0.00054595+0.00054664i,0.00015868-9.0867e-05i,0.00020509-0.00066728i,-0.00010173-0.00032491i
-0.00016482+0.000989i,0.00020617+0.00054163i,0.0013599+0.00031592i,0.0016935-3.2579e-05i,0.0018563+3.2231e-05i,0.0010106+0.0007987i,1.5146e-05+0.0012153i,-0.00018395+0.00081025i,-0.00056128+0.00045017i,-0.00077083+0.0005028i,-0.0011508+0.00043503i,-0.0014175-9.1354e-05i,-0.00043973-0.00028053i,0.00013591-0.00020826i,-0.00063722-0.00019635i,-0.0010848-0.00066601i,-0.00087214-0.00075938i,-0.00068363-0.00050892i,-0.00024399-0.00069394i,0.0006183-0.00049934i,0.0006555+3.1048e-05i,0.00047394+0.00054995i,0.00039654+0.00033275i
-0.0001366-0.00051827i,-0.00076979-0.0013064i,-0.0014872-0.0014944i,-0.0025832-0.0013479i,-0.0031619-0.00095217i,-0.002-0.00027617i,-0.00050573+1.591e-05i,8.0535e-05-0.00029516i,0.00032091+7.9099e-05i,-0.00046084+1.1258e-05i,-0.00093467-0.00064616i,-4.5809e-05-0.00023417i,-0.00039315+0.00053049i,-0.0010291+0.00083147i,-0.00039174+0.00061567i,0.0006943+0.00014843i,0.00045119-0.00060558i,-3.8282e-05-0.001022i,0.00047606-0.00059419i,0.0009762-6.1997e-05i,0.00099064+0.00029769i,0.00037252+0.00074888i,-0.00033683+0.00096068i
9.1842e-05-0.00073874i,0.00026639+0.00057201i,0.00069317+0.0006148i,0.00078516+0.00048536i,0.00094964+0.0013814i,0.0011739+0.0013555i,0.00089845+0.00090125i,0.0004077+0.001048i,-0.00017885+0.0013771i,-0.00036215+0.0015767i,-8.9658e-06+0.0013109i,0.00064136+0.00021335i,0.00095001-0.00037379i,0.0014254-0.00049987i,0.00083823-0.00018286i,-0.00085493+0.00057524i,-0.0014922+0.00075808i,-0.0003827-0.0001461i,-1.8802e-05-0.0007866i,-0.00091952-0.00065645i,-0.00092729+0.00046998i,-0.00041544+0.00055608i,-0.00047409-0.00040641i
-0.0012339-0.00080459i,-0.00078975-0.00017968i,-0.00037886+4.1542e-05i,-0.0005163+0.00026485i,-0.00086802+2.6318e-05i,-0.00051631-0.0009449i,1.3772e-05-0.0018533i,0.00022092-0.00090872i,0.0005282+0.00035429i,0.00087002+0.00018066i,0.0005646+0.00025772i,0.00071331+0.00099417i,0.00031514+0.00057969i,-0.0009327-0.0002532i,-0.0012732-0.00028195i,-0.00073169-0.00050015i,-0.00011192-0.00060969i,4.3609e-05-0.00064009i,-5.5492e-06-0.00071862i,3.5412e-05-0.00078636i,0.00028591-0.00050045i,0.00018793-0.00046238i,0.00040986-0.00045126i
-0.00052471-0.00023738i,-0.0012956-0.0012095i,-0.0019793-0.00082425i,-0.00063881-7.1862e-05i,0.00096984-0.00024266i,0.0012673-0.0008029i,0.0010435+2.1347e-05i,0.00083643+0.00089732i,0.00080672+0.0002576i,0.0012039+1.4057e-05i,0.0011623-7.0071e-05i,0.00046203-0.00035511i,7.4652e-05+7.8854e-05i,0.00040578+0.0006136i,0.00073947+0.00088659i,0.0008757+0.0003274i,0.00095492-0.00018541i,0.00073007-9.0472e-05i,0.00074886+8.3186e-06i,0.00045854+0.00010103i,6.2056e-05-7.4944e-05i,-2.0643e-05-0.00068465i,-0.00013106-0.0010161i
0.00043001+0.00068782i,0.00057234+0.0012591i,0.00031735+0.0011702i,-0.00053134+0.00021156i,-0.00074087-0.0012024i,-0.00014077-0.0010183i,-0.00042379+3.7376e-05i,-0.00019334-0.00015027i,0.00074517-0.00075344i,0.00024664-0.0011399i,-0.00022666-0.00068358i,2.391e-05+0.00030196i,5.4982e-05+0.00031415i,0.00040534-5.8221e-05i,0.00012059-0.00039129i,-0.00024785-0.0009257i,-0.00050971-0.00091148i,-0.001171-9.7181e-05i,-0.0014005+0.00039951i,-0.00057557+0.00014281i,-0.00023497+0.00048457i,-0.00043652-0.00012906i,-0.00014046-0.00069551i
-0.00039916+0.00012983i,-0.00070934-0.0010034i,-0.00058392-0.0019386i,-0.00024506-0.0011746i,0.00022692+0.00078853i,0.00084063+0.0010116i,0.0014282+0.00031885i,0.00081764-8.7279e-05i,-0.00033426+8.6293e-05i,-0.00055843-0.00018259i,-0.00043328-0.00017598i,-6.3417e-05+4.2539e-05i,3.936e-05-0.00078986i,-0.00047478-0.0014574i,-0.00018669-0.00034356i,1.6502e-05+0.001388i,-1.8144e-05+0.0010435i,0.00016479-0.00014752i,6.2049e-05-0.00088438i,-0.00018362-0.00068867i,-0.00028765-0.00039593i,-0.000803-5.2993e-05i,-0.0011247+0.00080541i
-0.00028141+0.00010261i,-2.0673e-06-0.00019804i,0.00046901+0.00026966i,-1.2473e-05+0.00083672i,0.00021835+0.0014988i,-0.00012866+0.0014251i,-0.0015631-0.00019657i,-0.0014678-0.00037873i,-0.0010151+0.00020645i,-0.0011276+4.8941e-05i,-0.0008798-1.055e-06i,-0.00048465-0.00034302i,-0.00054594-0.00060544i,-0.00034971-0.0003601i,0.0001158-0.00033022i,-0.00016384+8.7029e-05i,-0.00072514+0.00074799i,-0.00048463+0.00088114i,0.0001346+3.0056e-05i,0.00014976-0.00068684i,0.00043941-0.0010056i,0.00060793-0.00042262i,4.8646e-05+0.00027124i
0.00082923-0.00076999i,0.0011925-0.00065166i,0.00071486-0.0012539i,-0.00037468-0.0017012i,-0.00021211-0.00089833i,-0.0004088-0.00058723i,-0.0010668+0.00015126i,-0.00048421+0.00082284i,0.00047279+0.00066935i,0.00038514+0.0013237i,-0.00018398+0.0019469i,-0.00096157+0.0011396i,-0.00059844+2.2812e-06i,0.0001215-0.00013567i,0.00049496+0.00044462i,0.00011146+0.00079924i,-1.2393e-05+0.00022505i,0.00016164+0.00017522i,0.00034694+0.00054197i,0.00050886+0.00026293i,0.00046694+0.00031816i,0.00066481+0.00073313i,-0.00018629+0.00063066i
9.8847e-05-0.0023373i,-0.00015318-0.0030667i,-0.0010886-0.0032653i,-0.0013372-0.0018574i,-0.00027405+0.00015632i,0.00063655+0.0010943i,-2.7214e-06+4.5786e-05i,-0.00067908-0.00039857i,-0.00021239+0.00080639i,0.00025463+0.0019025i,0.00012631+0.001464i,-3.6811e-05+0.0004688i,0.000648+1.4734e-05i,0.0012032+0.00064871i,0.00067282+0.0013466i,-0.00022306+0.0014293i,-0.00050992+0.00034661i,-5.3858e-05-0.00072201i,0.00022035-0.00042552i,-0.00048555-0.00023481i,-0.0010645+0.00019484i,-0.0004728+0.00066715i,0.00016882+0.0005272i
0.00075661+0.0026705i,0.0020901+0.0012946i,0.0032686+0.0013217i,0.0015618+0.0005651i,0.00034874-0.0009094i,-0.00015926-0.0012397i,-0.00047121-0.0011421i,0.00067133-0.00010505i,0.0016256+0.00041155i,0.0018314+0.00026451i,0.001387+0.00040201i,0.00018637+0.00041778i,-0.001078+0.00043951i,-0.0009479+0.00022232i,-0.00078089-0.00011093i,-0.0013172-5.0317e-05i,-0.00096769-0.00032637i,-0.00062471+0.00012664i,-0.0010594+0.00086902i,-0.00050828+0.00025883i,0.00020863-5.2911e-05i,-0.00033331-0.00032151i,-0.00052667-0.00025661i
-0.0012519-0.0018608i,-0.0019983-0.0011073i,-0.0018982-0.0014698i,-0.001756-0.00098013i,-0.00062015+0.00087734i,0.0012828+0.0012053i,0.0010922-0.00018311i,0.00095088-0.0011843i,0.0013949-0.0014617i,0.00055221-0.0016056i,-0.0001207-0.00093558i,0.00043183-0.00027006i,0.00089691-4.1254e-05i,0.0010438-0.00027577i,0.00066993-0.00017317i,0.00022197-4.3687e-05i,-0.00028265-0.00036022i,-0.00076182+3.9681e-05i,-0.00022038+0.00067497i,-0.00016482+0.00067015i,-0.00070311+0.00047098i,-0.00078269-0.00036039i,9.7893e-05-2.542e-05i
0.0010546-0.00064589i,0.0017022-0.00059377i,0.0015455-0.00071528i,0.00072374-0.00060924i,0.00021556+0.00055261i,-0.00030608+0.00032598i,-0.0001764-0.0006902i,0.00029383-0.00097334i,9.0442e-05-0.0015904i,-0.00048328-0.0021888i,-0.0011538-0.001902i,-0.00097432-0.0010781i,7.1385e-05-0.0014453i,0.0013398-0.0013559i,0.0012496+8.1855e-05i,0.00058799+0.0011114i,9.2635e-05+0.0012649i,-0.00033458+0.00053782i,-0.000509+0.00010084i,-0.00039527+7.6582e-05i,-0.00028554+5.0128e-05i,-0.00032158+8.885e-05i,-0.00014895+0.00010527i
-6.4277e-05+0.0008147i,0.00072895-0.00025733i,0.00043927-0.00045115i,4.8018e-05+0.0006147i,0.0005155+0.00063935i,0.00081336-0.00024899i,-7.2796e-05+0.00013366i,-0.00068148+0.00062247i,-0.0005343+0.00017689i,-0.00061859-0.00062748i,-0.001057-0.00020651i,-0.00098543+0.00040295i,0.00016786+0.0007903i,0.00026393+0.00086244i,9.5633e-05-0.00047017i,0.00080511-0.00091339i,0.0016781+8.0998e-05i,0.0013706+0.00061872i,0.00057578+0.00016793i,0.00042385-0.0002511i,0.00042813-0.00034989i,-0.00020889-0.0007848i,-0.00047086-0.00054258i
0.00063898+0.00047218i,7.2803e-05+9.3977e-05i,-0.00017716-0.00063076i,-0.00037356-0.0010754i,0.00016954-0.00072847i,0.0011263+0.00028897i,0.00067353+5.0839e-06i,-0.00027885-0.00061889i,-0.001258-0.00083795i,-0.0019523-0.0005387i,-0.0018024+0.00029196i,-0.0012467+0.001037i,-0.00015044+0.001554i,0.00058092+0.00059627i,0.00064756-0.00017787i,6.9713e-05-0.00013804i,-0.0011662-2.4744e-05i,-0.0005161+0.00053483i,0.00052134+0.00025979i,0.00052478-0.00068208i,-8.188e-05-0.0009359i,-0.00052486-0.00032932i,-0.00033027-0.00015621i
-0.0008405-0.00028547i,0.00034096-0.00030507i,0.00098516-0.00013959i,0.00088043-2.3822e-05i,0.001177-0.00014094i,0.00027376-0.00028837i,-0.00040316-0.00033054i,4.4521e-05-0.00019832i,2.1321e-05+0.0004377i,2.3278e-05+0.00099798i,0.00051838+0.00097745i,0.00068511+0.00028505i,0.00053171-0.00018824i,0.00051972-0.0008727i,0.00081378-0.0014068i,0.00015474-0.00045088i,-0.0010845+0.00020359i,-0.0010598+0.00020669i,-0.0011048+0.00092958i,-0.0013011+0.00067295i,-0.00070757+0.00016667i,2.7335e-05+0.00058404i,0.00020306+0.00021283i
0.00095993-0.001522i,0.0012767-0.0025506i,0.0010178-0.0029009i,0.00058788-0.0017549i,0.00041356+0.00035091i,0.00018907+0.0013904i,9.1094e-05+0.00067165i,0.00063859+4.3435e-05i,0.00087666+0.00094941i,0.00069038+0.0014755i,0.0013518+0.0013262i,0.0016642+0.00046138i,0.0011941+0.00015027i,0.00064591+0.00081735i,0.00024473+0.00098837i,0.0005552+0.00061373i,0.0002202-0.0002418i,-8.5347e-05-0.0009234i,-0.00010379-0.0005242i,-0.00046653-0.00055562i,-0.00035883-0.0012308i,-0.00017719-0.0005926i,-0.00032336+0.00017827i
-0.00042187+0.00071624i,0.00012934+0.00013859i,0.00064801+0.00068546i,0.00072189+0.0020534i,0.0012034+0.0013257i,0.0010351+8.6434e-06i,0.0005822+0.0003249i,0.00032306+0.0007425i,0.00084054+0.00063206i,0.0016807+0.00017525i,0.0015046-7.2694e-05i,0.00092132-0.00021545i,0.00041358-0.00030025i,-0.00060754-0.00058118i,-0.00098535-0.00079836i,-0.00046013-0.0008559i,6.0491e-05-0.0010493i,0.00036212-0.00041741i,-0.00043364-0.00047298i,-0.00056336-0.00065375i,-0.00013975-0.00050229i,8.8702e-05+0.0004173i,0.00029111+0.0010695i
0.0020016+0.00045265i,0.0023701-0.0011374i,0.00072915-0.00182i,-0.00094978-0.0017296i,-0.0010815-0.0017446i,-0.00053522-0.0012492i,-0.00027534-0.00025641i,-6.6909e-05-0.00031302i,0.00048639-0.00091988i,0.00046175-0.00093337i,-0.00052967-0.0013435i,-0.0010133-0.00084288i,-0.0011091-0.00054743i,-0.0014754-0.00090246i,-0.0016681+0.00011197i,-0.0012025+0.00022655i,-0.00035152-0.0004471i,-6.4799e-05-1.4417e-05i,0.00032038+0.0002081i,0.00059632+0.00052746i,0.00062935+0.0011149i,0.0001596+0.00089202i,-0.00072924-0.00016729i
-0.00028217+0.0016271i,0.0010053+0.00012683i,0.0017234-0.00048231i,0.0014082+2.785e-05i,0.0007788+0.00037427i,0.00023955+0.00019386i,-0.00021406-0.00011407i,-0.0002474-0.00062755i,-0.00023524-0.00057217i,1.7326e-05-0.00061564i,0.00067172-0.00056611i,0.00019148+0.00020655i,-0.00028124+0.00067301i,0.0002027+0.00041331i,0.000751-0.00020627i,0.00078471-0.00029338i,0.00050525+3.7234e-06i,0.00028554+0.00018377i,0.00019612+0.00053394i,-0.00044815+0.00059824i,-0.00081588-1.3031e-05i,-4.7618e-05+6.3362e-05i,-8.1021e-05+0.00080642i
0.0007048+0.0013248i,0.00090048+0.0004425i,0.0011438-0.00075425i,0.00054248-0.0016103i,-0.00025022-0.0010004i,-0.00088184-0.00084479i,-0.001366-0.0010016i,-0.0011195+1.7058e-05i,-0.0012389+0.00023455i,-0.0013816+0.00017961i,-0.00074009-0.00019621i,-0.00014406-0.00023696i,0.00035197+0.00077611i,0.00093687+0.0011277i,0.00067114+0.00056246i,0.00048278-7.3635e-06i,0.00071455+0.00021211i,0.00080647+0.00056953i,0.00047977+0.00026561i,-0.0003411-0.00036229i,-0.00057435-0.0006226i,0.00010701-0.00050136i,-0.00014825-0.00058836i
0.00018522+0.0002113i,0.00092825-0.00068499i,0.00093769-1.6424e-05i,0.00062848+0.0013451i,0.00019415+0.0010387i,0.00035831+0.0010763i,0.00027428+0.0014113i,9.4162e-05+0.00083488i,0.00032829+0.00021897i,0.00024858+0.000607i,0.00022431+0.0012461i,0.00025171+0.0017955i,0.00042733+0.00077671i,0.00070779-0.00055725i,0.00088762-0.00053424i,0.00035033+0.0003284i,-0.00051547+0.00061461i,-0.00075046-0.00014427i,0.00012654-0.00021875i,0.00068248+0.00043051i,0.00014835+0.00073284i,-0.00070723+0.00041899i,-0.0013783+0.00047696i
