-0.0017603+0.0018119i,-0.0011351+0.0018028i,-0.0012538+0.00064822i,-0.0014225-0.0009799i,-0.0023237-0.0015157i,-0.0027576-0.00024773i,-0.0016503+0.0011352i,-0.00016956+0.0011495i,0.00047357+0.00063042i,0.00022298-8.747e-05i,-5.612e-06-0.00012389i,0.00024498+2.0878e-06i,0.00062284-0.00023433i,7.6912e-05-0.00026894i,-0.00028002+4.9679e-05i,-0.00038874+0.00054054i,-0.00050123+0.00050574i,-0.00047993-0.00010184i,-0.00017495-0.00073202i,-0.00020425-0.00059679i,-2.2619e-05+0.00020392i,0.00029268+0.0005647i,0.00025248+0.00029883i
-0.00073907+0.0008629i,-0.0012093+0.00052066i,-0.00027515-0.00020512i,7.4929e-05-0.0010208i,3.0261e-05-0.0015061i,-0.00011682-0.0011487i,-0.0013359-0.00018025i,-0.0017702+0.00059253i,-0.00098647+0.0014605i,6.6889e-07+0.00089114i,0.00028071+0.00061123i,7.4556e-05+0.00080343i,-0.00011332+0.0008166i,4.7566e-05+0.00042004i,0.0004767-0.00026792i,0.00054596-5.7979e-05i,0.00018352+0.00020162i,-9.5676e-06+0.00069153i,-0.00091154+0.00028142i,-0.0008652-0.0004438i,0.00048697+0.00011231i,0.00082985+0.00049954i,-0.00044459+0.00015942i
0.0012026-0.0016785i,0.0013964-0.0012018i,-0.00024198-0.0015802i,-0.0011287-0.0020918i,-0.00031121-0.0015705i,0.00011513-0.00051845i,0.00053435+0.00035528i,0.0011635+0.00074191i,0.00070624+0.00081347i,0.00047037+0.00049457i,-0.00014068+0.00053812i,-0.0011138+0.00010668i,-0.00075439-0.00054533i,-0.00037492-5.551e-05i,0.00044955+0.00044743i,0.00036624+4.8051e-05i,-0.00045816-0.00045509i,-0.00025973-0.0004074i,-0.00023423+0.00022345i,-5.6082e-05-4.8545e-05i,0.00017251+5.987e-05i,2.0652e-05+0.00058595i,0.00047655+2.0504e-05i
-0.00024699+0.0032683i,0.001111+0.0036586i,0.0024196+0.0028895i,0.0026882-0.00036005i,0.0025372-0.0025879i,0.0026733-0.0025629i,0.0023726-0.0021533i,0.0018496-0.0010589i,0.001734+0.00027365i,0.0013309+0.0010471i,0.0008629+0.00051093i,0.00089323-0.00044082i,0.0010464-0.00073898i,0.0014058-0.00029439i,0.0009614+0.0004909i,-0.00027797+0.00038581i,-0.0010615+0.00013273i,-0.00091413-5.1628e-05i,-0.00033658+3.309e-05i,-0.00064895+0.00015091i,-0.00069294-0.00012034i,0.00044439+0.00036339i,0.0005803+0.00031549i
-0.0017645-0.00086099i,-0.0022056-0.0014473i,-0.0012631-0.0016068i,-0.00034573-0.0012975i,7.7417e-05-0.0014706i,9.3302e-05-0.0021877i,-2.0638e-05-0.0026073i,8.431e-05-0.0024166i,0.0004046-0.000888i,0.0001882+0.00040985i,0.00042567+0.00020166i,0.0011936+0.0001798i,0.0014563+0.00088887i,0.0014152+0.0011511i,0.00053567+0.00021039i,-0.00089195-0.00029866i,-0.00083221-0.0005036i,-0.00046619-0.00068867i,-0.00088313-0.00028536i,-0.0010766+0.00013533i,-0.0010556+0.00055268i,-0.00046878+0.00039346i,4.5905e-05-0.00031093i
0.00025027-0.0010111i,0.00095153-0.00038631i,0.00027774-4.6321e-05i,-0.00069616-0.00045362i,-0.0011077-0.0010207i,-0.0010975-0.0017718i,-0.0014784-0.0016749i,-0.0019109-0.00082816i,-0.001515-0.00021372i,-0.000934+0.00082124i,-0.00078583+0.00066418i,-0.00047051+0.00070263i,0.00019636+0.00045459i,0.00039993+9.9072e-05i,0.00025298+0.00043112i,0.00022414+0.000534i,0.00042471+0.00041633i,0.00089609-0.00016129i,0.001015-0.00023142i,0.00060168+0.00050931i,-0.00050617+0.0005409i,-0.00065228+0.00010292i,0.00034937+0.00010727i
-0.00082729-0.0010629i,-0.0010875-0.00031215i,-0.0015212-5.8016e-05i,-0.0013669-0.00062858i,-0.0013272-0.0010753i,-0.001452-0.00097233i,-0.0015267-0.00033791i,-0.0011746+0.00089665i,-0.00069569+0.0018275i,-0.00065817+0.0018655i,-0.00054065+0.0013049i,-0.00047197+0.0010114i,-0.00080473+0.0019633i,-0.00094547+0.0023527i,-0.0009137+0.0010393i,-0.00063131-0.00012463i,-0.00059322+3.5128e-05i,-0.0005651+0.0003035i,-0.00048857-0.00037632i,-0.00088969+8.635e-05i,-0.0012501+8.6089e-05i,-0.00076362-0.00035456i,-0.00017077-1.6304e-05i
-0.002091-0.0012349i,-0.0023944-0.0019156i,-0.0021539-0.0014732i,-0.0016327-0.00135i,-0.0010145-0.001639i,0.00024371-0.00027372i,0.0013044+0.00038353i,0.0020859-8.5219e-05i,0.00122+8.9339e-05i,0.00015452+0.00066924i,-6.8072e-05+0.0014109i,-0.00042972+0.00071539i,-0.00052514-0.00088527i,-0.00041719-0.0012288i,0.00012317-0.00086913i,0.00046751-0.00051716i,0.00049547-0.00049369i,0.00065976-0.00019227i,-0.00016324+0.00012637i,-0.0015353-0.00058433i,-0.0012111-0.00074975i,-0.00012617-0.00051198i,0.00016417-0.00093087i
0.0024961-0.00086774i,0.0018765-0.0020566i,0.002395-0.0021018i,0.0011652-0.0028351i,-0.00023459-0.0039975i,-0.00020091-0.0035151i,-1.6344e-05-0.0027393i,-0.00044547-0.0020453i,-0.0002323-0.00033937i,0.00013236+5.6565e-05i,0.00024101-0.0006777i,0.0005005-0.0010838i,0.00063732-0.001425i,0.0010758-0.00088855i,0.0005892-9.192e-05i,-0.00040509+0.00058194i,-0.00049106+0.00097644i,-0.00024206+0.00030993i,-0.00036001-0.00019772i,-0.00038966+7.2381e-05i,-0.00025019+0.00051734i,0.00016487+0.00071588i,-0.00048292-1.3128e-05i
0.0021512+0.0020469i,0.0021175+0.00093752i,0.0021873-0.00043354i,0.0016474-0.0011489i,0.0012493-0.0022417i,0.00049849-0.0025698i,-0.0002802-0.0016046i,-0.00037679-0.00088628i,-0.00044843-0.00056511i,0.00022948-0.00027442i,0.00015027-0.00011016i,-0.00026794-0.00021145i,0.00048634-0.00046115i,0.0010715-0.00012483i,9.4863e-05+0.00056748i,-0.00037689+0.00054271i,-0.00038416+0.00028424i,0.00032625+0.00026417i,0.0012173+0.0007467i,0.0008396+0.000476i,0.0010488-0.00041067i,0.0002021-0.0011231i,-0.00088524-0.00064146i
-0.0015014+2.7847e-05i,-0.00088923-0.00097408i,0.00057683-0.0015309i,0.0009554-0.0024298i,0.00048711-0.0034967i,-5.5078e-05-0.0027659i,-0.00094429-0.0011389i,-0.0010439+0.00027346i,-0.00054366+0.0011341i,-0.00067255+0.00082113i,-0.00060695+0.00058813i,0.00029646+0.00092286i,0.00060199+0.00056542i,0.00040277+0.00056576i,0.00034886+0.00074915i,-0.0001004+0.00012899i,2.2543e-06+1.3955e-05i,0.00011563+0.00068698i,-0.00045675+0.00056218i,-0.00049317-0.000246i,0.00045314+0.00020085i,0.00098074+0.0013467i,0.00018824+0.0020942i
0.0001055-0.00046694i,0.00075291-0.00097472i,0.0011835-0.0008121i,0.00097908-0.0013851i,0.0012713-0.0020579i,0.0010815-0.0012974i,-0.00011999+0.00078676i,-0.00020578+0.0015888i,3.8126e-05+0.0016609i,-0.00060046+0.0021886i,-0.00048634+0.0023848i,1.9888e-05+0.0017664i,-0.0003483+0.0015744i,-0.00092289+0.0007025i,-0.00055339+0.00022609i,-0.00015898-0.00014557i,0.00081627-0.00010005i,0.0011875+0.00050587i,0.00012868+0.00023761i,-0.00019914+0.00056719i,0.00044098+0.00082444i,0.00099348+5.0889e-05i,0.00048251-0.00061385i
0.0014312+0.0024229i,0.0024967+0.0023942i,0.0027907+0.0024076i,0.0020761+0.0016312i,0.002045+9.7612e-05i,0.0022487-0.00015689i,0.0012171-0.0001737i,0.00099815-0.00050125i,0.00096052-0.00086869i,0.00085228-0.00049356i,0.00049773-0.00012785i,-0.00041165-0.00045438i,-0.00039563-0.00078618i,0.00048782-0.00074651i,0.001107-0.00090433i,0.0012996-0.0010847i,0.00042943-0.00057505i,-0.00054378-0.00048823i,-0.00097203-0.00057555i,-0.00098394+0.00032734i,-0.00020831+0.00045958i,0.00053048+0.00034589i,-0.00016432+0.00016549i
-0.00035453+0.0023567i,-0.00027163+0.0024779i,-0.00058442+0.0015207i,0.00015439-4.6256e-05i,0.00098678-0.001481i,0.0016969-0.0025213i,0.0024204-0.0027672i,0.0015409-0.0018726i,0.0010691-0.00085648i,0.00083479-0.00086447i,0.00043116-0.0010079i,0.00018663-0.0011737i,0.00027592-0.0016613i,0.00055651-0.0014128i,0.00033146-0.00055779i,4.6775e-05-1.1428e-05i,-0.00051511-0.00018036i,-0.00050337-0.00039793i,-0.00071569+0.00016989i,-0.00093522+0.0006609i,-0.00049064-9.1042e-05i,-0.0002856+7.2191e-05i,-0.00034847+0.00050033i
0.00032496+0.001051i,0.0016004-9.2456e-05i,0.0026462-0.0012314i,0.0014654-0.0022525i,0.00048124-0.003084i,4.2777e-05-0.0030276i,-0.00055439-0.0023092i,-0.00059545-0.0011107i,-0.00042422-0.00053269i,-0.00067775-0.00088406i,-0.00064699-0.0010609i,0.00045243-0.00069858i,0.0015974-0.00087601i,0.0020223-0.00071122i,0.00091912+1.7863e-06i,-0.00069911+0.00022203i,-0.00091271-0.0002463i,-0.00024159-0.0010851i,-0.0004412-0.00083425i,-0.00099777+2.8613e-06i,-0.0007228+5.5e-05i,-0.00057677+0.00029748i,-0.0011679+0.00051162i
-0.00026446+0.0016822i,0.00035471+0.0017614i,0.00067821+4.8803e-05i,-1.5805e-05-0.0017593i,-0.00084916-0.0026752i,-0.0012237-0.00167i,-0.0013907-1.269e-05i,-0.00095764+0.00082247i,2.0152e-06+0.00059705i,-1.9335e-05+0.00069299i,0.0001019+0.0015571i,0.00046701+0.0019491i,0.00045997+0.0015942i,-0.00033362+0.001376i,-0.001272+0.0010713i,-0.00081344+0.00013433i,0.00042961-0.0004202i,0.00050838+5.5133e-05i,-0.0006086+0.0004215i,-0.00078241-0.0002077i,0.0001429-0.00039503i,0.00015576+0.00026867i,-0.00021341+0.00046273i
0.00035171-0.0016702i,-0.0003255-0.0023091i,-0.0007472-0.003436i,-0.0010091-0.0044255i,-0.0013216-0.003659i,-0.0013885-0.0014647i,-0.00034626-0.00015624i,0.00087554+0.00014749i,0.00042292+2.2261e-05i,-0.00036054+5.0337e-05i,0.00014842+0.00054962i,0.00071796+0.0016756i,0.00044821+0.0025217i,-0.00042706+0.0020631i,-0.0012375+0.00092586i,-0.00046266+0.00063511i,0.00063454+0.00037241i,0.00018092-0.00014418i,-0.00019687-4.9488e-05i,-4.8873e-05+0.00087266i,-0.00019933+0.001193i,0.0003013+0.00013259i,-2.768e-06-3.0852e-05i
0.0027205-0.0004923i,0.0020359-0.002157i,0.0002612-0.0034521i,-0.00058029-0.0039346i,0.00014545-0.0037585i,0.0010286-0.0028717i,0.0013632-0.0021537i,0.00087172-0.0013254i,0.00025573-0.00068822i,8.4953e-05-0.0005955i,0.0002033-0.00058367i,-0.00033573-0.00070353i,-0.00018655-0.0012057i,-0.00027851-0.0011327i,-0.00075904-0.0007213i,-0.00089501-0.00069186i,-0.00042299-0.00068519i,-0.00018892-6.5069e-05i,-5.5503e-05+0.00012394i,0.00034327+0.0001123i,0.000367+8.7077e-05i,-0.00048452-0.00065678i,-0.00046915-0.00085881i
0.0023376+0.00038022i,0.0022994+5.4073e-05i,0.0012185-0.0012952i,0.00048882-0.0033281i,0.00022849-0.0039324i,-0.00024411-0.0031485i,-1.9452e-05-0.0018312i,-0.00057693-0.0004893i,-0.0010357+0.00016915i,-0.00081623+0.00040086i,-0.00054246-0.00024997i,0.00015994-0.00055518i,0.00097144-0.00074392i,0.0015263-0.00069741i,0.0016271-4.0674e-05i,0.0010207+7.3502e-06i,-7.5287e-05-0.00015374i,5.639e-05-0.00029512i,0.0004716-0.00056625i,-7.1634e-06-0.00032393i,0.0001256+0.00043887i,0.00021387+0.00064012i,-5.8736e-05+0.00072926i
-0.0028502+0.00329i,-0.0025664+0.0039011i,-0.00082446+0.0020881i,0.00017426+0.00028895i,-0.00038074-0.0018561i,-0.00034664-0.0022491i,0.00032539-0.0012136i,0.0011813-0.00065367i,0.0011244+0.00039266i,0.00023781+0.00095254i,-0.00028223+0.00088437i,-0.00017106+0.00028401i,7.5409e-05-0.00068306i,0.00018293-0.00086705i,0.0005031+0.00036361i,1.9438e-05+0.00098666i,-0.00056802+0.0005164i,-0.00045231+0.00039038i,2.8327e-05+0.00028353i,-0.00021153+0.00041357i,-0.00025397-4.6239e-05i,0.00018794-0.00012446i,0.00048227+0.00014442i
-0.001599-0.0011404i,-0.001151-0.00037012i,-0.00099752-0.00054815i,-0.00054547-0.0012079i,-0.00017926-0.0011974i,-0.00051171-0.00062475i,-3.3593e-05-9.7862e-05i,0.00016196+0.00039873i,0.00026238+0.00093111i,0.00019991+0.0015327i,-0.00038375+0.0020642i,-0.00024311+0.002507i,0.00026526+0.002349i,0.0007216+0.00173i,-0.00015574+0.00094919i,-0.00099405+0.00023859i,-0.00026239-2.7313e-05i,0.00020056-0.0006801i,0.00026629-0.00050282i,0.00017642+0.00029006i,-0.00012784+0.00018388i,-0.00039611+0.00059958i,-0.00018795+0.00050985i
0.0009061+0.0013016i,0.00060358+0.00097i,0.00047629+0.0013517i,0.0010154-0.00015999i,0.0010591-0.0012763i,0.0010359-0.0013712i,0.0007401-0.00095808i,0.00053715-0.00057171i,0.00026059-0.0004334i,0.00032853+0.00022306i,0.00055594+0.00096848i,4.467e-05+0.0010494i,4.1439e-05+0.00076863i,-0.00015632+0.000164i,-0.00049668-0.00077174i,-0.0004426-0.0013733i,-0.00059823-0.00027344i,-0.00036824+0.00076826i,-0.00051466-0.00014512i,-0.0005137-0.00069532i,-0.0005439-3.3513e-05i,-0.00046728+1.4529e-06i,-6.9766e-05+0.00010494i
-0.0024953+0.003867i,-0.00068699+0.0031369i,0.0005224+0.0020726i,0.002318+8.9289e-05i,0.0032934-0.0016165i,0.002633-0.0025095i,0.0013429-0.0025333i,0.00014759-0.00087879i,-0.00023141-0.00014378i,0.00021929-0.00019858i,-0.0001204-0.00031192i,-0.00050466-0.0013739i,-0.00065197-0.0017455i,-0.00064585-0.0016224i,-0.00013221-0.0013235i,0.00011224-0.00077319i,-0.00013682-0.00035268i,-0.00018979+0.00043756i,8.6217e-05+0.0012309i,0.00043442+0.0013207i,0.00084422+0.00087549i,0.00054291+0.0011823i,-0.0005598+0.0014127i
0.00095573+0.0020223i,0.0017096+0.00013428i,0.0028508-0.00058037i,0.0025207-0.00176i,0.0022295-0.0032803i,0.0015784-0.00351i,0.00080317-0.002189i,9.3749e-05-0.00063981i,0.00012932+0.00069232i,6.1409e-05+0.00054496i,-0.00064202-0.0003059i,-0.0010327-0.00021i,-0.00069162-0.00068527i,0.00079626-0.0017104i,0.0013143-0.0013368i,0.00066351-5.3539e-05i,0.00026026+0.00028776i,1.4447e-05+0.0010707i,0.00034735+0.0010914i,0.00063495+0.0008594i,-0.00049537+0.00064215i,-0.0010836+0.00015104i,-0.00032393+0.00010566i
-4.8452e-05-0.00049702i,-0.00065888-0.001148i,3.5172e-05-0.00082215i,-7.843e-05-0.00085554i,-0.00058221-0.0018941i,-3.5363e-06-0.0022564i,0.00068578-0.0016597i,0.0007244-0.00074627i,0.00027206+0.000492i,0.00037904+0.0010902i,0.000981+0.0012417i,0.0011167+0.00090837i,0.001542+0.00074885i,0.0018904+0.00070503i,0.0017023+0.00045327i,0.0012615+0.00033552i,0.00013773+0.00043412i,-0.00077748-0.00019312i,-0.00064752-0.00056299i,-0.00030191+0.0002479i,-0.00034129+0.0010905i,0.00031524+0.0007375i,0.00058236+5.9504e-05i
0.0018232-0.0006762i,0.00087465-0.00014113i,0.00043575-0.0012047i,0.00049325-0.0031054i,0.00028989-0.003726i,-0.00014592-0.002542i,-0.00020133-0.001549i,0.00080156-0.0016233i,0.001565-0.0015548i,0.0019263-0.00051566i,0.0017568+0.00046043i,0.00075519+0.00072138i,0.00032442+0.00090981i,-3.9095e-05+0.001813i,-0.0010435+0.0017306i,-0.0016438+0.00040812i,-0.0010548-5.0442e-05i,-0.000416+0.00030705i,-0.00051433-7.0087e-05i,-0.0002982-0.0005514i,0.00028889-0.0007078i,0.00051697-0.00061173i,-7.5486e-05-0.00044032i
-0.0004257-0.0010882i,-0.0015958-0.00092212i,-0.0017709-0.0015169i,-0.0008982-0.0019302i,-0.0006998-0.0014582i,-0.00096048-0.0003088i,-0.00012651-0.0001004i,9.8819e-05-0.00056163i,-0.00096372-0.00081433i,-0.0013299-0.00087798i,-0.0011452-0.00056279i,-0.0013311+0.0008748i,-0.0015364+0.0016917i,-0.0011502+0.0010571i,-0.0013797-0.00016478i,-0.0018306-0.00044997i,-0.001296-7.0846e-05i,0.00030435+0.00067411i,0.0008198+0.0012778i,0.00071714+0.00073913i,0.00067699+0.00040715i,-0.00017281+0.00039408i,-0.0006863+0.00017517i
0.00072899+0.00027847i,0.0017248+0.00064171i,0.0016186-6.5656e-05i,0.0014253-0.0025384i,0.0018532-0.003489i,0.0010116-0.0027001i,-0.00012204-0.0019237i,-0.00032905-0.0014888i,-0.00011627-0.00028718i,-0.00039522+0.00046812i,-0.00036183-0.0007686i,-0.00053686-0.001949i,-0.0015511-0.0011415i,-0.0016513-0.00033614i,-0.0010015-0.0010919i,-0.00045647-0.0016538i,-0.00025343-0.00039892i,-0.00033841+0.00037965i,0.00047031-0.00013989i,0.00067023-1.9047e-05i,0.00033557+0.00061331i,1.741e-05+0.00031124i,-0.00015764+8.8293e-05i
0.00051376+0.0018478i,0.00095734+0.0013026i,0.001887+7.7419e-05i,0.0011102-0.00049057i,0.00061336-0.0010202i,0.0012784-0.0017039i,0.0012242-0.0020929i,0.00027793-0.00057408i,-0.00045201+0.00062536i,-0.00017515+0.00035968i,-0.00020715+0.00054984i,-4.6117e-05+0.00043464i,0.0008723-0.0001454i,0.001413-0.00070974i,0.0014211-0.0009821i,0.00076901-7.6898e-05i,-5.4403e-05+0.00060785i,-2.1513e-05+0.0006295i,0.00017028+0.00071138i,-9.4977e-06+0.00062696i,-0.00059127+0.0011693i,-0.00066437+0.00071087i,-2.7689e-05+0.00024843i
-0.000542-0.0010497i,-0.0012893-0.0013998i,-0.0002897-0.00045766i,0.00078632-0.0010019i,0.00034458-0.0031877i,-0.0007188-0.0028358i,3.1484e-05-0.0010941i,0.0020866+0.00021723i,0.0018484+0.00071401i,0.0010302+0.000968i,0.0009006+0.0015198i,0.00089437+0.0014867i,0.00065717+0.00098333i,0.0012474+0.00084088i,0.0013636+0.001017i,0.00096132+0.00087186i,0.00040544+0.001003i,-0.00027472+0.0010438i,-0.00038474+0.0004155i,-4.3517e-05+0.00039458i,-0.00029134+0.00079809i,-0.00065265+0.00071041i,-0.0005453-0.00060935i
0.0016588-0.00078406i,0.00083609-0.0013587i,0.00051274-0.0020959i,0.00079487-0.0031443i,0.0008841-0.0030146i,0.00054971-0.0020433i,0.00051261-0.0011453i,0.00013555-0.00021738i,-4.0392e-05+0.00013562i,0.00030779+0.00012906i,9.5729e-05+0.00066537i,-0.00073584+0.0013237i,-0.0010889+0.0012137i,-0.00093645+0.0018488i,-0.0010139+0.0032485i,-0.0011041+0.0024987i,-0.0011319+0.00056647i,-0.0013362-0.00029435i,-0.00075454-0.00074441i,-0.00056883-0.00082457i,-0.0011138-0.00093458i,-0.0012648-0.0011304i,-0.0012025-0.0011068i
0.0007304+0.002887i,0.0015544+0.0021857i,0.0016296+0.00079833i,0.0016282-0.0010307i,0.001642-0.0023477i,0.00078528-0.0023991i,-0.00018882-0.0020522i,5.5775e-05-0.001973i,0.00048896-0.0013357i,2.5654e-05+0.00016291i,0.00027861+0.00047112i,0.00074602+0.0001414i,-0.00051423-0.00016748i,-0.0020247-0.00010005i,-0.0023089+0.00052903i,-0.0014592+0.00059758i,-4.5913e-05+0.00036418i,0.00085142-6.7327e-05i,0.00071199-0.00084836i,0.00039533-0.00033526i,-6.2248e-05+0.00041754i,-0.00044453+3.5234e-05i,-3.0512e-06-0.00068416i
0.00070654-0.00021065i,0.00011881-0.0017046i,0.00080222-0.0026713i,0.00066704-0.0027343i,0.00030383-0.0031676i,0.0004968-0.0029768i,0.00026185-0.0013608i,0.00048086+0.0001407i,0.00073578+0.00083744i,3.7471e-05+0.00038522i,-0.00062236-0.00043957i,-0.00065903-0.0004966i,-0.00071078-0.00022214i,-0.0010956-0.00086596i,-0.0017492-0.0011121i,-0.001205-0.00055124i,0.00035654+5.285e-05i,0.00083931+0.00019085i,0.0010607-0.00028863i,0.00046098-0.00022996i,-6.7387e-05+0.00043141i,5.9934e-05+0.00049335i,-5.665e-05+0.00023015i
8.1953e-05+9.4408e-06i,0.00085878-0.00092703i,0.00085297-0.0011195i,-0.00016707-0.00091202i,0.00035717-0.0019831i,0.0009347-0.003229i,0.00019072-0.0020808i,0.00027982-0.00036467i,0.00020497+0.00096684i,-5.0213e-05+0.00080505i,0.00013178+0.00029936i,0.00058721+3.5918e-05i,0.0018037-0.00090197i,0.0022471-0.0014628i,0.0020097-0.0013548i,0.0011849-0.0006794i,0.00018604+0.00046475i,-0.00016008+0.00088886i,-0.00018079+0.00044927i,-0.00057019+0.00025563i,-0.00092314+0.0006327i,-0.00029916+0.0010359i,-0.00022712+0.00045166i
-0.00046725+0.0014112i,-0.00060284+0.0023913i,-0.0001857+0.0022282i,-8.9807e-05-0.00041975i,-0.00066719-0.0021142i,-0.0008303-0.0020671i,-0.00051975-0.0017581i,-0.00013892-0.0013375i,-0.00015923-0.00073638i,-4.0531e-05+0.00023441i,0.00075687+0.00046782i,0.0010971+0.00018217i,0.0012728+0.00012933i,0.0016892+0.00067739i,0.0017932+0.0011953i,0.0011844+0.00074454i,7.0881e-05+0.0011642i,-0.0012058+0.0012241i,-0.001368-3.6052e-05i,-0.0010184-2.6782e-05i,-0.0010132+0.00060241i,-0.00051744+0.00064794i,-0.00070579+0.00073736i
-0.0021267+0.0014892i,-0.0019601+0.0009857i,-0.00043736+0.00074622i,-0.00043813+0.00041619i,-0.00073302-0.00059461i,0.00082685-0.0014237i,0.0021951-0.0015447i,0.0012258-0.00080605i,0.00043283-3.9963e-05i,0.00067278+0.00050454i,0.0010082+0.00095929i,0.0009579+0.00043408i,0.00028483+0.0006897i,-0.0001653+0.0017797i,0.000128+0.002319i,-0.00078916+0.0014454i,-0.0010618-3.1113e-05i,-0.00083887-8.7044e-05i,-0.0008191+0.0003436i,5.7356e-05+9.0213e-05i,0.00054206-0.00046849i,0.00025957-0.00048817i,-0.00023406+0.00035695i
0.00016518-0.00060462i,0.00086959-0.0012781i,0.0012801-0.0015769i,0.00044847-0.0013867i,-2.2933e-05-0.0015598i,0.00017324-0.0013206i,0.00026136-0.001066i,-0.00050654-0.0011022i,-0.00061475-0.0014731i,0.00018301-0.0015936i,-0.00012987-0.00052493i,-0.0010145+0.00044058i,-0.0013559+0.00090055i,-0.0020529+0.001532i,-0.0031731+0.0019695i,-0.0025582+0.0014365i,-0.0011156+0.00047217i,-0.00070872+0.00021295i,-0.00016152+6.6521e-05i,8.4127e-05-0.00021186i,3.6473e-06-0.00091338i,-2.8748e-05-0.00093187i,0.00050741-0.00026523i
-0.00066128+0.00093553i,-0.00036533+0.001212i,-0.0003935+0.00096222i,4.0575e-05-0.00092446i,0.00074096-0.0022227i,0.00083968-0.0015267i,-0.00059836-0.00080438i,-0.00054773+0.00010149i,0.00049575+0.00039189i,0.0008108+0.0001428i,0.00060992+0.00041897i,-0.00026119-0.00036771i,-0.00059887-0.00077798i,-0.0010207-0.00084777i,-0.0011331-0.0010429i,-0.00076475-0.0012982i,-0.000283-0.00082885i,0.0002373+0.00071545i,0.00079874+0.00067023i,0.00034009+0.00061776i,-0.00066979+0.00098354i,-0.00056847+0.00053197i,-4.4636e-05-2.2067e-05i
-0.0014792-0.00057631i,-0.0019528-0.00083552i,-0.0014873-0.00022236i,-0.00046481-0.0006239i,0.00030836-0.0024038i,3.5907e-05-0.0018835i,-0.00012105-0.00046304i,0.00072222-0.0001645i,0.00057094+0.00088963i,-0.00011768+0.001296i,-0.00026398+0.00020594i,3.6646e-05-0.00096112i,0.0007405-0.0018952i,0.00040689-0.0023413i,-6.6967e-05-0.0023329i,0.00040891-0.0021571i,0.00063953-0.00075282i,0.00052467+0.0012036i,0.0007414+0.0014483i,0.00062463+0.00099324i,-0.00021765+0.0013121i,-0.00040702+0.00066132i,-0.00026722+4.7271e-05i
0.0051243-0.0011586i,0.0042845-0.0020471i,0.0027389-0.0037073i,0.00067446-0.0051794i,-0.0016234-0.0047857i,-0.0019243-0.002819i,-0.00046455-0.0006938i,0.00047939+0.00018969i,0.00020211+0.00071058i,-0.00035008+0.00072704i,-0.00041943+0.00014971i,-0.00014958-7.8576e-05i,0.00024682+0.00012504i,0.0017817+0.00038925i,0.0027987-0.00027017i,0.0020366-0.00062337i,0.00052992-6.9571e-07i,-0.00048706+0.0006519i,-0.00080426+0.00072403i,-0.00041113-0.00021074i,5.7724e-05-0.00082264i,-0.00010161-0.00051182i,-0.00012561-0.00016254i
0.0030369+0.0032867i,0.0027444+0.0023619i,0.0023102+2.6316e-05i,0.0016171-0.0019581i,0.0010804-0.0027971i,0.00082547-0.0022375i,0.00086727-0.0018099i,0.001011-0.0013193i,0.00045217-0.00083959i,0.00050005-0.00021055i,-9.9977e-05+0.00079507i,-0.001288+0.0014388i,-0.0010887+0.0021625i,7.1769e-05+0.0033125i,0.0016663+0.0036977i,0.002129+0.002291i,0.00022444+0.00063342i,-0.0010801-0.00015576i,-0.0013465+0.00054056i,-0.0012235+0.00081687i,-0.00092721-0.00026093i,-0.00059946-0.00063879i,-0.00074063-0.00060176i
-0.00039053+0.0015446i,0.0008486-0.00018342i,0.0017296-0.00073544i,0.001301-0.00077667i,0.00063884-0.0025538i,0.00030428-0.0031268i,-0.00052083-0.0017944i,-0.0002162-0.00068029i,0.00033005+0.00027128i,4.4415e-05+0.00026434i,-0.0003077-0.00075193i,-0.00026053-0.0004557i,-0.00045932+0.00095354i,-0.0013571+0.0017276i,-0.0023112+0.0020902i,-0.0020206+0.001671i,-0.0010663+0.00015754i,-0.00080149-0.00062963i,-0.00037539-0.0008079i,0.00061692-0.00104i,0.0012998-0.0005801i,0.00058744+7.2604e-05i,-2.0266e-05+0.00010663i
0.00035645-0.0010683i,0.00075807-0.0014834i,0.00054892-0.0020455i,0.0004224-0.0022844i,-0.00025681-0.0023101i,-0.00044468-0.0025132i,-0.00017313-0.0014022i,-0.00030964+0.0003887i,-0.00057232+0.0005843i,-0.00071041-9.9305e-06i,-0.00091265-0.00057541i,-0.00082713-0.0013012i,-0.00096101-0.0015445i,-0.0024663-0.0011884i,-0.0030378-0.0010065i,-0.0020384-0.000571i,-0.0003308+0.00022437i,5.4938e-05+0.00038272i,0.00071637+5.6599e-05i,0.0010207-0.00048809i,0.0005686-0.00024579i,0.00015944+0.00035449i,-0.00011693+0.0003579i
0.00077746+0.0028498i,0.0013456+0.0024509i,0.0017699+0.0017545i,0.0015756-0.00057108i,0.00062066-0.0026061i,-6.4851e-05-0.0028101i,0.00042712-0.0014512i,0.00076613-1.7991e-05i,0.00042737+0.00015975i,-0.00030664-0.00012008i,-0.00056327-0.00069331i,-0.00038261-0.0019224i,0.0004727-0.0027581i,0.00074815-0.0033618i,-0.00021817-0.004316i,-0.00082755-0.0035126i,-0.00079643-0.0015604i,-0.00049349-0.00073284i,-0.00056791-0.00034378i,-0.00031097+0.00010349i,0.00051085+0.00016961i,0.00048437+0.00078864i,-5.1002e-05+0.0010132i
