-0.0030908-0.00017152i,-0.0029562-0.00052619i,-0.0036461-0.00021383i,-0.003891+0.0015241i,-0.0024336+0.0024945i,-0.00083269+0.0016612i,8.8641e-05+0.0012328i,0.0012072+0.0010419i,0.0015372+0.00084885i,0.0018567+0.00093961i,0.0021996+0.00037243i,0.0013555-0.0010993i,0.00075457-0.0017781i,0.00032664-0.001561i,-8.7068e-05-0.0016433i,-0.00022869-0.0011947i,-0.0003076-0.00027254i,-0.00054046+0.00010122i,-0.00063612-0.00010877i,-0.00042489-0.0003079i,-0.00032472+0.00044968i,-0.00064852+0.00097212i,-0.00092938+0.00044326i
-0.0013994+0.00045783i,-0.00054257-9.1219e-05i,-0.00055904-0.00057517i,-0.0019519-0.00027153i,-0.0020968-0.00038278i,-0.00077261-0.0014175i,8.2167e-05-0.0017463i,-0.00084629-0.00085009i,-0.0019135+0.00091288i,-0.0017284+0.0018527i,-0.00051417+0.00096289i,0.001312+0.00043889i,0.0023714-0.00033506i,0.0018337-0.0007982i,0.0003833-0.00026817i,-0.0002876-0.00043449i,0.00050769-0.0010136i,0.00054879-0.0012115i,-0.00011004-0.0010404i,-7.5941e-05+8.0162e-05i,-6.4265e-05+0.00064371i,-0.00037235+0.0012351i,-0.00021636+0.0010295i
-5.443e-05+0.0024029i,0.00099969+0.0012128i,0.0025144-0.00030301i,0.0023603-0.0011837i,0.0012347-0.0020587i,0.001773-0.0015467i,0.0025852-0.00063558i,0.0018193+9.0743e-05i,0.00060724+0.0011806i,-0.00019611+0.00098078i,-0.00014771+6.1144e-05i,0.00038238-0.0012797i,0.00057638-0.0016511i,3.8352e-05-0.00066386i,-0.00067562+0.00029795i,-0.00064703+0.00094541i,-0.00023276+0.00081664i,0.00034741-0.00025058i,0.00097744-0.0010716i,0.0011296-0.00090975i,0.0011317-0.00038091i,0.00070535+0.00019099i,-1.8185e-05+0.00043998i
-0.00099489-0.0015722i,-0.0009428-0.0021644i,-0.00035194-0.0016068i,0.0013517-0.00027225i,0.0029205+0.0014401i,0.0032843+0.0030243i,0.0024012+0.003271i,0.00096956+0.0023771i,-0.00013491+0.0012871i,-0.00066938-7.5793e-05i,-0.00064443-0.00034796i,-8.637e-05+0.00030616i,-8.5224e-05+0.0001975i,-0.00076275-0.00041213i,-0.0007725+0.00034662i,3.3034e-06+0.00077036i,0.0015058-0.0002923i,0.0017997-0.0010822i,0.00081692-0.00033346i,0.00063837+0.00043754i,0.00054836+3.5579e-05i,0.00038536-0.00093331i,0.00073515-0.00072645i
0.0031865-0.0013531i,0.0032154-0.0018809i,0.0031857-0.0019801i,0.00055732-0.00081976i,-0.0012943+0.0007452i,-0.0021943+0.0017163i,-0.0023843+0.0018326i,-0.0016029+0.0011818i,-8.7298e-05+0.00052606i,0.0006861-0.00018189i,0.00047969-0.00051512i,0.00020176-1.12e-05i,0.00048431+0.0002656i,0.00044305-0.00023298i,0.00027413-0.00083654i,3.2887e-05-0.00078012i,-0.00051416-0.0005912i,-0.00041216-0.00077583i,-5.2469e-05-0.00075238i,0.00020826-9.3188e-05i,-0.00012684+0.0010532i,-0.00033826+0.0013737i,0.0007109+0.00036055i
0.0028734-7.2397e-05i,0.0023892-0.0008304i,0.0018141-0.0026376i,-0.00035796-0.0026781i,-0.0036326-0.0015314i,-0.0046545-0.0011013i,-0.0040765-0.001438i,-0.0026719-0.0010166i,-0.00079505+0.00024294i,0.00047771+0.00097674i,0.0011678+0.0014104i,0.0014629+0.0012915i,0.0023087+0.0011985i,0.0020816+0.00068145i,0.0015624-0.00060171i,0.0010636-0.0014019i,0.00017492-0.001442i,-0.00023063-0.0012438i,-0.00012081-0.00041492i,0.00026072+0.00014732i,0.00018237-3.5013e-05i,0.00038937+0.00071309i,0.00083439+0.00078153i
-0.00025118-0.0022025i,-0.0018492-0.0017056i,-0.0032081-0.0019095i,-0.0032367-0.0021679i,-0.002898-0.0032197i,-0.00027028-0.0035082i,0.0014494-0.0029266i,0.00075874-0.00179i,-0.00079811+0.00032411i,-0.0010552+0.0016283i,0.00015863+0.0010413i,0.00051878+0.00096332i,0.00090437+0.00068297i,0.0017454-0.00065608i,0.0015856-0.00095628i,0.0016255-0.0012253i,0.0017793-0.00092199i,0.001159-0.00031695i,0.00088907-0.00064428i,0.0010374-0.00079044i,1.9494e-05-0.00045032i,-0.00047605+4.053e-05i,-0.00012008+0.00080363i
0.00090283+0.0019834i,0.00077536+0.00037244i,0.0021058-0.00090726i,0.0028153-0.0011881i,0.0028025-0.0020054i,0.0035161-0.0019554i,0.0039703+0.00051247i,0.0023436+0.0019128i,0.00060577+0.0013363i,0.00067254+0.00039641i,0.00024847-0.00055268i,-0.00071726-0.0015707i,-0.0009993-0.0028698i,-0.00071479-0.00253i,-0.00052366-0.00085403i,-0.00067363+0.00058731i,-0.00040981+0.001152i,0.0006879+0.00087519i,0.0018361+0.00027859i,0.0020573+0.00034809i,0.0013606+0.00054987i,0.001001-0.00028425i,0.00097121-0.0008513i
9.4247e-05+0.0010548i,-9.8086e-05+0.0021006i,-0.00032302+0.0019825i,2.2076e-05+0.0022083i,0.0012765+0.0043398i,0.0024681+0.0061517i,0.0021188+0.0054861i,0.0016318+0.0036078i,0.0014495+0.0020202i,0.0011938+0.001318i,0.0011047+0.00034298i,0.0012953-0.0010911i,0.0016639-0.0020221i,0.00072899-0.0015006i,-0.00082507-0.00029829i,-0.0013344+0.00016589i,-0.0010016-0.00031542i,-0.00070138-0.00015192i,-0.00023062+0.00051931i,0.00060988+0.00022546i,0.00097864+0.00024382i,0.00010661+0.0009462i,-0.00029894+0.0004354i
-0.001884+0.0034136i,-0.0027533+0.0038833i,-0.0033524+0.0040328i,-0.0021734+0.0028833i,-0.002113+0.003076i,-0.0040976+0.0033793i,-0.0053159+0.001826i,-0.003822+0.0021643i,-0.00098444+0.0027393i,0.00045076+0.0012689i,0.00089422-0.00043603i,0.00076936-0.00083869i,0.00048932-0.00024277i,-5.7381e-05-7.5428e-07i,-0.00019136-0.0006125i,-0.0012277-0.0015863i,-0.0019086-0.0022449i,-0.00043361-0.0023839i,0.00032477-0.0016982i,1.3271e-05-0.00045788i,0.00019418+0.00072457i,0.00056572+0.00093691i,0.00030245-3.82e-05i
-0.0038148-0.0026236i,-0.0033733-0.0024975i,-0.0032625-0.002384i,-0.0041503-0.0011168i,-0.0060061-0.00016164i,-0.0056253-0.0017034i,-0.003859-0.0037781i,-0.0028043-0.0029875i,-0.0021007-0.00037373i,-0.00083534+0.0010186i,0.00049538+0.0011766i,0.0014799+0.0013054i,0.0016413+0.00042689i,0.00085595-0.0010959i,-0.00031068-0.0022761i,-0.00020159-0.0024012i,0.00037707-0.0016239i,-0.00036288-0.00094636i,-0.00046046-0.00086647i,0.00024049-0.0004955i,-6.6885e-05+7.4469e-05i,-0.00089931+0.00050636i,-0.00059681+0.00041279i
0.0011546-0.0029596i,0.0016397-0.0033773i,0.0012411-0.0035531i,0.00071685-0.0036516i,0.00048537-0.0052056i,0.0021217-0.0067814i,0.0036288-0.0055678i,0.0020421-0.0027221i,0.00021419-0.00033846i,4.4202e-05+0.0011503i,-0.00013757+0.0014224i,-0.00069753+4.2286e-05i,-0.0006336-0.0012054i,-0.00025878-0.0013757i,0.00045468-0.0012507i,0.001036-0.00030034i,0.0013125+0.00050641i,0.00099684+0.00035997i,0.00041217+0.00012032i,0.0001265-0.00075012i,-0.000467-0.00069054i,-0.0011718-0.00044154i,-0.00082936-0.00012136i
0.00032872+0.0025461i,0.00083997+0.0019615i,0.00062902+0.0014504i,0.002654+0.00058295i,0.0052946+0.00055563i,0.0072321+0.0019049i,0.006964+0.0025543i,0.0042241+0.002218i,0.00133+0.0015434i,0.0006574+0.00096954i,0.0013079+0.00015698i,0.0010708-0.0014516i,0.00051347-0.0026678i,-2.4579e-06-0.0018561i,-0.00053824-0.00098946i,0.00040195+0.00015207i,0.0005818+0.001165i,0.00046293+0.0011588i,0.00076853+0.0003071i,0.00099281-0.00080514i,0.00095914-0.0011886i,0.0010291-0.0009577i,0.00060234-0.00084209i
0.00086002-0.00047383i,0.00043575-0.0013007i,2.0629e-05-0.0010025i,-0.00010381-0.00022269i,-0.00076089+0.0037568i,-0.0019525+0.0081045i,-0.0026354+0.0074265i,-0.0018005+0.0042741i,3.3274e-05+0.0022652i,0.0014749+0.0013078i,0.0017724+0.00056952i,0.0016475-1.2499e-05i,0.00207-1.7828e-05i,0.0020426-3.1598e-05i,0.0016634+8.5834e-05i,0.00081643+0.0012636i,-0.00065084+0.00044614i,-0.00090727-0.00061265i,0.00026699-0.00055672i,0.0010133-0.0012459i,-2.5066e-06-0.0016909i,-0.0006375-0.0014336i,-7.2287e-05-0.0011666i
0.00061729-0.0011587i,-0.0005138-0.0014105i,-0.0014557-0.00050968i,-0.003938-0.00018962i,-0.0066499+0.00090771i,-0.0085504+0.0023558i,-0.0083001+0.0014656i,-0.0054606+0.00062704i,-0.0027201+0.0013736i,-0.00082116+0.001691i,0.00028212+0.0012016i,0.00084409+0.0011324i,0.001723+0.0010665i,0.0019776+0.0008171i,0.0012347+0.00075215i,3.4752e-05+0.00038644i,-0.0006488-0.00036425i,-0.00079829-0.00063703i,-0.00032922-9.4708e-05i,0.0010429+0.00011565i,0.00063174+0.00030172i,-0.00089432+0.00028053i,-0.00084682+7.9268e-05i
0.0019208+0.00056746i,0.00056648+0.00020095i,0.00094339-4.7999e-07i,-0.00058651-0.0015108i,-0.0029438-0.0041343i,-0.0036234-0.0063261i,-0.0027733-0.0070063i,-0.0013806-0.0048681i,-0.00072273-0.0019051i,-0.00055626-0.00059428i,-0.00091739-0.00020528i,-0.0010717+0.00039032i,-0.00080181+0.001285i,-0.00023686+0.00048841i,2.6528e-05-0.0013538i,-0.00020772-0.0020749i,-0.00044087-0.001993i,0.0006796-0.0015859i,0.00090907-0.00077228i,0.00047117-0.00030086i,0.00076576-0.00028488i,9.8008e-09-6.5927e-05i,-0.00086601-0.00031253i
0.00091791+0.003223i,0.00144+0.0015614i,0.0029114-0.0014433i,0.0035165-0.0052249i,0.0043918-0.0079759i,0.0061978-0.0073059i,0.0072714-0.0051127i,0.0059432-0.0031201i,0.0040064-0.0010799i,0.0025737-0.00054773i,0.0011171-0.0021502i,-0.00061936-0.0027725i,-0.0014293-0.0019956i,-0.00047428-0.0010126i,4.3268e-05+0.00041134i,0.00038986+0.0014448i,0.00071365+0.00058375i,0.00089177+0.00012799i,0.0010648+0.00093149i,0.0006781+9.6687e-05i,-0.0001783-0.0014368i,-0.00083513-0.0014797i,-0.00040024-0.00066046i
-0.0037329-0.00092148i,-0.0032203-0.00072733i,-0.0024495+0.0011995i,-0.00010328+0.0025411i,0.0046797+0.0050922i,0.0070587+0.0086088i,0.0061796+0.0088017i,0.0041955+0.0065204i,0.00339+0.0039702i,0.0032809+0.0016292i,0.0029826+0.0001235i,0.0027761-0.0015483i,0.0013887-0.003026i,-0.00013113-0.0025859i,-0.00096342-0.0013701i,-0.00071258-0.00092515i,-0.0006404-0.0011103i,-0.00059025-0.0014997i,0.0003133-0.001163i,0.00081211-0.0011092i,0.00081885-0.00066835i,6.4287e-05+0.00012438i,-0.00078794-0.00019606i
0.0023982-0.0011691i,0.0020425-0.00061778i,0.0025282+3.0201e-05i,0.0018496+0.0010735i,-0.0012786+0.0044351i,-0.0058664+0.007859i,-0.0067518+0.00811i,-0.0043196+0.0064601i,-0.0020609+0.0050098i,-0.00021204+0.0027303i,0.0013736+0.0010931i,0.0016577+0.00044167i,0.0012391+3.8877e-05i,0.0010069+0.00043453i,0.00069119+0.00035544i,-0.0004945-0.00037699i,-0.0010886-0.0011023i,-0.00058536-0.001065i,0.00040709-0.001041i,0.0015241-0.00087723i,0.0012591+0.00013261i,0.00037335+0.00084128i,0.00042702+0.00054804i
0.0036733+0.00010579i,0.0033173-0.00070756i,0.0011786-0.0014973i,-0.0023646-0.0018297i,-0.0072668-0.0026756i,-0.011337-0.0031713i,-0.010825-0.0031006i,-0.0063118-0.0015689i,-0.003288+0.0002188i,-0.0026483+0.00041017i,-0.0023791+0.00048591i,-0.00099453+0.0012711i,0.0010506+0.0020395i,0.0016425+0.0016167i,0.00097726+0.0001665i,0.00018949-0.00060488i,0.00023066-0.0011042i,0.00039815-0.0010045i,0.00051014-4.1634e-05i,0.00040391+0.00084842i,0.00022655+0.00074846i,0.00057336+0.00031585i,-0.00052191+0.00060334i
0.00092631+0.00037639i,0.0004709-0.0012784i,-0.00021015-0.0036947i,-0.002633-0.0058029i,-0.0043297-0.0087863i,-0.0024115-0.010783i,0.0010748-0.010397i,0.0023063-0.0067319i,0.00084079-0.0034238i,-0.0012161-0.0020037i,-0.002206-0.0018416i,-0.0028082-0.0013397i,-0.0016215+0.00018292i,0.00094304+0.00091671i,0.0019565+0.00065982i,0.0016901+0.00039888i,0.0011245-4.0468e-05i,0.00041469-0.00083168i,0.00060624-0.00086708i,0.00050261-0.00030901i,-0.00012106-0.00025583i,-0.00015538-0.00034077i,-7.0243e-05+2.7369e-06i
-0.0068059-0.00082161i,-0.0053566+0.00012889i,-0.0029231+0.0018581i,0.0010058+0.0021298i,0.0066569+0.00126i,0.011933-4.9677e-05i,0.012417-0.00086598i,0.0084027-0.00068788i,0.0045075-0.00015471i,0.0036679-0.0001217i,0.003793-0.00092583i,0.0024161-0.0024422i,0.00061018-0.0028598i,-0.00059372-0.0016659i,-0.0012609-2.3812e-05i,-0.0012108+0.0012338i,-0.0010387+0.00097996i,-0.00077096-0.00042765i,2.1735e-05-0.0004903i,0.00016175+0.00033802i,9.6791e-05+0.00044697i,-0.00014896-0.00040303i,-0.000711-0.0010575i
-0.00037821-0.0044637i,-0.0012782-0.0028589i,-0.0032425-0.00099596i,-0.0018387+0.0024478i,0.0013886+0.0092596i,0.0038029+0.014398i,0.0044995+0.01384i,0.0037394+0.010266i,0.0019871+0.0067104i,0.0016096+0.004122i,0.0023069+0.0027173i,0.0029096+0.00065697i,0.0033145-0.0018504i,0.0024628-0.0026945i,0.00023543-0.002115i,-0.0014608-0.0018708i,-0.001436-0.00053691i,-0.0007726+0.00061471i,-0.00054038-0.0002085i,-0.00026156-0.0012451i,0.00082733-0.00090808i,0.0011652-0.00097949i,0.00041368-0.0011412i
0.0017934+0.0018637i,0.0022546+0.0013566i,0.00068223-0.00041265i,-0.0031085+0.00056793i,-0.0086045+0.0049631i,-0.012251+0.0085548i,-0.011132+0.0087083i,-0.007657+0.0069746i,-0.004411+0.0050133i,-0.0024632+0.0030568i,-0.0010945+0.0029393i,0.00047108+0.003054i,0.0018434+0.0013815i,0.0012416-0.00088356i,-0.00018333-0.0026437i,-0.0013697-0.0025392i,-0.0013023-0.0013942i,-0.00015698+0.00011036i,0.0003836+0.00028601i,0.0010522-0.00024031i,0.00072473-1.4941e-05i,0.00037415+0.000593i,0.00089587+0.00073593i
-0.0023545-2.4525e-05i,-0.0026637+0.00043294i,-0.00226-0.0005857i,-0.0047123-0.0025895i,-0.0093324-0.0055779i,-0.011411-0.0081916i,-0.010267-0.0089963i,-0.007655-0.0064965i,-0.0045659-0.0031502i,-0.0022439-0.0015401i,-0.0011446-0.00097558i,-0.00077992+0.00011568i,0.00058504+0.0015465i,0.0023614+0.00048585i,0.0023545-0.0020052i,0.0021671-0.0025621i,0.00097805-0.0020772i,-0.00075073-0.0014286i,-0.00050301-0.00086575i,0.0005274+0.00029043i,8.9712e-05+0.00098437i,-0.00082823+0.0013161i,-0.00097794+0.0012576i
-0.0041924-0.00062713i,-0.0022972-0.00039847i,-0.0010787+0.00037178i,0.00062056-0.0012654i,0.0035493-0.0069795i,0.0058589-0.012319i,0.0062158-0.012604i,0.0044213-0.0087397i,0.0028354-0.0038807i,0.0017246-0.0020404i,0.00043901-0.0024925i,-0.00042416-0.0024715i,-0.0008181-0.0014426i,-0.00040365-0.00072836i,0.00121+0.00030003i,0.0024762+0.0007099i,0.0019526-0.00013056i,0.00085584-0.0012364i,0.00021509-0.0018312i,0.0002129-0.0012705i,-3.786e-05-0.00031904i,-0.00068379+0.00055093i,-0.00044386+0.00055561i
0.0020577-0.001789i,0.0021297-0.00065851i,0.0012681+0.0022212i,0.0039515+0.0036573i,0.010156+0.0042932i,0.014857+0.0049203i,0.014477+0.0042502i,0.010164+0.0033919i,0.0063993+0.0026595i,0.0052544+0.0013782i,0.004973-0.00034699i,0.0038976-0.0029521i,0.0012291-0.0038297i,-0.00067461-0.0020959i,-0.00031874-0.00010198i,0.0011385+0.00095561i,0.0016703+0.0002229i,0.0012993-0.00059194i,0.0010855-0.0001656i,0.0012625-0.00062609i,0.0010831-0.0013043i,0.00038954-0.0012323i,0.00018116-0.00065078i
0.0040683+0.0033425i,0.0020411+0.0044456i,-0.00022446+0.0025812i,-0.001633+0.0038893i,-0.0014289+0.0098654i,-0.00082763+0.014725i,-0.00026835+0.014988i,0.00025224+0.011387i,0.00041192+0.0069352i,0.00070704+0.0047943i,0.00097233+0.0027598i,0.0013587+0.0010684i,0.0013796-0.00025726i,-0.00019083-0.00034223i,-0.0024668+8.5125e-05i,-0.0027078+0.0003954i,-0.00082196+0.00070966i,0.00082831+0.00069389i,0.0016299+0.00013714i,0.0020302-0.00030918i,0.0021386-0.00055576i,0.0013566-0.0009185i,0.001001-0.00077414i
-0.0032212+0.0020656i,-0.0038456+0.00095634i,-0.0031807+0.00021933i,-0.0045567-5.1606e-05i,-0.010195+0.00080851i,-0.015491+0.002622i,-0.015179+0.0038243i,-0.010304+0.0041155i,-0.0052022+0.0037336i,-0.0018112+0.0026643i,-0.00010458+0.0020336i,0.00067161+0.0022342i,0.0013301+0.0012258i,0.0014022-0.00049604i,-0.00029191-0.00075194i,-0.0024866-0.00030232i,-0.003061+0.00028169i,-0.0022518+0.0011871i,-0.00078378+0.0011473i,0.00035187+0.00039278i,0.00046002+0.00070195i,0.00036687+0.0017177i,0.0010292+0.0013009i
0.0003186-0.0050837i,0.0013109-0.0051244i,0.0013071-0.0048595i,-0.0015024-0.0062947i,-0.0059584-0.009093i,-0.0078819-0.011704i,-0.0076629-0.011766i,-0.0057705-0.008067i,-0.0023588-0.0035073i,-0.0004555-0.0017404i,-0.00070819-0.001414i,-0.00057352-0.00026354i,0.00033904+0.00052374i,0.00099055+0.00019892i,0.001197-0.0011131i,0.00046365-0.0023496i,-0.0010276-0.0029228i,-0.0012624-0.0020893i,-0.00060061-0.00080398i,0.00013725-0.0005044i,0.00022652+0.00041665i,-0.0011755+0.0010045i,-0.0013957+0.00093607i
0.0034001-0.00062427i,0.0050167-0.00043132i,0.0036426-7.8619e-05i,0.0034862-0.0018951i,0.0077128-0.0057749i,0.012078-0.0090468i,0.011917-0.0098367i,0.0080354-0.0075772i,0.0042275-0.0042049i,0.0027838-0.002072i,0.0024218-0.0021397i,0.00098827-0.0024024i,-0.00033596-0.0017791i,-0.00058894-0.0010645i,0.00025953-0.00058165i,0.00086162-0.0013199i,0.0014704-0.0027063i,0.0015761-0.0021076i,0.00029576-0.00096099i,7.9703e-05-0.0011538i,8.0842e-05-0.00086102i,-0.0003768-0.00050813i,-0.0010525-7.8945e-05i
0.0016554+0.0019191i,0.00079922+0.0038933i,0.0017371+0.0027877i,0.0038987+0.0023464i,0.0073891+0.0061143i,0.011705+0.0098835i,0.012414+0.0090567i,0.0091127+0.0061063i,0.0057053+0.0034569i,0.0037206+0.0011751i,0.0024057-0.00021545i,0.0015321-0.00085838i,0.0012027-0.00052621i,0.0010795+0.0001797i,0.0013908+0.00093352i,0.001986+0.0010767i,0.0020517-0.00020025i,0.0014538-0.00051989i,0.0011881-0.00034132i,0.0019065-4.5972e-05i,0.0022529-0.00030531i,0.0006965-0.00039286i,-0.00036755+0.00013366i
-0.0043495+0.0013417i,-0.0057364+0.0023443i,-0.0045185+0.0035617i,-0.0038193+0.005666i,-0.0055972+0.010964i,-0.0063486+0.015606i,-0.00447+0.015552i,-0.0024537+0.011875i,-0.0012311+0.007757i,0.00030383+0.0050203i,0.0008475+0.0033724i,0.0010326+0.0018224i,0.001887+0.00066626i,0.0010337+0.00066428i,-0.00052545+0.0011638i,-0.00028575+0.0012423i,0.00078655+0.0011506i,0.00063547+0.00082424i,-0.00046445+0.00097967i,-0.00017055+0.0011936i,0.00070316+0.00086668i,0.00082146-0.00021106i,0.0003986-0.00066708i
0.0011296-0.0024603i,-0.00038563-0.0040678i,-0.0016719-0.0047667i,-0.0048603-0.0046282i,-0.011074-0.0046867i,-0.01667-0.003513i,-0.01699-0.00020117i,-0.011813+0.0023833i,-0.0062372+0.0020461i,-0.002448+0.00056365i,-0.00065436-0.00044795i,-0.00011998-0.00068014i,0.0011426-0.00035517i,0.0015554-0.00035643i,0.00056863-0.00034873i,-0.00092055+0.00039712i,-0.0018964+0.0012603i,-0.0020191+0.00053069i,-0.0014627-0.00019934i,-0.0011518+0.00056392i,-0.0010479+0.0012681i,-0.00032291+0.00081109i,-0.00022289-0.00045338i
0.0014151+0.00096217i,0.0039692-0.0010094i,0.0054579-0.0030302i,0.0039358-0.0060007i,0.0010786-0.011921i,-0.00092423-0.016192i,-0.0030799-0.015799i,-0.0038128-0.010745i,-0.0018647-0.0036241i,0.00032312-0.0011622i,0.00056477-0.0017959i,-0.00011943-0.0016805i,-0.00014534-0.0010361i,4.5144e-05-0.00055864i,-0.00076271-0.0015974i,-0.0020512-0.0023313i,-0.0017597-0.0020707i,-2.996e-05-0.0028789i,0.00068256-0.0025311i,-0.00012984-0.0011642i,-0.00097591-0.00062808i,-0.0010189-0.00013938i,-0.00017752+0.00063711i
0.0020888+0.0022628i,0.0035562+0.0041501i,0.0046886+0.005023i,0.0049398+0.0023935i,0.0086315-0.00082587i,0.013601-0.0036386i,0.013982-0.0062239i,0.009506-0.0052073i,0.0060042-0.0018884i,0.0041622-0.00045802i,0.0017224-0.0013727i,-0.00052129-0.0018064i,-0.0010235-0.00052767i,-0.00085971+0.00018782i,0.00019763+9.8183e-06i,0.0014912-0.00078381i,0.0012958-0.0019046i,0.00076572-0.0016586i,0.00099925-0.00070897i,0.0013638-0.00096094i,0.0012145-0.001634i,0.00026753-0.000666i,-0.00024629+0.00028828i
0.00038434-0.00047559i,-0.0014078+0.0012041i,-0.0035232+0.0010247i,-0.0033149+0.0027459i,-0.00075798+0.0089283i,0.0042529+0.013929i,0.008976+0.012088i,0.0084392+0.0067387i,0.0039044+0.0035691i,0.0012094+0.0025334i,0.00095401+0.0013592i,0.00012122+0.0010228i,0.0002141+0.00063012i,0.00071475-0.00012436i,0.00096404-0.00011793i,0.0015219-0.00086132i,0.0014499-0.0016564i,0.00063548-0.0010377i,0.0007868+4.3416e-05i,0.0023155+0.00084734i,0.0024922+0.0016022i,0.00076663+0.0015374i,-0.00041166+0.00065025i
-0.0016082+0.0001236i,-0.0042755-0.0021632i,-0.0062575-0.0042228i,-0.0065517-0.0021515i,-0.0096774+0.0038804i,-0.01236+0.0095783i,-0.0093311+0.011912i,-0.0047263+0.0097063i,-0.0029381+0.0057081i,-0.0016257+0.0036634i,0.00050845+0.0017192i,0.0016463-0.00035668i,0.002441-0.001118i,0.0019659-0.0012638i,0.00091882-0.0010073i,8.9157e-05-0.00029075i,-0.00066222+0.00071356i,-0.0010213+0.0009908i,-0.00090377+0.0017456i,-9.9404e-05+0.0033331i,-6.4124e-05+0.0026312i,-0.00089106+0.00085678i,-0.0012301-0.00012309i
-7.4765e-05-0.0026682i,0.00088798-0.0057548i,0.0032076-0.0080837i,0.00025827-0.010101i,-0.0073056-0.011701i,-0.012856-0.010255i,-0.013536-0.0054297i,-0.00943-0.00016263i,-0.0043736+0.001646i,-0.0011187+0.0012961i,0.00047842+0.00035961i,0.0015169-0.00094242i,0.0021789-0.0012283i,0.0022367-0.0011624i,0.0022261-0.00076902i,0.0017049-0.00039026i,0.0001071-0.00092558i,-0.00055467-0.00099356i,-0.0011522-0.0010283i,-0.0014722-0.0016012i,-0.0013257-0.0018734i,-0.0013571-0.0014857i,-0.00030802-0.001101i
0.0011827+0.0012984i,0.0045239+0.0014346i,0.0070029+0.0028151i,0.0075296-8.9505e-06i,0.0086946-0.0078983i,0.0073898-0.013999i,0.0026077-0.01448i,-0.00024518-0.0095783i,0.00048952-0.0034494i,0.0017096-0.00042845i,0.001197-0.0003219i,0.00014038-0.00096903i,-0.00031007-0.00084878i,-0.00044262-0.00041291i,0.00015932-0.00051231i,0.00053818-0.0012962i,0.00029802-0.0020856i,0.00021467-0.0015293i,0.00017382-0.0012012i,-2.0708e-05-0.0019036i,0.00023389-0.0021509i,0.0011967-0.00089934i,0.0013502+0.00037725i
0.002356+0.0001767i,0.002756+0.0036215i,0.0027666+0.0070629i,0.0041877+0.0071151i,0.0091375+0.0067389i,0.01329+0.0057047i,0.012642+0.00082769i,0.0072768-0.00115i,0.0026892+0.00070912i,0.0019726+0.00022531i,0.00096502-0.0012822i,-0.00048536-0.00044049i,-0.00015698+0.001095i,0.00059328+0.0014399i,0.00083525+0.0013189i,0.0013242+0.0011848i,0.0012061+0.00093061i,0.0016229+0.00053435i,0.0021387+0.00020709i,0.0021789-0.00022136i,0.0021836-0.00016232i,0.0010883+0.00083283i,0.00018731+0.0019475i
-0.0018826+0.0042694i,-0.005778+0.0056436i,-0.0095185+0.0047226i,-0.0096439+0.0047925i,-0.0072805+0.0095897i,-0.0024939+0.014282i,0.0035735+0.012484i,0.0050071+0.0063872i,0.0015988+0.0027211i,0.0006657+0.0018534i,0.0014264+0.0010385i,0.00072816-4.4332e-05i,0.00052027-0.00091173i,0.00039671-0.0012123i,-0.00014553-0.00031836i,0.00018456+0.0009549i,0.00018836+0.00072235i,0.00033559+0.00011168i,0.0015368+0.0011352i,0.0022472+0.0022349i,0.0016566+0.0020519i,0.00040163+0.001723i,-0.0006932+0.0012797i
-0.002541+0.0015632i,-0.0041819-0.0030634i,-0.0033053-0.0076467i,-0.0034213-0.0083719i,-0.007827-0.005794i,-0.012132-0.0012253i,-0.0098046+0.004301i,-0.0035713+0.0060567i,-0.00059858+0.0039136i,5.3644e-05+0.001816i,0.00083013+0.00066732i,0.0010317-0.00024398i,0.00094806-0.0014836i,0.0012641-0.0026734i,0.00030742-0.0028778i,-0.001108-0.0022086i,-0.0008811-0.0013951i,-0.00016426-0.00030035i,-0.00075251+0.00032589i,-0.0018186+0.0010497i,-0.0020315+0.0018688i,-0.0011574+0.000785i,-7.7594e-05-0.00070934i
-0.0010032-0.0043099i,0.0034317-0.0073853i,0.0083258-0.0074529i,0.0084472-0.0082578i,0.002665-0.010837i,-0.0034977-0.011536i,-0.0075502-0.0072204i,-0.0070044-0.0010176i,-0.0024918+0.0019166i,0.0012009+0.0017174i,0.0016958+0.0012446i,0.0015225-0.00046132i,0.0024421-0.0019559i,0.0023759-0.0012481i,0.0010369-0.0010214i,-0.00036268-0.0019581i,-0.0013748-0.0018463i,-0.0017479-0.00052398i,-0.0016681+3.1367e-06i,-0.0019168-0.0014877i,-0.0026856-0.0023818i,-0.0016172-0.0017295i,0.00041472-0.0011236i
0.0050859-0.00080394i,0.0086382+0.004408i,0.0089571+0.009878i,0.0077169+0.0090124i,0.0095865+0.0018749i,0.010986-0.0050272i,0.0063411-0.0076319i,0.00054314-0.0054145i,-0.00037246-0.0017232i,0.0015953-0.0006091i,0.0014185-0.00093524i,0.0015583+0.00013695i,0.0025882+0.001252i,0.0020728+0.001641i,0.0017822+0.0015564i,0.0018565+6.9966e-05i,0.0011916-0.0014565i,0.00023706-0.0019938i,0.00048836-0.0019698i,0.001537-0.0025875i,0.0014055-0.0034648i,0.0005593-0.002062i,-0.00019374-0.00010877i
