-7.6072e-06-0.00041391i,0.00060238-0.0012143i,-0.00017727-0.0014457i,-0.0010846-0.0017167i,-0.00084493-0.0015596i,-0.00037494-0.00079418i,-0.00016133-0.00013162i,0.00077163-6.6488e-05i,0.00082012+1.3482e-05i,0.00065745-2.714e-05i,0.00084803-0.00037673i,0.00011478-0.00043554i,-0.0008228-5.2312e-05i,-0.00050885-4.6129e-05i,0.00034983+4.4904e-05i,8.279e-05+0.00075992i,0.00041254+0.00046073i,0.0011129-0.00020704i,0.00055187+0.00015646i,4.3629e-05+0.00073478i,0.00028746+0.00056912i,0.00053376+0.00015825i,0.00024817+4.8669e-05i
0.00054568-0.00069561i,-0.00011991-0.00017714i,0.00041283+3.663e-05i,0.00079261-0.00030208i,0.0016477-0.00065837i,0.0017711-0.0010271i,0.00072516-0.0016082i,-0.0001835-0.0015235i,-0.00028459-0.0012871i,-7.4492e-05-0.0010244i,-0.00018484-0.00050265i,-0.00022616+5.9913e-05i,0.00034153+0.00068305i,0.00070162+0.00058056i,0.00027226-0.00010953i,0.00057021+0.00075923i,0.00055614+0.0013618i,-0.00012976+0.00081168i,-6.0806e-05-0.00010629i,1.7034e-05-0.00057594i,-0.00029938+0.00036095i,-0.00031103+0.00094001i,-0.00041676-0.00015004i
0.0011119+0.00045586i,0.00015237-0.00019475i,4.0685e-05-0.0012037i,-0.00015225-0.0011185i,4.9292e-05-0.0010219i,0.00064853-0.001932i,0.00033434-0.0021698i,-0.00014361-0.00098342i,-0.00018645+0.00078915i,-0.00073951+0.0012623i,-0.00094313+0.00055563i,-0.0004281-5.6412e-05i,-0.0001371-3.226e-05i,-0.00036266+0.00041708i,-0.00034226+0.00031193i,0.00042367+0.00060855i,0.00048001+0.0013734i,0.00083841+0.00049163i,0.00077188-0.00082839i,0.00015407-0.00018171i,0.00028354+0.00098078i,0.00027019+0.0012992i,-0.00062207+0.00042157i
0.0020552+0.0014639i,0.0010728+0.0020639i,0.00033538+0.00084126i,0.00020003-0.0011074i,0.00017953-0.0018663i,0.00023429-0.001564i,9.2601e-05-7.1719e-05i,-0.00077832+0.00037506i,-0.00031012-0.00035759i,0.00018658-0.00087603i,-1.0263e-05-0.00083248i,-0.00039887-0.00023342i,-0.00036901+0.00019214i,-0.00012175+0.00045568i,-0.00042506+0.0004581i,-0.00057501+0.00049835i,-0.00030838+0.00077945i,-0.0001337+0.00088928i,-0.0001142+0.0010739i,0.00015257+0.00081308i,0.00017543-0.00018837i,0.00017635-0.00061966i,-8.3344e-05+0.00011718i
0.0019998-0.001469i,0.0010142-0.0015299i,7.2272e-05-0.0012709i,0.00029224+0.00024911i,0.00033175+0.00039589i,-4.0815e-05-0.00064481i,1.9291e-05-0.001081i,-0.00042135-0.00024054i,-0.0012208+0.00034045i,-0.0012356+0.00011343i,-0.0010663+0.00023333i,-0.00061513+0.00028097i,6.3378e-05+0.00021664i,0.00084682+1.8816e-05i,0.00080729-5.0927e-05i,-2.0526e-06+0.00037332i,-7.7924e-05+0.00095854i,-0.00018582+0.00081846i,-0.0007153-1.1343e-05i,-0.0013347-0.0007263i,-0.00078037-0.00044064i,-0.00032428+0.00035483i,-0.00052332+0.00055269i
0.00016885-0.00087679i,-0.0013441+0.00024672i,-0.00056266-0.0004161i,0.00074856-0.0015699i,0.0012285-0.0020756i,0.00094665-0.0017045i,0.00066801-0.0010639i,0.00024641-0.00089909i,-0.00071996-0.00028385i,-0.0010881+0.0006804i,-0.0004434+0.000656i,0.00050299-0.00012918i,0.0010358-0.0010077i,0.00039834-0.0010869i,-0.00028512-0.00020094i,-0.00062689-3.3337e-05i,0.00034768+0.00017247i,0.00088871+0.00040204i,0.00040195-1.8204e-05i,0.00040021+0.0001413i,0.00048956+0.0010941i,0.00033169+0.0010115i,0.00046253-2.3084e-06i
-0.0011636+9.5819e-05i,-0.0014908+0.00025668i,-0.00024427-0.00015908i,0.00073293-0.00078501i,0.00050202-0.00086675i,-0.00021826-0.0010733i,-0.00042117-0.0012692i,-0.00025625-0.00070888i,-0.00065036-0.00042479i,-0.0009344-0.00069468i,-0.00047929-0.00031898i,-0.00025163-6.0869e-05i,7.271e-05-0.00024006i,-5.654e-05-9.9334e-06i,-0.00045014-0.00034934i,-0.00040835-0.00072668i,0.00012203+0.00020573i,0.00046464+0.00064386i,-0.00043099-0.00020712i,-0.0011353-0.00056467i,-0.00018568-0.00037677i,0.00030143+0.0002126i,0.00016223+0.00025863i
-0.00070786+0.0007455i,-0.0011677+0.00092422i,-0.0012661-2.7405e-05i,0.00026922-0.00040528i,0.0011231+0.00019437i,0.00092241+1.8475e-05i,0.00013489-0.00073306i,-0.00036965-0.00013669i,-0.00054204-5.1445e-06i,-0.00077769-0.00074187i,-0.00042782-0.00025228i,-0.00026528+0.00037503i,1.7563e-05+6.0596e-05i,0.00048241+0.00016115i,0.00036962-9.0751e-05i,9.1173e-05-0.000437i,-0.00019107-0.00011279i,-0.00015415+0.00017361i,0.00019863+0.00036067i,0.00020982-8.1279e-05i,-0.00023548-0.00087776i,0.00012171-0.00082384i,0.00038604+8.3206e-05i
-0.00070192-0.00081805i,-0.0003985-0.00026612i,-0.00050359-0.00075892i,5.859e-05-0.0009913i,0.00062016-0.00081702i,0.00056879-0.00099546i,0.00031654-0.0013256i,0.0004033-0.0010754i,0.00036075-0.00049539i,0.00044877-0.00045687i,0.00019013-0.00045612i,-0.00036619-0.00046583i,-0.00033974-0.00083153i,0.00043572+0.00015462i,0.0010706+0.00068035i,0.0013793+0.00093527i,0.0011045+0.00098945i,0.00065418+0.00040853i,0.00016525+4.7007e-05i,0.00043075-9.4556e-05i,0.0007242+0.00014819i,0.00026094+5.7495e-06i,-0.00045386-0.00027791i
0.00091879-0.0013886i,0.00078104-0.0016554i,-9.486e-05-0.0016164i,-0.00013316-0.0015223i,0.00036697-0.0014359i,0.00024696-0.00085787i,0.00079089-0.00043166i,0.0010999-0.00012663i,-0.00013482+0.00050304i,-0.0012441+0.0003395i,-0.0010688-0.00041232i,-0.00026731-0.00045371i,-0.00035441-0.00014851i,0.00014656+9.1941e-05i,0.0010999-0.00037257i,0.00050957-0.000466i,-9.3464e-05+0.00038714i,0.00034708+0.00111i,0.00055961+0.00045007i,0.00027026-0.00065599i,-0.00011338-0.00057995i,-0.00057188-0.00017307i,-0.00070839+0.00074169i
0.00098916-2.4979e-05i,0.0010765-0.00061274i,0.00011089-0.0001471i,0.00029512+0.00047855i,0.00096639+7.9251e-05i,0.0007659-0.00067539i,0.00043645-0.00036245i,0.00027656-0.00013306i,0.00020335-0.00049915i,-8.0732e-05-0.00061851i,-0.00093871-0.00060456i,-0.00023369-0.00051928i,0.0010778-0.00018439i,0.00090357+0.00011861i,0.00043929-0.00015592i,-0.00011455-0.00045727i,-0.00015744+0.0001885i,-2.1771e-05+0.00044911i,4.4266e-05-0.00026132i,0.00017739+4.9376e-05i,-0.00035315+0.0010839i,-0.00069598+0.00088301i,-0.00012453-0.00040259i
-0.0027879-0.00061621i,-0.001487-0.00011058i,-0.00065127+1.3851e-05i,-0.00036464+0.00049436i,2.9036e-05+0.00090294i,0.00084201-0.00022927i,0.0014719-0.00098821i,0.0012196-0.00028107i,0.00052106-0.0001831i,-0.00058213-6.9374e-05i,-0.00091055+9.3241e-05i,-0.00021443-0.00056545i,0.00019262-0.0014613i,0.00047841-0.00091926i,-5.0639e-05-0.00080894i,-0.00022568-0.00075097i,-2.1272e-05-0.00027405i,0.00034025-0.00010783i,0.00048542+0.00049473i,0.00052081+0.00066204i,0.00050614+0.00028852i,7.871e-05-5.5257e-05i,-5.0092e-05-6.273e-05i
0.00082933-0.0018612i,0.00014506-0.0010148i,-0.00088058+0.00041017i,-0.00042295+0.0009418i,0.00064586+0.00049743i,0.0010099-0.00089559i,0.0010141-0.001699i,0.00070993-0.00090481i,5.4965e-05-0.00021943i,-0.0003351-0.00031878i,-0.00042162-0.00068753i,-0.00020027-0.00085356i,0.00026362-0.00089475i,0.00062928-0.00052518i,0.00029691-0.00014953i,-0.00045827-0.00014279i,-0.00050912+0.00028905i,0.00017442+0.0010656i,0.00011782+0.00087656i,-0.00032847+0.00022141i,-0.00022168-0.00039735i,9.1814e-05-0.00080431i,-0.00040394-0.00060615i
0.0018087+0.00069325i,0.0010923+0.0003718i,0.00070668-0.00029778i,0.00036564-0.00058222i,-0.00016138-0.00079171i,0.00010408-0.0010602i,0.0004057-0.0015017i,-0.00012857-0.001589i,-0.00014156-0.00091836i,-0.00011435-0.00099426i,-0.0003737-0.00055471i,-0.00030144+7.6582e-05i,6.4455e-05+0.00058526i,-1.6152e-07+0.00097513i,0.00042745-6.0402e-05i,0.00049409-0.00056992i,0.00010402-0.00026559i,0.00041-0.00052154i,0.0002567-0.0002733i,-0.0003608-0.00052724i,0.00021275-0.001165i,0.00058545-0.00056i,-0.00049237-0.00036937i
0.0012876-1.8758e-05i,0.00084131-0.00021791i,-6.8512e-05-3.1101e-05i,-7.9169e-05+0.00072909i,0.00036572+0.00042386i,0.00016238-0.00061195i,-0.00037698-0.0016193i,-0.00050509-0.0010466i,-0.00067578+0.00010592i,-0.0001321-0.00023748i,9.1233e-05-0.0006897i,-0.00023074+0.00018294i,-0.00030841+0.00064521i,0.00024877+0.00051075i,-5.4437e-05+0.00060564i,-0.0001844+0.00033355i,0.00016789+0.00049401i,0.00068222+0.00095621i,0.0010878+0.00037059i,0.00044628+0.0002117i,-0.00034437+6.3698e-05i,-2.7251e-05-0.00028177i,0.0003907+0.00014732i
-0.0001772+0.00082776i,-0.00070182+0.00055239i,-0.0012504+0.00031128i,-0.0013583+2.4638e-05i,0.00052753-0.0001231i,0.0017225-0.00056465i,0.00067251-0.00090525i,1.2933e-05-0.00061701i,0.00012645-0.0003914i,-0.00038597-2.4904e-05i,-0.00041694+0.00046463i,0.00013229+0.00080946i,0.00066399+0.00074732i,0.00036696+0.0010164i,-0.00054181+0.00080278i,-0.00034635+0.00011754i,0.00014285-0.00019392i,0.00029524-0.000253i,3.1437e-05-0.00060234i,0.00010311-0.00071305i,8.3836e-05+0.00024319i,-0.00033549+0.0012464i,0.00016101+0.00094594i
-0.0016012+0.001514i,-0.0012215+0.00054458i,-0.00063073+0.0011667i,0.001169+0.0013392i,0.00262-0.00071222i,0.0024911-0.0028i,0.00067421-0.0028348i,-0.00022695-0.0017564i,-0.00025838-0.00013498i,-0.00041375+0.00064983i,-0.00019014+0.00077218i,-0.0002717+0.00044426i,-0.00040408-0.00067606i,-5.8786e-05-0.00063233i,0.00032851+0.00042415i,-0.00024381+0.0009259i,-0.00035707+0.00050534i,0.00044894+0.00032371i,-0.0001813+0.00082818i,-0.00054236+0.00024394i,8.5243e-05-0.00011363i,-0.00022577+0.00056059i,-0.0007435+0.00048328i
0.00070197+0.0014633i,0.00019186+0.00063653i,-0.00012486+0.00019073i,0.00060264+2.6649e-05i,0.0013711-0.0010629i,0.0016752-0.0024937i,0.0010159-0.0021062i,0.00012313-0.00058209i,-0.00019209-0.00070795i,-0.0008422-0.001103i,-0.0012563-0.00043105i,-0.0012901-2.7889e-05i,-0.0009305-0.00023837i,-0.00019376+0.00014392i,-0.00033236+0.00050567i,-0.0011304-0.00064586i,-0.0014098-0.00072086i,-0.00088592+0.00034165i,-0.00017555+0.00018167i,-6.0919e-05-5.7507e-05i,-0.00060614+0.00046904i,-0.00024357+0.00050094i,0.00023625+0.00032683i
-6.5801e-05+0.00024242i,-0.00072927-0.00033941i,-0.00031488-0.00052659i,0.00089237-0.00076153i,0.00097921-0.0012791i,0.00053464-0.0016851i,0.00020492-0.0014427i,0.00059619-0.00032066i,-4.7568e-06+0.00051023i,-0.001264+0.00050122i,-0.0013613+0.00066324i,-0.00021456+0.00065868i,0.00064373+0.0002809i,-0.00065861+8.0968e-05i,-0.00088144-0.00036017i,-0.00066079+0.00027144i,-0.0002573+0.0011671i,0.00051218+0.0011493i,0.00012068+0.000814i,-0.00059473+0.00019229i,-0.00042005+5.5674e-05i,-0.00034756+0.00056806i,-0.00045166-5.7482e-05i
0.00014899+4.6066e-05i,0.00080773-0.0010852i,0.0016307-0.00087704i,0.001068+0.00052152i,0.00033156+0.00071802i,0.00073491-0.00021183i,0.00068277-0.00073805i,0.00024951-0.00035789i,-0.00015645+0.00010042i,-0.00066921-0.00041029i,-0.00026878+9.7074e-05i,5.5606e-05+0.00058309i,-0.00017821+0.0003523i,-0.00025849-7.2349e-05i,-0.00013823-0.00090048i,0.00034258-0.00043831i,0.0003475+0.00012305i,0.00052267+0.00093365i,0.0008497+0.0011381i,0.00036372+0.00082303i,-0.00075621+0.00063778i,-0.0011761+0.00039357i,-0.0010513+0.00034578i
-0.0013842+0.000457i,-0.00081143+0.00024211i,-0.00079039+0.00037786i,-0.00048546+7.834e-05i,0.0007899-0.00014354i,0.0020188-0.00075589i,0.0013395-0.00078305i,0.00018382-7.5217e-05i,0.0002122+0.00023966i,0.00014142+0.00041009i,0.00016092+0.00056992i,0.00075683+0.00057324i,0.00058209+0.00062913i,0.00014016+0.00083189i,0.00053661+0.00057529i,0.00012982+0.00061958i,-0.00042223+0.0014719i,-0.00045484+0.00091286i,0.00022899-5.1155e-05i,0.00063637+0.00017704i,0.00060101+0.00036739i,0.0010339+0.00012619i,0.00080279+0.00017312i
0.00067212-0.00029086i,0.00055809-0.00014203i,0.00020298-0.00081299i,0.000421-0.0011837i,0.00074141-0.00085339i,0.0010373-0.00044527i,0.00074375-0.00042951i,-0.00026442-0.00025512i,-0.00029108-0.00070648i,-0.00039667-0.0012331i,-0.00075205-0.00081225i,0.00021243-0.00084162i,0.00048386-0.00032033i,1.8268e-05+0.00064484i,-9.0372e-05+0.00044799i,0.00039294+4.9249e-05i,0.00025624+0.00028051i,0.00048581-0.00012888i,0.00066196-0.00020277i,0.0003726+0.00072749i,0.00014826+0.00043363i,-9.7178e-05-0.00072098i,-0.00055379-0.00096354i
0.00020223-0.0022775i,5.5087e-05-1.5473e-05i,0.00013636+0.00040325i,0.00027869-6.4845e-05i,0.00038207+0.00050974i,0.0011932+0.00021366i,0.001285-0.00042373i,-0.00019349-0.00032163i,-0.0010673-4.1459e-05i,-0.00086309+0.00048519i,-0.00080048-1.3731e-05i,-0.00045903-0.00071839i,5.8196e-05-9.687e-05i,0.00033355-0.00013552i,-0.0003232+6.2221e-05i,-0.00043731+0.00011835i,8.3516e-05-5.1492e-05i,0.00032696+0.00025468i,0.00082202+0.00019221i,0.00067734+0.00019206i,-7.796e-05+2.0318e-05i,-0.00032801-0.00035124i,-0.00048202-8.3196e-05i
0.00026306-0.001668i,-0.00081845-0.0021839i,-0.0016031-0.0013161i,-0.00089389+6.2377e-05i,0.00041532-9.6132e-05i,0.00078436-0.00029011i,0.00060598-0.00062346i,0.00061534-0.0015727i,0.00082828-0.001917i,0.00043181-0.001125i,-0.0007912-0.00065051i,-0.00070008-0.0012422i,-0.00027741-0.0013722i,-0.0003955-0.00092995i,-0.00059339-0.00059963i,-0.00065265+7.21e-05i,-0.00040153+0.00017202i,0.00027063+0.00020168i,0.0002094+0.0005969i,-0.00034579-2.4255e-05i,-0.00047795-0.00027613i,-0.00026362-5.7645e-05i,0.00037812-0.0005616i
-0.00070246-0.0014039i,0.0001285-0.00035932i,-0.00017353-0.00010155i,-0.0003086+9.3641e-05i,0.00019+0.00093035i,0.0012184+0.00060364i,0.00038422-0.00047049i,-0.0012335-0.001068i,-0.0011215-0.0010409i,-0.00055511-0.00057403i,-0.00042415-0.00071899i,-0.00036124-0.00022172i,-0.00017036-0.00023805i,0.00012161-0.00071798i,-4.2522e-05-0.00052678i,-3.9937e-05-0.00039269i,-0.00017074+0.00019058i,-0.00065721+0.00086678i,-0.00043692+0.00044316i,-0.00011107-0.0003365i,-0.00011532-0.00061297i,0.00026129-0.00051027i,-0.00031663-0.00065658i
-0.00029147-0.00010719i,-0.00052346-0.00099498i,-0.00036938-0.0011742i,0.00020563-7.765e-05i,0.00082998+0.0001787i,0.00096858-0.00053941i,0.00078202-0.00078765i,0.00050666-0.0013126i,2.7508e-05-0.0019101i,-0.00072137-0.0014931i,-0.0012932-0.00055627i,-0.0016752-0.00021365i,-0.0012018-0.00032877i,-0.00040082-0.00052841i,-0.00024461-0.00022318i,-0.00031846+0.00046468i,-0.00052692+0.00043915i,-0.00061021-0.00011556i,-6.5454e-06-3.7422e-05i,-0.00011634-0.00018904i,-0.00035922-0.00050411i,0.00013897+0.00013992i,0.00016094+0.00077456i
-2.0437e-05+0.00062523i,-0.00028236+0.00014991i,-4.3643e-05+0.00045817i,0.00022417+0.00088314i,0.00092202+0.00086819i,0.0015739+0.00035027i,0.00048342-0.00036347i,-0.00056276+0.00026083i,-0.00051205+0.00055989i,-0.00041926+6.4096e-05i,-0.00035537+1.2384e-05i,-0.00022298+0.00032601i,-0.0001693+8.278e-05i,-5.5997e-05-9.3931e-05i,0.00062635-1.4251e-06i,0.00063624-0.00016568i,0.00057457+0.00019366i,0.00075603+0.00078592i,0.00097669+0.0001858i,0.0010447-0.00077682i,0.0003895-0.0007905i,-9.0632e-05-0.00014454i,-0.00029464-9.4408e-05i
-0.0022779+0.0004829i,-0.0018276-8.8984e-05i,-0.00095559+0.00060987i,0.0010263+0.0010701i,0.0025808+0.00039678i,0.0030847-0.00069087i,0.0016217-0.0012i,-0.00021831-0.0014066i,-0.00072442-0.0012228i,-0.00071414-0.00040486i,-0.00017696+6.2422e-05i,0.00035384+0.00063946i,0.00023559+0.00076458i,0.00010774-0.00046618i,0.00052799-0.0009505i,0.00055272-0.00021993i,9.17e-05+0.00069385i,-7.8008e-05+0.0006903i,-0.00039287-0.00025622i,-0.00078984-0.00085477i,-0.00033878-0.00036373i,0.00040596+0.0002069i,0.0001996+0.00021089i
-0.00015781-0.00074116i,-2.6465e-05-0.0013049i,-0.00028063-0.00066396i,3.6034e-05-9.2117e-05i,0.00031293-0.0001751i,0.00068629-0.00042801i,0.0010435-0.0010896i,0.00028614-0.00069462i,-0.0004226-0.0002987i,-0.00021043-0.00041455i,-0.00064106-0.00025612i,-0.00073971+4.8783e-05i,-0.00016633-0.00031881i,0.00060067-0.00041075i,0.00085335-0.00042088i,0.00057169-0.0005227i,-7.4754e-05+0.00045099i,1.5999e-05+0.00096462i,2.9813e-05+0.00079467i,-0.00029285+0.00091381i,-0.00022447-8.0937e-05i,0.00025831-0.0010251i,0.00033924-0.00012334i
0.0015132+0.00048844i,0.0011802+0.0012401i,0.00058431+0.0010085i,7.5582e-05-0.00075488i,0.00072145-0.0015927i,0.00078326-0.001381i,-9.5698e-05-0.00082085i,0.00036592-7.4089e-05i,0.00095759-0.00087939i,0.00014353-0.0024101i,-0.00031854-0.0015649i,-0.00052786-0.00036602i,-0.00073141-4.4508e-05i,-0.00051441+0.0006047i,-0.00032029+0.0010096i,0.00017717+0.00087993i,0.00054215+0.00045145i,0.0003871+0.00016693i,0.00039788+0.00023944i,0.00015987+2.1195e-06i,1.7329e-05-0.00032158i,-0.00010242-0.00017119i,-0.00025634-0.00011174i
-0.001388+0.00070393i,-0.0014793-0.00027562i,-0.0011258+0.0005821i,0.00021737+0.0007249i,0.001276-0.00049041i,0.0016037-0.0022502i,0.00086028-0.0017458i,3.7573e-06-0.00049373i,-0.00033616-9.9884e-05i,-0.00063073-0.00012166i,-0.00049964+5.434e-05i,-0.00017241+0.00076331i,-1.684e-05+0.0006407i,0.00012083+0.00017208i,-2.1321e-05+0.00072555i,6.9906e-05+0.00052852i,-5.0697e-05-0.0001606i,-0.00033212-0.00032437i,-0.00034611-0.00035105i,-0.00082005-0.00045772i,-0.00098988+0.00019228i,-0.00011424+5.9766e-05i,0.00059111+0.00014762i
0.00087343+0.001285i,-0.00021839-0.00022008i,-0.00080825-0.00029896i,0.00027974+0.0001628i,0.0020106+0.0004225i,0.00192-0.00014498i,-0.0001861-0.00070433i,-0.0015956-0.00029395i,-0.001576-0.00018364i,-0.00069235-0.00047335i,-0.00029805+9.3958e-05i,-4.7541e-05+0.00068031i,0.00026423+0.00046421i,0.00048337+0.00013696i,0.00063932-0.00035487i,0.00074392-0.0001148i,-0.00050231+7.8995e-06i,-0.001297-0.00073483i,-0.00062557-0.001461i,-0.00023619-0.0013796i,-0.0010325-9.2734e-05i,-0.00087535+0.0004306i,-9.9647e-05+4.1305e-05i
0.00032385+0.00031977i,0.00043481+0.001331i,0.0002322+0.0017337i,0.00047439+0.00058538i,0.00055835-0.0003104i,0.00020596-0.0006589i,0.00053742-0.00078592i,0.00080915-0.0002728i,-0.00017868+0.00035331i,-0.00086939-0.0003461i,-0.00078013-0.00071192i,-0.00029447-0.00056475i,0.0004644-0.0008314i,0.00051521-0.00039514i,-2.6438e-05+0.00062663i,-0.00060373+0.00013614i,0.00039412-0.00048335i,0.0012419-0.000198i,0.00050435+0.00032093i,-0.00025152+0.00084943i,-0.00081102+0.00031692i,-0.00084509-0.00018801i,-7.4961e-05+0.00019877i
-0.00035074-0.0011435i,-0.00023444+0.00020566i,-0.00041736-8.9793e-05i,-0.00067196-0.00079797i,-0.0005564-0.00069583i,-0.00015598-0.00064519i,0.00011194-9.7212e-05i,-0.00022761-6.7259e-06i,-8.8406e-05-0.0001616i,-8.064e-05-0.00087312i,-0.00048912-0.00057251i,-0.00034129+0.00031615i,-0.00048138+0.00021234i,-0.00074921+3.7827e-05i,-0.00040245-0.0003622i,0.00069581-0.00049295i,0.0015372+0.00036654i,0.00089822+0.0010624i,3.311e-05+0.0010472i,-1.1412e-05+0.00074594i,0.00042485-0.00016061i,0.0010692-0.00078288i,0.0011108-0.00081793i
0.001497-0.001255i,0.0012488-0.00059261i,0.00065934-0.0006297i,0.00062161-0.00071542i,0.0010404-0.0014566i,0.00070591-0.00067851i,0.00047252+0.0006198i,0.00045054+0.00027564i,0.00021635-0.0011196i,-0.00064182-0.0015448i,-0.0006567-0.00017756i,0.00013344-4.5525e-05i,0.00043704-0.00074121i,-9.1416e-05-0.00060383i,-0.00016105-0.00022195i,-5.5589e-05-0.00023313i,-0.00020549-0.00060068i,0.00032593-0.00030565i,0.00020289+0.00030808i,-0.00023443-4.6236e-05i,-0.00018235-0.00037296i,-0.0001059-0.0007167i,1.9266e-05-0.00072918i
0.0010504+0.00047233i,0.00022522-0.00043025i,0.00078965-2.044e-05i,0.00088945+0.00013672i,0.00088564-0.00046305i,0.0014551-0.00078964i,0.0010841-0.000585i,5.2775e-05-0.00053078i,9.3279e-05-0.00097335i,0.00072433-0.00080316i,0.00072492+0.00056482i,1.9216e-05+0.00088562i,-0.0007844+0.00043827i,-0.0014753+0.00028609i,-0.0011647+0.00056151i,-1.1184e-05+0.00081376i,0.00038481+0.00073536i,0.0003267+0.00019185i,0.00019308-0.00060587i,-0.00031683-0.00096557i,-0.00028074-0.0011423i,0.00015613-0.00091371i,-6.1126e-05+1.3913e-07i
-0.00081376+0.0011394i,-0.0013401+0.0015082i,-0.00076941+0.0013508i,0.00025543+0.00017515i,0.00070743-0.0012863i,0.0011751-0.0022753i,0.00052728-0.0020211i,-6.93e-05-0.00048027i,0.00032876+0.00078409i,0.00016106+0.00019163i,-0.00030457-0.0007102i,-4.3074e-05-0.00068786i,0.00026478+0.00036871i,-0.00016134+0.00085787i,-0.00063918+0.00059276i,-0.00021808+0.00022169i,-0.00063427-4.076e-05i,-0.00074473-0.00044833i,5.671e-05+0.00033698i,0.00030106+0.0010823i,3.4983e-06+0.00048371i,-0.00045829+0.00073514i,-0.00097071+0.00079393i
0.0011944-0.00061667i,7.8227e-05-0.00016921i,-0.00010278-0.00065722i,-0.00079297-0.0011215i,-0.00074141-0.00095113i,0.00098837-0.00078431i,0.0017175-0.001057i,0.0015382-0.0014728i,0.0011337-0.0014049i,0.00030418-0.00036585i,-0.00089324+0.0001378i,-0.0011813+0.00051074i,-0.00069454+0.0011856i,-0.00058959+0.00013134i,-0.00047211-0.00043782i,-0.00051013+0.00026327i,-0.00032239+0.00072039i,0.00056026+0.00012712i,0.0003883+0.00044134i,-0.00012692+0.00062303i,-0.00026033+0.00093435i,6.461e-05+0.0013181i,-0.00029469+0.0012824i
0.0011628-0.00075089i,0.0023207-0.00054831i,0.0020294-0.00091612i,0.0014573-0.0013588i,0.0014074-0.0009044i,0.0012265-0.0014746i,0.00084403-0.0018866i,3.822e-05-0.00099611i,-0.00040492-0.00069184i,-0.00024435-0.00060015i,-0.00085187-0.00035877i,-0.0010097+4.6606e-05i,-9.8676e-05+0.00013745i,0.00020192+0.00036485i,0.00013274+0.0010058i,0.00046195+0.0004852i,0.00014853-0.00018432i,-0.00048699+0.00025i,0.0004662+0.00055809i,0.0010667+0.00019405i,0.00034809-0.00015i,-0.00026744-0.00061729i,0.00010644-0.001287i
-0.00030242-0.001015i,-0.0017069-0.00060994i,-0.0025026-0.00013398i,-0.00078454+0.00061403i,0.00079429+0.00051432i,0.00097312+0.00016191i,0.00066297-4.2689e-05i,0.00082217+0.00035853i,0.00016661+0.00056088i,-0.00088434+0.00014283i,-0.000716-0.0003299i,-0.00064291-0.00034753i,-0.00030452-0.00028292i,-0.00033704+0.00026455i,-0.00089173+0.00074447i,-0.00030529+0.00049475i,0.00053507+0.00098616i,0.00036919+0.0013958i,0.00079715-6.0481e-05i,0.0013735-0.00086507i,0.0013868-0.00011346i,0.001113+0.00036972i,0.00068086+0.00021214i
-0.0017032+0.0011098i,-0.00094648+0.00079131i,0.00036768+0.00047302i,0.00072687-0.00024034i,0.00036146-0.00132i,0.00050729-0.0017033i,0.00064002-0.0010799i,-0.00029462-0.00067461i,-0.00069782-0.00055172i,-0.00050339+0.00020624i,-0.00082506+0.00085518i,-0.00061438-0.0001259i,-0.00017339-0.001085i,2.7472e-05-0.00091785i,-5.5123e-05+0.00057863i,-0.00056362+0.00085365i,-0.00084684+0.00010609i,-0.00063663-0.00042226i,6.5862e-05-0.00079319i,-0.00014845-0.00018949i,-0.00080501+0.00044611i,-0.00046146+0.00073202i,0.00020327+0.00020969i
3.5807e-05+0.0017358i,-0.00052233+0.0019142i,-0.00035385+0.0014746i,-0.00033467+0.0010657i,0.00035256+0.00030535i,0.0017127-0.00061175i,0.0016119-0.00078602i,0.00057501-0.00028976i,-1.8667e-05-9.634e-05i,-0.00028415-2.8111e-05i,-0.00041005-0.00056466i,-0.0007672-0.0007156i,-0.00080276-0.00020138i,0.00036971+3.848e-05i,0.00071831+0.00018331i,0.00015228+0.00043205i,0.00025224+0.00083033i,0.0003639+0.0012813i,-0.00011561+0.00091342i,-0.00044338+0.00044838i,4.8207e-05+0.00018106i,0.00066709+0.00046375i,0.00017445+0.00070609i
-0.00083382-0.00069734i,-0.00071984-0.00057147i,-0.0014116-0.00012105i,-0.00048003+0.00019388i,0.00067949+0.00079127i,0.0013314-9.3686e-05i,0.0010711-0.00082142i,0.00026996-0.0010467i,-0.00015094-0.00075995i,-0.00090508+1.4324e-05i,-0.0011686-4.4114e-05i,-0.00022958-0.00017516i,0.00098404-0.00020714i,0.00074543-0.00041047i,-0.00014384-0.00055407i,-0.0003629-0.00025259i,-0.00069944+0.0005287i,-6.6388e-05+2.7357e-05i,0.00019879-0.00097236i,1.1694e-05-0.0012165i,0.00053261-0.00074752i,0.00023663-0.00073927i,-0.00045021-0.00086585i
