0.0043953-0.00049247i,0.0050561-0.0013943i,0.0037516-0.0034515i,0.00011254-0.0027868i,-0.002862-0.00043137i,-0.0032422+0.0014066i,-0.0014119+0.0015957i,-0.00048368+0.0011214i,-0.00018897+8.9799e-05i,-8.6245e-05-0.0011646i,9.239e-05-0.0014636i,4.94e-05-0.00041778i,0.00026907+0.00058977i,0.00063683+0.0012176i,-0.00019635+0.0011418i,-0.00069117+0.000853i,-0.00065273+0.00052065i,0.00057075-0.00062603i,0.0012802-0.00048231i,0.00072736+0.00058868i,0.00039621+0.0012087i,0.00034343+0.00092767i,0.00082222+0.00055107i
0.00022458-0.0015859i,6.9973e-05-0.0014502i,-0.00078453-0.00017818i,-0.001272+0.0017306i,-0.00063968+0.0034092i,0.00015586+0.0034019i,0.00047069+0.0016933i,0.00052197+5.7632e-05i,0.00030295-0.00028382i,9.7644e-06+0.00037495i,3.6387e-05+0.00016589i,-0.00020132-0.00077224i,-0.0013522-0.00063097i,-0.001248+0.00013779i,-0.00019717-0.0004351i,5.5879e-05-0.0013863i,8.5679e-05-0.00090791i,1.5811e-05-0.00088067i,-0.00029911-0.00075573i,-0.00041537+3.501e-05i,1.3187e-05-6.8675e-05i,6.7587e-05-8.4153e-05i,-0.00035162+0.0001468i
-0.00080783+0.00061989i,-0.00087646+0.00067254i,0.00026204+0.00058524i,0.0017512-0.00026609i,0.0025328-0.0011122i,0.0022327-0.00069509i,0.0012392-0.0003209i,0.00086941-0.00019873i,0.0010405-6.2121e-06i,0.00061787-0.00024551i,-0.00012034-0.00090643i,-0.00014584-0.00045239i,0.00018911+0.00011395i,6.1322e-06-0.00090277i,0.00015227-0.0004462i,-1.6107e-05+0.00019395i,9.0419e-05-0.00039166i,5.5352e-05-0.00028575i,-0.00086876-0.00018969i,-0.00099465-0.00013775i,-0.00044687+0.00014485i,-0.00013768+1.1994e-05i,-8.0132e-05+3.0582e-05i
0.0017451-0.0019088i,0.0019667-0.0013188i,0.00090472+0.00037709i,-0.0013606+0.0017053i,-0.0020543+0.0023048i,-0.00060135+0.0016585i,0.00020163+0.00063981i,-0.0010521-3.3017e-05i,-0.001344-0.001138i,-0.00021181-0.00091997i,0.00055247+0.00032351i,0.00061013+0.00093766i,0.00014562+0.00099006i,0.00039101+0.00046048i,0.00059129+9.2228e-06i,-0.00021409+0.00029988i,-0.00054189+0.00033042i,-0.00018908-0.00026349i,0.00029669-0.00096387i,0.0005619-0.00099221i,0.00012366-0.00076541i,0.00020471-0.00052723i,-5.4717e-05+0.00018686i
0.0022302+0.0014158i,0.0013231+0.0013907i,0.00077107-0.00014014i,0.00042375-0.00023825i,-0.00033187+0.00076332i,-0.001043+0.0013756i,-0.00024881+0.00074986i,0.00047696+0.00041107i,0.00049042-0.00034447i,-0.00025546-0.00083056i,-0.00070093-0.00017359i,0.00052255+5.4331e-06i,0.001181-5.1608e-05i,1.0163e-05+0.00038548i,-0.001334+0.00019529i,-0.00072076-0.00040044i,-1.5814e-05-0.00043687i,-0.00016342-0.0010896i,1.879e-05-0.0011137i,0.00031292-0.00026385i,0.00024533+0.00012064i,0.00022595+0.00034371i,-4.133e-05+0.00069665i
0.00053385-0.0022701i,0.000119-0.0017659i,-0.00026848-0.00061588i,-0.00042762+0.00023156i,5.339e-05+0.0014386i,0.00086928+0.0024344i,0.0010361+0.0011887i,0.0010816+5.6598e-05i,0.0011363+0.00011498i,0.0012434+6.4837e-05i,0.00069637+0.0005676i,0.00019923+0.00094822i,-3.8098e-06+0.00028404i,-0.001066+0.00035328i,-0.0012962+0.0005129i,-0.00043374+5.3411e-05i,-0.00050976-0.00014413i,-0.00028484-0.00057975i,-0.00019175-0.00085001i,-0.0010851-0.00053833i,-0.0010341+8.8473e-05i,-0.00075449+0.00073128i,-0.0005663+0.00067247i
0.00034171-0.00039106i,0.0013175-0.0014331i,0.0019317-0.0009966i,0.0016539-0.00031668i,0.0010064-0.0013554i,0.0011878-0.00070885i,0.0013344+2.5133e-05i,0.00095107+0.00014544i,0.00053013-0.00044404i,0.00020933-0.0010703i,0.00023422-0.0017305i,0.00014007-0.0021694i,-0.00066283-0.0015456i,-0.00090554-0.00043238i,-1.6471e-05-0.00014207i,0.00021515-0.00064876i,-0.00017311-0.00050665i,-0.00020657+0.00030851i,0.00013738+0.00050199i,0.00014371-6.4108e-05i,-0.00031314+4.4303e-05i,-0.00070002-0.00048583i,-0.00085201-0.0009143i
-0.0024484+0.0020096i,-0.0029059+0.0030047i,-0.0018732+0.0037466i,-0.00090806+0.0044136i,1.2731e-05+0.0034937i,0.00061996+0.0020245i,0.00083451+0.0010774i,0.0009558+0.0010413i,0.00063106+0.00040136i,0.00091881-0.00053315i,0.00078136-0.0005337i,-0.00024637-0.00057802i,-0.00054855-0.00081069i,-0.00082066-0.00025856i,-0.00084863+0.00031395i,-0.00055013+0.00036995i,-0.00013356+0.00030432i,0.00080977+0.000273i,0.0010353-0.00035938i,0.00058486-0.00094017i,-9.6992e-05-0.00043432i,-0.00022459+7.902e-05i,-7.6628e-05-0.00038899i
0.00082302+0.00090503i,0.001129+0.00088434i,0.0011837-0.00014935i,0.0010672-5.7317e-05i,0.0011737+0.00033447i,0.00073873+9.0625e-05i,-0.00010407-0.00016883i,0.00015454-0.00018759i,0.00020368-0.00011642i,0.0001958+4.9055e-05i,-5.2245e-05+0.00011168i,-0.00089155-0.00037028i,-0.00062235-0.00035662i,0.00033502-0.00013847i,0.00050715+1.6703e-05i,0.00042354+0.00056452i,-0.00049252+0.00093156i,-0.00088896+0.00033245i,2.2553e-05-0.00056474i,0.000125-0.00052901i,0.00011347-4.9054e-05i,0.00051509+0.00086303i,3.7379e-05+0.000426i
0.00098446-0.001081i,0.0018054-0.00055793i,0.0011538+0.00024932i,0.00020224+0.00054049i,-0.00085629+0.0016802i,-0.000306+0.0022521i,0.00045079+0.0014558i,-5.1184e-05+0.00028022i,-3.2548e-05-0.00044966i,-0.00016919-0.00010521i,-0.00018322-0.00025758i,0.00029523-0.0008295i,0.0013123+0.00033651i,0.0010173+0.0012399i,0.00018047+0.00075105i,0.00057181+9.1079e-05i,0.0009105-0.00043897i,-0.00042494-0.00017252i,-0.00051999-0.00045674i,0.00026772-0.00017766i,7.457e-05+0.00021699i,0.00014974-0.0003832i,0.00049023-0.00032706i
0.00042807-0.0022556i,-4.0297e-06-0.0023991i,-0.00013201-0.0018746i,-0.00014905-0.00096473i,0.00033727+0.00036233i,0.00084038+0.0017332i,0.00094037+0.0015117i,0.00081983+0.00098558i,0.00036637+0.00065717i,-0.00013871+0.00033327i,-7.4865e-05+0.0005531i,0.00078433+0.0010188i,0.0011879+0.00043934i,0.00056187-0.00045288i,-0.00021846-0.00067432i,-0.00013096-0.00065112i,-0.00014573+3.9034e-05i,-0.00067607+0.00046845i,-0.00016521-0.0003007i,0.00083064-0.00074415i,0.00086978-0.0011687i,0.0010395-0.0012672i,-4.2929e-05-0.00084778i
-0.0015817-0.00039522i,-0.0018546-0.00013062i,-0.0015945+0.00082781i,-0.0017452+0.00095985i,-0.0022315+0.00072481i,-0.0014866+0.001157i,-0.00056688+0.00057018i,-0.0005423+0.00028005i,-0.00089767+0.00088337i,-0.00019878+0.0010251i,-1.4154e-05+0.00057749i,-0.00095643-0.00019211i,-0.00089566-0.00039836i,-0.00054792-0.00035629i,0.00013936-0.00048045i,0.00073518-4.6371e-05i,0.00047585+0.00096058i,0.00014492+0.00098808i,-8.7208e-05-0.00038271i,0.00036511-0.0017601i,0.00093915-0.0020701i,0.0011863-0.00069239i,0.0015209-0.00040622i
-0.00073495-0.001838i,-0.00029205-0.0015848i,0.00033044+0.00059278i,4.7886e-05+0.0022084i,0.00054913+0.0030197i,0.0017919+0.0025686i,0.0017535+0.0012711i,0.00097916+0.00012122i,-0.00020963+0.00010651i,-0.00047225+0.00066839i,0.00014385+0.00012767i,0.00012524-0.00013343i,0.00024781+0.00035713i,0.00037447+0.00020475i,-0.00073415-0.00022314i,-0.0011116-0.00046545i,-7.0366e-05+0.00014736i,0.00034267+0.00043154i,-7.6792e-05+0.00034391i,2.9756e-05+0.00047971i,0.00065239+0.00043879i,0.001152+0.00030064i,0.00060556-9.2194e-05i
-0.00084211-0.00027294i,-0.0011395-0.00012177i,-0.00091557+0.00014132i,0.00021721+0.00064901i,0.0010213+0.0013982i,0.0014938+0.0014156i,0.0013284+0.00074941i,0.00019783+0.00067004i,-0.00044533+0.00054076i,0.00016841-0.00052752i,0.00061146-0.00028322i,0.0002986+0.0005897i,0.00013874+0.00053138i,0.00048427-6.7818e-05i,0.00047976-0.00058213i,0.00027845-0.0004211i,0.00029682-0.00078244i,0.00035556-0.00067404i,-0.00014562+0.00028688i,-0.00087501+6.8518e-05i,-0.00088658+9.4905e-05i,-0.00086496+0.00084196i,-0.00063655+0.00090623i
0.00071748+0.0004447i,0.00066157+0.00061247i,0.0011503-0.00016469i,0.001413-0.0012281i,0.0012065-0.0011476i,0.00021658-4.4463e-05i,-0.00029977-0.00027771i,7.6616e-05-0.0011371i,0.00038365-0.0015877i,0.00023134-0.0014413i,-0.00012798-0.00072449i,-4.1014e-05+0.00016841i,0.00039615+0.00059482i,-5.029e-05+9.5204e-05i,-0.00030857-0.00059802i,0.00062071-0.00043999i,0.0013006+0.00050798i,0.0010149+0.00058824i,0.00013062+0.000537i,-0.00065743+0.00019287i,-0.0004318-0.00083192i,-0.00081832-0.0012121i,-0.00092036-0.00052i
0.0019931-0.0027723i,0.0018509-0.0032113i,0.00085392-0.002702i,-0.0012109-0.001315i,-0.0015367+0.00090307i,-0.00013452+0.0024866i,0.00071647+0.001755i,0.00066076+0.00078264i,0.00014175-0.00014699i,-0.00024452-0.00092693i,-0.00093992-0.00040688i,-0.0011862-9.9598e-05i,0.00011476-0.00030208i,0.0012215+0.00063179i,0.00039042+0.0012242i,-0.00056273+0.001247i,-0.0010695+0.00077282i,-0.00040981+0.00015203i,0.00035802+0.00025707i,0.00040538+3.2411e-05i,0.00036011-0.00011939i,0.00054317-0.0002213i,0.00085701+0.0001124i
-5.3806e-05+0.0011748i,-0.0011339+0.0019982i,-0.0004455+0.0030413i,0.00044725+0.002516i,0.00028463+0.0016794i,0.0004956+0.0016255i,0.0010085+0.00093104i,0.00068883-0.00010616i,7.1351e-05-0.00031584i,0.00043378+1.567e-05i,0.00065648-0.00010785i,0.00070543-0.00021664i,-0.00017426-0.00039799i,-0.00063654-0.00098635i,0.00044848-0.0009907i,0.00010501-0.00043413i,-0.00045491-0.00085799i,8.6152e-06-0.00052649i,-0.00040189-4.5987e-06i,-3.0029e-05-0.00062194i,0.00076108-0.00076468i,0.00069552+0.00013312i,0.00065564+0.00050415i
-0.00098155+0.0023748i,7.5118e-05+0.0023144i,0.0013153+0.0021097i,0.0022152+0.0016158i,0.002716+0.0019473i,0.0018755+0.0016951i,0.0012269+0.00094049i,0.00071083+0.000285i,-0.00010581-0.00037027i,0.0002185-0.00020111i,0.00030931-0.00028386i,6.5668e-05-0.0011665i,-0.00040775-0.0005365i,-0.0014313+0.00039473i,-0.00082048-0.00020242i,-5.8193e-05-0.00065083i,-0.00032156-0.00012419i,0.00015185+0.00028708i,-5.6368e-05+0.00034241i,-0.00012918-3.854e-05i,0.0004026-0.00056911i,-0.00044611-0.00027153i,-0.0012602+0.00027335i
-0.0010005-0.00094321i,-0.00065989-0.00064199i,9.0437e-05-0.00040488i,0.00033019+3.4251e-05i,0.00041752+0.00070504i,0.00027582+0.0003731i,-7.8301e-05-0.00054794i,0.00023153-0.00063892i,1.995e-05-0.00072907i,0.00023394-0.0010077i,0.00085439-0.00054735i,0.00017603-0.00040919i,-0.0013498-0.0006858i,-0.0012619-0.00035894i,-0.00025452+7.7619e-06i,-0.00016722+0.0006762i,-0.00073671+0.00094335i,-0.0010148+0.00025735i,-0.00046172-0.00069273i,0.00018838-0.0005127i,0.00015736+1.6312e-05i,-0.00025887-0.00055579i,-0.0007067-0.0010157i
-0.00078109-0.0017189i,-0.00046122-0.00061644i,-0.0015662+0.0015091i,-0.0012815+0.0023462i,-0.00029262+0.0023898i,0.00023166+0.0020799i,0.0013436+0.0010185i,0.0019493+0.0007911i,0.0012375+0.00079096i,0.00029747-0.00012486i,0.00040323-0.00010894i,0.00077291+0.00060087i,0.00079595+0.00021612i,0.00087632+8.67e-05i,0.00056238-0.00024419i,-0.0007104-0.00063814i,-0.0012505-0.0006227i,-0.00025453-0.00030002i,-0.00025534+0.00013888i,-0.0009298+0.00019823i,-0.00050037-2.6054e-05i,0.00024604-0.00038207i,0.0010392+0.00011497i
0.00038982-0.00062757i,0.00033276-8.4251e-06i,-0.00081538+0.00029285i,-0.00090793-0.00039586i,-0.00061926-0.00026182i,-4.6163e-05+0.00021161i,0.0006416-0.00043198i,0.00026327-0.00083653i,-6.7326e-05-0.00070589i,-3.777e-09-0.00042145i,-0.00010098-0.00030482i,0.00036442+7.3832e-05i,0.00079192-0.00027495i,0.00063169-0.00066883i,0.00050589-2.8071e-05i,0.00042313+0.00014575i,0.00048687-0.00064723i,0.00048571-0.0012015i,0.00036965-0.00054258i,0.00013759+0.00068722i,-0.00039653+0.00076778i,-0.00034385+0.0010766i,-0.00023915+0.0010013i
-0.00078144-0.0015426i,-0.001491-0.0021071i,-0.0024193-0.0011903i,-0.0017799+0.00078614i,-0.0010584+0.0028709i,-0.0011696+0.0026586i,-0.00048432+0.0010851i,0.00056523-3.7449e-05i,0.00062563-0.00056286i,1.499e-05-0.00015909i,-0.00077411+0.00066001i,-0.0017069-0.00040555i,-0.0016226-0.0017279i,-9.0472e-05-0.0011467i,0.00064537-0.00054573i,0.0003169-0.00024711i,-0.00029589-0.00021459i,-0.00020555-0.00054654i,0.00026822-0.00059182i,8.3959e-05-0.00014035i,-0.00041541+0.00021693i,-0.00035678-6.6593e-05i,-0.00056547-0.00037153i
-0.0010161+0.001328i,-0.0010163+0.0019795i,0.00084469+0.003326i,0.0026088+0.0039022i,0.0035739+0.0031056i,0.0036415+0.0020214i,0.0032278+0.00064475i,0.0027569+0.00010519i,0.0014997-0.00019201i,0.00069077-0.000199i,0.00063008+0.00035866i,0.00098718+5.7832e-05i,0.0015437-0.0004755i,0.0011573+0.00016156i,0.00075106+0.00055804i,0.0002787+0.0007527i,-0.00021316+0.0015664i,-0.00017611+0.0015971i,0.0003021+0.00027113i,0.0010147-8.6973e-06i,0.0010806+0.00025499i,0.0010288-0.00059142i,0.00076776-0.0011203i
-0.0032227+0.00098707i,-0.0029089+0.0020229i,-0.0017573+0.0032516i,-0.00076556+0.0024703i,9.0655e-05+0.00041221i,0.00055184-0.00087848i,-9.159e-05-0.00035985i,-0.0011934-0.00026511i,-0.0011496-0.00059401i,-0.0002755+0.00013913i,0.00039772+0.00039712i,8.0443e-05+0.00077487i,-0.00045792+0.001269i,-0.00012498+0.00078343i,0.00060256+0.0001102i,-0.00015413+0.00010856i,-0.0016527+0.00023435i,-0.0017541+0.00035865i,-0.00090813+0.0001722i,-0.00047122-0.00035785i,-0.00056872-0.0005376i,-0.00089537-0.00015465i,-0.00053336+0.00018282i
-0.0016486-7.6829e-05i,-0.001564-0.00077929i,-0.00076924-0.00067506i,0.00020795+0.0013156i,-0.00025588+0.0028459i,-0.00025477+0.0020189i,6.6357e-06+0.00074784i,-0.00041833+0.00097476i,-0.00022811+0.0012353i,0.00017339+0.00078447i,0.00031093+6.1475e-05i,-0.00016735-0.00013787i,-0.00084772-0.00049925i,-1.2133e-05-0.0011994i,0.0006322-0.0012338i,6.198e-05-0.00119i,1.9038e-05-0.00065962i,0.00074632+0.00016411i,0.00081363+0.00042809i,0.00017785-4.4571e-05i,2.3431e-05-0.00061545i,0.00032562-0.00040845i,-0.00027948+0.00020455i
-0.00077932+0.00016797i,-0.00046774+0.00087011i,-0.00029673+0.00058996i,0.00046394+0.00062961i,0.00040772+0.0015341i,0.00025313+0.0019784i,0.0012178+0.0013609i,0.0020113+0.001246i,0.0012682+0.00063715i,0.00094783-8.4063e-05i,0.00077324-0.0011692i,0.00028128-0.0020066i,0.00072733-0.0011125i,0.00017836-0.00038652i,-8.2484e-05+0.00017527i,0.00034782+0.0010725i,-0.00018319+0.0013364i,-0.00034107+0.000353i,0.00071327-0.0009899i,0.00083841-0.0011773i,0.0011222-0.00049996i,0.0011157-0.00013372i,0.00068655+0.00032024i
0.0020182+0.0026634i,0.0026321+0.0027123i,0.0024867+0.0015941i,0.0011559+6.5113e-05i,5.7639e-05-0.00076513i,7.3065e-05+0.00016702i,0.00081045+0.00091407i,0.00098344+0.00064482i,0.001157+0.00053108i,0.00063527-0.00020892i,-0.00057001-0.00045718i,-0.00043464-0.00021384i,0.00034777-0.00044228i,0.00057486-0.00053098i,0.00038707+0.00028887i,-0.00016688+0.00088196i,-0.00096079+0.00058482i,-0.0014054-0.00037655i,-0.00037392-0.00076497i,0.00017807-0.00067387i,-0.00050417-0.00067139i,-0.00083942-0.00045473i,-6.4193e-05-0.0002859i
-0.00099301-0.0026765i,-0.0014577-0.0028553i,-0.0012428-0.0015664i,-0.00076525+0.00078722i,-4.9156e-05+0.0028774i,0.00071067+0.0032345i,0.000893+0.0015587i,0.00044718-0.00017787i,0.00020737-0.00085754i,-0.00061801-0.00024316i,-0.0011873+0.00051828i,-0.0010021+0.0011844i,-0.0015887+0.0014173i,-0.0010289+0.0010225i,1.274e-05+0.00027039i,-0.00054843-0.00084742i,-0.00087678-0.0013229i,0.00026144-0.0005065i,0.0010321+0.00039348i,0.00074576+0.00042961i,0.00098402-0.00023885i,0.0021852-0.00095406i,0.0023976-0.00071253i
-0.00035905+0.0015772i,0.00067638+0.002077i,0.0006486+0.0013261i,0.0012265+0.00043286i,0.0022725+0.00023119i,0.0019939+0.00046499i,0.0013767-0.0006569i,0.00083922-0.0012837i,-0.00053-0.00083979i,-0.00061683-0.00055564i,0.00014489+3.9471e-05i,0.00057064+0.00054422i,-0.00014661-0.00025963i,-0.0013788-0.0012962i,-0.00070355-0.0012259i,0.00058227-0.00046311i,0.0006122+0.00051265i,0.00047589+0.00038396i,0.0010835-4.0184e-06i,0.00088024+0.00071666i,0.00059002+0.00079792i,0.00057836+0.00019782i,0.00013469+0.00014731i
-0.0019699-0.00065072i,-0.0017427+0.00060574i,-0.001779+0.0021296i,-0.00097673+0.0039179i,-0.00061084+0.0039233i,-6.9356e-05+0.0022885i,0.00014768+0.00062406i,0.00039339-0.00027556i,0.00067036-0.00018345i,0.00056652+0.00013882i,0.00068135-9.8815e-05i,0.0006484-0.00017954i,0.00081168+8.5342e-05i,0.00097768+0.00082617i,0.00065077+0.0010674i,0.00025821+0.00071913i,3.0213e-05+0.00092225i,0.00029498+0.00076439i,0.00065897-0.00016254i,0.00076904-0.00023688i,0.0009474-0.00020614i,0.000372-2.4487e-05i,-0.00033391+0.00019412i
-0.00071777+0.00049119i,-0.001177+0.00040483i,-0.00078611+0.00051678i,0.00018151+0.00083946i,0.0012677+0.0015039i,0.0017113+0.001782i,0.0015214+0.0012676i,0.00033211+0.00096107i,-0.00039077+0.000766i,-0.00020089-6.7781e-06i,0.00044532-0.00090379i,0.00051598-0.0011564i,-0.00069588-0.00054661i,-0.0013086-0.00033526i,-0.00070774-8.7076e-05i,-6.1718e-05-1.9646e-05i,-0.00019787-0.000717i,-0.00037443-0.00094469i,-8.5599e-05-0.0010491i,-0.00036506-0.0012882i,-0.00038953-0.00080501i,-0.00029381+0.00027439i,-2.3386e-05+0.00048037i
0.001744+0.0008208i,0.0022682+0.0016098i,0.0024463+0.00077155i,0.002548+9.6299e-05i,0.00095985+0.00043538i,-3.5182e-05+2.477e-05i,0.00067178-0.00016789i,0.00088629+0.00030292i,0.00039139+0.00026442i,-1.0964e-06-0.00071838i,-0.0008867-0.0012238i,-0.0018067-0.0010352i,-0.0015598-0.0012305i,-0.0013282-0.0017455i,-0.0005993-0.0021364i,-0.00051739-0.0019604i,-0.00040281-0.0019757i,0.00045915-0.0019795i,0.00016943-0.0011206i,-0.00010451-0.0005669i,0.00016081+8.5691e-05i,0.00012407+0.00033633i,-6.5585e-05-8.299e-05i
0.002393+0.00027061i,0.0025285-0.00055274i,0.0028567-0.00067119i,0.0020965-0.00022146i,0.00098332-0.00012921i,0.00017907+0.00078048i,0.00068243+0.00053359i,0.0013462-0.00015849i,0.0015717-0.00037931i,0.00086364-0.00039639i,-0.00047373-0.00046046i,-0.00073245-0.00080436i,0.00033769-0.00063478i,0.0012035-0.00024572i,0.0011688+0.00042832i,0.0012239+0.00058276i,0.0015247+3.9091e-05i,0.0011083+0.00023434i,0.00064702+0.00011183i,0.0011499-0.00042758i,0.0013289-0.00019209i,0.00098059+0.00061008i,0.00068098+0.0012698i
-0.0029581+0.00070517i,-0.0031493+0.00025619i,-0.0023833+0.0013143i,-0.0011335+0.0029776i,0.00011278+0.0028868i,0.00077395+0.0012907i,0.0012522+0.00057612i,0.001349+0.00050559i,0.00099888+0.00078906i,0.0012586+0.00083159i,0.0014924+0.00076483i,0.00090165+5.0612e-05i,0.00011616-0.00013592i,-0.00042892+8.0564e-05i,-0.00043796+0.00034694i,-0.00029582+0.00073114i,-0.00049943+0.00064708i,-0.0010188+0.00074481i,-0.00094935+0.0010345i,-9.6392e-05+0.001067i,0.00040911+0.00035304i,-0.00024332+2.3643e-05i,-0.00026273-3.4017e-05i
-0.00096967+0.00049339i,0.00046596+0.0002838i,0.0010959+0.0014926i,0.00051337+0.0018762i,0.0011195+0.0008294i,0.0026711+0.00072774i,0.0023714+0.00074672i,0.00025156+0.00030627i,-0.00076234+0.00031107i,0.00049154+0.00048527i,0.0014233+0.00063646i,0.0010628+0.00076317i,-3.1974e-05+4.1834e-05i,-0.0010876-0.00103i,-0.0011314-0.00085584i,-0.00061651-0.00043856i,-0.00035644-0.00060028i,-0.00035587-0.00023877i,-4.9019e-05-8.3488e-05i,0.00022803-0.00038509i,0.00019778-0.00091325i,0.00012027-0.00051176i,-8.0318e-06+0.00013467i
-0.00085024+0.0027578i,-7.7612e-05+0.0028774i,0.00081404+0.0027088i,0.0014506+0.0013211i,0.00054094+0.0005873i,-0.00026187+0.00089751i,0.00038815+0.00016675i,0.00032044-0.0012831i,-0.00049314-0.0021672i,-0.00038662-0.0017948i,-0.00034766-0.00092797i,-0.00078646-0.00042281i,-0.00057224-0.00021939i,0.00013673-0.00043541i,-0.0001906-0.0011754i,-0.00053737-0.0013573i,0.00013421-0.0011109i,0.0011804-0.0006143i,0.0007322-0.00075983i,0.00020097-0.00087528i,0.00056865-0.00089288i,0.00028442-0.00057452i,0.00031514-0.00034319i
0.00043083+0.0022751i,0.0015246+0.0027841i,0.001911+0.0034446i,0.0023217+0.0025226i,0.002985+0.0016425i,0.0022698+0.00097631i,0.0012185+0.00025264i,0.00090915-0.00014404i,0.0012863-0.00030799i,0.0014171-0.00063581i,0.00064661-0.0014295i,-0.0002488-0.0014917i,-0.00077411-0.0009087i,-0.00026841+0.00017973i,0.0010745+0.0010887i,0.0015204+0.00053152i,0.001542-0.0001153i,0.0015343+1.3043e-05i,0.00089768+1.4746e-05i,0.00055015+0.00012347i,0.0006845+0.00015596i,0.00090078+0.00043177i,0.00058434+0.00052594i
-0.00024625-0.0021094i,-1.8205e-05-0.00169i,-0.00044576-0.00063887i,-0.00014491+0.00020668i,0.00025264+0.0011462i,0.00039534+0.0020991i,0.00055288+0.0016455i,7.9128e-05+0.0012859i,-0.00054668+0.0020384i,-0.00058523+0.0024857i,-0.00029782+0.0014143i,-1.7272e-05+0.00022116i,0.00030006-5.4824e-05i,0.00023105-0.00015086i,-0.0012739+0.00034224i,-0.0018282+0.00051526i,-0.0013606+0.00067388i,-0.0011838+0.00092493i,-0.00081492-0.0003466i,-0.00043278-0.00078904i,-0.00041583+0.00032703i,-0.00094498+0.0006052i,-0.00088438+0.00013685i
0.00086281+0.0021248i,0.0017653+0.0032938i,0.0020554+0.0030804i,0.001003+0.000551i,-0.00066694-0.001102i,-0.0012774-8.8036e-05i,-0.0010142-9.4292e-05i,-0.00036894-0.00043941i,-0.00017151+0.00049562i,-0.00013633+0.0010366i,0.00019118+0.00085537i,0.00020177+0.00024181i,-0.00028865-0.00063764i,-0.00098662-0.0012405i,-0.00098854-0.0014071i,-0.00018775-0.0009165i,-0.00017037-0.00030363i,-0.00044519+0.00020083i,-0.00022698+0.00045509i,-0.00018096+0.00018146i,1.1957e-06+3.6553e-05i,-6.5915e-05-0.00039068i,-0.00063786-0.00073116i
-0.0033366-0.00028453i,-0.0033773+0.00048919i,-0.0026802+0.0016459i,-0.00061937+0.0019878i,0.001487+0.0024513i,0.0016642+0.0017927i,0.001739+0.00023252i,0.0028201-0.00068778i,0.002905-0.00083318i,0.0019291-9.3238e-06i,0.0016986+0.00047118i,0.0017893+0.00022241i,0.0013464-5.1202e-05i,0.0011384-0.00078237i,0.0013077-0.0018893i,0.0013993-0.0020024i,0.0012096-0.00094226i,0.0010787-0.00032397i,0.0006756-0.00058579i,0.0007033-0.00086631i,0.00073274-0.00084314i,-0.00037252-0.00053256i,-0.00096115-6.8644e-05i
-0.0011618+0.0015776i,-0.00097023+0.0028223i,0.00043193+0.002948i,0.0033983+0.0026124i,0.0041044+0.0025131i,0.0028243+0.0015227i,0.0023259+0.0005462i,0.0019115-0.0003287i,0.0016667-0.0015463i,0.0016771-0.0022718i,0.0016779-0.0025072i,0.001401-0.0015042i,0.00073858-0.00068491i,0.00064329-0.00028344i,0.00017201+0.0010537i,-0.00091545+0.0016086i,-0.0010921+0.00076048i,-0.00030518-0.00022327i,0.00032857-0.00046154i,0.00021706-0.00037103i,-9.3316e-05+0.00017623i,-3.3705e-05+0.0010084i,-1.5697e-05+0.0014487i
0.0030098+0.0011665i,0.0031143+0.00072232i,0.0031912+0.0002717i,0.0022317-0.00067408i,0.0007358-0.0010496i,-0.0002014-0.00052468i,-3.798e-05+4.7764e-05i,-0.0008807-0.00027554i,-0.0018895-0.00060514i,-0.0012466-0.0016475i,-0.00053539-0.001902i,-0.0013419-0.0012134i,-0.0020287-0.00083616i,-0.00097697-0.00015977i,-0.00010962+0.00058603i,-0.00039796-0.00016206i,-0.00026954-0.00075198i,-0.00039089-0.00055547i,-0.00027393-0.00018632i,-0.00044986+0.00073799i,-0.0014674+0.0012964i,-0.0014069+0.00077257i,-0.0011821+0.00018088i
0.00015796+0.0022592i,3.0024e-06+0.0035783i,-0.00011454+0.0030029i,0.00042174+0.0017706i,0.0013785+0.00063141i,0.00049845+0.00023343i,-0.00077822+0.0002018i,-0.0022131-0.0003795i,-0.0036391-0.0010715i,-0.0037698-0.00025817i,-0.0023583+0.00048093i,-0.00051098+0.00035217i,0.0002893+0.00050909i,0.00062173+0.00029409i,0.00017752-0.00017517i,3.4141e-05-0.00023782i,0.00060243-8.7283e-05i,0.00038981+0.00012819i,-0.00059812-0.00015356i,-0.00082978-0.00072663i,-0.0010703-0.00059342i,-0.00065094-0.00071251i,0.00040202-0.0008458i
0.00050422-0.0010712i,0.00057193-0.0008515i,0.00044418-7.9636e-05i,9.4379e-05-0.00053307i,-0.0008302-0.000423i,-0.00049823+0.0004939i,0.0014613+0.0010014i,0.0017991+0.0011858i,0.00061079+0.001266i,-0.00049757+0.0013546i,-0.0002614+0.0020741i,0.00013974+0.0021514i,-0.00019661+0.0018048i,-0.00049912+0.00062161i,-0.00019985-0.00057761i,0.00056178-0.00043692i,0.0011287-0.00011627i,0.00042037-0.00062615i,-0.00096217-0.0011095i,-0.0011304-0.0013069i,-0.00025291-0.0012837i,0.00062695-0.0013156i,0.00092145-0.000987i
