-0.0031166+0.0002554i,-0.0032695-9.7925e-05i,-0.0020543+0.0014098i,-0.00017164+0.00060025i,0.0012656-0.00080508i,0.0015131-0.00072293i,0.00028785+0.00012105i,8.3375e-05+0.00066103i,0.0012672+0.00077225i,0.0013067+0.0011881i,0.00074557+0.0011881i,0.00053255+0.00041731i,0.00088369-0.00028962i,0.0012671-0.00049474i,0.00081162-0.00069772i,0.00016182-7.8748e-05i,-0.00031214+0.00089807i,-0.00071525+0.00065394i,-0.00060167-2.6023e-05i,-0.00063005-0.00041218i,-0.00065067+6.4757e-06i,-0.00033107-9.4319e-05i,-0.00015865-0.00012474i
0.0024155-0.00090437i,0.001781-0.00073441i,0.0017168-0.00050808i,0.0019506-0.00068408i,0.0019661-0.00051146i,0.0016884-0.0010248i,0.0010703-0.00089966i,0.00038211-0.00069879i,1.589e-05-0.0010384i,0.00012964-0.00030553i,0.00013757+0.00079581i,-0.00039614+0.0010855i,-0.0007353+0.00064169i,-0.00032197+0.00021587i,0.00045236+0.00032887i,0.00065002+0.00011976i,0.0003207-0.00023975i,0.00061962+5.4977e-05i,0.00054719-0.0001564i,1.7082e-05+0.00052071i,-0.00038802+0.0014678i,-0.00068419+0.0010903i,3.8492e-05+0.00045063i
-0.0020659+0.00023995i,-0.0015879+0.00071479i,-0.0005092+0.0022428i,0.0014231+0.002352i,0.0025837+0.0010805i,0.0020575+5.419e-05i,0.001051-0.00048861i,0.00087305-0.00013618i,0.0010439+0.00056805i,0.00023118+0.00050063i,0.00021208+0.00044869i,0.00057967+0.00059921i,0.0001184+0.00053552i,-0.00031353+0.00020112i,-0.00045179-0.00041375i,-0.00018098-0.00023322i,9.2932e-05+0.00053507i,0.00049796+0.0013028i,1.9703e-05+0.0010897i,-0.00028547+0.00039865i,0.0004676-3.9151e-05i,0.00072617+0.00031865i,0.00028417+0.00040301i
-0.0011538+0.00284i,0.00014804+0.0033598i,0.002165+0.0036054i,0.0033186+0.0018141i,0.0036134-7.2425e-05i,0.0020688-0.00057268i,0.00013453+0.00029361i,-6.1362e-05+0.00018868i,-0.00040998+0.00012616i,-0.00043645-0.00029559i,0.00025535-0.00096753i,0.00025651-0.00047665i,-0.000193-0.00027405i,-0.00035422+9.605e-05i,9.756e-05+0.00019243i,0.00035942+0.00012154i,2.5551e-06+0.00067458i,-9.8001e-05+0.0011974i,-0.00040852+0.0010213i,-0.0012229-0.00026015i,-0.0014983-0.00037413i,-0.0013299+0.00034808i,-0.00052111+0.00038453i
0.00088909-0.00013712i,0.0019136-0.0002018i,0.0019091-0.00040235i,0.0026664-0.00091243i,0.0031415-0.00069796i,0.0027016+3.1229e-05i,0.0010176+0.00018696i,-0.00015795+0.00046969i,0.00060171+0.00086076i,0.0015314+0.00094891i,0.001242+0.0010043i,-0.00010402+0.00052418i,-0.00077569-3.6364e-05i,-0.00065117-0.00063057i,-0.00026131-0.00096489i,-0.00071665-0.00022973i,-0.0014929+0.00016376i,-0.00037309+3.9753e-05i,0.00041955+0.00012806i,2.747e-06+0.00060421i,-0.00036252+0.00073392i,-0.0010251+0.00049685i,-0.0005141+0.00045072i
0.0022672-0.00094487i,0.0014842-0.00079023i,0.00095792-0.00022246i,0.0011898-0.00015778i,0.00093959-0.00010224i,0.0003074+0.00064276i,-3.6544e-05+0.00095419i,0.0005103+0.00078139i,0.00072751+0.00037635i,0.00051007-0.00041646i,0.0004663-0.00035026i,0.00047041+0.00026213i,0.00095507+0.00032887i,0.00069851+0.00066045i,0.00027875+3.3776e-05i,0.0001627-0.00096345i,-3.5796e-05-0.0014028i,-0.00026728-0.00058827i,-1.3885e-05+0.00013254i,0.00023703+0.00063156i,0.00019384+0.00062731i,-0.00052177-0.00016159i,-0.00090324-0.00037322i
-0.0025451-0.00057159i,-0.0020603+0.00033153i,-0.00019728+0.00075948i,0.0017096+0.0012401i,0.0035439+0.0016332i,0.0029793+0.00066983i,0.0011801-7.0008e-07i,-0.00022148-0.00015296i,-0.00042148-6.2044e-05i,-0.00037409+0.0002853i,-0.0010269+0.00015467i,-0.00030015-0.00031148i,0.00080847+0.00022514i,0.00042652+0.00057173i,-1.0278e-05+0.00038707i,0.0002868-0.00014564i,-2.6144e-05-0.0005261i,-0.00053989+0.00011567i,-0.00035797+0.00026078i,-0.00011876+0.00018474i,-0.00033321+0.00022153i,-9.1028e-05-0.00015589i,-0.00017145+0.00025895i
0.0015769+7.6035e-05i,0.0018489+0.00084275i,0.0026875+0.0010582i,0.0036216+0.00026401i,0.0031988-0.00075248i,0.0021273-0.00094088i,0.0010838+0.00011682i,5.7536e-05+0.00073704i,-0.00064815-5.2486e-06i,-0.00059048-0.00052357i,0.00030367-0.00015303i,0.000392+0.00062265i,0.000256+0.00063445i,0.00085363-0.00022975i,0.00052959-0.00056705i,-6.783e-05-0.0007114i,0.00026156-0.00055898i,0.00041674-0.00046286i,7.9353e-05-0.00063123i,-0.00038024+0.00012479i,-0.00083524+0.00038832i,-0.00029667+0.0008827i,4.3633e-05+0.0011752i
0.00047396-0.0016207i,0.00073858-0.0022026i,0.0004135-0.001112i,0.0011309+0.00037805i,0.0025159+0.00081901i,0.0023452+0.00065403i,0.0014478+0.00044165i,0.00055487-0.00022502i,2.416e-05-0.00059274i,-9.5015e-05-8.8622e-05i,-0.00017511+0.00054122i,7.0286e-05+0.00070173i,0.00030932+0.00023652i,0.00033168-5.2304e-05i,0.00019376+0.00021498i,-0.00037873-0.00011783i,-0.00095178-0.00096401i,-0.0019578-0.0008664i,-0.0018789-0.00077584i,-0.00023909-0.0010635i,0.0003091-0.00061767i,-6.7226e-05+0.00049135i,-0.00015497+0.00041211i
0.00031589+0.0010372i,0.00086209+0.0018766i,0.0018756+0.002054i,0.002758+0.0018399i,0.0026144+0.001233i,0.0018319+1.1047e-05i,0.00063902-0.00059686i,3.2926e-05-0.00046968i,-0.00015133-0.00034624i,0.00011947-0.00028377i,0.00038103+9.4588e-05i,0.00053579+0.00094759i,-1.276e-05+0.00102i,-0.00054293+0.00040495i,-0.00049711-0.00039305i,-0.00088394-0.00024833i,-0.00058483-0.00070885i,0.00031591-0.0012721i,0.00039297+0.00018316i,0.00028544+0.00093422i,-0.00011464+0.00030919i,-0.00030507-5.6369e-05i,0.00034895-0.00011513i
0.00069738-0.00058755i,-8.6057e-05-0.00017465i,7.0364e-05-0.0002391i,0.00083086+0.00018445i,0.0014096+0.00079288i,0.0012975+0.00057486i,0.00061295+2.2858e-05i,0.00030147+9.6139e-05i,-0.0003626+0.00028756i,-0.0013517+0.0009005i,-0.0010197+0.00079662i,1.7066e-06+0.00059025i,0.00058259+0.0011665i,0.0010629+0.00070172i,0.0011375+0.00027044i,0.00016784-0.00020625i,-0.00077105-0.00042211i,-0.00013406+0.00051472i,0.00035437+0.00057296i,0.00042147+0.00019894i,0.00022147+0.00049532i,-0.00029151+0.00066667i,-0.00029042+0.00035842i
-0.00088362-0.00053564i,-1.4146e-05-0.00086871i,0.00014016-0.00057821i,0.00152+0.00019752i,0.0024734+0.00084329i,0.002306+0.00061146i,0.0014411+0.0003769i,0.00093607+0.00099553i,0.00075317+0.00083738i,0.00045146+0.00053013i,0.00047008+0.00066338i,-4.3939e-05+0.0012515i,-0.00015287+0.0012414i,0.00087146+0.00041648i,0.00067317-0.00015931i,-0.000612-0.00049273i,-0.00068755+0.000122i,0.0005481+0.00037039i,0.0004746-0.00020774i,-0.00026003-0.00013727i,-0.00072526+0.00017656i,-0.00075753+0.00096646i,-0.00015092+0.0017182i
-0.00029536+0.0038023i,0.00081692+0.0039152i,0.0021975+0.0034157i,0.0038202+0.0019215i,0.0045079+0.00091469i,0.0028922-0.00010817i,0.00094102+0.00027571i,0.0001098+0.00063473i,0.00044595+0.00056999i,0.00096785+0.00029276i,0.0011996-0.00032301i,0.00085391-3.5911e-06i,0.00016238-1.6624e-06i,-0.00018991-0.00068332i,0.00017331-0.001028i,0.00021632-2.4633e-06i,-0.00029617+0.00035134i,6.9266e-05-0.00026909i,0.00051532-0.0004755i,0.00025296+0.00017094i,2.2623e-05+0.00058955i,-0.0006241+0.00017173i,-0.00050211+4.6866e-05i
-0.00076706+0.00021763i,0.00058771+0.00084668i,0.001248+0.00084748i,0.0026107+0.00070573i,0.0037579+5.3366e-05i,0.0032956-0.0006408i,0.0010799-0.00035705i,-8.8113e-05+0.00013644i,-8.518e-05+9.6388e-05i,-0.00019001-0.00042345i,0.00043468+2.8023e-05i,0.00063177+0.00037875i,0.00031578-0.00096539i,0.00084623-0.0018645i,0.00070924-0.00088113i,-0.00010604-0.00015387i,-0.00018217-0.00066127i,9.0893e-05-0.0011203i,0.00048735-0.0010436i,0.00049447-0.00041559i,-0.0003584+0.0004748i,-0.00058096+0.0007925i,-0.0003368+0.00066401i
0.0015693-0.00097989i,0.001946-0.0010931i,0.0017691-0.0019228i,0.0014959-0.001679i,0.0013149-0.0012449i,0.00086981-0.00027937i,0.00088724+0.00088034i,0.0010657+0.00084284i,0.001246+0.00033714i,0.00068316-0.0006183i,0.00042141-0.0009803i,0.00057937-0.00033144i,0.00045692+0.00016059i,0.000207+0.00038215i,0.0008105+1.3625e-05i,0.00068754-0.00013183i,0.00051465-0.00019568i,0.00043244+3.9352e-05i,9.644e-05+0.00053343i,7.5767e-05+0.00066204i,0.00050459+0.00026669i,0.00019725-0.0002603i,8.2099e-06-0.00019612i
0.0014908+0.00012153i,0.00077674+0.00072756i,0.00036934+0.00060627i,0.0019799+0.0012797i,0.0022252+0.0014488i,0.001313-0.00033448i,0.00045633-0.0013796i,-6.9654e-05-0.00040064i,-3.5879e-06+7.2448e-05i,-0.00019227-0.00024345i,-0.001109-9.2919e-05i,-0.00099098+0.00053129i,-0.00010214+0.0004292i,0.00063014+0.00038463i,0.00036854-0.00037525i,-4.4214e-05-0.0012364i,-0.00021385-0.0010787i,-0.00029209-0.00018313i,-0.00056887+0.00028932i,-0.00053742+0.00088403i,-0.00078568+0.0010178i,-0.000144+0.00052143i,0.00028895+0.00036274i
-0.00088654+0.00020181i,-0.00044171+0.00061179i,0.00087282+0.00097542i,0.0021675+0.00093221i,0.0028657-0.00036519i,0.0030376-0.0015124i,0.0021297-0.0013787i,0.00070999-0.00072319i,-0.00024664+5.124e-05i,-0.00084226+0.00050513i,-0.00017058+0.00073454i,-0.00012415+0.0005634i,-0.00062625-0.00021105i,-0.00095758-0.0007137i,-0.00076252-0.00051229i,-0.00030079-0.00022911i,-0.0011686-0.00017416i,-0.0012368-0.00043266i,-0.00012125-0.00020406i,-0.00012908+7.5973e-05i,-0.00029089+4.761e-06i,0.00048219-1.4155e-05i,0.001165-0.00016158i
0.0020657-0.0018798i,0.0026046-0.0015293i,0.0020192-0.0016188i,0.0018233-0.00072104i,0.001828+0.0004145i,0.001056+0.00060168i,0.00024972+0.00066645i,3.9464e-06-0.00016578i,-0.00056709-0.001089i,-0.00094269-0.00048457i,-2.8915e-05+0.00069564i,0.00056181+0.0010195i,0.00072984+0.00096921i,0.0010678+0.0010678i,0.00094486+0.00067033i,0.00021272+0.00050905i,-6.6016e-05+0.00033496i,0.00030854-0.0001897i,-0.00035895-0.00047275i,-0.00068851-0.00026822i,-0.00047016+0.00029014i,-0.00011197-0.00036938i,0.00032023-0.0011233i
0.0002048-0.0024626i,-0.00039581-0.0032231i,-0.001326-0.0011341i,-0.00057006+0.0011002i,0.0017656+0.0013311i,0.0026413+0.0011075i,0.0013024+0.00086829i,0.00035787+0.0009884i,-5.197e-05+0.00085705i,-0.00073855+0.00084929i,-5.6772e-05+0.0012363i,0.0012938+0.0014391i,0.0019352+0.00059434i,0.0020247-0.00010068i,0.0017052+5.3502e-05i,0.0010553+0.00015795i,0.00069029-0.0002146i,0.00040706+0.00014176i,-0.00015322+0.00055205i,-0.00022179-4.9869e-06i,2.8764e-06-0.00019979i,0.00076754-0.00018359i,0.0015119+1.2202e-05i
0.002162+0.00019393i,0.0027315-0.0002939i,0.0026896-0.0016299i,0.0030309-0.0012912i,0.0026017-0.00080222i,0.001027-0.0005437i,0.00021945+0.00027938i,-0.00055903+0.00051946i,-0.00068893+0.00026538i,5.2033e-06+0.00040233i,0.00044386+0.00012722i,0.00070978+0.00026432i,0.0013173+0.00033305i,0.0015988-8.9151e-05i,0.0012947-0.00031396i,0.00057749-0.00036085i,-0.00033292-0.0006414i,-0.00030896-0.00063553i,0.00049794+4.9928e-05i,0.00071433-9.1242e-06i,9.847e-05+2.4282e-05i,-0.00039517+0.00081306i,2.104e-05+0.00091595i
0.0015274-0.0015085i,0.0011727-0.00086168i,0.0011288-0.00030379i,0.001537-0.00048819i,0.001965-0.00072484i,0.0011296-0.00030755i,0.00092608+0.00033848i,0.00087771+0.00086284i,0.0010089+0.00025008i,0.0013829-0.00036405i,0.00089352-0.00033235i,0.00061851-0.00028828i,0.00034242-0.00040541i,0.00079424-0.00067285i,0.0011289+0.0001082i,0.00057791+0.00049263i,0.0003355+1.8166e-05i,0.00036856+0.00015817i,0.00093742+0.0003407i,0.00069171-0.00018937i,-0.00025964-0.00021403i,-1.6882e-05-0.0005439i,0.00043847-0.00025641i
0.0012648+0.00099028i,0.0013714+0.00094234i,0.0013362+0.0012781i,0.0021605+0.0016071i,0.002512+0.0012418i,0.0020228+0.00080793i,0.0012936+0.00082647i,0.0003657+0.0010723i,-0.00066539+0.00090186i,-0.00017339-0.00013845i,0.00023153-0.0011572i,0.00018326-0.0013662i,0.00029665-0.00056382i,0.00028291-0.00093119i,-3.7869e-05-0.0012456i,-0.0009224+5.4965e-05i,-0.0016816+0.0010145i,-0.0010984+0.00045801i,-0.0003299-0.00032789i,0.00011294-0.00079991i,0.00057625-0.0013139i,0.00021232-0.0012559i,0.00064636-0.00045841i
-0.00024094+0.0011415i,4.1931e-05+0.0012678i,0.0010969+0.00026618i,0.0022553+0.00017573i,0.0028175+0.00066152i,0.001979+0.00086274i,0.00094492+0.0011623i,0.00048708+0.00040546i,0.00029694-0.00073678i,0.00032508-0.0018769i,-3.542e-05-0.0014318i,-0.00057309-0.00010137i,-0.00057393+0.00025635i,-0.00032178+0.00013453i,-4.1494e-05-3.1005e-05i,-7.8376e-05-0.00066013i,-0.00027988-0.00048582i,3.6397e-05+3.2014e-05i,0.0004045-0.00018434i,1.6984e-06+0.00028549i,0.00029972+0.0011679i,-2.2036e-05+0.00039198i,-6.2058e-05+0.00036875i
0.0010837-0.0010911i,0.0018167-0.0010841i,0.0024485-0.0021347i,0.0023098-0.0022246i,0.0014396-0.0014661i,0.00025036-0.00039601i,-0.00082845+0.00036798i,-0.00055165+0.00031984i,0.00024536-0.00017624i,-0.00037883-0.00041315i,-0.00068295-0.00032189i,1.3285e-05+5.1442e-05i,0.00079285+0.00021851i,0.00063784+0.00037853i,-0.00012451+0.00038757i,0.00017325-0.00013932i,-6.0717e-05-0.00079439i,-0.00076441-0.0010736i,-0.00014962-0.00060024i,0.0001187+0.00030774i,0.00024518+0.0011275i,0.00076626+0.0016179i,0.00056539+0.00089754i
-0.00035604-0.0027388i,-0.0010579-0.0017457i,-0.000541+0.00045265i,0.0010751+0.0018158i,0.0030449+0.0016538i,0.0029964+0.00095332i,0.0015651+0.00072545i,0.00044203+0.00067017i,1.3842e-05+0.00077086i,7.5871e-05+0.0015339i,0.00040316+0.0018652i,0.00011171+0.0016072i,0.00043413+0.00060925i,0.00073119+0.00013461i,0.0004199+0.00022154i,-0.00013091-4.7057e-05i,-0.00015466-0.00034439i,-1.2921e-05+3.6695e-05i,-0.00044165+0.00055311i,-0.00058738+7.595e-05i,-8.8234e-05-0.00011515i,6.3668e-05-0.00025567i,-0.00027116-0.00092389i
0.00016004+0.0015132i,-0.00045024+0.0023024i,-9.3352e-05+0.0018206i,0.0019054+0.00085182i,0.0039887-0.00038139i,0.0032855-0.00070217i,0.00097928-0.0011274i,0.00067082-0.0013994i,0.00066074-7.7613e-05i,0.00019718+0.0004599i,0.00028861+0.00013636i,0.00038612+0.00053414i,0.00044838+0.0007003i,1.1605e-05+0.00073118i,-0.0003451+0.00056968i,3.0638e-05+0.00044783i,1.7224e-06-5.8769e-05i,0.00015772-6.3619e-06i,0.00047734+0.00020853i,0.00097527+0.00092361i,0.0010351+0.0013385i,0.00026317+0.00074145i,0.00024381+5.0418e-05i
0.00058456+0.00034808i,0.0021558+0.00077554i,0.0036907+5.0958e-05i,0.0036996-0.00048219i,0.0032257-0.00068162i,0.002027-0.00046623i,0.0003728-5.9235e-05i,-0.00056412+0.00078282i,-0.00029563+0.0010909i,4.8658e-05+0.00057244i,0.00027757+0.001075i,0.00080033+0.0011223i,0.00083629+0.00024648i,0.00040312-0.00031138i,0.00032438+6.0812e-05i,0.00080288+0.00035645i,0.00098421+0.00037148i,0.00077105+0.00037658i,0.00072452-0.0007921i,0.0011583-0.00098847i,9.881e-05-0.00035691i,-0.00097981+0.00033286i,-0.00054911+0.00060509i
0.0030453+0.001446i,0.0029033+0.00072556i,0.0033843-0.00060122i,0.0030333-0.0016646i,0.0022223-0.002301i,0.00085469-0.00208i,-9.6794e-05-0.00036707i,-0.00011956+0.00083439i,0.00029375+0.00070291i,0.0012242-6.8431e-05i,0.0014049-0.00066689i,0.00050164-3.7441e-05i,0.00044916+0.00042727i,0.00057285+0.00022424i,0.00067412-0.00036514i,0.00077802-0.00051965i,0.00014966-0.00090351i,-7.1167e-06-0.00070282i,-0.0001227-0.00013211i,-3.1547e-06-9.8088e-06i,9.1172e-05+0.00042668i,4.6335e-05+0.00092208i,-0.00021533+0.00052128i
0.0019241-0.00052784i,0.0016678+0.00080282i,0.0013878+0.0014338i,0.0014393+0.00094766i,0.0015771+0.00061337i,0.0013645+0.0002537i,0.00086946+0.00014154i,0.0008315-0.00017606i,0.00086022-0.00032342i,0.00087175-0.00069625i,0.00047005-0.00074613i,0.00027345-3.5822e-05i,0.00063234-8.731e-05i,0.00025094-0.0004278i,7.5653e-06-0.00029466i,2.2737e-06-0.0001018i,-0.00055962-0.00045637i,-0.00058232-0.00071299i,-0.00038578-0.00072072i,-0.00011395-0.00069637i,-0.00032771-0.00068976i,-0.00058982-0.0003765i,0.00042554-0.00046131i
0.00086428+0.0014051i,0.0018314+0.001998i,0.0031092+0.0017478i,0.0039487+0.00046701i,0.0034445-0.0010156i,0.0021558-0.0014556i,0.0010882-0.0006207i,0.00044156+0.00032262i,-0.00033623+0.00050954i,-0.00091526-0.00021225i,-0.00098395-0.00073597i,-0.00073613-0.00035895i,-0.00028394+0.00039256i,0.00027122+0.0010308i,0.00031475-1.656e-05i,-0.0001279-0.0004858i,-0.00080856+0.00022905i,-0.0009058-0.00010717i,-0.00019244-0.00069206i,-0.00062069-0.00020097i,-0.00093687+0.00070474i,-0.00042265+0.00027702i,0.00028067-0.00062609i
0.00049383-0.00019192i,0.00014715-0.00046026i,0.00022674-0.00022648i,0.0011684+0.00011096i,0.0026138-0.00022926i,0.0021599-0.00083729i,0.0001098-0.00048968i,-0.00023787+0.00042967i,0.00074379+0.00072005i,0.00026675+0.0004587i,-6.9456e-05+0.00018112i,-0.00013925+0.000437i,-0.00098215+0.0010017i,-0.00041712+0.00074579i,0.00096455+0.00084816i,0.0012118+0.00096049i,0.00045126+0.00038313i,-0.00026643-0.0007913i,-0.0002225-0.0010118i,-0.00033663-0.00035346i,-0.00047917-0.00014566i,-8.9006e-05+0.00054381i,-0.00014114+0.00070232i
0.00022282+0.0003851i,0.00037177+0.001009i,0.00087775+0.0024208i,0.00311+0.0029999i,0.0037391+0.00224i,0.0034824+0.00099417i,0.0022248+0.00037645i,0.00091847+0.00024247i,0.0010851+0.00029627i,0.00097206+0.00045264i,-8.0876e-05+0.00023904i,-0.00053417+0.0011324i,-0.00049655+0.0016145i,-0.0001982+0.00066555i,-3.1613e-05-0.00012418i,0.00021174-0.00049967i,-7.5577e-05-0.00037414i,-0.00092384+6.7894e-05i,-0.00093328+0.00023506i,-0.00040162+0.00014155i,-0.00013128+9.9059e-05i,-0.00052909-0.00015214i,-0.0004414-0.00044438i
0.0017389+3.7633e-05i,0.0013526-0.0006773i,0.0014309-0.0011893i,0.0023106-0.0011991i,0.0031371-0.00097163i,0.0022546-0.00033057i,0.00099338+9.0991e-05i,0.00046761+5.5842e-05i,0.00029054+0.00042334i,-0.00023921+0.00097953i,-6.8688e-05+0.0008375i,0.00050475+0.0005525i,0.00020449+2.7112e-05i,0.00054318+0.00017246i,0.00050779+5.6177e-05i,2.8168e-05-0.00064413i,-0.00037975-0.00045679i,-0.00057146+0.00011174i,-0.00048461+0.00036875i,-0.00043916-2.4313e-05i,-4.2473e-06-4.8205e-05i,7.9647e-05-0.00052494i,-8.7364e-05-0.000651i
0.0040641+0.0015422i,0.0043091+0.000706i,0.0046078+3.5595e-05i,0.0047854-0.00041287i,0.0040802-0.0011389i,0.0025066-0.00075698i,0.00073715+0.00036857i,-0.00022078+0.00032845i,0.00034785-0.00028642i,0.00088531-0.00065548i,0.00022451-1.8444e-06i,-0.00046239+0.00059949i,-0.00020845+0.00081535i,0.00045508+0.0011738i,0.00036435+0.0015582i,0.00013191+0.0014939i,6.9301e-06+0.00015448i,-0.00040924-0.00091849i,-0.00020341+0.00010436i,3.648e-05+0.00054696i,0.00012874-9.6569e-05i,0.00046777+4.8394e-05i,0.000254+0.00010802i
0.0015429-0.002159i,0.0016213-0.0023215i,0.001416-0.0012568i,0.00041472-0.0003588i,0.00029639+0.00035998i,0.0017082+0.0011536i,0.0018049+0.0010016i,0.00036356+0.0010098i,-0.00035568+0.00032912i,-0.00034475-0.00079207i,-0.00030874-0.0011887i,-0.00015532-0.0014873i,0.00083036-0.00076152i,0.0013352+0.0002234i,0.00066708+0.00034355i,0.00038805-0.00038876i,0.00032221-0.00051392i,-0.00010888-7.1541e-05i,8.9239e-06+0.00025553i,0.00029048-2.1186e-05i,0.00027212+0.00033604i,0.00041083+0.00082963i,0.00037707+0.00068908i
-0.00033315-0.00013858i,-0.00079455-0.00027025i,0.0012375+0.00087049i,0.0028365+0.00093139i,0.0031581-5.2374e-05i,0.0019357-0.00025926i,0.00025915+0.00049985i,0.00039124+0.00072738i,0.0010932+0.00055216i,0.0014465-0.00029434i,0.00080286-0.001393i,-9.414e-05-0.0011274i,-0.00064338-0.00041105i,-0.0006375+8.7433e-05i,-0.0004046-0.00026502i,-0.00073168-0.00084092i,-0.0012185-0.00062759i,-0.00029578-0.00073482i,0.00028147-0.000702i,-8.5876e-05-0.00028531i,-0.00032868-0.00023305i,-8.3083e-05+0.00014353i,0.00064218+0.00043568i
0.00023641+0.00078649i,0.00060579+0.00031456i,0.0013377+0.00079621i,0.002451+0.0023261i,0.0024455+0.0023403i,0.0020045+0.00068886i,0.00066184+0.00024833i,0.00010347+0.0010165i,-0.00012716+0.00045456i,-0.00042739-0.00038314i,-0.00021139-0.00066302i,0.00016807-0.0006419i,0.00049678-0.00035643i,0.00036798-0.00024662i,0.00016227-4.2614e-06i,1.4555e-05+0.00017771i,0.00022716+0.0004281i,0.00021496+0.00035747i,-0.0001217+0.00010341i,-0.00033965+0.00062585i,-0.00093572+0.00055802i,-0.00044927+0.00021192i,0.00013349+0.00014005i
0.0029872+0.0010393i,0.0032986+0.00033385i,0.0039899-0.00078939i,0.0045601-0.0020164i,0.003984-0.0019488i,0.0022164-0.00062767i,0.00067862+0.00062192i,0.00014471+0.0012716i,4.6437e-05+0.001183i,-0.000595+3.0448e-05i,-0.0012547-0.00072369i,-0.00075882+7.2529e-05i,0.000233+0.00078442i,-0.00023996+0.00081697i,-0.00053547+0.00043616i,0.00034499+3.2323e-05i,0.00056761-0.00071863i,0.00031729-9.08e-05i,0.00064647+0.00074313i,0.00034893+3.3775e-05i,-0.00028735+0.0003041i,-0.00054353+0.0011155i,5.6956e-06+0.00050544i
0.0024416+3.8418e-05i,0.0031489+0.0014622i,0.0034887+0.00032717i,0.0034233-0.0011586i,0.0033703-0.001519i,0.0026536-0.0013557i,0.001338-0.00058518i,0.00051763+0.00013948i,0.00086635-2.8674e-05i,0.00083826-8.7277e-05i,0.00047965+0.00054354i,0.00044783+0.00045155i,0.0010834+0.00029923i,0.00075561+7.8922e-05i,0.00078264-0.00055847i,0.00098812-0.00043163i,0.00042886-0.00054708i,0.00063072-0.00051432i,0.00050229+0.00039912i,-0.00039979-1.3655e-05i,0.00021359-0.00032808i,0.00095898+0.00037732i,0.00097716+0.00067605i
-0.00048633+0.0019106i,0.00031562+0.001763i,0.00060586+0.0023547i,0.0019521+0.003079i,0.0031095+0.0024802i,0.0025423+0.00090376i,0.0013943-4.3523e-05i,0.0010906-0.00077652i,0.0010036-0.00039303i,0.0010007+0.00088806i,0.00068992+0.00096194i,0.00016208+0.00081131i,0.00045733+0.00059634i,0.00070913-0.00037599i,-0.00022972-0.00032363i,-0.00051851+0.00031172i,-0.00021765+0.00017521i,-0.00014869+0.00037764i,2.0093e-05+0.00023053i,-8.7722e-05+4.9739e-06i,-0.00016819+0.00073896i,-0.00017356+0.0015389i,0.00022952+0.00097621i
0.00034925+0.00029471i,0.001452-0.00089514i,0.0018518-0.00056221i,0.0028339-6.4443e-05i,0.0033026+0.000732i,0.0015767+0.0011011i,-0.00012201+0.00083586i,-0.00027372+0.00085997i,0.00028883+0.00044057i,0.00091511+5.3823e-05i,0.0012664-0.0004446i,0.00059988-0.0010511i,-0.00034012-0.0005888i,0.000198-0.00015922i,0.00028443+1.327e-05i,-0.00052986-0.00046553i,-0.00029583-0.00051784i,-6.9677e-05+0.00021091i,-0.00081983+0.00075575i,-0.0012377+0.00050628i,-0.0010458+4.4157e-05i,-0.00081715+0.00026876i,-0.00087708+0.00058021i
2.7612e-05-0.0016826i,0.00076125-0.00095497i,0.00028647-0.0010374i,0.00013359-0.00016046i,6.6423e-05+0.000883i,0.00071809+0.00078377i,0.00098191+0.00046465i,0.00072591-0.00015576i,0.0009523-0.0010037i,0.0010762-0.0012209i,0.0011425-0.00024031i,0.0010005+0.00094303i,0.00063499+0.00080478i,0.00086332+0.00036589i,0.0010713+0.00045722i,0.00060661+0.00015521i,0.00043323-0.00044524i,0.00061217-0.00048539i,0.00052868-0.00037802i,-0.00012182-0.00021563i,-0.00052738+0.0006771i,-0.00011471+0.0012276i,-0.00016293-4.1975e-05i
0.0030452+0.0010196i,0.0037287+0.00096688i,0.0038509+0.00074164i,0.0038551+0.00021111i,0.0038883+0.00015211i,0.0021824+0.00088788i,0.0002917+0.0013144i,6.4238e-05+0.0013977i,0.00055124+0.00099435i,0.0001186+0.00024551i,-0.00054699-0.00050432i,-0.0014945-0.00092009i,-0.0016756-0.0010066i,-0.001013-0.0010787i,-0.00044651-0.00063546i,-0.00071104+5.4185e-05i,-0.00056318-0.00041406i,0.00049746-0.00079526i,0.00041298-0.00098675i,-0.00016123-0.0013304i,-0.0002533-0.00080607i,-0.00053352+3.8774e-05i,-0.00041395+0.00065118i
0.0019544+0.0026419i,0.0029742+0.00328i,0.0045746+0.0031271i,0.0047749+0.0013175i,0.0039564-0.00045632i,0.0027927-0.00024413i,0.0013726+0.00095818i,0.00065232+0.0010274i,0.00055642+0.00050365i,-7.3857e-05+3.9696e-05i,-0.0008263-0.00046309i,-0.00051277-0.00053803i,2.7442e-05-5.5804e-05i,-0.00027794+0.00017964i,-0.00016119-0.00013827i,0.00033957-0.0001426i,0.00048995-3.6254e-05i,0.00047223+5.51e-05i,6.3525e-05+0.00015589i,-0.00065125-0.00011898i,-0.00090893-0.0013772i,-0.00049013-0.0015661i,-0.00042159-0.00041662i
