0.0012382-0.00075481i,0.00070466-0.0024314i,-0.00066823-0.0025581i,-0.0016151-0.00077157i,-0.0022359+0.0013621i,-0.0017068+0.0020745i,0.00037846+0.0020161i,0.0017744+0.0018849i,0.0016793+0.00081203i,0.00077338-0.00033892i,7.2018e-05-0.00053001i,-0.00013373-0.00066619i,0.00025706-0.00062588i,0.00018473-0.00030496i,-0.00065534-0.00028854i,-0.00071422+0.0002901i,-0.00010994+0.0005695i,0.00059582+0.0001327i,0.00079839-0.00030423i,0.00074477-0.00068379i,0.0013084-0.00042182i,0.001109-0.0002456i,0.00046247-0.00026204i
-0.0024157-0.00072776i,-0.0018855-0.00048359i,-0.0014681+0.00024722i,-0.00015954+0.0009665i,0.0015349+0.00074357i,0.0015161+0.00097417i,0.0010368+0.00060871i,0.0012235-0.0002466i,0.00124+7.3772e-05i,0.0011458+0.00022974i,0.0005491+0.00024478i,0.00019005+0.00051526i,-0.00043459+0.00070247i,-0.00051289+0.0004295i,0.000301-0.00019638i,0.00024671-0.00089998i,-9.438e-05-0.001068i,0.00016361-0.00071573i,0.00023527-0.00022902i,4.1025e-05-0.00037235i,-0.00014037-0.0011562i,-0.00074554-0.0010364i,-0.0007795-0.00022918i
-0.0009003+0.00025687i,-0.0014718-0.0011195i,-0.00053108-0.0016384i,3.3033e-05-0.0012266i,0.00018849-0.00078408i,0.0003395-0.00013862i,0.00041129+0.00044986i,0.00040742+0.0011701i,0.00032272+0.00066828i,-5.0645e-05-0.00012527i,-0.00077131-0.00021367i,-0.00059561-0.00074725i,0.00063433-0.00014217i,0.0016313+0.00068552i,0.0016515+0.00030884i,0.0010541-4.9747e-05i,0.00060121-7.3268e-06i,-0.00018944+7.276e-05i,-0.00066043+8.741e-05i,-0.00066757+0.00020044i,-0.00021812+5.5656e-05i,0.00011707-0.0001134i,6.1042e-05-0.00013862i
-0.0001555-0.00081432i,0.00019676-7.4709e-05i,-0.00027463+0.00089779i,-0.00059258+0.0010863i,-7.8765e-05+0.0015963i,0.0010437+0.0016207i,0.0014651+0.00056874i,0.0010247-0.00051341i,0.00052634-0.0006717i,0.00075017-0.00013844i,0.0006779+8.0912e-06i,0.00045692-0.00026961i,0.00010866-0.00036846i,-0.00046646-0.00099286i,-0.0002164-0.0013902i,-0.00013282-0.0011726i,0.00048586-0.0004946i,0.00028086+0.00061556i,-0.00057537+0.00096962i,-0.00040855+0.00019603i,-0.00035431-0.0004712i,0.00041783-0.0004438i,0.00076601-0.00051623i
0.00036954-0.0026491i,0.00034031-0.0019361i,-0.00142-0.0013148i,-0.0018224-0.00026659i,-0.00083562+0.0014579i,0.00016466+0.0016482i,0.00018536+0.00056969i,0.00013974+0.00030239i,0.00044066+0.00070883i,-0.0003911+0.0017625i,-0.00054909+0.0015484i,4.1016e-05+0.00030717i,0.00059427+0.0001514i,0.001315+5.2408e-05i,0.00094557+1.9085e-05i,0.00023954-0.00073077i,0.00034431-0.001018i,0.00060413-0.00057994i,0.00048298-0.00019853i,-0.00035334-0.00022383i,-0.00046889-0.0004304i,0.0004555+1.5336e-06i,0.00092779+0.00018572i
0.0017924-0.0031221i,0.0011387-0.001288i,-0.00067102-0.00047244i,-0.0011231-0.00045321i,-0.0010585+0.00029857i,-0.00045962+0.00054918i,0.00012878+0.00064983i,-0.00016914-0.0002104i,0.0001593-0.0014475i,0.00019258-0.0012619i,8.4555e-05-6.0054e-05i,7.7462e-06+0.0001781i,0.00020762+0.00031367i,0.00049796+0.0006704i,-4.5672e-05+2.9427e-05i,-0.00054352-0.00098898i,0.00053232-0.0015492i,0.00098829-0.001371i,0.00034264-0.00094746i,0.00018526-0.00033078i,0.00013705-8.2055e-05i,-2.0156e-05+3.1598e-05i,-2.8082e-05-0.00061203i
0.0016398+0.00025779i,0.00082236-0.00095668i,0.00041665-0.0010215i,0.00060709-0.00025538i,0.0003016+0.00053399i,-0.00038906+0.0009442i,0.00026595+0.00070712i,0.00038819+0.00074157i,0.00055905+0.00064695i,0.00042757+9.4822e-05i,2.9564e-05-0.00023698i,-0.00019711-0.00080207i,-0.00010207-0.0006324i,0.00032692-0.00032298i,0.00011287-0.0010931i,-5.4947e-05-0.0010865i,4.3363e-05-0.00030831i,1.6526e-06+0.00024705i,0.00037744+0.000386i,0.00056817+0.00019637i,0.0004312+0.00065744i,0.00057999+0.001306i,0.0012469+0.00070399i
0.0011164+0.0012076i,0.0012555+0.00054975i,0.0011753+0.00032085i,0.0012456+0.00029178i,0.0011588+7.2754e-05i,8.1054e-05+0.00015533i,-0.00099815+0.00016441i,-0.00099184+0.00032659i,-0.00070234+8.6911e-06i,-0.00084492-0.00033118i,-0.0010655-0.001096i,-0.00062529-0.0012222i,-0.00027355-0.00041581i,-0.00047261-0.00012404i,-0.00075864-0.00069654i,-0.00039001-0.00086331i,0.00069364-0.00044079i,0.00064867+0.00025267i,-0.00030328+0.0003498i,-0.00031861+0.00047429i,-0.00038446+0.00063237i,-0.00046522+0.0002248i,-0.0010067-0.00030932i
0.00066841-0.0016578i,0.00066753-0.0025038i,-0.00098233-0.0025505i,-0.0013118-0.0019891i,0.00012623-0.00096152i,0.0017502+2.4761e-05i,0.0020599+0.00072117i,0.0014213+0.00028275i,0.00056504+0.00038616i,3.3011e-05+0.00076117i,0.00043262+0.00010579i,0.00092825-0.0002571i,0.00048755-0.00024969i,0.00063562+7.1521e-05i,0.0006903+0.00010937i,-0.00024492-0.00039899i,-0.001106-0.00012053i,-0.0015074+0.0004056i,-0.00047915-8.2156e-05i,0.00034944-0.00024849i,0.00024254+3.2547e-05i,-0.000124+0.00071775i,-0.00019471+0.0016811i
0.0020625-0.00063926i,0.0014764-0.00082372i,0.0015542-0.00095066i,0.00035074-0.00075981i,-0.00034633-0.00032015i,-0.00052032+0.00049564i,-0.00022164+0.00047944i,0.00030386+0.00021349i,0.00062197+0.00052648i,-1.7107e-05+0.0007302i,-0.0007555+0.00016739i,-0.00031349-0.00011978i,-0.00029302+7.7944e-05i,-0.00035311+3.5365e-05i,-0.0003247-0.0006734i,-0.0011288-0.0015516i,-0.0012851-0.0011939i,-0.00011988-0.00010648i,0.00050667-0.00019555i,-1.7944e-05-0.00044145i,-0.00014315-0.00034915i,0.00011617-0.00021305i,0.00071659-0.0009593i
0.00012481-0.0010374i,0.00088236-0.00067972i,0.0012751+0.0010832i,0.001629+0.0017992i,0.0012982+0.0018734i,0.00041226+0.0012814i,0.00013136+0.0010522i,0.00026783+0.00092102i,0.000523+0.00012759i,0.0010714+0.0002777i,0.0010601+5.7235e-05i,0.00034176-0.0001318i,-0.00042238-0.00044113i,-0.00011206-0.00090926i,0.00057925-0.00072659i,0.00026011-0.00073726i,0.00013777-0.00053765i,0.00048992-0.00028124i,0.00043816+0.00018536i,4.2025e-05+0.00064442i,-0.00059527+0.00062083i,-0.00024712+0.00017907i,0.00056571+0.00030115i
-0.00036544-0.0019773i,-0.00035791-0.0013054i,-0.0013664-0.00039462i,-0.00083685-0.00036035i,-4.2329e-05+0.00011712i,0.00072538+0.00062674i,0.0010699+0.00053956i,0.00078896+0.000321i,-9.8494e-05-0.00047813i,-0.00012774-0.0008608i,0.00031691-0.0003018i,-0.00010117+6.2312e-05i,0.00028366-0.00011921i,0.0015813-0.00032934i,0.0010255-0.00058992i,9.9091e-06-0.0003622i,-0.00039266-0.00023684i,-0.00037897-0.00032802i,0.00020303+0.00029631i,-0.00026476+9.1607e-05i,-0.00046894-0.00074368i,0.00012743+4.5879e-05i,0.00013625+0.00045403i
0.0017079+0.00014682i,0.00071206+7.6492e-05i,-0.0007203+0.00010822i,-0.00025217-0.00010185i,0.00032608-0.00069079i,-0.00072987-0.00059272i,-0.00083619-5.8214e-05i,0.00010703-0.00016032i,0.00033439-0.00045744i,0.0008171-0.0010128i,0.00070007-0.0013455i,-0.00020347-0.00094214i,9.2652e-05-0.00076174i,0.00014229-0.00079079i,0.00025675-0.0005711i,0.00085649-0.00023464i,0.00057653-1.9117e-06i,-0.00047775-0.00048355i,-0.00022829-0.00028696i,0.00025946+0.0010606i,0.00044101+0.0014095i,0.0003276+0.0002653i,-0.00062977-0.00054009i
0.0016015+3.0812e-06i,0.0010944+0.00026647i,0.00088639-0.00079039i,0.001294-0.00078315i,0.0012322-0.00057155i,0.0013278-0.00091514i,0.0011279-0.00013495i,0.00082508+0.00054731i,0.001003-0.00016934i,0.0015603-0.00094379i,0.001396-0.0010777i,0.00059804-0.00069705i,0.00018048-5.0075e-05i,0.00029128+0.00016451i,0.00014481+0.00011033i,-0.0003897-5.9036e-05i,-0.00030669-0.00043068i,0.00033616-0.00068049i,0.00081068-0.00050278i,0.00085666+6.1328e-05i,0.00024453+0.00053335i,0.00013085+0.00041997i,-0.00034851-0.00038196i
0.0014907+0.00040108i,0.00094891-0.00089964i,0.00067792-0.0019293i,0.00010993-0.00117i,-7.6787e-05-0.00031822i,0.00026946-0.00015765i,0.00012715+0.00029526i,1.1406e-05+0.00063488i,0.00059139+0.00076696i,0.00034441+0.00058548i,-0.0010607-0.0005786i,-0.00090577-0.00081656i,-0.000195-3.3224e-05i,-0.00034215+6.0613e-05i,-0.00048543+9.2171e-05i,-0.00088229-0.00035852i,-0.00042301-0.00014622i,0.00046744+0.00031251i,0.00014097+0.00022555i,-0.00028994-0.00010229i,-0.00036596+0.00012252i,-0.000508-5.6943e-05i,-0.00052952-0.00079643i
-9.3026e-05-0.0013952i,-0.0010144-0.0011902i,-0.0012889-0.00074748i,-0.00041006-0.00089705i,0.00016178-0.00069741i,0.00037316+0.00058985i,0.00038698+0.0012963i,0.00035555+0.0010559i,-5.6813e-05-0.00014883i,-0.00029529-0.0011997i,-1.0198e-05-0.00098459i,7.0511e-05-0.00056578i,-0.0001393+0.00039723i,-0.00045541+0.00081252i,-0.00081009+0.00046433i,-0.00043912+8.4342e-05i,0.0002716-0.00024564i,0.00043035-0.00035758i,0.00052631-0.00094079i,7.4003e-05-0.00058683i,-0.00059395+0.00034872i,-0.00084697+0.00095701i,-0.00082693+0.00066655i
0.00023332-0.0013898i,0.00045577-0.0011184i,0.0010347-0.00089639i,0.00017501-0.00024922i,1.9096e-06+0.00018424i,0.001252+0.00021446i,0.0013856+0.00064122i,0.0011521+0.00064455i,0.00052743+0.00024192i,-0.00038547+7.9227e-05i,-0.00077371-0.00038422i,-0.00083023-6.78e-05i,-0.00037874+0.00062442i,0.00047363+0.00032935i,0.00068197-4.1446e-05i,0.00034955-0.00016211i,-0.00022915-0.00034949i,0.00020806-7.2904e-05i,0.00089378+9.3317e-05i,0.00076472+0.00051227i,0.00052146+0.00049061i,5.0255e-05+0.00014399i,-0.0004085+8.2662e-05i
0.00082459-0.0026204i,-0.00019227-0.003342i,-0.00060363-0.0029768i,-0.00056794-0.0021541i,-0.00054809-0.0010136i,-0.00037287+0.00012567i,2.6451e-05+0.001145i,0.00038659+0.0014779i,0.00047422+0.0010412i,0.00021633+0.00046879i,-0.00027707-7.2128e-05i,-0.00070817-0.00038576i,-0.00057334-0.0012248i,-0.00012303-0.0012386i,-0.00018561-0.00040251i,-0.00044424-0.00021711i,-0.00044842+0.00032381i,-0.00021257-0.00012175i,0.00084714-0.00083789i,0.00079206-0.00038182i,-7.3652e-05+0.00019795i,-0.00067947+4.3139e-05i,-0.0010299-6.6935e-05i
-0.0002617-0.00076014i,-0.00037774-0.0002418i,7.1181e-05-0.00015516i,0.00015645+0.00045299i,0.00054278+0.00064441i,0.0011499+0.00046996i,0.0012148+0.00028016i,0.00079633+7.791e-05i,0.00042407-0.00018287i,-0.00023441-0.00029389i,6.7128e-05-0.00033675i,0.00015507-0.00072908i,-7.9422e-06-0.0008164i,0.00062966-0.0010751i,0.00010446-0.0010756i,-0.00015537-0.00029504i,-0.00028638+0.00027336i,-0.00026674-0.00021624i,0.00035616+0.00048066i,0.00021236+0.0012465i,0.00036343+0.00076062i,0.00093357-0.00020554i,0.00062158-0.00051991i
0.001104-0.0011227i,0.00055829-4.7709e-05i,0.00094328+0.00031351i,0.00030632+0.00072708i,-0.00060227+0.00087695i,-3.4583e-05+0.00088045i,0.00038073+0.00058249i,0.00023028+0.0003974i,0.00046769+0.00037252i,0.00058009+0.00050239i,0.00010084+2.9455e-05i,0.00041-0.00047679i,0.00042967-0.00032738i,5.4393e-05+0.00027188i,0.00081892+0.0012395i,0.00084934+0.0013013i,0.00063481+0.00029436i,0.00050987-0.000501i,0.00040883-0.00046145i,0.00030883-2.2237e-05i,-0.00065442+7.2722e-05i,-0.0015103+7.839e-05i,-0.0011502+0.00013659i
0.0017191+0.00083943i,0.0019345+0.00035064i,0.0017297-0.00012842i,0.0014485-0.00021519i,0.0014174-0.00029742i,0.00074394-0.00058339i,0.00075298-0.00048093i,0.0011673-0.00071857i,0.00076363-0.0011974i,-0.00028229-0.0006795i,-0.00070218-0.00016645i,-0.00011195-0.00013696i,0.00025479-3.5091e-05i,-0.00023245-0.00037216i,-0.00099095-0.0006426i,-0.00044875-0.00030934i,0.00014137+0.00024605i,-5.1813e-05+0.00012965i,-0.00036209+0.00045953i,-0.00050878+0.00073677i,7.0807e-05+0.0010502i,6.9056e-05+0.0012066i,-0.00050514+0.00057577i
0.00078287-0.00016031i,-0.00028891-0.00075206i,-0.00068703-0.00066136i,0.00084582+0.00068576i,0.0016275+0.0014146i,0.001685+0.00078363i,0.00158+0.00066932i,0.00082026+0.00070529i,-8.3601e-05+0.00030699i,-5.5849e-05+0.00022738i,0.00045253-0.0002524i,0.0003628-0.0015186i,0.00028821-0.0021245i,0.0005451-0.00061006i,0.00044083+0.00062643i,0.00019402+0.00030589i,-1.4839e-05-0.0006484i,-0.00026722-0.00067979i,-7.0993e-05-0.00025258i,0.00069675-5.744e-05i,0.00080538+3.6346e-06i,0.00028986-9.2868e-05i,0.00017474-0.00031546i
0.00051887+0.0022384i,0.00045767+0.0007043i,0.00063554+0.00092108i,0.001462+0.00034617i,0.0020646-0.00026654i,0.0012133+0.00053097i,0.00016644+0.00076202i,0.00020495+0.0005267i,0.00056244+0.0005916i,0.00032049-0.0001577i,-0.00020872-0.00062853i,-0.00087572-0.00044217i,-0.0012872-0.00013829i,-0.00046346-3.1336e-05i,0.00042913-0.0004393i,-0.00011978-0.00017279i,-0.00043803+0.00027597i,0.00026613+4.9381e-05i,0.00047253-0.0005075i,-0.00010889+0.00033555i,4.2508e-06+0.00057091i,-0.00018669+4.8166e-05i,-0.00051205-0.00013032i
0.00077264+0.0014176i,0.00081-0.00025696i,0.00065466-0.0012451i,0.0005031-0.0012304i,0.00061198-0.00081109i,0.00049563-0.00029314i,0.00073903+0.00047925i,0.00099029+0.00057579i,0.00054785+0.00017752i,0.00077816-0.00061845i,0.00064594-0.00085839i,-0.0001623-0.00085007i,-0.00036434-0.0010104i,-0.0001517-0.0010166i,-0.0001409-0.00071985i,-0.00046273+0.00011694i,-0.000697-0.00025842i,-1.8786e-05-0.00076378i,-0.00025234-0.00068334i,-0.00055661-0.00012482i,-0.00059647+0.00060055i,-0.00017726+0.00045589i,2.9537e-05-4.3339e-05i
-0.0011515-0.00071594i,-0.00056424-0.00027218i,-5.8269e-05-0.00046759i,-0.00015708+0.000707i,-4.4517e-05+0.0017064i,-0.00041908+0.0017004i,-0.00037033+0.00072183i,0.00059826+3.7964e-05i,0.00081137-0.00014687i,0.0012278-0.0006303i,0.00088621-0.00027856i,0.00054285+0.00050892i,0.00066138+0.00034414i,0.00044809-0.00061269i,0.00045034-0.00087758i,0.00066947-0.00084223i,0.00042174-0.00047925i,-2.3772e-05+0.00012273i,-0.00010699+0.00036167i,-0.00024173+0.00036995i,-0.00026052+0.00034288i,-0.00011329-0.00014594i,-2.8669e-05-0.00026065i
0.0012667-0.0020513i,0.0007546-0.001456i,0.00035375-0.0007311i,-0.00074187-4.9913e-05i,-0.0014928+0.0003412i,-0.00050715+0.0010146i,0.00093359+0.0018566i,0.0011007+0.0013535i,0.0006409+0.00047407i,0.00046961+0.00017304i,0.00022646-0.00014984i,-0.00036473+0.00013189i,-0.0002685+0.00066253i,-0.00022807+0.00054868i,-0.00032978+0.00027659i,-0.00021844-9.7181e-05i,-0.0003849-0.00031965i,0.00025027+0.0004344i,0.00085428+0.00071138i,0.00090515+5.6891e-06i,0.0010592-9.8063e-05i,0.00059091+0.00046214i,3.3398e-05+0.00092996i
0.00083126-0.0021999i,0.00031995-0.0018919i,-0.00093978-0.0019084i,-0.0010024-0.0015483i,-0.0011461-6.5913e-05i,-0.00043731+0.00095381i,0.00068938+0.0011505i,0.00074258+0.00047421i,0.00053198-0.00028221i,0.00029915-0.00024686i,-0.00049837-0.00012496i,-0.00056965-0.00037055i,0.00022324-0.00081225i,2.8627e-05-0.00020341i,-0.0010476+0.00067362i,-0.0012502+0.00050123i,-0.0011836+6.5974e-05i,-0.00092527-0.00014811i,-0.00013961+0.00054758i,0.0007124+0.00079079i,0.00059972+0.0008814i,-0.00013726+0.0012139i,-0.00071217+0.0004542i
0.0016306-0.00080386i,0.00088667-0.00094567i,0.00066915-0.0020085i,-0.0001557-0.0017585i,-0.00064602-0.000721i,-0.00016526+0.00079604i,0.00052697+0.00088676i,0.00079278+0.00045378i,3.6723e-05+0.00074969i,-0.0003557+0.00098357i,-0.00028956+0.00032453i,0.00041955-0.00016966i,-3.4465e-06+0.00062835i,-0.0010538+0.0011564i,-0.00072188+0.00029213i,0.00070069-0.00028172i,0.00094575+6.4688e-05i,5.0632e-06+2.2508e-05i,0.00012192-0.00013731i,6.1713e-05+0.00036012i,-0.00010199+0.0003392i,0.00093363+0.00039282i,0.00082811+0.00042453i
-0.0020747+3.2888e-05i,-0.00235+0.0005909i,-0.0013099+0.0019071i,-0.00026203+0.0025852i,0.0004695+0.0019316i,0.00041734+0.0012083i,0.00013437+0.0012117i,5.1982e-05+0.0006781i,-1.584e-05+0.00013507i,0.00018736-2.2547e-06i,0.00012435-0.00024397i,5.2475e-05-0.0011578i,0.00036029-0.0016491i,0.00094162-0.0012313i,0.0015341-0.00088756i,0.0010963-0.00020623i,0.0001442+0.00074356i,-0.00077597+0.00038964i,-0.00060802-0.00016967i,-5.2279e-05-0.00024438i,-0.00051363+0.00016094i,-0.00010868+0.0003931i,0.00090922-0.00013341i
0.00068415-0.0019016i,0.00052907-0.0032067i,0.00032092-0.0027925i,-0.0002394-0.00159i,-0.0003691-0.0012884i,-0.00081821-0.00051279i,-0.00024617+0.00032802i,0.0010231+0.00041136i,0.00042407-0.00026126i,-0.00050446-0.00089292i,-0.00084538-0.00015396i,-0.00050638+0.00042487i,-0.00029528+0.00087629i,-0.00025555+0.00039125i,0.00010615-0.00019346i,-0.00011505-0.0007145i,-6.6014e-05-0.00020852i,-4.0034e-06+0.00061887i,-0.00018242+0.00050738i,0.00041951+5.7707e-05i,0.00059444-0.00031335i,0.00012106-0.0004343i,-0.00038515-0.0002104i
6.4859e-05-0.00071749i,-0.00043165-0.0016468i,-0.00045731-0.00088969i,-0.00028829+6.0533e-05i,-1.1955e-05+0.00019117i,-0.00010319+0.00039037i,0.00025942+0.00042348i,0.00062908+0.00041313i,0.00041315+0.00051699i,-0.00015958+0.00052824i,-0.00039228+0.00010254i,-0.00051456-0.00032111i,-0.00032873-0.00022683i,0.00085225-0.00030561i,0.00049962-0.00032394i,-0.00019194+8.3724e-05i,0.00039889-3.7552e-06i,0.00028726-9.8783e-05i,-0.00043475+0.00035664i,-0.00076052-0.00051841i,-0.00040679-0.00081442i,-4.7188e-05+8.6448e-05i,5.4735e-05+0.00021415i
0.0012162-0.0026423i,0.001713-0.0020452i,0.00016424-0.00041652i,-0.0011307+0.00086939i,0.00012642+0.0011979i,0.001123+0.0022512i,0.00048208+0.0021619i,-0.00013422+0.00040601i,0.00016107-0.00063148i,0.00055406-0.00039739i,0.00021591+0.00025168i,-0.00030397+0.00018833i,0.00039524-0.00025342i,0.0013321+0.00038601i,0.001304+0.00069187i,0.00090688+0.00015158i,0.00033606-0.00034389i,-0.00032304-0.00016306i,0.00024266-0.00046797i,0.0008459-0.00048673i,0.00031977-0.0003886i,-1.3925e-05-0.0006005i,-5.7581e-05+7.3866e-05i
-0.00030483+0.0017973i,-0.00010724-7.3213e-05i,-6.7569e-05-0.00072488i,-0.00033715-0.00027636i,8.8607e-05+0.00070435i,0.00061811+0.00051036i,0.0011436-7.016e-05i,0.00072079+0.00029337i,-6.8966e-05+0.00062202i,0.00053104+7.5435e-05i,0.00081388-0.00066368i,-1.7607e-05-0.00041893i,-0.00042431-0.00017675i,-0.00072173-0.0001706i,-0.00054569-0.00039478i,0.00027705-0.00019256i,0.00035943-0.00016096i,0.00020959-0.00028348i,-1.9057e-06-3.7923e-05i,-0.00014056+0.00019838i,0.00033495+0.00032394i,0.00058858-7.7435e-05i,0.00071922-0.00045195i
-0.00054895+0.0011306i,0.0010346+0.001199i,0.0010026+0.0014815i,0.0007219+0.00084581i,0.00052172+0.00046234i,0.00034668+0.0005364i,0.00028991+0.0009536i,0.00024833+0.0013084i,6.5197e-05+0.0010846i,-0.00011106+0.00096429i,0.000147+0.00029949i,0.00014177-0.0005015i,-6.5474e-05-0.00052476i,0.00031322-0.00078603i,0.00077051-0.0008567i,0.00046633-0.0001394i,-0.00028982-0.00061101i,-0.000704-0.00092446i,-0.00054874-0.00033005i,-0.00013383-3.6957e-05i,0.00058302+0.00041274i,0.00036424+0.0007723i,-0.00044305+0.00062219i
3.3769e-05-0.00054492i,-0.00019741+3.449e-05i,-0.0014675+0.00057005i,-0.001539+0.0015581i,-0.00042712+0.0018481i,0.0002634+0.0012241i,0.00078998+0.0013062i,0.00081469+0.0012588i,0.00050165+0.00067313i,0.00028234-5.672e-05i,-0.00027491-0.000463i,-0.00035368-0.0001671i,-0.00020132-0.00046784i,-0.00026985-9.2186e-05i,0.00089446+0.0003965i,0.0012867-0.00029351i,0.00061747-0.00096833i,0.00020745-0.00085192i,1.5384e-05-0.00068988i,6.8736e-05-0.00098854i,0.00029506-0.00059175i,7.3098e-06+0.00035001i,-0.00042876+0.00088104i
-0.0022562-0.0002166i,-0.0024541-0.0001824i,-0.0017827+0.0004598i,-0.0010399+0.00075483i,0.000137+0.00057692i,0.00087543+0.00039987i,0.00050663+0.00032114i,0.00056688+9.9696e-05i,0.00017966+2.5978e-05i,-0.00035449+0.00040525i,-0.0006537+0.00032699i,-0.00028211-0.00058373i,0.00086331-0.0012938i,0.0013297-0.00088959i,0.00072638-0.0004115i,-0.00023475-0.00033517i,-0.00029485-0.00046151i,-0.00026926-0.00059104i,-0.00059776-0.00051364i,-0.00036725-0.00043201i,-0.00033699+0.00052521i,-0.00067597+0.00060653i,-0.00053564-0.00020123i
-0.0010336-0.0023083i,-0.00072696-0.0022775i,-0.00081088-0.0011793i,-0.0011733+0.00022169i,-0.00043186+0.00092124i,-0.00040755+0.0011966i,-0.00086103+0.0012137i,-5.2015e-05+0.00092598i,0.00070258+1.1667e-05i,-0.00018497-0.00053606i,-0.0012493-0.00055007i,-0.001152-0.00035425i,-6.1696e-07+0.0004424i,0.00073571+0.00073445i,0.00026194-0.00043966i,0.0003715-0.00059964i,0.00050608-0.00036545i,0.00030277-0.00066261i,6.3048e-05-0.00051502i,0.00036052-0.00010239i,0.00079412+0.0004394i,0.0005934+0.00068701i,0.00064605+5.2648e-05i
0.00057958-0.0021599i,0.0011781-0.0029591i,0.00010325-0.0017582i,-0.00030432-0.0002717i,-2.5287e-05+0.00027753i,7.1571e-05+0.00091243i,-5.7383e-05+0.00073619i,0.00053066+0.00023402i,0.00084429+0.00010797i,0.00023219+0.00017036i,-0.00010868+0.00011034i,-1.7932e-05+0.0004758i,-0.00013072+0.00035522i,-0.00017275-0.00023319i,1.5262e-05-0.00087502i,0.00072649-0.0012057i,0.00060979-0.00072276i,4.6816e-05-0.00014146i,-1.0188e-05-0.00031164i,-0.000604+3.6117e-05i,-0.00084316+8.9821e-05i,-0.00055979+0.00015508i,6.3322e-05+0.00039252i
0.0021164-0.0001484i,0.0027478-0.00035307i,0.0014119-0.00056199i,0.00073018-0.00048423i,0.0005976-0.00061189i,0.0002444-0.0011022i,0.00082221-0.0007486i,0.00079743+0.00020866i,-5.6929e-05+0.00011087i,-0.00045137-0.00031337i,-0.00045741-0.0006909i,0.00032731-0.00081694i,0.0010844+0.00013788i,2.201e-05+0.00098047i,-0.0010993+0.0011852i,-0.00096767+0.00048932i,-0.00069046-0.00030783i,7.5099e-05-0.00055001i,0.00033017-6.3955e-05i,0.00030707-3.2621e-05i,0.00022898-0.00012838i,5.3678e-05+0.00026969i,0.00051213+0.00039501i
0.0014883+0.00082788i,0.00184+0.00051304i,0.0011804+0.0001231i,0.0010518-0.000404i,0.00098109-0.00011822i,0.00063034+0.00029844i,0.00069256+0.00033363i,0.0012939+0.00012367i,0.00090904-0.00026228i,-0.00038939+0.00020152i,-0.00066782-0.00050447i,0.00011953-0.0011142i,0.00044689-0.00094671i,0.00059996-0.00072343i,0.00082039-0.00023306i,0.00062163-0.00053723i,0.0001999-0.001119i,-8.6217e-06-0.00087508i,-0.00016322-9.4811e-05i,5.305e-05-0.00021665i,0.00019358-0.00060096i,0.00041782-0.00066898i,0.00073894-0.0012691i
0.0036692-0.0017683i,0.0021021-0.0038478i,0.0009542-0.0042689i,-0.00048887-0.0025502i,-0.001675-0.0013599i,-0.0011617-0.00032173i,0.00056143+0.0013741i,0.0012713+0.0014952i,0.0014582-0.00046898i,0.0015729-0.00096471i,0.0010517-0.00040949i,-8.5845e-06-0.00057699i,-0.00077376-0.00016291i,-0.0011927+0.0006854i,-0.0011522+0.0010173i,-0.00042396+0.00076064i,0.00010522-2.4801e-05i,0.00041732-0.00012689i,0.0011476+2.4279e-05i,0.0012909+0.00031345i,0.00074288-0.00022318i,0.0006358-0.0011796i,0.00042049-0.00077402i
-0.00081167+0.0019045i,-0.00041904+0.0018057i,0.00034389+0.00127i,0.00096604+0.00071722i,0.0009241+3.9221e-05i,0.00097191+0.0006517i,0.00013565+0.0010228i,0.00030905+0.00086193i,0.00062021+0.0005538i,-0.00022953+8.0864e-05i,-0.00011919+7.4779e-05i,0.0003888+0.00014605i,0.00029088-0.0002462i,0.0002512-0.00052175i,-3.2382e-05-0.00029887i,-0.00030829-0.00062035i,6.7879e-05-7.612e-05i,0.00034807+0.0004946i,9.5141e-05+0.00034617i,-6.6087e-05+0.00026128i,0.00048527+0.00011037i,0.0008229+0.00028263i,0.00044095+0.00032422i
0.0010226-0.00047305i,4.1433e-05-0.00093265i,-0.00077251-0.0006236i,-0.00033841+0.00015675i,-0.00016178+0.0006734i,-0.0010449+0.0011865i,-0.0010891+0.001332i,-0.00051874+0.00032663i,-0.00020673-0.00038063i,0.00023333-0.00050448i,0.00071786-0.00056823i,0.00019753-0.00026553i,-0.00053118-0.00011142i,-0.00052135+8.2322e-05i,-6.646e-05+0.00014288i,0.00029721-0.00032478i,0.00047221-0.00084303i,0.00048284-0.0010099i,0.00096336-0.00069599i,0.001725-0.00053035i,0.0012339-0.00079869i,0.00054894-0.00030764i,0.00051358+0.0001749i
-0.00060016+0.0015142i,-0.00048766+0.00069675i,-0.00019286+1.8317e-05i,-0.00062299-0.00093434i,-0.0010246-0.0017635i,-0.00070736-0.00085605i,-7.5578e-05+0.00045265i,0.00056506+0.0012431i,0.0014685+0.001222i,0.0016092+0.00039317i,0.0010547+0.0001899i,0.00011042+0.00034631i,-0.00051745-0.00069828i,9.0216e-05-0.001685i,0.00053526-0.0018879i,0.0011005-0.001372i,0.00089213-0.00059127i,0.00055837-6.4035e-05i,0.00067301+0.00048309i,0.00075595+0.00079693i,0.00096765+0.00079843i,6.037e-05+0.0011121i,-0.00029253+0.00067337i
