-0.00065902+0.00024617i,-0.00048356-0.00087427i,0.00010278-0.00093885i,5.7882e-05-0.0010834i,-0.00056827-0.00061087i,-0.00097007+0.00048206i,-7.8522e-05+0.0010376i,0.00078761+0.0012938i,0.001053+0.0011274i,0.0013132-7.9598e-05i,0.0011249-0.0010809i,0.00053757-0.00076547i,-0.00041693-0.00029732i,-0.00048252-0.00039489i,7.9492e-05-0.000238i,0.0011067+9.1726e-05i,0.001115+1.6954e-05i,0.00032059-0.00015748i,-0.00021461+9.2282e-06i,-0.00035354+0.00026672i,-0.00013444+0.00015973i,1.8098e-05-9.9452e-05i,0.00032952-0.0002647i
-0.00069586+0.00045778i,-0.00015684-0.000317i,0.00084819+0.00016915i,0.0004127+0.00080501i,-0.00024675+0.0011806i,-0.00033884+0.0010819i,0.0001034+0.00059057i,0.00015611+0.00033064i,-0.00059422+0.00017752i,-0.00059923-0.00034872i,-5.5247e-05-0.00019844i,0.00024036+0.00015969i,-0.00061107-8.7795e-05i,-0.00104-0.00032237i,-1.7056e-05-0.00011272i,0.00044103-0.0006298i,0.00028328-0.00091723i,-0.00014764-0.00046232i,-0.00046495-0.00025562i,-3.933e-05-4.5609e-05i,0.00050648+0.00010273i,0.00036387+0.00014591i,0.00027262-0.00021907i
-0.00086095-0.0023108i,-0.001158-0.0023065i,-0.0015143-0.0027213i,-0.0020069-0.0024726i,-0.0015938-0.00099873i,0.00018009+0.00048607i,0.00078039+0.0008516i,-6.8483e-05-0.00022246i,-9.2632e-05-0.0015255i,4.6212e-05-0.0012933i,-0.00076391-0.000363i,-0.001465+9.1672e-05i,-0.0012425-2.5457e-05i,-0.0011121+0.00010955i,-0.0011134+0.00035484i,8.0172e-05-6.2067e-05i,0.00014092-0.00017369i,-0.00079148+7.9223e-05i,-0.00030192-0.00014395i,0.00014442-0.00017256i,0.00015813-0.00027871i,-0.00016167-0.00085756i,-0.00018707-0.0012418i
-0.00058936+0.00060852i,0.00021455+0.00024166i,8.8822e-05-0.000645i,0.00027971-0.00039358i,0.00067567-0.00042297i,0.00015502-6.0239e-05i,-0.00046197+0.00042i,-0.00054261+0.00010916i,2.2618e-05+8.8315e-05i,0.00036954+0.00026992i,-0.00070627+0.00042731i,-0.0014337+0.00058071i,-0.0016632+0.00017244i,-0.0013718-1.1504e-05i,-0.00037136-4.2114e-05i,-0.00013868+0.00036635i,8.2915e-05+0.00052667i,0.000868-1.0435e-05i,0.00055462+0.00030445i,0.00045293+0.00074133i,9.2796e-05+0.00029692i,-0.00043176-3.0756e-06i,-0.00042497+0.00045345i
-0.0019948+3.6729e-05i,-0.0021885-2.9973e-06i,-0.0018426+0.00034999i,-0.0010211+0.00013368i,-0.00023958-4.7392e-05i,0.00030539+0.00012615i,0.00028761+6.7266e-05i,0.00024013+0.00016087i,0.0011142+0.00073924i,0.0012143+0.00087064i,0.00028362+0.00054865i,0.00043408+0.00033519i,0.00074924-6.1413e-05i,0.0002298-0.00047585i,0.00033636-0.00034932i,0.0013972-6.5885e-05i,0.0015155+0.00048098i,0.00026465+0.00089881i,-0.00063362+0.0012827i,-0.00067207+0.001282i,-0.00019497+0.00069042i,0.00059391+0.00086196i,0.00065554+0.00080473i
0.00058842+0.00088362i,0.00068276+0.00086035i,0.00059579+0.00052935i,0.00090899+0.00072561i,0.0010868+0.00067683i,0.0010478-0.00049532i,0.00060037-0.0007442i,0.00077996+0.0003046i,0.00034463+0.00091015i,0.0003173+0.00042359i,0.00051668-0.00026871i,0.00015744-0.00077657i,0.00028814-0.0004937i,0.00031424+0.00065465i,-0.00029938+0.0010293i,0.00012635+0.00021358i,0.0011016+0.00019441i,0.001225+0.00045533i,8.8856e-05+0.00019554i,3.7506e-05+0.00093735i,0.00030525+0.0006667i,0.00017621-0.0004454i,0.0002991-0.00022638i
0.0046573-0.00079429i,0.0046262-0.0016127i,0.0043904-0.0026031i,0.0026562-0.0022688i,0.00043867-0.00066169i,-0.00064233+0.00031207i,-0.0010656+0.00090575i,-0.00083406+0.00070207i,-0.00039771+0.00014801i,-0.00051109-0.00062899i,-0.00052668-0.0010223i,-0.00055298-0.00054029i,-0.00054422-0.00029926i,-0.00059004-6.5542e-05i,-0.00023039+0.00047342i,0.0002077+0.00050112i,8.2842e-05-0.00025369i,3.9347e-05-0.00013084i,7.7323e-05+0.0012677i,-1.9272e-05+0.00088455i,0.00067901+0.00035291i,0.00054294+0.00076472i,-8.5331e-05+0.00076845i
-0.0016568-0.0019911i,-0.0021208-0.0031026i,-0.0035479-0.0023924i,-0.0029252-0.00070433i,-0.001616+0.00052216i,-0.00019897+0.001287i,-4.4996e-05+0.0010155i,-0.00050358+0.0004578i,-5.1547e-05-9.1868e-05i,-0.0002103-0.00042433i,-0.0018904-7.4937e-05i,-0.0027089+0.00048004i,-0.0019083+0.00093729i,-0.0013442+0.00031496i,-0.0011083-0.00026075i,-0.00099155-3.2859e-05i,-0.00054286-0.00043109i,-0.00092371-0.00052381i,-0.0012831-0.00028896i,-0.00023578-0.00011379i,0.00033525-0.000222i,0.00022099-0.00029777i,0.00012089+0.00018486i
-0.00086963+6.3338e-05i,-0.0013401-0.00028177i,-0.0018496-9.7804e-05i,-0.0020233-0.00022286i,-0.0013768-0.0002956i,-6.0758e-05+0.00023029i,0.00062307+4.0596e-05i,0.00065854+0.00013684i,0.00072058+0.0001997i,0.00050332-0.00028249i,0.00037902-0.00067251i,0.00017349-0.00010838i,4.1845e-05+0.00044273i,-0.0001918+0.00036778i,-0.00046754+0.00041745i,-0.00092268+2.2585e-06i,-0.0010165+0.00014479i,-0.00039757+0.00064306i,-0.00046953+0.00066409i,-0.00078873+0.0001787i,-0.00068465-8.1499e-05i,-0.00025331-0.00016174i,0.00017852-0.00036284i
-0.0010324+0.00062342i,-0.0020867-0.00032527i,-0.0025567+0.00050523i,-0.0018983+0.0012866i,-0.0004526+0.00082311i,-0.00013485+0.00014148i,-0.00037992-0.00010552i,-0.00032824-0.00024385i,-9.9326e-05-0.00086271i,6.6966e-06-0.00089373i,8.8027e-05+0.00017671i,6.7607e-05+0.00045762i,-0.00011057-3.6298e-05i,0.00036316-0.00078542i,0.0004366-0.0008209i,-0.00027153-0.00080324i,-6.7815e-05-0.00029309i,0.00045228+0.00071592i,-0.00040808+0.00026448i,-0.0008682-0.00016582i,-0.0009395+0.0006694i,-0.00068903+0.00029196i,0.00039389-0.0004072i
-1.1063e-05+0.001568i,2.41e-05+0.00079051i,-0.00020169+9.3037e-05i,-0.00087064+0.00013862i,-0.0012184+0.00064761i,-0.00086464+0.00067535i,-0.00061902+0.00049788i,-0.00078331+0.00057864i,-0.00051795+0.0007858i,-0.00016808-0.00026586i,0.00044361-0.0011538i,0.00080952-0.0010092i,0.00018476-0.0012926i,-2.164e-05-0.00095552i,-9.0196e-05-4.4625e-05i,-3.3042e-06+0.00016945i,0.00034005+0.00035852i,0.00027911+0.00048931i,0.00018892+0.00066118i,0.0008315+0.00083345i,0.00066112+0.00051078i,-0.00037876-9.7029e-05i,-0.00016313-0.0010472i
-0.0022333-0.0016713i,-0.0015411-0.0020899i,-0.00093267-0.0016918i,-0.0004297-0.00052039i,-0.00088162+0.0016454i,-0.00068383+0.0026402i,0.00029809+0.0024044i,2.2954e-05+0.0019086i,-0.00070668+0.00090984i,-0.00089866+0.00026512i,-0.00094439+0.00023514i,-0.00095064+0.00013813i,-0.0011262-0.00022022i,-0.00059718-7.3988e-05i,-0.00027714+0.00025433i,-0.00015446-0.00020377i,-3.5098e-05-0.00023847i,-0.00049603-0.00028412i,-0.00060465-0.00043957i,-7.7712e-05+0.00018825i,-4.9935e-05+0.00068642i,-0.00050852+0.00090915i,-0.00074564-3.239e-05i
0.0020329-0.0016575i,0.0017384-0.0018004i,0.00137-0.002743i,0.0003512-0.0018878i,0.00022648-0.00025605i,0.00074857+7.4478e-05i,0.0010084-0.00028435i,0.0015631-0.00039771i,0.0017032-0.00040802i,0.00063369-0.00074347i,-0.00059849-0.00035899i,-0.00067989+0.00050778i,-0.00032355+0.00011854i,-0.0001055+0.0002649i,-0.00032204+0.0009678i,-0.0008205+0.00053201i,-0.00096175-1.0284e-05i,-0.00065907-0.00015796i,-0.0011382+0.00031681i,-0.001432+0.00049669i,-0.00073019-0.00016959i,0.00012862+0.00012831i,-0.00038917+0.00020042i
-0.0014767-0.0021335i,-0.0024281-0.0020226i,-0.0023354-0.0016502i,-0.0017142-0.00011215i,-0.0015204+0.00063714i,-0.00076355+0.00096473i,-0.0004+0.00027178i,-0.0010231-0.0013325i,-0.00015448-0.00155i,0.00051236-0.00086514i,9.9907e-05-0.00017826i,8.4028e-05+0.00056671i,0.00031423+0.00060432i,-9.6531e-05+0.00033966i,-0.00069424+0.00026255i,-0.00014261+0.00040331i,-3.0163e-05+0.00049078i,-0.00055607-7.0256e-05i,-0.00028186-0.00086041i,-0.00018158-0.00063282i,3.2018e-05+0.00084521i,0.00025277+0.0010702i,-0.00015798+0.00069788i
-0.001168-0.00106i,-0.00048215-0.00037859i,-0.0011906+0.00048919i,-0.0023355-0.00043451i,-0.0017475-0.00084144i,-0.00069287+0.0003808i,-0.00016959+0.0006627i,-0.0005774-5.1748e-05i,-0.00081176-0.00051878i,0.00019186-0.00070913i,0.00055144-0.00039635i,0.00030293-0.00012848i,-0.0003082-0.00035186i,-0.00076403-0.00012169i,-6.8086e-05-0.00030725i,0.00043352-0.0012506i,-0.00018231-0.00076373i,-0.00076489-0.00011101i,-0.00066288+0.00021912i,-0.00024494+0.0010601i,-0.0002094+0.0014915i,-0.00060242+0.00076016i,-0.0010268+0.00010024i
-0.00024443-0.0004854i,-0.0011877-7.7663e-05i,-0.0016135+4.8775e-05i,-0.00084712+0.00046605i,-5.6835e-05+0.0014907i,0.00064119+0.00058178i,4.2768e-05-0.00038199i,-0.00074129-0.00020471i,-0.00078553-0.00023861i,-0.00052432-0.00032353i,0.00010597-0.00026994i,0.00013099-0.00041148i,-0.00036446-0.00086703i,-0.00071142-0.00055693i,-0.00018764+0.00029767i,0.00056917+0.00037077i,0.00062071+0.00034394i,0.00034909+0.00015138i,-0.0001139+6.4526e-05i,-0.00041836+5.2296e-05i,0.00016187-0.00011989i,0.00038009+0.00023428i,-0.00010839+0.0001108i
0.0010035+0.0019547i,0.00086821+0.001455i,0.0011888+0.00088144i,0.00024059+0.00020345i,0.00081937+0.00036187i,0.0010414+0.00085999i,0.00019511+0.0007896i,0.00029842+0.00042708i,0.0005914+0.00071803i,-0.000164+0.00038794i,-0.00052299-0.00051681i,-0.00071443-0.00067457i,-0.00054709-0.00060467i,0.00068121-0.00011618i,0.0010811+0.00045153i,0.00081209+0.00020644i,0.00083962+0.00025078i,0.00097814+0.00076719i,0.00089161+0.00040622i,0.0012206+0.00031596i,0.0013827+0.00050919i,0.00088485+0.00015711i,-0.00021067-0.0001722i
0.0013304+0.00031696i,3.1919e-05+7.5154e-05i,-0.00057933+0.00077261i,-0.00051029-0.00011987i,-0.00046544-0.00033278i,-0.00010666+0.00014942i,2.6227e-05-0.00052499i,0.00064608-0.00059839i,0.0015041+0.00035944i,0.00034686-0.00018456i,-0.00040203-0.00082119i,-0.00030291-0.00025415i,-0.00066149-0.00017818i,-7.2877e-05-0.00033893i,0.00066787-0.00038219i,0.00067696-0.00036263i,0.00036175+0.00035405i,0.000361+0.0012495i,5.3789e-05+0.0013672i,-0.00076712+0.00068275i,-0.0010313+0.00042541i,-0.00041005+0.00088127i,0.00011015+0.0008724i
0.0002811-0.0021825i,0.00019067-0.0026614i,-0.0015464-0.0027651i,-0.0024587-0.0011886i,-0.0012729+0.00030241i,0.00051153+0.0015959i,0.00049446+0.0013566i,0.00017152+0.00085241i,0.00020205+0.00058855i,0.00032895-0.00011703i,0.00049543-4.2344e-05i,0.00013564+0.00019531i,-0.0004733+0.00043845i,-0.0011525+0.0010372i,-0.00076235-3.7262e-05i,-0.00054202-0.0018608i,-0.00037292-0.00088559i,0.00014725+0.00040759i,0.0004809+0.00032621i,0.00018406-0.00032394i,-0.0003886-0.00045022i,-0.00036678-9.4525e-05i,4.2217e-05-0.00036224i
-0.0025541+0.0018252i,-0.0020719+0.0013348i,-0.0026696+0.00023454i,-0.0015818+0.00051669i,0.00039522+0.0009981i,0.00091716+0.0003231i,-5.4553e-05+0.00032264i,-0.00077918+0.0005904i,-0.0002422+0.00020941i,0.00025113-0.00068712i,0.00072402-0.00068066i,0.00024053-0.00020933i,-0.00044167-3.1118e-05i,-0.00095066+7.326e-05i,-0.0016207+0.00019948i,-0.0015149+0.00043476i,-0.0011704+0.00067825i,-0.00027724+0.00059967i,0.00024253+0.00071492i,-0.00029904+0.0013712i,-0.00052097+0.00091673i,-0.00010811-0.00037204i,0.00014675-0.00051005i
-0.00052628+0.0013197i,-0.0016154+0.00082414i,-0.0020951-0.00088232i,-0.0015037-0.0010756i,-0.00037611-0.00070986i,0.0004419-0.0005998i,0.00031544-0.00031792i,-0.0007321+0.0004408i,-0.0010777+0.00031367i,-0.00043018-0.00048013i,0.0001999-0.001174i,0.0001555-0.001205i,-0.00049901-0.00062073i,-0.00082742-9.6442e-05i,3.7822e-05+0.00047628i,0.00048415+0.0001327i,-0.00036718-0.00050925i,-0.00070283-2.9728e-05i,-8.0557e-05+0.000445i,0.00068043-2.0348e-05i,4.1875e-05-0.00012042i,-0.00102-0.00043005i,-0.00092356-0.00076952i
0.001262+0.00026501i,0.00095634-0.0001428i,0.00093924-0.0010212i,-3.8015e-05-0.0014964i,-3.4425e-05-0.0011046i,0.0006149-0.00019809i,0.00048722+0.0011828i,0.00037058+0.0016951i,0.00039559+0.00076165i,2.8291e-05-0.00030855i,-0.00021352-0.00078621i,-0.0001405-0.0017346i,0.00013817-0.0019443i,0.00066774-0.0013716i,0.00045881-0.00074587i,0.00013723-0.00010515i,0.0002884+0.0003355i,0.00068328+0.00047705i,0.00072746+0.00048138i,0.00068379+2.7293e-06i,0.00057759-3.667e-05i,-0.00020889+4.4272e-05i,-9.7617e-05-0.00014953i
0.0010591+0.00096553i,0.0011111+0.00088007i,0.00057888+0.00077853i,0.00010728+0.0003984i,-0.00014345+7.4765e-05i,0.00053906-4.385e-05i,0.00077993-0.00023296i,0.00085245-0.00046397i,0.0011617-0.00031045i,0.0010349-0.00039026i,0.00070152-0.00021738i,0.00052261+0.0002697i,0.00030779+0.00082719i,-0.0001171+0.00033514i,-0.00075467-1.58e-05i,-0.00075635+0.00035096i,-0.00050677+0.00062504i,-0.00075567+0.00069766i,-0.0011319+0.00035558i,-0.00042629+0.0004854i,-0.00010995+0.00067126i,-0.00014823-6.7416e-05i,5.6184e-05-0.0006544i
-0.0016631-0.0016003i,-0.0019421-0.0018714i,-0.0021759-0.0020978i,-0.0014883-0.0010662i,-0.00071613+0.0001571i,9.9683e-07+0.00070413i,0.00044856+0.00035055i,0.0003615+9.0859e-06i,0.00030247-0.00053171i,0.00018264-0.00039505i,0.00024691+8.6606e-05i,0.00062846+0.00081102i,3.3708e-05+0.00041455i,-0.00063905+0.00010397i,-0.00082416+0.00062198i,-0.0011501+0.0004716i,-0.00096582-0.00032234i,-0.00098573-0.00048525i,-0.00088929-0.00023019i,-0.00021973+3.607e-05i,0.00031613+3.3118e-05i,8.7723e-05-0.00058553i,-4.89e-05-0.00065096i
0.0015719-0.00061424i,4.9345e-05-0.0013219i,-0.00025969-0.0020368i,-0.00010937-0.0010805i,-0.00040653+0.00053612i,-0.00019106+0.0003219i,0.00010454-0.00014833i,-0.00017219-6.2751e-05i,-0.00041973-0.00011408i,-0.00059581-0.00046682i,-0.00092499-0.00061609i,-0.00071732-0.00066702i,-0.00055581-0.0001625i,-0.00015472+9.5335e-05i,7.4501e-05+0.00018542i,-4.8388e-05+0.00024388i,0.00046166-8.5868e-05i,0.00042359+0.00026549i,-0.00025457+0.00042788i,-0.00033786+0.00012395i,0.00049389+0.00030626i,0.00081508+3.6319e-05i,0.0005038+9.9321e-05i
-0.00098967-0.00020176i,-0.0018847-0.00031648i,-0.0026789-0.00056149i,-0.0017951-0.00020372i,-0.00016005+0.0001929i,0.00063667-4.878e-05i,0.00049343-0.00015903i,0.0003119+9.6424e-05i,-0.00036171-5.7129e-05i,-0.0010718-0.00062261i,-0.00084542-0.00041994i,-0.00029909+0.00021867i,-0.00106+0.00048214i,-0.0010019-0.00012023i,-0.00021182-0.00028923i,-2.5346e-06+8.4632e-05i,0.00025693-8.7857e-05i,0.00085919-9.7372e-05i,0.00072283-0.00010839i,0.00071739+5.1318e-06i,0.0010421-0.00016504i,0.00084982-0.00019701i,0.00050913+0.0006853i
0.0014386-0.0019058i,0.00037492-0.0020799i,-0.00057736-0.0010965i,-0.001156-0.00023021i,-0.0011692-0.00017719i,0.00040484+0.00018812i,0.0014319+0.00077708i,0.00075852+0.0011259i,-0.00015047+0.00087372i,0.00025652+9.1356e-05i,8.4885e-05-0.00022809i,-0.00065735-0.00049864i,-0.00088353-0.001022i,-0.00048706-0.00080973i,-0.00028726-0.00039119i,-0.00081054-0.00043541i,-0.00086835-0.0004842i,-0.00029767-0.00035957i,0.00029137+1.9013e-05i,0.00047506-0.00010852i,-0.00038679-0.00061598i,-0.0011564-0.00043155i,-0.00038337-0.00034896i
-3.087e-05+0.001814i,-0.00050332+0.0014149i,-0.00036515+0.0018374i,-0.00018224+0.0023848i,0.00033733+0.001963i,0.0012317+0.00091089i,0.0011773+0.00048582i,0.00084203+0.00047551i,0.00072585+0.0011795i,0.00063992+0.0016108i,0.00068577+0.00064172i,0.0014367-0.00085896i,0.0016282-0.001224i,0.00052604-0.00063769i,-6.2304e-05+8.182e-05i,0.00034607+0.00070826i,0.00044705+0.00029423i,4.3506e-05+0.00019389i,2.7705e-06+0.00053631i,0.00024137+0.00013242i,0.00013722+9.0781e-05i,-4.3863e-05+0.00038216i,-0.00044725+0.00029233i
-0.00044235+0.0017658i,0.00053908+0.0011118i,0.0008287+0.00054792i,0.00045505-0.0005935i,1.6649e-05-0.0010686i,-0.0005164-0.00071966i,-0.0009571-0.00062022i,-0.00056032+0.00039683i,6.635e-05+0.0012855i,0.00047721+0.0010732i,0.00030845+5.2344e-05i,-0.00074848-0.0011366i,-0.00097317-0.0014447i,9.1489e-05-0.00099234i,0.00028105-0.00072659i,-0.00025028-0.00093309i,0.00013492-0.00028509i,0.00094266+0.00035105i,0.0010962+0.0001492i,0.00080238+1.7633e-05i,0.00057862-0.00014468i,0.00017139-9.1772e-05i,-1.529e-05+0.00051281i
-0.00050696+0.00016786i,-0.00055542-0.00011727i,-0.0015619+3.1166e-05i,-0.0020801+0.00064096i,-0.00079842+0.00036003i,0.0002919+0.00050412i,-0.00020332+0.00088664i,-0.00036938+0.0002569i,-0.00012054-0.00049518i,-0.00018071-0.00078402i,-0.00040058-0.00067009i,-0.0010638-0.00036466i,-0.0012313-0.00023258i,-0.0013041-0.00061612i,-0.0011652-0.00056156i,-0.00034602+4.4492e-05i,-0.0001221+0.00065538i,-0.00078377+0.0013068i,-0.00055418+0.0018352i,-0.00024505+0.00042055i,-0.0006873-0.00018037i,-0.0010483+0.000365i,-0.00011249+0.00023392i
0.0011155-0.00093909i,0.001235-0.00049453i,0.0011536-0.0011103i,0.00047666-0.0018343i,5.4515e-05-0.0011644i,0.00010869-0.00044749i,-8.6779e-05-0.00064321i,-0.00037605-0.0010677i,-0.00049772-0.0011543i,-0.00086357-0.0010772i,-0.00095924-0.00081265i,-0.00069388-2.8903e-06i,-0.00054495+0.00022086i,-0.00063629+0.00034979i,-0.00016807+5.7568e-05i,0.00021013-0.00050818i,0.00056638-0.0008913i,-1.642e-05-0.00070277i,-0.00038545-0.00030427i,0.00023632+0.00037417i,0.00028819+0.00093602i,0.0003112+0.00084841i,5.3807e-05+0.00041079i
-0.0014895-0.00092267i,-0.0010219-0.00069455i,-0.0019865+0.00016068i,-0.0022803-0.00019679i,-0.00099265+0.0002942i,0.00078331+0.00042371i,0.001383-0.00022754i,0.00078745-0.00032929i,0.00028513-0.00051319i,0.00014382-0.0004303i,-0.00027789+0.00010542i,-0.00025522+0.00049853i,0.00095408+0.00017625i,0.00083405-3.4952e-05i,-0.00024568+0.00075736i,-0.00068677+0.00093219i,-0.00027011+0.00089639i,3.3767e-06+0.00098581i,-0.00047253+0.00043499i,-0.00059022+0.00033821i,-0.00039059+0.00080971i,0.00022536+0.00065897i,6.3228e-05+0.00012137i
-0.0026917-0.0020276i,-0.0016893-0.0026315i,-0.0031531-0.0019499i,-0.003686-0.00070228i,-0.0016212+3.228e-05i,0.00084673+0.00040956i,0.0010288+0.0006539i,0.00010107+0.00081861i,-0.0005802+0.00063003i,-0.00079653+0.00084372i,-0.00061881+0.00081654i,-0.00088574-0.0001373i,-0.0010449-0.00099255i,-0.00022195-0.00091007i,0.00019107-7.1098e-05i,-0.0002808+0.00044279i,-0.00080451-0.00018861i,-0.00091793-0.00038633i,-0.0007096-0.00013712i,-0.00067036+0.00014441i,-6.6148e-05+0.00048746i,-0.0003305+0.00062832i,-0.00073182+0.00043037i
0.00053348-8.5708e-05i,-0.00027485-0.00036686i,-0.00078652-0.0016956i,-0.00069349-0.0018536i,-0.00029697-0.0010156i,-8.8442e-05+0.00023128i,0.00064105+0.00041918i,0.0010885+9.5075e-05i,0.00052859+0.00043068i,-0.00060083+0.00015119i,-0.00026902+8.3035e-05i,-0.00035232+5.5179e-05i,-0.00074317-0.00037803i,-0.00019253-0.00010969i,-2.9762e-05+0.00027292i,0.00010343+3.202e-05i,8.3663e-05+8.4241e-07i,-0.00069277+0.00022148i,-0.0011976+0.00033707i,-0.0011398+0.00057483i,-0.00060906+0.0010238i,6.6058e-06-0.00033496i,0.0008009-0.0014451i
-0.0019614+0.00051847i,-0.0017631+5.7596e-05i,-0.0014254-5.9515e-05i,-0.0012881-0.00012877i,-0.001221-0.00029813i,-0.00037293+0.00011958i,-0.00079151+0.00044274i,-0.00062582-0.00042206i,0.0012744-0.00048248i,0.0012353-0.00036921i,-1.3187e-05-0.00097819i,-0.0010773-0.00087215i,-0.0014905-0.00021301i,-0.00049605+0.00013387i,0.00070383+0.00019684i,0.00064368+5.3152e-05i,0.00021474-0.00047324i,0.00035745-0.00019628i,0.00048289+0.0007707i,0.00040469+0.00069119i,0.00031012+0.00057983i,0.00045646-0.00022122i,7.8661e-05-0.0010576i
-0.0014292+0.0014122i,-0.00044666+0.0019787i,-0.0011984+0.0019412i,-0.0010847+0.0018994i,0.00026926+0.0018906i,0.0011816+0.0010973i,0.00061029+0.00027157i,0.00042681-0.00060439i,0.00048797-0.0017345i,-0.00039325-0.0016729i,-0.00073578-0.00089475i,-0.00012371-0.0004197i,0.00023274+1.4682e-05i,-0.0001351+0.00026056i,-0.00012333+0.000223i,0.00012278-5.3819e-05i,0.0010732-0.00040286i,0.0012216-0.00021189i,0.00031844-0.00035745i,-0.00026091-0.001039i,-0.00068214-0.00080746i,-0.00091906-0.00046851i,-0.0010743-0.00051629i
0.0011353+0.0005643i,0.0012806+0.00038429i,0.00091091+0.00014834i,0.00069893-0.00013516i,0.0010935-0.00033078i,0.0010038-1.6293e-05i,-1.0834e-05+6.5007e-05i,-0.00083708+0.00013256i,-0.00072793+0.00036572i,-0.00018309-3.5616e-05i,0.00013737+0.00049891i,0.00044001+0.00075217i,0.0010729+0.00023971i,0.0014996+5.7486e-06i,0.00091576-0.00071535i,8.4567e-05-0.00083625i,-0.00027255-0.00059014i,-0.00048044-0.0013398i,-0.00083541-0.0013062i,-0.00043754-3.6776e-05i,0.00010812+0.00050014i,3.2533e-05+0.00012996i,-0.00017657+4.4405e-05i
0.0022486-0.0018297i,0.0017647-0.0021703i,-0.00016615-0.003473i,-0.0014986-0.0028012i,-0.0012304-0.00037858i,-0.00025486+0.00019778i,-0.0001001+0.00050186i,-0.0010686+0.00054244i,-0.0012649-0.00030035i,-0.0011893-0.00075318i,-0.0012348-0.00041672i,-0.00060404-0.00077868i,-9.0617e-05-0.0023286i,-0.00042576-0.0015837i,-0.00087592+0.00014842i,-0.00086177+0.0002063i,-0.00099449-0.00021483i,-0.0013409+0.00044755i,-0.00085386+0.0004707i,-0.00016345-0.00019113i,-9.2548e-05-0.00025131i,0.00034173+0.0004389i,0.00028726+0.00059562i
-0.00086408+0.0019681i,-0.0010715+0.0016875i,-0.00011133+0.0024121i,4.0746e-05+0.001964i,0.00059492+0.0014291i,0.0010727+0.00098035i,0.00022899+0.00045351i,-0.0001256+0.0011898i,0.00056993+0.0021809i,0.0011262+0.00074093i,0.0014532-0.00078814i,0.00086029-0.00057465i,-0.00059715+0.00030077i,-0.0014344+0.00060663i,-0.0014825+8.7198e-05i,-0.0011002-0.00017489i,-0.00082723+0.0010112i,-0.000509+0.0018378i,0.00019778+0.0012372i,0.00032501+0.00084656i,0.00069098+0.00027901i,0.00095392-0.00022143i,0.00051835+0.00016202i
-9.3484e-05-0.004193i,-0.00059434-0.0039974i,-0.0011238-0.0047175i,-0.0018257-0.0031666i,-0.0016187-0.00034132i,0.00027957+0.0013711i,0.0010701+0.00093982i,0.00082216+0.00020191i,0.0010507-0.00051649i,0.00050527-0.0012458i,-0.00021471-0.0012587i,-0.0014581-0.00023921i,-0.0024172+0.00012907i,-0.0020595+0.00045267i,-0.00072086+0.00074327i,-1.7083e-05+0.00041848i,0.00044419+0.00022361i,0.0012118+0.00022107i,0.0013388+0.00020492i,0.00084473+0.0001083i,0.00042297-0.00033385i,0.00011945-8.8264e-05i,-0.00035803+0.00040493i
0.001813+0.0034129i,0.0016751+0.003075i,0.0018871+0.0026385i,0.0021239+0.0015172i,0.0028816+0.0010268i,0.0017065+0.00010918i,0.00049921-0.0011215i,0.00055804-0.0014455i,0.0013453-0.0020118i,0.0018037-0.002443i,0.0013994-0.0015119i,0.00088795-0.00041065i,0.00068093-4.8715e-05i,0.00082689+0.00010277i,-0.00021885+0.00019014i,-0.0011119+0.0001243i,-0.00063037-0.00039495i,-2.9724e-05-0.0012915i,9.8851e-05-0.0014326i,0.00043644-0.00096305i,0.00091379-0.0010056i,0.00067047-0.00060802i,0.00012632+0.0001148i
-0.0036292-0.00069507i,-0.0040817-0.0010787i,-0.0057738-0.0014305i,-0.0053778-0.00059585i,-0.0031011+0.00076765i,-0.0012032+0.0014719i,-0.00026345+0.00058792i,-0.00023031+0.00011253i,-0.00038915-1.4837e-05i,-0.00055333+0.00076976i,-0.00091955+0.0013595i,-0.00051124+0.00080483i,5.1514e-05-0.00011406i,-0.00018748-0.000807i,-0.00023391-0.00093803i,-0.00022595-0.00096446i,-0.00027057-0.00041782i,-0.00051026+6.3783e-05i,-0.0007628-0.00030544i,-0.00095477+0.00013237i,-0.0012877+0.00051032i,-0.00071418+0.00054903i,0.00059423+0.00022034i
0.0016672-0.00095497i,0.00093031-0.0020183i,0.00013748-0.0027596i,0.00033182-0.0025228i,0.00044159-0.0020107i,-0.00031712-0.00046568i,-7.8562e-05+0.00064419i,1.5895e-05+0.00034843i,-0.0005096+7.3931e-05i,-0.00034942+0.00086822i,-0.00038264+0.0012044i,0.00012903+0.00034714i,0.0010983-0.0010254i,0.00066822-0.0016954i,-7.2696e-05-0.0013105i,-0.00078236-0.00026708i,-0.0010342+2.0102e-05i,-0.0011709+0.00038078i,-0.0016011+0.00066916i,-0.00073268+0.00039135i,0.00025236+0.0001572i,0.00010648+0.00030054i,-0.00010012+0.00054579i
