-0.0025002+0.00259i,-0.0033279+0.0020477i,-0.0028348+0.0014253i,-0.00087372-2.2254e-05i,-0.0002618-0.00075325i,0.00014573-4.8074e-06i,0.0006928+8.7589e-05i,0.00080488-9.6406e-05i,0.00082022-0.00039483i,0.0010335-0.001025i,0.0010655-0.00056662i,0.00078544-0.00013821i,0.00029918+0.00010385i,0.00026673+0.00061567i,-0.00023439+0.0004438i,-0.00038286-0.00047651i,-0.00035277-0.00042058i,-0.00094703+2.9161e-05i,-0.0011382+0.0004929i,-0.0007768+0.00012784i,-0.00042492-0.00025354i,-0.00086885+4.9107e-05i,-0.00070358+0.00033169i
-0.00044816-0.0030868i,0.00010766-0.0034388i,0.00025666-0.0028886i,0.00021716-0.0015284i,0.00074508-0.0011616i,0.0011612-0.00032836i,0.0014185-4.9493e-05i,0.0012184-0.00088462i,0.00044121-0.0016919i,-0.00079235-0.00152i,-0.0015982-0.00079993i,-0.00075066-0.00066069i,-0.00012823-0.0005925i,-0.00029824-0.00018475i,-9.5692e-05-1.5049e-05i,0.00040261+0.0003858i,-4.4357e-06+0.00042116i,-0.0009532-0.00041336i,-0.0010806-0.00010259i,-0.00035282+0.00066807i,-0.00032674+0.00070939i,-0.00056054+0.00070096i,-0.00011447+0.0002933i
-0.0017059+0.0039103i,-0.0012019+0.0034602i,-0.00034676+0.0029976i,0.0010704+0.0021021i,0.0015656+0.00034259i,0.0009529-0.00099841i,0.00048906-0.0011241i,-0.00018533-0.00071471i,-0.00012082-0.00080976i,-9.1691e-05-0.00096019i,-0.00026402-0.00075002i,0.00021581-0.0012713i,0.0003278-0.0010035i,7.0209e-05-0.00036372i,0.00075317-0.00040307i,0.0016716-0.00028824i,0.0011517-0.00034715i,0.00051931-0.00071761i,7.9147e-05-0.00050066i,-2.5888e-05-0.00020729i,0.00013609-7.9299e-05i,7.4404e-05+0.00027311i,-3.2716e-05+0.00045089i
0.00065179-0.0013687i,0.00019448-0.0011855i,0.00080459-0.0011701i,0.0010562-0.0017379i,-9.275e-06-0.0014559i,-0.0002697-0.00046118i,0.00087126-0.00016383i,0.00074513+3.0312e-05i,9.4325e-05+0.00061613i,-4.0491e-05+0.00070723i,-0.00075772-0.00019981i,-0.0014172-0.00079184i,-0.0016774-0.00086059i,-0.0013195-0.00096413i,0.00011664-0.00088211i,0.00085286-0.0012193i,-0.00014967-0.0010695i,-0.0003972-0.00017064i,0.00046304+0.00018575i,0.00075576-0.00023449i,0.00054554-0.00013339i,0.00039904+0.00016124i,0.00014938-9.8913e-05i
0.000879+0.0012705i,0.0020632+0.0017504i,0.0022788+0.0020932i,0.0020668+0.0010569i,0.0015625+0.00018806i,0.002107-0.00013461i,0.0021997-0.00061028i,0.0010592-0.00039478i,-0.00028444-0.000361i,-0.001137-0.00074171i,-0.00096126-0.00095479i,-0.00077921-0.0010786i,-0.00058146-0.00093741i,-0.00042035-0.0008338i,-0.00059728-0.00089879i,-0.00075095-0.00055644i,8.0979e-06-0.00034551i,0.00023255-0.0007311i,-0.00011412-0.00054021i,-0.00010783-0.00011495i,-0.00010678-9.6995e-05i,6.2931e-05-0.00045045i,0.00011928-0.00056541i
-0.00087668+0.0017054i,0.00081424+0.0014359i,0.002254+0.0013841i,0.0021688+0.00015837i,0.0017908-0.0014554i,0.0011334-0.002124i,0.0011634-0.0018252i,0.0015364-0.0010304i,0.0012541-0.0016627i,0.0001211-0.0023296i,0.00031551-0.0012642i,0.00017651-0.00064764i,-0.001135-0.0011293i,-0.0011696-0.00035497i,-0.00064262-6.6252e-06i,-0.00083703-0.0011877i,0.00024027-0.0010155i,0.0013144-0.00016396i,0.0009697+0.00020298i,0.00080561+0.00017608i,0.00082806-0.00015536i,0.00074602+0.00034964i,0.0004504+0.00095506i
-0.0011542-0.0037004i,-0.00053221-0.0036732i,-0.00059781-0.0027965i,-0.0016242-0.0012116i,-0.0023959-0.00013808i,-0.0015546+0.00073665i,0.00037543+0.0012892i,0.0011015+0.00041196i,0.0006665-0.0013553i,0.00038009-0.0012724i,0.00033982+0.00023304i,0.00049426+0.00066825i,0.00061634+0.00066894i,-0.00023483+0.00062807i,-0.00088291+0.00015985i,-0.00047844-3.697e-05i,0.00033586-0.00019505i,0.00046669-7.2918e-05i,6.4465e-05-0.00018514i,0.00010965-0.00049909i,-8.5001e-05+0.00027324i,4.5798e-06+0.00037675i,0.00012889-0.0003542i
0.00092915+0.0011846i,0.0011661+0.0023209i,0.0010788+0.0035969i,0.00087705+0.0028641i,0.001439+0.00041505i,0.0027711-0.00080894i,0.0024365-0.00048315i,0.00079178-0.00021722i,-0.00040543-0.00041323i,-0.00069032-0.00067198i,-0.00046357-0.0010323i,-0.00016413-0.00071776i,0.00017148-0.00013031i,0.00053522-0.0001762i,0.00069381-0.00025991i,0.00052902+0.00038232i,0.00029846+0.0010391i,0.00016088+0.0012809i,2.7405e-05+0.00061233i,-0.00037862+0.00055557i,-0.00038565+0.00091094i,-5.3242e-05+0.00069918i,-0.0001057+8.8751e-05i
-0.0016583+0.0013049i,-0.00058188+0.0013356i,0.00012306+0.0012033i,0.0011816+1.0907e-05i,0.0010496-0.0011641i,0.00017233-0.001586i,0.0003714-0.0010317i,0.00030021-0.0010643i,-0.00030139-0.0013482i,-0.00045543-0.0011369i,-0.00056626-0.00062073i,-0.00022685-0.00012423i,-1.0344e-05-0.00022381i,0.00040971-0.00073731i,0.00058633-0.00069751i,0.00024176-8.5148e-05i,-3.9793e-05+0.00017052i,0.00034238+0.00029592i,0.0010422-0.00037191i,0.00083126-0.0005889i,0.00038485-0.000387i,0.00026411-0.0006299i,2.9768e-07-0.00095268i
0.0002222+9.5775e-05i,3.5147e-05-3.4696e-05i,0.0011751+0.00040823i,0.0014269-0.00049713i,0.0011866-0.00073091i,0.00047278-0.00091924i,0.00039711-0.0011129i,0.0013723-0.00043364i,0.0010528-0.00044264i,0.00029067-0.00055085i,0.00053249-9.6699e-05i,0.00092553-5.1019e-05i,0.00053317-0.00050505i,0.00047087-0.00042537i,0.00082312-0.00057352i,0.00066651-0.00061988i,0.0003605-0.0004967i,1.6894e-05-0.00072361i,8.3597e-05-0.0007637i,8.8527e-05-0.00011353i,-0.00034088+0.00025333i,-0.00057909-0.00015325i,-6.9661e-05-0.00056545i
-8.6331e-05+0.0017851i,-0.00068509+0.0011264i,-0.00038861+0.0012026i,0.001169+0.00075036i,0.0015029-0.0014366i,0.00079809-0.0024835i,0.0008605-0.0010668i,0.0015211+0.0010239i,0.0014931+0.00064322i,0.00028275-0.0001113i,-0.00038916-0.00011406i,-6.4368e-05-8.9607e-05i,-0.00023812+0.00071319i,-0.00059512+0.00062558i,-5.2769e-05+0.00046752i,0.00034264+3.0534e-05i,-0.00039223-3.6685e-05i,-0.0011597+0.00056723i,-0.00099105+0.00088396i,-0.00073285+0.00071161i,-0.00067325-0.00014052i,-0.00032719+8.7163e-06i,0.00015807+0.00050267i
0.0012255+0.00051866i,0.00074425+0.0005494i,0.00074902+0.00049881i,0.00066478+0.00044133i,0.00016364-0.0011122i,-0.00011147-0.0015408i,0.00046956-0.00016868i,0.0012321-0.00059908i,0.0005109-0.0023918i,-7.0441e-05-0.0020899i,9.6086e-05-0.0015664i,3.5169e-05-0.0010721i,4.1019e-05-0.00030826i,0.00048824-0.00057669i,-0.0002658-0.00058455i,-0.0010069-0.00033948i,-0.00076436-0.00087852i,-0.0004279-0.00063113i,8.9757e-06-2.9826e-06i,-0.00044825+0.00034719i,-0.0009377+0.0006891i,-0.00047571+0.00052738i,-0.00030256+0.00029357i
0.0020223-0.00072117i,0.0017767-0.0010632i,0.0031909-0.0012368i,0.0035938-0.00097106i,0.0017712-0.00062308i,0.00077008+0.00011141i,0.00081428+8.1102e-06i,0.00087926-0.0013075i,0.00079115-0.0022604i,0.00025427-0.0016949i,-0.00038082-0.00077509i,-0.001133-0.00042038i,-0.0013496-0.00038596i,-0.00032938-2.3411e-05i,0.00049181+0.00094609i,9.8115e-05+0.00074369i,-0.00050859+0.00021926i,-0.00073035-0.00010276i,-0.00027202-0.00026811i,0.00032328+8.1801e-05i,0.00062834-0.00025571i,0.00093898-0.0012225i,0.0010122-0.0016684i
-0.0019543+0.0026989i,-0.0017079+0.0035068i,-5.9861e-05+0.0039845i,0.0010378+0.0023484i,0.0013253+0.00043072i,0.001043-0.00015239i,-2.3159e-05+0.00054152i,-0.00070824+0.0002504i,-0.0010615-0.00094465i,-0.00079008-0.0010682i,3.0836e-05-0.00079784i,0.00042386-0.0005301i,0.00056956-0.0002316i,0.00075496-0.00033015i,0.0012282-0.00068442i,0.0010926-0.001082i,0.00010033-0.0012287i,-0.00033835-0.0013663i,-0.00035308-0.00036976i,0.00014371+8.4427e-05i,0.00053498-0.00013871i,0.00092858-0.00017698i,0.0017249+1.4109e-05i
0.0044361-0.0031744i,0.004515-0.00231i,0.0040502-0.0034772i,0.0024348-0.0036927i,0.00027434-0.0034772i,-0.00062543-0.0014372i,9.9026e-06-7.7739e-05i,0.00064083-0.00075706i,-0.00020568-0.0011609i,-0.00093066-0.0011036i,-0.00080424-0.00068184i,-0.00089131-0.00048612i,-0.0011428-0.00083465i,-0.0012472-0.0010444i,-0.0011036-0.00096426i,-0.00025579-0.00068004i,0.000354+0.00017168i,0.00021199+0.00045279i,0.00060567+0.00029769i,0.0010318+0.00059732i,0.00093785+4.0758e-05i,-4.6858e-05-0.0007045i,-0.00075994-0.00030768i
-0.0014523-0.0022104i,-0.0019912-0.0026269i,-0.0023876-0.0021625i,-0.0026311-0.0017721i,-0.0015234-0.00067063i,5.8496e-05+0.00098359i,0.00059824+0.0014181i,0.0002964+0.00059696i,1.7154e-05-0.00034373i,-0.0011038-0.00028831i,-0.0014447+0.00033761i,-0.00079811+0.00035134i,-0.00045856-0.00070694i,-2.5657e-05-0.0011147i,0.00028211-0.0010347i,0.00076922-0.00041848i,0.001197-0.00013726i,0.00088058-0.0003196i,0.00039229-0.00060012i,-2.2043e-05-0.00082855i,-3.3664e-05-0.00046682i,-0.00030194-0.00059832i,-0.0010481-0.00052631i
-0.00055961-0.00052276i,-0.0013143-0.0007691i,6.4925e-05+0.00043657i,0.00038563+0.0010458i,0.00038791+0.00058367i,0.0010687-6.4506e-05i,0.00073552+0.00018144i,0.00034603+0.0003228i,0.00086648+0.00059784i,0.00035018+0.00083774i,0.00020289+0.00037153i,0.00087703-0.00011656i,0.00018903+0.00048062i,-0.00014229+0.00093502i,-0.00037886+0.00051628i,-0.00030487+0.0001281i,-0.00021227+0.0001852i,-0.00037929+3.2564e-05i,0.00019413+0.00022138i,0.00080231+0.00063334i,0.00039615+0.0001505i,0.00025298-0.00070569i,0.00047606-0.00069198i
0.0010069-0.0015938i,0.0010941-0.0018353i,0.0017083-0.0010495i,0.0015682-0.0010613i,0.0012054-0.0017155i,0.00083431-0.0017496i,0.0005153-0.0011182i,0.00032166-0.0011183i,0.00054905-0.0014871i,0.00086471-0.0014691i,0.0010368-0.00098385i,0.00093484-0.00054419i,0.00019311-0.00059927i,-2.4093e-06-0.0005824i,-6.4083e-05-0.00049795i,-7.2851e-05-0.00031217i,1.0826e-05-0.00090649i,-0.00058811-0.0012856i,-0.0010986-0.00053076i,0.00014063+0.00059955i,0.00082689+0.0011228i,0.00088925+0.0007601i,0.0010141+0.00031421i
-0.00091698-0.0021954i,-0.00088595-0.0022476i,-0.0010012-0.0024773i,-0.00055983-0.0013612i,-0.00061333-0.001077i,-0.00050153-0.00080286i,0.00079957+0.00020019i,0.0012449+0.00011264i,0.00079058-0.0009704i,0.00042494-0.0021031i,0.00011369-0.0014602i,-1.1609e-05-0.00074595i,-0.0002852-0.00054431i,-0.00054425+0.00019542i,-0.0011904+0.00090363i,-0.0011304+0.0011807i,-0.0010006+0.0007496i,-0.0011198+0.00015251i,-0.00088835-0.00045122i,4.168e-05-0.0011044i,0.00026409-0.0004601i,-0.00035758+0.00068408i,-0.00034076+0.00068757i
0.00063884-0.0016983i,0.0012158-0.0019203i,0.00072414-0.0013472i,-0.00043149-0.00067542i,-0.0013818+0.0001734i,-0.0004061+0.0013241i,0.0009827+0.0013999i,0.0016427-0.00070634i,0.0014815-0.0022945i,-0.00022351-0.0016647i,-0.0012059-0.00028113i,-0.00084054+0.00015109i,-0.00034908-3.1461e-05i,-0.00034526+4.8877e-05i,0.00042497-0.00014626i,0.0014678-0.00010635i,0.00089251+0.00019313i,0.00069428+9.0235e-05i,0.00067447+1.5054e-06i,0.00032112-0.00062292i,0.00037542-0.0008429i,0.00031433-0.00061893i,0.00023213-0.00063381i
-0.001173+0.00077278i,-0.0016917+0.0014135i,-0.00064254+0.0014633i,0.0012231+0.0011354i,0.0016438+7.9199e-05i,0.00046571-0.00029134i,-0.00067058-0.00015971i,-0.00070631-0.00056031i,-0.0018428-0.00087319i,-0.0019194-0.0007851i,-0.00049423+5.465e-05i,0.00035555+0.0012577i,-3.1685e-05+0.0019273i,-0.00081748+0.0014929i,9.2361e-05+0.00065517i,0.0010652+5.5035e-05i,0.00035148-0.00018302i,0.00045548+0.00019539i,0.00096014+0.00076091i,0.0003308+0.00018792i,-0.00037624-0.00062862i,2.4055e-05-0.0003701i,0.00075357-3.912e-05i
-0.00060082-0.0014209i,-0.0001736-0.001049i,0.00027426+0.00018031i,0.00046511+6.6484e-05i,0.0010254-0.0012486i,0.0021534-0.0014404i,0.0026443-0.00084166i,0.0019546-0.00060165i,0.0006696-0.00062329i,-0.00039662+0.00062986i,-0.0011194+0.0011776i,-0.00050278+1.3438e-05i,-0.00014395-0.00066908i,-0.00040971-0.00063759i,0.00013272-0.0011528i,0.00046514-0.0012948i,0.00047923-0.00082027i,-9.6655e-05-0.00022654i,-0.00015621-0.00041047i,-6.1114e-05-0.00073503i,-0.0007962+0.00015422i,-0.00027245+0.00064831i,0.00010528-9.5023e-05i
6.2918e-05-0.002614i,5.1339e-05-0.0022552i,2.7756e-05-0.0029268i,-0.00019453-0.0020803i,-0.00011241-0.0013505i,0.00066385-0.0014779i,0.0017157-0.00070493i,0.0015063-0.00029069i,8.1772e-05-0.0006897i,-0.00071206-0.00094718i,-0.00031335-0.00037918i,-0.00021463-0.00042221i,-0.00046329-0.0011001i,-0.00054013-0.00094746i,-0.0007985-0.00048131i,-0.001125-0.00010107i,-0.0014546-0.00015152i,-0.001299-0.00013943i,-0.00040525+3.0784e-05i,0.00061793-0.00086087i,-9.7446e-05-0.00091269i,-0.0008518-0.00024763i,-0.00034875+0.00012595i
0.00095338-0.0011912i,0.00063046-0.00064639i,-8.2733e-05-0.00014335i,-0.00084754-0.00015971i,-0.0012425-0.0003325i,-0.00068724+3.7304e-05i,0.00020521+0.00053673i,0.00067055+0.00075425i,0.00049298+0.00086002i,0.00033587+0.00061625i,6.567e-05+0.00030181i,-0.00035927+0.00013533i,-0.0003346-0.00040922i,-0.00058863-0.0003248i,-0.00051477+4.3487e-05i,-4.3369e-05+9.6626e-05i,0.00022736-0.00028106i,-8.318e-05-0.00070365i,-0.00050023-0.00049601i,-0.00021077+0.00065245i,0.00022267+0.0010292i,0.00050539+0.00055901i,0.00023166+0.00035511i
-0.0020824-0.00081667i,-0.0011001+0.00020634i,-0.00042425+0.0015305i,0.00075147+0.0013225i,0.0023619-0.00013431i,0.0027826-0.00088221i,0.0020794-0.0010159i,0.0015038-0.0011326i,0.0016745-0.0017354i,0.0012204-0.0027521i,0.00042994-0.0019135i,0.00017779-0.00032417i,-0.0004708-0.00029646i,-0.00049076-5.2865e-05i,0.00036185+0.0006354i,0.00057136+0.00049459i,1.54e-05+0.00016629i,-0.00042419+0.00067256i,-0.00074707+0.00071349i,-0.0008114+0.00055087i,-0.00072378+0.00054058i,-0.00029961+0.00063331i,0.00099211+0.00057422i
0.00069068-0.00075534i,0.0020929-0.00069321i,0.0022927-0.00051589i,0.0014763-0.0011936i,0.0013009-0.0026051i,0.00075524-0.0025445i,0.0010145-0.0006807i,0.00086179+0.00025287i,8.2806e-05-0.00052049i,-0.00061722-0.0012999i,-0.0016308-0.0018509i,-0.0010382-0.0017209i,-0.00040976-0.0011849i,-0.00081469-0.00076836i,-0.00026658-0.00059751i,-0.00020977-0.00050216i,-0.00063711-0.00058713i,-0.00067472-0.00068699i,-5.7829e-05+0.00022005i,0.0013911+0.00094878i,0.0014407+0.00057946i,0.00041795-0.00012585i,-9.0766e-05-0.00025101i
-0.00051339-0.00059436i,-0.0009408-0.00047136i,-0.00037802-0.0005161i,-0.00069594-0.0010528i,-0.0014612-0.00049713i,-0.0011872+0.00035402i,-0.00097348+0.00036026i,-0.00073673-0.00029335i,-0.0011113-0.0017494i,-0.0014329-0.0018505i,-0.00079615-0.00094637i,-0.00050278-0.0003534i,-0.00017781+0.00061654i,0.00021094+0.00086177i,0.00045434+0.00025747i,0.00088783-0.00066634i,0.001061-0.0012687i,0.00016407-0.0011938i,-0.0001756-0.00033746i,2.2777e-05+0.00024431i,0.0001784-0.0002168i,-0.00017429-0.00035829i,-0.00052697+4.6171e-05i
-0.0011425-0.0024334i,-0.00083879-0.002214i,-0.0011829-0.0015011i,-0.0017346-0.00081126i,-0.00021547-0.00021639i,0.0015171+0.0009561i,0.0017294+0.00039675i,0.0016435-0.0007416i,0.00076175-0.00061283i,-0.00087357-0.00036371i,-0.001204+0.00029149i,-0.00051103+0.00095401i,-3.888e-06+0.00042439i,0.00017422-0.00020299i,-6.5626e-05-0.00045924i,-5.7074e-05-0.00082287i,0.00059748-0.00055796i,0.00098238-0.00049011i,0.001118-0.00061724i,0.00028505-0.00054478i,-0.00045704-0.0008061i,0.00014867-0.00018147i,0.00026794+0.00019772i
-0.0012059+0.00055803i,-0.00065811+0.00016305i,-0.00064467+0.0013038i,0.00052364+0.00187i,0.0014762+0.0001569i,0.0015365-0.0014687i,0.0016322-0.0010694i,0.0019498+0.00028558i,0.0011913+0.00074077i,-0.00060749+0.0010979i,-0.00090636+0.0013613i,-0.00025535+0.00086452i,-0.0004323+0.00054948i,-0.00017785+0.00042053i,-0.00018305+3.7239e-05i,-0.00039808-0.00028436i,-0.000311-0.00018344i,0.00026803-0.00031614i,0.00081776-0.00045159i,0.00021142-5.0886e-05i,-0.00021911+0.00053342i,0.00029738+0.00030161i,0.00038588-0.00053258i
0.00052547-7.5806e-05i,0.00050285-0.00051027i,0.00098801-0.0010479i,0.0005619-0.0010347i,7.7516e-05-0.00061853i,9.991e-05+0.00032468i,0.00085789+0.0011291i,0.0013844+0.0011882i,0.0013434+0.00043905i,0.00076078-0.00027189i,0.00031925-0.0001694i,0.00036486-0.00026574i,0.00056978-0.0012838i,0.0011265-0.0019577i,0.000168-0.0017045i,-0.00083092+4.7888e-05i,-0.0011451+0.0012479i,-0.0005909+0.00036752i,-2.6425e-05-4.9024e-05i,0.00024291+7.9143e-05i,0.00088701+0.00030578i,0.00042689+0.00056601i,-0.00029848-0.00018356i
-0.00091917+0.0019925i,-0.0016629+0.0015984i,-0.00054841+0.002648i,0.00112+0.0016913i,0.0022959+5.233e-05i,0.0026362-0.0016122i,0.001965-0.0013889i,0.00068265-0.0007144i,0.00040344-0.0016312i,0.00036914-0.0021649i,0.00016639-0.0018522i,0.00045897-0.00090561i,9.539e-05-6.1586e-05i,-9.8548e-05-0.00032663i,0.00071817-9.7119e-05i,0.0010691+0.00064885i,0.00016125+0.00098674i,5.2735e-05+0.00094663i,0.00038544-1.8889e-05i,0.00082553-0.00015774i,0.00087251+0.00040641i,-0.00042895+0.00041911i,-0.000469+0.00029737i
0.0022246+0.0011578i,0.0018259+0.00064079i,0.0015223+0.00032858i,0.00083-0.00018364i,0.00010828-0.0017926i,0.00020699-0.001814i,0.0014001-0.0012734i,0.0017825-0.0018958i,0.00039893-0.0025307i,-0.00045945-0.0014711i,-0.0012707-0.00065305i,-0.0015545-0.00054114i,-0.00071552-0.00041224i,0.00058382-0.00013144i,0.0013081-2.9614e-05i,0.00086698+3.0581e-05i,0.0006283-0.00080673i,0.00021901-0.00070687i,-0.00070286+3.6499e-05i,-0.00083119-2.3044e-05i,-3.7764e-05+0.0003369i,7.7504e-05-0.00019153i,0.00013831-0.00061561i
-0.0031495-0.0043038i,-0.003966-0.0043322i,-0.0046637-0.0032736i,-0.0027899-0.0013043i,-0.00040458+0.0012332i,0.00090121+0.0020285i,0.0018765+0.00085926i,0.00093125-0.00020268i,-0.00099282-0.00095495i,-0.0019844-0.0012326i,-0.0016925-0.00070028i,-0.00096865+0.0003889i,-0.0013972+0.00072877i,-0.0013629+8.1922e-05i,6.1724e-05-0.00025735i,0.0013929-0.00024735i,0.0016789-0.00047018i,0.0008786-0.00068961i,0.00015944-0.0013728i,0.00034612-0.0011119i,0.00057702-0.00019187i,0.00065099-0.00020507i,0.00033214+0.00018018i
0.0015862+0.00028733i,0.0024738+0.00027251i,0.0031675+0.00058891i,0.0022064+0.00017966i,0.0011277-0.0016262i,0.0010852-0.0024745i,0.00059819-0.0014042i,0.00027136-0.0010411i,-1.628e-05-0.00067471i,-0.0010826+0.00010889i,-0.0012334+0.00066569i,6.114e-05+0.00093479i,0.00046665+0.0008556i,-0.0001173-0.00050378i,-4.2044e-05-0.00087277i,-0.00031545-0.00031605i,-0.00071357-0.0001787i,-0.00079303+0.00032255i,-0.00075567+0.00024278i,-0.00031018-0.00025043i,7.5006e-05-0.00019113i,5.3608e-05+0.00020424i,-2.729e-05+0.00068915i
0.00070879+0.00061964i,0.0020937+0.0010785i,0.0023225+0.001541i,0.0018943+0.00084267i,0.00034305-0.00029318i,-0.00061279-0.00012743i,0.0003109-2.1678e-05i,0.00094279-0.00079284i,0.0008211-0.00082357i,-0.00017162-6.9897e-05i,-0.0004437-4.316e-05i,0.00090691-0.00034265i,0.00088506-0.00081059i,9.4604e-05-0.00077625i,-0.00050617-0.00057083i,-0.0008947-0.00019811i,-0.00049081-9.603e-05i,0.00037556+0.00019481i,0.000568+0.00041091i,-0.00022044+0.00028332i,-0.00062259+3.6374e-06i,-0.00048827-0.00036912i,-0.00027463+0.00010352i
0.0001775-0.0055341i,-0.00090308-0.0053757i,-0.00076083-0.0039488i,-0.00040643-0.0020327i,-0.00058599-0.000816i,0.00021218-0.00016077i,0.0017117+0.00021188i,0.0011563+0.00044805i,-0.000111+0.00018092i,-0.00096171-0.00050404i,-0.0008579-0.0010853i,-0.00044862-0.0012098i,-0.00045527-0.00059985i,-0.00052028+0.00024976i,-0.00087088+0.0011492i,-0.0011898+0.0012079i,-0.0010324+0.00050756i,-0.00113+0.00011077i,-0.0013598+0.0003318i,-0.00083528+0.00012442i,-0.00050948-0.00019683i,-0.0011711-0.00034009i,-0.001035-0.00036365i
-0.0013747+0.0036846i,-0.0017745+0.0034352i,-0.0020437+0.0032993i,-0.00018577+0.002008i,0.0012615-6.1108e-06i,0.0011658-0.00084443i,0.0012708-0.00010165i,0.0016597-0.00049504i,0.0013433-0.0014052i,-3.7725e-05-0.0016132i,-0.00010573-0.0012253i,0.00053427-0.00063266i,0.00050275-0.00086741i,0.000296-0.00091714i,0.00046483-0.00017578i,0.0010988+0.00044725i,0.0015701+2.5033e-06i,0.0017654-0.00064031i,0.0011796-0.00086136i,0.00023511-0.00038878i,0.00018344+1.6006e-05i,0.00032652-4.0437e-06i,-6.4298e-05-3.2075e-05i
0.0025659-0.0018478i,0.0023062-0.0010698i,0.0027347-0.0011923i,0.0023675-0.001733i,0.0013611-0.0018954i,0.00034257-0.0012708i,0.00071811-0.00040242i,0.00099746-0.0010699i,0.00042835-0.0019889i,-0.00049498-0.0019021i,-0.00080965-0.00083354i,-0.00046548+0.00055827i,-0.00060305+0.00026475i,-0.00028186-0.00041514i,0.00031928-0.00036559i,0.00017871-0.00085407i,0.00043636-0.001356i,0.00093984-0.00018656i,0.00025078+0.00017992i,-0.00014214-0.0004168i,0.00015176-0.00038916i,-7.0277e-05-0.0007889i,-0.00032023-0.00091484i
-0.0017272+0.001256i,-0.0011561+0.0016557i,-0.0018029+0.0025569i,-0.00069777+0.0021189i,0.00078789+0.00088518i,0.0017562+0.000224i,0.001566+0.00030295i,0.0010512-9.582e-05i,0.0004673-0.00028961i,-0.00088959+4.7354e-05i,-0.0016821+0.00065307i,-0.0014147+0.0011185i,-0.00079943+0.00077068i,-0.00027393+4.85e-05i,0.00012701+0.00011478i,-0.0002328+0.00021907i,5.665e-05-0.00018045i,8.713e-05-0.00073937i,-0.00049795-0.0012049i,-0.00068058-0.00074731i,-0.0012796-0.00023508i,-0.00085539-5.7142e-05i,0.00058544-0.00088112i
-0.0014207+0.0012898i,-0.002298+0.00071503i,-0.0015093+0.0010754i,-0.00019115+0.00074961i,0.00028717-0.0012692i,0.00045169-0.0019193i,0.00046403-0.0011175i,-0.00033478-0.00043442i,-0.0012051-0.00034751i,-0.001013-0.00030041i,-0.00019103-0.00014702i,0.00051247-0.00052508i,0.00050759-0.00018454i,-9.3101e-05+0.00022068i,-0.00015134-0.0002409i,-0.00041514-0.0010008i,-0.00016606-0.00080343i,-0.00019932-0.00074885i,-0.00074173-0.00075552i,-0.00094623-0.00025883i,-0.00027705+0.00013072i,-0.00040811+0.00030618i,-0.00089772-0.00051818i
-0.00048903-0.00042097i,-0.00071025+0.0006682i,-0.00066651+0.0016265i,-0.00011311+0.0015967i,0.0010669+0.00077443i,0.0018181+0.00047749i,0.0024556+0.000645i,0.002079+0.00059722i,0.001131+0.00043053i,0.00049762+0.00042722i,0.00012711+0.00058007i,0.00036956-0.00012831i,0.00029677-0.00089594i,3.9997e-05-0.00030199i,-1.2913e-05+0.00024435i,-0.00050488-0.00060077i,-0.00040475-0.00088334i,-0.00040613-0.00073447i,-0.00015721-0.00076963i,0.00083039-5.3425e-06i,0.0014696-0.00012475i,0.0012814-0.00026865i,0.00022969+0.00019053i
-0.00017727-0.00075598i,0.00061196-0.0006687i,0.00044935-0.0006308i,-0.00011027-0.00071699i,0.00088211-0.0007984i,0.0016085-0.00068857i,0.0012561-0.00061899i,0.00069459-0.0012029i,0.00038968-0.0014531i,0.00077596-0.0011018i,0.00053365-0.00035095i,-0.00035787+0.00017595i,-0.00085162+0.00023324i,-0.00029617+0.00087477i,0.00084261+0.0013204i,0.00043658+0.00047516i,0.00047309-0.0002416i,0.00091544-0.00023661i,0.00056753-0.00042882i,0.00071125+0.0003187i,0.00029714+0.0012382i,-0.00016986+0.0007967i,-4.7307e-05+0.0002154i
0.00095535-0.00072473i,0.00023416-0.0012778i,0.001226-0.00034404i,0.0017588+0.00011562i,0.00096267-0.0014665i,0.00080211-0.0017276i,0.00094277-0.00077449i,0.00067094-0.00073177i,0.00049739-0.0019612i,-9.0921e-05-0.0032018i,-0.0011057-0.0031527i,-0.0016352-0.0020287i,-0.0013187-0.00050626i,-0.00069502-0.00050082i,-0.00061181-0.00058806i,-0.0003428-0.00020039i,-0.00045512-0.0002972i,-0.00053894-0.0003198i,-0.00036563+0.00023667i,-0.00096726+0.00078931i,-0.0015057+0.00054093i,-0.00089728-0.00049555i,0.00010524-0.00077101i
0.00034703-0.0010151i,-0.00013066-0.00060378i,-0.0007095+0.00072631i,-0.00039176+0.00029527i,-0.0002113+0.00021013i,0.00017186+0.00059853i,0.0012827-0.00019855i,0.0011325-0.0007214i,-1.4982e-05-0.0015542i,-0.00043328-0.0012021i,-0.00056046-6.0149e-05i,-0.00117+0.00037564i,-0.0012646+0.00065153i,-0.00033297+9.8045e-05i,0.00062327-0.00024049i,0.00072335-0.00074025i,0.00030887-0.00078522i,-0.00068181-0.00055278i,-0.00092552-0.00053911i,-0.00097984-0.0005253i,-0.0011209-0.00038246i,-5.7962e-05-0.00012604i,0.00059311-0.00033276i
