-0.0017486-0.00070043i,-0.0019668-0.00050618i,-0.0019061+0.00090569i,-0.0026017+0.00244i,-0.0023422+0.0028812i,-0.0016215+0.0030133i,-0.0014248+0.0026418i,-0.0008011+0.0023894i,5.0304e-05+0.002073i,0.0007294+0.0012989i,0.00093593+0.00016099i,-0.00033492-0.00088099i,-0.0007417-0.0011395i,-0.00053671-0.00027752i,-0.001158+0.0011425i,-0.00080914+0.0013155i,0.00017378+0.00047604i,0.00097644+0.00073627i,0.00084544+0.00099244i,0.0003517+0.00051614i,4.8975e-05+0.00022365i,-0.00044697+0.00042512i,1.9481e-05-8.4944e-05i
0.00097543+0.0025366i,0.00114+0.0029391i,0.0016627+0.0030729i,0.0017687+0.0020374i,0.00025814+0.00034773i,-0.0012268-0.00022063i,-0.0018925-1.5349e-05i,-0.002364+0.00047614i,-0.0026988+0.0014003i,-0.0024995+0.0025011i,-0.0011318+0.002725i,-6.6291e-05+0.0017161i,-4.0648e-05+0.00065106i,-0.00032536+0.00029441i,-0.00018402+0.00034819i,3.9765e-05+0.00024076i,0.00013136+0.00083004i,0.00070541+0.0010503i,0.0012587+0.00037712i,0.00075669+0.00031288i,0.00019376-5.6165e-05i,0.00094992-0.00077116i,0.0013041-0.00033319i
-0.00178+0.0001209i,-0.0015238-0.00016518i,-3.6449e-05-0.00021205i,0.00082704+0.00099281i,0.00062633+0.0017624i,-0.00082996-2.5788e-06i,-0.0022771-0.0017747i,-0.0035196-0.0013622i,-0.0053861-0.00047881i,-0.0063724-0.00018361i,-0.0050047+0.00020115i,-0.0023999-6.0467e-05i,-0.0011824-0.0019614i,-0.0010635-0.0025203i,-0.0008627-0.0015052i,-0.0013518-0.00058593i,-0.0017627+0.00067765i,-0.0016219+0.00087056i,-0.0014469+5.6312e-05i,-0.00082386-0.00050521i,-0.00012571-0.0001865i,-0.00027213-0.0001098i,-0.0015011-0.00067603i
-6.8046e-05-0.00027997i,0.00020225+0.00011222i,-0.00097725+0.00073647i,-0.0025107+0.0013045i,-0.0025563+0.00087352i,-0.0015508-0.00016066i,-0.0018318-9.0602e-05i,-0.002414+0.0004883i,-0.001889+0.00044301i,0.00023354-0.0010192i,0.0015574-0.0020785i,0.0010231-0.0016284i,8.4872e-05-0.00093625i,-0.00086424-0.00044284i,-0.0014772-0.00046221i,-0.0010654-0.00034899i,-0.00058678-0.00022924i,-0.0010102-0.00053795i,-0.001672-0.00046541i,-0.0014838+2.3386e-05i,-0.001086+0.00055736i,-0.001022+0.00012475i,-0.00041005-0.00031839i
0.00010058+0.0023472i,-0.00044732+0.0025603i,-0.00016635+0.0019677i,-0.0019173+0.0021349i,-0.003588+0.0027507i,-0.0038077+0.0021425i,-0.002608+0.0016367i,-0.00019654+0.0027434i,0.001225+0.0037021i,0.0014516+0.0037135i,0.001251+0.002324i,0.00035913+0.00025159i,-0.0010175-0.00096854i,-0.0014279-0.00019582i,-0.00014211+0.0015415i,0.00066962+0.0015506i,0.0015212+0.00049804i,0.0022971+0.00016275i,0.0018388+0.00024549i,0.00046284+0.00034199i,-0.00010163+0.00064382i,0.00011723+0.00066173i,-0.00043039+0.00076895i
-0.0021453-0.00063461i,-0.0025626-0.00039068i,-0.0020341+0.00071092i,-5.5904e-05+0.00094602i,0.000706-0.00087462i,-0.0004425-0.0016083i,-0.0015952-0.0013492i,-0.002066-0.00086772i,-0.002924+0.00024319i,-0.0041677+0.0012039i,-0.0038967+0.0012733i,-0.002301+0.00029998i,-0.0012325-0.0001674i,-0.0012092+0.00012836i,-0.00038025+0.00021003i,0.0013804+0.00012558i,0.001667+0.00017503i,0.0004425+0.00014133i,7.8903e-05+2.6116e-05i,0.00055059+0.00024433i,0.00049007+0.000158i,0.00048704+0.00054096i,5.9572e-05+0.00068561i
0.0014842-0.00023726i,0.0010129+0.00024281i,-0.00047604+0.00078479i,-0.0015791+0.0016171i,-0.0014649+0.0026244i,-0.0018726+0.0011836i,-0.0025946-0.0014096i,-0.0029719-0.0025395i,-0.0033298-0.0033581i,-0.0027164-0.0044941i,-0.0019538-0.0036942i,-0.0017827-0.001238i,-0.0014582+0.00032033i,-0.00099517+0.00058979i,-0.00038004-0.00020648i,-0.00019119-0.00036822i,-7.3218e-05+5.5647e-05i,0.00010557-6.9407e-05i,0.00044061+6.8407e-05i,0.00046367-5.5571e-05i,-0.00010104-0.00046967i,-0.00017461-0.0008902i,-0.00026354-0.00085185i
-0.0008697-7.653e-05i,-0.002278+0.0012138i,-0.0029672-8.1578e-05i,-0.0026496-0.0014292i,-0.0034609-0.00062974i,-0.0035+0.0012279i,-0.0024306+0.0015877i,-0.0022789+0.00105i,-0.0021473+0.0011817i,1.1238e-05+0.0014793i,0.0025137+0.0011573i,0.0022751+0.00040398i,0.00091727-0.00058901i,0.00050664-0.00072733i,-0.00010023-0.00069652i,-0.00035313-0.00034761i,-0.0010692+5.0164e-05i,-0.0017986-0.00088179i,-0.0010957-0.0012964i,-0.00081542-0.00096143i,-0.00096952-0.00089243i,-0.00041042-0.00032247i,-0.00023208-0.00057286i
-0.0013052-0.00047478i,-0.0012883-0.00027227i,-0.0014775+0.00065229i,-0.0027869+0.0011548i,-0.0031178+0.0017898i,-0.0032473+0.001839i,-0.0035667+0.0022341i,-0.0035598+0.0034113i,-0.0036484+0.0047899i,-0.0038564+0.0060032i,-0.0028786+0.0054051i,-0.0013103+0.0022809i,-0.00018957-0.00041309i,-0.00025235-0.00064053i,-0.0012062+2.4905e-05i,-0.0017778+4.7203e-05i,-0.0012719+0.0002387i,-0.00043545+0.00020472i,6.8569e-05-7.295e-06i,1.5584e-05-0.00038427i,-0.000683-0.00094821i,-0.0012522-0.0010227i,-0.0012757-0.00060487i
-0.00049715-0.0026187i,-0.0011864-0.0019245i,-0.0024295-0.00014432i,-0.0015276+0.001104i,-0.0011155+0.0026709i,-0.0017457+0.0017172i,-0.0012837+0.00041068i,-0.00038984+0.00060267i,-0.00045154+0.00013981i,-0.0022915-0.0010128i,-0.0032715-0.0018969i,-0.0024629-0.0011512i,-0.0016388-9.8152e-05i,-0.0012811+0.00075928i,-0.0010489+0.0010603i,0.00022097+0.0010688i,0.00092717+0.0011466i,0.00094899+0.00063758i,0.0009129+0.00015699i,0.00087547-0.00025998i,0.00092275-0.00044741i,0.0011197-0.00078514i,0.00067766-0.00094665i
-6.0681e-05+0.0008453i,-0.00066165+0.0024983i,-0.00062287+0.002297i,-0.00094144+0.0018529i,-0.0014777+0.0012314i,-0.00096046+0.0011222i,-0.00019941+0.00048949i,0.00074204-0.0013569i,0.0016195-0.002702i,0.0020473-0.0031459i,0.0016999-0.0026551i,-9.1145e-05-0.00073052i,-0.0015059+0.00047613i,-0.0013601+0.0015744i,-0.00073719+0.0018822i,-0.00036841+0.0013895i,0.00019617+0.0012042i,0.00039483+0.0013965i,0.00031287+0.0013449i,0.00070129+0.00092334i,0.0010529+0.00034009i,0.0011087+0.0003158i,0.00072241+0.00042679i
-0.0011295-0.00025825i,-0.0027841+0.00080027i,-0.0030322+0.0011169i,-0.0016809+0.00075784i,-0.0015567+0.0012158i,-0.0016491+0.0015931i,-0.0018113+0.00039185i,-0.002304-0.00083913i,-0.0029481-5.5435e-05i,-0.0027183+0.0017655i,-0.0013635+0.0030602i,-0.00030548+0.0021578i,0.00035069+0.00060083i,0.00089238+0.00090161i,0.0010535+0.00079317i,0.0011048+1.9125e-05i,0.00035275-0.00043046i,1.8038e-05-3.2763e-06i,0.0012084+9.1018e-05i,0.00059101-0.0011663i,-0.0011788-0.0014391i,-0.0016224-0.0011627i,-0.0017924-0.00072663i
0.0012685-0.00041748i,0.00065764-0.00056044i,-0.00048175+0.00062967i,-0.0018825+0.0015186i,-0.0023422+0.0017403i,-0.0033195+0.0016311i,-0.0046021+0.0014159i,-0.0060801+0.0010085i,-0.0075109+0.00043187i,-0.0075619+0.00044463i,-0.005625+0.00040554i,-0.0026003-0.00014776i,-0.00068365-0.0012945i,-9.9526e-05-0.0020944i,0.00025948-0.0016367i,-0.0002821-0.0013821i,-0.00095874-0.0017826i,-0.00085809-0.0019537i,-0.00030271-0.0019962i,0.00017051-0.0020318i,0.00027862-0.0012824i,0.00011439-0.00034868i,-5.5209e-05-0.00090281i
0.00072766+0.0027156i,0.00049463+0.001886i,-0.00025631+0.00099389i,-0.00069306+0.00034203i,-0.00072437+1.3851e-05i,-0.001232+8.3555e-05i,-0.0020861+0.00081996i,-0.0036242+0.0013739i,-0.0037159+0.0015948i,-0.0013129+0.00075261i,0.0012637-0.0013046i,0.0017112-0.0015813i,0.00047004-0.00076783i,-0.001262-0.00082895i,-0.0015467-0.00060741i,-0.0002153+0.0005239i,0.00058932+0.001541i,0.0010061+0.001204i,0.0012208+5.0947e-05i,0.0010167+0.00011304i,0.0016662+0.00052465i,0.0018658+0.00052033i,0.0010045-0.00011327i
-0.0050834-0.0026547i,-0.0046016-0.00077441i,-0.0036251+0.0019391i,-0.0024363+0.0041096i,-0.0017355+0.0041956i,-0.0013577+0.0028355i,0.00016665+0.0025562i,0.0017351+0.0037185i,0.0020886+0.0050925i,0.002227+0.0053491i,0.0011455+0.0042277i,-0.0010233+0.002107i,-0.0023148+7.6168e-05i,-0.0030091-5.9107e-05i,-0.0028462+0.00077332i,-0.0026801+0.0021081i,-0.0020059+0.0022253i,-0.00043644+0.0014835i,-0.00020654+0.0017229i,-0.00053298+0.0016151i,-0.00044615+0.0013822i,-0.000379+0.0021699i,-0.00067883+0.0020205i
0.002354+0.00058947i,0.0016723-0.00025693i,0.0005277+0.00011503i,0.00024518+0.000629i,0.0010071+0.0011909i,-0.00016764+0.00059506i,-0.0014615+5.7641e-05i,-0.00046259+0.00026735i,-0.00033297+0.00034731i,-0.0023813+0.00082231i,-0.0035578+0.00057239i,-0.0015824+3.3604e-05i,0.00024027+0.00057652i,0.00013074+0.0015515i,-0.00018465+0.0015829i,5.2001e-05+0.0010293i,-0.00012233+0.00051493i,-0.00036175-0.00031025i,-0.00049486-0.0012926i,-0.00049691-0.0018497i,-0.00031153-0.00088884i,-1.3256e-05-0.0002836i,-0.00015059-0.00069528i
-0.0010937+0.0021068i,-0.00056982+0.0010339i,-0.0019898-6.7458e-05i,-0.0035234+0.00019951i,-0.0038934+8.8161e-05i,-0.0035719-0.00033262i,-0.003275-0.001131i,-0.0036229-0.0030939i,-0.0038766-0.0048386i,-0.0037831-0.0049599i,-0.0027345-0.0033901i,-0.00060348-0.00090711i,0.0012204+0.00071243i,0.0017554+0.0010488i,0.0021862+0.0010029i,0.0019618+2.9067e-05i,0.0013923-0.0014201i,0.0016797-0.0016559i,0.0017148-0.0012742i,0.0010585-0.0014035i,0.0011003-0.0012132i,0.0019772-0.00057568i,0.0017102-0.00069229i
-0.0026912-8.2291e-05i,-0.0022196+0.00085054i,-0.00058853+0.0017855i,0.00022437+0.0017863i,0.00021902+0.0012846i,-0.00068919+0.0006116i,-0.0023422-0.00085386i,-0.0045444-0.0023269i,-0.0051599-0.0007003i,-0.0019051+0.0022235i,0.0019733+0.002853i,0.002421+0.0020069i,0.00070156+0.00089839i,0.00026339-0.0008446i,-2.6318e-05-0.0013141i,-0.00070384-0.00055398i,-0.0002066+7.1583e-05i,0.00050242+0.00032553i,0.0002006+0.0007583i,0.00017727+0.0012961i,2.7787e-05+0.00074071i,-0.0004061-0.00047264i,-0.0002949-0.00051296i
0.0036096-0.0021488i,0.0027209-0.0016932i,-0.0002069-0.0012013i,-0.0029477+0.00048752i,-0.0044101+0.0022041i,-0.0047908+0.0035168i,-0.0047734+0.0036969i,-0.0049035+0.0038775i,-0.0041983+0.0042856i,-0.00393+0.0043974i,-0.0031995+0.0031775i,-0.0023872+0.00072972i,-0.0027557-0.0019242i,-0.0023758-0.0029804i,-0.0021005-0.0019678i,-0.0028311-0.00019923i,-0.0030767+0.0011529i,-0.0019022+0.0014616i,-0.0014786+0.0014925i,-0.0016722+0.00097253i,-0.0017093+0.00031354i,-0.0018688-0.00022737i,-0.0012137-0.00012243i
-0.0022402+0.0005649i,-0.0013998+0.0010862i,-0.0010864+0.00041699i,-0.0020332+0.0010448i,-0.0023691+0.0029133i,-0.0027718+0.0032607i,-0.0028995+0.0027844i,-0.0021059+0.0040658i,-0.0014688+0.0036383i,-0.0018479+0.00054081i,-0.0022673-0.0024321i,-0.0020444-0.0031112i,-0.0010016-0.0024391i,-0.0008243-0.0014005i,-0.0015833+0.00010431i,-0.0018131+0.00025214i,-0.0012449+0.00036472i,-0.00089959+0.00088431i,-0.00065678+6.9189e-05i,-0.00014458-0.00097163i,-0.00015064-0.0011406i,-0.00067595-0.00088602i,-0.0013075-0.00089684i
-0.0018737-0.00037794i,-0.0020449-0.00089389i,-0.00073394+0.0001061i,-7.1323e-05+3.862e-05i,0.00015677-0.00065637i,-1.8747e-06-0.00038558i,0.00036447-0.00097491i,0.0013106-0.0018254i,0.002173-0.0023341i,0.003132-0.0021156i,0.0030906-0.0009571i,0.0015818+0.00062243i,-2.7479e-05+0.0017473i,-0.00037375+0.0024636i,0.00046123+0.0024663i,0.0010205+0.0017126i,0.0010154+0.0011101i,0.0014691+0.00043048i,0.0024238+0.00031094i,0.0029152+0.00030517i,0.0020136+0.0004207i,0.0010767+0.00075805i,0.00070843+0.00052476i
0.0018468-0.00080132i,0.0017624-0.00045793i,-0.0001702-0.00075164i,-0.0017164-0.0013582i,-0.0015241-0.00086604i,-0.00079959+0.00013234i,0.00014083-0.00099482i,0.00019458-0.0033847i,-0.00048196-0.0028877i,-0.0012233+7.909e-05i,-0.0022349+0.0027354i,-0.0024949+0.0028877i,-0.0019552+0.0012173i,-0.0010441+0.00012969i,0.0004672+0.00050088i,0.00069688+0.0011322i,-0.00015316+0.0012179i,0.00035983+0.0013567i,0.0010261+0.0015513i,0.00055353+0.0012355i,-0.00015901+0.0014018i,-0.00036275+0.0013796i,0.00018592+0.00072743i
-0.00011499+0.0021984i,-4.3002e-05+0.0022016i,0.00018493+0.0015839i,-0.00016469+0.0016252i,-0.0020998+0.0024876i,-0.003784+0.0020913i,-0.0051173-0.00027535i,-0.0064472-0.0013871i,-0.0070785-0.00069498i,-0.0070181-0.00021619i,-0.0049914-0.0009875i,-0.0016179-0.0022566i,0.00043656-0.0032142i,0.0011555-0.0033646i,0.00022637-0.0029082i,-0.00080539-0.0019346i,-0.00052051-0.00079062i,-0.000713-0.0010443i,-0.0015815-0.0013218i,-0.0021715-0.0018744i,-0.0014577-0.0022037i,-0.00039602-0.001778i,-0.00068644-0.0008695i
-0.0013543-0.0035252i,-0.0015459-0.0024498i,-0.001828-0.0018621i,-0.0026074-0.00038243i,-0.0038036+1.5536e-05i,-0.0039166-0.00026542i,-0.0042462+5.3728e-06i,-0.0062388+0.0017195i,-0.0059236+0.0027348i,-0.002383+0.00071815i,0.00060399-0.0019201i,0.001552-0.0025458i,0.0014036-0.0013597i,0.0012332-0.00077369i,0.00041793-0.0010081i,-0.0011914-0.0009771i,-0.0009115-0.0010964i,0.00083504-0.00080306i,0.0012721-0.00067838i,0.00094753-0.00053603i,0.0012115+0.00017419i,0.0015425-9.1286e-05i,0.00030534-0.00077922i
0.00018256+0.0019691i,0.0011688+0.0016038i,0.00092736+0.0016725i,0.0016387+0.0032868i,0.0027797+0.0032789i,0.0026025+0.001348i,0.0014085+0.0012536i,0.00028319+0.0031455i,-0.00049118+0.0047405i,0.00092348+0.0046096i,0.0024145+0.0036642i,0.00012423+0.0019826i,-0.002724+0.00092205i,-0.0036297+0.00064248i,-0.0024821+0.00065318i,-0.00081451+0.0014779i,-5.9021e-05+0.0020737i,0.0013198+0.00156i,0.0023005+0.0013481i,0.002135+0.0019949i,0.0011521+0.0025329i,-0.00030497+0.001717i,-0.0010462-0.00033481i
-0.00049582+0.0031472i,-5.5969e-05+0.0042392i,0.0010016+0.0035067i,0.0019648+0.0018216i,0.0010042+0.001683i,-0.0011771+0.0020165i,-0.00084762+0.0016529i,0.0011327+0.0011186i,0.00073608-0.00021412i,-0.0024144-0.00025637i,-0.0040437+0.00057839i,-0.0038361-0.00052982i,-0.003533-0.001477i,-0.0026434-0.00044891i,-0.0019203+0.0011032i,-0.0011451+0.0014456i,-0.0008727+0.0012857i,-0.00050568+0.00134i,-0.00045192+0.00153i,-0.0011858+0.00091262i,-0.0017578+0.00014486i,-0.0011519-0.00057245i,4.765e-05-0.00095163i
-0.0028249-0.0010269i,-0.0024993-0.0009382i,-0.0029673+0.00072942i,-0.0028534+0.0022223i,-0.0037038+0.002391i,-0.0039596+0.00013149i,-0.003731-0.0023507i,-0.0036151-0.0040502i,-0.0028964-0.0049752i,-0.0019998-0.0045711i,-0.00076196-0.0034657i,0.00067124-0.002635i,0.0019544-0.001685i,0.0023163-0.0010507i,0.0014237-0.0004261i,0.00028637-2.518e-05i,-0.00024942-0.0007478i,-0.00073867-0.0017374i,0.00031181-0.0018713i,0.00045719-0.0015921i,-0.0003046-0.0019845i,0.0001221-0.0014221i,0.00025863+0.00016077i
0.00424-0.0016746i,0.0027084-0.00095932i,0.00034141-0.0014584i,-0.0020955-0.0012693i,-0.0027434-0.00047812i,-0.0011678-0.0010922i,-0.001449-0.003228i,-0.0037818-0.0040126i,-0.0045332-0.0017577i,-0.0022308+0.0011861i,0.0012053+0.002268i,0.0024861+0.0018539i,0.0021062+0.0017562i,0.001819+0.0011573i,0.0012419+0.0001217i,0.0016437-0.00071136i,0.0024812-0.00087502i,0.0023877-0.00071841i,0.0011094-0.00052042i,0.00076695-0.00013864i,0.0016214+0.00066702i,0.0010521+0.00081505i,-0.00010424+0.0003703i
-0.0039771+0.0031935i,-0.0022661+0.0024703i,-0.0013542+0.002754i,-0.00088188+0.0031744i,0.00047218+0.0030151i,0.0011926+0.0031029i,-0.00087015+0.0034548i,-0.0037628+0.0039204i,-0.0052076+0.0044504i,-0.0052838+0.004828i,-0.0040559+0.0038551i,-0.0031044+0.001415i,-0.0028126-0.00044223i,-0.0030954-0.0010007i,-0.0028056-0.00045975i,-0.0018026+0.00040899i,-0.001448+0.0007865i,-0.00071735+0.00072872i,0.00043002+0.00059555i,-6.5789e-05+0.0010328i,-0.0013262+0.0012386i,-0.00095862+0.00052034i,-0.00057863-0.00052833i
-0.0022426-0.0022039i,-0.0015408-0.0018824i,-0.0012621+0.000971i,-0.00048586+0.0028493i,-0.001147+0.0034074i,-0.004298+0.0040674i,-0.0055581+0.0041874i,-0.0030714+0.0039216i,-0.00062587+0.001966i,-0.0008666-0.001738i,-0.0019578-0.0044168i,-0.0024363-0.0048422i,-0.0027475-0.0036305i,-0.0030857-0.0025807i,-0.0029762-0.0013683i,-0.0030049+0.00015611i,-0.003256+0.00057993i,-0.0021613+0.00035462i,-0.00082927+0.00013957i,-0.00071486-0.00043558i,-0.00092853-0.0013691i,-0.0005499-0.0018352i,-0.00038269-0.0016205i
0.0025842-0.00073941i,0.0024603-0.001247i,0.00040927-0.0009105i,-0.0027422+0.000353i,-0.0046591+0.0009453i,-0.0046277-0.00079163i,-0.002655-0.0028946i,0.00049724-0.0028525i,0.0019923-0.0011181i,0.0026722-3.6874e-05i,0.0039879-0.00036994i,0.0038871+8.4788e-06i,0.0021229+0.00059697i,0.0010426+0.00079353i,0.00092259+0.00091182i,0.0011659+0.00064889i,0.0014301+0.00051899i,0.0022513+0.00017545i,0.0026886-0.0005159i,0.0020583-0.00052856i,0.0026127-1.6799e-05i,0.0023448-8.9815e-06i,0.00053457+3.6581e-05i
-0.0012865+0.0024054i,-0.0013063+0.0021938i,-0.00015469+0.00034534i,-0.00071281-0.0018834i,-0.00062546-0.0016348i,0.0011265-0.00075036i,0.0020651-0.0013718i,0.00018819-0.0023477i,-0.0022571-0.0015857i,-0.0036304+0.0019576i,-0.0034807+0.004872i,-0.0022864+0.0045106i,-0.0013229+0.004121i,-0.00027671+0.0040438i,0.0010749+0.0026185i,0.0018582+0.0007893i,0.0023405-5.6441e-05i,0.0019199+0.00056599i,0.00022271+0.0014062i,-0.00012449+0.0014166i,0.00022531+0.00097343i,0.00012038+0.0010417i,-0.00049003+0.00036002i
-0.00021182-0.003717i,-0.0015181-0.0030621i,-0.0027905-0.0016636i,-0.0019386+0.00084315i,-0.0003639+0.0032855i,-0.00077212+0.0048606i,-0.0038163+0.0046663i,-0.0065086+0.0019882i,-0.007294-0.00017659i,-0.0067409-0.00039452i,-0.0055048-0.00096041i,-0.003463-0.0018097i,-0.0016535-0.0018481i,-0.0010702-0.0013643i,-0.0012586-0.0009035i,-0.0018167+4.8349e-05i,-0.0018747+0.00061169i,-0.0015808-0.00035312i,-0.0015275-0.00085895i,-0.001871-0.00083457i,-0.0018085-0.0012019i,-0.0016059-0.0015678i,-0.00084194-0.0018576i
0.0039916+0.0019499i,0.0037666+0.0013456i,0.0030343+0.0013875i,0.0013087+0.0025275i,-0.0023588+0.0027623i,-0.0070101+0.001271i,-0.008829-0.0003236i,-0.0077709+0.0007337i,-0.0042916+0.0019214i,0.00087887-0.00023655i,0.0033853-0.0045079i,0.0032306-0.0057383i,0.0020674-0.0048933i,9.7549e-05-0.0041792i,-0.0013838-0.0034416i,-0.0022845-0.0026403i,-0.0024236-0.0018969i,-0.0017607-0.0016473i,8.3599e-05-0.00079077i,0.0010662-5.9134e-05i,0.00022023-0.00081511i,0.00023329-0.0014832i,0.001208-0.00090906i
-0.0015227-0.0020348i,-0.0018929-0.0012288i,-0.0029497-0.0019219i,-0.0046312-0.0024938i,-0.0050495-0.0026745i,-0.00258-0.0033225i,0.00058298-0.0020581i,0.0018253+0.0016352i,0.0016336+0.0038118i,0.0015291+0.0038112i,0.00071198+0.0038656i,-0.00030274+0.0035209i,-0.0011162+0.001626i,-0.0021309+0.00063139i,-0.00075694+0.00057645i,0.0015461-7.8407e-05i,0.0015392+1.0759e-05i,0.00096514+0.00070821i,0.0015757+0.0013646i,0.0017314+0.0016082i,0.0020275+0.0018159i,0.001625+0.0019843i,0.0001507+0.00090332i
-0.0012512-0.0039674i,-0.0030075-0.0034574i,-0.0028346-0.0029752i,-0.0014393-0.0023845i,-0.00051214-0.00010693i,0.00084272+0.0033576i,0.0025362+0.0046511i,0.0022154+0.0030983i,-0.00052701+0.00040389i,-0.0059113-0.00035866i,-0.0092315+0.0013563i,-0.0071929+0.0018355i,-0.0044175+0.001265i,-0.0027645+0.0021657i,-0.00064751+0.0039274i,0.00074479+0.0050052i,0.00056567+0.0045694i,-0.00013918+0.0030975i,-0.00057818+0.0013281i,-0.00017992+0.00013916i,0.00021389-0.00030904i,-0.00022004-0.00025458i,-0.00041816-0.0010659i
0.0032863-0.00031085i,0.0021178+0.00080128i,0.00011489+0.0011715i,-0.0015913+0.002563i,-0.0031826+0.0045747i,-0.0046133+0.0053879i,-0.0058871+0.0029853i,-0.0050435-0.001036i,-0.004011-0.0039591i,-0.0038983-0.0050083i,-0.0025364-0.0050551i,-0.00047427-0.00412i,-2.806e-05-0.0022632i,-0.00036555-0.00089362i,-0.0011512+0.00012554i,-0.0017994+0.00076518i,-0.00090738+0.00064479i,0.00062155+0.00021859i,0.0011592-0.00089302i,0.00050247-0.0020303i,1.3147e-05-0.002882i,-0.00016141-0.002566i,0.00020662-0.0012936i
-0.00032151+0.0020284i,-0.0008708+0.0020632i,-0.00060816+0.0024545i,-0.0022122+0.00206i,-0.0056066-4.5896e-05i,-0.0083934-0.003498i,-0.0078855-0.0059632i,-0.0062663-0.0050377i,-0.0042111-0.0011452i,0.00071157+0.0016509i,0.0058809+0.0019368i,0.0068164+0.00084463i,0.0045311-0.00096893i,0.0020558-0.0018667i,0.00074522-0.003118i,0.00012659-0.0047321i,-0.00034672-0.0044424i,2.1773e-05-0.0030572i,0.00069341-0.001419i,0.0012401-0.00039336i,0.0013833+0.0003436i,0.00091804+0.00099187i,-7.9717e-05+0.00063304i
0.00071417-0.001659i,-0.00055781-0.00071416i,-0.0015251+4.9351e-05i,-0.00077895-0.0007913i,0.00046104-0.0032229i,0.0015442-0.0040696i,0.00073013-0.001387i,-0.0015719+0.0018184i,-0.002781+0.0043712i,-0.0033581+0.0052761i,-0.0034731+0.0036474i,-0.0028408+0.00070134i,-0.0027054-0.0010498i,-0.0022021-0.0011086i,-0.00066656+4.025e-05i,0.00095709+0.00026772i,0.0014433+0.00017031i,0.00046474+0.00083284i,-0.00072715+0.0016667i,-0.0010096+0.0021373i,-0.00067322+0.0016432i,-0.00045167+0.00052544i,-0.00088453-0.00084894i
0.00057729+0.00076901i,0.0012116+0.00032617i,0.00098467+0.0001306i,0.0015644+0.00081015i,0.0023766+0.0035741i,0.00083302+0.0064504i,-0.0021522+0.0070967i,-0.0027618+0.0057999i,-0.0017359+0.0017036i,-0.0027428-0.0028315i,-0.005288-0.0052726i,-0.0054098-0.0039252i,-0.0040797-0.00059359i,-0.0030432+0.0016981i,-0.0019898+0.0035715i,-0.0014866+0.0047963i,-0.002017+0.0039824i,-0.0022139+0.0017987i,-0.0010273+0.0012702i,-0.0004721+0.001003i,-0.00055368+0.00019446i,-0.001019+5.6491e-05i,-0.00037723-0.00054185i
-0.0032326+0.0019514i,-0.0034769+0.0034043i,-0.0020435+0.0042756i,-0.001668+0.0056004i,-0.0043942+0.0076547i,-0.0067339+0.0062782i,-0.0054232+0.0018038i,-0.0020163-0.0013195i,-0.00014874-0.0020417i,0.0004852-0.001904i,0.000944-0.0013462i,0.00031745+6.5416e-05i,-0.00034048+0.0013956i,-0.00092283+0.0017774i,-0.0018739+0.0014248i,-0.0029317+0.0010843i,-0.002333+0.00097412i,0.0003537+4.628e-05i,0.0023795-0.00091343i,0.0023453-0.0014078i,0.00131-0.0014279i,0.00035573-0.0011577i,-2.9297e-05-0.00050932i
-0.00041753+0.0005059i,-0.001345+0.0011533i,-0.0013781+0.0022528i,-0.0025614+0.0013916i,-0.0042145-0.0029309i,-0.0028886-0.0063016i,-0.00050107-0.0068867i,-0.00068012-0.0063259i,-0.003382-0.0037793i,-0.0049872+0.0018343i,-0.0033254+0.0066031i,-0.00012158+0.0064658i,0.00097247+0.0029285i,0.00058672+0.00015044i,0.0011077-0.0021689i,0.0020849-0.0035686i,0.0026645-0.0034566i,0.0024101-0.0026706i,0.0014974-0.0014934i,0.00068036-0.00044291i,0.00027256-0.00031541i,0.00013791-0.00057884i,-0.00068178-0.00014567i
0.0011182-0.00073659i,0.00042105-0.00055429i,-0.0004264-0.0018605i,-0.00052249-0.002243i,0.0015388-0.00096916i,0.0034236-0.00028156i,0.0016854-0.00098915i,-0.0014644-0.0012075i,-0.0039377-0.00024831i,-0.0048288+0.00077795i,-0.0040858+0.00015836i,-0.0023073-0.0015468i,2.4407e-05-0.0026333i,0.0012048-0.0020254i,0.0019094+0.00014558i,0.0033309+0.0021632i,0.003582+0.0023409i,0.0013309+0.00099401i,-0.00063199-0.00044367i,-0.00082282-0.0011286i,-0.0010411-0.00090443i,-0.0010028-0.00046031i,-0.00069309-0.0013562i
-0.0028495-0.00084232i,-0.0022797-0.00042139i,-0.00066399+0.00036551i,-0.00028694+0.0033634i,-0.00084716+0.0072388i,-0.0024738+0.008484i,-0.0047646+0.0056418i,-0.0060508+0.0039852i,-0.0035366+0.0041442i,0.0013261+0.00068499i,0.0032947-0.0041166i,0.0013914-0.0049909i,0.0001645-0.0023726i,-0.00038969+0.00086646i,-0.0024465+0.0032295i,-0.0035156+0.0030917i,-0.0033681+0.0016421i,-0.0023938+0.00084942i,-0.0012696+0.00052239i,-0.00089227+0.00033622i,-0.00079561+0.00021873i,-0.00016919+0.00041077i,0.00065197+0.0009438i
