-0.00063872+0.00042383i,0.00020141-0.0008542i,-0.00044623-0.00033985i,0.00027947+0.00046474i,8.2047e-05+0.0023744i,-0.00091979+0.0031343i,-0.0011637+0.0025763i,-0.0011764+0.0025696i,-0.00051558+0.0014498i,-0.00010806-6.8389e-05i,0.00036859-0.0010952i,0.0001305-0.001104i,-0.0014411-0.00057212i,-0.001272-0.00083598i,-0.00048886+0.00039359i,-0.00075688+0.00098522i,-0.00075696+0.00021624i,-0.00041141+0.00044585i,-8.1846e-05+0.00047355i,-0.00012731-0.00014749i,-0.00048985-0.0007793i,7.8852e-06-0.00079953i,0.00087679-0.00019888i
0.0011448-0.00070554i,0.00039613-0.00044331i,-0.0006952-0.0009216i,-0.0010728+0.0010543i,-0.0011943+0.0020876i,-0.0012996+0.0018299i,-0.0014152+0.0017388i,-0.0011813+0.00014116i,-0.0007994-0.00030557i,-0.00023602-0.00032201i,0.00042904-0.0010001i,4.0098e-05-0.0010953i,-0.0010332-0.00086119i,-0.0016553-0.00055497i,-0.0013225+6.2432e-05i,-0.00065194+0.00033951i,-0.00042205+0.00034384i,-0.00020587+0.00013122i,-0.00028903-0.00022822i,-0.00026253-0.00087549i,-0.00067343-0.00098836i,-0.00062999-0.00040776i,-9.863e-05-4.9806e-05i
0.00062922-0.0014802i,4.1212e-05-0.0020907i,-0.00061308-0.0021303i,-0.0021785-0.001395i,-0.0027955-0.00090635i,-0.0020799+0.00010323i,-0.00085461+6.67e-06i,0.00078952-0.00067346i,0.001727-0.00016951i,0.0011147-0.00017613i,0.00081525+0.00026592i,0.00059676+0.00078705i,0.00061137+0.0006953i,0.00079722+0.00042631i,0.00079716-0.00064491i,0.0008765-0.00067906i,4.7638e-05-0.00026335i,-0.00082231-0.00031368i,-1.2235e-05-3.9155e-05i,0.00082058+0.0001159i,0.00027108-0.00033231i,0.00011599-5.9911e-05i,-2.9918e-05+0.00080807i
-0.00045591-0.0026293i,2.6975e-05-0.0027261i,-8.3585e-05-0.0021897i,-0.00076768-0.001249i,-0.0014419+8.5155e-05i,-0.0016855+0.00096812i,-0.0017827+0.0010217i,-0.001087+0.00036427i,0.00028655+5.6412e-05i,0.00069646+0.00045269i,0.00087717+0.00076476i,0.0014466+0.00092391i,0.001218+0.00099575i,0.0011648-8.2078e-06i,0.00072123-0.0012734i,-0.00074192-0.0014689i,-0.00073602-0.00071583i,0.00022464-0.00039949i,0.00062426-0.00033087i,0.00065045-7.8017e-05i,0.00069869+0.00072721i,0.00036597+0.00094745i,0.00049679+0.00022867i
-0.0010114+0.00040286i,-0.00066246+0.00037947i,-0.0013797+0.0017304i,-0.0022812+0.0025255i,-0.0013556+0.00216i,-0.00018285+0.0015373i,0.00030672+0.0009909i,-0.00032702-2.3457e-05i,-0.0016395-0.00044816i,-0.0014495-0.00014256i,-0.00053389+0.00021021i,-0.0001143+5.4376e-05i,6.5369e-05-0.00073954i,-0.00046529-0.00094579i,-0.00069085-0.00081489i,-0.00056089+0.00035005i,-0.001176+0.0011853i,-0.0016094+0.00082097i,-0.001489+0.00080809i,-0.0012862+0.00084197i,-0.00093942+0.00041237i,-0.0010294+0.00053086i,-0.0013724+0.00077738i
-0.00080373-0.0010052i,-0.0022511-0.0020634i,-0.0028164-0.0024477i,-0.0025195-0.0016766i,-0.00135-0.00013048i,-0.001135+0.0011914i,-0.0015226+0.0015843i,-0.00049995+0.00069559i,0.0001042-7.4693e-05i,-0.00075169-0.00066692i,-0.00058203-0.001019i,-2.8949e-05-0.00026128i,0.00015868-0.00059173i,0.00025691-3.75e-05i,-0.00033972+0.00099173i,-0.00065902+0.00068849i,-0.00046691+0.00018502i,-0.0012602-0.00018285i,-0.0014814-0.00030421i,-0.00059207-0.00034771i,-0.00015817-0.00077955i,0.00022902-0.0011136i,-6.799e-05-0.00061187i
0.000281-0.00051732i,-0.00072371-0.0012859i,-0.0019882-0.001478i,-0.0010957+0.00079958i,-0.001262+0.0019208i,-0.0021078+0.0010127i,-0.0011529+0.00063474i,-1.4657e-05+0.00022902i,0.00017807-0.00031617i,0.00043864-0.00047769i,0.00082705-0.0003384i,0.00043713-0.00019196i,-4.4666e-05-6.5792e-05i,0.00076219-0.00028274i,0.00055432-0.00041806i,-0.0002993-1.3688e-05i,-0.00088859-0.00024246i,-0.00075008-0.00058697i,-0.00094667-0.00035353i,-0.0010274-0.00046888i,0.00019111-0.00084495i,0.00094701-0.00040622i,0.0002599+0.00083164i
-0.000993+0.0013734i,-0.00067394+0.0014988i,-0.00089506+0.0025492i,-0.00060811+0.0024379i,-0.00052453+0.001797i,-0.00091397+0.0018862i,-0.00064726+0.00085069i,8.1093e-05-0.00025308i,0.00086954+0.00059184i,0.0011471+0.00096869i,0.00095368+0.0010159i,0.0006135+0.00058612i,0.00013517+0.00048334i,4.5766e-05+0.00095527i,0.00021569+0.00044028i,-0.00044271+0.00062871i,-0.0013769+0.00052099i,-0.0019413-0.00075859i,-0.0011259-0.00042089i,0.00041793+0.00095468i,0.0009032+0.0016152i,0.0009688+0.0018838i,0.00068728+0.0011873i
0.00070445+0.0010013i,-5.3262e-05-0.00055911i,0.00034669-0.00019658i,0.0010141+0.00089489i,0.00095419+0.00033045i,-0.00022645+3.2449e-05i,-0.0013104+0.0011482i,-0.0012545+0.0013142i,-0.00088141+0.0011776i,-0.00057295+0.00097304i,-0.00035902+0.00027543i,-5.9457e-05+0.00066234i,0.00033442+0.0010219i,0.00024604+0.0011682i,5.5056e-05+0.0010411i,-0.00044234+0.00077783i,-0.00056275+0.00011202i,0.00019039-0.00066783i,0.00094402+0.00016101i,0.00039561+0.0014208i,-0.00033557+0.0012971i,-0.00042657+0.0010444i,-0.00038806+0.00077589i
-0.00017666-0.0010252i,-0.00024005-0.0017052i,-0.0001044-0.0010027i,3.4641e-05+0.0011483i,-0.00018722+0.0013438i,-0.00084547+0.001339i,-0.0012542+0.0016023i,-0.0011921+0.00099429i,-0.0011396-6.25e-05i,-0.0017717-0.0011026i,-0.00082889-0.0010681i,0.00040549-0.00020752i,0.00047864+0.00043029i,0.00066678+0.00049689i,0.00024558+0.0001036i,-0.00037639-0.00078516i,2.5478e-05-0.0012196i,-0.00017981-0.0002754i,-0.0010923+0.000704i,-0.0015042+0.00075122i,-0.0011984+0.0004093i,-0.00051673-0.00015699i,-0.00035572+0.00013661i
0.0024925-0.00073197i,0.0018719-0.0015124i,0.0012851-0.0016211i,-0.00015816-0.0017238i,-0.0011288-0.0018386i,-0.0016478-0.0010188i,-0.0020964+8.5145e-05i,-0.0012681+0.00029512i,0.00031802-0.00039693i,0.00071913-0.0010883i,0.00046082-0.0012374i,0.00015126-0.00095749i,-0.00044301-0.0010516i,-9.4413e-05-0.00093987i,-4.5164e-05-0.00012563i,-0.00096966+0.00033824i,-0.0010871-0.00022519i,-0.0011674-0.00061117i,-0.0012388+8.873e-05i,-0.0012647+0.00076441i,-0.00052573+0.00051335i,0.00048676-0.00014836i,0.00030127-0.00052878i
0.00092972+0.00045296i,0.0013514-0.0012237i,0.00078113-0.0015973i,0.00026377-0.00058394i,-0.00019636+0.00082063i,-0.0015672+0.0011856i,-0.0014273+0.00079274i,0.00016182+0.00092751i,0.0016537+0.00018879i,0.0015819-0.00058072i,0.0011706-4.2149e-05i,0.00083154+0.00045807i,0.0002672+0.001027i,0.00017426+0.00077904i,0.00066178-0.00055092i,0.00090937-0.00029389i,0.00017535+0.000856i,-0.00098446+0.00054248i,-0.00091182-0.00030408i,-0.00051047-0.00031528i,-0.00051936+0.00049384i,-3.9149e-05+0.00087047i,0.000239+0.00095197i
-0.00033333+0.0021677i,0.0014156+0.002397i,0.0011726+0.0032455i,0.0006299+0.0033383i,0.0011118+0.0027549i,0.00037509+0.001006i,-0.0010105+0.00057494i,-0.00090088+0.00090958i,0.00067636+0.00071373i,0.0019466+0.0006167i,0.0019022+0.00060518i,0.00042137+0.00032127i,-0.00012727-1.3473e-05i,0.00010006-9.9605e-05i,0.00033725+4.0514e-05i,-0.00011873-0.00042847i,-0.0011794-0.0012354i,-0.0010575-0.0012476i,0.00021852-0.00085013i,0.00074882-0.00036358i,-0.00037854+0.00028067i,-0.00096641+0.00040459i,-2.1622e-05+0.00026336i
-0.001703+0.0011122i,-0.0018219+0.0011305i,-0.0017683+0.00075797i,-0.0014495+0.00093537i,-7.3894e-05+0.0013232i,6.7258e-05+0.00059614i,-0.001214-0.00032983i,-0.0016721-0.00050033i,-0.0017907-0.00073297i,-0.0011301-0.0005917i,-0.00011542-0.00023433i,0.00058911-0.0005349i,8.454e-06-0.0011322i,-0.0011344-0.0017276i,-0.0006292-0.0012793i,0.00020287-0.00057724i,-0.00027582-0.00057881i,-0.00077954-0.00029389i,-0.00071688+0.00043192i,-5.58e-05+0.0010366i,6.7059e-05+0.0012438i,-0.00044524+0.0007374i,-0.00022406-0.00021809i
-1.6597e-05-0.00027414i,-0.00024239-0.00048023i,-0.0012168-0.00084537i,-0.0010046-0.0008045i,-0.0013192+0.00047874i,-0.0028384+0.0017735i,-0.0031407+0.0013399i,-0.0023602+0.00039599i,-0.0016969-0.00027385i,-0.0013052-1.8468e-05i,-0.00082253+0.00016523i,-0.0003036-0.00034103i,8.5796e-05-0.00092861i,-0.0008171-0.00096856i,-0.0017787-0.0014365i,-0.0022258-0.00067601i,-0.0010891+0.00062978i,-8.5014e-05+0.00034985i,-0.0011575-0.00017902i,-0.0014134+0.00013338i,-0.0005099+0.00031493i,0.00047412-0.00030176i,-6.0694e-06-0.00057964i
0.0015616-0.00077669i,0.0024551-0.0006176i,0.00099181-0.00080698i,-0.0010046-0.00021967i,-0.0019922+0.001323i,-0.0013506+0.0018553i,-0.0011436+0.0017899i,-0.001047+0.0019053i,-0.00034579+0.0015202i,-0.000154+0.0010871i,4.219e-05+0.0011922i,0.00076467+0.00081531i,0.00039342+0.00011186i,0.00021675-0.00012892i,0.00081822-0.00046479i,0.00092926-0.00069572i,6.1301e-05-0.00062873i,-0.00074029-0.00051215i,-0.0011772-0.00043i,-0.001311-0.00084073i,-0.00064049-0.0004023i,-0.00024586+0.00046834i,-0.00049814+0.00015486i
-0.00017083-0.00086687i,-0.0013756+2.9181e-05i,-0.0033988+0.0003547i,-0.0023291+0.00092767i,-0.0011867+0.0010331i,-0.00065823-0.00013164i,0.00027643-0.00057353i,0.00057211-0.00018956i,0.00034803+0.00018344i,7.7948e-05+0.00028433i,0.00063887+0.00018388i,0.0011538+0.00074473i,0.0002745+0.00075516i,-0.00089349+0.00012701i,-0.00048362+9.1859e-05i,2.5848e-05-0.00017951i,-0.00042758-0.00067816i,-1.8609e-05-0.0011377i,0.00067278-0.0004338i,0.00072114+0.00064425i,0.00066647+0.00029806i,0.00066024+0.00082957i,0.00032426+0.00082167i
0.00056918-0.00033791i,0.00046822-0.0010124i,-0.00088726-0.001486i,-0.0021881-0.00020862i,-0.0024565+0.0010021i,-0.0017672+0.0018079i,0.00021326+0.00166i,0.00090799+0.00023972i,-0.00021037-0.0011573i,-0.00022245-0.0012738i,0.0003543-0.00065902i,0.00037472+0.00035311i,-0.0001338+0.0011723i,-0.00046123+0.001492i,-0.0010612+0.00055976i,-0.0014557-0.000385i,-0.00088363-0.0004078i,0.00050475-0.00032599i,0.0012092-0.00037162i,0.00037279-0.00051789i,-0.00039812-0.00043142i,-0.00057482-0.00043997i,-0.0002796+0.00014103i
0.002266+0.00017392i,0.0018365-0.0009707i,0.0022313-0.0012132i,0.0018877-0.00092652i,0.00015788-0.00055417i,-0.0015672-0.0010526i,-0.0026568-0.00090699i,-0.0023979-0.00010287i,-0.0017165-1.4596e-05i,-0.0012012-0.00074817i,-0.00080577-0.0013923i,0.00021487-0.00098452i,0.00043524+0.00010293i,-0.00022953+0.00063092i,-0.0011281+0.00024254i,-0.0008317-0.00064169i,0.00038548-0.00070929i,0.0004011+0.0010545i,-8.9922e-05+0.0020935i,0.00046662+0.0016141i,0.00096281+0.00057041i,0.00059748-0.00032047i,0.00046138-6.8369e-05i
-0.00081241-0.00079217i,-0.00048112-0.00060692i,-0.00081795+0.00015356i,-0.00070143+0.0010686i,-0.00081069+0.0026184i,-0.0010497+0.0031037i,-0.0016123+0.0022745i,-0.0018875+0.0016082i,-0.0018265+0.0010225i,-0.0015103+0.0011742i,-0.00075582+0.00089819i,-1.328e-05-0.00033265i,0.00022269-0.00088062i,0.00041827-0.00092201i,0.0004006-0.00079069i,-0.00040222-0.00050174i,-0.0009961-0.00010209i,-0.0013956-1.3781e-06i,-0.002015+0.00018217i,-0.0019869+0.00041005i,-0.0011286+0.0009389i,-1.0935e-05+0.00075942i,0.00029057+0.00047084i
0.00075233+0.00031787i,0.00022628+0.00011198i,0.00012756-0.00058121i,0.00094317-0.00039636i,0.00099287+9.9721e-05i,-0.00069226-8.9326e-05i,-0.00066581+7.6219e-05i,0.00017332+0.00067058i,0.00037693+0.0011512i,0.0010761+0.0018292i,0.001667+0.0014301i,0.0010528+0.00057346i,0.00019869-0.00017897i,0.00026+3.9433e-05i,0.00066862+0.00075505i,0.00027609+0.00028372i,-0.00047831-0.00039591i,-0.0011113-0.00032282i,-0.0015252-9.3321e-06i,-0.0014045+0.00047985i,-0.001357+0.00061408i,-0.001273-8.1341e-06i,-0.00025225-0.00062678i
0.00079303-0.00040689i,0.00059036-0.0018958i,0.00047669-0.0023478i,-4.5385e-05-0.0011385i,-0.0003259+0.00046558i,-0.0011916+0.00038331i,-0.00082101+0.00022446i,6.5857e-05+0.00020937i,0.00014853-0.00025095i,0.00074356-0.00045358i,0.0013281-8.6562e-06i,0.001062+0.00061808i,0.00042871+0.0012711i,6.9447e-05+0.0009196i,-8.9952e-05-4.021e-05i,-0.00042617+0.0004629i,-0.00057967-1.4356e-06i,-0.0004615-0.00023571i,-0.00018425+0.00047053i,0.00017519-0.00086444i,0.00030143-0.0012305i,0.00014085-0.00015323i,0.00031248-5.3438e-05i
0.0019038-0.001101i,0.0016375-0.0010476i,0.00065266-0.00087571i,-0.0016289-0.00060139i,-0.0023479+0.00015894i,-0.0021994+0.0012716i,-0.0013546+0.001694i,1.007e-05+0.0010552i,0.00058526-0.00060453i,-9.9784e-05-0.0016578i,-0.00029481-0.0011087i,0.0009758-0.00036938i,0.0016227+0.00036496i,0.00073166+0.00033886i,-6.4278e-05-0.00060553i,-0.00041697-0.0011346i,-0.00062238-0.00087803i,-0.00032875-0.00017039i,-0.00017522+0.00047169i,0.00060445+0.00062579i,0.0013334+4.6461e-05i,0.0016443-0.00019611i,0.0015293+0.00011608i
0.00050727+0.00087025i,0.0013836-0.00058675i,0.0019799-0.00023107i,0.0017922+0.00094674i,0.0016766+0.00090139i,0.00091387+0.00020162i,-0.0012308+0.00014006i,-0.0032058+0.00074152i,-0.0027595+0.00054821i,-0.0018555+0.0002893i,-0.001387+1.2174e-05i,-0.00051523-0.00054065i,0.00026273-0.00074064i,0.00048223-0.00091379i,0.00035422-0.00092767i,-0.00019997-0.00086038i,-0.00089818-0.00062055i,-0.00096743-0.00048116i,-0.00085758+0.00031836i,-0.00029365+0.0012478i,-0.00025213+0.0015137i,8.683e-05+0.0015018i,1.011e-05+0.0012244i
0.00011785+0.0011607i,0.00042125+0.00070317i,-6.6084e-05+0.0010489i,-0.0012813+0.0015484i,-0.0004478+0.0011558i,0.00024067+0.00046067i,-0.0007014+0.00027569i,-0.00097763+0.0008447i,-0.00080295+0.0014213i,-0.0010757+0.0013049i,-0.0016047-0.00032322i,-0.0015844-0.0014722i,-0.0015628-0.001089i,-0.0013096+0.00011135i,-0.0010495+0.00068364i,-0.00038588-0.00043499i,-0.00014535-0.00116i,-0.00070715-0.0011301i,-0.0011865-0.00072901i,-0.0018965+0.0003048i,-0.0024486+0.00091968i,-0.0019505+0.00033433i,-0.00096955-8.5571e-05i
0.00091937+0.00022129i,0.0008492-0.0002022i,0.00017475-0.00029729i,-0.00039783-0.00053317i,-2.9046e-06-7.7732e-06i,7.8867e-05+0.00083837i,-0.00087477+0.0015268i,-0.00048035+0.0013421i,0.00075321+0.00094092i,0.00093228+0.0007373i,0.00089191+0.00071i,0.0013074+0.00054526i,0.00042017-0.00018156i,-0.00067413+0.00011515i,-0.00062481+0.00088079i,-0.00051192+0.00090336i,-0.00045335+0.00014836i,-0.00062727-0.0012868i,-0.00096027-0.0021167i,-0.00057141-0.0017702i,-0.00066449-0.0012929i,-0.00089203-0.00086678i,-0.0001889-0.00048381i
0.0012521+0.00013763i,0.0017031-0.0010242i,0.00080582-0.001168i,0.00075602-0.00068561i,0.00075972-4.1206e-05i,-0.00050072+0.00074946i,-0.0010126+0.002065i,-0.00018921+0.0017679i,0.0010853-1.6743e-05i,0.0017992-0.00044553i,0.0022744+0.00015494i,0.0019213+0.00058838i,0.0009575+7.0973e-05i,0.00052945-0.00016691i,-5.5084e-06+0.00035262i,-1.7187e-05+0.00098269i,-6.1224e-05+0.00059149i,-0.00033938-0.00020832i,-0.0003938+0.00047476i,-0.00041867+0.00088699i,-0.00024683+0.00034794i,0.0004496+0.00012526i,0.0013831+0.00040586i
0.00049028+0.0018563i,0.00060552+0.0026022i,-0.0010057+0.0026932i,-0.0014743+0.0019046i,-0.00072501+0.0019022i,-0.00045475+0.0017945i,-0.0018169+0.0014079i,-0.0019333+0.001592i,-0.00046911+0.00071173i,0.00062228-0.00041822i,0.00063735-0.00064302i,-2.2629e-05-0.00066971i,-0.00012708-0.00043605i,0.00012214-0.00039335i,-0.0003705-0.00044213i,-0.00089659-0.00031748i,-0.0008044+0.00042235i,-0.00034293+0.0015839i,-0.0004867+0.0020292i,-0.00040754+0.0016966i,5.1029e-05+0.0018282i,-0.00034929+0.0017197i,-0.00060376+0.0013019i
0.00019453-0.0021203i,-0.0015476-0.0027075i,-0.002601-0.0027377i,-0.0034529-0.0014417i,-0.003913-0.0001165i,-0.0038535+0.00069514i,-0.0023941+0.00095557i,-0.0012127+0.00021584i,-0.0022381-0.00026442i,-0.0038115-0.00047452i,-0.0032034-0.00012152i,-0.0012693+0.00039679i,0.00038545-4.3484e-05i,0.0015169-0.00029052i,0.0017945-0.00033823i,0.0014269-0.00067374i,-0.00058394-0.00044727i,-0.0020249-1.8587e-05i,-0.0015717+0.0003573i,-0.00089391+0.00080325i,-0.00044764+0.0013599i,-0.00027183+0.00095258i,-0.00036187+3.8089e-05i
0.00066688-0.0014426i,9.047e-06-0.0027065i,-0.00030473-0.0022559i,-8.8598e-05-0.0005292i,-0.0012104+0.00022069i,-0.001926-0.00074018i,-0.00093076-0.00081608i,-0.00018633-0.00096626i,-0.00074859-0.00097317i,-0.0016905-0.00053751i,-0.0010084-0.00027368i,-7.8806e-05-6.0524e-05i,-0.00069099-0.00053812i,-0.0017164-0.00069218i,-0.0012996-0.00019007i,4.8993e-05-0.00055029i,0.0002235-0.00075948i,-0.00058605-0.00088195i,-0.00074695-0.0011142i,-0.00093597-0.0011045i,-0.0012805-0.0010315i,-0.00066953-0.00034294i,0.00018847-0.00084183i
0.00056764-3.4086e-05i,0.001033-0.00012588i,0.00056329+0.00057801i,-0.00051397+0.00097243i,-0.0011576+0.0016124i,-0.00071021+0.0017023i,-0.00032303+0.0010514i,0.00087455+0.00017164i,0.0023144+0.0001387i,0.0025206+0.00089269i,0.0020495+0.001025i,0.0011634+0.00084242i,0.0002778+0.00019623i,-0.00024906-0.00080052i,-0.00050375-0.00052949i,-0.00053902+0.00025987i,-0.00014002+0.00052192i,-5.0697e-05+0.0001623i,0.00017472-0.00053127i,0.00086606-0.0010859i,0.0012147-0.0012464i,0.0013718-0.00059362i,0.0015048-4.3674e-05i
0.0010312+0.0022533i,0.0013264+0.0012488i,0.0020689+0.0004171i,0.0027504+0.00011024i,0.0022292+0.0004329i,-0.00025202+0.0014347i,-0.0022647+0.0026042i,-0.001981+0.0017726i,0.00010517+0.00047759i,0.0015176-7.624e-05i,0.00046707-0.0004887i,-0.00049736+0.00029307i,0.00039351+0.0010862i,0.00072346+0.00060027i,0.00016297+0.00047337i,-0.00021839+0.00033657i,-0.00057946+0.00024092i,-0.0007799+0.00069158i,3.3247e-05+0.001785i,0.00084717+0.0021663i,0.00096696+0.0019167i,0.0011191+0.0012528i,0.0011804+0.00083183i
0.0005011-0.0020257i,-0.00080709-0.0014597i,-0.0014546-0.0010899i,-0.0016446+0.00051094i,-0.0022488+0.001937i,-0.0028422+0.0026428i,-0.0033041+0.0018087i,-0.0034445+0.00028418i,-0.0033239+0.00024495i,-0.0031076+0.00014929i,-0.0022875+0.00017249i,-0.0012972+0.00069702i,0.00031684+0.00024303i,0.001401-0.0006988i,0.00051698-0.0016222i,-0.00044334-0.0016735i,-0.0014649-0.0009904i,-0.0016947-0.00042224i,-0.0010289+0.00065439i,-0.00048756+0.0013627i,-0.0005772+0.001922i,-0.0010167+0.0020612i,-0.00097071+0.00090308i
0.0010791-0.0020761i,0.0013921-0.0035527i,0.00073778-0.0033124i,-0.0017886-0.0029851i,-0.0027733-0.0025353i,-0.002579-0.0014897i,-0.0024382-0.0015916i,-0.001806-0.0015959i,-0.0018285-0.00067813i,-0.0025544+1.8446e-05i,-0.002299+3.9894e-05i,-0.0016103-0.00068662i,-0.00075963-0.0015439i,-0.00057783-0.0011992i,-0.00060772-0.00015233i,-0.0001199+0.00022935i,0.00021396+0.00020211i,0.00061384-0.0004425i,0.00014533-0.00071847i,-0.0014328-0.00044184i,-0.0020692-0.00027167i,-0.0015994-0.00013502i,-0.0013539-0.00087866i
0.00042968-0.00044107i,4.2196e-05-0.0011131i,0.00038104-0.00098962i,0.0012238-0.000433i,0.00064679-7.7036e-05i,-0.00026355+7.3244e-06i,-5.0813e-05+0.00076888i,0.00085992+0.0011682i,0.001582+0.0006612i,0.00158+0.0004731i,0.0018966+0.00042546i,0.0022301-9.4061e-05i,0.0011694-0.0005819i,6.4044e-05-0.00046046i,-0.00017234+0.00039159i,-7.5535e-05+0.00061452i,-6.0268e-05+6.0589e-05i,2.8609e-05-6.8693e-05i,9.988e-07+7.4767e-05i,-4.7478e-06-0.00060646i,-0.00059083-0.0016503i,-0.00078006-0.0014982i,-0.00029489-0.00018133i
0.00034991+0.0017025i,0.00016304+0.0024092i,-0.00017873+0.0031922i,-0.00059155+0.0036498i,-0.00025057+0.0030629i,-0.00023086+0.0025526i,-0.0013416+0.0032528i,-0.001294+0.0026591i,0.00062949+0.0014676i,0.0026178+0.0011082i,0.0021863+0.0010384i,0.0008395+0.0008912i,0.00032722+0.0012553i,0.0002326+0.0017193i,0.00025422+0.0020108i,-6.7473e-05+0.0018101i,5.3169e-05+0.00090523i,2.796e-06+0.00037963i,-0.00021391+0.00054944i,-0.00014645+0.00054859i,-0.00011092+0.00022362i,0.0002547+0.00045006i,0.00099303+0.0012201i
0.00046468-0.00064383i,0.0011124-0.00040443i,-0.0001791-0.0002984i,-0.00065711+0.00026767i,-0.00098819+0.0013664i,-0.0022712+0.0024293i,-0.0025417+0.001462i,-0.0020277-0.00014814i,-0.0019088-0.00038556i,-0.0017781-0.00035469i,-0.0013836+0.00011787i,-0.00071918+0.00039503i,-0.00045859+2.3451e-05i,2.3003e-05+0.00041189i,3.2331e-05+0.00012248i,-0.0011028-0.00092567i,-0.0016673-0.00096634i,-0.0014425-0.00026738i,-0.00083958+0.00053768i,-0.00023692+0.0010289i,-0.00023531+0.00094889i,-0.0011673+0.0011182i,-0.0011744+0.0013658i
0.00015828-0.00043174i,-0.00098652-0.0016842i,-0.0012113-0.0018804i,-0.0014193-0.00034618i,-0.0019572+0.00048585i,-0.0019977-0.00081913i,-0.0018497-0.0019358i,-0.0023984-0.0017629i,-0.0039302-0.001133i,-0.0050822-0.0010108i,-0.0034618-0.0011188i,-0.00073346-0.00075796i,0.00047594-0.00055736i,0.00014766-0.00097284i,-0.0001352-0.0014957i,0.00021411-0.0018257i,-0.00041908-0.0020003i,-0.0010578-0.0016357i,-0.0010447-0.000177i,-0.0016766+0.00092623i,-0.0021021+0.00085779i,-0.0014608-7.9038e-06i,-0.00059285-0.001205i
-0.00063456-0.0013351i,-0.00082735-0.001889i,-0.0012911-0.0014379i,-0.002017-0.00053132i,-0.0019153-4.8417e-07i,-0.0010097-8.2126e-05i,0.00041885+0.00022922i,0.0018249+0.00069051i,0.0015499+0.00031786i,0.0003985-0.00017998i,0.00052396-0.00014785i,0.0012381-0.00091179i,0.00070524-0.0019358i,-0.00029933-0.0019706i,-0.00047261-0.0011135i,-0.00039447+0.0003345i,0.00028001+0.00080934i,0.00046656+0.00046917i,5.231e-05+6.8081e-05i,-0.00036434-0.0006503i,-0.00036595-0.00082348i,0.00044805-9.0769e-05i,0.0010227-0.00023208i
0.00040643+0.0012773i,0.0011557+0.0018921i,0.0018501+0.0019848i,0.001927+0.0015907i,0.0017445+0.0015232i,0.0010845+0.0017082i,0.00040896+0.0021971i,0.0013504+0.0026435i,0.0037794+0.0026921i,0.0051563+0.001167i,0.004171+0.00010244i,0.0026074+0.00020077i,0.001353-7.1234e-05i,0.00050447-5.8339e-05i,0.00036748+0.0010308i,0.00015177+0.0013108i,-0.0003871+0.00072158i,-0.00054309+0.00060321i,-0.00073704+0.00042832i,-0.00052283-0.00054812i,0.00094971-0.00086957i,0.0014425+0.00090185i,0.001366+0.0014207i
-0.0031126-0.00087079i,-0.0017978+0.00069356i,-0.0024803+0.0030295i,-0.0028648+0.0043405i,-0.00065967+0.0052848i,9.378e-05+0.0053192i,-0.0019344+0.0025454i,-0.003022+0.00024086i,-0.0014362-0.00022355i,0.00055227+0.00032316i,0.00057076+0.00072032i,0.00010118+0.0010587i,0.00077481+0.0013958i,0.00063128+0.0014074i,-0.00012859+0.0010265i,-0.0004565+1.4781e-05i,-0.0007175-0.0011869i,-0.0016707-0.00090069i,-0.0017418-0.00050353i,-0.00038247-0.00051943i,-0.00022453+0.00047106i,-0.00042176+0.0011569i,-0.00055435+0.0014991i
0.0019986-0.0016971i,0.0017293-0.0046307i,0.00011984-0.0068096i,-0.001691-0.0049325i,-0.002805-0.0019264i,-0.0042104+2.8475e-05i,-0.0049101-0.00010551i,-0.0044273-0.0011121i,-0.0041801-0.0022395i,-0.0050262-0.0016035i,-0.0046705+0.00031943i,-0.0024332+0.001637i,-0.00065158+0.0019824i,-5.469e-06+0.00096667i,0.00069862+0.00015413i,0.00028885-0.00037241i,-0.0012834-0.000726i,-0.00066746-0.00073496i,0.00037872-0.00085413i,0.00042443-0.00078739i,-9.5871e-05-0.00072538i,-0.00096693-0.0011809i,-0.0011229-0.0013492i
0.0029544-3.1911e-05i,0.0024828-8.9808e-06i,0.0022882-0.00073871i,0.00069749-0.0004921i,-0.0019011-0.00054726i,-0.0025405-0.0012542i,-0.00069633-0.0010466i,0.00070453+9.2999e-05i,-0.00072199+0.00047054i,-0.0021518+0.00077507i,-0.0018866+0.00050678i,-0.00086473-0.00066227i,-0.00089613-0.0018655i,-0.0011963-0.00258i,-0.0006018-0.0018432i,0.00032689-0.00037516i,0.00067154+0.00038967i,0.0010011+0.00015591i,0.0011191+0.00014529i,-1.3745e-05+0.00071917i,-0.00088487+0.00087453i,-0.00083253+0.00011382i,-0.00037507-0.00068997i
-0.0015713+0.0009278i,-0.00078223+0.00064092i,-5.609e-05+0.0020635i,0.0013629+0.0029452i,0.0031843+0.0024894i,0.0035599+0.00086662i,0.0032124+0.00068179i,0.0031455+0.0021118i,0.0031381+0.0029844i,0.0038398+0.0019648i,0.0040265-6.2942e-05i,0.0032091-0.0005545i,0.0015399-0.0012641i,-0.00013464-0.0020964i,-0.00050919-0.00079678i,-0.0003782+0.0013158i,6.0535e-05+0.0018133i,0.00075195+0.0012842i,0.0002523+0.00075587i,-4.9266e-05+0.00012814i,0.00040078-0.00018197i,0.00037138+0.00051015i,0.0012182+0.00027812i
