-0.00048361-0.00059655i,-0.0016777-0.0010141i,-0.0023184-0.00078369i,-0.0019455+0.0004048i,-0.0016812+0.0015501i,-0.0017486+0.0019551i,-0.00050563+0.0014841i,0.00032801+0.0010645i,0.00082753+0.00069083i,0.0013037+0.00020373i,0.0011705-0.00038356i,0.00052695-0.00030156i,6.7178e-05-0.00015242i,-9.2776e-05+0.00015449i,-0.00057527+0.00045551i,-0.00081199+0.00034515i,-0.00080913+0.0004112i,-0.00012702-0.00033233i,0.00016413-0.00070573i,-2.1714e-05+6.5184e-05i,-0.00035587+9.2856e-05i,-0.00086004-0.00022535i,-0.00091244+0.00040195i
0.00034189-0.00046928i,0.00048588-0.0014798i,0.0014113-0.00072288i,-0.00012022-0.00022504i,-0.0019667-0.00042197i,-0.0010231-0.00031918i,0.00042815+0.00022275i,0.000941-4.4625e-06i,0.00086438+8.1336e-05i,0.0008806+0.00033696i,0.0012758+0.00095135i,0.00098754+0.0013648i,0.00098132+0.00054624i,0.00047852+0.0001633i,-0.00017449+0.00052366i,2.2327e-06+8.7865e-05i,0.00045225-0.00053649i,0.00074305+0.00011177i,-0.00016838+0.0010705i,-0.0010918+0.00035959i,-0.00087102-0.00061835i,-0.00078691-0.00016093i,-0.00065231+0.00016481i
0.00051697+0.00091495i,-0.0007928+0.0016923i,-0.00082601+0.0010789i,-0.0011785-0.00031408i,-0.001223-0.0012659i,-0.0007991-0.0017391i,-5.0861e-05-0.0010964i,0.0013057-0.00049517i,0.0011527-0.00084194i,0.00098571-0.00089369i,0.0016393-0.00054069i,0.0010967+0.0003778i,0.00013601+0.00093901i,0.00075481+0.00047437i,0.00078762-7.766e-05i,0.00013317+4.8733e-05i,0.0002535+0.00066449i,3.7295e-05+0.00015512i,-0.00049437-0.00036316i,-0.00032197+0.0001012i,0.00030099+0.00038314i,0.00082858+0.00072022i,0.00042773+0.00095985i
-0.0016071+0.00076515i,0.00029868+0.0011969i,0.0013337+0.0017242i,0.00155+0.00092959i,0.0014904-0.00051028i,0.00030478-0.0010702i,-0.00075645-0.00032331i,-0.001015-0.00030455i,-0.00039865-0.00087938i,0.00068021-0.0010495i,0.0012038-0.0012447i,0.0011176-0.0016027i,0.00070742-0.0001971i,0.00041195+0.00050173i,-5.4784e-05-0.0010282i,-0.00049756-0.0008603i,-0.0008665-0.00054514i,-0.00062926-0.00098915i,-0.00046473-0.0004394i,-0.00047294+0.0003742i,-0.00012978+0.0005712i,0.00041068+0.00053689i,0.00093656-2.4956e-05i
-0.0015073+0.000259i,-0.00065118+0.00016951i,-0.0009424+0.00046862i,-0.00060824+0.00028869i,0.00055697-2.7643e-06i,0.00096389-0.00043358i,0.0009916-0.00056523i,0.00022848-0.00033955i,-0.00053943-0.00011189i,-0.00088739+7.54e-05i,-0.00078782+0.000552i,-7.7432e-05+0.00071564i,-0.00023852+0.00013186i,4.5776e-05-0.0005842i,0.0010143-0.00094966i,0.00094131-0.00036462i,0.00056326+0.00032556i,-0.00019585-0.00012099i,0.0001703-0.00037219i,0.00087298-0.00055076i,0.00023871-0.00027318i,-0.00069872+0.00042775i,-0.00089117+0.00092667i
-8.8867e-05+0.00057984i,-0.00092619-0.00034698i,-0.0011084-0.0019298i,-0.00072953-0.0026103i,-0.0011196-0.0019017i,-0.00096025-0.0012225i,-0.00032987-0.00020242i,-0.00058458+0.00059527i,-0.00039877+0.00047628i,-0.0007275+8.0731e-05i,-0.00096408+0.00019629i,-0.00058034+0.00060405i,-0.0006122+0.00078365i,-0.0007156+0.00086543i,-0.0010082+0.00063165i,-0.000779+0.00060069i,-0.00012825+0.00024636i,0.00050349+0.0003345i,0.00057794+0.0011268i,0.0004195+0.0010585i,0.00046562-0.00062501i,-0.00049988-0.0016583i,-0.00063729-0.0010306i
0.00058617+0.0017318i,-4.7538e-05+0.0013508i,0.00066972+0.0010353i,0.00054742+0.00015532i,0.00013499-0.00093964i,-3.6685e-05-0.00084511i,-0.00062124-0.00048958i,0.00011926-0.00033242i,0.0010837+0.00019517i,0.00046911+0.00052832i,-0.00027085+0.0010189i,-0.00066565+0.00078036i,-0.0014831-0.00061751i,-0.001969-0.0011829i,-0.0017645-0.00040247i,-0.0004147+0.0006264i,0.00044998+0.0016972i,-0.00077188+0.001615i,-0.0017789+0.00065993i,-0.0014488-4.0105e-06i,-0.00044424-0.00046497i,3.5244e-05+7.5485e-05i,-0.00040665+0.00014458i
0.0014739-0.00047746i,0.0002538-0.00015138i,8.9163e-05-0.00051635i,-8.6059e-05-0.0013136i,-0.00044829-0.0011036i,-0.0010526+0.00019945i,-0.00038197+0.00036671i,0.0010317-4.6963e-05i,0.001061+0.00042449i,0.001072+0.00070552i,0.0015312+0.00071578i,0.0012001+0.00025429i,8.4078e-05-0.00050062i,-0.00012413-0.00039473i,5.855e-05+4.4812e-05i,0.00022093+0.00038127i,0.00069471-0.00023022i,0.00064876-0.00059336i,0.0003116-0.00037364i,-0.00024213-0.00064797i,-0.00088713-0.00034067i,-0.00039424+0.00019899i,0.0003567+0.0004404i
-0.0011081+0.0008493i,-0.0006174+0.0011138i,-0.00077476+0.00018945i,-0.00098494-0.00046275i,-0.00056032+0.00037323i,-0.00056405+0.00084773i,-0.00027711+5.8801e-05i,0.00023186-0.0004263i,0.00076036+0.00020484i,0.0011263+0.00017316i,0.0011717+8.6755e-05i,0.00061359+0.00014641i,0.00033559+3.8858e-05i,0.00092928-6.8067e-06i,0.00050363+0.00023889i,4.8643e-05-9.0309e-05i,0.00045879-0.00087956i,0.00068914-0.00049464i,0.00061119-0.0002442i,0.00020996+0.00046468i,0.00014487+0.0012703i,-2.4911e-05+0.00091537i,1.7234e-06+0.00052179i
0.002386-0.00078342i,0.0025522-0.00074902i,0.0019679-0.001298i,0.00072438-0.0022879i,0.00027677-0.0022107i,0.00067538-0.00029369i,0.0010983+0.00039271i,0.00086146-0.00034388i,0.00027431-0.00074988i,-0.0004198-0.0014328i,-0.00044224-0.0022261i,0.00018584-0.0017227i,0.00019363-0.00073742i,-0.00022343+0.00022207i,-0.00023922+0.00087493i,0.00067689+0.00055274i,0.00033157+0.00049833i,8.1878e-05+2.2876e-05i,0.00024922-0.00053347i,-0.00025303-0.00059441i,-0.00046037-0.00027477i,6.016e-05+0.00031214i,-3.4659e-05+0.00026857i
-0.0001682+0.00052502i,5.0694e-05+0.001433i,0.00031341+0.0014448i,-0.00043487+0.00045205i,-0.0014228-0.001261i,-0.0019812-0.0020065i,-0.0013941-0.0011944i,-0.0010132-9.6346e-05i,-0.0010675-3.0026e-05i,-0.00048712-0.00099147i,-0.00031273-0.0011352i,-0.00065114-0.0012483i,-0.0014744-0.0013748i,-0.0016815-0.001799i,-0.0008705-0.0016405i,-0.00047839-0.00043934i,-0.00033532-0.00021977i,-0.00035684-0.00017024i,-0.0012892+1.313e-05i,-0.0013037+0.00041178i,-0.00049416+0.00038926i,-0.0001593-7.1461e-05i,-0.00027841-0.00014816i
0.0024451+0.00013546i,0.0019758-0.00020447i,0.00020829-0.00027093i,-0.0012245-0.00089994i,-0.0012752-0.0014512i,-0.00011387-0.0011672i,0.00015016+0.0001126i,-0.00029837+0.00028315i,9.3636e-05-2.6423e-05i,0.00017695+0.00022289i,-0.00059609+0.00032446i,-0.0012007+0.0004534i,-0.001396+0.00054308i,-0.0011652-0.00043415i,-0.00062313-0.001345i,-8.3741e-05-0.0011444i,2.2433e-05-0.00070436i,-0.0006281-0.00016408i,-0.00096066+0.00012366i,-0.00069701-1.1374e-05i,-0.00010361-0.00036819i,-0.00031068-0.00027315i,-0.00052155-4.7023e-05i
-0.00026988-2.2343e-05i,-0.00052274+0.0009683i,-5.9494e-05+0.0011276i,0.0010819+0.001346i,0.00086089+0.001003i,-0.00063256+1.0913e-05i,-0.00091343-4.8762e-05i,1.2699e-05+0.00047519i,0.00082734+0.0011211i,0.0012608+0.0020489i,0.00077757+0.0024038i,0.0001431+0.0019892i,-0.00043786+0.001101i,-0.00047531+0.00011211i,-0.00036234-0.00040568i,-0.00056039-0.00067754i,-0.00050338-0.00059156i,4.9118e-05-5.8683e-05i,0.00078325-0.00022675i,0.00068696-0.00014184i,0.00033609+0.00072695i,6.9556e-05+0.00050865i,0.00011438+0.00011436i
0.0010699+0.00050828i,0.00036874-0.00056817i,-1.5257e-06-0.0018987i,7.7856e-05-0.0023026i,-0.00060654-0.0018995i,-0.0016028-0.0011656i,-0.00091425-0.00025337i,0.00051431+0.00053844i,0.00076223+0.00080926i,0.00071286+0.00034739i,0.0010967-0.00065445i,0.00068868-0.0011326i,-0.00033643-0.0010613i,-0.00033313-0.00035751i,0.00014283+0.0003035i,-6.7917e-05+0.00064475i,-0.00033603+0.00031972i,0.00036623+0.00046845i,0.00084468+0.00053848i,0.0013317+0.00018197i,0.0012236+0.00039313i,-7.9673e-05+0.00020408i,-0.00096218+0.0004389i
-0.00024692-0.00043681i,-0.00045698+0.0002309i,-0.00086901-0.00069012i,-0.00068369-0.0010556i,-0.00066381+0.00031112i,-0.00089009+0.0014057i,0.00037341+0.0012436i,0.0018989+0.00054825i,0.0024839-0.00040717i,0.0019738-0.0010745i,0.0017245-0.00071447i,0.0015296-0.00066761i,0.0014262-0.0005672i,0.00094409+0.00053877i,0.00037612+0.00091063i,0.00023259+0.00070099i,-0.00033202+0.00056843i,-0.0003254+0.00012172i,0.00040611-0.00032259i,0.0008694-2.2615e-05i,0.0003242+7.483e-05i,8.6598e-05-0.00037327i,0.00024848-0.00053687i
-0.0004-0.00091019i,-0.0013734-0.00060259i,-0.0019795-0.00074891i,-0.0013599-0.00086818i,-0.00067443-0.0011871i,-0.00035197-0.0013394i,0.00067979-0.0013123i,0.0011357-0.0012775i,0.0004911-0.0015561i,-5.6071e-07-0.0021814i,-0.00094711-0.0024371i,-0.0018531-0.0018612i,-0.0010501-0.00079047i,-0.00022493-0.00028176i,-0.00021526+0.00021078i,0.00014333+0.00040827i,0.0001611-0.00015227i,0.00011604-0.00073846i,0.00065974+0.00013126i,0.0009077+0.00056762i,0.001256+0.00014304i,0.00078067+0.00058346i,7.7367e-05+0.00079388i
-0.00074379+0.0019029i,-0.00044035+0.0018231i,0.00076522+0.0013232i,0.0021273+0.00045177i,0.0017101+8.5888e-05i,0.00071627+0.00026868i,0.00033863+0.00026354i,0.00020884-0.00013626i,-0.000514-0.00053086i,-0.0014654-0.0004605i,-0.0016347-0.00066126i,-0.0012281-0.0014588i,-0.00082978-0.0018184i,-0.00087588-0.0016603i,-0.0007883-0.0013107i,-0.00017775-0.0018253i,-5.7936e-05-0.0019476i,0.00025858-0.00090944i,0.0010564+0.00057152i,0.00065458+0.0010255i,-0.00045226+0.00012914i,-0.00097967-0.00017465i,-0.00062949-3.7432e-05i
-0.0018821+0.00061i,-0.00031133-0.00073078i,0.00014058-0.00059667i,0.00028903+0.00029484i,0.00051504-5.2707e-05i,-0.00018332-0.00024941i,-0.0009684-0.00033726i,-0.0016371-0.00098918i,-0.0023791-0.0004298i,-0.0023665+0.00064499i,-0.0011579+0.00090672i,-0.00039642+0.00046017i,-0.00070507+7.5493e-05i,-0.00042077-0.00022913i,0.00011612-0.00014732i,5.9702e-05+2.2195e-05i,0.00021482-0.00055575i,0.00089862-0.00046482i,0.00088784-6.1389e-05i,0.00023513-0.00053461i,-0.00063307-0.0012698i,-0.00065676-0.0011221i,-0.00022795-0.00027972i
0.0011108+0.0012068i,0.0019938+0.00071081i,0.0015929+2.2411e-05i,0.00088055-0.0015754i,0.00074902-0.0026601i,0.00050419-0.0016677i,0.00059838+0.00035688i,0.00042138+0.0018499i,-0.00055002+0.0027055i,-0.00095632+0.0027934i,-3.7401e-05+0.002793i,0.00014525+0.0018587i,9.2014e-05+0.0010246i,-0.00029145+0.00083821i,-0.0011908+0.00076208i,-0.00099118+0.00051035i,-0.00059854+0.00060919i,-0.0005073+0.00042485i,0.00018194+0.00010066i,0.0012382+0.0011998i,0.0008101+0.0015804i,-2.6127e-05+0.00037733i,2.518e-05+3.9975e-05i
-8.0202e-05+0.00072801i,5.2038e-05+9.8581e-05i,-0.0010205-0.00054346i,-0.0022341-0.0014681i,-0.0021573-0.001944i,-0.00061436-0.00090494i,0.00053426-7.4074e-05i,0.00090557+0.00059244i,0.0014906+0.0012072i,0.0014727+0.0013981i,0.0013817+0.00080029i,0.00082246+0.0005186i,-2.7842e-05+0.0006108i,-0.00075055+0.00072711i,-0.0010397+0.0002823i,-0.0005751-0.00030976i,-0.00018966+0.00017115i,1.0691e-05+0.0003146i,0.0001052+0.00013445i,-0.00036343+0.0009421i,-0.00099743+0.0019215i,-0.00098193+0.0012244i,-0.00024522+0.00014077i
0.0013151-0.001112i,0.0017872-0.0013082i,0.0016416-0.0013832i,0.0021947-0.0001763i,0.00075503+0.00061899i,-0.00034633+0.00048651i,0.00024111+0.0001053i,0.0013668-0.00033229i,0.0020786-0.00044712i,0.001973-0.00093444i,0.0023791-0.0015299i,0.001725-0.0010214i,0.00060094-0.00050273i,0.00074169-8.5939e-06i,0.0009946+0.00096121i,0.0016448-1.9983e-05i,0.0013311-0.0011278i,0.00076552-0.00077804i,6.3647e-06-0.00037551i,-0.0012983-0.0004859i,-0.0015622-0.00041235i,-0.00099364-6.6669e-05i,9.5267e-05-0.00028003i
-0.00059046+0.00043896i,0.00034682+0.00035602i,1.6019e-05+0.00066579i,-0.00025758-0.00033474i,0.00032654-0.00099716i,0.00075294-0.00027309i,0.00075297+0.00017519i,0.0016025-0.00013562i,0.0019419-0.00091478i,0.0014864-0.0011639i,0.00045484-0.00097062i,-0.00025291-0.001011i,0.00017455-0.00045728i,0.00069527+0.00019162i,0.0007952+0.00056288i,0.00098077+0.00084035i,0.0015602+0.00054105i,0.002019+0.0002065i,0.0021023-0.00071433i,0.00087968-0.0010108i,0.00067808-0.00068045i,0.0011969-0.0011271i,0.00024551-0.00086616i
-0.00042807-0.00017564i,-1.7899e-05+0.00023214i,0.00068082-0.00018813i,-0.00015278-7.2017e-05i,-0.0011873-0.00070174i,-0.0012581-0.00040687i,-0.00041364-0.00027396i,0.00037679-0.00022057i,0.00021217-0.0006224i,-0.00047822-0.001585i,-0.00058009-0.0014703i,-0.0006253-0.00066363i,-0.00030194-0.00044114i,-0.00060255+0.00065022i,-0.00081582+0.0011517i,-4.0523e-05+0.00024553i,0.00013621-0.00030551i,-0.00013133-0.00027707i,7.9883e-06+0.00012108i,0.0007828+0.001255i,0.00084534+0.0018444i,0.00013567+0.0015115i,0.0001387+0.0004482i
0.00035207-0.00044911i,-0.00038978+0.0001726i,-0.0010827-0.00047346i,-0.00070587-0.0013248i,-0.00035534-0.00077872i,-0.00081176+0.00015129i,-0.001443-0.00022949i,-0.0018498-0.00090092i,-0.0022178-0.0008839i,-0.0029213-0.00065167i,-0.0031277+0.00027058i,-0.0021066+0.00089233i,-0.0014474+0.001012i,-0.00090772+0.00077013i,0.00015913-0.00033615i,-0.0001196-0.0010657i,-0.00048071-0.00083114i,-6.248e-05-0.0001038i,-0.00040631+0.00016857i,-0.00094245-0.00041932i,-0.0012816-0.00040818i,-0.0007986+0.00026591i,-0.00042541-2.7676e-06i
-0.0013105+0.00044824i,-0.0005607-0.00014055i,0.00053127-0.00013013i,0.0013892-0.00037421i,0.0012037-0.00043573i,0.00018112-0.00020307i,-0.00042937-0.00038818i,-0.00017055+1.088e-05i,-0.0004998+0.00098349i,-0.0011865+0.001966i,-0.0016798+0.0018592i,-0.0011662+0.00070536i,-6.1817e-05-0.00024662i,0.00045714-0.001146i,0.00033655-0.0015172i,0.0001867-0.0013336i,0.00081042-0.0010762i,0.001798-0.0005457i,0.0014654-0.00032802i,0.00088938-0.00075716i,0.0011121-0.00074002i,0.00078045-0.00015352i,-4.913e-05+0.00015669i
0.0016914-0.0014009i,0.0026365-0.0014097i,0.0023223-0.0013617i,0.00055786-0.0011865i,-0.00028895-0.00013145i,-0.00049119+0.001489i,2.29e-05+0.0014933i,0.00065272+0.0012236i,3.2637e-05+0.0021514i,0.00020338+0.0026474i,0.00095625+0.0024598i,0.0012366+0.0017204i,0.00026361+0.00079299i,-0.00012253+0.0013557i,-0.00023227+0.0026714i,-0.00035133+0.0028063i,-0.00012127+0.0018914i,-0.00049488+0.00097454i,-0.00018379+0.00025203i,0.00055779+7.9505e-05i,0.00031374+0.00031537i,-0.00029128+0.00069321i,0.00017075+0.00059774i
-0.00042846+0.0002154i,-0.0011143-0.00028366i,-0.0021204-0.0016728i,-0.0019956-0.0014877i,-0.0017876-0.00062721i,-0.0007703+8.0121e-05i,-0.00012981+0.00041409i,0.0004143-4.1294e-05i,0.0019091+4.0985e-05i,0.0021936+0.0003684i,0.0011596-0.00027426i,0.00036256+0.00033529i,6.9619e-05+0.00080325i,-2.7792e-05+0.00061815i,0.00035055+0.0011715i,0.00026485+0.00094025i,-0.00010289+0.00037583i,-0.00050022+0.00056083i,-0.00083787+0.00093665i,-0.00063153+0.00016187i,9.1939e-06-0.00069495i,-0.00032296+0.00014102i,-0.0010547+0.0015705i
0.00014032+0.00013749i,0.00092858-0.0001345i,0.00048747-0.00090385i,0.00011738-0.001082i,-0.00028867-0.00050256i,-0.00063947-0.00045178i,-0.00039448+0.00068056i,8.52e-05+0.0010639i,0.00095549+6.9706e-06i,0.0010595-0.00095942i,0.00055575-0.0015349i,0.00088343-0.0011828i,0.0011316-0.00023123i,1.3049e-06+1.972e-05i,-0.00055774-0.00034336i,0.00014493-0.00052598i,0.00047696-0.0011315i,-0.00012138-0.0015928i,-0.00047712-0.00099509i,-0.0010629-0.00052634i,-0.0014151+0.0003672i,-0.00098813+0.00032175i,-0.00031151-0.0002925i
0.00031415+0.0007305i,0.0011175+0.00083943i,0.00081434+6.9236e-06i,-0.00014756-0.0011399i,-0.0011322-0.0010348i,-0.00076395-0.00034586i,0.00040349-0.00040914i,0.00055274-0.00081383i,0.00026677-0.0012689i,-0.00021003-0.0015337i,-0.0012237-0.0011046i,-0.0012976-0.00048627i,-0.00053958+4.1491e-05i,0.00064383+0.00098541i,0.0012344+0.001568i,0.0010206+0.00062755i,0.00066158+3.2259e-05i,0.00057803-0.00036449i,0.0009539-0.00031139i,0.00082568-0.00048703i,0.00017223-0.0005241i,-9.6458e-05-0.00022245i,0.00015906-4.6588e-05i
-0.00022512+0.00079612i,-0.000502+0.00056398i,-8.971e-05+0.00038069i,0.0013763-0.00021541i,0.0016092-0.0007937i,0.0011745-0.0011615i,0.0008989-0.00087269i,0.0010568-0.00088024i,0.00055642-0.0013931i,-0.0013181-0.0009095i,-0.0018484-7.928e-05i,-0.0011624+0.00053051i,-0.00063427+0.00086557i,0.00018308+0.00018352i,0.00025535-0.00076011i,-0.00032486-0.00078035i,0.00015323-0.00065042i,0.00031612-0.00042545i,-0.00016395-0.00061559i,-0.00018992-0.0013783i,0.00022264-0.0011034i,0.00011273-0.00013203i,-0.00026747+0.00011799i
0.00035081-0.0014944i,-0.00099605-0.00074575i,-0.0014796-0.0015885i,-0.0017059-0.002179i,-0.0020788-0.0010687i,-0.0020401-0.00038796i,-0.00079824-0.00042274i,-0.00052707-0.00051922i,-0.0016781+0.00037932i,-0.0019479+0.0019172i,-0.0014954+0.0022093i,-0.00079596+0.0018714i,-0.00022503+0.0014043i,-0.00012277+0.00064256i,-0.00053924+0.00028031i,-0.00021576+0.00019859i,0.0004192+0.00059275i,0.00016569+0.00082808i,-0.00057995-8.0088e-05i,-0.00081575+6.3326e-05i,-0.00039631+0.0010051i,-0.00015604+0.00059923i,3.9578e-05+0.00049898i
0.0011095+0.00035165i,0.00080094-0.00058978i,0.0010341-0.00098076i,1.7145e-05-0.00091024i,-0.00083611-0.00078783i,-0.00092513-0.00020591i,-0.00031587+0.00023014i,0.00035596+0.0012236i,0.00054912+0.0024175i,0.00085651+0.0027372i,0.0011242+0.002047i,0.0009226+0.0014851i,0.0011021+0.00086104i,0.0009003+0.00045181i,-0.00017623+0.00029072i,-0.00028493+0.0002423i,8.5762e-05-0.00010789i,8.4053e-05-0.00040899i,-0.00030176-0.0010472i,-0.00040344-0.00074922i,-0.00012536-0.00015498i,2.3436e-05-4.9015e-05i,-0.00048406+7.8292e-05i
0.0019998+0.001612i,0.002751+0.0011164i,0.0029269-0.00053853i,0.001341-0.0019005i,0.001165-0.0022093i,0.0015894-0.001062i,0.00067521+0.00048848i,0.00029722+0.0012327i,0.0011292+0.0014138i,0.0021412+0.0008545i,0.0023901-0.00058378i,0.0014799-0.0009282i,2.4714e-05-0.0004667i,-0.0011633-0.00046394i,-0.0013459-0.0006949i,-0.00025014-0.00028847i,0.0004712-0.00024444i,0.00022543-0.00037521i,-0.00017125+0.00050529i,-0.00028143+0.0014138i,-0.00041575+0.001206i,-0.00075405-0.00015754i,-0.00053466-0.00060939i
-0.0013556-0.00038816i,-0.0021481-0.0005972i,-0.001695-0.00056006i,-0.00062635-6.8572e-05i,-0.00049097-0.00013101i,-0.00030524+0.00013491i,0.00036491+0.00018913i,0.00079492+0.00034751i,0.0014169-0.00064973i,0.0021217-0.0019126i,0.001366-0.001644i,1.9379e-05-0.001821i,-7.931e-05-0.0014708i,0.00021801-0.00033484i,4.6659e-05+0.00024983i,0.00038311+4.3526e-06i,0.00014316-0.00041302i,1.8752e-05-0.00031081i,-0.00013524-0.00022615i,-0.00056369-0.00017572i,-0.00042843+0.0002231i,-2.2607e-07+0.00041263i,0.0001598+0.00029279i
-0.00075467-0.0026948i,-0.00057155-0.0036048i,0.00047582-0.0028722i,4.5268e-05-0.0014278i,-0.0011506-0.00022822i,-0.00095956+9.2983e-05i,-4.2929e-05+0.00047429i,0.00066476-0.00029253i,0.00064725-0.0019555i,-0.00029701-0.0029695i,-0.001077-0.0022291i,-0.0013718-0.0012743i,-0.0018377-0.00010129i,-0.00075659+0.000561i,0.0014553+0.00078459i,0.0020614+0.00095141i,0.0011301+0.00067925i,0.00065391+0.000503i,0.0013312-0.00021054i,0.0015033-0.00040844i,0.0011405-8.7291e-05i,0.00092635+0.0002151i,0.00053627-0.00012989i
-0.0020438+0.00084429i,-0.0018617+0.0023405i,-0.0014031+0.002312i,0.00056274-0.0001985i,0.0012543-0.0014252i,0.00068913-0.001156i,7.9484e-05-0.00063082i,-0.00060905-0.00079966i,-0.0016911-0.00092209i,-0.0029029-0.00028238i,-0.0027899+0.00046604i,-0.0015093+0.00073499i,-0.00040552+0.00026233i,0.00020191+2.5918e-05i,0.00087185+0.00013755i,0.00068368-2.8664e-05i,-0.00014091+0.00020058i,-0.00043582+0.00048793i,-0.00021735+0.00076481i,-0.00061326+0.00077891i,-0.0010178-3.8384e-05i,-0.00031849-0.00026039i,-0.00086409+8.4522e-05i
0.0025656+0.0021357i,0.0012097+0.00038343i,0.00049238-0.0013176i,-0.0001391-0.0021207i,-0.0015556-0.0024649i,-0.002084-0.001772i,-0.0013378+8.6176e-05i,-0.00085125+0.0014862i,-0.00082209+0.0014615i,-0.00092968+0.0015191i,-0.00094942+0.0015375i,-0.00048728+0.0003682i,-0.0014139+0.00013748i,-0.0024384-0.00025609i,-0.0018166-0.0013328i,-0.0012992-0.0014775i,-0.0012986-0.0010668i,-0.00076775+1.3399e-05i,-0.0004541+0.00045509i,-0.00036456-7.0685e-05i,0.00044304-0.00051493i,0.00057611-0.00038027i,0.00014415-0.00094065i
0.0018456+0.0016222i,0.0032543+0.00095295i,0.0035116+0.00065256i,0.0021027-0.00027785i,0.0002263-0.0018505i,-0.0010978-0.001156i,-0.00087958+0.00054589i,-0.0004071+0.00095495i,-5.1741e-05+0.0012964i,4.6786e-05+0.002935i,0.00098121+0.0029199i,0.001852+0.0015178i,0.0015323+0.00040316i,0.00048746-0.00081771i,0.00016387-0.00065725i,0.00055745-0.00028688i,0.00082417+1.8226e-05i,0.0014945+0.0001254i,0.0012412-0.00019492i,0.00037441-0.00061626i,0.00029294-0.0009753i,0.00047691-0.0013819i,0.00028827-0.00095192i
0.00028363-0.0016394i,-0.00052742-0.0013313i,-0.0013186-0.00096196i,-0.0022881+1.4913e-05i,-0.0029597+0.00079696i,-0.0024972+0.0017223i,-0.00090449+0.0021352i,0.0011642+0.0014915i,0.0022716+0.0013798i,0.0033452+0.0011799i,0.0031591+0.00020036i,0.0015768-0.00053548i,6.2745e-05-0.00026631i,-0.00016872+9.0637e-05i,-0.00041609+0.00012633i,-0.0011721+0.00030471i,-0.00089485+0.0013796i,0.00027138+0.0024656i,0.00068212+0.0019959i,0.0011192+0.001052i,0.001603+0.00067597i,0.00088955+0.0009054i,-0.00072104+0.00075253i
0.0015929-0.0013369i,0.001738-0.0026781i,0.0021005-0.0033974i,0.0011971-0.0024984i,0.0011867-0.0010768i,0.0012195+8.0124e-05i,0.00089185+0.00027471i,0.0019944+0.00010267i,0.0030824-0.00095712i,0.0032579-0.0022016i,0.0018145-0.0026256i,0.0010251-0.0025464i,0.00075975-0.002038i,2.1054e-05-0.00080107i,6.3023e-05+0.00066571i,0.0011365+0.00088887i,0.00079986+0.00028479i,-0.00055232-0.00020168i,-0.00074792+0.00048807i,-0.00042985+0.0011469i,-0.0004742+0.0012062i,-0.00058773+0.0014643i,-0.00017337+0.0016734i
-0.00082819-0.0010147i,-0.00092349-0.00049056i,-0.0007073-0.00045654i,-0.0004476-0.0011827i,-0.0011527-0.00072334i,-0.00028642+0.00023563i,0.00082565+0.00029366i,0.00070102-0.00077946i,0.00086246-0.0024913i,0.00070602-0.0034507i,0.00014883-0.0034769i,-0.0007926-0.0017838i,-0.0015573+7.4992e-05i,-0.00077426+0.00053434i,0.00036333+0.0001879i,0.00089306-0.00025373i,0.00099648-0.00083201i,0.00023471-0.001136i,-0.00044235-0.0015022i,-0.00089397-0.001502i,-0.0016268-0.0013318i,-0.0013916-0.0011489i,-0.00077433-0.0010854i
0.0012811+0.00030652i,0.00094158-0.0011592i,0.00057983-0.0027179i,-0.00056247-0.0035983i,-0.0019029-0.0031096i,-0.001913-0.002484i,-5.2134e-05-0.0014479i,0.00078103-0.00070866i,-0.00037898-0.0016055i,-0.0020013-0.0027383i,-0.0032399-0.0014216i,-0.0027233-2.8553e-05i,-0.00084953+0.00018913i,-0.00025142-0.00034794i,-0.00040446-0.00056247i,0.00014537+9.1882e-05i,0.00059029+0.00024372i,0.0010607+6.0004e-05i,0.0016827-0.00016309i,0.0012943-0.00044163i,0.0009212-0.00093706i,0.0010395-0.00074731i,0.0010701-0.00037921i
0.00082695-5.6675e-05i,0.0011909-0.00025983i,0.00012476+0.00080078i,-0.0012883+0.001524i,-0.0014661+0.00093226i,-0.0010963-8.7917e-05i,-0.00057006+0.00013777i,-0.00082628+0.00077252i,-0.0025675+0.00096792i,-0.0033141+0.0021985i,-0.0027402+0.0031271i,-0.0019333+0.0027389i,-0.00068239+0.0016949i,3.542e-05+0.0011501i,0.00010582+0.00045643i,0.0001843-0.00032826i,-0.00059437+0.00024812i,-0.00098817+0.0011545i,-0.0010512+0.0015293i,-0.00070325+0.00103i,-5.1217e-05+0.00010774i,0.00013965+0.00058508i,-0.00036737+0.0011784i
-0.00014064-0.00027415i,-0.0011156-0.00049721i,-0.00058858-0.0006746i,0.00068748-0.00086832i,0.00069553-0.00063078i,0.00030151+0.00052348i,0.0003438+0.001256i,-0.00029831+0.001154i,-0.0015204+0.001309i,-0.0011453+0.0021295i,-0.00014102+0.0026608i,-6.3192e-05+0.0018144i,-0.00036752+0.000473i,-0.00058107-0.00017771i,-0.00097028-0.00014383i,-0.0013533+4.2992e-05i,-0.00084097-7.6289e-05i,-0.00076436-0.000353i,-0.0013836-6.6394e-05i,-0.0010507-2.2437e-05i,-0.00026815-0.0001756i,-0.00029019-0.00030915i,-0.00035779-0.00034554i
