-0.0035667-0.00099943i,-0.003515-0.0001319i,-0.0039776+0.00092942i,-0.0039898+0.0015702i,-0.0024414+0.0022023i,-0.0010714+0.0023477i,5.7967e-05+0.0019193i,0.0012806+0.001412i,0.0018273+0.00042554i,0.0011531-0.00038146i,0.00018471-2.4652e-05i,-6.6883e-06+0.00010916i,0.00054692-0.00027222i,0.00058644+3.7232e-06i,0.00014823-2.6355e-05i,7.3442e-05-0.00023215i,-0.00039461+0.00035939i,-0.00084517+0.00036269i,-0.00027285+0.00020679i,-0.00048798+0.00057001i,-0.00089688+0.0012768i,-0.0009248+0.00022193i,-0.00051051-0.00041017i
-0.0034883-0.0008112i,-0.0044312-0.0025971i,-0.0025975-0.0032747i,-0.00098459-0.0025246i,-0.0005816-0.00098753i,-0.0010335+0.0011809i,-0.00024303+0.00074951i,0.0009696-0.0012247i,0.00088572-0.0019994i,-0.0001043-0.0013629i,-0.0013625-0.00048985i,-0.0020632-0.000346i,-0.0022819-0.00042829i,-0.0014248-0.00025268i,-0.00017869-0.00013237i,-0.00054858-0.0002835i,-0.0015889-0.0011535i,-0.0012452-0.0015322i,-0.00082978-0.0010177i,-0.0010508-0.00014137i,-0.0012718+4.657e-06i,-0.00025677-0.00057572i,0.00067885-0.00062306i
-0.00020706+0.0017815i,-0.0020588+0.00066765i,-0.00058855-0.0015874i,0.0012298-0.0024332i,0.00046886-0.0015404i,-0.00059987-0.00024268i,-0.00040473-0.00030401i,-0.00038448-0.00045547i,-0.00097017-0.00066132i,-0.0011905-0.00050765i,-0.00081836+0.00014096i,-0.00059195+0.00055558i,-0.0010406+0.00046623i,-0.0010058-9.8337e-05i,-0.00053891-0.00039639i,0.00017752-0.00065186i,0.00040733-0.0016553i,0.00058581-0.0013359i,0.00038268-1.7784e-05i,0.00045912+0.00045891i,-1.8915e-05+0.00083367i,-0.00088947+0.00049486i,-0.00072313-0.00049063i
0.0017022+0.0038575i,-0.00060066+0.004372i,-0.00036786+0.0011698i,0.0002423-0.0019821i,-0.00044769-0.0019588i,-0.0015833-0.00038531i,-0.00062422+0.0012282i,0.00029168+0.0011592i,-0.00055828+0.00040324i,-0.0007924+0.00089848i,0.0004128+0.0016538i,0.0011284+0.0015097i,0.0007867+0.0011572i,0.00015419+0.00063014i,-0.00035236-0.00043956i,-5.2232e-05-0.0010094i,0.0001218-0.00042519i,-0.00054647-0.00015881i,-0.00068261-0.00056524i,-0.00075777-0.00036554i,-0.00054733+0.00024141i,-0.00080849+8.9814e-05i,-0.00088062+0.00041343i
0.0054534-0.001434i,0.0058573-0.00049269i,0.0031685-0.0005121i,0.00065686-0.00089542i,-0.00045511+0.00014667i,-0.00030479+0.0024043i,0.0011424+0.0032903i,0.0022169+0.0029877i,0.0016151+0.0024591i,0.00094354+0.0026821i,0.0017558+0.0021453i,0.001437+0.00089271i,0.0008522-5.9186e-05i,0.00085396-0.00040997i,0.00062427-2.4634e-05i,0.00081609-0.00027953i,0.00063932-0.00021488i,-0.00027983+3.173e-05i,-0.0003543-0.00016818i,0.00015112-0.00013961i,-0.00029933-0.00012058i,-0.0010161+1.1222e-06i,-0.001291+0.0006168i
0.0011102-0.0025225i,0.0029331-0.0016983i,0.0032599-0.00013962i,0.0013629-0.00021949i,0.00047429-0.00038016i,0.0011217+0.0012464i,0.0021793+0.002118i,0.002778+0.00082155i,0.0025606+0.00013718i,0.0025943+0.00095945i,0.0023956+0.0012782i,0.0013368+0.00040901i,0.00085732+0.00020661i,0.00082308-0.00033395i,0.00074034-0.0005078i,0.00081217-0.0004986i,0.00027762-0.00099025i,-0.00048385-0.00083684i,-0.00068939-0.00049582i,-0.00064227+0.00025434i,-0.000179+0.00055495i,-2.6195e-05-0.00016287i,-0.0005224-0.00014975i
-0.00083436-0.0042674i,0.0010714-0.0058566i,0.0024586-0.0032969i,0.0021178-0.0016002i,0.0022741-0.0016347i,0.0026635-0.0010198i,0.0036429-0.00030126i,0.0040502-0.00086086i,0.0036896-0.00085981i,0.0032205+5.8938e-05i,0.0026078+6.4193e-05i,0.0017629-0.000332i,0.00055468-0.0004653i,2.8113e-05-0.00060267i,-0.00068449-0.00073408i,-0.0010902-0.0005042i,-0.00055943-0.00025915i,-0.00064352+0.00022865i,-0.00019035+0.00024017i,0.00077712+0.00015561i,0.0011403-0.00038072i,0.0014502-0.00051468i,0.001182-9.0819e-05i
-0.0014754-0.0012049i,-0.0025584-0.0038772i,-0.0004494-0.0059857i,0.00073473-0.0052129i,0.00014066-0.003036i,-0.0001131-0.0017892i,0.00013185-0.0015686i,-0.00010212-0.0017963i,0.00058497-0.0013723i,0.00088561-0.00095139i,7.7643e-06-0.00090158i,-0.00047438-0.00014938i,-0.00040038-0.00025518i,-0.00038115-0.0012439i,-0.00048572-0.00079839i,-0.00054384-0.00032067i,-7.0788e-05-0.0014056i,0.00014851-0.00090454i,-0.0003754-0.00013225i,-0.00056186-0.00037214i,-0.00034096-0.00062103i,0.00021553-9.2071e-05i,0.00040982-0.00037275i
-0.0042916+0.00083889i,-0.0058423-0.00017141i,-0.0030921-0.0014206i,-1.3808e-05-0.0021566i,0.0008956-0.0011946i,0.00030314-0.00026134i,-0.00025391-0.00049628i,0.00025185-0.00054934i,0.00034309-0.00038378i,-0.00074186-0.00055945i,-0.00022821+0.00011284i,0.00046862+0.00093175i,-0.00038785+0.0011599i,-0.00084349+6.5338e-05i,-1.838e-05-0.00076074i,7.764e-05-0.00080448i,-8.8249e-05-0.00075058i,-3.8094e-05-0.00031958i,0.00010469-0.00033607i,0.00095355-0.00050628i,0.00080837+0.00035388i,-5.5181e-05+0.0011945i,-0.00067615+0.0019284i
0.0014834+0.0049156i,-0.0014273+0.0058498i,-0.0027096+0.0026136i,-0.0010179+4.215e-05i,0.00035917-0.00018183i,-0.00051014+0.00030358i,-0.0016297+0.0007591i,-0.00071965+0.0011134i,-0.00024089+0.00092085i,-0.00057858+0.0010738i,-0.00026984+0.0014423i,0.0001104+0.00043856i,0.000273-0.00056106i,0.00030733-0.00033496i,-3.1631e-05-0.00042615i,0.00027812-0.0010497i,0.0010208-0.00099243i,0.0012582-0.00021985i,0.00069486-0.00040561i,-0.00018075-0.00065844i,-0.00080215+8.3636e-05i,-0.0013355+0.001159i,-0.0017488+0.001273i
0.00072474+0.0013743i,0.00215+0.0042053i,0.00075781+0.0053469i,8.6262e-05+0.0024254i,0.00054688+0.0003506i,0.00060802+0.00082482i,0.00080691+0.0029188i,0.00060072+0.0038224i,0.00010374+0.0031889i,-0.00027042+0.0028539i,0.00020278+0.0026825i,0.00021379+0.0015692i,0.00017602+0.00080724i,0.00040353+0.0008429i,0.00011792+0.00062228i,-0.00022027-6.7346e-06i,-0.00039971-0.0001205i,-0.00089871+0.00016517i,-0.0018634+0.00016406i,-0.0018576+0.00010388i,-0.00086259+0.00019839i,-5.4471e-05+0.0008156i,-0.00038431+0.00070288i
0.0065509-0.0024958i,0.0080263-0.0023164i,0.0074643-0.0020032i,0.0044843-0.0024284i,0.0009404-0.0025063i,-0.00074183-0.00084235i,0.0012978+0.0010783i,0.0031282+0.001776i,0.0025056+0.00091123i,0.0019159+0.00071313i,0.0012639+0.00069069i,0.00076523+0.00016015i,0.00060339-0.00038009i,0.00076147-0.00072529i,0.0010535-0.0015494i,0.00066481-0.001654i,-0.00089997-0.00088557i,-0.001502-0.0008173i,-0.00071247-0.00012705i,-0.00044065+0.00023788i,-0.00082679-0.00060696i,-0.00045256-0.00040532i,0.00053905+0.00079949i
-0.00069714-0.0048226i,0.0019581-0.0070864i,0.0035414-0.0057299i,0.0030927-0.0026354i,0.001578-0.00055669i,0.0010385+0.00035693i,0.0028009+0.00054314i,0.0033453+0.00012765i,0.0023069-3.1572e-05i,0.002274+0.00010153i,0.0022389-0.0001083i,0.0010485+7.3328e-05i,8.2224e-05+0.00073639i,0.0003356+0.00068293i,0.00032544+7.3132e-05i,-0.00036226-0.00043811i,-0.00061007+0.00034201i,-3.3681e-05+0.0014796i,0.00022515+0.0014208i,-7.134e-05+0.0002101i,0.00010691-0.00041702i,0.00068643-3.0678e-06i,0.0004233-6.5773e-05i
-0.0049957-0.0052799i,-0.0058282-0.0061812i,-0.003114-0.005903i,-0.001586-0.003707i,-0.0014171-0.0014942i,-0.0013949-0.00012674i,0.0002864-0.0001757i,0.0018049-0.001077i,0.0015298-0.0012769i,0.00063228-0.00095717i,-0.00020799-0.0014162i,-0.00070455-0.0014859i,-0.00080712-0.00075675i,-0.0008931-0.00020334i,-0.00083386-9.5269e-05i,0.00036049-0.00060289i,0.00091722-0.00078706i,0.00045848-0.00019795i,0.00029227+0.00054386i,0.00052282+0.00065034i,0.00030184+0.00069533i,0.00030389-0.00039269i,0.00036415-0.00062279i
-0.0060296+0.0032402i,-0.0073449+0.0010079i,-0.0039566-0.00079965i,-0.00077522-0.00079414i,0.0001738+0.00020252i,0.0002196+0.0011938i,0.00061915+0.00089434i,0.00073008-3.6366e-05i,0.00018608-0.00094635i,-0.00027609-0.0011755i,-0.00089805-0.00037673i,-0.0012171+0.00019335i,-0.0010787-0.00095177i,-0.00073059-0.001235i,0.00020972-0.0011113i,0.0006508-0.0016155i,-7.6929e-05-0.0013853i,-0.00032107-0.00077943i,-0.00026128-0.00094911i,-5.1665e-05-0.0011461i,0.00032863-0.00038428i,-0.00013661-4.0733e-06i,-0.00048513+0.00018111i
-0.0007817+0.0076391i,-0.0026102+0.0085309i,-0.0014009+0.0055758i,0.0015216+0.0007516i,0.0030987-0.00069923i,0.0021691+0.0010677i,0.00099241+0.0021706i,-0.00013193+0.00205i,-0.00048631+0.0016623i,0.00032932+0.0015616i,0.0010859+0.0011583i,0.00097057+0.00010019i,0.00062513+8.5651e-05i,0.00019452+0.00013724i,-0.00022699-0.00047407i,-0.00023405-0.00047231i,6.3214e-06-0.0005748i,-9.7957e-05-0.00097871i,-0.00045241-0.0010611i,-0.00031476-0.00067155i,-0.00039735-0.00039944i,-0.0003468+0.00038299i,-0.00052105+0.00061574i
0.0044266+0.001888i,0.0023434+0.0043788i,-0.0011066+0.0027612i,-0.0023554-0.00058769i,-0.0016451-0.0013804i,0.00032014+0.00024358i,0.0022213+0.0017107i,0.0015627+0.0021922i,0.0003219+0.0018778i,0.00015067+0.0020817i,6.837e-05+0.0020416i,-0.0009427+0.0011474i,-0.00080646+0.00030544i,0.00024222-0.00010839i,0.00053962-0.00018884i,0.00039555+0.00022262i,0.00033439+0.00037667i,-0.00013518-0.00071199i,-0.0011422-0.00056296i,-0.00099357-0.00011134i,-0.00019422-0.00017419i,4.1761e-05-0.00022177i,-0.00023875+0.00057295i
0.0081458-0.00023379i,0.010306+0.00059048i,0.0081425+0.0018695i,0.0035093+0.00062338i,0.0019697-0.00074754i,0.0018677-0.00062187i,0.0019346+0.00048239i,0.0026494+0.00098698i,0.0027427+0.00096532i,0.0025667+0.00072515i,0.0026551+0.00021767i,0.0020643+0.00026488i,0.0013553+0.00011766i,0.00098876+6.9585e-05i,0.0006604+0.00046951i,9.0254e-05+0.00046456i,-0.00088341+0.00036044i,-0.0019257-0.0004935i,-0.0023608-0.0006363i,-0.00095814-5.2607e-05i,0.00090518-0.00014976i,0.0018951+0.0004767i,0.0017051+0.0016447i
0.0012954-0.0077769i,0.0047898-0.0080713i,0.0054357-0.0045715i,0.0036351-0.00063257i,0.0010244+0.0001852i,-0.00052577-0.00037546i,0.00079137-0.00031101i,0.0023349+0.00023128i,0.0023492+0.00063113i,0.001975+0.0012214i,0.0021633+0.0005577i,0.0012667-0.0011562i,0.00017679-0.0006737i,-0.00057023+2.0966e-05i,-0.00056472-0.00028488i,-0.00024029-6.9744e-05i,-0.00067338-0.00043576i,-0.00077152-0.00074349i,-0.00054669+5.6776e-05i,-0.00075231+0.00090184i,-0.00063603+0.00070724i,-8.1604e-05+0.00069628i,0.00014786+7.4598e-05i
-0.002784-0.0082457i,-0.0026716-0.011506i,-0.00066861-0.011445i,-0.00062976-0.0072854i,-0.0015576-0.0027693i,-0.0013528-0.00023503i,0.0003342+0.00028931i,0.0016093-0.00066357i,0.0019299-0.0016235i,0.0011115-0.0012723i,3.7457e-05-0.00064426i,-0.00034617+0.00023218i,-0.00044926+0.00075508i,-0.00055838-5.7021e-05i,-0.00057748-0.00075251i,-0.00048311-0.0010936i,-0.00043358-0.00072938i,-0.00023107+0.00056324i,9.654e-05+0.0014908i,0.00012498+0.0010479i,0.000111+0.00072256i,0.00013079+0.0010259i,-0.000167+0.0006887i
-0.0089567-0.0013505i,-0.010953-0.0030439i,-0.007369-0.0049634i,-0.0029133-0.0048894i,-0.00089662-0.0020956i,-0.00095899+0.001248i,-0.00075903+0.0017305i,-0.00031686-0.00049233i,-0.00031149-0.0014828i,-0.00032236-0.0014911i,-0.0009736-0.0010299i,-0.0015572-0.00058856i,-0.0014106-0.00043321i,-0.0010097-0.00024329i,-0.0002092-7.8183e-05i,9.9116e-05-0.00022114i,-0.00015754-0.00054259i,0.00020357-0.0002146i,0.00026333-7.0601e-05i,-0.00075446-2.1709e-06i,-0.00074289+0.00014348i,-0.00082075-0.00073967i,-0.0010553-0.0011014i
-0.0046462+0.0053827i,-0.0078866+0.0063789i,-0.0071443+0.0030727i,-0.0027639-0.00050658i,-0.0005718-0.00021427i,-0.00080329+0.0022983i,-0.0011837+0.0030436i,-0.00052358+0.001939i,-0.00038955+0.00056521i,-0.00075054+0.00079764i,-0.00056386+0.001948i,-0.00012264+0.0010541i,0.00043625+0.00044086i,0.00033604+0.00040612i,0.00030123-0.0011176i,4.9543e-05-0.0012785i,-0.0004201-0.00024441i,-0.00088532-0.00052062i,-0.00095909-0.00065178i,-0.00073047-0.00054915i,-0.00066024-0.00014027i,-0.00018649+0.00064812i,0.00010771+0.0012421i
0.0013474+0.0068336i,0.00068045+0.009107i,-0.0016189+0.0066471i,-0.0017329+0.0022014i,0.00040343+0.00016787i,0.0027642+0.0012107i,0.0033999+0.0025202i,0.001964+0.0018897i,0.0012873+0.0023037i,0.0007451+0.0032753i,0.00078355+0.0027891i,0.00079677+0.0020485i,0.0005942+0.0014195i,0.00012016+0.0011089i,-0.00066607+0.00082386i,-0.00028926+0.00026299i,0.00077922-0.00046218i,0.00047422-0.00044532i,-0.00093756+5.203e-05i,-0.0011432-7.5404e-05i,-0.00063917-0.00025352i,-3.9192e-05-0.00032161i,-9.14e-05+0.00059202i
0.0046992+0.00044262i,0.0078362+0.0029071i,0.0052561+0.0051662i,0.0013116+0.0049988i,0.0010584+0.00245i,0.0026614+0.00081024i,0.0041698+0.00098126i,0.0038434+0.00072609i,0.0020719+0.00047656i,0.001224+0.0011542i,0.001776+0.0011765i,0.0017569+0.00043646i,0.001438+0.00062233i,0.0010115+0.0012827i,0.00011791+0.0012993i,-0.00097779+0.00069071i,-0.0012199-0.00068392i,-0.00086376-0.00082345i,-0.0011436+7.235e-05i,-0.0013387+0.00067064i,-0.00098571+0.00052296i,-0.00041942-0.00026426i,0.00080163-9.7027e-05i
0.0071004-0.0064983i,0.010175-0.0075987i,0.0089147-0.0044692i,0.0042334-0.0023101i,0.00090175-0.0019195i,-0.00035466-0.0018281i,0.0005381-0.0012375i,0.0022191-0.00048849i,0.002768-0.00028488i,0.0023073+0.00030637i,0.0019154-4.1348e-05i,0.00059205-0.00041285i,-0.00060266+0.00015611i,-0.0003866-6.2826e-05i,-0.00035096-7.0267e-05i,-0.00062473-0.00015586i,-0.0001351-0.00125i,-0.00040193-0.0011717i,-7.2311e-05-0.00023471i,0.00058127+0.00012713i,-0.0003793-4.6949e-06i,-0.0010025-0.00012583i,-0.00018315-0.00076725i
-0.00075685-0.010014i,-0.0002321-0.014101i,0.002205-0.013028i,0.0023875-0.0081314i,-0.00064654-0.0041743i,-0.0023998-0.0016225i,-0.00071449-0.0010656i,0.0013394-0.0019841i,0.0019597-0.0024682i,0.001459-0.0026433i,-0.00019297-0.0019494i,-0.00098291-0.0010573i,-9.3232e-05-0.00050314i,0.00072713+0.00019594i,-0.00024974-0.00033227i,-0.00075628-0.00037279i,0.00026403+2.8439e-05i,0.00026231-0.00045323i,-1.5678e-05-0.00051632i,0.00011002-4.3672e-05i,0.00069572+0.00050562i,0.000336+0.00094508i,-0.0006256+0.00082012i
-0.0083073-0.0064538i,-0.010152-0.0081447i,-0.0084245-0.0083905i,-0.0048895-0.0059212i,-0.0039073-0.001851i,-0.0045549-2.8316e-05i,-0.0033516+0.0004931i,-0.0014711+0.0001303i,-0.00067328-0.00075845i,-0.00072712-0.0014997i,-0.0010316-0.0005082i,-0.00096979+0.00060244i,-0.0010302+0.00034374i,-0.0015835+0.00023732i,-0.0010158+0.00033439i,0.00020778-0.00047304i,0.00040387-0.00072876i,0.0001502+0.0001582i,0.00044914+0.00012529i,0.00047965-0.00033734i,-0.00076666+0.00014765i,-0.0010123-1.9544e-06i,3.8444e-05+0.00022057i
-0.0057318+0.0030722i,-0.010099+0.0032352i,-0.0089951-0.00011583i,-0.0065169-0.0026243i,-0.0050597-0.00098662i,-0.0031681+0.0024872i,-0.0015343+0.0036909i,-0.0010171+0.0032473i,-0.0013783+0.001823i,-0.0015408+0.00072143i,-0.0017949+0.00063189i,-0.0013199+0.0011077i,-0.00058081+0.0015404i,-0.00053216+0.00087693i,-0.00027915-0.00031239i,-8.9501e-05-0.00088169i,-0.00021969-0.0014863i,-0.00039292-0.0020182i,-0.00058586-0.0013709i,-0.0010465-0.00082607i,-0.0014552-0.00015977i,-0.0015846+0.0005559i,-0.00075905+0.00054194i
0.00082632+0.0054855i,-0.00099945+0.0091127i,-0.0018367+0.0079438i,-0.0010483+0.003299i,-0.00065019+0.0014435i,0.00017273+0.0033766i,0.001661+0.0047928i,0.0016986+0.004049i,0.00093958+0.0019025i,1.7312e-05+0.0013333i,-8.9269e-05+0.0014692i,0.00010258+0.0007325i,-0.00060039+0.00052111i,-0.00082516+0.00011457i,-0.00017705-0.00085844i,0.00057312-0.0011772i,0.00044751-0.0016989i,0.00026752-0.0017579i,0.00031097-0.00097508i,2.6199e-05-0.00018692i,-0.00079993+0.00014657i,-0.00034884-0.00029958i,0.00027488-0.00070744i
0.0079537+0.0060961i,0.010593+0.0094769i,0.0089021+0.0086094i,0.0051859+0.0048807i,0.0043109+0.0020432i,0.0049733+0.00093997i,0.0048857+0.00068541i,0.0045097+0.00090002i,0.0036884+0.0014138i,0.0028605+0.0023398i,0.0022469+0.0012854i,0.0016576-6.6287e-05i,0.0012903+0.00044341i,0.0009517+0.00063383i,0.00019952-1.3083e-05i,-0.00065943-0.00071679i,-0.00048568-0.0011972i,-0.0012433-0.0014393i,-0.0017405-0.00088939i,-0.00015058+0.00038103i,0.00029348+0.00090519i,0.00083498+0.00064737i,0.0016878+0.0005104i
0.0064452-0.0052582i,0.011112-0.0067893i,0.010975-0.0049642i,0.0069722-0.0028058i,0.0038258-0.0021761i,0.0030082-0.0026054i,0.0025441-0.0027787i,0.0031682-0.0013902i,0.0032368+0.00044672i,0.0026715+0.0008999i,0.0024106+0.00026484i,0.0013548-0.00066757i,0.0011319-0.00062029i,0.00086849-0.00041359i,0.00012694-0.00053274i,0.00025229-0.00099525i,0.0002049-0.00066183i,-0.00048089-0.00013309i,-0.00016284+0.000844i,0.00053787+0.0013185i,0.00039021+0.0010632i,-0.0003574+0.00069869i,-0.00057712+8.8673e-05i
0.00035591-0.013003i,-0.00039525-0.0165i,-0.00054137-0.014674i,-0.00034269-0.0089343i,-0.0010067-0.0040095i,-0.0014261-0.0023409i,-0.00053279-0.0019467i,0.0015992-0.0021108i,0.0027786-0.002065i,0.0017716-0.0016772i,-0.00017703-0.0015477i,-0.00076954-0.0010417i,0.00036977-0.00064001i,0.00076827-0.0011378i,0.00043418-0.0013873i,-0.00030824-0.00095452i,-0.00045948-0.00068973i,-0.00054609+0.00023412i,-0.00060764+0.00027193i,-0.00023131-0.00036573i,0.00012364-4.1716e-05i,0.00035004-6.0653e-06i,7.0087e-05-0.00010345i
-0.0095509-0.0084823i,-0.012171-0.01136i,-0.0098865-0.010971i,-0.0054877-0.008276i,-0.0036951-0.0042782i,-0.0038413-0.0015323i,-0.0032375-8.0236e-05i,-0.0018194-0.00046251i,-0.0011017-0.0012702i,-0.0014257-0.0011842i,-0.0012895-0.00068389i,-0.0011001-0.00023908i,-0.0013827+4.1142e-05i,-0.0016206+0.00030558i,-0.00035867+0.00026057i,0.00046934+0.00018711i,0.00030998-4.7244e-05i,0.00068865-0.00042306i,0.0010179-0.00041137i,0.001002-0.00043284i,0.00071714-0.00020531i,0.00047587-0.00012983i,0.00053627-0.00027464i
-0.011514+0.0028735i,-0.016078+0.0047353i,-0.015662+0.0039039i,-0.010266+0.0020288i,-0.0054+0.0022431i,-0.0032034+0.0046794i,-0.0028234+0.0049831i,-0.0027463+0.0024883i,-0.002391+0.00095301i,-0.0016327+0.0012768i,-0.00073301+0.0021835i,-0.00013657+0.002273i,0.00019142+0.0014938i,-0.00035814+0.00088148i,-0.00041249+0.00039028i,0.00080163+8.7527e-05i,0.0012299-0.00016532i,0.00056544-0.0005976i,-0.00030707-9.3112e-05i,-0.00063952+0.00036521i,-0.00054633+0.00014994i,-0.00035248+0.00075642i,3.6364e-05+0.0016535i
-0.00061915+0.010603i,-0.0020167+0.013735i,-0.00023365+0.011549i,0.0012868+0.0045214i,0.0014289+0.00083538i,0.0017381+0.0025566i,0.0022464+0.004864i,0.0019472+0.0041521i,0.00047825+0.0024336i,-0.00048145+0.0025854i,0.00031205+0.0025809i,3.6717e-05+0.00079789i,-0.00047003-0.00033095i,0.00068683-0.00024393i,0.0013954-8.4605e-05i,0.000327+0.00010023i,-0.00053043-0.00059434i,7.7703e-05-0.0014069i,0.0002023-0.0014813i,-0.00049065-0.0015418i,-0.00041322-0.0008212i,-0.00024169+6.8601e-05i,8.567e-05+0.00055426i
0.0055116+0.0063641i,0.0092474+0.010919i,0.0092794+0.010408i,0.0056946+0.0073067i,0.0029687+0.0048889i,0.0031798+0.0043493i,0.0044569+0.0041817i,0.0044819+0.002347i,0.0028066+0.0019694i,0.0019917+0.003264i,0.0022235+0.0026218i,0.0017424+0.0013731i,0.0015141+0.00062126i,0.00087019+0.00027853i,0.00043591-0.00014161i,0.00050994-0.0010503i,0.00043274-0.0010448i,-0.00047011-0.0005644i,-0.00074653-0.00023896i,-0.0002675-0.00053416i,0.00022484-0.00043458i,-8.5494e-05+0.00016543i,0.00029562+2.929e-06i
0.0079648-0.0031368i,0.01207-0.0035732i,0.011176-0.0030406i,0.006387-0.0014524i,0.0033374-0.00092613i,0.0038203-0.0015684i,0.0045729-0.0019181i,0.0039807-0.0012581i,0.0026851+0.00037835i,0.001015+0.001368i,0.00062793+0.00043051i,0.00083974-0.00071003i,0.00046739-0.00018939i,5.5872e-05+0.00056477i,-0.00065005+8.7037e-05i,-0.00097153-0.00057965i,-0.00045111-0.00097556i,-0.00010979-0.00078056i,0.00010687-0.00066435i,0.0006235-0.00078889i,0.0010455-0.00018412i,0.0015444-0.00017825i,0.001403-0.00054455i
0.0047388-0.01132i,0.0055245-0.015303i,0.0061725-0.014999i,0.0049219-0.010639i,0.0013432-0.0065303i,-0.0014557-0.0045048i,-0.00036898-0.0035153i,0.001371-0.0028826i,0.001778-0.0016121i,0.0018517-0.00057141i,0.0010741-0.0011287i,0.00054104-0.00093297i,0.00073199-3.8466e-06i,0.00095867+9.5063e-06i,0.00018137-0.00033507i,-0.00036402-0.00014032i,-0.00046985-0.0004284i,-0.00039525-0.00059749i,-0.00039365-0.00032498i,-0.00031285-0.00056883i,-0.00031957-0.00062252i,-0.00030508-0.00049786i,-0.0005488-0.0001731i
-0.00554-0.0095874i,-0.0087156-0.014801i,-0.0079875-0.01341i,-0.0036802-0.0089364i,-0.0019944-0.0047224i,-0.0032233-0.0018052i,-0.0035793-0.00062952i,-0.0017795-0.00069466i,0.00011352-0.00091678i,-4.5534e-05-0.0012773i,-0.001043-0.0011717i,-0.0011004-0.00071692i,0.00064453+0.0001581i,0.0014422+0.00068986i,0.00091274+0.00080072i,0.00059801+0.0003875i,0.00050912-0.00059936i,-0.00027023-0.00060871i,-0.0013937-0.00094537i,-0.00036093-0.00094866i,0.0004225-2.4046e-05i,-0.00027151+2.7416e-05i,-0.00049352+0.00019046i
-0.010334-0.0010931i,-0.016707+0.00061369i,-0.016733-0.00040323i,-0.011408-0.0012516i,-0.0064998+8.6272e-05i,-0.0045783+0.002474i,-0.0035316+0.0045603i,-0.0020752+0.0034222i,-0.00085564+0.00040098i,-0.0017269-0.00063998i,-0.0022404-0.00019828i,-0.00056571+0.00030443i,-0.00035325+0.00016642i,-0.00072599+1.5349e-05i,-2.5003e-05-9.3712e-05i,1.0434e-05-0.00021606i,-0.00058184-0.00043333i,-0.0011588-9.9792e-05i,-0.00039762+0.00058702i,0.00060681+0.00087363i,0.00022959+0.00070739i,-0.00065038+0.0008518i,-0.00030518+0.00062839i
-0.0081861+0.0070045i,-0.0098369+0.012027i,-0.0077571+0.013413i,-0.0044688+0.009146i,-0.0012798+0.0053915i,0.00080146+0.0058978i,0.0012408+0.006641i,0.00091522+0.0051698i,-0.00019184+0.0029183i,-0.00040607+0.0022687i,0.0001918+0.002083i,0.00058294+0.001072i,0.0012871+0.00084646i,0.0014435+5.8329e-05i,0.0012444-0.001617i,0.00075463-0.0014877i,-0.00058132-0.00077828i,-0.00062973-0.00042764i,-0.00019236+0.00051968i,-0.00062806+0.0014245i,-0.00072786+0.00131i,-1.5657e-05+0.0011513i,0.00022722+0.00079721i
0.0054124+0.010997i,0.0098736+0.016048i,0.011971+0.015049i,0.0087669+0.0091392i,0.0044789+0.0041781i,0.0039724+0.0036785i,0.0056272+0.0038513i,0.0053589+0.0028293i,0.0025094+0.0023178i,0.0010023+0.0021491i,0.0012938+0.0017059i,0.00064253+0.0011377i,-0.00056488+0.00092966i,-0.00051397+0.00022771i,-5.0824e-05-0.00133i,0.00049339-0.0018769i,0.00088388-0.00085308i,0.00017062+0.00011597i,0.00015449+0.0005733i,0.00041058+0.00054308i,0.00043097-0.00011979i,0.00068729-0.00038132i,0.00059148-0.00037987i
0.0097099+0.00077018i,0.015522-0.001481i,0.018087-0.0034798i,0.013842-0.0031586i,0.0074954-0.0019154i,0.0049555-0.0015581i,0.0051468-0.0012404i,0.0052828-0.00068668i,0.0038434+0.00067842i,0.0029092+0.0013616i,0.0025869-1.3222e-05i,0.0017069-0.0014468i,0.00053806-0.00080243i,-0.00062788+0.00034546i,-0.0017676+0.00025737i,-0.0014396+0.00022947i,-0.00026165+0.00023892i,0.00087549-0.00014935i,0.0010008-0.00041996i,0.00025068-1.7915e-05i,0.00042904+0.00043562i,0.00058561+2.0825e-05i,0.00069426-0.00025832i
0.0079664-0.0084049i,0.010415-0.014114i,0.010008-0.016557i,0.0060448-0.013112i,0.0023698-0.0080935i,0.00060545-0.0056914i,-0.00034097-0.0048496i,0.00031553-0.0038717i,0.0017503-0.0019523i,0.0020336-0.001089i,0.0016255-0.00078841i,0.0013634-5.5042e-05i,0.0012321+0.00079708i,0.0012239+0.00077471i,0.00073681+0.00013887i,0.00025349-0.00052162i,0.00050345-0.00038998i,0.00028048-0.00043677i,-0.00052927-0.0011792i,-0.0003871-0.0011697i,8.2531e-05-0.00067648i,0.0003899-0.00058138i,0.00025109-0.00017703i
