-0.0016773+0.0013466i,-0.0011186+0.0013747i,-0.0020949+0.00079411i,-0.0021019+0.00097023i,-0.0017445+0.0008416i,-0.0019371+0.00048791i,-0.0013368+0.0012824i,-8.5076e-05+0.0018657i,0.00017521+0.00090042i,1.8244e-05+8.5637e-06i,0.00027195-5.9506e-05i,0.00059892-0.00018535i,0.00022707-0.00011732i,-0.00098945+0.00015694i,-0.0013795+0.00022729i,-0.00059013-0.0002562i,0.00015886+0.00022886i,0.0001592+0.0007471i,-0.00026951+6.7631e-05i,-0.00013746+0.00069593i,0.00039944+0.0011909i,0.00056277+6.448e-05i,-0.00034567-0.00037464i
0.0016581+0.0012545i,0.002169+0.0012886i,0.0020579-0.0004533i,0.0017869-0.0020284i,0.0014677-0.0023616i,0.0012852-0.0017375i,0.00019842-0.00056291i,-0.00079512+0.00022206i,-0.00025573+0.00014111i,-0.00027074-0.0010074i,-0.00088795-0.0018746i,-0.00063825-0.0012121i,-0.00078343-0.00020518i,-0.0010527+3.2154e-05i,-0.00095685+5.8411e-05i,-0.00049013+0.00054052i,-0.00047829+0.0010887i,-0.00099424+0.0007153i,-0.00064201-0.00049998i,-0.00073629-0.00083757i,-0.00089875-7.7348e-05i,-0.00069936+0.00023259i,0.0003785+0.00034943i
-0.0016313-0.0012814i,-0.00021853-8.0629e-05i,3.9769e-05+0.00017917i,-0.00043201-0.00057868i,-0.00021419-0.00057533i,-0.00013908-0.00045787i,-0.00036919-0.00014955i,-0.00052211+0.00062738i,-0.00056517+0.0003748i,-0.00038039-0.00058104i,-0.00046736+9.9146e-05i,-0.0012288+0.0012435i,-0.0013199+0.00095777i,-0.0010106-0.00014547i,-0.0010143-0.00056357i,-0.00096102-0.00024615i,-0.00049738+4.26e-05i,-0.00049049+0.00017587i,-0.00086867-0.00041447i,-0.0011784-0.00070454i,-0.0011252-0.00013902i,-0.001103+0.00012195i,-0.0005243-1.7889e-05i
-0.0012433+0.00028442i,-0.0012521+0.00083085i,-0.0016023+0.0019065i,-0.00035308+0.0019583i,0.0016889+0.0019835i,0.0014692+0.0015868i,-0.00056606+0.00024171i,-0.0012963-0.00075039i,-0.00082946-0.00097528i,-2.2742e-05+0.00011614i,0.00094893+0.0013921i,0.00079992+0.0014801i,0.00068409+0.00080171i,0.00062753+0.00067966i,2.4119e-05+0.00060441i,7.7796e-05+6.5237e-05i,-0.00034509-0.00016536i,-0.00070367-0.00045405i,-0.00087189-0.00018219i,-0.0006384+0.00068943i,-0.00035124+0.00097469i,-0.00025489+0.0010408i,-5.157e-05+0.000543i
-0.0010685-0.00041697i,-0.00056009-0.00012396i,-0.0001012+0.00073493i,0.0013071+0.0014369i,0.0025389+0.00070521i,0.0023-0.00044295i,0.00039119-0.00066271i,-0.0013346-0.00016733i,-0.0016257+0.00066002i,-0.0011309+0.00067435i,0.00052651-0.00037001i,0.0013029-0.00050687i,0.00015604+0.00017591i,-0.001318+0.00044783i,-0.0018105+0.00027405i,-0.00097982-8.5937e-05i,-0.0003732-0.00054376i,0.0001367-0.00031744i,0.00037476+0.00025002i,-0.0004529+0.00083143i,-0.00085616+0.0013656i,-0.00028695+0.001089i,6.4467e-05+0.00040389i
0.00061718+0.00063415i,0.00072609+0.0016442i,0.0018764+0.001515i,0.0031526+6.6194e-05i,0.0028028-0.00073869i,0.00080363-0.0012918i,-0.0013078-0.00060251i,-0.0017748+0.00047133i,-0.0012702+0.00025287i,-0.00084998+0.00019466i,-0.00060695+0.00013792i,-0.00048758+0.0005365i,-0.0011322+0.00066256i,-0.0017502+0.00025558i,-0.0017582+0.00037745i,-0.00084629+0.00062881i,-0.00034177+0.0005893i,2.8162e-05+3.531e-05i,0.00025478+0.00046013i,0.00028888+0.0012212i,0.00068534+0.0010014i,0.00068832+0.00052737i,0.00072759-0.00010128i
-0.0011939+0.00053418i,-0.00024909-6.5208e-05i,0.0003695+4.2999e-05i,0.00067793+0.00045296i,0.00064219+2.5669e-06i,-0.00014687-0.0010481i,-0.0016486-0.00068388i,-0.0021324+0.00017617i,-0.0015625+0.00058494i,-0.0010521+0.0008039i,-0.00064183+0.0010912i,-0.00042138+0.00088125i,-0.00096543+0.00012062i,-0.00079744-0.00045245i,-0.00028518+4.1669e-05i,0.00039957+0.00047728i,0.00072765+0.00041685i,0.00051208-7.9814e-05i,-0.00012199-0.00045011i,-0.000355+0.00035831i,-0.00049157+0.00040714i,-0.00028138-0.00010613i,5.7534e-05+0.00075668i
0.00022725+0.0016133i,0.0010393+0.00091889i,0.0019846+0.00048508i,0.0030645-0.00014446i,0.0030076-0.0010554i,0.0010263-0.0018147i,-0.00056578-0.0015241i,-0.0014348+0.00026611i,-0.00057761+0.0009885i,0.00075176+0.00054843i,0.00074887+0.00094504i,0.00025545+0.0012545i,-0.00064132+0.00046943i,-0.00048209-0.00049069i,-0.00015146-0.00058056i,-0.00032452-0.00040781i,-9.3946e-06-0.00019111i,0.00035553-7.2553e-05i,0.00025775+0.00030165i,-0.00033662+0.00034396i,-0.00058367-0.00014043i,-0.00010485-0.00036077i,0.000353-6.072e-05i
-0.00027976-0.0016212i,-0.00028175-0.00080401i,0.00021347+0.00080915i,0.0012153+0.001304i,0.0021251+0.0001053i,0.0023379-0.001176i,0.00082438-0.00058712i,-0.00043903+0.00097375i,0.00027153+0.00070854i,0.00097152+6.9727e-05i,0.00098641+0.00049462i,0.00081498+0.00064142i,0.00012993-0.00023783i,-0.00011813-0.0010202i,-0.00025071-0.0010255i,-0.00042643-0.00055544i,-2.8829e-05+8.2048e-05i,-0.00039519+0.00084294i,-0.00044144+0.00095098i,3.0368e-05+0.00083054i,5.0158e-05+0.00017322i,0.00034309-0.00062646i,0.00052293-0.00056356i
0.00074141-0.00016703i,0.00066286-0.00010597i,0.00022535+3.0486e-05i,0.0005566+0.00056631i,0.0016084+0.00018102i,0.0011882-0.00071685i,-0.00040877-0.00091648i,-0.0013751-0.00066604i,-0.0013626-0.00063723i,-0.0012872-0.00014278i,-0.00090572+0.00056123i,-0.00012744+0.00097175i,5.3471e-05+0.00022251i,8.7748e-05-0.00063976i,-0.00026571-0.00042718i,-5.6863e-05-0.00057826i,0.00030353-0.00073459i,2.0363e-05-1.0067e-06i,-0.00020967+0.00081596i,0.00010348+0.00036958i,0.00032259+2.6024e-05i,-2.8869e-05+0.00042306i,-0.00074088+0.00023273i
-0.00051129+0.0023716i,0.001509+0.0012402i,0.0033914+0.00072937i,0.0047865-0.00029661i,0.0048858-0.00090485i,0.0017725-0.0010697i,-0.0013806-0.00096522i,-0.0026504-1.493e-05i,-0.0019387+0.0008338i,-0.0006001+0.0010049i,-0.00033545-0.00019366i,-0.00088965-0.001433i,-0.0011712-0.00053156i,-0.00030316+0.00060417i,-8.2789e-05+0.00078714i,-0.00057038+0.00055632i,-0.00036986-0.00030545i,0.00059869-0.00029163i,0.0014303-0.00026087i,0.00092667-0.00073484i,3.6942e-05+0.00027979i,-9.5247e-05+0.00086856i,0.00066391-0.00019725i
0.0015244+0.00023201i,0.00057192+6.5756e-05i,-0.00060207+0.0012064i,0.0012031+0.0003929i,0.0029033-0.0005489i,0.0020741-0.0006198i,0.00051512+0.00010506i,-0.00071318+0.00134i,-0.0016686+0.0018102i,-0.0014552+0.00165i,-0.0013227+0.0012241i,-0.0014245+0.00065326i,-0.00054944-8.1477e-05i,-0.00026622-0.00057523i,0.00018782-0.00061973i,0.00044547-0.00022229i,-0.00021741+0.00084681i,-0.00076671+0.0011925i,-0.0010542+0.00038838i,-0.0010001+9.3996e-06i,-0.00045612-0.00062205i,0.00027446-0.0012188i,0.0011616-0.00089236i
-0.00032365+0.0023058i,-0.0002536+0.0012222i,7.3936e-05+8.0236e-06i,0.00050003-0.00040962i,0.0013197-0.00026378i,0.00087241-0.00031413i,-0.00053183-4.7295e-05i,-0.00077755+0.00075402i,-0.00056019+0.0014894i,-0.00078452+0.0015875i,-0.00059286+0.00069758i,-0.00044438-0.00010454i,0.0001124+0.00014408i,0.00068953-7.0163e-05i,-0.00010774-0.0010165i,-0.00089452-0.00087875i,-0.00058801+6.4912e-05i,-0.00076957+0.00060076i,-0.001288+0.00041196i,-0.00085692+0.00050006i,-0.00015857+0.0010783i,5.4288e-05+0.00082402i,0.00060327+9.0948e-05i
-0.0014161-0.00026516i,-0.00050993+0.00083823i,9.5618e-05+0.0017549i,0.0011185+0.0019162i,0.0020451+0.0014115i,0.001868+0.00034697i,0.00077208-0.00038693i,-0.0009958-0.00064599i,-0.00077901-0.00048441i,0.00024426-0.00036841i,0.00014139-5.2873e-05i,0.00020984+0.00030777i,0.00029196+0.00055608i,0.00057188+0.00051848i,0.00043922+0.00027736i,-0.0001328+0.00048355i,2.2082e-05+0.00019948i,-0.00019668+0.00040352i,-0.00097951+0.00055984i,-0.00072205+0.00015832i,0.00024377-8.3502e-05i,-6.5772e-05+0.00014974i,-0.00030057+0.00010413i
0.0021225+0.0017187i,0.0012394+0.0013045i,0.0015751+4.5323e-05i,0.0032373+1.6629e-05i,0.0036864-0.00070822i,0.0018656-0.0019643i,-8.0913e-05-0.001488i,-0.0012966-0.00022798i,-0.0013692+0.00046792i,-0.00084791+0.00041984i,-0.0010523-0.00030064i,-0.00088163-0.00059514i,0.00022813-0.00035789i,0.00060212-0.00028545i,0.00012765+0.00011459i,-0.00013687+0.00037478i,2.1283e-06+0.00040854i,-0.00046239+0.00079319i,-0.00088799+0.00049966i,-0.00039526+0.00027106i,0.00026169+0.00057861i,-1.1987e-05+0.00043439i,-0.00039306-0.00019115i
-0.00042476+0.00083185i,0.00019408-0.00022047i,0.0021796-0.00034931i,0.0038571-0.00070868i,0.004036-0.0016753i,0.0022129-0.0020817i,-2.1193e-05-0.0011138i,-0.0015372+0.0004904i,-0.0021005+0.0007955i,-0.0016358+0.0007993i,-0.00071902+0.0011413i,-0.00065345+0.0010697i,-0.00031488+0.00020259i,-1.9286e-05-0.00043364i,-0.00011105-1.9484e-05i,-0.00028105+6.6576e-05i,-0.00051834-0.00043359i,-0.0003725-0.00035637i,-0.00022159+0.00030452i,-0.00082206+0.00059262i,-0.00066371+0.0010364i,0.00060459+0.00093675i,0.00074337+0.00074817i
0.0021481+0.0002251i,0.0021624-0.00011775i,0.0017798+8.8924e-05i,0.0024871-0.00043284i,0.0013291-0.00078181i,-0.00094352-0.0012512i,-0.002037-0.00098921i,-0.0020275+0.00024892i,-0.0013523+0.00076796i,-0.00042152+0.00082538i,0.00026855+0.0001522i,0.00064096-0.00063754i,0.00082974-7.0226e-05i,4.2545e-05-8.9019e-05i,-8.9232e-05-0.0010384i,-0.00056105-0.0010085i,-0.0013684-0.00039515i,-0.0009281+1.8427e-06i,-0.000434+0.00024898i,-0.00026345+0.00056046i,2.911e-05+0.0010538i,0.00083303+0.00082901i,0.0015244+0.0002316i
0.0021651+0.0007787i,0.0021203+0.0003186i,0.0022509-0.0010434i,0.0014437-0.0019393i,0.0011973-0.001809i,0.0011675-0.00073739i,2.1156e-05-0.00020359i,-0.0010421-0.00028158i,-0.00058459+0.00019939i,0.00011987+0.00028591i,0.00028567-0.00036715i,7.8466e-05-0.00056526i,0.00014395+0.00023791i,-0.00019857+0.0002079i,-0.00036338-0.00044644i,0.00026259-0.00039019i,0.00050153-0.0004427i,0.0005698-0.00041863i,0.0007584+0.00020201i,0.0006715+0.00055005i,7.8682e-05+0.00023977i,-0.00062676+0.00045051i,-0.00034197+0.00055897i
0.0016-7.8209e-06i,0.0024471+0.00026311i,0.0029228+0.00031551i,0.0030436+0.00021919i,0.0021425-0.00016785i,0.00044003-0.0015087i,-0.0013114-0.001729i,-0.0021333-0.0003831i,-0.0014389+0.00041884i,-0.00039077+0.00018141i,-0.00032775-0.00031608i,-0.00096727-0.00048968i,-0.0013659-0.00023983i,-0.0013054+5.1389e-05i,-0.001675+0.00090936i,-0.0015613+0.00086091i,-0.00032203+3.1787e-05i,0.00045265+0.00016993i,0.00013895+0.00084757i,-0.00011016+0.0011504i,-0.00018414+0.00073939i,-0.0004759+0.0001636i,-0.001233-3.9521e-05i
-0.00029935+0.00024457i,-0.00052322+0.0012964i,-0.00026556+0.0021263i,0.0022581+0.0018118i,0.0035227+0.0018027i,0.0020924+0.0006576i,-0.00024944-0.00071402i,-0.0016412-0.00079984i,-0.00098097-0.00021915i,-0.00026304+0.00034078i,-7.023e-05+0.00038806i,0.00055119+2.1152e-05i,0.00063977+5.2495e-05i,-9.5763e-05+0.00021976i,-0.00076974+0.00058231i,-0.00072468+0.0012925i,-0.00062237+0.0014112i,-0.00041585+0.0010766i,-0.00051826+0.00054175i,-0.00089711+6.0977e-05i,-0.0011944+0.00017507i,-0.00054701+0.00078838i,-0.00024299+0.00021124i
0.00016943+0.0022207i,0.0010925+0.0025039i,0.0016432+0.0022011i,0.0030525+0.0011032i,0.0028136-0.00042847i,0.0012217-0.0013792i,-0.0008159-0.0010483i,-0.0024537-9.2711e-05i,-0.0020165+0.00018522i,-0.00035553+0.00062025i,0.00091366+0.00073408i,0.00040119+0.00031484i,0.00016301-0.00014447i,0.00021806-0.0004361i,-0.00040771-0.00030697i,-0.00012081+0.00026725i,0.00078262+0.0010014i,0.0011534+0.0012533i,0.00036575+0.00099569i,0.00015419+0.00053328i,0.00046382+0.00036278i,1.1344e-05+0.00013177i,-0.00064493-0.00027377i
-0.0017496-0.0014451i,-0.0012154-0.00088246i,0.00030875-4.6992e-05i,0.0017949+1.5773e-06i,0.0026249-7.2379e-05i,0.0022371+6.8985e-05i,0.00057059+0.00057325i,-0.0012141+0.00098937i,-0.0017349+0.00095854i,-0.00056789+0.0007969i,0.0003434+9.597e-05i,4.9633e-05+1.9248e-05i,-0.00069522+3.092e-06i,-0.00057031-0.00074445i,-2.1789e-05-0.00067879i,0.00021825+6.8209e-05i,-7.6876e-06+0.00013285i,-0.00021169+0.00010872i,8.5063e-05+3.9964e-05i,0.00088215+3.1993e-05i,0.00054756+7.055e-05i,-0.00021797+0.00012874i,-0.00016705+0.0010407i
0.00037533+0.0010475i,0.00066222+0.0011172i,0.00026378+0.00037232i,0.001014+0.00051316i,0.0014998+1.6843e-05i,6.3382e-05-0.0011755i,-0.0010673-0.00078261i,-0.0014538-0.00029703i,-0.00094792-0.00017231i,-7.8792e-05-1.1228e-05i,-0.00012949-0.00013422i,-0.00030538-0.00021751i,-5.7144e-05+0.000158i,0.00016545-2.8992e-05i,-0.00013089-0.00092039i,-0.00047049-0.00090184i,-0.0012263-4.3979e-05i,-0.0011262+0.00038673i,-0.00058021-0.00018784i,-0.00094807-0.00063637i,-0.00081082-0.00034197i,-0.00017207+9.3463e-05i,-0.00047738-5.0227e-05i
-0.00057888-0.0013075i,-0.0014306-0.00080345i,-0.0019034-0.00033572i,-0.0014511+0.00033002i,-0.00081311+0.00056423i,0.00017293+5.0081e-05i,9.351e-05-0.00083697i,0.00020873-0.0010298i,0.00065252-0.00019666i,0.00097097+0.0003373i,0.0012617+0.0007576i,0.00065987+0.00061394i,0.00019753-0.00015655i,-0.00019326-0.00026119i,-0.00071726-0.0001593i,-0.00033806+0.0002913i,-0.0005138-6.9431e-05i,-0.00092391-0.0011184i,-0.001053-0.0013237i,-0.0012095-0.00054811i,-0.00046898+0.00024243i,-0.00026225-0.00017537i,0.0005129-0.0005994i
0.0037247+0.0012213i,0.0043894-0.00038251i,0.0055452-0.0018238i,0.0050327-0.0024245i,0.0040018-0.0026612i,0.0025675-0.0025367i,-0.00029702-0.0010524i,-0.0015588+0.00062898i,-0.0010845+0.0011344i,-0.00064251+0.00079967i,-0.00027075-0.00021441i,-0.00046154-0.00084571i,-0.00042011-0.00036696i,-0.00052032-2.5089e-05i,-0.00066843-0.00018208i,-0.00037833-0.00011029i,-0.0004381-2.7606e-05i,-7.5258e-05+7.3447e-05i,0.00055694+0.00073291i,0.00073544+0.0014447i,0.00024946+0.0015582i,-0.0001398+0.00098669i,9.8344e-05+0.00021313i
-0.0010428-0.0015579i,-0.0013924-0.0017485i,-0.0019196-0.0011741i,-0.00089847-0.00033792i,0.00030766-0.0002847i,0.00015881-0.00073695i,-0.00051722-0.0009808i,-0.0012003-0.00045874i,-0.0018034+0.0004173i,-0.0013928+0.00044701i,-2.6324e-05+0.00071035i,0.0002357+0.0011111i,-0.00026987+4.7467e-05i,-0.00043811+0.00012201i,-0.00037466+0.00074595i,0.00012341+0.00031931i,0.00048768-1.4372e-05i,-9.1943e-05+4.0044e-05i,-0.00063255+3.5285e-05i,-0.00074146+0.00035565i,-0.00042495-8.1202e-05i,3.7754e-05-0.00036088i,0.00035221-0.00031526i
0.00070062-0.00015586i,-0.00077075+0.00012456i,-0.00047641+0.00050225i,0.0010061+0.00042426i,0.0014928+5.9203e-05i,0.0010036-0.00048615i,-0.00079238-0.00062623i,-0.0021938+6.2537e-05i,-0.0019153+0.00039623i,-0.00017816-9.1262e-05i,0.00022624-0.00011477i,-1.9222e-05-0.00019414i,-0.00028085-0.00050212i,-0.001349-0.0012973i,-0.0019449-0.0013636i,-0.0016062-0.00063396i,-0.00092547-0.00018376i,-0.00035132-0.00036283i,-0.00034068-0.0002734i,-0.00028822+0.00058838i,0.00073828+0.00078334i,0.0011912-3.1481e-05i,0.00095862-0.00039027i
-0.0024958+0.0011699i,-0.002402+0.0020809i,-0.001269+0.0023939i,0.0005993+0.0023716i,0.0009758+0.0018358i,0.00089962+0.00047808i,-7.8669e-05-0.000727i,-0.0011119-0.00026822i,-0.001108+0.0005883i,-0.0010692+0.00071742i,-0.0010735+0.00049497i,-0.00043267+0.00071462i,-0.00090466+0.00095898i,-0.0016166+0.00029877i,-0.00054493+0.00042443i,-7.3272e-05+0.00063029i,-0.00077435-1.8963e-05i,-0.00085958-0.00080385i,-0.00124-0.00046435i,-0.0016345-0.00028312i,-0.0011473-0.00045644i,-0.00053335-0.0004344i,-0.00031457-0.00024844i
-0.00085259+0.00016165i,-0.0002097-0.00013633i,0.00050363-0.0010524i,0.0016416-0.00053178i,0.002809+0.00035342i,0.0014827-0.00028661i,-0.00034112-0.00055838i,-0.00073495+0.00025i,-0.00021047+0.00058426i,1.869e-05+0.0010172i,-0.00068404+0.00047486i,-0.00049826-0.0007182i,7.0948e-05-0.00057547i,-0.00067662+0.00012703i,-0.0010728+0.00053778i,-0.00013097+0.00045312i,0.00046364+0.00021994i,-0.00016644+0.00045483i,-0.00066705+0.00086921i,-0.0012307+0.00068685i,-0.00092403+0.00021752i,3.7036e-05+0.00048148i,-0.00031836+0.00067514i
0.0011498-0.0017568i,-3.615e-05-0.0015306i,5.7812e-05-0.0011529i,0.00063144-0.00064707i,0.00097762-0.0014196i,0.00069935-0.0020091i,-0.0010157-0.001799i,-0.0021286-0.00063644i,-0.001358-1.1464e-05i,-0.00042764-0.00057008i,-0.00037374-0.00057244i,-0.00058218+0.0004427i,-0.00022873+0.00081134i,-6.8227e-05+0.00033539i,-0.00017436+0.00021613i,-0.00013011+0.00041361i,-0.00018153+0.00022253i,-0.00023854-0.00026244i,-0.00041391+0.00027315i,-0.0003566+0.00080219i,0.00061412+0.00060636i,0.001146+0.00044974i,0.00096165+0.00035691i
0.0002612+0.001241i,0.00074968+0.00019229i,0.00090852-0.00067421i,0.0016128-0.0010255i,0.0022185-0.0012778i,0.0016382-0.0011111i,8.9913e-05-0.00041708i,-0.0012117+0.00023496i,-0.0012915+0.0003985i,-0.00036176+0.00070058i,-2.5498e-05+0.00064267i,7.3605e-05+9.8264e-05i,-9.9943e-05-0.00056046i,-7.9249e-06-0.00046001i,4.0954e-05+0.00052203i,-0.00057701+0.00039936i,-0.00066291-0.000215i,-0.00047566-0.0004118i,-6.0182e-05-0.00038156i,0.00040703+3.3086e-05i,0.0010309+0.00022155i,0.00131+9.1919e-05i,0.00085019-9.9827e-05i
-0.00054679+0.00060281i,0.0002722+0.0013895i,0.0012231+0.0013902i,0.0018977+0.00094532i,0.0020731+5.6338e-05i,0.0012093-0.00021052i,-0.00029615+0.00033286i,-0.0013946+0.001082i,-0.0012604+0.00099216i,-0.0011282+0.00093027i,-0.00086952+0.0012465i,-0.00018116+0.00097094i,-0.00047452+0.00053284i,-0.0011988+0.0006865i,-0.00087544-6.4336e-05i,6.1978e-05-0.0003236i,6.6292e-05+1.6102e-05i,-0.0002799-0.00058674i,1.4898e-05-0.00078675i,0.00062984-0.001062i,0.0013342-0.00099735i,0.0013799-0.00028079i,0.001023+5.1149e-05i
0.0024589+0.0014285i,0.0017856-0.00087604i,0.002381-0.0017001i,0.0027494-0.0015968i,0.0027221-0.0018596i,0.0023029-0.001688i,0.0012503-0.00037979i,-0.00019191+0.00079185i,-0.00023503+0.0012755i,0.00042348+0.00075217i,0.00073223+0.00037113i,0.00053663+0.00034156i,0.00012968+0.00039405i,0.0001268+0.00020566i,-0.00046893+0.00015139i,-0.00071791+0.00022516i,5.1928e-05+0.00054977i,-0.00030216+0.0014522i,-0.00076684+0.001295i,-0.00061828+0.0012563i,-0.00085019+0.0012736i,-0.0010098+4.8345e-05i,-8.5179e-05-0.00072715i
-0.00038322-0.0012555i,4.7866e-05-0.00071504i,0.00057899+0.00081121i,0.0018642+0.00060692i,0.0024788-0.00055437i,0.0010159-0.0013128i,-0.00060705-0.0015328i,-0.00069752-0.0010258i,-0.00046899-0.0005333i,-0.00064856-0.00063386i,-0.0001564-0.00065629i,0.00069607-0.00083468i,0.00094595+5.21e-05i,0.00066236+0.0009581i,0.00066029+0.00034092i,4.299e-05+0.00012918i,-0.00062508+0.00024537i,-0.00011378-0.00039864i,-4.421e-05-0.00049756i,-0.0005604+0.00010011i,-0.00050181-0.00018349i,-8.0685e-05+1.1536e-06i,0.00075742+0.00086369i
0.00016273-0.0013067i,3.555e-05+0.0003035i,0.00046044+0.00034723i,0.0015888-0.00087848i,0.0021834-0.0018346i,0.0012602-0.0020964i,-0.00087171-0.0015508i,-0.0024159-0.00044865i,-0.0023564-0.00067888i,-0.0018502-0.0013355i,-0.0012029-0.0013638i,-7.8094e-06-0.00071992i,0.00074482+0.0002871i,0.00017154-0.00021619i,-0.00084795-0.00077792i,-0.00095971-0.00049158i,-0.00066634-0.00045387i,9.6263e-05-0.00028522i,0.00055587-0.00036489i,-0.00036468+0.00014742i,-0.00032484+0.00011i,-0.00031992-0.00020287i,-0.00053307-4.2711e-05i
0.001611+0.0007247i,0.0012168+0.00065604i,0.0018419-0.00026475i,0.0025658-0.00073458i,0.0026954-0.00018292i,0.0011934-0.00034083i,-0.0008686+8.9247e-05i,-0.0016036+0.00082942i,-0.0013593+0.00088216i,-0.0011975+0.0013145i,-0.0010478+0.0017006i,-0.00036793+0.0013851i,0.00056195+0.0002295i,-3.2997e-05-0.00088583i,-0.0016501-0.00068436i,-0.0011829+8.3067e-05i,-0.00034482+0.00015699i,2.4419e-05+9.3548e-05i,-0.00039498+0.00030893i,-0.0012088+0.00064896i,-0.00044519+0.00044261i,0.00026589-9.0823e-05i,0.00065707-0.00036164i
0.0008255+0.00057271i,0.00099484+0.00025252i,0.0026178-0.00029403i,0.0031653-0.0015901i,0.0030407-0.0024157i,0.0024994-0.0014066i,0.0007893+8.0314e-05i,-0.00060733+0.0011419i,-0.00049919+0.001335i,0.00041821+0.0015123i,-6.667e-07+0.0017256i,-0.0011728+0.00094207i,-0.0013296+0.00030529i,-0.0010812-0.00011091i,-0.0012246-0.00020373i,-0.00091061+0.0005785i,-0.00060034+0.0011271i,-0.00087964+0.00060475i,-0.0005237+0.00010034i,6.2691e-05-9.3483e-05i,-0.00013886-0.00086247i,-0.00024529-0.0010529i,-0.00053358+0.00012515i
-0.00020671-0.0011756i,0.00030603-0.00024981i,0.00085004+0.00080652i,0.001677+0.00035947i,0.0027572-0.0004887i,0.0021964-0.0014431i,0.00091956-0.00087749i,0.00028301+0.00095336i,0.00044099+0.00066035i,0.00097752-0.00030881i,0.0010318-6.8557e-05i,0.0006618+0.00017726i,0.00037241-2.9796e-05i,0.0003765-4.1666e-05i,-0.00047786+0.00016804i,-0.0010343+0.00031404i,-0.00073892+0.00045591i,-0.00091889+6.7073e-05i,-0.00081203-0.00036958i,7.7692e-05+0.00010919i,2.9823e-06+0.0010191i,-0.00051348+0.00066395i,-0.00036211-9.031e-05i
0.00070643+0.0013833i,0.0011985+0.00013856i,0.0012894-1.8507e-06i,0.0019266+0.0002088i,0.0029681-0.0008932i,0.0025779-0.0020446i,0.00010708-0.0016108i,-0.0013484-0.001096i,-0.00069322-0.00094361i,0.00016055-0.00069417i,0.00035527-0.00082652i,9.5736e-05-0.00094412i,-0.00012762-0.0009013i,4.1639e-05-0.00050851i,-0.00010754+0.00015899i,-0.0003953+0.00039108i,-0.00094354+0.00056593i,-0.0011775+7.1064e-05i,-2.9014e-05-0.00063857i,0.00080728-0.00062873i,0.00073427+0.00015201i,0.00085291+0.00080551i,0.0013896+0.00083382i
0.0024073+0.0016774i,0.0022284+0.00062225i,0.0030328-0.00021553i,0.0035104-0.00027496i,0.0030342-0.00093107i,0.0010089-0.0013538i,-0.0010588-0.00066755i,-0.0025214+0.00012431i,-0.0031498+0.00037114i,-0.0025669-7.044e-05i,-0.0017563-0.0002289i,-0.001351+0.00061774i,-0.001443+0.00066889i,-0.0008739+0.00035042i,0.00011459+0.00057834i,-0.00015467-0.00046792i,-0.0011132-0.00091889i,-0.00095047-0.00061822i,-0.0001831-0.00035944i,0.00041366+1.2967e-06i,0.00084772+0.00026169i,0.00060265-0.00025954i,0.00025151-0.00083166i
0.00032795+0.00080003i,0.00082508+0.00051049i,0.002358+0.00015594i,0.003284+0.00023878i,0.0027867-0.00014591i,0.0011361-0.000615i,-0.00075489+0.0005232i,-0.0020428+0.0015603i,-0.0020521+0.0012512i,-0.0017341+0.0010046i,-0.0014914+0.00071884i,-0.00059118+0.0006513i,0.00014021+0.0006288i,-0.00048028+0.0003962i,-0.00046615-0.00014009i,0.00012311+0.00017493i,-0.00022105+0.0011552i,-0.000673+0.00063637i,-0.00045666-0.00045636i,-0.00053008-0.00043924i,-0.0005357+0.00014818i,-7.3021e-05-0.00050305i,0.00017451-0.0011846i
-0.00050918-0.0015871i,-0.001496-0.0018855i,-0.0017702-0.0015664i,-0.00072836-0.00018569i,0.00074692+0.00043924i,0.0011952+0.00094453i,0.00065939+0.00085272i,0.00055202+0.00028336i,0.00034071+0.00059819i,0.00034904+0.00070628i,0.0010095+0.00051551i,0.00098673+0.00043755i,0.00064635+0.00079317i,0.00057473+0.00071141i,0.00023644-7.0092e-05i,0.00028745-0.00056076i,0.00047924-0.00037344i,0.00012161+0.00020922i,-0.00031446-0.00018751i,-0.00014643-0.0003235i,-0.00035665-0.00029567i,-0.00088965-0.00052283i,-0.00051866+1.8484e-05i
-0.0034853+0.0012184i,-0.0017344+0.0018346i,-0.00010196+0.0021612i,0.0016818+0.0017976i,0.0029585+0.0010948i,0.002982+0.00017621i,0.0028692-0.0008797i,0.0020835-0.00095726i,0.00080419-0.00018333i,0.00079316+0.00058573i,0.0011265-0.0001312i,0.00050357-0.00099763i,-0.00037769-0.00089148i,-0.00078439-0.00080404i,-8.4589e-05-0.00089057i,0.0006068-0.00093864i,0.00031138-0.001292i,-0.00050796-0.00086196i,-0.001182+0.00010517i,-0.0010372+0.00028896i,-0.00070115+0.00086082i,-0.0009456+0.0012564i,-0.0005431+0.00062302i
