-0.004678-0.0015498i,-0.0048503-0.0012032i,-0.0040567+0.0011014i,-0.00070116+0.0015295i,0.0017964+0.0020775i,0.0017222+0.0012518i,0.00044211-0.00024065i,-0.00038787-0.00058811i,-0.00022034-0.00066165i,0.0012666+6.5291e-05i,0.0020566+0.00018106i,0.0017089-0.00069883i,0.0016751-0.00092237i,0.0012572-0.00091361i,0.001069-0.00094643i,0.00077837-0.00047694i,0.00010709-0.00016768i,0.00035309-0.0003141i,0.00031006-0.00080441i,0.00030026-0.00094361i,0.0005182-0.00033289i,0.00061531-9.9997e-05i,0.00081366-0.00013567i
0.0013925+0.001647i,0.00077092+0.0013255i,0.0010052+0.0011931i,0.0013234+0.00044586i,0.00096074+0.00072469i,0.00022736+0.00092633i,5.7587e-05+0.00040685i,0.00026215-0.00023118i,0.00066535-0.0013013i,0.001017-0.001918i,0.00023489-0.0013091i,-0.00060169-0.00021375i,-0.00071924+0.00041607i,-0.00060725+0.0008877i,-0.00066795+0.00084768i,-0.00082555+0.00090548i,-0.00045747+0.00099113i,-0.00013125+0.00069011i,-3.3754e-05+0.00083898i,0.00039835+0.00066316i,0.00094422+0.00015959i,0.0011103-0.00036523i,0.00043574-0.00033813i
0.00029922-0.0004772i,0.00025098-3.0378e-05i,0.00021807-0.0011615i,-0.00023834-0.0015095i,-0.00022421-0.0013926i,0.0004317-0.00093218i,0.00096278-0.00026973i,0.00060154+0.00031627i,8.7468e-05+0.00018917i,-4.5226e-05-0.00043379i,0.00051562-0.00065122i,0.0010269-0.00016734i,0.00027929-0.00013476i,-0.00019984-0.00057669i,0.00029815-0.00013628i,0.0007062+0.00047439i,0.00031186+0.00066433i,0.00018856+0.00042747i,-7.1805e-05+0.0003979i,-0.00029486+0.00078285i,0.00010748+0.00081453i,0.00023946+0.0012278i,0.00035547+0.001021i
-0.001136+0.00035251i,-0.0020765+0.0010111i,-0.0023609+0.0010453i,-0.00067836+0.0019652i,0.0013191+0.0026935i,0.0016975+0.0019126i,0.00085267+0.00026871i,7.6463e-06-0.00051635i,-0.00036791-0.00033799i,-0.00020436-0.00085223i,8.9552e-05-0.00051135i,0.00022796+0.00013435i,0.00055824-0.00016098i,0.0010123-0.00055811i,0.0001925-0.00030274i,-0.00087153-0.00014348i,-0.00047394-0.0004175i,0.00029576-0.00037685i,0.00037704-2.8406e-06i,-0.00020897+7.6063e-05i,-0.00043445+0.00017105i,-0.00036674+3.7512e-05i,0.00033223-8.839e-05i
-0.00032863+0.00082944i,-0.00040752+0.0014105i,-0.0011119+0.0012433i,-0.00027424+1.8419e-05i,0.00082178+1.2347e-05i,0.00057139+0.00043668i,0.00044229+0.00030113i,0.00030774-0.00025775i,-0.00062527-0.00047311i,-0.00096514-0.00033879i,-0.00055073-8.632e-06i,-3.8307e-05+0.00020421i,8.0316e-05+0.00046895i,-4.3955e-06+0.00068721i,0.00016715-8.1269e-05i,-0.0003324-0.00071507i,-0.00061515-0.00029178i,0.00012193-4.9829e-05i,0.00065041-0.00022946i,0.00015411-9.2093e-05i,5.8275e-05+1.5267e-06i,0.00040367+6.2302e-05i,0.00040338+5.6898e-05i
0.001494+0.0019818i,0.00047041+0.0014519i,-0.00026702+0.00058821i,0.00020288+7.9208e-05i,0.00095817-0.00020418i,0.0004751-0.00023315i,-7.6328e-05-0.00041422i,0.0002557-0.00039299i,0.00033048+0.00046301i,0.0001846+0.0009015i,-1.6738e-05+0.001067i,-0.00024732+0.0013922i,-0.0012559+0.00099778i,-0.0014377+0.00039712i,-0.00089579+0.00044975i,-0.00041759+2.3667e-06i,-0.00022234-0.0002985i,7.6193e-05-5.107e-05i,0.00039835-1.5925e-05i,0.00037836+0.00020814i,0.00048864+0.00020699i,0.00019662-0.00042121i,-1.7759e-05-0.0010871i
0.00037685+0.000472i,0.0015568+0.00025693i,0.0019964-0.00063582i,0.001306-0.001865i,0.00047712-0.001807i,0.0011629-0.00061348i,0.0016998-0.00033833i,0.00078821-0.00067606i,-0.00056165-0.00059486i,-0.0012329+4.9259e-05i,-0.00081079+0.00037535i,-0.0004018+0.00025609i,1.2413e-05+1.4482e-05i,-0.00015783+0.00042698i,-0.0009624+0.00081944i,-0.0011911+0.0008064i,-0.00020733+0.0015188i,0.00015399+0.0015827i,-9.5623e-05+0.0010247i,-0.00015605+0.00052336i,-3.6446e-05+0.00034571i,0.00052999+0.00033942i,0.00048307-0.00010863i
-0.00061176+0.00015129i,-0.0021489+0.00076255i,-0.0033749+0.0015193i,-0.0022989+0.0030238i,-0.00099675+0.0034848i,0.00012014+0.0027435i,-5.6274e-05+0.00073922i,-3.8712e-05-0.00015181i,0.00028461-0.00041088i,-0.00010278-0.0012609i,1.1784e-05-0.00058404i,0.00075488+0.0003394i,0.0007802+0.00027446i,0.0006568-6.9514e-05i,0.00075679-1.499e-05i,0.0011201-0.0005736i,0.00078933-0.00043217i,-0.0002926+0.00058832i,-0.00029321+0.0003068i,4.8953e-06-0.00060252i,0.00027426-0.00045292i,-0.00026617+0.00023433i,-0.00068666+6.0402e-05i
-0.00010326+0.00027228i,0.00032839-0.00080975i,0.001492-0.0014791i,0.0021237-0.0018405i,0.001821-0.0024397i,0.00065972-0.0022098i,0.00023411-0.0018245i,0.00023316-0.0013377i,0.00017942-0.00025628i,-0.00057654+0.00031372i,-0.00067169+6.9575e-07i,-8.0671e-05+4.0578e-05i,-0.00017225-0.00012196i,-0.00016036-0.00034392i,-0.00011108-0.00067473i,-0.00045044-0.0004896i,-0.00053029-0.00011437i,-0.00033468-0.00054802i,-0.00014907-0.00024142i,-0.00014261+0.0006493i,0.00034981-3.4465e-05i,-0.00010059-0.00031512i,-0.00047882+0.00016777i
0.0001668+0.00084566i,0.00035824+0.0025372i,0.0010835+0.003626i,-5.8848e-05+0.002681i,-0.00030821+0.0016642i,-3.6595e-05+0.0014311i,9.8132e-05+0.0010914i,-0.00021991+0.00053543i,-0.00075979-0.00032017i,-0.00033931-0.00067115i,-3.2788e-05-0.00011545i,-0.00014838-3.5094e-06i,9.9804e-05+0.00035343i,0.00036929+0.00052125i,-2.1158e-06+8.884e-05i,-2.0239e-05-0.00016299i,0.0007505-0.00058475i,0.0012739-0.00048548i,0.0012251-5.5773e-05i,0.0011481+0.00018302i,0.0006659+0.00027086i,8.6828e-06-0.00020192i,0.00020599-0.0010697i
-0.0010045+0.00015215i,-0.0018299-0.00071492i,-0.0030253-0.0011504i,-0.0024507-0.00097327i,-0.00096919-0.00077172i,3.4269e-05-0.00093657i,-0.00045698-0.00043245i,-0.0012445-0.00027106i,-0.00087748-0.0003248i,-0.00018099+2.5821e-05i,-0.00035986-0.0001581i,-0.00065661-0.00057713i,-0.00050349-0.00017431i,-0.000318+0.00066212i,-0.00047629+0.00061183i,-0.0010756+0.0010948i,-0.0006825+0.0010982i,0.00039093+0.00018213i,-4.3933e-05-0.00040288i,-0.00047807-0.00040015i,-0.00049344-5.2608e-06i,0.00032563+0.00012265i,0.00076226-0.00054981i
0.00071882-0.0017788i,0.00086668-0.00088016i,0.0010136-0.00049002i,0.0011806+0.0007583i,0.0015053+0.0024145i,0.001321+0.0028884i,0.00090869+0.0014666i,0.00057993-1.8427e-05i,-0.00027506-0.00035009i,-0.00099475+0.00049259i,-0.00054746+0.0013562i,0.00048073+0.0013166i,0.00094501+0.00073714i,0.0012639+0.00065456i,0.0011608+0.00093811i,0.00014941+0.00092259i,-0.00063775+0.0005025i,6.1144e-05-0.0007288i,0.0007536-0.00058228i,0.00029966-6.1515e-05i,-0.0002636-0.00046007i,0.00021119-0.00097713i,0.00036114-0.00012834i
-0.0011868+0.0033528i,-0.00093315+0.0040529i,-0.00097797+0.0036879i,-0.00028952+0.0016863i,0.00042744-0.0005464i,-0.00023451-0.0011689i,-0.00070583-0.00055789i,-0.00052519-7.518e-05i,-0.00022506+0.00014993i,0.00064564+0.00025152i,0.00088345-0.00036921i,0.0012312-0.00034886i,0.0002965-3.5149e-05i,-0.0017008-0.00030923i,-0.0021115-7.3914e-05i,-0.00061615-0.00045318i,0.0011335-0.00055282i,0.0011304+0.00016272i,-0.00048226+0.0002475i,-0.0015495+0.00021729i,-0.0013977+0.00052545i,-0.00071817-0.00029807i,0.00013975-0.00049619i
-0.00099953-0.0012393i,-0.00074544-0.0014894i,-0.0016236-0.0011261i,-0.0016117+0.00061491i,-0.00028252+0.0013732i,0.0011145+0.0013816i,0.00081235+0.00065991i,8.4157e-05-0.0007918i,0.00034804-0.0011839i,0.0012122-0.00040361i,0.0015-0.0002588i,0.00086649-0.00040056i,0.0006187-0.0004999i,0.00085122-0.00049986i,0.0015928-0.00034948i,0.0013717-0.00059246i,0.00035738+0.0003185i,-1.5915e-05+0.0013551i,-4.9711e-05+0.0005969i,-0.00061266-0.00043837i,-3.7325e-05-0.0011053i,0.0010113-0.0007793i,0.0010127-0.00040483i
0.00011954-0.0011727i,0.00049383-9.2752e-05i,-0.00014207+4.339e-05i,-0.0012772+0.00065195i,-0.0013058+0.0010661i,0.00028805+0.0015115i,0.0013217+0.00079887i,0.0011207-0.0010599i,0.0010588-0.0018605i,0.0013168-0.0012571i,0.00089905-0.00012049i,-1.2165e-05-0.00013565i,6.6181e-05-0.00025999i,0.00070442+0.00039356i,0.00071749+0.0013632i,0.00049288+0.0014034i,0.00020516+0.00036369i,0.00017182-0.00045588i,8.9531e-05+0.00011156i,0.00016106+3.3275e-05i,0.00019091-0.00012652i,0.00021407-0.00019807i,0.00071032-0.00082962i
-0.0013652+0.0010933i,-0.0017925+0.0013179i,-0.0020227+0.0021101i,-0.00030141+0.0023219i,0.0012218+0.001765i,3.6699e-05+0.00075904i,-0.0010358-4.2942e-05i,-0.00030279-0.00039109i,0.00026888-0.0007826i,5.7706e-05-0.00076798i,-0.00022128-0.00043176i,-0.00044133-0.00067035i,0.00020665-0.0001951i,9.8962e-05+9.6369e-05i,-0.00076097-0.00086319i,-0.00036397-0.0010253i,-7.5577e-05-0.00039968i,-0.00065807-0.00059921i,-5.4893e-05-0.00067025i,0.00099782-9.3072e-05i,0.00079331+0.00049319i,0.00048296+0.00055011i,0.00039869+0.00046032i
-0.00046192+0.00037773i,-0.00057357+0.00050433i,-0.00043004+0.00083388i,-9.6249e-05+0.00084867i,0.00050106+0.00046995i,0.00076541-0.00041059i,0.00052911-0.0013179i,0.00015816-0.00086213i,-0.0009545+0.00029639i,-0.00081036+0.00044554i,-0.00086458+0.00076549i,-0.0012179+0.00085489i,-0.00079304+2.3458e-05i,-0.00036875-0.00052504i,0.00017901-0.00074999i,0.00044431-4.1511e-05i,7.5107e-05-0.00029437i,-4.7808e-05-0.00099093i,0.00029835-0.00071381i,0.00017115-0.00065419i,-0.00069593-0.00020097i,-0.0012184+0.00043064i,-0.00084424+1.6583e-05i
0.0017623-0.0011813i,0.00091403-0.00082944i,-0.00021365-0.0002878i,-0.00076067-0.0001843i,-0.00050183+4.7312e-05i,-0.00071551+0.00042932i,-0.00018844+0.00030931i,0.00050633-7.1342e-05i,0.00048768-0.00058954i,-7.7618e-05-0.00070587i,-0.00078945-0.00011995i,-3.004e-05+0.00034052i,0.0012279+0.00054948i,0.0013161+0.00037549i,0.0010168-0.00015388i,0.00044053-0.00026511i,6.4743e-05+0.0002936i,0.00054081+0.00056385i,0.00048263-0.00016652i,0.00037173-0.00049934i,0.0006125-0.00031344i,0.00074986-0.00025273i,0.00015783-0.00020085i
0.0014716-0.0016033i,0.0004803-0.0011542i,0.00035232-0.00066344i,-0.00015842+0.00010971i,7.5753e-05+0.00041797i,0.0015573+0.0010338i,0.0012082+0.00043901i,0.00042745-0.00064002i,0.00038004+0.00020236i,1.3696e-05+0.0008122i,0.00036239+0.00031068i,0.0011984-0.00038087i,0.0011565-0.00021804i,0.00076647+0.00073349i,0.00050576+0.00075679i,0.0002832+0.00060032i,0.00042148+0.00095217i,0.0010842+0.00034331i,0.0013105+0.0005493i,0.00050473+0.00075285i,8.398e-05-0.00037032i,-9.0253e-05-0.00030691i,-9.6989e-05+0.00074943i
-0.00044188+0.00098376i,-0.001104+0.00094362i,-0.00069609+0.0021251i,4.5955e-05+0.0028423i,0.0003528+0.0013691i,0.00011149-0.0010289i,0.00045746-0.00090135i,0.001191+0.00030591i,0.0014434+0.00028778i,0.0020514-1.6375e-06i,0.0021376+0.00020999i,0.00097314+0.00051684i,-4.531e-05+0.00033912i,0.00020859+0.0004525i,-0.00042785+0.00061909i,-0.0010915+0.00054435i,-0.00023263-2.6842e-05i,-0.00030208+3.9244e-05i,-0.00091246+0.00013902i,-0.00098551+3.319e-05i,-0.00030291+0.00071507i,0.00058643+0.00071434i,0.00010084-0.00021013i
-0.0023299+0.0013257i,-0.002176-1.3544e-05i,-0.0018979+0.0002421i,-0.0013346+0.00093861i,-0.00040013+0.0010483i,-2.526e-06-0.00045217i,3.3852e-05-0.0012154i,-0.00032649-0.00070586i,-0.00046958-6.1409e-05i,-0.00077536-0.00057472i,-0.00036971-0.0012049i,0.00029248+0.00016521i,0.00035015+0.00067793i,0.00014509-0.00015982i,-0.00026728-0.00030678i,-0.00058289+0.00010208i,-0.00014377-0.00023378i,0.00019956-0.00069665i,-0.00037417-0.00031676i,-0.00016485+0.00081137i,-0.00077017+0.00080044i,-0.0008992+0.00011572i,0.00046871+0.00039777i
0.0015063-0.0013238i,0.0003769-0.0013276i,-0.00042313-0.00048622i,-0.00016877+0.00044576i,0.00014184+0.0011733i,1.5753e-05+0.0013748i,0.00029872+0.00065727i,-0.0001948-0.00042219i,-0.00067539-0.00096603i,-0.00098137-0.0011624i,-0.00080005-0.00025082i,-0.00026178+0.0010228i,-0.0003598+0.00055225i,0.0002034-1.0127e-05i,0.00058388+0.00065445i,0.00016744+0.00060025i,4.9366e-05+4.4059e-05i,0.00093903-0.00062746i,0.00097036-0.00029872i,0.00010811+0.0001479i,-0.00015524+6.0189e-05i,-0.00014583-3.307e-05i,1.3449e-06-0.00024806i
-0.0017039+0.0004264i,-0.0022129+0.00051845i,-0.0019606+0.0012393i,-0.001861+0.0014252i,-0.0016613+0.0010558i,-0.00039816+0.00096317i,-1.2402e-05+0.00046224i,-0.00074102+0.00019393i,-0.00097828-0.00018698i,-0.0010363-3.3361e-05i,-0.00049049+0.00075933i,0.00040282+0.00085491i,0.00057739+0.00050484i,0.0010621-0.00014748i,0.00090584-0.00025194i,-0.00021686-0.00037932i,1.8131e-05+0.00034027i,0.00017575+0.0007003i,-0.00074817-0.00018296i,-0.0010479-0.00078987i,-0.00068341-0.00059555i,-0.00023233-0.00075426i,7.7169e-05-0.0010554i
-0.00058085+0.00021757i,5.2588e-05+0.00050681i,-3.0049e-05+0.0014094i,6.0562e-05+0.00091189i,0.0012051+0.00035264i,0.001219-0.00032943i,0.00010351-0.0011961i,-3.191e-05-0.00077702i,-0.00036918-0.00025445i,-0.00011554+0.00050931i,0.0010938+0.0014746i,0.00076684+0.0011081i,0.00021397+8.58e-05i,5.1751e-05+5.1092e-05i,-0.00046253-7.4047e-05i,-0.00076182-0.00015691i,-0.00040161+0.00034331i,0.00032617+0.00019674i,0.00067552-0.0002368i,0.00071585-0.00041287i,0.00041997-0.00029347i,0.0003503-0.00024643i,0.00021504-7.9894e-05i
0.00043086-6.1514e-05i,0.00039522+0.00068247i,0.00041723+0.001422i,0.0006239+0.00069502i,0.00046173+0.00024801i,-0.00045956-0.0003715i,-0.0012149-0.00041117i,-0.000607+0.00069183i,0.00037152+0.0011836i,0.0008978+0.0009246i,0.00096174+0.00014102i,0.00076811-0.00068606i,0.00049702-0.00094372i,0.0010401-0.0010644i,0.0014969-0.00072021i,0.00058519+0.00015634i,-0.00014106+0.00058117i,0.00025956+0.00060885i,0.00084968+0.00017276i,0.00095718-0.00063554i,0.00040422-0.00067957i,-2.9976e-05-9.5783e-05i,-0.00067069+0.00053836i
-0.0017823-0.00023738i,-0.0024695-4.8927e-05i,-0.0026571+0.0010401i,-0.0012347+0.00061036i,0.0014329-5.8936e-05i,0.0020107-0.00050533i,0.001053-0.00095648i,0.00084234-0.0011511i,0.00090067-0.0013058i,0.00062696-0.0010059i,0.00020911-0.00058455i,-0.00054791-0.00066986i,-0.00032664-7.1668e-05i,0.00084192-0.00013403i,0.0013692-0.00082801i,0.0007243-0.00064342i,-0.00028916-0.00023988i,-0.00038255-0.00017211i,0.00024199-0.00067837i,-0.00032348+8.3177e-05i,-0.00078872+0.0001267i,-0.00031863-0.00035813i,0.00028144+8.8001e-05i
0.00035915-0.0025566i,0.0006912-0.0011825i,-0.00032499+0.00042956i,-0.0016816+0.0015033i,-0.0013044+0.0021181i,0.00027657+0.0019165i,0.00070456+0.00046124i,0.00043806+0.00012105i,0.00026497-0.00032974i,-0.00011988-0.00073869i,-0.0009474-0.00016809i,-0.0011966+0.00050635i,-0.0010504+0.00061408i,-0.0002823+0.00070384i,0.00025493+0.00048607i,0.00013148-0.00046305i,-0.00043562-0.00065038i,-0.00051246-0.00016902i,-0.00014573+0.00016607i,0.00028956+0.00039272i,0.00040345+0.00036223i,0.00026739-0.00039423i,0.00035233-0.00053101i
-6.5933e-05+0.00030633i,-0.00068439+0.00066788i,-0.0016025+0.00036928i,-0.0014223-9.7712e-05i,-0.00026986+0.00010389i,0.00036804-0.00023006i,-0.000245-0.00059213i,-0.00076928-0.0013554i,-0.0012131-0.0017099i,-0.0014823-0.0012861i,-0.0010996-0.00028262i,-0.00043804+0.00070992i,-0.0001754+0.00014807i,6.6276e-05+0.00013088i,7.9309e-05+0.00061745i,0.00017157+0.00060599i,0.00072106-0.00010837i,0.00061238-0.00043385i,0.00076643-0.00062049i,0.001425-0.00071557i,0.0012614-0.00085316i,0.00053023-0.00017083i,0.0002166+0.00066399i
0.0011764-0.00038655i,0.0016564-0.0012842i,0.0023949-0.00038731i,0.0018421+0.00072942i,0.00099465+0.00050228i,0.00064674-0.00052061i,0.00041817-0.00044556i,0.00044031-0.00027425i,0.00015131-0.00058925i,-0.00055056-0.00051173i,-0.00086848+0.0002034i,-0.00082941+0.00020379i,-0.00075361-0.0010176i,-0.00076234-0.00060131i,-0.00077616+2.8538e-05i,-0.00050999-0.00021173i,-0.00099456+1.2965e-06i,-0.0012685-4.6768e-05i,-0.00047114-0.0001714i,0.00051523-0.00030921i,0.00074005-0.00012915i,0.00053928+0.00058858i,0.00011446+0.00049272i
0.00062844+0.00021813i,0.00015022+0.00025664i,7.5821e-05+0.00035147i,3.2372e-06+0.00030915i,-0.001008+9.1995e-05i,-0.0019451+0.00050642i,-0.0014795+0.0011831i,-0.0008752+0.00054764i,-0.00080788-0.00030578i,-0.00034285-3.5946e-05i,0.00057402+0.00026373i,0.00087746-5.9932e-05i,0.00098-0.00041774i,0.00046914-0.00036264i,0.00026103+0.00023407i,0.00071643+0.00013492i,0.0014789+0.00012739i,0.0019752+0.00087168i,0.00074994+0.00077014i,-0.00029404+0.00042586i,-0.0009556+0.00017384i,-0.0011186+4.7442e-05i,0.00031041+1.8838e-05i
-2.9189e-05+8.8816e-05i,-0.0012472+0.00057679i,-0.0019715+0.00068635i,-0.00094796+0.0010048i,0.00045485+0.001086i,0.0016093+0.00023254i,0.0012837-0.0001698i,0.00058982-6.2326e-05i,0.0007775+2.7526e-05i,0.0012467-0.00018124i,0.00084434-0.00098823i,0.00058033-0.0013532i,1.6237e-05-0.00045756i,-0.00067868+0.00066063i,-0.00098783+0.00040324i,-0.0010568-5.1766e-05i,-0.00054513+0.00012721i,-0.00037812-0.0002673i,-0.00022141-0.00077877i,-8.0982e-06-0.0010604i,-7.6733e-05-0.0010244i,-9.9592e-06-0.00019147i,-0.00019554+0.00059822i
-0.0025365-0.0011009i,-0.0026234-0.00057439i,-0.0032852-0.00015238i,-0.0020308+0.0005253i,-0.00022566+0.0012329i,0.0006393+0.00040658i,0.001454-0.00016922i,0.0012748-2.6922e-05i,0.00072335+0.00011274i,0.00035582+0.00015186i,-0.00043738-0.00010379i,-0.00056047-0.00022574i,0.00042717-0.00030555i,0.0015062-0.00039285i,0.00098825-5.2159e-05i,0.00023648+0.00028003i,0.00030152+1.2808e-05i,0.00043697+0.00012521i,-2.5889e-05+0.00040077i,-0.00021305+0.00047272i,6.4305e-05+0.00041648i,-0.00025238+0.00037716i,1.3573e-05+0.00069327i
-0.00020717-0.00095974i,-0.00027038-0.00013524i,-0.00053145+0.0015045i,0.00066617+0.0022717i,0.001861+0.0016078i,0.0021147+2.667e-05i,0.0012252-0.00071811i,0.00037707-0.0014759i,0.00043615-0.0014313i,0.00028664-0.00039076i,-0.0007471+3.196e-05i,-0.0013176-8.8736e-05i,-0.00070109+4.7957e-05i,-0.000492+0.00011111i,-0.00023626+6.2057e-05i,0.00020406-2.9527e-05i,0.00055547-0.00034367i,0.00030209+0.0004784i,-0.00040964+0.001015i,-0.00049092+0.00013508i,-0.00069935-0.00027768i,-0.0003003-0.00013812i,-1.1482e-05+4.4981e-05i
-0.0025433-0.0019146i,-0.0023721-0.0022139i,-0.0023993-0.0015047i,-0.001933-0.0002511i,-0.00049951+0.00068445i,0.00072628+0.00055763i,0.00088356-0.00091556i,0.00093012-0.0021109i,0.00063811-0.0020454i,-5.327e-05-0.0012171i,-9.9216e-05-1.0452e-05i,0.00050069+0.00058057i,0.0010124+0.00063322i,0.00041815+0.00055503i,0.00049403+9.5301e-05i,0.0008818-0.00023487i,0.00074964-0.00040791i,0.00015184-0.00043131i,-0.00033292-0.00010541i,-0.00079604+0.00012533i,-0.0016112-0.00045589i,-0.0011598-0.00086028i,-0.00038115-0.00091714i
-0.00030339-0.00017415i,-0.00036196-0.00010014i,0.00073621+0.0002445i,0.00058399+0.00076594i,0.00052377-9.5282e-05i,0.00047421-0.00054405i,0.00030054-0.00010088i,0.00025139-9.0545e-05i,-0.00051885-5.9456e-05i,-0.0013636+0.00033254i,-0.0010862+0.00091701i,-0.000707+0.0008349i,-0.00088961-0.00031314i,-0.00022704-0.00099427i,0.00087831-0.00081989i,0.0011292-0.00088275i,0.0010046-0.00069884i,0.00080067-0.00030624i,0.00034317-0.00018332i,0.0002692-0.00069412i,0.0003592-0.00082877i,4.1807e-05-0.00089811i,-0.00020489-0.00053721i
0.0010626-0.0011137i,0.00035548-0.00088143i,-0.00064971-0.0012584i,-0.0021331-0.0012144i,-0.0027215-0.00077409i,-0.0019831+0.000191i,-0.00082095+0.0011316i,-0.00071579+0.0010103i,-0.00079319+0.00082469i,-5.9463e-05+0.00060303i,0.00016794+0.00020439i,-0.00013941+0.00073814i,-0.00029468+0.0007496i,-0.00043112-4.7223e-05i,-0.00031611-0.00051846i,0.00028384-0.00020253i,0.00051693-9.8974e-05i,-0.00023444+0.00017885i,-0.00031485+0.0007175i,-0.00016737+0.00056067i,1.1025e-05+0.0011435i,0.00047161+0.001416i,0.00069597+0.00093844i
0.00068058-0.00089922i,-9.8897e-05-0.00012971i,0.0012907+0.00067322i,0.0020368+0.0016751i,0.0012205+0.0012064i,0.00032382+0.00015475i,0.00037247+0.00040214i,0.00041245+0.00065621i,0.00026792+0.00019953i,-3.9491e-05-0.00015446i,-0.00020706-0.00012877i,0.00013204-0.00030907i,0.00043182-0.00093013i,0.00062751-0.0010344i,-2.8239e-05-0.00024529i,-0.00039456+0.00023852i,-0.00086693+0.00033101i,-0.0020788+0.00059214i,-0.0020994+0.00095325i,-0.00080007+0.0013528i,-7.9253e-05+0.00077512i,-0.00026395+0.00042478i,-0.00025422+0.00060668i
0.00099583+0.00078621i,0.00013927+0.0011344i,-0.00053558+0.0016113i,-0.0014015+0.0017547i,-0.0014344+0.0013599i,-0.00043334+0.0013099i,0.00020668+0.00010076i,0.00063546-0.00057226i,0.001387+0.00033559i,0.0012602+0.0004863i,0.00033199-0.00021884i,-0.0002769-0.00037957i,-0.00041258+9.8908e-05i,-0.00028263+0.00064906i,-0.00017394+0.00089178i,-0.00053377+0.00084418i,-0.0004109+0.0003385i,-0.00017625-0.00027854i,3.6567e-05-0.00030674i,0.00030199-0.00024866i,0.00010809-0.0004003i,-0.00098459+9.2404e-05i,-0.0012989+0.00012914i
-0.00077689+0.0012998i,-0.0018283+0.0010908i,-0.0015745+0.00063569i,-0.00053359+0.00038136i,0.00044851+0.00066206i,0.0010756+0.00088308i,0.00089782-0.00019302i,0.00088994-0.0015123i,0.001174-0.0013864i,0.00054931-0.00059196i,-0.00078952-0.00020225i,-0.0012536-0.00017025i,-0.00079383-0.00075725i,-0.00023428-0.0014313i,0.00037032-0.0009017i,0.00064938+0.00013417i,0.0010577+0.00035951i,0.0012953-8.3901e-05i,0.0014163-0.00055437i,0.0013316-0.00060845i,0.0010912-0.0010773i,0.00082486-0.00060953i,0.00076804+0.00039203i
-0.00052314+2.1386e-05i,-0.00029308+0.00030355i,-0.00076062+0.00092234i,-0.00093169+0.0010559i,-0.00071403+0.00050696i,-0.00020335-0.00074533i,0.00041577-0.0016333i,-0.00031249-0.001603i,-0.00076631-0.00087538i,-0.00012478-0.0005328i,-0.00034565-0.00035773i,0.00013486+0.00016357i,0.0014586+0.0010219i,0.00095506+0.00099389i,0.00075347+0.00021177i,0.0014558+0.00075722i,0.00059745+0.0022078i,0.00034105+0.0021462i,0.0008925+0.00083219i,0.00029389-0.00037176i,-0.00036815+0.00023214i,0.00025971+5.3474e-05i,0.0008757-0.0011574i
0.0010237+0.00036894i,0.00015816-0.00034334i,-1.0256e-05-0.00037443i,0.0005744+0.0010395i,0.00063402+0.00087036i,0.00024175-0.00031212i,-0.00039689-0.00033365i,-0.0010881-0.00015606i,-0.0013197-0.00045834i,-0.00091594-0.00018326i,-2.3538e-05+0.00011425i,9.1806e-05+0.00024166i,0.0002388+0.0011766i,0.0001079+0.001438i,0.00010345+0.00080918i,-0.00045484-0.00015116i,-0.0014839-0.00034898i,-0.0010822-6.2203e-05i,-0.00022603+7.922e-05i,-0.00026517+0.00035593i,0.00029843+0.00043132i,0.00034488+0.00064436i,-9.8424e-05+0.0010994i
-0.00025198+0.0018165i,-0.00086588+0.0012512i,-0.00021398+0.0023112i,-0.00017431+0.0020912i,-0.0003042+0.0011476i,0.00011607+0.0011958i,0.00062474+0.0005656i,0.00045203+0.00020391i,-2.9668e-05-0.00027935i,-0.00029637-0.0002336i,-0.0001047-5.4187e-05i,-9.1889e-05-0.00032885i,-0.00035393-6.3255e-05i,-0.00010382+0.0001636i,5.9363e-05-0.00034764i,-0.00054382-0.00033423i,-0.00050501+0.00013452i,-0.0001736-0.0004735i,7.0628e-05-0.00027076i,-0.00046445+8.5258e-05i,-0.0010171-7.8366e-05i,-0.00049109+0.00010824i,9.6832e-05+0.00086207i
0.00020441-0.0022292i,-0.00093913-0.0028268i,-0.0018328-0.0025651i,-0.0018298-0.00131i,-0.00095418-0.0005966i,-0.00061837-0.00027643i,0.00022392+0.00018903i,0.00030676-0.00019414i,0.00062129-0.0010262i,0.00065908-0.00063002i,0.00016331-0.00024098i,-3.3865e-05-0.00064793i,-0.00012594+7.7241e-06i,-0.00042155+0.0002576i,-0.00018134-0.00019691i,0.00084665-0.00014919i,0.0013053-3.224e-05i,0.001149+0.00042433i,0.00064474+0.00053206i,-0.00021261+0.000141i,-0.0010684-0.00037257i,-0.00079181-0.00074299i,3.9063e-05-0.00033607i
