0.00066866+0.00095214i,-0.00027635+6.4493e-05i,-0.0024449-0.00017949i,-0.0027541+0.00011856i,-0.001937+0.0013573i,-0.00038295+0.0020418i,0.0008155+0.0021324i,0.001121+0.00099503i,0.0016346-0.00078762i,0.0018443-0.0016158i,0.0010567-0.0014621i,0.00067197-0.0011129i,0.00088708-0.00071579i,3.2711e-05-0.00083764i,-0.00093821+0.00040514i,-0.0011778+0.0018093i,-0.0010546+0.00098083i,-0.00071109-3.0823e-05i,0.00030475+9.1313e-05i,1.4986e-05+0.00047486i,0.00014795+0.00067963i,0.00032018+0.00061541i,-9.2377e-05+0.00040048i
-0.00021676-0.0027438i,-0.00066555-0.0030193i,-0.0017925-0.0023276i,-0.0021229-0.00050987i,-0.0015756+0.00082984i,-0.00052733+0.0012192i,0.00046964+0.00070732i,0.0010658+0.00025316i,0.00056021-0.00017909i,-6.4759e-05-0.00016864i,-1.0983e-05+0.00020648i,-0.0002769-3.0372e-05i,-0.00060435-0.00031799i,-0.00023906+0.00035315i,0.00045186+0.0010447i,0.0010609+0.0011529i,0.0007515+0.00050063i,0.00019631-0.00023355i,-0.00025235-0.00027886i,-0.00040174-0.00063216i,0.00016546-2.8352e-05i,0.00016067+0.0005982i,-0.00027774+0.00049476i
0.00058974-0.0026888i,0.00029052-0.0026251i,0.00022368-0.0014551i,0.00030626-0.00014999i,8.2833e-05+3.7982e-05i,0.00042071+0.00035571i,0.0010606+0.00040955i,0.0011442-0.00047916i,0.00059139-0.0010625i,0.00026927-0.0012371i,0.0007362-0.0011918i,0.00093688-0.00062573i,0.00043613+0.00043938i,-0.00050898+0.00059682i,-0.00084386-0.00033548i,-0.00080654-0.00059113i,-0.00084325-0.00058245i,-0.00040806-0.00064158i,-0.00020319+1.4619e-05i,-0.00021528-0.00034964i,-2.01e-05-0.00091864i,-0.00018384-0.00042736i,-0.0002019+0.00046666i
0.0010577-0.0022163i,0.00062155-0.0022449i,-0.00072048-0.00050383i,-0.0016059+0.0008099i,-0.0010372+0.00076879i,0.00046048+0.00084834i,0.0012767+0.00059996i,0.0010123+5.6541e-05i,0.00047901-0.00032239i,0.0002981-0.00034339i,0.00041352-0.00014759i,0.0002183+0.00037756i,-0.00061192+0.00077799i,-0.0010968+0.00027143i,-0.00059882-0.00010436i,-0.00064517+0.00031042i,-0.0011501+0.00025779i,-0.0015091-0.00029176i,-0.0012312-0.00021524i,0.00033505-0.00029762i,0.00073397-0.00026701i,0.00019344-0.00066926i,0.00025286-0.000447i
0.0026668-0.0027944i,0.0018949-0.0036704i,0.0004381-0.0031582i,-0.0003088-0.0012664i,-5.8218e-05+0.001189i,0.0010562+0.0026446i,0.0016692+0.0025173i,0.0011003+0.0015735i,0.00072612+0.0005594i,0.00058236+0.00035934i,0.00019339+6.5366e-05i,-0.0006867-6.9742e-05i,-0.00045481+0.00090713i,-0.00043129+0.0010348i,-0.00085865+0.00072135i,-0.00062479+0.00086018i,-0.00022233+0.0012813i,1.9303e-05+0.0013859i,0.00011965+0.00073707i,0.00013167+0.00027622i,-7.6385e-05-0.00038743i,-0.00036662-0.0011279i,-0.00086894-0.00062916i
0.00044683+1.3011e-05i,-0.00051648-0.0017969i,-0.0016541-0.0028656i,-0.001523-0.0015492i,-0.0019352+9.497e-05i,-0.0014241+0.0014421i,0.0003355+0.001439i,0.00092706+0.00040928i,0.00013023+4.1734e-05i,-0.0005732-0.00017112i,-0.00042927-0.00033746i,-2.6091e-05-0.00063974i,0.00049259-0.00075736i,0.00019663-0.00074777i,-0.00039914-0.0006478i,0.00018751-0.00024971i,0.00055732+8.4368e-05i,0.00020115-5.5211e-05i,-0.00018059-0.00023587i,-0.000211-0.00058069i,-0.00054812-0.0001915i,-0.00088537-4.3951e-05i,-0.00044598+8.3693e-05i
-0.0019948+0.0024381i,-0.001579+0.0017079i,-0.00026344+0.0015705i,-7.8797e-05+0.0015777i,0.00031021+0.0010188i,0.0016424+0.0013736i,0.0013376+0.0011554i,0.00015104-0.00020055i,0.00027331-0.0011833i,0.00075624-0.00027319i,0.00043399+0.00015758i,-8.9023e-05-0.0004725i,-0.00026447-0.00087907i,-0.00028752-0.0010095i,-0.00060245-0.00047914i,-0.0003567+4.7128e-05i,0.00015869+4.2874e-05i,5.642e-05+0.00011289i,-0.00030626+0.00020207i,-0.00032444+0.00063733i,0.00019826+0.00054815i,0.0007438+0.00043504i,0.00061152+0.00074732i
-0.003255-0.0030201i,-0.0039541-0.003203i,-0.0035348-0.00096802i,-0.0023133+0.00070608i,-0.0002608+6.1578e-05i,0.0010154-0.00052952i,0.001359+0.00010126i,0.00082035-4.5482e-05i,0.00057342-0.00058289i,0.00016946-0.00035177i,-0.0006914+0.00034635i,-0.00015292+0.00041336i,0.0010864-0.0006482i,0.0017644-0.00085827i,0.0025242-0.00029452i,0.0015406-0.00029964i,0.00041478+4.3043e-05i,2.6349e-05+0.00087086i,-0.0003737+0.0013545i,-0.00079725+0.00063984i,-0.00057761+0.00057064i,-0.00060205+0.00052208i,-0.00031947-0.00019792i
0.00080304-0.0026173i,-0.00013187-0.0032379i,-0.0019607-0.0016991i,-0.0021019-0.00075863i,-0.0008811+0.00043601i,0.00049201+0.0015741i,0.001748+0.0012762i,0.0017948-0.00016565i,0.00094998-0.00066784i,0.00020806-0.00038308i,-0.00026107+1.9394e-05i,-0.0010089+0.00023146i,-0.0013193+0.0002259i,-0.00024066+0.00066156i,0.00031596+0.00054885i,0.00038842+0.00025945i,0.00082637+0.0007296i,0.00065175+0.00043444i,0.00057615-0.00033808i,0.00095323-0.00034589i,0.00092713+0.00011325i,0.00033086+0.00015925i,-0.00025286+3.7493e-05i
0.0012162-0.0034518i,0.0010482-0.0040287i,2.3589e-05-0.003362i,-0.00083257-0.0016572i,-0.00090167-0.00014811i,-0.00071912+0.0010974i,3.8477e-05+0.0017192i,0.00089623+0.00087288i,0.00049402-0.00031067i,0.00011786-0.0012425i,-6.7485e-05-0.0012383i,-0.00091892-0.00029191i,-0.0011779+0.00052774i,-0.00072346+0.0010571i,-0.00065712+0.0016792i,-0.00071784+0.001374i,-0.00056942+0.00060779i,-0.0004052+0.00037242i,-9.2551e-05+0.00089584i,0.00036195+0.00039626i,6.7662e-05-0.00094876i,-0.00067633-0.00098123i,-0.00076158-0.00043992i
0.00062755-0.0021341i,0.00069914-0.002344i,-5.8469e-05-0.001045i,-0.00074939-5.8848e-05i,-0.00075226-0.00023562i,-0.00017715-0.0001303i,0.00035543+0.00038063i,0.00076572-0.00012731i,0.0010324-0.00092766i,0.0011375-0.0012391i,0.00078273-0.0012817i,0.00022962-0.00060892i,-0.00040277-0.0001101i,-0.00065243-0.00035554i,-0.00038546-0.00061834i,-0.00017037-0.00027755i,-1.7051e-05-0.00010434i,0.0002484-0.0002332i,-4.5295e-05+5.1535e-05i,-0.00013296+0.00048588i,0.00044392+0.00084743i,-4.6134e-05+0.00084868i,-0.00064711+0.00040137i
0.0020175+0.0014628i,0.001843+0.00021014i,0.00084533-0.0012749i,-0.00018065-0.00088482i,-0.00039458-7.6107e-05i,0.00050616+0.00047902i,0.0014172+0.0013496i,0.0010655+0.0012915i,0.00028554+0.00016389i,1.3184e-05-0.0010258i,0.00040047-0.00076488i,-0.00020867+0.00035128i,-0.00076138+0.00021216i,-0.00083544-0.00040841i,-0.00057544+0.00020158i,-0.00016463+0.00113i,-5.0773e-06+0.0012397i,5.1382e-05+0.00022921i,-0.00019183-0.00041778i,0.00022568-0.00065727i,0.00056907-0.00064105i,0.00077719+0.00031358i,0.0011469+0.00015345i
-0.00083978-0.0018289i,-0.0015242-0.0018786i,-0.0030541-0.00042804i,-0.0027667+0.00084413i,-0.0014745+0.0018648i,6.5481e-05+0.002247i,0.0014007+0.0015904i,0.0021594+0.00019892i,0.0016099-0.0003136i,-0.00018451-3.443e-05i,-0.0007644+0.00015385i,-5.4021e-05+0.00053729i,0.00020443+0.0007726i,0.0010777+0.00087939i,0.0013247+0.00075496i,0.00067057+0.00052659i,0.00047464-4.871e-05i,9.2047e-05-9.39e-05i,-6.1657e-05-0.00027576i,0.00027924-0.00021239i,0.00042468+0.00041554i,0.00021311+0.00056404i,0.00014847+8.1882e-05i
-0.00020283+0.00032728i,-0.00064986-0.00041697i,-0.00053743-0.0018396i,-0.00024208-0.0016992i,0.0004471-0.00054428i,0.00070532-0.00010122i,0.00080058+0.00045422i,0.0001993+0.00057565i,-0.00026449-3.7646e-05i,-0.00027758-4.4316e-05i,-0.00033471-0.00047405i,-0.00075956-0.00077138i,-0.0010094-0.0010726i,-0.00064283-0.0010812i,-0.0010369-0.00042503i,-0.001004-0.00045153i,-0.00014917-0.00079258i,-3.9953e-05-0.00089041i,2.5881e-05-0.00013604i,0.00021896+0.00055884i,3.5991e-05-2.3001e-05i,-0.00048307-0.00039509i,-0.0007762+0.00013822i
-0.00045592-0.0018818i,-5.1911e-05-0.0023259i,-0.00049328-0.0014262i,-0.0008318-0.0007431i,-0.00073086+3.2852e-05i,0.00025443+0.0019245i,0.00084949+0.0023244i,0.00036562+0.001241i,0.0001475-0.00025279i,0.00031488-0.00037454i,0.00048716-0.00017561i,0.00053469-0.00027254i,1.2772e-05-0.0009315i,-0.0004367-0.0018993i,-0.0001869-0.0011819i,-0.00016865-1.4858e-05i,-5.4418e-05+0.00048474i,0.00042061+0.00045448i,0.00017097-0.00021208i,0.00065865-0.00052558i,0.00082469+0.00054139i,-0.00085729+0.00077308i,-0.0006248+0.00027191i
-0.00014696-0.00068587i,-0.0005392-0.001483i,-0.00063486-0.00088248i,-0.0016573+0.00025357i,-0.0012895-7.8518e-05i,0.00052594-9.2997e-05i,0.0012887+4.5327e-05i,0.00092678-0.00102i,0.00049367-0.001702i,0.00044159-0.00099341i,0.00089238+6.0866e-05i,0.00023319+0.000393i,-0.00053266+0.00042528i,5.6288e-05+9.0345e-05i,0.0010322-8.7992e-05i,0.00072566+0.00030066i,-9.6013e-06+0.00055866i,0.00033247+0.00010176i,0.00097667+6.897e-05i,0.00093075+0.00013832i,2.5636e-05-0.00011276i,-1.9424e-05+2.8997e-06i,0.00061044+0.00040501i
0.00086118-0.00042775i,0.00060826-0.0015516i,8.1881e-05-0.0011656i,-0.00076013+2.6936e-06i,-0.00053342+0.00092764i,1.8799e-05+0.0013905i,0.00018475+0.0010313i,0.00064718+0.00054972i,0.00084809+0.00036156i,-0.00012021+0.00022061i,-0.00089278-0.0003544i,-0.0011702-0.001218i,-0.0020184-0.0020648i,-0.0023156-0.0013923i,-0.0011291-0.0002587i,-0.00054757-0.00064118i,-9.2658e-05-0.00077141i,0.00025738-0.00017865i,0.00040391-8.2077e-07i,0.00043985+0.00070667i,9.7008e-05+0.0010148i,-0.00049424+0.00041752i,-0.0008138+0.00067839i
0.00088353-0.0029757i,-0.00045677-0.0029412i,-0.001859-0.0018198i,-0.0017946-0.00072099i,-0.00051379+0.0004906i,0.00027531+0.00097418i,0.0010524+0.0010236i,0.0015175+0.00013597i,0.00071564-0.0012106i,-0.00025106-0.0013219i,-0.0008655-0.00043842i,-0.0001558-0.00055115i,0.00037478-0.00094571i,2.0746e-05+0.00046099i,-0.00024376+0.00075304i,5.785e-05+5.6921e-05i,0.0003261+0.00040147i,0.00066765+0.00040943i,0.00104+0.00022718i,0.00085616+0.00026142i,0.00039193+0.00065786i,-0.00043114+0.0014095i,-0.00081372+0.0015942i
0.0019332-5.1213e-05i,0.0019673-0.0012252i,0.0010256-0.0011112i,0.0004985-0.00062191i,0.00029895+0.00029658i,9.9667e-05+0.0014456i,0.00042228+0.0016567i,0.00061853+0.0012685i,-4.6332e-05+0.00094022i,-0.00035303+0.00035668i,-0.00041603-0.00091754i,-0.00028883-0.00099386i,-0.0003844-0.00050511i,-0.00040248-0.00027218i,-0.00055241-0.00017908i,-0.0010888-0.00022379i,-0.00090018-0.00021489i,-0.00072795+0.00046143i,-0.00079869+0.00099932i,9.8421e-05+0.0004619i,0.0007398-0.0001887i,0.00031995+6.4235e-05i,-0.00024483+0.00017154i
0.00053594-0.00092593i,-0.0014497-0.0010926i,-0.002886-0.001252i,-0.0030063-0.00021844i,-0.001823+0.0010792i,-0.00036217+0.0016405i,0.0010404+0.0014212i,0.0018194+0.00028567i,0.0014465-0.0011308i,-0.00019379-0.00087919i,-0.0014293-0.00038751i,-0.0010282+4.3767e-05i,7.3767e-05+0.00045262i,0.00024451+0.0012693i,-0.00024926+0.0023417i,0.00060118+0.001892i,0.00041958+0.00095202i,-0.00017946+0.00039584i,0.00056306+0.0009083i,0.00048812+0.0010117i,-4.5034e-05+0.00054498i,-0.0001485+9.4188e-05i,-0.00020099-4.2152e-05i
-0.0030155-0.00065229i,-0.0027188-0.00029959i,-0.0026812-2.1563e-07i,-0.001592-8.4743e-05i,0.00042483+0.0004209i,0.0010741+0.00081649i,0.00048121+0.00076035i,-0.00031426+0.00069486i,-0.00070045+0.00036392i,-0.00039125+0.00017948i,0.00030877+0.00074182i,0.00039064+0.0010424i,-0.00014275+0.00070896i,0.00018848+0.00034163i,0.00028341+0.00026958i,-0.00055706+0.00026564i,-0.0012167-3.877e-05i,-0.0011247-0.00047025i,-0.00079628-0.00075578i,-0.00092327-0.00059619i,-0.0014083-5.8868e-05i,-0.0015748+0.00047777i,-0.001045+0.0005076i
0.0007058-0.0021569i,-0.00075877-0.0030666i,-0.0013147-0.0029956i,-6.3323e-05-0.0013162i,0.00039412+0.00060463i,-0.0001973+0.0019728i,0.00023497+0.0019494i,0.0011771+0.00097029i,0.0010226-0.00051655i,0.00010635-0.0012807i,9.3957e-06-0.0012017i,-0.00070628-0.00090171i,-0.0014825+0.00037945i,-0.0015444+0.001376i,-0.0013385+0.0011518i,-0.00085296+0.00036691i,-0.00062765+0.00012054i,-0.00075508-0.00019755i,-0.00056417+0.00011114i,-0.00054719+0.0008254i,-0.00038769+0.0011136i,-8.7275e-05+0.0010979i,6.7395e-05+0.00060024i
0.0018026-0.0025104i,0.00087264-0.0032732i,-0.00066523-0.0028787i,-0.0011433-0.001546i,-0.00069167+0.00015699i,-9.4287e-05+0.00069119i,0.00060485+0.00032771i,0.00045405-0.0007544i,-0.00066409-0.0017203i,-0.0012558-0.0014299i,-0.00095323-0.00027734i,-0.00094625-0.00010186i,-0.0013749-0.00036716i,-0.0016414+0.00057078i,-0.0010341+0.00014799i,8.2112e-05-0.00086741i,0.0007779-0.0011965i,1.9766e-05-0.00079417i,-0.00129-0.00033522i,-0.0013649-0.00072847i,-0.00043864-0.00072419i,-0.00017865-2.5684e-05i,0.00032318+0.00018291i
0.0008229-0.0020483i,0.0010799-0.002322i,0.001141-0.001785i,0.00053702-0.00027122i,1.5854e-05+0.0009323i,-0.00016863+0.0011745i,0.00024295+0.0012255i,0.00093103+0.0014373i,0.0011488+0.00084466i,0.00060185+0.00010116i,0.00041694-0.00016785i,0.00049735+0.0001918i,0.00060432+0.000527i,0.00036953+0.00023786i,-0.00038408-0.00025357i,-0.00066601-0.00074747i,-0.00058835-0.00059594i,-0.00063811+7.1016e-05i,-0.0010515+0.00029177i,-0.00068956-7.038e-05i,-0.00011526-6.4416e-05i,-0.00016469+0.00051713i,0.00031976+0.00074269i
0.00087404+0.0021248i,0.00093995+0.0027163i,0.0010765+0.0035604i,0.0014714+0.0028333i,0.0010725+0.0010916i,0.00051675+0.00096548i,-0.00014121+0.00082746i,0.00026552-0.0002737i,9.1403e-05-0.00045255i,-0.0005855+0.00016067i,-0.00013462+8.8388e-05i,-0.00026119-0.00022518i,-0.001186-0.0003033i,-0.0009002-0.00063546i,-0.00017267-0.0013404i,-0.00050981-0.0010424i,-0.00057818-0.00010667i,-4.7299e-05+8.8441e-05i,4.1142e-05-0.00040061i,-0.00027554-0.00070241i,3.591e-06-0.00043331i,0.00078379-0.00080275i,0.0010015-0.00080969i
0.0017021+0.0020064i,0.00093335+0.0010622i,0.00057845+0.00052883i,0.00047981+0.00025039i,0.00012158+0.0005797i,-0.0003496-6.3322e-05i,-0.0001443+0.0006982i,0.00056648+0.0023831i,0.0014104+0.0020113i,0.0010889+0.00037507i,1.6407e-05-0.00038715i,-0.00062829-0.00042164i,-0.00067289-0.00073735i,-0.00052231-0.00068769i,-0.00077016-0.00053449i,-0.00036872-0.00039937i,3.5328e-05+0.00015881i,-6.6024e-05+1.1959e-05i,0.00060426-4.3251e-06i,0.0014365+0.00094874i,0.0012078+0.00075615i,0.0011107+0.00037461i,0.00092934+0.00051211i
-0.0010261-0.0016645i,-0.0027995-0.0026238i,-0.004335-0.0025341i,-0.0037669-0.0011751i,-0.0019964+9.7533e-05i,0.00033771+0.0011187i,0.0015303+0.0015109i,0.0013562+0.00016634i,0.00043572-0.0012584i,-0.00065163-0.0010883i,-0.0015398-0.00075194i,-0.0015829-0.00041294i,0.0002357-0.00021451i,0.0015641-0.00089687i,0.0011393-0.00047487i,0.00047091+0.00082659i,0.00076538+0.0001448i,0.0011217-0.00036151i,0.00071296+0.00020854i,6.2137e-05+0.00067856i,-0.00039012+0.00018115i,-0.00084023-0.00057535i,-0.0001664-0.00052517i
-0.00054257+0.0011683i,0.00091857+0.0011098i,0.00050566+0.00034546i,0.00062646-0.00035387i,0.0011612-0.0008882i,0.0018383-0.00061378i,0.0013352-0.0006109i,0.00030935-0.0012323i,7.2728e-05-0.0010365i,0.00021934-0.0004906i,-0.00020071-0.00053889i,-3.2411e-05-0.00072847i,0.00058827-0.00070137i,0.00027768-0.00084224i,-0.00035068-0.00073652i,-0.00049942-0.00022719i,-0.00025008+0.00017491i,0.00025249+0.0006855i,0.00024872+0.0010341i,0.00057491+0.00079598i,0.00037405+0.00068613i,-0.00086151+0.00046794i,-0.0013228-0.00022681i
-0.00040801-0.0027912i,-0.0025408-0.002686i,-0.003824-0.0013966i,-0.0028876-0.00011164i,-0.0014678+0.00055937i,-0.00074552+0.00061635i,0.00051364+0.0016371i,0.0011201+0.0017632i,-0.00020154+0.00044717i,-0.00085407-0.00079723i,-0.00034343-0.00094959i,-0.00052611-0.0011759i,0.00045865-0.00066448i,0.0015468+0.00063694i,0.00061311+0.00095785i,-0.00041146+0.00082918i,-0.00061872+0.00060775i,-0.00019836+0.0005628i,5.9414e-05+0.00075246i,0.00027637+0.0012305i,0.00086107+0.0014672i,0.0008855+0.00083775i,0.00030305+5.0076e-05i
0.00015545-0.0037365i,-0.0018894-0.0041333i,-0.0036019-0.0039909i,-0.0029839-0.0021052i,-0.0012913+0.00080846i,0.00030566+0.0022413i,0.0013557+0.0022394i,0.0016996+0.00072911i,0.00067772-8.6344e-05i,-0.00088873+0.00064387i,-0.0017022+0.0010208i,-0.0010361+0.00081377i,2.5923e-05+0.0011546i,0.00076496+0.002162i,0.0011824+0.0020395i,0.00059325+0.0013674i,-0.00012142+0.00086695i,1.8802e-05+0.001056i,-0.0004322+0.00095753i,-0.00072649-0.00024054i,-0.00023889-0.00038771i,4.646e-05+0.00014004i,0.00045267+0.00051975i
0.0012656-0.002093i,0.00073739-0.0031675i,-9.3798e-05-0.0023793i,-0.00077081-0.0015091i,-0.0011083-0.00069616i,-0.001074+0.0004639i,-0.00093422+0.00097349i,-0.00038225-0.00036751i,0.00027443-0.00090154i,0.0016233-0.00045324i,0.0015615-0.0010192i,0.00056806-0.00098737i,2.935e-05+0.00026509i,-0.00064996+8.0817e-05i,-0.00054121-0.00038472i,-0.0001087-2.3909e-05i,0.00042723+5.1315e-05i,0.00061913+0.00017338i,-0.00028018+0.00097657i,-0.00065953+0.0016283i,8.6192e-05+0.0014362i,0.00073955+0.001106i,0.00083241+0.000265i
0.0012934-0.001851i,0.0017137-0.0023926i,0.0011751-0.0016271i,0.00042769-0.00088968i,3.0337e-05-0.00013838i,-0.00064452+0.00064378i,-0.00036424+0.00097803i,-0.00010838+0.00069604i,3.9621e-05+9.6828e-05i,0.00026094+0.0002979i,-0.00064312+0.00065502i,-0.00072954+0.00013506i,2.6602e-05+0.00098816i,8.6597e-05+0.0020915i,0.00048588+0.0012491i,0.0005835+0.00041853i,-1.1807e-06+6.769e-05i,-0.00056526+3.3788e-05i,-0.00091455-0.00014575i,-0.00097234-0.0001566i,-0.0011807-0.00022403i,-0.00084178+0.00012828i,-0.001029+0.00084593i
0.00066291+0.00036962i,-0.00033775+5.8806e-05i,-0.0013153-0.00016004i,-0.0013933+0.00048923i,-0.00041144+0.00042396i,0.00044574+0.00091248i,0.00082881+0.0014457i,0.00027898+0.00045318i,-0.00067944-0.00030543i,-0.00092503-0.00046288i,-0.00063556-0.00026024i,-0.00070943+0.00014845i,-0.0014687+0.00045746i,-0.0017834+0.00063502i,-0.0015808+0.00022884i,-0.001339-0.00056084i,-0.00086437-0.00079676i,-0.00029889-0.00045694i,-0.00066973-0.00025855i,-0.00096805+0.00069114i,-0.0006174+0.0010872i,-0.00042474+0.0010008i,-1.9562e-05+0.00077404i
-0.0011515-0.0027451i,-0.0024035-0.0028239i,-0.0028856-0.0024501i,-0.0027361-0.0013191i,-0.0026313+0.00015027i,-0.0011257+0.00039444i,0.0010011+0.00034101i,0.0021465+0.00040054i,0.0014178+5.0484e-05i,-0.00064187-0.00037632i,-0.0011043-0.00012254i,-0.0010843+0.0011155i,-0.0020206+0.0013306i,-0.0021195+7.6557e-05i,-0.0014582+0.00012666i,-0.0012533+0.00059301i,-0.00083989+0.00071283i,-0.00030845+0.00020503i,0.00023306-0.0010185i,-0.00028349-0.000848i,-0.00071728-0.00019678i,6.9909e-05-0.00020226i,0.00015453-0.00047017i
-0.00023755-0.0020576i,-0.00056769-0.0022973i,-0.00040295-0.0022715i,0.0005557-0.0011993i,0.00070533-0.00015381i,-8.8528e-05+0.00088126i,-0.00048753+0.00059255i,-0.0006634-0.00081983i,-0.00054988-0.0013966i,-0.0010881-0.0010791i,-0.0018674-0.00044682i,-0.0021122+8.2449e-06i,-0.0015252+0.000235i,-0.0007773+0.00011419i,-0.00074378-0.00057753i,-0.0010268-0.00045714i,-0.00061565-4.5661e-05i,0.00035607-0.00063054i,0.00088022-0.0013473i,0.00015559-0.0011894i,0.00048931-0.0007307i,0.00049401-0.00021239i,-0.00050261+0.00015279i
0.0015516-0.0040385i,0.00079358-0.0028102i,-0.00028208-0.0015866i,-0.00096887-0.00083726i,-0.00072153-0.00048867i,2.2683e-05+0.00076869i,0.0011599+0.001942i,0.0018107+0.0017767i,0.0014733+0.00055859i,0.00033554-0.00057248i,-0.00013577-0.00081757i,-0.00023286-0.00047202i,-0.00049572-0.0010476i,-0.00074973-0.00099162i,-0.00055674+9.1202e-05i,-0.00035832+0.00033102i,-5.489e-05+0.00011787i,0.0003485+0.00015098i,0.0011911+0.00014884i,0.0012864-0.00013489i,0.00027322-0.00081862i,-0.00081856-0.00034896i,-0.0012759+0.00040288i
0.00070505+5.4778e-05i,-0.001005+0.00085176i,-0.0014812+0.00067373i,-0.0013059+0.0007483i,-0.00082676+0.00051964i,-0.00020596+0.00061735i,0.00095125+0.001098i,0.0011619+0.00096031i,0.00034084+0.00043179i,-0.00081221-0.00034119i,-0.00071962-0.00090581i,0.00014172-0.0010675i,-0.00012002-0.001565i,-0.000457-0.0024079i,-0.00085899-0.002348i,-0.00090811-0.00086577i,-0.0012651-8.0069e-06i,-0.00069878+9.4057e-05i,0.00087155+0.00057294i,0.00061863+0.001268i,0.00051593+0.0012385i,0.00044224+0.00036327i,-1.4729e-05-8.3859e-05i
0.0039876-0.0014587i,0.0018752-0.0030472i,-0.00029279-0.0035449i,-0.0010824-0.0032669i,-0.00040279-0.0013819i,0.00024303+0.00056334i,0.0011509+0.0018146i,0.0018371+0.0016983i,0.0020891+0.0007535i,0.0010061+0.00026155i,-0.00030166-0.00038115i,-0.00081468-0.001095i,-0.0009066-0.00082169i,-0.00034691-0.00078472i,-0.00023692-0.00087545i,-0.00024175-0.00030211i,0.00040145+0.00012754i,0.001036+8.4104e-05i,0.00047375+0.00016703i,0.0001148+4.6567e-05i,0.00074939-0.00039175i,0.0013363+8.0678e-05i,0.00062843+0.00076778i
-0.00063632-0.0024177i,-0.00093901-0.0019952i,-0.0014448-0.0005799i,-0.0017799+0.00011544i,-0.0014324+0.0011244i,-0.0007301+0.0016975i,0.00047896+0.00094622i,0.0015811-0.00084563i,0.001349-0.0011566i,0.00076368-0.00012099i,0.00037711+2.717e-05i,2.7919e-05+0.00025185i,0.00014524+0.00037836i,0.0013546-6.9369e-05i,0.0017817-0.00089669i,0.001043-0.0010986i,0.0009643+0.00014815i,0.00076059+0.00090073i,0.00080744+0.00077597i,0.0012761+0.0010633i,0.00075586+0.00085768i,-4.8011e-05+0.00049432i,-0.00032669+0.00031154i
-0.0001684-0.00060843i,-0.00015372-0.00015286i,0.00013699-0.00038564i,-0.0010939+2.5359e-05i,-0.0018327+8.1345e-05i,-0.0012927+0.0007429i,-0.00054507+0.0015722i,0.00034281+0.0010589i,0.00097781-3.4986e-05i,0.00087899-0.00089106i,0.00072639-0.0013703i,0.0006649-0.0013733i,0.00016779-0.0010843i,-0.0006967-0.0010392i,-0.0014366-0.00011623i,-0.00059435+0.00093999i,0.00052332+0.0010867i,-0.00011423+0.00091568i,-0.00088661+0.00063827i,-0.00018099+0.00045773i,0.00018172+0.00057632i,-4.9932e-05+0.00079205i,0.00011382+0.00049366i
-0.0024137-0.0032074i,-0.004171-0.0031156i,-0.0051816-0.0019878i,-0.0043906+0.00039765i,-0.0016235+0.0014272i,0.0010213+0.0018806i,0.0019096+0.0014354i,0.0014914-0.00022771i,-0.00027957-0.00064125i,-0.0010288+0.00036021i,-4.158e-05+0.00031277i,0.00065419-0.00029863i,0.0011305+0.00027315i,0.0017047+0.00081044i,0.0018497+0.0010458i,0.0011842+0.0015573i,-0.00011833+0.001699i,-0.00054977+0.0012149i,-0.00019898+0.001018i,-0.00020797+0.00086221i,-0.00054258+0.00099978i,-0.0007077+0.00022324i,3.3632e-05-0.0002108i
0.0015376-0.0021786i,0.0019183-0.0041371i,0.0023343-0.0042952i,0.00057495-0.0028158i,-0.00046434-0.0018396i,-0.00045166-0.00057634i,0.00011341+0.00070808i,0.00076603+0.0011645i,0.000901+0.00022901i,0.00033785-0.0010394i,0.00041746-0.00099538i,-0.00020192-0.00039797i,-0.0011221+0.00054207i,-0.0012865+0.0021795i,-0.0015889+0.0027203i,-0.0012769+0.0016345i,-0.0011889+0.00067713i,-0.001496+0.0002516i,-0.0009493+0.0001137i,-0.00060278-0.00031975i,-0.00084352-0.0003514i,-0.001032+1.3801e-05i,-0.00025343-9.3917e-06i
-0.00049934-0.0038293i,-0.00023696-0.0037797i,-0.00060198-0.002115i,-0.00080335-0.00070456i,-0.00037902+0.00065377i,0.00012754+0.0020601i,0.00050089+0.0025544i,0.0006304+0.00164i,0.00080915+2.7804e-05i,0.00099698-0.00071083i,0.00065639-6.2311e-05i,-0.00048208+0.00054701i,-0.0014497+0.0011794i,-0.0014229+0.0023369i,-0.0013615+0.0019153i,-0.00088478+0.00084339i,-0.00088465+0.00056945i,-0.0012287-0.00019453i,-0.0005456-0.0011879i,3.0497e-05-0.0010987i,-0.00028445-0.00080328i,0.00024973+6.3198e-05i,0.00081553+0.00083685i
0.0054671-0.00019664i,0.0052067-0.00057491i,0.0028383-0.00054457i,0.0010475-0.00054345i,0.00074181-0.00056761i,5.4398e-06-0.00011841i,0.00024025+0.00031064i,0.00072383+0.00018574i,0.00060155-0.00087481i,4.4957e-06-0.0017901i,-0.00081358-0.0015143i,-0.0011839-0.00041827i,-0.0021187+0.0010493i,-0.0040692+0.002015i,-0.0043733+0.0024138i,-0.0035422+0.0017822i,-0.0029898+0.00072566i,-0.0021755-0.00057578i,-0.0014759-0.0010793i,-0.0006257-0.00092091i,0.00023355-0.00013087i,-0.00038451+0.00037141i,-0.0005559-0.00042854i
