0.00033851+0.0011932i,0.00044851+0.00013092i,-0.00060915-0.00065043i,-0.0010337-0.00066675i,-0.0016744+0.0006868i,-0.0019798+0.0023222i,-0.0017347+0.0037099i,-0.00069096+0.0036687i,0.0014823+0.0016839i,0.0020347+0.00031141i,0.0018442-0.00025209i,0.0015855-0.0011835i,0.00099691-0.0013277i,0.00019631-0.0011222i,-0.00055582-0.00086174i,-0.00041332+0.00022716i,-3.3802e-05+0.00079406i,0.0002893+0.00055695i,0.0004053+0.00039582i,0.00042239+0.00020894i,0.00052073-0.00016251i,5.8748e-05-5.8043e-05i,-0.0007233+0.00010856i
0.001388-0.0018139i,0.00095134-0.0016242i,-5.782e-05-0.0010067i,-0.00079257+8.829e-05i,-0.0012369+0.00033532i,-0.0021612-0.00042197i,-0.0025269-0.00019072i,-0.0016211-0.00014609i,-0.00027534-0.0013313i,0.00031978-0.00039454i,3.5894e-05+0.00056522i,0.00018235+0.00048029i,0.00059084+0.00017174i,0.001222+0.00039057i,0.00072929+0.00035915i,-0.00017991-0.00018626i,0.00028256+3.6822e-05i,0.00033595+0.00035047i,-0.00062272-0.00019156i,-0.0001651-0.00046184i,0.00019598-0.00068918i,-0.00019273+0.0003538i,0.00028833+0.0010544i
0.00085568+0.0004774i,0.0010329+0.00044565i,0.00054233+0.00066833i,1.0335e-05+0.0016403i,-0.00023414+0.0018928i,-0.00013887+0.0018821i,4.9371e-05+0.0016352i,0.0005664+0.0010501i,0.0013982+0.00032608i,0.0018984+0.00053627i,0.0011941+0.0011689i,0.00026123+0.00069682i,5.1718e-05+0.00021074i,0.00061537-6.91e-05i,0.001219-0.00050304i,0.00026442-0.00060798i,-0.00017978-0.00018183i,0.00044239-0.00044864i,0.00018221-0.00068191i,-0.00052077-0.00095207i,-3.5856e-05-0.00041014i,0.00048649+0.0008575i,0.00023152+0.00080758i
-0.0010133+0.0012555i,-0.0017204+0.00058039i,-0.0021704+0.0003908i,-0.0014103+0.00091731i,-0.00088977+0.00088698i,-0.0025185+4.9539e-05i,-0.0031701+0.00020016i,-0.0013931+0.00018859i,-0.00041929-0.00086532i,-0.00018105-0.00040248i,0.00053921+0.00040706i,0.00070759-0.00019796i,0.00056306-0.00068634i,0.00054136-0.00032004i,0.00027612+2.8051e-05i,-6.0704e-06-0.00012762i,-0.00030917-9.9091e-05i,-0.001216-0.00028983i,-0.0012877-0.0005262i,-0.00020629-0.00037359i,0.00045945+0.00012225i,0.00069843-0.00015443i,0.00039528-0.00024839i
-0.0002151-0.00098212i,4.3437e-05+6.2615e-05i,0.00039581-0.00064959i,-0.00017621-0.00078532i,-0.0010781-0.00051781i,-0.00091778-0.00024138i,-0.00077204+0.00020552i,-0.0010159+0.0011193i,-0.00090422+0.0016017i,-0.00040155+0.0010038i,1.2658e-05+0.00030735i,0.00043016+1.1736e-05i,0.00084975-0.00017316i,0.0011949-0.00023901i,0.00070966+9.2826e-05i,-7.6379e-05+2.419e-05i,-0.00043194-0.00041764i,-0.0004227-0.00064375i,-0.00046538-0.00052619i,-0.00042042-0.00025415i,-0.00091087-0.00010303i,-0.00090116-0.00040331i,-0.00057967-0.00084367i
-0.0011266-0.00080701i,-0.00284-0.0013891i,-0.003174-0.0015347i,-0.0026661-0.0010011i,-0.0018862+5.6612e-05i,-0.00079325-0.00076275i,-0.00054117-0.0020304i,0.00072049-0.0014641i,0.0017492-0.00054818i,0.00099296+6.0557e-06i,0.00078815-9.3651e-06i,0.0010978-0.00042536i,0.00082671-0.00053347i,0.000815+5.068e-05i,0.00059079+0.00056013i,-0.000167+0.00062365i,-0.00087083+0.00068593i,-0.00064439+0.0004412i,0.00035177+0.00062i,0.0015496+0.00084833i,0.0014646+0.00044678i,0.00089601+0.00044671i,0.00043799+0.00079571i
0.0027052-0.0012964i,0.0023736-0.0010896i,0.00097272-0.000913i,-0.00014735-0.00021432i,-0.0010697+0.00126i,-0.0023314+0.0015878i,-0.0028537+0.00086285i,-0.0030452-0.00016169i,-0.0025458-0.00066721i,-0.00082519-0.00039282i,0.00039119-0.00040216i,-0.00032733-6.7109e-05i,-0.00074666-0.00021911i,0.00037367+0.00035253i,0.00076119+0.0016924i,0.00035776+0.0016022i,0.00056167+0.00045857i,0.00066411-0.00014093i,0.00066487+0.00026733i,0.00055512+0.00016524i,8.138e-05+0.00060841i,-0.00027126+0.00073784i,-0.00038878+0.00022053i
-0.0043167+0.00030293i,-0.0028999+0.00077951i,-0.0015821+0.0027629i,-0.00028632+0.0030522i,0.00061713+0.0032658i,0.0011404+0.001842i,0.00071922+0.00037547i,0.00019762+0.0013914i,0.00077155+0.001908i,0.00096116+0.0010976i,0.00070895+0.0008173i,0.00072394+0.00097227i,0.00085109-0.00046088i,0.0012707-0.0011999i,0.0016637-0.0010584i,0.0019899-0.00097303i,0.0020143-0.00071283i,0.0010875-0.00050738i,-0.00041171+8.7612e-05i,-0.0010537+0.00052462i,-0.00039886+0.0006174i,-9.3756e-05+0.00073241i,-7.8618e-05+0.00089868i
0.00055983-0.00073757i,0.00052775-0.00095363i,-0.00024638-0.00010048i,-0.00080134+0.00034517i,-0.0013453+0.00019213i,-0.0028097+0.00022478i,-0.0039691+0.00070999i,-0.0026805+0.00067805i,-0.0015013-2.3488e-05i,-0.00067272+0.00041963i,0.00074689+0.00062166i,0.00090196-0.00013772i,0.00037654-0.00050108i,0.00050291+0.00028697i,0.00090844+0.00057936i,0.00061071+0.00026566i,-0.00054887+0.00028042i,-0.00081239+6.8384e-05i,-0.00018388-2.796e-05i,-0.00043085-0.00025742i,-0.00046546-0.00026808i,-0.0010283+0.00044073i,-0.00055394+0.00048165i
-0.0022452-0.0037588i,-0.0016526-0.0038706i,-0.0024781-0.00082284i,-0.0034086+0.0022343i,-0.0029792+0.0032512i,-5.857e-05+0.0029892i,0.00032861+0.0018388i,-0.0004191+0.0014007i,-0.00034319+0.00087684i,1.9613e-05+0.00093027i,0.00085829+0.0014026i,0.001054+0.00090322i,0.0014756+0.00032446i,0.00199-0.00028461i,0.0026889-0.0007776i,0.002526-0.00039977i,0.00066831+0.00058017i,-0.00024063+0.00058897i,0.00015244-0.00067088i,1.6654e-05-0.0020046i,-0.00096289-0.0022929i,-0.0010392-0.0010909i,-0.00026743-0.00042625i
0.0070767+0.0057071i,0.0082592+0.003978i,0.011341-0.00016319i,0.0080108-0.0035775i,0.0018708-0.0062016i,-0.0032494-0.005571i,-0.0035864-0.0012274i,-0.00083295+0.0014016i,0.0011239+0.00062841i,0.0009662-0.0019084i,-0.00047149-0.0031644i,-0.0017777-0.0021314i,-0.0027745-0.00032002i,-0.003892+0.00088265i,-0.004135+0.00034208i,-0.0022488-7.4633e-05i,-0.00025157+0.00041635i,9.9633e-05+0.0010482i,-0.00015317+0.0013748i,0.00011635+0.0017611i,0.00056345+0.0011709i,0.00087086-0.0002543i,-0.00010071-0.00082637i
0.0016769+0.0024788i,0.002988+0.0011954i,0.004725-0.00059973i,0.0042212-0.0018747i,0.0021329-0.0026876i,-0.00013335-0.00078924i,-0.0014049+0.0023737i,-0.0012453+0.0026489i,0.00058467+0.0018352i,0.0010632+0.0008035i,0.00035268-0.00013283i,7.2897e-05-0.00026329i,-9.8744e-05-0.0010179i,-0.00039456-0.0012909i,-0.00045262-0.00088538i,3.8138e-06-0.00017687i,0.00070073+0.00043951i,0.00097763+0.00053968i,0.00072509+0.00011789i,0.00039397-0.00018289i,0.00050419-0.00038329i,0.0007818-0.00077138i,-1.7867e-06-0.0011154i
-2.851e-06+0.00071359i,-0.00050487+0.00073002i,2.0068e-05-0.00066215i,0.0011011-0.001348i,0.0014843-0.0012995i,0.00011565-0.0010927i,-0.00053277-0.00072208i,-0.00027571+0.00026512i,2.7011e-05-0.00028609i,0.00038669-0.0012075i,0.00050942-0.00083804i,0.00048148-0.00090924i,-0.00014102-0.0007243i,-0.00046871+0.00012128i,-0.00032504-8.7501e-05i,-0.00025265-0.00039738i,-0.00014522+0.00028404i,-0.00022632+0.0002255i,0.0001657-0.00023037i,0.00042532-0.0004448i,0.00043151-0.00033562i,0.00035291+0.00035989i,-0.00047659+3.5672e-05i
0.0029021+0.00049035i,0.0026729+0.00035535i,0.002659-0.00014449i,0.00044306-0.0015345i,-0.0021172-0.001579i,-0.0042358-0.00070545i,-0.0037594+9.927e-06i,-0.0019237+0.0007413i,-0.0010513+0.0011382i,-0.00024334+0.00094618i,0.00035754-6.081e-05i,9.1675e-05-0.00066265i,-0.00039414-8.4873e-05i,-0.0011012+0.00018876i,-0.0012084-0.00032416i,-0.00067452-0.00041011i,-0.00035902+0.00026731i,-0.00015636+0.00043561i,0.00064838+0.000482i,0.00067732+0.00022989i,0.00014454-0.00032317i,-0.00012704+0.00027941i,-0.00046598+0.00060039i
-0.00095821+0.0011455i,-3.8398e-05+0.0011753i,0.0010151+0.00085813i,0.0013277+5.0984e-05i,0.0011894-0.00014512i,0.00048026+1.5277e-05i,-0.00058989+0.00018761i,-0.00081514+0.00099287i,6.8259e-05+0.0011945i,0.00014407+0.00039497i,0.00030792+0.00013272i,0.0010583+0.00036687i,0.00057255+0.00061418i,-0.00019543+0.0003555i,-0.00032476+0.00023939i,-0.00011516+0.00020944i,3.3893e-05+0.00029054i,-0.00017131+0.00068085i,0.00051334+0.00037254i,0.0013173+0.0005525i,0.00049035+0.0011904i,-1.4871e-05+0.0011108i,0.00024676+0.00084835i
-0.00034413+0.00050997i,-0.00075006+0.00042499i,-0.00071802+3.2228e-05i,-0.0008178-0.00088989i,-0.00054272-0.0012289i,-0.0011966-0.00059127i,-0.0018316-0.00011328i,-0.00088388+0.0003012i,0.00019615+0.0004093i,0.00056531-0.00031326i,0.00035043+1.7434e-07i,0.00030058+0.00040367i,0.00034649-0.00016072i,-2.6685e-05+3.8756e-05i,0.00050835-0.00040454i,0.0012556-0.00045218i,0.00083896+0.00045437i,0.00024219+0.00014226i,0.00064048-0.00030661i,0.0011645+0.00012515i,7.4261e-05+0.00048047i,-0.00060499+0.00016168i,-0.00018079-0.00012396i
-0.00078718-0.0013834i,-0.00071503-0.00082611i,-0.0002034+0.00046651i,-0.00010318+0.00053409i,-0.00038116-0.00012114i,-0.00094947+3.1784e-05i,-0.0019495+0.00070328i,-0.0022812+0.00026326i,-0.0014561-0.00036881i,-9.4054e-05-7.1156e-05i,0.0002664+0.00010655i,7.6478e-05-0.00011828i,8.4072e-05+4.4799e-05i,-0.00016205+0.00055589i,0.00051691+0.00028405i,0.00070972+0.00010741i,8.0047e-05+0.00032038i,0.00062624-0.00032816i,0.00052533-0.0009283i,-0.0005046+7.0257e-05i,-0.00086734+0.00032491i,-0.00015711+0.00010237i,0.00014967+0.00049921i
0.0021405-0.00086807i,0.0026056-0.00104i,0.00032874-0.00064206i,-0.0010672-0.00038482i,-0.00059998-0.00068176i,-0.00011558-0.00080134i,-1.2644e-05-0.00043704i,0.00032537-0.00020565i,0.00020783+6.1748e-05i,9.3476e-05+0.0001876i,0.00049345+6.3189e-05i,0.00047838-0.00052288i,0.00076074-0.00069675i,0.00098672-8.6394e-05i,0.00034813+0.00030648i,0.00040459-6.3817e-06i,0.00030062-0.00039844i,-0.00027608+2.9504e-05i,0.00013047+0.00046795i,0.00019689+7.7241e-06i,-0.0001534+0.00030884i,6.9322e-05+0.000574i,0.00034242+0.0004722i
-0.00030476-0.00041328i,0.00040409-0.00015782i,-0.00022177+0.00019972i,-0.00030566+0.00013388i,-0.00064588+0.00051949i,-0.0019137+0.00081871i,-0.002447+0.00055144i,-0.0015731+0.00043607i,-0.00034369+0.00016881i,0.00066504-0.00034397i,0.0012369-0.0003416i,0.0017119+0.00044486i,0.0014464+0.00027909i,0.00056588-0.00041465i,0.00016551-0.00089665i,-8.0325e-05-0.00088482i,-0.0002095-0.00072265i,0.00021131-0.0005861i,0.00017434+0.00054632i,-0.00063596+0.00060269i,-0.0011509-0.00035994i,-0.00059654-0.00055835i,-0.0001978+0.00023014i
-0.0015586-0.00024175i,-0.0017568+0.0006652i,-0.00089512+0.00029499i,-0.00052084+0.00026352i,-0.00086126+0.00021326i,-0.0017164-0.00016787i,-0.0019031+0.00046903i,-0.0014267+0.00052693i,-9.1709e-05-0.00040659i,0.0005377-0.00050617i,4.5261e-05-0.0005146i,2.2962e-05-0.00014006i,0.00076063+0.00055792i,0.00053627+0.00038567i,2.7044e-05-4.6673e-05i,-0.00043735-0.00026367i,-0.00061112-0.00047702i,0.00031368-0.00052697i,0.00096709-0.00013042i,0.0010212+0.00022496i,0.00078952-3.2002e-06i,0.00066692-1.1127e-05i,-9.2424e-05+0.00031091i
0.00046113+0.0013489i,0.0017522+0.00062559i,0.0026911+0.00094749i,0.00099577+0.00020423i,-0.00071394-0.00092094i,-0.0011747-0.00095305i,-0.00080478+0.0009333i,-0.00029468+0.0015656i,6.5298e-05+0.00082564i,0.00014637+0.00056611i,0.00012282-0.00043063i,0.00019167-0.0004557i,-0.00088291+0.00021028i,-0.0013747-0.00044883i,-0.0007094-0.00087616i,-0.00023246-0.00015022i,-0.00018667-0.00050943i,0.00057208-0.0015152i,0.001016-0.00074359i,0.00095896+0.00037051i,0.00046934+0.00024803i,-0.00056247-0.00030718i,-0.0010599-4.8212e-06i
-0.00089891-0.0014382i,-0.001322-0.0020878i,-0.0016398-0.00036716i,-0.00089823+0.00071038i,-1.7025e-05+0.0001404i,-0.00020653-0.00095234i,-0.0017747-0.00074861i,-0.00189+0.00015417i,-0.00087964-2.0708e-05i,0.00011052-0.00018991i,0.00081733+6.2849e-05i,0.00044117-2.4181e-05i,-0.00028001-0.00063203i,-0.00032419-0.0013547i,-7.0408e-05-0.0012016i,-0.00025028-0.00012036i,-0.00061381+0.00043821i,-0.00077998-0.00038838i,0.00036975-0.0011416i,0.00099465-0.00030667i,0.00047686+4.8858e-05i,0.00071887-0.0002967i,0.00070199-0.00025302i
0.003142-0.0012401i,0.0028256-0.0010202i,0.0023172-0.0019091i,0.0017293-0.0017752i,0.00019535+6.4114e-05i,-0.0016147+0.00029292i,-0.0017183+2.3165e-05i,-0.0014164+0.00060636i,-0.00065232+0.00043914i,0.00048384-0.00011502i,0.00071216-0.00015812i,0.00052987+5.0057e-05i,0.00083238+0.00082885i,0.00087262+0.0015375i,0.00034219+0.00174i,0.00025869+0.0015216i,0.00030563+0.00071361i,0.00027127-0.0002529i,0.00059167-0.00040559i,0.00078565-0.00027712i,0.00012468-0.00058944i,0.00036189-0.00026064i,-4.4828e-05+0.00029554i
0.0017571-0.00010024i,0.0018414-0.00048394i,0.0015148-0.0014489i,-0.00036688-0.00034075i,-0.0014978+0.00077684i,-0.00071126+0.00060741i,6.7419e-05+0.00030706i,0.00041733-8.7646e-05i,0.00016937-0.00070505i,-2.0412e-05-0.0011639i,0.00062735-0.00035508i,0.00071109+0.00075654i,0.00032778+0.0014927i,0.00049186+0.0013243i,3.1186e-05+0.0006151i,0.00047513+0.00024663i,0.00070343+0.00030766i,0.00031209+3.6156e-05i,0.00063447-0.00036311i,0.0010924-0.00036696i,0.00085182-0.00022585i,-2.7789e-05-0.00058866i,-0.00094009-3.1171e-05i
0.00032951+0.00093793i,0.00019676+0.00019795i,0.00039575+0.0013489i,0.00048628+0.0017569i,-0.00056387+0.0010621i,-0.0020861-8.0526e-05i,-0.0024132-0.00037984i,-0.0013491+0.00042714i,-0.00014764+0.00026711i,-1.9848e-05-0.0001835i,3.7829e-05-0.0006689i,0.0001635-0.00027618i,-0.00021682-0.00041977i,-0.00036729-0.00097322i,-0.00055318-0.00044808i,-0.000742-0.00028523i,-0.00017987-0.00033095i,0.00032354-0.00075643i,1.3553e-05-0.00092757i,-0.00050382-0.00068584i,-0.00019229-0.00021762i,0.00049464+0.00036494i,0.0005506+6.3008e-05i
-0.00032336+9.5806e-08i,-0.001098-0.00019886i,-0.0003104-0.00031347i,0.00051448+9.0584e-05i,-0.00028886+0.00035432i,-0.0010025+0.0010805i,-0.0015288+0.0015076i,-0.001722+0.0017224i,-0.00043126+0.0010481i,0.00074417+6.7145e-05i,0.0003248+0.00020537i,9.834e-05+0.0003359i,0.00056375-0.00056997i,0.00066519-0.00091816i,3.1093e-05-0.00081219i,-0.00012037-0.0011655i,0.00067062-0.00054612i,0.0009112+0.00076061i,0.00039951+0.0012733i,-9.6054e-05+0.001155i,-0.0001448+0.00074399i,0.00012077+0.00033658i,-2.0821e-06+0.00048932i
0.0022041-0.0018533i,0.0019782-0.0018485i,0.0016036-0.0012173i,0.00017527-0.00072587i,-0.00056954-0.00090644i,-0.0010907-0.00060975i,-0.0016933+0.00052897i,-0.0012048+0.00047204i,0.00012103-0.00041701i,0.00060864-0.00044261i,-0.00028615+0.00073657i,-0.0011499+0.0016231i,-0.0010529+0.0010928i,-0.00046545-0.00059451i,0.00057712-0.0015239i,0.0013641-0.0006059i,0.00093797+0.00095656i,0.00035354+0.001458i,-0.00015904+0.00076583i,-0.00041314+0.00034326i,0.0003649-2.3159e-06i,0.00041429-0.00021356i,-0.00022259+3.166e-05i
0.00019546-0.00029649i,-0.00010891-0.0015729i,-0.00071755-0.0013356i,-0.00073242+0.0006916i,-0.00024881+0.0006564i,-0.00069472-0.00048316i,-0.0014052-0.0002008i,-0.0012812+0.00040097i,-0.00020719+0.00033304i,0.0010228+0.00042557i,0.0013343+0.00048066i,0.00071244+0.00059025i,-0.00037472+0.00040936i,-9.0262e-05+0.00052159i,0.00017355+0.00038083i,-0.00018891-0.00026706i,-0.00045875-0.00025988i,-0.0004369-0.00035988i,0.00041647-0.00072665i,0.00062579-0.00068612i,-0.00023823-0.00032608i,-0.00046196-0.0003975i,0.00010659-0.00046363i
0.0010475-0.00010019i,0.0010107+0.00029588i,-0.00014748+0.00024017i,-0.00097807-8.8695e-05i,-0.00061629+0.00016871i,-0.00094476+9.7553e-05i,-0.0017504-0.00035375i,-0.00089896-0.00032453i,0.00053178+0.00033618i,0.0007084+0.00074179i,0.00075343+0.00036452i,0.00085649-0.00055381i,0.00050514-0.00038014i,6.8657e-05+0.0001909i,0.00021863+0.00031559i,0.00025158+0.00013757i,0.00030687-6.6892e-05i,0.00059451+0.00031403i,0.00050941+0.00019103i,0.00090673-0.00022091i,0.00067685-0.00021808i,-0.00026494-0.00025542i,-0.00058278-0.00048379i
0.00070447-0.00021078i,0.00050276-0.00031471i,0.00053849-6.4405e-05i,-0.00014723-0.00044403i,-0.00090636-0.00092804i,-0.0012728-0.0004147i,-0.0015579+0.0004055i,-0.001113+0.0010234i,-4.4997e-05+0.0011268i,0.00026792+0.00090144i,0.00060091+0.00059251i,0.0006448-4.0483e-05i,-2.0743e-05-0.00029608i,-0.00061132+0.00027979i,-0.00063563+0.00068904i,-0.00052961+0.00017862i,-0.00067958-7.0764e-06i,-0.00091312-3.0021e-05i,-0.00099039-0.00077209i,-0.00061653-0.00070828i,-0.00080622+0.00019345i,-0.0011959+0.00054138i,-0.0010393+0.0003024i
0.0011521+0.00057315i,0.00075764+0.00029888i,0.0014277+0.00063592i,0.0013152-0.0001359i,0.00021795-0.0012192i,-0.0010549-0.0011978i,-0.0020334-0.00086726i,-0.0021309+0.00032177i,-0.00081432+0.0010093i,0.00048747+0.00063221i,0.00075244+0.00069905i,-9.4796e-05+0.00025189i,-0.0012195+0.00017592i,-0.00063547+0.00094181i,-9.8394e-06+0.00085729i,-0.00013535-0.00017865i,-7.6172e-05-0.00056318i,0.00054746-4.5622e-05i,0.0010257+3.2393e-05i,0.00056643-0.00052047i,0.00041784-0.00035898i,-8.4844e-05-4.4484e-05i,-0.00066495-9.981e-05i
0.001019+0.00083102i,0.0010075+0.00018803i,-0.00057704-0.00036795i,-0.00083497-0.00078604i,8.5846e-05-0.0019081i,-0.0011583-0.0021345i,-0.0018692-0.00054521i,-0.00080462-8.5755e-05i,-0.00020796-0.00023348i,0.00012548-0.00032552i,0.00064178-0.00046318i,0.00065246-0.00084539i,-0.00051177-0.0011252i,-0.001498-0.00031297i,-0.00083227+0.00079604i,-0.00036298+0.00085998i,-0.00042872+0.00022763i,0.00078352+0.00028472i,0.001947+0.00056801i,0.0011961+0.00056287i,-3.6487e-06-0.00011453i,0.00017233-6.2627e-05i,0.00052064+0.00017533i
0.0016486+0.00080178i,0.0020465-0.0002133i,0.0015089-0.0014088i,0.00020799-0.0010198i,-0.00053654-0.00015714i,-0.0012754-0.00040455i,-0.001679-0.00010408i,-0.0011366+0.00058836i,-0.00016677+0.00069784i,0.0005986+0.00063098i,0.001051+0.00053923i,0.0004981+0.00028461i,0.00017483+0.00024874i,3.7061e-05-0.00070951i,4.4506e-05-0.0008127i,0.00033606+0.00017926i,0.00010387+0.00037599i,6.7385e-06+0.00020254i,1.1624e-05+0.00072292i,-0.00013303+0.00060226i,-0.00022159+0.00015411i,-8.3711e-05-6.8374e-05i,-0.0001173+4.4792e-05i
0.00087838+0.0010071i,0.0013554-0.00031611i,0.0013266-0.00090335i,0.001297-0.00062229i,0.00044142-0.00035258i,-0.00088261-0.0012864i,-0.001259-0.0013279i,-0.0010315+0.00056476i,-0.00062317+0.0011735i,0.00010498+0.00055591i,0.00034936+8.5323e-06i,5.4142e-05-0.00027365i,-0.00076466-0.00097444i,-0.00087087-0.000562i,-0.00014923-6.8258e-05i,4.085e-05+0.00025768i,0.00028596+0.00041412i,0.00053104+0.00031749i,0.00056503+0.00058924i,0.00049298+0.00046831i,-0.00042022+0.00031032i,-0.00024728-0.00027013i,0.00053938-0.00033601i
-8.3752e-05+0.00029929i,0.00021738-3.2008e-05i,0.00076365-0.00047975i,0.00040025-0.0012336i,-0.00086038-0.00074175i,-0.0017709-0.0004923i,-0.001195+0.00012037i,-0.00022798+0.0014939i,0.00052403+0.00092495i,-0.00021886-7.2734e-05i,-0.00052224+0.00012932i,-0.00066353+0.00054276i,-0.0013036+0.00075276i,-0.00074503+0.00073921i,-0.00010161+0.00018984i,-3.7985e-05-0.00036288i,-2.5813e-05+8.8947e-06i,4.7591e-05+0.00029696i,-0.00015482-0.00019776i,0.0002413+0.0001647i,0.00036071+0.00026564i,-9.0944e-05+0.00010358i,-0.00035459+0.0002471i
-0.00082069-0.00096749i,-0.0012412-0.0014981i,-0.001083-0.00039158i,-0.00079484+0.000455i,-0.00083185+0.00090947i,-0.00062118+0.0011758i,-0.0012444+0.0010739i,-0.0016002+0.00052435i,-0.0005972-0.00040997i,-2.4913e-05-0.00078678i,-0.00011873-0.00058749i,0.00027057-0.00052679i,0.00022023+6.5661e-05i,-0.00015967-1.8784e-05i,0.0007733-0.00063116i,0.0008849-0.00065234i,0.00069481-0.0005243i,0.00029492+4.9009e-05i,-0.00064231-0.00017212i,-0.00020553-0.00044686i,-0.00062946-0.00025264i,-0.00096677+9.6232e-05i,-0.00044078+0.00041606i
0.0013316+0.001132i,0.0020035+0.00060846i,0.0023022+0.00060712i,0.0012852+0.0010198i,0.00040482+0.00017332i,-0.00086458-0.00073594i,-0.0019362-0.00035526i,-0.0018622+0.00041056i,-0.00093465-0.00014648i,-0.00026883-0.00069585i,-0.0003576+0.00012672i,-0.00015203+0.00049461i,4.4166e-05-0.00010505i,-0.00018677-3.5268e-05i,-0.00019385+0.00015802i,0.00045776+0.00018312i,0.00043402+0.00010634i,-0.0006364-0.00034221i,-0.00072874-0.0006757i,0.00043749-0.00033411i,0.00074163-2.6937e-05i,-0.00029439-0.00021889i,-0.00030345+0.00026734i
0.0013907+0.0013922i,0.0023702+0.0004054i,0.0019543-0.00028193i,0.0011403+0.00061867i,0.00041624+0.001075i,-0.0001423-1.8199e-05i,-0.0004819+0.00022815i,-0.00036017+0.0013881i,-0.00026587+0.00097278i,0.00026872-0.00044854i,0.00050424-0.00087718i,0.00082281-0.00079131i,0.0015381-0.0011173i,0.0012386-0.0009756i,0.00033296-0.00067772i,-0.00068551-0.00040798i,-0.00077399+5.3433e-05i,-0.0007926+9.1819e-05i,-0.0015235-8.2298e-06i,-0.00099857-0.00018946i,-0.00057546-6.701e-05i,-0.0010747+0.00012933i,-0.00092842-9.7372e-05i
0.00038947-0.00048316i,0.00028782+0.00037348i,0.00012778+8.4813e-05i,-0.00019889-0.0013224i,-0.0012252-0.0013215i,-0.0021051-0.00029355i,-0.001624+0.00071231i,-0.00082487+0.00072516i,0.00034199+0.00050276i,0.00063657+0.00034159i,-4.4074e-05+0.00033745i,3.5756e-05+0.00051838i,-9.9207e-05+0.0007602i,-6.6264e-05+0.0011413i,0.00021779+0.0011911i,-7.1201e-05+0.0013119i,-0.00041307+0.0013472i,-0.00018958+0.0010931i,0.00020226+0.00044647i,9.0757e-05+0.00034149i,-0.00013521-3.7814e-05i,-0.00022531+2.8099e-05i,-0.0005281+0.00017121i
-0.0024015-0.00023051i,-0.0029982-0.00014048i,-0.0030629+0.0003121i,-0.0017365+0.00070109i,-0.001442+0.00020158i,-0.0027682-0.00044978i,-0.0032553-0.0003134i,-0.0021309+0.00029874i,-0.0010712+0.00049453i,-0.00042177+0.00025145i,0.00010172+0.00040459i,0.00094546+0.00086076i,0.00087143+0.00091167i,0.00055516+0.00051644i,0.00081903+0.0004223i,-0.00013345-1.1549e-05i,-0.00097231-0.00019064i,-0.00030066-0.0006677i,0.00042033-0.0019586i,0.00062612-0.0019915i,3.3479e-05-0.00052157i,-0.00045906+0.00048657i,-0.00033744+0.0010621i
-0.0013338-0.0023853i,-0.0023452-0.0030442i,-0.0028914-0.0026583i,-0.002249-0.0013607i,-0.0019191-0.0011111i,-0.0023567-0.0012646i,-0.002291+6.3714e-05i,-0.0014691+0.0014471i,-0.00074745+0.0010225i,-0.00036081+0.00063151i,0.0001376+0.00016879i,6.1403e-05-0.00096212i,7.8106e-05-0.00084892i,0.00072527-7.0774e-05i,0.0008984+0.00026611i,0.00041057+2.101e-06i,-2.3091e-05-0.00031926i,0.00032124-0.00024698i,0.0013223-4.2641e-05i,0.0012891+2.9143e-05i,4.8761e-05-5.5616e-05i,-0.00055043-0.00017821i,-0.00031053+0.00022536i
-0.0012321-8.0253e-05i,0.00062753+0.00012948i,0.0002721-0.00016838i,0.00015214+0.0010406i,0.00085147+0.0017534i,0.0002759+0.00017938i,-0.0014934-0.00076587i,-0.0013628-8.188e-05i,6.9647e-05-2.7336e-06i,0.00052848-0.00049584i,0.00059274-0.00021093i,0.00054531+0.00012247i,1.3302e-05-0.00028027i,-0.0003315+1.8767e-06i,0.00022061+0.00084909i,0.00052895+0.00087331i,0.00047862+0.00033591i,0.00033247+6.5027e-05i,-1.7925e-05+0.00059412i,-0.0005103+0.0014209i,-0.0012569+0.0010986i,-0.00079569+0.00079835i,-0.00014635+0.00062118i
0.00066373+0.00021022i,1.4113e-05+0.00018954i,1.7373e-05-2.8496e-05i,-0.00075668-0.00066292i,-0.0018839-0.00064341i,-0.0027071-0.00044401i,-0.002513-0.0004402i,-0.0020364+1.4119e-05i,-0.0017891+0.00062113i,-0.0010438+0.00080478i,-0.00060899+0.00055967i,-7.6615e-05+0.00018951i,0.00045235-0.00038601i,0.00021185-0.00040737i,-0.00040631-0.00014475i,-0.00011942-0.0003185i,-0.00014502+7.6872e-05i,-0.00038852-5.0751e-05i,-0.00022345+0.00015853i,-5.1723e-05+0.00041814i,-0.00010958+0.00058668i,-8.9337e-05+0.00079373i,0.00019119+0.000457i
