0.00051983+0.00018789i,0.00097698-0.00083564i,0.00015878-0.0010885i,-0.0010372-0.00095958i,-0.0018678+0.00013501i,-0.0025014+0.0012496i,-0.0029261+0.0018558i,-0.0024778+0.0014191i,-0.0011434+0.00070773i,0.00015329+9.5143e-05i,0.0013519-0.00072831i,0.00061469-0.00049117i,-0.00052876+0.00046841i,-0.00028655+0.00077613i,0.00024958-0.00013433i,0.00070007-0.00017317i,0.00089922+0.00095941i,-6.1926e-05+0.00082319i,-0.00078656-0.00027823i,-0.00031092-0.00033911i,-0.00010208-0.00011605i,-0.00019723-0.00028289i,-0.00046062+0.00015527i
0.0011338-0.00018105i,0.00122-0.0016886i,0.00158-0.0025129i,0.00099167-0.0027699i,0.00024548-0.0021093i,-0.00041827-0.0011417i,-0.00043877-0.00078853i,5.1709e-05-0.00029067i,-8.4247e-05+7.0438e-05i,-0.0005352+0.00024035i,-0.00033826+0.00014746i,-0.00020877-0.00023974i,-0.00016521-0.00029236i,0.00014832+0.00012276i,0.00086946+0.0005283i,0.0010722+0.0009287i,0.00070727+0.00066715i,0.0003186-3.5671e-07i,0.00031442-9.6386e-06i,0.00038307+0.0002139i,-0.00029042-1.2307e-05i,-0.0006229-0.00088947i,-0.00037221-0.00012977i
0.0012414-0.00083372i,0.0014471-0.0013259i,0.00099797-0.002504i,0.00044016-0.0028591i,-0.00065105-0.0010851i,-0.00051778+0.000317i,-0.0010767+0.00022169i,-0.0020849-0.00010639i,-0.0014275-0.0002416i,-0.00054669+0.0001764i,-0.00041915+0.0010095i,-0.00043656+0.00077457i,-0.0009272+0.00017297i,-0.00069486+0.00013122i,1.3822e-05-0.00026809i,-5.7444e-05-0.0008804i,-6.5473e-05-0.00083983i,0.00015104+4.6453e-05i,0.00039787+0.00066668i,0.00013277+0.00054892i,-0.00042003-0.00041371i,-0.00036998-0.00062859i,-0.00014449+7.7691e-05i
0.0010319-0.00036564i,0.00085342-0.001527i,0.0008068-0.0031474i,0.00024433-0.0026279i,-0.00041965-0.00064518i,-0.00033335+0.00015986i,-0.00046267+0.00041929i,-0.00083471-0.00038482i,-0.00072952-0.0008969i,-0.00072913-0.00083613i,-0.00029608-0.00099301i,0.00039266-0.00081441i,0.00026443-0.00011005i,0.00033697+0.0006656i,0.00081062+0.00066928i,0.00053539-3.1915e-05i,3.3541e-05-0.00062732i,-0.00037378-0.0010527i,-0.000493-0.0014512i,-0.0003422-0.00090741i,-4.6664e-05+8.8769e-05i,-0.00028415+0.0001337i,-0.00038374-0.00032581i
-0.00049053-3.7285e-05i,-0.00061564+0.00024809i,-0.0014278+2.0918e-05i,-0.0011975+6.8442e-05i,-0.00067101+0.00068086i,-0.00064831+0.0010226i,-0.0010598+0.00028768i,-0.0013729-0.00065083i,-0.0014926-0.00033659i,-0.00085902+0.00013123i,-2.5999e-05-0.00010381i,4.7046e-05-3.2696e-05i,-0.00023687+0.00050776i,-0.001003+0.00016279i,-0.0011683-0.00019628i,-0.00042782+3.4621e-05i,0.0001094+0.00012155i,-0.00041106-0.00028958i,-0.00019288-0.000875i,0.00062877-0.00074727i,-0.000154-0.00017046i,-0.00085597-0.00046574i,-0.00077645-0.00059464i
0.00057552+0.0012011i,0.0009874-1.9994e-05i,0.0011296-0.00017203i,0.0010988+0.00048726i,0.00046457-6.2439e-05i,-0.00017494-0.001333i,-3.8356e-05-0.0012427i,5.9255e-05-0.00037578i,-0.00074967-8.8627e-05i,-0.00083473-0.00032941i,1.2655e-05-0.00062916i,0.00026586-0.00076862i,0.0002188-0.00056374i,-6.758e-05-0.00015505i,-0.00048287+0.00027125i,-2.397e-05+0.00024622i,0.00051092-0.00024458i,0.00065581+3.8094e-06i,0.00084817+0.00043398i,0.00094882+0.00057931i,0.00089214+0.00042085i,0.00050207+0.00055792i,0.00047736+0.00074233i
-0.0006343+0.0021605i,0.00033972+0.0020384i,0.0011845+0.0018604i,0.0012233+0.00064673i,7.5574e-06-6.5193e-06i,-0.0015528-0.00025862i,-0.0019979-0.00082866i,-0.0014123-0.00096152i,-0.0010743+0.00036363i,-0.0009238+0.00057794i,-0.00016406+6.3493e-05i,0.00024193-0.00011146i,-5.6531e-05-0.00014017i,-0.00057079+0.00063263i,-0.00050351+0.00065202i,-1.8483e-05+0.00012492i,-0.00017575+0.00053532i,-0.00030972+0.00046877i,-0.00024371-0.00025402i,-3.2011e-05-0.00041608i,0.00039818-0.0003253i,0.0006076-4.3506e-05i,0.00022178-0.00021969i
0.00082085-0.0016352i,0.00055897-0.0024385i,0.00072574-0.0027576i,-0.00011484-0.0015644i,-0.0015754-0.00036442i,-0.0022935-0.00031796i,-0.001789+0.00030546i,-0.0013549+0.00050445i,-0.00044055-0.00066954i,0.0010537-0.00060448i,0.00072069+0.00019839i,0.0002684+8.9395e-05i,0.00024559+0.00033657i,0.00030495+0.00076185i,0.00060465+0.00052067i,9.9905e-05+0.00049898i,-0.00064714+0.00058429i,-0.00059759-0.00015415i,-0.00047429-0.00068622i,-0.00041061-0.00064101i,-0.00039555+1.5078e-05i,-0.00058979+0.00094995i,-0.00056803+0.0011148i
0.001406-0.00031467i,0.0024681+0.00026356i,0.0017181+0.00040273i,0.0012726+5.8931e-05i,0.00077956-0.00026718i,-0.00028765-0.00099228i,-0.0011704-0.0010977i,-0.0015829-0.00050887i,-0.001154+0.00028127i,-0.00058199+0.00076982i,2.8046e-05+0.00011923i,0.00037396-9.1014e-05i,3.8414e-05+0.00017189i,0.00011885+0.00017472i,0.00013117+0.00048926i,-0.00045151+0.0003317i,-0.00027173-0.00025674i,9.3259e-05-0.00058714i,0.00037267-0.0004826i,0.00087289+0.00041006i,0.0010528+0.00086731i,0.0012464+0.0001049i,0.00070167+0.00012998i
-0.00027851+0.0030606i,0.00011024+0.0025629i,-0.00060214+0.0013971i,-0.00035768+0.00092245i,-0.00033335+0.00094541i,-0.00049396+0.000609i,-0.00053734-0.00035744i,-0.00040447-0.00040831i,-0.0011169-0.00042735i,-0.0010916-0.0010366i,0.0005669-0.00092092i,0.00098655-0.00032018i,0.00023747-2.6499e-05i,7.2817e-05-0.00023839i,7.5425e-05-0.00029387i,-0.00032915+0.0005529i,-5.8602e-06+0.00049041i,0.00050386-0.00029941i,0.00049959-0.00031329i,5.6911e-06-0.00054858i,-0.00015783-0.00029855i,-7.7171e-05+0.00058732i,-0.00036846+0.00039942i
-0.00041879+8.1719e-05i,-0.00022481-0.0010423i,4.4283e-05-0.002106i,-0.00069943-0.0021546i,-0.0013959-0.00076495i,-0.0018019+0.00027558i,-0.0020933-3.2298e-05i,-0.0021415+0.00027771i,-0.0015816+0.00058602i,-0.00056221-7.5081e-05i,0.00035702+0.00054161i,0.00040519+0.00095005i,-0.0002519+0.00054525i,-0.00050293+0.00023367i,-0.00045956+0.00055928i,-0.00016964+0.00051359i,-0.00045759-0.00032053i,-0.00065317-0.00076765i,5.6795e-05-0.0010013i,0.00045078-0.00053774i,-0.0002719+6.4134e-06i,-0.00072323-0.00017751i,-0.00072785-0.00042715i
0.0021125-0.0010622i,0.0031664-0.0012102i,0.0028915-0.0011527i,0.0012351-0.00088308i,-0.00083294-0.00047907i,-0.0019217-0.00038327i,-0.0022004-0.00055181i,-0.0023211-0.00067962i,-0.0016479-0.00073213i,-0.00048159-0.00074371i,0.00041321-0.0007075i,0.00023222+0.00023638i,-0.00093481+0.00092271i,-0.0010991+0.001041i,-2.193e-05+0.0012097i,-0.0001957+0.00061157i,-0.00069554-0.00055676i,-0.00059521-0.00095444i,-0.00025747-6.2698e-05i,-0.00076137+0.00021495i,-0.00054787-0.00035038i,0.0007394-0.00041805i,0.0012651+0.00032638i
0.0020673+0.00037845i,0.0018947-0.00023009i,0.00085736-0.0011921i,-0.00018227-0.0005843i,-0.0012477+1.7568e-05i,-0.0012573+0.00021448i,-0.0011211+0.00040054i,-0.00083739-0.000283i,-5.4732e-05-0.00054184i,0.00025741+5.4156e-05i,-8.51e-05+0.00066042i,-0.00075255+0.00090299i,-0.00077657+0.000969i,-0.00089852+0.00085414i,-0.0014652+0.00067049i,-0.00069036+0.00078487i,0.00049548+0.00053847i,0.0010368+1.6887e-05i,0.0010734-0.00054636i,0.00085273-0.00024492i,0.00056607+0.00057232i,-8.9079e-05+0.00075241i,0.00017597+0.00035716i
-0.0010279+0.00056563i,0.00064018-0.00042179i,0.00055267-0.0012159i,0.00015864-0.000542i,-0.00088746+0.00032526i,-0.0020275-2.3794e-05i,-0.0017354-0.0012806i,-0.0012053-0.0017247i,-0.00087575-0.0013773i,0.00021526-0.0001196i,0.00069456+0.00089505i,-0.00018592+0.00084938i,-0.00067565+0.00032724i,-0.00040926+5.5873e-05i,-0.00046232-0.00010835i,-0.00044342+2.7776e-05i,-0.00052279+0.00038669i,-0.00093029+0.00035937i,-0.0011547+0.00071354i,-0.00016223-0.0001615i,0.00074815-0.00059861i,0.00025343+0.00021489i,5.2167e-05+0.00058572i
-0.00023861+0.00084264i,0.0013604+0.00032716i,0.00294+0.00025873i,0.0030477-7.0802e-05i,0.0018334-0.00035072i,-0.0002343-0.00037176i,-0.0012656-0.00091265i,-0.0019726-0.0016918i,-0.001827-0.0011701i,-0.00031464-0.00043552i,0.00046109-0.00047086i,-0.00031251-0.00083388i,-0.00078342-0.0010228i,-0.00022118-0.00053083i,0.00023479+0.00012335i,-0.00093414+0.00037298i,-0.0016734+0.00067994i,-0.00096321+0.0010453i,-0.00069659+0.0014916i,-0.00060392+0.0012547i,-0.00050729+0.00056557i,-1.2532e-05-0.00041799i,-0.00022384-0.00043344i
0.00099197-0.00094314i,0.0015879-0.00061574i,0.0012482+0.00040703i,0.00026284+0.001233i,-0.00031293+0.0015119i,-0.00046996+0.00088601i,-0.00056558-0.0003564i,-0.00030654-0.00054339i,-0.00035218-0.00014909i,-0.00046004-0.00014821i,0.00029251+0.00044616i,0.00042209+0.00034506i,-3.3103e-05+0.00053796i,0.00024631+0.00071332i,-0.00025855-6.7338e-05i,-0.00077663-0.00049556i,0.00017318+0.00058048i,0.00073406+0.001035i,0.00034105+0.00026224i,0.00033424-0.00052558i,0.00067359-0.0006057i,0.00046127+0.00030282i,1.6646e-05+0.00040942i
0.00042638+0.0016053i,0.00061291+0.00040925i,0.0016451-0.001135i,0.0020589-0.0019444i,0.00070072-0.00075577i,-0.00037847-4.8881e-05i,-0.0010227-0.00044008i,-0.0016959-0.00054913i,-0.002023-5.875e-05i,-0.0011918+0.00023101i,-0.00052448+0.00061891i,-0.00018213+0.00029749i,0.00043085-2.3447e-05i,0.00063569+0.00025032i,-0.00011999+0.00041298i,-0.00010359+0.00093365i,0.00048121+0.00097928i,0.00031592+0.00057531i,-1.5547e-05+0.00025035i,0.00016013-0.00070038i,0.00020891-0.0012128i,0.00043514-0.00047401i,0.00037174-0.00025307i
0.00022828+0.0018154i,0.0014468+0.00091064i,0.0013269-0.00014838i,0.00072899-0.00044544i,0.00016986-0.00059136i,0.00022445-0.0011765i,-0.00061553-0.0016711i,-0.0018057-0.0017485i,-0.0010762-0.00098986i,5.9309e-05+0.00088701i,-0.00010643+0.0015635i,-0.00053482+0.00084215i,-0.00042604+0.0009146i,7.7903e-05+0.00038493i,0.00015202-0.0007079i,-0.00021023-0.00055131i,7.5315e-05-0.00027314i,8.8854e-05+3.5732e-05i,5.0899e-05-1.6609e-05i,-0.00011505-2.0741e-05i,-0.000386-5.588e-06i,9.0996e-06+0.00015568i,0.00016247+0.00038903i
0.001703-5.8804e-05i,0.0022424-8.5756e-05i,0.0020309-0.00040521i,0.0012993-0.0011622i,0.00024955-0.00085471i,-0.0009906-5.4715e-05i,-0.001334+0.00067861i,-0.001238+0.00073226i,-0.00048014+3.6508e-05i,-0.00016369-7.2549e-05i,6.055e-06-0.00020952i,9.2415e-05-0.00065466i,0.00012009+2.3961e-05i,0.0001239+9.1491e-05i,-0.00028809-0.00058315i,-0.0005615-0.0009245i,-0.00016823-0.0005866i,0.00011904-0.0001434i,-0.00037335+0.00035418i,-0.00041017+0.00021308i,-0.0003254-0.00066294i,-0.00022723-0.0010058i,2.8135e-06-0.00056584i
0.0017358-0.0014185i,0.001092-0.0015654i,-0.00042438-0.0020639i,-0.0007376-0.0013797i,-0.00052395+9.207e-05i,-0.0010534+0.00066575i,-0.00076407+0.00020687i,-0.00024222+0.00033823i,-0.00076269+0.0002484i,-0.00032067-0.00015045i,-0.00012376+6.5009e-05i,-0.00019899+0.00015801i,-0.00025781+0.00055327i,-0.00034138+0.00033141i,-7.8389e-05-0.00097565i,-0.0004927-0.0011802i,-0.00071546+0.00055237i,-0.00022163+0.0016036i,6.1278e-05+0.00076526i,-0.00014244-9.7006e-05i,0.00031866+3.3197e-05i,0.00031182-3.4483e-05i,-0.00050492-0.00074594i
