-0.0016968-0.00096643i,-0.0010804-0.0010091i,-0.001117-0.0020643i,-0.0022941-0.0020051i,-0.0028158+5.5668e-05i,-0.0020681+0.0017344i,-0.0011026+0.0023843i,-0.00084662+0.00259i,-3.7206e-05+0.001781i,0.00098902+0.0013856i,0.00081338+0.00065604i,1.9494e-05-0.00017405i,2.7352e-05+9.5461e-05i,0.0010139+0.00065105i,0.00065018+0.00058452i,-0.00038783+0.00022531i,-0.0008109-0.0010488i,-0.00040521-0.0015429i,-0.00011305-0.00066012i,-0.00084304-0.00013821i,-0.00085439-0.00038444i,-0.00035657-0.00034136i,2.3881e-05+0.0001374i
0.0013853-0.00059467i,0.00079773-0.0018013i,0.00056699-0.0011369i,-0.00076986-2.9229e-05i,-0.0016849+0.00016936i,-0.0012894+0.0004725i,-0.00036132-1.2258e-05i,-0.00039519-0.00086617i,-0.00094926-4.1437e-05i,-0.00084343+0.0010908i,-0.00039156+0.00089208i,-0.00050445-0.00042543i,-0.00059102-0.00092419i,-0.00030908-0.00073789i,-4.027e-05-0.00094986i,4.7775e-05-0.00075708i,-0.00032246-0.00033588i,-0.00059615-0.00010532i,0.00031214-0.00031017i,0.00080491-0.00036399i,0.00017116-0.00041604i,-0.00037047-0.00043969i,-0.00051936+7.5105e-05i
0.0020772-0.0019061i,0.0012814-0.0015684i,0.00065461-0.0027954i,0.00020716-0.0035264i,-0.0010324-0.0023416i,-0.0012836+0.00060016i,-0.00042746+0.0018498i,-0.00045713+0.0004591i,-0.0004243-0.00028219i,-0.00061124-0.00045377i,-0.00075019-0.00037736i,-0.00086498-0.00011046i,-1.8196e-05-0.00095096i,0.00032179-0.0010516i,-0.00035275-0.00054223i,-0.00055647-0.00080939i,-0.00024441-0.00052491i,1.7096e-05+0.00015253i,0.00016954+0.00057419i,-0.00022299+0.0004172i,-0.00064217+0.000236i,-0.00080758+0.00077003i,-0.00078073+0.00080294i
-0.0018254-0.0010313i,-0.0019057-0.00084043i,-0.0021539-0.0013279i,-0.001716-0.0011011i,-0.00086303-0.00029659i,0.00011334+0.00026021i,0.00094484+1.1106e-05i,0.0006151-0.00024149i,-0.00013426+0.0003631i,-0.00029758+0.0011735i,-0.00045836+0.0011115i,-0.00074554+0.00045848i,-0.00018297-3.5469e-05i,0.00052675-2.2849e-05i,0.00043873+0.00034788i,0.00015053+0.00060764i,-7.9477e-05-0.00018302i,-0.00041255-0.00081511i,-0.0007228-7.7455e-05i,-0.00057555+0.00088344i,-0.0004552+0.001453i,-0.00046118+0.00096666i,0.00015176+0.00042702i
0.0022252-0.0010658i,0.0019334-0.0025931i,0.0015736-0.0039772i,-0.00018668-0.0037395i,-0.0016499-0.0027207i,-0.0016117-0.0022942i,-0.00053706-0.0013072i,-0.00074874-0.00046526i,-0.0012584-6.0724e-05i,-0.0012342-0.00014799i,-0.00093294-0.00031496i,-0.00076231+0.00036114i,-0.00080511+0.00083528i,4.5289e-05+0.00079025i,0.00062623+0.00033711i,0.00076601-0.00059022i,0.0006832-0.0010165i,0.00070874-0.00041589i,0.00059956+0.0004868i,0.00048524+0.00075444i,0.00040993+0.00037819i,-0.00059458-0.00011559i,-0.001051-0.00011579i
-0.00058179-0.0012278i,0.00010527-0.0010591i,6.2997e-05+9.8141e-05i,-0.00041836+0.00054897i,-0.00042575-0.00082056i,0.00036689-0.00012739i,0.00070355+0.0019227i,0.00060183+0.0014973i,0.00078801+0.00018913i,0.00050418+0.00020575i,0.00037452+0.00043335i,0.00051978+0.00028885i,0.00059637+0.00017929i,0.00022197-0.00023075i,-0.00052345-0.0010122i,-0.00049576-0.00096474i,0.00037436-0.00033667i,0.00072686-0.00080789i,0.00016521-0.00065805i,-0.00021915+0.00036702i,-0.00034077+0.00082907i,4.993e-05+0.0010709i,0.00041478+0.00070902i
-0.00073748+0.00095056i,-0.00024961+0.00017113i,0.00060902+0.00048263i,-0.00034339+0.0010936i,-0.0010301+0.0018414i,-0.00034643+0.0011566i,-0.00010155-0.00031137i,0.00041617-0.00073902i,0.0010993-0.0003916i,0.0010216-2.7201e-05i,0.00088034+0.00046282i,0.00040522+0.00072327i,0.00067889+0.00021882i,0.0016182-0.00092865i,0.0019105-0.0014674i,0.0016621-0.0007086i,0.00043453+0.00014807i,-0.0003655-0.00010135i,-0.00030587+7.7973e-05i,-0.00028594+0.00047214i,0.00015121+0.00045641i,0.00087276+0.00040225i,0.0014267+0.00017545i
0.0013463-0.0010037i,0.0016915-0.0015938i,0.0020479-0.0037176i,0.0010955-0.0048378i,-0.00046225-0.0036329i,-0.00016145-0.00096382i,0.00013034+0.00092218i,0.00051742+0.0012601i,0.0013337+0.0010988i,0.0013174+0.00065866i,0.0011928+0.00029545i,0.0011217-0.00016736i,0.00021859-0.00099623i,-0.00071506-0.00077916i,-0.00042552-0.00045926i,0.00014149-1.5173e-05i,0.00026842+0.00015873i,-0.00019504+3.7307e-05i,-0.00026954-0.00032839i,-0.00034112-0.00088839i,-0.00065182-0.0011027i,-0.0001665-0.00087588i,0.00057739-0.00067524i
0.00060593+0.0017701i,-0.00032169+0.0018561i,0.00077711+0.0019848i,0.0023802+0.00075707i,0.0016238-4.8627e-05i,0.0011439-0.0012306i,0.00063731-0.0036551i,-0.0012587-0.0054661i,-0.0030719-0.00533i,-0.0033965-0.0041848i,-0.003331-0.0020742i,-0.003122-0.00084625i,-0.0015094-0.0006285i,-0.00057331+0.00063874i,-0.00047962+0.0010069i,0.00015454-0.00015443i,0.00087794-0.00063291i,0.00093962-0.00044175i,0.00018679-0.00042086i,8.5148e-05+9.939e-05i,0.00092957+0.00029645i,0.00065607+0.0004154i,0.00039546+0.00076143i
0.00076799-0.00067396i,0.00080981-0.00093211i,0.00085046-0.0019444i,0.00042607-0.0014618i,-0.00049035-0.00055352i,-0.0012452-0.00055249i,-0.0014741-0.00096687i,-0.0011468-0.00087037i,-0.0010453-0.00095888i,-0.0013021-0.00052262i,-0.0014729+0.00055905i,-0.00093191+0.00092972i,-0.00060572+0.0009312i,-0.00068307+6.6163e-05i,-0.00035928-0.0011391i,-0.00015691-0.0013596i,7.4411e-05-0.00015512i,0.00037756+0.00076108i,0.00051147+0.00012177i,0.00070655+1.6511e-05i,0.00076214+9.6188e-05i,0.0011646+3.8801e-06i,0.0011482-7.7118e-05i
-0.00014392+0.0017601i,0.00067349+0.00070293i,0.0017972+0.00040255i,0.0016104+0.0007748i,0.00099327+0.0011649i,0.0007881+0.0012198i,0.00035955+0.00092918i,-0.00081507+0.00040789i,-0.0012731-0.00038704i,-0.00039413-0.00067171i,0.00016661+0.00048542i,0.00011244+0.0013364i,0.00039327+0.0013661i,0.00086996+0.0010051i,0.00020732+0.00014191i,-0.00050848-0.00050378i,-0.00026408-0.00052261i,-0.0002722-0.00050338i,-0.00040601-0.00042906i,-0.00022757+2.1183e-05i,0.00033719-0.00012896i,0.00032268-0.00022828i,-0.0005288+9.4047e-05i
-2.8633e-05+0.0012898i,-0.00083098+0.00085294i,0.00011235+0.0013863i,0.00013834+0.0011692i,-0.0010711+0.00023841i,-0.0015559-0.00079685i,-0.00065844-0.0012592i,9.0963e-05-0.0007787i,-0.00018852-6.7431e-06i,-0.000312+0.0013615i,-0.00015849+0.0010945i,0.00051824+0.00020298i,0.0010782-0.00031115i,0.00072123-0.00057325i,-3.4747e-05-0.00096231i,0.0001268-0.0007319i,-0.00017454+0.0002579i,-0.0006697+0.00016394i,-0.00013522-9.714e-05i,0.00056664-6.8971e-06i,0.00043795+0.00063283i,0.00025235+0.0008448i,0.00069614+5.9336e-05i
0.0017493-0.001414i,0.0013186-0.0018658i,0.0024426-0.0024788i,0.0013187-0.002364i,-0.0010313-0.0010345i,-0.00076755+0.00076379i,0.00037196+0.0012416i,0.00016305+0.00068884i,-0.00086075+0.00032195i,-0.0012807+2.1356e-05i,-0.00087931+0.00018051i,-0.00041243+0.00050431i,-0.00013952-0.00025669i,0.0003279-0.0011896i,-0.00014395-0.0012067i,-0.00049842-0.0012664i,-0.00024502-0.0012635i,-0.00019938-0.0010527i,-3.8509e-05-0.00059107i,0.00043845-0.00012917i,2.2752e-05-0.00026551i,-0.0005539-0.0006385i,-0.00022782-0.00044422i
0.0017134-0.0012894i,0.0013214-0.00063972i,0.00010846-0.0018987i,-0.0008575-0.0025444i,-0.0014767-0.0014351i,-0.0018581-0.00039354i,-0.0011455-0.00054257i,-0.00063883-0.00093309i,-0.00051727-0.00062962i,-0.00041889-0.00013726i,0.00016333+0.00049834i,0.00035425+0.00055552i,8.467e-05+0.00013795i,5.6699e-05+0.00022112i,5.7893e-05-0.00051468i,-0.00026961-0.0011289i,-0.00044292-0.00058564i,-0.00010468+0.00029387i,-6.7589e-06+0.00081067i,-0.00030934+0.0005907i,-0.00032358+0.00042428i,-0.00035763+0.00089269i,6.1537e-05+0.0006612i
0.00093112-0.00073244i,0.00082306-0.0010453i,-0.0005897-0.00050779i,-0.0011753-1.7193e-05i,-0.00090904+3.4086e-05i,0.00033489-0.00025289i,0.0002751-0.0005194i,-0.0009448+0.00018369i,-0.00072505+0.00033018i,-0.00021838-0.00025859i,-0.00025837-0.00014318i,-0.00049366-0.00076472i,-0.00047709-0.0010523i,8.7096e-05-0.00011882i,8.4637e-05+0.00011394i,0.00019429-0.00020924i,0.00037341-0.00096577i,-0.0001185-0.0012298i,-0.00045536-1.8079e-05i,-0.00075162+0.00051361i,-0.00039751+8.1721e-05i,0.0006865-0.00021437i,0.00073419+4.2436e-05i
-0.0011267-0.00019025i,-0.00082739-8.4215e-05i,-0.0014214+4.0593e-05i,-0.0018781+0.00090618i,-0.0011634+0.0015248i,-0.00043314+0.00062079i,0.00030661+0.00017133i,0.00068093-0.00030674i,-0.00015372-0.00084568i,-0.00025894-0.0002035i,0.0006286+0.00048576i,0.00058212+0.00047195i,0.00093819-0.00021979i,0.0013091+0.00014582i,0.000845+0.00066394i,0.00047533+0.00043169i,0.00012228-0.00030733i,-0.00020599-0.00063248i,0.00016929-0.00019878i,0.00040849+0.00066707i,0.00034408+0.00074201i,0.00036691+0.00052171i,0.0002948+0.00089066i
0.0021358+0.0013352i,0.0033815+0.00088782i,0.0050432-7.3952e-05i,0.0038278-0.0020323i,0.0014811-0.0022375i,0.00032396-0.001115i,-0.0002621-0.00058248i,-5.0572e-06-0.00048811i,8.0442e-05-0.00091684i,0.00017332-0.0011405i,0.00064357-0.00042875i,0.00021445-7.79e-05i,-0.00054863-0.00054762i,-5.7654e-06-0.0011085i,0.00054377-0.0013554i,-1.4898e-05-0.0011798i,-0.00024271-0.0012576i,-0.00073024-0.0015862i,-0.0008783-0.000556i,-0.00028984+0.00064177i,-0.00033789+1.0156e-05i,-0.00027509+5.6795e-05i,0.00064209+0.00019897i
-0.00063922-0.0024683i,-0.00034196-0.0014333i,-9.2211e-05-0.00060654i,-0.0013544-0.00044782i,-0.0019868+0.00055653i,-0.0011556+0.0020332i,0.0002267+0.0016568i,2.4116e-05+0.00031516i,-0.0010557-0.00049804i,-0.00082814-0.00020491i,-0.00017523+0.00086997i,-0.00016084+0.00067428i,0.00027892-0.00011361i,0.00095608-1.5047e-05i,0.00027321+4.0656e-05i,-0.00051337-0.00061435i,-0.00092137-0.00065574i,-0.0012256-0.00061567i,-0.0011437-0.00097632i,-0.0010361-0.00065174i,-0.0011947+0.00025966i,-0.001511+0.0005275i,-0.00096548+0.00012584i
0.00073836-0.0005789i,0.0012053-0.0012696i,0.0014006-0.0018229i,0.00086058-0.0025459i,-0.0001332-0.0017904i,-0.00040017-0.00099175i,-0.00053866-0.00060285i,-0.00047759-0.00017236i,-0.00064938+0.0002279i,-0.00090879+0.00044422i,-9.6863e-05+0.00027351i,0.00062115-0.00024081i,-0.00023593-0.00021283i,-0.00053867+0.00022397i,0.00030445-0.00023209i,0.00075417-0.00076017i,6.6304e-05-0.00012983i,-9.084e-05-0.00012035i,0.00047037-0.00027726i,0.00047184-0.00030697i,0.00039301-0.00085361i,0.0005244-0.00079776i,0.000957-1.7335e-05i
-0.0013276-0.001524i,-0.0018311-0.0015617i,-0.002632-0.0014976i,-0.0024756-0.00085186i,-0.0021045+0.00061901i,-0.0011636+0.0016094i,-0.00037334+0.00094419i,-0.00083518-0.00010582i,-0.00081961-0.00046957i,-0.00010838-0.00042288i,0.00028666+8.6215e-05i,-9.7106e-05+0.00054186i,-0.00057878-0.00022884i,-0.00042634-0.0014364i,-0.00043214-0.001562i,-0.00043728-0.00091461i,-0.00014366-8.3757e-05i,-0.00011687+4.1025e-05i,5.046e-05-0.00038609i,-0.00024045-0.00046075i,-0.00040361-9.4575e-05i,-0.00048805+0.0002191i,-0.00064325+0.00027737i
0.00094193-0.00064702i,0.0012637-0.0012046i,0.0019467-0.0010931i,0.0012927-0.0011299i,0.00043933-0.0015885i,0.00044371-0.0011386i,0.00097589-3.132e-05i,0.00036672+0.00019035i,-0.00045414-0.0004928i,-0.00015764-0.0012943i,-0.00013658-0.0016421i,-0.00067453-0.001423i,-0.001036-0.00045987i,-0.0013944+0.00043088i,-0.0014638+0.00025843i,-0.00084793-0.00085551i,-0.00013399-0.0010338i,-3.4219e-05-0.00021217i,0.00036341-5.8803e-05i,0.00075883-0.00087059i,0.0005459-0.001413i,0.00024076-0.00056018i,-0.00014992+0.00011707i
0.0021628-2.7453e-05i,0.0019328-0.00015858i,0.0022706-0.0018032i,0.0014765-0.0033431i,-0.00065471-0.0035955i,-0.00056426-0.0021442i,6.7486e-05-0.00052851i,-0.00047918-0.00010937i,-0.0001637-0.00018509i,0.00034844-0.00093415i,-0.00018263-0.001423i,-0.00036181-0.00075826i,-0.00044109+0.00040736i,-0.00040005+0.00049851i,5.8753e-05-0.00011658i,0.00015384-0.00050411i,0.00014898-0.00098081i,0.00043101-0.0013023i,0.00053098-0.00040084i,0.00012698+0.00017422i,-0.00040336+0.00016234i,-0.0007475+0.00034866i,-0.00034369-7.5469e-05i
0.00099376-0.0019451i,0.0010197-0.0013373i,0.00014616-0.0018789i,-0.00088292-0.002413i,-0.0012405-0.0017163i,-0.00091229-0.00054324i,0.00018829+3.6984e-05i,0.00019515-0.00013616i,-0.00058411-0.0012481i,-0.0012613-0.0010797i,-0.0011733-0.00033722i,-0.0003451+3.296e-06i,0.00032435+0.0001068i,0.00045436-0.00023227i,0.00035132-0.0010856i,-0.00012984-0.0012384i,-0.00068679-0.00092222i,-0.00029574-0.00106i,-0.00017942-0.00036665i,-0.00078357+0.0006077i,-0.00096273+0.00056017i,-0.00060562-0.00024671i,-0.00018418+0.00025058i
-0.0010826-0.0020565i,-0.00054324-0.0029822i,-1.8478e-05-0.0031718i,-0.00052083-0.0018273i,-0.0020653+0.00030471i,-0.0018285+0.00061604i,-0.00013095+0.00063339i,-7.1447e-05+0.0010885i,-0.0005783+0.00093542i,-0.00089268+0.00040861i,-0.00042321+0.00037053i,0.00015226+0.00026944i,1.6955e-05+0.00043181i,-6.2473e-05+0.00037018i,-0.00066548-3.5741e-05i,-0.00088556-6.9822e-05i,-0.00027046+1.066e-05i,0.0001847-0.0002176i,0.00095544-0.00026732i,0.001158+6.3065e-05i,0.00081908-7.1133e-05i,0.00035299-0.00057888i,0.0001723-0.0004346i
-0.0021718+0.0020296i,-0.0019844+0.0020235i,-0.0013025+0.0022951i,-0.00021777+0.0026473i,0.00086634+0.0019438i,0.00076514-6.1058e-05i,0.00034152-0.00069347i,0.00051012-0.00080217i,4.8616e-05-7.4392e-05i,-0.0003258+0.0004425i,-0.00028089+0.00018117i,-6.2993e-05+0.00037449i,-0.00024163+0.00079392i,-0.00061761+0.00076735i,-0.00060448-4.7418e-05i,-0.00088959-0.00030117i,-0.00052414-3.6243e-05i,0.00012093-0.00012021i,0.00023857-0.00069244i,0.00034889-0.00011649i,-8.0294e-06+0.0012457i,-0.00050657+0.0012478i,-0.00061384+0.00091931i
0.0013238+0.00053358i,0.0017733+0.00027254i,0.0026002-0.0011373i,0.0017653-0.001647i,-0.00033911-0.00026984i,-0.00091591+0.00066762i,-5.9732e-05+0.0010031i,0.0003672+0.00091421i,-0.00023867+0.00015115i,-0.00069987-0.00028098i,-0.0002878-0.00085634i,0.00056448-0.0012752i,0.00091297-0.00058436i,-8.5473e-05+0.00069326i,-0.00037017+0.0013141i,-1.2051e-06+0.00049177i,-0.00044551-0.00092962i,-0.00049012-0.00033755i,-0.00013896+0.00051976i,0.00034867+0.00031801i,0.0011688+0.0004068i,0.0011171+0.00055889i,-0.00017499+0.00029482i
-0.0015498-0.00092795i,-0.001008-0.0010632i,-0.0017707-0.00093128i,-0.0010621-0.00051906i,-0.00023608-0.00025806i,-0.00022097+0.00041635i,0.00055816+0.00081999i,0.00078441-0.00037434i,0.00033513-0.00038106i,0.00013179+0.00064515i,-0.00031209+0.00015324i,-0.0004488-0.00058138i,-0.00080072+0.00013355i,-0.001117+0.00034913i,7.7841e-05+0.00012673i,0.0010402-6.521e-05i,0.00070546-0.0004818i,-0.00019881-0.0012412i,-0.00014867-0.0009527i,0.00032829+0.0004105i,0.00012109+0.00052386i,0.00059827-3.9383e-06i,0.0011888+0.00023466i
0.00036946+0.0017305i,0.00028349+0.0020315i,-0.00028337+0.0012776i,0.00017151+0.00043734i,0.00036153-0.00015765i,-3.4817e-05-0.00074735i,-0.00051593-0.00079212i,-0.00093103-0.00068977i,-0.00024364-0.00029818i,9.2307e-05+0.00081451i,-0.00092586+0.00094571i,-0.0015126+0.00089583i,-0.00041068+0.0012034i,0.0010816+0.001193i,0.0010025+0.0010423i,0.00044347-6.5815e-06i,-0.0001517-0.00098342i,-0.00043669-0.00079628i,-0.00047014-0.00051426i,-0.00055058-0.00026627i,1.0225e-05-0.00046734i,5.3143e-05-0.00064829i,-0.00043825+0.00014111i
-0.00010768-0.0023398i,-0.00067794-0.001659i,-0.00025291-0.0016881i,-0.0011791-0.00078968i,-0.0020538+5.8488e-05i,-0.0023438+6.5078e-05i,-0.0018025+0.00025558i,-0.00099195+0.00022813i,-0.00013718-0.0014321i,0.00051127-0.0022387i,0.0001477-0.00070411i,-0.00047799+0.00085419i,-0.00022153+0.00077603i,0.00036645-3.9661e-05i,0.00057073+6.7129e-05i,0.00059041+0.00039623i,0.00070148+0.00025376i,0.00079094-8.181e-05i,0.00071021-0.00042926i,0.00027431-0.00042581i,-0.00035935+0.00037199i,-0.0008364+0.00052257i,-0.00082095-8.1617e-05i
0.00051678-0.0011882i,-0.00067549-0.0015784i,-0.002018-0.0013885i,-0.0015322-0.0008296i,-0.00068031-1.4272e-05i,-4.9944e-05+0.00054139i,8.597e-06-0.00070844i,-0.00016714-0.00088692i,-0.00073301+0.0004561i,-0.00096339+0.00062005i,-5.7446e-05+0.00025101i,0.0009113+0.00063631i,0.00090467+0.0012782i,0.0011607+0.0011063i,0.0014043+1.1467e-05i,0.00062123-0.00058287i,-0.00013224-0.00042053i,-0.00052684-6.7183e-05i,-0.00012825-9.3236e-05i,0.00029371-0.00056716i,-0.00059117-3.2819e-07i,-0.0011652+0.00014706i,-0.00072622-0.00046329i
0.001415-0.00056855i,0.0013253-0.00032114i,0.0010613-7.4319e-05i,1.7993e-05+1.6507e-05i,-0.00050884-5.5055e-05i,-0.00021545-0.00044665i,-1.2203e-05-0.0004657i,-0.00028536-0.00036714i,-0.00088192+8.4698e-05i,-0.00049615+0.00023683i,-1.2695e-05-4.884e-05i,0.0005731-0.00064257i,0.00083672-0.00019465i,-0.00010347+0.00015437i,-0.0004442+0.00021726i,7.0884e-05+0.00019245i,-7.1512e-06-0.00047109i,-2.8725e-05-0.00071883i,0.0001656-0.00041707i,0.00053311-0.00019142i,0.00023889-0.00016497i,-0.00036458+0.0003091i,-0.00056938+0.0012239i
0.00050102-0.00066392i,0.00069747-0.00033992i,-8.7574e-05-0.001383i,-0.00066731-0.0024582i,-0.00057556-0.0018197i,-0.00040779+0.00011062i,0.00034349+0.0013932i,6.1109e-05+0.00072447i,-0.00089068+0.00042421i,-0.00055182+0.00073944i,-0.00015436+0.00028084i,-0.00069285-0.00017426i,-0.0013571-0.00072361i,-0.0006903-0.0010654i,0.00035291-0.00032013i,0.0002915+0.0002486i,2.7995e-05+0.00034661i,0.00010439+0.00056141i,0.00055436-0.00030778i,0.00060981-0.000814i,-2.4148e-05-0.00010084i,0.00042534-0.00060668i,0.00051909-0.0011288i
-0.002035-0.00088366i,-0.002224-0.0013659i,-0.0028384-0.0020889i,-0.0019985-0.00066141i,-0.00042743+0.0013823i,0.0008779+0.0011747i,0.0012551+0.00044516i,0.00055415+0.00040414i,-0.00026689+0.00020422i,-0.00040138+0.00046228i,0.00012019+0.0010459i,1.0768e-05+0.00039154i,-0.0006928-3.6077e-05i,-0.00096052+0.00076167i,-0.00080622+0.00065296i,-0.00040329-0.00053247i,-0.00035331-0.00079728i,-0.00027181-0.00084043i,-0.00014691-0.00083746i,0.00028503-0.00026479i,0.00056663-0.00013584i,0.00030513-0.00029548i,0.00032427-0.00026497i
-8.0792e-05-0.0012164i,7.2022e-05-0.0011245i,-0.00087869-0.0013163i,-0.0014133-0.0013725i,-0.0017571-0.0001635i,-0.0011799+0.0014562i,-0.00044983+0.00086813i,-0.00010643-0.00084177i,0.00041711-0.0017127i,-0.00010382-0.00094557i,0.00020397+0.00033245i,0.00065382+0.00082337i,0.00049408+0.001033i,0.00067196+0.00076562i,0.00051691-0.0004432i,-0.00036499-0.0010563i,-0.00071597-0.0015254i,-0.00022062-0.0014447i,-0.00044041-0.00086458i,-0.00015193+8.0669e-05i,0.00012488+0.00052973i,-0.00041451+0.0003367i,-0.00050027+0.0003449i
-0.00013204-0.0011286i,0.00097902-0.0006186i,0.0013807-0.00045402i,-0.0003904-0.0002311i,-0.0011902-0.00044103i,-0.00059126+0.00048458i,0.0001064+0.0005471i,0.00073659-0.00095797i,0.00015262-0.0013405i,-7.2447e-06-0.0013796i,0.00037542-0.00067461i,0.0005098+0.00035919i,0.00045104+0.00098484i,0.00024739+0.0010421i,-0.00018406+0.00051937i,-0.00020075-0.0003363i,-0.00042443-0.00055297i,-0.00020122+0.00015322i,-2.4443e-06-1.3488e-07i,-0.0004635-0.00033976i,-0.0011492+0.00023035i,-0.00095233+0.00042115i,2.659e-05+0.00021028i
0.00095996+0.0011307i,0.00063517+0.00082862i,0.0023135+0.00078012i,0.0025048+8.1437e-05i,0.0022615-0.00054251i,0.0023117-0.00035384i,0.0013174-0.0006914i,0.00063087-0.0016996i,-0.00024825-0.0015184i,-0.0001488-0.0010012i,0.00035473-0.00017724i,0.00078087-4.4697e-05i,0.0015749-0.00026414i,0.0015565-0.00058132i,0.00058572-0.00035334i,-0.00012639-0.000215i,-0.00014932-0.00066825i,0.00035432-0.0014307i,0.00032732-0.0019314i,-0.00014535-0.0015813i,0.00025918-0.00047213i,0.0006416+6.138e-05i,-2.1638e-05-5.8004e-05i
0.0035757+0.0011253i,0.002468+6.4563e-05i,0.002456-0.0014745i,0.0018542-0.0021593i,0.00033197-0.0018634i,-0.00089729-0.00065096i,-0.0015394+0.00078762i,-0.0015659+0.00099493i,-0.0016879+0.00092617i,-0.00058181-0.00031171i,0.0007271-0.0013288i,0.00075096-0.00070272i,0.00053392-0.00017364i,5.1488e-06-0.00046471i,-0.00075395-0.00094179i,-0.00070711-0.00065705i,5.6552e-05+0.00052328i,0.0005287+0.00055664i,0.0005842-0.00025855i,0.00040622-0.00072647i,8.8649e-05-0.00054429i,0.00030993-8.6734e-05i,0.00029045-8.9561e-05i
-0.00027388+0.00089403i,0.00013131-9.0733e-05i,0.00068348-0.0003067i,0.00056805-0.00039153i,-7.259e-05-6.0964e-05i,-0.00078437+0.00071277i,-0.00059453+0.0002078i,0.00032729+6.415e-05i,0.00062969+0.00051855i,2.7738e-05+0.00065008i,-0.00043323+0.00040201i,-0.00057998+7.1111e-05i,-0.00037207-0.00029346i,-0.0005295-0.00019651i,-0.00086122-0.00022448i,-0.00056677-0.0010537i,-6.1427e-05-0.0014494i,0.00019353-0.001031i,0.00071725-0.00020981i,0.0005238+0.00037431i,0.00020963+0.0007248i,7.8066e-05+0.00041936i,-0.00051634+4.4552e-05i
-0.0010041+0.00069747i,-0.0011619+0.00050823i,-0.00032714+2.8903e-05i,-0.00043088-0.00039121i,-0.00057602-5.8708e-06i,0.00027639+0.00081539i,0.0011429+0.00071116i,8.6499e-05-0.00037287i,-0.00074453-0.0004772i,-0.00014946+5.3898e-05i,4.4209e-05+1.1284e-05i,-0.00074438-0.00033178i,-0.0012448-4.9345e-05i,-0.00079184+0.00066363i,2.5174e-05+0.00051306i,2.3628e-05-0.0001421i,-0.00028815-0.00054353i,0.00019725-0.0002652i,0.00077351-8.5654e-05i,0.00088481-0.000346i,0.00082256-0.00060571i,0.0003557-3.4191e-05i,-0.00014002+0.00057376i
-0.00083534-0.00091155i,0.00093849-0.00065851i,-0.00061815-0.00060923i,-0.0013119+0.00055063i,-0.00022922+0.0013038i,2.8722e-05+0.00061547i,-0.00011353-0.00057549i,-6.6267e-05-0.00011247i,-1.1423e-05+0.00055566i,-0.00027023+0.00047295i,-0.00074071+6.371e-05i,-0.00016422-0.00024258i,0.00044865+4.5091e-05i,-0.00017945+6.0151e-06i,-0.0011156-0.00076799i,-0.00032479-0.00098511i,0.0005139-0.00073541i,0.00032373-0.00017133i,-9.5019e-05+0.00022528i,-0.00045446-0.00017917i,-0.00022768-0.00024943i,0.00046562-4.2101e-05i,0.00079325-7.0679e-05i
0.0019958-0.0017662i,0.0018062-0.0011924i,0.00042204+0.000154i,-0.0011393-5.4755e-05i,-0.0015955+0.00019164i,-0.0012616+0.0012274i,-0.00041706+0.0010563i,-0.00020256+0.00088661i,-0.00095575+0.00082443i,-0.0011892+0.00092513i,-0.00038231+0.000398i,0.00072353+0.00045171i,0.00064976+0.0011459i,-0.00039143+0.00065069i,-0.00035789-0.00044812i,0.00013334-0.00073978i,0.00022849-0.00029283i,0.0001416-4.2483e-05i,-0.00010891-0.00077269i,-0.00051934-0.00074811i,-0.00028863-0.0001397i,-2.9028e-05-9.4468e-05i,0.0001471+0.00012443i
-0.0019964+0.00043687i,-0.0013044-0.00048861i,-0.00031485+0.00031783i,-0.00030017-0.00043142i,-0.00014929-0.0010945i,-0.00015704-7.1473e-05i,-0.00070344+0.00066601i,-0.0012777+6.4369e-05i,-0.0021209-0.00023566i,-0.00094903+0.00041525i,0.00066108+0.0010669i,0.00045597+0.00090213i,0.00049944+0.00061629i,0.00040826+5.9617e-05i,-0.00032053-0.0004417i,-0.00059048-0.00055552i,-0.00018204-0.00059804i,0.00025355-0.00029507i,1.7431e-05+0.00098281i,5.5513e-05+0.0014113i,-0.00011761+0.00040438i,-0.00044016-0.00035204i,-0.00036475-0.00021943i
-0.0018384-0.0020766i,-0.0012087-0.0011379i,-0.0024771-0.0010442i,-0.0033838-0.00013023i,-0.0026907+0.0011009i,-0.0015253+0.0013795i,-0.0013567+0.0013727i,-0.001081+0.00021942i,-0.00093744-0.00095212i,-0.0007972-0.00043332i,-0.00048848-2.8298e-05i,-0.00081679-3.6724e-05i,-0.00097366+0.00010692i,-0.00079595+0.00011219i,-0.00027483+0.00036645i,-0.00023786+0.00084551i,-0.00041188+0.00060369i,0.00039162+1.5991e-05i,0.0010222+0.00037934i,0.00056768-0.00010246i,-0.00023012-0.00080938i,-0.0013106-0.00051324i,-0.0011247-0.00062175i
