-0.0020949-0.0012244i,-8.0065e-05-0.000701i,-0.00054083+2.6007e-05i,-0.00098114+0.00032781i,-8.4085e-05+0.00050559i,0.0010177+0.00017057i,0.0014264-0.00019436i,0.00089468+0.00020551i,0.00065806+0.00075735i,0.00098494+0.00020171i,0.00060303+0.00042604i,-1.351e-05+0.00075765i,-0.00050506+0.00072914i,-0.00068667+0.00061675i,-0.00044779-2.8629e-05i,0.00022247-0.00084456i,0.00052812-0.0010532i,-0.00021066-4.9546e-05i,-0.00024359+0.00058394i,0.00024207+0.00045453i,0.0003596+0.00051279i,-6.4878e-05+0.00055804i,-0.00031456+0.00018777i
-0.0021745-0.00093389i,-0.001503-0.00073319i,-0.00094841+0.00062987i,0.00016358+0.0018369i,0.00025761+0.0013129i,0.00098545+0.00049942i,0.0019062-0.00047448i,0.0027442-0.001842i,0.0026202-0.0022305i,0.0014007-0.001068i,-0.00010502+0.00011022i,-0.0013525+0.00023096i,-0.0013713+0.00019201i,-0.00067787+0.00048937i,3.07e-05+0.00084046i,0.00064676+0.00056963i,0.00046233-8.1618e-05i,-8.4396e-06-0.00014715i,-0.00013527+2.7182e-05i,-0.00025179+0.00032855i,0.00013897+0.00016141i,0.00071998-0.00069483i,0.00043545-0.00033578i
-0.0012665-0.00041031i,-0.0012054-9.7991e-05i,-0.0010181+0.00059566i,-0.00013811+0.001081i,0.0008677+0.0012095i,0.0011545+0.00044024i,0.0017096-0.00058821i,0.0020067-0.0016902i,0.0012121-0.0023915i,0.00038894-0.0024803i,0.00070456-0.001331i,0.00054517+0.00093595i,0.00034347+0.0014978i,0.00079544+0.0010246i,0.00056073+2.2422e-05i,-7.4706e-05-0.00056678i,0.00041765-0.00053752i,0.00087684-0.00087455i,0.00081377-0.00091874i,0.00085627-0.00021198i,0.0008379+0.00032794i,0.00021882-0.00039041i,-0.0002989-0.0013638i
-0.00039684+4.0322e-05i,-0.0013324+0.00032055i,-0.0014593+0.00069976i,-0.00032701+0.00060458i,0.00081407+0.00011816i,0.00062189-0.00086403i,1.4411e-05-0.0014946i,-0.00064684-0.0024231i,-0.00079611-0.0026161i,-0.00046345-0.0019776i,5.8272e-05-0.00098291i,0.00026011+0.00026237i,-0.00035685+0.00032247i,-0.00039101+0.00011626i,0.00044897+0.00031895i,0.00077524-0.00025548i,0.00067555-0.00122i,0.00086063-0.00082137i,0.0011104-0.00020674i,0.00066546-1.1474e-05i,0.00026647-0.00039642i,0.00047411-0.0010078i,0.0004903-0.00077618i
-0.00099845-0.0010655i,-0.0017501+0.00013389i,-0.0012181+0.00062065i,-0.00031785+0.00089255i,-7.3091e-05+0.0012062i,0.00037497+0.00056879i,0.00022593-0.0012195i,-0.0013697-0.0027139i,-0.0021586-0.0034325i,-0.0019725-0.0030591i,-0.0012344-0.0019018i,-0.00038377-0.00044109i,-1.8978e-05+0.00031259i,0.00047412+0.00012547i,0.0008517-0.0002528i,0.00094108-0.00039576i,0.00093936-0.00039713i,0.00061815-0.00045134i,0.00050079-0.00051011i,0.00012795+5.9773e-05i,-0.00035636+0.00070597i,8.2497e-06+0.00046956i,-3.819e-05-3.3494e-05i
-0.0023439-0.00097196i,-0.0021543+0.00020488i,-0.0011505+0.001451i,-3.5561e-05+0.0013309i,0.0018551+0.0015611i,0.0019647+0.0014489i,-0.00054477+0.00020172i,-0.0032071-0.00034442i,-0.0034909-4.5842e-05i,-0.0021199+0.0010354i,-0.00097874+0.0018833i,-0.00051828+0.0012396i,0.00017511+0.00025878i,0.00038335+2.1407e-05i,0.00034607-0.00020962i,0.00024378-0.00041112i,-3.4393e-05-0.00019387i,2.1685e-05-2.7279e-05i,0.00046962-0.00084489i,0.00071514-0.001277i,0.00055648-0.00018805i,0.00099232+0.0007501i,0.00072632+0.00095938i
-0.00059013+0.00094536i,-0.00027126+0.0016115i,1.97e-06+0.0027333i,9.8534e-05+0.002262i,0.00086323+0.00099029i,0.001346+0.00014866i,-0.00052221+3.9155e-05i,-0.0026755+0.0018153i,-0.003248+0.0028958i,-0.0020604+0.0017312i,-0.00090869+0.00030095i,-0.00065463-0.00032024i,-0.00012034-6.0114e-05i,0.00034141-0.00061069i,0.00069649-0.00065718i,0.00075846-2.339e-05i,0.00099835+0.00081499i,0.00091271+0.00048974i,0.00025343-3.2409e-05i,-0.00011647+0.00052251i,0.00010342+0.00057938i,0.00073816+0.00095967i,0.00049069+0.00065651i
-0.00089905-1.4421e-05i,-0.0012204+0.00051312i,-0.00060467+0.0014838i,0.00010517+0.0015547i,0.0015033+0.00039973i,0.0018295-0.00082674i,0.00022741+0.00043324i,-0.0012826+0.0030027i,-0.0012252+0.0032905i,-0.00079252+0.0019901i,-0.0011388+0.00083386i,-0.00047461+0.00028814i,0.00086113+0.0004409i,0.00044645+0.00042428i,1.3636e-05+0.00028626i,0.00044139+3.9335e-05i,0.00054804+7.5632e-05i,0.00057377+0.00055221i,0.0002713+0.00021157i,0.00011839-0.00027883i,0.00045941+0.00047316i,-2.5247e-06+0.0010197i,-1.8321e-06+0.00067102i
-1.2503e-05+0.00038152i,0.00040918+8.6401e-05i,0.0014954+0.00088474i,0.0022167+0.0015173i,0.0024439+0.0010538i,0.0019942-0.00021187i,0.001523+0.00090025i,0.0014136+0.0031396i,0.00077632+0.0033421i,0.00012342+0.0017325i,-3.0395e-05+0.00054303i,0.00022998+0.00070113i,0.00056148+0.00058578i,0.0003981+0.00052519i,0.00018212+0.0007693i,0.0011019+0.00035957i,0.0011935+9.228e-05i,0.00074075+0.00014395i,0.00046979-6.4038e-05i,0.00055936+0.0002636i,0.00069691+0.0012129i,-4.3191e-05+0.00073323i,-5.9327e-05-9.606e-05i
-0.0014673-0.0001195i,-0.00087953-0.00038128i,0.00052641+0.00023515i,0.001966+0.00049628i,0.0025222+4.0833e-05i,0.0019289-0.0004326i,0.0015046-2.1585e-05i,0.0020255+0.0014152i,0.0023163+0.0025748i,0.0021092+0.0025857i,0.0011039+0.0020748i,0.00034595+0.00080653i,0.00012109+0.00033655i,-0.00015199+0.001055i,0.00026484+0.00090548i,0.00049182+0.00040936i,0.00033855+0.00033283i,0.0003527-9.6272e-06i,0.00020836+0.00014127i,0.00020741+0.0005005i,5.6678e-05+0.00032043i,-9.1465e-05-0.00048984i,-0.00015176-0.0011145i
-0.00028004+5.5825e-05i,-0.0011238-5.3665e-06i,0.00011792-0.00046615i,0.001774-0.00019048i,0.0019436-0.00029361i,0.00058287-0.0010182i,0.0010435-0.00062362i,0.0031426+0.00036412i,0.0044435+0.00073723i,0.0034877+0.00067842i,0.0014345+0.0010525i,0.00038957+0.0015383i,0.00027566+0.00070119i,0.00016246+0.00089628i,0.00091475+0.00075164i,0.0022968+0.00018794i,0.002202+0.00012725i,0.0011349-0.00035173i,0.000828+0.00049053i,0.00089607+0.0010735i,0.00089635+0.00070616i,0.00033957+0.00019998i,-0.00052239-0.00042854i
-0.0017257-0.00010626i,-0.0022504-0.00082693i,-0.0016052-0.0012736i,-0.00088776-0.0012984i,-0.00073312-0.0010304i,-5.5706e-05-0.0011274i,0.00083127-0.0016042i,0.0016738-0.001417i,0.0016929-0.001418i,0.001088-0.0012936i,0.0011664-0.00077901i,0.0011163-0.0012681i,0.00061165-0.0011019i,-0.00026411-0.00054793i,-0.00044423-0.00076351i,0.00057201-0.00091952i,0.00030841-0.00089239i,-0.00045951-0.00029585i,-0.00041223+0.00048755i,-0.00021966+0.00054743i,-0.00022527-9.8188e-05i,-0.00020272-0.00024064i,2.6267e-05+0.00065285i
0.00061808-0.00064764i,-0.0014612-0.00022074i,-0.0029766-0.00023583i,-0.0025405-0.000169i,-0.0017718-0.00034428i,-0.00062687-0.0010531i,0.00056293-0.0014399i,0.0005996-0.0018778i,0.00035497-0.0025574i,5.3824e-05-0.0024564i,-0.00020485-0.00062748i,0.00017596+0.0010328i,-1.0313e-06+0.0010036i,-0.00063153+0.00064684i,-0.00032443+9.2972e-05i,4.7813e-05-0.00056764i,0.00027316-0.00039269i,0.00042913+4.2508e-05i,0.00040928+0.00023846i,0.00065327-0.00021065i,0.00084063-0.00060771i,0.00011809-0.000264i,-0.00059778-0.00035523i
-0.0026311-0.00094933i,-0.0030465+0.00048086i,-0.0030383+0.0023576i,-0.0026899+0.0025107i,-0.0009551+0.0022866i,0.00013958+0.0010512i,-0.00067895-0.0012051i,-0.001056-0.0025071i,-0.00060787-0.0025769i,-0.00094659-0.0022258i,-0.001145-0.0018459i,-0.00092145-0.0010662i,-0.001048+0.00010874i,-0.00084228+0.00012443i,-0.00037088-0.00072482i,-0.00084178-0.00091997i,-0.0010157-0.00053943i,0.00010089-0.00013995i,2.6969e-05+9.144e-05i,0.00017218-0.00013209i,0.00063924+0.00015152i,0.00033936+0.00062887i,0.00014053+0.00022506i
-0.0019996-0.0012225i,-0.0022055+0.00058082i,-0.001166+0.0035168i,7.6591e-05+0.0033931i,0.001045+0.0024857i,0.00095252+0.0017327i,-0.00064477+0.00021778i,-0.0028389-0.0011348i,-0.0035365-0.0016731i,-0.0026482-0.0011641i,-0.0017216-0.0001284i,-0.0003302+1.9027e-05i,0.00053369+0.00017313i,3.3759e-05-0.00050249i,-0.00032124-0.00071225i,0.00032437+6.2663e-05i,0.00091293+0.00033507i,0.00064506+3.005e-05i,0.00075935-0.00056641i,0.00061141-0.00059447i,-0.00017167-0.00015648i,-8.6462e-05-9.3319e-05i,0.00064112+0.00026841i
-0.00075933+0.00094343i,0.00016609+0.0019148i,0.0010391+0.003054i,0.00073667+0.0037602i,0.0010064+0.0037056i,0.00095084+0.0029842i,-0.0010775+0.0012862i,-0.0027844+0.00061613i,-0.0027812+0.00024441i,-0.0019809-0.00030664i,-0.0013432-0.00018291i,-0.00072395-0.00034688i,0.00070556+0.00040976i,0.0014265+0.0011809i,2.5725e-05+0.00080572i,-0.0008394+0.0001946i,-0.0004209-1.1275e-05i,0.00031351+0.00067202i,0.00053125-5.0249e-05i,-5.4389e-05-0.0012001i,0.00012261-0.00080298i,0.00032432-0.00042732i,0.00051131-0.00094587i
0.00098355-0.00085097i,0.0013639+0.0011813i,0.0019386+0.0024263i,0.0027075+0.0031328i,0.0030238+0.0027709i,0.0025844+0.0024054i,0.0012764+0.002223i,-0.0001588+0.0017758i,-0.0015684+0.001302i,-0.0019772+0.0015415i,-0.0019569+0.0015445i,-0.0017846+0.0011845i,-0.00056776+0.00099167i,-0.00018438+0.00049662i,6.7093e-05+0.00019184i,0.00014387+0.00042193i,0.00028792+0.00070105i,0.00086156-0.00020119i,0.00097913-0.000845i,0.0010829-0.00010823i,0.00013026+0.0010105i,-0.00029402+0.0010461i,0.00011487+0.00012774i
-0.0016+8.8465e-05i,-0.00029428-0.0011211i,0.0018473-0.00017966i,0.0037786+0.001265i,0.0046061+0.0024401i,0.0037351+0.0015697i,0.0020829+0.0010988i,0.0006866+0.0028573i,-1.9105e-05+0.0043663i,-0.00028041+0.0040561i,-0.00028403+0.0019323i,-0.00028974+0.00036675i,-9.7302e-05+9.7788e-05i,-7.6682e-05-0.0002157i,-0.00046246-0.0005154i,-0.00084627-0.00046762i,-0.00013775-0.0002979i,0.00016045-0.00010558i,-0.00016514-6.6214e-05i,0.00074473+0.00038589i,0.001632+0.00076008i,0.0018494+0.00060859i,0.0012263+0.00017374i
-0.0016007-0.001595i,-0.0016752-0.001941i,-0.00043605-0.0019338i,0.0014284-0.00076875i,0.0025321+0.00034836i,0.0026238-0.0005089i,0.0016349+5.8626e-05i,0.00099554+0.0027975i,0.00075147+0.0028776i,0.00012885+0.0012065i,-0.00058728+0.0011565i,-0.00046545+0.0016291i,-6.3948e-05+0.0005378i,-0.00032945-0.000278i,-2.8722e-05-0.00017525i,0.00033493-0.00060251i,0.00031946-0.00085701i,-0.0001362-0.0005437i,-0.00021345+0.00017654i,0.00039671+0.00052178i,0.0012177-1.3313e-05i,0.0012005-0.00041987i,0.00043031-0.0004805i
-0.0023407+0.00029213i,-0.0040826-0.00062649i,-0.0033841-0.0018009i,-0.0013382-0.0025357i,0.00082167-0.00222i,0.0014168-0.0022593i,0.00099057-0.0012357i,0.0009199+0.0004399i,0.0016861+0.0010353i,0.0021926+0.0011445i,0.0016789+0.0017072i,0.00098898+0.0010133i,0.00054201-0.00034934i,-0.00021856-0.00095243i,-0.00017955-0.00092841i,0.00022653-0.00083875i,-0.00017237-0.00060887i,-0.00071276-0.00088939i,-0.00066154-0.0010243i,-0.00050185-0.00047217i,-0.00050905-0.00029144i,-0.00059076-0.00018233i,-0.00039261+0.0001457i
-0.0012391-0.00055222i,-0.0019158+0.0008992i,-0.0029354+0.0011064i,-0.0026193-0.00035634i,-0.00084034-0.00070035i,0.00054793-0.00060832i,0.00087754-0.0012577i,0.00073507-0.0010283i,0.0014987+0.00011829i,0.0011219+0.00028343i,9.1372e-05+4.8867e-05i,0.00045876-0.00014212i,0.00055591-0.00066353i,-0.00014836-0.00018596i,-0.00036309+0.00073939i,0.00034939+0.00073902i,0.00031793+0.00031588i,-0.00037452+0.00052705i,-0.00029714+0.00073903i,0.00021235-4.9946e-05i,0.00040782-0.00068629i,-4.0109e-05-0.00020493i,-0.00042878-7.832e-05i
-0.0024005+0.0012369i,-0.0042159+0.0013322i,-0.0043346+0.0024431i,-0.0034009+0.0014966i,-0.0004758-0.00093868i,0.00088545-0.003136i,-0.0007965-0.0032385i,-0.0010771-0.0023473i,9.3934e-05-0.001358i,0.00088482-0.00079758i,0.00060064-0.0003953i,-4.0467e-05-0.00057811i,-0.00078652-0.00084378i,-0.00088594-0.00045907i,-0.00050372+0.00029336i,-0.0010978+0.00061035i,-0.0012236+0.00063739i,-0.0010584+0.00033927i,-0.0011493-0.00046469i,-0.00057385-0.00050616i,-0.00016925-0.0010578i,-3.9174e-05-0.0017422i,0.00043278-0.0013033i
-0.00013401+0.00015527i,0.0001994+0.002443i,-0.0015184+0.0038459i,-0.0030653+0.0036241i,-0.0021355+0.0022984i,-0.00073993+0.0011449i,0.00015951+0.00028363i,0.00027918-0.0014681i,-0.00025867-0.0023741i,-0.00013791-0.0015134i,0.00049767-0.00026937i,0.00068017+0.00079563i,2.1307e-05+0.00061562i,-0.00012096-9.7363e-05i,0.00027416-0.00021449i,0.00091022-0.00049908i,0.0010308-0.00078795i,0.00028982+0.00035772i,-5.4483e-05+0.0011969i,0.00017885+0.00038691i,0.00028595-0.00011651i,-3.7416e-05-0.00017939i,-0.00076743-0.0003065i
-0.00027148-0.001254i,-0.00068577+0.001182i,-0.00017035+0.0034296i,-0.0003863+0.0048028i,-0.00048673+0.003689i,3.7598e-05+0.0012916i,-0.00023689+0.00017253i,-0.00074506-0.00039938i,-0.001123-0.0013408i,-0.0010641-0.0007222i,-0.00095235+4.8159e-05i,-0.00051424-0.00078575i,-6.5743e-05-0.00040836i,-6.7161e-05+0.00070024i,-0.00012506+0.0012184i,0.00040227+0.001495i,0.001189+0.0008438i,0.00072442-8.3238e-05i,0.00063618-0.00064713i,0.0011111-0.00033014i,0.00041861+0.00057809i,-0.00083206+0.0014156i,-0.0013483+0.0013254i
-0.00038995-0.0025303i,0.00055121-0.00067627i,0.0022898+0.0024659i,0.002539+0.004518i,0.0022505+0.0039462i,0.0021157+0.0021234i,0.00077172+0.00025133i,-0.00095505-0.00060728i,-0.00097272-0.00028641i,-0.00065001+0.00019486i,-0.0004555-0.00026905i,0.00020713-0.00025108i,0.00046003+0.00013265i,0.00050239+0.00031474i,0.00015142-6.986e-05i,0.00031361-0.00024747i,0.0011031+1.908e-05i,0.00094075-9.6033e-05i,0.00058881+0.00031983i,5.762e-05+0.001397i,-0.00051456+0.0013153i,-0.0004749+0.00036616i,-0.00037541+0.00045099i
-0.0005506-0.00047658i,0.00057952-0.00062965i,0.0032516+0.00025955i,0.0044261+0.0014157i,0.003163+0.0015203i,0.0017017+0.00056385i,0.00052306-0.00024261i,3.377e-05-0.00014464i,-2.5089e-05+0.0011427i,-7.4126e-05+0.0010428i,-0.00045045+0.00033276i,-0.00087006+0.00071802i,-0.00038847+0.0011419i,0.00059251+0.0010142i,0.0014259+0.00069869i,0.00232+0.00024429i,0.0020959-0.00037342i,0.001239-0.00070607i,0.0013507-0.00036157i,0.0014015+0.00015572i,0.0011754+0.00021572i,0.00084014+0.00016813i,-0.00014945-0.00012916i
-4.0592e-05-0.0026918i,-0.000227-0.0030644i,0.0015855-0.0031832i,0.0038481-0.0017394i,0.0033939+0.00061656i,0.0021996+0.0011292i,0.0012738+0.00059916i,0.00032167+0.00063286i,0.00029237+0.000764i,0.00069591-7.1988e-05i,0.00067848-0.00058861i,0.00023514-4.9779e-05i,0.0003414-0.00017177i,0.0010869-0.00079543i,0.0012209-0.00038062i,0.0010976+0.00056925i,0.0008124+0.00039873i,0.00072413-0.00063824i,-5.0543e-05-0.00080688i,-0.00035402-0.00035878i,-0.0002626+0.00032532i,0.00014253+0.00051484i,0.00039346+0.00015296i
-0.0020813+0.00029136i,-0.0021547-0.0011133i,-0.0016047-0.0030928i,0.00035711-0.0037118i,0.002226-0.0027425i,0.0025851-0.0022126i,0.0017631-0.0018555i,0.0015317-0.00083712i,0.0019531+0.00063902i,0.001418+0.00085684i,0.00035644+4.7511e-05i,7.9834e-05+0.00013964i,1.8763e-05+0.0005235i,0.0005485+0.00022873i,0.00078306+0.00019343i,-0.00023392+0.00040308i,-0.00072962-0.00014967i,0.0001785-0.00088363i,0.00061676-0.00050973i,0.00046652-0.0004185i,0.0003932-0.00052395i,0.00049966-0.00034831i,0.00057119+0.00042627i
-0.0031469+1.2555e-06i,-0.0051179-0.00030064i,-0.0061286-0.0011026i,-0.0038365-0.0020471i,-0.0001928-0.0013143i,0.00085955-0.0010989i,0.00028601-0.0011096i,0.00048246-0.00065789i,0.0015072-0.0009276i,0.00068529-0.0011599i,-0.00040678-0.00080198i,0.0002772-0.00053784i,0.00024249-0.0010447i,-0.00048795-0.00055364i,-0.00046346+3.5319e-05i,-0.00012555-0.00085336i,0.00011319-0.00065252i,0.00046656-4.7292e-05i,0.00090515-0.00025386i,0.0015312-0.00020707i,0.0020916+0.00015314i,0.0014628+3.5434e-05i,0.00024298+0.00023392i
-0.0013144+0.0012057i,-0.0033889+0.0021022i,-0.005284+0.0030308i,-0.0050726+0.001589i,-0.0019766+0.00011707i,-0.00066917-1.5663e-05i,-0.0016131-0.00087079i,-0.0011962-0.0013801i,0.00016349-0.00099991i,0.00028639-0.00031504i,-0.00036574+0.00024807i,-0.00026386+0.00068542i,3.2736e-05+0.00038516i,0.00015036+0.00030823i,0.00043118+0.00013388i,0.00072959-0.00059866i,0.00044787-7.2679e-05i,0.00016652+0.00083814i,0.00044427+0.00069953i,0.00073289-0.00010358i,-4.1031e-05-0.0010235i,-0.0013096-0.0019011i,-0.0014314-0.0016016i
-0.0021914+0.00215i,-0.0035516+0.0034096i,-0.0045858+0.0057045i,-0.0042828+0.0061138i,-0.00237+0.0019748i,-0.00061753-0.0014327i,-0.00078494-0.0012365i,-0.00082017-0.00010914i,-0.00061613-0.00019016i,-0.00094973-0.00086923i,-0.00056663-0.00078316i,-0.00040058-0.0004511i,-0.0011552+0.0005569i,-0.0013753+0.0011631i,-0.0011279+0.00053793i,8.3206e-05-0.00017499i,0.00086955-0.00022798i,0.0004974-0.00034956i,0.00049876-0.0010989i,0.0001025-0.0014747i,-0.00057515-0.00085081i,-0.00080227-0.00034453i,-0.0010712-0.00049711i
0.0010459+0.00049508i,0.0012908+0.0024381i,0.0011989+0.0060027i,0.00030356+0.0077675i,0.00042731+0.0056311i,0.00037508+0.0022874i,-0.00070242+0.00051373i,-0.0013755+0.00045487i,-0.00099874+0.00022919i,-0.00075806-0.00027891i,-0.0007949+0.00036119i,-0.00092434+0.0014698i,-0.0015465+0.0010217i,-0.0014881-0.00036763i,0.00011609-0.00049049i,0.00085798+0.00022564i,0.00042505+0.00039301i,0.00015619-0.00014603i,0.00056722-0.0012547i,0.00083573-0.00088173i,0.00020841-0.00026536i,-0.00070613-0.00061753i,-0.00098683-0.00088367i
-0.0015777-0.0016679i,0.00077171+0.00032251i,0.0033049+0.0037775i,0.0025072+0.0070576i,0.0010976+0.0059438i,0.00074503+0.0027958i,4.8208e-05+0.00080284i,0.00011722+0.00030022i,-0.00012844+0.00065449i,-0.00072348+0.001061i,-0.00038478+0.0014845i,-0.0002248+0.0017422i,-0.00079062+0.0014352i,-0.00057453+0.00040391i,-0.00019992-0.00031516i,-4.839e-05-5.8482e-05i,0.0001168+0.00022736i,-0.00012942-0.00048947i,0.00010381-0.00077896i,0.00018526-0.00026891i,0.00017713-0.00024796i,-0.00064471+0.00045953i,-0.00035381+0.0013446i
0.0004385-0.0014833i,0.002874-0.0011076i,0.0060741+0.00013286i,0.0072115+0.0020644i,0.0050838+0.0029991i,0.0020687+0.0028004i,0.00079464+0.0023807i,0.00087871+0.0019173i,0.0008904+0.0018217i,0.00032251+0.0018859i,-0.00073115+0.0015638i,-0.00068188+0.00079651i,0.0003213+0.0007227i,0.00079129+0.0012042i,0.00024624+0.00081229i,-0.00024059+0.00041056i,0.00014376+0.00016214i,0.00025134+0.00020172i,0.00011878+0.00038531i,-3.1641e-05+6.0799e-05i,0.00013415+0.00034172i,0.00040687+0.00092204i,-0.00022159+0.00089121i
-0.0008758-0.0010172i,0.00030296-0.0022198i,0.0030593-0.0041222i,0.0060611-0.0035155i,0.0061704-0.0009027i,0.0044649+0.00011288i,0.002724+0.00037412i,0.0011276+0.00099644i,0.00064074+0.0017466i,0.0013819+0.0013824i,0.00099934+0.00022031i,0.00018994-0.00017028i,0.00070163+0.00035211i,0.000779+0.00064416i,0.00061322+0.00015255i,0.00061592-0.00017259i,0.00050821-8.2273e-05i,0.00063294+0.00032059i,0.0007112+0.00074889i,0.00018024+0.00031009i,0.00013292-0.0002474i,0.0013392+3.7241e-05i,0.0014953+7.5241e-05i
-0.00080059-0.0011937i,-0.002465-0.0037259i,-0.0012435-0.0060946i,0.0018591-0.0065411i,0.0033644-0.0035351i,0.0032257-0.00043072i,0.002608+0.00028524i,0.0013752+0.00016297i,0.0009013+0.00048796i,0.0012359+0.00071121i,0.00093354-5.8652e-05i,0.00027154-0.00027613i,0.00020595-0.00025158i,0.00088109-0.00039303i,0.0014822+0.00049474i,0.00072518+0.00066157i,0.00053479+0.00016001i,0.00043826+0.00021578i,0.00031502-0.00020828i,0.00070774+0.00034841i,0.00061472+0.00060767i,0.00064913+7.8753e-05i,6.6837e-05+0.00012543i
-0.001939-0.0013722i,-0.004154-0.0024706i,-0.0069654-0.0041972i,-0.0068224-0.005121i,-0.0029211-0.0031628i,0.0011191-0.0013148i,0.0028188-0.0012096i,0.0019895-0.00087422i,0.0015051-0.00060007i,0.0015288-0.00054979i,0.00088495-0.0011463i,0.00047609-0.0016081i,0.00040029-0.0013507i,0.00027671-0.0010913i,0.00017661-0.0010893i,0.00016078-0.00060266i,0.00021218+0.00051176i,-0.00043063+0.001605i,-0.00022093+0.001635i,0.0001131+0.00013684i,0.00049806-0.00078774i,0.0004776-0.00051117i,0.00029141-0.001268i
-0.002658+8.8279e-05i,-0.0057628+0.00049789i,-0.0093511+0.0011316i,-0.0089551+4.8869e-05i,-0.0043666-0.0011523i,-0.00095511-0.0013942i,0.00023957-0.0011528i,0.0012514-0.0006579i,0.0013489-0.00071489i,0.00033134-0.0014199i,-0.00030179-0.0012751i,8.0415e-05-0.00039115i,0.00028547+0.00029995i,-0.00072243+0.00048902i,-0.00080186+0.00053131i,0.00015595+0.0008527i,0.00082782+0.00061671i,0.0016314+0.00037426i,0.0018276+0.00079576i,0.0013951+0.00041209i,0.00077214+0.00024184i,0.00055973+0.00018534i,0.00026697-0.000683i
0.0013768+0.0006266i,-0.0017915+0.0023177i,-0.0056417+0.0047907i,-0.0071437+0.0050143i,-0.0051776+0.0025959i,-0.0026911+0.00038769i,-0.0012966-0.0011925i,-0.00024781-0.0011607i,0.00036396-0.0005658i,-0.00032934-0.00066518i,-0.0011739-0.0003481i,-0.00062662-0.00034776i,-0.00011796-0.00039288i,-6.9098e-05+0.00044206i,0.00072923-0.00012736i,0.0011952-0.00066591i,0.0014079-7.6961e-05i,0.0011017-0.00014006i,0.00074492-0.00043556i,0.00036057-7.8543e-05i,-0.00011231+0.00029712i,-0.00016013-0.00078535i,3.4327e-05-0.0012588i
-0.00067523+0.00035363i,-0.00024509+0.0041522i,-0.0002798+0.0092229i,-0.0010867+0.010814i,-0.00076893+0.0066371i,0.00087207+0.0016341i,0.00080399-0.00051808i,-0.00047596-0.00059544i,-0.00078851-5.5959e-05i,-0.00093821+0.00025382i,-0.00082959+0.00018123i,0.00043615+0.00016728i,0.00073865+0.00046396i,0.00053336+9.512e-05i,0.00054885-0.00013317i,-0.00016315+0.00020413i,0.00027149+0.00044032i,0.0014248-0.00011337i,0.00072983-0.0011202i,0.00037294-0.0013032i,0.00096119-0.00066492i,0.00016825+0.0001201i,-0.00096545+0.00028212i
0.00065606-0.0010158i,0.0030715+0.00068076i,0.005396+0.0058814i,0.0053685+0.0092594i,0.0038927+0.0068375i,0.0024904+0.0016635i,0.0012233-0.001251i,-0.0003595-0.00096975i,-0.00096735+0.00027227i,-0.0013951+0.0013343i,-0.0014757+0.0014646i,-0.00088502+0.0011738i,-0.00020687+0.00079127i,0.00033115+0.00040505i,3.4348e-05+0.00013962i,-0.0003379+9.0927e-05i,0.00014176+0.00030274i,0.000213+0.00039032i,-9.6722e-05+0.00063603i,-0.0004445+0.001004i,-0.00056138+0.0011034i,-0.0004164+0.0012571i,0.00010022+0.0014036i
-0.00070071-0.0021321i,0.0033519-0.0013875i,0.0080109+0.0014087i,0.0089592+0.0046056i,0.0060324+0.0045331i,0.0027986+0.0018267i,0.0011419+0.00069861i,0.0005034+0.0013029i,0.00055297+0.00099644i,0.0005022+0.0012481i,0.00025338+0.0015996i,-0.0002992+0.0014509i,-0.00079367+0.00095251i,-0.00083155+0.00067175i,0.00032792+0.00010098i,0.00092085-0.00024483i,0.00086931-0.00029435i,0.00080355-0.0010103i,0.00040351-0.00095393i,-0.00010251-3.6604e-05i,-0.0004519+0.00043262i,-0.00068011+0.0009495i,-0.00064901+0.0010229i
-0.00062823-0.0028238i,0.0015305-0.0056731i,0.0064467-0.0066384i,0.0094805-0.00478i,0.0081354-0.0019934i,0.004486-0.00078269i,0.0010149-0.00026091i,5.5469e-05-4.8911e-05i,0.00064279-7.4288e-05i,0.00078501+0.00075673i,0.00053427+0.00097713i,0.00062369+0.00045915i,0.00054841+0.0006488i,-0.00013447+0.0006612i,-0.0012902+0.0010551i,-0.0013178+0.0013564i,-0.00077169+0.00065512i,-0.00089809+3.4359e-05i,-0.00050085+9.324e-06i,-8.7442e-05+0.00023872i,0.00035135+0.00087362i,0.00052448+0.00090961i,0.00095778+0.00058045i
-0.00023653-0.0018784i,-0.0017445-0.0042822i,-0.0011308-0.0082469i,0.001412-0.0092003i,0.0024059-0.0063796i,0.00074674-0.0032446i,-0.00027557-0.0010979i,4.0562e-05+0.00052199i,0.0011095+0.00089859i,0.0014405+0.00021133i,0.00067849-0.00016533i,-0.00025262-0.00014984i,-0.00013833-5.3128e-05i,-0.00031654-0.00013507i,-0.00038924+0.00038567i,5.0701e-05+0.00096126i,-5.8124e-05+0.00078596i,0.00014407+0.00051002i,-0.00017588+0.00097713i,-0.00036315+0.0013632i,-3.5576e-05+0.0011436i,0.00025879+0.00075284i,0.0013471+0.00049679i
