-0.0016569+0.00045078i,-5.0301e-05+0.00021646i,-0.00075011+0.00048149i,-0.0008662+0.00027009i,-0.00059515+0.0014652i,-0.00067006+0.0020583i,-0.0006518+0.0022142i,0.00024978+0.00287i,0.00073864+0.0023122i,0.0011655+0.0012507i,0.0014087+0.00051832i,0.00082093+3.2924e-05i,0.00038093-8.2856e-05i,0.00052483-0.00016361i,-2.5396e-05-7.9e-06i,-0.00050484-0.00023741i,3.7232e-05-0.00098947i,0.00054949-0.00065623i,0.00039097-0.00025004i,-0.00041632-0.00096902i,-8.1686e-05-0.0011182i,0.00037672-0.00078261i,7.9479e-05-0.00041032i
0.00056437+0.0032218i,-0.00019097+0.003544i,0.00034141+0.0029376i,0.00069767+0.0011636i,0.0013851-0.00044917i,0.0016107-0.00040115i,0.00076858+0.0001146i,0.00023484+0.00051626i,-2.5348e-05+0.00045255i,-0.00020701+7.8877e-05i,-0.00036681+3.7684e-05i,-0.00059643+0.00072463i,-0.0008459+0.0012775i,-0.00093568+0.00073663i,-0.00080861+5.7416e-05i,-0.0009996+0.00021325i,-0.00095174+4.0649e-06i,-0.00041109-0.00044983i,0.0004663-0.00032784i,0.0010834+6.945e-05i,0.00035393+0.00022299i,-0.00013088+5.7662e-05i,0.0001592+0.00010701i
0.00023271+0.000579i,0.0012893+0.0013056i,0.0022295+0.0011439i,0.0016532-0.0010958i,-4.2625e-05-0.002075i,-0.00089551-0.0023363i,-3.2177e-05-0.0014344i,0.00018651-0.00022294i,0.00037713+0.00075702i,0.0010214+0.00070279i,0.0010507+0.0003029i,0.00050302+0.00076771i,-9.6873e-05+0.000663i,-0.00052096+0.00078442i,-0.00039345+0.0010254i,-0.00018987+8.4728e-05i,3.2465e-05+0.00042161i,0.00015384+0.0011213i,-0.00083785+0.00059131i,-0.0013784+0.00014723i,-0.00067208+0.00021335i,5.8526e-05-6.7127e-05i,0.0004646-0.00041232i
-5.1679e-05+0.0017019i,0.00070868+0.0013185i,0.0014609+0.0012421i,0.001807+0.00042451i,0.0018272+0.00035506i,0.0012145-9.5455e-05i,0.00032078-0.00069768i,-2.5572e-05-0.00015446i,0.00014707+0.00022733i,0.00085693+2.4037e-05i,0.00077581+0.0001185i,0.00029408-2.0663e-05i,0.00019851-0.00010097i,0.00022684+0.00021673i,0.00037009+0.00024337i,3.5572e-05+0.0001038i,-0.00020153+0.00021958i,-6.8455e-05-2.9424e-05i,0.00035257-0.00021042i,0.00064003-0.00059347i,0.00039675-0.00067437i,-0.00024678+0.00011564i,-0.00084108+0.00061927i
-0.00021782+0.00080263i,0.00033327+0.0011895i,0.00097278+0.0012711i,0.00057677+0.00051748i,-4.7794e-06+0.00014191i,0.00025868+0.00063806i,-4.6912e-05+0.00072583i,-2.8958e-05+0.00079686i,-4.4028e-05+0.0010266i,-9.0912e-05+0.00053151i,3.9206e-05+0.00027543i,-0.00017089+0.00017218i,-0.00045056+3.6082e-05i,-0.00051504+0.00055889i,-0.00069703+0.00072135i,-0.00026995+0.0001809i,0.00049698+0.00015948i,6.4754e-05-7.537e-05i,-0.00086029-0.00023809i,-0.00051996-0.00034914i,-0.00032059-0.0003634i,-0.0010672-0.00068836i,-0.00065902-0.00096667i
-3.5941e-05+0.0018338i,0.0012269+0.0023171i,0.0019645+0.0021084i,0.0016803+0.0012558i,0.00080846+0.00023746i,1.4959e-05-0.00083922i,-4.9439e-05-0.0016851i,-0.00021743-0.00096757i,-0.00033881+9.818e-05i,-3.1112e-05+0.00068258i,0.00028661+0.00080252i,0.00080432+0.00049243i,0.00078896+0.00044227i,2.8483e-06+0.00031963i,-0.00043759+0.00041949i,-9.8923e-05+0.00083675i,0.0005203+0.00093708i,0.00037923+0.001145i,-0.00084726+0.0011411i,-0.00081713+0.00072111i,0.00058274+0.00078478i,0.00074951+0.000454i,0.00011065-0.00036375i
0.001218+0.00039935i,0.00084928+0.00082141i,0.0013095-0.00021158i,0.0017715-0.0010952i,0.0014732-0.00091945i,0.00026478-0.0012953i,-0.00028987-0.0015099i,0.00041454-0.00072383i,0.00065017-0.00020384i,0.0008774+0.0003399i,0.00051326+0.00082448i,-0.00025417+0.00026894i,-0.00081099-0.00012624i,-0.00051151+0.00056982i,0.00020709+0.0010897i,0.00055154+1.0627e-05i,-0.00023775-0.00066874i,-0.00066238-0.00013676i,-8.6347e-05+0.00074796i,3.1593e-05+0.00025468i,0.00065834-0.00049264i,0.00085464+0.00011441i,7.3752e-06-2.7654e-05i
-0.00074701+4.4759e-05i,0.00040273+0.0015503i,0.00031479+0.00073498i,-0.00026372-0.00010607i,-0.001613-0.00039939i,-0.0012153-0.00037721i,1.5404e-05-0.0004353i,0.00052199-3.6599e-05i,0.0004349+0.00035382i,0.00027876+0.00056087i,0.0006563+0.00049506i,0.00078839+0.00040007i,0.0011912+0.00044183i,0.0010872-1.685e-05i,-0.00059602-0.00066489i,-0.0005031-0.00017421i,0.00052685+0.00056099i,0.0005409+0.00013651i,0.00030971-5.5833e-05i,0.0002769+0.00010118i,0.00058668+2.1803e-05i,0.00036091+0.00013275i,4.861e-05+0.0005049i
-0.00073447+0.0013309i,-5.5056e-05+0.0029637i,0.00039345+0.002688i,-0.00013226+0.0015003i,7.2423e-05+0.001115i,0.00048475+0.00077917i,0.00010145+0.00014403i,3.3259e-05+0.00014688i,-0.00026506+0.00046059i,-0.00025238+0.00032429i,0.00045893-6.4206e-05i,0.00048454-4.316e-06i,0.00062279+0.00046643i,0.00052225+0.00078335i,6.9232e-05+0.00060879i,-0.00016858+0.00089776i,-0.00016971+0.00061601i,0.00024101-0.00014575i,0.0005307+9.082e-05i,0.0004119+0.00066522i,-0.00013755+0.00041315i,-0.0001897+0.0001329i,0.00014992+0.00049794i
0.00014185+0.00015988i,0.00070768+0.00096495i,0.00040509-0.00022128i,-0.0003642-0.0011611i,-0.0010127-0.0012135i,-0.00049088-0.0011297i,-0.00022409-0.0010497i,0.00037244-0.0011916i,0.0012082-0.00036465i,0.00052236+0.00010732i,-0.00032514-0.0002796i,-0.0008494+7.9713e-06i,-0.00084702+0.00037717i,8.0281e-05+0.00027026i,0.00018675+0.00022764i,4.7946e-06-3.5371e-06i,-0.00062236+0.00042241i,-0.00032186+0.00029251i,0.00034593-0.00025393i,0.0005119-0.00044385i,0.00081454-0.00059806i,0.00065939-0.00060766i,-0.00029963-0.00082674i
-0.0002467+0.0013724i,0.00095412+0.0014274i,0.0015657+5.8565e-05i,0.00073896-0.00030506i,-1.3948e-05-0.00068947i,-0.00041761-0.0008486i,-7.0219e-05-0.00071206i,0.00065662-0.00061798i,0.00026618-0.00039631i,-0.00033057-0.00028859i,0.00030232-0.00060481i,0.0011524-0.00030725i,0.0010646+0.00031661i,0.00044649+0.00053947i,-0.00047889+0.00053251i,-0.000567+0.00040419i,-0.00027386+0.00074965i,-0.00033052+0.00073789i,-0.00031041-0.00017512i,-0.00014625-0.0003414i,-0.00017516-0.00017456i,-0.00050936-0.00042339i,-0.00045959-0.00056222i
-0.0016455+0.00047184i,-0.00070759+0.0012049i,-0.00090663+0.0020612i,-0.0013327+0.0011213i,-0.0011505+0.0010267i,0.00032494+0.00079693i,0.0012286-0.00011461i,0.00036081-0.00068317i,0.00020824-0.00028119i,0.00085214+0.00023145i,0.00076732+0.00026113i,0.00058036+0.00050263i,0.00053453+0.00095679i,0.00054161+0.00059459i,0.00061015+0.00014057i,0.00021853+0.00071514i,-2.895e-05+0.00044786i,0.00010036-0.00060304i,0.00029634-0.0012778i,0.00026716-0.0010458i,0.00048761-0.00061256i,0.0004542+4.8745e-05i,-0.00016802+0.00025744i
-0.00024252+0.00061972i,0.0013513+0.00048374i,0.002237+0.00015924i,0.0013089-0.00057555i,0.0002738-0.0015776i,4.8747e-05-0.0014124i,-8.8119e-05-0.00099089i,0.0002374-0.00048161i,0.00016498-0.00063727i,-0.00034701-0.00060283i,-0.00019119+0.00017331i,-0.00037675+0.00065954i,-0.00025547+0.00076839i,0.00040929+0.00091144i,2.9423e-05+0.00094592i,-0.00015253+0.00048799i,0.00016496+0.00035561i,-0.00021339+0.0010967i,8.3065e-06+0.0010127i,0.00063299+0.00053522i,0.00055753+3.4415e-05i,0.00014783-0.00070405i,-0.00060414-0.00065559i
0.00035394+0.00090203i,0.0011774+0.0020195i,0.0022076+0.0010794i,0.0012526+0.00015183i,0.00061075+2.779e-05i,7.7397e-05+0.0003611i,-2.8445e-05+0.00050845i,0.00034697+0.00097441i,0.00012879+0.001174i,-0.00051786+0.00012489i,0.00036892-0.00023029i,0.0010048+0.00086775i,0.00095165+0.0010096i,0.0013936+0.00068888i,0.00087494+0.00036318i,0.00070522+0.00052615i,0.00065841+0.0011188i,0.00044857+0.00040147i,0.00050403-0.00035829i,8.6919e-05-0.00032582i,-0.0009943-0.00046822i,-0.0014629-0.00020591i,-0.0011829+1.1298e-05i
-0.0011447+0.0007523i,-0.00088933+0.0013763i,0.00060203+0.0013706i,0.00043651+0.00076451i,0.00049467+0.00033997i,0.00065176+0.00054205i,0.00070821+2.2861e-05i,0.00096707-0.00052617i,0.0011338-0.00073662i,0.0009118-0.00058707i,0.00063484+0.00023683i,0.00031789+0.00055594i,-0.00063342+0.00097787i,-0.00030154+0.0011519i,0.00018383+0.00078414i,0.00036399+0.00030139i,0.0005951+3.944e-07i,-0.00024392+0.00063482i,-0.00086967+0.0010203i,-0.00047059+0.00056048i,0.00020258+0.00054669i,0.00048265+0.00024381i,5.6577e-05-0.00020963i
0.00035087+0.00094317i,0.0013472+0.00091071i,0.0010207+0.0003759i,0.0011114-0.0010222i,0.0014761-0.0011385i,0.0011721+0.00012262i,0.00072591-9.5194e-05i,0.00080402-0.00063344i,0.00047925-0.00027386i,-0.00023679+0.00025443i,-0.00082777-0.00029849i,-0.00013317-0.00042833i,0.0007442+5.6026e-05i,0.00010142-0.00012637i,-0.00051402-5.4278e-05i,-0.00064903+0.00012629i,-0.00023279-4.4391e-05i,0.000829-0.00023423i,0.0015153-0.000187i,0.0013228-9.4191e-05i,0.00037739-0.00068845i,-0.00029751-0.00095916i,-0.00012981-0.00043882i
0.0010026+0.0015984i,0.0010372+0.0015465i,0.0011384+0.0010974i,0.0003922+9.8438e-05i,-0.00097032-0.00085644i,-0.0012922+0.00011596i,-0.00058107+0.0012646i,-0.00018575+0.00079144i,-0.00016012+0.00049676i,0.00015097+0.00097642i,-0.00023534+0.0012422i,-0.0013342+0.00052818i,-0.0013535+0.00027404i,-0.0003221+0.00095994i,0.00086921+0.00069348i,0.0013705+0.00030001i,0.00023901+0.00029601i,-0.00058338-3.7019e-05i,-5.698e-05+0.00013036i,0.00070094+0.0002827i,0.00084041+0.00056977i,0.00040926+0.00065234i,6.205e-05+1.7007e-05i
-0.00093377+0.0021678i,0.00074036+0.0025511i,0.0030317+0.0032295i,0.0033703+0.0028014i,0.0018524+0.001846i,0.00090434+0.00055989i,0.00030437-0.00028419i,-9.9733e-05-0.0005452i,0.00012777+8.0554e-05i,0.00059778+4.2986e-07i,0.0010547-0.00065754i,0.0010191-0.00045137i,0.00029998+9.1162e-06i,-0.00056436+0.00056519i,-0.00069021+0.00053295i,-0.00030056+0.00062042i,-5.9872e-05+0.00041474i,0.00034288-0.00052338i,0.00020044-0.00020325i,-0.00081845+0.00051047i,-0.0011231-8.1797e-06i,-0.00063878-0.00011786i,-0.00066302-0.00022296i
-2.8527e-05+0.0024637i,0.0016048+0.0027486i,0.0022539+0.0024097i,0.0023172+0.0016056i,0.0018849+0.00046408i,0.0010529-0.00096203i,-0.00015288-0.0015076i,-0.00054785-0.00042077i,0.00027174+0.00059702i,0.00076671+0.00042532i,0.0010113+7.2036e-05i,0.0012277-0.00017406i,0.00087305-0.0005174i,0.00085871-0.00057578i,0.00104+7.6987e-05i,0.00095057+0.00045335i,0.0005098+0.00088367i,-6.1286e-05+0.00060306i,-0.00011826+0.00053672i,0.00015073+0.00058048i,0.00044937+0.00058223i,-0.00041143+0.00054578i,-0.00030278+0.0002189i
0.00048516+0.0011264i,0.00037495+0.00075984i,0.0012211+0.00090304i,0.0014608-3.9053e-06i,0.00044887-0.00050043i,6.519e-06-0.00063078i,-1.1581e-05-0.0003996i,0.00069247-0.00011383i,0.0011379+0.00035368i,-2.5432e-05+0.00089571i,-0.00041494+0.00019776i,-2.1993e-05-0.00015892i,4.7242e-05+0.00045205i,7.325e-05+0.00022724i,0.00058021+0.00047946i,0.00082999+0.0010619i,0.00089093+0.00088977i,0.00034299+0.00038688i,-8.4052e-05-2.7031e-05i,-7.8218e-05-0.00025137i,-0.00044908-0.00048796i,-0.00029828-0.00026062i,0.00022138+0.00028525i
-0.00042833-0.00022265i,-0.00047615+0.00088759i,-0.00076123+0.00064288i,-0.0011959+0.00025504i,-0.0012912+0.0003679i,-0.00072524+0.00091893i,-0.00028216+0.00058344i,-0.00011598+0.00036094i,0.00024648+0.00048369i,1.2658e-05+0.00043535i,-0.00057296+0.00039744i,-0.00061208+0.00069321i,-0.00036581+0.0011651i,-0.00043661+0.0013944i,-0.00065651+0.00086635i,0.00028756-0.00012661i,0.0010699-0.00034528i,0.00025002+2.8394e-05i,-0.00010119+0.00018437i,0.00066888-0.00014862i,0.00025308-0.0007104i,-0.00052957-0.0014649i,-0.0003881-0.0013811i
0.0014021+0.0016055i,0.0025166+0.0021135i,0.0029852+0.00075329i,0.0021714-0.00055784i,0.00092202-0.00016934i,0.00062612-0.00025435i,0.00033137-0.0010739i,-9.9676e-05-0.00066131i,-0.00041843-6.4841e-06i,0.00032517-0.00030076i,0.00059957-0.00010444i,0.00068569+0.00022668i,0.00075888+0.00020691i,0.00034458+0.00047635i,0.00041674+0.00034676i,0.00068544+0.00021215i,0.00037291+0.0010011i,0.00015217+0.001503i,0.00031818+0.0003426i,0.00067774-0.00082123i,0.00092451-0.00071472i,0.00050605+0.0001545i,-9.1881e-05+0.00073603i
0.0011728+0.0019708i,0.00088992+0.0022646i,0.001837+0.0011485i,0.0025734-0.00094026i,0.0010549-0.0016181i,-0.0010714-0.0019273i,-0.0017814-0.0010033i,-0.0014105-0.00023851i,-0.00057378-0.00030603i,0.00027331-4.0143e-05i,-0.00041607+0.00038434i,-0.0010248+8.7322e-05i,-0.0010469-0.00049815i,-0.00043218-0.00055507i,0.00066677+0.00021849i,0.00037829+0.00025677i,0.00017852+0.00010076i,-8.8314e-05+0.00064475i,-0.00021903+0.00032434i,0.00020728-0.00018086i,9.8112e-05+0.00023181i,-0.00032656+0.00093561i,-0.00059527+0.00085577i
0.00066235+0.0027265i,0.00025737+0.0022383i,0.0006141+0.0015364i,0.0014842+0.00079615i,0.0016587-0.00015465i,0.001285-0.00071413i,0.0012184-7.0389e-05i,0.00095402+0.00038947i,0.0005199+0.00023896i,0.00039245-0.00047373i,0.00072895-0.00072121i,0.0010382+0.00064696i,0.00016859+0.0013844i,-0.00051665+0.00085141i,-0.00069476+0.0013021i,-0.0009432+0.0013811i,-0.00039051+0.00053145i,7.7218e-05+0.00049053i,6.2469e-05+0.00081655i,-0.0003127+0.00056042i,-0.00092283+0.00042494i,-0.00083856+7.723e-05i,-0.00019895-0.00029087i
-0.00067551+8.505e-05i,-0.00040535+0.00090871i,-0.00018622+0.00091977i,7.8362e-05+0.00036548i,-0.0002129+0.00013483i,-0.0003581-0.00016459i,-1.0603e-05-0.00015691i,0.0001007-0.00015988i,0.00086845-0.00036925i,0.0011486-0.00010641i,8.1581e-05+0.00039374i,4.3342e-05+0.0002526i,0.0011143+0.00045704i,0.0011689+0.0004951i,0.00065972+0.00050118i,0.0002648+0.00055147i,0.00022761+0.00080937i,0.00010737+0.0013327i,-0.00046286+0.00036325i,-0.00099671-0.00026411i,-0.00062982+0.000266i,0.00027244+0.00015317i,0.00028294+0.00019194i
0.0015365+0.0017652i,0.0011764+0.0027143i,0.0013501+0.00067624i,0.0013418-0.0014286i,-5.5563e-05-0.0021147i,-0.00083672-0.0021587i,0.00040596-0.0014498i,0.0016995-0.00051318i,0.0014868-4.1154e-05i,0.00063054-0.00052479i,0.00018928-0.0010606i,0.00076434-0.00046665i,0.00030936+0.0002095i,-0.000471-0.00018792i,0.00048778-0.00089845i,0.0008935-0.00049159i,-0.00025231-0.00011275i,-0.00051564-0.00023476i,0.00085423-0.00049917i,0.0016227-0.00080705i,0.0010799-0.00083571i,0.00091385-0.00075367i,0.00070874-0.00068i
0.00030504-1.3231e-05i,0.00024222+0.00058164i,0.00084241+0.00053859i,-0.00034705+1.6044e-05i,-0.0019931-0.0003771i,-0.0014024-0.00046655i,-0.00067521-0.00027886i,-0.00034509-0.00059172i,-6.0046e-06-0.00080098i,0.00030904+0.00022714i,0.0010038+0.00099915i,0.0008707+0.0010481i,0.00010399+0.00083934i,-0.00015182+0.00030257i,-0.0002482+0.00029221i,-0.00014646+0.00033149i,9.2298e-05+3.5053e-05i,-2.8486e-05-5.6426e-05i,-0.00015033-0.00097131i,-5.0595e-05-0.0012145i,-1.8647e-05-0.00023283i,-0.00042771+0.00065887i,-0.00033656+0.00082338i
0.0012363+0.0014285i,0.00033371+0.00087929i,-0.00046152+0.0018418i,-0.00037959+0.0019762i,0.0005182+0.0012292i,0.0012316+0.00083842i,0.000755+0.00071258i,0.00014908+0.00035736i,3.2241e-05-0.00043071i,0.00057963-0.001206i,0.0011363-0.00088853i,0.00021416-0.00022582i,-0.00074841+0.00052566i,-0.00042163+0.00092093i,-6.5898e-05+1.6282e-05i,7.7568e-05-0.0007074i,0.00053737-0.00023033i,0.00048146+0.00072907i,-2.21e-05+0.00061301i,-0.00016135+0.00033502i,-0.00043006+1.2093e-05i,-0.00080989+0.0002675i,-0.00064127+0.00012242i
0.0010615+0.0008494i,0.0020246+0.00060268i,0.0023345-0.00058615i,0.0021508-0.00075254i,0.00073829-0.0011849i,2.6138e-05-0.0017398i,0.00025416-0.00092804i,0.00027081-0.00021735i,9.3998e-05-0.00034318i,-0.00011243-0.0003668i,-0.00062598+0.00013301i,-0.0013668+0.00063882i,-0.00056364+0.00068568i,1.5901e-05+0.00079162i,-0.0002773+0.00051804i,0.00020916+0.00035565i,0.00035144+0.0007962i,-4.8805e-05+0.00039424i,-0.00069854+0.00039986i,-0.0011858+0.0008053i,-0.000887+0.00015557i,3.279e-05-0.00034345i,8.9603e-05+2.8788e-05i
0.0013152+0.00036578i,0.00068+0.00099822i,0.00091084-0.00087794i,0.00050003-0.0028856i,-0.0004845-0.0027031i,-0.00048858-0.001083i,-0.000541+6.3508e-06i,-0.00025439+0.00015147i,0.00027581+0.00026047i,0.00040433+0.00032741i,0.00099803+0.00038242i,0.00094443+0.00097153i,0.00049679+0.0008428i,1.6356e-05+0.00040543i,-0.00041344+0.0001244i,-0.00059328+0.0001235i,-0.00074671-7.4411e-05i,-0.00023986-0.00051082i,0.00085076-0.00037803i,0.0017279-0.00069562i,0.0016684-0.0010215i,0.00046691-0.00068396i,-0.00031151-0.0010727i
-0.00062434+0.00072173i,-0.0007995+0.00025887i,-0.00045665-0.00030306i,-0.00072187-0.0007562i,-0.0011784-0.00097135i,-0.0011733-0.000765i,-0.00055813+0.00028556i,0.00017568+0.00036355i,0.0013897-8.9764e-05i,0.0015437+0.00074458i,0.00085645+0.0009897i,0.00063801+0.00061534i,0.00059751+0.00056184i,0.00052464+0.00042021i,0.00061349+0.00029243i,0.00074347+0.00067869i,0.00058489+0.0008168i,0.00028563+0.00053903i,0.00070691-0.00020305i,0.0013172-0.00032809i,0.0011533+0.00050732i,0.00070282+0.00056301i,0.0002128+0.00022636i
0.00053622+0.00074666i,0.0012588+4.6488e-05i,0.002654-0.00070791i,0.0024528-0.00098703i,0.00050463-0.0003984i,7.763e-05-0.00088762i,0.0010041-0.0015281i,0.0014153-0.0010232i,0.0014264-0.00013957i,0.0011216+0.00036i,0.0010383-0.00038392i,0.00092885-0.00098776i,-0.00016451-0.00046259i,-0.0011053-0.00020903i,-0.00083117+0.00017847i,-0.00036956+0.00017185i,-0.00028429-0.00082016i,-5.1751e-05-0.0011522i,5.3847e-05-0.00052433i,0.00036324-6.0584e-05i,0.00069676+0.00019403i,0.00031596+0.00028494i,0.00017957+0.00033436i
0.00030409+0.0010732i,0.00046759+0.0020315i,0.0014867+0.0018524i,0.00105+0.00067088i,0.00044511+0.00026326i,0.00017779+0.00053669i,-3.6036e-05-0.00018083i,3.0637e-05+8.7587e-05i,3.8628e-05+0.0006763i,0.00053466+0.00011078i,0.00073703-0.00028301i,-9.73e-06+5.4195e-05i,-0.00027075-0.00027421i,-0.00028951-0.00088294i,-0.00036759-0.00066074i,-0.00025547-0.00029992i,0.00050975-0.00028583i,0.0014323+2.8956e-05i,0.0011394+0.0002789i,0.00045219+0.00026214i,0.00052449+0.00077477i,-0.00027418+0.00074564i,-0.00075427-2.535e-05i
0.00040606+0.0012925i,-0.00033266+0.0020008i,-0.00043714+0.0020611i,-0.00036375+0.00056765i,-0.00041063-0.00064064i,0.00012595-0.00077959i,0.00013903-0.00073886i,0.00030478-0.00056222i,0.00067842-0.00057629i,0.00079604-0.0002567i,0.00040874-0.00046782i,-0.00018763-0.00075485i,-0.00053233-0.00037106i,-0.00016054-0.0001447i,-0.00026083+0.00029168i,-0.00076743+0.00052348i,-0.00010611+0.00058726i,0.00022805+0.0005099i,0.00023321+0.00026891i,0.00042834-3.1834e-05i,1.3944e-05-0.00063517i,-0.0005727-0.0006119i,-0.00037524-0.00023799i
2.4855e-05-0.00035306i,-0.00010324+0.00050042i,-0.0002171-4.8643e-05i,-0.00088389-0.00059613i,-0.00083284-0.00061242i,-0.00044443-2.4128e-05i,-7.2835e-05+0.00031905i,0.00062182-0.00050416i,0.0013607-0.00035952i,0.0017542+0.0006792i,0.0013516+0.00062206i,0.00083463+0.00075775i,0.00048804+0.0014465i,0.00021136+0.0010785i,0.00014899+0.00032332i,0.00030041-0.00068847i,-8.9265e-05-0.0006684i,-0.00053694+4.4686e-05i,-0.00056073-1.855e-05i,-0.00044544-0.00020163i,-0.00036044-0.00023206i,0.00067904+8.6424e-05i,0.0014161+2.7497e-05i
0.00057368+0.0020997i,0.0011195+0.0025289i,0.0010429+0.0018276i,0.00054832+0.00071193i,0.00012887+0.00021843i,0.00086524-0.00037595i,0.0012257+1.4228e-05i,0.00066283+0.00050632i,0.00051788-0.00029836i,9.2318e-05-0.00015162i,-0.00042616-0.00020951i,9.3381e-05-8.1104e-05i,0.00073003+0.00061382i,0.00084663+0.00051862i,0.00054133-1.7783e-05i,0.00037356+0.00016412i,0.00050128+0.00086186i,-3.2016e-05+0.0012226i,-0.00026071+0.0005672i,-0.00024621-0.00041306i,-0.00055507-0.00069621i,-0.00041053-0.00086425i,-0.00032788-0.0011776i
-7.5485e-06+0.0022218i,-0.00024134+0.0022632i,0.00094568+0.0024458i,0.0017158+0.0014339i,0.0021048+0.0003482i,0.0023399-0.00048249i,0.0017526-0.00052229i,0.0013076-0.00010822i,0.00087692-0.00010274i,0.0016305-0.00060815i,0.0020002-0.0007406i,0.0011202-6.4959e-05i,0.00060129+4.7793e-05i,0.00058683-0.00015887i,0.00050017-0.00010132i,0.00021772+4.3755e-05i,0.00010483-0.00014854i,0.00058308-0.00042063i,0.00039192-0.00015395i,-0.00038338+0.0003983i,0.0001177+0.00049577i,0.00028102+3.0338e-05i,0.00016409-0.00055608i
0.0016642+0.00033589i,0.0017604-3.7008e-05i,0.0028784-0.0011796i,0.0033265-0.0018869i,0.0019459-0.0011782i,0.00064014-0.00037471i,0.0015322+0.00027572i,0.0031343+0.00023198i,0.003697+0.00019538i,0.0034128-0.00017771i,0.0029022-0.00050978i,0.0013499-0.00039399i,-5.9662e-05-0.00013164i,-0.00055409+0.00043674i,-0.00075161+0.0012044i,-0.00049468+0.0010048i,0.00033974-2.8404e-06i,0.00034676-0.00070685i,0.00010688-0.00090738i,-0.00016715-0.0012068i,-0.00037347-0.0011841i,0.00023804-0.00050809i,-5.5416e-05+0.00017561i
0.0011299+0.00060786i,0.00087532-0.00046409i,-0.00024718-0.0014364i,-0.00052438-0.0019013i,-0.0014606-0.0019277i,-0.0026146-0.0020621i,-0.0026909-0.0028197i,-0.0028379-0.0024147i,-0.0030672-0.00045934i,-0.0019982+0.0014663i,-0.0015651+0.0020781i,-0.0013102+0.0018306i,-0.00075342+0.0014342i,0.00037513+0.0012454i,0.0010485+0.00074396i,0.00024972-1.0763e-05i,-0.00061217-0.00031726i,-0.00033482-0.00026968i,7.0227e-05+0.00023996i,-0.00023653+0.00034794i,-0.00023322-0.00010505i,-0.00029226-0.00015339i,6.7567e-06-0.00021355i
0.0020221+0.0023079i,0.0011181+0.0027457i,0.00095428+0.0022645i,0.00040083+0.00071672i,-0.0007143-0.0016407i,-0.0002393-0.0020008i,0.00062899-0.00149i,0.00026762-0.0011601i,0.00041884-0.00084095i,0.00093651-0.00055996i,0.00026648+0.0003326i,-0.0003318+0.0012034i,0.00018684+0.0010707i,0.00043959+0.0011322i,0.00064174+0.0013786i,0.00079917+0.00077584i,0.0006868+0.00026155i,0.0001526+0.00011583i,-0.00010964-0.00080294i,0.00065563-0.0010933i,0.00066958-0.00048669i,0.00070046+5.6014e-05i,0.00094663+0.00030752i
-0.0015239+0.0017907i,-0.00033382+0.0015521i,0.00043636+0.00066295i,0.00095792+0.00093211i,0.00026489+0.0010881i,-0.00085642+0.00071153i,-0.00057063+0.00025158i,-2.1625e-05+0.00016879i,-0.0003808+0.0012785i,-0.00088377+0.0021951i,-0.0007126+0.001532i,9.6264e-05+0.00093509i,1.4796e-05+0.00039008i,-0.00055797+0.00025295i,-0.00063415+0.00086499i,-0.00074881+0.0012325i,-0.00034134+0.00070567i,-0.00030658-5.042e-07i,0.00040548-0.00070995i,0.00072751-0.001355i,0.00050917-0.00094454i,0.00092791-0.00038253i,0.0011343+0.00011742i
-5.1476e-05+0.0031646i,0.0013853+0.0018613i,0.0025594+0.0010291i,0.0019012+0.0004803i,0.00077946-0.0003766i,0.00055749-0.0010685i,0.00049221-0.0021394i,6.5042e-05-0.0021301i,-0.00018034-0.00066585i,3.1585e-05+2.3725e-05i,0.00021497+0.00027657i,0.00051942+0.00018458i,0.00016222+0.00010894i,-0.00034647+0.00011076i,9.0291e-05+0.00018455i,0.00035891+0.00062886i,-0.00034874+0.0002194i,-0.00060779-4.2412e-05i,-0.00038849+0.00057481i,-0.00064314+0.00078967i,-0.00037759+0.00098269i,-0.00011681+0.00075824i,-0.00047281+0.00080056i
0.0009447+0.00061042i,0.00082845+0.0017447i,4.7006e-05+0.00032895i,-0.00076581-0.0013307i,-0.0018823-0.00098509i,-0.0015939-0.0003906i,-0.000466+0.00045277i,-0.00036543+0.00051544i,-0.00067684-0.00033225i,-0.0011061-0.00018361i,-0.0010221+6.886e-05i,-0.00013906+0.00075173i,0.00055199+0.0011457i,0.00054604+9.5161e-05i,0.00071273+3.2592e-05i,0.00085501-0.00052123i,0.00055293-0.00098957i,-0.00014725-0.0007052i,-2.7332e-05+9.8047e-05i,-0.0001195+0.00015154i,-0.0004022-0.00080035i,-0.00016742-0.00079021i,-0.00020959+1.2793e-05i
1.5169e-05+0.0011835i,7.412e-05+0.0011497i,0.00084824+6.1349e-05i,0.00089252-0.00011771i,0.00015261+3.4298e-05i,-0.00023474+2.1578e-05i,-0.00025575+0.00015085i,-0.00049255-0.00044657i,-0.00077583-0.00037024i,-0.00039754-0.00024412i,0.00039922-0.00046738i,0.0001914-0.00025622i,-0.00091443+9.5671e-05i,-0.00093684+5.9543e-05i,9.5846e-05+0.00053954i,0.0002753+0.00028797i,0.00023871-0.00017297i,0.00068207+8.1947e-05i,0.00067437+0.00014459i,0.00068899-0.00023069i,0.00091436-0.00018156i,0.00066265+5.5609e-06i,0.0010947+7.0785e-05i
