0.0013774+0.0020614i,0.0027598+0.0010266i,0.0026252-0.00010914i,0.00085685-0.00021219i,-0.00041651+0.00079862i,-0.00085093+0.0012486i,-0.00021766+0.00083142i,0.00025452+0.0010328i,-0.00022686+0.00074289i,-0.00077373-0.00010555i,-0.00084643-0.00068946i,-0.0010628-0.00041926i,-0.0014365-0.00019261i,-0.00085839-2.0901e-05i,-0.00012613-0.00012605i,0.00010338-0.00040655i,0.00063044-0.00039103i,0.0010013+1.387e-05i,0.00055272+0.00015555i,0.00015983+0.00026865i,-0.00040912+0.00080672i,-0.0008488+0.00034508i,-0.00015395+3.8893e-05i
-0.0009273+0.00025681i,-0.00085592-0.00021876i,-0.00055462-2.233e-05i,-0.0012197+0.0007746i,-0.0013305+0.00074886i,-0.00080588+0.0012708i,-0.001144+0.0011327i,-0.00087496+0.00021541i,0.00020904+0.00038256i,0.00036061+0.00080505i,-0.00025928+0.00035121i,-0.00017107-0.00052568i,0.000109-0.00041321i,-0.00021617+0.00018748i,-0.00034548+8.2882e-05i,-0.00038251-0.00042989i,-0.00097823-0.00017759i,-0.0011125+0.00013346i,-0.00057549+0.00021269i,-0.00015796+0.00078998i,0.00016892+0.00060278i,0.00037163+0.00014036i,0.00066465+0.00057328i
0.00048825-0.00039643i,6.3217e-05-0.0014212i,0.00054195-0.00088804i,0.00032295-0.00028637i,-0.0005702-0.0004939i,-0.0003467-0.00017317i,-0.00013914+0.00026769i,6.2219e-05+4.1882e-05i,9.4704e-05+0.00044392i,-0.00061405+0.00026843i,-0.00063972+0.00024481i,-0.0010376+0.00048066i,-0.0016424+0.00042321i,-0.00079338+0.00014364i,-5.9623e-05-0.00020882i,-0.00045534-0.00041622i,-0.001254+0.00047148i,-0.001051+0.00064572i,-0.0004931+0.00030759i,-0.00044206-0.00036107i,-0.00014537-0.00094891i,0.00034241-0.0013065i,0.0010795-0.0012629i
0.00040526+0.0013645i,0.00027548+0.00067934i,0.0011146-0.00069155i,0.00085703-0.0014618i,-0.00028126-0.00094514i,-0.001295-0.00025982i,-0.00053246+0.00035584i,0.00015188+0.00065787i,0.00059306-4.2416e-05i,0.0009933-0.00075614i,0.00051763-0.00042091i,-0.000288-0.00015654i,-0.00063881-0.00053701i,-0.00059111-0.00069448i,-0.00079959-4.7247e-05i,-0.0010255+0.00029923i,-0.00010061+0.00034046i,0.00086384+0.00068178i,0.00032735+0.00076617i,-0.00015606+0.00055973i,-0.00071197+0.00024917i,-0.0013143-0.00037738i,-0.00091398-0.0011588i
0.0012916+0.00083358i,0.00096195+0.00024006i,0.00092938-0.00030132i,0.00031773-0.00061522i,0.00032942-0.0011422i,0.00075733-0.0013912i,0.00023297-0.00080531i,-8.3562e-05-0.00038938i,0.00065937-0.00040375i,0.00063462-0.0007944i,0.00039714-0.00076138i,-5.1955e-05-0.00068744i,-0.0003106-0.0011242i,-8.8445e-05-0.00080412i,-0.00045987+4.9495e-05i,-0.00034926+0.00055889i,0.00010686+0.00019022i,4.7965e-05-0.00058014i,0.00021359-0.00060844i,4.3663e-05-0.00032293i,-0.00072156-0.00013783i,-0.00019949-3.2914e-05i,0.00050405+0.00059059i
-0.00047309-0.00078894i,0.00024998-0.0012491i,0.00051154-0.0010105i,0.00011399+0.00016987i,-0.0009541+0.0011875i,-0.0011734+0.0011787i,-0.00014193+0.00056967i,0.00014398-2.2449e-05i,0.00040514-0.00040598i,0.00067597+0.00018531i,0.00015505+0.000714i,-0.00078855+0.00081601i,-0.0013042+0.00074373i,-0.00047567+0.00089302i,0.00015594+0.00074368i,0.00030642+4.1018e-05i,0.000436+0.00033092i,-7.303e-06+0.00026456i,0.00025662-5.3982e-05i,0.00049802-8.5298e-05i,0.0007172+6.2714e-05i,-2.1995e-05+0.00031522i,-0.00021459+1.8825e-05i
-0.001725-0.00087989i,-0.0018374+0.00082955i,-0.0013453+0.001985i,-0.00041412+0.0013496i,-0.00050048+0.00092545i,-0.00071593+0.00086506i,-0.00028542+0.00018549i,0.00022255-0.0002331i,-0.00012897+0.00039104i,8.3847e-05+0.00044059i,0.00036941+0.00047316i,-0.00052002+0.0012408i,-0.00070246+0.00084195i,-0.00036263-0.000102i,-0.00027107+0.00032108i,-6.6364e-05+0.00064043i,-7.8999e-05-0.00032486i,0.00016277-0.0010303i,0.00036177-0.00081361i,-0.00023945-0.00066052i,-0.00047648-0.00064965i,0.00022314-0.00042195i,0.00062523-0.00042133i
0.0014165+0.0020149i,0.0018522+0.0018183i,0.0022748+0.0011687i,0.0015598+1.8923e-05i,0.00088703-0.00053922i,0.00085962-0.00024512i,0.00075925-4.1928e-05i,-5.7917e-05+0.00072031i,-0.00028289+0.0012203i,0.00027238+0.00088714i,-0.00024712+0.00014833i,-0.0010185-0.00057099i,-0.0002237-0.0011291i,0.00036439-0.00058202i,0.000139+3.3055e-06i,-7.1443e-05+0.00027067i,0.00015889+0.00072201i,0.00039834+0.0008861i,0.00022752+0.00020857i,-0.00045427-0.00010135i,-0.00097176-0.00047965i,-0.0004655-0.00072469i,-2.939e-05-0.00061134i
-0.0017978-0.00069008i,-0.00068787-0.00095224i,-0.00030021-0.00093097i,-0.0011311-1.0986e-05i,-0.0010388+0.00084107i,-0.00055577+0.00031956i,-0.00026933-0.00093469i,0.00020775-0.0011142i,0.00053225-0.00076707i,-5.1705e-05-0.00033443i,-0.00053498-1.9294e-05i,-0.00035634-0.00016768i,0.00063819-3.6099e-05i,0.0011419-2.2512e-05i,0.00099764-0.00037708i,0.0011857-0.00057504i,4.3398e-05-0.0003913i,-0.0013073-0.00042483i,-0.00073901-0.00084635i,-0.00038925-0.00086267i,-0.00012529-0.00071826i,0.00047-0.00035031i,0.0004199-0.00028037i
0.00089517+2.6954e-05i,0.0018319-0.00021389i,0.0019027-0.00024326i,0.00065703-0.00033261i,-0.00060423+0.00062357i,-0.00031059+0.0011511i,0.00010124+0.0011509i,-4.7775e-05+0.0014488i,0.00014071+0.0014389i,0.00027769+0.00031953i,-2.701e-05-0.00021613i,-0.00013565-0.00015593i,3.1776e-05+0.00074449i,-7.7944e-05+0.0012549i,-0.00022744+0.0005791i,0.00045342+0.00029961i,0.00044148+0.00017233i,-0.0001837-0.00019861i,-0.00010853-0.00027382i,7.7798e-05-0.00017236i,0.0004018-0.00035647i,1.3899e-05-0.00066188i,-0.0008626-0.00099782i
