-0.0019703+0.0021082i,-0.00097996+0.0017659i,-0.0013544+0.00051801i,-0.00056778+0.00062988i,0.00017808+0.0017485i,0.00034042+0.0015343i,0.00041473+0.0010377i,0.00067149+0.00086876i,0.0009448+0.0010296i,0.00071217+0.00060708i,-0.00011968+0.00032657i,-0.0007189+0.00024978i,-0.00058789-0.0002481i,8.5543e-05-0.0010619i,-0.00016586-0.0013409i,-0.0002954-0.00012174i,-0.0004351+0.0010538i,-0.00020849+0.0014468i,0.00068581+0.0013639i,0.00070277+0.0010425i,4.4892e-05+0.00084121i,-0.0003739-0.00016111i,0.00012976-0.0012162i
0.00133+0.00073475i,0.0013017+0.0014626i,9.8636e-05+0.00052068i,-0.001026-0.0002092i,-0.00080578-0.00075122i,-0.00018951-0.00081867i,0.00027464-0.00079284i,7.7346e-05-0.00091459i,-0.00022975-0.0009745i,-0.00078042-0.00073896i,-0.0010845-0.00068358i,-0.00022979+5.8307e-05i,0.00067088+0.0012823i,0.00039983+0.0014671i,3.3702e-05+0.000483i,0.0005196-0.00033265i,0.00089712-9.1905e-05i,0.00051789+0.00019126i,-4.2158e-05-9.7386e-05i,-0.00036464-0.00022377i,-8.3372e-05-0.00062976i,-0.00023836-0.00024334i,-0.0012824+0.00017579i
-0.0029716+0.00095299i,-0.0015807+0.00013548i,0.00087521-0.00016291i,0.0011325-0.0005026i,0.00026097-0.00034539i,-7.9163e-05+0.00076086i,0.0002348+0.00052056i,0.0009028-0.00098047i,0.0020068-0.00056791i,0.0018289+0.00012932i,0.00032338+0.00042897i,-0.00045137+0.00051134i,-0.0002232+0.00011453i,0.00016133-0.00022677i,-0.00019833-0.00069112i,-0.00072229-0.00052059i,-0.00084039+4.8971e-05i,-0.00042692-6.1805e-05i,4.8169e-05+0.00024755i,-0.00014506+0.00040483i,-0.00049872+0.0001625i,-0.00029563-0.00062852i,0.00064155-0.00093627i
0.0026638-0.001942i,0.0010924-0.0019841i,-0.00046194-0.001597i,-0.001279-0.0015052i,-0.001519-0.00064216i,-0.0016006+0.00017211i,-0.0014808+0.00063386i,-0.00055015+0.00072011i,-0.00010843+0.00079467i,-0.00060774+0.0014458i,-0.00049626+0.0019895i,-0.00036379+0.0017068i,-0.0006587+0.0015588i,-7.747e-05+0.0011016i,0.00097563+0.000272i,0.00075079+0.0001491i,0.00070727+0.00051419i,0.00075949+0.00041049i,8.6483e-05-0.00020523i,-0.00071781+0.0005876i,-0.00056342+0.00074282i,-0.00034704+0.00033208i,-0.00024517+0.00042005i
-0.0014686+0.0016126i,-0.00073073+0.0015375i,0.00011847+0.00040922i,0.000496-0.00043935i,8.2262e-05-0.00084543i,-0.00019003-0.0010455i,-7.083e-05-0.0015026i,-1.6405e-05-0.001634i,-0.00062548-0.0021053i,-0.0014561-0.0026092i,-0.0016926-0.0012734i,-0.0012593+0.00034507i,-0.00034414+0.0014116i,0.00036462+0.0012542i,0.0007059+0.00051953i,0.00090513+0.00049951i,0.00053276-8.0425e-05i,-0.00023005-0.0004703i,-0.00025743-0.00023495i,-2.7518e-05-0.00072071i,-0.00014837-0.00050315i,-0.00056656+0.00031282i,-0.0011754+0.00039464i
0.002539-0.0022574i,0.0029126-0.0027869i,0.0030776-0.0023922i,0.0022626-0.0025547i,0.00037288-0.002395i,-0.00081922-0.00061414i,-0.00033428+0.001039i,0.0012796+0.00093869i,0.0025523+0.00042973i,0.0026501+0.00043846i,0.0017635-0.00014853i,0.0002214-0.00057259i,-0.001105-0.00051847i,-0.00083456-0.00027454i,-0.00040797-0.00075249i,-0.00028418-0.00080918i,-0.00027276-4.8448e-05i,0.0001919+0.00070461i,0.0003661+0.00077862i,0.00041207+0.00065259i,0.00070706+0.00041663i,0.0010816+0.00018269i,0.0013644+0.00020046i
0.0023627+0.0025161i,0.0019658+0.0030982i,0.0011296+0.0010839i,-4.2932e-05-0.00052744i,-0.00064415-0.00041047i,-0.00072433-0.00026866i,-0.0010043-0.00076606i,-0.0007771-0.00049762i,-0.0012722+0.00035566i,-0.0015793+0.0016806i,-0.00022712+0.0020326i,0.00045404+0.00097573i,0.00014592+0.00067796i,0.00020244-0.0004235i,0.00066963-0.0016192i,0.00060821-0.0013117i,0.00029864-0.00082031i,-3.5085e-05-0.00049359i,-0.00099173+0.00021605i,-0.00097347+0.00044743i,-0.00065243+0.00037098i,-0.00038171+3.3252e-05i,-6.4048e-05+0.00020938i
-0.0031483-0.0010494i,-0.0022345-0.0022488i,-0.0013347-0.0012462i,-0.00071753+0.0002951i,-0.00044648+0.00067159i,9.7855e-05+0.00055881i,0.0006935+0.00028196i,0.00041317-0.00055385i,0.00061168-0.0015621i,1.8766e-05-0.0016044i,-0.0002495-0.0009068i,0.00048286-6.545e-05i,8.5896e-05+0.0007219i,-0.00045401+0.0012416i,5.0945e-05+0.0005991i,-0.0003746+0.00042879i,-0.00049513+0.0002572i,0.0005338-9.2939e-05i,0.0005789+0.00016956i,-2.7597e-05+0.00035477i,-0.00037748+0.00024672i,-0.00048057-0.00070034i,0.00051116-0.0010113i
0.0014587-0.0014161i,0.00041765-0.0010659i,-0.00029236-0.0010905i,-0.000615-0.00060756i,-0.00057043+0.00012156i,0.00033387+0.00079283i,0.0010176+0.001265i,0.00060201+0.00037202i,0.0008308-0.00035214i,0.001773+7.6345e-05i,0.001861+0.001077i,0.0013169+0.00090668i,0.0012679-4.4128e-06i,0.0013876-0.00017106i,0.0008056-4.985e-06i,-7.0859e-05-9.0571e-05i,-0.0004076-0.00048774i,0.00030905-0.00048374i,0.00099867-0.00026659i,0.00098629-0.00017581i,0.00048081-2.5104e-05i,0.00045936-0.00027392i,0.0011813+0.00032326i
-0.001236+0.0024755i,-0.0019521+0.0022466i,-0.001328+0.00085617i,-0.00014713-3.0066e-05i,0.00047765-0.0010717i,0.00035338-0.0023164i,0.00011189-0.0017967i,6.4534e-05-0.001677i,0.00012599-0.00087495i,-0.0011053+0.0013269i,-0.0021466+0.0021648i,-0.0012795+0.0022445i,-0.00052425+0.0022628i,-0.00028795+0.0018924i,0.00010337+0.0015452i,0.00011011+0.0014501i,0.00042634+0.0007732i,0.00060744+0.00046115i,8.4718e-06+0.00021409i,-0.00033038-0.00049278i,-0.00027108-0.00049726i,-4.4051e-05-7.3047e-05i,-0.00012618+0.00050474i
-0.00041268-0.0038655i,-0.0015641-0.003101i,-0.0023808-0.0018464i,-0.0023642-0.00059469i,-0.0016103+0.00046777i,-0.00099658+0.00060653i,-0.00040405-0.00042339i,0.00037747-0.001225i,8.709e-05-0.0017546i,-0.00037517-0.0018027i,-0.00060586-0.0014642i,-0.00055196-0.00080536i,0.00051586-0.00071379i,0.0010064-0.000438i,0.00080482-0.00011829i,0.00032503-0.00039206i,0.00067121-0.00024805i,0.00094087-1.4612e-05i,0.00019298+0.00011623i,-6.0707e-05-9.5822e-05i,0.00020252-0.00074313i,0.00048169-0.00078818i,0.00087306-0.00089505i
0.0020797+0.0024291i,0.0017344+0.0013452i,0.0010774+4.1498e-05i,0.00057882+4.693e-05i,0.000339-0.00026605i,-0.00010607-0.00062524i,-0.00052128+8.3182e-05i,-0.00075871+0.00025876i,-9.8347e-05+0.00025507i,0.00030749+0.00095627i,0.00062825+0.0014836i,0.00098978+0.0012832i,0.00099722+0.0010185i,0.0010856+0.0003339i,0.00078739+3.6514e-05i,0.00058395+8.3502e-06i,0.00011447+4.6625e-05i,-0.00046769+0.00010266i,4.7345e-05-0.0002384i,0.00065311+0.00020706i,0.00087706+0.00062573i,0.00048594+0.00057807i,0.00023234+0.00055489i
-0.002834+0.001659i,-0.0028611+0.0025192i,-0.0010416+0.0037843i,0.0011402+0.0022609i,0.0021344+7.7211e-05i,0.0012653-0.0011922i,-0.00010294-0.0016785i,-0.00057944-0.0013041i,-0.00064257-0.00047567i,-0.0014066+0.0011496i,-0.002166+0.0019123i,-0.0017253+0.0015727i,-0.0011603+0.0012527i,-0.0011511+0.00095463i,-0.0013346+0.00061551i,-0.0014085+0.00051502i,-0.0017389+0.00042779i,-0.0016764-4.2454e-06i,-0.00038723-0.00060976i,0.00045197-0.00051514i,0.00020406-0.00035813i,-8.0597e-05+0.00040375i,-0.0001272+0.00069797i
0.0016581-0.0019659i,0.00096033-0.0037331i,-0.00019391-0.0042786i,-0.0013377-0.0027341i,-0.00091038-0.00034426i,-0.00059839+0.00077365i,0.00011732+0.00025667i,0.0012836-0.00010372i,0.0021412-0.00040908i,0.0024987-0.0011129i,0.0018721-0.0015065i,0.00043522-0.001453i,0.00048168-0.0015278i,0.00092913-0.0016653i,0.00052971-0.0013544i,0.00023381-0.00026574i,0.00036477+0.00083739i,0.00026162+0.0010449i,-0.0001793+0.0001619i,-0.00011661-0.00024335i,-0.00016229-0.00051594i,-0.00052935-0.00022639i,-0.0007392+0.0002253i
-0.0011175+0.0010384i,-0.00077104+0.0018214i,-0.0015945+0.0018322i,-0.0020534+0.0014898i,-0.0005915+0.001085i,0.00060224+0.00041495i,-0.00023845-8.5534e-05i,-0.00061883-0.0004906i,-0.00072791-4.5964e-05i,-0.0001781+0.00097256i,0.00033302+0.0014389i,0.00044349+0.0013292i,0.0010782+0.00085481i,0.0011093-0.00015505i,0.00070692-0.00031755i,0.00015649+0.0006215i,0.00029981+0.00027268i,0.00068724-0.00042408i,0.0010062-0.00081506i,0.00092109-0.00065417i,0.00085095-0.00038996i,0.00055498+0.00024523i,0.00060293+0.00077665i
-5.1191e-05+0.0016316i,0.00092144+0.0015905i,0.001461+0.00096024i,0.0019013-0.00061544i,0.0023638-0.0013939i,0.0014458-0.0017458i,0.00027994-0.0021143i,0.00022033-0.0014134i,-5.062e-05-0.00042972i,-0.0006355+0.00011131i,-0.00096473+6.2742e-05i,-0.00080592+0.00075401i,-0.00039377+0.0010041i,-0.0001105+0.00068975i,-0.00034549+0.00078953i,-0.0003321+0.00060301i,2.9119e-05+0.00014434i,0.00042749-0.00044707i,0.00035321+0.00020187i,0.00023483+0.0011376i,-5.8458e-05+0.00069476i,-0.00065215-0.00033691i,-0.00027103-0.00061905i
-0.00037176-0.0023534i,-0.0014332-0.0023227i,-0.0029294-0.002092i,-0.0028995-0.00058547i,-0.0017973+0.0005855i,-0.00034419+0.0008989i,0.00060178+0.0010391i,0.0010356+0.00016327i,0.0018057-0.00078736i,0.0019975-0.00080937i,0.0012398-0.00075128i,0.00046116-0.0012465i,0.00049076-0.0017963i,0.00067679-0.0020745i,9.7152e-05-0.002007i,1.5696e-05-0.00086232i,0.00077518-0.00046976i,0.00080772-0.0010364i,0.000354-0.00076369i,-0.00028447-0.00033729i,-0.00026108+0.00044019i,0.00015872+0.00086302i,8.6113e-05+0.00077214i
-0.001632+0.003403i,-0.00080183+0.0034378i,0.00039502+0.00331i,0.0010301+0.0017179i,0.00036222+0.00035049i,-0.00029031+3.9616e-05i,-0.0011032-0.00034223i,-0.00087724+0.00010004i,8.4919e-05+0.0013998i,0.00052548+0.0024998i,0.00072956+0.0028904i,0.00085326+0.0022145i,0.001364+0.0016667i,0.0015551+0.0009505i,0.0012555-0.00027194i,0.0007165+0.00014425i,0.00057791+0.0011675i,0.00051891+0.00061755i,0.00031067+0.00021137i,0.00064295-7.9069e-05i,0.00077125-0.00023978i,0.00068816+0.00058279i,0.00080089+0.0011936i
0.0014365-0.0034535i,0.0013931-0.0040192i,0.001367-0.0047579i,0.000848-0.0037782i,-0.00088538-0.0018677i,-0.0020056-0.00054092i,-0.0010681+1.2959e-05i,-0.00022827-3.7734e-05i,-0.00069386-0.00025206i,-0.0017785-0.00045806i,-0.0025937-0.0011773i,-0.0021013-0.00072557i,-0.0009425+0.0012332i,0.00018772+0.0021847i,0.0006895+0.0015756i,6.291e-05+0.0011516i,-0.00097987+0.0011613i,-0.001204+0.0010553i,-0.00034185+0.00076757i,0.00061359+0.0003718i,0.00036395-0.00012503i,-0.00016153-4.2458e-05i,0.00011437+0.00032311i
0.0042488+0.0023342i,0.0037731+0.0011544i,0.0025776-0.00041013i,0.0013832-0.0014864i,8.8429e-05-0.0026157i,-0.00059749-0.0028827i,-0.00091907-0.001556i,-0.00063811+5.0676e-05i,0.00051749+1.075e-05i,0.00096839-0.00083086i,0.00029561-0.0011346i,0.00010673-0.0010669i,0.00070397+7.7218e-05i,0.00070394-3.5516e-05i,5.9048e-05-0.0011345i,-0.0002081-0.0014067i,-1.6889e-05-0.00075918i,-0.00010666+0.00026518i,-0.00056854+0.0011802i,-0.00090564+0.001621i,-0.00093906+0.00075434i,-0.00036733-0.00030224i,0.00017193-0.00026024i
-0.0028536-4.8703e-05i,-0.0031871-0.00033381i,-0.0022182-0.00091314i,-0.0024061-0.00083536i,-0.0017625-0.00030539i,-1.9048e-06-0.00045395i,0.00039161-0.0010129i,0.000176-0.001574i,-0.00018182-0.00067694i,-0.00018041+0.00098599i,-9.4487e-05+0.001729i,-0.00063249+0.0015003i,-0.00027866+0.00037891i,0.00082685-0.00086376i,0.00087822-0.0007443i,0.00021669+0.0003009i,0.00062935+0.00095202i,0.00097577+0.0005549i,0.00023162+0.00014115i,-0.00026688-0.00044622i,0.00029041-0.00088124i,0.00049158-0.00077257i,0.00038368-0.00087637i
-7.5838e-05-0.002933i,-9.6635e-05-0.0025048i,-0.0023467-0.00016752i,-0.0019068+0.0017617i,-0.00053832+0.0022254i,0.00069129+0.0018657i,0.0013983+0.00065476i,0.00069137-0.00064476i,-0.00050416-0.00081607i,-0.0010509-0.00052507i,-0.00073555-0.00037681i,-0.00032121+0.00026341i,0.00030625+0.0007158i,0.00092649+0.00033252i,0.00020685+0.0002861i,-0.0010412+0.0011408i,-0.00097029+0.0016152i,-0.00047027+0.00080755i,-9.1819e-05-0.0001193i,8.7294e-05+0.00072632i,-8.5601e-05+0.00087675i,0.00052212+0.00022194i,0.00058339+0.00035739i
0.00035061+0.0031806i,0.00015962+0.0021974i,0.0015798+0.00098715i,0.0015776-0.0010098i,-0.00043024-0.0027629i,-0.00091388-0.0024509i,-0.0006029-0.0011532i,0.00016327-0.00022769i,0.0015758+0.00045585i,0.0015235+0.00031843i,0.0010168+0.00060207i,0.0010909+0.0013515i,-0.00015011+0.00092564i,-0.00089778-0.00061021i,-0.0010996-0.0013181i,-0.0018975-0.0011015i,-0.0015678-0.00098752i,-0.00037674-0.00072798i,0.00063524+9.0366e-06i,0.00018085+0.00029232i,-0.00033837+0.00013967i,-0.00054365-0.00027289i,-0.00050253-0.00070294i
-0.0024693-0.0017656i,-0.0031026-0.0011487i,-0.0018169-9.0525e-05i,-0.00017256+0.0023252i,0.00049301+0.0028619i,0.001176+0.00069936i,0.0011984-0.00076401i,0.00059824-0.00062442i,0.00021642+0.00026363i,-0.00041937+0.001377i,-0.0006519+0.0016487i,-0.00050969+0.0010526i,-0.0001238-1.4043e-05i,0.00010007-0.0010033i,1.7203e-05-0.0017564i,0.00020866-0.0011525i,4.1961e-05-0.00025428i,0.00027975-0.00056691i,0.00021608-0.0011783i,-2.4276e-05-0.00083853i,3.5262e-05-0.0005022i,0.0010569-0.00052681i,0.0012414-0.00029607i
0.0010882+0.00011725i,0.00066367+0.0006046i,-0.0013846-0.00075411i,-0.0014508-0.0012167i,-0.00056777-0.00017283i,0.00010596-2.321e-05i,0.00053175-0.00014088i,0.0010553-0.00074024i,0.00062916-0.0015879i,-0.00039085-0.0015419i,-9.3936e-05-0.00017026i,0.00018777+0.0016823i,0.00092329+0.0017826i,0.0017553+0.00038252i,0.0016223+0.001037i,0.0013954+0.0023798i,0.0012695+0.0017958i,0.0012149+0.00059i,0.00098759+0.00010083i,0.00096956-0.0006247i,0.0013518-0.0005943i,0.00082828-0.00016887i,1.5752e-05-0.00055497i
-0.0016277-0.0002906i,-0.00084311-0.0019326i,0.0011802-0.0018074i,0.0013281-0.0013026i,0.0010411-0.0016692i,0.00049262-0.0022628i,-0.00027011-0.0018764i,-0.00010294-0.00092386i,0.0010048-9.3441e-05i,0.0022628+0.00029658i,0.0023715+0.00048528i,0.0017812+0.0011736i,0.00087959+0.0019192i,-0.00053323+0.0015555i,-0.0012179+0.00012511i,-0.001408-0.00086362i,-0.001533-0.0010273i,-0.0011891-0.00093981i,-0.0010273-0.00043i,-0.00043174-0.0003716i,0.00037564-0.00056488i,0.00045912-0.00085292i,0.00022522-0.00042284i
0.0028579-0.0017418i,0.0012647-0.00099766i,-0.00092841-0.00094206i,-0.0021027-0.00056068i,-0.0014055+0.00020886i,0.00014645-0.00017104i,0.001177-5.3171e-05i,0.0010066+0.00063453i,0.00024516+0.00019178i,-0.00085398+8.0857e-05i,-0.001542+0.00086344i,-0.0010611+0.00055788i,-0.00049893-0.0001973i,0.00027926-0.0016739i,0.0010592-0.0021376i,0.0012744-0.0013219i,0.0013323-0.00062412i,0.0011938+0.00020223i,0.00029788+0.00013669i,-0.00016007-0.00027764i,4.1608e-05-0.00015169i,0.0003294-0.00077137i,0.00079405-0.00063031i
-0.00086497+0.00064304i,-0.00067959+0.00045658i,-0.00013484+0.00017856i,-0.00043163+0.0010772i,-0.0012337+0.0013687i,-0.0023772+0.00062521i,-0.0023668+0.00020589i,-0.00096311-0.0002889i,-0.00011163-0.0011864i,7.1919e-05-0.0013876i,0.00015956-0.00018215i,0.00043244+0.00095031i,0.001122+0.00087039i,0.0012147+0.00024833i,0.00036188+0.00058238i,4.3743e-05+0.0018322i,-5.1331e-05+0.0014743i,0.00048852+0.00013787i,0.0011133+0.00024654i,0.00072311+0.00020221i,0.00026718-0.00090632i,0.00027961-0.001162i,-0.00034824-0.00081871i
2.5828e-05+3.6976e-05i,0.0014811+0.00017544i,0.0027796+0.00059264i,0.0035361-0.00051309i,0.0037364-0.0029659i,0.0028742-0.0036845i,0.0010017-0.0022604i,-0.00041544-0.00036295i,-0.00056035+0.0011572i,-0.00025086+0.001687i,-0.00053326+0.00085878i,-8.9051e-05+0.00038109i,0.00022763+0.0016492i,-0.0013244+0.0018611i,-0.0020753+0.00099784i,-0.0014952+0.0006511i,-0.00085664+0.00066652i,-0.00054958+0.00078663i,-0.0012621+0.0005908i,-0.0014982+9.569e-05i,-0.00070769-0.00010892i,-0.00012105+0.00043304i,-0.00010796+0.0007523i
-0.00083613+0.0014296i,-4.9318e-05+0.0034943i,-0.00095006+0.0035075i,-0.001986+0.0027972i,-0.00058492+0.0027191i,0.0013851+0.0023488i,0.0017886+0.0011419i,0.001491+2.1778e-05i,-1.9488e-05-0.00040289i,-0.001511+0.00031999i,-0.00096462+0.001132i,-0.00024094+0.0011096i,0.00035916+0.00023205i,0.0010157-0.0019929i,0.00134-0.0027091i,0.00090518-0.0015357i,-0.00010134-0.00044779i,-0.00088142-0.00052433i,-7.9016e-05-0.00086207i,0.00067491-0.0011765i,0.00042117-0.00092501i,-0.00029306-0.00065518i,-0.0007449-0.00021359i
-0.0018009-0.002546i,-0.0017033-0.0035211i,-0.0017064-0.0032333i,-0.0018827-0.0016204i,-0.0028403-0.0012522i,-0.0031993-0.00075331i,-0.0017616+3.8292e-05i,2.7752e-05-0.00019625i,0.00095296-0.00015538i,0.00052464-0.00013717i,0.00029416-3.5463e-05i,0.00064103+0.00033749i,0.0016272+4.0271e-05i,0.0026519-7.4091e-05i,0.0019041+0.000303i,0.00028903+0.0010288i,-0.00046628+0.0014841i,-0.00019284+0.001117i,0.00042722+0.00066914i,0.00051202+0.0012033i,0.00015714+0.00070644i,0.00060427-0.00032712i,0.0008174-0.00028335i
0.0033666-0.0017729i,0.0030804-0.00081534i,0.0012446+0.00012096i,-0.00023735-2.376e-05i,-0.00010399-0.00053555i,0.00017517-0.00078191i,0.00060373-0.00074285i,0.00033339-0.00020934i,-0.00020187+0.00044072i,-0.00049622+0.00074534i,-0.00059401+0.00064779i,-0.00070347+0.00071653i,-0.0001748+0.0016379i,0.00040824+0.0024464i,0.00037798+0.0016465i,0.00029835+0.001022i,0.00044936+0.0006751i,-4.8314e-05+0.00029186i,-0.0013148+0.00083505i,-0.0013833+0.00084361i,-0.00020503+0.00092393i,0.00054382+0.0010567i,0.0010901+0.00045688i
0.00021166+0.00017998i,-0.00050337+0.00078699i,0.00038129-3.7956e-05i,-0.00028758-0.00076567i,-0.0012246-0.00026977i,-0.0012656+0.0020325i,-0.0010317+0.0030316i,0.00013615+0.0010257i,0.0010412-0.0011914i,0.00015243-0.00084561i,-0.0010061+0.00057398i,-0.0010053+0.00084991i,-0.00056401-0.00041078i,-0.0002132-0.0015623i,0.00012277-0.0019953i,0.00032199-0.0018999i,0.00040107-0.001552i,0.00064863-0.0011099i,0.00026795-0.00072456i,-0.00064612-0.0012741i,-0.00070841-0.0018506i,-0.00059173-0.0012519i,-0.001204-0.00088688i
0.00046776-0.0019i,-2.6732e-05-0.0020265i,-0.00064163-0.0012765i,-0.00097279-0.00035161i,-0.0015858-0.00074982i,-0.0024676-0.002129i,-0.0017185-0.0019907i,-7.8767e-05-0.00060467i,0.0010015+0.00011897i,0.0011325+7.5822e-06i,0.00088404-8.5995e-05i,0.00083571+0.00043621i,0.0011341+0.00066947i,0.0012341-3.2682e-05i,0.00096028+0.0001955i,0.00062588+0.00073888i,0.0012529+0.00023141i,0.0018059-2.7972e-06i,0.0011862+0.00069297i,0.00078788+0.00013855i,0.00043498-0.0010288i,0.00013806-0.0010683i,0.00015786-0.00065657i
0.001006+0.0026446i,0.00051069+0.0027217i,0.00029467-0.00065187i,0.0012581-0.0020977i,0.002333-0.001036i,0.0034412+0.00014135i,0.002922-2.631e-05i,0.0012675-0.001116i,-0.00027256-0.00094732i,-0.00085608+8.3515e-05i,-0.0003117+0.00040687i,-8.4913e-05+0.00028126i,-0.00037721+0.00065235i,7.1333e-05+0.00099614i,0.00031861+0.00079105i,-0.00046287+3.3047e-05i,-0.00045219-0.00068777i,-0.00023466+0.00010463i,-0.00035555+0.0010273i,0.0003987+0.0014297i,0.00085042+0.0011304i,0.0010367+0.00079973i,0.0012945+0.0013128i
-0.001373+0.00069345i,-0.0015804+0.0011479i,-0.00039776+0.00051783i,0.00046948+0.00051664i,-0.00018176+0.00081835i,-0.0012084+0.00094655i,-0.00025835+0.00087528i,0.00096573+4.6931e-05i,0.0003414-0.00062729i,-0.00038407-0.0008754i,-0.00051462-0.00011292i,-0.0011681+0.00053343i,-0.001214-0.00042529i,-0.00065589-0.0013272i,-8.0794e-05-0.0014719i,0.00040435-0.00066881i,0.0001077-3.7709e-05i,2.2713e-05+2.9158e-05i,0.00026063-7.5015e-05i,3.6139e-05-0.00063846i,-0.0008427-0.00051421i,-0.00085438-0.00047242i,-0.00014134+0.00022077i
0.0021103+0.001636i,0.0018188+0.00086228i,0.00072263+0.0002816i,-0.00029987-0.00070955i,-0.00097387-0.002971i,-0.0017908-0.0037122i,-0.0013662-0.0029863i,-0.00063148-0.0018212i,0.00042086-0.00063587i,0.0013687-0.00037872i,0.001073-0.00067114i,-0.00010325-0.00027423i,-0.00018514+0.00017332i,0.0009727-3.8555e-05i,0.0013572-0.00034671i,0.00063373-0.00093694i,-0.00016258-0.0010889i,-0.00036501-0.00054234i,-2.2436e-05-0.00018018i,0.00087188-0.00022953i,0.00046882-0.0010106i,4.5927e-06-0.0014239i,0.00011644-0.00099959i
0.0011755-8.8382e-05i,0.00056021+0.00029784i,-0.00013679-0.00125i,0.00054525-0.0024535i,0.0021857-0.002049i,0.0030235-0.00041i,0.0028573+0.00046003i,0.001754-9.7041e-05i,-0.00029459-0.0013489i,-0.00096728-0.0012548i,-0.0001635+6.5752e-05i,-0.00034415+0.00074259i,0.00018708+0.00083789i,0.0011751+0.0011465i,0.0013943+0.00016889i,0.00078394+0.00025477i,-0.00014573+0.00062122i,-0.0001457-0.00017833i,-0.00085375-0.00025927i,-0.0012943+0.00013362i,-0.00036826+0.00053426i,-0.00036817+0.00027962i,-0.00059611+9.817e-05i
0.0021898-0.0015671i,0.0015133-0.0021606i,0.0011556-0.0020293i,0.00020588-0.00065494i,-0.0012082+0.00093158i,-0.002731+0.0017717i,-0.0025513+0.00096017i,-0.00068147+7.8254e-05i,-2.096e-05-0.00070484i,-0.00038493-0.0008518i,-0.00049925-0.00033637i,-0.00039374+0.00094723i,-8.454e-05+0.0022581i,0.00022021+0.0019667i,0.00080376+0.00090994i,0.00069247+0.00041338i,-0.00046301-0.00057538i,-0.0007941-0.00092642i,9.3924e-05-0.00026788i,0.00049548-0.00036873i,-8.9672e-06-8.3536e-05i,-0.00028701+4.2586e-05i,-0.00079156-0.00023903i
0.0023949-0.0014885i,0.0031168-0.002295i,0.0021305-0.0028105i,-0.0014725-0.0028615i,-0.0037503-0.0034524i,-0.002332-0.0032703i,-0.0007597-0.0023637i,0.00055122-0.0017917i,0.0015201-0.00035031i,0.00070109+0.00099309i,-0.00048103+0.00074195i,-0.0007721+0.00037865i,-0.00034356+0.00023967i,0.00040882-4.4095e-05i,7.5276e-05-0.0007079i,-0.00025984-0.00062489i,-0.00024524+9.7556e-05i,-0.00036561-6.3049e-05i,-0.00018072-0.00027075i,0.00062931+0.00013586i,0.00066776+0.00014572i,-0.00014098-0.00067455i,-0.00085657-0.0017075i
-0.0012322-0.0011948i,-0.0019989-0.00014618i,-0.0027339-0.00089761i,-0.00091171-0.0014285i,0.001538-0.0002642i,0.0022331+0.0018404i,0.0025717+0.0020267i,0.0014493+0.00026666i,-0.00015924-0.00059992i,-0.001462-0.00019298i,-0.0019113+0.00034773i,-0.00095961+9.3574e-05i,0.00085897-0.00035895i,0.0017155-0.00081793i,0.0014569-0.0012633i,0.0013046-0.0011009i,0.0010495-5.0696e-05i,0.00050083+0.00057755i,0.00046251+0.00017507i,2.5373e-05-0.00035395i,-0.00060191-0.00029753i,0.00048243+0.00037092i,0.00073443+0.0010359i
0.0029636-0.0011637i,0.0020116-0.0022108i,0.0010508-0.0011976i,0.0008498+0.00037287i,-0.00034506+0.0015086i,-0.0023157+0.0022133i,-0.0029323+0.0019796i,-0.00098206+0.0018306i,0.00085612+0.00064527i,0.00052899-0.00016965i,-0.00050003+0.00060406i,-0.00034095+0.0010845i,8.4998e-07+0.0014342i,6.3546e-05+0.0014123i,0.00043603+0.0013335i,0.0008213+0.0010605i,0.001367+0.00037012i,0.0011316-0.00034744i,0.00027979-0.00077315i,6.6812e-05-0.00073845i,-0.00024748-0.000438i,-2.6765e-07+3.0014e-05i,-0.00023752+0.00037881i
-0.0011375+0.00087267i,0.0013531+0.00015958i,0.0013504-0.0015813i,-0.00062372-0.0023146i,-0.0014928-0.0031341i,-0.00031806-0.0044961i,0.00061478-0.0032837i,-0.00016614-0.0010131i,-0.00060086+0.00028784i,-0.00013175+0.00090379i,-0.00022276+0.00078421i,-0.00095228+0.00048623i,-0.0012771+0.00014471i,-0.0017781-0.0005i,-0.0021375-0.00074597i,-0.0013834-0.00072258i,-0.00058135-0.00036649i,-0.00024048+0.00019934i,0.00039182+0.0010327i,0.00042516+0.0010439i,0.00027933+0.00038087i,-0.0001046-0.00017381i,-0.00031848-0.00069396i
-0.0019728+1.7961e-05i,-0.00085105+0.00061665i,0.00073938+0.0019385i,0.0024119+0.0014659i,0.0038353+0.0010135i,0.004598+0.0018681i,0.0031498+0.001994i,0.0010264+0.00078422i,-5.7273e-05-0.00045085i,-0.00045031-0.0003913i,-0.00052185-7.8298e-05i,0.0003122-0.00055583i,0.0015655-0.00090618i,0.0021483-0.0014102i,0.0021163-0.0014323i,0.0017571-0.00083552i,3.3684e-05-0.00067358i,-0.0010752-0.00036143i,-0.0010154+0.00045574i,-8.2769e-05+0.00044025i,0.00057735+0.00065038i,-1.9612e-06+0.00047018i,-0.00031522-0.00032614i
