-0.0014813-0.00062558i,-0.00059578-0.00067284i,-0.00037504-0.00032552i,-0.0015089+0.0011487i,-0.0019874+0.0019465i,-0.0014372+0.0011723i,-0.00068116+0.00046855i,0.00094747+0.00088064i,0.0020655+0.0014607i,0.001985+0.00088582i,0.0015059+0.00024117i,0.0014155+0.00045252i,0.001305+0.00054583i,0.00095327+3.0717e-05i,0.00053166-0.00031379i,-0.0004194+0.00019825i,-0.00070459-0.00010795i,-0.00047363-0.00036598i,-0.00044163-0.00058857i,1.3125e-05-0.0011762i,0.0003348-0.00098942i,0.00072229-0.00015266i,0.00048853+0.00019752i
0.00037169+0.00041481i,-0.00032214+0.00018795i,-0.00040606+0.00012465i,-0.00096841+1.2491e-05i,-0.00060378+0.00063078i,7.2338e-05+0.00082528i,0.0002762+0.00037335i,0.00074971-0.00025557i,0.00025265-0.00075596i,-9.6097e-06-7.9778e-05i,0.00054727+0.0010496i,0.0011034+0.0010734i,0.0012496+0.00042437i,0.00025595+0.00023343i,-0.00086939+0.00035166i,-0.00022139+0.00059703i,0.00036333+0.00030328i,0.00064863+0.00040699i,0.00069803+0.0011488i,-2.4197e-05+0.00043189i,4.2383e-05-0.00066651i,0.00013965-0.0004423i,-0.00026791-0.00021347i
-0.0010656-0.00090792i,-0.001311-0.0015114i,-0.0017608-0.0018547i,-0.0017506-0.00084669i,-0.0015847+0.0001995i,-0.00059413-0.00028609i,-2.1106e-05-0.0007848i,-0.00029817-0.00095693i,0.00046324-0.00068637i,0.00031024-0.00071277i,-0.00047837-0.00087406i,-0.00038421-0.00044733i,0.00016088-0.00053112i,0.00028783-0.00023548i,-0.00065019-0.00078007i,-0.00075355-0.0016148i,-0.00056506-0.00093256i,-0.00034954-0.00027608i,0.00023313-0.00023232i,0.00052035-0.0006151i,0.00042823-0.00073201i,-0.0001208+2.7463e-05i,0.00014619-1.8991e-06i
-0.001361+0.00034282i,-0.0015902+0.001033i,-0.0017581+0.0025313i,-0.0008973+0.0034851i,-0.00018401+0.0025209i,0.00079471+0.0016553i,0.0010205+0.00038525i,0.00027296-0.00018561i,-2.3967e-05-5.9564e-05i,-0.00047522-0.0001346i,-0.00049538-2.7317e-05i,-0.00037878+3.2049e-05i,-0.00030522-0.00038674i,0.00018132-0.0012092i,0.00033211-0.0008261i,-0.00022979+0.00021285i,-0.00015813+0.0005653i,0.00079846+0.00063654i,0.0012483-0.00026006i,0.00086975-0.00046984i,0.00085497+0.00032027i,0.00098941+0.00036329i,0.00045815+0.00034105i
0.0017863+0.00012388i,0.00069196-0.00014474i,0.0010041-0.00027491i,0.00046374-0.0004805i,-0.00015777-0.00037367i,-0.00022684-0.00041023i,-0.00013721-0.00027757i,0.00027421-0.00032674i,0.00059795-0.000582i,0.00091581-0.00079476i,0.00067509-0.00094432i,0.00022921-0.00025809i,-0.00023012+0.00098992i,0.00062932+0.0013157i,0.0012188+0.00061635i,0.00075666+3.3352e-05i,0.00063492-0.00037415i,0.0011049-0.00056796i,0.00079118+0.00029613i,0.00044291+0.00088055i,0.001054+0.00057281i,0.0010841-3.8643e-05i,0.00037804-0.00026181i
-0.00053949+0.00064679i,-0.00016819+0.00090879i,-0.0012637+0.00079506i,-0.0019859+0.0019403i,-0.0011584+0.0025375i,-0.00051603+0.00065282i,-0.0010403-0.00084671i,-0.0012366-0.00079996i,-0.00048114-0.00058795i,-0.00025752-0.00057564i,-0.00051772-0.00013014i,-0.00031202+5.6681e-05i,0.00010314-0.00016673i,0.0006549+9.3294e-05i,0.00024847+0.00050758i,-0.00036011+5.1805e-05i,5.589e-05-0.0007878i,0.00073324-0.00083444i,0.0005753+0.00023557i,-1.513e-05+0.0001642i,-1.9789e-05-0.00036739i,0.00014511+8.5428e-05i,0.00081273+0.00045842i
0.0016444-0.0001725i,0.0010611+0.0010464i,0.00038157+0.00088309i,-0.00028115-9.6968e-05i,0.00050228-0.00022012i,0.00081779+0.00033373i,0.00047093+9.4492e-05i,0.00023849-0.00017149i,-0.00065306-0.00015256i,-0.00084522-0.00023758i,-0.00013871-0.00011769i,0.00067687+5.7389e-05i,0.00086464-0.00026354i,0.0002845-0.00082501i,0.00028475-0.00041719i,0.00040963+0.00029096i,-0.00032974+0.00015818i,-0.00055129+0.00050237i,-0.00080644+0.00025641i,-0.00076293+0.00012663i,0.00016763+0.00068239i,0.00051337+0.00095157i,0.00011456+0.00051576i
8.0222e-05+0.00092068i,-0.00038653+0.0010264i,-0.00033345+0.0013057i,0.0005807+0.0018129i,0.00052073+0.0010785i,-0.00055449-0.00024902i,-0.0006714-0.00020556i,-0.0004812-0.00010431i,-0.00062379-0.00019291i,-0.0004156-7.455e-05i,0.00032331+0.00020557i,0.0012023+0.00017244i,0.0011536-0.00011609i,0.0012391+0.00011612i,0.0012605+0.00020674i,0.0010364+0.00016371i,0.00099181-0.00018959i,0.0010535+0.00044901i,0.0010301+0.00072574i,0.0006599+9.7605e-05i,1.8255e-05-0.00021898i,-0.00025596-0.00048923i,-4.3854e-05-0.00012737i
-3.236e-05+0.00029951i,-0.00079326+0.00055176i,-0.00065452+0.0010527i,-0.00051335+0.0012987i,-0.00094537+0.00075387i,-0.00089677-9.6353e-05i,-0.00043495-0.00064601i,-0.00017617-0.0010741i,-0.00067938-0.00083588i,-0.00037755-0.00039838i,-0.00040299+0.000308i,-0.00056576+0.00047813i,-2.255e-05-0.00022673i,0.00025817-0.00019653i,0.00013387-0.00016707i,-5.589e-05-0.0006913i,-1.933e-05-0.0004056i,0.0010529-0.00019051i,0.001581-0.00021714i,0.0010487-6.8e-06i,0.00068329+0.00072872i,0.00072992+0.00059383i,-0.00011683-0.00088731i
0.00058409+0.00059112i,0.00078879+0.0003595i,0.0017587+0.00076362i,0.0021067+0.00077845i,0.0010397+0.00080294i,0.00071626+0.00051914i,0.00026984-0.00029577i,-0.00011739-0.00041522i,-0.00017126-0.00035988i,-0.00041405-0.00028512i,0.00022732+0.00016443i,0.00080784+7.4444e-06i,0.00054294-0.00042213i,0.00027018-0.00041377i,0.00010212-0.00010535i,0.00020981+9.3153e-05i,0.00048267-4.5665e-05i,7.9596e-05+1.9976e-05i,-0.00024863+0.00038333i,0.00053392+1.6743e-06i,0.00098667+0.00012031i,0.0010771-9.4937e-05i,0.00085338-0.00035001i
-0.0006755-0.00021515i,-0.000994+0.00067413i,-0.0019105-0.00087336i,-0.0018076-0.0008779i,-0.00038492-1.7862e-05i,0.0010294-4.9531e-05i,0.001175-0.0003551i,0.0007518-0.0010825i,0.0004704-0.001279i,9.5108e-05-0.0013155i,0.00042884-0.0008974i,6.6753e-05-4.9112e-05i,-0.00055197-5.0752e-05i,-0.00064904-0.00083442i,-4.2828e-05-0.0011002i,0.00032918-0.0012093i,-4.1698e-05-0.00073155i,-0.00018113+1.6025e-05i,0.00031901-0.00077681i,0.00052673-0.00098738i,0.00028233-0.00026972i,8.7312e-05+0.00071514i,-0.00011499+0.0010165i
-0.00051546-0.0017403i,-0.0011192-0.00076553i,-0.0020843-0.0017016i,-0.0016477-0.001208i,-0.00044232+0.00023313i,0.00051485+0.00081708i,0.00098833+0.00020769i,0.00055343-0.00023851i,0.00022553-0.00048229i,4.2052e-05-0.00084764i,-0.00045276-0.00056966i,-0.00084269+0.00059452i,-0.00060859+0.0013738i,-0.00034795+0.00054836i,-0.0002691-0.000541i,-0.00034974-0.00023785i,-0.00017041+0.00047149i,-6.7906e-05+0.00053467i,-0.00028835+0.00062527i,0.00016734+0.0006899i,0.00080864+0.00048351i,0.0008211-7.738e-05i,0.00017633-0.00024809i
-0.00026586+0.00020534i,-0.00081503-0.00040227i,-0.00033419+6.6296e-05i,-0.00065759+0.00051641i,-0.0015142-0.00013934i,-0.0019402-0.0017376i,-0.001872-0.0017815i,-0.00047799-0.00078914i,0.00013-0.00010174i,-0.00025411+0.0001963i,-0.00058833-2.1646e-05i,-0.00059492-0.00010036i,0.00045151-2.7172e-05i,0.0010485+0.00017192i,0.0006169+0.00023302i,0.00048479-0.00043137i,6.0647e-05-0.00050014i,-0.00049116-0.0005722i,3.5643e-05-0.0008696i,-3.0557e-05-9.7029e-05i,8.5593e-05+0.00027528i,-0.00011524-0.00051583i,-0.00084652-0.0010441i
0.00030333-0.00019872i,-7.2884e-06-0.00027109i,0.0006206-0.00098396i,0.00073743-0.0015249i,0.00065789-0.0012966i,6.8646e-05-0.00052037i,-0.0001111-0.00039392i,4.2322e-05-0.00053965i,-0.00053715-0.00076629i,-0.00021271-0.00073941i,0.00033243-0.0012221i,0.00020111-0.0018028i,0.00029802-0.0010626i,0.00071036-0.0003478i,0.00076136-0.0005706i,0.00035989-0.00077053i,0.00027138-0.00046045i,0.00084012-0.00017106i,0.00088633+2.3313e-05i,0.00054584+0.00029185i,-5.4807e-05+0.00025776i,-0.00020941+0.00021168i,-0.00039297-9.3486e-05i
-0.0003027+0.0032513i,-0.00063591+0.0016988i,0.00028991+0.0021976i,0.00084946+0.0022586i,0.0014128+0.00048048i,0.0005367-0.0012844i,-0.00049608-0.0013342i,0.0001118-0.00014879i,-2.7476e-05+0.00088112i,-0.00015562+0.00078976i,0.0003192-8.3516e-05i,0.00051331-0.00056695i,0.00080025-0.0004644i,0.0010513+0.00044733i,0.0011185+0.00077403i,0.00092007+0.00024519i,0.0012173-2.5451e-05i,0.0017144-0.0004599i,0.00092872+0.00034213i,0.000224+0.00081106i,0.0005523+2.6953e-05i,0.00059301+0.00022861i,0.00011052+0.00059988i
-0.0014897+0.0018027i,1.4014e-05+0.0024611i,0.00071348+0.0025354i,0.0012221+0.0022951i,0.0017329+0.002013i,0.0010452+0.00023596i,-0.00019244-0.0011543i,-0.00091999-0.0012637i,-0.001245-0.000809i,-0.0013531+0.00030573i,-0.0014479+0.0010674i,-0.0013583+0.00057642i,-0.00060174+1.8536e-05i,-0.00042176-0.00047642i,-0.00045424-0.00035235i,-4.1868e-05+9.9133e-05i,7.0182e-05+0.0008453i,-0.00097193+0.0010956i,-0.00050898+0.00069492i,0.00025562+0.00052405i,0.00015839+0.00049717i,0.00021541+0.0006672i,0.00056205+0.00024952i
-0.0018067+0.00052979i,-0.0011255+0.00051907i,-0.0017065+0.00099635i,-0.0016874+0.0016343i,-0.00074616+0.0015845i,-0.00072942+0.00066433i,-0.0020673-0.00078637i,-0.0026475-0.0011701i,-0.0023972-0.0003078i,-0.0017086+0.0003321i,-0.00069357+0.00030607i,-0.00016493+0.00032934i,0.00042569+0.00054099i,4.5382e-05+0.0004224i,-0.00086256-5.2891e-05i,-0.0009842+4.5682e-05i,-0.0012026-3.6755e-06i,-0.00089533+0.00026631i,-3.8917e-05+0.00027081i,0.00050665-2.9725e-05i,0.00035036-0.00037132i,0.00029755-0.00024813i,0.00090557+0.00012159i
0.00035155+0.00051291i,-0.00022948+0.0001049i,-1.5656e-05+0.00045946i,0.00050035+0.0010318i,0.0010699+0.0012866i,0.0024527+0.0010894i,0.0040823+0.0014542i,0.00448+0.0012966i,0.0036672-0.00065091i,0.0029919-0.002286i,0.0023604-0.0025008i,0.0010892-0.0023453i,0.00037736-0.0014181i,0.0010087-0.00082536i,0.0010972-0.00080393i,0.00023918-0.00060975i,-0.00043803-0.00075852i,-0.00061159-0.00071038i,-0.000925-0.00014277i,-0.00068037+0.00048899i,2.2335e-05+0.00095169i,0.00024177+0.00095986i,4.4091e-05+0.00091256i
-0.00023775-0.0012084i,-0.0014884-0.00080416i,-0.0015817+0.00031318i,-0.0011715+0.00065008i,-0.0012095+0.00093759i,-0.0009843+0.00093996i,-0.00027335+0.00024277i,-0.00021072+2.7665e-05i,-0.00017427-0.00064805i,8.362e-05-0.0014158i,-0.00039511-0.00085537i,-0.00054131+0.00011953i,0.00056955+0.00032575i,0.00045311+0.00018672i,-0.00025582+0.00039578i,-0.00061683+0.0011136i,-0.00046509+0.0010459i,-0.00049094+9.0241e-05i,-0.00063284+0.00025206i,0.00025636+0.000429i,0.00027484+0.000235i,0.00052569-0.00017501i,0.0010493-0.00042662i
-0.001639+0.0040571i,-0.00092016+0.0047939i,0.00041603+0.0058831i,0.0019396+0.004523i,0.0024652+0.0022766i,0.002584+0.00029719i,0.0018282-0.00044808i,0.00087624+0.00021979i,0.00048277+0.00021808i,0.0010883-6.0377e-05i,0.0016453-0.00019596i,0.00118-0.0010802i,0.0011768-0.0021988i,0.0016306-0.0018483i,0.00105-0.0009812i,-0.00043731-0.0009167i,-0.0010433-0.00076843i,-0.00015134-0.0002163i,0.00054421+0.00047784i,-0.00014851+0.00078227i,-0.00066743+0.00081134i,0.00019189+0.0005686i,0.0012349+0.00045373i
-0.00012395-0.00037913i,-2.502e-06-0.00065659i,0.0010435-0.0011852i,0.0010245-0.00057932i,0.00046249-0.00059641i,0.00016702-0.00053189i,0.00083099-0.00061609i,0.00051302-0.00082453i,0.00037198-0.0012103i,0.0010094-0.0013006i,0.00081857-0.00086379i,0.0005853-0.00042063i,2.8313e-05-0.00026239i,-0.0004835-0.0006526i,6.6314e-05-0.00030646i,0.00023193+3.2822e-05i,-0.00018659-0.00033669i,0.00015901-0.00034158i,-8.0488e-06+6.1093e-06i,0.00013344+0.00022101i,0.00035841+0.00042789i,-7.5646e-05+0.00079077i,-0.00014724+0.00092302i
-0.0015753+0.00041385i,-0.0025314-0.00016372i,-0.0033508+0.0013673i,-0.0025509+0.0020402i,-0.00079379+0.0015463i,0.00018876+0.00087273i,0.00039738+7.79e-05i,6.2048e-05-0.00010777i,-0.0005492-0.0003402i,-0.00067671-0.00015329i,-0.00076929+0.00085565i,-0.00086656+0.0012575i,-0.00016066+0.00088362i,0.00072166+0.00070663i,0.0012976+0.0013718i,0.00098155+0.00037774i,0.00027675-0.00070425i,4.3282e-05-0.00089723i,0.00069185-0.00078971i,0.00039505-0.00013189i,0.00019564+0.000141i,0.0010256-0.0001137i,0.00072123-4.8508e-05i
0.0029512-5.7703e-05i,0.0012308-0.0013786i,0.0018447-0.0017168i,0.0021323-0.0019099i,0.00045781-0.0019088i,-0.00086807-0.00069266i,-0.00048207-0.00056302i,-0.0002515-0.0009801i,-0.00027546-0.00047366i,-0.00015389-0.00043617i,-0.00054556-0.001805i,-0.001247-0.0023235i,-0.0014878-0.0013171i,-0.0010359-0.00081794i,-0.0011539-0.00061897i,-0.0012884-0.00071592i,-0.00039484-0.00063197i,0.00027585+7.9657e-05i,0.00040855+0.0004156i,9.5113e-05+0.00028653i,0.00014783-4.5654e-05i,0.00049193-0.00057431i,0.00037956-0.00073339i
-0.00036958-0.0014567i,-0.0010883-0.00072415i,-0.001798-0.000793i,-0.0016007+3.6384e-05i,-0.0011005+0.00023739i,-0.00072201-0.00021186i,5.3784e-05-0.00020807i,0.0012198-5.4008e-05i,0.0016795-0.0004153i,0.0012395-0.00079029i,0.00035247-0.00049592i,-3.6819e-05-0.00067329i,5.8514e-05-0.00018688i,0.00039071+3.8082e-05i,0.00064459+7.0014e-05i,-0.00019508+0.0006075i,-0.0010265+0.00091074i,-0.00064408+0.00051262i,0.00022203+0.00036791i,0.00081301+0.00047202i,0.00061409+0.00022646i,0.00022944-0.00010548i,0.00052226-0.00064527i
0.00094188+0.0010994i,6.1741e-05+0.00097217i,-0.00068125+0.0010292i,-0.00060561+0.0010236i,-7.5659e-05+0.00038166i,-0.00057938-0.0001254i,-0.00019209-0.00017063i,0.00021313+0.00045926i,0.00046663+0.0003742i,0.0012-0.00043287i,0.0012288-0.00038381i,0.0009162-0.00018047i,0.00088452-3.4546e-05i,0.0010528+0.00062082i,0.0010102+0.00043801i,0.00072662+0.00019775i,0.00047259+0.00020743i,0.00068673+0.00033745i,0.00056839+2.0207e-05i,-0.00010707+3.2498e-05i,0.00021008+0.00096397i,0.00027545+0.00081831i,0.00014403+7.2711e-05i
8.5397e-05-0.00049516i,-0.00050466-0.00092944i,1.9574e-05-0.0018257i,-0.00028007-0.0010335i,-0.0012657+0.00031067i,-0.00087598-9.2583e-05i,1.6278e-05-0.00065516i,0.00020597-0.00075387i,0.00024117-0.00045457i,0.00051161-0.00069134i,0.00022872-0.0009888i,-0.00059842-0.00066509i,-0.00098745-0.00070176i,-0.00011473-0.00023117i,0.00020314+0.00016732i,0.00064243-0.00017332i,0.00066326-0.00062895i,-0.00024637-0.00040117i,-3.1048e-05+0.00049171i,0.00069438+0.00016173i,0.00038716-0.0001661i,-0.0002956+0.00019445i,-7.5804e-05+0.0005282i
0.00048542-0.0017897i,-0.00027049+0.00019927i,0.00024449+0.00052338i,0.00052602+0.0002766i,-0.00065312+0.00011695i,-0.00067648+3.3922e-05i,0.00065195-0.00013992i,0.001768-0.00065232i,0.0011357-0.0014012i,-0.00020169-0.0015159i,-0.00084413-0.0011108i,-0.00072611-0.0012747i,-0.00020735-0.001223i,0.00033673-0.00079384i,-0.00044179-0.001305i,-0.00088176-0.0010661i,-0.00052908+0.00036512i,-0.00065187+0.00064283i,-0.00014206+0.00066516i,0.00066053+0.0006816i,0.00037962+0.00019785i,0.00018913-0.00044221i,0.00026115-0.00032537i
-0.00015374-0.0021962i,-2.2411e-05-0.002249i,0.00036499-0.0022699i,-0.001294-0.0011148i,-0.0024722-0.0010929i,-0.0017711-0.00096514i,-0.0011679-0.00015347i,-0.00060818-0.00028758i,-0.00022202-0.0012387i,-0.0005291-0.0019552i,-0.00039444-0.0020624i,-0.00035617-0.0017109i,-0.00025821-0.00074052i,0.00065597-0.00044922i,0.00082717-0.00050141i,0.00025059-6.8787e-05i,-0.00018044+0.00054939i,-0.00037008+0.00078729i,-0.00072251+0.00028629i,-0.00059339-0.00046537i,8.1113e-05-0.00018251i,9.2159e-05+2.4505e-06i,6.8924e-05-0.00027146i
-0.00032498-0.0022492i,-0.0012548-0.00075462i,-0.0032071-0.00073425i,-0.0028977+0.00042344i,-0.0016302+0.0012042i,5.6336e-05+0.0012379i,0.00092179+0.0011199i,-3.4888e-06+0.00015325i,-0.00086546-0.00063982i,-0.0009913-0.00055754i,-0.0006175-0.00010366i,-0.00013678+0.0008002i,-5.4461e-05+0.0014752i,-0.0002153+0.0014613i,0.0002893+0.00092288i,0.0010483+0.00081548i,0.0010654+0.00045657i,0.0010012-0.00064397i,0.0008414-0.00015584i,-4.3982e-05+0.00069884i,-0.00061966+0.0005119i,-0.0010917+0.00083573i,-0.00044726+0.0005816i
-0.0015376+0.00069499i,-0.0022817+0.00078256i,-0.0018014+0.0021758i,-0.00084547+0.0030659i,-0.00025527+0.0023953i,0.00041145+0.00053289i,0.00073527-0.00070193i,0.00061868-0.00032877i,0.00063238+0.00015188i,0.00035429+0.00049072i,-0.00046052+0.00038885i,-0.00090186+0.00020129i,-0.00036711+0.00038407i,0.00074762-0.00020404i,0.00060977-0.00044301i,4.0169e-06-0.00016337i,5.8954e-05-0.00022435i,0.00024234-0.00019159i,0.00076692-0.00030406i,0.00075872-0.00056298i,0.00018472-0.00039306i,0.00078182-0.00053151i,0.0010612-0.00079944i
-0.0010574+0.00037313i,-0.0022386+0.0010701i,-0.0036949+0.00070634i,-0.0030442+0.0010131i,-0.0013164+0.0021427i,0.00019321+0.0014963i,0.0006769-0.00037487i,-6.0146e-05-0.00088465i,-0.00014703-0.00052044i,0.00020831-6.4122e-05i,0.0008087-0.00010306i,0.00145-0.00093235i,0.0017291-0.00019464i,0.0013518+0.0005541i,0.00054765+0.00013945i,0.00048099+0.00045981i,3.7907e-05+0.00087225i,-0.00036934+0.00010421i,0.00013775+0.00025174i,0.00014874+0.00085344i,0.00027004+0.00056673i,0.00042946+0.00027424i,0.00071377+0.00033118i
-0.002304-0.00053688i,-0.0030036+0.00048945i,-0.0031637+0.00044805i,-0.0030006+0.00073573i,-0.0023709+0.0015682i,-0.00061769+0.0012389i,0.00044643+0.00028509i,0.00040274+6.2917e-05i,0.00072041-0.00012738i,0.0012952-0.00015005i,0.0010641+0.00017576i,0.00039881-0.00044692i,-1.5046e-05-0.00050023i,0.00010008+0.00020485i,0.00073807+0.00081775i,0.00086768+0.001085i,0.00057333+0.0010173i,0.00047501+0.00061597i,0.00051137+0.00075973i,0.00045146+0.00046374i,0.00076346-0.00021381i,0.00026912-0.00023796i,-0.00057587+6.7524e-05i
0.00022068-0.00026565i,5.0941e-06+0.0011502i,-0.00066097+0.0014803i,-0.0010752+0.0018504i,-0.0010488+0.0017031i,-8.0718e-05+0.00038803i,0.00060519-0.00062795i,0.00015607-0.00082703i,8.9563e-05-0.00083309i,0.00046445-0.00097945i,-0.00012928-0.0012518i,0.00023456-0.00090305i,0.0010658-0.00081812i,0.00077088-0.0011844i,0.00039627-0.00089603i,0.00089346-0.00021549i,3.5804e-05+0.00040484i,-0.00041083+0.00056192i,0.00040891+0.00085826i,0.0004344+0.00037718i,0.000172-0.00040596i,0.00041715+0.00015836i,0.00065775+0.00057217i
-0.0025867+2.5179e-05i,-0.0039475+0.0014473i,-0.0050734+0.0023646i,-0.0042656+0.0025031i,-0.0021114+0.0022722i,0.00015129+0.00073899i,0.0015252-0.00023928i,0.00086007-0.00063036i,-0.000317-0.0010767i,-0.00047824-0.00096819i,-0.00085224-0.00089678i,-0.00034995-0.00015198i,-0.00019406+0.00032893i,-0.00059128+6.7172e-05i,0.00074854-0.00040621i,0.001093-0.00064139i,0.00063067-0.00069903i,0.00082639-0.00044819i,0.00067764-0.00016684i,0.00028172-0.00028492i,3.7697e-05-0.00060365i,-0.00012506-0.00044433i,-0.00013485+0.00011132i
-0.00082161-0.0022988i,-0.0022616-0.0012968i,-0.0029243-0.00016577i,-0.0023176+0.001171i,-0.00084165+0.001205i,-0.00018798+0.00040531i,0.00024851-0.00048346i,0.00024078-0.0012886i,-0.0002005-0.0015081i,-0.00059984-0.0015209i,-0.00041392-0.0011155i,0.00083115+3.2044e-05i,0.00064942+0.00053971i,0.00018753+0.00023129i,-1.9872e-05-2.1479e-05i,-0.0010638-0.00020444i,-0.0011381-0.00038358i,-0.0003027-0.00017055i,0.00012586+0.00026263i,0.00016164+0.00066183i,0.00077949+0.00078896i,0.0012835+0.00098943i,0.00099265+0.00041452i
0.001634-6.0597e-05i,0.0028164-5.1279e-05i,0.001299-0.00010312i,-0.0011608-0.00056939i,-0.0026719-0.001055i,-0.0024771-0.00085751i,-0.0013513-0.00051121i,-0.00071742+0.0001817i,-0.00042862+0.00040604i,0.00010271+0.00025821i,0.00053317+0.00042985i,0.00045637+0.0001226i,-0.0003551-0.00016173i,-0.0011224+0.00029407i,-0.0010015+0.00089804i,-0.00089911+0.00068946i,-0.00065788-1.1505e-05i,-0.00040857+3.7199e-06i,-0.00038312+0.00013927i,-0.0003296+0.00034155i,-1.5826e-05+0.00072303i,4.8003e-05+0.00064559i,-9.9743e-05+0.00068272i
-0.002649+0.0025767i,-0.0019042+0.0019495i,-0.00034591+0.0026348i,0.00081344+0.0026468i,0.0016702+0.0021265i,0.0016013+0.0015851i,0.00065623+0.0011835i,4.6371e-05+0.00042122i,0.00021806+0.00012814i,0.00031417+0.00070158i,0.00053403+0.00050904i,0.00090813-0.00076368i,0.00076101-0.0011468i,0.00049083-0.00033858i,0.00023836-0.00017607i,0.00061305-0.00033145i,0.00096731-1.3136e-05i,0.00088761-8.5641e-05i,8.2604e-05+0.00043178i,-0.0001999+0.00032877i,0.00066621-0.00068766i,0.00074056-0.00085357i,9.3754e-05+0.00015539i
0.00084505-0.0020079i,-0.00046911-0.0015132i,-0.00076978-0.00084087i,-0.00088287-0.00024099i,-0.00095399+0.00056163i,-0.0004052-0.00038055i,0.00042659-0.0016854i,0.00086769-0.0017464i,0.001096-0.0015245i,0.00074085-0.0010185i,0.00072167-0.0005212i,0.00067661+7.3122e-07i,-0.00025909+0.00024478i,-0.00028844+0.0004353i,0.00043077+0.00052148i,0.00042041+0.00042437i,0.00035475+0.00027565i,0.00026972+5.6635e-05i,0.00011112+0.00038056i,-0.00010933+0.00015143i,-0.00053859-3.8742e-05i,-0.00060603-4.4123e-07i,-5.9749e-06-0.00055292i
-0.0022089+0.0016151i,-0.0014195+0.0038976i,-0.0012353+0.005614i,-0.00092237+0.0036756i,-9.861e-05+0.0012059i,0.00075043-0.00063764i,0.00057879-0.001367i,0.00037798-0.00095589i,0.00039794-0.00086076i,0.001256-0.0003747i,0.0016661+0.00040321i,0.0011414+0.0002638i,0.00085124-0.00022222i,0.0012074-0.00034392i,0.001301-0.00010916i,0.0011898+3.4245e-05i,0.0010284-0.00017809i,0.0010943+0.00020298i,0.00039227+0.0007626i,-0.00027135+0.00014184i,0.00043658-0.0006085i,0.0011676-0.00043269i,0.00071226-0.00013065i
-0.0027245+0.0016792i,-0.0022112+0.0020137i,-0.0013528+0.0022393i,-0.00036492+0.0019089i,0.00088357+0.0012376i,0.0011826+0.00010957i,8.8214e-05-0.0010392i,-0.00019417-0.0012006i,-0.00019403-0.0004039i,8.9615e-06-0.00068066i,-0.00011138-0.0011115i,-0.00011624-0.00027895i,0.00094397-0.00016032i,0.0013854-0.0011904i,0.00036501-0.0015005i,-0.00097557-0.0010939i,-0.0012883-0.00046223i,-0.00069204+0.00048017i,3.0225e-05+0.00088522i,0.00042723+0.00062099i,-9.9984e-06+8.1833e-05i,1.7213e-05-0.00056925i,0.00019238-0.00092326i
0.0017365-0.00044995i,0.0002649-0.00094183i,-0.00055078-0.0012114i,-0.0014415-0.0017415i,-0.0013892-0.0011055i,-0.00050927-3.6576e-05i,-0.00022729-0.00082563i,-9.7267e-05-0.00070128i,8.0655e-05-0.00021413i,-0.00079779-0.00072118i,-0.0011494-0.0011867i,-0.0011015-0.00092096i,-0.00044253-0.00075138i,0.00016126-0.00042939i,-1.5375e-05-0.00036703i,-8.5885e-05-0.00038379i,-0.00041716+7.9551e-05i,-1.6409e-05+0.00035965i,0.00065335+0.00034002i,0.00089808+0.00037299i,0.00067665+3.1743e-05i,0.00027007-0.00027122i,0.00028077-4.2947e-05i
0.0012388-0.00072393i,0.00067603+0.00065345i,0.00062588+0.0022592i,0.00034647+0.0019378i,-0.00051846+0.00057187i,-0.0010695-5.968e-05i,-0.00090812-0.00090288i,-0.0010267-0.00096184i,-0.0011505-0.00050244i,-0.00074953-0.00088889i,-0.00058358-0.0012294i,-0.0006824-0.00078754i,0.00048817-0.00059056i,0.00093258-0.0006121i,-3.6992e-05-0.00049831i,-0.00031674-0.00067084i,0.00061113+0.00038636i,0.00095713+0.0013105i,0.0011124+0.00098651i,0.0011469+0.00050576i,0.00065152-0.00049606i,6.4874e-05-0.0013015i,-0.00024861-0.00068478i
-0.00079301+0.00055242i,-0.0016869+0.00052773i,-0.0017903+0.00037078i,-0.00094577+0.00064859i,-0.00032356+0.00055441i,-0.00040435+0.00035191i,-0.00078509-0.00043805i,-0.00092838-0.00087092i,-0.00063036-0.0001243i,-0.00014966+0.00071085i,7.9799e-05+0.00084935i,-1.5771e-05+0.00057999i,0.00021932+0.00058175i,0.00051049-0.00015391i,0.00017171-0.00094188i,-0.00032098-0.00073065i,0.0006211-0.00018937i,0.00086897+0.00086202i,0.00026178+0.00038373i,0.00044275-1.0477e-05i,0.00032582+0.00027599i,-0.00037339+0.0003739i,-0.00027313-2.3309e-06i
0.0014948-0.0011644i,0.00035618-0.0015863i,0.00039955-0.00075436i,-0.00043379+0.00039128i,-0.00053458+0.00050545i,3.2341e-06-0.00025559i,-0.00030311-0.00063244i,-5.2003e-05-0.00028409i,0.00066078-4.3392e-05i,0.00043363-1.4104e-05i,1.3458e-05-0.00010847i,0.00089477-5.7578e-05i,0.00088259-0.00013795i,0.00022234-0.00033284i,-1.3179e-05+2.8728e-05i,0.00011428-0.00018404i,0.000617-0.00097607i,-6.292e-05-0.00087153i,-0.00064564-0.00043764i,-2.1142e-05-0.00074269i,0.00030853-0.0010064i,0.00025207-0.00034339i,0.00076133+0.00028118i
