-0.00092295+0.00049586i,0.00026676-0.00072921i,-0.0019643-0.0020677i,-0.0036047-0.0012408i,-0.0029393+0.00065242i,-0.0016835+0.0015232i,-0.00046645+0.00054319i,-0.00016138+0.00067837i,-0.00015098+0.00087865i,-0.00013974+0.00035059i,0.00035068+3.7085e-05i,0.00012865-0.0004894i,-0.00078646-0.00059596i,-4.7352e-05-0.00045467i,8.5967e-05-0.00072305i,-0.0005922-0.00074972i,-0.00050797-0.00066012i,-0.00056432-0.00052062i,-0.00060873-0.00087791i,-0.00040473-0.00059591i,-0.00057449-0.00014341i,-8.6314e-05-0.00065274i,0.00083419-0.00010428i
-0.00078984-0.00037002i,-0.00088097-0.00082041i,-0.0021303-0.0003222i,-0.0029882+7.915e-05i,-0.0015723+0.0011141i,0.00043278+0.0018556i,0.00098964+0.00039497i,0.00069152-0.00082279i,0.00019587-5.0785e-05i,0.00029459-0.00016885i,0.00016979-0.00014918i,-5.3962e-05+0.00061722i,-0.00024834+0.00078402i,-0.0005336+8.0068e-06i,-3.2225e-05-0.0010257i,0.0002791-0.00074334i,-0.00033302-0.00034844i,-0.00059447-0.00014294i,-0.00028907+0.000104i,0.00035173-8.0942e-05i,0.00059899-0.00055962i,0.00071396-0.00029785i,0.00095648+0.0004188i
2.8696e-05+0.00041244i,-0.00017306+0.00054451i,0.00011672+0.0015095i,-0.00061626+0.0027622i,-0.00098383+0.0022475i,-7.2932e-05+0.0013735i,0.0005095+0.00027841i,-0.00017845-0.00023503i,-0.00072678+0.00012714i,-0.00052878+0.00054888i,1.1564e-05+0.00081387i,0.00019852+0.0001957i,-0.00017369-2.7958e-05i,-0.00051996-0.00044649i,2.1038e-05-0.00082296i,0.00072541-0.00049346i,0.00042805-0.00027395i,0.0005207-0.00061487i,0.00026447-0.00067751i,-0.00049636-0.00056102i,-0.00065569-0.00057247i,-0.0006026-0.00056705i,-0.0005986-0.00085496i
0.0011529+0.0010882i,0.0014161+0.0004768i,0.00034302-0.00099749i,-0.00023501-0.0010932i,-0.00051931-8.2573e-05i,0.00033406-0.00016497i,0.0016362-0.00077475i,0.00096422+7.9986e-05i,0.0002013+0.00017821i,0.00036746-0.0010425i,0.00039028-0.00092189i,-7.0196e-05-0.00079565i,6.6273e-05-0.0002195i,0.00048999+0.00024695i,-0.00030999-6.1686e-05i,-0.0010378+0.00020611i,-0.0010112+0.00087811i,-0.00062516+0.0008974i,-6.3904e-05+0.00037461i,-6.0021e-05+0.00012148i,0.00010979-0.00012714i,0.00085365-9.1791e-05i,0.00085675+0.00034338i
-0.00094482-8.9033e-05i,-0.0014227-0.00056104i,-0.0017976+0.00052525i,-0.0022277+0.0015769i,-0.001885+0.0019221i,-7.5487e-05+0.0019848i,0.0013233+0.0011306i,0.001311+0.00040193i,0.00070963+0.00070075i,4.175e-05+0.0010185i,-2.4562e-05+0.00028561i,0.00054358-0.00040964i,0.0008937-5.3816e-05i,0.0010589+0.00024516i,0.00070267+0.00021117i,0.00019358+0.00064546i,0.00030428+0.00048856i,0.00037941-0.00067951i,-4.5591e-05-0.0009681i,-0.0001523-6.3617e-05i,-0.00059176+0.00020702i,-0.00034424-0.00034636i,-0.00031632-0.00060227i
0.0020809-0.00023548i,0.0023991-0.00012719i,0.0012599-0.00064804i,-0.0001926-0.001134i,-0.00053102-0.00043278i,0.00012056-0.00037615i,-0.00017104-0.00099181i,-0.0011906-0.0015892i,-0.00035391-0.00077013i,0.00055495-0.00011689i,-0.0003247+7.7536e-05i,-0.00087134+0.00016539i,-0.00032656+5.8577e-06i,-0.00012635-0.00048386i,-0.00050226-0.00043152i,-0.0005529+0.00021115i,-0.00018352+0.00053149i,-0.00025501-0.00024741i,-0.00025083-0.0011102i,7.384e-05-0.00139i,-0.00014773-0.00080449i,-0.00030084-0.0010315i,-0.00028362-0.0013198i
0.00060933+0.00056169i,0.00029845+0.00048317i,-0.00062897-0.00087726i,-0.001028-0.0006483i,-0.00066932+0.00049145i,0.00067946+4.8517e-05i,0.00078073-0.00074435i,-0.00015168-0.0002925i,-0.00062366-0.0001594i,-0.0002221-0.00038643i,-3.4268e-05-0.00029215i,0.00061111-0.00046676i,0.0015048-0.00056407i,0.0010097-0.00041636i,0.00057585-0.00074687i,0.00028537-0.00087795i,0.00049057-0.00055038i,0.00085131-0.00038434i,0.00072353-0.00084749i,0.00043599-0.0010921i,0.00023495-0.00010702i,3.7213e-06+0.0002261i,0.00038126-5.0801e-05i
-0.0019885-0.0009915i,-0.0017246-0.0013252i,-0.0012628-0.00021974i,-0.0014449+0.00055101i,-0.00019004+0.0010606i,0.001751+0.0009583i,0.001263-0.00032724i,0.00077894-0.00067259i,0.00075687+0.00014697i,-5.7302e-05+0.00063326i,-0.00043632+0.00032087i,-0.0003125+0.0003006i,-0.00028117-1.1747e-05i,-0.00029902-0.0010872i,-0.00060194-0.00096214i,-0.00078785+0.00036917i,-0.00040454+0.00071591i,-0.00016623+0.00021567i,-7.3208e-05-0.00029233i,5.9515e-05-0.00032495i,-1.3428e-05-0.00021579i,-5.9078e-07+5.7035e-05i,4.2141e-05+0.00024538i
0.00111-0.0023273i,0.00081513-0.0030399i,-0.0013293-0.0037502i,-0.0033285-0.0017717i,-0.002752+0.00049972i,-0.0011873+0.0016832i,1.76e-05+0.00080333i,6.9114e-05-0.00062658i,-0.00021298-0.00069921i,0.00029827-0.00025176i,0.00011176-0.00028761i,-0.00035975-0.00017067i,8.9233e-05-6.5506e-05i,0.00070566-0.00036717i,9.6745e-05-0.0001722i,-0.00080329-0.00025717i,-0.00055129-0.00042851i,0.00011202+0.00025979i,-0.00066945+0.00093363i,-0.00084213+0.00098109i,8.1228e-05+0.00090501i,3.3405e-05+0.0011619i,-0.00046987+0.00053992i
-0.00060641-0.0010115i,-0.000759-0.0016061i,-0.0015807-0.0008162i,-0.0023992+0.00068591i,-0.0023645+0.0014442i,-0.00048672+0.0010615i,0.00040337-0.00020331i,-0.00027801-0.00094285i,-0.00067435-0.00061497i,-0.00035277-3.5016e-05i,-0.00069819+0.00029731i,-0.0010759+0.00036935i,-0.00038295-8.3074e-05i,0.00031882-0.00055209i,0.00020107-0.00059782i,-0.00016164-0.00042446i,0.00017131-0.00013339i,0.00061583+0.00031435i,0.000201+0.00048901i,-0.00017415+0.00028459i,-4.0206e-05+0.00025961i,0.00021838-0.00021332i,-9.1733e-05-0.0010052i
-0.001889-0.00045838i,-0.0021511-0.00043759i,-0.0018007-3.3546e-05i,-0.00020528+0.00031535i,0.001227+0.00056485i,0.00055068+0.00023232i,0.00015936-0.00056587i,0.00027944-7.265e-05i,-0.0002598+0.0010833i,-0.00060762+0.001051i,-0.0004321-7.0401e-05i,-0.00058336-0.00060016i,-0.00070693+0.00013008i,0.00021433+0.00055703i,0.00028643+0.00046211i,-0.0011641-0.00032793i,-0.0012889-0.0013088i,-0.00053169-0.0012424i,-4.0612e-05-0.0003947i,3.8063e-06+9.0458e-05i,4.3561e-06-0.00038734i,-0.000158-0.00085917i,4.5781e-05-0.00067521i
0.00012171-0.0024338i,-0.0006647-0.0037185i,-0.0016763-0.0026687i,-0.0026673-0.00011826i,-0.0021452+0.0012001i,-0.00022275+0.0006548i,0.00019613-7.4905e-05i,-0.00032813-0.00034556i,-0.00026643-3.9995e-05i,0.00017593+0.00025542i,0.00056229+0.00052214i,0.00011718+0.0006599i,-8.4169e-05-0.00010639i,0.0004145-0.00053525i,0.00066317-0.00056279i,-3.3652e-05-0.00018027i,-0.0007254+0.00030924i,-0.00063743+0.00055423i,-0.00050998+0.00067044i,8.1521e-06-2.5865e-05i,0.00026978-0.00040367i,-0.00016692-0.00054694i,-0.00039585-0.00064827i
0.0020442+0.00043535i,0.0022357+0.00054213i,0.0015849-0.00046279i,3.3073e-05-0.0014514i,-0.00089883-0.00059921i,-0.00092077-0.00056202i,-0.00073103-0.0012643i,-0.00066252-0.0013057i,-0.00011508-0.0010303i,5.0883e-05-0.00073314i,0.00016289-0.00031252i,-0.00044203-0.00042856i,-0.00057612-0.00026421i,-1.2449e-05+0.00037403i,-0.00069351+0.00050395i,-0.0015187+0.00015909i,-0.0017515-3.4821e-05i,-0.00087139+0.00010475i,0.0003636-0.00051051i,0.00028098-0.00061604i,0.00083247-2.9316e-05i,0.0010401+0.00060331i,0.00088951+0.00081421i
-0.00050119-0.0018577i,-0.00095207-0.0014496i,-0.0016616-0.00042486i,-0.0027396+0.00029473i,-0.0033587+0.00097521i,-0.001938+0.00096022i,-0.00097967-0.00035107i,-0.00078196-0.001501i,-0.0012523-0.00079922i,-0.0011527+1.7017e-05i,-0.00086919+0.00025059i,-0.0010852+0.00068467i,-0.00021673+0.00070275i,0.00054148+0.00032891i,0.0004261+0.00015919i,0.0001202-0.00032628i,-7.8101e-05-0.0007832i,0.00018945-0.0006357i,0.00069824+5.4268e-05i,0.00017647-0.00021802i,-0.000264-0.0011397i,-0.00019846-0.00069174i,-0.00041007-0.00032857i
0.0018065+0.00042536i,0.0013096+6.8881e-05i,0.00049772-0.0005297i,-0.00018926-0.00075922i,-0.00088269-0.00084774i,-0.00096062-0.00054237i,-0.00019631-0.00041715i,0.00023294-0.00049072i,0.00020612-0.000296i,-0.0002656-0.00045744i,-0.00030357-0.00025922i,-0.00017092+0.00051046i,0.00015366-2.6859e-05i,0.00084979-0.00037975i,0.00074743-8.32e-05i,0.00065021+0.00049234i,0.00093013+0.0005049i,0.0008004+0.00036596i,0.00073759+0.00018797i,5.7079e-05-0.00041084i,-0.00041309-0.00032727i,-0.00063643-0.00021814i,-0.0012998-0.00018595i
0.001241-0.0015321i,0.0016183-0.0017715i,0.0010798-0.0011102i,-0.00040499-0.00035692i,-0.0016066+0.0010986i,-0.0010253+0.0010813i,-7.8644e-06-0.00070143i,0.00022722-0.0012901i,0.00048686-0.00081231i,0.00077239-0.00062515i,-0.00043581-0.0010633i,-0.0016654-0.00071142i,-0.0011433-0.00026968i,-9.9924e-05-0.00030376i,-0.00019229-0.00014754i,-0.00038546-0.00043529i,-0.00032603-0.00014394i,-0.00035296-8.6833e-06i,-0.00041746+0.00028304i,-0.00020161+0.00071044i,0.00040678+0.00065412i,0.00073831-3.6054e-05i,0.00073411-0.00025169i
-0.0017338-0.00068025i,-0.0020683-5.6318e-05i,-0.0020384-0.00025097i,-0.0012667+0.00013271i,-0.00033196+0.00097706i,-2.2415e-05+0.0010018i,0.00030951-0.00025469i,0.00067974-0.00096004i,-2.2064e-05-0.00070988i,-0.00074186-0.00052377i,-0.00063628-0.00025341i,-0.00032561-4.596e-05i,0.000491-0.00032045i,0.0010106-0.0011936i,0.00047376-0.0010645i,-0.0002566-0.00072382i,0.00041467-0.0010155i,0.00090011-0.00086814i,0.0011072-0.00058734i,0.00105-0.0004964i,0.00019707-0.00014236i,-0.00028822-0.00013717i,-0.00058761-3.8112e-05i
-0.0018409-0.0026411i,-0.002117-0.002632i,-0.0030078-0.0020695i,-0.0030587-0.00015385i,-0.001809+0.0019436i,0.00067565+0.0018275i,0.0018947+0.00064908i,0.00088084+0.0006718i,-4.3905e-05+0.0011119i,-0.00098285+0.0010032i,-0.0012385+0.00064707i,-0.00025712+5.9837e-05i,0.0001008-9.1682e-05i,-4.6817e-05-0.00013189i,-2.789e-05-0.00073316i,-0.00046848-0.00052458i,-0.0010729+6.4784e-05i,-0.00039697+4.3193e-05i,-0.00010432-8.3867e-05i,-0.00051189+4.5991e-05i,-0.00021515+0.00019548i,-0.0002714+0.00010258i,-0.00059228+4.7931e-05i
-0.00079286-0.00010078i,-0.0011207-7.3915e-05i,-0.0025962+0.00048605i,-0.0031129+0.0014534i,-0.0018582+0.001935i,-0.00024619+0.0012118i,0.0002122+3.8776e-05i,0.00017664-0.00049435i,0.00017672-0.00045119i,0.00031132+0.00038678i,6.1145e-05+0.0010892i,-0.00034007+0.00031469i,1.6377e-05-0.00018251i,-3.2017e-05+0.00053636i,0.00019768+0.00081801i,0.00026341-0.00034981i,-0.0002263-0.0012474i,0.00017709-0.00059611i,0.00099166+0.00031862i,0.00092674+0.00090973i,0.00021436+0.00024347i,0.00021048+1.394e-05i,0.00043176+1.0333e-05i
-0.0017523-0.0021691i,-0.0017972-0.0014105i,-0.0014845-0.00077374i,-0.001498+0.00077558i,-0.001382+0.0023795i,-0.00089235+0.0016923i,0.00010871-3.2312e-05i,-0.00049373+7.2771e-06i,-0.0016101+0.00018583i,-0.00079033+0.00011173i,7.7329e-06+0.00018754i,-0.0005102+0.00025707i,-0.00066464+0.00013836i,0.00022023-7.0572e-05i,0.00065827-1.2217e-05i,0.00018808-0.00020788i,-0.0001088+5.8682e-05i,-0.00037274-0.00020985i,-0.00052216-0.00070479i,-0.0002293+0.00025419i,-0.00022108+0.00049944i,-5.1925e-05-0.0001819i,-0.00020556-0.0001554i
0.0026244+0.00051996i,0.0027523-1.6305e-05i,0.0022655-0.0013964i,0.0009436-0.0016426i,-0.00027152-0.0009704i,-0.00018854-0.00089785i,0.00045743-0.00046711i,0.00023521-0.00043424i,-0.00060278-0.00092075i,-0.00046135-0.00069862i,0.00053108-0.00066816i,0.00093213-0.00014013i,0.00012142+0.0008236i,-0.00070408+0.00032832i,-0.00064839-7.5666e-05i,0.00032891-0.00032715i,0.0012522-0.00030663i,0.00082695-0.00011341i,0.00039688-6.5677e-05i,0.00074347-0.0002606i,0.0009194-0.00042343i,0.00027102-0.00028462i,-0.00018828-0.00031507i
-0.0010352+0.0027559i,-0.0018495+0.0014391i,-0.0024552-0.00015811i,-0.0021941-0.00044716i,-0.001157-0.00010386i,8.6099e-05-0.00055167i,0.00051125-0.0010075i,-0.00029564-0.00074973i,-0.0011565-0.00026039i,-6.3774e-05+2.1114e-05i,-0.00017427-0.00064662i,-0.00098501-0.0011581i,-0.00048302-0.0016366i,-0.0007526-0.0024673i,-0.0012662-0.0023706i,-0.00083557-0.0013256i,0.00093418-0.00046245i,0.0012677-0.00041938i,-0.00014811-0.00057083i,-0.0011941-0.00068427i,-0.00094806-0.0002565i,-0.0004607-2.1785e-05i,9.6094e-05-9.0053e-05i
-0.00032042-0.0025607i,-0.0008874-0.0030417i,-0.00093179-0.0019419i,-0.0012121-0.00031534i,-0.00058605+0.0011212i,0.00084183+0.0013075i,0.0014227-0.00024056i,0.00034484-0.00082707i,0.00045437-0.00098057i,0.00094331-0.0014456i,0.00051459-0.0013212i,-0.0001297-0.0005682i,-9.2494e-05+0.00024035i,1.6852e-05-5.0833e-06i,-0.00027617-0.00028987i,0.0001501+0.00032518i,0.00024823+0.00030478i,-8.8685e-05+0.0005893i,-0.00041162+0.0010347i,-0.00039349+0.00016648i,5.6593e-05-0.00021022i,0.00015675-0.00011771i,-0.00047037-0.00011907i
0.0014081-0.0014235i,0.001537-0.00059045i,-0.0003253+0.00033846i,-0.00099537+0.0013871i,-0.00082175+0.0017979i,0.00020402+0.0011328i,0.00012218-5.3474e-05i,-0.00040254-0.0010866i,0.00047193-0.00078573i,0.00079587+0.0001194i,0.00025318+0.0002843i,-0.0002808+0.00017835i,-0.00022853+0.00045006i,0.00038462+0.00030014i,-0.0001197-0.00010852i,-0.00048447-0.0005668i,-2.6256e-05-0.00048708i,0.00068307-5.9956e-06i,0.00069595-2.0288e-05i,-7.0113e-05-0.000768i,-0.00030026-0.00068389i,-9.0368e-05+0.00049397i,0.00054303+0.00092439i
-0.0024694+0.0001886i,-0.0016329-0.00081361i,-0.0012425-9.3948e-05i,-0.0010493+0.00088163i,2.9028e-06+0.00094023i,0.0007685+4.8128e-06i,0.00069762-0.0010168i,0.00091514-0.00048441i,0.0011995+0.00016567i,0.0016211-0.00022056i,0.0010108-0.00048918i,0.00039219-8.8016e-05i,0.00077831-7.5159e-05i,0.00050525-0.00093223i,-0.00015465-0.0011025i,-0.00040542-0.00098455i,-0.0002393-0.00081249i,9.0981e-05-0.0005121i,0.00058631-0.00024027i,0.00080695+0.00017505i,0.00034535+0.0005568i,0.00011293-8.6468e-05i,2.4038e-05-0.00039819i
0.0009454-8.3694e-05i,0.0012361-0.00039397i,0.0017108-0.00070802i,0.001045-0.0007518i,0.00013931-0.00026511i,-0.00018346-0.00051451i,0.0002898-0.0012922i,0.00018207-0.0017549i,6.6767e-05-0.0012763i,0.00043281-0.00017814i,0.00046134-0.00029858i,0.00012727-0.00067099i,0.00036625-0.00059237i,0.0010559-0.00058567i,0.00085236-0.00040164i,-0.00025907-0.00038179i,-0.00060051-0.00067553i,-0.00029091-0.0001383i,-0.00041555+1.9761e-05i,-0.00017061-0.00017209i,-0.00028681+1.4815e-05i,-0.00073856-0.0003222i,-0.00061267+0.00014519i
-0.0011215+0.0012047i,-0.0018075+0.00060611i,-0.001654-0.00021604i,-0.0016225+5.043e-05i,-0.0016117+0.00055432i,-0.00058166-0.00012279i,0.00019316-0.0011958i,-0.0008498-0.0016308i,-0.0014528-0.0011806i,-0.00056255-0.00082901i,-0.00070585-0.00070719i,-0.0009842-4.6921e-05i,0.0004132+0.00021157i,0.0010618-0.00028595i,-0.00018497-0.00050461i,-0.0010302-0.00063001i,-0.00085435-0.00046812i,-0.00029824-0.00014999i,0.00026942+1.7194e-05i,0.00066864-0.00015031i,0.00039802+2.242e-05i,-0.00054979-0.00025915i,-0.00078703-0.001085i
-0.0008713-0.0021903i,-0.0012226-0.0027681i,-0.0016917-0.0019263i,-0.0018385-0.00044109i,-0.00093632+0.0005468i,0.00046635+0.00022271i,0.0013267-0.00014034i,0.0010016-0.00011338i,0.00050036-1.8583e-05i,0.00020433-0.00037397i,-0.00011717-0.001085i,-0.00085468-0.00070941i,-0.0014507+5.4355e-05i,-0.00035016-8.6677e-05i,-8.3525e-06-0.00016266i,-0.00070291-0.00015894i,-0.00069486-0.00074659i,-0.00069158-0.0012076i,-0.00064565-0.00068052i,-6.7669e-05-0.0006012i,0.00039007-0.0012332i,0.00091944-0.00086582i,0.00082156+7.5763e-05i
0.00099367+0.00041468i,0.0015916-0.00025999i,0.00081262-0.0007088i,0.00061418+0.00021441i,0.0011459+0.0015138i,0.0018177+0.00097284i,0.0018435-0.00039818i,0.00037474-0.0011i,-0.00048568-0.00038041i,-0.00011196+0.00044268i,0.0001935+0.00013159i,-0.00037479-0.00031251i,-0.00054486-0.00062712i,9.3876e-05-0.00055991i,-0.00019571-0.00037836i,-0.00069167-0.00015141i,-0.00058176+0.00023127i,-0.00036624+0.00059493i,-0.00053914+0.00040839i,-0.00035439+4.875e-05i,0.00044965-0.00015492i,0.0010736+0.00015156i,0.00090607+0.00036479i
-0.0018835+0.0014317i,-0.0004714+0.0020616i,0.00072586+0.0021554i,0.0010463+0.0014751i,0.0010098+0.00084455i,0.0013758+0.00026476i,0.00132-0.00072191i,-0.00011089-0.0016498i,-0.0011354-0.0012395i,-0.00032105+0.00023086i,-0.00052252+0.0005657i,-0.0013449+8.111e-05i,-0.0006449-1.2012e-05i,-3.4618e-05-0.00020566i,0.00012891-0.00099611i,-0.00018841-0.00063377i,-0.00012174+0.00058853i,-4.7675e-05+0.00035222i,-0.00051884-1.6159e-05i,-0.00096185+0.00014611i,-0.00086351-0.00024585i,-0.00047209-0.00044284i,-5.2802e-05+0.00028024i
-0.0022125-0.00021206i,-0.002721-0.00046473i,-0.0019366+0.00021077i,-0.0010123+0.00058286i,-0.0012918+0.00059971i,-0.00087472+0.00015445i,-3.774e-07+5.9021e-05i,-0.00070285+0.00016015i,-0.001391+0.00075348i,-0.00030955+0.00054538i,0.00063153-0.00050078i,0.00031312-0.00043766i,0.00025265-0.00027889i,0.0003299-0.00049655i,0.00026058-5.9505e-05i,-0.00026532+0.00022743i,8.0177e-05+0.00026526i,0.00040896+6.3745e-05i,-0.00012962-0.00065003i,-7.3407e-05-0.00075589i,-0.00016275-0.00044461i,-0.0008199+0.00017999i,-0.00097738+0.00056207i
0.00060487+0.00044117i,1.9519e-06-0.00090878i,-0.00045401-0.00084255i,-0.00085185+0.0011933i,-0.0014652+0.002288i,-0.00061864+0.0012983i,0.00020947-0.00047721i,-0.00038083-0.00066821i,-0.00056257+6.7295e-05i,-0.00084098-4.8549e-05i,-0.0012125-0.00044307i,-0.00054756-0.00030956i,0.00053156-0.00036601i,0.0010915-0.0002429i,0.0012934+0.0005008i,0.0012489+0.00059569i,0.00086897+0.00026873i,0.00024603+0.00034454i,1.5477e-05+0.00016562i,-0.00032107-0.00035499i,-0.00042542-0.0003896i,-0.00014429-0.00063578i,-0.0002024-0.00054017i
0.00089948-0.0015848i,0.00012564-0.00042702i,-0.00093266-0.0005269i,-0.0013634+0.00013472i,-0.00071143+0.0014954i,0.00021876+0.00083648i,0.00072243-0.0011574i,0.00035869-0.0015238i,-9.4538e-05-0.0010939i,-6.3458e-05-0.0011058i,-0.00054835-0.00076675i,-0.0011537-0.00081711i,-0.0010856-0.0012748i,-0.00028942-0.00084255i,-7.0687e-05+0.0004548i,-0.00023151+0.0014067i,0.00011708+4.3468e-05i,0.00029886-0.00023917i,-9.9871e-05+0.00089894i,-0.00024289+0.00036742i,-4.4656e-05-0.00013599i,0.00024083-0.00036799i,0.00055687-0.00058879i
-0.0010843-0.0016204i,-5.9949e-05-0.0022777i,-0.00055825-0.0011922i,-0.0011424+0.00068624i,-0.00069556+0.0013446i,2.3089e-05+0.00095858i,0.00058024+1.481e-05i,9.3883e-05-0.0012033i,-0.00053083-0.0015477i,-4.9648e-05-0.00064354i,0.00017368-0.00013761i,-0.00037566-0.00044578i,-0.0011117-0.00020424i,-0.00088592-0.00043981i,-0.00028908-0.00063939i,-0.00051673+6.6155e-05i,-0.00064833+8.6271e-05i,-0.00045886-0.00048659i,-0.00010356-0.00088755i,-0.00045877-0.00071418i,-0.0012749-0.00018837i,-0.00088259+0.00073167i,-0.00029894+0.00042976i
-0.00040223+0.00058424i,-0.00050931-0.00038103i,-0.00041307-0.000547i,-0.0011607+0.00045623i,-0.00077802+0.0014836i,0.00063536+0.0012039i,0.00044931-0.00036201i,-0.00048278-0.00073266i,-0.00026668+0.0005915i,3.4329e-05+0.00053373i,0.00043231-0.00082973i,0.00073082-0.00084872i,0.00052838-0.00017398i,-3.6961e-05+8.7493e-05i,-8.1996e-05-0.00068753i,0.00020813-0.00089476i,-8.1355e-05-0.00033092i,-8.3507e-05-8.9423e-05i,0.00010998+3.8099e-05i,8.0154e-05-0.00036042i,5.4324e-05-0.00070791i,-0.00011048-0.00083311i,0.00030412+4.4033e-05i
-0.00068112-0.0038385i,-0.0014641-0.0038815i,-0.0041953-0.0036444i,-0.0045501-0.0016048i,-0.0030311+0.0014377i,-0.0011286+0.0021653i,0.00046894+0.00051916i,6.1994e-05-0.00097603i,-0.00084124-0.0012145i,-0.00097237-0.00059731i,-0.00089005-0.00049679i,-0.0006133-0.00050678i,0.00038324+0.00033375i,0.0014014+0.00050884i,0.00026153-3.799e-05i,-0.00078602-0.00016531i,-0.0004197-7.3192e-05i,-0.00062331+0.00025802i,-0.0007354+0.00035142i,-0.00075676+0.00035667i,-0.00082164+0.00012917i,-0.00075078-0.00024368i,-0.0010852+0.00037083i
0.00095018+0.00136i,0.0012887+0.00064029i,0.0011615+0.00013814i,0.00045564+0.00039923i,-0.00054562+0.0010257i,-0.00090581+0.00066587i,-6.4367e-05-0.00072031i,-0.00019611-0.0012381i,2.6322e-06-0.00071375i,0.00025994-0.00011176i,-0.0003917-0.00026188i,-0.0005503-0.00030568i,-0.0006326-0.0002207i,-0.0012842+0.00022745i,-0.0012934+0.00057805i,-0.00053653+0.00032222i,0.0001699-0.00022235i,0.0001438-0.00010933i,0.00038739+0.00023942i,7.9897e-05-2.8811e-08i,-0.00062634-7.4179e-05i,0.00024307-0.00015063i,0.0004+0.0001696i
-0.00032302-0.0015549i,0.00013273-0.0027647i,0.0002869-0.0026361i,-0.00053854-0.0010764i,-0.001181-0.00022914i,-0.00063242-0.00030158i,0.00085816-0.0009435i,0.0010727-0.00069737i,-0.00027789+0.0001243i,-0.00089609-0.00025324i,-9.6387e-05-0.00084204i,-3.016e-05-0.00016204i,-0.00031675+2.8077e-05i,0.00010293-0.00058724i,-0.0002231-0.00046048i,-0.00094206+0.00027428i,-0.00086173+0.00046707i,0.00018974+0.00023185i,0.00087773+0.0002836i,0.0001048+0.00030836i,-0.0007822+0.00021295i,-0.00084864+0.00065234i,-0.0003546+0.0001576i
-0.000631+0.00014157i,-0.00078193-0.00028225i,-0.0021047-7.5417e-06i,-0.0027553-1.1547e-05i,-0.0025992+0.00035864i,-0.0016488-8.4137e-05i,0.000122-0.00067972i,0.00013238-0.00087556i,-0.0008379-0.00059748i,-0.0011358-5.879e-05i,-0.00071532-6.4175e-05i,-0.00027002-0.00034755i,8.9506e-05-0.00050372i,5.5387e-05-0.0015182i,0.00013673-0.0015829i,0.00023764-0.00081414i,-0.00040692-0.00076423i,-0.00082716-0.00022681i,-0.00084681+0.00076453i,-0.0010351+0.00097306i,-1.2502e-05+0.00068926i,0.00090799+0.00031704i,0.00036293-7.1484e-07i
0.00065728+0.0021489i,0.0015264+0.0018445i,0.0027061+0.00178i,0.0018934+0.0018052i,-6.1754e-05+0.0017781i,-0.0012634+0.00081242i,-0.00077939-0.00029831i,-0.00028695-0.00017944i,-0.00054272+0.0002999i,4.42e-06-3.229e-05i,-0.00020608-0.00047753i,-0.00064559-0.0011075i,-0.0005527-0.0013558i,-0.00066555-0.00072217i,-0.00044323+4.3911e-05i,-0.00036783+0.0005837i,-9.5209e-05+0.00012909i,0.00022299-0.00099624i,0.00040485-0.00050353i,0.00031895+0.00035531i,0.0006578-4.2111e-05i,0.0005415+0.00016419i,-0.00014105+0.00069268i
-0.00092677+0.0011708i,-0.00075746+0.00043345i,-6.6578e-05+0.00026755i,-0.00019493-0.00039733i,-1.3466e-05-5.2065e-05i,0.0010764+0.00021974i,0.0012615-0.00025427i,-7.5106e-05-0.00021072i,-0.00090041-0.00016122i,4.229e-05-0.00019763i,0.00082551-0.00027809i,0.00015983+0.00022578i,-0.00024247-0.00017327i,-4.0652e-05-0.00088676i,0.00044463-0.00096332i,0.00084185-0.00067671i,0.00045034-1.5286e-05i,0.00014273+3.7276e-05i,0.00030777+5.8693e-05i,-0.00039191+0.0003413i,-0.00052801+0.00021473i,-0.00027407-0.00028331i,-0.00068511-0.0008131i
-0.001603+0.0013926i,-0.0025274-0.00010494i,-0.0035978-0.00095637i,-0.0030483+0.00028141i,-0.0020035+0.001306i,-0.00055033+0.00040704i,0.00074986-5.9032e-05i,0.00083112+6.5423e-05i,-0.00012932-5.8825e-05i,-0.00041961-0.00023255i,4.6234e-05-0.00021652i,0.00016397+0.00011082i,0.00048729+0.00035995i,0.00016241-0.00019294i,-0.00011457-0.00079186i,-0.00027648-0.00020742i,-0.00030148+0.00033688i,-0.00017275+0.00060501i,-0.00057989+0.00067543i,-0.00017997+0.00064107i,0.0001+0.00015546i,-0.00051752-0.00024756i,-0.00041252-0.00062168i
0.0009128-0.0011976i,9.2796e-05-0.0016594i,-0.00059755-0.00065165i,-0.00093555+0.0010124i,-0.001006+0.0017461i,-0.00052583+0.00091904i,-0.00029439-0.00043073i,-0.00066225-0.00095127i,-0.0011366-0.0010933i,-0.0013902-0.0013563i,-0.001327-0.0012669i,-0.00075149-0.00060961i,9.4106e-05-0.00020367i,0.00040158-0.00048967i,1.1678e-05-0.00077369i,-0.00064412-0.00035026i,-1.5569e-05+0.00033932i,0.0013439+0.0010144i,0.0013206+0.0010586i,0.00059642+0.00076282i,0.00043892+0.00096618i,-0.00021266+0.00069932i,-0.00058537-0.00037256i
