-0.0012864-0.0011237i,0.00068603-0.001259i,0.00052245-4.2621e-05i,-0.00033569+0.00036979i,-0.00079454+0.00086417i,-0.0003166+0.00082731i,0.00041564+3.0996e-05i,7.4413e-05+0.0005192i,0.00054198+0.0012166i,0.0010509+0.0010084i,0.00022177+0.00038354i,-0.00065615-0.00020937i,-0.00066915-0.00081112i,-0.00045728-0.00052049i,0.00033251-0.00021887i,0.00045445-0.00094727i,0.00059683-0.00026046i,0.00066877+0.00049066i,0.00018118-8.3561e-05i,-0.0004788-0.00074056i,-0.00074993-0.00060729i,-0.00012141-0.000666i,0.00038528-0.0010129i
0.00048557+0.0001723i,0.00078698+0.0017712i,0.0013599+0.0019918i,0.00051633+0.00095416i,-0.00091405-0.00052762i,-0.0015147-0.0010623i,-0.0011651-0.00051892i,-0.00051192-0.00031548i,-7.1406e-05-5.0934e-05i,0.00014031+0.00079947i,-0.0002437+0.00095729i,-0.00027851+0.00093116i,-0.00043063+0.0012581i,-0.000347+0.0010242i,-0.00044845+0.00035612i,-0.0006245+5.1203e-05i,-6.8555e-05+8.6416e-05i,0.00078085-0.00018166i,0.00092398-0.0004205i,2.1121e-05-0.00036231i,-0.0011608-0.0002794i,-0.0013128-0.0005813i,-0.00058846-0.00083852i
0.00039763+0.0018992i,-4.6349e-05+0.0018008i,-0.00047188+2.3137e-05i,0.00043169-0.0017021i,0.00040284-0.0016077i,0.00019423-0.0012069i,0.00029799-0.00093961i,-0.00060459-0.00025204i,-0.00065068+0.00083334i,5.7238e-05+0.0014171i,-0.00023491+0.0012841i,-0.00029461+0.00051777i,7.469e-05+0.00041731i,0.00011064+0.0011246i,0.00024823+0.0015644i,0.0004059+0.0015904i,0.00029095+0.00078873i,-4.9218e-05+0.00070826i,0.00031986+0.0011973i,0.00043336+0.00080846i,0.00077859+0.00023252i,0.00084679-3.8052e-06i,0.00084865-0.0004757i
-0.00013692-0.0014669i,0.00085594+0.00011512i,0.0016352+0.00091043i,0.00048825+0.00084998i,-0.0010257-0.00010682i,-0.00089593+6.0973e-05i,-0.00070215+0.00028628i,-0.0020016+0.00010907i,-0.0026508-8.2328e-05i,-0.0014288+6.8808e-05i,-0.00024583+2.6732e-05i,-0.00023488-0.00021372i,-0.0002536-0.00033423i,-6.83e-05-0.00016596i,-0.00035399-0.00023509i,-0.00043544-0.00060529i,-0.00039622+0.00021355i,-0.00051529+0.00091112i,-0.00046267+0.0006191i,-0.00052105+0.00028108i,-0.00046888+0.00046514i,0.00033401+0.00021688i,0.00058031+0.00036029i
0.0012944+0.00033948i,0.0016418-1.2505e-05i,0.001317-0.00062647i,0.00025226-0.0011011i,-0.0006864-0.00036706i,-0.00088058+0.00027009i,-0.00012686-0.0001327i,0.00048166-0.00064333i,-0.00054795-0.00035719i,-0.00084151+0.00097248i,-0.00010337+0.0015232i,-0.00044484+0.00047804i,1.8535e-05-0.0010801i,0.00033419-0.001222i,0.00032188+0.00028934i,0.00060709+0.00068531i,0.00044545+0.00021039i,0.00033033+0.0001681i,0.00031645+0.00013274i,3.3296e-05-0.00038179i,-9.0363e-05-0.0009369i,0.00013474-0.00015059i,0.00042114+0.00061403i
0.00062671-0.00098486i,7.9483e-05-3.6997e-05i,0.00038697-0.00045741i,9.7571e-06-0.00092973i,-4.4371e-05-0.00017668i,0.00072245+0.00092028i,0.00048561+0.0012689i,0.00017755+0.00073473i,-0.00021093-0.00010755i,-0.00024441+6.1959e-05i,0.00014321+0.00021772i,0.00048943-0.0002235i,0.00066891+0.00020858i,0.00030767+0.00060399i,-0.00012113+0.00070875i,-0.00015789+0.00019382i,-4.0492e-05-0.0002754i,0.00021581-8.0533e-05i,0.00058868+0.00032137i,0.00067519+0.00028382i,0.00013522-5.4588e-05i,-0.00018891-0.00043624i,-0.00016229-0.00013296i
0.0011635-0.00067538i,0.0011395-0.00047115i,0.0010775-0.00124i,0.00018558-0.001102i,-0.00075482-0.0003398i,-0.0010786+0.00021456i,-0.0011802+0.00019735i,-0.0013132-0.00075637i,-0.001128-0.0006942i,-0.00056558+0.00064651i,-0.00015379+0.00074122i,0.00021297+0.0004523i,0.00027142+0.00041329i,-7.9421e-05+0.00017416i,-0.0003523+0.00052521i,-0.00027182+0.0009857i,0.00022287+0.0010148i,-0.00024782+0.00052278i,-0.00056106-0.00028866i,-0.00058158-0.00015447i,-0.00075978+0.00014794i,-7.0202e-05+0.00024011i,-0.00047951+0.00023722i
0.00079385+0.00098505i,0.00048306+0.0022287i,0.0001312+0.00074893i,-0.00058786-0.0015501i,-0.0017069-0.0020775i,-0.0013908-0.0011313i,-0.000301-0.00049123i,0.0002994-0.00065875i,0.00022942+9.6293e-05i,-0.00062445+0.00091966i,-0.0014958+0.0011237i,-0.00094557+0.0014861i,0.00045056+0.0017486i,0.00030791+0.0016591i,-0.00019566+0.0007405i,0.00022534-4.4917e-05i,7.1584e-05-0.00010172i,-0.00014458+0.00028534i,9.9959e-05+0.00010068i,-0.00030338-6.938e-05i,-0.000201-2.2357e-06i,0.00037372-0.00070558i,0.00024754-0.0011116i
0.00030002-0.0005923i,4.7488e-05-0.0013193i,0.00088131-0.001829i,0.00081508-0.0020746i,-0.0005874-0.0014286i,-0.00072171-0.00043713i,-0.00028522-0.00022487i,-0.00074731-0.00022587i,-0.0010743+0.00050391i,-0.00074974+0.00020331i,0.00040921+2.1898e-05i,0.00097548+0.00016078i,0.00019771+0.00041326i,-0.00026004+5.3729e-05i,-0.00018988-0.00043917i,-0.00010274-0.00041987i,-0.0002503+6.7817e-05i,-0.0004795+0.00053716i,-0.00052565+0.0011061i,-0.00042124+0.0010975i,9.1815e-05+0.00011404i,3.1411e-05+0.00037331i,-0.00037096+0.001037i
0.0016518+0.0013318i,0.0014885+0.0013752i,0.0015127+0.00087445i,0.0008545-0.0002324i,-0.00027364-0.0010716i,-0.000431-0.0010663i,0.0004601-0.00083767i,0.00058552-0.00074316i,4.6993e-05-0.0002778i,0.00016837+0.0007782i,0.00073857+0.0014116i,0.00066611+0.00048681i,-0.00076003-6.5411e-06i,-0.001729-4.0804e-05i,-0.00033205-3.2877e-05i,0.00043686+0.00012826i,-8.8364e-05-1.7597e-05i,-0.00049655-0.0001041i,-0.00041388+0.00030165i,-4.8028e-06+0.00010862i,-9.8729e-05-0.00052318i,-0.00041749-0.00066486i,-0.00044641-0.00062016i
-0.00064119-0.00027002i,-0.00038311+0.00030121i,0.00035948+0.0006121i,0.0002691-1.7346e-05i,3.8734e-05-0.00072656i,0.0004027-0.0010116i,0.00046757-0.001149i,-6.4789e-05-0.00050475i,-0.00039139+0.00030205i,-0.00067603+0.00058024i,-0.00057414+0.00060627i,0.00014254+0.00045743i,0.00035696+5.227e-05i,-9.7363e-05-0.00016529i,0.00017552-6.5681e-05i,0.00047574-0.00022496i,-0.00017574-0.00050275i,-0.00047268-0.00016047i,-0.00022638+0.00074309i,-0.00013047+0.00070519i,-9.2454e-05+0.00017907i,0.00025215-6.8076e-05i,0.00065074-0.00029133i
0.0011456-3.1006e-05i,0.002064+0.0011466i,0.00040034+0.00081065i,-0.0019736+2.2172e-05i,-0.002399-0.00055347i,-0.00091243-0.00072095i,0.0003043-0.0001402i,0.00014042+0.00013293i,-0.00071031-0.00017267i,-0.00090863-0.00055612i,-0.00061443+2.925e-05i,-0.00019382+0.00060389i,0.00043118+0.00014475i,0.00047599+0.00058413i,-4.5584e-06+0.0011531i,0.00028404+0.00083239i,0.00057813+0.00044477i,0.00058157+2.7714e-05i,0.0014719+0.00042726i,0.0019774+0.00030983i,0.0010144-4.7776e-05i,0.00010993-0.00085438i,-0.0002134-0.0013807i
-0.00044926-0.00021033i,0.00081143+0.00065131i,0.00072807+0.0012806i,-0.00043053+0.00058442i,-0.00071538-6.3539e-05i,-0.00034827-0.00033331i,-0.0006128-0.00046857i,-0.00082302-1.2971e-05i,-0.00097388-7.4484e-05i,-0.0012081-0.00039858i,-0.00041126-0.0003175i,-9.3642e-05-0.0003225i,-0.00030408-0.00039149i,-0.00011992-1.2347e-05i,-0.00061011-0.00042879i,-0.00075972-0.0005505i,-0.00027371+0.00105i,0.00023183+0.0014601i,0.00054931+0.00087247i,0.00044508-0.00027811i,0.00091288-0.00016928i,0.0011688-5.4458e-05i,0.00072077-0.00079069i
0.00095714-1.5834e-05i,0.00077308-0.00067457i,0.00061817-0.0011226i,-0.00039881-0.0013025i,-0.00034047-0.0016151i,0.0010048-0.0012032i,0.001155-0.00031746i,0.00026653-0.00058403i,-0.00062649-0.00047859i,-0.00090067+0.00038547i,0.00025104+0.0009081i,0.001405+0.00073894i,0.0011196+0.00032783i,-8.9255e-05-6.1577e-05i,-0.00027523+8.6511e-05i,-0.00010632+0.00048732i,-0.00034431+0.00073994i,-8.5007e-05+0.00097898i,-0.00015459-0.00026751i,-0.00028582-0.0012009i,-1.8076e-05-0.00068331i,0.00022041-1.9923e-05i,0.00044802+5.1126e-05i
-0.00085785-0.00030715i,4.6095e-05-0.00046209i,0.00054115-0.00069282i,0.00018125-0.00053051i,-6.3987e-05-0.00034648i,8.0465e-05+0.00033705i,0.00028874+0.00040639i,0.00023058-0.00021596i,-0.00033072+4.8726e-05i,-0.00045684+0.00037229i,0.00030959+0.00023098i,0.00013225+0.00020772i,-8.6749e-05+0.00012224i,3.2356e-05-7.4617e-05i,-0.00076132+3.1674e-05i,-0.0010715+0.00048858i,-0.00067422+0.00089834i,-0.00088028+0.00090113i,-0.000546+0.00013106i,-0.00035391-0.00066349i,-6.0463e-05-0.00055676i,0.00025634-0.00024666i,9.5618e-05-0.00023477i
0.0011693+0.0020344i,0.0014563+0.0014427i,0.0013731+0.00056387i,0.00084206-0.0012183i,0.00048696-0.0011681i,0.00042671-8.2569e-05i,0.0002504-6.8251e-05i,0.0001952+0.00045876i,0.00023091+0.0010629i,-0.00027537+0.00065321i,-0.00041113-0.00018659i,7.3347e-05-0.00079646i,0.00026304-0.00069481i,-0.00028417+0.00047234i,-0.00099759+0.00061115i,-0.00051962+0.00017745i,0.00018291+0.00093074i,0.00033648+0.00091823i,6.4561e-05+5.79e-05i,-0.00023225-0.00069209i,-0.00031909-0.00069676i,0.00058418-0.00031458i,0.0011642+8.0543e-05i
0.00066223+0.00073323i,0.000283+0.0010852i,0.00038169-0.00021799i,0.00012041-0.0010618i,-0.00095248-0.00066166i,-0.0013359-7.554e-05i,-0.00064038+0.00046455i,7.3484e-05-0.00023577i,0.00040238-0.00069884i,-3.293e-05+0.00013761i,0.00016043+0.00074719i,0.00084256+0.0015142i,0.00048659+0.001221i,4.7413e-05+0.00067754i,-0.00017634+0.00053893i,-0.00012034+0.00055132i,-0.00037261+0.000497i,-0.00061391+0.00010336i,4.1574e-05-0.00037139i,0.00032901-0.00051123i,0.00080711+0.0001066i,0.001382+0.000659i,0.00067031+0.00023595i
0.00081288+0.00020243i,0.0012896-0.00022084i,0.0010791-0.00027682i,0.00019584-0.00033041i,-0.0015173-0.00013423i,-0.0017948+0.00038885i,-0.00011186+3.1559e-05i,0.0008077-0.00091535i,0.00011666-0.00075239i,-0.0004583+0.00035345i,0.00021939+0.0012209i,0.00064407+0.00027015i,0.001414-0.00047643i,0.0011099+4.4228e-05i,0.00029893+0.00030253i,0.00027398+0.00043329i,0.00039774+0.00051692i,8.4426e-05+0.00062899i,5.8115e-05+0.00029215i,0.00035118+0.00028326i,0.00025065+0.00074937i,3.7739e-05+0.00062624i,-0.00038535+0.00052906i
-0.0013371+0.001415i,-0.00089239+0.0011822i,7.1493e-05+0.00084824i,0.0011367-8.2305e-05i,0.0015155-0.00048474i,0.0017309-0.00022203i,0.00082371+9.2849e-05i,-0.0010538+1.5238e-06i,-0.0023167+5.0854e-05i,-0.0018587+0.00055554i,-0.00011907+0.00030873i,0.0003293-0.00020306i,-0.00041971-0.00025783i,-0.00033727-0.00032767i,0.00020243-0.00036681i,0.00024932-0.00024457i,0.00015565+4.1317e-05i,-0.00026515+0.00096465i,-0.00098242+0.00074166i,-0.0013978-7.9035e-06i,-0.00074764+0.00032547i,-6.329e-06+0.0003892i,7.4435e-05-0.00049349i
0.0022624+0.00064928i,0.0017641+0.0010646i,0.00029673-0.00050061i,-0.00052685-0.0016328i,-0.00074285-0.0014235i,-0.0007012-0.0013936i,-6.7941e-05-0.00084464i,6.0566e-05-0.00035636i,-3.7513e-05+0.00028158i,7.237e-05+0.00046508i,7.4033e-05-0.00027762i,-3.6836e-05+2.4484e-05i,-3.8254e-05+0.00012978i,-0.00046633-0.00015217i,-0.00017741+0.00023925i,0.00025013+0.00092475i,-0.00020182+0.0012182i,-0.00050269+0.00074199i,0.00019058-0.00014052i,0.00020937+3.1991e-05i,-0.00052677-0.00020926i,-0.00048516-0.00035226i,-4.9609e-05+0.00045271i
0.0010129+0.0021777i,0.00050425+0.0013026i,0.00097819+0.0007701i,0.00060078+0.0001519i,0.00019546-0.0013732i,6.8819e-05-0.0020271i,4.3058e-05-0.00099334i,-0.00012197+0.00038879i,-0.0004872+0.00091004i,-0.00040762+0.00045576i,-0.00052292+0.00099665i,-0.00044977+0.0010285i,-0.00040315-0.00026543i,-0.0007517-1.9348e-05i,-0.00039742+0.00043155i,-9.1372e-05+0.00026236i,-9.397e-05+0.0010408i,-0.00046024+0.0011609i,-0.00028003+0.00056108i,0.00028968+0.00023804i,0.00017613+0.00035305i,0.00017713-1.7895e-05i,0.00040232-0.00022666i
0.0018448+0.00031792i,0.0018359+0.00025876i,0.0014131-1.7014e-05i,-0.00013538-0.00038837i,-0.0018352-0.00016151i,-0.0015532+0.00072505i,-0.0002647+0.0013061i,-0.00058219+0.00071373i,-0.0016284-0.00040355i,-0.0015674-0.00062133i,-0.00040166+0.00026082i,2.8023e-05+0.00064496i,-4.423e-05+0.00030961i,0.00024803+0.00010883i,0.00020795+0.00034466i,8.99e-05+0.0003789i,9.0275e-05-0.00049028i,0.00079009-0.00064161i,0.001626-0.00049832i,0.0017816+0.00029075i,0.0013733+0.00060278i,0.00075097+9.5101e-05i,0.00042185-0.00032455i
5.0783e-05+0.0012701i,0.0011025+0.00074424i,0.0013541-0.00037269i,0.00060908-0.001168i,-0.00020649-0.0012408i,3.5683e-07+8.715e-06i,0.00024589+0.00053853i,-0.0003494-0.00010573i,-0.00092584+0.00042592i,-0.00028389+0.0010916i,0.00062695+0.0005341i,0.00056105-5.454e-05i,-0.00015637+0.00016572i,-0.00046537+0.00027188i,-1.4903e-05-0.00024184i,6.0288e-05-0.00035718i,-0.00016935-0.00032555i,-9.5338e-05-0.00053655i,5.0247e-06-0.00052223i,-0.00023912-0.00038841i,-0.00037933-0.00045428i,-0.00018002-0.00032733i,-0.00018228-0.00052823i
0.00029354-0.0018851i,0.00036027-0.0012204i,0.00054561+4.813e-06i,-9.9462e-05+0.00015187i,-0.0010083-0.00042389i,-0.0013717-0.0014451i,-0.00018476-0.00062588i,0.00086349+0.00079465i,-7.3834e-05+0.00049258i,-0.00080072+0.00014344i,-0.00036653-7.1436e-05i,7.8419e-05-0.00041727i,0.00013702-0.00010905i,-0.00019023+0.00034932i,-0.00063398+0.00046555i,-0.00054843+0.00076185i,-0.0006239+0.00077157i,-0.00066431+0.00030726i,-0.00090492+0.00028996i,-0.0011894+0.00054538i,-0.00084637+0.00022737i,-0.00059413+3.1247e-05i,-0.00090712+0.00048827i
0.0009506+0.0015842i,0.001264+0.0014514i,0.0010321+0.0001875i,-0.00063505-0.0015369i,-0.0015201-0.00081104i,-0.00063991+0.00021128i,-0.00028641+4.9853e-05i,-0.00034349+0.00055683i,-0.00093848+0.0008821i,-0.00073891+0.00040694i,2.7519e-05+0.00054629i,0.00025648+0.00061986i,0.00012679+0.00070085i,-0.000345+0.00041598i,-0.00061558+0.00037504i,-0.00020399+0.00098396i,-0.00040143+0.0010353i,-0.00071201+0.0012337i,6.6484e-05+0.0010224i,0.001132-4.891e-05i,0.00053564+0.00029303i,-7.7022e-05+7.35e-05i,0.00021691-0.00089191i
-0.00094519+0.0010429i,-0.0013593+0.0012757i,-2.1193e-05+0.0011992i,0.0010763-3.4451e-05i,0.0014189-0.00040567i,0.00093427-0.00033283i,-7.1502e-05-0.00056531i,-0.00072013+0.00028437i,-0.0014343+0.00092163i,-0.0011552+0.0001828i,-8.3816e-05-0.00085634i,0.00012644-0.0012403i,-0.00050082-0.00074297i,-0.0014389+3.4389e-05i,-0.0017742+0.00073987i,-0.0014018+0.00058936i,-0.00078019+0.00014619i,-4.0172e-05+0.00065983i,-0.0001623+0.00046886i,-0.00092047+0.00028945i,-0.00073627+0.00034563i,5.171e-06-0.00014781i,3.4746e-05-0.00055312i
0.0019185+4.9566e-05i,0.0021529-0.00035196i,0.0024545-0.00083925i,0.00066885-0.0015025i,-0.0010688-0.0013877i,-0.00047292-0.00053255i,8.7254e-07+0.00039703i,-0.00038287+0.0009607i,-0.00015811+0.00080618i,-0.00031843+4.1303e-05i,-0.00016699-0.0004724i,0.00023972+8.5175e-05i,-2.0302e-05+0.00072022i,-0.00017145+0.00089255i,-0.00052103+0.00063404i,-0.0010015+0.00029606i,-0.00050653+0.00011197i,-0.00055053+0.00054471i,-0.00043607+0.00093224i,0.0002028+0.00029361i,0.0012196-0.00039078i,0.00071581-0.00040743i,-0.00049347+0.00028618i
-0.00062235-0.00037169i,-0.00058246+0.00049742i,-0.00076663-0.00055588i,-0.0018359-0.00064079i,-0.0016034+0.00037718i,-0.00077236+0.00021008i,0.00012337-0.00069012i,0.00041163-0.00095317i,-0.00031738-0.00024426i,-0.00014781+0.0010083i,-9.4699e-05+0.0010083i,-0.000229+0.00047157i,0.00023385+0.00037111i,0.0007854-0.00011643i,0.00064698-7.0119e-06i,-4.6423e-06-0.0002317i,-0.00017952-0.00037654i,-0.00016358+0.00047897i,-0.00077631+0.00068647i,-0.00078006+0.00020049i,0.00012222-4.8147e-05i,0.00022234+0.00015245i,0.00024088+9.8702e-05i
0.0010074+0.00089806i,0.00086031+0.00092944i,0.00069612+0.00068085i,0.00056665-0.00058001i,6.6282e-05-0.0010809i,-0.00018979-0.00054072i,-0.00046151-7.1629e-05i,-0.0011161+0.0001781i,-0.00096572+0.00075898i,-0.00040006+0.00057452i,-0.00056337+0.00026342i,-0.00084517+0.00067444i,-0.00045199+0.0012121i,-0.00046931+0.0020708i,-0.00054263+0.0013723i,-0.00056912+0.00012057i,-0.00093404-0.00027457i,-0.0002271+0.00013135i,0.0005322+0.00086903i,-0.00034641+0.00061524i,-0.00064635-9.1305e-05i,0.00014536-0.0005789i,0.00019327-0.0010786i
-0.0002432+0.00074818i,0.0010202+0.00017078i,0.00093307-0.00068124i,-0.00025157-0.0013643i,-0.00066076-0.0015128i,-0.00087315-0.00094591i,-0.0005893-0.00096092i,-0.00065515-0.0012117i,-0.00083105-0.00054436i,-0.00099128+2.4921e-05i,-0.0010269-5.8084e-05i,-0.00018118-0.00055088i,0.00062532+2.8958e-05i,0.00035975+0.00044089i,-0.00014773+0.00018711i,-0.00056201+5.4624e-05i,-0.00051756-0.00013484i,-0.00025304-5.9452e-05i,-5.71e-05-0.00012362i,-0.00014537+0.00020674i,0.00036778+0.00051182i,0.00035192-0.0001511i,-0.0001795-0.00060468i
-0.00040489+0.00040485i,0.0007052+0.00074152i,0.000259+0.00040829i,-0.00092122-5.4362e-05i,-0.0012415-0.00013658i,-0.00049511+0.00022901i,0.00027899-0.00023676i,0.00068503-0.00072328i,-1.8235e-05-0.00027402i,-0.00035277-1.1269e-05i,4.8441e-05+0.00012551i,-0.00020381+0.00011181i,-0.00057649-0.00044107i,-0.00057681-0.00025351i,-0.0004127-0.00027199i,-0.00044296-0.00077107i,-0.00061895-0.00055223i,-0.0005704-0.00039629i,-0.00037183-0.00034221i,0.000263+0.00072344i,0.00076839+0.0016353i,0.0011613+0.0008697i,0.00075248+0.00019248i
0.00084483+0.0017415i,0.00083603+0.0021112i,0.0011444+0.0012446i,0.0011745-0.00021358i,0.000654-0.0016406i,5.1721e-06-0.0013714i,-0.00042901-0.00041849i,-0.00054288+0.00033101i,-0.00053719+0.00066691i,-0.00047665+0.00051052i,0.00024545+0.00025456i,0.00036801+0.00032135i,-9.9626e-05+0.0013016i,-0.00038199+0.001172i,-0.00036262+0.00039461i,-0.00012771-8.3054e-05i,0.00054103-6.6546e-05i,0.00035868+0.00062259i,-0.00011028+0.00095822i,-0.0003169+0.00029114i,-0.00056345-0.00042234i,-0.00073924-0.00017933i,-0.0018343-0.00039125i
0.0012527+0.0015514i,0.0013554+0.00096572i,0.00083931+0.00012668i,-1.0705e-05-0.00063387i,-0.0004122-0.0013325i,7.0753e-06-0.0010513i,0.0001753-2.1545e-05i,-0.00056311+0.00057566i,-0.00074544+0.00059086i,-0.00043075-0.00026328i,-9.2265e-05-0.00031171i,-0.00013722+5.3819e-05i,2.1877e-05-0.0002751i,0.00024093-0.00046502i,-0.00027021-0.00024218i,-0.00016829+0.0001726i,-1.738e-05+0.00075226i,-0.00028716+0.0010141i,-0.00065545+0.00073933i,-0.000871+4.3431e-05i,-0.00066378-0.00065623i,-0.00034962-0.00035213i,-0.00082284+0.00044032i
9.5605e-05+0.00030405i,5.1822e-05+0.0015393i,0.0013273+0.00087492i,0.00047319-0.00032019i,-0.0011544-0.0010793i,-0.0013539-0.0012042i,-0.00017123-0.0008253i,0.00029736-0.00032218i,-0.00014587+0.00038104i,8.7433e-07+0.00017263i,0.0004312-0.0003554i,6.8373e-05+0.00010297i,-2.7077e-05+3.4524e-05i,0.00053922-0.00059704i,0.00031268+0.00020287i,-0.00023607+0.00086965i,-0.00062078+0.00038643i,0.00023913+0.00059431i,0.00096351+0.00096106i,0.00031994+0.00049449i,0.00030489+0.00042452i,0.00023607+0.00052538i,-8.5804e-05-0.00050251i
0.0012067-0.00015902i,0.0010196+0.00045368i,0.0010608+0.00053178i,-8.336e-05-0.00050626i,-0.0017155-0.00086813i,-0.0010911-0.00064313i,0.00019019-0.00094984i,0.00042791-0.00067745i,-0.00018988-0.00035602i,-0.00076977-0.00046008i,-8.9083e-05-3.6693e-05i,0.00086931+0.00082781i,0.00044137+0.00093026i,-0.00044442+0.0010175i,-0.00021276+0.00061362i,-0.00041159-0.00011797i,-0.00024335-0.00045053i,0.00031358-0.00029953i,0.00060948-3.5177e-06i,0.00049058+1.1161e-05i,-3.4846e-05+0.00018571i,-0.00011705+0.00063637i,0.00041935+0.00071207i
-0.00016712+0.00033081i,0.00023574+0.00080122i,0.00050624-0.00028485i,0.00033133-0.0016928i,-0.00047663-0.0013193i,-0.00019877-0.00014476i,0.00028501-0.00013842i,-0.00052135-0.00095496i,-0.0013511-0.00069578i,-0.0014216-0.00031205i,-0.00096571+7.9933e-05i,-0.000628+0.00074979i,-0.00022442+0.00075034i,-0.00023794+0.00061126i,-0.00017559+0.00011364i,-0.00014259-0.00026667i,-0.00048355-0.00022025i,-0.00047135-0.00042974i,0.00023585-1.5971e-05i,0.00038801+0.00064388i,0.00013499+0.00066754i,0.00025907+0.00092901i,-0.00016495+0.00070993i
0.0010104-0.00012682i,0.00039716+0.0011525i,0.00042912+0.0013083i,0.00030826-0.0002119i,-0.0003093-0.00079326i,-0.00017678-0.00063572i,2.1994e-05-0.00057774i,-0.0004278-5.3944e-05i,-0.00035359-0.00037705i,2.2381e-05-0.00048825i,0.00026201-5.6691e-05i,0.0004216-0.00018299i,5.0173e-05-0.00010452i,0.00025787+0.00034848i,0.0005651+0.00094463i,-0.00051951+0.00034522i,-0.0012525-0.00036619i,-0.0003774-0.00017736i,-0.00011053+0.0006201i,-0.00033066+0.0010111i,-0.00018627+0.0005818i,0.00010627+0.00047306i,-0.00041408+0.00043688i
6.6877e-05+0.0012458i,0.00077476+0.0011587i,0.00065132+0.00022121i,-0.00040709-0.00073437i,-0.0010872-0.0014941i,-0.00083906-0.0012611i,-0.00023797-0.0004371i,-0.00012708-0.00032572i,-1.7818e-05+6.9066e-05i,-0.00027301+0.00096634i,-0.00045703+0.00075076i,0.00041777+0.00010451i,0.0008678+0.00029144i,-5.1352e-05+0.00087455i,-0.00055247+0.0010569i,-0.00018947+0.00026023i,-0.00027609+0.00059428i,4.4172e-06+0.00072198i,0.00062359-0.00023345i,0.00048735-0.00048379i,7.3317e-05+6.7524e-05i,-0.00035727-0.0001396i,-0.00085895+4.8051e-05i
-0.00059856-7.9891e-05i,-0.00017767-0.00010386i,-0.00026216-0.00045275i,-0.00068714-0.00048153i,-0.00034302-0.0004326i,-6.2407e-05-0.00040439i,-0.00046065-0.00021849i,-0.0012684-0.00031221i,-0.0017076-0.00069117i,-0.0013815-0.00072559i,-0.00073324-0.00026303i,3.2017e-06+0.00072004i,0.0002586+0.00055726i,-0.00033415+0.00010678i,-0.00063134+0.00041663i,-0.00061686+0.00025486i,-0.00038805-1.3331e-05i,-0.00029389+1.144e-05i,9.1394e-05+0.00016689i,9.7729e-05-0.00010426i,-3.4715e-05-0.00030268i,0.00030588+0.00016993i,0.00014424+0.00023033i
0.0020646-0.00021837i,0.0016681+0.00044775i,0.0018946-0.00094203i,0.00081675-0.0022387i,-0.00035996-0.0015621i,-0.00034346+7.3388e-05i,-0.0012338+0.00058608i,-0.0011296-0.00048655i,-0.00069418-0.00079404i,-0.0012808-0.00055679i,-0.00060229-0.0002273i,0.00060449+0.00016155i,0.001143+0.00046783i,0.00021888+0.00030012i,-0.00056519+4.4256e-05i,-0.00029011+0.00053117i,-0.00031279+0.00063424i,6.2413e-05-0.00050401i,0.00077795-0.0010501i,0.00021251-0.00064817i,-0.00051243-0.00035419i,-0.00048531-0.00063416i,0.00078676-0.00036324i
-0.00020724-8.9756e-05i,-0.00024035+0.00044378i,-0.0009685+0.00070831i,-0.0007506-4.8261e-05i,-0.00027787-0.00023333i,0.00090061-0.00080759i,0.00087116-0.00097649i,-3.5533e-05-0.00042984i,-0.00044438-0.00045523i,-0.00081947+0.00043124i,-0.00096901+0.00095542i,-0.00041191+6.7318e-05i,0.00030916+0.00023549i,2.5381e-05+0.00064393i,-0.00036688+0.00050476i,-0.00036543-0.00011128i,2.5182e-05+4.4144e-05i,0.00087544+0.00033148i,0.001403-0.0004317i,0.00064309-0.00050766i,0.00049093-0.00018383i,0.00093782-0.00057994i,0.00080258-0.001343i
-0.00077852+0.00094874i,-0.00064236+0.00075999i,-0.00033734+0.00086159i,0.00015293+0.00062617i,-0.00029445+4.1228e-06i,-0.0001363-0.00096735i,0.00064353-0.0014901i,0.00036298-0.0015235i,-0.00079255-0.00064643i,-0.0019963+0.00038974i,-0.0013822+0.00018068i,-1.3748e-05-0.00022608i,0.00029316+0.00018273i,-0.00034109+0.00014164i,-0.00047948-0.00027089i,0.00010226-6.4068e-05i,0.00011327+0.00046262i,-0.00019261+0.0012064i,-0.00042506+0.00078041i,-0.00066203+0.00022238i,-0.00057801+0.00025751i,-0.00048482+2.9386e-05i,-0.00014164-0.00056258i
0.00091097+0.00089147i,0.0014422+0.00099712i,0.0019596+0.00022715i,0.00094658-0.0013153i,-0.00028314-0.002074i,-0.00039917-0.0016266i,-0.00054668-0.0011401i,-0.0011133-0.0013648i,-0.0012393-0.0012398i,-0.0010468-0.00015817i,-0.00049026+0.00048007i,8.8197e-05-0.00027791i,-0.00066505-0.00028052i,-0.0014037+0.00078184i,-0.0012462+0.0011117i,-0.0007991+0.00072785i,-0.00021873+0.00037708i,-0.00013363-0.00043322i,0.00015654-0.00070563i,0.00093622-0.00027379i,0.00091549+0.00029145i,0.00036277+0.00025016i,-0.0001404-0.00051591i
