0.00051126+0.00092267i,0.0013519-0.0011909i,-0.00048753-0.0026227i,-0.0018715-0.0018535i,-0.0020814-0.00013968i,-0.0013887+0.0010793i,-0.0007508+0.0018481i,-0.00026213+0.0012721i,0.00033573-1e-05i,0.00034138-0.00034116i,-0.00063345-0.0010373i,-0.0010167-0.0016982i,-0.00083806-0.00096724i,-0.00053742+8.9106e-05i,-0.00030826+0.00061063i,-0.00043625+0.00034065i,-0.00072101+0.00064236i,-0.00046+0.0013408i,0.00011448+0.00092434i,0.0002793+3.7764e-05i,-4.908e-05-0.00011836i,-0.00038359+0.0002487i,-0.00066076+0.00010517i
-0.0019675+0.0029455i,-0.00078996+0.0034138i,0.00026905+0.0031596i,0.0010723+0.0016909i,0.0013663-7.2989e-06i,0.00043971-0.0009082i,-0.000471-0.0014609i,-2.1813e-05-0.00020629i,0.0007782+0.0011649i,0.0010186+0.00077925i,0.00068348+0.00016416i,-0.00018556+0.00024819i,-0.00088574+0.00021818i,-0.001075-0.0003279i,-0.00052048-0.00065991i,-0.00051459+0.00024102i,-0.00030391+0.00039446i,0.00022931-0.00016391i,0.00015035+0.00018303i,0.00026791+0.0005869i,-0.00025424+8.0031e-05i,-0.00082239-0.00033867i,-0.00018291-9.3856e-05i
0.00026947+0.0020015i,0.0010297+0.0014975i,0.0015099+0.00056313i,0.0010747-2.5317e-05i,0.00029096-0.00069665i,-6.8935e-05-0.0011124i,-0.00038069-0.00062318i,-0.00043316+0.00051407i,-0.0012228+0.0010922i,-0.0020987+0.00033826i,-0.001685-0.0003807i,-0.00082585-0.00080625i,0.00025483-0.0011414i,0.00048023-0.0010284i,-0.00081649-0.00026229i,-0.0016504+0.00042049i,-0.0018398+0.0011475i,-0.0013708+0.00087219i,-0.00066617+0.00027322i,-0.00059387+6.1676e-05i,-0.0011004-0.00024857i,-0.00074612+9.5001e-05i,0.00016724+0.00043459i
-0.0010118+9.1619e-05i,-0.00015022+0.00055597i,0.00014083+0.00092957i,0.00069773+0.0013169i,0.00077013+0.00022419i,-0.00014141-0.00086726i,-0.00025532-0.00092228i,-0.00037215-0.0008895i,-0.00090082-0.0013149i,-0.00010953-0.0018035i,0.00041141-0.0014351i,0.00021929-0.0012095i,-1.8823e-05-0.0011674i,-0.00011231-0.00031908i,-0.00036309-6.022e-05i,-0.00073456-5.2615e-06i,-0.00082176-0.00015945i,-0.00049543-0.00016615i,-0.00016689+0.00069031i,0.00042313+0.00035645i,0.00028159-1.6568e-07i,-0.00057751-0.00016554i,-0.00023571-0.00082818i
0.0013705+0.00013343i,0.002546-0.00062995i,0.0014826-0.00039334i,-0.0001277-0.00098126i,-0.00035448-0.0018292i,-0.0001016-0.0015329i,-0.0002323-0.0005195i,-0.0002244+0.00041376i,0.00028468+0.00047929i,0.00014664+0.00030506i,-0.00077326+0.00042728i,-0.00091904+0.00015254i,0.00013498+0.0001295i,0.0005953+0.00031295i,0.00017528+0.00023695i,-0.000264+0.00018969i,-3.381e-05-8.3304e-05i,-0.00067417-0.00069636i,-0.0012208-0.0013789i,-0.00040504-0.0012965i,0.00021529-0.00040728i,0.0011758-0.00034614i,0.0015058-0.00036607i
0.00011582+0.0014242i,-9.3117e-05+0.0012937i,0.00015458+3.9608e-05i,-0.00055346-0.00099036i,-0.0011711-0.0013864i,-0.00094811-0.00059385i,-0.00062187-0.00011818i,-0.0005478+1.2088e-05i,-0.00053748+2.4865e-05i,-0.0012688-5.9324e-05i,-0.0019157-0.00096091i,-0.0019441-0.0015635i,-0.0012394-0.00086302i,-0.00056186+0.00012734i,6.6986e-05+0.0004528i,-5.8165e-05+0.00033295i,-0.00038479+0.00022128i,-0.00022591+6.5608e-05i,-0.00029965-0.00042703i,2.5474e-05-0.0010407i,-7.7651e-05-0.0008497i,-0.00027318-0.00037663i,0.00024866+0.00067634i
0.00078044+0.00036094i,0.0020584+0.00099054i,0.00098385+0.0020714i,-0.00043686+0.0013897i,0.000481+0.00013797i,0.0008199-0.00078989i,0.00068453-0.0010247i,0.00068808-0.00038487i,0.0011381-0.00033468i,0.0012444-0.00030086i,0.00028089-0.00024342i,-0.00014121-9.1181e-05i,0.00035094+5.048e-06i,0.00043413-0.00038723i,-8.4656e-05-0.0005867i,-0.0002273-0.0004931i,-0.0008377+9.9809e-05i,-0.00061655+0.00057965i,-0.00031033+0.00092467i,-0.00077541+0.00085314i,-0.00089208+0.00020069i,-0.00053493-0.00030947i,0.00030436-0.0005843i
-0.0016869-0.00081765i,-0.0025617+0.0011339i,-0.00244+0.0018893i,-0.0030707+0.0012304i,-0.0031573+0.00034945i,-0.00060116+0.00085748i,0.0011081+0.0012486i,0.0010255+0.00084213i,-4.0941e-05+0.0014621i,-0.00043335+0.0014214i,-0.0005045+0.0002614i,-0.0012425-0.00071349i,-0.00047495-0.0010838i,0.00076707-0.001126i,9.3635e-05-0.00054928i,-0.00030431+0.00023341i,0.00027062+0.00052503i,0.00018329+0.00046135i,0.0005891+0.00083078i,0.00084531+0.0010773i,0.00045256+0.0008019i,0.00054944+0.00052363i,0.0012647+2.5494e-05i
0.00065849+0.00076735i,7.0652e-05-0.00026819i,-0.00028434+0.00062424i,-9.2239e-05+0.00082373i,3.0496e-05-0.00077014i,-0.00026259-0.00077855i,-0.00052007-0.00021475i,-0.00096544-0.00022673i,-0.001527-0.00078941i,-0.00069116-0.0016829i,-0.00022184-0.0020435i,9.7236e-06-0.0013722i,0.00028697-0.0002093i,0.00053083+0.00016405i,0.0012465+0.00051119i,0.00085421+0.00054575i,-0.00029697+0.00058377i,-0.00042811+0.00076608i,0.00010671+0.00029123i,-0.00013414-2.0754e-05i,-0.00042842-0.00046445i,2.643e-05-0.00059367i,3.7473e-05-0.00049029i
0.0019105+0.00054738i,0.0022341-0.00032694i,0.0019489-0.00098656i,0.00055207-0.001103i,-0.00037865-6.539e-05i,-0.00099038-0.00012255i,-0.00089373-0.00062048i,0.00067758-0.00032795i,0.0015854-0.00054206i,0.0022471-0.00048437i,0.0017491+3.3398e-05i,0.00064854+0.00056405i,0.00085581+0.00046382i,0.00080664+0.00035225i,-0.00024922+0.00061716i,-0.0011456+0.00032904i,-0.00068441+0.00019326i,1.118e-05+0.00034831i,0.00029724+0.00083723i,0.00069613+0.00091771i,0.00021002+0.00063773i,-0.00031268+0.00048029i,4.1698e-05-9.5456e-05i
-0.0024557-0.0016605i,-0.0028258-0.00061226i,-0.002581+0.00062133i,-0.0017035+0.0014013i,-0.00044096+0.0012524i,0.00048421+0.0010868i,0.0002526+0.001365i,-0.0005098+0.0019671i,-0.00035168+0.0022181i,-0.00011628+0.0017579i,-1.6125e-05+0.0011767i,-0.0004463+0.0005605i,-0.00016016-0.00051918i,0.0005133-0.00059i,0.00022162+8.381e-05i,2.9976e-05-6.2239e-05i,-0.00036785-0.00027342i,-0.00049278-4.0837e-05i,-0.00056642-6.5318e-05i,-0.00052016-5.0294e-05i,-0.00022992-9.3545e-05i,5.8844e-05-5.8963e-05i,0.00027163+0.00015615i
-0.00052695-0.00063073i,-0.00027268-0.00080009i,-0.00066313-0.0010341i,-0.0020043-0.00045901i,-0.0023352+0.00035408i,-0.0015367+0.0010731i,-0.0012213+0.00097779i,-0.0017317-0.00056611i,-0.0018454-0.0018898i,-0.0016648-0.0024026i,-0.0011117-0.0020737i,-0.0008128-0.00088326i,-0.00090639-0.00059752i,-0.00079983-0.00093345i,-0.00034536-0.00054563i,0.00027605+0.00029879i,0.00044539+0.00041989i,9.5662e-06+0.00017078i,-0.00026395+0.00048194i,0.00043964+0.00050145i,0.00053309+0.00030999i,-0.0002072+4.1138e-05i,-0.00021736-0.00034849i
-0.0016343+0.00026624i,-0.00096613-0.00035752i,-0.0013875-0.00030807i,-0.0014549+0.00022719i,-0.0007088+0.00032771i,-0.00062629+0.00098989i,0.00014245+0.00051662i,0.0012907-0.00014171i,0.002173-0.00029095i,0.002205-0.0006637i,0.0014487-0.00040209i,0.00048267-0.00016079i,0.00035539-0.00036888i,0.00020951-0.00016175i,-0.00024301+0.00054096i,3.7577e-06+0.00044314i,0.00035058+0.00046512i,0.00044812+0.0010015i,0.00043781+0.00033831i,0.00035159-0.00033516i,2.1886e-05-0.0003834i,-0.001002-0.00054299i,-0.0010113-0.00090599i
0.00094174-0.0013467i,0.00159-0.00026798i,0.00099705-0.0005552i,0.00073063-0.000911i,0.00033439-8.8791e-05i,2.7823e-05-2.2379e-05i,-0.00061148+9.1127e-05i,-0.00055557+0.00039007i,-0.00087815+0.00079518i,-0.0014102+0.00048979i,-0.00062662+0.00029492i,0.00058024-0.00067637i,0.00064662-0.0013841i,0.00037821-0.00097787i,-0.00013581-0.00042373i,-0.00093894-0.00041138i,-0.00090084-0.00083536i,-0.00092916-0.00053983i,-0.00106+0.0005261i,-0.00025874+0.0009145i,2.8868e-05+0.00073079i,-0.00031228+0.00030551i,-0.00066806+0.00045424i
-0.0023942+0.0012788i,-0.0033104+0.00064703i,-0.0033628-0.00050607i,-0.0019393-7.2815e-05i,-0.00028465+0.0010731i,1.3329e-06+0.00070149i,-0.00028267-0.00040808i,-0.0011285-0.00080597i,-0.0012973-0.0019548i,-0.00016496-0.003052i,0.00053152-0.0024123i,0.0003395-0.0013213i,-0.00052616-0.00085657i,-0.0012348-0.00052237i,-0.0014185-0.00054801i,-0.0012656-0.00071886i,-0.00047891-0.00011843i,-0.00014065+0.00084775i,0.00027345+0.00052204i,0.00051733+0.00018178i,6.8857e-05-9.6438e-05i,3.7599e-05-0.00040805i,0.00047058-0.00013942i
0.0030334-0.001336i,0.0031308-0.002033i,0.0026606-0.0031798i,0.0007619-0.0036011i,-0.00082723-0.0035373i,-0.0014769-0.0027055i,-0.00076436-0.0012165i,0.00043314+0.00046182i,0.0016627+0.00080552i,0.0024066-0.00017331i,0.0016935-0.00077695i,0.00054596-0.0003891i,9.0353e-05+0.00014868i,0.00045033+0.00057969i,-0.00022186+0.0011457i,-0.00082117+0.001186i,-0.00042002+0.00030501i,2.4742e-05-0.00014757i,-0.00016173+0.00019451i,-0.00059584+0.00040795i,-6.9232e-05+0.00028408i,0.00033985+0.00023427i,0.00031763+0.00015829i
-8.7453e-05+0.0013649i,-0.0010134+0.0016172i,-0.00093357+0.0016594i,-6.4598e-05+0.00051113i,0.00072908-0.00077632i,-0.00011885-0.00045205i,-0.0011643+0.00062162i,-0.0012596+0.001049i,-0.00025811+0.0012152i,-0.0001671+0.0010227i,-0.00087743+0.00040249i,-0.00034725-7.1737e-05i,-7.9247e-06-0.00061095i,-0.0001973-0.0006314i,-0.00024626-0.00030468i,-0.00013079+0.00016082i,-0.00062565+0.00014117i,-0.00073274-3.6442e-05i,-0.00016218+0.00036613i,0.00031524+0.00026999i,0.00053993+5.6188e-05i,0.00041284-5.6906e-05i,0.00014906-0.00047656i
-0.00093726+0.0030277i,0.00056664+0.0016924i,0.0012057+0.0010735i,0.0010478+3.1585e-05i,0.0015736-0.0010155i,0.0010701-0.0021005i,0.0003911-0.0025132i,0.00014726-0.0019674i,0.00048844-0.0017962i,0.00086612-0.0021155i,0.00065844-0.0019913i,0.00019019-0.00092233i,-0.00086996-0.00059905i,-0.0011763-0.00026215i,-0.00049363-0.00010523i,-2.9368e-05+0.00022919i,-0.00043914+0.00068713i,-0.00037448+0.00062182i,-4.4695e-05+0.00063089i,-0.00060219+0.00091814i,-0.0010009+0.0010374i,-0.00073032+0.0010188i,-6.9357e-05+0.00040571i
0.0011903+0.0024226i,0.0014774+0.0029511i,0.00059119+0.0016032i,0.00065729-0.0002654i,0.00087579-0.0010389i,0.00019457-0.0018298i,-0.0004897-0.0011745i,-9.2575e-05+0.00061028i,0.00070861+0.001779i,0.0010081+0.0019202i,0.00063244+0.0012205i,0.0010497+0.00046051i,0.0014285-0.0003688i,0.00064626-0.00033206i,-0.00069555+0.00068973i,-0.001487+0.0011427i,-0.00035956+0.001324i,0.00067749+0.00071719i,0.00042777-3.5e-05i,0.00016296+0.0002705i,0.00019761+0.00034816i,0.00055864+0.00016276i,0.00079495+0.00013766i
-0.001728-0.00059631i,-0.0015155-0.00049659i,-0.0013782-6.9093e-05i,-0.00049675+0.0012088i,0.00023829+0.0017074i,0.00024853+0.00040025i,-6.3358e-05-4.5837e-06i,-0.0011524-0.0004253i,-0.0020832-0.0010166i,-0.002213-0.00063581i,-0.0014918-0.00040983i,-0.00068358+0.00021952i,-2.6399e-05+2.7274e-06i,-0.00014571-0.00051944i,-0.00026196-0.00033562i,4.2327e-06-3.6399e-05i,-0.00016777+0.00018595i,-0.00044072+0.0001682i,-0.00011883-0.0005959i,-1.3948e-05-0.00098437i,0.00030015+0.00016591i,0.000636+0.00079012i,0.00053168+0.00029094i
0.0015672-0.00055554i,-7.0505e-05-0.00028169i,-0.0010299+0.00012297i,-0.0008303-0.000479i,-0.00046916-0.00069775i,0.00034663-0.00013567i,0.0010597+0.0004432i,0.00064186-1.4199e-05i,0.00053139-0.0011775i,0.00068372-0.0017733i,0.00048625-0.0016926i,-0.00022334-0.0012779i,-0.00092095-0.0010128i,-0.0010861-0.00012532i,-0.00086815+0.00047601i,-0.00043308+0.00043237i,-0.00033246+0.00073348i,-0.00017801+0.00092331i,0.00040066+0.00055235i,0.00062438+0.00057757i,0.00026167+0.00031468i,0.00034244-0.00038794i,7.3846e-05-8.0322e-05i
-0.00091417-0.0005213i,-0.00054868-0.0010208i,-0.00012128-0.00024938i,-0.00021406+0.00022001i,-0.0004789-0.00043834i,3.9948e-05-0.0004524i,2.4654e-05+0.0012479i,-0.00022311+0.0020725i,0.00054683+0.0018739i,0.0012122+0.0018732i,0.0008148+0.0010797i,0.00012376-0.00025219i,0.00020949-0.00097343i,0.00017235-0.0002312i,-0.00020264+0.00012495i,0.00035822+0.00027559i,0.00041072+0.00092012i,0.00029617+0.00063243i,0.00036973+0.00016994i,0.00013351-4.9202e-05i,-0.00015765-0.00032147i,-0.0001777-0.00045044i,0.00032581-6.7941e-05i
-0.0024275-0.0015435i,-0.0032202+0.00043243i,-0.0034874+0.00085856i,-0.0033564+0.0004869i,-0.0031755+0.0010909i,-0.0016164+0.0019892i,-0.00066362+0.00078446i,-0.0016133-0.0010174i,-0.0029021-0.0013924i,-0.0022783-0.0010916i,-0.00053064-0.00048024i,-0.00048001-0.00018811i,-0.00090796-0.00085511i,-2.463e-05-0.00055625i,-0.0004559+0.00029478i,-0.0016948+0.00043409i,-0.00089691+0.00047471i,0.00043139+0.0012165i,0.0003151+0.0010333i,4.0528e-05-8.2016e-05i,-0.00026976-0.00015355i,-0.00032557-0.00057099i,0.00020755-0.00040484i
-0.00028885-0.0023473i,-0.00071135-0.0030144i,-0.00058385-0.0024434i,-0.0010145-0.0012788i,-0.00076669-0.00028141i,9.5028e-05-0.0002444i,0.00063638-1.6445e-05i,0.0014121+0.00041519i,0.0015509-0.00082221i,0.00096753-0.0020972i,0.00047164-0.0020314i,0.00045859-0.0012329i,4.6835e-05-0.00091643i,-0.00046073-0.00062034i,-0.00045793+0.00064575i,-0.0002925+0.00062413i,-0.00020691-0.00032475i,-0.00015597-0.00024447i,0.00039659-2.1052e-05i,0.00035596+0.00068516i,2.3659e-05+0.00090341i,-0.00079527+0.00067053i,-0.00019167-6.1323e-05i
-0.0017193+0.00059193i,-0.00020551+0.0019324i,-0.00049682+0.00099613i,-0.0010332-8.5543e-05i,2.7223e-05+0.00019218i,0.0012319+0.00043921i,0.00061047+0.0010585i,0.00021878+0.0018427i,0.00042577+0.0021318i,-0.00013611+0.001705i,-0.00029233+0.00099339i,-0.00051411+0.00029723i,-0.00035812-0.00071107i,0.0006007-0.00032563i,0.00055362+0.0005836i,-0.00049188+0.00053854i,-0.00094893+0.00018239i,0.00016498+0.00036362i,0.00077151+0.00084719i,0.00027972+0.00056867i,-8.062e-05+2.9046e-05i,-7.4547e-05-0.00042547i,0.00024553-0.00048472i
-0.00052393-0.00020581i,-0.00059201+0.00069353i,2.3375e-05+0.0015342i,-0.00010322+0.00094149i,-0.00066449-0.00067743i,-0.00088904-0.0015733i,-0.00088908-0.0014601i,-0.00047841-0.0011101i,-0.00056534-0.0011296i,-0.00039267-0.0010417i,0.00026244-0.0009115i,-0.00023691-0.0011042i,-0.0011331-0.00024397i,-0.0012274+0.00047831i,-0.00027104+0.00039938i,0.00040346+0.00074306i,0.0003393+0.0011322i,-0.00033948+0.00089344i,-0.00087142-0.00046596i,-0.00073381-0.00085282i,-0.00054175+0.00012379i,-0.00056104+0.00035076i,-0.00010938+0.00077266i
0.0022076-0.00052776i,0.0019339-0.00063638i,0.00079751-0.0013166i,-0.00088367-0.0017273i,-0.0013135-0.0021787i,-0.00094433-0.0024508i,0.00032866-0.00077253i,0.00082991+0.0013924i,0.0010815+0.001219i,0.0017278-0.0010168i,0.001474-0.00141i,0.00072233-0.00045679i,0.00025482-0.00068773i,-0.00046017-0.00075336i,-0.0009556+0.00012604i,-0.0012722+0.00022817i,-0.0013018+5.9852e-05i,-0.00067915-0.00011363i,0.0002032+0.00060608i,0.0011854+0.0010519i,0.0011046+0.00014166i,0.0010199-2.7138e-05i,0.00092665+0.00018727i
0.00032056+0.00057187i,-9.2427e-05-9.7573e-05i,0.00026508-0.00041105i,0.00017411-0.00070762i,-0.0010706-0.0012099i,-0.0022765-0.0011256i,-0.0015402+0.00016141i,-0.00059224+0.0016603i,-0.0011168+0.0014442i,-0.0010744+0.00063421i,-0.00015093+0.0001832i,0.00053331-0.0002224i,0.00044671-0.0001182i,0.00051926+4.005e-05i,0.0005402+0.00011569i,0.0006514-6.1669e-05i,0.00079964-0.00065237i,0.00018668-0.00018565i,-0.00053007+0.00049295i,-0.00046209+0.00064422i,-0.00019435+0.0010763i,0.00037015+0.00094517i,-0.00013527+0.00051349i
-0.00029543+0.00014757i,0.00020384-0.00036614i,-0.0011645+0.001593i,-0.0012609+0.0021948i,6.8764e-05+0.00074198i,0.00056532-1.6485e-05i,0.00010042-0.00024822i,-0.00087027-0.0009214i,-0.0015698-0.0017099i,-0.0011361-0.0012838i,-4.6344e-05-0.00022353i,-0.00023601+0.00059496i,-0.0010024-0.00035312i,-0.001086-0.0011408i,-0.0011659+0.00013196i,-0.0014045+0.00048548i,-0.00099426+6.8357e-05i,-0.00039888+0.00072074i,-1.7644e-05+0.00081202i,0.00051283+0.00013603i,0.00090653-0.00057646i,0.00029388-0.0005484i,-0.00015633-0.00012589i
-8.5541e-05-0.0018016i,-0.00052672-0.001274i,-0.0024025-0.00077559i,-0.003284+0.00027632i,-0.0028819+0.0004486i,-0.0020262+0.00019321i,-6.4746e-05-0.0002211i,0.0013244+0.00020778i,0.001279+0.0011138i,0.00095192+0.00092441i,0.0011917-7.6568e-05i,0.00099201-0.00080021i,0.00089826-0.00096664i,0.0003388-0.00057649i,-0.00024158-0.00077348i,-0.00021133-0.0012007i,-0.00030528-0.00065336i,-2.1558e-05+0.00037643i,0.00082892+0.0005779i,0.0012063-0.00011866i,0.00095697+0.00017189i,0.00041031+0.0011885i,-0.00049575+0.00045935i
0.00033726-0.001934i,-0.00093687-0.0024731i,-0.0016179-0.0025855i,-0.00056616-0.0018141i,-0.0006215-9.8461e-06i,-0.0013191+0.00071658i,-0.0010989+0.00086665i,-0.0011079+0.00042097i,-0.0012344+0.00037983i,-0.0011319+0.0003972i,-0.00068046-0.00029955i,-0.00036534-0.00079691i,0.00011875-0.0005241i,0.00091322-0.00060144i,0.0011502-0.00013911i,0.00082991+0.00052888i,0.00070772+0.00048743i,0.0005113+0.00021122i,-0.00035771+0.00040256i,-0.0011592+0.00044681i,-0.001253-0.00017366i,-0.00075122+0.00025078i,-0.00019351-0.00028778i
-0.0013262+0.00024956i,-0.0015338+0.00057529i,-0.0016613+0.00070252i,-0.0017945+0.00065612i,-0.0025338+0.00052015i,-0.001866-1.6578e-05i,0.00021579-0.00062989i,0.00092575-0.00077746i,0.00059616-0.0018778i,-8.7288e-05-0.0024526i,-0.00099096-0.0015916i,-0.001151-0.00091091i,-0.00073243-0.00086956i,-0.00015358-0.00023012i,8.3835e-05+0.00021723i,-0.0006043+0.00015543i,-0.00069025+6.921e-05i,-0.0002828-0.000197i,-0.00050543-0.00019358i,-0.00053206-0.00029734i,-0.00041379-0.0003611i,-0.00052004+5.6877e-05i,-0.00050812+8.8297e-05i
0.0032871+0.00038571i,0.0029225-0.0017153i,0.0027034-0.0025925i,0.0017503-0.0017529i,0.00080301-0.002665i,-0.0005459-0.0030043i,-0.00049849-0.00028594i,0.00068123+0.0019433i,0.0014384+0.0014852i,0.0018794+0.00073048i,0.0016063+0.00026793i,0.00070522-0.00025047i,-0.00015292-0.00079584i,-0.00081102-0.0011037i,-0.0014031-0.00048187i,-0.00088665+0.00032908i,7.078e-05+0.00047345i,-7.4234e-07+0.00080827i,0.00039672+0.00036598i,0.00095047-0.00047546i,0.0006581+0.00023768i,-9.3526e-05+0.00088444i,-0.00010779+0.00065324i
-0.003035+0.0023603i,-0.0011087+0.0022842i,9.7741e-05+0.0022625i,-0.00043791+0.002187i,-9.6509e-05+0.0016268i,-9.2605e-07+0.00059566i,-0.0012394-7.6561e-05i,-0.0023196-0.00085811i,-0.0026773-0.00089486i,-0.0022098-0.00045743i,-0.00075229-0.00021875i,-4.1977e-05-0.00026059i,0.00034591-0.0009057i,-0.0001978-0.00091492i,-0.00083041-0.00035394i,-0.00069731-8.8798e-05i,-0.0004052+0.00040313i,0.00027786+0.00093904i,0.00024969+0.0011497i,7.1687e-05+0.00074523i,-0.00019058+0.00075741i,-0.00090361+0.00074882i,-0.0010217-2.4912e-05i
0.0023843+0.00013533i,0.001822-0.001832i,0.00031679-0.00098302i,0.00012537-0.00044181i,0.0008559-0.00086919i,0.00028813-0.0013397i,-0.00024035-0.0010148i,8.1923e-05-0.00016688i,0.00067364-0.0012355i,0.00084139-0.0022318i,0.00073029-0.00098936i,0.00060277-0.00037966i,3.2848e-05-0.00095393i,-0.00059483-0.00045598i,-0.00016352-0.0007342i,3.4116e-05-0.0010313i,0.00016584-4.6554e-05i,0.00026408+0.00036603i,-0.00039725+0.00038592i,-0.00073951+0.00058836i,-0.00086088+9.4589e-05i,-0.00078794-0.00026421i,-0.00047648-8.6896e-05i
-0.00045466+0.0033873i,0.0008752+0.0042323i,0.0011543+0.0030606i,3.4356e-05+0.0016933i,1.519e-05+0.0011394i,0.00013403-0.00056111i,0.00011233-0.00053862i,0.00030109+0.00097806i,0.0011588+0.0019921i,0.0011026+0.0020246i,-9.8673e-05+0.00058159i,-0.00093145-0.0011806i,-0.00087356-0.0018478i,-0.0011232-0.0009917i,-0.0013752-9.8427e-05i,-0.0015368+0.00013644i,-0.0017652-0.00058987i,-0.00082408-0.0017439i,0.00055004-0.0014162i,0.00089177-0.00012925i,0.00050536-0.00010608i,0.00057324-0.00052654i,0.00065708-0.00036548i
-0.0003454-0.0005369i,0.0002889-0.00123i,-0.000386-0.00036822i,-0.0014902-0.00035842i,-0.0020218-0.0010104i,-0.0014496-0.00095165i,-0.0012302-0.00061562i,-0.0015282-0.0010366i,-0.0018716-0.0012161i,-0.0013042-0.00079864i,-0.0013114-0.00038943i,-0.00096076-0.00091254i,0.00010749-0.00087474i,0.00035582-0.00018131i,-0.00036774-0.00020236i,-0.00086007-0.00032919i,-0.00062842+2.6425e-05i,-0.00034191+0.00067446i,0.00021697+0.00036854i,0.00023415-0.00076391i,-0.00047588-0.00059547i,-0.0011588+0.00014833i,-0.0015635+3.0745e-05i
0.0024569-0.00010787i,0.0017917-0.00033962i,0.00034703-0.0013418i,-0.00019374-0.0014348i,-0.00097251-0.00060773i,-0.0011676-0.00016698i,0.0001465-0.00035639i,0.001024-0.0010723i,0.0020922-0.0013397i,0.0026153-0.0012992i,0.001947-0.0012709i,0.00079227-0.00131i,0.00048969-0.0012653i,0.00022977-0.00064798i,0.00018524+0.00064027i,6.3062e-05+0.0012306i,-0.00070096+0.00032886i,-0.00095484-0.00043086i,-0.00043545-0.00060984i,0.00021366-0.0013083i,0.0011905-0.00099392i,0.00091456+2.4052e-05i,0.00038277+0.0001035i
0.0011364-0.00012881i,-0.00028717+2.8657e-05i,-0.00069587-0.00036816i,-0.0015549-0.0014032i,-0.0023073-0.0018215i,-0.0023517-0.001372i,-0.0019544+1.6774e-05i,-0.0005817+0.0010993i,0.00050914+0.0014259i,0.00043549+0.0013531i,-0.00018738+0.00069072i,-0.00088282-0.00019628i,-0.0010426-0.00023101i,-3.8153e-05-0.00019818i,1.1738e-05-0.00035864i,-0.0016038+0.00017019i,-0.001229+0.00061103i,0.00070396+0.0004189i,0.00072111-8.6877e-05i,0.00013117+0.00028818i,-0.0003145+0.0010619i,-0.00041875+0.0011977i,-0.00023606+0.00088746i
0.0040656-0.00077733i,0.0032469-0.0026897i,0.0012923-0.0044344i,-0.00033778-0.0045136i,-0.00041803-0.003705i,-0.00020924-0.0026829i,-0.00027679-0.0015674i,-1.3839e-05-0.0015165i,0.0001202-0.0022739i,-0.00013453-0.0020317i,-0.00084919-0.0013429i,-0.0013075-0.0010003i,-0.00079913-0.00088954i,-0.00020895-0.0009195i,-0.00086751-0.00063923i,-0.00051031-0.00038183i,0.00091983+0.00021794i,0.00063615+0.00065998i,-0.0001232+0.00048364i,-0.00024527+0.00034156i,-0.00020579+0.00091631i,-0.00037432+0.00025639i,-8.4118e-05-0.00064992i
-0.00064278+0.0017i,7.6588e-05+0.0019554i,0.00040093+0.0014009i,-0.00073177+0.00060245i,-0.00046238+4.2676e-05i,0.0011903+0.00025244i,0.0010603+0.00084852i,0.00052753+0.0011129i,0.0015826+0.00041805i,0.0026659-0.00061952i,0.0019741-0.00037167i,0.0010981-0.00017301i,0.00068904-0.00059993i,-3.9577e-05-0.00048347i,-0.00032028-0.00040074i,5.8327e-05-0.00059085i,-0.00027101-0.00016531i,-0.0013234+0.00028729i,-0.0011015-0.00046745i,-0.00024197-0.00087523i,-0.00017081-0.00066464i,-6.9921e-05-0.0013328i,0.00050328-0.0018297i
3.2371e-05-0.0024172i,-0.00076479-0.001953i,-0.00065207-0.00085537i,-0.00012031-0.00054763i,0.00049417-0.0013936i,0.00083571-0.0011209i,-0.00060351+2.7258e-05i,-0.0014504+9.0489e-05i,-0.0021847+0.0005306i,-0.0025686+0.00073223i,-0.0017169-0.00020701i,-0.00042588-0.00068859i,9.5525e-05-0.00094413i,-0.00080118-0.00038742i,-0.00070414+7.58e-05i,-0.00015709-0.00045387i,-0.00054908-0.00023217i,-0.00053809-0.00012622i,0.00018604+0.00024943i,0.00090738+0.00084129i,0.0009636+0.00017383i,0.0011578-0.00059476i,0.0014456+0.00049352i
0.00072927+0.0012761i,5.5937e-05+0.00078378i,-0.00021259+0.00021222i,-0.00020331+0.00014107i,4.4085e-05-0.0005015i,0.000245-0.0020726i,-0.00022919-0.0022278i,-0.00010189-0.0019326i,0.00014852-0.0020325i,-0.00031385-0.0020144i,-0.00021718-0.0010821i,0.00021219-0.00032368i,0.00052-0.00063931i,5.5583e-05-0.0008075i,-0.00051213-0.00026418i,-3.7031e-05-0.00040686i,0.00043827-0.00083591i,-7.4017e-05-0.00066275i,-0.0010766-0.00051046i,-0.0012511-0.00015836i,-0.00084906+0.00033116i,-0.00048278-0.00012943i,-0.00074092-0.00033252i
