-0.00093788+0.0013884i,0.00043302+0.00049441i,-0.0011863-2.8714e-06i,-0.0017548+9.8369e-05i,-0.00091107+0.00055711i,-0.00064386+0.0022689i,-0.00067873+0.0042279i,-0.00046758+0.003375i,0.00038578+0.0011725i,0.0014426-0.00029024i,0.0018512-0.00065074i,0.0008588-0.001016i,-0.00055074-0.00011444i,-0.00067906+0.00081864i,-0.00086576-9.5073e-06i,-0.00084509-0.00078398i,-3.4134e-05-0.00052489i,-0.00014021+3.4041e-06i,-0.00042302-0.0001797i,0.00018151-0.0007581i,0.0006134-0.0010708i,0.00027867-0.0012291i,-0.0005663-0.00067378i
0.00010468-0.00036584i,0.00033626-0.001117i,0.00031948-0.00030163i,0.00097468+0.0012321i,0.0021712+0.0014678i,0.0020897+0.00049385i,0.00064563-0.00077589i,-8.5681e-05-0.00042436i,0.00052488+0.0001578i,0.00075869+5.2414e-05i,0.00097602+0.00083973i,0.00093298+0.0016684i,0.00029936+0.0010663i,-0.00037976+0.00060459i,-0.00032167+0.00037651i,0.00053518+2.9851e-05i,0.00074567+2.7882e-05i,0.00061653+0.00046674i,0.00087556+0.00027712i,0.00060197+0.00025043i,0.00043374+0.00017226i,0.00052826-0.00037068i,0.00034202+0.00048154i
0.00011648-0.00036397i,6.5813e-05-0.00062348i,4.4233e-06+0.00039233i,-0.00043056+0.00083471i,-0.00070544+0.00078465i,-0.00083855+0.0011838i,-0.0010164+0.0010984i,-0.00060814+0.00070817i,-0.00085532+0.00014884i,-0.00096687-0.00030262i,-0.00023266-1.0546e-05i,-0.00043357+0.00014319i,-0.00058261-9.9401e-05i,0.0003194+0.00047901i,0.00034253+0.00091438i,-0.00062827+0.00046089i,0.00022229-0.00074437i,0.001901-0.0013529i,0.0017322-0.00035275i,5.4789e-05+2.3472e-05i,-0.00076528-0.00016352i,3.6071e-05-0.00024758i,3.6128e-05-0.00029527i
-0.0030563+6.129e-05i,-0.003258-0.00069542i,-0.0042819+0.00029156i,-0.0026669+0.0018984i,-0.00017942+0.002797i,0.0012061+0.0013546i,0.00097827-5.015e-05i,-7.9582e-05+0.00043207i,-0.0011305+0.0010047i,-0.0015869+0.0011849i,-0.00038888+0.0011566i,0.0011719+0.00069546i,0.0014523+0.00031247i,0.00032307+0.00049258i,-0.00011316+0.00068677i,0.00061357+0.00055114i,0.00057225+0.0005455i,-0.00029748+0.00097566i,-3.8932e-05+6.6055e-05i,0.00059761-0.00093238i,0.0014089-0.0005289i,0.0012572+0.0001964i,0.0001267+4.1807e-05i
0.00027914+0.00047544i,8.561e-05-1.6869e-05i,3.3054e-05+0.0010491i,0.00078596+0.0020991i,0.00052575+0.0015143i,-0.00023399+0.00045281i,-0.00059667+0.00034302i,-0.001066+0.00023225i,-0.00065602-0.00037168i,9.4127e-05+0.00046055i,0.00038995+0.00067491i,0.0006187-0.00033635i,0.00048174-0.00018454i,0.00015783+1.5544e-06i,4.2726e-05-0.00020618i,0.00020187-0.00017739i,-8.7509e-06-0.00063132i,-0.00044067-0.0004977i,0.00015354+7.9816e-05i,0.00035539+1.3459e-05i,-0.00014404-0.00021163i,-0.00037395-0.00037823i,-4.3873e-05+0.00045871i
0.0029544-0.0011354i,0.0037815-0.0016484i,0.0038691-0.0011975i,0.002564-0.00083339i,0.0013689-0.00027022i,0.0001154+0.000698i,-0.00018364+0.00085458i,-0.00050904+0.00095808i,-0.00032971+0.0010832i,0.00026767+0.00047832i,0.00052768+0.00018232i,0.00025271+0.0003669i,0.00055388-0.00021187i,0.0007244-0.00075356i,-0.00020768-0.00098416i,-0.00063703-0.00042036i,-0.00020624+0.0003456i,0.00028616+0.00018042i,6.1079e-05-0.00094687i,-0.00030874-0.0013788i,-0.00021261-0.00080539i,0.00024659-0.0003063i,0.00028516-7.2642e-05i
-0.0010175-0.00079366i,-0.0012426-6.6778e-05i,-0.0018709+2.3971e-05i,-0.0016172+0.0002649i,-0.00018345+0.00098578i,0.00059576+0.00055333i,-0.00037889-0.00024903i,-0.0010366-0.00038276i,-0.00043183+0.00022138i,-0.00010141+0.00063977i,0.00022341+0.0011338i,0.0002742+0.0010017i,0.00035819+0.00068156i,0.0011235+0.00065097i,0.00067723+0.00071053i,0.00022528+0.00057836i,0.00071139+0.00011899i,0.00052286+0.00012552i,0.00038573+0.00069682i,0.00067868+0.00096733i,0.00070852+0.00065674i,0.00030158-0.00021137i,-0.00021053-0.00077374i
0.00098701-0.0005693i,-0.0010455+0.00020319i,-0.00083533-3.3864e-06i,0.0002557+6.5154e-06i,0.0010857+0.00094808i,0.0012775+0.0013356i,0.0011616+0.00094427i,0.0004547+0.00056358i,0.00032468+0.00043011i,2.6762e-05+4.8679e-05i,-0.00083892-0.00015856i,-0.00054004-0.00020646i,-0.00029749-0.00048968i,-0.00038549-0.0002832i,-0.00071823+0.00044659i,-0.00051826+0.000875i,-0.00017365+0.00051957i,-0.00028511-0.00056892i,-0.00026317-0.00090422i,5.1221e-05-0.00013295i,0.00023606+0.00015726i,3.9702e-05+0.00026099i,-0.0002581-0.00019773i
-0.0014201+2.3757e-05i,-0.0018484+0.00076197i,-0.0013138+0.00121i,-5.1756e-06+0.0019447i,0.00049215+0.001774i,5.2655e-05+0.00075054i,-0.00071477-0.00014443i,-0.0014663+0.00036237i,-0.0016326+0.00069917i,-0.00053414+0.00091922i,0.00056934+0.00077156i,0.0009679+0.00051603i,0.00096877+0.00074972i,0.00051705+0.00077645i,-7.9353e-05+0.0011528i,-0.00010799+0.0012195i,0.00010444+0.00057863i,0.00054733+0.00043862i,0.001092+0.00037591i,0.0017494+4.3033e-05i,0.0016157-0.00020156i,0.00027122-0.00031457i,-0.00026936-0.00084796i
0.0010262+0.00016071i,0.0014676+0.00040451i,0.0016637+0.00097062i,0.0017771+0.0014406i,0.0022532+0.0014805i,0.0024617+0.0011134i,0.00080726+0.00038124i,-0.00060281+3.066e-05i,-0.00069891+0.00010763i,-0.00055524+0.00068164i,-4.0547e-05+0.00073989i,4.5638e-05+0.00057494i,-0.00061959+0.0004572i,-0.00028076+0.00041686i,0.00051538+0.00025202i,0.00033171-0.00010729i,-0.0002453-0.00059882i,-0.00043012-0.00084083i,-0.00047808-0.00017261i,-0.00070622-0.00041734i,-0.00034454-0.00081007i,0.00012616-0.00086587i,-5.1227e-05-0.00066003i
-0.0017667+0.00084016i,-0.0018223-0.00050176i,-0.0011292-0.0013597i,-1.6788e-05-0.0012057i,0.00087865-0.00061844i,0.00090346-0.00019871i,-2.3399e-05-5.1962e-05i,-0.00041417+0.00070487i,-0.0010638+0.00086388i,-0.00084311+0.00060439i,-0.00022532+0.00054207i,0.00010907-8.7928e-06i,0.0012376-0.00074244i,0.0020462-8.237e-05i,0.0011335+0.00062804i,-0.0001104+0.0011505i,-0.00033933+0.0010851i,0.00045296-0.00014935i,0.0013946-0.0010015i,0.0012936-0.00083169i,0.0012451-8.51e-05i,0.00073177+0.00020704i,-0.00017123+0.00023212i
0.0018048+0.0017521i,0.0012407+0.003832i,0.001447+0.0053268i,0.0012498+0.0048063i,0.0010249+0.003748i,0.00091028+0.0022146i,0.00040381+0.001435i,0.00080184+0.0013802i,0.00089416+0.0017775i,0.0007912+0.0016926i,0.0011462+0.00090503i,0.0012015+6.6273e-05i,0.00069968-0.00060116i,4.6794e-05-0.0012596i,0.00058235-0.0010536i,0.00049273-0.00017568i,-0.00062416-6.2697e-05i,-0.0011566-0.00050539i,-0.00061229-0.00023611i,1.048e-05+0.00032668i,-0.00029774+0.00018173i,-0.00079892-0.00042883i,-0.0004067-0.001459i
0.0011715+0.0024111i,0.0023869+0.0021928i,0.0023116+0.0028949i,0.0028964+0.0031078i,0.0028863+0.0013209i,0.0015904-0.00015641i,0.00058913-5.2782e-05i,-0.00010636+0.0012189i,0.00012422+0.00098471i,0.00036749+0.00048974i,-6.4168e-05+0.00039864i,-0.00052811-0.00022681i,-0.000953-0.00039937i,-0.00097551-5.2398e-05i,-0.0004636-0.00022638i,0.0003177+0.00085792i,0.00096438+0.00071431i,0.0010095+4.0831e-06i,0.00046455-0.00018899i,0.00012829-0.00084476i,0.00014269-0.0013084i,0.00044848-0.0013253i,0.00066738-0.00085503i
-0.00064379+0.002042i,-0.00088137+0.0014702i,-0.001656+0.0014542i,-0.00082837+0.00084407i,0.00030354+0.00078966i,0.0001035+0.0010988i,-0.0011696+0.00078719i,-0.001717+0.00042974i,-0.0013464+0.00020716i,-0.00073102-9.9378e-05i,-0.00056947+9.5312e-05i,-0.00050461-0.00013652i,-1.9448e-05-1.7149e-05i,0.00050182+0.00015418i,0.00047618-0.00016046i,-0.0002116-3.4237e-05i,-0.00021817-6.1163e-05i,1.6351e-05-0.00063494i,-0.0003012-0.00031899i,-0.00021976+0.0008082i,-3.9629e-05+0.00065758i,0.00065895+0.00018922i,0.00075934+4.386e-05i
0.001956-0.00025598i,0.0010079+0.0013681i,0.00071061+0.002928i,0.0012449+0.003065i,0.0017793+0.0019734i,0.0015142+0.00021186i,0.0012958-0.00013471i,0.00043927+0.00045359i,0.00021029-0.00021658i,0.00010532-0.0010987i,-0.00039971-0.00085829i,-0.00019668-0.00093074i,-0.00044724-0.00078912i,-0.00066235+0.00050551i,-0.00017404+0.00091937i,0.00027419+0.00055433i,0.00072875+0.00056257i,4.5096e-05+0.0001502i,-9.4498e-05-9.883e-05i,-0.00024719-3.2468e-05i,-0.00048975-0.00026662i,-0.00042623+0.0002381i,-0.00058632+0.00095899i
-0.0011048+0.00094966i,-0.00088936+7.7224e-05i,-0.00054629+0.00061562i,-0.00013567+0.001035i,0.00099581+0.00074956i,0.00059314+0.00063345i,-0.00047724-0.00017863i,-0.00050958-0.00050437i,-0.00063845-7.7942e-05i,-0.0009167+0.00099838i,0.00045083+0.0011504i,0.0011036+0.00072969i,0.00077547+0.00028072i,0.00088866-1.1503e-05i,0.00036824+0.00035537i,0.00019472+5.5239e-06i,0.00064632-0.0003986i,0.00033105-1.5986e-05i,-0.00025248+0.00088385i,-0.00066051+0.0013868i,-0.00097184+0.00074153i,-0.00059387+0.0001596i,0.00024209-0.00041473i
-0.00062568+0.0016739i,-0.00027458+0.0019228i,0.00013138+0.0024749i,5.304e-05+0.0029704i,0.00017666+0.0029218i,0.00083951+0.0019661i,0.00081181+0.00054606i,-0.00060754+1.7837e-05i,-0.0014128+0.00050013i,-0.0010635+0.00097914i,-0.00015234+0.000522i,0.00078358+4.1944e-07i,0.00052996+0.00019709i,-3.9196e-06+0.00063404i,-9.344e-05+0.00037679i,0.00052825+0.00010461i,0.0010389-0.00041111i,0.00054083-0.00060467i,-6.2954e-05-0.00022633i,0.00039689-0.00042395i,0.0010214-0.00019726i,0.00074985+0.00048308i,-1.1033e-06+0.00034839i
0.00027735-0.00095662i,-4.3819e-05-0.00073275i,-0.00081536+0.0002852i,-0.00015922+0.00093108i,0.00077615+0.00096102i,0.00061964+0.00016483i,6.8892e-05-0.00010064i,-0.00024028-0.00029022i,-0.00033272-0.00072036i,-0.00098607-0.00066854i,-0.00078245-0.00057452i,-0.00038911-0.00033864i,-0.00071484+6.1213e-05i,-0.00068587-0.00015259i,-0.00048785+9.709e-05i,-0.00074032+4.1395e-05i,-0.00027616+0.00036469i,3.3633e-05+0.00080591i,-9.7792e-05-0.00029253i,-0.00013107-0.00081437i,1.3765e-05-0.00025767i,0.00059926+0.00020107i,0.0013914-0.00036817i
-0.0030063+0.0011686i,-0.0020047+0.0016122i,-0.002214+0.0018491i,-0.00088058+0.0021455i,0.00081906+0.0025076i,0.0018076+0.0020207i,0.00065603+0.00090629i,-0.00032882+0.0002961i,0.00016835+0.0010013i,0.00019067+0.0015206i,-0.0002686+0.00087802i,-0.00020005+0.00028765i,4.7473e-05+0.00021464i,0.00052712+0.00031832i,0.00081485+0.00086337i,0.00057646+0.0012413i,0.00018875+0.001063i,-0.00077687+0.0003394i,-0.00088077-0.00050744i,-0.00068893-0.0011705i,-0.00055645-0.0013228i,0.00013999-0.00066695i,0.00017286-0.00017364i
0.00031723+0.00073736i,0.00039904+1.0665e-05i,8.3871e-05+0.00065117i,0.00068702+0.0019108i,0.0015627+0.0019158i,0.00093515+9.7866e-05i,7.2243e-05-0.00098182i,5.9508e-05-0.00094112i,0.00014957-0.00099867i,0.00067771-0.00026866i,0.00048869-0.00021254i,0.00011442-0.00059789i,0.00044313-0.001099i,0.00020241-0.0011617i,-0.00023774-0.00035192i,1.2055e-07-7.2354e-05i,-0.00029278+3.5984e-05i,-0.00088623+0.00011315i,-0.00091955-0.00064798i,-0.00019948-0.00051571i,0.00032994-0.00010148i,0.00028815+0.00015396i,0.00021724-0.00020522i
-0.0020825-0.001538i,-0.0027341-0.002159i,-0.0023145-0.0018956i,-0.00091501-0.00026934i,-7.533e-05+0.00050502i,-0.00010903+0.0006872i,-0.00046141+0.0010068i,-0.00059159+0.0010871i,-0.001433+0.00023405i,-0.0016383-0.0004302i,-0.0002277+0.00049211i,9.9299e-05+0.00084604i,-0.00025413-0.0001708i,0.00059279-0.00089248i,0.0011143-0.00015995i,0.0010456+0.0006724i,0.0015478+0.00041405i,0.0015687+3.7674e-05i,0.0015878-0.00020308i,0.0016931-0.00037797i,0.0010815-0.00083028i,0.00034613-0.00078214i,0.00017931-0.0004359i
-0.001594-0.00095958i,-0.0011716-0.0012057i,-0.0010579-0.00047593i,-0.00025646+0.001039i,0.00023192+0.0018799i,0.00038626+0.0015597i,0.0002387+0.00089854i,-0.00018053+0.00044175i,-0.00062621+0.00037295i,-0.00084669+0.00031786i,-0.0005968+0.0002893i,0.00012039+0.00021967i,5.6515e-05+0.00020917i,-0.00053347+0.00082695i,-0.00017605+0.00069385i,-7.2627e-05+4.9852e-05i,-0.00033748-1.222e-05i,-0.00014932-0.00038761i,0.00035266-6.734e-05i,0.00017174+0.00074709i,-0.0007039+7.4408e-05i,-0.00070561-0.00044282i,-0.00027409+0.00038316i
0.00038747-0.00060071i,0.00041559-0.00085174i,0.00051057-0.001483i,0.00065067-0.00018184i,0.0013843+0.0019423i,0.001053+0.0014091i,-0.00047971+0.00040451i,-0.00083068+0.00036041i,-0.00072116-0.00021397i,-0.001583-0.00016995i,-0.001731+0.00053536i,-0.000686+0.00035355i,-0.00079458+2.5761e-05i,-0.00158+0.00035895i,-0.00073384+0.0010946i,0.0003538+0.0013879i,0.0010593+0.00071863i,0.00062537+2.5764e-05i,-0.0001993-0.0001603i,6.6965e-05-0.00039532i,2.856e-05-0.00068354i,5.9665e-05-0.0012927i,0.00069023-0.0015048i
-0.0016426+0.0023361i,-0.002491+0.0018168i,-0.0015889+0.0013976i,-0.00024248+0.0016117i,0.00076778+0.0012455i,0.00087324+0.00049439i,-0.0002649+0.00043899i,-0.00028803+0.0010409i,-0.00017354+0.0015576i,-0.00032037+0.0015729i,-0.00031786+0.0012525i,-1.1488e-05+0.0003546i,0.00041198+0.00013738i,-0.00041154+0.00059958i,-0.00073183+0.00031795i,-0.00034047-0.00063203i,-0.00010127-0.0011305i,-7.3094e-05-0.00064493i,0.00024114-0.00041783i,0.00050469-0.00070868i,0.00091562-0.00012809i,0.00087081+0.00044594i,0.00022528+0.00053353i
-0.0010547+0.00036923i,-0.00084668+0.00064759i,-0.00064532+0.0026676i,0.0001857+0.0031448i,0.0013592+0.0020898i,0.0012684+0.00077213i,0.00017151-5.1245e-05i,-0.00018157+0.00013004i,4.1305e-05+0.00039043i,-0.00010054+0.00066113i,0.00011062+0.00019526i,0.00049659-0.00052897i,0.00062475-6.918e-05i,0.00013665+0.0007452i,-0.0002597+0.00075768i,-0.00078268+0.00047772i,-0.00050509+0.00040076i,0.00065259+0.00020127i,0.00079052+0.0001967i,0.00028861+8.1751e-05i,-0.0002313-0.00030022i,-0.00065789-6.1153e-05i,-0.00071626+0.00039171i
8.3938e-05-0.00027483i,0.00095541+0.00031135i,0.00055355+0.0018194i,0.0011152+0.0014875i,0.0020404+0.00041545i,0.001655-6.6299e-05i,0.00033477-0.0003464i,-0.0004917-0.00031787i,-0.00017536-0.00034062i,-0.00014442-0.00023293i,0.00022707+0.00026707i,0.00054867+4.5659e-05i,-0.0005307-0.00054099i,-0.00039255-0.00037945i,5.07e-05+0.0003163i,-0.0004869+0.00082373i,4.569e-05-0.00021857i,0.00023683-0.00087191i,-0.00042994-0.00031674i,-0.0002019-0.00034688i,0.00025161-0.00051292i,0.00044883-2.1321e-05i,0.00026206+0.00022449i
0.0018872-0.001255i,0.00091865-0.00050372i,0.00085149-0.00064473i,0.0006587+8.7046e-05i,0.00026873+0.00039634i,-0.00069254+0.00039283i,-0.0007251+0.00042624i,3.9935e-05-3.9633e-05i,0.00049442-0.00056399i,0.00068959-0.00033376i,0.00045807-0.00014045i,0.00030418-0.00024332i,0.00044327-0.00012837i,0.00050339-0.00022987i,0.0003913+0.0001022i,0.00032478+0.00039065i,0.0002888-9.3118e-05i,0.00036248-0.00030426i,0.00011428-1.1109e-05i,-0.00085403+0.00014765i,-0.00070156+0.00041799i,-0.00039764+0.0004126i,-0.00048565+0.00041083i
0.001288-0.0011925i,0.0011444-0.0006841i,0.0014689-0.00046184i,0.0015951-0.00052315i,0.0018492+0.00053092i,0.0010441+0.00095921i,-0.00032257+0.00046268i,-0.0010918-0.00012843i,-0.0014612-0.00096082i,-0.00072835-0.0011838i,-0.00019589-5.1965e-05i,-0.0003667+0.0010636i,-0.00069861+0.00044848i,-0.0011091-0.00020924i,-0.00093254-0.00036638i,-2.2823e-05-0.00082315i,0.00066753-0.00031241i,0.00086339+0.00072436i,0.00070262-0.00015012i,0.0006007-0.00045285i,-0.00023131-0.0001925i,-0.00098717-0.00047639i,-0.0011509-0.0002829i
-0.00047283-0.0015135i,-0.0003582-0.00079932i,0.00026785-0.00068846i,0.00048147-0.00027571i,0.00068271+0.00084956i,0.00098061+0.0010171i,0.0008999+0.0010304i,-0.00082686+0.0013632i,-0.002179+0.00041693i,-0.0014868+0.0002174i,-0.00039267+0.0007171i,0.00040107+4.3748e-05i,0.00015459-0.00096402i,-0.00010318-0.00085402i,0.00037775+0.0002779i,-0.0002654+0.00080913i,-0.00017909+0.00073809i,0.00031769+0.00031147i,0.00022656-0.00030697i,0.00085648-0.00031686i,0.0012497-0.00067204i,0.0010375-0.00090415i,0.00072669-0.00024929i
0.00085563-0.0016904i,3.5411e-05-0.0010577i,-0.0017149-0.00041008i,-0.0002923-0.00014422i,0.0019481-0.00044881i,0.0014168-0.00041719i,0.00072313-5.8923e-05i,0.00036439+7.2346e-05i,-1.564e-05+0.00015638i,-0.00034688+0.0012796i,-0.00015459+0.0017839i,0.00047398+0.00071477i,0.00062914+6.3174e-05i,0.00017142-0.00042284i,0.00030522-0.00081596i,0.00090409-0.00032034i,0.0012601-0.000199i,0.00093621+0.00015762i,0.00030154+0.00068601i,0.00010158+0.00015001i,-0.00017849-0.00035985i,-0.00019141-0.00071109i,-0.00025586-0.0007373i
0.0011325-0.00027661i,0.001408+0.00057784i,0.00057041+0.0012902i,-0.00045506+0.0011368i,-0.00042887+0.00057112i,0.0001879+0.00011176i,0.00068175-7.7081e-05i,0.00045018+0.00011668i,0.00077987+0.00012242i,0.0014326+0.000409i,0.00159+0.00073449i,0.0012032-8.0477e-05i,0.0002261-0.00070083i,-0.00050877-0.00038657i,-0.00071348-0.00025832i,-0.00097857-0.00040396i,-0.00061283-0.0011157i,0.00034975-0.0010309i,0.0010382-0.00010093i,0.00083491-0.00041044i,0.0005635-0.00088286i,0.0005287-0.00039008i,0.00060849+0.00027307i
-0.00032984+0.0022617i,-0.0012384+0.0020915i,-0.00097023+0.0027123i,0.00048342+0.0041996i,0.0022245+0.0028725i,0.0024829+0.00054116i,0.00063236-5.0595e-05i,0.00016834+0.00027886i,0.00090814+0.00024976i,0.0012408+0.00054518i,0.0013586+0.00086297i,0.00095336-6.781e-05i,0.00021625-0.0001395i,-5.8393e-05+0.00013476i,0.00022216+0.00027995i,0.00048454+0.00034946i,0.00029008+0.00065797i,-0.00031261+0.0012695i,-0.00018774+0.00075048i,-0.0001445-0.0001098i,5.4903e-05-0.0009625i,0.00078263-0.00076277i,0.00021396-7.6544e-05i
-2.5507e-05+0.0011422i,-0.00049512+0.00063239i,0.00037638+0.00096421i,0.0014438+0.002058i,0.0015656+0.0018586i,0.00060207+1.7417e-05i,-0.00031827-0.00084473i,-0.00043218-0.00049111i,-9.6006e-05-0.00044486i,-0.00051528-0.00047952i,-0.00039598-0.00073875i,-0.00020744-0.00089891i,0.00029055-0.00061253i,8.2147e-05-0.00039395i,-0.0010759-0.00011004i,-0.00042608-0.00017025i,0.00060924-0.00040855i,0.00084401-0.0006782i,0.0013289-0.00036387i,0.0016117-0.00019779i,0.0012374-0.0005579i,0.00022366-0.00049713i,0.00039506+0.00034533i
-0.0018749+0.00094815i,-0.0026966+0.00068827i,-0.002455+0.0014796i,-0.0003803+0.0016738i,0.0012676+0.00048578i,0.0010329-9.7396e-05i,-0.00082518-1.9021e-05i,-0.0020418-0.00046205i,-0.0019792-0.00059186i,-0.0015634-7.9519e-05i,-0.00036598+0.0007155i,0.0001278+0.0010195i,-0.0004686+0.0012117i,-0.00051047+0.0014087i,0.00032558+0.001148i,0.0014873+0.0010759i,0.0014822+0.00047869i,9.5726e-05+5.3081e-05i,-0.0005118+0.00032016i,-0.00010998-0.00022183i,0.00017655-0.00040858i,0.00051067-0.0003492i,0.00041518-0.0006035i
-0.0027322+0.00019261i,-0.0030667+0.0010415i,-0.003073+0.0019584i,-0.0019968+0.0030983i,-0.0002555+0.003778i,0.00090496+0.0026295i,0.00085333+0.0018742i,-0.00076008+0.0017137i,-0.0023184+0.0014657i,-0.0015562+0.0016847i,-0.00045411+0.0011732i,0.00022029-0.0002066i,-0.00012297-0.00032879i,-0.00048153+0.00053596i,-0.00056067+0.00061756i,-0.00068785+0.00010005i,2.1525e-05-0.0004624i,0.0012037-0.00029667i,0.00091577-0.00012552i,0.00023664+0.00032467i,0.00053371-8.1121e-05i,0.00037771-0.0011216i,0.00012809-0.00098237i
0.00053618+4.3813e-05i,0.00038582+0.00024927i,0.00036318+0.00084811i,0.0011866+0.0016045i,0.0025793+0.0014552i,0.001569+0.00072226i,0.00032401+8.5956e-05i,-0.00041326-5.0529e-05i,-0.0010365+0.00087943i,-0.0012702+0.0013601i,-0.00089856+0.0013521i,-7.3558e-05+0.00032535i,0.00038324-0.00077333i,6.2819e-05-0.00058774i,-0.00030408-0.0012368i,-0.00031659-0.0011222i,0.00025828-0.00010182i,0.00095363+0.00018674i,0.00057461+0.0002538i,-0.0002156+0.00034899i,-0.00023807-4.0139e-05i,0.00043106-0.00069703i,0.00085761-0.00086305i
-0.00074293-9.7331e-05i,-0.00055511-8.2838e-05i,0.00041591+0.00083875i,0.0014087+0.0018934i,0.0018225+0.0011153i,0.00082402-5.5768e-05i,-0.00053175+5.1856e-05i,-0.00017275+0.00037333i,0.00059161+0.00068155i,0.00085093+0.00097314i,0.0017871+0.0007103i,0.0012538+0.00027203i,3.7938e-05-1.3467e-05i,0.00019083+0.00052161i,0.00016723+0.0011158i,-0.00039573+0.00020526i,-0.00016005-0.00080568i,0.00015318-0.00028237i,0.0004874+0.00018472i,0.00029908-8.6041e-05i,-0.00038565-0.00041958i,-0.0003881-0.00048961i,-1.0023e-05-0.00025219i
-0.00019964+0.00013112i,-0.00077949+0.00055867i,-0.00014453+0.00072434i,0.00010245+0.00090486i,0.0002642+0.0010837i,0.00074501+0.00096999i,0.00072119+0.00032154i,0.0013394-1.7217e-05i,0.0022554+0.00054264i,0.0018636+0.0010411i,0.0010439+0.00029303i,0.00083746+0.00018619i,0.00033819+0.00069407i,-0.00076513+0.00065516i,-0.0013067+0.00049599i,-0.00073092+1.4408e-05i,1.9057e-06-0.00072644i,0.0005445-0.00078452i,0.00075261-0.00059183i,0.00027503-0.00063942i,0.00019709-0.00074901i,3.7455e-05-0.001073i,-3.2528e-06-0.00027288i
-0.00063257-6.5025e-06i,-0.00049179+0.00022182i,-0.00032391-3.0489e-05i,0.00021525+0.00014514i,0.00091128+0.0011472i,0.00085327+0.001142i,0.00063306+0.00037855i,0.00068679-0.00062641i,0.00068856-0.0016645i,0.00045707-0.0020656i,0.00023587-0.0013191i,-3.0218e-05-0.00052608i,-0.00069596+0.00016862i,-0.00043896+0.000345i,0.00034366-0.00029034i,0.00046646-0.00013799i,0.00041681+0.00034716i,0.00095432+0.00057509i,0.0013084+0.00032678i,0.0007755-0.00082502i,0.00030585-0.0013385i,0.00028622-0.0011701i,3.6664e-05-0.0005632i
-0.00029721+0.0014818i,-0.00054378+0.0025705i,-0.00017322+0.0029916i,0.00079641+0.0025763i,0.0011095+0.0019783i,0.00081186+0.00018659i,6.4093e-05-0.0020819i,-0.00063821-0.0028121i,-0.0004278-0.0028165i,-6.6374e-05-0.002438i,7.9926e-05-0.0012286i,2.0083e-05-0.00025517i,-3.0925e-05-0.00019993i,4.206e-05-0.00030183i,-0.00044901-0.00016789i,-0.00094435+0.00010728i,-8.8712e-05+0.00024062i,0.0007408-0.00040409i,3.4615e-05-0.00043534i,-0.00032154-0.00058395i,-0.00024949-0.0011048i,-0.00025335+9.7899e-05i,-5.3669e-05+0.00046164i
-0.0015519-0.00051133i,-0.00060869-0.00026828i,0.0011979-0.00045766i,0.0011748+0.00044188i,0.00090371+0.00050252i,0.00066241-0.00063215i,-0.00099996-0.00059359i,-0.0025423-0.00037623i,-0.002446-0.00065617i,-0.0018033-0.00022699i,-0.0011579+0.00014909i,-0.0004338-3.66e-06i,-0.00021522+1.9403e-05i,-0.00048375-0.00025904i,-1.2139e-05-0.00029276i,0.00081023-1.42e-05i,0.0011102+0.0007774i,0.00078941+0.001029i,8.2671e-05-4.1641e-05i,-0.00025394-0.00098495i,-0.00010606-0.0010612i,-0.00028991-0.00036139i,0.00017512-0.00017705i
-0.0015892+0.0017275i,-0.0012553+0.001153i,-0.0014139+0.0012299i,-0.0012655+0.0011761i,0.00019964+0.0018754i,0.00067143+0.0020747i,-0.00045802+0.0015436i,-0.001294+0.0016957i,-0.0013263+0.002211i,-0.0015369+0.0021592i,-0.0012532+0.0010395i,-0.00086125-0.00014222i,-0.00047662-0.00035009i,0.00023377+0.00012047i,0.0002982+0.00083588i,0.00094686+0.00052985i,0.0014627+0.00010832i,0.00053576+0.00041187i,-6.1821e-05+0.00041108i,-0.0007101-0.00017525i,-0.00082747-0.0002197i,-0.00018-0.00046288i,0.00012676-0.00058126i
-8.9345e-05+0.00025519i,-0.00038257+0.00020739i,-0.00012265+0.0016363i,0.00042214+0.0027012i,0.0017181+0.0020397i,0.0015954+0.0010545i,0.00070252+0.00096638i,6.1127e-05+0.0017169i,0.00017469+0.0019933i,0.00090087+0.0023314i,0.001269+0.0021374i,0.0014439+0.00079366i,0.00085945+9.4074e-05i,0.00028783-0.00010282i,0.0003577-1.6968e-05i,-0.00012622+0.00025988i,-0.00080934-0.00035121i,-3.7971e-05-0.00091661i,0.0012077-0.00025601i,0.0011387-1.9976e-05i,0.00069057-0.00015357i,0.00031002-0.00015119i,-0.00012032-0.00045272i
0.0017751-0.0031502i,0.0011216-0.0021413i,0.00034716-0.0023351i,0.00038834-0.0014447i,0.00032073-0.00046093i,9.8447e-06+0.00041015i,-0.00012108+0.0010822i,-0.00015361+0.0020025i,0.00075797+0.0025785i,0.00098538+0.0018026i,0.00022544+0.00012236i,0.0001575-0.00098715i,-0.00064612-0.00066226i,-0.0012355-0.00030211i,-0.00040664-0.00026525i,-0.00016534+0.00021476i,-0.0003207-8.9376e-05i,-0.00023569-0.00034862i,0.00025045+0.00027197i,0.00047594+0.00017943i,-0.00011812-0.00026211i,-0.00028307-0.0002843i,-0.00052842-1.0351e-05i
