2.1802e-06+0.0013819i,-0.00081815+6.082e-06i,-0.0013918-0.0015887i,-0.0021397-0.0020021i,-0.0025682-0.00077349i,-0.0027584+0.00037927i,-0.0015393+0.00039402i,0.00027643+0.00057084i,0.00040804+0.00079476i,-0.00029686+0.00036036i,-0.00012777+0.00032343i,-0.0001273+0.00048981i,-0.00029353-0.00018795i,-1.19e-05-0.00040209i,-0.00035306+0.00021898i,-0.0006812+0.00018896i,0.00026492-4.0331e-05i,0.00066629-8.2989e-05i,0.00017069-1.0106e-05i,-3.9972e-05-0.00015026i,0.00013557-0.00093043i,0.0011236-0.00088147i,0.0011618-0.00044054i
0.00074552-0.0016179i,0.00077136-0.0015581i,-0.00027116-0.0010527i,-0.0017611-0.0014748i,-0.0011027-0.0011275i,-0.00016893+0.00012436i,0.0008501+0.00061888i,5.0334e-05-9.603e-06i,-0.00066327-0.00028819i,-0.00039243-7.0295e-05i,-0.00069722-0.00015151i,-0.00071955-0.0003268i,-6.7158e-05-0.00062982i,-4.2827e-05-0.0003647i,0.00035443+9.1625e-05i,-7.2457e-05+1.9828e-05i,-0.00080572-0.00021481i,-0.00088709+8.3653e-05i,-0.00086355+0.00045743i,-0.00096071+5.9893e-05i,-0.00081227-5.331e-05i,-0.00056317+0.0005355i,0.00010137+0.00061346i
0.00055391-0.0023046i,0.00071075-0.00080995i,0.00032041+0.0001012i,-0.0001752-0.00027082i,-0.00024651-0.0006642i,0.00031073-0.00040592i,0.00047058-0.00076477i,-0.00070986-0.0013539i,-0.0014692-0.0014842i,-0.0010012-0.0012158i,-0.0010084-0.00090523i,-0.0009683-0.0012945i,-0.00053015-0.00047042i,1.2362e-05+0.00032799i,5.4366e-05-0.00016754i,-0.0001672-1.1275e-05i,0.0001055+0.00071012i,0.00019392+0.00093402i,0.00039902+0.00063446i,0.00026887+0.0007346i,-0.00015811+0.0004978i,-0.00068497+7.3009e-05i,-0.00088317-0.00023762i
7.0224e-05+0.00082737i,0.0012141+0.00055332i,0.00078643+0.00030151i,-8.4212e-05-0.00033815i,-0.0002168-9.5928e-05i,-0.00032425+0.00067342i,0.00048954+0.00041457i,0.0010147-0.00032042i,0.00059-0.00062313i,0.00023032-0.00064343i,0.00026283-0.00094845i,0.00021359-0.00125i,-0.00028515-0.00099182i,-0.00016945-0.00039595i,0.00051941-0.00033921i,0.00021564-0.00010908i,-0.00031978+0.00089947i,-0.00034649+0.00090925i,8.0379e-06+0.00013568i,-0.0004755-3.0316e-05i,-0.00064253-2.9028e-05i,0.00023312+0.00041361i,0.00028624+0.00074673i
-0.0022418+0.00051952i,-0.0024597+0.00072174i,-0.0020101+0.00057163i,-0.0017227+0.00033696i,-0.0012896+5.7519e-05i,-4.0786e-05-0.00071856i,0.00066591-0.00092295i,0.00063998-0.00046326i,0.00063199-0.0003202i,0.00019356-0.00044497i,0.00031999-4.7969e-05i,-0.00011277-0.00014797i,-0.0012637-0.00012884i,-0.001118-6.1558e-05i,-0.0004049-0.00059068i,2.2794e-05-0.00062482i,0.00065876-0.00048514i,0.00020078-0.00027636i,-0.00033939-0.0005318i,0.00027125-0.000601i,0.00014588-5.0588e-05i,2.0101e-05+5.8891e-05i,0.00049082+6.1979e-05i
0.00026438+0.0004135i,0.00023008+0.00041315i,0.00039054+0.00084264i,0.00062452+0.00089643i,-0.00027232+0.00048543i,-0.0010032+0.00014852i,-0.00057718+0.00058519i,0.00053773-0.00013505i,0.0010574-0.00062552i,0.00033325+0.00022886i,0.00014751+0.00074661i,0.00011772+0.00076311i,-0.00030111+0.00039129i,6.3772e-05+0.00011873i,0.00030761+8.2951e-05i,0.0003956-0.00020087i,0.00041933+0.0002186i,0.00026533+0.0011729i,0.00021493+0.0014395i,-0.00080206+0.00090706i,-0.0010812+0.00093801i,-0.00025172+0.00057958i,1.0334e-05+1.969e-06i
0.00013435-0.0015657i,-0.00046154+0.00036898i,-0.0020641+6.1153e-05i,-0.0021743-0.0012742i,-0.0014998-0.00088432i,-0.00041824-0.00028698i,0.00010161-0.00028092i,-5.8436e-05-0.00083898i,-0.00051261-0.0012985i,-0.0011128-0.001425i,-0.00071749-0.00036547i,-0.00080042-4.5949e-05i,-0.0010339+0.00024531i,-0.00044141+0.00050385i,-0.00013669-5.1417e-05i,-0.00021728-0.00032776i,0.00011968-2.829e-05i,0.001041+8.8433e-05i,0.00093307-0.00035852i,0.00059911+0.00015196i,0.00018396+0.00067002i,-0.00022694+1.8005e-05i,0.00016314-0.00015701i
0.00030557+0.0002039i,0.0003009+3.3152e-05i,0.00059477+0.00028483i,-0.00021516-0.00044232i,-0.00046525-0.00085029i,-0.00020364+0.00017178i,0.0001629+0.0003204i,0.0008443-0.00013992i,0.00076756-0.00067656i,0.00037945-0.0011121i,0.00025524-0.00033201i,3.7976e-06+0.00033545i,-4.3025e-05-0.0001066i,-0.0004538-0.00063253i,-0.0007881-0.00064984i,-0.00039998-0.0005823i,-0.0006738-0.00055818i,-0.00095084-0.0010826i,-0.00050025-0.0010353i,-0.00051399-0.00021211i,-0.00054064+0.00037961i,0.00046754+0.00054603i,0.00078626-4.254e-05i
-0.00077095+0.00010505i,-0.0018575-5.5144e-05i,-0.001821-0.00042524i,-0.001363-0.00019937i,-0.0013955-3.4459e-05i,-0.00065226+0.0012566i,-0.00024832+0.0012009i,-0.00019056-0.00058362i,-0.00066747-0.00040229i,-0.0013781+0.00011832i,-0.0010285-0.0001741i,-0.00016617+0.00026274i,7.9508e-05+3.9739e-06i,0.000121-0.00031758i,0.00021804-0.00046033i,0.00046817-0.00039178i,0.00079651+6.9415e-05i,0.00055089+0.00065705i,-5.2899e-05-0.00011119i,-0.00056897-0.0010948i,-0.00029693-0.0009904i,0.00029705-0.00020003i,0.00044847+0.00041835i
2.507e-06+0.00018109i,0.00025621+0.00068021i,-0.00034042+0.00091029i,-0.00033848+0.00046906i,-0.00057279+0.0007152i,-0.0011657+0.00034779i,-0.00049789-0.00030122i,-0.00045913-0.00052327i,-0.0011169-0.00028451i,-0.0010465+0.00010067i,-0.00066759+0.00026118i,-0.00049992+0.00029471i,-0.00049209+0.00036196i,-5.5896e-05-0.00033928i,1.6837e-05-0.00072051i,-0.00010081-7.0932e-05i,0.00024801-0.00039437i,0.00045255-0.00059376i,-0.00024414-0.0007484i,-0.00050984-0.0010666i,-0.00013702-0.00062026i,-3.5859e-05-3.4695e-05i,5.1059e-05+0.00018217i
0.0017716-0.00044692i,0.0024052-0.001076i,0.002037-0.00059539i,0.00033369-0.00053212i,-0.00077234-0.0013142i,-0.00089549-0.0012857i,0.00011046-0.00064532i,0.00072052-0.00093336i,0.00024666-0.0015156i,-0.00011893-0.00086662i,-0.00029613+0.00015965i,-0.00094514+0.00056939i,-0.00078074-0.00018964i,5.5602e-05-0.00035392i,0.00055309+0.00011241i,0.00037006-0.000161i,-0.00020034-0.00028183i,-0.00068839+0.00024797i,-0.0012357+0.00083099i,-0.0012505+3.0903e-06i,-0.000712-0.0012395i,-9.4497e-05-0.0015685i,0.00023843-0.00097402i
0.00055301+0.00026288i,0.00025367+0.00068743i,0.00045037+0.0013884i,-0.00024719+0.0021541i,-0.00096356+0.0023777i,-0.00027939+0.0018752i,0.00043625+0.00071016i,0.00081713+3.7542e-06i,-0.00011598-0.00052301i,1.3327e-05-0.00091625i,0.00051911-0.00042331i,3.0679e-05-0.00036585i,-0.00032156-0.00062034i,-1.473e-05-0.00062549i,0.00060176-0.00033366i,0.00085171+0.00040681i,0.00061295+0.0004188i,0.00018137+0.00015533i,-0.00019672+0.00013917i,-0.00014451-3.7827e-05i,0.00011066+3.4829e-05i,0.00025536+0.00068521i,-0.00070945+0.00013851i
-0.0014527-0.00067748i,-0.001397-0.00075079i,-0.0012479-0.0020453i,-0.0015594-0.0013149i,-0.0018704-0.00022855i,-0.00083852-0.00010726i,0.00059738-4.0015e-05i,0.00067963-0.0005606i,0.00030638-0.0012798i,-0.00022423-0.00097667i,-0.001105-0.00017794i,-0.0013809+0.00057941i,-0.0011141+0.0011701i,-0.00067292+0.00092723i,-0.00029482+0.00049907i,-0.00020613+0.00097902i,0.00040924+0.00049037i,0.00098868-0.00014758i,0.0011787+0.00018717i,0.00099078+0.00047568i,-0.0001714+0.00030992i,-0.00084641+0.00024085i,-0.0014531-0.0001785i
-0.0010054+0.0016752i,-0.00077509+0.0014439i,-0.0012242+0.00036815i,-0.0012578-0.00057329i,-0.0011793-0.00015028i,-0.00094763+0.00069889i,-0.00014554+0.00047044i,0.00023357-0.00042371i,4.1477e-05-0.0010066i,-0.00019989-0.00080052i,0.00014991+0.00020616i,0.00099885+0.00055744i,0.00035004-0.0001067i,-0.00069808-0.00061844i,-0.0010485-0.00082539i,-0.00091852-0.00069411i,-8.3622e-05+4.2518e-05i,-0.00015667+8.4125e-05i,-0.00096621+0.00025436i,-0.00077716-8.1632e-05i,-0.00044964-0.0009174i,-0.00018341-0.00065813i,0.00041339+5.2903e-05i
-0.0022159-0.0030175i,-0.0011384-0.0024086i,-0.0022123-0.0017764i,-0.0031857-0.0006017i,-0.003495+0.00061767i,-0.0018356+0.00064198i,7.7683e-05+0.00019053i,-0.00056714-0.00068252i,-0.0013334-0.0011826i,-0.0014522-0.00049962i,-0.0007195-0.00019339i,0.00044002+0.00031128i,0.00061789+0.00057362i,3.0553e-05+0.00017658i,-0.00075053-6.3748e-05i,-0.00053848-0.00036581i,0.00029879+7.0975e-05i,0.00092796+0.00084132i,0.00050715+0.00031339i,-0.00059613+0.00032459i,-0.00071803+0.0007599i,0.00017569+0.00041858i,-7.6376e-05+0.000436i
0.00017393+0.00060373i,-0.0007141+0.0012175i,-0.00044899+0.0011613i,-0.00016527+0.00056083i,-4.4507e-05+0.00062007i,0.00018199+0.0003579i,0.00039745+0.00017399i,0.00038849-0.00039791i,-0.00017188-0.00043363i,-0.00080943-0.00041062i,-0.00073179-0.00058145i,-0.00021468-0.00010832i,4.5231e-06+0.00064755i,0.00045254+0.00077465i,0.0005262+0.00071464i,0.00043654+0.00083981i,0.00052658+0.00074016i,0.00050919+0.00037408i,0.00055618+5.1503e-05i,0.00026401-0.00028457i,-6.8956e-05-0.00029764i,-0.0001434-0.00027614i,2.3004e-05-0.00053636i
0.0016368+0.0001525i,0.0023212-0.00030608i,0.0020403-0.00096444i,0.00013743-0.0014073i,-0.00059626-0.00065543i,-0.00029134-0.00026594i,0.00052194-0.00041005i,0.0004323-0.00083562i,-0.00037381-0.0014567i,-0.00053137-0.001048i,-0.00072833-0.00039513i,-0.00099866+5.9685e-05i,-0.00060305+0.00034814i,-0.00013178-1.5109e-05i,0.00013386-0.00049954i,0.00029952-0.00072668i,0.00068971-0.0007074i,0.0012158-0.0002913i,0.0012221-0.00052948i,0.00072192-0.00063594i,0.00026728+0.00021614i,-0.00049135-3.3666e-05i,0.00025095-0.00088666i
-7.9335e-05-0.0010906i,7.9855e-05-0.00052894i,0.00063939+0.00066905i,0.00064209+0.00072026i,-0.00062908+0.00025488i,-0.00066984-0.00039637i,3.934e-05-0.00066071i,-0.00038839-0.0011224i,-0.00079727-0.00088358i,-0.00065069-0.00012417i,0.00019237+0.00013587i,0.00088048+0.00031035i,2.7669e-05+0.00014342i,-0.00016323+6.145e-05i,8.2126e-05-0.00012862i,-6.9963e-06+5.8816e-05i,-0.00057809+6.7835e-05i,-0.00040844-2.1711e-05i,0.00026747+0.00019762i,0.00025661+0.00064482i,-0.00016381+0.00029804i,-0.00067606-0.0002506i,-0.00075351-0.00015954i
-0.0006539+9.4461e-05i,-0.00097622-0.00036725i,-0.0013121-0.00054074i,-0.00039019-0.00018655i,-0.00028638+0.00045418i,-0.00044182+0.00051805i,0.00035142-7.3501e-05i,0.0002182-0.0010004i,-0.0005096-0.0012513i,-0.00058651-0.00011956i,-0.0004697+0.00069221i,-0.00080238+0.0004195i,-0.00046798-0.00024729i,0.00022483-0.00011104i,0.00055813+0.000692i,0.00037235+0.00063943i,0.00023554+0.00022557i,0.00022577+1.1327e-05i,-0.00013979+0.00041102i,-0.00077928+0.00069816i,-0.00096264+0.00096845i,0.00031371+0.00029256i,0.0010395-4.1806e-05i
0.00049184+0.00079516i,0.00062052+0.0012735i,0.00046244+0.00086885i,-0.00085577-0.00015564i,-0.002206-0.00041283i,-0.0015347-0.00060796i,0.00018528-0.00057538i,0.0006467-0.00094538i,-0.00011133-0.0012447i,-0.00036854-0.0012116i,-0.00018326-0.00092984i,-1.2692e-05-0.0011528i,0.00014034-0.0010965i,0.00063801-0.00051975i,0.0005314-0.00017881i,-0.00034297-0.00037873i,-5.5685e-05-0.00042401i,0.00019752-0.00058793i,-0.00020326-0.00037448i,-0.0010245+0.00038644i,-0.00086951+0.00049781i,-1.7464e-05+1.6705e-05i,0.0002918-0.00076266i
0.00096809-0.00051245i,0.0017445+0.00066577i,0.0021996-8.4898e-05i,0.00098793-0.00090754i,-0.00079184-0.00093119i,-0.00089227-0.00015068i,0.00064116-2.856e-05i,0.00080966-0.00014824i,-0.00018381-0.00035494i,-0.00048801-0.00094014i,-0.00072134-0.00046563i,-0.00069296-0.00050454i,-0.00017535-0.00068145i,0.00073526-6.3661e-05i,0.0010776-0.00028576i,0.00077836-3.2198e-05i,-1.6061e-05+0.00099769i,-0.00012369+0.00090173i,-6.9669e-05+0.00036358i,-0.00083639-0.00012325i,-0.00097467-9.3995e-05i,-0.00020862+0.00036645i,6.1707e-05-1.5691e-05i
-0.00019065-0.00027088i,0.00038069+0.00072939i,0.00054074+0.00057627i,-0.00033649+0.0010936i,-0.0015416+0.0014866i,-0.0012685+0.00073776i,-0.0011569+0.0002437i,-0.0013019-0.0013278i,-0.00028678-0.0015302i,0.0003668-0.00056201i,-0.00013081-0.00024817i,-0.00035437+8.9269e-05i,-0.00070388+0.00050298i,-0.00038538+0.00080934i,0.00077607+0.00052739i,0.00097626+3.3582e-05i,0.00029304-8.9331e-05i,-0.00010907-0.00037864i,-0.00055949-0.00055633i,-0.00075119-0.0010791i,-0.00049704-0.00041486i,-0.00059968+0.00017648i,0.0002161-0.00079983i
-0.0015724+0.00078652i,-0.0017678+0.00099347i,-0.0012138+0.0004607i,-0.00098531-0.00071657i,-0.001748-0.0010075i,-0.0017308-0.00082047i,-0.00036301-0.0015801i,7.7136e-05-0.0015867i,-0.0002202-0.00096003i,4.0662e-05+5.85e-06i,0.00034491+0.00070907i,-7.4113e-05+0.0011018i,-0.00063018+0.00096449i,-0.00027599+0.00056474i,0.00029631+0.00066424i,0.00062839+0.00028279i,0.00091444-0.00046318i,0.0008364-0.00038186i,0.00010567-0.00015309i,-7.293e-05+2.2254e-05i,4.7131e-05+0.00019456i,4.1964e-05+4.8866e-05i,0.0002057-0.00012237i
-0.0018363-0.0017091i,-0.00059417-0.0019443i,-5.1528e-05-0.0012631i,-0.00028933-0.00017091i,-0.00064826+0.00058559i,-4.3412e-05+0.00028176i,0.00033432-0.00027411i,-0.00043847-0.00066119i,-0.0014804-0.00080414i,-0.00078959-0.00047761i,0.00010968+0.00011793i,6.7516e-05+0.00031035i,-7.4847e-05+0.00031893i,2.188e-05+0.00026681i,0.00048927-0.00027369i,0.00097245-0.00013067i,0.0012921+0.000236i,0.0011003-0.00061895i,-0.00011063-0.00045744i,-0.00044429+0.00030773i,0.00050734+0.00057636i,0.0006379+0.00053249i,0.00040449-0.00011521i
-0.0021365-0.0011568i,-0.0019861-0.0012013i,-0.0027857-0.0010419i,-0.0022609-0.00025579i,-0.001445+0.0010806i,-0.0014563+0.00098755i,-0.00047135-7.14e-05i,-0.00043599-0.00080085i,-0.00086483-0.0011224i,-0.00073991-0.00022746i,-0.00062461+0.00072237i,0.00024134+0.0012673i,0.00038572+0.0013095i,0.0001446+0.00098794i,0.00034978+0.00094161i,0.00085667+0.00095781i,0.00043131+0.00074771i,-0.00089671+3.0044e-05i,-0.0012416-0.00032905i,-0.00036576+0.00020768i,6.6319e-05-8.9353e-05i,0.00036372-0.001074i,0.00079585-0.0014096i
-0.0012646-0.0020133i,-0.0013125-0.0016345i,-0.0010455-0.00068173i,-0.001083-0.0010619i,-0.001474-0.00018311i,-0.00042451+0.00084158i,0.00092861+7.2262e-05i,0.00083744-0.0011925i,-0.00020182-0.0005222i,-0.0010026+0.00032182i,-0.00068576+0.00025755i,-0.0003185-0.00027699i,8.1034e-05-0.0012115i,0.00057414-5.9524e-05i,0.00018364+0.00086023i,-0.0002064+0.00010341i,0.00022799-0.00021332i,-2.6454e-07-0.00051702i,-0.00018875-0.00037859i,0.00019806+0.00031776i,-0.00069907+0.00038886i,-0.0010434-0.00014063i,-3.5677e-05-0.00092604i
-0.0012129+3.654e-05i,-0.0010613-0.00037839i,-0.0013684-0.00077133i,-0.00091839-0.00068193i,-0.00077605-0.00036678i,-0.00047142-0.00084165i,0.00014745-0.0012591i,2.7891e-05-0.0010599i,-0.0010406-0.00022207i,-0.0018767+3.8996e-05i,-0.001253-0.00050572i,-0.00043026-0.00025988i,-9.1763e-05+0.00061513i,-7.1015e-06+0.0012494i,0.00049273+0.00098369i,0.0007671+0.00068561i,0.00070979+0.00020334i,0.00049072-0.00025352i,-1.5419e-07-0.00018493i,-0.00048928-6.4553e-05i,-0.00041339-0.00037777i,-0.00015693-0.00064903i,-0.00010973-0.0002143i
0.00059413-0.00072475i,-0.00018993-0.00037574i,0.00012688+0.00026178i,0.00020603+0.00053847i,0.00024301+8.0549e-05i,0.00050673+0.00014932i,0.00019981-0.00011532i,-0.00026942-0.00087129i,4.0009e-05-0.00025165i,-5.5421e-05+0.00061746i,-0.00066081+0.00035744i,-0.00050991+0.00073733i,6.8976e-05+0.0015418i,0.00025245+0.00070971i,0.00024563+0.00011897i,0.00013595+0.0003454i,-0.00020258+0.00042992i,0.00017237+0.00061013i,-0.00039634+0.00081186i,-0.0010892+0.00063912i,-0.00061491+0.00053949i,-0.00015403+0.00070881i,0.00024585+0.00056798i
0.00085574-5.9431e-05i,0.00086389-0.00037205i,0.0001035-0.00045163i,-0.0013223-0.00066029i,-0.0021411+0.00018324i,-0.0014017+0.00040995i,0.00023949-0.00054954i,0.00089683-0.0014931i,0.00042691-0.0014627i,-0.00031332-0.0011302i,-0.00040971-0.00045369i,-4.6607e-05-5.047e-05i,0.00031718-0.00039331i,-0.00030986-0.00038549i,-0.00041246+0.00032538i,0.00014721+0.00056067i,0.00060949+9.6173e-05i,0.00043493-0.00032087i,-0.00018322-0.00035256i,-0.00040498-0.00038561i,-0.00058184-3.0331e-05i,-0.00031906-7.0785e-05i,-5.4912e-05-2.6751e-05i
0.00087952-0.0011179i,0.0010391-0.0011189i,0.0010049-0.0016814i,0.00029352-0.0020776i,-0.00077253-0.0018496i,-0.00031327-0.00090293i,0.00026252-0.00018916i,-0.0005433-0.00032689i,-0.0013713-0.00061968i,-0.0011667-0.00020295i,-0.00075041+0.00048106i,-0.00053834+0.0011812i,-0.00042489+0.0010985i,0.00025744+0.00023281i,0.00094291+1.4154e-05i,0.00035442+0.00063038i,-0.0003356+0.00063496i,0.00028505-0.00013516i,0.00097022-0.00020495i,-8.3731e-05-8.9806e-05i,-0.00044844-0.00019287i,0.00042374+5.6691e-05i,0.00087013+0.00020085i
0.00151+0.00091341i,0.00080286+0.0013989i,0.00053785+0.0016128i,-0.00035307+0.00066918i,-0.0015759-0.00051836i,-0.00059991-0.00096363i,0.00028591-0.00064682i,0.00033797-0.00026122i,0.00017491+0.00024139i,-0.00054859+9.0549e-05i,-7.4812e-05+8.0277e-06i,0.00074995+0.00036505i,0.0011008+0.0003119i,0.0014298+7.1617e-05i,0.00042325+0.00021044i,-0.00096807+0.00022079i,-0.0010442-3.1368e-05i,-0.00072283+0.00014835i,-0.00028157+0.00030681i,0.00019709+0.00021799i,0.00035051+9.3546e-05i,0.00082672+0.0003034i,0.00097796+0.00039522i
-0.00086455+0.0025546i,-0.0002571+0.0028301i,-0.00029629+0.0027297i,0.00011977+0.0024934i,0.00043218+0.0019682i,-6.456e-05+0.00067228i,-0.00052283-0.00081553i,-0.00048362-0.00077004i,-0.00042776+0.00080617i,-0.00087171+0.0011692i,-0.00079556+0.00068472i,-0.0001016-0.0001069i,0.00027852-8.3446e-05i,0.00084826+1.2776e-06i,0.0016385-0.00050305i,0.00084784-0.00067772i,0.00027243-0.00019396i,2.377e-05+0.00058161i,-0.00033493+0.00019069i,-0.00025942-0.00067789i,0.00024377-0.00045358i,0.00087346+0.00044154i,0.00040067+0.00064311i
0.0024859-0.00032584i,0.0025447-0.00062071i,0.0026583-0.00096979i,0.002181-0.00081554i,0.0009218-0.00069595i,8.5897e-06-1.6321e-05i,-0.00013037+0.00076912i,0.0002076+0.00021636i,0.00041087-0.00088783i,-0.00020098-0.0010106i,-0.00073695+0.00021364i,-0.0011918+0.0012084i,-0.0012403+0.00036013i,-0.00035244-0.00035457i,-6.9943e-05-0.00084506i,0.00037347-0.00047811i,0.00084946+0.00016639i,0.00095333-0.00045245i,0.00032628-0.00024949i,0.00015902+0.0004147i,6.7906e-05+0.0012668i,-0.0007893+0.0010759i,-0.00084981+0.00030226i
-0.0015418-0.0030047i,-0.0012518-0.0026756i,-0.0012533-0.0017765i,-0.0018545-0.0017921i,-0.0019483-0.0015771i,-0.0011748-0.00057132i,0.00040513-0.00054455i,0.00052768-0.0013943i,-0.0012315-0.0011426i,-0.0021398-0.00023613i,-0.0010939-0.00036978i,-0.00029615-0.00091993i,-0.00032003-0.00052868i,-0.00031006+0.0003435i,-0.00023411+0.00066257i,0.00017099+0.00037882i,0.0002771-0.00026294i,0.00037798-0.00044242i,0.00068433-0.00080793i,0.0008361-0.00055345i,0.00041857+0.00012738i,-0.0001602+0.00034355i,0.00020588+0.00027779i
0.00047442-0.0014889i,0.00071325-0.0015816i,-0.00051251-0.00056786i,-0.0019037-0.000665i,-0.0026422-0.0011693i,-0.0021327-0.00035642i,-0.0013614+0.00055306i,-0.00018234-0.00022746i,0.00024246-0.00061706i,-0.00095953+0.00011046i,-0.00093976+0.0007931i,-3.2206e-05+0.0015617i,-3.2219e-05+0.0010088i,-3.698e-05+0.00014251i,0.00048087+0.00029451i,0.0005071+0.00022648i,0.00049928-0.00041267i,3.9381e-06-0.00063454i,-0.00010655-9.6648e-05i,-0.00013797+0.00050349i,0.00021872+0.00027203i,0.00087253-0.00020835i,0.00036982-0.00022011i
0.00050671+0.00085887i,0.00068891+5.7096e-05i,-0.00054137-0.00035207i,-0.0013883+0.0001392i,-0.0016711+0.0019081i,-0.00091273+0.0018606i,0.00061894+0.00077336i,0.00040194+0.00038195i,-0.0014829-0.00048037i,-0.0016778-0.00064752i,-0.00073828-0.00047414i,-0.00044237-0.00061116i,-0.00025688-0.00012343i,-0.00013376+0.00040208i,0.00020156-0.00010307i,0.00018932-0.00073842i,-0.0007677-0.00054976i,-0.00071054+0.00039303i,0.00057207+0.00098052i,0.0011193+0.00067355i,0.0011401+0.00036171i,0.00038534+0.00043087i,-1.0528e-05+2.8116e-05i
0.0011247+0.00046394i,0.0029675-0.00024542i,0.002438-0.00081988i,0.00087484-0.0007337i,-0.00018497-0.00071316i,-0.00050787+0.00018999i,-0.00041436+0.00033696i,-0.00088449-0.0011142i,-0.00092187-0.0013833i,-0.00017767-0.00093893i,0.00051888-0.00045081i,0.00055687+0.00039267i,0.00010729+0.00028715i,0.00058995+7.5001e-05i,0.00083459-0.00023661i,0.00048587+2.2052e-05i,0.0004357+0.00096468i,-1.3917e-05+0.00060152i,-0.00048037+6.2334e-05i,-0.00019149+0.00037181i,-0.00022906+0.00062615i,4.9272e-05-0.00051224i,0.00055208-0.0011861i
0.00024023+0.00026766i,6.4181e-05+0.0009857i,0.00018418+0.0014345i,-0.00070403+0.00062585i,-0.0013637-0.00079199i,-0.00025044-0.00092484i,0.001166-0.00020325i,0.0013321+0.00040648i,0.00026352+0.00028888i,-0.00057954-8.5219e-05i,-0.00073236+0.00025184i,0.00044971+0.00067643i,0.00094917-0.00023547i,0.00034505-0.00061675i,0.00030968-0.00048322i,0.0006282-0.00066518i,0.00051068-0.0002868i,-0.00019068-4.2932e-05i,-0.00080017-0.0010749i,-0.00033754-0.0015111i,0.0006878-0.0012854i,0.00038972-0.00067978i,-0.00060238-0.00033801i
0.0016135-0.0014516i,0.0011211-0.0010023i,0.00104-0.0018646i,0.0010868-0.0035152i,-0.00080903-0.0029125i,-0.0025441-0.0015681i,-0.0013387-0.0015166i,-0.00031925-0.0019997i,-5.9082e-05-0.0018779i,4.7264e-05-0.00091071i,-0.00029237-0.00055217i,0.00016626-0.00051486i,0.00013649+0.00024932i,-0.00064546-0.00019536i,-0.00059028+9.5512e-05i,-0.00025017+0.00082221i,0.00013524+0.00093804i,0.00057843+0.00042703i,0.00074897-0.00054259i,0.00079243-0.00053045i,0.00044091+0.00020563i,-0.00015615+0.00058396i,0.00012982+0.00039725i
-0.0008353-0.00099074i,-0.00022838-0.0012912i,-0.0010254-0.00026785i,-0.0021003+0.00023653i,-0.002015+0.00065305i,-0.001284+0.0010056i,-0.0001051+0.00030514i,0.00023575-0.0004407i,-0.00038802-0.0010049i,-0.00078387-0.00022949i,-0.00096466+0.00056068i,-0.00090771+0.00015341i,-0.00089866+0.00053998i,-0.00030254+0.00098344i,-0.00022401+0.00098708i,-0.00029777+0.0010125i,0.0007816+0.00047938i,0.00084901+0.00047575i,-0.00051709+0.00090999i,-0.0004019+0.00051404i,0.00071953-7.6265e-05i,0.00088783+3.1386e-05i,0.00048269+1.6153e-05i
-0.00051695-0.0011047i,-0.00016568-0.00079604i,-0.0013705-0.00055286i,-0.0013924+0.00026655i,-0.00040042+0.0010106i,-0.00038194+0.00070596i,-0.0006804+0.00014315i,-0.00019362-0.00072955i,4.6759e-05-0.00056405i,-0.00014713-0.00036409i,-2.2938e-05-3.9502e-05i,0.00011714+0.00025379i,8.5588e-05+0.0001546i,-0.00012167+0.00021721i,-0.00013576+0.00067565i,4.6462e-05+0.00029389i,-0.00022343-0.00011636i,-0.00023532+0.00029463i,0.00019018+0.00039753i,-9.6245e-05+0.00042527i,-5.6538e-05+9.5383e-05i,-0.00011576-0.00053968i,-8.0502e-05-0.00058231i
-0.00068354+0.0013327i,-0.00083769+0.0023493i,-0.0012525+0.0021399i,-0.0004246+0.00040163i,0.0002739-0.00067597i,0.00029388-0.00034271i,0.00023321+4.9934e-05i,0.0001705+1.8584e-06i,-0.00026665-0.00029385i,-0.00028293-6.6762e-05i,8.7522e-05+0.0004451i,8.2284e-05+0.00044447i,-0.0003557-0.00017339i,-0.00020757-0.0006374i,0.00036959-0.00077219i,0.0013378-0.0004636i,0.0014902+4.6435e-05i,0.00097912-0.00019236i,0.00054205-0.00017723i,-2.5106e-05+0.00041642i,0.00075701+0.00036063i,0.00071181+0.00093i,8.3496e-05+0.0015564i
5.5079e-07+0.00043245i,0.0011592-0.0017689i,0.0013567-0.002108i,-0.00025792-0.0021907i,-0.0012853-0.0022672i,-0.00045478-0.0014486i,2.1844e-05-0.0011364i,-0.00054431-0.00049525i,-0.00082986-4.3016e-05i,-0.00029359+0.00018341i,-9.4598e-05+0.00064571i,-0.00042763+0.00012542i,-2.7249e-05-0.00017732i,0.00011766-0.00013609i,-0.00028921-4.6543e-05i,-0.00027858+0.00010868i,-0.00030827+0.00037243i,-0.00034358+0.00057687i,-0.00073491+0.00072876i,-0.0014335+0.0015269i,-0.0014191+0.001231i,-0.00021578-0.00010879i,0.00060269+3.6808e-05i
