-0.001492+0.0025337i,-0.002102+0.0016232i,-0.0020449+0.00023474i,-0.001776-0.00029337i,-0.0012511+0.00055639i,-0.00015968+0.0011627i,7.5982e-05+0.0016065i,0.00082202+0.00083109i,0.0013796-0.00038515i,0.0013658-0.00028225i,0.0013342-6.1102e-05i,0.00035701-0.0008366i,-0.00062337-0.0014727i,-0.00053148-0.0012544i,5.1194e-05-0.00038569i,0.000498+8.7857e-05i,0.00025122-0.00013239i,-0.00033043-0.00048159i,-0.00032152+6.8469e-05i,-0.0007001+3.1657e-06i,-0.0014786-0.00029967i,-0.00085823+0.0003149i,-0.00020185+9.7205e-06i
-0.00062286+0.001403i,0.00047587+0.0022847i,0.00038268+0.0028286i,-0.00010508+0.0024551i,0.00019302+0.0018167i,4.8941e-05+0.0016584i,0.00043175+0.0012204i,-9.2397e-05+0.0010797i,-0.00070383+0.001043i,-0.0010769+0.0002957i,-0.0012953+0.00016834i,0.00015467+2.7347e-05i,0.00053734-0.00041112i,0.00049624-0.00087291i,0.00078116-0.00022684i,0.00056055+0.0010288i,-9.6487e-05+0.00049229i,-0.00053392-0.00072672i,-0.00039973-0.00041095i,-0.00075369+0.00049716i,-0.0010483+0.0012059i,-0.0004273+0.0015178i,0.00037755+0.0015591i
-0.00014798-3.6254e-05i,-0.0014549+0.00047651i,-0.0023685+0.0010807i,-0.0019871+0.001337i,-0.0015781+0.00079289i,-0.00092462-8.3062e-05i,-6.8005e-05+0.0007736i,5.6008e-05+0.0012087i,-0.00065119+9.4409e-05i,-0.000604-1.449e-05i,1.5157e-05-0.00024094i,-6.5805e-05-0.00077741i,-0.00052521-0.00033567i,-0.0010351+0.00024211i,-0.00017207+5.8928e-05i,0.00025895-0.00059898i,-2.5993e-05-0.0010849i,-0.00033731-0.00098596i,-8.9592e-05-0.0011626i,0.00020246-0.00082544i,2.625e-06-0.00062724i,3.575e-05-0.00083757i,0.00028374-0.00046117i
-0.0016619+0.0013503i,-0.0023203-0.00048413i,-0.0020271-0.0019977i,-0.001506-0.0011816i,-0.0012339-0.0004489i,-0.0013695-0.00021885i,-0.0016938+0.00047438i,-0.0012172+0.00033624i,-0.00053889-0.00062198i,-0.00011583-0.0010026i,0.00028699-0.00094541i,8.5778e-05-0.00017917i,0.00053139+0.00075948i,0.0008479+0.00029282i,0.00050786-0.00046065i,0.00051161+5.4959e-05i,0.00092293+0.00025488i,0.00097-0.00054167i,0.00067029-0.00097442i,0.00049667-0.00087339i,0.00024177-0.0009415i,-0.00013654-0.0009242i,-0.00032019-0.00095776i
-0.0011706+0.0012926i,-0.00043208+0.00087668i,0.00039623-1.7889e-05i,0.0012879-0.00037809i,0.0020952-0.0003139i,0.0017514-0.000737i,0.0002-0.0008726i,-0.0012924-8.0414e-05i,-0.0016366+0.0010575i,-7.0837e-05+0.0011407i,0.0005433+6.3353e-05i,0.00043291-0.00061807i,0.00042156-0.00049353i,-1.8908e-05+2.5761e-05i,-0.00046944-0.00042569i,-0.00041467-0.00058561i,0.00044179+0.00013231i,0.0013681+0.00014105i,0.0012733-0.00036613i,0.00021824-0.00049671i,-0.00046289-8.5369e-05i,-0.00015949-1.1072e-05i,2.9998e-05+0.00010185i
0.00036124+0.00051606i,0.00031475-0.00053207i,0.0016792-9.6266e-05i,0.002143+0.00015722i,0.0015046-0.00069334i,0.00051574-0.0014867i,-0.00050528-0.00091014i,-0.00081515+0.00022262i,-0.00047783+0.00061269i,-7.897e-05+0.0001722i,0.00073779-0.00034278i,0.00020869-2.9074e-05i,-0.00081415-0.00022441i,-0.0006077-7.1121e-05i,-0.00058476+0.00015301i,-0.00054855+0.00065053i,8.6546e-05+0.00086316i,0.00056442-0.00019593i,0.00069738-0.00059152i,0.00058561-0.00023077i,0.00065953+0.00029745i,0.00058467+0.00012396i,0.00031273-3.1604e-05i
-0.00030355+0.0012457i,0.0010487+0.0017501i,0.00274+0.0028413i,0.002273+0.00284i,0.0018102+0.0020337i,0.0023815+0.00131i,0.0013904+0.001424i,-0.00017831+0.0018632i,-0.00028191+0.00126i,-6.9122e-05+8.6712e-05i,2.8322e-05-0.00050925i,0.00081161-0.00069524i,0.0005192-0.00052343i,-0.00021339+2.776e-05i,-0.00049554+6.3041e-05i,-0.00048142-0.00045355i,-0.0003906-0.00032436i,0.000123+0.00076228i,0.00048825+0.0016967i,0.00064678+0.0017052i,0.00055799+0.00078607i,0.00011826+5.3987e-05i,0.00039376+0.00041482i
0.00042785+0.0015302i,0.0013748+0.0019465i,0.0014406+0.002052i,0.0012597+0.00095804i,7.7749e-05+0.00017785i,-0.00091813+0.0013952i,-0.0005298+0.0019171i,-0.00021394+0.0011113i,-0.00090025+0.00044554i,-0.0010597-0.0006589i,-0.00074713-0.0012554i,3.4087e-05-0.00072163i,-0.00032601-0.00015531i,-0.0010005+2.521e-05i,-0.00077883+2.329e-05i,-0.00015355+0.00054958i,4.9136e-05+0.00058025i,0.0007061+0.00099523i,0.00070426+0.0014978i,-0.0001023+0.001583i,-0.00013465+0.0013348i,0.00047603+0.00059087i,0.00012252+0.0001005i
0.0011732+0.0026758i,0.0016176+0.0016819i,0.0017491+0.0018221i,0.0012619+0.0012194i,0.00059615+0.00092924i,-0.00048554+0.0011616i,-0.001232+0.0017155i,-0.0001853+0.00091982i,0.0011375-4.8957e-05i,0.00057317+0.00040169i,0.00011621+0.00064635i,0.00048914-0.00014256i,0.00062968-0.00075253i,-0.00019406-0.00063501i,-0.0012878+0.00014819i,-0.0010748+0.00099344i,-0.00055061+0.00058932i,3.0876e-05+6.0336e-05i,0.00027569+0.00048532i,-0.00022864+0.00098874i,-0.00038504+0.0011506i,-9.4704e-05+5.1334e-05i,-0.00013199-0.0004321i
-0.0012785+0.0001251i,-0.0020017+0.0011371i,-0.0023041+0.001119i,-0.0020457+0.00084271i,-0.0014229+0.00033444i,-0.0015467+0.0013143i,-0.0013273+0.0024793i,-0.00035645+0.0017298i,0.00013511-0.00019821i,-0.00033182-0.0017094i,0.00020942-0.00081067i,0.0013998+0.00081765i,0.0015521+0.00060961i,0.00089873-0.00058482i,0.00025897-0.0011618i,-0.00054574-0.00054589i,-0.00059712-0.00020954i,-0.001064-1.0152e-05i,-0.0013962-0.00022439i,-0.0011645-0.00090592i,-0.00084166-0.00044064i,-0.00048431+0.00021708i,-0.00033678-0.00015674i
0.00044699+0.00039625i,-0.00055935-3.8092e-06i,-0.0008264-0.001317i,-0.0014284-0.0010238i,-0.0017792-4.4371e-05i,-0.0014102-5.6784e-05i,-0.00087151+0.00042225i,6.2992e-05+0.00072842i,-0.00011984+5.4398e-05i,-0.00066396-0.00097232i,-0.0004194-0.00064998i,-0.0005667+3.4172e-05i,-0.00069668+0.00044159i,-0.00082842+0.00081783i,-0.00092044+0.00036286i,-0.00075163-0.0003782i,-0.00017105-0.00023322i,0.00023592-7.5693e-05i,-0.00057063-0.00042859i,-0.0011748-0.00047058i,-0.00071728-0.00070676i,-0.00029209-0.00065662i,0.0001942-0.00011941i
-0.0029-0.00086137i,-0.0024828-0.00080987i,-0.0022088-0.00056114i,-0.0013358+9.5157e-05i,0.00029468+0.00046948i,0.0011974+0.0014053i,0.00016237+0.0026975i,-0.00051482+0.0021906i,-0.0005112+0.00052815i,-0.00036646-0.00024265i,0.0002838-0.00066895i,0.0010468-0.0011518i,0.0011833-0.00092634i,0.00055393-0.0011087i,0.00035195-0.0013928i,0.00039899-0.00065028i,-0.00047249+0.00042095i,-0.0010403+0.00036453i,-0.0013552-0.001261i,-0.0013019-0.0015162i,-0.00053862-0.00054699i,-0.00013555+7.4022e-06i,-0.00080967+0.00017942i
-0.00066576-0.00058534i,0.00096156-0.0025487i,0.0013976-0.0036294i,0.0004625-0.0023217i,-0.00020493-0.0011672i,-0.00052537+2.6273e-05i,-0.00057702+0.00069432i,-0.00049823+0.00013476i,6.1385e-05+0.00019376i,0.00050977+0.00032804i,0.0006294+0.0003258i,0.00027391+0.0010975i,-8.2899e-05+0.00060894i,0.00017319+0.0007366i,9.5595e-05+0.0010707i,0.00031692+0.00050264i,0.00094707+8.501e-05i,0.0011784-5.6561e-05i,0.0010925-0.00030203i,0.0015408-0.00056834i,0.0015553-0.00099038i,0.00013322-0.00066192i,-0.00066494-0.00036101i
0.00071385-0.0017681i,0.0024232-0.0013009i,0.0021719-0.00066742i,0.00088954+1.8875e-05i,0.00011186+0.00094364i,0.0004509+0.0016934i,-9.9931e-05+0.0016029i,-0.00063138+0.00092366i,-0.00033034+0.00025867i,0.00031569-0.00013731i,0.00033633+0.00020554i,0.00019105+0.00046969i,0.00015395+0.00039372i,0.00046152+0.00050584i,0.00099293+0.0010719i,0.00085411+0.00065174i,-8.7427e-05-0.00051033i,-0.00029328-0.0012293i,0.00099874-0.0013795i,0.0012304-0.00094879i,0.00044798-1.4863e-05i,-4.0721e-06+0.00044916i,-0.00065536+0.000227i
0.0011148-0.00062031i,0.0010629+0.00056678i,0.0010681+0.0011223i,0.0007192+0.00071551i,-0.00034488+0.0011372i,-0.00075216+0.0016718i,0.00024873+0.0012095i,0.00090303+0.00019427i,0.00034942-0.00045293i,-0.00067403-0.00048446i,-0.00033711-0.00035707i,0.0005027-0.00058477i,-0.00013553-0.00031797i,-0.00036835+7.2054e-05i,0.00041093-0.00013768i,0.00023318+4.7886e-05i,-0.00027612-0.00016381i,0.00036564-0.00028418i,0.00086253-0.00016924i,0.00066699-0.00031905i,0.00041324+0.00023146i,0.00064656+0.00069532i,0.0011435+0.00061937i
-0.003198+0.00073952i,-0.0031319+0.0017887i,-0.0019149+0.002437i,-0.00040773+0.002189i,-0.00048968+0.001723i,-0.00083539+0.0020214i,-0.00092186+0.0019188i,-0.00081355+0.0011587i,-0.00018016+0.00077501i,0.00048204+0.00095298i,0.0013894+0.00068668i,0.0014103+0.00030325i,0.00091485+0.00083451i,0.0003479+0.00057293i,-2.4754e-05+0.0001904i,-0.00061649+0.0005203i,-0.00029413+0.00049434i,0.0011915-0.00027951i,0.0018437-0.00011218i,0.0014192+0.00010041i,0.00093973+5.923e-07i,0.00041572-0.00040442i,0.00032317-0.00090091i
0.00064174-0.00075832i,-0.00076477-0.0004334i,-0.0021082-0.00041484i,-0.001341-0.00018549i,-0.00071663+0.00031911i,-0.00093314+0.00060116i,-0.00039276+0.00096777i,0.00060117+0.0008247i,0.00040384+0.00059809i,0.00011496+0.00027279i,-9.3125e-05-0.0003002i,2.016e-05-0.00093523i,0.00052106-0.00078062i,0.0011857+0.00035638i,0.0011135+0.00066798i,-3.9284e-05+0.00022186i,-0.00039167+3.5575e-05i,-0.00043887-8.7586e-06i,-0.00010504+4.4232e-05i,0.00069887+0.00090865i,0.00060999+0.0011078i,0.00018559+0.00075745i,0.00044838+0.00041512i
-0.0011896+0.00011821i,-0.0015301+0.00023821i,-0.00087662+0.00096163i,-0.00022708+0.0014952i,0.0005055+0.0015242i,0.00025823+0.0012959i,-0.00050925+0.0011047i,-0.00068807+0.0009837i,-0.00088985-8.1144e-05i,-0.00015784-0.0010482i,0.00046121-0.00071373i,0.00096253-0.00042162i,0.0012747+8.8902e-05i,0.00010062+0.00040112i,-0.00097997-0.0001109i,-0.00096666-0.00060836i,-0.00016101-0.00095001i,-0.00015025-0.00069838i,-0.00040129-6.6115e-05i,-0.00048686+0.00070933i,-0.00073245+0.0013663i,-0.00071479+0.0018449i,-0.00017325+0.00089972i
-0.00048005-0.0013331i,-0.0012412-0.0026759i,-0.0008433-0.0030533i,-0.00022799-0.0026409i,0.00028295-0.0024354i,7.2769e-05-0.0017317i,5.7302e-05+0.00027647i,0.00032631+0.0013926i,0.00051154+0.00074742i,0.00049269+7.8418e-05i,0.00015195+0.00041797i,-7.4083e-05+0.00057851i,-5.9495e-05-4.1979e-05i,0.00043931-0.00088875i,0.00026972-0.0011808i,-5.9417e-05-0.00088572i,-0.00020711+1.948e-05i,-0.00044856+0.00067308i,-0.0004495+0.00041118i,-0.00073867+9.532e-06i,-0.00081788-0.00077291i,-2.184e-05-0.00049492i,0.00039238+1.0896e-06i
-0.00057402+0.0003683i,0.00046743+0.00059474i,0.001719+0.0004393i,0.0021588+0.0003402i,0.0014078+0.00068014i,-0.00012099+0.00090454i,-0.00051255+0.0013059i,-0.0002411+0.001696i,-0.00019626+0.00061447i,-9.5544e-07+4.2953e-05i,6.5341e-05+0.00044145i,0.00015794+0.00041666i,5.5577e-05+0.00024628i,-0.00037704-0.0002124i,-0.00064773+7.7371e-05i,-0.00032354-0.00038498i,8.0058e-05-0.0010078i,-4.8314e-05-0.00053319i,-0.00092496-2.7627e-05i,-0.0013124+0.0003313i,-0.0010279+0.00087053i,-0.00037374+0.00088243i,6.3858e-05+0.00039722i
0.0004118-0.00032411i,0.00067831-0.0011879i,6.3532e-05-0.00028242i,-0.00034266+0.0010736i,-7.6589e-05+0.00054409i,-0.00022206+0.0012038i,-0.00051702+0.0017898i,-0.00077027+0.00090732i,-0.00094529+0.00022643i,-8.8356e-05-0.00035852i,0.00060544-0.00047499i,0.00023071-0.00043745i,0.00017352-0.00033233i,-0.00039224+0.00025013i,-0.00091686+6.3788e-05i,0.00030032+3.2543e-05i,0.00062645+0.00066646i,-0.00036836+0.00086092i,-0.00090086+0.00017446i,-0.00055074-0.00070875i,-0.00017997-0.0011861i,-0.00019264-0.0010357i,-0.0003072-0.00075846i
0.0001631+0.00045614i,0.0014884+0.001904i,0.0014383+0.0022118i,0.00099843+0.0011567i,0.00067389-0.00018418i,4.2438e-05+0.0006987i,-0.00041644+0.0015538i,0.00013732+0.0015104i,0.00047174+0.0009829i,4.2697e-05+0.00020483i,5.08e-05-0.00061514i,0.0005344-0.0010495i,7.8314e-06-0.00046669i,-0.00058739-0.00031476i,-0.00043861-0.00069875i,-0.00049761-0.00016382i,2.7147e-05+0.00028815i,-8.7076e-05+8.7741e-05i,-0.00078345-0.00020814i,-0.00059244+2.2938e-05i,-0.00060705-6.9396e-05i,-0.00054881-0.00030336i,0.0001353+5.6516e-05i
-0.0022015+0.00036724i,-0.0033505+0.0012533i,-0.0032711+0.0014674i,-0.0020962+0.0012877i,-0.0012757+0.0011735i,-0.00056186+0.0019275i,-0.00058112+0.0014946i,-0.0010041+9.8359e-05i,-0.00071844-0.00058839i,2.0783e-05-7.9535e-05i,6.1914e-05+0.00036089i,-0.00021584+0.00014677i,-0.00051309-0.00035384i,3.6129e-05-0.00044521i,0.00049947+0.00010888i,-7.4534e-05+0.0002999i,-0.000379+0.00011524i,-0.00032146-0.00018205i,-0.00066753-0.0001313i,-0.0012542+0.0002806i,-0.00084704+0.00040878i,-0.00040702-5.9748e-05i,-0.00056627+0.00013615i
-0.00061592+0.0023528i,-0.00068201+0.0031894i,-0.00038798+0.0025078i,0.00013533+0.00067114i,0.00042643-0.0006063i,-0.00029097-0.00072051i,-0.00095058+0.00091459i,-0.00012903+0.0022156i,0.00082141+0.0018496i,0.00060984+0.00017717i,0.00011861-0.00036802i,0.00039462-3.2137e-05i,0.0007272-0.00046799i,0.00025282-0.0011248i,-0.00010576-0.0010679i,-0.00027247-0.00049023i,-0.0010086-9.3152e-05i,-0.001275-9.5129e-05i,-0.00062328-0.00054282i,-0.00099737+8.3709e-05i,-0.00096415+0.00066639i,-0.00034099+0.00049035i,-0.00058242+0.00019637i
-0.0012114-0.004447i,-0.0029158-0.0052359i,-0.002316-0.005068i,-0.00070544-0.0028785i,-0.00037979-0.00052745i,-0.0013267+0.00032377i,-0.0012772+0.00081311i,-0.0006055+0.00022576i,-0.00012456-0.00073413i,0.00011083-0.00033666i,-0.00018801+0.00023916i,0.00018053-2.1287e-05i,0.00068039-0.00047171i,0.00052118-0.00024166i,0.00051503-4.5218e-06i,0.00023049-0.00052875i,0.00039962-0.0012059i,0.00072627-0.0015114i,0.00046715-0.0012124i,0.00026373-0.00082556i,-0.00059425-0.00059422i,-0.00051443+9.2514e-05i,-0.00026973+0.0010212i
-0.0013015-0.00047064i,-0.00029394-0.0010865i,0.0016313-0.0008911i,0.0031114+0.00043416i,0.0027296+0.00096355i,0.0012354+0.00060349i,-7.0922e-05+0.0013401i,-0.00034551+0.0014871i,2.7575e-05+0.00087995i,-0.00015666+0.00038474i,-0.00053403-0.00056247i,0.00024959-0.0012229i,0.00028941-0.0010291i,-0.00043963-0.00092739i,-0.00081804-0.00053533i,-0.001146-8.1885e-06i,-0.00047872-0.00072674i,0.00034795-0.0015857i,0.00072081-0.001531i,0.00082748-0.00046569i,0.00040165+0.00092533i,0.00016649+0.0012212i,-8.6753e-05+0.00068496i
0.0015656-0.0010211i,0.0030774-0.0012056i,0.0028996-0.00050908i,0.00088717-0.00025929i,-0.00015423+0.00012928i,-0.00059902+0.0020718i,-0.00085814+0.0021912i,-0.00050745+0.00088359i,-0.00012837+0.00054727i,0.00031411+0.00038843i,0.0010497-0.00040467i,0.0013356-4.8576e-05i,0.00034135+0.0011408i,6.5567e-05+0.001683i,0.00064256+0.0017382i,0.00062857+0.00065767i,0.00080187-0.00055188i,0.00087316-0.00045284i,0.001249-0.00010796i,0.0018158+0.00013551i,0.0018226+0.0003413i,0.00070572+0.00084965i,-0.00077372+0.00084709i
0.00028911+0.0026718i,0.003167+0.0036382i,0.00436+0.0045726i,0.0034632+0.0033627i,0.00089959+0.00050858i,-0.0013723-0.00042453i,-0.001627+0.0013372i,-0.00092205+0.0016609i,9.437e-05+0.001054i,0.00031695+0.00091903i,0.00015439+7.1761e-05i,0.00065672-0.00083561i,0.0010063-0.00083593i,0.00081957-0.00051096i,0.00027666-0.0011602i,0.00071346-0.0017013i,0.0013953-0.0013183i,0.0014957-0.00070624i,0.0024349-0.00045502i,0.0022994-0.00015659i,0.0011266+0.0001326i,0.00062626+0.00022003i,-0.00017416+0.00055561i
-0.0026016+0.0018692i,-0.0030924+0.0043633i,-0.0025578+0.0046325i,-0.0015876+0.0024141i,-0.00089078+0.0010371i,-0.00071444+0.0013795i,-0.0013082+0.00063409i,-0.00067281+2.7489e-05i,-0.00026742-0.00049573i,-0.00021821-0.00082924i,0.00057615-0.0004049i,0.00026744-0.00036063i,-3.9656e-06+0.00024777i,0.00033317+0.00049511i,0.00057166-0.00045945i,0.0015871-0.00049187i,0.0020193+0.00034947i,0.0019248+0.0014698i,0.0015597+0.0014386i,0.0010951+0.00044746i,0.00074664+3.798e-05i,0.00018143+1.3611e-05i,-0.00039251-0.00025253i
-0.00056584+0.0038029i,-0.0014123+0.0043295i,-0.0015457+0.0033459i,-0.00099835+0.0015137i,-0.00082925+3.8711e-05i,-0.000913-0.00021646i,-0.00043654+0.001292i,3.8606e-05+0.0019362i,0.00034238+0.00083447i,0.00049953+0.00023279i,0.00064689-7.0894e-05i,0.00040021-0.00055773i,-0.00060977-0.00029664i,-0.001309+0.00029091i,-0.00081168+0.00060188i,-0.00019393+0.00090627i,-0.00045352+0.0016999i,-0.00076492+0.0025148i,-0.00018332+0.0024378i,0.00033887+0.0018364i,0.00047329+0.0010813i,0.00083643+0.00066103i,0.0010664+0.00080994i
-0.0017682-0.00074835i,-0.0029942-0.0022725i,-0.002766-0.0019898i,-0.00076346-0.00074827i,0.001354-4.8744e-05i,0.00050761+0.00023703i,-0.00076147+0.00079451i,-0.001034+0.00083568i,-0.00041248+0.00028326i,0.00029041-0.00051559i,0.00079598-0.0011147i,0.00093352-0.0010966i,0.00042261-0.00050739i,-0.00021808+1.0334e-05i,-0.00083083-0.00056438i,-0.0011125-0.00056758i,-0.0011419+0.00030145i,-0.00086874+0.0010754i,-0.00034457+0.0012586i,-0.00058408+0.001092i,-0.00050811+0.00079208i,0.00016323-0.00034521i,0.00079606-0.00062845i
-0.0026345-0.00045024i,-0.0037569-0.0014583i,-0.0043625-0.0017432i,-0.0027435-0.00090892i,-0.0001581-6.1482e-05i,0.00087522+0.0010977i,0.00040106+0.0021104i,-0.00045234+0.0015184i,-0.00043999+0.00083861i,2.263e-06+0.00077662i,0.00012649+0.00010983i,-0.00021953-0.00033503i,-0.00034457-0.0006635i,-0.00037657-0.0016763i,-0.00039336-0.0019036i,-0.0009395-0.00098796i,-0.0012914+6.5752e-05i,-0.0016749+0.00080926i,-0.0015394+0.00054484i,-0.00095765+0.00021881i,-0.00088473-0.00014453i,-0.00071908-0.00059964i,-0.00035451+4.9519e-05i
0.00030804+0.0007761i,0.00081843-0.00055784i,0.0006171-0.0013755i,0.00022178-0.00024028i,0.00059829+0.0021126i,0.00081309+0.0020658i,0.00043477+0.00084527i,0.00046935+0.00054242i,0.00049429+7.1069e-05i,0.00075751-0.00040633i,9.309e-05-0.00030287i,-0.00045241-0.00047885i,-0.00037054-0.0013774i,0.00027052-0.0020564i,0.00033825-0.0014194i,-0.00036663-0.00097441i,-0.0015716-0.0012941i,-0.002531-0.0015768i,-0.0029008-0.002186i,-0.0020212-0.002016i,-0.00086894-0.00047114i,-1.0597e-05+0.0002319i,0.00036515-5.8962e-05i
0.0015654-0.0011831i,0.003579-0.0022994i,0.0040036-0.001537i,0.0031154-0.00062792i,0.0011928-0.00032099i,-0.00043797-0.00034728i,-0.0013448+0.00030399i,-0.00105+0.00063095i,0.00031066-3.7805e-05i,0.0011094+7.4653e-06i,0.00059967+0.00058744i,-0.0004866-0.00013923i,-0.00058902-0.00069691i,-4.0908e-05-0.0007826i,0.00090903-0.0021045i,0.00097843-0.0026233i,-0.00023322-0.0019499i,-0.0012704-0.0021818i,-0.0018852-0.00169i,-0.0012426-0.00099036i,-0.00033212-0.00044749i,0.00065333+0.00072296i,0.001068+0.001335i
-0.00073734+0.0032915i,0.0015324+0.0060955i,0.0027232+0.0073524i,0.001798+0.004139i,0.00038623+0.0011396i,-0.00049209+0.00047821i,-0.0014583-0.00014576i,-0.0019029-0.00042324i,-0.0011852+0.00011396i,-0.00021828+0.00056637i,0.00024976-6.1751e-05i,0.00018317-0.0015393i,0.00017703-0.0018877i,0.00061679-0.0019939i,0.0011176-0.0021257i,0.00045677-0.0017657i,0.0002544-0.0017093i,0.00026391-0.0018391i,-7.4278e-06-0.0019503i,-0.00059217-0.0016563i,-0.0011008-0.00067026i,-0.0008922+9.0868e-05i,-0.00064108+5.8682e-05i
0.0027604+0.0027888i,0.0038914+0.0047395i,0.0043336+0.0039376i,0.0030299+0.0011094i,0.0019425+1.5936e-05i,7.7363e-05+7.6795e-05i,-0.00075883-0.00022871i,0.00071245-0.00011222i,0.0018895-0.00034064i,0.0013914-0.00096553i,0.0010254-0.0008318i,0.0016743-8.7257e-05i,0.001344+0.0004445i,0.00093053+0.00092119i,0.0012498+0.0013148i,0.002122+0.0015226i,0.0023783+0.00072384i,0.0019032-1.7375e-05i,0.0012342-0.00073012i,0.001007-0.0010675i,0.001233-0.00063511i,0.00090359-0.00078503i,0.00061042-0.0009204i
-0.0034152+0.0020126i,-0.0048511+0.0026202i,-0.0048344+0.0028499i,-0.0019138+0.0020678i,0.0009934+0.00016229i,0.00097513-0.00062323i,-0.00047504+0.00036517i,-0.0011749+0.00092343i,-0.0010372+0.00099714i,-0.00021969+0.00082818i,0.00044525+1.1426e-05i,-0.00015153-0.00023425i,-0.00032201+0.00031331i,0.00060087+0.0010314i,0.00044984+0.00095079i,0.00069142+0.00044699i,0.0021756+0.0004388i,0.002637+0.00049434i,0.0022436-0.00020937i,0.0015342-0.0010938i,0.0010846-0.00043185i,0.00072794+0.00083269i,0.00065149+0.00095498i
-0.0015693+0.002097i,-0.0022674+0.0019448i,-0.0018508+0.002097i,-0.001266+0.0013349i,-0.0012031+0.0013335i,-0.0013159+0.0018123i,-0.0014012+0.0016838i,-0.00012715+0.0011549i,0.00095182+6.176e-05i,0.00049469-0.00089289i,0.00056564-0.0011492i,0.0014897-0.00068066i,0.001853-0.0002829i,0.00061429+0.00062634i,-0.0004641+0.0013744i,-0.00029437+0.0019249i,0.00038618+0.0026176i,0.0020262+0.0017457i,0.0029647+0.00051958i,0.0025067+0.00012564i,0.0016288+6.6906e-05i,0.00078576+0.00042673i,0.00084577+0.00078469i
-4.7274e-06-0.00065565i,0.00088035-0.0028015i,0.0014768-0.0032521i,0.0015273-0.0027854i,0.0021135-0.0015893i,0.0014968-0.0010698i,0.00040942-0.0010275i,-0.00028519-0.0005198i,-0.00071511+0.00053038i,-0.00043259+0.0011285i,5.4304e-05+0.00080286i,0.00024429-0.00019443i,-0.00017035-7.3191e-05i,-0.0012056+0.00050114i,-0.0021078+0.0006207i,-0.0016779+0.0012134i,-0.00073559+0.0021524i,5.491e-05+0.0023396i,0.00073904+0.0023965i,0.0014967+0.0017124i,0.0012771+0.0011959i,-0.00016842+0.0011642i,-0.00083402+0.00019405i
0.00067862-0.00025651i,0.002377-0.00053407i,0.0032234-0.00068687i,0.0014261-0.00052485i,-0.00073694-0.00030346i,-0.0015551+0.0005396i,-0.0026245+0.0019065i,-0.0028108+0.0026426i,-0.0020178+0.0015796i,-0.00058002+0.00027145i,0.00019203-0.00040131i,-0.00039524-0.00029645i,-0.00094756+0.0008838i,-0.0015166+0.0013502i,-0.0022667+0.00088272i,-0.0024371+0.00062028i,-0.0024857+0.00091407i,-0.0016629+0.0014876i,-2.9043e-05+0.0018175i,0.00028118+0.0012144i,-0.00042906+0.00035741i,0.0001137+0.00023503i,0.00072325+0.00046504i
-0.00022182+0.00048104i,0.00013412+0.0023595i,-0.00022194+0.0024806i,-0.00044189+0.0012384i,-0.00064157+0.0011954i,-0.0001873+0.0015614i,0.0002148+0.00049665i,0.00064743-0.00075682i,0.00082236-0.00072517i,0.0005372+0.00027486i,0.00013813+0.0011568i,3.73e-05+0.00073836i,-0.00056561+0.00044651i,-0.0012139-6.9296e-05i,-0.0017326-0.00091925i,-0.0022804-0.00067468i,-0.0025243-0.00022334i,-0.0013572+0.00047734i,-0.00034198+0.001616i,-0.00097002+0.0019645i,-0.0017053+0.0013547i,-0.0013769+0.00039204i,-0.00055779+0.00036751i
0.00052669-0.0012043i,0.0014491-0.0025456i,0.0021024-0.0038045i,0.0017463-0.0041944i,0.00065503-0.0032901i,-0.0012018-0.0013379i,-0.0022308+0.00049397i,-0.0021714+0.00082356i,-0.00082037+0.0007753i,0.00026628+0.00036741i,0.0005103+0.00033361i,0.00014996+8.8608e-05i,-0.0011188-0.0010894i,-0.0019317-0.0017543i,-0.0018855-0.0011581i,-0.0027293-0.001247i,-0.0033616-0.0013473i,-0.0026629+0.00059314i,-0.0018203+0.0019525i,-0.001293+0.0019015i,-0.0011736+0.0013314i,-0.00081784+0.00038785i,-0.00013007-0.00047384i
-0.00022891+0.0030719i,-0.0013094+0.0047736i,-0.0011156+0.0058909i,-0.00024929+0.0052889i,-0.0010783+0.0037247i,-0.0023621+0.0021743i,-0.0022062+0.0019415i,-0.0016936+0.0016227i,-0.0010317+0.00015683i,-0.00031008-0.00073247i,-0.00063387-0.0008806i,-0.00022254-0.0010742i,0.00089228-0.00088988i,0.0011444-0.0012036i,0.001056-0.0020469i,0.00045582-0.0034125i,-0.00027994-0.0037939i,-0.00073019-0.00232i,-0.0011913-0.00049671i,-0.00095011+0.00034686i,-8.2745e-05+0.00033454i,0.00021419+0.00097527i,-0.00013454+0.00075115i
0.00031216-0.0038689i,-0.0011154-0.0048071i,-0.0030684-0.0052683i,-0.0036704-0.0042229i,-0.0020885-0.0024708i,0.00077246+0.00027235i,0.0022215+0.0010703i,0.002349-0.00023719i,0.0019585-0.0010941i,0.0010137-0.00058777i,-0.00010636-0.00010537i,8.1636e-06+0.00012428i,0.00062859-7.9723e-05i,0.0016858-0.00038341i,0.0025152-0.00060433i,0.002637-0.0011899i,0.0023927-0.0021098i,0.0012468-0.0018766i,-0.0010489-0.00094903i,-0.0022399-0.00044524i,-0.0007546-0.00049272i,0.00089997-0.00075257i,0.00078512-0.00045686i
