-0.0002391+0.0022856i,-0.00068121+0.00096098i,-0.00043038-0.00058516i,0.0005891-0.0006677i,0.00067059-0.00055701i,0.00025671-0.00050042i,-3.4851e-05+0.00029407i,-0.0006369+0.0010509i,-0.00025755+0.0010073i,0.00045945+0.00053576i,0.00075474+0.0005193i,0.00069804+0.00064219i,0.00050199+0.00059997i,0.00037154+0.00012828i,0.00080194-0.00021031i,0.00094396-0.00014298i,0.00035895+0.00022976i,0.00026936+0.0002369i,0.00018986+0.00018432i,-0.00021464+0.00038675i,-0.00047917+0.00025432i,-0.00010745-4.3126e-05i,0.00017813-0.0004597i
-0.00022577-0.002768i,-0.0007632-0.0014455i,-0.002088+0.00062012i,-0.0033845+0.0019301i,-0.0031851+0.0017166i,-0.0015203+0.0023091i,-0.00025198+0.0031592i,-0.00048653+0.0027665i,-0.00094533+0.0011249i,-0.0012964-0.00056391i,-0.0012644-0.00032453i,-0.00065198+0.00079686i,9.5944e-05+0.001241i,0.00060873+0.0014773i,0.00076664+0.0013494i,0.00038045+0.00094361i,-5.623e-05+0.00074668i,0.0001947-0.00024036i,0.00043549-0.00090104i,0.00015597+0.00013672i,0.00061921+0.00092556i,0.0015023+0.00073705i,0.0010064+3.482e-05i
0.0016797-0.0012397i,0.00069212-0.00067507i,0.00048744-0.0012125i,0.00078634-0.001336i,-0.00037035+0.0005726i,-0.0016448+0.0024837i,-0.0019901+0.0020735i,-0.0015162+0.00137i,-0.00075259+0.001827i,-0.00077611+0.0022073i,-0.001067+0.0019696i,-0.0012144+0.0016544i,-0.0010268+0.0010893i,-0.0011811+0.00081294i,-0.00094283+0.00076174i,-2.276e-05+0.0011259i,0.00027782+0.0010421i,-0.00023191+0.00043716i,-0.00061505+0.00019042i,-0.00094294+0.00037068i,-0.0006291+0.0005322i,0.00042937+0.00029222i,0.00061482-0.00026834i
-0.00087577+0.00013371i,-0.0013476+0.00079619i,-0.0018886+0.0018879i,-0.0023458+0.0023438i,-0.002412+0.0017387i,-0.0015702+0.00030352i,-0.0012248-0.00015756i,-0.0014993+0.00084453i,-0.0018244+0.0014882i,-0.0019773+0.00092645i,-0.0011249-1.8771e-05i,-0.0012082-0.00096639i,-0.0015735-0.0011026i,-0.0020431-0.00059107i,-0.0024343+0.00027639i,-0.002069+0.000591i,-0.001102+0.00038782i,-0.00080192-1.9569e-05i,-0.0009769-0.0012626i,-0.0003121-0.0013603i,4.118e-05-0.00031048i,0.00013316-7.6692e-06i,0.00033072-0.0002211i
0.0012244+0.0021803i,0.0015417+0.0022947i,0.00097602+0.0013717i,-0.00022354-7.4236e-05i,-2.7615e-05-0.001841i,0.00053682-0.00078265i,0.00061+0.0014661i,-5.1052e-05+0.0019157i,-0.00048351+0.00094832i,-0.00044671+0.00029864i,0.00012057+0.00045342i,0.000576+0.00018498i,0.00027442+7.5867e-05i,-0.00017274-9.4358e-05i,-0.00037374-0.00046482i,-0.0010546-0.00078452i,-0.0010008-0.00043188i,-0.00083552-0.00021382i,-0.00062172+2.0557e-05i,0.00011584+0.0002942i,-4.6856e-06-0.000325i,-0.00032218-0.00046835i,-0.00015646-0.00045931i
0.00031784-0.00080796i,-0.00034199-0.00068027i,-0.0010679-0.001287i,-0.0011264-0.0007359i,-0.00076818+0.001428i,-0.0011255+0.0027729i,-0.0013105+0.0021082i,-0.0010746+0.0010302i,-0.0010773+8.8455e-05i,-0.00056995-0.00063769i,-7.034e-05+0.00051501i,0.00036747+0.0022544i,0.00097924+0.0029343i,0.0011079+0.0023449i,0.0010243+0.0011062i,0.00077204+0.00097524i,0.00042802+0.00076924i,0.00070219-8.3762e-05i,0.0013144+0.00013599i,0.00072674+0.00050163i,5.9194e-05+0.00057229i,-0.00024425+0.00077349i,-6.8805e-05+0.0004421i
0.0016947-0.00027061i,0.0027061-0.00075635i,0.0020073-0.00010809i,0.00048471+0.0010834i,-0.00041326+0.00061077i,-0.00085015-0.00014389i,-0.0010045-3.9904e-05i,-0.0011536+0.00045168i,-0.0018026+0.0010298i,-0.0013188+0.00061765i,-0.00051112-0.00012748i,-0.00076486+7.071e-05i,-0.0012425+0.001154i,-0.00075067+0.0020218i,0.00028294+0.0018115i,0.0011695+0.0010773i,0.0007676+0.00096699i,-0.00010271+0.00081738i,2.1279e-05+0.0012458i,0.00042438+0.0010891i,0.00070586+0.00049691i,0.00089859+0.00097223i,0.00026618+0.0010164i
0.001918+9.0368e-05i,0.0023075+0.001194i,0.00088969+0.001637i,-0.0029277+0.0017561i,-0.0047794+0.0020137i,-0.0035772+0.0014855i,-0.0021274+0.0010254i,-0.0015728+0.0012614i,-0.00082012+0.0014073i,-0.00042146+0.0012806i,-0.0012988+0.00073165i,-0.0021216+0.00067206i,-0.0020143+0.0010319i,-0.0017911+0.0013057i,-0.0017789+0.0012485i,-0.0010962+0.0010061i,-0.0010965+0.00096474i,-0.0013836+0.00071182i,-0.0011689+0.00015114i,-0.00052899-0.00018081i,0.0001946-0.0004538i,0.00077006-0.00015836i,0.00090677-0.00017105i
-0.0015856-0.00041056i,-0.0031489-0.00080319i,-0.0034993-0.00093217i,-0.0026523-0.0003482i,-0.0018036-0.0002654i,-0.00034449+0.00072136i,0.00053482+0.0018587i,-0.00012328+0.0017787i,-0.00075677+0.0011723i,-0.00065362+0.0016277i,-0.00033542+0.00099648i,2.7013e-05-0.0003181i,0.00040886+0.00040919i,0.00056363+0.00072174i,-0.00035474-0.00031712i,-0.0014265-0.00026595i,-0.00085845-0.00012662i,0.00020534-0.0002948i,0.00054657-0.00032686i,0.00041877-0.0002212i,0.00026155+5.8706e-05i,0.00070473-1.4828e-05i,0.00066017-0.00011105i
-9.3894e-05-0.00078936i,0.00086355-0.0012508i,0.001036-0.0016629i,0.0010982-0.00060205i,0.00047852+0.00039415i,-0.00010391+0.0010247i,-0.000576+0.0016367i,-0.00096774+0.0017371i,-0.00074701+0.0012973i,-0.00090372+0.00059844i,-0.00081616+0.00039272i,0.00029421+0.00091222i,0.0015402+0.0011049i,0.0016179+0.00047604i,0.0007081-8.5003e-05i,-1.3424e-05+6.1118e-05i,0.00032488+0.00023996i,0.00064704-0.00049333i,0.00048319-0.00017267i,0.00067337+0.0010552i,0.00046722+0.0011177i,3.3609e-05+0.00080661i,-0.00033098+9.0476e-05i
0.0032557-0.001648i,0.0022544-0.0016364i,0.00048168-0.00050829i,-0.0009188+0.0015058i,-0.0014285+0.0034213i,-0.00138+0.0033694i,-0.0013879+0.0014105i,-0.0015736+0.00073666i,-0.00095031+0.00098146i,0.00012461+0.00082664i,-0.00019234+0.00045242i,-0.001259-6.5102e-05i,-0.00085081+0.00062038i,0.00019837+0.0018493i,0.0014267+0.0018802i,0.0020417+0.00091898i,0.0019292+0.00033887i,0.0016617+0.00044858i,0.0004613+0.00042763i,-0.00089972+0.00024031i,-0.0011028+0.00079801i,-0.00029091+0.00068748i,0.00038482+2.9982e-06i
0.00070895+9.0455e-05i,-0.00065105-0.0011995i,-0.00049875-0.0013902i,-0.00042542+0.00077546i,-0.0018431+0.001865i,-0.0018591+0.0011937i,-0.001199+0.00037996i,-0.00038695+0.0010232i,0.00038399+0.0021668i,0.00058254+0.0018161i,0.00029642+0.0016493i,-0.00071408+0.00074894i,-0.0016437-0.00068449i,-0.0016016-0.0004522i,-0.001765+0.00084312i,-0.0014785+0.0015272i,-0.0002174+0.0014951i,3.2683e-05+0.00071412i,7.7049e-05-0.0003486i,0.00043674-0.00098048i,6.1335e-05-0.0011813i,9.3442e-05-0.00017593i,0.00058493+0.00042492i
