-0.0012205-0.0042349i,0.00023079-0.0039126i,0.0011504-0.003822i,0.0017864-0.0023321i,0.00029891-0.00096419i,-0.0019365+0.00012825i,-0.0029087+0.0020778i,-0.0027268+0.003708i,-0.001827+0.0037143i,-0.0016144+0.0030786i,-0.0012498+0.002068i,-0.0011805+0.00059168i,-0.0011455-0.00032911i,-0.00039643+0.00014566i,-0.00060698+0.00081236i,-0.0013166+0.00073012i,-0.00080156+8.5823e-05i,-0.00048471+0.00011238i,-0.00083811+0.00041043i,-0.0006281+0.00026929i,-0.0002394-6.9713e-05i,0.00014136-0.00018672i,0.00069348+0.00023971i
-0.0012456+0.0021738i,-0.0038352+0.0014379i,-0.005969-0.00013346i,-0.0065163-9.9037e-05i,-0.0048497+0.001018i,-0.0028939+0.0016249i,-0.001501+0.00097491i,-0.0012002+0.00074467i,-0.0013911+0.00053805i,-0.0012014-0.00049786i,-0.00040506+0.00046506i,-3.2194e-05+0.0015766i,-0.00048711+0.00051327i,-0.00093389-0.00011469i,-0.0013816+0.00027998i,-0.0010671+0.00033134i,0.00011092+0.00021907i,0.00037787+0.00031167i,0.00032917+0.0006533i,0.00013633+0.0011513i,-0.00026317+0.00080699i,-0.00037358+0.00064079i,0.00014436+0.0012059i
-0.0050225+0.002997i,-0.004921+0.0048877i,-0.0040267+0.00697i,-0.00096609+0.0075667i,0.003626+0.0063977i,0.0070427+0.0045549i,0.0060797+0.002603i,0.0028886-6.8964e-05i,0.0011546-0.0017554i,0.0012915-0.0015671i,0.0012063-0.001197i,0.0012291-0.00092936i,0.001408-0.00063809i,0.0010769-0.00080375i,0.00062797-0.00081373i,0.0011424-0.00065139i,0.0010464-0.00044979i,0.00026546-0.00032516i,0.00040536-0.0005157i,0.00047816-0.0011957i,0.00038843-0.0014534i,0.00037145-0.0009422i,0.00041075-0.00021764i
0.00061458-0.002086i,0.0021724+0.00072758i,0.004607+0.0020502i,0.0061081+0.0021607i,0.0046072+0.0006845i,0.0031708+0.00083226i,0.0022777+0.0012634i,0.0020526+0.0011097i,0.0015989+0.0017727i,0.00051997+0.00098686i,-0.00057102-0.00027901i,0.00032243-0.00060713i,0.0010009-6.5839e-05i,0.00068234+0.00026978i,0.00037807+0.00012628i,-5.368e-06+0.00012826i,0.00051389-0.00056556i,0.00062608-0.0013395i,0.00036127-0.0011738i,0.00020835+0.00013106i,0.00035635+0.00038524i,0.00062955+0.00027167i,0.00065906+0.00025373i
0.0022573-0.0017478i,0.0013392-0.0037587i,0.0013185-0.0066436i,-0.00010118-0.0069153i,-0.0027676-0.0044239i,-0.0036601-0.0015387i,-0.0029178+0.00075058i,-0.0019392+0.0023513i,-0.0012255+0.0025252i,-0.001339+0.0022062i,-0.0016945+0.0015847i,-0.0014128+0.00065547i,-0.00094409-0.00020774i,-0.0003188-0.00043568i,8.2679e-05-0.00042639i,-0.00064007-0.00040608i,-0.00084282-3.7468e-05i,-0.0006554-0.00017254i,-0.00086784-0.00024424i,-0.0010177-5.6953e-05i,-0.00057986+0.00025889i,-0.00055974+0.00035433i,-0.0010209+0.00051487i
-0.0029536+0.00023058i,-0.0048106-0.00063771i,-0.0075186-0.0014469i,-0.0069961-0.0014482i,-0.0042422+6.207e-05i,-0.0018546+0.00095925i,-0.00017783+0.0018981i,0.00019043+0.0025795i,0.00032387+0.0023922i,0.00030149+0.0010547i,0.00076554+0.00041293i,0.0011016+0.00058238i,0.0011748+2.3622e-05i,0.00097549-0.00069382i,0.00036729+2.6563e-05i,0.00010112+0.00056204i,0.00026115+0.00036828i,0.0007612+0.00021158i,0.00041582+0.00041218i,0.00013845+0.0010082i,-7.466e-05+0.00079479i,-0.00080553+0.0003585i,-0.00085154+0.00022855i
-0.00030519-0.0031205i,-0.0022168-0.00015454i,-0.0030685+0.003091i,-0.0022014+0.0050702i,0.0010805+0.005629i,0.0039775+0.0052597i,0.0037933+0.0040706i,0.0018987+0.001572i,0.00091951-0.00078806i,0.0002559-0.0010844i,-0.0008028-0.00047801i,-0.00077267+5.7508e-05i,0.00024409+0.00093136i,0.00022744+0.00089809i,-0.00033746+0.00011505i,4.2377e-05+3.4706e-05i,0.00099729-0.00030323i,0.0007155-0.00050996i,-0.00013265-0.00028683i,-0.00052254-0.00011391i,-0.00011926-0.00053157i,0.00078789-0.00032221i,0.00091658+0.0013769i
-5.5714e-05+0.0015516i,0.0016655+0.0014538i,0.0055462+0.0017103i,0.0055376-0.00010065i,0.0032835-0.00086674i,0.0007418+0.0010735i,-0.0011801+0.0017971i,-0.00063246+0.0019295i,0.00042716+0.0012619i,0.00019423+0.00028241i,-0.0012073+0.00020338i,-0.0015835+0.00020973i,-0.00090742+0.0005569i,-0.00033718+2.6249e-05i,-0.00030515-0.00024038i,-0.00039762-0.00026922i,0.00016716-0.00080133i,0.0004566-0.00044692i,0.00030176+0.00025307i,0.00018079+0.00034775i,0.00025311-0.00016072i,0.00078598+4.8539e-06i,0.0002866+0.00091483i
0.0017637-0.00023227i,0.0017458-0.0015622i,0.0026542-0.005825i,0.001514-0.0073047i,-0.0017722-0.0058739i,-0.0022275-0.0039769i,-0.0003189-0.0012556i,0.0015962+0.0014972i,0.0019863+0.0030622i,0.0019044+0.0026867i,0.0014728+0.0014462i,0.0007493+0.0010888i,0.0001315+0.00080658i,8.6763e-05+7.1281e-05i,0.00033488-0.00016514i,0.00043144-0.00036579i,-0.00015906-0.00067338i,-0.00051084-0.00089917i,-0.00022154-0.0015549i,-0.00036254-0.0010281i,-0.00082138-0.00021996i,-0.00086235+2.9764e-05i,-0.00067687-0.000203i
0.0014769-0.0018759i,-0.0033132-0.001874i,-0.0082548-0.0023226i,-0.0091386-0.00039178i,-0.0058135+0.0020172i,-0.001141+0.0044128i,0.0011563+0.0061755i,-0.00030886+0.0048789i,-0.0013514+0.0019343i,-0.00061062+0.0001377i,-0.00019228-0.00049798i,0.00034899-4.3683e-05i,0.00011435+0.00017395i,-0.00031668-0.00036533i,-9.0786e-05-0.00036825i,-0.00069317-8.1546e-06i,-0.00083912+0.00054864i,-0.00039868+0.00093862i,-0.00029159+0.00071494i,-0.00010457+0.00010255i,-0.00012901-0.00074881i,-0.00026188-0.0010167i,-0.0002744-0.00062574i
