-0.00086089+0.0022324i,0.00014707+5.3945e-05i,0.00012419+0.00013734i,-0.00016483-2.6077e-06i,9.2297e-05+0.0005596i,0.00013425+0.0018625i,8.0809e-05+0.001643i,0.00086226+0.001038i,0.00082605+0.0011631i,0.00013501+0.00068359i,7.9944e-05-8.7498e-05i,0.00011316-0.00052313i,-0.00053094-0.00049724i,-0.00075109-0.00033784i,-0.00028292-5.9811e-05i,0.00022762+0.00064744i,0.00050364+0.00014445i,0.00052089-0.00048472i,0.00034232+0.00020378i,0.00026129+0.00070706i,3.3709e-05-0.00011412i,-0.00034182-0.0002237i,1.8178e-05-9.7178e-05i
0.0014071+0.0015675i,0.00079709+0.0014015i,0.0014431+0.00010652i,0.0016849-0.00060418i,0.0007739-0.00034894i,0.00044559-0.00035014i,0.00049036+0.00013693i,0.00032097+0.00037214i,-8.6518e-05+0.0001032i,-0.00021571+7.9193e-05i,0.00054922+4.8798e-06i,0.00014813-0.0004757i,-0.0010712-0.00067503i,-0.0017148+9.8019e-05i,-0.0014144+8.3227e-05i,-0.00067921-0.00069808i,-0.00036044-0.0012538i,-0.00010053-0.00085746i,0.00072589+0.00048741i,0.0011866+0.0012753i,0.00060072+0.00055549i,0.00047138-0.00061266i,0.00087393-0.00051846i
-0.00086006-0.00043129i,-0.0018454+0.00084432i,-0.0022156+0.0021449i,-0.00015757+0.0021333i,0.00091815+0.00068629i,0.0013211+6.9882e-05i,0.0011785-5.6806e-06i,0.00045829-0.00043296i,-2.8959e-05+0.00022531i,0.00026501+0.00030799i,-0.00013328+0.00036092i,-0.00057308+0.00088033i,-0.00023874+0.00089064i,1.2197e-05+0.00076959i,-1.1204e-05+0.00057511i,-0.00074374+0.00039499i,-0.00081155+0.00076188i,-0.00050231+0.00068446i,-9.1717e-05+0.00011825i,0.00026622-0.00041934i,0.00012573-1.4248e-05i,-0.0011048+0.0008455i,-0.0017563+0.00088471i
-0.0012546+0.00057376i,-0.0010473+0.00046381i,-0.00051654+0.0011146i,0.00072183+0.00070786i,0.0015246-0.00015896i,0.001575-0.0003584i,0.00095186-0.00072832i,0.00044115-0.00044854i,-0.00050738-0.00024542i,-0.00033983-0.00046836i,0.00037653-1.1018e-05i,-0.0001916+0.0006287i,-2.8669e-05+0.00062685i,0.00039946+0.00028795i,-2.3115e-06+0.00012788i,-0.00017299-0.00045183i,-0.00018127-0.0013746i,0.00010319-0.0010472i,-0.00019706+0.00010403i,-0.00076823+0.00049026i,-0.0011917+0.00042548i,-0.0013972+0.00027664i,-0.0012859-0.00035517i
-0.00083819+0.00088515i,-0.00088873+0.0016438i,-0.0013869+0.0014794i,-0.00066901-7.8635e-05i,0.00017662-0.00044674i,0.00068986+0.0002685i,0.00075645+0.00021267i,-8.3551e-06-0.0001447i,-0.00059349-0.00030725i,-6.626e-05-0.00065493i,0.00066709-0.001065i,-4.2477e-05-0.00057082i,-0.00064816+0.00011205i,3.2335e-06+0.00020853i,0.00039827-0.00020821i,-0.00032377-0.00051209i,3.7057e-06-0.00013878i,0.00041968+0.00015561i,0.00033714-0.00028979i,6.0451e-06-0.00010048i,-0.00045089+0.0003107i,-0.0006466+0.00083297i,-0.00082809+0.00057969i
-0.00050265-0.00023364i,-0.00079638-0.00087985i,-0.00018839-0.0019708i,0.00031888-0.0016703i,0.00064979-0.00092089i,0.00055047-0.0003863i,-0.00012233+0.00018829i,7.7155e-05+0.00019296i,0.00047281+0.00016415i,0.000369-2.0474e-05i,0.00076826-0.00028391i,0.00037631-0.00046806i,-0.00048551-0.00040192i,-0.00085775-0.00054332i,-0.00062332-0.00047421i,-0.00089059+0.00035793i,-0.0014568+0.00095404i,-0.0012663+0.00083425i,-0.00091325+0.00037589i,-0.00030049+0.00010325i,0.00041223-0.00035867i,0.00037097-0.00043671i,-3.7409e-05-8.4479e-05i
-0.0014922+0.00086394i,-0.00098304+0.0010578i,-0.0013997+0.0010861i,-0.00078744+0.00085051i,0.00011013+0.00036928i,-1.0812e-05-4.8799e-05i,-0.00069842-0.0001613i,-0.0013429-0.00012881i,-0.0010017+0.00018885i,-0.00050346+0.00095633i,-0.00060081+0.0009068i,-0.00036055+4.7206e-05i,-0.00056465-0.00076291i,-0.0013994-0.00059639i,-0.0019531+0.00030561i,-0.001884+0.00037077i,-0.00066377+0.00065342i,0.00036807+0.0012255i,0.00050869+0.00088075i,0.00077416-0.00014507i,0.0010304-0.00050054i,0.00082059-0.00061199i,2.8171e-05-0.00062591i
-0.00072517-0.0007979i,-0.00078318-0.0010673i,-0.0011219-0.0012474i,-0.00075921-0.001728i,-0.00028758-0.0015508i,-0.00069419-0.00059063i,-0.00049652+0.00012563i,3.8769e-05+0.00062294i,-0.00014128+0.00019241i,-0.00054556-0.00011881i,-0.00023681-0.00017556i,-0.00021131-5.5643e-05i,-0.00071239+1.0471e-05i,-0.00062849+0.00041254i,-0.00046975+0.00037044i,-0.00011741-0.00021579i,-8.403e-05-0.00032911i,-0.00025852-0.00016892i,-1.2436e-05+0.00079324i,3.4884e-05+0.0010649i,4.5013e-05-1.8556e-05i,1.9656e-05-0.00041558i,0.00010664-0.00026236i
0.0021695-0.00078256i,0.00044877-0.0018781i,-0.0016504-0.00074494i,-0.0013401+0.00070968i,-0.00042972+0.0007881i,-0.00039015+0.0005044i,0.00067283+0.0011203i,0.0012955+0.0014006i,0.0011463+0.00089389i,0.00039087+0.00034474i,-0.00036231+0.00013221i,0.0001438-0.00054847i,0.00015189-0.00083254i,-0.00086152-0.00042911i,-0.00039963-1.6417e-05i,0.00010563-4.5833e-05i,0.00022992-0.00025694i,0.0002419-0.00050274i,-7.1838e-05-0.00034391i,-0.0003189+0.00030612i,-0.00030436+0.00014726i,4.8966e-05+0.00013327i,5.2756e-05+0.00051784i
-0.00022492+0.00095869i,0.00096139+0.0016299i,0.00040407+0.001314i,0.0001277-8.8425e-05i,0.0015418-0.001067i,0.0024498-0.00081702i,0.0016877-0.00041205i,0.00089568-0.00022537i,0.00021613+0.00018097i,0.00012435+0.00073149i,0.00043484+0.0010974i,0.00041227+0.00052469i,0.00029807-5.3068e-05i,-0.00030029+7.4807e-05i,-0.00027786+0.00047724i,-0.00031306+0.00046273i,-0.00075249+6.5924e-05i,-0.00059263-0.00014458i,-0.00090144+0.00010494i,-0.00074032+0.00068738i,0.00019331+0.00041508i,0.00065138+0.00048611i,0.00061299-9.0842e-05i
-0.0012516+0.0024009i,-0.0011106+0.002328i,-0.00094393+0.0012952i,-0.00057272+2.6812e-05i,-0.00086396-0.00077875i,-0.0010169-0.0007585i,0.0002264-8.3791e-05i,0.00035158+0.00021059i,0.00023108-0.00014981i,0.00033201+0.00018897i,-4.4019e-05+0.00064658i,-8.0213e-05-0.00033046i,-0.00022362-0.0011161i,-0.00086599-0.0014103i,-0.00019499-0.0010445i,0.00035306-0.00053162i,3.6206e-05-0.0004163i,-0.00019756+0.00012319i,-0.00079492+0.00057477i,-0.00037342+0.00064397i,0.00023051+0.00078331i,0.00018157-0.00025888i,0.00021198-0.0011166i
-0.0015446+0.00070629i,-0.0018556+5.7403e-05i,-0.0006989+0.00025727i,0.00012476+0.00037153i,0.00032603+0.00037037i,0.00055895+0.00038157i,0.0010523+0.00019021i,0.00058079+0.00062639i,-0.00033286+0.00032672i,9.0625e-05-0.00031468i,0.00081532-5.9777e-05i,0.00052401-0.00035407i,-1.1166e-05-0.00069073i,-0.00031044-0.00091495i,-0.00017439-0.0011545i,0.00047502-0.00016401i,0.00055718+0.00041583i,-3.0687e-05-9.767e-05i,-0.00083648-0.00029571i,-0.0014204+3.1471e-05i,-0.0011009-9.5825e-05i,0.00022386-0.00026689i,0.00054514-0.00020819i
-0.0030519+0.00031991i,-0.0035762+0.00026398i,-0.0031767+0.00056785i,-0.0015177+0.0016368i,-0.00067667+0.0022288i,1.8887e-05+0.0017326i,0.00046189+0.00083271i,0.00018505+0.00031549i,-0.00022232+0.00036621i,1.72e-05+0.00071973i,0.00031085+0.0005423i,0.00025523-1.3915e-05i,0.00013671-0.00047791i,-0.00026493-0.00030349i,-0.00036947+0.00016488i,-0.00070309+0.00063729i,-0.00091984+0.00062559i,-0.00090726+0.00038931i,-0.00026009-0.00032595i,0.00031313-9.0001e-05i,6.2891e-05+0.00061855i,0.00020057+0.00059332i,0.00032202+6.7086e-05i
0.0014306-0.0001907i,0.00097632-0.00039148i,0.0020578-0.00026178i,0.0017289-0.0010096i,0.00061672-0.00073072i,0.00091156+0.00019446i,0.0021733+0.00055115i,0.0016442+0.00011149i,0.00035975-5.1216e-05i,0.00017473+0.00038842i,8.9206e-06+0.00025997i,1.1544e-05+3.9748e-05i,-0.00015016+5.6178e-05i,-0.00072577+0.00028348i,-0.00104+0.00061735i,-0.0007018+0.0010703i,-2.4129e-05+0.00014869i,0.00054434-0.00056733i,0.00048271-0.00037285i,-0.00012715+0.00014746i,-0.00022628-6.1702e-05i,0.00014223-0.0003943i,0.00021665-0.00032858i
0.001036-0.0010247i,0.00078242-0.00075675i,0.00052024-0.00040978i,-0.00039864-0.00026132i,-6.5754e-06-0.00057283i,0.00056195-0.00038241i,0.00024148+0.00019587i,0.00019186-2.183e-05i,4.3202e-05-0.00028034i,0.00013326-0.00022923i,-0.00031533+0.00042271i,-0.00037745+0.00084767i,9.7377e-05+0.00098813i,5.6344e-05+0.00095665i,-6.8333e-05+0.0003584i,-0.000431+0.00068112i,-0.00013792+0.0012825i,2.6296e-05+0.00097899i,0.00039373+0.0001091i,3.1218e-05-0.00031343i,-0.00052654-0.00017741i,5.2311e-05+0.00031564i,0.0006924+0.00030853i
-0.0029801+0.00058335i,-0.0019666+0.0016106i,-0.00042032+0.0022026i,-0.00071176+0.0019848i,-0.00066984+0.0015476i,0.00032753+0.000753i,0.00064098+0.00018191i,0.0010057+0.00036089i,0.00085587+0.00021218i,0.00052016-0.00030009i,8.2606e-05-0.00066201i,-9.0668e-05-0.00099068i,3.6817e-05-0.0013414i,0.0001743-0.00047183i,0.00026912+0.0001314i,-0.0003985+0.00045627i,-0.00070654+0.0012278i,-0.00019504+0.00096823i,-0.00059432-0.00022492i,-0.00098189-0.00070516i,-0.00016204-0.00071662i,0.0002837-0.00055265i,5.4876e-05-0.00043562i
-0.00011673-3.4062e-05i,-0.00085455-0.0002989i,-0.00084442-0.00068084i,-0.00089074-0.001482i,-0.0010896-0.0015791i,-0.00094126-6.7303e-05i,-0.00032603+0.00073166i,-0.00039953-0.00010789i,-0.00077538-0.00031759i,-0.00049039-0.00030995i,-0.00028377-0.00039945i,-0.00039132+8.7304e-05i,-0.00076321+0.0011979i,-0.00071886+0.0012875i,-0.00047365+0.00059245i,-0.00063925+0.0012287i,-0.00048421+0.0011931i,0.00019729+0.00010876i,0.00011959-0.0002281i,6.9959e-05+0.00011676i,-3.3101e-05+0.0005473i,-0.00037551+7.1881e-05i,-0.00046845-0.00075309i
-0.0012218-0.0015451i,-0.0011445-0.00078725i,-0.00025171-0.000286i,0.00072161-0.00049229i,0.00086155-0.00044502i,-6.5573e-05-0.00021281i,0.00022695-0.00053209i,0.00080349-0.00063293i,0.00012178-0.00023564i,1.021e-05+0.00021284i,0.00035315+0.00021411i,9.059e-05-8.4073e-05i,-0.00020426-0.00037158i,-0.00048202-6.197e-05i,-0.00065378+0.00034936i,-0.00040034-5.912e-05i,-0.00078585-0.00038465i,-0.00090471-4.9859e-05i,-0.00050761+0.00055769i,0.00025381+0.00021745i,0.00061743-0.00055168i,0.00076983-0.00036636i,0.0001929+0.00012688i
-0.0015312+0.0014689i,-0.0018143+0.0012369i,-0.0012055+0.0019709i,-0.00034783+0.0014135i,0.00030551+0.0005039i,0.00032439-6.552e-05i,2.2761e-05+0.00015179i,-0.00094738+0.00037907i,-0.00099961+0.0001588i,0.00016655-0.00024934i,0.00029816+0.00020562i,-0.00034834+0.0011775i,-0.00055774+0.00037686i,-0.00038933-0.00082622i,-0.0010461-0.00059047i,-0.00073426-0.00014157i,-5.4632e-05-8.5419e-05i,-4.4247e-05-0.0001265i,-0.00044535+0.00014568i,-0.00034845+6.4478e-05i,0.00054163-0.00063567i,0.0011698-0.0010893i,0.00085112-0.00069517i
0.00020962+0.00031365i,0.0015258+0.00021195i,0.0024488+0.001374i,0.001867+0.00066451i,0.0013157-0.00065363i,0.0013177-0.00045364i,0.0010028-0.00028097i,0.00077456-0.00039793i,0.00053869+0.00044816i,0.00046825+0.0010711i,0.0004633+0.00013628i,0.00022695-0.0013493i,2.9147e-05-0.0013842i,-0.00011929-0.0018749i,9.8473e-05-0.0023769i,0.00045626-0.0013876i,-3.9077e-05-0.00089218i,-0.00070198-0.00057111i,-0.00082069+0.00018298i,-0.00038486-8.146e-05i,0.00049491-0.0006739i,0.00062776-0.00047186i,0.00063892-0.00078542i
-0.0015214-0.00058216i,-0.00098741+0.00046153i,-0.0011644+0.0010754i,-0.0009833+0.0015587i,1.9549e-05+0.0016441i,0.00063531+0.0014227i,0.00061906+0.00064355i,4.3775e-06-0.00056261i,0.00019909-0.00086761i,0.00078733+0.00036977i,0.00039175+0.00092528i,5.7367e-05+0.00032678i,0.00025012+0.00011537i,0.00060439+0.00025332i,0.00079957+0.00051266i,0.00092042+0.00033264i,0.0007123+0.00062983i,0.00024608+0.00091366i,0.00026539+5.7637e-05i,0.00063558-0.00075453i,0.00053931-0.000333i,0.00055185+6.0411e-05i,0.00044307+8.3952e-05i
-0.00047402+0.0040061i,0.00059144+0.0038094i,0.0024518+0.002097i,0.0016403+0.00036626i,0.00078039-0.00033057i,0.0011991-0.00095834i,0.0011997-0.0015798i,-0.00021032-0.0010734i,-0.0011009-0.00045603i,-0.00096509-2.393e-05i,-0.00030674+0.00079721i,0.00051315+0.00021582i,0.00069971-0.00073565i,-0.00041917+0.00013204i,-0.0014525+0.00097606i,-0.0008173+0.00059217i,-3.3486e-05+0.00037216i,-9.0186e-05+0.00046995i,0.00027478+0.000212i,0.00049556+0.0003845i,0.0001751+0.00040403i,-0.000173+0.00047889i,-0.00053669+0.00056807i
-0.0015749+0.001855i,-0.0015759+0.0018281i,-0.00026567+0.00040652i,0.00067091-0.0013675i,8.0864e-06-0.0012334i,-0.0011349-0.00027921i,-0.0001871+0.00022358i,0.00064159+0.00028576i,0.00078997+0.0012789i,0.00095071+0.0012746i,0.00028873+0.00040652i,-0.00022541+0.00063509i,1.9633e-05+0.00064121i,-0.0003161-7.4664e-05i,-0.00074556-0.00056206i,-0.00037968-0.00049357i,-0.0003992-0.00040049i,-0.00066432-0.00019331i,-0.00011534+0.00010128i,0.00090159+5.9408e-05i,0.00051278-9.1043e-06i,-0.00048497+1.1595e-05i,-0.0010257-0.00041135i
-0.0024273+0.0025544i,-0.0016451+0.0027241i,0.001538+0.0029373i,0.0035399+0.00087853i,0.0033285-0.002i,0.0016113-0.0027121i,0.00017498-0.0027095i,-0.00057348-0.0029294i,-0.00044512-0.0022285i,-0.00036714-0.00074001i,-0.00055774+0.00036163i,-0.00098807-0.00032734i,-0.0015131-0.0016021i,-0.0014585-0.0021002i,-0.0013711-0.0015164i,-0.00074619-0.0013038i,0.00046713-0.0010678i,0.0010272-0.00011604i,0.00080733+0.00054043i,0.00018083+0.00079669i,-0.00047773+0.00044621i,-0.00058133+6.101e-06i,-0.00023747-2.0443e-05i
-0.0046126-0.0074178i,-0.0065508-0.008956i,-0.0098322-0.0061548i,-0.0082586-0.00055594i,-0.0042869+0.0031884i,-0.00020946+0.0039593i,0.0020697+0.0025367i,0.0014753+0.0008426i,-0.00054086+0.00018794i,-0.0015427+0.00093998i,-0.0010523+0.001753i,0.00013747+0.0014684i,0.0015109+0.0011919i,0.0030217+0.0019133i,0.0034846+0.0023497i,0.0017456+0.0014657i,-0.0002165+0.00010575i,-0.00036586-0.0012179i,0.00053928-0.0014964i,0.00063223-0.0013604i,-0.00036269-0.00088829i,-0.0012343+0.00010954i,-0.0011563+0.00083772i
-0.00029868-0.001036i,-0.0017385-0.00031032i,-0.0021489-0.00064524i,-0.00097793-0.00017452i,0.0004442-0.00038855i,0.0011098-0.00070557i,0.0013983-0.00065911i,0.0011896-0.00012542i,0.00074557+3.2166e-06i,0.00011089-0.0014689i,0.00015732-0.0014675i,-0.00014288-0.00075319i,0.00016424-0.00097211i,0.00036636-0.00059736i,-5.3206e-05-0.00021663i,-0.00029484+0.00061918i,-0.00042209+0.00086852i,9.1574e-05+0.00043929i,0.00059671+0.0003733i,0.00020128+0.00050821i,-0.00047382-0.00018553i,-0.00020211-0.00047378i,4.0827e-05+2.853e-05i
0.0020244+2.3603e-05i,0.0019755+0.00031259i,0.0014111+0.00054395i,0.00060456+0.00068419i,-0.00020616+0.0014951i,-7.0945e-05+0.0021039i,0.00086829+0.00094402i,0.00054216-0.00021236i,-0.00050525-0.00058747i,-0.00071296-0.00067102i,0.00025318-0.00047738i,0.00037156+0.00016511i,0.00010192+0.00085356i,0.00030837+0.0010605i,1.4073e-07+0.00027907i,-0.00032361+0.00045716i,-0.00058912+0.00082816i,-0.00099037-0.00016796i,-0.00069412-0.0005363i,0.0001047-5.898e-05i,0.00085168+3.0801e-05i,0.0014482+0.00033858i,0.00026503+0.0004161i
-0.0010318-0.00054142i,-0.0026472-1.5545e-05i,-0.0030818+0.00014306i,-0.0024509+0.0005007i,-0.0015136+0.0011362i,-0.00062512+0.0019345i,0.00019755+0.0016176i,0.00020585+0.00087263i,-0.00012654+0.00027782i,0.00023833-0.00025584i,0.00054053-0.00030762i,0.00034456-0.0004092i,0.00043679-0.00028519i,0.00051292+0.00061156i,0.00045361+0.00081992i,0.00012208+0.00040976i,-0.00018385-0.00015505i,-9.0231e-05-0.00065244i,0.00023093-0.00021989i,0.0006332+0.00050244i,0.00050392+0.00013288i,8.0081e-05-0.00028608i,-2.0074e-07-0.00013235i
-0.0014084+0.00062267i,-0.0026688+0.00023915i,-0.0028186-0.00096497i,-0.00089858-0.0010484i,0.00014237-0.00049375i,0.00035462+3.8133e-05i,0.0010527+0.00031009i,0.0011136+0.00035432i,8.4678e-05+0.00068888i,-0.0011867+0.00069972i,-0.00057153-0.00034882i,-2.0463e-05-0.001004i,-0.00019232-0.00057084i,-0.00063323-4.4566e-06i,-0.00061895+0.00043815i,-0.00012299+0.0001373i,-0.00034942-0.00016348i,-0.00069618+0.00044447i,-0.00027122+7.6312e-05i,0.00077307-3.8129e-05i,0.00072936+0.00050891i,-0.00015138+0.00038689i,-0.00093136+0.00035529i
0.0018949-0.00096537i,0.0019417-0.0029279i,0.0020169-0.0026389i,0.0011239-0.0022615i,0.00058498-0.0015903i,-4.4703e-05-5.6774e-05i,-0.00019188+9.7287e-05i,0.00013282-0.00031363i,0.00010657-0.00034407i,-0.00030771-0.00025664i,-0.00050776-0.00048784i,-0.00043824+0.00022255i,-9.0545e-05+0.0010835i,0.00010502+0.00071347i,-0.00041929+3.0436e-05i,-0.000591+0.00024688i,-0.00039556+0.0010197i,-0.00032195+0.001195i,-0.00032905+0.00050864i,-0.00017149-0.00038116i,0.00052439-0.00036225i,0.00014087+0.00047643i,-0.0010874+0.001027i
-0.0017968+0.0019011i,-0.00062155+0.0020035i,0.00019391+0.0014315i,0.0013655+0.00099013i,0.0024114+0.00065689i,0.0013988-3.7532e-05i,-9.9527e-05-0.00045246i,-0.0004585+4.3041e-05i,-0.00010752+0.00060934i,0.00026055+0.00062182i,0.00047585-0.00051629i,0.00055342-0.0011323i,0.00049426-0.00043148i,0.00055139-0.00025207i,0.00046763-0.00073007i,0.00019871-0.00075903i,-0.00033418-0.00026363i,-0.00033766-0.00033096i,-5.1617e-05-0.00041367i,-0.00038163-0.0003207i,-0.00064586-6.865e-05i,-0.00019799+0.00015175i,-4.2646e-05+0.00031997i
-0.00034818+0.0037615i,0.00047684+0.0029462i,0.0010283+0.0020679i,0.0014944+0.0010282i,0.0018484+0.0002791i,0.0013923-4.9843e-05i,0.00058082-0.00026595i,0.00034277-7.9184e-05i,0.00028176-0.00011438i,0.00046998+0.00023178i,0.00040302+0.00030088i,-0.00011668-0.00053216i,-0.00054333-0.00015525i,-0.00054064+0.00087898i,-0.00064746+0.00066906i,-0.00058595+6.3535e-06i,-8.9654e-06-9.2592e-05i,-8.594e-05-6.1518e-05i,-0.00040141-0.00067345i,0.00028175-0.00097326i,0.0010119+0.0001677i,0.00087501+0.0011169i,-0.00056422+0.00086683i
-0.001376+0.0009686i,-0.0020774+0.0011873i,-0.00085469+0.0021827i,0.0006156+0.0015898i,0.0012459-4.4512e-05i,0.00084016-0.00083031i,0.00037702-0.0003443i,0.00042193-1.52e-05i,1.7756e-05+0.00048477i,-0.00040801+0.00085132i,-0.00028556+7.9306e-05i,-0.00050785-0.0002336i,-0.00075376-0.00083751i,0.00013429-0.00091488i,-6.9044e-05-0.00050047i,-0.0010402-0.0003834i,-0.00070476+0.00023222i,-0.00032099+0.00047218i,-5.6715e-05+6.1484e-05i,0.00060085+5.873e-05i,0.00083731+0.00023698i,0.0003457+0.00013638i,0.00022403-0.00091103i
-0.00025907-0.0029454i,-0.00069792-0.0022109i,-0.0019308-0.00098963i,-0.0017178-0.00082939i,-0.0010227-0.00046999i,-0.00033888+0.00063725i,0.00054061+0.00048114i,0.00061248-0.00089782i,-5.4641e-05-0.0020666i,-0.00051155-0.0014325i,-0.00069698-0.0002832i,-0.00021097+0.00044471i,8.4588e-05+0.0013212i,0.00013053+0.0018216i,0.00041685+0.0019585i,0.00018877+0.0016466i,-0.00064289+0.00043352i,-0.0011788+0.0002179i,-0.0013636+0.00023868i,-0.0015739-0.00036735i,-0.00087298-0.00081616i,0.00059114-0.00038064i,0.0009105-0.00017555i
-0.00084756-0.0030574i,-0.001471-0.0020761i,-0.0011689-0.0015292i,-0.00096381-0.0020044i,-0.0010612-0.0018181i,-0.00068921-0.00073001i,0.00053859-1.3604e-05i,0.00089398-0.00032965i,0.00078337-0.0011241i,0.0002917-0.00052941i,0.00013671+0.00062792i,0.0011669+0.00092093i,0.00066654+0.00069455i,-0.00060551+0.00017398i,-0.00069164+0.00038379i,-0.00035369+0.00032252i,-0.00049464-0.00061551i,-0.00063476-0.00074459i,-7.2649e-05-0.00024267i,0.00061832+6.2351e-05i,0.00047019+0.00070317i,2.2403e-05+0.0015309i,0.00029716+0.0018028i
-0.00045163+0.00090692i,-0.0015932+0.00026968i,-0.00089603-4.5509e-05i,-0.00028532+1.5327e-05i,-0.00085889-0.0001903i,-0.00039919+0.00037355i,0.0005416+0.0012138i,0.00055342+0.0010082i,0.00080847-0.00013834i,0.00055929-0.00038496i,-0.00042647-0.00016145i,-0.00021813+0.0003738i,-0.00044289+0.00085359i,-0.0012672+0.00044649i,-0.0012228+0.00072574i,-0.00099962+0.00089851i,-0.00063779+0.00039372i,-0.00029168+0.00031654i,2.7402e-05+0.0010132i,0.00066422+0.00065166i,0.00096885+9.2746e-05i,0.00034478+0.00065856i,-0.00021982+0.00086146i
-0.0010837-0.00050061i,-0.0018152-0.0010272i,-0.001794-0.0010698i,-0.00099343-0.00026767i,-0.00016882+0.00068048i,4.218e-05+0.00037631i,0.00069482-0.00017842i,0.0001795-0.0004399i,-0.00028117-0.0010282i,0.00019718-0.00035555i,-0.00026668+0.00031508i,0.00015462-0.00018682i,0.0011306-0.00022478i,0.0004616+2.734e-05i,-5.9032e-05+0.00058505i,2.3456e-05+0.00097162i,0.00028059+0.00030809i,0.00062822-0.00024952i,-7.3157e-05-0.00043097i,-0.00041709-0.00081381i,0.00025102-0.0006491i,0.00017058-0.00031145i,-0.0003876-9.9977e-05i
-0.0017768-0.0019622i,-0.0014313-0.0024074i,-0.00061129-0.001781i,-0.0010584-0.00097i,-0.0011857-2.2941e-05i,-0.00058782+0.00079421i,3.4034e-05+0.00048123i,1.6995e-05+0.00015419i,-0.00086283+0.00088762i,-0.00093818+0.00070012i,-4.9788e-05-0.0003644i,0.00036115-0.0006317i,-0.00029902-3.6345e-05i,-0.0010419+0.00024444i,-0.0011935+0.00061212i,-0.00085628+0.0013622i,0.00027253+0.00083351i,0.00073713+0.00013261i,0.00021242-0.00040922i,-0.00027756-0.00041137i,-0.00012156-0.00014832i,0.00013767-0.0002354i,6.8093e-05-9.738e-05i
-0.00034289+0.0015145i,-0.00029173+0.0018427i,0.0003027+0.0014444i,0.0015216+0.00037566i,0.0015825-0.00028765i,0.00065192-0.00012783i,0.00035797-0.00035091i,0.00029716-0.00088306i,0.00034981-0.00072718i,5.5974e-05-0.00027791i,-8.7779e-05-0.00044305i,6.7309e-06-0.0012992i,-0.00046611-0.0016654i,-0.00075451-0.00096064i,-0.00079323+0.00019657i,-0.00086415+0.00026513i,-0.00095654-1.3107e-05i,-0.0013023-3.3062e-05i,-0.0013945+0.00014843i,-0.00075358+0.00027409i,-0.00084865-0.00027583i,-0.00053724-0.00040647i,0.00050144+0.00044254i
0.00023363-0.0025538i,-0.00044439-0.0020387i,-0.00032963-0.0017417i,-0.0002551-0.0018829i,-0.0010027+5.538e-05i,-0.00070607+0.0013709i,0.00083247+0.0006349i,0.0011839+0.00034043i,7.3957e-05+0.00047189i,-0.0001895+0.00048273i,-1.5201e-05+0.00027546i,-0.00031092-4.1155e-05i,0.00020062+0.00054741i,0.00013991+0.0015527i,1.0329e-05+0.0017155i,0.00040401+0.00038998i,-6.7198e-05-0.0004592i,-7.3145e-06-0.00019868i,0.00012004-0.00045614i,0.00020168-0.00081775i,0.00040045-0.00057686i,-1.2431e-05+0.00066728i,-0.00021943+0.0011062i
-0.0019515+0.00041983i,-0.0017891+0.00098407i,-0.00071226+0.001543i,0.00018978+0.00082235i,0.00031564-0.00038853i,0.00044677-0.0011699i,0.001019-0.00071957i,0.00099978-0.00019653i,0.00012537-0.00026599i,-0.0001827-0.00048703i,-0.00013243-0.00060583i,-0.00025871-0.0006981i,0.00032886-0.0011653i,0.00085291-0.0010265i,0.00062731+0.00016932i,5.6382e-05+0.00082133i,8.1596e-06+0.00020961i,0.0001734+0.0003223i,-0.00090263+0.00076551i,-0.0015251+0.00052973i,-0.00087713+0.00015182i,-0.0006124+4.9883e-05i,0.00029622-0.00021872i
-0.001835+0.0011151i,-0.0017609+0.0012704i,-0.00092224+0.0013159i,0.00019959+0.00098713i,0.00060592+0.00099865i,0.00012544+0.0001434i,4.197e-05-0.0011785i,-0.00012262-0.00066026i,-6.4849e-05+0.00050466i,0.00067113+0.00036653i,0.00030318+0.00062215i,-0.00070925+0.00082092i,-0.00083673+0.00019494i,-0.00011412-0.0003182i,1.9388e-05-0.00048308i,-0.00054523-0.00030363i,-0.00066637-0.00038409i,-0.00055305-0.00060266i,-0.00017218-0.0007841i,-0.00027451-0.00033662i,-0.00083218+0.00037552i,-0.00043505-6.0019e-05i,7.5384e-05-0.00034326i
0.00027012+0.00023887i,0.00042119-0.00093548i,0.0012313-0.0016474i,0.0015642-0.0016493i,0.0012045-0.0019892i,0.0015103-0.0021477i,0.0013396-0.0012673i,0.00049205-0.0004915i,0.00056375-5.6079e-05i,0.00088036-4.7678e-05i,0.00033449+0.00027978i,-0.00039762+0.00052807i,-0.00032874+1.1641e-05i,0.00013615-0.00051085i,-0.00050387-0.00037201i,-0.001051-9.3378e-06i,-0.00050522-0.00042173i,0.00030566-0.00019569i,-6.7057e-05+0.00092368i,-0.00015617+0.0011105i,0.00074565+0.00038202i,0.0010214+0.00012307i,0.00041447+0.00092789i
