1.0585e-05-2.9973e-05i,0.0015116-0.0015899i,0.0025577-0.0022613i,0.0015984-0.0027495i,0.00070438-0.0029083i,0.00069294-0.0010242i,0.00080944+0.0010687i,0.0012115+0.0014602i,0.0016769+0.0008413i,0.0014246-0.00033318i,0.00055143-0.00063313i,-0.00045151-0.00054878i,-0.00036282-0.00069506i,0.00014541-0.0007608i,0.00036321-0.00053047i,0.00031143-0.00060826i,-0.00010396-0.00055304i,-0.00051343-0.0004034i,-0.0003312-2.7446e-05i,-0.0002639+0.00030829i,0.00024235-0.0001953i,0.00068978+1.3949e-05i,3.9546e-05+0.00017148i
0.0011562+0.00059123i,0.00059939+0.00055348i,0.0014167+0.00045916i,0.00088849+3.8784e-05i,0.00045996-0.00067656i,0.0006218-0.00074529i,-1.2165e-05+0.0001661i,-0.00092548+0.00046177i,-0.0011868+0.00048923i,-0.0014257+0.00088125i,-0.0019084+0.00056088i,-0.0014258+0.00010284i,-0.00070245+0.00034146i,-0.00072836+0.00058275i,-0.0007219+0.00023398i,-0.0004303-0.00011566i,-0.00054066-0.0003288i,-0.00098203-0.0011336i,-0.0010485-0.00069158i,-0.00069917+0.00048452i,-0.0004998+1.8385e-05i,-0.00029675-0.00073608i,0.00060027-0.00074166i
-0.00090785-1.9071e-05i,0.00026908+0.00040301i,0.0013235-0.00020966i,0.0019541-0.00041812i,0.0021765+0.00028923i,0.0018236+0.00040657i,0.00046586-0.00066507i,-0.00091837-0.00059311i,-0.0011863+0.00020564i,-0.00065188+0.0010445i,-0.00057692+0.0013809i,-0.00069756+0.00021091i,-0.00065864-0.00030952i,-0.00062475+0.00032782i,-0.00036571+0.0004658i,6.6549e-05+0.00036447i,9.4044e-05-7.0486e-05i,5.1803e-05-0.00073307i,-0.00022436-0.00035969i,-0.00071624+9.1675e-05i,-0.00080575+0.00032407i,-0.00018834-9.4022e-05i,0.00013724-0.00090837i
0.00071799-0.00038056i,0.00074708-0.0011338i,0.00063442-0.0012122i,0.0014906+5.1156e-05i,0.0028111+0.00043648i,0.003145+0.00073643i,0.0022207+0.0012379i,0.00083217+0.0012755i,-0.00042841+0.0018657i,9.0379e-05+0.0021916i,0.0006407+0.0016406i,0.0002438+0.00054412i,0.00035107+0.00034069i,0.00050625+0.00046715i,0.00031925+0.00027885i,-0.00017024+0.00028418i,-0.00023373-0.00025419i,-0.00053446-0.00083284i,-0.00077403-3.527e-05i,-0.00051665+0.00031359i,-0.00035918-8.6593e-06i,2.5098e-05-9.2212e-05i,0.00033876+0.0001672i
0.00061752+0.00059685i,4.0003e-05+0.0010238i,0.00055247+0.0014459i,0.0012705+0.0020283i,0.0016784+0.0021276i,0.0013405+0.0010343i,0.00024886+0.00019774i,1.1571e-05+8.7562e-05i,0.00070137+0.00018684i,0.0014092+0.00022144i,0.0015507-7.6389e-05i,0.00052267+0.00025469i,-0.00022167+0.00080521i,0.00039994+0.00088702i,0.00084522+0.00079984i,-6.4895e-05-9.2786e-05i,-0.00033607-0.00099328i,-0.00031556-0.00091662i,-0.00050245-0.00034043i,-0.00050679+0.00016874i,4.7384e-05+0.00013497i,0.00039712-6.5647e-05i,0.00052286-0.00027641i
0.00020033-0.00089781i,0.00059713-0.00089219i,0.0010217+1.794e-05i,0.0022505-2.3359e-05i,0.0036391-0.00032886i,0.0034615-0.00055005i,0.001916-0.0015785i,0.00070749-0.00091567i,-3.4328e-06-0.00057956i,0.00013554-0.0022174i,0.00051871-0.0024532i,0.00056727-0.0015664i,0.00040831-0.00081734i,0.00042515-0.00062356i,0.00021563-0.00062699i,-0.00031761-0.00032964i,-0.0004287-0.00055927i,-0.00024412-0.00052484i,0.00019991+4.9201e-05i,0.00019612+0.00068699i,-0.00011481+0.00044942i,-0.00041261+0.0001333i,-0.00063994-4.9049e-05i
0.0013318-0.00069601i,0.0013716+0.00017102i,0.0016186+0.00058776i,0.0029351+0.00056886i,0.0035985+0.00026162i,0.0025665+7.19e-06i,0.0011116-0.00059038i,-0.00032786-0.0010413i,-0.00119-0.00081249i,-0.00057608-0.0010733i,-0.00031142-0.0014353i,-0.0011438-0.0010641i,-0.0014244-0.0013699i,-0.00067471-0.0012347i,-4.9399e-05-0.00081335i,-0.00045623-0.00061278i,-0.00067666-0.00037317i,8.4549e-05+0.00031562i,0.0008463+0.00026465i,0.00023636+0.00015873i,-0.00082527+0.00075938i,-0.00071553+0.00059108i,-0.00049586+0.00074388i
-0.00039071-0.0006388i,-0.00053653-0.0018056i,0.00033757-0.0014284i,0.00053953-0.00049975i,0.00066283-0.00031295i,0.0014195-0.00085016i,0.0011312-0.0014387i,-0.00029657-0.00088794i,-0.0019381-0.00031073i,-0.0020725-0.00054041i,-0.00198-0.00053804i,-0.0019547-0.00033763i,-0.0013893+0.00016381i,-0.00099261+0.00046379i,-0.00066464+0.00082843i,-0.00012564+0.00082702i,0.00023933-0.00032273i,-0.00045824-0.0013321i,-0.0010424-0.00099863i,-0.00044995-0.00070797i,-0.00019162-0.00053107i,-0.0005858-0.00061195i,-0.00020472-0.00086283i
0.00068695-0.001447i,0.0012791-0.0020098i,0.0014958-0.0014656i,0.0024872+0.00017853i,0.0031894+0.0013482i,0.0026134+0.00096847i,0.001457-0.0005834i,0.00010346-0.00063361i,-0.00085572+0.0001748i,-0.0010467+0.00053037i,-0.00083714+0.001209i,-0.00016477+0.0017341i,0.00072134+0.0013779i,0.00027772+0.0013117i,-0.00030691+0.00088856i,0.00022618-0.00041571i,0.00092305-0.0012758i,0.0011093-0.0011232i,0.00062373-1.3728e-05i,0.00023959+8.9272e-05i,0.00039432-0.00040089i,0.00091453-0.00019695i,0.00086023+0.00026125i
0.0024801+0.0017052i,0.0018201+0.0011674i,0.0030447+0.00098921i,0.0034712+0.00088072i,0.0022632+0.00064091i,0.001498+0.00065819i,0.00070159+0.0004262i,-0.00021157+4.9938e-05i,-0.00026622+0.00062702i,-0.00021398+0.0010144i,-0.00011757+0.00037679i,4.4634e-05+0.00019969i,0.00081055+0.0001021i,0.00073747-0.00078712i,-7.3613e-05-0.0013846i,-0.00078199-0.0011463i,-0.00061201-0.00075746i,8.8718e-05+4.9738e-05i,-0.00017997+0.00047962i,-0.00043665+0.00032946i,7.9612e-06+0.00047182i,0.00077509+0.00014755i,0.0013945-0.00030533i
-0.002079+0.0011096i,-0.0032271+0.0010422i,-0.0020261+0.0015167i,0.00052942+0.0026086i,0.0025844+0.0023497i,0.00354+0.0010321i,0.00226+0.00059993i,0.00053661+0.000142i,0.00076988+0.0009298i,0.0015987+0.0013582i,0.0014209+4.0857e-05i,0.0011523-0.0010957i,0.0011859-0.0012974i,0.0011863-0.00049826i,0.0013447-0.00035869i,0.0011171-0.00099689i,0.00082654-0.0013442i,0.00021195-0.00095192i,-0.00026494-0.00058779i,-8.4125e-05-0.00030766i,-0.00011901-0.00025406i,-0.00031099-0.00032737i,-0.00021424-6.9391e-06i
-0.00016602-0.0015917i,8.0393e-05-0.0022865i,-0.00013589-0.0026426i,0.00041758-0.0012146i,0.0014504+7.5709e-06i,0.0021937+0.00021723i,0.0019369-0.00039802i,0.000939+0.0001323i,0.00024763-9.0851e-05i,0.00065946-0.00093235i,0.00040616-0.0011629i,-0.00050346-0.0016107i,-0.00053146-0.0015001i,-0.00072418-0.0014285i,-0.00098555-0.0011941i,-0.001002-0.00021869i,-0.00052918-0.00039204i,-0.00051292-0.00044519i,-0.00054904+0.00031969i,-0.0002153+0.00084857i,-0.00031152+0.00072338i,-0.0008834+0.00051491i,-0.00087633+0.00043455i
-0.0016418+0.0022911i,-0.0020241+0.0025475i,-0.0016708+0.0035205i,0.00061615+0.0033976i,0.0024244+0.0026307i,0.0027186+0.00063543i,0.00087715-0.00072397i,-0.00072847-0.00070951i,-0.00036968-0.00052895i,7.7778e-05-0.00026215i,-0.00063432-0.00027384i,-0.0013383-0.00026908i,-0.0011818-4.8948e-05i,-0.00069186-0.00042026i,0.00018582-2.8374e-05i,0.0006823+0.00074044i,0.00011697+0.00094481i,-0.00074875+0.00014793i,-0.00060656-0.00049538i,-8.2055e-05-0.00035822i,0.00022871+6.2091e-05i,-0.00033546+0.00014923i,-0.00052858-8.1645e-05i
-0.00091001-0.00066622i,0.00027613-0.0011347i,-0.00048042-0.00084335i,-0.00054341+0.00045941i,0.0018863+0.00051388i,0.0034466-0.00034747i,0.0020665-0.00077538i,0.00018698-0.0014828i,-0.00069892-0.0015455i,-0.0012738-0.00055719i,-0.0017403-0.00026346i,-0.00071313+0.00050141i,-4.4552e-05+0.0020733i,-0.00047456+0.0016896i,-0.00019676+0.00084087i,0.00096006+0.00029533i,0.00057924+0.00031917i,-0.00027818+9.2348e-05i,-0.00020419-0.00064173i,-0.00014564-0.00071524i,-0.00043741-0.00063225i,-0.0003459-0.00062256i,-6.4286e-05-0.00040485i
-0.001103-0.0025169i,0.00013183-0.0016272i,0.00057271-0.0005125i,0.0012574+0.00037553i,0.0024066+0.00084722i,0.0029609+0.00060528i,0.002311-4.9442e-05i,0.00033211-0.00017536i,-0.0012605+0.00064113i,-0.0014441+0.00090704i,-0.00094985+0.0008672i,-0.00014967+0.0014226i,9.3359e-05+0.0019659i,0.00056116+0.001904i,0.00072957+0.0013182i,0.00032425+0.00011814i,0.00078028-0.00082457i,0.00089388-0.0009987i,0.00031772-0.00060303i,-0.00038827-0.00065435i,-0.00066843-0.00043048i,0.00018049+0.00012619i,-3.4973e-05+4.0905e-05i
-0.0011723+0.0015912i,-0.00067443+0.0011044i,-0.00037654+0.0017802i,0.00056835+0.0022471i,0.0022308+0.0012426i,0.00235+0.00036681i,0.0011436-9.4069e-05i,-0.00041596+0.00029529i,-0.0011504+0.0013227i,-0.0007089+0.0014382i,0.00068375+0.0013217i,0.0018643+0.0005008i,0.001397-0.0003262i,0.00091632-0.00051268i,0.00072014+0.00011265i,2.6686e-05+0.00061776i,-0.00063773-8.4414e-05i,-0.00091986-0.00077188i,-0.00029764-0.00076975i,-0.00015724-0.0007661i,-0.0012003-0.00061i,-0.0019253-0.00085558i,-0.0014059-0.00083593i
0.0016+1.9821e-05i,0.0011556-0.0012916i,0.001336-0.0017114i,0.0010725-0.0014884i,0.0011186-0.0011915i,0.00064577-0.00072343i,7.8335e-05-0.00028166i,8.4364e-05+0.00044235i,0.00037788+0.00070071i,0.0009313+0.00029189i,0.00032188-0.00085184i,-0.00073006-0.0016655i,-0.00071834-0.0023449i,-6.7005e-05-0.0025362i,0.00023841-0.0014994i,-0.00055328-0.00018629i,-0.00073154+0.00022553i,-0.00094584+9.6158e-05i,-0.0010965-3.0858e-05i,-8.8701e-05+6.7735e-05i,0.00014288-0.00047669i,-3.8151e-05-0.00089945i,0.00026419-0.00067294i
0.00072311-0.0023897i,0.00087161-0.0018402i,0.0017076-0.0022117i,0.0027949-0.0017473i,0.0035146-6.7864e-06i,0.0029028+0.0011726i,0.0016807+0.00058022i,0.0010052-0.00045788i,0.00059192-0.00027854i,7.982e-05-0.00022788i,-0.00036159-0.0007196i,0.00025412-0.00098954i,0.0004595-0.00058305i,0.00010842-0.0006913i,-0.00043505-0.00075635i,-0.00071823-0.00010688i,-0.0009223+0.00014686i,-0.00040957-0.00044153i,0.00027263-0.00032356i,0.00057026-4.1792e-05i,0.00064929-0.00011631i,5.9375e-07-0.00013731i,-0.00077605-0.00012328i
-0.0011277-0.0010314i,-0.00025723-0.00071322i,-0.00047758-0.00079858i,-7.5865e-05-8.1e-05i,0.0015737+0.0010909i,0.0025877+0.00056219i,0.0022601-0.00087049i,0.0017322-0.0013222i,0.0014242-0.00064921i,7.8517e-06-0.00096529i,-0.0017306-0.0012284i,-0.0020582-0.00025092i,-0.0016404+0.00060112i,-0.0010401+0.00095088i,-0.00041574+0.0011761i,-8.5094e-05+0.001012i,-7.8117e-05+0.00085789i,-0.00069346-0.00016417i,-9.1427e-06-0.0011166i,0.00063259-0.0011112i,0.0005977-0.00066907i,0.00099678-1.4351e-05i,0.00071611+0.00027396i
-0.0024289+0.00014505i,-0.0016748+0.00012454i,-0.00084459+0.00031255i,0.00012088+0.0009559i,0.0017325+0.0017261i,0.0018357+0.0011415i,0.0011626+0.00029908i,-0.00070053-3.318e-05i,-0.0020336-0.00014464i,-0.0016494-0.00029239i,-0.0019245-0.00013402i,-0.0019099+0.00044484i,-0.00059749+0.0012537i,-0.0002422+0.0012864i,-0.0004711+2.6922e-05i,0.00045747-0.00080853i,0.00038907-0.0003208i,-0.00045576-0.00036522i,-0.0012504-0.0010565i,-0.0011942-0.0011954i,-0.00033676-0.00068865i,-0.00039724-0.00033757i,-0.00054014-0.0003229i
-0.0007869-0.0011461i,0.00018286-0.0011387i,0.0012355+0.00018907i,0.0017256+0.00082337i,0.0024174+0.0012938i,0.0033043+0.0012504i,0.0019469+0.00026963i,-0.00090278+0.00015091i,-0.0012603+0.00058625i,-0.00036757+0.00053721i,8.9606e-05+0.00037364i,0.00051133+0.00028486i,0.00087673+2.3322e-05i,0.00084435-1.2714e-05i,0.00078261+0.00035302i,0.00055561+0.00010246i,-0.00018284-0.00049941i,-2.5492e-05-0.00027644i,0.00037964-0.00057232i,0.00046411-0.00013944i,0.00058477+0.00048885i,-6.9386e-05+0.00013017i,-0.00016559-4.6498e-05i
-0.00052245+0.00020446i,0.00036419-0.00054889i,0.0001876-0.0005003i,0.0013862+0.00018098i,0.0032907+0.0001333i,0.0038877+7.3202e-06i,0.0021855-0.00020049i,-8.7157e-05-0.00022717i,-0.00098549+8.2231e-05i,-0.00031444+9.5251e-05i,0.000955+0.00029579i,0.0019552+0.0007854i,0.0018896+0.00073604i,0.00060644+0.00013568i,0.00015348-0.00028935i,0.00041914-0.00027532i,0.00023896-0.00035518i,-0.00028436-0.00070921i,0.00044374-0.00081078i,0.0010589-0.00051138i,0.00015445-0.00041767i,4.3364e-05-0.00056887i,0.00023256-0.00025595i
0.0012639-0.00073941i,0.00096905-0.00021036i,0.00090993+0.00020388i,0.0026199+0.00068349i,0.0037668+0.0015356i,0.0028275+0.00085897i,0.0016415-0.0007185i,0.00069823-0.00029227i,8.8121e-05+0.00063732i,0.00013143+0.0003636i,0.00046111-0.00042084i,-4.8465e-05-0.0014494i,-0.00089517-0.001415i,-0.00047366-0.0010804i,-0.00017412-0.0012047i,-0.00049905-0.0012569i,-0.00023818-0.00093889i,0.00026663-0.00093325i,-0.00015358-0.00037364i,-0.00051326+1.6475e-05i,-0.00027617-0.00019618i,-0.00026032-0.00020785i,0.00059757-0.00092609i
0.00032458+0.0012248i,-0.00011922+0.0011678i,0.00052969+0.001946i,0.0018811+0.0014357i,0.0025354+0.0008995i,0.0019379+0.00040511i,0.0012824+3.3559e-05i,0.0006742-0.00029722i,0.00037987-0.00064293i,0.00050323-0.00018336i,-0.00017787-0.00061275i,-0.00096474-0.0013647i,-0.00087544-0.0009846i,3.8835e-06-0.0004625i,-6.707e-05-0.00016001i,-0.00068598+0.00011903i,-0.00065761-0.00044611i,-0.00067422-0.00073751i,-0.00092394-0.00037722i,-0.00030957-7.2558e-05i,0.00073929+0.00015797i,0.00097843+0.00048637i,0.00044671+0.00030727i
0.0014597-0.0012817i,0.0010001-0.00056848i,0.00026729-0.0010155i,0.00092235-0.00040884i,0.0013442+0.00045116i,0.0014686+0.00016796i,0.0017948-0.00016199i,0.0014583-0.00052603i,0.00095251-0.00065408i,0.00031137-0.0012715i,-0.00098301-0.0012362i,-0.0018239-0.00020503i,-0.0019698+0.00040232i,-0.0016992+0.00013908i,-0.00087722-0.00048254i,6.6231e-05-0.00064001i,0.00034306-0.00040349i,0.00031289-0.00062577i,0.00066288-0.0010827i,0.00048265-0.00070517i,-0.00034405-0.00045945i,-0.00033536-0.00013445i,-0.00016435+0.00025631i
0.0013497+0.00063581i,0.0011778+0.00067694i,0.0021182+8.322e-05i,0.0022487-0.00035711i,0.0024936-0.00061949i,0.0029375-0.00014465i,0.0016466-0.0003927i,-0.00018814-0.0016629i,-0.00089228-0.0019601i,-0.0014348-0.0007858i,-0.0012555+0.00063309i,-0.00054453+0.0014357i,4.6144e-05+0.0012644i,0.00062704+0.001022i,0.00031649+0.0011854i,0.00036531+0.00035864i,0.00067413-0.00033049i,-0.00010726-0.00066639i,-0.00037694-0.00080109i,-0.00020067-0.0006872i,-0.00056788-0.00061703i,-0.00093351-0.00072918i,-0.00033744-0.00078926i
0.0020834-0.00081675i,0.0013834+0.00014464i,0.0021961+0.00046933i,0.003035+0.00092669i,0.0033308+0.00058205i,0.0015838-7.7489e-06i,-0.00022856+0.00011021i,-0.0010769+0.00023397i,-0.001352-0.00046167i,-0.00055027-0.0012847i,0.00044064-0.00038936i,0.00055028+0.0005845i,0.00018562-7.8859e-05i,-6.9995e-05-0.00031564i,-0.00019594-5.7457e-05i,0.00044026-0.00036423i,0.000579-0.001351i,-1.5998e-06-0.0010833i,-0.00046585-0.00045198i,-0.00072566-0.0001322i,-2.832e-05+0.00035384i,0.00061297-0.00015978i,-8.2817e-05-0.00095182i
-0.0022265-0.00046005i,-0.0025476+0.00074348i,-0.0027268+0.001883i,-0.0012777+0.0015259i,0.00055272+0.0012654i,0.0013578+0.00080559i,0.0014619+0.0005261i,-0.00023895+0.00094668i,-0.001883+0.0014084i,-0.00076501+0.00139i,0.00091206+0.00052022i,0.0013811-0.00025468i,0.0014295-0.00017933i,0.00084991-0.0001678i,0.00023015-0.00016239i,-0.00028608-0.00031735i,-0.00068146-0.00050531i,-0.00049-0.0002712i,-0.00061151+3.9025e-05i,-0.00072948-0.00018286i,-0.0011351-0.00030291i,-0.0010613-0.00067084i,-0.00056555-0.00066155i
0.0011818-0.0035657i,0.0012621-0.00343i,0.00024192-0.003113i,-3.6873e-05-0.0020607i,0.0012358-0.00020681i,0.0025869+0.00037653i,0.0026283+0.0013647i,0.00086613+0.0024404i,-0.00025554+0.0017915i,0.00027062+0.00092513i,0.0002803+2.9859e-05i,-0.00030812-0.0011977i,-0.00076709-0.0017695i,-0.0014504-0.0016422i,-0.0016636-0.00062379i,-0.00063077+0.0003953i,0.00024903-0.00042181i,-1.2518e-05-0.00041842i,-0.00063835+0.00083826i,-0.00061252+0.00095177i,-0.00088521+0.00025201i,-0.0011728+1.7374e-05i,-0.00078978-0.00024885i
0.00012468+2.3581e-05i,-0.00026251-0.00026628i,-0.00046273-0.00066156i,0.00021702+0.00037237i,0.0013789+0.0010305i,0.0023105+0.00086507i,0.0018295+1.8551e-05i,0.00069875-0.00046852i,0.0010808-4.8487e-05i,0.0018159+0.00060849i,-0.00039325-0.00039885i,-0.0023815-0.0021147i,-0.0023734-0.0012212i,-0.0017745-0.00010024i,-0.00094846+0.00042961i,-0.00027999+0.00049151i,0.00058242-0.00032914i,0.00052153-0.00045464i,-7.9394e-05-0.00014929i,-0.00026125+0.00029575i,0.00048298+0.00017647i,0.0007129-0.00024021i,0.00035111-0.00013654i
0.00052064-0.0023261i,-0.00070335-0.00085235i,0.00088965-0.0005216i,0.0016651+0.00034949i,0.0016006+0.0014626i,0.0025102+0.0013222i,0.0028096-0.00053788i,0.0018193-0.0016005i,0.00044494-0.0013238i,-0.00014218-0.0018014i,-0.00051497-0.0020376i,-0.00098771-0.0007808i,-0.0014891-0.00044928i,-0.0014007-0.00010305i,3.0788e-05+0.00051293i,0.0012043+0.00055968i,0.00071327+0.00022072i,-0.00041956-0.00016841i,-0.0010068-7.8355e-05i,-0.00054146-0.00039953i,0.00012551-0.00017679i,0.00033766-0.0002109i,0.00038075-0.0003668i
-8.4644e-05+0.0014066i,0.0010547+0.0010105i,0.0010774+0.0011751i,0.0014249+0.00098536i,0.0022101+0.00095065i,0.0020479+0.0010127i,0.0014095+0.00062417i,0.00049593-0.00019364i,-0.00049956-0.00080779i,-0.0012184-0.00078777i,-0.0011484+0.00011096i,-0.000707+0.00072931i,-0.00050187+0.001022i,-0.00047445+0.0012097i,-0.00055326+0.00049675i,-0.0003961-0.00074489i,-0.00033462-0.0011047i,-0.00024539-0.00069922i,-0.00014557+0.00032595i,-5.4998e-05+0.00059099i,0.00019985-0.00024493i,0.00036629-0.00073958i,0.00055463-0.00060099i
0.0030622-0.00058704i,0.0026523-0.0011705i,0.0039858-0.0019146i,0.0042016-0.0012459i,0.0032209-0.00028558i,0.0019011+0.00045368i,0.00080101+0.00025731i,-0.0013853-0.00080165i,-0.0030859-0.0016314i,-0.0035165-0.0011927i,-0.0026321-0.0002479i,-0.00034487+0.00037549i,0.0015514+0.00047028i,0.0010978+0.00041588i,0.00048432+0.00071547i,-2.0623e-06-7.4217e-05i,-0.00039936-0.00097664i,-0.00013501-0.0010271i,-0.00057458-0.0010629i,-0.00040055-0.00090157i,-0.00022274-0.00033145i,-0.000648-0.00028631i,-0.00077023-0.00042502i
0.0013911+0.00085474i,0.0015135+0.0019982i,0.0028745+0.0015321i,0.0030695+0.00068518i,0.0039396+3.1911e-05i,0.0028615-0.0010638i,0.00094655-0.0011836i,-0.00058755+0.00010978i,-0.001089+0.0010945i,-0.00072555+0.00067217i,0.00035034+0.00014316i,0.0010817-0.00083813i,0.00066665-0.0015558i,0.00032971-0.00036582i,-0.0002946+0.00070059i,-0.00026078-3.6854e-05i,8.3116e-05-0.00013027i,-7.2873e-06+0.00033527i,-7.8729e-05-0.0001148i,-0.00047133-0.00066805i,-0.0009707-0.00065328i,-0.00073926-0.0004858i,-0.00039706-0.00071824i
-0.00089474-0.0028347i,-0.0010031-0.0016789i,-0.00061224-0.0010303i,-0.00079114-0.00063351i,-0.00018153+0.0008675i,1.7893e-05+0.0014415i,-0.00047065+0.00051956i,-0.00057904+0.00029203i,-0.00023575+0.0011924i,0.00063725+0.0015948i,0.0010759+0.00071154i,0.00043023-0.00064786i,-5.1492e-05-0.001106i,-0.00041521-0.00054221i,-0.0015554-0.00057103i,-0.0019288+1.3244e-06i,-0.00057098+0.00029008i,8.0455e-05-0.00018964i,-0.00018594-0.00072478i,-0.00045009-0.0012785i,0.00018535-0.0010566i,0.00049295-0.0003084i,0.00065591+0.00016113i
0.00041198-0.00056989i,0.0010916-0.00040338i,0.00071756-0.00079235i,0.0015733-0.00029838i,0.0023583+0.00019995i,0.0018348-0.00018158i,0.001187-0.00031313i,0.0009848+0.00025063i,0.0011648+0.00039425i,0.0013839-6.2218e-05i,-4.9968e-05-0.00015525i,-0.0013702+0.00026004i,-0.00087147+4.9239e-05i,-0.00040079+0.00028666i,-0.00069922+0.0007393i,-0.00052948+0.00067705i,-0.00059525+0.0005285i,-0.0006521+0.00012671i,-0.00028275-0.00011506i,8.6492e-05+0.00057202i,-9.5507e-05+0.00094207i,-0.00061153+0.00065975i,-0.00083816-8.215e-05i
0.00080902+0.00042833i,0.0012507+0.0012813i,0.0024431+0.0016102i,0.004023+0.0011101i,0.0046195+0.001155i,0.0034545+0.0015063i,0.0020321+1.987e-05i,0.0013313-0.0004825i,0.0013025-0.00080224i,0.0004113-0.0018703i,-0.001662-0.0014825i,-0.0023098-0.00018854i,-0.0015978+0.00069429i,-0.00038474+5.1755e-05i,-0.00026613+6.6885e-05i,-0.00039211+4.5855e-05i,7.5836e-05-0.00067678i,3.7017e-05-0.00048251i,-0.00045773+0.00035001i,-0.00076775+0.00010021i,-0.00027619-8.1092e-05i,-2.2259e-06-0.00033971i,-0.00036565-0.00099829i
-0.0013076-0.0011408i,-0.0009282-0.00029796i,-0.0014157+0.00018223i,-0.00099767+0.00053341i,0.00077535+0.0007285i,0.0025303-0.00036999i,0.0017973-0.0015155i,-0.00035406-0.001334i,-0.001465-0.0012455i,-0.0016475-0.00096024i,-0.0016201+0.00051154i,-0.00070277+0.00026994i,0.0004467-0.0004434i,0.00052087+0.00027071i,-5.4178e-05-8.9764e-05i,-0.00020013-0.00092417i,-0.00026934-0.00079048i,-0.00080488-0.0002443i,-0.0010274-4.0643e-05i,-0.00071082-0.00057021i,-0.00057899-0.0010498i,-0.00039998-0.00098735i,-0.0005936-0.0011031i
-0.0015592+5.1953e-05i,-0.00024977+0.00051924i,0.0005916+0.001492i,0.001342+0.0023342i,0.00251+0.0019738i,0.0034674+0.0010035i,0.0027692-9.5428e-05i,0.00074974-0.00038772i,-0.0010871-0.00020143i,-0.0022342+0.00047596i,-0.0014634+0.00068905i,0.0003755+8.5811e-05i,0.00074557-0.00013421i,0.0010206+0.00084888i,0.0012876+0.0011196i,0.00092767+0.00053498i,0.00023796+0.00024874i,-0.00036904-8.6659e-05i,-0.00013537+0.00051256i,8.4224e-05+0.00064907i,0.0004478+0.00027286i,0.00034353+0.00063141i,5.3909e-06+0.00048038i
-0.00077826+0.00070706i,0.00018455+0.001089i,0.0010879+0.0017166i,0.0019223+0.0020815i,0.0025598+0.0024856i,0.0021216+0.0021688i,0.00081062+0.00091604i,-7.003e-05+0.00041276i,-0.00032867+0.0017943i,-0.00069894+0.0020741i,-0.00088415+0.00092321i,-0.00073543-0.00044483i,-0.00066913-0.0011411i,-0.00046652-0.00055733i,7.7708e-05-0.00070081i,0.00066153-0.00050833i,0.00075778+0.00017048i,-7.8115e-05+0.00012959i,-0.00067489+1.6192e-05i,-0.00017666-0.00093392i,0.0003594-0.00084284i,9.7925e-05+0.0001008i,-0.00071277+0.00051245i
0.0009111+0.00027077i,0.00072102+6.6768e-07i,0.00098724+0.0016874i,0.0022723+0.0025803i,0.00388+0.0018328i,0.0031605+0.00072226i,0.00029322+0.0003065i,-0.0014828-0.00015426i,-0.00070646+8.4679e-05i,0.0011605+0.00037885i,0.0012713+0.00041292i,-0.00077164+0.00048711i,-0.0020767+0.000369i,-0.00079579+9.5803e-05i,-0.00026456-0.00049291i,-0.00022741-0.00041627i,0.00045929+0.00016624i,-5.551e-05+0.00018478i,-0.00041873-6.3115e-05i,-0.00051851-0.00010123i,-0.00049468-9.4434e-06i,-0.00031718+0.00021624i,-0.00055946-0.00019956i
-0.00081804-0.0023645i,-0.00070896-0.0017615i,0.00063349-0.0020663i,0.0016263-0.0015195i,0.0016864+8.5944e-05i,0.0017833+0.00083212i,0.00039472+0.00044701i,-0.0016227-0.00014896i,-0.0012383-0.00063037i,0.0006879-0.00091087i,0.0010754-0.00018788i,6.8569e-05+0.00095063i,-0.00038352+0.00071429i,-0.00033888-1.928e-05i,-0.00017693+0.00048498i,-0.00047156+0.00027042i,-0.00081566-0.00082906i,-0.00054774-0.0012919i,0.00014221-0.0016025i,-0.00011001-0.00048312i,-0.00060568+0.00025465i,-0.00036714+0.00038497i,-0.0001596+0.00064276i
-0.00053869-0.001644i,-0.00023393-0.0014482i,-0.00075704-0.0014944i,0.00017634-0.00062505i,0.0014016+9.2941e-06i,0.0019874+0.00075728i,0.0018285+0.0020681i,0.00031779+0.0021582i,-0.00035613+0.00066367i,-0.00047889-0.00020255i,-0.0010332+0.00031813i,-0.00083778+0.0010816i,0.0004162+0.0012869i,0.00058962+0.0006642i,-2.1682e-06+0.00021354i,0.00082872+2.7407e-05i,0.0013789-0.00055636i,0.00067399-0.00038627i,-0.00044054+9.8691e-05i,-0.00023784+8.6411e-06i,0.00036625-0.0004058i,0.00048098-0.0012657i,0.00041922-0.0017091i
0.00046181+0.00031689i,0.00096303+0.00050258i,0.0010594+0.00023186i,0.0019367+0.0011507i,0.0029105+0.0019906i,0.0033358+0.0011981i,0.0034089+0.00026322i,0.0022804-2.5309e-05i,0.00049252+1.3978e-05i,-0.0012413-0.00055721i,-0.0015602-0.0009829i,-0.00050951-0.00075705i,-8.2222e-06-0.0011159i,-2.5959e-05-0.0011669i,-5.5088e-06+2.5497e-05i,-2.2419e-05+0.00057193i,-0.00070442+0.00011147i,-0.0011608-7.1716e-05i,-0.00088191+0.00010346i,-0.00039689+0.00014247i,0.00021557+0.00013207i,0.0005065-0.00058563i,0.0003974-0.00075949i
