-0.00080722-0.00088551i,0.00028662-0.001975i,1.7436e-05-0.00067822i,0.00039815+0.0004742i,0.0012168+0.0010335i,0.00098366+0.0010372i,0.00045054+0.00054339i,0.00093227+0.00041578i,0.0015604+0.00068879i,0.0017956+0.0010042i,0.0015633+0.00090259i,0.00056999-0.00021993i,-0.00025437-0.00055863i,-0.00059297-0.0004104i,-0.00064531-0.00014376i,-0.00016888+0.00010509i,-0.00026023-0.00057295i,-0.00041312-0.00027387i,9.9212e-05+0.00016198i,0.00031616+0.00021499i,-0.00013501-0.00033927i,-0.00040286-0.0010217i,-0.00030152-0.00082376i
-0.0010329-2.7648e-05i,-0.00067399+0.0012196i,0.00011954+0.0018281i,-2.0414e-05+0.0016008i,-6.7755e-05+0.00025631i,0.00014537-0.00087339i,0.00018743+1.6641e-05i,-1.8306e-05+0.001307i,0.00074121+0.0014283i,0.0015774+0.0012316i,0.00079797+0.001367i,0.00026001+0.00078595i,0.00045195-0.00043751i,0.00078281-0.00089924i,0.0007297+0.00029906i,0.00012225+0.0013295i,0.00044016+0.0010103i,0.0009012+0.00013315i,0.00040684-0.00095661i,-0.00039336-0.00091961i,-0.00080316+0.00060335i,-0.0005785+0.00087589i,-0.00037738+0.00052665i
0.0014594-7.2236e-05i,0.00096252+0.00057368i,0.00035956+0.0014161i,0.00060428+0.0013298i,0.00078566+0.00096985i,0.00051989+0.00014553i,0.00067877-0.00022071i,0.001485-0.00029419i,0.0016926+2.8982e-06i,0.00091225+0.0003032i,0.0013078-0.00040275i,0.0017249-0.00067343i,0.00087778-0.00055151i,0.00053592+3.1913e-05i,0.00040451+0.00045459i,-0.00033092+0.00052283i,-0.0009098+0.00012012i,-0.00079809+0.00041062i,-0.00033251+0.0013963i,-7.9029e-05+0.00083433i,-0.00025733-0.00030607i,-0.00028883-0.00087626i,0.00042445-0.00095705i
-0.0013292+0.00051493i,0.00017822+0.0013397i,0.00074127+0.00055321i,0.00029291+0.00094662i,0.00045896+0.0013954i,0.00064291+0.00094144i,0.00099304+0.00056199i,0.0011375-0.00055321i,0.00024533-0.0015638i,-0.00053361-0.001499i,0.00023487-0.00081693i,0.00097809-0.00046062i,0.0005631+5.4863e-05i,0.00029611+0.00028458i,8.0876e-05+0.00084031i,-0.0001688+0.00083162i,-0.00013996+0.00021203i,-0.00023663+0.00028978i,-0.00085622-0.00022765i,-0.00084322-0.00085008i,-4.5371e-05-0.00025236i,0.00030477+0.00056878i,-0.00039167+0.00039839i
-0.00047593-0.0014093i,-0.00049275-0.00033956i,-0.0018311+0.00063296i,-0.0014028+0.0011162i,-0.00094631+0.00029583i,-0.00052002-0.00098162i,0.00017873-0.0009035i,3.8209e-05-0.00065428i,2.3401e-06-0.00055646i,0.00010259+0.00012651i,-0.00035858+0.001258i,-0.00098312+0.0012711i,-0.0008786+0.00013805i,-8.3293e-05-0.0003735i,7.9506e-05-5.019e-05i,7.4359e-06+1.4046e-05i,2.1792e-05+0.00059531i,-0.00051806+0.0010232i,-0.00057801+0.00085164i,-0.00032597+0.00099256i,0.00059404+0.00083338i,0.00087977+0.00075143i,-0.00055356-0.00030945i
0.0018748+0.0010666i,0.0015633+0.0012093i,0.0015195+0.00080129i,0.00090656+0.00029389i,0.00050953-7.711e-05i,-0.00045516-4.3483e-05i,-0.00109-0.00047873i,-0.00072598-0.00040122i,-0.00066663-0.00053211i,-0.00093203-0.00088506i,-0.0013241-0.00038712i,-0.0012766-0.00041503i,-0.0004682-0.00027064i,0.00017301+0.00025365i,0.00045588+0.00075413i,-6.3679e-05+0.00061625i,0.00038928+0.00030525i,0.0013623+0.00081937i,0.0013487+0.00091636i,0.00074564+0.00078923i,0.00016363+0.00093116i,8.9914e-05+0.00035592i,0.00033531+8.0924e-05i
-0.0024444-0.00098406i,-0.0019394-0.00044088i,-0.0022693+0.00023314i,-0.0019978+0.00065381i,-0.00049334+0.0015828i,0.00075451+0.0016451i,0.0007406+0.00052567i,-0.00045561+0.00062938i,-0.0015641+0.0011499i,-0.0020121+0.001124i,-0.0011551+0.0015492i,0.000431+0.0012508i,0.0011471+0.0008986i,-0.00024311+0.00021209i,-0.00063789-0.00090664i,-0.00042853-0.00033507i,-0.00090652+0.00027585i,-0.00071246+0.00022727i,-0.00019847+0.00017441i,-0.00025532+0.0004092i,-0.00027606+3.9607e-05i,0.00031105-0.00051752i,1.6819e-05+2.6164e-05i
0.0011111-0.00018365i,0.0013559+0.00079264i,0.0017754+0.00098782i,0.0022982+0.0004025i,0.0014058-0.00010916i,-0.00022071-0.00085006i,-0.00045376-0.0002743i,-7.1991e-05+0.001313i,0.0002009+0.0018769i,0.00064234+0.0015246i,0.00065648+0.0011738i,3.4707e-06+0.0010125i,-0.00012291+0.00089i,-0.00034509+0.00048788i,-0.00086412+0.0003977i,-0.00013933-3.3416e-05i,0.00063558-0.00034666i,0.00046792-4.8602e-05i,-0.00020128+0.00019115i,-0.00016027+0.00029144i,-0.00014396-9.3601e-05i,0.00025625+6.3562e-05i,0.0011803+0.00092256i
0.00078416+2.3968e-05i,-0.00064399+0.00039027i,-0.00075496-2.8244e-05i,-0.00097082+0.0004097i,-0.0011042+0.0006559i,-8.0525e-05+0.00098584i,0.001516+0.0019769i,0.0022655+0.0021388i,0.0022193+0.0013432i,0.0016065+0.00091605i,0.00034324+0.00087029i,-2.3376e-05+0.00045207i,-0.00040041-9.3116e-05i,-0.0005086-0.00020635i,2.5922e-05-0.00030936i,0.00044664-0.0001241i,0.00072575+0.00055922i,0.00030391+0.00099883i,-0.00046767+0.00056652i,-0.00075288+0.00031783i,-0.00044513+0.00025712i,0.00010805+0.00028838i,0.00019745+0.00045445i
0.00017039+0.00042661i,-0.00043519+0.00057484i,-0.0006579-0.00026318i,0.00053815-0.0004243i,0.00083727-0.00083573i,-8.8727e-05-0.0010197i,1.8658e-05-0.00063356i,0.00077284-0.00020028i,0.00091207+0.00030699i,0.00097753-0.00087425i,0.0005869-0.0019564i,0.00073196-0.0016433i,0.00035828-0.00066299i,-6.8214e-06+0.00055386i,-6.6824e-05+0.00079037i,-0.00064499+0.00068544i,-0.0012077+0.00030941i,-0.0015534-0.0006823i,-0.0012513-0.0005148i,-0.0005479+0.00058263i,6.4626e-05+0.00050767i,0.00020316+6.6023e-05i,3.5634e-05+0.00015672i
1.3957e-05+0.0012482i,0.00038987+0.0029707i,0.00072487+0.0031821i,-0.00060906+0.0020288i,-0.0022798+0.0010156i,-0.0023971+0.00014525i,-0.0010244-0.00067272i,0.00033357-0.0012386i,0.00019032-0.002238i,0.00022826-0.0020043i,5.928e-06-0.0011456i,-0.00011752-0.00056075i,-0.00045459-3.7363e-05i,-0.0002556+0.00074786i,6.7402e-05+0.00056648i,-0.00012104+5.1402e-05i,-0.0005157+0.0001596i,-0.0005731+1.6311e-05i,-0.00020668+9.486e-06i,9.4949e-05+0.00011104i,0.00018443-0.00030509i,8.7416e-05-0.00054165i,-0.00041957-0.00026177i
-0.0001775-0.0004859i,-0.00042904-0.00046807i,-0.00015551-0.00017452i,0.00094603+1.0129e-05i,0.0020921-0.00017851i,0.0022923-0.0011266i,0.0012659-0.0018959i,0.00011675-0.0020571i,-0.00043137-0.0011485i,-0.0010019-0.00021728i,-0.00091808+0.00086358i,-0.00074238+0.00090086i,-0.00027851+2.0667e-05i,-0.00014889+6.5086e-05i,-0.00063566+0.00080301i,-9.7296e-05+0.0010775i,0.00058458+0.00015149i,0.00035694+4.419e-05i,-0.00017493+0.00031096i,0.00041153+0.00019028i,0.00043402+0.00042059i,6.6474e-05+0.00068896i,0.00021592-3.7396e-06i
0.00030564+0.0018189i,-0.00032655+0.001953i,-0.00044706+0.0021541i,-0.00016157+0.0017759i,0.00013594+0.00092174i,0.00016387+0.00031935i,-0.00030051+0.00065377i,-0.00091379+0.0011805i,-0.0017667+0.0014754i,-0.001702+0.0015669i,-0.0010666+0.00092177i,-0.00099346-0.00048671i,-0.00041054-0.00047015i,0.0003203+0.00052435i,0.00058586+0.00076053i,0.00062904+0.00087869i,-0.0001826+0.0003396i,-0.00039359-0.0007279i,0.00049594-0.00092725i,-0.0004684-0.0005273i,-0.00098274-0.00064331i,-0.00042076-0.00029643i,-0.00014856+3.7927e-05i
-0.001125+3.8433e-05i,-0.00092068+0.00087118i,-0.0010439+0.0025603i,-2.0831e-05+0.0020347i,0.0005994-9.6798e-05i,-0.0002353-0.0012749i,-0.0010451-0.00091735i,-0.00092966+8.3017e-05i,-0.00035704+0.00048457i,-8.3448e-05+0.00055098i,-0.00018247+0.00031225i,0.00022154-0.00018927i,0.0011237-1.8978e-05i,0.00080397+0.00045101i,-0.00012173+0.00013739i,-0.00088525-0.00019992i,-0.00033831-0.00039037i,9.3516e-05-0.00055759i,5.8179e-05-7.4937e-05i,-0.00022506+0.00041804i,-0.00072101+0.00027635i,-0.00037618-0.00027001i,0.00088904-0.00042162i
0.002883+0.00026613i,0.002394+0.00034146i,0.0023365-0.00027633i,0.0017512-0.0010931i,0.00028925-0.0013684i,-0.00066004-0.00060143i,0.00032622+0.00071294i,0.0018784+0.00095716i,0.0023948-4.0377e-05i,0.0019893-0.00030062i,0.0015493+0.0008467i,0.00080159+0.0012622i,1.7217e-05+0.0010061i,7.7124e-05+0.0011267i,3.5213e-05+0.00096328i,0.00018697+0.00099719i,0.00089809+0.0014022i,0.00067079+0.0011349i,0.00054633+0.00028629i,0.0015669+0.0002133i,0.0017445+0.00022371i,0.00065927-0.00026431i,-0.00011561-0.0005496i
-0.0020993+0.0013664i,-0.0021231+0.0014934i,-0.00075195+0.0018899i,0.00067767+0.0008608i,0.0011213-1.4715e-05i,0.00099033-0.00063445i,0.00056322+0.00015419i,0.00088567+0.0012513i,0.001673+0.0012813i,0.0018969+0.0011375i,0.0017203+0.0013234i,0.00089087+0.0012063i,-0.0004641+0.00055344i,-0.0010225-0.0003022i,-0.00080614+0.00014222i,-0.00036453+0.0010173i,-0.0001334+0.00039682i,-0.00053857-0.00038605i,-0.00069373+0.00051068i,-0.00013949+0.0013511i,0.00029124+0.00060765i,0.00027601-0.00050729i,0.0002094-0.00050001i
0.00019755+0.00036946i,0.00032168+0.0012929i,0.00057201+0.0017513i,0.0006049+0.0012657i,0.0003275+0.00015063i,0.00033824-0.0010753i,0.00037263-0.0015558i,0.00070802-0.0010241i,0.00061354-2.9024e-05i,-0.00026798+0.00025439i,-0.00014515-0.00046196i,0.00046623-0.0011504i,0.00073051-0.0008048i,0.00051234-0.00068124i,0.0008249-0.00090121i,0.00055667-0.00054636i,-1.1666e-05-0.00072373i,-0.00029645-0.00043892i,-0.00063942+0.00034938i,-0.00046597+0.00053332i,-0.00010433+0.00041277i,3.6691e-05-0.00049186i,-0.00033389-0.00082167i
-0.00030565+0.0016457i,-0.00095494+0.0016701i,4.9978e-05+0.00094343i,0.00054567+0.00059213i,0.00076943-0.0009886i,0.00062388-0.0015401i,0.00109-0.0011785i,0.0015839-0.0013934i,0.0011571-0.0023086i,0.00080435-0.0031028i,0.00066755-0.002817i,0.0010178-0.0010478i,0.00084113-0.00017467i,0.00011337-0.00011598i,-0.00020516+0.00056746i,-0.00011388+0.0013873i,-0.00021137+0.0010063i,-0.000964+3.0283e-06i,-0.001168+3.6075e-05i,-0.00059642+0.00063207i,-0.00020368+0.0010011i,2.9832e-05+0.00050194i,3.2911e-05+0.0006518i
-0.00044274-0.0011836i,-0.00031526-0.0006564i,-0.00036297+0.00021779i,1.83e-05+0.0007718i,0.00038235+0.00043838i,-4.9967e-05+0.00020646i,-0.00027424-0.00061821i,4.0488e-05-0.0011672i,-1.8834e-05-0.00083601i,0.00045982-4.3045e-05i,0.0010544+0.0011548i,7.7601e-05+0.0020683i,-0.00073134+0.0014864i,-0.00083202+0.00064392i,-0.00049167+0.00023155i,0.00016526+0.00038036i,6.0273e-05+0.00077359i,-0.00035622+0.00080933i,-0.00010832+0.00079227i,0.00054363+0.00058506i,0.00047633+0.00024115i,0.00042276-0.00010602i,0.0011074-0.00047712i
0.0012069+0.002547i,0.0017002+0.0020635i,0.0019489+0.0016105i,0.0007045+0.00115i,-0.00050709+0.0002259i,-0.0010213-0.00029075i,-0.0010737-0.00073296i,-0.0016597-0.00052367i,-0.0023726+0.00058947i,-0.0023993+0.0016332i,-0.002569+0.0012473i,-0.0021757+3.6773e-07i,-0.0011455-0.0009254i,-0.00026405-0.0013023i,0.00041714-0.00069055i,3.8535e-05+0.00084157i,-0.00028878+0.0011318i,-0.0005184+0.0004835i,-0.00028115+0.00017654i,0.00024263+0.0001456i,0.00014597+0.0001962i,-5.3166e-05+5.4231e-05i,5.388e-05+0.00077196i
0.00095626-0.0020301i,-0.0002071-0.00122i,-0.0011996-0.0002149i,-0.00010736+7.1086e-05i,0.00090074-0.00044498i,0.00060489+0.00011997i,0.00029448+0.0010491i,-0.00040699+0.0010897i,-0.0014039+0.00056085i,-0.0022827-0.00013061i,-0.0019277-0.00058386i,-0.00054281-0.00078963i,0.00053036-0.00050984i,0.00078246-3.4065e-05i,0.00071012+7.9958e-06i,0.00064216+0.00023759i,0.00010302+0.00039206i,-0.00041367+0.00011843i,-0.0002675-0.00011648i,-9.2139e-05-6.0379e-05i,-0.00030102+0.00039432i,0.00041665+0.00019939i,0.0007441+8.0335e-05i
0.0028593+0.0011435i,0.0020885+0.0014899i,0.0018644+0.00038589i,0.0020721-0.00091293i,0.00086497-0.0013001i,-0.00076258-0.00057047i,-0.0010687+0.00038092i,-0.00055573+0.001318i,0.00084067+0.0016628i,0.0021071+0.0014112i,0.001688+0.00096992i,0.0011413+0.0011778i,0.00050093+0.0015705i,-0.00021146+0.0011812i,-0.0002133+0.00073247i,0.00020481+0.0003945i,0.00010186+0.00037186i,-0.00052644+0.00038815i,-0.00024364+0.00022625i,-2.2938e-06+0.00057133i,-0.00091223+0.00019756i,-0.0011207-0.00053707i,-0.00064543-0.00069451i
-0.0027958+0.00052641i,-0.0031079+0.0028635i,-0.0025816+0.0027291i,-0.0016495+0.0022009i,-0.00035414+0.0015879i,0.00025281+0.00021224i,-1.7876e-05+0.00022357i,0.00047126+0.0013503i,0.0018685+0.0021759i,0.001954+0.0031334i,0.00066301+0.0037437i,0.00040654+0.002681i,0.00055268+0.00098614i,-0.00012155-2.6437e-05i,-0.00064326-0.00094355i,-0.00012903-0.0012576i,-0.00010096-0.00074395i,-0.00010428-0.00073941i,-0.00037239-0.00075437i,-0.00051565-0.00043516i,-0.00010936-0.00026961i,-0.00018243-0.00049823i,-0.00020345-0.00050841i
0.0015374-0.0018654i,0.0013187-0.00079609i,0.00083429+0.00047789i,0.00077208+0.00083544i,-1.3733e-05+0.00039953i,-0.00057505+0.00026306i,0.00015787+0.00058125i,0.0010181+0.00045688i,0.0015727-0.00046845i,0.0010043-0.0013609i,4.5039e-05-0.0017676i,0.00021254-0.0016465i,0.00031336-0.0011943i,0.00061595-0.00039509i,0.000251+1.8972e-05i,0.00042988-0.00022496i,0.00048367-0.00023416i,0.00014942-0.00029945i,-0.00019369-0.00064756i,-0.00011816-0.00046628i,7.1325e-05+9.8278e-06i,-0.00024484-0.00059747i,-0.00031852-0.00056274i
-0.00054621+0.0010312i,-0.0010603+0.0016162i,-0.00064443+0.0014536i,0.00020756+0.001252i,0.00035069+0.00087822i,0.00013388+0.00047789i,0.00025068-4.8438e-05i,0.00085889-0.00098258i,0.0013872-0.0021764i,0.0012262-0.0027215i,0.00139-0.002264i,0.0020685-0.0015958i,0.0020828-0.00040877i,0.0012626+0.0011535i,-7.2855e-05+0.001684i,-0.00011768+0.0013373i,0.00033992+0.00080005i,-0.00029185+0.00028579i,-0.00098193-8.412e-05i,-0.0010463-0.0008684i,-0.00056966-0.0011269i,-0.00091684-0.00094782i,-0.00074897-0.00045498i
-0.0019799-0.00045323i,-0.00084587-0.00080957i,0.00056545+0.00068409i,0.0019859+0.00084938i,0.0028925+0.00018594i,0.0017513-0.00051914i,2.8411e-05-0.00148i,2.0396e-05-0.0015592i,0.00053452-0.00035165i,0.0010031+0.0010645i,0.0014261+0.0016176i,0.0010734+0.0011826i,0.00038224+0.0005352i,-7.2686e-05+0.0001878i,-0.0010922-0.00014973i,-0.00098504-1.2363e-05i,5.5528e-05-1.6129e-05i,-0.00011175-0.0005093i,-0.00038638+0.00025663i,8.4084e-05+8.1427e-05i,8.7484e-05-0.00064669i,0.00017955-0.00022109i,0.0008091+8.2048e-05i
0.0012417+0.000827i,0.0014502+0.0009655i,0.0015187+0.0014458i,0.00033382+0.001503i,-0.0010663+0.00065916i,-0.00052512-0.00060599i,9.1488e-05+8.7164e-05i,-0.00038307+0.0014163i,-0.0012595+0.0020964i,-0.0023344+0.002167i,-0.002903+0.0018455i,-0.002974+0.00093296i,-0.001935-0.00039903i,-0.00095856-0.00087427i,-0.0001279-0.00072205i,0.00074605-0.0003698i,0.0011472-0.00060275i,0.00086605-0.0005549i,0.00039254+0.00026462i,5.9028e-05+7.8514e-05i,-0.00046015-8.7952e-05i,-0.00040939+0.0011095i,-0.0001201+0.0014102i
-0.0010727+0.00035051i,-0.0018237-0.00024578i,-0.00051594-3.6707e-05i,0.0014115+4.0639e-05i,0.0022246-0.00027826i,0.00069473-0.0010918i,-0.0014866-0.00047048i,-0.0014142+0.00072703i,-0.00029131+0.0010854i,-3.7954e-05+0.00019949i,-0.00044025-0.00157i,-0.00064594-0.0021754i,-9.3227e-05-0.0015965i,0.00058245-0.00041088i,0.0011524+0.0001375i,0.0010587+0.00036273i,0.00018733+0.0011379i,-0.00084968+0.0017404i,-0.0012146+0.0016398i,-0.00031694+0.00066259i,0.00045316-0.00042176i,0.00011843-0.00049455i,-0.00037159-0.00063106i
-0.00053226-0.00050559i,0.00011269+0.0004722i,-0.00053001+0.0021083i,0.00010253+0.0030055i,0.0010338+0.0026859i,0.0011539+0.00085998i,0.00015057-0.00064085i,-0.00087479-0.00032229i,0.0001621+0.00055857i,0.0026092+0.0018993i,0.0045271+0.0023526i,0.0034176+0.0019478i,0.00073982+0.0012722i,-0.00028557+0.00070484i,-0.00049581+0.00024131i,-0.00018055-0.00017417i,-0.0010867-3.6575e-06i,-0.0015161+0.00042054i,-0.00070219+0.00041225i,-0.00079505-0.00072393i,-0.0003209-0.0015072i,0.00045284-0.0009766i,0.00014919-0.00021505i
-0.0025616+0.0015982i,-0.0016847+0.0024127i,-0.00083594+0.0032415i,-0.00042546+0.0023663i,0.00077544+0.00012438i,0.0017653-0.00062472i,0.0017092-0.00053512i,0.0018505-0.00022065i,0.001986+0.00084018i,0.0014956+0.0022272i,-6.239e-05+0.0029627i,-0.0013448+0.0022614i,-0.0014+0.0011158i,-0.0010625+0.00034471i,0.00010478-0.00018398i,4.286e-05-0.00072753i,0.00030072-0.00051782i,0.0012516-0.00084444i,0.0009588-0.0011976i,0.00049002-0.0005062i,-0.00029479-0.00028404i,-0.00088415-0.000336i,-0.0011369-0.00083455i
0.00094839+3.9589e-05i,0.00079761-0.00054022i,0.00027808+0.00056799i,6.4663e-05+0.0014332i,0.00043499+0.00095914i,0.0003533-0.00044257i,-0.00026088-0.00055805i,-0.00082857-0.00044251i,-0.0011418-0.00083413i,-0.0011701-0.0013615i,-0.0022152-0.0017614i,-0.002446-0.0021772i,-0.0012417-0.0018396i,0.00034851-0.00035353i,0.00070048+8.9549e-05i,6.6118e-05+0.00038822i,0.00015074+0.0013812i,0.00059821+0.0017165i,0.00011265+0.00087613i,-0.0001436+0.0001981i,-7.5953e-05+7.7815e-06i,7.5877e-05+0.00024873i,0.0003213+0.00082753i
-0.0014607+0.0025341i,-0.001397+0.0022884i,0.00014717+0.0023298i,0.001593+0.0012177i,0.002082-0.00021287i,0.0016874-0.00098851i,0.00047252-0.0017089i,-0.00060631-0.0017096i,-0.00063956-0.0013297i,0.00065189-0.0021874i,0.0023106-0.0027564i,0.0029626-0.002284i,0.0016399-0.00065742i,0.00030205+0.00069233i,-0.00024532+0.00099479i,-0.00060071+0.00089001i,-0.00052606+0.00052011i,-0.0015588+0.00042312i,-0.0022603+0.00044011i,-0.00087666+0.00047789i,0.00024456+0.00023665i,6.7272e-05-0.00048379i,-0.00019186-0.0002591i
-0.00087201-0.00069958i,-0.0013519-0.0011993i,-0.0018018-0.00017722i,-0.001977+0.00033338i,-0.00099308-0.00022828i,0.00027001-0.00059037i,0.00074116-0.00027008i,-0.00019701+0.00048224i,-0.00072517+0.0011226i,0.00065531+0.0015239i,0.0018948+0.0019913i,0.0019362+0.00156i,0.0013142+0.00048379i,0.00064001+1.0408e-05i,0.00021663-0.00027297i,-0.00021804-0.00095591i,-0.00052788-0.0012463i,-0.00057183-0.00044976i,-0.00092099-1.1331e-05i,-0.0007353+9.7891e-05i,0.00013422+0.00040411i,0.00057365-0.00029323i,0.00060292-0.00046505i
-0.00027864+0.0013143i,0.0004446+0.0021295i,0.00082529+0.0027407i,5.7439e-05+0.0023182i,-8.2535e-05+0.0010242i,-0.00039076+0.00067362i,-0.001557+0.0014879i,-0.0017583+0.0020697i,-0.001304+0.0018049i,-0.0016585+0.0017871i,-0.0033932+0.0012507i,-0.0036491+0.0005438i,-0.0019803+0.00040724i,-0.00047738-2.6578e-05i,-7.3856e-06-0.00014721i,0.00029962+0.00013211i,0.00089974+0.00030351i,0.0012038+0.00068879i,0.00059401+0.0012506i,0.0002104+0.0013326i,0.00057365+0.00044517i,0.00024638-5.4699e-05i,0.0004418+0.00018849i
-0.0025936+0.0023527i,-0.002118+0.001548i,-0.00073753+0.0022195i,0.00036027+0.0025737i,0.00094553+0.00023191i,0.0010289-0.0014376i,0.00043329-0.0014351i,0.00061535-9.2474e-06i,0.0015195+0.00060233i,0.0015372-0.00092023i,0.00036616-0.0022716i,-0.00077173-0.0024898i,-0.00086309-0.0016162i,-0.0005814-0.00078691i,-0.0010106-0.00073055i,-0.0014017+7.4336e-06i,-0.00088058+0.00054672i,-0.00050127-0.00021191i,-0.00096515-0.00011856i,-0.00064593+0.001009i,0.00047621+0.0015463i,0.00048601+0.0017034i,0.00030794+0.0011889i
0.00097332-0.0016743i,0.0019759-0.0017318i,0.0011529-0.00075527i,0.00084023+4.9544e-05i,0.0008033+0.00093123i,0.0011668+0.00095754i,0.0023312+0.00055347i,0.0029724+0.0007372i,0.0031961+0.00074014i,0.0040111+0.00048001i,0.0044652+0.0013908i,0.0033709+0.001894i,0.0020551+0.00072624i,0.00068141+0.00031514i,-5.7176e-05+0.00074062i,0.00049481+0.0010951i,0.00062518+0.00040263i,-6.0567e-06-0.00059347i,-0.00072849-0.00043769i,-0.00085084-0.00077016i,-0.00014445-0.00083913i,0.00028956-0.00057277i,7.1893e-05-0.00076132i
0.0006127+0.0010733i,-0.00076969+0.0027583i,-0.00042145+0.0030187i,-0.00026297+0.00162i,-0.00095365+0.00015232i,-0.0012551-0.00019672i,-0.00073062-0.00013471i,0.00091433+0.00084578i,0.0016384+0.0012864i,0.0014848+0.0010422i,0.00010434+0.0021141i,-0.00098756+0.0029861i,-9.1155e-05+0.0022673i,0.00073198+0.0016564i,0.0010792+0.0011507i,0.0012799+0.00026781i,0.00060298-0.00030083i,0.00067569-0.00049624i,0.00078996-0.00014478i,0.00069943+0.00023347i,0.00039213-0.00040632i,0.00045945-0.00077486i,-1.0155e-05+2.1664e-05i
-0.0013694-0.00050666i,-3.7204e-05+0.0007388i,0.00093447+0.0015246i,0.00036584+0.00094673i,0.00041322-0.00031128i,0.00074331-0.0020701i,-0.00039114-0.0026389i,-0.0016092-0.0018822i,-0.0021436-0.0019072i,-0.0023377-0.0024998i,-0.0023071-0.0028724i,-0.0019214-0.00286i,-0.00074633-0.0017973i,-0.00020537-0.00035528i,-0.00056985+7.6252e-05i,-0.00054773+0.00041509i,0.0001401+0.0010838i,-0.00023758+0.0011375i,-0.00078238+0.0015048i,-0.0004444+0.001802i,5.7227e-05+0.0012028i,0.00072031+0.0010583i,0.0013733+0.0012292i
-0.00027008-0.0016207i,0.0005823-0.0017276i,0.00010554+3.7002e-05i,0.00037111+0.0013336i,0.0015187+0.0010855i,0.0025077+0.00081273i,0.0019793+0.00064544i,0.0012138-0.0002245i,0.00048926-0.00064562i,0.0003984-0.00069932i,0.0017211-0.00090779i,0.0020959-0.00094243i,0.0012419-0.0015475i,0.00096292-0.0016346i,0.00078356-0.00038314i,9.0566e-05-2.7837e-05i,-0.00065089-0.00042783i,-0.00045766+1.177e-05i,-0.00028018+0.00051549i,-5.4357e-05+0.00013038i,-0.00025512+5.349e-05i,-0.00063417+0.00052328i,-0.00052798+0.00036471i
-0.0012899+0.0013329i,-0.0016076+0.0015456i,-0.00077508+0.0014056i,-0.00092168+0.0010291i,-0.0010698+0.00037663i,-0.00063683+0.00038737i,-0.00033132+0.00091828i,0.00039729+0.0017815i,0.00079683+0.0025883i,0.0010453+0.0025293i,0.0017714+0.0024189i,0.0027043+0.0017368i,0.0017591+0.00028713i,0.00013097-2.2973e-05i,-0.00046174+0.00026395i,5.4762e-05+5.9532e-05i,0.001241-0.00037751i,0.0015668-0.0010023i,0.0007421-0.0012202i,7.3201e-06-0.00084668i,-0.00049092-0.0009318i,0.00033668-0.00066978i,0.0011043-0.00092692i
-9.5581e-05+0.0012349i,0.00087954+0.0013365i,0.0010705+0.0027013i,0.0011684+0.00266i,0.0016579+9.9191e-05i,0.0015703-0.0011401i,0.00069888-0.0012086i,-0.00057259-0.00052374i,-0.00080793+0.0013085i,-0.00077435+0.0021387i,-0.0016813+0.00097362i,-0.0023586+0.00022746i,-0.0019563+0.00036272i,-0.0016307-0.00010521i,-0.0012316-5.8145e-06i,-0.00030052+0.0006448i,-9.1409e-05+0.0012544i,5.5176e-05+0.0012879i,0.00044411+0.00058818i,0.00016045-0.0001315i,0.00049747+1.4318e-05i,0.0011378+0.00066233i,0.0010805+0.00079774i
-0.0011581-0.0015802i,0.0002171-0.000946i,-4.0969e-05+0.00013018i,0.00027981+0.0004937i,0.0014353+0.00028892i,0.0016027-0.00016551i,0.0011973-0.00050814i,0.0015109+0.00017733i,0.0013265+0.00026279i,0.00082398-0.00073611i,0.00056282-0.0013663i,-3.0837e-05-0.0017709i,-0.00044589-0.0014936i,-0.0013746-0.00052953i,-0.0016035-0.00022851i,-0.001066-0.00023442i,-0.0011253-0.00017947i,-0.0010859-0.00051149i,-0.00040997+0.00014991i,-0.00023384+0.00095413i,-0.00032001+0.00095549i,-0.00022455+0.00097477i,0.00014359-2.1196e-05i
0.00070424-0.00061497i,0.00026258+0.00063066i,-0.00098475+0.00086833i,-0.0005405+0.0013062i,-0.000651+0.0019951i,-0.0015078+0.0017104i,-0.0001876+0.0013064i,0.0014235+0.00095725i,0.0019148+0.00052077i,0.0025942+0.00026206i,0.0033723+0.00059829i,0.0027838+0.00059143i,0.0017114-4.7227e-06i,0.0010401+8.1879e-05i,0.0016976+0.00066937i,0.0018077+0.00080067i,0.00048011+0.00029136i,-0.00031987-0.0004161i,-0.00051636-0.00067118i,-0.0006604-0.00040001i,-0.00022916-8.6797e-05i,0.0002655+0.00014616i,-0.0006185-0.00044449i
-0.00019801+0.0021076i,-0.00027702+0.0019429i,0.00048649+0.0014684i,-5.4119e-05-0.00059497i,-0.0008229-0.0031149i,-0.00073603-0.003534i,-0.00063152-0.0024527i,-0.00085442-0.00099817i,-0.00016228+0.00020024i,0.00039617+0.0012942i,0.00062434+0.0024712i,0.00094423+0.0026395i,0.0003111+0.0016465i,0.00016469+0.00072947i,0.00094681+0.00032676i,0.0012603+0.00050732i,0.00071656+0.001154i,-0.00018406+0.00067636i,0.00014683-0.00040034i,0.00086082-0.00087855i,0.00072194-0.0011319i,-0.00036736-0.00041543i,-0.0010617+0.00089205i
