-0.003089-0.0012343i,-0.0025015-0.00088583i,-0.0026941+0.00012599i,-0.002887+0.00012528i,-0.0032319+0.00042067i,-0.0021612+0.00079448i,-0.0011351+0.00040328i,-0.00065125+0.00043951i,-0.00045929+0.00056279i,-0.00036863+0.0002875i,-0.00022078+0.00043589i,0.00023556-0.00036753i,0.00059349-0.00087775i,0.00076832+0.00048058i,0.0002612+0.0014037i,-0.0001762+0.0014259i,-0.00024667+0.00096055i,-0.00064542+8.5848e-05i,-0.00087883-0.00021072i,-0.0008092+5.2698e-05i,-0.00096558+0.00020283i,-0.00061495+0.00018501i,-0.00036595+0.00071232i
0.012219-0.0041734i,0.015864-0.011419i,0.014412-0.012338i,0.0098652-0.0069821i,0.0060011-0.0027969i,0.0030807-0.00111i,0.0012492-0.00032361i,-0.0003237-0.00041464i,-0.0019085-0.00024305i,-0.0028425+0.00055653i,-0.0016431+0.0023146i,0.00041499+0.0031655i,0.0014556+0.0019691i,0.00068538+0.00042224i,-7.1785e-05-3.4456e-05i,0.00047278+0.00054702i,0.00063791+0.00039054i,0.00017438-0.00060011i,-2.1122e-05-0.000589i,3.0333e-05-0.00049037i,0.00050784-0.00039852i,0.00035146-0.00037657i,0.00039163-0.00081649i
-0.0027898-0.012492i,-0.0095022-0.015563i,-0.010775-0.015053i,-0.0058656-0.010635i,-0.0023909-0.0063074i,-0.0016483-0.0036747i,-0.00092874-0.0018152i,-0.00067277-0.00099274i,-0.00047908-0.00030138i,0.00051783+0.0011126i,0.0021339+0.0018525i,0.0031557+0.00060588i,0.0018117-0.00035557i,-0.00023474+0.00078224i,-0.00072381+0.001469i,0.00011527+0.00013347i,0.00018603-0.00094323i,0.00044563-0.00067616i,0.00073047+4.556e-05i,0.00016762+0.00051537i,-5.2696e-05+0.00019805i,0.0011108-0.00067942i,0.0014742-0.00070809i
-0.011716+7.2599e-05i,-0.01601+0.0077973i,-0.016375+0.0093342i,-0.012065+0.0045599i,-0.0067455+0.0013678i,-0.0041253+0.00090757i,-0.0021976+0.0008823i,0.00017129+0.00036002i,0.0019604-0.0013691i,0.0026838-0.0026643i,0.0014461-0.0029934i,-0.00036555-0.0029514i,-0.00041371-0.0022781i,0.00084239-0.00084367i,0.0011321+0.00042234i,-6.0578e-05+0.00082557i,9.5771e-05+0.00077696i,0.00047157+0.00012653i,7.555e-05+8.5976e-06i,0.00041532+0.00049051i,0.00054059+0.00017068i,0.00052152-0.00029977i,-0.00010293-0.00034585i
0.0016142+0.011494i,0.0070457+0.015992i,0.0085045+0.015128i,0.0046701+0.0079584i,0.0013883+0.0010884i,-0.00021507-0.00095558i,-0.00030085-0.00077866i,0.0011347-0.0017474i,0.00093756-0.0033248i,-0.00070359-0.00407i,-0.002638-0.0038483i,-0.0036774-0.0011591i,-0.0030932+0.00072263i,-0.0012852-9.3396e-05i,-0.00046753+4.767e-05i,0.00013417+0.00081585i,0.00062103+0.00095477i,0.00051175-0.0001804i,7.3162e-05-0.0010967i,-0.00048419-0.00063693i,-0.00051618-0.00016899i,-0.00078766+0.00040046i,-0.00065805+0.00043895i
0.010008+0.00062408i,0.017645-0.0066445i,0.018917-0.00954i,0.011881-0.0051873i,0.0042179-0.0011268i,0.0016234-3.8999e-05i,0.0014944-0.00066475i,0.00058676-0.0022627i,-0.0020778-0.0027265i,-0.0044585-0.0014864i,-0.0039118+0.0015568i,-0.001074+0.0036581i,0.00063672+0.0024473i,-0.00036813+0.00064811i,-0.0015045+0.00086686i,-8.0728e-05+0.00082904i,0.0015491-8.0685e-05i,0.00075879-0.00022393i,-0.0004504+0.00019388i,-0.00048003+0.00046585i,0.00029739+0.00068531i,0.00026805+0.00091245i,-0.00034405+0.0012893i
0.0063411-0.011432i,0.0018289-0.018843i,-0.0013854-0.020383i,-0.00040333-0.014539i,-3.6901e-05-0.0073357i,-0.00038356-0.0031165i,0.00012157-0.00075451i,-2.3998e-05-0.00020458i,-0.00013142-4.5602e-05i,-0.00038601+0.0020372i,9.2232e-05+0.0035053i,0.0011126+0.0025229i,0.0012248+0.0011791i,6.3802e-05+0.0016657i,0.00018596+0.0024044i,0.0011267+0.0011207i,0.00070961-0.00053401i,0.00057347-0.00066313i,0.00073786+6.1228e-05i,0.00038832+7.4794e-05i,0.00036207+0.00028794i,0.00045247+0.00053411i,0.00024554-0.00032651i
-0.0074398-0.0037675i,-0.016619+9.3305e-05i,-0.019779+0.0015696i,-0.015308-0.0023826i,-0.0085705-0.0050662i,-0.0044191-0.0030363i,-0.0016133-0.00016352i,0.00053921+0.0007072i,0.0020273+0.00068472i,0.0034248-5.7635e-05i,0.0032039-0.00085266i,0.0015967-0.0016145i,0.0010044-0.001684i,0.0011645-0.00098086i,0.0012119-0.00052531i,0.00045799-0.00035716i,-5.9422e-05-0.00018986i,-0.0002685-0.00021574i,-0.00069187-8.9596e-05i,-0.00068851+0.00024431i,-0.0003492+0.00044795i,0.00014694-4.1955e-06i,0.00071382-0.00077617i
-0.0065704+0.0096023i,-0.0014374+0.017932i,0.0024949+0.020501i,0.00086451+0.014231i,-0.0002218+0.0064329i,0.00013536+0.0022182i,0.00075597+0.00027775i,0.0014069-0.0010092i,0.0016503-0.0032274i,0.0014441-0.0044087i,0.00042678-0.003193i,-0.00059257-0.0016996i,-0.00097057-0.0010342i,-0.00089787-0.00074581i,-0.00068181-0.00054803i,-0.00027983+0.00026949i,0.0002312+0.0012153i,0.00039387+0.00070786i,1.7939e-05+6.9838e-05i,-0.00022735+9.2842e-05i,-0.0002601-0.00064087i,-0.00013174-0.00051533i,-0.00061696-0.00047524i
0.0091047+0.0068291i,0.019665+0.0032741i,0.024256+0.00013623i,0.016233-0.00013264i,0.0048715-7.3945e-05i,0.00012838-0.00017759i,0.0001905+5.7441e-05i,-0.00025051-0.0013706i,-0.0018454-0.003323i,-0.0035544-0.0034498i,-0.0039638-0.001351i,-0.0026451+0.001191i,-0.00096403+0.0018829i,-0.0010364+0.0015843i,-0.0012098+0.0015979i,3.1331e-05+0.0014531i,0.00093252+0.0012834i,0.00053756+0.0010579i,-0.00035641-6.1896e-05i,-0.0011561-0.00084119i,-0.0014813-0.0010069i,-0.0016443-0.0008516i,-0.001154-0.00030566i
0.0083156-0.0093618i,0.0059279-0.020857i,0.0019329-0.027225i,0.00023341-0.020747i,-0.00095191-0.010176i,-0.0016163-0.003801i,-0.00039753-0.00033302i,-0.00068291+0.00091331i,-0.0032104+0.0014295i,-0.0044174+0.002472i,-0.0027038+0.0033242i,-0.00050879+0.0033616i,0.0002981+0.0026177i,0.00051185+0.0023229i,0.00042363+0.0021529i,0.00035976+0.00071022i,0.00063867-0.0013127i,0.0010682-0.00089647i,0.00051616+0.0007881i,-0.00012854+0.0015591i,-0.00068614+0.0018202i,-0.0001617+0.0016331i,0.00063964+0.00097904i
-0.0063198-0.0099663i,-0.016427-0.0082124i,-0.023036-0.0055481i,-0.017396-0.0048211i,-0.0083643-0.0030757i,-0.0038187-0.00042782i,-0.0017037+0.0010202i,-0.00028626+0.0011755i,0.00099587+0.0019531i,0.0021312+0.0027832i,0.0023427+0.0019399i,0.0025152+0.00014892i,0.0028803-0.00013658i,0.002566-0.00028851i,0.0021396-0.00085321i,0.0012008-0.00076596i,0.00025428-0.00065692i,-4.7734e-05-0.00055214i,-0.00041613+0.00037916i,-0.00035258+0.00097681i,0.00096305+0.00036022i,0.0017285-0.00021981i,0.0015403-0.00061972i
-0.009436+0.0011307i,-0.0094577+0.01231i,-0.0093843+0.01958i,-0.0085708+0.015046i,-0.0061334+0.0070403i,-0.0031399+0.0034601i,-0.00022427+0.0014726i,0.0022514-0.00029125i,0.0036327-0.0016772i,0.0032786-0.0029113i,0.0020317-0.0025751i,0.00030728-0.00093749i,-0.001637-0.00030743i,-0.0017927-0.0011195i,-0.0012209-0.00076277i,-0.0004358+0.00062338i,0.00022578+0.0018296i,0.00015131+0.0015739i,-0.00031066+0.00016552i,2.6868e-05-0.0006797i,0.0010074-0.0010517i,0.00091584-0.0014677i,0.00072136-0.0012682i
0.0020322+0.011534i,0.012906+0.012267i,0.022195+0.010859i,0.017969+0.0083556i,0.0083764+0.0039188i,0.0039864+0.00028793i,0.0026821-0.0015182i,0.0012888-0.002412i,0.00013214-0.0031639i,-0.0015311-0.0036725i,-0.0027065-0.0024738i,-0.0028493-0.0004296i,-0.0030479+9.1759e-05i,-0.0024803+0.00011995i,-0.00080108+0.0011537i,0.0010553+0.0013752i,0.001392+0.00023664i,0.00080689-0.00029016i,3.1792e-05-0.0010628i,-0.00072426-0.0014224i,-0.001036-0.0015605i,-0.0013546-0.0017175i,-0.0010211-0.00073256i
0.010882-0.0012606i,0.013655-0.013584i,0.01403-0.023834i,0.011206-0.020516i,0.0059641-0.011646i,0.0012934-0.0063911i,-0.00039972-0.0033908i,-0.00083147-0.0018587i,-0.0029628-0.0020092i,-0.0042565-0.0011621i,-0.0034619+0.00052844i,-0.0013858+0.0016863i,0.00049261+0.0022605i,0.0013227+0.0024337i,0.0015341+0.0013564i,0.0014772+7.9514e-05i,0.0011721-0.0011894i,0.00074636-0.0023065i,-0.00031507-0.0021339i,-0.0016194-0.00074661i,-0.0018197+0.00067537i,-0.00083243+0.0011853i,-3.3187e-05+0.00063581i
0.003146-0.011106i,-0.0093531-0.013582i,-0.02044-0.014947i,-0.018664-0.013375i,-0.012316-0.0082389i,-0.0073101-0.0020082i,-0.0028169+0.0015127i,-0.00067262+0.0021916i,-0.0013677+0.0022063i,-0.0014786+0.0023807i,-0.00018965+0.0020011i,0.00060203+0.001323i,0.00095292+0.00046i,0.00092884-0.0005383i,9.7511e-05-0.0011246i,-0.00057184-0.00094312i,-0.00081204-0.0009095i,-0.00055205-0.00076585i,0.0004245+0.00023676i,0.00093869+0.0016119i,0.00094206+0.0026071i,0.0011144+0.0017771i,0.001324+0.00056958i
-0.0076079-0.0030666i,-0.011351+0.0065945i,-0.012673+0.015183i,-0.011001+0.012311i,-0.0077362+0.0051716i,-0.0034174+0.0027591i,0.00046973+0.0020888i,0.0017447+0.0010792i,0.0027854+0.00093662i,0.0041282+0.00038738i,0.0036935-0.00091432i,0.0017883-0.0014268i,0.00019661-0.0010623i,-0.00054535-0.00023178i,-0.0017956+0.00084665i,-0.0022735+0.0020073i,-0.0010453+0.002565i,-0.00046569+0.0018789i,-0.00018157+0.0006261i,0.00058902+8.8581e-05i,0.0015781-0.00037261i,0.0016938-0.0013366i,0.00053906-0.0014987i
-0.0054934+0.0080482i,0.0060937+0.012145i,0.01757+0.01366i,0.016138+0.010986i,0.0087088+0.0055112i,0.0045564+0.0011998i,0.0031909-0.00097638i,0.0025212-0.002611i,0.0020312-0.0045919i,0.0012198-0.0049709i,-0.00043106-0.0035613i,-0.00075195-0.0018277i,-0.00066076-0.00050673i,-0.00043071+0.00089008i,0.0006783+0.0017281i,0.0020086+0.0017612i,0.0023072+0.0015288i,0.0010164+0.0012554i,-0.00033651+0.00079274i,-0.00025524-0.00028419i,0.00018376-0.0014306i,-0.00012794-0.0013419i,-0.0010281-0.00059614i
0.0074407+0.006602i,0.013327-0.0036475i,0.016723-0.016242i,0.013787-0.016767i,0.0073964-0.010671i,0.0024297-0.0074362i,0.00085904-0.0047287i,0.00076882-0.0036088i,-0.0014852-0.0039603i,-0.0037638-0.0025381i,-0.0034326-0.00044168i,-0.002304+0.00050496i,-0.0019913+0.00067664i,-0.00079469+0.00032514i,0.0015469-6.1718e-05i,0.0024447-0.0005832i,0.001774-0.0011609i,0.00084927-0.0013158i,0.00021038-0.0012911i,-0.00029221-0.00055938i,-0.0015004-5.2384e-05i,-0.0018662-4.0394e-05i,-0.00064933-0.00013887i
0.0081764-0.0052302i,-0.0023291-0.010071i,-0.014105-0.016332i,-0.014113-0.016166i,-0.0099854-0.010896i,-0.0067802-0.0046609i,-0.0038566-0.00077997i,-0.0021065-4.6487e-05i,-0.0029712+0.00067388i,-0.0035347+0.001559i,-0.0023867+0.0014294i,-0.00034386+0.001153i,0.00058589+0.00040873i,0.0002743-0.00057926i,-0.0010765-0.00079928i,-0.0022639-0.0018043i,-0.0023269-0.0023082i,-0.0018534-0.00091596i,-0.0011834-0.00025464i,-0.0010761+0.00047696i,-0.00033882+0.0017259i,0.00052274+0.0015918i,0.0010684+0.00032911i
-0.0044489-0.0095121i,-0.010579-0.0012101i,-0.018042+0.0086768i,-0.017561+0.0095627i,-0.011622+0.0060072i,-0.0062479+0.0048789i,-0.001939+0.0038612i,-4.1537e-05+0.0020489i,0.00076002+0.0019396i,0.001581+0.0014646i,0.0017193+9.5903e-05i,0.0010967-0.000236i,-8.9025e-05+0.00010922i,-0.0012625+0.00081964i,-0.0020548+0.0019036i,-0.0017356+0.0027482i,-0.00094697+0.0025801i,-0.0011662+0.0011148i,-0.00090685+0.00023823i,0.00013021+0.00038256i,0.0010043+0.000345i,0.0010671-0.00024409i,0.0010245-0.0014318i
-0.0073384-0.0021732i,0.0024203+0.0042096i,0.012701+0.011638i,0.01132+0.012421i,0.0059445+0.0077794i,0.0036073+0.0035993i,0.0027648+0.0010185i,0.0019717-0.00080073i,0.002427-0.0020446i,0.0016901-0.0023828i,0.00033736-0.0017824i,-0.00019111-0.00052728i,-0.00049157+0.00069544i,-0.00013369+0.0016303i,0.00060989+0.0028172i,0.001663+0.0029609i,0.0021815+0.0015305i,0.0013927+0.00072924i,0.00090331-0.00014524i,0.00075624-0.0011855i,0.00066799-0.0013054i,0.00084102-0.00065264i,0.00085361-0.00013272i
-0.0020703+0.010988i,0.0054159+0.0022572i,0.014609-0.0081511i,0.01486-0.010027i,0.0097974-0.0070266i,0.0055655-0.0049283i,0.0020409-0.0035241i,0.00045586-0.0027298i,-0.00038619-0.0036911i,-0.0015328-0.0033452i,-0.001437-0.001493i,-0.00037295-0.00049581i,-0.00012305+4.197e-05i,0.00027428-0.00052493i,0.001928-0.0017553i,0.0017994-0.0025926i,0.0010303-0.002586i,0.0011833-0.0013453i,0.00068248-0.00038139i,0.00065297-0.00074282i,0.00095558-0.0012533i,0.0011072-0.0011555i,0.00089947-0.0002356i
0.0095449+0.0037154i,-0.00095349-0.0041464i,-0.012359-0.015086i,-0.012833-0.017225i,-0.0081845-0.01153i,-0.0058591-0.0053447i,-0.0032382-0.0026072i,-0.00072867-0.0024942i,-0.0010859-0.0025564i,-0.0026015-0.0017781i,-0.0028922-0.00070284i,-0.0016959+0.00026451i,-0.001205+0.0006925i,-0.002111+0.00088643i,-0.0031179+0.00052138i,-0.0033286-0.00012613i,-0.0026704-0.00047905i,-0.0018189-0.00056101i,-0.00086696-0.00095472i,-0.00039506-0.00051745i,-0.00075608+0.00052098i,-0.00096619+0.00024549i,-0.00087685-0.00020269i
0.0046618-0.010952i,-0.0027418-0.001378i,-0.015155+0.0078036i,-0.017907+0.00769i,-0.012167+0.00387i,-0.0069279+0.0027673i,-0.0025899+0.0025736i,-0.00053207+0.0010465i,-0.0014052+0.00097739i,-0.0019609+0.0016769i,-0.00085228+0.00066052i,0.00012835+0.0011945i,3.4433e-05+0.0018741i,-0.00030587+0.002005i,-0.00010896+0.0031896i,0.00015195+0.0031512i,1.1661e-06+0.0018265i,-0.00082343+0.00069802i,-0.0010697+0.00023203i,-7.824e-05+0.00051943i,0.0010215+0.00048285i,0.0010263+0.00017273i,-0.0002224-0.00011973i
-0.0075144-0.0097531i,0.0030282-0.0027322i,0.012158+0.010229i,0.010516+0.012696i,0.0037024+0.008664i,0.0015954+0.0063117i,0.0029282+0.0039086i,0.0027051+0.00088282i,0.0022417-0.000414i,0.0012367-0.00084867i,0.0005076-0.0011063i,0.00069493-0.00052243i,0.00091289-0.0004285i,0.00098677+0.00035673i,0.0012329+0.0012718i,0.0020249+0.0014847i,0.0022735+0.0010887i,0.0011844+0.00063535i,0.0002189+0.00068865i,0.0002817+0.00023749i,0.00049945+0.00017503i,0.00043358+0.0002447i,0.00050567+0.00054286i
-0.0095926+0.0073188i,-0.001355-0.0023422i,0.013256-0.0122i,0.016517-0.012719i,0.011348-0.0076763i,0.0068445-0.0039477i,0.0031727-0.002908i,0.00094609-0.002755i,0.0009175-0.0031679i,0.00090842-0.0036549i,0.00045156-0.0019719i,0.00026301-0.0006624i,0.00061199-0.00017225i,0.00063697-0.00027354i,0.00056738-0.0010731i,0.0010594-0.0011694i,0.0008476-0.0012919i,0.0010132-0.0010847i,0.0011672-0.00049077i,0.0012212-0.00024716i,0.0013433-0.00055993i,0.0011141-0.001282i,0.00029829-0.001385i
0.0072737+0.016576i,-0.0020769+0.0052916i,-0.0090513-0.012588i,-0.0077862-0.018522i,-0.0038033-0.015509i,-0.0029436-0.012136i,-0.002343-0.0071599i,-0.00086345-0.0029476i,-0.0010754-0.0022256i,-0.0023953-0.0019188i,-0.0024735-0.001485i,-0.00207-0.0014596i,-0.0016957-0.00072226i,-0.0019307-5.7923e-06i,-0.002629+8.8051e-05i,-0.0032953-0.00023128i,-0.0036991-0.00046947i,-0.0014909-0.00039363i,0.00057553-0.0011631i,1.8332e-10-0.0015217i,-0.00061306-0.0013224i,0.00051867-0.0018721i,0.0010412-0.0019866i
0.01516-0.0037836i,0.005699+0.0056666i,-0.010664+0.011714i,-0.015414+0.0092454i,-0.012799+0.0035453i,-0.010653+0.0016257i,-0.0057422+0.0017918i,-0.0011469+0.00039148i,-0.00115-0.00084365i,-0.0023955+6.0932e-05i,-0.001773+0.0013569i,-0.00063907+0.0023468i,-0.00087865+0.0027803i,-0.00058839+0.0028949i,0.00055458+0.0032745i,0.00062776+0.0024265i,0.00046053+0.00081827i,-3.8111e-05-0.00030041i,-0.0012861-0.00065786i,-0.0010892-0.00062708i,-0.00037894-0.00021711i,-0.0013578-0.00033201i,-0.0022199+8.4451e-06i
-0.00053624-0.019147i,0.0091224-0.0082765i,0.0132+0.0099742i,0.0087392+0.015311i,0.0015978+0.010784i,-0.00050081+0.0089923i,0.0012599+0.0062335i,0.0013857+0.0018802i,0.00066312+0.00030513i,0.00018678+0.00064826i,0.00054448+0.00073327i,0.0016596+0.00097005i,0.0012677+0.0010853i,0.0013196+0.00085546i,0.0016984+0.00071703i,0.0018422+0.00076544i,0.0026423+0.00048196i,0.0028193-0.0001525i,0.0012881+0.00041051i,0.00062689+0.00085884i,0.00102+0.00075282i,0.0006291+0.0012396i,0.00054169+0.001683i
-0.023168-0.0028915i,-0.011174-0.011343i,0.008983-0.013959i,0.015779-0.0087554i,0.012278-0.0014508i,0.010638+0.0013555i,0.0078413+0.00021339i,0.0038361-0.0005484i,0.0020669-0.001224i,0.0019201-0.0020461i,0.001731-0.0021042i,0.00098737-0.0018193i,0.00060299-0.0012171i,0.0005087-0.00085524i,0.00048228-0.00035018i,0.00047705-5.3951e-05i,0.00044033-0.00067626i,0.00094938-0.00067079i,0.0014784+0.00075808i,0.0012957+0.002119i,0.001682+0.002052i,0.0025365+0.0012546i,0.0029792+0.00070979i
-0.0079573+0.020598i,-0.01725+0.005952i,-0.020563-0.015044i,-0.01515-0.020968i,-0.0064725-0.015119i,-0.001054-0.010666i,-0.00018148-0.0077164i,0.00090961-0.00348i,0.0020577-0.0018233i,0.00028364-0.0017912i,-0.0019158-0.0011051i,-0.0015417+3.0721e-05i,-0.00067666+0.0014696i,-0.00057231+0.0018128i,-0.00039826+0.0014058i,-0.00012681+0.00055997i,-0.00014429-3.9325e-05i,-0.00040628-0.00058218i,-3.5627e-05-0.0011039i,0.00079147-0.001033i,0.00096276-0.0014281i,0.00055602-0.0031553i,1.1054e-05-0.0036158i
0.024425+0.010253i,0.0097676+0.018301i,-0.011889+0.018701i,-0.018516+0.010958i,-0.013536+0.0017788i,-0.010337-0.0019946i,-0.0060169+2.8555e-05i,-0.0010347-1.7803e-06i,-6.8188e-05-0.0022622i,-0.00094671-0.0022479i,-0.0014713+0.0004397i,-0.0016729+0.0023817i,-0.0011603+0.0011255i,-0.0004125-0.00078662i,-3.3144e-05+0.00041555i,-0.00012748+0.0012585i,0.0004128-6.3852e-05i,0.00086846-0.00048561i,0.00026971+0.00016637i,-0.0014331+6.6962e-05i,-0.0024966-0.0011114i,-0.0027279-0.0013735i,-0.0033912-0.00036827i
0.015466-0.022415i,0.023152-0.0063704i,0.022654+0.015815i,0.015478+0.020282i,0.0050054+0.012309i,-0.0010361+0.0085318i,-0.00085207+0.0061952i,0.0005989+0.00026245i,0.00063797-0.0024261i,0.00039191-0.0011987i,0.00014728+0.00011451i,0.00072445+0.00075784i,0.0014016+0.00075839i,0.0015429+0.00085575i,0.0019994+0.0016872i,0.0010415+0.0013319i,-0.00066124+0.00036061i,-0.0011067+9.3278e-05i,-0.00073708+0.0009983i,-0.0007215+0.0019587i,-0.0012095+0.0020386i,-0.0011215+0.0019042i,-0.00021105+0.0025397i
-0.020421-0.019411i,-0.0033539-0.028002i,0.018806-0.02642i,0.02264-0.018746i,0.012641-0.0087118i,0.0073143-0.00023184i,0.0053918+0.0020167i,0.0023567+4.9413e-05i,0.00064184-0.0016757i,0.00073817-0.0017887i,0.0011233-0.0019113i,0.0017922-0.0017622i,0.0019913-0.00052013i,0.0012119+0.00086684i,0.00036372+0.0017856i,0.00029881+0.0017336i,0.0011753+0.0013475i,0.0013815+0.00063945i,0.00081806+1.9723e-06i,0.0014124+0.00035133i,0.0026074+0.0010483i,0.0033804+0.0015386i,0.003645+0.0012165i
-0.023801+0.017466i,-0.030592+0.00018152i,-0.026943-0.022799i,-0.019446-0.026473i,-0.0096752-0.016497i,-0.00049612-0.0090842i,0.0015132-0.0057041i,0.00095315-0.0023392i,0.00038568-0.0004365i,-0.0012736-0.0011238i,-0.0024166-0.0014992i,-0.0032366-0.00095787i,-0.002176-0.00034446i,0.00029659-0.00017407i,0.0013736-0.00049536i,0.0012855-0.00057736i,0.0010769-0.0002942i,-0.00020402-3.6823e-05i,-0.00052565+0.00021696i,0.0005488-2.5569e-05i,0.002233-0.0010153i,0.0028375-0.0022267i,0.002265-0.0031257i
0.016049+0.029618i,-0.0011463+0.036317i,-0.022647+0.029631i,-0.02555+0.019264i,-0.014629+0.0080072i,-0.0076007-0.0016599i,-0.0052005-0.0029814i,-0.0011707-0.0011371i,0.00079586-0.0010116i,-0.00073848-0.00092308i,-0.0024689+0.00033585i,-0.0032217+0.0018756i,-0.0017655+0.0018974i,-0.00041538+0.00090602i,-0.00066067-0.00014724i,-0.0010695-0.00021018i,-0.00045928+0.0002797i,0.00021185+0.00028292i,-0.00025285+0.00012251i,-0.00075614-0.00035707i,-0.001205-0.0010536i,-0.001837-0.0020983i,-0.0031563-0.0030224i
0.033308-0.015717i,0.036447+0.0027934i,0.027538+0.023808i,0.017202+0.024171i,0.0062088+0.011206i,-0.0040088+0.0039902i,-0.0050329+0.0034588i,-0.00072887+0.0011599i,0.00056674-0.0018294i,-0.00015238-0.0018881i,0.00070108+0.0004826i,0.0011877+0.0020568i,0.00041482+0.0017583i,-0.00037728+0.0014054i,-0.0011054+0.0012806i,-0.0010209+0.0016156i,-0.00089871+0.001684i,-0.00059967+0.0017564i,5.2547e-05+0.001702i,-0.00084275+0.0013471i,-0.00184+0.0012148i,-0.0022887+0.0010664i,-0.002298+0.001745i
-0.011841-0.037068i,0.009199-0.041517i,0.030186-0.030909i,0.029741-0.020092i,0.015676-0.0095872i,0.0060558+0.0010314i,0.0038687+0.0034969i,0.001729+0.0002389i,-0.00082663-0.0021977i,-0.0010108-0.0023288i,0.00055626-0.0017406i,0.0023457-0.0014352i,0.0028305-0.00078147i,0.0021676+0.0006065i,0.0014478+0.0020744i,0.0015055+0.0024605i,0.0020177+0.0015076i,0.00056965+0.00025476i,-0.0011939-0.00026325i,-0.00061157+0.00020663i,0.00095261+0.001305i,0.0020877+0.0026124i,0.0029555+0.0029935i
-0.042377+0.0065982i,-0.044163-0.012772i,-0.031692-0.030943i,-0.020869-0.030377i,-0.011109-0.015278i,0.00064901-0.0049048i,0.0045288-0.003284i,0.0010808-0.0018269i,-0.0017432-0.00015973i,-0.0029217-0.00035516i,-0.0028375-0.0014775i,-0.0012507-0.0018991i,-0.00019842-0.0012319i,0.0010026-0.0005293i,0.0023732+0.00076801i,0.0027356+0.0010428i,0.0020805+0.00043682i,0.00082751+0.00045482i,-0.00036207-2.2181e-05i,-0.00074556-2.2654e-05i,0.00067729+0.00032514i,0.0028336-0.00071143i,0.003218-0.0020679i
0.0014358+0.046023i,-0.018565+0.047641i,-0.036378+0.032685i,-0.033243+0.019608i,-0.017781+0.0090998i,-0.0062583-0.001813i,-0.0026626-0.0051005i,-0.00082792-0.0020104i,0.00097542+0.00013204i,4.8878e-05+0.00055153i,-0.0018133+0.0011221i,-0.003108+0.0019541i,-0.0029764+0.0016002i,-0.0015398+0.00075399i,2.7776e-05-0.00026563i,0.0011654-0.0010958i,0.0014901-0.0006104i,0.00097229+0.00026275i,0.00043883+0.00093212i,0.00032753+0.00055473i,0.00012612-0.001297i,-0.00013495-0.0033934i,-0.00098743-0.0044754i
0.045272+0.0022922i,0.045324+0.022265i,0.029004+0.038216i,0.016875+0.03483i,0.009338+0.016795i,-0.00093963+0.0037817i,-0.0049166+0.0014937i,-0.00080319+9.4194e-05i,0.002391-0.0015888i,0.0018322-0.00053209i,0.00023522+0.0022928i,0.00029388+0.0042213i,0.00076456+0.0042468i,-0.00099671+0.002842i,-0.0026377+0.0015392i,-0.0022282+0.00091426i,-0.00036799-0.00049968i,0.0014335-0.0013749i,0.0012771-0.00061776i,0.00049066-5.048e-05i,-0.00017948-0.0003573i,-0.0014281+7.6987e-05i,-0.0025106+0.0010081i
0.012238-0.051798i,0.033686-0.050945i,0.046872-0.035744i,0.038034-0.023878i,0.016659-0.01425i,0.0022697-0.00089209i,0.0013406+0.0056054i,0.0031479+0.0023593i,0.0017536-0.002363i,0.00039376-0.0037922i,0.00075404-0.0028277i,0.0023163-0.00165i,0.0028343-0.00029467i,0.0013407+0.0014231i,-0.00032852+0.0028721i,-0.00095678+0.0028182i,-0.000967+0.0018522i,-0.00046109+0.00045092i,0.00036034-0.00054885i,0.00063729-0.00080104i,0.00033633-4.6463e-05i,-2.2334e-05+0.0013872i,0.00023784+0.0031217i
-0.050038-0.01837i,-0.048489-0.038308i,-0.031776-0.050835i,-0.020857-0.043745i,-0.014589-0.022667i,-0.0035041-0.005855i,0.0036547-0.0018087i,0.0015815-0.0026511i,-0.0017567-0.0025723i,-0.0031656-0.0033717i,-0.0027217-0.0043885i,-0.0010411-0.0045146i,-0.00051479-0.00464i,3.9474e-05-0.0034791i,0.0014517-0.00061565i,0.002046+0.0017042i,0.0020107+0.0015081i,0.0010675+0.00040311i,-6.8529e-05+0.00029938i,-0.0003912+0.00029918i,8.6474e-05+0.00080773i,0.0012029+0.0011403i,0.0028048+1.6494e-06i
-0.026747+0.051872i,-0.046415+0.047839i,-0.054503+0.030135i,-0.04295+0.018484i,-0.020985+0.011495i,-0.0047655+0.00069879i,-0.00069906-0.0058317i,-0.0015717-0.0040247i,-0.0017345-0.00053911i,-0.00286+0.0012829i,-0.0045033+0.0021425i,-0.0051516+0.0017904i,-0.0054093+0.00075356i,-0.0040983+0.00034497i,-0.0017354-7.808e-05i,-0.00019319-0.00021552i,0.00067532-0.00012562i,0.001589-0.0002648i,0.00090493+0.00067059i,0.00013806+0.0009813i,0.0011162-0.00021386i,0.0017264-0.0018831i,0.0016925-0.0031289i
