-0.0021304+0.00060039i,-0.0022704+0.00077269i,-0.0018986+0.0011551i,4.9498e-06+0.0011536i,0.00074687+0.0016587i,0.00036302+0.0024926i,0.00075956+0.0030264i,0.0016998+0.0021013i,0.001355+0.0010778i,0.00021221+0.00063592i,0.00052884+0.00014078i,0.00089069-1.2687e-05i,8.1519e-06-0.0001641i,-0.0003322-0.00021204i,-0.00040479+0.00015785i,-0.00081669-4.5558e-05i,-0.00091293-0.00031692i,-0.00023739-0.00035019i,-8.2829e-05+0.00031234i,-0.00012933+0.0011932i,-0.00063499+0.00087518i,-0.00068921+0.00036814i,0.00028749+7.9705e-05i
0.00046883-0.00051602i,0.00066882+0.00048431i,0.00068928+0.0026306i,0.00027561+0.0047017i,0.00022886+0.0034929i,0.00041682+0.0025228i,0.00020212+0.0021788i,5.5951e-05+0.0010032i,5.9681e-05+0.00084722i,-0.0004532+0.00071994i,-0.00073021+0.00032999i,-0.00038947-0.00024939i,0.00068748-0.00054348i,0.00037261-0.00050537i,0.00037695-0.00064695i,0.0017775+5.5348e-05i,0.0014433+0.0010125i,0.00019228+0.00061736i,-0.00023944-0.00065296i,-8.4264e-05-0.0010377i,0.00048117-0.00040678i,0.0003642-0.00010867i,-0.00047549-0.00056538i
-0.00063461+0.0016928i,0.00015345+0.0017183i,0.0008803+0.0013299i,0.0016147+0.0017121i,0.0014799+0.0017464i,0.0010662+0.0014123i,0.00085324+0.0010207i,0.00020151+3.2728e-05i,-0.00060777-0.00030403i,-0.0008866+0.00023984i,-0.00047166+0.00033555i,0.00026021+0.00036051i,6.6197e-05+0.00064489i,3.4874e-06+0.0010048i,0.00030548+0.00099053i,0.00011779+0.00097386i,-0.00017205+0.0004556i,-0.00047855-0.00037956i,-0.00022416-0.00075565i,0.00037504-0.00032061i,0.00059445+0.00065164i,0.00010285+0.00091203i,7.0599e-05+9.6068e-05i
0.001427-0.00087916i,0.0018658-0.0014011i,0.001595-0.00073297i,-0.00078136-0.00055591i,-0.0023429+0.00039342i,-0.00077179+0.00089384i,7.7799e-05+0.00078536i,-0.00019047+0.0010526i,-0.0004281+0.0010002i,-0.00085836+0.00019147i,-0.00080842+0.0005228i,-0.00055582+0.0011455i,-0.000896+0.0012766i,-0.00030771+0.00092771i,0.0011991+0.0007113i,0.0010545+0.0012081i,-5.0155e-05+0.00060003i,-0.00042151-0.00017956i,-0.00054207-6.5423e-06i,-8.4416e-05-0.00012558i,0.00023413-0.0002677i,8.6486e-05-0.00047211i,0.00028037+0.00019811i
-0.001456+3.5087e-05i,-0.001182+0.00083494i,-0.00064719+0.0021847i,0.00059044+0.0025067i,0.00086827+0.0017871i,0.00033397+0.0011232i,0.00023334+3.3628e-05i,0.00066346-0.00055727i,-4.3518e-05-0.00022225i,-0.00089607+0.00052617i,-0.0011791+0.0011491i,-0.00088769+0.00015504i,0.00069123-0.00029409i,0.00086281+9.7553e-05i,-7.2692e-05+0.00018071i,-0.00014772+0.00032116i,8.3089e-05+0.00090614i,0.00059414+0.0011771i,0.00049035+0.00083263i,0.00020572+0.0010806i,0.00059241+0.001106i,0.00050685+0.0007252i,0.00016204+0.00050129i
0.00048522-0.00087197i,0.00016708-0.00049092i,-1.0791e-05+0.00056894i,0.00022101+0.001594i,0.00034836+0.0017808i,-0.00086332+0.0018772i,-0.00075056+0.0016948i,-7.3418e-05+0.0010674i,-0.00067616+0.00044716i,-0.00062664+0.00094045i,0.00019772+0.00078146i,0.0008536+0.00024619i,0.00098009+8.3977e-06i,0.00054819-0.00017174i,4.6142e-05+0.00020624i,0.00067834+0.00034066i,0.0012619+0.00016811i,0.00077663-3.3244e-05i,3.7942e-05-0.00015933i,2.793e-05-0.00051417i,-6.4243e-05-0.00072952i,-1.8095e-05-0.00030761i,0.00031423-9.5893e-05i
-0.0014021+0.0023562i,-0.00046243+0.0026295i,0.0013014+0.0028427i,0.0019016+0.0030703i,0.0024754+0.0022515i,0.0020635+0.00091566i,0.00090029+0.00079817i,7.976e-05+0.0014117i,-0.00053034+0.0011863i,-0.00060596+0.00079656i,-0.0005525+0.00074499i,-0.00037651+0.00077683i,-0.00026805+0.0011829i,-0.0008094+0.00089172i,-0.00057162+0.00043064i,-0.00023647-3.8177e-05i,-3.5303e-05-0.00051272i,6.3656e-05-0.00023521i,4.1866e-05-0.00036104i,-0.00029985-0.00025057i,-0.00046719+0.00031071i,-9.5581e-05+0.00055717i,0.00031918+0.00065098i
0.0019095+0.0004409i,0.0013284+0.00013935i,0.0023103-0.001704i,0.0035608-0.002321i,0.0028994-0.00063766i,0.0011722+0.00052182i,0.00020629+0.00068482i,0.0004607+0.00013366i,-4.9113e-05-0.00048884i,-0.00067369-0.00022277i,-0.00081921-6.5669e-05i,-0.00051011+0.00010857i,-0.00023583+0.00063018i,0.00022598+0.00081477i,0.00096536+0.00053957i,0.00077741+0.00039094i,0.00074539+0.0002239i,0.00062054-0.00036183i,0.00022832-0.00086435i,-7.759e-05+6.3357e-05i,-0.00042712+0.0012147i,-0.00047861+0.00083051i,-0.00010811+0.00048133i
-9.4865e-05+0.0010744i,0.0007759+0.00049059i,0.0012087+0.0017342i,0.00089698+0.0024174i,0.0012427+0.0022891i,0.0010747+0.0016695i,0.00088552+0.00047453i,0.00093252-0.00049074i,0.00066036-0.00040532i,-0.00018333+0.00051864i,-0.00093564+0.0010618i,-0.00097838+0.00070917i,-0.00071802+0.00034391i,-0.00044645+0.00037628i,-4.4541e-05+0.00038114i,0.00047189+9.9148e-05i,0.00058407-0.00053579i,0.00040045-0.00068802i,0.00031233+0.000397i,-3.8248e-05+0.00083031i,-0.00027066+0.00029464i,-0.00014282+0.00022792i,0.00040961+0.00017148i
0.0023231-0.0011931i,0.0015596-0.0020359i,0.0012653-0.0016847i,0.00014623-0.00012246i,-9.9012e-05+0.00055042i,-0.00030251+0.00042768i,0.00047229+0.00073319i,0.00076201+0.00098182i,-0.00016637+0.00042763i,-0.00067518-0.00011014i,-0.00040843+0.00010111i,-0.00049302+0.00053598i,-0.00031398+0.00093794i,5.091e-05+0.0012985i,-8.4058e-05+0.0013285i,0.0004739+0.00018171i,0.00059368-0.00040912i,-0.00010519-2.2353e-05i,0.00030948-6.383e-05i,0.00054553-0.00011076i,-0.00035775+7.1221e-05i,-0.0010021-0.0001563i,-0.00052766-0.00020086i
0.0018045+0.00045998i,0.0027126+0.00054889i,0.0028431+0.00020423i,0.0019124-0.00034098i,0.0012199+3.5656e-05i,0.0011785+0.00022089i,0.0012819-0.00072128i,0.00015109-0.00056814i,-0.00047182+0.00035544i,-0.00036396+0.00042515i,-0.00051442+0.000363i,-0.00046228+0.00030981i,-0.00019308+0.00029079i,0.00010973+0.00060421i,0.0001584+0.00073042i,0.00052502+0.00021289i,0.00057562-0.00064314i,0.00061446-0.00067956i,0.00077761+0.00010046i,-0.00017571+0.000556i,-0.00091701+0.00048778i,-0.0010434+0.00015702i,-0.00053948+0.00042826i
-0.0019755-7.6285e-05i,-0.0015748-0.00013174i,-0.0011379-0.0012567i,-0.00070233-0.0013634i,-0.00076059+0.00047848i,-0.00040925+0.0018553i,-0.00015124+0.0014924i,-7.6902e-05+0.00041722i,-0.00042109+0.00013554i,-0.0007195+0.00075923i,-0.00044385+0.00045763i,5.2081e-05-0.00055512i,0.00045933-0.00084549i,0.0007054-0.00047597i,0.00037206-0.00027182i,-0.00029644-0.00061866i,-0.00027188-0.00080991i,0.00021089-0.00076491i,0.00051667-0.00065352i,3.4497e-05-0.00031898i,-0.00074767+0.00026342i,-0.00079496+0.00052417i,1.6346e-05+0.00019934i
-0.0018696+0.001078i,-0.0017244+0.002302i,-0.00029254+0.0024805i,0.0011402+0.0014577i,0.0012852+0.001121i,0.00073027+0.0016004i,-0.00042362+0.00094018i,-0.00069931+6.0761e-06i,-0.00077112+8.5196e-05i,-0.0013446-0.00058371i,-0.0013478-0.00080636i,-0.00069695-0.00031884i,3.173e-05+0.00014245i,-2.9676e-06+0.00069017i,9.2738e-05+0.00043648i,0.00047352+0.00050286i,0.00066387+0.00054999i,0.00088561-4.3542e-05i,0.00098153+0.00010272i,0.00024344+0.00051137i,-3.0781e-05+0.00037917i,0.00051636-0.00011951i,0.00060709+0.00046196i
6.2581e-05+0.0036988i,0.00013008+0.0028639i,0.00071173+0.0021858i,0.0012108+0.0024764i,0.0010196+0.0022471i,0.00047331+0.0012627i,6.4868e-05+0.0005398i,0.00018706-0.00020681i,-0.00024557-0.00043918i,-0.00028773-0.00021257i,-0.00040407-0.00036562i,-0.0010396-0.00059781i,-0.0014051-0.00064592i,-0.0011026-0.00077628i,-0.00069079-0.00045308i,-0.0002067-0.00015274i,-9.7614e-05-0.00053i,0.00010838-0.00061i,0.00018868+0.00010695i,-2.8825e-05+0.00050173i,0.00095882+0.0004998i,0.0012596+0.00011178i,0.00052654-3.9787e-05i
-0.0023254+0.0017925i,-0.00086202+0.0024075i,0.0003084+0.0028062i,0.0004608+0.0036043i,0.0013468+0.0035439i,0.0022139+0.002166i,0.0015147+0.0006147i,0.00017757+0.00086192i,-0.00078234+0.0017555i,-0.00096497+0.0018474i,-0.00067062+0.0010185i,-0.00033117-3.0016e-07i,-0.00047151-0.0001441i,-0.00012199-0.00025258i,0.00043429-0.00044872i,0.00060083-0.00032217i,0.00056067-0.00045436i,0.00035588-0.00054861i,0.00025465+2.3365e-05i,-6.3992e-05+0.00024856i,-0.00034017+0.00018614i,-0.00039403+0.00018739i,-0.00012471-0.00011649i
-0.0001663+0.00013433i,0.00054531+0.00035029i,0.00025147+0.0013889i,-2.864e-05+0.0020114i,0.00031982+0.0020493i,0.00027471+0.0011598i,0.00020916+0.00039243i,-0.00024921+0.00054249i,-0.00081506+0.00038293i,-0.00076446+0.0007335i,-0.00069779+0.0012266i,-0.00032285+0.001006i,9.9179e-05+0.0007006i,0.00073699+0.00014222i,0.00074675-0.00055604i,0.0012264-0.0014554i,0.001274-0.0012481i,0.00031654-0.0006328i,0.00035264-0.0010072i,0.00095131-0.00050497i,0.00063379-0.00030047i,-0.00019337-0.00030103i,-0.00022734+0.00028473i
-0.0011199-0.00032944i,-0.00054249+0.00066254i,-0.00029729+0.0018695i,9.7122e-05+0.0025378i,0.00099386+0.0016657i,0.0014579+0.00096334i,0.0012662+0.0006615i,0.00084261-0.00015564i,0.00031464+0.00076631i,-0.00052544+0.0010406i,-0.00078381+0.00054517i,-0.00082554+0.00034736i,-0.00043846-0.00035482i,-0.00015861-5.1667e-05i,-0.00048479+0.00063734i,-0.0010568-0.00032045i,-0.00074611-0.00060536i,-0.00026036-0.00015766i,-3.1229e-05+0.00034743i,2.8461e-05+0.00077279i,-0.00040938+0.00057937i,-3.0496e-05+0.00018025i,0.00017357+0.00022661i
0.00033899+5.2618e-06i,0.00074323+5.4578e-05i,-0.00017464+0.00087823i,5.226e-05+0.0016928i,0.00098081+0.0019752i,0.0012046+0.0011913i,0.0011986+0.00049306i,0.00074314+0.0001604i,0.0002621+0.00031839i,-0.0011243+0.0015584i,-0.0011133+0.0018953i,0.00018582+0.00039939i,0.00024308-0.00027349i,-0.00011827+0.00037431i,0.00010528+0.00053881i,-0.00014296+0.00054544i,0.00040778+0.00078464i,0.00097711+0.0005522i,0.00045728-4.6198e-05i,0.00040796+6.2102e-05i,1.0608e-05+0.00021708i,-0.00012934+0.0002719i,0.00056199+0.00040387i
0.00036346-0.0015969i,0.0013475-0.00067058i,0.0018701-0.00037015i,0.0018145+0.00013727i,0.0019152+0.0011111i,0.0011049+0.0016964i,-0.00022921+0.0014185i,-0.0009075+0.00097203i,-0.001041+0.00096089i,-0.0001676+0.0010794i,0.00046103+0.00070323i,-2.7042e-06+0.00081218i,-0.0008748+0.0012873i,-0.0007076+0.00024842i,0.00023803-0.00029745i,0.00060507+0.00033282i,0.0007736+0.00015578i,0.00092125-0.00013317i,-1.0964e-05+0.0003056i,-0.00076022-0.00010275i,-0.000279-0.00023486i,-4.6033e-05-4.3948e-05i,0.0003595-0.00039425i
0.0022965-0.00021072i,0.0015297+0.00062705i,0.00044076+0.00047654i,-0.00030513-0.00060881i,-0.00060932-0.00025553i,7.7922e-05+0.00056466i,0.0012199+0.0002037i,0.0016341-0.00027163i,0.00059307-1.6509e-06i,-0.00034073+0.00010212i,-0.00087942+1.6914e-05i,-0.00051904+0.00030662i,0.00013959+0.00061247i,0.00061888+0.00061429i,0.00040687+0.00029715i,0.00015124+0.0007362i,0.0010223+0.00046455i,0.00077078-0.00016475i,6.7506e-05-2.5217e-05i,8.8039e-05+0.00010586i,-0.00018918-0.000469i,-0.00041239-0.00094247i,-0.00031126-0.00067139i
-0.0020452-0.001346i,-0.0017487-0.00077247i,-0.0019473-3.2675e-05i,-0.0009875+0.0015131i,-0.0001842+0.0032631i,0.00020118+0.0025551i,0.00060831+0.0010187i,0.0011688+0.001669i,0.00042238+0.0012121i,-0.00078134+0.00027777i,-0.00088198+0.0001927i,-0.00013358+0.00035289i,0.00043265+0.00042987i,0.00088252+0.00019263i,0.0012048-0.00019898i,0.00065355-0.00058794i,0.00028517-0.0011758i,-7.3293e-06-0.0015995i,-0.00068027-0.00064172i,-0.00089344+0.00027547i,-0.00079617+0.00010458i,-0.00066048-0.00013809i,-0.00077842+8.853e-05i
0.00095925+0.0006916i,0.00061417+0.00018667i,0.00070123+0.00037477i,0.00061919-0.00010562i,0.00015916-0.00074785i,-0.00019506+0.0001943i,-0.00049901+0.0014617i,0.00040294+0.00078051i,0.00093843-0.00047374i,-0.00050658-0.00079187i,-0.0010308-0.0002058i,-0.00049413+0.00013209i,-0.0008947-0.00018873i,-0.0002893-0.00058422i,0.00067944-0.00070796i,0.0010369-0.00028932i,0.00088792-8.5172e-05i,0.00044675-0.00044692i,0.00040661+6.3481e-05i,0.00021115+0.00023067i,0.0004983+0.00013823i,0.0007883+0.00064601i,0.00049511+0.0012346i
-0.0011969-0.00031803i,0.0005032+0.00096391i,-0.00015149+0.00071916i,-0.0010765+0.0013918i,-0.00027818+0.0026767i,0.00068922+0.0025561i,0.00020853+0.0015107i,-0.00015384+0.00021836i,-0.0001602+0.00020265i,-0.00060432+0.0015453i,-0.0010606+0.001276i,-0.0008475+0.00080845i,-0.00026813+0.00041809i,-2.0725e-05-0.00044061i,-5.4343e-05+0.00028358i,9.4595e-05+0.00045983i,0.00077355-0.00039632i,0.00091049+0.00029002i,-0.00012262+0.0011084i,-0.00066499+0.0012292i,-0.00028631+0.00055885i,-0.00031337-0.00078384i,-0.0001578-0.0018516i
-0.0014551+0.00157i,-0.00040814+0.001982i,0.0001559+0.0034826i,0.0019405+0.0045455i,0.0037516+0.0038243i,0.0034675+0.0027199i,0.0022535+0.0013296i,0.00053079+0.0011276i,-0.00078658+0.0015878i,-0.00078207+0.0010787i,-0.00037287+0.00060185i,-0.00022351-0.00014096i,0.00010448-0.00042955i,0.00039284-0.00027427i,0.00048768-0.00050757i,0.00090413-0.0007741i,0.00098445-0.00066408i,0.00040207-0.00048646i,-0.00038711-0.00095823i,2.5389e-05-0.0010072i,0.00081856-0.00029918i,0.00061445+4.654e-05i,0.00041748+0.00010712i
0.0010805-0.00083009i,0.00096998-0.00054274i,0.0013927-0.0001123i,0.001706-0.00070192i,0.001539-0.00025161i,0.0014822+0.00094489i,0.0010607+0.00154i,0.00044845+0.0008129i,-0.00060279+0.00068035i,-0.0016059+0.00086364i,-0.0014013+0.00089246i,-0.00055485+0.00068336i,0.0008323+0.00010837i,0.0013688+0.00019207i,0.0010804+0.0011384i,0.0016085+0.001123i,0.0004644+0.00077396i,-0.00076743+0.00033388i,-0.00024831-6.1288e-05i,-0.00051885-0.00047706i,-0.0010096-0.00096047i,-0.0005018-0.00063751i,0.00035453+5.9715e-06i
-0.0025624+0.0010908i,-0.0034362+0.0010824i,-0.0040912+0.0016473i,-0.0025442+0.0026945i,-0.00068133+0.0027128i,0.00017973+0.002837i,0.00041556+0.0017835i,0.00052463+0.00051367i,-3.8718e-05+0.00061804i,-0.0005032+0.0011612i,-6.1219e-05+0.0021043i,0.00071003+0.0011946i,0.001189-0.0001715i,0.0013692-8.4689e-06i,0.0014568+6.4875e-05i,0.0010577+0.00030216i,0.0013173+4.9561e-05i,0.0009946-0.00040491i,8.5362e-05+9.0503e-05i,-0.00041462+0.0010342i,-0.0012018+0.00098154i,-0.00082197+0.00050486i,3.0598e-05+0.0010988i
-0.00075346-0.00062376i,-0.0010726-0.0002099i,-5.7896e-05+0.0014457i,0.0010005+0.00252i,0.00071277+0.0026728i,0.00021633+0.0022591i,0.00016232+0.0018119i,-0.00025433+0.00097608i,-0.0012754+0.00028093i,-0.0013253+0.00024356i,-0.00086144+0.00017385i,-0.00026734+8.2449e-05i,-0.00024377-3.5296e-05i,-0.000818-0.00052118i,-0.00010464-0.00064791i,0.00095458-0.00059982i,0.00067495-0.00079249i,0.00051929-0.00094973i,0.00049707-0.00047995i,0.00030934+0.00037838i,8.0004e-06+0.00010108i,-0.00037944-0.00017874i,-0.00028102+0.00012924i
0.0012932+0.00057545i,0.0021309+0.00082736i,0.003445+0.00078485i,0.0035932+0.0010241i,0.0024021+0.00073702i,0.0017374+0.00045167i,0.0011765+0.00079224i,0.00051783+0.00074919i,-0.00047486-0.00013094i,-0.0012004-0.00035656i,-0.0010557+0.00034075i,-0.00033835+0.0012169i,-0.00049933+0.0015428i,-0.00094885+0.0008608i,-0.00055285+0.00047886i,0.00029292+0.0008102i,0.00076474+0.00087164i,0.00047111+0.00046328i,-0.0002124-0.00021564i,-0.00046716+8.2572e-06i,0.00040873+0.00068165i,0.0012185+0.00099922i,0.00070445+0.00034723i
-0.0015412-0.0014557i,-0.0031618-0.0012011i,-0.0026753-0.00055666i,-0.0010023+0.0011145i,0.00014408+0.0027471i,0.0012276+0.0025935i,0.00080816+0.0014893i,-0.00095869+0.00083957i,-0.0018699+0.0010159i,-0.00181+0.0017338i,-0.00093563+0.0016414i,-0.00016527+0.00082483i,0.00047756+0.00071111i,0.0010943+0.00027783i,0.001383-0.00036774i,0.0017979-0.00020612i,0.0010327+0.00070451i,-0.00019114+0.00023028i,-0.00035686+7.1572e-05i,-0.0001001+0.00059908i,-0.00037391+0.0010417i,-0.00051606+0.001101i,-2.3489e-05+0.00023612i
-0.00067011+0.00089684i,-0.00039656+0.0017786i,0.00012337+0.0021577i,0.00031805+0.0018145i,0.00020127+0.0013367i,-0.00038132+0.0012367i,-0.00048335+0.0012375i,-0.00074122+0.0012637i,-0.0016734+0.0011054i,-0.0013582+0.0017914i,-0.0004207+0.0020157i,-0.00029748+0.00096685i,-0.00036419+0.00048289i,-0.00024575-2.9779e-05i,-7.1207e-05-0.00058958i,0.00076743-0.00065106i,0.001684-0.00054443i,0.0017174+8.4726e-05i,0.00047519+0.00026951i,-0.00042908-0.00022345i,-2.4801e-05-0.00036514i,0.00043087-7.8353e-05i,0.00052837+0.00012434i
0.0020471+2.2977e-05i,0.0018005-7.8628e-05i,0.0012059+0.00019463i,0.00063175+0.0016788i,7.7724e-05+0.0028704i,-0.00052352+0.0024003i,-0.00010226+0.00082104i,0.00028685-0.00042332i,0.00044471-0.00028597i,0.00058735+0.00073239i,0.00012699+0.00087307i,-0.00045836+9.3955e-05i,-0.00081007-0.00059497i,-0.00038316+0.00055458i,0.0005226+0.0016834i,0.00075918+0.00062358i,0.0011173+3.6961e-05i,0.00036446+0.00086704i,-0.00063301+0.0009316i,-3.6972e-05+0.00086536i,-0.00036803+0.0010492i,-0.0014313+0.00077912i,-0.0010402+0.00055288i
0.0007595-0.0004269i,0.0012037-0.0013623i,0.0012825-0.00038357i,0.001277+0.0002587i,0.00049427+0.00092695i,0.0001679+0.0019472i,0.00080747+0.0018631i,0.00059782+0.0014635i,0.00015721+0.001332i,0.00023451+0.000697i,2.5813e-05+0.00073482i,-0.00049182+0.00071849i,-0.00071845+0.00069574i,-0.00037603+0.00063162i,0.00032734+0.00040249i,0.00086764+0.00028922i,0.0006313-1.8353e-05i,-0.00014826-0.00053817i,-0.00038648+0.00013816i,-0.0002736+0.00017178i,-0.0008659-0.00043008i,-0.0014494+0.00056976i,-0.00051833+0.0010298i
-0.00017463-0.0031082i,-0.0012351-0.0017152i,-0.0026136-0.00019339i,-0.0021243+0.001445i,-0.0013238+0.0024818i,-0.00036079+0.0027185i,0.00019368+0.0017518i,-0.00084065-0.00016341i,-0.0019787-0.00047396i,-0.0020381-0.00021255i,-0.0017018-9.0846e-05i,-0.0010899+0.00015012i,-0.00038489+0.0004793i,0.00011637+0.0012498i,-0.00014117+0.001246i,-0.00045071+0.00069591i,-0.00051603+0.0004832i,-0.00050902-2.9324e-05i,-0.00089342+8.4697e-05i,-0.0013192-5.9596e-05i,-0.001138-0.00012384i,-0.00095125+0.00034331i,-0.00049722+0.00016871i
-0.0013545+0.0016028i,0.00089277+0.001534i,0.0021905+0.0011809i,0.0032618+0.0010772i,0.0042369+0.0018118i,0.003411+0.0020399i,0.0018099+0.0011543i,-0.00022937+0.00045844i,-0.0015933+0.00029738i,-0.0016923+0.00020484i,-0.0013141-0.00019807i,-0.00068152-0.0009661i,-9.5969e-05-0.0010236i,-0.00031523+0.00013942i,-2.8408e-05+0.00078032i,0.00081456+0.0005229i,0.00048266+0.00065939i,-0.00036785+0.00014489i,-0.00026074+6.9436e-05i,-0.00021069+0.0010072i,-0.00013034+0.00083547i,9.314e-06+0.00022997i,0.00032996+0.00011995i
0.0001547-0.0018541i,0.00039485-0.00024604i,-0.0012483-0.00020625i,-0.0021738+0.00047077i,-0.0016537+0.0024049i,-0.00056151+0.0030428i,-3.8503e-05+0.0019463i,0.00019483+0.00093482i,-0.00021442+0.00047793i,-0.0010264+0.00048204i,-0.0007841+6.7989e-05i,0.00087177-1.9577e-05i,0.001291+0.00016455i,0.00047183+0.00056461i,0.00010493+0.00023639i,9.0197e-05-0.00064888i,-0.00047638-0.0013633i,-0.00091507-0.00118i,-0.00098593-0.00063252i,-0.00022915-0.00063953i,0.00058554-0.00039509i,8.7769e-05+0.00016114i,-0.0003802+0.00053477i
0.0005885-0.0018122i,-6.2863e-05-0.0018899i,0.0011777-0.00077896i,0.0011467+0.00029025i,8.9422e-05+0.0012898i,-0.00053485+0.0023018i,-0.00039681+0.002184i,-0.00026128+0.0006532i,1.8493e-05-0.00053272i,9.2883e-05-0.00033114i,-0.00044523+0.00033181i,-0.00066616+5.0983e-05i,-0.00012592+0.00051059i,0.00057254+0.0012521i,0.00086523+0.0012165i,0.00058986+0.0010292i,-0.00015886+0.00070031i,-0.00078264+0.00028187i,-0.00061648-8.4734e-05i,-0.00036643-0.00048831i,-0.00081853-0.00027013i,-0.00054554+0.00043294i,-7.3338e-05+0.00050996i
-0.00093461+0.0014401i,-0.0012864+0.0011771i,-0.00071596+0.002364i,0.0013885+0.0031451i,0.0023674+0.002305i,0.0015172+0.0011772i,0.0007966+0.00050903i,0.00032678+0.00019259i,-0.00071551-9.8223e-06i,-0.0010411-4.8136e-06i,-0.00045424-0.00020007i,0.00011687-0.0005529i,-0.0003802-0.0002263i,-0.0008364+0.00049989i,-4.0461e-06+0.0010176i,0.00051447+0.00054793i,0.00044901+0.00032762i,-2.8349e-05+0.00051405i,-0.00079002+0.00082196i,-0.00059718+0.00067112i,-0.00047759-0.00016754i,-0.00073686-0.00057314i,-0.0011514-4.9284e-05i
-0.001346+0.0001606i,-0.0018345+0.0003111i,-0.0016738+0.0015284i,-0.0012593+0.0026517i,-0.00076813+0.0026187i,-0.00010608+0.0021582i,0.00065157+0.0017945i,1.308e-05+0.0013468i,-0.0013493+0.00057334i,-0.0017605-0.00038514i,-0.00089512-0.00081076i,-0.0002884-0.00041167i,-4.7393e-06-0.00037979i,0.00055262-0.00069878i,0.00060968-0.00022284i,0.00089038-0.00015058i,0.0013941+0.00019353i,0.00058602+0.00054212i,0.00028565+0.00041862i,-2.2815e-06+0.00047364i,-0.00023737+0.00067324i,-0.00018806+0.0012032i,0.00021858+0.0012538i
-0.0014375+0.00041516i,-0.0013802+0.0013704i,-0.0016304+0.0027087i,-0.00078014+0.0027749i,-2.6661e-07+0.0011851i,0.00071381+0.001195i,0.0010467+0.0013941i,0.00012929+0.00080061i,-0.00084213+0.00090854i,-0.0012022+0.0012052i,-0.0011307+0.0011262i,-0.0010421+0.0010905i,-0.00046343+0.00047319i,0.00060195-5.9876e-05i,0.0014746-0.00038759i,0.0014113-0.0009271i,0.0011341-0.0012125i,0.0010753-0.000902i,0.00017724+2.3368e-05i,6.2752e-05+9.8829e-05i,0.0011627+0.00022348i,0.0012637+0.00068753i,4.9815e-05+0.00069169i
0.00034511+0.0019421i,0.001076+0.0020014i,0.0018225+0.0027409i,0.0034652+0.0022457i,0.0041085+0.001492i,0.0031275+0.0011845i,0.002265+0.0012969i,0.0014331+0.00075704i,0.00068371-7.393e-05i,0.00010046+0.00018421i,-0.00046808+0.0004326i,6.2557e-05+3.4162e-05i,0.00017056-0.00014982i,0.00018047+3.6278e-05i,-0.00025503-0.0001071i,-0.0011856-0.00073701i,-0.00077175-0.0012272i,0.00012475-0.0013217i,-3.3964e-05-0.00075995i,-0.00013587-0.00024856i,-0.00015356-0.00065082i,-0.00024176-0.00071233i,-0.00028001-0.00033256i
0.0018029-0.00090273i,0.0010738-0.00070951i,0.0010935+9.999e-05i,0.00076669+3.007e-06i,0.00029372-0.00014848i,0.00022564+0.00098158i,-0.00033755+0.0011477i,-0.000927-0.000244i,-0.00094676-0.00056442i,-0.00099691+0.00037213i,-0.0011056+0.00041537i,-0.0006033+0.00049296i,-0.00038861+0.00105i,-0.00073314+0.00089231i,-0.00052478+0.0001977i,0.00021085-6.5073e-05i,0.00026144-0.00021172i,-5.6991e-05-0.00054324i,-0.00037294-0.00027507i,-0.00074651-0.00044764i,-0.00090447-0.00054033i,-0.0014325+0.00028799i,-0.0017283+0.00088071i
0.0001892+0.0019936i,0.0014944+0.0012971i,0.0021436+2.4044e-05i,0.0017178-0.00053143i,0.0014152+0.00018425i,0.0015591+0.0010166i,0.0012119+0.0010957i,0.00016556+0.00037815i,-0.00035372-0.00069287i,-0.0003621-0.00067874i,-0.00079301-0.00013591i,-0.00088402-0.00024162i,-0.0011111-0.00040125i,-0.0013288+0.00015475i,-0.0011859+0.00040543i,-0.00082453+0.00035644i,-0.00089319+0.0010027i,-0.00089579+0.001015i,-0.00076736-0.00018051i,-0.0010843-0.00051813i,-0.00089125+5.0309e-05i,-0.00044468+0.00055011i,-0.00018293+0.0010042i
-0.00027638+0.002202i,0.0010628+0.0016307i,0.0024882+0.0017165i,0.0024094+0.0021935i,0.0010457+0.0035295i,0.00077956+0.0025477i,0.001266+0.00053376i,0.00045059+0.00094495i,-0.00045616+0.001158i,-0.00050728+0.00088774i,-0.00041679+0.0010752i,0.00021672+0.00035978i,8.1717e-05-0.00017002i,-0.00022424+0.00039914i,0.00088891+0.00070204i,0.0012969+0.00014097i,0.0010495-0.0002882i,0.0010837-0.00020809i,0.00035688-0.00044566i,2.0888e-05-0.00080914i,0.00082002-0.00051101i,0.00078147+0.00025778i,0.00041247+0.00098791i
0.00068533-0.001759i,-1.4751e-05-0.00082348i,-0.00021964-0.0014688i,-0.00084732-0.0008755i,-0.0015748+0.0007418i,-0.00073371+0.002404i,0.00045476+0.0024736i,0.00042147+0.0003592i,-0.00038132-0.00033173i,-0.0010661+0.00028863i,-0.00092316+0.00088784i,0.00010338+0.0009151i,0.00073966+0.0014782i,0.00061767+0.0010421i,0.00033685-0.0003807i,0.00081299-0.00059902i,0.00095998-0.0006601i,0.00012172-0.00081805i,-0.00066823-0.0011418i,-0.00025843-0.00063189i,0.00059658+0.0005781i,0.00046198+0.00058676i,0.00027883+0.00040337i
