-0.0044642-0.0005217i,-0.001994-0.0011883i,-0.0020115-0.0010094i,-0.00132+0.0014048i,-8.5163e-05+0.0030682i,0.00022098+0.0030597i,0.00013091+0.0020581i,0.0006866+0.0013484i,0.0006375+0.0012057i,0.00041944+0.00095203i,0.000637+0.00034105i,0.00047585-0.00080469i,0.00028684-0.0013542i,0.00027168-0.0010479i,0.00050493-0.00026163i,0.00054131-0.00011698i,-0.00044489-0.00092683i,-0.0012065-0.00059162i,-0.00095541+0.0006243i,-0.00047553+0.0011236i,2.527e-07+0.00070914i,-0.00017498+0.00058462i,-0.00052172+0.00084915i
0.0024312-0.0021834i,0.00067528-0.0018457i,-0.00010967-0.0023998i,-2.6671e-05-0.0022458i,-0.00047259-0.0017769i,-0.0011231-0.0014601i,-0.0009552-0.00043698i,0.00018118+6.3511e-05i,-9.236e-05+0.0002726i,-0.00056348+0.00047183i,7.7403e-05+0.0001371i,0.00022734+0.00031079i,-0.00083924+0.00053709i,-0.0016807+0.0001216i,-0.00086606-0.00035014i,-5.8047e-05-0.00042377i,-8.8047e-05+8.0818e-06i,-0.00015503+0.00067658i,-0.00066054+0.000931i,-0.00083837+4.0798e-05i,-0.00019151-0.00050568i,0.00067018-0.00044619i,0.00022227-0.0013001i
-4.6965e-05-0.0013514i,-0.00011898-0.0013761i,-0.0001593-0.0018147i,-0.0010085-0.0011029i,-0.00063271+0.00047838i,-0.00038608+0.0010665i,-0.00046899+0.00047288i,-4.165e-05-0.00029445i,-0.00052575-0.00038173i,-0.00099406+4.6161e-05i,-0.00033052+6.5773e-05i,0.00043895+0.0001047i,0.00046689+0.00063087i,-0.00019288+0.0010387i,-0.0010026+0.00096928i,-0.0011083+0.00031079i,-0.00014136-0.0001236i,0.00028538-0.00010671i,0.00015022-0.00055404i,-0.0001163-0.0008011i,-0.00056952-0.00077699i,-0.00021787-0.00043201i,-0.00017243-0.00028454i
-0.00075349-0.00090033i,0.00013948-7.6866e-05i,-9.6787e-05-9.7114e-05i,0.00085093-7.2094e-05i,0.0018707+0.0011153i,0.0012113+0.0012224i,0.00057422+0.00020905i,0.0002717-0.00070303i,0.00033527-0.00089326i,0.0007684-0.00057872i,0.0013651-0.00019815i,0.0013574+0.00065742i,0.00068808+0.0003601i,0.00068891-1.0198e-05i,0.00085367-0.00012761i,0.00035674-0.00049554i,2.134e-05-0.00057205i,-0.00026689-0.0004618i,-0.00034294-0.00015628i,-3.6256e-05+0.00028614i,-0.00041738-0.00015295i,-0.00045268-0.00084009i,0.00034414-0.00056161i
0.0002512-0.00028548i,0.0013181+3.1119e-05i,0.0017104-0.00050618i,0.00090522-0.00043094i,0.00033191-0.00051336i,0.00019885-0.00057196i,-2.5918e-06+4.7551e-05i,-0.00010128+0.00028663i,-0.00033559-0.00013757i,-0.00034792+0.00024239i,-0.00097396+0.00079139i,-0.0011963+0.00090092i,-0.0006311+0.00073041i,-0.00050079+0.00068543i,0.00019071+0.00040454i,0.00049204-4.2029e-05i,-0.00016903-0.00097026i,-0.00021146-0.00074751i,3.8565e-05+0.00064023i,0.0007799+0.0014508i,0.0010594+0.0010731i,0.00060441-0.00026155i,0.00055331-0.00083479i
0.0017437-0.0020638i,0.00039075-0.0024095i,0.00033291-0.0024103i,-0.00019073-0.001861i,-0.0010043-0.00091823i,-0.0017007+0.00026704i,-0.00084751+0.00058169i,0.00043266-0.00055407i,5.6719e-05-0.00060645i,-0.00073131-0.00024862i,-0.00090315-0.00046894i,-0.00077384+3.3159e-05i,-0.00065339+0.00060304i,-0.0004857+0.00047422i,-0.00022982-2.3199e-05i,-0.00035509+5.4302e-05i,-0.00057413+0.00017249i,-6.4897e-05-0.00029263i,0.00043498+0.00022166i,0.0002169+0.00012368i,0.00025+0.00017954i,0.00035295+0.00069864i,0.00046675+0.00069884i
0.00113-0.00053199i,0.0023905-0.0021578i,0.002252-0.0030924i,0.00083848-0.0025434i,0.00012723-0.00081582i,-0.00028252+0.00082631i,-9.0337e-05+0.0012858i,4.4698e-05+0.00030093i,-0.00031521-0.00080778i,-0.00017465-0.00045084i,0.000203-0.00011738i,-0.00013308-0.00061309i,-0.00028015-0.00061926i,-0.00025961-0.0008152i,-0.00044055-0.00093929i,-0.00044797-0.00086781i,7.2678e-05-0.00096507i,0.000816-0.00042274i,0.0010499+0.00041737i,0.00042605+0.00077725i,-0.00048457-0.00030796i,7.0945e-05-0.0010858i,0.00069056-0.00070742i
0.00095561-0.00027632i,0.0015445-0.00125i,0.002054-0.0019121i,0.001673-0.0014389i,0.00062554-0.00079935i,0.00014969-0.00033618i,0.00035452+0.00018397i,0.0001462-0.00026982i,-0.00062365-0.00086326i,-0.00059631-0.00090774i,0.00044926-0.00085222i,0.00047263-0.00088385i,0.00029297-0.00094722i,0.00066486-0.00041797i,0.00028256+3.0615e-05i,-0.00024558+8.9416e-05i,-4.9646e-06-0.00020963i,0.0004065-0.00067108i,-0.00015411-0.00024559i,-0.00043944-0.00017933i,0.00026761-9.6059e-05i,0.00079688+0.00015896i,0.00067625-0.0004101i
0.0013193-0.0026695i,0.00040559-0.002243i,-0.00013578-0.0015589i,-0.00011674-0.00022498i,-5.7716e-05+0.00020811i,0.00088471-0.00024303i,0.0015808+8.538e-05i,0.0011532+9.619e-05i,-9.8087e-05-0.00081662i,-0.0010254-0.00088316i,-0.0005925-0.0010263i,0.00013133-0.00062344i,0.0004948-2.6823e-05i,0.00011919+6.8524e-06i,-0.00058531-1.6938e-05i,-0.0006681+0.00041564i,-0.00064141+0.00042055i,-0.00072187-5.5779e-05i,-7.6982e-05+7.2008e-05i,0.00024191-0.000363i,0.00013404-0.00056678i,-0.00052693-8.6985e-05i,-0.00093523-0.00053592i
-0.00089672-0.00051016i,4.472e-05-0.00081355i,0.00054285-0.00060197i,0.00017753+0.00059875i,0.00015956+0.00050695i,2.7602e-06-0.00060444i,-2.6261e-07-0.00049788i,1.8037e-05-0.0003083i,-0.00049608-0.00018044i,-0.00079116+0.00029402i,-0.00069432+0.00055006i,-0.00043286+7.6717e-05i,0.00032058+3.6681e-05i,0.0013052+0.00028929i,0.0015702+0.0001389i,0.00058162+2.6698e-05i,-0.00076563+0.00011602i,-0.00067565+0.00041506i,8.9778e-05+0.00019435i,0.00051156-0.00032573i,0.00044331-0.00036915i,0.0005696-0.00027842i,0.00010246-7.5851e-07i
-0.00087855+0.00011449i,4.1592e-05+0.00071394i,0.0011277+0.00083531i,0.0015909+0.00036623i,0.0015345+0.00045385i,0.00080456+0.0004454i,-4.0286e-05-7.7393e-05i,-0.00035861-0.0004322i,-0.00030835-0.00018128i,-3.1898e-05-8.1803e-05i,0.00018222+0.00024241i,-0.00010626+0.00011245i,8.4129e-05-0.00051625i,0.00040459-0.00053761i,4.7378e-05-0.00044782i,-0.00020056-0.00040638i,-0.00082684+0.00019032i,-0.00087778+0.00033724i,-0.00015085-0.00024384i,3.5592e-05-0.00064652i,-0.00041362-0.00027993i,-0.00069132-4.5199e-05i,-0.00010257+0.00025825i
-0.00015154+0.0015861i,0.001315+0.0007159i,0.0023399+0.0015893i,0.002319+0.0015112i,0.0020512+0.00066858i,0.0015926+0.00040803i,0.00066802+0.00090159i,6.8463e-05+0.0010274i,-0.00028617+0.00015181i,-0.00042934+0.00024513i,0.00020162+0.00052821i,0.00056619+2.1441e-05i,0.00057926+1.8097e-05i,-0.00046295-9.7727e-05i,-0.0008572-0.00018879i,-0.00035632+0.00020455i,0.00010218+4.9632e-05i,-7.7411e-05-0.00053183i,-0.00053425-0.00076377i,0.00018656-0.0010779i,-5.0767e-05-0.00037439i,-0.00069848+0.00013024i,-4.6805e-05+0.00054831i
0.0016327+0.00042542i,0.00097263+0.00055723i,0.0013108+0.00091495i,0.0016058-8.7148e-05i,0.0017947-0.00066171i,0.0017644+0.00019878i,0.001164+0.0004377i,0.00077623-0.0004643i,0.00023072-0.00048808i,0.0001861-0.00022926i,0.00079724-0.00013722i,0.00076354-0.00019375i,0.00032822+0.00032262i,-9.1776e-05+0.00074332i,-5.5859e-05+2.5704e-05i,6.3188e-05-0.00048143i,-0.00033193-0.0002854i,-0.00038258+7.9558e-05i,0.00019813-4.3534e-05i,0.0006713-3.342e-05i,0.00050094+0.00016571i,-0.00011881+0.0002911i,0.00020713+0.00013527i
0.00072602-0.0011136i,0.0010342-0.0010944i,0.0012666-0.00099753i,0.0016896-0.00030462i,0.0013651-0.00074437i,0.0010716-0.00083914i,0.00090965-0.0007605i,0.0013561-0.00074269i,0.00083997+0.00053531i,-0.0011636+0.0012573i,-0.0013699+0.00078489i,-0.00050897+0.00010862i,-0.00014199+0.00018507i,0.00040937+0.0001476i,0.00033048-0.00013922i,-0.00036672-0.00019114i,-0.00078515-0.00013616i,-0.0011467+0.00021981i,-0.0013015-0.00024249i,-0.0010486-0.00066211i,0.00021884-0.00062469i,0.0009489-0.00076883i,0.00045847-0.0012144i
-0.00076588-0.0023634i,-0.00074632-0.0020414i,-0.0013576-0.0017379i,-0.0015478-0.0011004i,-0.0013199+0.00013661i,-0.0012584+0.00093698i,-0.00090091+0.00032048i,7.06e-05+0.00031025i,0.00085342+0.00083453i,0.00039327+0.00052249i,-0.00049978+0.00023214i,-0.000516+0.00065506i,-0.00048969+0.00046928i,-0.00080792+6.6068e-05i,-0.00069483+0.00038591i,-0.00046437-9.1958e-05i,-0.00045801+0.00023829i,-0.00027839+0.00041922i,-0.00022543-1.0272e-05i,-0.00064821-0.00015945i,-0.00071599+0.00042607i,-0.00016152+3.3172e-05i,0.00028997-0.00028879i
-0.00033239-0.0010937i,0.00032454-0.0022555i,-0.00030948-0.00091277i,-0.00051714+0.0013528i,-0.00047023+0.0016955i,-0.00044768+0.00070431i,-3.694e-05+0.00044398i,2.9602e-05+0.00010057i,2.613e-05-0.00065478i,-0.00035837+0.00043684i,-0.00074613+0.0019493i,-0.00072493+0.0011388i,-0.00044975-9.0411e-05i,0.00040247-6.1139e-06i,0.00017612+0.00026002i,-0.00044958-4.4488e-06i,-0.00022258-0.00069866i,0.00030269-0.0016948i,0.00024719-0.0017909i,8.6356e-05-0.0010919i,-6.6622e-05-0.00098916i,-0.00049613-0.00012895i,-0.00068685+0.00097456i
8.8117e-05-0.00071803i,0.00048442-0.0010461i,0.00034022-0.00021383i,0.0013942+0.0011939i,0.0023486+0.0013611i,0.0012137+0.0013109i,-5.4087e-05+0.0010752i,-0.00057931+0.00026361i,-0.00059798-0.00038648i,0.00013207-0.00065256i,0.00072129-0.00049745i,0.00063437+0.00011462i,0.00013361+0.00037401i,0.00020023+0.00046199i,0.00084744+0.00065675i,5.5516e-05+0.00048208i,-0.0010422+0.00031033i,-0.00094418+0.00039447i,-0.00057794+0.0006104i,-0.00021445+7.0132e-05i,-0.00053284+7.5217e-05i,-0.00087613+0.0012471i,-0.000622+0.0013855i
0.0015225-0.00081742i,0.00022174-0.001881i,0.00088722-0.0017964i,0.001435-0.001096i,0.00056586-0.00085624i,-2.1281e-05-0.00057579i,-6.4864e-05-0.00023558i,0.00040438+3.0359e-05i,0.00066678+1.775e-05i,7.4443e-05-0.00020778i,-0.00081415-0.00068395i,-0.0008697-0.00041582i,-0.00079177+0.00015373i,-0.0005695+0.00050705i,7.9589e-05+0.00078315i,0.00095884+0.00035783i,0.00045099-0.00030876i,-0.00043117-0.00010588i,-0.00035824+0.0006364i,-0.00016968+4.602e-05i,-0.00035147-0.00032753i,0.00023891+0.00029765i,0.0006103+0.00016076i
0.00039583-0.002913i,-0.00019854-0.0032687i,-0.00127-0.0025501i,-0.0027419-0.00047199i,-0.0033969+0.00032683i,-0.0025092+0.00073025i,-0.001269+0.00029455i,-0.00096492-0.00037311i,-0.00056181-0.0010313i,-0.00057061-0.00046236i,-0.0010158+0.00027901i,-0.0011516+0.00015258i,-0.00071927+6.6661e-05i,0.00018591-8.285e-05i,0.00073191-0.00017309i,0.00033725-0.00059903i,-0.00040983-0.00089025i,2.6386e-05-0.00092599i,0.00033069-0.00093069i,0.00024809-0.00092373i,-6.5131e-06-0.00010601i,-0.00027932+0.00030123i,4.0238e-05-0.00024647i
0.0013255+0.00038877i,0.0010349-0.00013546i,0.0007774-7.6254e-05i,0.00057024+0.00080913i,0.00057182+0.00099261i,0.00027369+0.00012923i,-0.0001746-0.00015377i,-0.00076691-0.00012852i,-0.00064765-0.00077406i,-0.00050101-0.0010084i,-0.00013253+0.00014737i,0.00024157+0.001176i,-0.00016278+0.00069063i,-0.00041959+0.00049525i,-0.00062302+0.00059975i,-0.00013685-0.00028922i,-4.6353e-05-0.00064129i,-0.00038744-0.00072165i,0.00013396-0.0013173i,-0.00023744-0.00092435i,-0.001449-0.00032015i,-0.00091497-0.00056308i,0.0004953-0.00092416i
0.0019134-0.0011332i,0.00090576-0.0026235i,-0.00026326-0.0029131i,0.00020955-0.0013522i,0.00021561+4.8022e-05i,0.0001076+0.00083448i,-5.5033e-05+0.0011673i,-0.0011252+0.00024997i,-0.0011184-0.0008405i,-0.00072569-0.00078774i,-9.1499e-05-0.0011128i,0.00058017-0.00054861i,0.00060096-0.00024981i,0.00013893-0.0005585i,1.9962e-06+0.00010598i,0.00024125+0.00058511i,-0.00049849+0.00022391i,-0.0011371+0.00035089i,-0.0011024+0.0005085i,-0.00038273+0.0006967i,3.4847e-06+0.0013273i,-0.00031045+0.00056775i,-0.00065592-0.00083584i
-0.0019298-0.0010174i,-0.0013376-0.0016246i,-0.00018715-0.0014329i,-0.00013341+0.00015472i,-0.00082218+0.00077445i,-0.0011267-0.00023371i,0.00040126-0.00051689i,0.0013542+0.00035712i,0.00085681+0.00051634i,2.8165e-05+0.0001501i,-3.2284e-05-0.00039074i,4.9304e-05-0.00033237i,-0.0011019+0.00072958i,-0.00097806+0.0012061i,-0.00015033+8.0868e-05i,0.00056829-0.0008298i,0.00044623+1.7747e-05i,0.0001179+0.0007903i,0.00018909+0.00067658i,-0.00044398-0.0001099i,-0.00038532-0.00025291i,0.00030821+0.00011916i,0.00018289+0.00050704i
0.00088893-0.0025697i,0.00059257-0.0018219i,-5.8878e-06-0.0010538i,-0.00032359+0.00043136i,-0.00060041+0.00098607i,-0.00080879-6.6444e-06i,-0.00056379-0.0015179i,-3.5826e-05-0.0019522i,0.00056522-0.00023097i,0.0001203+0.0002422i,-0.00038852-0.00059006i,-0.00048111-0.00052226i,-0.000383-8.006e-05i,-0.00051879+0.00012871i,-0.00036037+0.00036693i,-0.00042423+0.00078994i,-0.00013513+0.00024889i,-0.0001578-0.00026974i,-0.00045975-6.9026e-05i,-0.00048766-0.00025745i,-0.00035409-0.00046239i,0.00016612-0.00035593i,0.0005064-0.00050338i
0.00055844-0.0014928i,0.0004167-0.0021813i,-0.00089061-0.0012298i,-0.00048437-2.5787e-06i,0.00014972+0.0012854i,-0.00083732+0.0013326i,-0.0012778+0.00039234i,-0.0010978-0.00058379i,-0.00086606-0.0018679i,-0.00025575-0.0014411i,-6.8831e-05-0.00021385i,0.00015478+0.00049126i,0.00055975-0.0001588i,5.8621e-05-0.00042648i,-5.9989e-05+0.00024042i,-0.00013942+0.00024191i,-0.0010953-0.00015222i,-0.0010682-0.00061229i,-0.00034656-0.0003014i,0.00063253-0.00047404i,0.0012419-0.00084998i,0.00060831-0.00035259i,-6.0547e-05+2.0801e-05i
-0.00030421-0.0010914i,-0.00026748-0.00062853i,-0.00017011-0.00070622i,0.00055609-0.00014754i,0.0012499+0.00065083i,0.00095255+0.00093275i,-0.0004408+0.0012125i,-0.0012153+0.00059758i,-0.0010812+5.5478e-05i,-0.00080761+0.00052748i,-0.00092355+0.00075218i,-0.00084846+0.00016275i,-0.00023338-0.00028176i,0.00024771+9.9728e-05i,0.0005577+0.00015258i,0.00012562-3.1482e-05i,-9.5151e-05+0.00011055i,-0.00016734+2.3162e-05i,-0.0001359-0.00061671i,0.00036133+7.5088e-05i,0.00022958+0.00062912i,0.00022184+0.0001931i,0.00084118-0.00021912i
0.00012806-0.0016247i,0.00067214-0.0020516i,7.5449e-05-0.0010251i,0.00015815-0.00010522i,0.00056517-3.5024e-05i,0.00048561+0.00037627i,0.00040394+0.0006237i,0.00048602-6.0463e-05i,0.0006664-0.00032542i,0.0001977+0.00024609i,-0.00017138+0.00016103i,-0.00013853-0.00031782i,-0.00043334+3.805e-05i,-0.00068245-1.0025e-05i,-0.000565-9.0173e-05i,-0.00034275-0.00044398i,-0.00015629+2.5077e-06i,-0.00032851+0.0011063i,-0.00043298+0.0013605i,-0.00054225+0.00068473i,-0.0002514-6.2386e-05i,0.00021523+0.00014477i,0.00075957-0.00022785i
0.0022089-0.00076717i,0.002242-0.00095994i,0.0005982-7.7878e-05i,-0.00079164-0.00062129i,-0.0004806-0.00074549i,-0.00043981-0.0011972i,-0.00067467-0.001055i,7.1125e-06+8.3139e-05i,0.00080289+0.00015574i,-4.1822e-05-1.4133e-05i,-0.00059069-2.6118e-05i,-0.00048382-1.8716e-05i,-0.00065843+0.00027538i,0.00018892+0.00083037i,0.00025794+0.0004338i,6.7136e-05-0.00012348i,0.00016754-0.00019856i,5.7223e-05-0.00014772i,-0.00054568+0.00010857i,-0.00017859+0.00010339i,0.00087915+0.00039892i,0.00062838+0.00046477i,0.00027353-0.00019943i
-0.0016843-0.0016377i,-0.001932-0.0011607i,-0.0012002-0.0010397i,0.0002575+0.0002169i,-0.00082722+0.00171i,-0.0019114+0.00074958i,-0.0015585+0.00020518i,-0.0013135+1.033e-05i,-0.0010538-0.00069495i,-0.0007097-0.00033771i,-4.6028e-06+0.00031837i,0.00028376+0.00032041i,0.00017369-0.00040118i,0.00027996-0.00078409i,-0.00029112-0.00048505i,-0.00049168-3.2723e-05i,5.2672e-05+2.8181e-05i,0.00022591-0.0005254i,-0.00021096-0.00081945i,-0.00030997-0.00078603i,0.00011199-0.00036241i,0.00032136+9.306e-05i,0.00020593-0.00017417i
-0.00097159-0.0018172i,0.00071769-0.00064646i,0.00015674+0.00084188i,-0.00040507+0.001418i,-3.7722e-05+0.0022969i,-8.3938e-05+0.002288i,-0.00030771+0.0012296i,-0.00089003-0.00030621i,-0.0012041-0.00093349i,-0.00081979-0.00055762i,-0.00011821+1.5028e-05i,5.0566e-05+0.00027271i,0.00065095-0.00029134i,0.00074436-0.00082602i,0.00028539-0.00081899i,0.00016215-0.00061577i,0.00013972+0.00018875i,-0.00036546-3.3175e-05i,-0.00051746-0.00095405i,-5.9859e-05-0.00093303i,0.00068066-0.00068551i,0.0010583-0.00039746i,0.00077266-0.00021976i
0.00026056+0.0015215i,0.0005682+9.8635e-05i,0.00021601+0.00039441i,0.00080447+0.00052062i,0.0016461-0.00029698i,0.0018183-0.00069974i,0.00063188-0.00046801i,-6.787e-05-0.00027399i,0.00014648-0.00018265i,0.00030344-0.00046181i,5.5575e-05-0.0011933i,-0.00073895-0.0011557i,-0.00092864-0.00021687i,-0.00010439+0.0007673i,0.00058484+0.00097438i,-7.9412e-05-4.5976e-06i,-0.00026038-0.00035286i,0.00040977+0.00041059i,0.00038894+0.00056045i,0.00031545+0.00046241i,0.0002151+0.00061406i,0.00020324+0.00014413i,0.0006194-0.00040845i
-0.00096267-0.0010593i,-0.0011934-0.0014005i,-0.00044042-0.0010746i,5.1736e-05-0.00024946i,-0.00073546-0.00016275i,-0.0010632-0.00025404i,0.00016765-0.00011754i,0.0012162-0.00090349i,0.00035115-0.0015473i,-0.00019767-0.00057673i,0.0008476-0.00036194i,0.0011932-0.00081366i,0.0010355-0.00035998i,0.00075159+0.0003009i,1.4753e-05+0.00066867i,2.585e-05+0.0004838i,0.00028705-0.00015656i,-0.00026722-0.0001391i,-0.00048781+0.00021737i,-0.00017101+1.552e-05i,0.00022525-0.0004015i,0.00080413+7.4096e-05i,0.0007551+0.00057707i
0.0021552-0.00038061i,0.0017816-0.0010525i,0.0016405+0.00014712i,0.0012558+0.00029331i,0.00017201-0.00032202i,-0.0016108-0.00078687i,-0.0019647-0.001188i,-0.0009452-0.0016579i,-0.00080729-0.0018296i,-0.00074191-0.0014186i,-4.1025e-05-0.00066793i,0.00021578-0.00014694i,0.00048275-0.00056735i,0.00045913-0.0006744i,0.0002046-0.00014504i,0.00036481-0.00014617i,0.00028934+0.00011486i,6.212e-05+0.00033149i,-0.0001434-0.00018236i,0.00049015-0.00035159i,0.0011609+0.00043237i,0.00065233+0.00040519i,0.00024926-0.00043929i
0.0018966-0.00037167i,0.0011057-0.0013i,0.00064201-0.001917i,0.00024881-0.001494i,-0.00053509-0.0006275i,-0.001949+0.00029109i,-0.0023177+0.00077924i,-0.0012231+0.00063238i,-0.0012358+6.1145e-05i,-0.0015547+0.0004999i,-0.0017215+0.00097153i,-0.0011855+0.00015728i,-0.00057355-0.00062835i,-0.00037589-0.00089349i,-0.00016139-0.00064692i,-0.00037303-0.00018268i,-0.00014003-0.000382i,-2.2326e-05-4.63e-05i,-0.00018691+0.0004109i,-0.00032599+0.00021481i,-0.00034122-2.2535e-06i,-0.0001593-0.00033986i,-2.5562e-05-0.00048527i
-0.0030239+0.0027153i,-0.00090105+0.0021302i,-0.00018829+0.0013277i,0.0008665+0.0011386i,0.0022653+0.0012216i,0.0029668+0.0010056i,0.0020884+0.0013488i,0.0010529+0.0010085i,0.00019331+0.00052716i,-0.00022795+0.0011288i,0.00014842+0.0010182i,0.00057738+0.00026981i,0.00030991+0.0002001i,-0.00075211+0.00057534i,-0.00062757+0.00035275i,-3.901e-05+0.00021543i,3.7304e-06+0.0002836i,-0.00074978+0.00013962i,-0.0011502+0.00069879i,-0.0002725+0.00091322i,0.00080453+2.5897e-05i,0.00038317-0.00075632i,-0.0010423-0.00072826i
-0.00082446-0.0025699i,-0.00028605-0.002806i,-6.4161e-07-0.0018551i,0.00046114-0.00047036i,0.00044679-0.00056014i,0.00061194-0.00066472i,0.0017091-0.00034578i,0.0018131-0.00052702i,0.00049091-0.0010138i,0.0001974-0.00060133i,0.00045815-0.00012594i,-0.00037719-1.3332e-05i,-0.00089447-0.00051215i,-0.00022061-0.0013909i,0.00071031-0.0018334i,0.00088191-0.0013116i,9.5592e-05-0.00052094i,-0.00043494-0.0001801i,-0.00020983-0.00027755i,0.00048466-7.1575e-05i,0.00081909-2.5912e-06i,0.00056546+0.00030575i,0.0010231+0.00062053i
0.0020596-0.00077077i,0.00084042-0.0007321i,0.0010418-0.00054005i,0.00066923-0.0010695i,-0.00058523-0.001209i,-0.0015373-0.0007911i,-0.0016404-0.00055071i,-0.00095637-0.00055148i,-0.00013623-0.00025231i,-5.4166e-05-0.00013172i,-0.00040993+0.00018861i,-0.00093159+0.00053965i,-0.00084467-0.00038207i,-0.00025123-0.00084132i,-0.00020588-0.00081245i,-0.00033911-0.00066273i,9.3145e-05-0.0004129i,-0.00026433-0.00053121i,-0.0004409-0.00044898i,-0.00038237-0.00012385i,-0.00074904-0.00034835i,2.0963e-05-0.00032942i,0.00074533+0.00039957i
-0.00017107+0.00015557i,0.0015701-0.001041i,0.0014553-0.00069671i,0.0011696+0.00072209i,0.0013969+0.0018067i,0.00061487+0.0022768i,-0.00027229+0.0018344i,-0.00025818+0.00034238i,-0.00049069-0.00092769i,-0.00061255-0.0011476i,-0.0010536-0.00060928i,-0.0011211+0.00030033i,-0.00093839+0.00094046i,-0.00096569+0.00077657i,-0.00067724-0.00061724i,0.0001066-0.0017465i,0.00055611-0.0014553i,0.00034027-0.0011732i,-7.2935e-05-0.00046903i,0.00025069-7.5505e-05i,0.00073572+4.5241e-05i,0.001491+6.6952e-05i,0.0010361-0.00015174i
-0.0013352-0.00084674i,-0.00046835-0.00033882i,0.00056368+0.00024337i,0.0019208+0.00062469i,0.0023165+0.0011214i,0.0030651+0.0014248i,0.0024899+0.0010747i,0.0010348+0.00033211i,0.00041622-7.6528e-05i,0.00069982-4.3297e-05i,0.00055723+0.00025863i,-1.1412e-05+0.00049134i,0.00015113+0.00020345i,-2.9099e-09-0.00045508i,0.0001197-0.00078533i,0.0003144-9.9988e-05i,0.00023442+0.00033814i,0.00058248+5.2517e-05i,0.00066454+0.00023383i,0.00044577+0.00082783i,0.00037803+0.00034779i,0.00036298-0.00017318i,0.00026893-0.00036652i
-0.00057519+0.0011126i,-0.00019902+0.00078483i,0.00018856+2.8586e-05i,0.00062831-0.00086255i,0.0011094-0.0014068i,0.0010436-0.00074305i,0.001055-0.00064784i,0.00081492-0.0012487i,0.00011537-0.00086162i,-0.00014754-0.00062122i,0.00037108-0.00057717i,0.00024496-0.00033599i,3.853e-05+6.0359e-05i,0.00084731+0.00024954i,0.00080073-9.823e-06i,-0.0001555-0.00043128i,7.7099e-05-0.00033478i,0.00013959+3.4477e-05i,-0.00019143+0.00015819i,0.00043788-0.00013199i,0.00091124+0.00023897i,0.00013601+0.0014006i,-0.00079219+0.0014757i
-0.0024567-0.0018588i,-0.0016006-0.002446i,-0.00054843-0.0014438i,-4.5689e-05+0.00065675i,-0.00031259+0.0010637i,-0.0011537+0.00033931i,-0.0013296-0.00049643i,-0.00052231-0.00086992i,-2.0724e-05-0.00050852i,0.000125+0.00022572i,-0.00022948+0.00084255i,-0.00055606+0.0011278i,-0.0006186+0.00068549i,-0.0003998+0.00049638i,4.1412e-06+0.00034466i,0.00019303-0.00045873i,-6.2325e-05-0.00078645i,-9.7838e-05-0.00052474i,0.00023309-0.00073338i,-0.00021946-0.0005249i,-0.00061529+3.0758e-05i,-0.00010821-5.9332e-05i,0.0003062-0.00013532i
0.001271-0.00063955i,0.0022068-0.00036668i,0.0028657+0.00086116i,0.0017906+0.0016128i,-1.0131e-05+0.0020882i,-0.0010768+0.002698i,-0.0018753+0.0021488i,-0.0012382+0.00067785i,-0.00044196-0.00011983i,-0.00098571+0.00011837i,-0.0014704+0.00012923i,-0.0012613-0.00031765i,-0.00068292-0.00024085i,-0.00026469+0.00013077i,-0.00012389+0.00012462i,-0.00042405+0.00038588i,0.00013342+0.00030984i,0.00032674-0.00025773i,-0.00016388-0.00030704i,-0.0005116+0.00062004i,-0.000537+0.00091427i,3.8361e-06-9.7498e-05i,0.00064167-0.00054451i
0.001007-0.00080195i,0.0015299-0.0015637i,0.0018314-0.002169i,0.0020658-0.0011958i,0.0016878+4.8634e-06i,0.0013206+0.00070326i,0.0015501+0.0016575i,0.001456+0.0018251i,0.00097843+0.00075095i,0.0005943+0.00021429i,0.00019326+0.00042174i,0.00022529-0.0001988i,1.3188e-05-0.00062668i,0.00010897-0.0007104i,7.3055e-05-0.00022933i,-0.00035542+0.00047885i,-0.00041949+0.00047425i,-0.00034194-5.0706e-05i,-0.00037186-0.00069301i,1.2936e-05-0.00071705i,-9.0848e-05-0.00098278i,-0.00072372-0.0012619i,-0.00091935-0.00047537i
-0.0013227-0.0012046i,0.0002947-0.00045547i,0.00061463+0.00079103i,0.00057654+0.000588i,0.00097807-0.00061417i,0.0015774-0.0014999i,0.0021065-0.00093511i,0.0019662-0.00046735i,0.00054656-0.0014976i,-0.00078541-0.0016171i,-2.5519e-05+0.00026457i,0.00063731+0.001002i,0.00032854-3.3776e-05i,0.0005432-8.9507e-05i,0.00083131+0.00037325i,0.0006297+0.00011089i,0.00031354+7.1556e-06i,-0.00043834+0.00019144i,-0.0011557+0.00020298i,-0.00073091+0.00034049i,0.00027629+5.7996e-05i,0.00049328-0.00030821i,3.5811e-06-0.00021536i
