-0.00024062-0.00065549i,-0.00022466-0.0025516i,-0.0014454-0.0030532i,-0.0024786-0.0018882i,-0.003067-0.00054264i,-0.0024279+0.0011597i,-0.00059184+0.0021415i,0.0003177+0.0019596i,0.00088795+0.0001945i,0.0012243-0.0015953i,0.00037775-0.0011065i,-0.00012331-0.00051996i,-0.00052958-0.00029685i,-0.001163-0.00030781i,-0.00028326+0.00044069i,-0.00052751+0.0009487i,-0.0007512-0.00012058i,-7.3162e-05-0.0010047i,8.6793e-05-0.00066427i,-0.00012206-0.00023139i,-0.0004963-0.0011075i,-0.00016458-0.0015644i,3.4227e-05-0.00091437i
-0.0017915-0.00013329i,-0.0016255+0.00089549i,-0.0011409+0.0014553i,-0.00016227+0.00093957i,0.00014612+0.00064337i,-0.00013591+0.00069849i,-0.00048945+0.00041605i,-0.00039235-0.00010235i,-0.00013525+0.00025948i,-0.00037994+0.00015729i,-0.00067738-0.00016295i,-0.00036572-6.4832e-05i,-0.00033459+0.00027452i,-0.0004007+0.00035447i,0.00043568+0.00018975i,4.8764e-05+0.00075655i,-0.0011215+0.0005445i,-0.0016413+0.00095355i,-0.00098871+0.00092192i,-0.00048358-0.00031263i,-0.00043703-0.00027543i,-9.792e-05+0.00048378i,1.2344e-06+0.00070165i
1.5692e-05-0.0014867i,-9.1389e-05-0.00087271i,-0.00098793-0.00089555i,-0.002066-0.0006818i,-0.0017669+0.00056672i,-0.0007176+0.00089199i,-0.00067538+0.00054086i,-0.00066791-3.2084e-05i,8.9313e-05-0.00016637i,0.00024412+0.00037123i,-0.00021975+0.00097786i,-0.00055042+0.0013839i,-0.00046513+0.00094805i,-0.00026215+3.5199e-05i,-2.4068e-06+0.00012978i,-0.0003959-2.1408e-05i,-0.00078853+0.00019083i,-0.00062124+0.0010471i,-0.00046447+0.00095585i,-2.1865e-05+3.3025e-05i,0.00025932-0.00066666i,-0.00016776-0.00058801i,-0.00066587-0.00059403i
-0.00013472-0.0015031i,-0.00030697-0.0014636i,-0.0017106-0.00049046i,-0.0011025+0.0009319i,0.00091298+0.0014149i,0.00076228+0.00071171i,5.6171e-05+0.000462i,-0.00017683+9.0828e-05i,-2.1882e-05+0.00030491i,4.6457e-05+0.00077354i,7.1963e-05+0.00064966i,0.0001008+0.00021519i,0.00064907-0.00028742i,0.00059507+0.00043824i,0.00017392+0.00067017i,-0.00014368+7.2283e-05i,-0.00072839+0.00059513i,-0.0015269+0.00067402i,-0.00084285-0.0004233i,0.00050271-0.00057797i,0.00023497+7.1306e-06i,-0.00094766-3.2501e-05i,-0.0010228-0.00031097i
0.00045318+0.0012144i,0.001303+0.001961i,0.0012908+0.0018045i,0.0010396+0.00046588i,0.0011819-3.3698e-05i,0.00054016-0.00013558i,0.00012033-0.00032811i,8.4933e-05+0.00029873i,0.00041636+0.00098365i,-0.00051841+0.0011335i,-0.0011328+7.0983e-05i,-0.00060285-0.0011285i,-0.00012202-0.0013164i,-0.0005532-0.00063353i,-0.00073608-7.4102e-05i,-0.00079511-0.00012899i,-0.00065058+7.5496e-05i,0.00022737+0.00036815i,0.00017265+0.00072828i,0.00036065+0.00042666i,0.0010155+0.00020853i,0.00075143+0.00014555i,0.00035512-0.00044235i
-8.7648e-05+0.00045684i,-0.00056762+0.00079877i,-5.1877e-05+0.0009043i,-0.00022183+0.00055462i,-0.00044607-5.0512e-05i,-0.00040619-0.0007655i,0.00027337-0.00059256i,0.00038412+0.00028214i,-0.00065826+0.00026775i,-0.00011748-0.00095115i,-0.00011696-0.0010679i,-0.00048513-0.00089195i,-0.0003502-0.00081021i,-0.00060906-0.00069735i,-0.00028469-0.00081779i,9.6443e-05-0.00021124i,4.4446e-05+0.00021563i,-6.5724e-05+5.1618e-05i,5.1315e-05+0.00034875i,0.00016138+0.00037101i,0.00018977-0.00066579i,0.0005774-0.0013182i,0.00041083-0.0012164i
-0.0012558+0.0027718i,-0.00034769+0.00089823i,0.0012093-4.9799e-05i,0.00099637+0.00056776i,0.00029576+0.00074835i,-0.00019779-0.00049355i,-0.00024226+4.3227e-05i,-0.00041118+0.00079654i,0.0003406+0.00027428i,0.00075744-0.00017748i,-0.00018527-0.00037961i,-0.00061318+1.3527e-05i,-0.00031752-1.1464e-05i,-0.00063935-8.5701e-05i,-0.00042634-5.0737e-05i,-0.0003323+1.934e-05i,-0.00082607+1.0824e-05i,-0.0010476-0.00017543i,-0.0009611-0.00028895i,-0.0015171-0.00026157i,-0.00090685+6.0479e-05i,0.00032999+0.00013119i,0.00097798-0.0002525i
-6.6992e-05-0.0010049i,-0.0010012+0.00026748i,-0.00094484+0.001156i,-0.00044738+0.0005241i,-0.00046561-0.00028194i,-0.00070465+0.00026325i,-0.00057953+0.00053745i,-0.00027438+0.00027322i,-0.00029037+0.00017675i,-0.00069002-0.00078275i,-0.00073238-0.0006796i,-0.00048204+0.00041678i,0.00036701+1.4746e-05i,0.0012043-0.00051093i,0.00044701-4.5884e-05i,-0.00040564-0.00013113i,5.6283e-05+0.00024613i,-2.0838e-05+0.00054782i,-0.0010594+0.00022183i,-0.00073431-0.00019973i,0.00021586-0.0014153i,0.00021727-0.0015651i,-6.7654e-05-0.00079307i
0.0015103+0.00058827i,0.0013922+0.0004735i,0.0017241-0.00011999i,0.001421-0.00060069i,0.000779-0.00080562i,-0.00044929-0.0012179i,-0.00048607-0.0011174i,-0.000162-0.00050884i,-0.00020235+9.6816e-05i,-0.00072575+0.00093424i,-0.00079396+0.00064544i,-0.00038401-0.00081723i,-0.0003302-0.0011283i,-0.00035828-0.00048677i,-0.00017408-0.0003463i,-0.00043215-0.00022408i,-0.00013559-0.00013678i,0.00056144+1.5594e-05i,0.0012206+0.00022828i,0.0012772+0.00032876i,2.3274e-05-0.00018319i,-0.00012116-0.00044264i,0.00056675-0.00028095i
0.00012041-2.4699e-05i,3.8191e-05-0.00013522i,-0.0003775+6.7251e-05i,-0.00010348+0.00062873i,0.00053543+0.00095613i,-0.00010598+0.00080982i,-0.00067588+0.00070179i,-0.00010314+0.00067474i,7.9155e-05+0.0005229i,-0.00013366-4.3833e-05i,1.5532e-05-0.00065489i,-0.00031373-0.00045186i,-0.00048368+7.7875e-05i,0.00010771-0.00040098i,-4.185e-05-0.00059915i,-0.00048913+0.00034557i,-0.00022525-0.0001095i,0.00036619-0.00069455i,0.00059702-0.0001085i,0.0005326+0.00023494i,0.00062335+8.0711e-05i,0.00060777+5.2911e-05i,0.00040963+9.9654e-05i
0.00025782+0.00020948i,0.00082691+0.0008454i,0.00079192+0.0017767i,0.00036013+0.0010833i,0.00071116-0.00011876i,0.00076931-0.00013228i,0.00013007+0.0003303i,-0.0007176-0.00012089i,-0.00010245-0.00042277i,0.00029211-0.00029265i,0.00026874+0.00026579i,-6.1583e-05+0.00058025i,-2.6889e-05+3.3058e-05i,-3.9234e-05+0.00021385i,-0.00077518+0.00081407i,-0.00051647+0.00057662i,1.4354e-05+0.00048306i,-9.6326e-05+0.001077i,-0.00054806+0.0013425i,-0.00053358+0.00034629i,-0.00036941-0.00031134i,-9.7748e-05-0.00014505i,-3.2937e-05-4.8674e-05i
-0.00069536+0.00054576i,-0.001021+0.00056772i,-0.0013732+0.0012049i,-0.0009634+0.00085137i,-0.00072522-0.00055905i,-0.00087703-0.00088226i,-0.00046967-0.00046127i,7.4565e-05-0.00060342i,0.00022086-0.00074934i,0.00038061-4.3968e-05i,-0.00018666-3.031e-05i,-0.00034941-0.00013405i,-0.00031896-0.00024578i,-0.00060194-0.00057998i,-0.00024395-0.0007448i,0.00042517-0.0011711i,0.00044953-0.00093491i,0.00040417+0.00025641i,0.00037571+0.00048708i,-1.2401e-05-0.00030521i,-0.00011651-0.00017368i,0.00015206+0.00081766i,0.00076782+0.00023992i
-0.0017315+0.00031872i,-0.0022918-0.00032023i,-0.0019156-0.00017414i,-0.0021449-7.8302e-05i,-0.0015975+0.00033747i,-5.8909e-06+0.0001546i,0.00014871-0.00013812i,-0.00036459+0.00050672i,-0.00077564+0.001019i,-0.0011534+0.00061444i,-0.00088644+0.00023458i,-0.0010652+0.00011802i,-0.00059001-0.00015815i,3.7169e-05-0.00036854i,-0.00012137-3.711e-05i,-0.00046944+0.00038366i,-0.00059547+0.00062588i,-0.00099095-0.00025225i,-0.00080826-0.00083155i,2.1301e-05-0.00026444i,0.00026157+0.00019401i,0.00013427+0.00010314i,-0.00049785+2.5252e-05i
