0.00014063+0.00077158i,-0.00044779+0.00045539i,-0.0013138-0.00055008i,-0.0013006+0.00077886i,-0.00086128+0.0027123i,-0.0009315+0.0018498i,-0.00094098+4.2194e-05i,5.807e-05+0.00047843i,0.0013055+0.0014552i,0.0011842+0.0010826i,0.0011849+2.2766e-05i,0.00097243-0.00085758i,-0.00030161-0.00078184i,0.00016063-0.00055284i,0.0013162-0.00036592i,0.00078269-0.00039424i,-0.00030174-0.00031817i,-0.001208+0.0005311i,-0.0010061+0.0007026i,-6.9412e-05+7.6793e-05i,0.00029399-0.00039527i,7.9957e-05-0.00066741i,-0.00019812-0.00034088i
0.00088218-0.0022017i,0.00036784-0.0014662i,-0.00038499-0.00033085i,-0.00017851+0.00059305i,0.00020914+0.00016258i,0.0011435-2.6382e-05i,0.0017859-0.00026185i,0.0008645-0.00020341i,0.00026871-0.00011153i,-0.00035272-0.0011375i,-0.00030535-0.0020066i,0.00052581-0.0020045i,0.0013988-0.0012216i,0.0009682-0.00091603i,-0.00018642-0.0012292i,2.8386e-05-0.00042824i,0.00057646+0.00043462i,4.2847e-05+0.00051903i,-0.00068835-0.00011888i,-0.0002496-0.00050953i,-8.9714e-05-0.00044717i,-0.00029308-0.00065662i,-0.0003402-0.00063429i
-0.00044148-0.0044042i,-0.0013462-0.003917i,-0.0028953-0.0022117i,-0.0028673-0.00097981i,-0.0017865-0.00075125i,-0.00095848-0.0012058i,-0.00033707-0.00064319i,9.5405e-05+0.0001782i,2.3474e-06-0.00040043i,0.00021629-0.00065584i,0.00067877-0.00075221i,0.00063226-0.0016686i,0.00037648-0.00098602i,0.00024385-0.00025873i,0.00042615-0.00058613i,0.0011031-6.6568e-05i,0.0011503+0.00035383i,0.00058845+0.00063161i,0.00041542+0.00086781i,0.00045701+0.00064106i,-0.00030433-0.00030066i,-0.00037355-0.0010607i,0.00066651-0.00066533i
-0.0022128+0.00090339i,-0.0025988+0.0008228i,-0.0033732+0.001047i,-0.0036759+0.0022162i,-0.0025974+0.0034343i,-0.0016427+0.0022531i,-0.0018103+0.0010051i,-0.0016634+0.00097379i,-0.00096317+0.00025232i,-0.00026486+0.00027228i,0.00080607+0.0007952i,0.0013885+0.00069092i,0.00085129-4.9746e-05i,0.00046921-0.00078767i,0.0002067-0.00052158i,-0.00016236-5.0146e-05i,-0.00071517-0.00025561i,-0.000717-0.00060934i,-0.00031288-0.00041526i,-0.00088886-0.00050193i,-0.00072708-0.00085853i,0.00025282-0.00021029i,0.00014047+0.00020004i
-0.00046704-0.0012744i,-0.0015586-0.0024256i,-0.0026172-0.001278i,-0.0024429+0.0015407i,-0.001061+0.0027561i,-5.5189e-05+0.0020333i,0.00041119+0.00079606i,0.00052237+0.00062081i,0.00071726+0.00042504i,0.00041396-0.00072197i,-8.4467e-05-0.0012364i,0.00049656-0.00058945i,0.00078881-0.00027239i,0.00015455-0.00072524i,-1.9844e-05-0.00038334i,-0.00029716-0.0001185i,0.0001583-0.0001736i,0.00083384+1.8275e-05i,0.00022263-0.00013728i,-0.00016654-0.00023346i,-0.00011735+0.00036214i,-0.00018481+0.000393i,-0.00011903+0.00058861i
0.00011238-0.0013131i,7.5299e-05-0.0012673i,-0.00016606-0.00052627i,-0.00049719-0.00032956i,0.00063442-0.00079467i,0.0012693-0.0010602i,0.00032225-0.0012131i,0.00039095-0.00051625i,0.0016289-4.5817e-05i,0.00079164-0.00026908i,-0.00060983-0.0006089i,-0.00078221-0.00096672i,-0.00010442-0.00030606i,-0.00030419+0.00012137i,-0.0013752-4.3921e-06i,-0.0014794+0.00019199i,-0.00069718+0.00048822i,0.00016808-2.2637e-05i,0.00062278-0.00024558i,0.0004876+0.00011916i,0.00071526-0.00039792i,0.0005781-0.00052391i,-0.00015731-0.0002313i
-0.0011205-0.00027505i,-0.0018647-0.0015944i,-0.0026498-0.0017813i,-0.0027181-0.00046085i,-0.0018052+0.00026014i,-0.0010759+0.00047256i,-0.0010722+0.00053945i,-0.0011119+0.00077568i,-0.0012905+0.00084312i,-0.00095909+0.00042633i,-0.00015247-0.00017552i,-0.00013099-1.3881e-05i,-9.75e-05-0.00021016i,0.00060881-0.00029473i,6.2554e-05+0.0003137i,3.3849e-05+0.00052254i,0.00051087-2.738e-05i,1.229e-05-0.00030904i,-0.00022292-1.3992e-05i,0.00020715-0.00010838i,-0.00057327-0.00023734i,-0.0013281-0.0004016i,-0.0012568+0.0003596i
0.0026379-0.001895i,-0.00028459-0.001658i,-0.0021287-0.0011319i,-0.0024978+0.00021953i,-0.0020147+0.0014249i,-0.0013493+0.00092169i,-0.0005511+0.00075157i,0.00050465+0.0012228i,0.00090755+0.0011054i,0.00058877-5.9419e-05i,0.00048473-0.00013525i,0.00024933+0.00072508i,-0.00027091+0.00091595i,-5.1908e-05+0.00011336i,0.00076772+0.00033575i,0.00075982+0.00091734i,9.3231e-05+0.000599i,0.00010022+0.0003567i,0.00071844+0.00054052i,0.00068834+0.00034264i,0.0002758-0.00036556i,7.6395e-05-0.00058673i,-0.0003501+0.00023958i
-0.001053+0.0035471i,-0.00090862+0.0033975i,-0.0016455+0.0036582i,-0.0009593+0.0035675i,0.00041265+0.0022983i,0.001042+0.0014475i,0.00039285+0.0010489i,-0.00018733+0.00042294i,0.00049847-0.00050162i,0.0016031-0.00022834i,0.0014218+0.00046364i,0.0005909+0.00032512i,0.00038423-0.00040625i,0.00078109-0.0011162i,0.0012915-0.00041854i,0.00072381+0.0002423i,0.00011616+0.00017015i,0.00074738+0.00031753i,0.00093005+5.831e-05i,0.00023265-0.0005807i,-0.00024871-0.0013034i,8.1256e-05-0.0013995i,0.00058226-0.00056239i
0.0019592-0.0017677i,0.00082685-0.0020451i,0.0011631-0.0012189i,0.0015936-0.00062061i,0.0014977-0.00070677i,0.0013639-0.0012756i,0.00087835-0.00087947i,0.00039469-0.00014358i,0.0006817-0.00021995i,0.00064602-0.00051252i,0.00065282-0.0010556i,8.294e-05-0.00079447i,-2.6393e-05-0.0002109i,0.00020138+0.00036514i,-0.00033755+0.00033318i,-0.00072979-0.00058936i,0.00024992-0.00063476i,0.0012808+9.7495e-05i,0.00073845-0.00036113i,0.00019527-0.0010096i,0.00055833-0.00042518i,0.00035517+0.00017796i,0.00030985+0.0002034i
0.0021252-0.0026917i,-0.00028256-0.0041309i,-0.002541-0.0038133i,-0.0027669-0.0012943i,-0.0020936+8.6564e-05i,-0.0012504-0.00029465i,-0.0010757-0.0007859i,-0.00074416-0.00078492i,-0.00057157-0.00071729i,-0.0009448-0.00094845i,-0.00068598-0.00036886i,-0.00022913+9.6376e-05i,0.00018966-0.00031325i,0.00041835-0.00048007i,0.00022057-0.0002875i,0.000439+4.299e-05i,0.00069054+3.9578e-05i,0.00040932-0.00033236i,-0.0004703+7.6768e-06i,-0.0007327+0.00080105i,-4.1804e-05+0.00035072i,0.00041478-0.00020126i,0.00092171-0.00055089i
-0.0004632+0.00038888i,-0.0015936-0.00054422i,-0.0023955-0.00063917i,-0.0028128-0.00010404i,-0.0019085+0.00011175i,-0.00087089+3.861e-05i,-0.00048263+0.00036474i,-0.00027497+0.00071416i,0.00032485+0.0011415i,0.00060208+0.00065444i,-0.00030558-0.0005662i,-0.0010375-0.00053218i,-0.00070156-0.00040999i,-0.00041596-0.00065871i,-0.00090191-0.0005422i,-0.00096569-0.00073958i,-0.00044428-0.0010148i,-0.00017643-0.00039447i,0.00060416-0.00024722i,0.0016586-0.0006364i,0.0011861-0.00028105i,0.00028268-0.00011338i,6.3815e-05-3.0532e-05i
0.0001603-0.0021357i,-0.00053619-0.0013158i,-0.0019304+0.00011645i,-0.0020306+0.0027331i,9.6076e-05+0.0040874i,0.0016481+0.0032064i,0.0014276+0.001755i,0.00080724+0.00038054i,0.00064991-0.0010555i,0.00029358-0.0013074i,0.00018515-0.00035557i,0.00088353-4.4535e-05i,0.000437-7.4113e-05i,-0.00020806-8.1426e-05i,0.00025748-0.00060913i,0.00059163-0.00062545i,-0.00034296+7.6613e-05i,-0.00096459+0.00077428i,-0.0010953-4.71e-05i,-0.00039423-0.00081022i,0.0009449-0.00031637i,0.0013854+5.8494e-05i,0.00091722-0.00028412i
0.0029278-0.0013149i,0.0035713-0.0012208i,0.0017267-0.00060086i,-0.00061036+0.00058854i,-0.00040266+0.0005949i,0.00047986-0.00016338i,0.00039414-0.00066941i,0.00080538-0.00099033i,0.001388-0.00072344i,0.00081135-0.00021306i,0.0002301-0.00033183i,-0.00033351-0.00092052i,0.00034555-0.00076169i,0.00065604-0.0002909i,0.00057732-5.86e-05i,0.00040019+0.00010729i,0.00026731+0.00017215i,0.00045518+0.00030644i,0.00052993+0.00024433i,0.00084128+0.00020213i,0.00042851+0.00091868i,-0.00069787+0.00039574i,-0.0010416-0.00021599i
-0.0025271-0.0027806i,-0.0029064-0.0031847i,-0.0036291-0.0018901i,-0.0025413-0.0003754i,-0.0010905+0.00083654i,-0.00079168+0.00075518i,-0.0015247+0.00018702i,-0.001738-0.00023228i,-0.00058579-0.000786i,0.00087338-0.00096515i,0.0013255-0.00068933i,0.0010462-0.0011596i,0.00087613-0.0012673i,0.00098078-0.00033598i,0.00072123-0.00060405i,0.00055174-0.00077687i,-0.00011498-0.00065577i,-0.00013166-0.00025422i,0.00061379+0.00023685i,0.00047528+2.3748e-05i,0.00032727-0.00022433i,0.00056026-0.0005302i,1.4084e-05-0.00042732i
-0.00079052+0.003918i,-0.0022634+0.0026288i,-0.0027762+0.0022793i,-0.0026292+0.0024783i,-0.0015742+0.0011614i,-0.00062875-0.00035133i,-0.00072789-0.00033325i,-0.00056118+0.00082301i,0.00047669+0.0011736i,0.0010398+0.0007658i,0.00096661+0.00050288i,-1.333e-05+9.4122e-05i,-0.00069079-0.0003117i,-0.00019149-0.0008649i,-8.2381e-05-0.00072254i,-0.00019905-4.6228e-05i,-0.00047694+0.00032536i,-0.00051993-3.6739e-05i,0.00039795+3.2659e-05i,0.00052107+5.8661e-05i,0.00083583-0.00043982i,0.0012103-0.00025844i,0.00034135+0.00015243i
0.0010891+0.0013575i,0.00066856+0.0024244i,-0.0010291+0.0032002i,7.1518e-05+0.0037272i,0.0025819+0.0028193i,0.0029656+0.0012519i,0.0020843+0.00043309i,0.0009936+0.00048839i,0.00022632+0.00060763i,0.00016084+0.00011853i,-1.1628e-05-0.00091244i,-0.00042342-0.0018885i,-0.00013002-0.0014491i,0.00057178-0.0008228i,0.0011556-0.0010853i,0.00065959-0.0005382i,-0.00039693-0.0004378i,-0.00017319-0.00046477i,0.00061842+0.00022496i,0.00020334+0.00033961i,-0.00040356-0.00013804i,-0.00045713-0.00013723i,-0.00047582+0.0001699i
0.0013989-9.9741e-05i,0.0010428-0.0010049i,0.00066675-0.00015024i,0.0010557+0.0014652i,0.0019281+0.0012518i,0.0014551-0.00039513i,0.00013964-0.00096295i,-0.00023517-0.00020152i,-0.00022187-0.00015997i,-0.00014929+3.1103e-05i,0.00016481+0.00011969i,0.00058949-0.00012526i,0.00051528-0.00022612i,-1.3786e-05-0.00058347i,-0.00038781-0.00126i,-0.00069241-0.00097165i,7.003e-05-0.00031885i,0.0003655-0.00018292i,-0.00039806+0.00011072i,-0.000333-0.00065164i,8.7657e-05-0.0010815i,0.00012942-0.00066637i,-0.000145+6.0907e-05i
-0.0012578-0.00055986i,-0.0025116-0.0012886i,-0.0021659-0.001602i,-0.00093212-0.00063771i,-0.00012835-0.00034156i,-0.0010724-7.9488e-05i,-0.0018103+0.001i,-0.00075157+0.0013222i,0.00048034+0.00099864i,0.00090732+0.00038293i,0.00078139+0.00022908i,0.00054635+0.00033329i,-0.00018966+0.00011589i,-0.00034749+5.2586e-05i,1.2233e-05-0.00043799i,-0.00010065-0.001215i,-0.00018167-0.0014863i,-3.3397e-05-0.00077025i,5.7876e-05+0.0004258i,0.00010532+0.00073726i,0.00011553+8.7092e-05i,-0.0001657-0.00031745i,-0.00049423-0.00028604i
0.0022119-0.00028462i,-0.00026385+0.00063466i,-0.0027288-8.2803e-05i,-0.0035848-0.00057121i,-0.0023799-9.9217e-06i,-0.00078844+1.8105e-05i,0.00013774+7.0687e-05i,0.00022798+0.0010618i,0.00015296+0.0010441i,0.00095093-3.1327e-05i,0.0010282-0.00039133i,0.00051088+9.6039e-05i,0.00088118+0.00033815i,0.00096803+0.00030532i,0.00097568-0.00018829i,0.00086397-0.00033657i,0.0002876-0.00012974i,-0.00042494-0.00010003i,-0.0011713-0.0011101i,-0.00059175-0.0012213i,5.7709e-05-0.00040725i,-1.8877e-05-0.00031006i,-0.00028251-0.00028079i
0.00047197+0.0024032i,0.00091012+0.0030929i,-0.00028011+0.0035355i,-0.0015501+0.0038317i,-8.4761e-05+0.0034961i,0.0015967+0.0019202i,0.0015256+0.0011051i,0.0016274+0.0012317i,0.0019763+0.00073014i,0.0017421-0.00022985i,0.00089553-0.00063699i,-0.00022459-0.00077464i,-0.00046137-0.0012472i,1.4021e-05-0.0008642i,0.00071935-0.00074802i,0.0013873-0.0011841i,0.00021833-0.00038516i,-0.000626+0.00016158i,-0.00014045+0.0002665i,-0.0004303+0.00039385i,-0.00053658-0.00020358i,-0.00064826-0.00016618i,-0.0004792-0.00056752i
0.0051026-0.0029873i,0.0041572-0.003937i,0.0025897-0.0025934i,0.0012406-0.00041696i,9.4814e-05-0.00010466i,-0.00036404-0.00064308i,0.00020544+9.6274e-05i,0.00073404+7.2795e-05i,0.00071432-0.00071599i,0.00030073-0.00070571i,0.00018544-0.00025853i,0.00055968+4.4197e-05i,5.5345e-05-0.00013189i,-0.0008375-0.0004977i,-0.00071432-0.00082272i,-7.5536e-05-0.00034492i,-0.00023528+0.00028933i,-0.00057572+0.00027468i,-8.6819e-07+0.00031496i,0.00033165+9.0801e-05i,0.00022678-0.00038401i,0.00048886-0.00050709i,-0.00020986-0.00025779i
-0.0012069+0.00080821i,-0.0025609-0.00081772i,-0.0017122-0.0021679i,-0.00033036-0.0019324i,0.00072382-0.0011867i,0.00057011-0.0014689i,0.00017078-0.0010874i,-0.00041491+0.00041542i,-0.0006143+0.00098135i,4.2563e-05+0.00023983i,0.00077684-0.00051858i,0.001199-0.00055294i,0.00056815-0.00084472i,0.00028076-0.001198i,0.00094941-0.0010876i,0.00047785-0.00078401i,-0.00012446-0.00061795i,-0.00018726-0.00025847i,0.00012199+0.00022706i,4.9463e-05+0.00053416i,0.00068107+0.00048811i,0.00075304+1.4627e-05i,0.00010579+2.3549e-05i
-9.8895e-06+0.0029087i,-0.0017651+0.0024562i,-0.0035223+0.0017519i,-0.0035747+0.00094817i,-0.0023091+0.00020456i,-0.0019431+0.0002211i,-0.0014527+0.00056527i,0.0003061+0.0011411i,0.0010676+0.00082327i,0.00050864-0.00028442i,0.00098055-0.00055814i,0.0013187-0.00050318i,0.00083433-0.00096611i,0.00014847-0.0014251i,-0.00020789-0.00082062i,-1.4877e-05-1.0739e-05i,8.3491e-05-0.00055741i,0.00060074-0.00067123i,0.00055694+2.5847e-06i,-5.2351e-05+0.00024787i,-0.00042568+5.4451e-05i,-0.00039155+0.00050237i,-0.00080315+0.0012403i
0.0047911+0.0019701i,0.0037096+0.002896i,0.0011564+0.0036731i,0.00040705+0.0036588i,0.00036742+0.0027586i,0.0005445+0.0019941i,0.00099085+0.0016331i,0.0013613+0.0016585i,0.0012378+0.0013048i,0.0012307+0.00020836i,0.0010258-0.00060786i,-0.00053609-0.00055932i,-0.00046521-0.00051298i,0.0002736-0.00093993i,6.2204e-05-0.00088244i,0.00020319-0.00099504i,0.00024431-0.0011048i,0.00025527-0.00026872i,0.00031036+0.00036205i,-7.4727e-05+0.00021221i,-0.00038469+0.00051743i,-0.00018307+0.00093811i,0.00020026+0.0007768i
-0.00071038-0.0042548i,-0.0003982-0.0050013i,0.00032122-0.0033569i,0.00037056-0.00017567i,0.0011328+0.0017332i,0.0020982+0.00045256i,0.0016229-3.0672e-05i,0.00043333+0.00019254i,0.00038017-0.00016356i,0.00010505-0.00028443i,-0.00040654-0.0010001i,-0.00055964-0.0013696i,0.00018908-0.00060499i,0.00040289+0.00030318i,0.00015921+0.00083968i,0.00041311+0.00059269i,0.00068664-9.7186e-06i,0.00026661-7.5411e-05i,0.0001937+5.016e-05i,0.00017783+0.00038891i,-0.00023722+0.00015075i,-0.00017283-0.00020552i,-1.5349e-05+0.00033231i
-0.0038274-4.5153e-05i,-0.0037148-0.00039908i,-0.0016754-0.00035357i,-2.3363e-05-5.9578e-05i,0.0001789-0.00066658i,-0.00019417-0.0012576i,-0.00049594-0.00066425i,-0.00028858-0.00027551i,-0.00044603-8.0445e-05i,-0.00062823-2.144e-05i,-0.00018961-0.00055789i,0.00049514-0.00093472i,0.00056948-0.00043714i,-0.00035869+0.00047326i,-0.00026106+0.0004643i,0.00044663-9.0933e-05i,0.00045737-0.00022272i,0.00060541-0.00042705i,0.0004797-0.00041693i,0.00028025-0.00052998i,0.00091437-0.0004903i,0.0013811-0.00026189i,0.00069798-0.00028217i
-0.00023926+0.0030355i,-0.0018792+0.0038647i,-0.0044047+0.0029089i,-0.0043284+0.0015682i,-0.0026874+0.00086464i,-0.0018958+0.00072188i,-0.0019188+0.0003132i,-0.0013425+0.0003254i,-0.00064331+0.00030667i,-0.00055496+2.4379e-05i,-0.0001159+0.00013226i,-0.00026534+0.00060947i,-0.00089495+0.00049352i,-0.0005497-3.3434e-05i,0.00054115-0.00032136i,0.00043484+0.00056827i,-0.00049581+0.00081358i,-0.0001904-0.00046897i,0.00036605-0.00040576i,0.00019786+0.00028631i,-0.0004649+2.6e-05i,-0.00031015+0.00022831i,0.00016097+0.00044895i
0.0043833-0.0016698i,0.0039928-0.00040865i,0.001756+0.00072921i,-0.00055014+0.0023436i,-0.00043684+0.0030221i,0.00053475+0.0017547i,4.515e-05+0.0010606i,-0.00021906+0.00068418i,0.0006942-0.00035707i,0.0008592-0.00065931i,0.00020754-7.6745e-05i,0.00057737-0.00013649i,0.0012878-0.00040043i,0.00089841-0.00031705i,0.0011954-0.00065191i,0.0014726-0.00026817i,0.00058478-4.6074e-05i,3.685e-05-0.00054372i,2.9016e-05-6.9228e-05i,-0.00016387+0.00046971i,-0.00024867-0.00047098i,-0.00059636-0.00083786i,-0.0014143-0.00036636i
-0.0012521-0.0010156i,-5.4796e-06-0.0023941i,0.0010035-0.00038779i,0.0023502+0.0029824i,0.0035025+0.0026668i,0.0034463+0.00042338i,0.0021544-0.00083532i,0.00098979-0.00098687i,0.0013262-0.00048348i,0.00087778-0.00014107i,0.00047302-0.00014337i,0.00045979-0.00042293i,-7.5213e-05-0.00022957i,-0.0001755-0.00014504i,3.4797e-05-0.0005464i,-0.00014515-0.0002061i,-0.00087787+0.00049146i,-0.00093106+0.00062397i,-0.00042517+0.00035121i,-0.00048213+0.0001559i,-0.00010582-0.00010094i,0.0007749+6.7653e-05i,0.00069479+6.0036e-05i
-0.003298-0.0016822i,-0.0044244-0.0027046i,-0.0044498-0.0037597i,-0.003913-0.0028304i,-0.0019336-0.00067214i,-0.00046909-0.00024982i,-0.00030623-0.00010578i,0.00011019+0.00027716i,0.0011149-8.8278e-05i,0.00092265-0.0012729i,0.00020709-0.0013968i,-0.00033821-0.00050066i,-0.00029858-0.00076271i,0.00090768-0.0010429i,0.0013924-0.00061657i,0.00069669-0.00012994i,-0.00025105+4.6749e-06i,-0.00060224+4.4665e-05i,-0.00092669+4.3613e-05i,-0.00056887-1.5965e-05i,0.00017443+0.00011976i,7.9259e-05+0.00016598i,-0.00019621+0.00018246i
0.004384+0.00035318i,0.0020044+0.0010509i,-0.0011603+0.00019167i,-0.0037473+0.00029688i,-0.003773+0.00047471i,-0.0031921+0.00027803i,-0.0022283+0.0010707i,-0.00091297+0.0010195i,-0.00027217+0.00028043i,-0.00022793-2.834e-06i,-0.00072404-0.00010558i,-0.00067272+0.00014124i,4.431e-05+0.00040835i,0.00073141+0.00012691i,0.00089347+0.00010325i,6.8437e-05-0.00040137i,-0.00042006-0.0010866i,-0.0001333-0.00079894i,0.00027908-0.00090961i,9.2312e-05-0.00097034i,-0.00082236-0.0011455i,-0.00055364-0.00090945i,0.00043697-0.00067857i
-0.0019385-0.0024016i,-0.00045827-0.00056213i,-0.00090375+0.0023366i,-0.0019635+0.0041463i,-0.00079091+0.0046173i,0.0010109+0.0032994i,0.0011032+0.0011741i,0.0010471+0.00037076i,0.00073195+0.00082753i,0.00038013+0.0014721i,0.00060873+0.001485i,0.00075846+0.00055481i,0.00093296-0.00028662i,0.0008748-0.00040978i,0.00056498-0.00051516i,0.00073016-0.0007063i,0.00053426-0.00023296i,3.1249e-05+0.00078459i,-5.836e-05+0.00081319i,-0.00012617-0.00010168i,-0.00062688-0.00057074i,-0.00081632+9.3157e-05i,9.4266e-05+0.00052353i
0.0029256-0.0044684i,0.00073104-0.004887i,-1.0177e-05-0.0033609i,0.0010488-0.0011449i,0.0015914+5.7129e-05i,0.00088804-0.0001052i,0.000206+0.00017873i,0.00037884+0.00034817i,0.0013659-0.00017051i,0.0018043-0.00044606i,0.00064543-0.00079439i,-0.00028913-0.00084708i,-0.00033895-0.00103i,-0.00020583-0.0013608i,0.00020323-0.00047545i,0.00030331+0.00017256i,0.0005198+0.00027531i,0.00095864+6.8729e-05i,0.00032266-0.00027147i,-0.00037136-0.00062701i,-0.00040675-0.00057738i,-0.00043755+0.00029877i,-0.00093255+0.00051323i
-0.0014676+0.0042484i,-0.0020861+0.0026722i,-0.001912+0.0003642i,-0.0013153+0.00030983i,-0.00031701+0.00015495i,-0.000265-0.0011572i,-0.00026509-0.0015536i,7.5992e-05-0.0011154i,-0.00040922-0.0010866i,-0.00011784-0.00076149i,0.00066721-3.8207e-05i,0.0010447-4.1258e-05i,0.00085001-1.8962e-05i,0.00046488-5.4045e-05i,0.00052227-9.2302e-05i,0.00049658+0.00013114i,-6.7049e-05+0.00021578i,-0.00031787-4.5998e-05i,0.0003134-0.00037243i,0.0004149-0.00014397i,8.8599e-05-0.0002511i,0.00025505-0.00028395i,-5.0497e-06-0.00020438i
0.00034234-0.001121i,-0.0013343+0.00074536i,-0.003208+0.0015465i,-0.0047977+0.0010355i,-0.0041508+0.0013635i,-0.0019444+0.0016318i,-0.00077212+0.0010142i,-0.00035569+0.00038037i,0.00029453-0.00015372i,0.00056324+0.00043172i,0.00069979+0.00068232i,0.00088884+0.0003775i,0.00055508+0.00060333i,0.00098563+0.00078828i,0.0010227+0.00058269i,0.00070396-0.0001176i,0.00098266-0.00032807i,0.0011083-7.2602e-06i,0.00071527+0.00052956i,-0.00040418+0.00085371i,-0.00065505+0.00046118i,-0.00015018+0.00024955i,-0.00027747+0.00065826i
0.0057386+0.00053523i,0.0060339-0.00074529i,0.0038299+0.00047311i,0.0015257+0.0026334i,0.0010082+0.002i,0.000771+0.00018316i,0.00054785+0.0003374i,0.00095838+0.0007053i,0.00076582+0.0004311i,0.00071113-2.4863e-05i,0.00054137-0.0003908i,-0.00035339-0.00089809i,-0.00078569-0.00096311i,-0.00064493-0.00038048i,-0.00067949-5.7143e-05i,-0.00093889-0.0001194i,-0.00042506-0.00044058i,0.00021281-2.7866e-05i,0.00027616-0.00040503i,9.3272e-05-0.001044i,-4.2968e-05-0.00066284i,0.00010836+0.00047471i,0.00042865+0.001144i
-0.0027545+0.0020405i,-0.0020273+7.4593e-05i,-0.0014989-0.000951i,0.00077355+0.0013066i,0.0030649+0.0020422i,0.002604-0.00032629i,0.0020598-0.0013012i,0.0012019+0.00011853i,0.00034373+0.00045183i,0.00087526-0.0008186i,0.00056663-0.0016004i,-0.00013243-0.0015397i,0.0002596-0.00096077i,4.7615e-05-0.0001918i,0.00012514+0.00016196i,-3.4206e-05+0.00028699i,-0.00017005+0.00069991i,0.00089297+0.00063785i,0.0010831+9.973e-05i,0.00035508+1.5246e-05i,-5.3854e-05+0.00032744i,0.00011035+0.00043152i,0.0003612+0.00035642i
-0.0024024-0.0018112i,-0.0035788-0.00072245i,-0.0043549-0.00040012i,-0.0031766-0.0011871i,-0.0018131-0.00084609i,-0.0013894+6.6033e-05i,-0.0012323+0.00012247i,-0.00074939-0.00029473i,-0.00015764-1.4776e-06i,-3.8104e-05+0.00037127i,0.00024339+0.00012528i,0.0006909+0.00021179i,0.00045347+0.00029637i,0.0006424+0.00021244i,0.00067347+0.00013786i,0.00012551-8.1146e-05i,-0.00047941-0.00037482i,-0.0011618-0.00095137i,-0.00048695-0.00090328i,3.0413e-06-0.00070069i,-0.00010658-0.0002917i,4.8087e-05-8.8936e-05i,-1.2889e-05+0.00013444i
0.004466+0.0038887i,0.0021663+0.0037452i,-0.00027631+0.0023289i,-0.0017142+0.0013825i,-0.0015459+0.0011971i,-0.00032131+0.001567i,-0.00049967+0.0021953i,-0.0012624+0.0015956i,-0.0002264+0.00043601i,0.00088523+0.00033129i,0.00025009+0.00071007i,2.0594e-05+0.00021149i,0.00033173-0.00079805i,0.0011566-0.0015607i,0.0016506-0.00054734i,0.001038+5.4552e-05i,0.00083694-3.3989e-05i,0.0005697+0.00035597i,0.0001266-4.8613e-05i,-0.00019714-0.00012476i,-0.00035028+0.00016732i,-0.00041007-7.2582e-06i,-0.00033506-0.00075307i
0.0015091-0.0036628i,0.00085144-0.0032576i,-5.252e-05-0.001096i,-0.00084879+0.0011172i,-0.00053129+0.0017378i,0.00029058+0.00052664i,0.0010003-3.175e-05i,0.00062029+0.00044199i,0.00024032+0.00026987i,0.00051796-0.00022015i,0.00010715-0.00053401i,-0.0004331-0.00045713i,-0.00077052+0.00017722i,-0.000415-0.00013369i,0.00023699-0.00019167i,0.00074454+0.00017865i,0.00064248+0.00064243i,1.9076e-05+0.00054109i,-0.00016307+8.9524e-05i,0.00046395+0.00049335i,0.00082983+0.00015307i,0.00027961-0.00067736i,-0.0005854-0.00086885i
-0.0012127-0.0016285i,-0.0010888-0.0032678i,-0.0010401-0.0015402i,-0.00081354+0.00092664i,0.00091879+0.0017183i,0.001296+0.00042783i,0.00055426-0.0007185i,0.00089162-0.0010727i,0.00088252-0.0013766i,0.00049673-0.0016653i,2.0206e-05-0.0014302i,-0.00063201-0.00055107i,-7.4903e-05+0.00043181i,-6.6935e-05+0.00044566i,-0.00062371-7.5792e-05i,-5.4835e-05+4.8661e-05i,0.00056015+0.00024802i,0.000481+3.2703e-05i,-0.00042973-0.00038961i,-0.00093136-0.00032646i,-0.00033377+5.477e-05i,-0.00013477-0.00049282i,0.00019582-0.00073871i
-0.0013469+0.00041097i,-0.0033865+0.0011645i,-0.0044867+0.00069801i,-0.0034478-4.4365e-05i,-0.0012271-0.00023435i,-0.00064537-0.00010664i,-0.00032367-0.00037398i,0.0003287-0.00088998i,-0.00035462-0.00081187i,-0.00094028-0.00010888i,-0.00042181+0.00024817i,0.00048789+0.00041432i,0.0013055+6.7005e-07i,0.00080875+8.6774e-05i,0.00017489+0.00014145i,-0.00021715-0.00083329i,0.00025057-0.00070798i,9.0619e-05-0.0004677i,-0.00042165-0.00026284i,-0.00028775-0.0002584i,-0.00011325-0.00058156i,-9.6168e-05-0.00017931i,0.00013524+0.00032077i
0.0031737-0.00092292i,0.0020732+0.0008416i,-0.00071301+0.0008456i,-0.0025035+5.4493e-06i,-0.0015392+0.00073218i,0.00033626+0.0015923i,2.6046e-05+0.0015069i,-0.00048643+0.00096014i,-0.00024609+0.00079151i,0.0009406+0.00067864i,0.0017052+0.00013313i,0.0011756-0.00021861i,0.00053456-0.00020641i,0.00025047+0.00012808i,0.00020845-0.00012826i,0.00036856-9.8693e-05i,0.00012565-0.00014887i,-0.0011072-0.00039616i,-0.0011179-0.00039305i,-0.00048995-6.5962e-05i,-1.837e-05+7.6322e-05i,-5.3392e-05+0.00013159i,-0.00022763+0.00027268i
